Date,City,PM2_5,PM10,Season,Traffic_Index
2023-01-21 08:00,Daejeon,87.2,173.3,Winter,78.7
2023-01-21 16:00,Daegu,22.3,25.0,Summer,22.9
2023-01-22 00:00,Incheon,60.8,88.4,Summer,88.1
2023-01-22 08:00,Seoul,58.2,109.3,Summer,69.3
2023-01-22 16:00,Incheon,43.9,72.2,Summer,67.5
2023-01-23 00:00,Incheon,109.1,152.4,Spring,98.5
2023-01-23 08:00,Daegu,60.3,93.9,Summer,71.2
2023-01-23 16:00,Busan,75.6,108.5,Summer,79.0
2023-01-24 00:00,Daegu,78.0,134.5,Autumn,94.0
2023-01-24 08:00,Daegu,37.0,65.7,Autumn,58.2
2023-01-24 16:00,Seoul,76.2,130.8,Summer,95.8
2023-01-25 00:00,Daegu,43.9,85.8,Autumn,45.1
2023-01-25 08:00,Daejeon,67.0,77.2,Spring,39.9
2023-01-25 16:00,Seoul,97.4,137.3,Winter,68.7
2023-01-26 00:00,Incheon,75.2,126.1,Winter,77.0
2023-01-26 08:00,Seoul,66.8,69.3,Autumn,95.8
2023-01-26 16:00,Daejeon,,59.8,Winter,32.3
2023-01-27 00:00,Seoul,58.3,94.3,Winter,22.0
2023-01-27 08:00,Daegu,62.9,104.7,Summer,70.7
2023-01-27 16:00,Daejeon,81.1,146.9,Spring,71.0
2023-01-28 00:00,Incheon,46.3,70.5,Autumn,42.9
2023-01-28 08:00,Incheon,69.3,88.8,Spring,44.6
2023-01-28 16:00,Daejeon,47.7,76.7,Autumn,64.1
2023-01-29 00:00,Seoul,82.3,130.7,Winter,50.9
2023-01-29 08:00,Incheon,101.8,154.7,Spring,52.5
2023-01-29 16:00,Busan,61.4,114.3,Spring,17.1
2023-01-30 00:00,Busan,86.5,92.8,Autumn,83.0
2023-01-30 08:00,Seoul,54.3,109.8,Summer,70.0
2023-01-30 16:00,Daejeon,50.6,102.0,Summer,45.0
2023-01-31 00:00,Busan,,153.5,Winter,92.9
2023-01-31 08:00,Seoul,107.5,164.8,Spring,98.8
2023-01-31 16:00,Daejeon,69.2,108.9,Summer,51.9
2023-02-01 00:00,Daegu,33.9,16.7,Summer,48.2
2023-02-01 08:00,Daegu,39.7,57.8,Summer,40.7
2023-02-01 16:00,Incheon,90.4,108.5,Spring,42.2
2023-02-02 00:00,Incheon,60.9,120.5,Autumn,69.6
2023-02-02 08:00,Seoul,68.3,133.3,Summer,68.5
2023-02-02 16:00,Seoul,33.6,63.3,Autumn,21.0
2023-02-03 00:00,Seoul,63.2,89.7,Winter,53.3
2023-02-03 08:00,Daegu,58.5,105.1,Spring,15.1
2023-02-03 16:00,Seoul,46.1,85.0,Autumn,42.1
2023-02-04 00:00,Seoul,85.3,149.3,Winter,98.8
2023-02-04 08:00,Incheon,42.9,91.4,Summer,74.4
2023-02-04 16:00,Incheon,76.1,96.8,Summer,97.7
2023-02-05 00:00,Busan,71.2,99.8,Summer,95.3
2023-02-05 08:00,Daegu,65.0,97.4,Spring,18.7
2023-02-05 16:00,Busan,39.3,72.8,Autumn,49.8
2023-02-06 00:00,Daegu,73.2,95.2,Autumn,79.5
2023-02-06 08:00,Daegu,51.4,83.2,Spring,19.2
2023-02-06 16:00,Incheon,55.7,81.8,Spring,14.0
2023-02-07 00:00,Busan,72.1,119.4,Winter,24.0
2023-02-07 08:00,Busan,58.1,121.9,Summer,88.3
2023-02-07 16:00,Daegu,95.2,108.8,Spring,90.4
2023-02-08 00:00,Incheon,77.2,136.5,Winter,51.5
2023-02-08 08:00,Daejeon,51.6,69.3,Autumn,85.1
2023-02-08 16:00,Daegu,52.6,74.4,Summer,44.2
2023-02-09 00:00,Busan,86.2,134.9,Spring,82.8
2023-02-09 08:00,Seoul,84.5,139.9,Summer,98.9
2023-02-09 16:00,Daejeon,56.7,70.2,Autumn,42.9
2023-02-10 00:00,Seoul,71.0,124.3,Winter,41.9
2023-02-10 08:00,Busan,76.2,114.1,Summer,87.0
2023-02-10 16:00,Seoul,86.9,135.9,Spring,71.7
2023-02-11 00:00,Busan,96.8,91.4,Winter,74.9
2023-02-11 08:00,Daegu,101.6,208.4,Winter,79.3
2023-02-11 16:00,Busan,30.3,57.6,Summer,20.9
2023-02-12 00:00,Daegu,42.0,60.0,Autumn,57.2
2023-02-12 08:00,Incheon,35.8,47.8,Autumn,29.6
2023-02-12 16:00,Seoul,51.3,66.3,Autumn,41.8
2023-02-13 00:00,Daejeon,46.7,75.9,Autumn,56.4
2023-02-13 08:00,Daegu,68.4,129.7,Winter,43.2
2023-02-13 16:00,Busan,40.5,84.2,Autumn,24.9
2023-02-14 00:00,Daejeon,40.8,92.7,Autumn,38.8
2023-02-14 08:00,Seoul,89.3,128.1,Winter,72.0
2023-02-14 16:00,Daegu,54.9,65.5,Summer,81.4
2023-02-15 00:00,Daegu,77.2,181.1,Summer,89.3
2023-02-15 08:00,Seoul,60.7,88.3,Winter,27.0
2023-02-15 16:00,Seoul,79.7,148.8,Winter,50.9
2023-02-16 00:00,Seoul,64.4,79.5,Winter,44.2
2023-02-16 08:00,Busan,64.5,91.3,Autumn,68.6
2023-02-16 16:00,Daegu,56.0,99.7,Spring,36.6
2023-02-17 00:00,Daejeon,53.2,89.7,Autumn,47.4
2023-02-17 08:00,Daegu,105.4,173.9,Spring,85.9
2023-02-17 16:00,Incheon,28.3,61.2,Summer,31.0
2023-02-18 00:00,Busan,74.4,90.1,Spring,50.5
2023-02-18 08:00,Incheon,102.5,92.6,Spring,70.3
2023-02-18 16:00,Seoul,53.1,67.1,Summer,73.0
2023-02-19 00:00,Incheon,83.7,113.3,Winter,59.4
2023-02-19 08:00,Incheon,106.5,185.0,Spring,73.3
2023-02-19 16:00,Seoul,98.0,160.0,Winter,92.4
2023-02-20 00:00,Seoul,91.0,176.5,Spring,71.8
2023-02-20 08:00,Busan,67.8,102.4,Summer,89.9
2023-02-20 16:00,Busan,64.4,139.1,Summer,74.6
2023-02-21 00:00,Daegu,76.9,124.2,Autumn,67.6
2023-02-21 08:00,Daejeon,76.6,139.9,Spring,62.4
2023-02-21 16:00,Incheon,72.9,77.3,Winter,31.3
2023-02-22 00:00,Daejeon,72.0,104.3,Winter,26.2
2023-02-22 08:00,Busan,18.1,21.5,Autumn,12.8
2023-02-22 16:00,Daegu,67.4,119.8,Winter,33.6
2023-02-23 00:00,Incheon,75.2,104.7,Spring,52.6
2023-02-23 08:00,Incheon,52.5,70.9,Summer,35.5
2023-02-23 16:00,Busan,99.2,225.1,Summer,87.0
2023-02-24 00:00,Incheon,55.0,83.2,Autumn,56.7
2023-02-24 08:00,Daegu,103.9,176.5,Spring,99.5
2023-02-24 16:00,Seoul,75.9,147.9,Autumn,77.4
2023-02-25 00:00,Daejeon,76.3,105.0,Summer,98.0
2023-02-25 08:00,Daegu,44.8,69.5,Autumn,37.6
2023-02-25 16:00,Daejeon,77.6,133.6,Winter,35.6
2023-02-26 00:00,Seoul,,161.8,Winter,71.1
2023-02-26 08:00,Daegu,60.3,82.4,Summer,61.4
2023-02-26 16:00,Seoul,73.4,104.9,Spring,70.3
2023-02-27 00:00,Seoul,78.5,121.5,Spring,49.7
2023-02-27 08:00,Busan,46.5,97.6,Summer,13.3
2023-02-27 16:00,Daegu,45.1,101.3,Autumn,69.9
2023-02-28 00:00,Seoul,78.4,157.8,Spring,75.9
2023-02-28 08:00,Seoul,56.0,53.4,Autumn,86.3
2023-02-28 16:00,Daegu,81.2,131.5,Autumn,66.4
2023-03-01 00:00,Busan,67.9,124.4,Summer,93.6
2023-03-01 08:00,Seoul,60.3,80.8,Autumn,80.1
2023-03-01 16:00,Daegu,73.8,112.2,Winter,54.4
2023-03-02 00:00,Daejeon,64.0,106.2,Autumn,89.6
2023-03-02 08:00,Incheon,55.5,90.5,Spring,29.0
2023-03-02 16:00,Daejeon,108.1,155.8,Spring,99.2
2023-03-03 00:00,Seoul,15.8,26.6,Summer,15.9
2023-03-03 08:00,Seoul,55.1,102.1,Summer,50.4
2023-03-03 16:00,Seoul,66.1,115.0,Spring,16.0
2023-03-04 00:00,Seoul,84.1,102.9,Spring,62.5
2023-03-04 08:00,Busan,61.5,57.5,Spring,14.2
2023-03-04 16:00,Busan,10.6,10.0,Autumn,13.3
2023-03-05 00:00,Daejeon,80.5,120.0,Spring,13.8
2023-03-05 08:00,Daejeon,54.4,68.0,Summer,27.4
2023-03-05 16:00,Busan,74.6,123.6,Spring,12.8
2023-03-06 00:00,Seoul,52.2,70.0,Summer,30.5
2023-03-06 08:00,Daejeon,92.4,193.5,Winter,69.3
2023-03-06 16:00,Daejeon,77.3,131.9,Winter,41.0
2023-03-07 00:00,Busan,37.2,47.0,Autumn,35.6
2023-03-07 08:00,Busan,63.2,81.1,Winter,21.8
2023-03-07 16:00,Busan,59.5,85.0,Summer,55.2
2023-03-08 00:00,Incheon,56.7,54.6,Autumn,72.1
2023-03-08 08:00,Busan,46.4,76.5,Autumn,27.1
2023-03-08 16:00,Seoul,48.4,106.5,Summer,36.6
2023-03-09 00:00,Daegu,49.0,95.1,Autumn,50.4
2023-03-09 08:00,Daegu,64.1,109.1,Spring,23.4
2023-03-09 16:00,Daegu,64.4,91.2,Autumn,97.5
2023-03-10 00:00,Daegu,49.9,68.0,Summer,47.0
2023-03-10 08:00,Busan,76.0,109.0,Spring,48.2
2023-03-10 16:00,Busan,92.9,123.4,Winter,60.3
2023-03-11 00:00,Daegu,62.9,145.1,Autumn,56.7
2023-03-11 08:00,Seoul,50.0,54.9,Winter,37.5
2023-03-11 16:00,Daegu,112.3,220.6,Spring,99.9
2023-03-12 00:00,Daejeon,44.2,60.2,Summer,40.7
2023-03-12 08:00,Daejeon,106.2,126.3,Spring,97.9
2023-03-12 16:00,Daejeon,64.4,96.7,Summer,80.2
2023-03-13 00:00,Incheon,82.7,140.4,Spring,58.8
2023-03-13 08:00,Incheon,70.0,100.3,Summer,98.5
2023-03-13 16:00,Daejeon,38.8,59.9,Summer,49.8
2023-03-14 00:00,Seoul,51.3,116.0,Summer,47.1
2023-03-14 08:00,Incheon,68.1,138.9,Spring,39.4
2023-03-14 16:00,Incheon,104.4,185.6,Spring,79.2
2023-03-15 00:00,Incheon,58.5,72.5,Autumn,61.5
2023-03-15 08:00,Incheon,91.9,150.6,Spring,58.8
2023-03-15 16:00,Daegu,68.4,136.9,Winter,31.1
2023-03-16 00:00,Seoul,69.4,137.5,Summer,70.6
2023-03-16 08:00,Daegu,83.2,163.4,Winter,78.2
2023-03-16 16:00,Daegu,107.4,179.3,Spring,75.6
2023-03-17 00:00,Incheon,29.8,37.4,Summer,12.8
2023-03-17 08:00,Busan,38.6,68.7,Autumn,32.7
2023-03-17 16:00,Seoul,96.3,147.1,Spring,60.1
2023-03-18 00:00,Incheon,65.4,146.8,Autumn,71.9
2023-03-18 08:00,Seoul,118.5,194.0,Spring,74.6
2023-03-18 16:00,Daejeon,93.1,115.1,Winter,54.8
2023-03-19 00:00,Busan,81.9,144.0,Winter,97.2
2023-03-19 08:00,Seoul,67.5,143.4,Spring,26.9
2023-03-19 16:00,Daegu,72.7,123.2,Winter,86.1
2023-03-20 00:00,Daegu,76.0,113.6,Spring,45.2
2023-03-20 08:00,Incheon,55.0,66.4,Summer,78.8
2023-03-20 16:00,Daejeon,83.1,213.7,Spring,94.1
2023-03-21 00:00,Seoul,61.7,129.0,Winter,36.7
2023-03-21 08:00,Incheon,78.6,130.6,Spring,81.7
2023-03-21 16:00,Incheon,97.4,164.8,Winter,82.4
2023-03-22 00:00,Busan,77.1,115.3,Winter,45.7
2023-03-22 08:00,Daejeon,93.4,164.6,Spring,90.6
2023-03-22 16:00,Incheon,64.5,111.4,Spring,10.3
2023-03-23 00:00,Daegu,68.1,93.7,Spring,39.4
2023-03-23 08:00,Seoul,27.6,31.7,Summer,25.3
2023-03-23 16:00,Daejeon,26.9,43.2,Autumn,16.5
2023-03-24 00:00,Incheon,49.8,79.1,Summer,33.6
2023-03-24 08:00,Daegu,51.2,60.8,Summer,70.8
2023-03-24 16:00,Seoul,36.5,70.1,Summer,38.4
2023-03-25 00:00,Incheon,71.6,98.1,Spring,72.6
2023-03-25 08:00,Seoul,67.7,145.1,Summer,92.2
2023-03-25 16:00,Seoul,54.9,83.4,Autumn,14.8
2023-03-26 00:00,Daegu,64.1,145.5,Summer,46.1
2023-03-26 08:00,Busan,40.4,63.7,Summer,35.3
2023-03-26 16:00,Busan,74.0,97.0,Spring,10.5
2023-03-27 00:00,Seoul,98.3,181.1,Spring,62.8
2023-03-27 08:00,Daejeon,93.1,167.3,Winter,62.5
2023-03-27 16:00,Busan,59.1,101.4,Summer,75.4
2023-03-28 00:00,Seoul,45.2,65.8,Winter,30.9
2023-03-28 08:00,Daejeon,84.1,134.6,Spring,42.8
2023-03-28 16:00,Daegu,63.4,109.8,Spring,11.1
2023-03-29 00:00,Busan,65.4,92.5,Autumn,77.1
2023-03-29 08:00,Daejeon,79.3,75.8,Winter,72.8
2023-03-29 16:00,Seoul,46.0,70.6,Summer,26.4
2023-03-30 00:00,Daejeon,60.7,92.2,Summer,79.2
2023-03-30 08:00,Daejeon,39.5,75.2,Summer,34.1
2023-03-30 16:00,Daegu,77.1,140.9,Autumn,90.9
2023-03-31 00:00,Daejeon,58.9,107.6,Autumn,56.1
2023-03-31 08:00,Daejeon,59.6,120.8,Summer,69.3
2023-03-31 16:00,Seoul,67.8,94.8,Winter,62.9
2023-04-01 00:00,Busan,43.1,68.3,Summer,53.7
2023-04-01 08:00,Busan,51.2,60.8,Summer,14.4
2023-04-01 16:00,Seoul,57.9,101.8,Summer,75.3
2023-04-02 00:00,Busan,86.7,124.8,Winter,70.4
2023-04-02 08:00,Seoul,99.8,171.8,Winter,93.1
2023-04-02 16:00,Incheon,65.2,121.3,Summer,60.5
2023-04-03 00:00,Daejeon,52.1,77.3,Summer,44.8
2023-04-03 08:00,Incheon,80.7,104.7,Winter,57.1
2023-04-03 16:00,Busan,42.6,84.7,Summer,45.3
2023-04-04 00:00,Seoul,54.0,87.5,Summer,62.4
2023-04-04 08:00,Daejeon,75.8,112.1,Autumn,80.3
2023-04-04 16:00,Incheon,96.9,132.4,Winter,88.2
2023-04-05 00:00,Seoul,64.8,115.9,Autumn,98.6
2023-04-05 08:00,Busan,60.0,96.0,Autumn,83.3
2023-04-05 16:00,Daejeon,100.3,150.0,Winter,82.4
2023-04-06 00:00,Seoul,72.3,146.4,Winter,60.5
2023-04-06 08:00,Incheon,78.5,153.9,Winter,97.0
2023-04-06 16:00,Daejeon,46.7,93.8,Autumn,17.6
2023-04-07 00:00,Incheon,97.1,177.9,Winter,93.2
2023-04-07 08:00,Incheon,66.4,121.5,Spring,24.8
2023-04-07 16:00,Seoul,22.8,36.2,Summer,27.9
2023-04-08 00:00,Daejeon,79.5,143.4,Winter,35.3
2023-04-08 08:00,Incheon,104.1,198.9,Spring,83.8
2023-04-08 16:00,Incheon,45.5,31.4,Autumn,41.5
2023-04-09 00:00,Seoul,37.4,69.9,Autumn,58.7
2023-04-09 08:00,Incheon,69.3,103.7,Summer,62.9
2023-04-09 16:00,Busan,55.7,119.9,Autumn,63.1
2023-04-10 00:00,Seoul,108.2,188.8,Spring,84.9
2023-04-10 08:00,Incheon,45.7,33.3,Summer,62.2
2023-04-10 16:00,Incheon,64.1,104.2,Summer,51.0
2023-04-11 00:00,Busan,69.0,107.1,Winter,23.6
2023-04-11 08:00,Daejeon,44.5,81.8,Autumn,54.9
2023-04-11 16:00,Daejeon,101.7,182.7,Spring,82.7
2023-04-12 00:00,Daegu,89.7,162.0,Winter,97.6
2023-04-12 08:00,Daegu,52.8,82.6,Spring,16.3
2023-04-12 16:00,Daejeon,107.2,204.9,Spring,92.9
2023-04-13 00:00,Incheon,92.2,168.5,Winter,60.1
2023-04-13 08:00,Busan,66.7,101.2,Autumn,73.9
2023-04-13 16:00,Daegu,45.3,85.3,Autumn,39.7
2023-04-14 00:00,Daegu,93.8,166.3,Winter,80.5
2023-04-14 08:00,Seoul,91.7,82.1,Spring,77.9
2023-04-14 16:00,Daejeon,53.0,73.7,Autumn,58.5
2023-04-15 00:00,Incheon,109.6,111.2,Spring,98.0
2023-04-15 08:00,Seoul,93.0,111.6,Spring,77.5
2023-04-15 16:00,Busan,62.0,65.7,Autumn,91.9
2023-04-16 00:00,Daejeon,49.2,70.9,Winter,10.4
2023-04-16 08:00,Busan,50.6,89.5,Summer,48.9
2023-04-16 16:00,Daejeon,56.4,55.6,Autumn,89.4
2023-04-17 00:00,Daejeon,91.8,135.9,Spring,61.8
2023-04-17 08:00,Daegu,77.0,120.3,Winter,57.8
2023-04-17 16:00,Daejeon,80.5,110.7,Winter,35.5
2023-04-18 00:00,Seoul,74.7,109.8,Winter,34.8
2023-04-18 08:00,Busan,61.8,114.8,Winter,28.1
2023-04-18 16:00,Daegu,31.2,51.8,Autumn,21.7
2023-04-19 00:00,Seoul,96.7,150.0,Winter,98.5
2023-04-19 08:00,Daegu,103.7,165.9,Winter,79.5
2023-04-19 16:00,Daejeon,47.9,54.4,Winter,18.8
2023-04-20 00:00,Incheon,49.8,93.3,Summer,53.4
2023-04-20 08:00,Busan,49.7,87.6,Summer,78.7
2023-04-20 16:00,Incheon,37.7,57.2,Summer,24.6
2023-04-21 00:00,Incheon,66.3,110.3,Winter,29.8
2023-04-21 08:00,Daegu,64.0,85.3,Spring,10.7
2023-04-21 16:00,Daejeon,85.1,119.3,Winter,84.0
2023-04-22 00:00,Incheon,78.1,92.7,Winter,35.7
2023-04-22 08:00,Incheon,55.1,61.4,Spring,40.6
2023-04-22 16:00,Seoul,58.1,132.8,Summer,49.2
2023-04-23 00:00,Incheon,54.1,74.7,Autumn,82.6
2023-04-23 08:00,Busan,90.9,143.9,Autumn,98.9
2023-04-23 16:00,Incheon,82.8,110.8,Spring,47.6
2023-04-24 00:00,Seoul,66.7,96.4,Autumn,62.0
2023-04-24 08:00,Incheon,62.2,99.0,Winter,18.6
2023-04-24 16:00,Seoul,42.5,63.5,Summer,51.5
2023-04-25 00:00,Daegu,53.7,67.7,Summer,69.3
2023-04-25 08:00,Daegu,71.9,143.3,Summer,95.5
2023-04-25 16:00,Daejeon,93.4,168.3,Winter,79.0
2023-04-26 00:00,Daegu,60.3,95.9,Autumn,69.6
2023-04-26 08:00,Busan,50.1,75.0,Autumn,81.7
2023-04-26 16:00,Busan,98.0,135.3,Winter,92.6
2023-04-27 00:00,Daejeon,44.0,50.7,Summer,23.4
2023-04-27 08:00,Daegu,68.9,119.6,Autumn,82.1
2023-04-27 16:00,Daegu,101.9,168.3,Winter,76.2
2023-04-28 00:00,Busan,67.5,102.7,Spring,28.2
2023-04-28 08:00,Daejeon,69.5,92.9,Summer,78.4
2023-04-28 16:00,Daejeon,60.8,90.1,Autumn,63.5
2023-04-29 00:00,Busan,73.0,138.8,Autumn,58.1
2023-04-29 08:00,Busan,53.6,121.4,Summer,49.4
2023-04-29 16:00,Incheon,63.8,63.6,Autumn,76.1
2023-04-30 00:00,Incheon,108.0,222.7,Spring,75.8
2023-04-30 08:00,Daejeon,25.6,14.3,Summer,16.4
2023-04-30 16:00,Seoul,66.3,87.1,Spring,34.4
2023-05-01 00:00,Incheon,83.2,168.1,Summer,93.0
2023-05-01 08:00,Daegu,31.2,73.9,Summer,29.9
2023-05-01 16:00,Busan,26.5,37.2,Autumn,10.8
2023-05-02 00:00,Busan,86.0,161.7,Spring,88.1
2023-05-02 08:00,Seoul,46.8,64.4,Summer,46.5
2023-05-02 16:00,Incheon,77.7,168.2,Spring,55.2
2023-05-03 00:00,Incheon,62.2,72.4,Autumn,82.5
2023-05-03 08:00,Incheon,76.8,88.3,Winter,34.8
2023-05-03 16:00,Daegu,53.0,113.2,Autumn,26.1
2023-05-04 00:00,Seoul,77.3,131.8,Summer,93.5
2023-05-04 08:00,Daejeon,92.4,135.6,Spring,70.9
2023-05-04 16:00,Daejeon,42.7,60.2,Autumn,14.2
2023-05-05 00:00,Daegu,80.3,123.8,Spring,89.3
2023-05-05 08:00,Incheon,45.3,106.8,Summer,58.8
2023-05-05 16:00,Seoul,74.7,124.8,Spring,26.7
2023-05-06 00:00,Daejeon,90.0,112.8,Winter,86.2
2023-05-06 08:00,Incheon,81.7,125.6,Spring,41.0
2023-05-06 16:00,Daejeon,40.2,54.0,Autumn,23.5
2023-05-07 00:00,Busan,52.7,108.2,Summer,54.8
2023-05-07 08:00,Incheon,39.4,56.5,Autumn,31.6
2023-05-07 16:00,Seoul,20.3,12.8,Summer,27.0
2023-05-08 00:00,Incheon,74.5,138.0,Summer,97.5
2023-05-08 08:00,Daegu,52.8,55.1,Winter,28.9
2023-05-08 16:00,Incheon,,14.8,Summer,17.3
2023-05-09 00:00,Busan,51.8,62.6,Autumn,48.6
2023-05-09 08:00,Incheon,87.3,123.7,Autumn,88.0
2023-05-09 16:00,Seoul,88.0,114.2,Winter,53.1
2023-05-10 00:00,Daejeon,86.6,96.5,Winter,75.1
2023-05-10 08:00,Daegu,65.6,109.5,Spring,24.4
2023-05-10 16:00,Incheon,44.2,78.5,Summer,65.8
2023-05-11 00:00,Daejeon,83.0,153.7,Spring,66.3
2023-05-11 08:00,Busan,59.9,111.5,Summer,63.1
2023-05-11 16:00,Seoul,109.1,165.4,Spring,97.1
2023-05-12 00:00,Seoul,64.8,61.6,Winter,36.3
2023-05-12 08:00,Daegu,56.3,87.3,Summer,55.9
2023-05-12 16:00,Daejeon,38.2,61.9,Autumn,29.7
2023-05-13 00:00,Incheon,57.3,73.5,Summer,58.8
2023-05-13 08:00,Busan,80.3,179.0,Spring,38.5
2023-05-13 16:00,Daejeon,86.4,126.0,Winter,81.0
2023-05-14 00:00,Busan,82.6,159.3,Winter,66.1
2023-05-14 08:00,Busan,61.5,131.3,Autumn,74.7
2023-05-14 16:00,Seoul,43.5,100.6,Summer,22.8
2023-05-15 00:00,Daejeon,38.4,66.8,Autumn,20.3
2023-05-15 08:00,Daejeon,96.8,190.0,Spring,96.0
2023-05-15 16:00,Busan,35.4,55.7,Summer,39.5
2023-05-16 00:00,Seoul,59.8,109.0,Summer,70.8
2023-05-16 08:00,Daegu,117.7,195.2,Spring,98.0
2023-05-16 16:00,Busan,55.2,30.2,Spring,14.0
2023-05-17 00:00,Seoul,76.8,88.0,Summer,87.2
2023-05-17 08:00,Busan,69.1,119.7,Summer,43.5
2023-05-17 16:00,Incheon,78.1,86.7,Spring,18.4
2023-05-18 00:00,Seoul,73.3,124.4,Summer,95.5
2023-05-18 08:00,Incheon,80.3,155.0,Summer,94.0
2023-05-18 16:00,Seoul,93.3,154.1,Spring,99.5
2023-05-19 00:00,Seoul,57.1,72.4,Summer,50.7
2023-05-19 08:00,Seoul,47.3,56.8,Summer,95.0
2023-05-19 16:00,Daejeon,83.6,144.1,Winter,68.4
2023-05-20 00:00,Seoul,43.7,78.6,Summer,31.9
2023-05-20 08:00,Daegu,44.9,55.9,Spring,11.2
2023-05-20 16:00,Seoul,71.2,108.8,Spring,38.0
2023-05-21 00:00,Incheon,54.4,89.8,Autumn,58.2
2023-05-21 08:00,Busan,68.0,157.6,Winter,44.6
2023-05-21 16:00,Busan,79.7,155.0,Spring,42.3
2023-05-22 00:00,Incheon,49.0,81.3,Autumn,41.0
2023-05-22 08:00,Busan,68.3,92.0,Autumn,63.4
2023-05-22 16:00,Incheon,50.5,63.2,Autumn,30.1
2023-05-23 00:00,Incheon,54.7,75.8,Autumn,73.4
2023-05-23 08:00,Daejeon,57.9,71.9,Summer,65.4
2023-05-23 16:00,Daejeon,104.5,185.7,Spring,92.8
2023-05-24 00:00,Daegu,97.6,118.4,Winter,79.6
2023-05-24 08:00,Daegu,76.0,136.3,Summer,86.5
2023-05-24 16:00,Daegu,53.4,72.3,Autumn,49.4
2023-05-25 00:00,Seoul,60.8,74.9,Spring,44.9
