OrderID,CustomerID,OrderTime_Hour,ItemCount,TotalPrice,IsLoyaltyMember
50224,10605,18,4,33.28,No
50225,10859,18,23,170.03,No
50226,11218,13,8,84.64,No
50227,12554,16,8,91.09,No
50228,13994,16,22,172.56,No
50229,14203,12,24,174.6,Yes
50230,11022,19,13,96.42,No
50231,10826,14,9,,No
50232,13620,13,12,131.13,No
50233,10055,19,13,121.43,No
50234,10151,12,23,172.87,No
50235,12254,20,16,137.26,No
50236,14066,21,22,259.23,No
50237,14475,11,16,132.94,No
50238,13377,17,9,91.33,Yes
50239,11970,16,23,187.41,Yes
50240,14463,13,13,134.3,Yes
50241,13978,11,3,26.27,No
50242,10310,20,20,128.78,Yes
50243,10283,10,14,83.98,No
50244,12452,12,16,182.22,No
50245,13129,19,14,128.39,Yes
50246,14952,10,8,56.23,Yes
50247,12062,15,2,18.22,Yes
50248,13150,12,2,19.24,No
50249,12777,19,9,55.75,Yes
50250,12955,18,3,31.5,No
50251,12573,17,6,49.59,Yes
50252,14798,17,12,140.11,No
50253,11388,13,18,195.86,No
50254,13118,16,5,46.51,No
50255,14383,16,15,81.32,Yes
50256,12664,16,1,6.81,Yes
50257,12079,18,17,96.16,Yes
50258,12904,18,3,30.23,No
50259,14733,19,6,42.41,No
50260,13949,16,16,119.34,Yes
50261,13705,10,6,64.11,No
50262,10229,12,1,7.77,No
50263,13856,9,10,79.83,Yes
50264,12110,8,1,11.74,No
50265,12950,11,16,97.17,No
50266,13414,16,22,216.6,No
50267,11624,16,16,171.26,Yes
50268,13751,9,7,72.5,Yes
50269,11300,11,7,58.01,Yes
50270,14142,13,2,14.91,Yes
50271,14632,13,13,103.61,Yes
50272,12106,9,17,86.29,No
50273,14688,12,5,48.66,Yes
50274,13424,12,4,,No
50275,13827,12,1,7.39,Yes
50276,10421,13,17,151.97,Yes
50277,14144,11,20,204.1,No
50278,12173,17,20,125.61,Yes
50279,12271,12,2,11.35,Yes
50280,10621,17,16,113.33,No
50281,11247,12,2,10.94,No
50282,14983,13,14,108.3,No
50283,13573,11,8,54.69,No
50284,14130,9,24,229.37,No
50285,10996,16,19,202.68,No
50286,13787,16,24,277.68,No
50287,12754,16,1,7.88,Yes
50288,11215,16,22,119.45,Yes
50289,14584,10,16,111.11,No
50290,13676,12,19,133.1,Yes
50291,11919,12,8,58.03,Yes
50292,14265,15,12,133.77,No
50293,13050,19,7,62.56,No
50294,11766,14,13,141.19,No
50295,11895,10,1,10.82,No
50296,11582,16,16,89.8,Yes
50297,11887,17,18,146.13,No
50298,13148,10,9,48.3,No
50299,13776,8,21,136.35,No
50300,12859,17,24,198.33,No
50301,12142,21,18,134.85,No
50302,13798,20,6,62.31,No
50303,13859,12,22,207.04,Yes
50304,12590,14,3,33.9,No
50305,10035,11,4,38.24,No
50306,14703,17,22,119.57,No
50307,12872,8,11,118.61,No
50308,10850,21,20,129.4,Yes
50309,12478,13,20,106.66,No
50310,10635,15,14,94.5,No
50311,12652,12,7,38.93,Yes
50312,11057,18,18,108.64,Yes
50313,13561,8,13,139.49,Yes
50314,11364,12,22,227.49,Yes
50315,11232,17,21,198.72,No
50316,14350,16,2,22.48,No
50317,13100,18,17,135.99,Yes
50318,12440,19,1,7.36,No
50319,14441,18,6,64.41,No
50320,14052,12,11,115.82,No
50321,12263,17,10,60.84,Yes
50322,10849,12,14,107.54,No
50323,13736,16,5,29.57,Yes
50324,13704,20,19,139.61,No
50325,10174,18,7,52.47,No
50326,14482,22,10,89.91,Yes
50327,14658,14,6,48.09,Yes
50328,14923,11,23,163.94,Yes
50329,11075,18,24,149.19,Yes
50330,10670,13,4,20.56,Yes
50331,10737,16,5,52.19,No
50332,12993,10,1,9.88,No
50333,10147,18,5,45.28,Yes
50334,14656,16,18,,No
50335,14922,16,3,33.51,No
50336,12160,18,17,176.02,Yes
50337,14229,14,19,204.51,No
50338,13141,12,14,135.9,Yes
50339,13763,18,4,27.77,No
50340,11805,17,1,11.9,No
50341,11033,10,6,29.04,Yes
50342,10278,10,14,124.93,Yes
50343,11127,15,22,168.35,Yes
50344,12389,20,11,77.61,Yes
50345,13098,17,23,121.86,No
50346,14759,12,23,146.73,No
50347,13401,9,10,57.41,No
50348,10881,13,15,98.5,Yes
50349,14826,14,20,161.02,Yes
50350,12686,8,5,56.0,No
50351,13850,13,10,77.24,Yes
50352,12556,19,3,23.28,No
50353,13854,11,18,103.58,Yes
50354,11948,19,2,23.5,No
50355,10244,20,9,67.68,No
50356,12111,14,21,203.95,No
50357,11940,18,14,167.59,No
50358,13077,22,5,26.27,No
50359,14235,11,2,12.57,No
50360,13814,16,13,92.78,Yes
50361,11760,16,14,90.76,No
50362,10103,17,20,204.98,No
50363,11427,13,16,,Yes
50364,14696,18,7,75.46,No
50365,12761,10,15,147.12,No
50366,11094,17,21,183.53,No
50367,14267,9,16,184.15,No
50368,12684,14,15,140.96,Yes
50369,11467,15,6,34.41,Yes
50370,14989,9,3,19.92,Yes
50371,10031,13,2,16.59,No
50372,11071,17,5,41.79,No
50373,12517,17,16,79.82,Yes
50374,10238,18,2,15.41,Yes
50375,11919,8,19,118.97,Yes
50376,11414,16,18,213.18,No
50377,11587,12,7,83.33,No
50378,11265,22,21,141.44,Yes
50379,10993,11,23,152.42,Yes
50380,12115,8,2,16.36,No
50381,13939,19,5,44.03,Yes
50382,10388,18,22,167.31,No
50383,10472,16,24,114.44,Yes
50384,11739,18,16,155.05,No
50385,13923,12,7,61.43,No
50386,14643,17,14,116.76,No
50387,12722,10,5,52.74,No
50388,12253,14,14,162.18,No
50389,10713,11,2,17.62,Yes
50390,11317,11,18,146.27,No
50391,12627,12,11,57.75,Yes
50392,12647,12,11,80.25,No
50393,14822,12,23,204.71,Yes
50394,14910,8,6,32.08,Yes
50395,13499,11,4,36.4,No
50396,13867,16,9,62.55,Yes
50397,13183,13,12,,No
50398,14933,17,9,47.13,Yes
50399,14736,20,9,51.58,Yes
50400,12392,10,4,19.27,Yes
50401,14739,16,18,197.79,No
50402,10839,12,1,5.23,Yes
50403,11653,18,20,135.8,No
50404,12543,20,13,137.2,Yes
50405,12368,11,13,106.81,No
50406,11471,16,12,124.54,No
50407,13887,17,17,187.18,No
50408,12025,13,12,126.36,Yes
50409,10903,13,10,110.75,No
50410,13352,10,4,23.36,Yes
50411,13260,18,24,266.39,No
50412,13126,13,17,102.92,No
50413,12088,15,23,195.85,No
50414,12380,18,14,130.85,Yes
50415,10195,14,24,180.03,Yes
50416,10854,10,6,48.74,Yes
50417,13715,11,1,8.94,No
50418,13610,18,12,,No
50419,10981,14,3,31.39,No
50420,13292,18,8,87.82,No
50421,14028,16,20,225.05,No
50422,14444,18,21,108.4,No
50423,11850,18,9,43.72,Yes
50424,10092,18,20,113.62,No
50425,11386,16,2,17.36,No
50426,10664,9,8,76.98,Yes
50427,11704,15,24,,No
50428,12028,16,1,10.2,No
50429,12005,10,8,59.0,Yes
50430,11331,12,24,174.05,Yes
50431,10658,16,13,66.93,No
50432,14848,12,20,154.38,No
50433,11497,14,4,42.68,No
50434,11689,12,17,199.18,No
50435,14892,21,6,49.23,Yes
50436,10167,18,22,203.98,Yes
50437,12034,14,1,11.03,No
50438,10371,9,2,21.07,No
50439,13287,18,12,66.04,Yes
50440,13643,13,1,7.48,No
50441,14833,19,9,87.67,Yes
50442,10842,15,18,133.0,No
50443,10667,12,18,112.81,No
50444,11358,18,18,188.68,No
50445,10924,13,22,168.54,No
50446,10759,18,1,6.1,No
50447,11541,17,14,75.51,Yes
50448,13594,17,11,,No
50449,14516,17,7,66.54,No
50450,10412,19,11,110.56,Yes
50451,11097,18,10,105.62,No
50452,11659,17,22,166.29,Yes
50453,12268,20,5,54.11,No
50454,11019,11,5,45.62,Yes
50455,11768,17,19,106.51,Yes
50456,12503,9,23,145.18,No
50457,14281,12,12,,No
50458,11308,17,21,241.61,No
50459,10815,18,8,66.45,No
50460,13822,12,14,131.45,Yes
50461,14991,18,2,21.71,No
50462,12237,9,23,182.05,Yes
50463,13503,17,18,87.81,Yes
50464,13666,13,20,152.18,No
50465,11156,20,18,195.32,No
50466,13695,17,1,7.97,No
50467,14727,18,21,250.76,No
50468,10204,14,18,173.19,No
50469,14374,12,17,121.73,No
50470,11745,11,18,182.77,No
50471,10486,20,3,29.13,Yes
50472,14226,16,2,20.42,No
50473,11704,18,2,15.08,No
50474,10040,11,6,31.46,Yes
50475,14364,18,4,36.12,Yes
50476,10348,17,1,10.69,Yes
50477,14931,12,12,119.02,Yes
50478,14849,12,1,11.46,No
50479,12500,19,24,237.32,No
50480,13796,9,4,30.11,Yes
50481,10490,19,3,25.29,No
50482,14698,12,13,94.5,No
50483,10318,20,13,117.04,No
50484,14454,22,17,82.11,Yes
50485,12153,19,18,191.5,Yes
50486,10430,14,24,163.68,No
50487,12762,12,17,132.22,No
50488,10197,16,2,18.99,Yes
50489,10566,10,4,29.19,Yes
50490,12452,18,16,98.23,No
50491,12618,14,14,128.8,Yes
50492,10649,13,16,155.4,No
50493,14769,8,21,152.87,No
50494,11628,17,12,63.13,No
50495,13149,18,24,125.44,Yes
50496,10699,9,18,121.59,Yes
50497,11505,13,24,206.75,Yes
50498,14227,18,5,35.35,Yes
50499,13953,18,10,75.78,Yes
50500,13181,12,14,130.4,Yes
50501,11294,20,6,38.65,Yes
50502,11304,16,8,50.17,Yes
50503,10578,10,11,128.26,No
50504,10837,9,3,18.63,No
50505,13002,17,5,28.3,Yes
50506,14954,8,11,77.6,Yes
50507,13794,17,11,92.52,Yes
50508,12709,15,22,223.06,No
50509,12493,16,18,123.93,Yes
50510,10783,12,16,115.92,Yes
50511,10555,17,10,110.13,No
50512,11708,15,1,9.36,No
50513,10938,18,4,39.95,No
50514,14925,19,12,126.27,No
50515,10655,19,22,210.44,No
50516,14135,16,19,181.63,No
50517,10633,13,5,26.88,Yes
50518,12578,19,6,30.21,Yes
50519,12317,19,1,7.3,No
50520,12867,16,14,134.34,No
50521,13755,15,23,119.6,No
50522,10468,21,19,203.73,No
50523,13954,14,14,121.76,No
50524,14121,12,11,56.85,Yes
50525,14355,10,13,115.4,No
50526,11409,16,16,140.13,Yes
50527,13524,19,1,9.48,Yes
50528,11690,9,3,31.45,Yes
50529,13513,15,17,164.2,No
50530,14003,12,4,23.45,Yes
50531,11623,22,10,53.44,Yes
50532,12259,14,4,35.14,No
50533,11680,12,1,6.36,Yes
50534,10617,20,5,50.24,Yes
50535,13953,16,13,152.88,No
50536,14459,9,11,90.66,Yes
50537,14993,10,9,64.8,No
50538,13417,8,4,33.87,Yes
50539,12014,12,3,28.72,Yes
50540,13740,9,20,231.94,No
50541,13120,17,2,11.24,Yes
50542,10289,9,12,93.32,Yes
50543,11369,13,4,32.45,Yes
50544,11411,15,12,128.44,Yes
50545,10803,10,23,172.78,Yes
50546,14138,18,11,82.11,Yes
50547,13794,17,13,136.33,Yes
50548,12804,13,8,67.38,No
50549,11594,18,10,112.77,No
50550,13943,18,5,57.13,No
50551,11678,13,16,91.22,Yes
50552,12579,11,24,236.98,No
50553,13058,11,14,86.83,Yes
50554,13143,18,7,35.21,Yes
50555,13533,16,24,233.09,Yes
50556,12569,12,18,95.68,No
50557,14849,15,5,35.55,No
50558,14347,17,12,88.17,Yes
50559,13743,15,24,164.24,No
50560,11957,14,21,162.87,No
50561,13631,21,9,58.79,No
50562,10368,9,20,155.02,Yes
50563,14551,12,20,107.56,No
50564,11231,18,22,191.99,Yes
50565,12627,17,8,70.21,No
50566,11773,18,14,,No
50567,11028,20,5,46.48,Yes
50568,14880,17,5,46.2,No
50569,10784,8,14,151.12,No
50570,10449,19,23,135.8,No
50571,10675,18,2,10.54,No
50572,12403,8,8,71.53,Yes
50573,10060,11,4,36.23,Yes
50574,13028,14,20,239.59,No
50575,10111,15,10,85.0,No
50576,14325,19,15,,No
50577,12448,18,21,106.81,Yes
50578,12882,13,6,48.18,Yes
50579,13342,13,18,180.75,Yes
50580,13193,11,20,195.25,No
50581,14001,14,4,28.97,No
50582,12259,18,2,13.07,Yes
50583,12287,18,10,77.28,Yes
50584,13332,15,22,160.4,Yes
50585,14840,10,12,76.28,Yes
50586,11897,18,17,190.61,No
50587,12389,13,16,167.02,No
50588,10861,17,14,139.16,Yes
50589,11662,17,16,179.96,No
50590,11381,11,12,102.61,No
50591,11443,9,6,32.76,Yes
50592,13681,14,9,104.95,No
50593,12734,17,3,19.7,Yes
50594,10853,9,3,15.58,No
50595,10754,12,14,94.7,No
50596,11598,11,8,65.3,No
50597,14175,20,3,18.8,No
50598,14559,13,4,37.34,Yes
50599,14150,18,19,196.44,Yes
50600,13579,19,17,144.15,No
50601,13586,10,12,72.87,Yes
50602,13461,22,4,22.3,Yes
50603,13706,15,2,15.75,Yes
50604,14331,18,19,131.11,Yes
50605,11223,11,23,232.95,No
50606,11468,17,3,32.17,Yes
50607,12968,16,17,100.87,No
50608,13312,10,24,151.74,No
50609,11383,8,5,45.95,No
50610,13590,17,10,105.53,Yes
50611,10625,18,8,40.21,No
50612,12673,14,3,15.53,Yes
50613,12993,16,13,129.38,Yes
50614,10236,9,7,41.12,No
50615,12198,12,3,26.54,No
50616,14714,8,1,10.79,No
50617,14432,10,8,58.74,No
50618,12038,15,20,93.78,Yes
50619,12660,15,9,103.65,No
50620,10513,11,24,258.07,No
50621,11890,18,9,95.61,No
50622,12523,17,10,55.45,No
50623,10928,17,9,72.39,Yes
50624,11378,10,23,126.67,Yes
50625,14547,16,6,54.24,No
50626,12707,16,18,181.68,Yes
50627,10351,12,14,101.17,Yes
50628,12384,16,12,122.27,No
50629,13279,20,1,6.07,No
50630,11006,17,16,106.45,No
50631,11979,18,11,114.54,No
50632,13896,9,12,,Yes
50633,10897,15,15,162.63,No
50634,13960,12,2,17.73,Yes
50635,13594,12,16,121.17,No
50636,12341,16,2,20.66,No
50637,11123,10,15,110.73,No
50638,10358,16,19,93.78,Yes
50639,10005,17,16,155.71,No
50640,13479,19,6,35.78,Yes
50641,13722,12,20,179.25,Yes
50642,13170,12,7,59.78,No
50643,10405,15,11,99.99,No
50644,12570,15,20,210.5,No
50645,10948,18,5,55.81,No
50646,13911,17,14,103.63,No
50647,10779,11,7,67.32,No
50648,10404,11,20,224.6,No
50649,10919,12,11,97.63,Yes
50650,14509,10,20,183.49,Yes
50651,12559,11,24,244.41,No
50652,10985,18,1,6.7,No
50653,12436,18,4,21.71,Yes
50654,13433,9,24,207.03,No
50655,11188,11,20,229.9,No
50656,12801,14,3,17.65,No
50657,10201,19,5,30.48,No
50658,12120,13,7,81.68,No
50659,11239,10,5,44.83,No
50660,14327,18,11,120.41,No
50661,11263,9,6,40.37,No
50662,12230,11,18,103.72,No
50663,14810,21,16,181.34,No
50664,13374,17,18,212.44,No
50665,12800,12,6,32.39,No
50666,10894,16,19,92.95,Yes
50667,12991,13,15,157.68,No
50668,14421,13,3,15.7,No
50669,12383,17,23,189.96,No
50670,13240,14,18,126.93,Yes
50671,12574,12,7,43.17,No
50672,10466,21,12,133.97,No
50673,10748,18,5,41.7,Yes
50674,10307,12,12,71.38,No
50675,14584,22,10,50.49,No
50676,13041,11,22,189.34,Yes
50677,12623,16,19,106.64,Yes
50678,10206,14,17,170.78,No
50679,10038,16,14,142.31,No
50680,12350,14,10,90.96,No
50681,10424,13,5,58.53,No
50682,12325,17,23,170.12,No
50683,10799,11,12,78.52,Yes
50684,13193,18,10,49.79,Yes
50685,10512,21,6,36.45,Yes
50686,14979,13,18,152.93,Yes
50687,11457,10,24,120.51,No
50688,10622,20,18,160.32,Yes
50689,14186,12,15,89.2,Yes
50690,13541,18,15,152.26,Yes
50691,14907,10,18,113.92,No
50692,10340,13,12,122.72,Yes
50693,13387,15,1,5.55,Yes
50694,14519,10,20,172.49,No
50695,14376,19,15,124.14,No
50696,14846,11,21,221.46,No
50697,13080,18,24,223.64,Yes
50698,13963,15,18,143.1,Yes
50699,13146,12,17,112.8,Yes
50700,12601,18,7,64.43,No
50701,11974,13,5,34.0,Yes
50702,11028,16,24,128.7,Yes
50703,12128,12,15,114.51,No
50704,14904,12,16,130.19,No
50705,11187,19,17,142.89,Yes
50706,14185,13,13,141.74,No
50707,13997,22,18,115.92,No
50708,14449,12,23,113.97,Yes
50709,14534,16,16,100.77,Yes
50710,10253,13,1,7.61,Yes
50711,10193,14,21,149.38,No
50712,14400,11,20,91.38,Yes
50713,11175,11,4,24.73,No
50714,11957,17,7,45.52,No
50715,11454,9,4,26.46,No
50716,11497,18,6,47.22,Yes
50717,10062,14,1,11.79,No
50718,14148,8,18,107.76,No
50719,10425,11,17,202.78,No
50720,13223,18,7,81.02,No
50721,13676,10,22,142.6,No
50722,10104,18,20,201.21,No
50723,12779,17,11,101.82,No
50724,11140,9,20,133.01,Yes
50725,12435,18,20,128.6,Yes
50726,13330,20,9,84.49,No
50727,11649,11,6,42.53,No
50728,11941,16,14,94.62,No
50729,11364,12,9,57.0,No
50730,14705,16,22,243.49,No
50731,13662,16,11,76.03,No
50732,12677,12,14,125.45,Yes
50733,12003,14,22,255.9,No
50734,12193,14,4,39.22,No
50735,10968,17,22,149.17,Yes
50736,11281,17,23,129.14,Yes
50737,10759,12,16,95.25,No
50738,12051,11,18,180.16,Yes
50739,10117,18,21,111.85,No
50740,12919,10,23,203.97,Yes
50741,13666,21,11,70.88,No
50742,14642,22,6,47.7,Yes
50743,13714,14,22,200.42,Yes
50744,14021,16,18,159.58,No
50745,14967,18,13,85.12,No
50746,13928,12,18,184.21,Yes
50747,11893,18,10,102.62,Yes
50748,12271,12,21,168.35,No
50749,13755,22,14,111.15,No
50750,11696,19,5,47.66,Yes
50751,10272,11,5,40.51,No
50752,11495,16,6,31.25,Yes
50753,13296,18,24,185.04,No
50754,12382,10,3,24.37,Yes
50755,10466,18,8,46.51,No
50756,11067,10,3,28.1,No
50757,10111,13,12,62.9,No
50758,13350,11,1,5.16,Yes
50759,10768,10,8,40.19,No
50760,10477,12,21,162.15,Yes
50761,10036,11,18,92.61,No
50762,13153,19,20,235.85,No
50763,13309,17,6,56.29,Yes
50764,10568,11,20,119.15,Yes
50765,11322,12,14,76.64,No
50766,12132,13,15,121.85,No
50767,13674,11,11,62.86,Yes
50768,10437,12,16,143.98,No
50769,11229,16,2,21.2,No
50770,10935,13,17,123.0,Yes
50771,11718,8,11,130.27,No
50772,13099,19,17,143.58,Yes
50773,12523,8,10,70.5,Yes
50774,11257,12,14,143.81,No
50775,13472,18,14,122.05,Yes
50776,11836,8,13,63.61,Yes
50777,11504,13,6,54.36,Yes
50778,13531,18,8,71.49,Yes
50779,14281,11,7,68.38,No
50780,10015,16,10,71.5,Yes
50781,12759,20,10,75.61,Yes
50782,13726,13,10,60.48,Yes
50783,13584,16,19,199.88,Yes
50784,13210,9,24,250.25,Yes
50785,13177,9,15,121.9,Yes
50786,13104,8,24,135.48,No
50787,10302,15,22,151.23,No
50788,13833,20,4,26.51,No
50789,13827,9,17,120.39,No
50790,12805,9,7,64.36,Yes
50791,12568,15,17,179.22,No
50792,13599,13,19,120.38,No
50793,14476,17,8,52.47,Yes
50794,13096,18,21,207.4,No
50795,12333,14,3,35.1,No
50796,11467,13,2,16.6,Yes
50797,13573,19,6,56.26,No
50798,13724,8,13,110.7,No
50799,12113,8,23,234.33,No
50800,12913,20,2,14.22,Yes
50801,10071,11,16,145.0,Yes
50802,13590,17,9,56.49,No
50803,10047,20,18,122.46,No
50804,10263,12,1,5.58,No
50805,13680,11,20,186.14,Yes
50806,12123,20,4,26.74,No
50807,12004,14,14,100.02,No
50808,12837,10,6,61.53,Yes
50809,12454,20,1,6.39,Yes
50810,13305,13,7,61.68,No
50811,14270,12,3,14.46,Yes
50812,12656,13,2,18.2,Yes
50813,13843,17,6,34.67,Yes
50814,13351,22,20,230.17,No
50815,13342,11,20,232.1,No
50816,13171,12,1,6.53,Yes
50817,11916,10,3,22.47,Yes
50818,13181,15,24,220.18,Yes
50819,12741,11,21,115.84,No
50820,14237,22,10,90.59,No
50821,14138,20,5,32.74,No
50822,11221,22,1,9.99,Yes
50823,10185,16,13,114.17,No
50824,13041,11,1,9.59,No
50825,14823,10,9,94.97,No
50826,14069,9,6,31.08,Yes
50827,10026,18,24,196.99,Yes
