DayID,PanelTemp,SolarRadiation,CloudCover,DailyPower_kWh,Efficiency
880108,16.4,253.4,29.5,87.5,21.56
880109,33.8,564.2,83.4,145.9,16.78
880110,21.7,106.6,33.8,34.4,20.7
880111,44.9,573.8,14.3,163.2,18.89
880112,20.4,243.6,56.6,82.0,19.72
880113,32.0,873.6,24.4,260.1,19.94
880114,52.0,215.7,93.9,49.0,14.06
880115,48.4,312.4,22.9,90.4,18.05
880116,25.4,559.2,23.3,182.6,20.79
880117,39.4,328.3,97.8,77.6,15.38
880118,35.7,267.5,15.5,85.4,19.94
880119,39.8,982.4,95.1,223.8,15.46
880120,28.4,365.0,66.1,87.4,18.29
880121,24.8,180.5,65.2,47.0,18.77
880122,61.2,977.9,43.1,228.8,15.5
880123,38.3,685.7,73.4,180.2,16.74
880124,49.5,699.9,27.5,182.0,17.69
880125,28.0,789.9,58.7,224.8,18.71
880126,17.0,415.2,74.9,111.8,19.22
880127,16.6,795.8,96.5,208.2,18.18
880128,37.9,481.0,65.9,111.6,17.15
880129,52.5,256.6,46.4,68.4,16.39
880130,25.3,135.3,24.7,34.0,20.73
880131,33.2,879.5,96.8,218.4,16.18
880132,34.2,110.2,55.2,39.9,18.13
880133,30.5,561.0,40.4,167.5,19.32
880134,48.5,780.1,26.8,208.5,17.84
880135,19.2,718.0,12.8,228.3,22.05
880136,18.8,945.0,28.6,297.6,21.31
880137,27.5,906.8,15.3,297.9,20.93
880138,30.7,456.4,54.3,133.1,18.6
880139,37.6,606.7,98.7,141.4,15.55
880140,43.3,337.9,50.1,95.1,17.3
880141,32.2,130.6,50.2,38.3,18.62
880142,40.1,346.5,30.1,98.0,18.68
880143,18.9,703.3,60.4,212.3,19.72
880144,22.7,431.1,1.9,136.9,22.19
880145,18.9,779.9,38.9,240.3,20.79
880146,34.0,178.1,87.2,50.6,16.56
880147,15.6,655.9,8.1,223.7,22.72
880148,31.6,378.7,41.9,102.7,19.12
880149,31.7,914.0,32.2,272.1,19.58
880150,42.9,316.4,18.9,84.5,18.91
880151,15.3,791.5,24.8,252.0,21.92
880152,60.9,779.4,52.9,182.0,15.04
880153,36.7,107.0,33.7,36.0,18.91
880154,57.3,911.5,87.4,184.3,13.75
880155,39.7,110.1,64.8,38.6,17.0
880156,15.8,274.3,35.1,94.3,21.35
880157,55.2,730.1,24.7,192.8,17.14
880158,37.3,781.4,6.5,233.7,20.2
880159,21.2,155.3,1.9,45.0,22.36
880160,26.7,211.7,83.2,63.0,17.64
880161,51.8,352.7,84.2,85.1,14.58
880162,16.8,876.2,66.9,258.3,19.64
880163,47.4,147.9,68.2,38.2,15.9
880164,18.5,657.5,50.1,201.4,20.27
880165,20.8,122.4,42.8,38.7,20.36
880166,16.4,232.4,85.3,69.3,18.77
880167,64.9,686.3,97.5,118.4,12.34
880168,30.2,604.6,86.4,161.6,17.05
880169,52.5,713.0,21.0,189.8,17.65
880170,60.1,575.6,73.0,123.6,14.14
880171,47.1,796.0,45.5,203.8,17.07
880172,34.8,592.2,96.1,134.6,16.02
880173,34.0,896.1,6.1,273.0,20.62
880174,55.7,232.3,14.3,69.6,17.6
880175,46.6,337.3,60.7,87.1,16.37
880176,33.1,983.5,29.5,281.5,19.56
880177,19.9,801.2,17.7,252.4,21.72
880178,37.0,493.9,70.9,125.0,17.01
880179,38.6,935.1,94.3,221.0,15.65
880180,50.7,487.9,39.0,125.7,16.97
880181,54.0,364.8,97.0,68.1,13.67
880182,53.4,735.9,98.9,152.8,13.65
880183,60.6,809.1,80.1,176.9,13.72
880184,33.9,106.1,56.4,29.3,18.11
880185,58.7,721.5,1.1,198.0,17.9
880186,25.5,444.0,86.8,128.3,17.6
880187,30.0,758.9,25.4,226.5,20.14
880188,34.8,851.8,25.0,254.2,19.58
880189,54.2,178.7,41.1,38.5,16.43
880190,53.4,335.3,37.4,88.4,16.72
880191,43.6,370.7,37.0,101.8,17.91
880192,64.7,603.4,19.4,148.1,16.27
880193,59.2,867.4,46.4,210.6,15.57
880194,57.0,808.0,30.7,205.6,16.63
880195,29.5,492.6,92.8,129.1,16.81
880196,17.1,914.4,8.8,300.0,22.51
880197,40.6,280.2,94.0,64.6,15.43
880198,20.3,402.9,24.3,133.2,21.35
880199,53.3,472.2,34.9,125.9,16.86
880200,54.0,463.8,68.9,103.3,15.08
880201,26.8,430.4,47.4,119.7,19.41
880202,27.4,318.8,17.1,90.9,20.86
880203,44.5,854.5,16.4,249.8,18.83
880204,48.6,670.3,91.9,148.5,14.58
880205,22.2,158.2,88.1,47.8,17.93
880206,21.5,612.9,47.6,176.1,20.04
880207,28.9,946.1,89.7,242.0,17.05
880208,22.6,597.0,79.0,167.4,18.34
880209,45.0,161.7,34.6,45.9,17.87
880210,16.0,552.4,26.1,181.0,21.78
880211,49.4,299.5,37.9,75.6,17.18
880212,24.0,566.6,75.8,159.3,18.34
880213,53.0,885.7,14.7,249.2,17.91
880214,56.3,412.7,53.4,100.2,15.58
880215,33.1,671.5,40.4,197.9,19.01
880216,18.9,215.1,58.1,62.8,19.83
880217,36.5,516.0,21.0,149.1,19.57
880218,39.0,806.3,30.6,224.2,18.79
880219,28.9,763.7,56.1,220.0,18.73
880220,59.4,994.8,68.8,216.9,14.43
880221,47.6,525.6,4.0,146.8,19.09
880222,37.6,979.3,31.9,269.7,18.89
880223,63.5,481.7,34.8,124.7,15.64
880224,25.2,455.4,97.0,111.7,17.12
880225,49.8,623.2,25.4,167.6,17.75
880226,55.6,575.6,92.3,108.8,13.71
880227,33.7,612.6,59.4,163.7,17.98
880228,58.3,899.2,49.2,216.0,15.55
880229,36.4,965.8,5.0,300.0,20.38
880230,17.0,426.6,12.2,143.5,22.35
880231,51.6,698.8,76.7,152.3,14.97
880232,22.2,565.5,36.3,170.9,20.52
880233,19.6,417.9,67.7,123.3,19.27
880234,27.8,614.2,2.3,194.4,21.55
880235,58.6,887.3,51.3,206.2,15.4
880236,15.2,526.2,,149.6,19.85
880237,27.4,365.6,33.5,112.7,20.04
880238,26.9,315.3,50.3,93.0,19.26
880239,39.3,475.0,67.7,116.8,16.89
880240,50.5,597.5,82.1,131.1,14.83
880241,47.2,592.6,46.0,155.3,17.03
880242,48.1,822.4,37.3,222.8,17.36
880243,46.8,194.8,10.6,55.7,18.86
880244,30.0,761.1,41.8,218.3,19.31
880245,34.7,601.7,95.0,146.5,16.09
880246,29.4,499.0,79.8,129.8,17.48
880247,47.4,727.4,5.6,203.1,19.03
880248,36.2,627.8,64.4,161.9,17.44
880249,21.5,458.6,75.7,129.3,18.63
880250,50.6,184.4,22.8,47.6,17.79
880251,28.2,911.9,48.2,258.8,19.21
880252,19.8,427.6,19.6,140.0,21.65
880253,20.6,606.0,0.0,196.8,22.53
880254,30.6,854.8,73.9,224.3,17.63
880255,52.5,171.6,52.8,38.1,16.06
880256,43.2,862.9,71.0,209.2,16.27
880257,57.9,547.3,73.0,121.5,14.4
880258,29.7,912.1,64.6,253.0,18.21
880259,43.9,892.8,44.7,236.7,17.49
880260,64.6,457.3,71.6,88.0,13.66
880261,43.6,931.5,,229.1,16.47
880262,59.7,588.4,57.8,135.6,14.95
880263,51.6,101.0,68.7,21.9,15.37
880264,34.2,973.4,93.7,236.8,16.22
880265,56.9,172.5,81.1,45.3,14.11
880266,57.8,191.4,11.4,49.3,17.49
880267,52.8,405.6,51.0,93.5,16.12
880268,54.9,265.9,37.8,71.4,16.52
880269,31.5,878.1,90.8,224.3,16.68
880270,30.4,879.1,4.4,275.6,21.13
880271,34.8,148.9,22.2,33.8,19.71
880272,33.0,302.9,83.6,70.0,16.86
880273,64.7,607.0,70.0,134.1,13.73
880274,29.8,489.5,86.9,121.0,17.09
880275,19.5,904.9,34.4,288.5,20.94
880276,33.2,193.5,48.1,59.6,18.61
880277,20.1,669.6,2.7,223.7,22.45
880278,19.3,143.5,66.4,44.3,19.36
880279,64.5,996.3,72.5,200.5,13.64
880280,51.0,279.2,97.2,67.9,14.01
880281,56.2,624.4,56.6,133.1,15.43
880282,16.1,193.7,19.0,64.2,22.12
880283,30.6,965.1,93.7,242.1,16.64
880284,36.3,100.6,26.7,29.1,19.31
880285,34.0,869.8,59.0,229.9,17.97
880286,18.0,559.3,98.7,159.4,17.9
880287,15.3,804.1,0.4,279.6,23.15
880288,27.3,786.9,63.6,214.9,18.55
880289,21.5,487.5,92.2,130.5,17.8
880290,15.4,467.1,96.5,133.5,18.32
880291,31.1,106.0,38.6,26.9,19.34
880292,20.7,715.5,51.1,210.8,19.96
880293,17.1,392.6,59.7,118.2,19.97
880294,24.8,832.2,52.5,241.3,19.4
880295,20.2,167.4,59.0,52.5,19.63
880296,53.6,943.7,71.3,207.8,15.0
880297,24.2,674.9,22.1,209.1,20.99
880298,37.9,871.1,53.7,236.4,17.76
880299,22.4,793.1,29.2,252.3,20.85
880300,43.1,787.7,92.4,170.7,15.21
880301,61.2,985.0,45.2,222.6,15.4
880302,52.2,826.2,14.1,228.1,18.03
880303,45.4,271.4,35.8,72.8,17.76
880304,30.0,591.7,32.3,171.1,19.78
880305,31.9,694.9,28.4,194.1,19.76
880306,32.7,885.5,85.2,219.1,16.81
880307,56.4,124.6,88.0,26.6,13.84
880308,42.1,997.5,59.2,256.0,16.99
880309,38.2,451.1,14.0,135.1,19.72
880310,18.4,330.3,97.3,92.5,17.92
880311,18.7,895.3,71.4,261.0,19.19
880312,28.2,233.3,65.8,71.2,18.33
880313,50.9,301.5,,74.6,16.05
880314,57.8,848.1,57.0,196.2,15.22
880315,38.2,709.1,68.7,192.1,16.97
880316,43.7,232.4,89.6,54.7,15.27
880317,64.8,865.8,37.1,208.6,15.37
880318,31.3,681.0,51.4,196.0,18.67
880319,16.6,643.4,32.7,220.5,21.37
880320,64.4,718.5,27.8,167.6,15.89
880321,19.1,679.6,45.9,211.9,20.42
880322,42.1,338.8,85.1,70.6,15.69
880323,29.0,863.4,73.7,237.2,17.84
880324,34.6,262.7,94.3,59.8,16.13
880325,37.3,486.4,76.4,118.3,16.71
880326,61.4,384.7,96.9,74.2,12.79
880327,19.7,404.4,86.3,116.7,18.33
880328,18.8,808.0,35.2,249.6,20.99
880329,37.6,177.4,42.9,49.2,18.35
880330,59.3,530.0,5.7,144.4,17.6
880331,55.3,917.9,76.9,200.4,14.52
880332,43.5,323.5,23.5,89.9,18.6
880333,25.1,888.6,96.9,224.5,17.14
880334,26.3,871.5,6.4,284.5,21.52
880335,32.0,415.6,81.3,109.3,17.09
880336,41.3,688.1,6.0,197.6,19.75
880337,39.5,257.3,43.3,60.8,18.09
880338,35.4,944.3,59.5,253.7,17.77
880339,18.4,692.0,60.5,212.2,19.77
880340,61.8,581.6,49.9,131.5,15.09
880341,29.9,347.4,35.5,102.1,19.64
880342,15.3,850.7,8.8,294.5,22.72
880343,26.5,863.2,0.4,279.3,21.79
880344,36.3,340.1,7.4,103.2,20.28
880345,46.4,811.5,94.8,179.2,14.69
880346,15.4,158.9,39.7,49.9,21.17
880347,56.2,449.9,25.1,120.4,17.0
880348,54.4,446.2,83.2,95.7,14.31
880349,35.2,183.8,60.6,51.6,17.74
880350,34.1,301.5,77.2,79.6,17.04
880351,32.9,234.9,58.9,59.4,18.11
880352,47.6,658.9,66.5,156.4,15.96
880353,21.4,963.4,1.9,300.0,22.34
880354,41.0,575.5,46.6,148.8,17.75
880355,30.3,888.5,20.9,269.6,20.32
880356,52.6,218.6,91.0,56.8,14.13
880357,48.4,953.2,43.7,241.2,17.01
880358,57.9,764.6,37.2,189.9,16.19
880359,31.3,321.5,83.0,75.4,17.09
880360,21.9,973.0,94.9,259.5,17.62
880361,27.0,693.1,6.7,225.8,21.43
880362,20.2,695.0,67.3,202.9,19.21
880363,20.7,156.0,8.5,48.1,22.09
880364,47.1,493.9,9.9,133.8,18.85
880365,51.3,493.4,47.7,121.4,16.46
880366,52.1,744.6,12.7,205.0,18.11
880367,18.5,246.7,18.5,84.4,21.85
880368,31.3,929.8,24.0,284.6,20.04
880369,28.7,880.0,71.4,238.0,17.99
880370,36.9,573.3,14.6,173.0,19.84
880371,49.7,842.5,65.9,197.9,15.74
880372,32.7,473.3,34.4,133.4,19.35
880373,36.2,427.6,95.4,115.0,15.88
880374,21.4,925.6,94.4,251.4,17.7
880375,17.6,340.2,21.7,112.6,21.81
880376,28.9,867.3,66.2,234.1,18.22
880377,39.4,628.8,14.1,188.6,19.57
880378,38.1,896.2,28.0,252.7,19.03
880379,44.7,793.8,81.4,189.8,15.57
880380,51.1,860.8,81.4,192.9,14.8
880381,45.8,907.5,11.5,258.9,18.92
880382,21.7,869.6,64.3,244.8,19.18
880383,19.6,850.8,71.1,241.5,19.1
880384,29.0,880.7,74.5,223.4,17.79
880385,61.5,378.0,30.9,85.5,16.08
880386,34.9,300.1,78.8,71.0,16.87
880387,46.9,250.5,36.9,67.8,17.53
880388,54.3,221.0,46.3,55.7,16.16
880389,19.6,863.7,58.5,249.5,19.72
880390,38.5,417.0,23.6,122.7,19.2
880391,61.7,728.9,89.2,147.6,13.13
880392,40.9,153.4,51.9,29.7,17.49
880393,44.2,447.9,92.0,99.0,15.09
880394,43.5,371.3,11.0,102.7,19.23
880395,21.8,347.8,58.4,101.8,19.47
880396,25.2,298.6,76.0,80.5,18.18
880397,48.2,525.1,71.5,122.6,15.64
880398,20.0,824.6,56.8,245.0,19.76
880399,28.3,709.8,98.6,180.5,16.68
880400,37.0,551.1,35.8,161.2,18.77
880401,57.9,694.5,,184.3,17.55
880402,34.7,523.5,18.8,156.7,19.89
880403,33.6,733.1,83.7,198.4,16.78
880404,53.7,370.1,36.5,88.6,16.73
880405,25.3,114.7,21.8,34.4,20.87
880406,22.6,623.7,22.5,192.6,21.16
880407,21.5,135.1,56.9,47.0,19.57
880408,35.1,752.0,57.5,193.6,17.92
880409,23.5,722.4,46.8,220.3,19.84
880410,55.1,803.5,61.1,186.8,15.33
880411,25.2,912.1,88.0,239.5,17.58
880412,49.0,651.4,33.2,179.6,17.46
880413,61.1,481.3,46.7,109.1,15.34
880414,35.1,102.9,29.7,31.4,19.3
880415,52.0,644.9,55.2,150.8,16.0
880416,57.7,373.7,56.9,77.6,15.23
880417,36.5,790.9,53.0,212.0,17.97
880418,34.7,903.5,10.1,279.3,20.33
880419,18.5,640.4,20.7,211.0,21.74
880420,46.8,440.2,28.2,117.0,17.98
880421,37.6,517.0,84.6,129.2,16.26
880422,20.9,755.9,67.9,221.9,19.1
880423,53.8,916.9,24.6,241.8,17.31
880424,24.9,819.4,25.6,252.4,20.73
880425,30.0,651.7,8.4,203.6,20.99
880426,56.4,812.8,63.9,183.1,15.04
880427,42.8,552.5,58.0,139.7,16.96
880428,16.9,123.2,16.4,48.7,22.16
880429,39.1,999.3,59.7,261.0,17.32
880430,38.5,783.9,15.1,239.3,19.62
880431,41.4,834.8,68.3,209.4,16.62
880432,27.4,147.4,90.7,45.4,17.18
880433,38.7,356.0,74.3,87.4,16.64
880434,26.2,722.2,87.1,186.4,17.5
880435,52.1,171.4,21.8,50.9,17.66
880436,24.1,165.0,33.2,50.8,20.45
880437,35.0,762.1,46.0,207.5,18.5
880438,30.2,817.2,23.4,245.3,20.21
880439,48.6,197.6,10.8,55.9,18.63
880440,57.3,331.9,61.4,66.8,15.05
880441,15.4,934.1,48.1,299.1,20.74
880442,24.5,899.2,85.5,245.4,17.78
880443,63.8,354.8,65.2,74.7,14.09
880444,36.9,814.7,62.9,215.7,17.43
880445,32.0,711.5,26.8,211.9,19.82
880446,47.4,878.0,29.4,233.4,17.84
880447,54.0,890.3,78.2,193.6,14.61
880448,23.6,834.3,62.0,234.2,19.07
880449,46.2,749.5,0.5,224.5,19.43
880450,38.0,446.5,68.1,112.5,17.04
880451,56.0,696.8,79.6,146.1,14.3
880452,24.1,284.7,92.3,74.7,17.49
880453,54.3,907.2,41.3,222.5,16.42
880454,52.7,284.8,,60.0,13.7
880455,38.6,504.9,28.5,146.5,18.94
880456,35.7,440.2,33.9,134.8,19.01
880457,64.7,617.0,96.0,116.8,12.44
880458,51.8,496.9,96.0,99.1,13.98
880459,37.1,472.8,0.9,134.8,20.5
880460,25.3,569.7,88.7,154.4,17.53
880461,56.0,724.2,62.4,171.1,15.16
880462,15.2,327.0,10.1,112.4,22.68
880463,53.5,474.0,23.5,121.3,17.41
880464,60.4,976.5,44.8,220.8,15.51
880465,24.3,999.3,9.9,300.0,21.59
880466,63.6,750.9,60.7,158.7,14.33
880467,17.8,643.9,50.7,204.0,20.33
880468,29.1,743.9,94.6,179.5,16.78
880469,49.5,521.6,24.9,142.9,17.82
880470,18.9,519.7,68.6,156.4,19.29
880471,20.3,328.8,33.5,103.0,20.89
880472,57.4,291.5,63.3,72.9,14.94
880473,62.1,513.2,99.2,96.3,12.59
880474,27.2,359.5,59.4,105.7,18.77
880475,21.2,856.2,35.2,261.4,20.69
880476,19.9,549.1,12.7,192.2,21.98
880477,38.9,299.8,78.5,72.0,16.41
880478,45.8,794.9,60.7,196.3,16.47
880479,62.7,971.5,76.1,195.3,13.67
880480,20.7,207.7,77.7,62.7,18.63
880481,23.6,837.2,,224.3,17.66
880482,37.4,272.6,94.9,58.4,15.77
880483,39.4,791.1,56.4,208.5,17.45
880484,16.0,997.7,97.2,264.0,18.22
880485,25.7,980.0,91.8,254.5,17.32
880486,16.4,938.7,83.1,258.0,18.88
880487,48.8,551.9,36.1,141.6,17.34
880488,32.2,452.4,16.9,140.7,20.29
880489,34.9,498.1,55.3,125.8,18.04
880490,33.3,103.0,76.1,25.8,17.2
880491,62.9,434.9,68.7,91.8,14.02
880492,52.7,408.0,60.3,98.0,15.66
880493,21.1,198.0,40.8,62.9,20.43
880494,59.2,631.0,51.4,139.3,15.32
880495,42.0,166.3,70.0,43.7,16.45
880496,21.4,972.2,65.1,279.2,19.17
880497,20.1,179.5,99.1,44.5,17.63
880498,15.0,929.6,91.1,259.1,18.64
880499,32.9,456.3,97.9,110.3,16.16
880500,43.0,386.2,76.5,87.3,16.02
880501,32.6,198.4,29.2,61.5,19.63
880502,23.3,811.3,89.1,219.2,17.75
880503,23.0,446.3,27.6,147.1,20.86
880504,58.8,452.7,3.8,121.7,17.76
880505,37.7,254.0,35.4,71.9,18.71
880506,36.9,310.8,69.8,78.3,17.08
880507,34.8,134.3,59.9,44.3,17.83
880508,40.5,328.2,35.0,91.8,18.39
880509,28.7,671.4,67.9,190.8,18.16
880510,64.4,854.1,89.8,166.5,12.78
880511,60.6,247.6,59.7,56.6,14.74
880512,16.5,180.3,59.9,59.2,20.03
880513,45.6,900.9,5.0,257.3,19.27
880514,25.0,946.5,11.4,300.0,21.42
880515,38.9,212.9,70.0,54.6,16.83
880516,48.1,847.8,14.8,240.3,18.49
880517,48.2,755.8,72.7,175.4,15.58
880518,54.1,632.8,21.1,167.9,17.46
880519,33.9,790.0,31.8,219.1,19.34
880520,19.1,740.3,89.2,197.6,18.25
880521,44.6,457.0,7.4,129.3,19.28
880522,26.5,857.3,95.1,233.3,17.07
880523,33.1,255.6,96.2,72.4,16.22
880524,47.1,840.7,76.7,194.4,15.52
880525,34.0,303.1,81.2,80.5,16.86
880526,63.6,655.0,38.4,151.6,15.44
880527,32.1,903.6,79.5,234.2,17.17
880528,60.2,299.6,41.7,68.3,15.69
880529,54.8,420.1,1.6,106.4,18.34
880530,39.0,367.5,54.6,89.5,17.59
880531,23.2,373.1,52.3,105.9,19.61
880532,64.7,178.2,7.2,44.8,16.87
880533,24.8,759.9,51.7,221.6,19.44
880534,24.1,505.3,49.2,150.9,19.65
880535,41.5,488.6,54.8,130.0,17.28
880536,25.3,823.7,96.6,216.9,17.14
880537,30.6,437.5,19.6,134.5,20.34
880538,36.6,632.9,84.6,147.2,16.37
880539,59.5,619.4,84.3,124.7,13.64
880540,35.0,712.8,46.8,196.8,18.46
880541,52.1,242.0,64.2,51.9,15.54
880542,31.7,196.0,1.5,61.5,21.12
880543,52.5,437.0,48.0,111.6,16.3
880544,17.8,123.5,90.9,32.6,18.32
880545,64.5,571.5,2.1,158.5,17.15
880546,44.2,641.3,8.0,185.2,19.3
880547,15.8,533.1,29.7,174.8,21.63
880548,59.3,752.3,69.1,169.2,14.43
880549,18.4,831.5,53.0,256.3,20.14
880550,55.6,694.4,69.1,154.3,14.88
880551,36.7,244.3,84.3,55.5,16.39
880552,55.1,837.6,6.3,226.7,18.07
880553,53.1,216.0,98.5,47.1,13.7
880554,36.6,581.9,41.9,146.8,18.51
880555,60.2,658.5,77.0,143.2,13.92
880556,23.8,673.7,14.5,210.3,21.42
880557,59.1,188.9,58.8,40.1,14.97
880558,20.6,465.9,18.8,144.7,21.59
880559,20.5,723.4,77.0,202.1,18.69
880560,62.2,378.4,40.2,88.7,15.52
880561,24.8,304.5,80.4,79.4,18.0
880562,35.3,571.9,74.3,150.7,17.05
880563,37.1,589.2,95.4,135.1,15.78
880564,62.2,262.9,4.9,72.7,17.29
880565,21.8,257.5,37.1,78.3,20.53
880566,53.8,341.7,15.0,83.9,17.8
880567,37.3,303.5,57.9,79.0,17.63
880568,27.6,623.4,30.7,185.2,20.15
880569,30.4,628.4,36.5,184.4,19.53
880570,39.5,419.4,22.2,118.9,19.14
880571,22.0,681.1,9.9,223.8,21.86
880572,26.1,149.9,4.6,49.4,21.64
880573,42.3,275.1,58.6,68.2,16.99
880574,35.1,483.4,77.3,116.2,16.93
880575,51.0,244.1,39.3,68.7,16.92
880576,26.3,793.8,0.9,265.2,21.8
880577,55.2,651.7,80.9,138.5,14.33
880578,63.0,716.3,71.7,141.1,13.86
880579,59.6,783.9,29.2,193.3,16.4
880580,20.5,345.8,19.2,127.8,21.58
880581,47.8,465.5,26.9,129.3,17.92
880582,34.1,863.9,1.6,267.5,20.82
880583,49.0,889.5,51.0,215.4,16.57
880584,25.6,503.3,45.7,151.2,19.64
880585,24.1,398.8,,107.7,18.78
880586,25.4,909.2,95.6,238.0,17.17
880587,43.9,293.1,36.9,79.3,17.88
880588,55.9,295.7,89.5,56.6,13.82
880589,15.0,812.0,30.2,257.6,21.68
880590,37.2,267.7,85.7,60.5,16.26
880591,32.9,964.3,84.6,249.8,16.82
880592,38.5,100.5,65.9,16.4,17.09
880593,18.1,937.6,63.6,280.6,19.65
880594,26.7,147.6,55.2,39.2,19.03
880595,62.3,972.0,8.9,248.0,17.08
880596,18.4,257.6,12.9,88.1,22.15
880597,51.7,475.2,29.9,123.7,17.3
880598,51.0,755.3,15.8,206.2,18.09
880599,32.4,348.7,66.5,95.5,17.79
880600,62.4,256.4,98.7,43.8,12.58
880601,56.4,511.9,79.8,108.7,14.24
880602,64.5,530.7,54.5,107.4,14.54
880603,30.3,993.1,63.6,270.0,18.19
880604,48.6,859.5,19.2,236.1,18.2
880605,41.5,100.5,95.4,23.6,15.25
880606,60.3,841.6,99.2,166.9,12.81
