PassID,DefenderDistance_Meters,PassDistance_Meters,PassType,PassSuccess,ReceiverUnderPressure
1920048,15.5,7.4,Type_A,0.0,1
1920049,3.1,1.0,Type_B,0.0,1
1920050,2.9,10.7,Type_A,0.0,0
1920051,5.5,34.2,Type_B,1.0,0
1920052,4.1,16.6,Type_B,0.0,0
1920053,28.6,9.7,Type_A,1.0,1
1920054,6.7,1.6,Type_C,0.0,0
1920055,13.9,4.0,Type_C,,1
1920056,0.1,21.5,Type_C,0.0,0
1920057,1.1,7.2,Type_B,0.0,0
1920058,0.6,0.9,Type_A,1.0,0
1920059,5.5,4.9,Type_C,0.0,0
1920060,15.0,4.0,Type_A,0.0,1
1920061,5.8,15.4,Type_A,1.0,0
1920062,10.7,1.7,Type_B,1.0,0
1920063,6.7,11.0,Type_A,0.0,0
1920064,2.9,1.8,Type_A,0.0,0
1920065,19.0,11.8,Type_C,0.0,1
1920066,1.5,0.8,Type_A,1.0,1
1920067,7.5,0.1,Type_A,0.0,1
1920068,3.8,16.7,Type_A,0.0,1
1920069,6.2,21.1,Type_A,0.0,1
1920070,21.8,18.5,Type_A,0.0,0
1920071,3.8,2.6,Type_A,0.0,1
1920072,8.7,1.3,Type_B,0.0,1
1920073,2.1,14.0,Type_C,0.0,1
1920074,0.2,5.1,Type_A,0.0,0
1920075,6.9,4.7,Type_A,0.0,1
1920076,6.4,10.9,Type_C,0.0,1
1920077,7.1,13.5,Type_A,1.0,1
1920078,16.3,3.2,Type_C,0.0,0
1920079,7.7,13.7,Type_C,0.0,1
1920080,6.5,51.9,Type_B,0.0,1
1920081,11.8,2.6,Type_A,0.0,1
1920082,1.5,16.7,Type_A,0.0,1
1920083,6.7,9.1,Type_B,0.0,1
1920084,2.8,23.3,Type_B,0.0,0
1920085,2.8,11.0,Type_C,0.0,1
1920086,40.2,0.1,Type_A,1.0,0
1920087,2.9,1.1,Type_C,0.0,1
1920088,4.1,7.4,Type_B,0.0,0
1920089,5.3,3.6,Type_A,1.0,0
1920090,14.4,0.8,Type_A,0.0,1
1920091,15.0,6.6,Type_C,0.0,0
1920092,4.5,10.2,Type_C,1.0,0
1920093,6.7,0.3,Type_B,1.0,1
1920094,0.4,4.8,Type_B,0.0,0
1920095,0.5,12.0,Type_B,0.0,1
1920096,7.6,16.4,Type_A,1.0,0
1920097,10.7,0.1,Type_B,0.0,1
1920098,0.9,4.6,Type_A,0.0,1
1920099,18.3,1.4,Type_A,0.0,0
1920100,0.6,6.8,Type_C,0.0,1
1920101,13.1,3.9,Type_A,0.0,0
1920102,24.5,11.0,Type_B,1.0,0
1920103,17.8,0.1,Type_A,1.0,0
1920104,35.0,9.3,Type_B,1.0,0
1920105,6.8,31.9,Type_A,0.0,0
1920106,2.9,11.0,Type_A,0.0,1
1920107,5.2,0.5,Type_C,0.0,1
1920108,14.0,16.4,Type_A,0.0,1
1920109,42.6,3.4,Type_A,0.0,1
1920110,31.0,1.0,Type_A,0.0,1
1920111,2.3,5.6,Type_B,0.0,1
1920112,1.0,6.8,Type_A,,0
1920113,6.0,0.4,Type_B,0.0,1
1920114,0.3,11.7,Type_B,0.0,0
1920115,2.5,1.2,Type_B,0.0,0
1920116,1.8,15.4,Type_C,0.0,0
1920117,16.1,6.8,Type_C,0.0,1
1920118,17.2,0.9,Type_B,0.0,1
1920119,0.5,23.0,Type_C,0.0,0
1920120,4.3,23.2,Type_C,0.0,1
1920121,3.3,15.9,Type_B,0.0,1
1920122,11.5,1.7,Type_A,0.0,0
1920123,9.6,3.0,Type_B,1.0,0
1920124,27.8,10.6,Type_C,0.0,1
1920125,7.4,1.4,Type_B,0.0,1
1920126,4.0,12.1,Type_B,0.0,0
1920127,1.7,0.8,Type_C,0.0,0
1920128,12.6,3.9,Type_A,1.0,1
1920129,17.4,9.4,Type_C,1.0,1
1920130,0.6,0.5,Type_C,0.0,1
1920131,21.1,10.9,Type_B,0.0,1
1920132,28.0,27.1,Type_B,0.0,1
1920133,11.0,4.7,Type_A,0.0,1
1920134,6.3,4.1,Type_A,0.0,0
1920135,5.0,0.4,Type_A,0.0,0
1920136,3.5,18.0,Type_C,,0
1920137,0.5,11.7,Type_B,1.0,1
1920138,5.6,1.6,Type_A,0.0,1
1920139,16.0,6.6,Type_C,0.0,1
1920140,16.0,1.0,Type_A,0.0,1
1920141,11.1,5.5,Type_C,0.0,0
1920142,10.9,1.0,Type_B,0.0,1
1920143,13.0,15.8,Type_A,0.0,0
1920144,18.5,11.8,Type_B,0.0,0
1920145,4.6,4.8,Type_B,0.0,1
1920146,7.7,3.1,Type_B,0.0,0
1920147,9.1,0.1,Type_A,1.0,1
1920148,1.3,16.9,Type_A,0.0,0
1920149,1.3,10.2,Type_C,1.0,0
1920150,30.2,17.6,Type_A,0.0,1
1920151,3.2,0.8,Type_B,0.0,0
1920152,8.2,26.8,Type_C,0.0,0
1920153,2.1,5.5,Type_A,1.0,0
1920154,27.6,13.0,Type_A,0.0,1
1920155,12.2,0.5,Type_A,1.0,1
1920156,5.6,12.4,Type_C,0.0,1
1920157,2.1,5.9,Type_B,,1
1920158,29.5,1.4,Type_B,0.0,0
1920159,9.7,6.6,Type_B,1.0,1
1920160,13.6,1.1,Type_A,0.0,1
1920161,7.8,12.8,Type_C,0.0,1
1920162,16.7,8.3,Type_B,0.0,1
1920163,7.6,0.9,Type_B,0.0,0
1920164,1.4,9.0,Type_B,1.0,1
1920165,3.9,20.6,Type_B,0.0,0
1920166,20.3,7.4,Type_A,0.0,0
1920167,2.7,12.2,Type_B,0.0,1
1920168,1.6,6.5,Type_B,0.0,0
1920169,25.9,24.9,Type_C,0.0,0
1920170,8.8,5.8,Type_B,1.0,1
1920171,5.5,7.2,Type_C,0.0,1
1920172,8.5,7.4,Type_A,0.0,1
1920173,3.8,7.3,Type_A,0.0,1
1920174,5.6,13.6,Type_A,0.0,1
1920175,1.8,5.6,Type_A,0.0,1
1920176,1.1,1.2,Type_B,0.0,0
1920177,2.2,12.1,Type_C,1.0,1
1920178,6.9,4.2,Type_A,0.0,0
1920179,1.6,2.4,Type_B,0.0,1
1920180,0.2,3.1,Type_B,1.0,1
1920181,2.8,5.6,Type_A,0.0,0
1920182,3.2,0.6,Type_A,0.0,1
1920183,15.4,1.8,Type_C,0.0,0
1920184,8.9,9.7,Type_C,1.0,1
1920185,2.1,13.0,Type_B,0.0,1
1920186,2.0,16.7,Type_A,0.0,0
1920187,31.9,12.6,Type_B,,1
1920188,1.4,3.8,Type_C,0.0,1
1920189,5.7,22.6,Type_C,0.0,0
1920190,4.1,6.8,Type_B,0.0,0
1920191,22.6,10.0,Type_A,0.0,0
1920192,1.8,17.6,Type_B,1.0,1
1920193,9.1,31.3,Type_B,0.0,1
1920194,6.9,3.6,Type_A,0.0,1
1920195,17.1,5.2,Type_B,0.0,0
1920196,2.0,2.6,Type_C,0.0,0
1920197,15.3,15.3,Type_A,0.0,1
1920198,8.6,9.0,Type_A,0.0,1
1920199,47.8,0.5,Type_C,0.0,0
1920200,8.5,1.6,Type_A,1.0,0
1920201,5.4,6.1,Type_A,1.0,0
1920202,3.3,0.8,Type_B,1.0,0
1920203,8.0,3.0,Type_B,0.0,1
1920204,3.3,1.6,Type_B,0.0,0
1920205,15.6,2.9,Type_C,0.0,0
1920206,5.6,4.6,Type_A,0.0,0
1920207,2.6,6.1,Type_C,0.0,1
1920208,4.8,4.1,Type_B,1.0,1
1920209,4.3,11.5,Type_A,0.0,0
1920210,1.6,2.3,Type_A,0.0,1
1920211,4.3,4.1,Type_A,0.0,0
1920212,13.9,1.5,Type_A,0.0,1
1920213,24.8,0.2,Type_A,1.0,0
1920214,1.2,24.4,Type_B,0.0,1
1920215,4.7,14.1,Type_B,1.0,1
1920216,26.3,21.8,Type_B,0.0,1
1920217,8.6,25.6,Type_B,0.0,0
1920218,4.2,6.2,Type_A,1.0,1
1920219,8.7,0.7,Type_A,0.0,1
1920220,20.2,5.0,Type_A,0.0,1
1920221,5.8,12.2,Type_A,0.0,1
1920222,1.5,0.2,Type_C,0.0,1
1920223,3.3,0.5,Type_A,0.0,0
1920224,2.3,2.2,Type_A,1.0,0
1920225,3.2,23.7,Type_A,0.0,0
1920226,0.5,0.1,Type_B,1.0,0
1920227,12.7,0.7,Type_C,1.0,0
1920228,2.2,3.3,Type_A,1.0,1
1920229,13.4,17.1,Type_C,0.0,0
1920230,2.1,4.6,Type_A,0.0,1
1920231,0.7,26.1,Type_A,0.0,0
1920232,0.7,2.0,Type_B,0.0,0
1920233,0.4,0.1,Type_B,1.0,0
1920234,3.4,2.1,Type_B,0.0,1
1920235,7.4,19.2,Type_C,0.0,0
1920236,5.1,18.9,Type_A,1.0,0
1920237,11.2,2.6,Type_A,0.0,1
1920238,2.3,3.4,Type_B,0.0,1
1920239,1.9,3.0,Type_B,0.0,1
1920240,4.7,5.5,Type_A,0.0,0
1920241,11.6,4.5,Type_B,1.0,1
1920242,2.9,2.7,Type_B,0.0,1
1920243,1.3,3.0,Type_B,0.0,1
1920244,6.4,0.2,Type_B,0.0,1
1920245,6.1,8.7,Type_A,0.0,0
1920246,21.6,12.1,Type_C,0.0,1
1920247,1.8,5.3,Type_A,0.0,0
1920248,21.7,2.5,Type_C,0.0,0
1920249,9.6,0.8,Type_C,1.0,1
1920250,8.7,14.3,Type_B,0.0,1
1920251,7.4,6.3,Type_C,0.0,1
1920252,3.1,4.5,Type_C,0.0,0
1920253,4.6,5.0,Type_B,0.0,1
1920254,6.0,2.5,Type_C,1.0,0
1920255,0.2,8.3,Type_B,0.0,0
1920256,21.2,12.0,Type_B,0.0,1
1920257,2.8,5.4,Type_C,0.0,0
1920258,13.4,0.1,Type_B,0.0,0
1920259,0.9,0.2,Type_C,0.0,1
1920260,12.8,3.9,Type_C,0.0,0
1920261,2.7,1.1,Type_C,0.0,1
1920262,5.3,4.4,Type_C,0.0,1
1920263,1.7,21.7,Type_A,0.0,0
1920264,4.1,1.6,Type_A,1.0,1
1920265,23.2,7.2,Type_C,1.0,1
1920266,0.6,14.2,Type_B,0.0,1
1920267,9.5,13.3,Type_B,0.0,0
1920268,4.6,0.6,Type_B,0.0,1
1920269,1.8,1.1,Type_A,0.0,0
1920270,2.0,10.3,Type_A,1.0,0
1920271,3.2,3.6,Type_A,0.0,0
1920272,0.5,9.5,Type_B,1.0,0
1920273,15.8,5.6,Type_B,0.0,0
1920274,4.8,4.1,Type_A,1.0,1
1920275,2.7,5.1,Type_A,0.0,1
1920276,11.2,9.1,Type_C,0.0,0
1920277,0.6,16.9,Type_B,0.0,1
1920278,6.8,2.8,Type_A,0.0,0
1920279,8.9,0.1,Type_A,1.0,1
1920280,2.6,9.6,Type_B,0.0,0
1920281,0.2,2.8,Type_C,0.0,1
1920282,34.7,3.9,Type_C,0.0,0
1920283,7.4,0.5,Type_C,0.0,1
1920284,18.2,8.1,Type_C,0.0,1
1920285,3.0,0.1,Type_C,1.0,0
1920286,3.3,3.4,Type_C,1.0,1
1920287,2.0,5.1,Type_B,0.0,1
1920288,18.4,4.1,Type_A,0.0,0
1920289,0.3,2.9,Type_B,0.0,1
1920290,12.0,31.4,Type_C,0.0,0
1920291,3.3,25.5,Type_A,0.0,1
1920292,1.1,2.7,Type_A,0.0,1
1920293,21.9,5.6,Type_C,0.0,1
1920294,16.4,12.0,Type_B,0.0,0
1920295,3.1,5.3,Type_A,0.0,0
1920296,0.6,20.8,Type_A,0.0,1
1920297,31.5,1.6,Type_B,0.0,1
1920298,4.3,1.6,Type_A,0.0,0
1920299,1.7,5.2,Type_B,0.0,0
1920300,13.5,29.0,Type_C,0.0,0
1920301,16.8,2.1,Type_C,0.0,0
1920302,28.1,12.5,Type_C,0.0,1
1920303,4.8,2.4,Type_B,0.0,1
1920304,3.3,25.6,Type_A,0.0,0
1920305,6.3,23.2,Type_B,0.0,0
1920306,5.7,11.0,Type_B,0.0,0
1920307,3.2,1.7,Type_B,1.0,0
1920308,1.1,7.7,Type_A,0.0,0
1920309,17.7,9.0,Type_A,0.0,1
1920310,4.8,27.2,Type_C,0.0,1
1920311,8.4,0.6,Type_C,0.0,1
1920312,9.5,0.4,Type_B,0.0,0
1920313,8.5,0.1,Type_C,0.0,1
1920314,12.6,2.9,Type_B,0.0,0
1920315,0.2,12.8,Type_B,0.0,1
1920316,3.7,2.3,Type_B,0.0,1
1920317,11.4,9.8,Type_A,0.0,1
1920318,1.3,1.0,Type_B,0.0,1
1920319,6.4,6.9,Type_B,0.0,1
1920320,0.5,4.2,Type_B,0.0,0
1920321,2.1,1.9,Type_B,1.0,1
1920322,14.2,6.9,Type_C,0.0,0
1920323,5.6,0.5,Type_B,1.0,1
1920324,19.4,9.3,Type_B,0.0,1
1920325,28.4,4.4,Type_A,0.0,0
1920326,19.0,6.0,Type_C,0.0,1
1920327,14.1,0.2,Type_C,1.0,1
1920328,3.9,1.8,Type_C,0.0,1
1920329,3.9,3.6,Type_A,0.0,0
1920330,10.6,2.1,Type_B,0.0,1
1920331,2.4,13.4,Type_C,0.0,0
1920332,2.7,7.6,Type_C,0.0,0
1920333,25.0,0.1,Type_C,0.0,0
1920334,21.8,12.4,Type_C,1.0,1
1920335,0.5,24.8,Type_B,0.0,0
1920336,3.2,9.4,Type_C,0.0,1
1920337,16.4,14.8,Type_A,0.0,1
1920338,3.8,3.8,Type_A,0.0,0
1920339,20.9,13.6,Type_B,0.0,0
1920340,8.5,29.6,Type_A,0.0,1
1920341,3.9,7.2,Type_A,0.0,1
1920342,0.4,4.9,Type_C,0.0,0
1920343,11.3,14.2,Type_B,0.0,0
1920344,9.9,9.7,Type_A,0.0,0
1920345,6.7,0.3,Type_C,1.0,1
1920346,3.6,0.2,Type_A,1.0,1
1920347,5.5,1.5,Type_B,0.0,1
1920348,16.8,3.0,Type_A,0.0,1
1920349,9.2,6.9,Type_A,0.0,0
1920350,2.2,9.4,Type_C,,1
1920351,7.5,10.8,Type_A,0.0,1
1920352,13.0,12.4,Type_B,0.0,1
1920353,13.4,20.2,Type_A,0.0,1
1920354,17.5,1.2,Type_B,0.0,0
1920355,7.1,4.9,Type_B,0.0,1
1920356,2.1,1.6,Type_A,0.0,1
1920357,0.8,1.0,Type_C,0.0,0
1920358,2.5,10.6,Type_B,0.0,1
1920359,1.0,24.8,Type_C,0.0,1
1920360,35.9,4.8,Type_B,0.0,0
1920361,15.1,0.3,Type_C,0.0,0
1920362,6.5,3.4,Type_C,0.0,0
1920363,5.2,13.7,Type_A,0.0,1
1920364,1.6,12.2,Type_B,0.0,1
1920365,42.7,8.7,Type_A,0.0,1
1920366,0.2,2.1,Type_B,0.0,0
1920367,4.5,18.2,Type_A,0.0,0
1920368,2.8,7.5,Type_A,1.0,0
1920369,17.3,2.4,Type_A,0.0,0
1920370,18.9,5.6,Type_A,1.0,1
1920371,15.1,0.1,Type_B,0.0,1
1920372,2.7,20.6,Type_C,1.0,0
1920373,5.5,5.4,Type_C,0.0,0
1920374,6.3,0.1,Type_C,0.0,0
1920375,1.7,5.7,Type_A,0.0,1
1920376,32.0,0.7,Type_C,0.0,0
1920377,2.2,12.3,Type_C,1.0,0
1920378,0.5,4.5,Type_C,0.0,0
1920379,6.0,0.8,Type_C,0.0,0
1920380,6.5,22.4,Type_A,0.0,0
1920381,6.8,6.6,Type_B,0.0,0
1920382,3.2,3.4,Type_B,0.0,1
1920383,3.5,1.1,Type_A,0.0,1
1920384,8.5,35.8,Type_A,0.0,1
1920385,5.2,14.2,Type_C,0.0,0
1920386,4.5,0.5,Type_B,0.0,0
1920387,9.4,6.9,Type_C,0.0,0
1920388,6.2,8.3,Type_A,0.0,1
1920389,12.2,4.8,Type_A,0.0,0
1920390,9.8,7.5,Type_A,0.0,0
1920391,2.9,18.5,Type_C,1.0,0
1920392,1.4,0.5,Type_A,1.0,1
1920393,6.2,24.9,Type_B,0.0,1
1920394,1.4,6.4,Type_A,0.0,1
1920395,0.9,1.3,Type_A,0.0,0
1920396,9.9,0.4,Type_C,0.0,0
1920397,4.4,12.9,Type_A,0.0,0
1920398,2.3,17.9,Type_B,0.0,0
1920399,7.6,6.0,Type_B,0.0,0
1920400,23.2,1.5,Type_B,0.0,0
1920401,24.6,6.7,Type_C,1.0,0
1920402,49.4,8.9,Type_A,0.0,1
1920403,3.7,8.5,Type_A,1.0,0
1920404,21.0,0.8,Type_C,0.0,1
1920405,8.1,1.2,Type_B,0.0,0
1920406,35.9,1.9,Type_B,0.0,1
1920407,11.6,3.2,Type_A,0.0,1
1920408,4.2,2.0,Type_B,0.0,0
1920409,8.5,26.0,Type_B,1.0,1
1920410,23.6,3.4,Type_A,0.0,1
1920411,9.0,0.4,Type_A,1.0,1
1920412,26.6,11.7,Type_A,0.0,0
1920413,8.7,10.4,Type_C,0.0,0
1920414,0.2,0.3,Type_C,0.0,1
1920415,10.9,3.4,Type_B,0.0,0
1920416,12.4,1.1,Type_A,0.0,0
1920417,14.2,25.6,Type_B,0.0,1
1920418,11.8,22.9,Type_C,0.0,0
1920419,0.4,11.1,Type_C,0.0,0
1920420,6.1,11.6,Type_C,0.0,0
1920421,4.8,0.3,Type_B,1.0,1
1920422,2.8,0.9,Type_A,1.0,0
1920423,5.3,18.3,Type_B,1.0,0
1920424,2.2,5.6,Type_C,0.0,1
1920425,9.9,8.3,Type_B,1.0,0
1920426,1.3,5.2,Type_B,0.0,1
1920427,0.4,1.6,Type_C,1.0,0
1920428,2.3,0.2,Type_A,0.0,1
1920429,4.8,0.6,Type_C,1.0,1
1920430,8.1,0.4,Type_C,0.0,0
1920431,15.5,5.7,Type_A,1.0,1
1920432,17.7,8.5,Type_C,0.0,1
1920433,4.8,10.7,Type_A,0.0,1
1920434,16.4,14.8,Type_B,0.0,1
1920435,0.4,9.3,Type_A,1.0,1
1920436,7.8,0.9,Type_A,1.0,0
1920437,4.6,1.9,Type_B,1.0,1
1920438,16.9,2.2,Type_C,0.0,0
1920439,7.9,9.6,Type_B,0.0,1
1920440,3.6,6.5,Type_A,1.0,1
1920441,6.8,4.7,Type_A,0.0,1
1920442,6.6,29.8,Type_A,1.0,1
1920443,1.7,1.2,Type_C,0.0,0
1920444,1.0,18.3,Type_A,0.0,0
1920445,0.2,1.1,Type_C,0.0,1
1920446,4.7,2.2,Type_A,1.0,0
1920447,19.4,3.1,Type_A,1.0,0
1920448,0.2,12.8,Type_B,0.0,1
1920449,2.0,0.8,Type_B,0.0,1
1920450,0.5,12.8,Type_C,1.0,1
1920451,6.0,16.9,Type_B,0.0,0
1920452,1.2,24.2,Type_A,0.0,1
1920453,27.4,4.4,Type_C,0.0,1
1920454,17.2,8.6,Type_A,1.0,0
1920455,15.0,9.7,Type_B,0.0,0
1920456,0.5,2.2,Type_C,1.0,0
1920457,6.9,0.8,Type_A,0.0,0
1920458,17.7,11.1,Type_A,0.0,0
1920459,1.9,8.4,Type_C,0.0,1
1920460,3.4,6.1,Type_A,0.0,0
1920461,9.5,4.4,Type_C,0.0,1
1920462,16.9,10.2,Type_A,0.0,1
1920463,12.7,15.8,Type_B,0.0,0
1920464,30.6,1.5,Type_B,0.0,1
1920465,2.8,8.3,Type_C,0.0,1
1920466,2.4,10.0,Type_C,0.0,0
1920467,12.3,3.4,Type_A,0.0,1
1920468,1.8,0.5,Type_B,0.0,0
1920469,15.4,13.6,Type_C,1.0,0
1920470,5.3,7.1,Type_A,0.0,1
1920471,4.8,5.5,Type_C,1.0,1
1920472,2.3,9.9,Type_C,0.0,1
1920473,25.4,1.3,Type_A,0.0,0
1920474,12.7,0.8,Type_C,0.0,1
1920475,4.5,2.2,Type_A,1.0,1
1920476,18.6,0.5,Type_A,0.0,1
1920477,3.5,16.5,Type_C,0.0,1
1920478,2.9,1.8,Type_B,0.0,1
1920479,0.6,14.8,Type_A,0.0,1
1920480,1.6,2.6,Type_C,1.0,1
1920481,3.6,0.1,Type_B,0.0,1
1920482,5.2,32.0,Type_B,0.0,1
1920483,4.5,0.3,Type_B,0.0,0
1920484,6.7,1.2,Type_B,0.0,0
1920485,14.1,8.6,Type_B,0.0,1
1920486,7.6,1.3,Type_A,0.0,0
1920487,0.2,5.6,Type_B,0.0,1
1920488,19.8,8.4,Type_B,1.0,0
1920489,1.9,8.7,Type_C,1.0,0
1920490,0.9,7.2,Type_C,0.0,0
1920491,20.4,28.3,Type_C,0.0,1
1920492,20.8,10.1,Type_C,0.0,1
1920493,9.5,0.8,Type_C,1.0,0
1920494,19.5,5.8,Type_B,0.0,1
1920495,6.7,0.4,Type_B,1.0,0
1920496,26.3,2.9,Type_A,0.0,0
1920497,58.9,1.1,Type_B,0.0,0
1920498,0.5,2.0,Type_B,0.0,0
1920499,9.8,0.2,Type_A,0.0,1
1920500,5.0,8.9,Type_C,0.0,1
1920501,7.5,1.1,Type_B,0.0,0
1920502,18.2,33.3,Type_B,0.0,0
1920503,1.5,0.8,Type_B,0.0,0
1920504,2.6,9.1,Type_A,1.0,1
1920505,12.0,3.1,Type_C,0.0,0
1920506,10.6,17.5,Type_C,0.0,1
1920507,10.3,0.4,Type_B,0.0,1
1920508,3.3,5.8,Type_B,0.0,0
1920509,7.8,2.7,Type_C,0.0,1
1920510,1.3,2.7,Type_A,0.0,0
1920511,12.1,2.9,Type_C,1.0,0
1920512,24.2,12.5,Type_C,0.0,0
1920513,16.1,2.7,Type_B,0.0,1
1920514,4.9,0.3,Type_B,0.0,1
1920515,0.5,5.4,Type_C,0.0,1
1920516,11.1,2.3,Type_B,1.0,1
1920517,2.1,15.9,Type_B,1.0,0
1920518,3.3,1.3,Type_B,0.0,0
1920519,11.5,1.1,Type_A,0.0,0
1920520,4.5,8.8,Type_B,1.0,0
1920521,7.6,4.5,Type_B,0.0,0
1920522,24.5,16.5,Type_C,0.0,1
1920523,1.9,15.1,Type_C,0.0,0
1920524,16.4,0.3,Type_C,1.0,1
1920525,1.6,4.0,Type_A,0.0,1
1920526,0.7,2.2,Type_A,0.0,1
1920527,3.4,1.0,Type_B,0.0,1
1920528,1.4,6.7,Type_B,0.0,1
1920529,7.3,0.9,Type_A,1.0,0
1920530,1.4,1.7,Type_A,1.0,0
1920531,6.9,0.4,Type_B,0.0,0
1920532,1.2,5.9,Type_A,0.0,1
1920533,0.1,2.1,Type_C,0.0,0
1920534,17.8,7.6,Type_C,0.0,1
1920535,2.6,0.1,Type_C,0.0,1
1920536,15.1,5.8,Type_B,0.0,1
1920537,10.6,11.5,Type_A,0.0,0
1920538,11.3,13.0,Type_B,0.0,0
1920539,3.0,13.7,Type_B,0.0,0
1920540,2.7,0.8,Type_C,0.0,1
1920541,7.9,3.3,Type_A,0.0,0
1920542,8.1,20.5,Type_C,0.0,0
1920543,6.5,3.6,Type_B,0.0,1
1920544,11.2,0.1,Type_B,0.0,1
1920545,4.5,3.6,Type_A,0.0,0
1920546,0.2,21.3,Type_B,0.0,0
1920547,10.9,0.9,Type_B,0.0,0
1920548,2.8,1.4,Type_C,0.0,0
1920549,9.6,13.7,Type_B,1.0,1
1920550,1.9,10.1,Type_A,0.0,0
1920551,18.3,8.2,Type_C,0.0,0
1920552,5.2,3.8,Type_B,1.0,1
1920553,8.2,5.1,Type_A,0.0,1
1920554,3.8,1.7,Type_C,1.0,0
1920555,9.1,11.3,Type_A,0.0,0
1920556,6.6,6.4,Type_A,0.0,1
1920557,2.0,1.9,Type_A,1.0,0
1920558,6.0,5.8,Type_A,0.0,0
1920559,4.8,18.8,Type_C,0.0,0
1920560,9.8,8.2,Type_A,0.0,1
1920561,7.2,1.1,Type_B,0.0,0
1920562,25.2,2.1,Type_C,0.0,1
1920563,7.1,1.6,Type_B,0.0,0
1920564,3.5,4.1,Type_B,0.0,0
1920565,24.6,9.7,Type_A,1.0,1
1920566,4.9,3.4,Type_A,0.0,0
1920567,4.3,15.3,Type_A,0.0,0
1920568,17.5,22.3,Type_A,0.0,0
1920569,2.6,11.9,Type_A,,0
1920570,1.3,0.8,Type_B,0.0,0
1920571,33.2,12.4,Type_A,1.0,1
1920572,1.6,13.5,Type_A,0.0,1
1920573,5.5,1.8,Type_B,0.0,0
1920574,2.0,4.4,Type_A,0.0,1
1920575,0.2,1.8,Type_A,0.0,1
1920576,3.2,1.0,Type_B,0.0,1
1920577,6.9,7.3,Type_B,0.0,1
1920578,1.5,4.0,Type_B,0.0,0
1920579,4.1,0.9,Type_A,0.0,0
1920580,8.9,0.8,Type_C,0.0,1
1920581,13.7,4.7,Type_B,0.0,0
1920582,1.9,1.8,Type_C,0.0,0
1920583,11.2,10.6,Type_C,0.0,0
1920584,17.4,3.5,Type_A,0.0,1
1920585,10.0,5.3,Type_B,0.0,0
1920586,19.6,4.0,Type_C,1.0,1
1920587,12.2,6.2,Type_C,0.0,1
1920588,0.2,13.4,Type_C,0.0,1
1920589,11.7,8.6,Type_B,,1
1920590,2.8,6.4,Type_A,0.0,1
1920591,45.3,13.1,Type_B,0.0,0
1920592,0.6,2.0,Type_C,0.0,1
1920593,6.7,21.0,Type_C,0.0,1
1920594,1.1,6.3,Type_A,0.0,1
1920595,4.3,5.4,Type_C,0.0,0
1920596,0.2,9.0,Type_B,0.0,0
1920597,11.7,1.0,Type_C,0.0,1
1920598,4.1,4.4,Type_A,0.0,0
1920599,2.3,5.8,Type_C,1.0,0
1920600,0.1,0.9,Type_C,1.0,1
1920601,18.5,21.5,Type_A,1.0,0
1920602,2.3,3.4,Type_B,0.0,0
1920603,1.1,4.6,Type_C,1.0,0
1920604,2.6,1.6,Type_B,0.0,0
1920605,5.4,0.1,Type_B,0.0,1
