WellID,FluidInflowTemp,FlowRate_Lps,HeatExtracted_kW,COP_Coefficient,WellStatus
1860166,135.4,20.8,148.2,82.9,1
1860167,152.8,38.2,65.2,125.7,1
1860168,171.1,37.3,169.6,70.7,0
1860169,133.1,43.2,80.3,112.9,1
1860170,104.1,21.1,49.6,75.7,1
1860171,90.1,51.1,101.5,109.1,1
1860172,134.6,60.6,122.6,114.8,1
1860173,126.4,51.0,103.1,84.8,0
1860174,142.1,54.9,132.4,83.9,0
1860175,135.6,41.7,91.7,124.8,0
1860176,94.3,44.5,135.9,96.6,1
1860177,133.2,43.3,72.8,90.3,0
1860178,127.2,34.9,82.2,70.5,1
1860179,93.9,24.9,81.2,118.5,0
1860180,103.3,53.1,173.3,138.2,0
1860181,154.1,27.0,39.6,103.2,1
1860182,78.1,57.7,82.3,78.7,1
1860183,143.3,36.8,120.4,104.9,1
1860184,86.0,35.7,69.9,96.1,1
1860185,104.7,56.0,87.3,111.6,1
1860186,154.1,44.5,116.7,103.6,1
1860187,179.7,79.0,95.2,119.5,1
1860188,124.9,64.0,89.4,52.1,1
1860189,158.2,37.9,90.4,98.5,1
1860190,86.6,28.0,71.8,81.2,1
1860191,102.0,51.4,119.2,84.4,0
1860192,124.2,38.9,68.0,123.0,0
1860193,132.6,50.5,109.6,87.1,0
1860194,81.8,19.1,89.6,142.3,1
1860195,77.8,37.8,81.1,76.1,0
1860196,176.8,43.5,141.9,74.7,0
1860197,121.5,41.7,89.5,95.9,0
1860198,115.1,38.2,103.1,90.1,1
1860199,129.2,42.5,84.7,129.2,1
1860200,105.5,43.2,103.0,118.5,0
1860201,82.8,39.3,100.0,153.4,0
1860202,156.1,40.4,100.3,149.6,0
1860203,109.0,23.5,124.3,104.6,0
1860204,122.5,22.0,139.5,100.5,0
1860205,88.2,59.0,89.9,114.0,1
1860206,150.9,40.6,83.7,138.2,1
1860207,108.3,23.9,85.2,105.8,0
1860208,97.6,42.8,150.6,59.6,0
1860209,144.1,69.9,90.1,151.3,1
1860210,48.2,14.7,157.5,125.2,1
1860211,97.3,31.0,133.0,86.2,0
1860212,129.6,47.3,106.2,118.6,0
1860213,113.0,38.0,103.5,101.6,1
1860214,99.6,33.6,123.7,125.2,0
1860215,145.2,52.0,122.4,95.1,0
1860216,137.4,52.0,104.7,93.8,1
1860217,156.1,52.7,99.2,143.3,1
1860218,148.9,37.3,111.7,98.4,0
1860219,78.4,25.8,124.7,116.6,0
1860220,150.8,35.2,135.7,142.7,1
1860221,135.6,47.6,82.4,109.4,0
1860222,147.4,15.4,128.3,89.1,1
1860223,62.4,31.2,120.0,64.2,0
1860224,156.5,46.5,101.0,119.3,0
1860225,123.2,37.6,117.0,135.9,0
1860226,103.0,53.6,71.9,109.3,0
1860227,161.9,51.1,80.9,94.7,0
1860228,133.5,37.2,88.8,142.2,0
1860229,67.8,39.7,112.4,112.6,1
1860230,150.0,61.3,116.2,96.6,1
1860231,155.0,50.6,125.9,85.7,1
1860232,139.9,50.9,91.8,82.2,0
1860233,113.9,35.0,102.1,118.6,0
1860234,82.9,45.1,83.7,121.3,0
1860235,80.5,31.0,83.5,123.1,0
1860236,83.3,34.9,98.4,80.1,0
1860237,126.3,39.3,89.5,79.6,1
1860238,107.6,34.7,115.4,95.4,1
1860239,116.7,47.4,88.3,125.7,0
1860240,171.0,72.2,173.3,90.7,1
1860241,115.2,61.0,90.9,105.8,1
1860242,140.9,46.7,63.8,85.7,0
1860243,140.6,35.9,102.9,98.6,1
1860244,130.3,28.4,93.7,119.7,1
1860245,105.4,58.2,90.3,97.1,0
1860246,73.5,70.0,158.0,94.8,0
1860247,111.4,42.7,118.8,105.4,1
1860248,122.9,29.9,66.3,88.4,1
1860249,105.7,34.9,103.7,99.9,0
1860250,124.7,29.4,107.0,110.6,0
1860251,80.3,34.8,131.1,88.0,1
1860252,92.3,45.2,95.5,116.0,1
1860253,121.1,18.1,55.4,106.4,1
1860254,152.5,34.9,130.1,47.9,0
1860255,139.7,54.0,97.0,71.5,0
1860256,107.9,28.6,70.7,86.2,1
1860257,155.6,36.3,112.3,64.5,0
1860258,105.4,57.9,95.9,130.3,1
1860259,149.1,23.5,96.8,96.3,0
1860260,101.8,66.2,137.1,94.2,0
1860261,159.0,55.9,141.0,92.6,1
1860262,89.6,86.3,136.0,52.5,1
1860263,105.1,69.9,72.9,83.4,1
1860264,105.4,58.7,119.3,66.9,0
1860265,152.0,29.7,118.0,104.3,0
1860266,137.5,44.6,156.0,122.3,1
1860267,87.0,46.8,81.1,54.6,1
1860268,141.0,60.7,81.2,100.2,0
1860269,150.9,59.7,118.2,68.4,0
1860270,88.1,50.2,124.2,103.3,0
1860271,71.7,44.9,109.1,106.0,0
1860272,158.4,19.8,129.4,57.0,1
1860273,118.6,28.4,158.1,131.1,0
1860274,88.2,23.1,109.3,123.7,0
1860275,144.7,48.9,106.2,81.7,0
1860276,185.9,19.5,129.8,94.2,1
1860277,136.3,52.2,77.2,117.2,1
1860278,146.5,73.6,113.8,141.0,1
1860279,118.0,45.2,76.8,141.1,1
1860280,119.7,69.2,164.5,78.8,1
1860281,90.2,35.4,96.4,106.7,1
1860282,171.5,40.3,143.1,96.3,1
1860283,121.7,25.9,97.7,66.2,0
1860284,129.6,59.1,50.2,69.5,0
1860285,143.7,54.9,83.4,90.2,1
1860286,102.5,52.3,117.0,101.9,0
1860287,110.9,82.1,102.8,99.8,1
1860288,151.4,44.0,134.4,133.2,1
1860289,119.5,22.6,95.3,69.6,0
1860290,75.7,82.2,68.2,109.2,0
1860291,86.1,61.5,163.6,111.0,0
1860292,83.9,44.3,128.0,91.4,1
1860293,93.0,46.6,95.9,97.2,1
1860294,136.8,36.9,133.6,115.7,0
1860295,169.7,45.1,64.2,56.8,0
1860296,93.9,34.4,94.9,130.3,1
1860297,101.2,38.0,94.7,77.7,0
1860298,118.3,59.5,85.6,115.8,1
1860299,93.5,58.2,80.1,109.0,1
1860300,79.1,27.6,88.2,135.5,1
1860301,170.5,36.7,94.9,79.2,0
1860302,72.2,46.3,114.6,113.8,1
1860303,81.3,33.0,102.7,122.2,0
1860304,172.9,62.8,119.1,78.2,1
1860305,142.0,54.8,91.4,80.8,1
1860306,71.3,52.6,103.7,58.8,1
1860307,127.6,32.7,114.5,95.8,0
1860308,120.3,39.1,73.2,84.5,1
1860309,90.0,32.5,68.2,64.1,1
1860310,104.1,62.0,107.0,128.8,1
1860311,105.9,29.2,115.7,91.4,1
1860312,102.3,13.7,118.3,92.6,1
1860313,150.6,32.1,89.8,111.2,0
1860314,110.8,38.1,59.6,65.7,0
1860315,48.2,64.9,68.9,94.5,0
1860316,90.9,25.3,100.6,73.8,0
1860317,105.1,43.4,58.9,98.6,0
1860318,81.9,39.7,62.9,90.4,1
1860319,127.4,55.8,99.7,43.5,0
1860320,103.0,42.3,122.3,115.9,0
1860321,122.8,60.1,105.4,114.3,0
1860322,83.3,59.0,77.9,114.0,0
1860323,127.5,51.7,112.5,111.8,1
1860324,116.0,60.4,87.4,117.7,0
1860325,156.2,39.8,97.8,79.8,0
1860326,141.7,17.7,112.8,91.7,0
1860327,161.1,,64.3,150.5,0
1860328,106.8,43.7,100.9,81.8,1
1860329,131.2,42.8,100.2,104.9,1
1860330,127.2,46.8,112.3,94.3,1
1860331,77.5,25.3,105.1,90.1,0
1860332,164.4,52.8,66.8,123.8,0
1860333,192.2,29.0,33.2,59.6,1
1860334,148.4,40.2,88.0,89.4,0
1860335,118.8,58.9,63.7,54.7,0
1860336,47.8,41.7,86.7,72.7,0
1860337,112.4,36.7,109.5,82.8,0
1860338,114.4,48.6,123.1,67.4,0
1860339,81.7,36.2,79.4,119.4,0
1860340,105.2,41.9,111.3,123.7,1
1860341,114.7,36.3,98.6,50.8,0
1860342,121.4,43.3,138.2,139.7,1
1860343,94.3,57.2,42.7,112.6,0
1860344,82.3,60.7,102.7,107.8,1
1860345,100.8,59.4,113.2,106.9,1
1860346,56.2,27.8,50.4,103.7,1
1860347,123.8,23.6,80.2,81.4,0
1860348,126.8,50.9,99.0,95.8,1
1860349,133.1,36.1,100.0,66.2,1
1860350,115.2,47.0,78.7,150.5,0
1860351,74.2,61.2,97.7,86.3,1
1860352,91.3,65.4,83.3,81.7,0
1860353,146.6,57.6,121.0,119.1,1
1860354,123.1,17.5,100.7,104.8,1
1860355,121.4,63.6,76.3,105.2,0
1860356,78.5,29.7,95.7,83.5,0
1860357,146.2,33.1,117.2,109.3,1
1860358,101.5,38.2,100.5,118.1,1
1860359,104.6,69.5,90.9,83.6,0
1860360,131.8,59.3,111.7,102.7,0
1860361,94.7,39.0,101.5,102.8,0
1860362,109.8,47.4,82.6,104.1,0
1860363,128.7,34.9,84.2,50.8,1
1860364,110.5,37.1,96.5,97.8,0
1860365,110.3,62.4,102.0,94.7,1
1860366,138.2,30.0,122.0,117.0,0
1860367,124.3,50.7,85.5,116.3,0
1860368,135.1,33.1,141.0,75.9,0
1860369,146.7,30.3,128.8,57.7,1
1860370,125.3,34.1,84.9,109.9,0
1860371,97.6,38.6,103.2,73.4,1
1860372,104.4,23.9,88.3,113.1,1
1860373,94.7,34.6,69.9,123.5,1
1860374,105.6,53.5,78.3,86.0,1
1860375,150.6,63.8,143.7,133.5,0
1860376,95.2,43.7,107.2,70.7,1
1860377,89.8,28.4,120.6,92.3,0
1860378,143.0,53.2,85.7,72.8,0
1860379,131.7,63.9,96.2,128.4,0
1860380,132.9,39.6,103.7,108.0,1
1860381,108.6,40.0,93.6,113.6,0
1860382,103.7,60.3,103.8,91.9,1
1860383,127.3,32.9,59.4,101.5,1
1860384,93.5,47.2,88.7,109.1,1
1860385,113.3,43.6,105.5,117.8,0
1860386,95.4,80.1,64.3,59.3,0
1860387,133.4,75.4,82.6,87.4,0
1860388,126.6,45.1,135.4,100.3,1
1860389,148.9,65.6,110.3,101.0,0
1860390,155.5,60.0,103.1,93.3,1
1860391,104.5,63.8,110.3,110.6,1
1860392,102.8,48.1,83.7,94.7,0
1860393,118.7,41.7,116.8,86.2,0
1860394,152.9,32.9,111.7,154.9,1
1860395,103.9,24.9,107.2,120.4,1
1860396,118.9,46.5,74.2,82.9,1
1860397,165.2,62.3,64.2,106.0,1
1860398,90.8,34.7,120.1,92.4,1
1860399,139.6,77.4,123.6,83.1,1
1860400,124.4,32.0,145.5,110.9,1
1860401,130.1,38.1,91.1,113.1,1
1860402,87.9,72.0,90.2,133.0,0
1860403,126.8,28.2,84.1,135.4,1
1860404,127.5,67.0,76.6,106.9,0
1860405,88.6,35.7,107.8,150.3,0
1860406,122.2,33.8,47.3,134.9,1
1860407,86.5,43.3,87.2,129.1,0
1860408,96.9,37.2,71.0,127.6,1
1860409,101.1,23.6,104.5,69.0,1
1860410,103.8,23.8,91.5,127.9,1
1860411,135.2,36.0,113.5,129.2,0
1860412,82.8,49.7,73.6,128.4,1
1860413,109.0,34.7,134.6,95.8,0
1860414,130.7,42.4,91.0,86.7,0
1860415,112.6,84.4,98.2,117.5,1
1860416,144.9,21.6,69.0,94.5,1
1860417,96.1,32.2,101.2,109.8,0
1860418,95.1,23.9,109.0,119.5,0
1860419,171.2,25.9,70.0,150.7,0
1860420,137.6,59.6,131.3,86.8,0
1860421,44.0,49.2,132.0,117.4,1
1860422,115.7,47.7,77.6,107.7,1
1860423,160.5,70.0,80.7,95.6,0
1860424,92.9,64.5,109.2,117.4,0
1860425,73.7,21.3,49.0,82.6,0
1860426,111.5,41.9,124.7,101.4,1
1860427,123.2,49.2,58.4,110.0,1
1860428,157.6,19.5,77.5,57.9,0
1860429,110.7,59.2,103.4,85.1,1
1860430,88.8,40.7,115.5,80.2,1
1860431,124.6,60.7,99.0,67.7,1
1860432,130.6,43.3,47.0,130.9,0
1860433,82.8,42.4,105.4,121.7,0
1860434,99.6,52.2,108.4,59.4,1
1860435,111.7,36.7,79.9,91.7,1
1860436,77.8,68.5,104.3,101.8,1
1860437,119.0,50.8,120.4,112.6,1
1860438,77.6,32.6,99.0,121.9,1
1860439,69.5,76.8,107.8,98.9,1
1860440,152.9,37.9,91.3,96.9,0
1860441,98.6,23.4,66.2,102.2,1
1860442,129.9,66.0,88.9,121.2,0
1860443,136.8,48.3,108.8,70.3,0
1860444,100.4,,75.3,112.2,1
1860445,146.7,63.8,101.7,91.2,1
1860446,110.3,51.4,114.5,111.0,0
1860447,150.9,36.4,105.6,72.1,0
1860448,179.5,36.3,84.9,113.9,1
1860449,148.4,64.5,88.3,82.6,1
1860450,126.1,60.5,106.5,62.7,1
1860451,77.2,38.0,113.1,87.1,1
1860452,109.5,23.6,79.7,97.0,1
1860453,108.5,46.4,73.7,87.5,0
1860454,109.2,24.2,69.0,151.1,1
1860455,90.3,83.6,116.3,90.8,0
1860456,149.5,53.2,44.3,97.4,0
1860457,111.4,28.3,105.4,88.8,0
1860458,94.8,78.9,105.2,77.8,1
1860459,94.9,42.2,72.7,81.8,1
1860460,95.3,37.2,121.7,123.3,1
1860461,89.0,60.8,157.8,130.0,0
1860462,148.4,24.3,152.0,74.0,0
1860463,102.1,42.0,90.8,99.5,1
1860464,173.2,48.6,112.6,115.2,0
1860465,132.3,40.0,126.3,105.5,0
1860466,74.7,63.8,34.0,116.9,1
1860467,81.7,17.7,94.8,106.7,1
1860468,154.8,63.1,86.7,105.4,1
1860469,114.0,50.9,124.7,98.7,0
1860470,122.5,49.5,151.2,46.0,0
1860471,105.1,70.4,107.7,16.4,1
1860472,68.6,35.5,79.3,59.2,0
1860473,130.3,69.4,105.7,106.2,0
1860474,144.0,56.7,88.5,126.4,0
1860475,92.0,58.2,38.9,60.9,1
1860476,44.7,29.9,81.7,115.5,0
1860477,108.3,36.2,67.5,98.4,0
1860478,98.9,55.5,143.2,155.5,0
1860479,136.0,52.5,76.8,142.6,0
1860480,109.8,20.6,126.1,72.5,0
1860481,87.9,51.5,110.4,83.7,1
1860482,131.3,59.6,160.7,119.6,1
1860483,124.7,46.7,82.8,131.0,1
1860484,81.8,37.4,137.9,61.9,0
1860485,69.3,20.7,75.4,68.5,1
1860486,136.0,60.6,112.7,92.2,1
1860487,75.0,39.0,90.9,98.6,0
1860488,116.4,35.9,97.9,84.9,0
1860489,138.5,55.7,100.3,91.8,1
1860490,110.4,16.0,147.1,96.6,0
1860491,146.4,54.6,92.0,129.1,1
1860492,112.9,50.1,91.2,121.6,0
1860493,110.3,73.6,140.4,96.7,1
1860494,146.9,42.1,87.1,89.1,1
1860495,132.6,40.0,125.2,105.1,1
1860496,155.1,38.3,101.8,69.7,0
1860497,160.9,42.5,123.0,67.3,1
1860498,138.0,52.3,106.8,139.2,1
1860499,88.2,37.9,126.2,108.7,1
1860500,127.7,47.4,107.2,129.7,0
1860501,106.1,42.8,85.7,63.7,0
1860502,124.6,71.8,93.4,115.6,0
1860503,148.2,44.0,67.7,109.4,0
1860504,118.5,76.6,112.6,117.7,1
1860505,114.9,35.6,147.8,74.1,0
1860506,100.7,13.4,92.8,73.2,0
1860507,100.5,30.1,65.8,36.1,1
1860508,127.9,64.1,90.6,125.9,1
1860509,151.7,30.4,102.1,149.4,1
1860510,122.7,39.8,126.6,102.0,0
1860511,113.9,32.0,125.5,110.4,1
1860512,107.6,59.3,110.3,62.8,0
1860513,121.3,58.5,96.7,93.6,1
1860514,127.9,31.7,84.3,125.5,1
1860515,137.0,67.9,70.4,109.2,1
1860516,142.6,54.7,97.9,87.8,1
1860517,112.1,49.8,65.7,129.3,1
1860518,108.2,53.7,120.5,149.2,1
1860519,157.1,12.4,128.7,61.5,1
1860520,131.2,51.0,79.2,152.4,0
1860521,102.6,53.1,92.9,103.3,1
1860522,109.5,64.8,104.4,106.9,0
1860523,105.8,37.4,89.9,112.5,0
1860524,75.6,67.3,120.6,96.1,0
1860525,192.1,27.1,121.5,138.7,0
1860526,140.9,43.0,107.2,101.4,1
1860527,147.9,71.3,147.7,137.5,0
1860528,95.8,29.5,108.7,118.0,0
1860529,144.5,38.3,100.9,151.7,0
1860530,108.2,47.9,76.0,99.8,1
1860531,92.1,37.6,133.0,77.5,1
1860532,123.9,38.5,42.0,123.5,0
1860533,142.1,49.5,90.0,140.5,0
1860534,104.9,56.0,74.5,59.0,1
1860535,98.1,67.5,67.4,85.4,1
1860536,138.9,31.8,129.2,146.6,1
1860537,109.7,15.5,131.7,60.1,0
1860538,113.8,46.4,98.3,111.0,1
1860539,102.9,35.0,107.9,107.1,0
1860540,147.5,54.2,89.0,98.5,0
1860541,167.9,43.1,104.0,109.3,1
1860542,132.7,61.6,142.1,71.6,0
1860543,125.7,37.2,121.9,111.2,1
1860544,133.2,53.4,121.7,109.7,0
1860545,126.7,33.1,69.0,100.4,0
1860546,154.6,20.2,102.2,110.3,1
1860547,159.5,25.1,146.7,90.7,0
1860548,99.3,62.2,127.0,68.9,1
1860549,163.0,48.1,89.6,135.9,0
1860550,95.0,38.5,102.6,126.3,1
1860551,116.8,28.6,111.1,101.3,1
1860552,102.5,41.3,63.0,97.9,0
1860553,55.6,54.2,101.1,92.0,0
1860554,124.9,59.0,99.8,115.1,0
1860555,96.4,37.5,157.0,145.4,1
1860556,116.9,63.8,90.4,111.5,0
1860557,87.5,33.5,72.1,74.0,0
1860558,93.0,40.5,119.9,66.2,0
1860559,159.2,56.5,133.8,134.0,1
1860560,102.3,45.9,102.2,67.2,0
1860561,132.3,8.0,133.5,112.2,0
1860562,132.9,48.4,99.6,79.2,0
1860563,161.1,48.5,60.7,104.1,1
1860564,166.9,59.8,88.6,96.1,0
1860565,113.7,23.6,100.1,98.5,0
1860566,90.4,37.8,149.5,124.2,0
1860567,143.9,55.5,101.6,90.0,0
1860568,129.6,34.0,114.6,108.9,1
1860569,132.6,52.9,111.6,98.3,1
1860570,136.5,62.9,103.5,100.2,1
1860571,125.0,41.5,131.5,110.8,1
1860572,135.0,62.4,133.7,79.3,0
1860573,116.7,24.1,141.4,136.5,0
1860574,96.1,46.5,56.5,135.1,1
1860575,129.4,45.1,93.1,107.1,1
1860576,100.0,36.6,121.8,80.7,1
1860577,93.9,52.5,97.5,59.3,0
1860578,97.8,37.7,60.2,95.9,0
1860579,70.3,47.1,70.0,66.4,1
1860580,119.0,,132.8,95.1,1
1860581,137.1,54.5,114.0,83.6,1
1860582,158.9,29.3,75.4,93.9,0
1860583,121.2,25.0,106.9,101.8,0
1860584,88.5,56.6,78.6,72.6,0
1860585,152.1,43.3,176.0,116.7,0
1860586,158.1,65.2,109.3,65.9,0
1860587,148.6,44.6,122.6,106.4,0
1860588,127.9,50.1,96.3,94.6,0
1860589,113.1,45.3,74.6,97.1,0
1860590,128.1,47.8,115.9,78.1,0
1860591,148.7,24.6,136.0,90.9,0
1860592,64.4,48.2,87.3,77.8,1
1860593,125.1,43.9,91.4,119.2,1
1860594,159.1,82.5,95.0,126.4,1
1860595,97.6,54.6,93.5,131.5,0
1860596,148.1,47.9,89.4,86.3,1
1860597,76.1,30.0,96.3,106.4,1
1860598,126.9,50.3,82.7,92.4,1
1860599,107.2,26.5,46.9,124.5,0
1860600,124.2,47.9,109.5,135.1,1
1860601,130.0,46.9,109.9,110.6,1
1860602,50.1,16.9,96.6,105.1,0
1860603,181.7,66.8,115.1,90.0,1
1860604,71.8,39.5,93.9,115.6,0
1860605,171.2,33.5,85.9,99.7,1
1860606,200.1,36.6,125.8,106.7,0
1860607,67.1,62.5,102.0,115.8,0
1860608,139.1,56.2,116.0,77.1,1
1860609,136.3,65.3,88.5,68.4,1
1860610,113.2,25.1,77.7,91.2,1
1860611,98.4,32.6,109.7,87.2,1
1860612,112.0,66.2,113.6,63.2,0
1860613,143.6,64.9,97.0,70.6,0
1860614,74.3,40.2,109.1,77.9,1
1860615,144.6,33.4,102.8,46.9,0
1860616,130.3,46.1,136.7,83.2,1
1860617,124.7,40.1,83.5,113.1,0
1860618,108.3,,159.1,72.5,1
1860619,102.1,46.2,81.8,79.1,1
1860620,194.5,55.6,105.5,100.7,0
1860621,123.7,52.6,73.7,94.7,1
1860622,146.7,24.5,86.0,104.4,0
1860623,111.4,27.8,125.1,126.5,1
1860624,129.2,49.2,95.2,82.5,0
1860625,144.2,36.1,97.5,83.7,1
1860626,91.6,44.2,114.6,73.8,1
1860627,168.5,57.4,75.0,105.9,1
1860628,83.6,57.8,89.7,70.4,1
1860629,127.2,53.2,78.8,99.9,1
1860630,116.0,69.8,94.6,79.0,0
1860631,131.0,32.8,142.2,79.8,0
1860632,137.2,62.7,158.5,82.5,1
1860633,112.2,39.4,118.2,147.9,1
