SalespersonID,TargetAmount_K,BaseSalaryRatio_Percent,SalesVolume_K,QuotaAttained_Percent,BonusPaid_K
1470057,84.5,30.0,105.6,77.1,106.2
1470058,48.1,34.1,126.1,23.7,128.0
1470059,73.4,49.2,87.3,48.3,83.6
1470060,105.9,47.7,117.9,59.2,103.2
1470061,40.2,67.3,98.6,38.2,80.8
1470062,85.7,52.1,111.2,53.7,91.0
1470063,73.7,31.2,106.8,64.5,112.2
1470064,72.2,36.2,92.0,76.8,94.0
1470065,65.3,31.8,116.0,30.2,99.6
1470066,30.2,60.1,128.3,40.5,88.7
1470067,68.6,35.4,116.1,32.6,147.4
1470068,50.8,55.9,99.0,63.3,100.6
1470069,83.9,31.6,106.8,45.9,70.0
1470070,99.2,41.2,75.6,30.7,127.0
1470071,78.2,59.7,112.0,28.8,103.2
1470072,61.3,50.3,123.2,29.5,110.0
1470073,58.2,51.5,101.8,59.7,91.3
1470074,84.3,36.1,60.8,54.5,132.2
1470075,78.0,34.0,38.1,23.3,138.0
1470076,94.6,41.8,72.9,37.4,102.0
1470077,92.3,61.0,124.6,76.9,75.3
1470078,66.4,57.2,82.0,44.0,65.5
1470079,39.9,45.8,111.3,68.9,76.5
1470080,64.7,50.4,107.8,28.0,102.6
1470081,114.4,54.2,50.2,29.3,137.7
1470082,82.7,32.9,107.8,54.3,83.9
1470083,84.5,57.8,104.4,57.5,86.5
1470084,61.5,36.4,106.5,27.3,97.9
1470085,76.8,47.1,55.9,36.7,117.6
1470086,79.3,45.6,177.0,50.4,97.3
1470087,73.6,50.0,107.0,50.4,154.9
1470088,86.1,43.0,59.8,43.8,150.8
1470089,64.1,22.7,139.9,56.9,84.2
1470090,94.6,58.1,93.6,35.2,105.1
1470091,78.8,51.9,79.7,54.7,101.1
1470092,97.6,33.3,68.5,40.1,156.2
1470093,91.8,46.0,93.5,38.2,122.0
1470094,98.9,78.4,109.9,42.6,99.6
1470095,103.1,20.3,73.9,50.0,107.3
1470096,65.8,31.7,77.7,47.0,71.7
1470097,90.1,28.1,100.7,33.6,132.2
1470098,63.9,54.3,102.3,16.3,59.5
1470099,86.9,51.6,85.9,40.1,65.9
1470100,73.0,53.6,93.9,42.0,113.9
1470101,67.1,28.5,98.2,36.5,72.9
1470102,61.7,32.7,86.8,9.2,72.3
1470103,64.9,50.0,114.0,55.0,80.8
1470104,61.2,33.5,125.8,29.1,63.9
1470105,70.0,40.0,15.6,43.6,109.6
1470106,85.2,45.2,125.2,39.5,72.1
1470107,78.0,77.0,66.2,69.7,119.1
1470108,42.0,60.8,103.1,54.6,95.4
1470109,43.6,47.1,96.0,71.9,89.3
1470110,68.1,47.7,152.1,39.1,61.8
1470111,38.6,43.4,138.2,50.2,54.1
1470112,95.0,38.7,107.3,38.9,107.8
1470113,60.5,54.4,67.2,29.7,107.2
1470114,48.3,63.5,101.0,44.1,67.1
1470115,47.8,58.0,118.1,9.6,165.3
1470116,74.9,64.8,93.6,26.3,92.9
1470117,59.9,50.4,96.8,44.5,127.9
1470118,56.9,18.7,143.1,48.3,62.5
1470119,76.8,47.9,124.3,69.8,114.8
1470120,35.5,39.4,84.2,17.7,83.2
1470121,60.0,48.0,108.6,57.6,127.3
1470122,63.7,26.6,110.7,34.1,99.9
1470123,75.7,27.2,78.3,52.5,76.8
1470124,80.0,59.4,125.0,33.5,73.8
1470125,89.0,37.1,91.9,54.2,79.9
1470126,46.5,32.2,97.5,29.1,83.3
1470127,75.8,46.4,124.2,46.1,116.0
1470128,75.8,55.7,120.5,20.7,126.7
1470129,62.1,49.7,70.9,18.3,71.9
1470130,75.4,39.1,45.2,60.0,78.7
1470131,80.1,27.8,109.3,50.3,112.9
1470132,88.3,38.0,43.4,61.8,103.8
1470133,81.1,21.0,118.3,20.9,79.5
1470134,65.5,57.8,103.8,43.2,67.6
1470135,68.2,65.6,153.2,68.0,51.8
1470136,75.5,32.0,153.7,49.6,122.3
1470137,79.1,56.4,88.1,56.0,125.1
1470138,62.9,54.0,106.0,15.4,116.9
1470139,71.8,58.6,56.3,39.1,117.8
1470140,114.1,61.1,120.6,34.8,134.8
1470141,79.1,53.0,93.5,11.7,71.2
1470142,82.4,69.4,94.2,39.7,64.1
1470143,68.0,70.8,185.4,27.9,132.6
1470144,45.6,57.1,114.7,23.3,118.7
1470145,81.1,59.0,113.2,58.9,108.1
1470146,74.9,64.2,52.4,36.8,109.2
1470147,75.1,43.0,60.5,48.0,153.2
1470148,58.1,50.6,93.9,46.4,103.8
1470149,84.8,36.6,110.0,34.6,92.9
1470150,70.2,41.4,101.0,45.6,149.1
1470151,64.2,18.2,115.1,31.8,136.8
1470152,71.5,51.3,106.5,20.8,78.4
1470153,80.8,23.2,122.3,24.1,83.0
1470154,47.5,46.6,112.7,7.6,101.9
1470155,89.8,37.4,75.1,35.0,74.2
1470156,65.8,63.5,62.8,45.6,98.8
1470157,49.7,38.9,137.0,34.1,91.1
1470158,67.5,37.1,59.2,42.0,59.8
1470159,105.0,40.0,128.7,58.2,128.0
1470160,62.3,15.2,80.9,48.9,95.7
1470161,68.8,82.7,136.5,56.7,74.4
1470162,92.9,60.2,98.1,26.2,98.3
1470163,89.8,59.0,118.2,42.7,76.6
1470164,29.6,33.7,82.9,35.2,73.8
1470165,87.1,51.0,94.7,41.6,77.1
1470166,101.6,56.0,69.1,43.5,124.4
1470167,65.9,67.0,111.8,83.0,130.1
1470168,85.1,22.9,120.7,43.1,57.9
1470169,50.1,65.4,107.6,44.1,122.0
1470170,107.9,51.4,141.1,22.4,92.1
1470171,100.1,31.8,88.0,15.7,95.5
1470172,43.1,45.5,137.8,61.4,68.4
1470173,87.8,60.8,89.7,12.0,99.3
1470174,89.7,39.7,82.0,46.2,69.0
1470175,85.2,58.3,106.7,51.7,119.8
1470176,54.7,74.6,53.3,31.6,87.9
1470177,74.3,37.4,84.8,46.9,102.7
1470178,129.5,38.3,109.3,29.3,107.9
1470179,69.4,56.9,153.3,28.8,61.9
1470180,73.8,57.2,47.7,72.6,112.2
1470181,69.8,48.4,90.9,32.5,93.6
1470182,116.7,74.7,113.4,66.7,115.0
1470183,104.2,17.7,116.0,40.1,85.1
1470184,73.3,59.6,16.4,56.1,115.7
1470185,88.0,34.2,127.8,28.0,116.8
1470186,89.8,36.7,66.8,46.4,118.9
1470187,64.9,52.1,115.6,37.7,105.2
1470188,46.2,42.0,136.6,62.8,99.0
1470189,62.2,53.1,116.6,43.8,92.7
1470190,79.4,63.3,162.6,26.1,68.7
1470191,66.2,34.3,116.3,23.0,81.5
1470192,67.1,48.8,19.8,55.4,38.8
1470193,62.0,44.9,114.9,53.0,109.4
1470194,75.2,44.5,141.7,54.0,129.0
1470195,77.3,80.4,79.2,35.4,88.7
1470196,94.9,22.5,86.7,49.4,80.1
1470197,52.5,55.2,120.6,23.4,78.0
1470198,79.6,23.2,65.7,26.6,85.4
1470199,64.6,54.2,101.3,60.4,118.3
1470200,75.9,25.2,40.7,52.1,45.1
1470201,68.4,39.8,86.1,44.8,76.7
1470202,65.1,59.5,103.7,,119.6
1470203,84.2,67.5,92.7,48.8,66.3
1470204,85.4,33.2,110.5,26.8,147.4
1470205,96.1,28.2,98.1,74.9,73.4
1470206,57.2,34.9,68.9,47.7,118.2
1470207,58.3,41.6,69.3,29.9,89.1
1470208,65.6,57.8,119.5,37.0,104.5
1470209,38.7,35.7,126.6,40.5,131.9
1470210,71.1,52.4,50.2,,107.1
1470211,28.2,58.5,92.7,25.4,87.2
1470212,68.8,35.1,85.9,37.3,92.1
1470213,87.6,53.9,140.1,25.7,101.8
1470214,56.6,35.6,80.0,56.7,49.0
1470215,22.1,38.2,74.4,38.3,113.5
1470216,94.8,47.5,57.4,64.0,89.9
1470217,79.6,59.6,49.5,26.7,80.0
1470218,82.2,33.5,74.1,66.7,97.6
1470219,63.5,38.1,75.5,33.9,105.7
1470220,38.3,22.9,115.8,48.3,91.4
1470221,95.2,36.8,104.9,49.0,93.1
1470222,72.3,19.8,118.4,31.7,117.7
1470223,45.1,30.2,74.2,75.7,121.6
1470224,44.4,67.9,117.4,56.3,130.9
1470225,88.1,51.8,163.9,60.7,45.7
1470226,90.6,72.3,141.0,26.2,91.6
1470227,99.3,40.1,94.8,70.7,90.3
1470228,78.1,31.4,147.5,20.0,52.9
1470229,92.3,45.4,115.4,27.1,89.2
1470230,57.1,50.3,74.7,28.6,74.4
1470231,52.0,57.6,117.0,40.7,111.9
1470232,56.8,50.0,67.3,33.0,79.8
1470233,83.0,62.3,120.7,38.6,73.7
1470234,79.2,47.1,77.8,68.2,80.9
1470235,71.5,63.6,79.7,58.3,98.0
1470236,63.9,29.2,105.7,25.5,130.9
1470237,124.5,74.9,132.0,50.8,104.9
1470238,77.3,13.6,119.1,69.4,104.6
1470239,74.8,29.6,64.3,25.8,140.1
1470240,46.8,23.1,114.1,10.6,152.9
1470241,73.3,51.6,119.0,40.2,92.8
1470242,87.6,84.1,24.3,56.6,109.1
1470243,85.2,47.7,130.0,34.2,127.9
1470244,60.1,56.1,59.3,42.0,106.2
1470245,55.3,31.8,122.1,52.0,114.8
1470246,103.7,42.8,93.2,25.7,72.2
1470247,86.0,44.2,63.3,40.0,81.6
1470248,86.6,34.5,87.1,27.0,62.5
1470249,94.3,56.9,96.1,60.8,95.2
1470250,118.5,32.4,78.7,64.1,69.9
1470251,90.3,56.8,141.5,24.6,102.5
1470252,93.4,20.8,129.1,50.9,84.3
1470253,48.7,46.6,97.7,30.0,150.9
1470254,90.7,53.0,91.2,59.0,91.1
1470255,119.1,39.7,54.6,37.5,71.8
1470256,122.6,33.1,85.4,71.7,136.4
1470257,115.0,53.6,115.8,45.1,94.2
1470258,51.2,50.8,68.0,43.4,67.3
1470259,58.7,57.2,122.2,39.1,82.5
1470260,148.6,55.8,109.2,51.1,95.1
1470261,44.6,29.2,101.2,65.9,89.1
1470262,91.9,69.5,142.1,29.5,119.4
1470263,81.7,49.5,118.7,38.2,98.0
1470264,97.8,49.6,107.3,21.0,127.7
1470265,90.0,29.6,148.6,43.5,57.4
1470266,101.7,59.7,98.1,46.8,100.1
1470267,61.5,36.7,137.6,53.0,53.4
1470268,62.7,29.4,102.4,20.5,101.3
1470269,84.3,43.6,70.8,54.1,61.4
1470270,59.1,59.5,144.1,49.9,107.2
1470271,82.7,37.3,102.1,28.1,121.5
1470272,71.7,20.4,82.9,41.8,108.7
1470273,103.8,64.1,78.1,22.7,113.1
1470274,111.8,52.5,101.5,38.0,109.8
1470275,46.7,65.5,61.8,36.5,111.1
1470276,99.6,28.7,62.9,31.0,108.4
1470277,86.8,38.7,128.9,58.0,106.6
1470278,125.6,20.9,126.2,59.8,104.6
1470279,67.7,50.0,73.9,41.8,69.8
1470280,66.7,38.2,102.5,43.8,65.5
1470281,26.7,31.8,84.2,26.8,91.8
1470282,55.0,45.0,57.8,40.2,45.8
1470283,87.6,44.7,86.7,31.5,50.1
1470284,103.1,65.8,143.7,64.0,88.1
1470285,72.9,64.6,124.7,58.5,99.2
1470286,91.2,70.2,112.0,41.7,84.3
1470287,94.7,44.9,86.1,38.5,81.8
1470288,87.1,59.2,99.7,48.0,70.0
1470289,91.3,45.5,142.4,35.0,74.1
1470290,45.1,39.5,164.0,59.2,102.2
1470291,79.3,21.8,61.3,44.7,146.1
1470292,55.7,66.6,90.5,32.7,99.2
1470293,84.9,48.2,96.5,,32.6
1470294,86.2,40.2,109.0,21.4,82.3
1470295,88.6,68.2,109.0,43.5,75.2
1470296,76.7,39.5,107.8,40.2,83.4
1470297,47.6,30.5,78.5,36.5,100.1
1470298,106.5,65.1,90.0,59.4,105.2
1470299,78.5,37.4,118.8,45.7,56.9
1470300,114.9,56.1,82.6,15.8,119.1
1470301,82.9,39.1,92.4,71.1,101.4
1470302,57.2,45.9,100.2,34.6,107.6
1470303,71.6,43.1,128.1,36.4,70.6
1470304,62.0,67.0,131.5,35.8,108.8
1470305,79.2,41.9,61.7,58.0,127.0
1470306,106.8,79.8,86.6,32.9,123.4
1470307,105.1,31.8,87.3,38.1,103.1
1470308,65.3,46.3,97.0,65.1,64.6
1470309,92.7,45.9,130.9,14.9,102.2
1470310,75.6,61.7,121.9,42.3,96.5
1470311,109.1,49.2,138.1,61.8,124.8
1470312,77.7,36.5,133.4,58.2,85.3
1470313,105.1,45.8,82.1,42.4,121.2
1470314,67.6,70.4,137.1,48.8,94.1
1470315,71.4,53.5,86.9,43.1,92.7
1470316,82.3,58.3,92.6,33.9,91.3
1470317,64.2,35.8,151.6,62.4,103.7
1470318,130.6,39.6,100.1,33.6,76.8
1470319,91.2,24.8,111.1,45.9,133.3
1470320,55.9,42.1,123.8,36.8,40.4
1470321,50.3,68.2,88.2,64.0,129.6
1470322,42.9,34.2,120.4,59.6,70.9
1470323,79.2,43.0,88.1,59.8,92.8
1470324,93.3,54.6,98.5,22.5,148.2
1470325,68.6,63.7,67.9,49.3,65.9
1470326,59.4,20.9,48.1,36.2,124.3
1470327,42.4,42.4,148.9,37.2,26.3
1470328,75.7,40.5,77.9,48.0,123.8
1470329,122.3,38.9,111.4,40.5,104.4
1470330,88.7,44.4,122.8,69.8,91.6
1470331,61.3,16.6,130.8,29.9,120.4
1470332,103.3,44.1,140.0,72.4,69.1
1470333,85.6,35.6,94.0,57.4,126.6
1470334,66.3,33.9,88.5,29.1,111.1
1470335,62.7,41.2,88.8,51.1,129.3
1470336,91.7,32.6,111.2,48.8,125.9
1470337,92.7,40.6,128.0,33.9,48.7
1470338,87.8,31.2,99.8,90.1,71.7
1470339,50.8,64.4,63.3,45.5,131.4
1470340,92.5,32.7,106.4,76.5,75.7
1470341,72.0,58.7,82.6,58.0,71.3
1470342,59.1,43.1,61.8,43.3,91.4
1470343,55.7,35.3,111.2,41.2,110.4
1470344,55.6,41.1,90.2,72.9,60.2
1470345,65.3,54.0,68.7,69.4,120.5
1470346,50.8,31.5,87.8,13.4,93.1
1470347,70.9,69.1,94.3,49.4,85.5
1470348,99.7,44.2,110.8,53.2,76.1
1470349,74.3,56.4,118.4,62.0,32.9
1470350,83.3,3.9,69.3,14.2,127.7
1470351,85.2,51.9,135.5,55.8,126.3
1470352,105.3,59.4,58.3,42.5,136.0
1470353,62.6,42.2,87.2,67.3,139.1
1470354,97.3,25.8,78.7,36.8,78.5
1470355,63.2,65.3,92.5,55.3,108.5
1470356,47.7,64.8,137.5,41.8,110.9
1470357,94.4,40.9,99.3,,92.2
1470358,81.4,46.6,99.7,36.2,86.8
1470359,34.0,42.6,121.9,21.9,132.0
1470360,62.0,43.0,70.0,67.4,137.1
1470361,81.9,16.0,85.2,73.3,124.6
1470362,65.0,49.4,96.3,41.4,68.8
1470363,121.8,52.1,94.5,64.0,73.6
1470364,56.2,33.0,104.9,58.2,123.4
1470365,64.6,51.4,126.2,58.7,125.3
1470366,75.4,49.6,95.3,58.4,107.9
1470367,53.3,17.4,90.1,28.4,108.3
1470368,73.1,41.9,107.7,49.7,99.6
1470369,57.7,23.9,124.2,38.4,62.4
1470370,55.7,31.0,80.0,70.3,58.7
1470371,59.5,29.1,69.0,46.4,101.3
1470372,52.7,27.6,133.4,51.1,90.7
1470373,38.2,55.2,63.4,17.7,98.5
1470374,88.2,18.9,93.5,68.7,117.3
1470375,62.4,15.2,83.1,58.4,129.9
1470376,71.8,13.2,121.1,42.2,144.7
1470377,45.2,56.3,50.7,,103.8
1470378,112.8,29.1,108.3,60.1,73.8
1470379,67.3,32.1,118.0,78.0,113.1
1470380,91.6,40.1,117.5,55.9,88.0
1470381,49.9,30.2,119.1,43.6,69.6
1470382,69.6,50.1,90.3,57.8,102.3
1470383,79.1,29.7,47.5,80.2,120.7
1470384,98.8,62.3,121.2,42.4,126.5
1470385,73.2,91.3,106.8,44.8,84.9
1470386,84.3,50.9,115.3,48.2,75.0
1470387,75.1,18.3,97.6,49.2,133.7
1470388,80.2,40.4,136.7,13.5,99.4
1470389,91.9,57.4,96.2,52.9,110.2
1470390,96.5,32.0,108.5,53.3,91.5
1470391,101.5,53.2,69.3,29.1,59.2
1470392,95.3,36.2,113.6,,116.7
1470393,78.6,41.5,55.1,38.7,123.3
1470394,48.1,32.6,69.4,27.4,42.5
1470395,63.5,37.6,91.4,16.6,119.7
1470396,68.3,34.9,86.8,38.7,143.5
1470397,86.7,41.0,95.2,33.7,88.3
1470398,59.2,45.5,109.9,46.5,123.3
1470399,82.2,29.3,105.0,22.0,71.1
1470400,68.3,26.0,63.4,26.7,72.2
1470401,69.9,25.8,100.4,50.3,157.0
1470402,71.7,66.9,113.5,38.4,74.0
1470403,57.8,40.9,94.5,32.2,104.0
1470404,65.5,30.8,142.5,58.8,81.3
1470405,98.0,50.0,120.8,31.2,100.9
1470406,73.4,38.2,95.3,32.1,81.3
1470407,80.4,14.7,65.1,29.2,86.8
1470408,62.5,24.4,96.8,56.6,105.0
1470409,84.2,21.9,107.9,54.5,105.0
1470410,79.8,64.0,40.4,64.0,106.8
1470411,81.6,77.1,154.8,51.0,89.3
1470412,65.2,67.8,142.3,47.9,76.9
1470413,75.3,53.2,106.9,43.2,96.8
1470414,82.2,50.8,93.1,36.9,102.2
1470415,95.5,55.5,62.0,19.5,86.2
1470416,87.6,32.4,119.3,41.7,100.5
1470417,75.2,45.4,102.4,32.1,92.6
1470418,100.9,28.7,106.3,83.2,76.6
1470419,37.4,47.3,108.0,27.3,85.2
1470420,106.3,41.9,120.4,56.2,97.7
1470421,95.3,56.7,160.3,70.8,113.4
1470422,70.8,50.6,105.6,36.3,91.6
1470423,73.3,59.1,89.2,26.1,126.0
1470424,63.8,48.1,74.5,58.3,69.4
1470425,60.8,20.9,84.7,48.9,79.9
1470426,62.1,44.9,124.4,52.4,118.8
1470427,78.9,45.6,107.7,37.8,113.8
1470428,53.0,33.4,88.8,52.9,99.0
1470429,31.1,46.4,53.5,,90.1
1470430,68.5,46.8,112.4,20.1,118.4
1470431,64.0,29.4,68.7,80.0,73.3
1470432,86.3,52.1,88.3,30.4,97.5
1470433,63.4,56.7,119.6,31.5,114.6
1470434,89.1,82.5,112.9,38.9,118.3
1470435,69.7,34.6,104.9,44.8,123.0
1470436,79.1,19.8,76.7,38.8,92.6
1470437,101.7,46.1,99.7,50.9,62.4
1470438,91.1,46.7,93.1,53.1,126.5
1470439,31.4,40.7,106.6,45.1,94.3
1470440,95.6,49.7,89.4,30.5,126.1
1470441,112.6,34.8,109.2,49.7,130.2
1470442,81.7,42.8,111.6,40.7,97.3
1470443,61.8,60.7,118.8,47.0,97.1
1470444,89.6,31.4,116.9,52.7,94.5
1470445,50.8,45.2,119.8,55.7,100.2
1470446,94.3,31.6,140.2,40.3,103.1
1470447,52.5,46.0,111.0,22.9,104.9
1470448,53.0,47.5,100.4,27.7,69.8
1470449,64.6,67.6,106.9,45.4,82.8
1470450,66.1,24.1,107.3,56.3,111.1
1470451,86.8,58.7,60.0,69.1,99.2
1470452,93.9,35.0,98.6,53.6,114.0
1470453,73.5,37.7,111.4,71.0,93.0
1470454,69.3,62.0,106.6,39.7,110.3
1470455,75.7,65.0,128.8,49.0,57.1
1470456,72.4,24.6,110.2,41.0,81.3
1470457,114.1,49.4,137.9,28.8,73.5
1470458,46.8,30.9,145.5,48.0,124.8
1470459,80.6,29.2,125.6,26.0,120.2
1470460,55.2,36.1,133.8,37.2,96.8
1470461,74.1,35.0,52.6,40.8,113.5
1470462,46.7,38.8,145.0,50.7,76.1
1470463,70.9,22.6,93.3,53.6,126.9
1470464,33.5,46.0,96.6,42.6,107.0
1470465,81.9,68.0,121.1,5.3,134.3
1470466,63.7,49.3,120.0,64.3,117.9
1470467,85.1,38.6,124.2,32.7,101.9
1470468,87.9,50.2,77.3,24.9,117.8
1470469,77.9,67.8,66.5,36.7,77.9
1470470,45.4,62.3,124.6,52.7,129.3
1470471,84.6,55.9,101.7,54.8,48.4
1470472,46.9,53.1,77.4,39.8,106.8
1470473,54.9,26.0,91.2,54.0,83.5
1470474,59.4,63.5,114.3,60.7,105.9
1470475,50.9,76.3,72.0,64.8,85.5
1470476,100.7,37.3,86.4,36.6,121.7
1470477,74.3,38.0,124.1,59.3,129.7
1470478,87.7,21.1,127.1,63.8,95.7
1470479,73.1,39.9,130.6,29.4,93.7
1470480,55.1,17.9,89.7,54.0,73.9
1470481,75.3,44.8,127.4,51.6,92.2
1470482,99.7,53.2,129.7,65.9,75.4
1470483,74.2,30.9,84.3,47.1,126.1
1470484,94.4,84.4,86.9,28.0,161.0
1470485,66.6,38.9,80.6,50.3,133.8
1470486,65.7,60.7,115.1,46.6,92.7
1470487,75.9,40.5,116.9,41.2,105.1
1470488,64.1,44.9,108.0,55.0,110.8
1470489,83.0,24.9,100.2,55.4,101.3
1470490,112.8,33.0,95.9,48.1,86.8
1470491,68.6,3.6,68.2,25.8,69.7
1470492,80.8,37.8,116.6,55.8,57.4
1470493,69.7,49.1,150.5,33.5,148.1
1470494,45.7,31.9,119.5,36.8,110.0
1470495,75.6,28.7,129.9,67.3,93.1
1470496,105.1,44.8,46.8,11.3,87.4
1470497,90.4,68.5,109.4,33.6,62.7
1470498,92.1,59.8,60.1,56.7,113.2
1470499,107.9,61.3,56.2,27.7,106.5
1470500,77.0,39.0,94.0,57.8,92.3
1470501,23.9,42.7,119.0,61.6,86.7
1470502,40.7,34.2,78.4,48.2,116.6
1470503,41.1,42.3,54.3,54.2,108.1
1470504,51.7,21.6,69.9,52.2,91.9
1470505,97.5,58.4,112.6,38.6,85.3
1470506,84.1,59.6,71.3,38.8,112.4
1470507,54.6,45.0,117.3,34.0,109.8
1470508,104.4,65.2,80.2,35.1,88.9
1470509,92.4,48.7,128.7,69.1,69.1
1470510,71.0,41.2,116.7,26.5,51.1
1470511,65.1,58.3,96.3,47.4,127.0
1470512,118.4,24.0,104.9,43.7,105.1
1470513,77.7,24.9,105.1,27.2,115.3
1470514,71.3,24.7,89.6,20.9,85.0
1470515,101.1,47.9,69.7,45.2,130.1
1470516,61.9,33.8,70.1,56.0,93.7
1470517,70.2,42.3,74.7,51.8,87.0
1470518,59.3,48.1,101.4,50.2,81.6
1470519,64.8,37.3,150.0,36.9,120.4
1470520,45.6,71.8,132.8,53.3,63.5
1470521,76.5,31.2,96.9,51.4,97.5
1470522,92.5,42.2,83.5,32.3,100.4
1470523,82.5,67.1,131.8,17.7,72.3
1470524,72.6,68.1,70.8,36.5,109.5
1470525,83.4,49.9,100.0,42.0,94.3
1470526,61.5,44.9,60.7,39.6,97.3
1470527,93.6,73.6,85.2,60.2,99.2
1470528,95.1,45.0,139.1,37.4,85.0
1470529,77.2,53.4,100.5,38.1,98.4
1470530,77.6,27.0,100.6,39.0,110.6
1470531,71.5,44.8,94.5,39.5,147.7
1470532,93.3,37.3,107.0,57.0,61.0
1470533,75.0,31.6,126.0,46.6,108.2
1470534,86.6,30.1,79.8,30.3,102.5
1470535,92.0,58.6,44.9,55.1,91.8
1470536,45.8,25.4,69.3,35.0,112.0
1470537,72.4,55.5,97.3,48.5,106.2
1470538,75.7,40.8,95.9,47.0,122.6
1470539,38.4,56.1,47.0,65.8,59.6
1470540,91.3,42.2,109.4,39.1,153.5
1470541,109.5,29.2,114.6,34.3,82.1
1470542,77.8,90.8,132.8,40.3,108.2
1470543,66.5,44.2,72.0,38.3,89.2
1470544,74.5,44.3,78.0,27.4,117.7
1470545,94.2,33.3,74.8,44.8,148.8
1470546,67.3,53.2,130.5,45.5,89.2
1470547,24.2,37.3,108.0,63.4,144.2
1470548,56.2,49.0,94.4,31.8,104.1
1470549,82.5,31.7,76.1,23.0,78.9
1470550,102.5,53.0,100.4,38.0,106.5
1470551,54.4,31.6,43.6,47.5,83.6
1470552,76.9,40.6,81.8,49.7,147.4
1470553,80.8,16.0,117.5,54.0,108.2
1470554,58.4,90.5,115.2,44.4,99.1
1470555,99.7,43.7,122.0,47.2,76.1
1470556,61.5,58.1,140.4,52.7,71.9
1470557,108.5,27.7,98.1,32.6,110.1
1470558,75.9,52.2,96.9,42.5,60.6
1470559,69.7,36.6,59.2,56.1,133.7
1470560,65.5,33.3,107.3,32.3,70.8
1470561,75.9,52.5,92.9,32.0,61.6
1470562,49.8,53.8,147.5,51.2,118.1
1470563,59.1,50.9,97.5,,77.2
1470564,48.4,62.0,103.2,49.3,73.7
1470565,49.7,66.7,121.3,39.6,83.8
1470566,54.8,54.3,73.0,8.7,69.6
1470567,68.4,43.6,85.5,30.1,93.8
1470568,91.5,59.2,104.0,43.1,132.4
1470569,44.6,66.6,154.8,68.5,91.9
1470570,105.7,44.1,106.8,39.2,84.5
1470571,62.5,43.7,98.2,53.3,114.2
1470572,61.7,50.2,104.8,37.7,62.9
1470573,93.1,24.7,83.5,32.5,109.9
1470574,60.4,37.0,70.2,56.0,106.0
1470575,86.5,39.5,177.0,69.4,56.3
1470576,95.5,31.6,116.4,37.7,57.5
1470577,81.3,46.6,69.0,56.1,105.0
1470578,66.8,54.2,105.8,44.4,72.5
1470579,92.8,58.6,73.5,40.4,114.5
