WeldID,WeldingTempCelsius,CoolingRate,UltrasonicDefectScore,RobotSpeed_mms,DefectSeverityGrade
1850057,124.8,84.4,7.3,8.3,1
1850058,157.3,44.4,8.2,20.5,1
1850059,137.2,38.1,7.9,4.8,0
1850060,183.0,46.1,6.2,14.4,1
1850061,154.1,27.9,9.3,11.2,1
1850062,105.7,51.3,7.2,7.5,1
1850063,141.3,31.9,6.1,11.7,1
1850064,105.9,39.0,6.3,11.3,0
1850065,101.9,58.8,9.8,4.4,0
1850066,113.0,68.7,8.8,13.1,0
1850067,111.0,49.9,7.7,10.3,0
1850068,71.9,40.6,8.9,11.8,0
1850069,67.3,48.9,8.8,17.4,0
1850070,113.2,39.7,6.7,6.6,1
1850071,182.7,80.9,5.0,12.6,1
1850072,86.1,29.3,5.6,13.0,1
1850073,118.9,23.3,5.1,19.2,0
1850074,136.2,36.1,6.5,10.1,0
1850075,81.7,13.7,7.6,6.7,0
1850076,137.0,43.0,6.0,5.5,1
1850077,117.4,56.2,10.0,17.5,1
1850078,145.6,60.8,7.8,3.8,1
1850079,161.1,35.1,8.5,7.7,1
1850080,153.9,44.1,6.6,2.2,1
1850081,99.1,21.5,5.7,14.5,1
1850082,71.5,30.6,6.5,13.6,1
1850083,93.3,47.6,7.6,13.3,0
1850084,140.1,50.1,6.9,17.7,1
1850085,109.4,45.4,9.0,7.7,0
1850086,145.2,71.6,8.1,7.0,1
1850087,125.4,21.6,8.6,14.1,1
1850088,64.2,37.9,6.7,13.1,0
1850089,127.3,25.0,8.9,16.3,1
1850090,130.5,49.4,8.1,15.3,1
1850091,79.5,49.3,6.0,17.7,0
1850092,139.8,53.0,7.3,4.1,1
1850093,144.9,49.1,4.8,8.8,0
1850094,104.7,60.8,5.9,9.1,1
1850095,198.6,33.3,5.5,14.6,1
1850096,114.5,47.5,5.0,3.4,0
1850097,196.0,40.6,6.8,9.9,1
1850098,89.9,27.8,7.0,8.3,0
1850099,120.6,40.8,6.8,8.0,1
1850100,94.2,34.3,8.3,10.0,0
1850101,104.1,36.8,7.0,8.6,0
1850102,103.5,73.9,8.1,4.6,1
1850103,108.4,40.7,8.4,15.2,1
1850104,88.8,37.4,6.6,12.6,0
1850105,89.0,37.0,4.6,21.8,0
1850106,126.2,59.5,6.8,4.7,0
1850107,132.3,46.5,7.7,10.4,1
1850108,128.0,39.2,7.7,10.8,1
1850109,110.1,27.3,4.4,7.0,0
1850110,115.3,5.5,3.0,14.8,0
1850111,112.2,53.8,10.0,15.0,1
1850112,86.9,24.9,7.9,1.1,0
1850113,149.3,50.3,6.2,17.5,1
1850114,141.2,45.7,7.4,7.0,0
1850115,97.8,58.1,8.4,11.8,0
1850116,75.1,47.2,4.5,3.8,0
1850117,165.2,48.1,9.6,9.9,1
1850118,111.0,16.6,4.7,14.0,0
1850119,102.5,40.8,8.2,19.5,1
1850120,145.6,25.4,9.1,10.7,1
1850121,132.1,67.8,6.4,17.2,0
1850122,151.1,32.2,7.8,7.6,1
1850123,138.3,29.3,4.6,18.4,1
1850124,179.7,52.1,7.8,9.0,0
1850125,67.7,76.8,8.1,2.8,0
1850126,125.3,53.5,9.3,14.3,0
1850127,144.4,49.6,9.3,18.4,1
1850128,90.2,57.6,4.9,11.2,1
1850129,159.8,61.9,7.8,20.2,1
1850130,124.0,48.9,7.5,14.3,1
1850131,158.7,43.2,7.2,6.4,1
1850132,70.6,65.9,7.1,16.9,1
1850133,146.1,52.2,8.1,10.9,0
1850134,161.7,28.1,9.0,12.8,1
1850135,172.9,56.5,6.0,14.7,1
1850136,149.3,30.7,9.5,14.2,1
1850137,119.1,71.3,7.0,16.5,0
1850138,164.1,66.3,6.6,8.0,1
1850139,135.8,26.1,6.9,15.8,1
1850140,122.2,41.5,4.4,13.7,0
1850141,106.0,48.5,8.8,19.5,0
1850142,165.0,60.0,7.4,7.5,1
1850143,72.0,85.7,9.5,8.9,0
1850144,143.9,33.6,4.9,11.0,1
1850145,115.5,51.4,7.8,16.1,1
1850146,153.1,43.0,7.2,1.0,1
1850147,105.7,42.7,7.3,3.8,0
1850148,110.0,49.0,6.4,14.7,0
1850149,107.5,72.4,7.9,7.1,0
1850150,166.3,31.8,4.9,11.9,1
1850151,101.6,47.7,5.5,14.7,1
1850152,165.1,30.6,8.4,17.8,1
1850153,130.9,46.1,6.9,25.0,1
1850154,139.2,52.9,6.1,20.7,1
1850155,139.1,63.2,8.2,12.9,1
1850156,124.6,52.7,9.5,20.3,1
1850157,112.2,40.3,7.7,14.0,0
1850158,147.2,61.7,8.7,5.6,1
1850159,189.8,23.6,8.4,20.5,1
1850160,201.1,32.9,9.2,16.9,0
1850161,124.7,16.1,5.3,15.0,1
1850162,92.6,42.9,6.4,9.7,0
1850163,137.7,75.5,8.5,9.6,1
1850164,154.1,30.6,8.8,13.1,1
1850165,110.0,6.1,8.0,11.5,0
1850166,138.8,62.0,10.0,6.8,0
1850167,126.2,41.0,7.3,17.3,0
1850168,85.3,37.5,7.2,18.7,0
1850169,113.0,56.6,9.9,11.4,0
1850170,157.5,48.8,6.1,9.7,1
1850171,104.1,32.4,7.2,11.6,0
1850172,96.2,59.6,8.0,9.8,0
1850173,78.1,42.8,8.8,4.1,0
1850174,165.6,38.4,8.4,10.9,1
1850175,95.8,51.2,5.3,17.2,0
1850176,88.5,43.2,8.8,12.1,0
1850177,152.9,30.5,7.8,1.0,1
1850178,91.8,37.9,9.5,7.0,0
1850179,122.0,59.8,6.9,20.3,0
1850180,122.7,49.8,7.5,14.9,1
1850181,153.0,40.4,7.1,6.6,1
1850182,110.0,37.4,5.3,9.7,0
1850183,190.1,52.3,7.4,12.9,0
1850184,107.8,38.0,8.3,10.7,1
1850185,81.1,46.7,7.9,9.8,0
1850186,125.5,38.9,5.9,17.6,1
1850187,142.3,56.7,3.0,12.6,1
1850188,92.3,61.3,6.8,12.1,0
1850189,116.7,58.4,4.5,12.9,1
1850190,97.4,54.2,8.3,13.9,1
1850191,58.4,50.3,8.1,19.0,0
1850192,226.3,40.6,6.4,20.2,1
1850193,132.0,28.4,5.1,6.0,0
1850194,102.0,53.0,7.6,9.4,0
1850195,98.4,49.1,10.0,11.7,0
1850196,160.9,42.3,6.9,9.4,1
1850197,127.6,45.3,6.4,15.8,1
1850198,151.7,39.5,6.9,8.2,0
1850199,100.5,53.4,9.7,13.8,0
1850200,143.5,48.9,8.9,9.5,1
1850201,137.3,49.0,6.3,15.7,1
1850202,126.1,27.9,8.9,4.8,0
1850203,97.9,48.9,6.0,7.2,0
1850204,114.5,44.3,5.7,4.4,0
1850205,98.6,28.0,5.7,6.9,0
1850206,128.8,59.6,8.4,11.1,0
1850207,159.3,65.5,7.7,19.4,1
1850208,144.1,52.2,4.0,12.7,1
1850209,88.5,53.5,6.2,10.7,0
1850210,110.5,59.1,,13.6,1
1850211,111.6,67.8,6.5,13.1,0
1850212,120.4,27.3,6.4,11.6,1
1850213,106.0,35.6,9.7,13.1,0
1850214,164.5,38.4,6.2,12.8,0
1850215,91.4,41.6,7.8,12.0,1
1850216,120.2,59.1,7.7,12.6,0
1850217,101.2,51.5,6.3,14.8,0
1850218,113.8,49.6,5.3,5.0,0
1850219,127.2,28.0,6.8,13.5,0
1850220,138.0,59.2,8.6,10.3,1
1850221,222.3,66.5,7.1,11.8,1
1850222,105.6,44.4,5.8,11.4,0
1850223,102.1,43.6,6.7,7.1,1
1850224,114.3,38.8,3.9,19.6,1
1850225,89.7,31.3,6.1,17.3,0
1850226,158.5,58.0,5.6,10.2,1
1850227,87.8,40.1,7.6,1.3,0
1850228,123.0,30.3,6.8,16.2,1
1850229,128.8,45.7,10.0,9.7,1
1850230,155.6,56.2,5.1,5.6,1
1850231,158.2,40.0,7.7,9.0,1
1850232,125.6,19.8,7.8,18.1,0
1850233,124.0,46.1,9.1,11.7,1
1850234,89.5,46.4,8.4,15.3,0
1850235,80.0,18.9,5.3,10.3,0
1850236,124.4,52.7,6.9,14.7,0
1850237,59.4,70.4,7.0,9.1,0
1850238,81.6,47.3,5.1,10.2,0
1850239,128.9,37.3,5.9,11.0,0
1850240,96.9,31.9,8.2,11.5,0
1850241,130.5,40.6,4.9,23.1,1
1850242,159.8,68.3,8.1,17.7,1
1850243,109.3,22.3,8.6,9.6,0
1850244,121.4,32.8,4.4,18.9,0
1850245,108.3,39.6,7.8,12.9,0
1850246,144.4,35.7,6.6,5.7,1
1850247,123.3,25.3,5.9,9.2,0
1850248,135.7,57.8,5.6,8.7,1
1850249,88.9,66.6,8.8,8.9,0
1850250,71.4,34.2,,16.6,0
1850251,149.7,53.4,9.0,5.0,0
1850252,120.2,47.5,7.0,8.0,1
1850253,150.0,49.8,9.3,13.3,1
1850254,143.8,72.2,8.0,11.6,1
1850255,130.2,61.6,7.4,14.3,1
1850256,173.3,69.8,9.2,9.8,1
1850257,157.9,45.2,8.6,13.4,1
1850258,140.8,60.2,5.9,2.6,0
1850259,112.4,44.6,8.1,10.1,0
1850260,140.3,49.3,9.8,7.5,1
1850261,101.6,59.3,6.2,10.4,0
1850262,146.3,40.1,5.2,12.7,1
1850263,153.3,38.9,10.0,9.4,1
1850264,133.0,51.9,9.2,11.3,1
1850265,155.8,79.9,10.0,13.7,1
1850266,125.2,52.8,5.7,12.1,1
1850267,98.7,45.6,8.0,9.1,0
1850268,107.5,69.0,8.2,9.6,0
1850269,129.3,36.2,10.0,5.0,0
1850270,142.2,35.9,6.1,18.0,1
1850271,96.8,65.1,9.6,8.2,1
1850272,88.1,66.0,4.9,8.2,0
1850273,87.1,70.1,6.8,15.4,0
1850274,134.7,41.6,8.4,11.3,0
1850275,151.8,20.1,6.8,13.3,1
1850276,34.3,42.1,5.2,9.6,0
1850277,81.8,30.1,8.6,7.8,0
1850278,136.9,42.7,9.3,1.0,0
1850279,120.1,29.9,8.1,14.3,0
1850280,88.5,61.7,6.5,7.4,0
1850281,103.9,54.2,5.1,15.9,1
1850282,166.4,42.6,7.6,21.6,0
1850283,171.5,61.2,8.3,4.9,1
1850284,104.5,39.7,6.2,9.0,0
1850285,169.9,52.8,5.7,13.7,1
1850286,144.1,74.6,5.1,7.9,1
1850287,140.9,25.5,6.6,9.9,0
1850288,191.4,50.1,7.4,8.0,1
1850289,132.3,67.9,7.2,12.5,1
1850290,175.9,53.6,,5.4,1
1850291,68.5,34.4,9.9,9.3,0
1850292,98.7,58.0,5.3,15.7,0
1850293,168.2,57.2,3.9,15.2,1
1850294,117.6,44.0,6.1,13.3,0
1850295,96.9,5.8,9.2,11.7,0
1850296,131.4,47.2,7.4,4.4,1
1850297,45.7,39.7,7.6,13.1,0
1850298,103.7,45.3,9.6,15.0,0
1850299,107.8,41.9,5.8,6.7,0
1850300,176.0,45.4,8.0,15.3,1
1850301,137.5,11.3,7.9,9.2,1
1850302,139.1,32.2,,9.4,1
1850303,152.1,38.1,6.3,12.2,1
1850304,142.8,38.6,9.2,9.9,1
1850305,143.6,53.0,8.4,11.2,0
1850306,145.8,52.0,8.8,8.6,0
1850307,140.9,26.2,6.6,14.5,1
1850308,130.2,69.6,4.7,9.0,1
1850309,143.3,51.9,7.8,11.2,1
1850310,122.0,46.2,5.8,5.9,0
1850311,117.8,52.3,10.0,6.8,0
1850312,105.2,72.9,5.5,7.9,0
1850313,85.0,30.0,6.8,3.3,0
1850314,136.6,69.4,6.9,9.9,1
1850315,131.7,51.8,6.4,11.2,0
1850316,144.0,40.1,9.3,16.8,1
1850317,95.3,30.9,6.1,16.5,0
1850318,79.8,39.4,4.7,13.8,1
1850319,118.3,48.1,7.9,10.3,0
1850320,98.3,57.5,9.7,5.0,0
1850321,120.9,37.3,7.9,8.0,1
1850322,171.5,30.4,6.6,14.4,1
1850323,116.5,33.9,7.7,17.4,0
1850324,122.1,34.5,9.6,17.1,0
1850325,61.9,49.7,5.5,15.5,0
1850326,137.1,68.7,9.7,17.8,1
1850327,90.0,50.0,5.4,8.4,0
1850328,54.6,53.4,10.0,10.7,0
1850329,92.4,58.3,7.7,22.8,0
1850330,139.9,37.2,9.1,4.4,0
1850331,164.9,30.6,7.5,7.1,1
1850332,102.8,69.7,8.2,10.7,0
1850333,105.0,62.6,9.7,11.6,1
1850334,102.7,47.1,7.5,21.8,0
1850335,111.8,36.0,7.4,8.4,1
1850336,111.9,55.1,6.6,1.9,1
1850337,139.0,29.7,8.2,2.1,1
1850338,85.4,17.2,9.3,10.5,1
1850339,105.1,30.8,5.7,12.7,0
1850340,114.1,27.2,8.8,8.6,1
1850341,111.1,47.5,5.7,15.0,1
1850342,128.1,24.9,5.8,17.8,0
1850343,90.2,20.4,6.2,13.4,0
1850344,103.0,72.5,5.2,11.3,1
1850345,80.4,43.6,6.4,18.5,0
1850346,153.8,30.5,7.9,12.2,0
1850347,102.3,29.8,9.5,9.0,1
1850348,88.5,60.4,7.3,14.0,0
1850349,105.5,59.0,6.7,10.7,0
1850350,114.5,16.6,7.9,30.1,1
1850351,124.0,58.8,7.1,3.3,1
1850352,156.0,36.0,9.8,20.9,0
1850353,112.1,58.3,7.3,14.8,0
1850354,119.6,32.6,6.5,15.7,1
1850355,86.3,48.8,7.0,8.9,0
1850356,107.7,33.1,6.6,7.5,0
1850357,119.9,61.5,6.7,13.5,1
1850358,73.2,60.2,3.5,14.0,0
1850359,122.5,51.2,8.8,13.6,1
1850360,177.0,26.2,6.7,7.3,1
1850361,157.9,44.5,7.1,4.5,1
1850362,151.5,22.7,7.5,8.1,1
1850363,112.9,59.2,5.7,17.9,0
1850364,81.3,23.2,8.0,10.4,0
1850365,120.8,47.6,5.7,16.8,1
1850366,55.1,31.0,5.4,15.5,0
1850367,143.6,28.8,7.3,23.5,1
1850368,109.8,42.5,5.1,4.8,0
1850369,132.9,14.3,6.8,15.5,1
1850370,106.2,55.7,7.3,1.0,1
1850371,125.8,45.8,9.2,17.9,0
1850372,144.0,54.0,8.2,16.1,1
1850373,160.3,57.1,6.7,8.8,1
1850374,73.9,29.5,6.8,8.7,0
1850375,97.1,34.4,4.4,7.4,0
1850376,116.0,74.2,10.0,4.8,1
1850377,111.6,42.9,6.9,7.2,1
1850378,128.8,34.9,6.3,14.5,1
1850379,96.2,38.1,3.4,10.6,0
1850380,106.3,54.9,7.2,11.8,0
1850381,119.2,58.5,9.2,22.5,1
1850382,140.4,77.4,10.0,10.8,1
1850383,114.1,54.5,10.0,11.8,0
1850384,122.8,49.4,5.4,1.0,1
1850385,98.7,45.4,6.6,11.0,0
1850386,101.8,32.1,9.0,18.5,0
1850387,126.0,49.4,9.4,7.0,0
1850388,136.5,51.0,5.9,13.2,1
1850389,109.8,60.6,6.8,16.6,0
1850390,101.6,52.9,7.3,13.0,1
1850391,110.9,21.6,9.5,11.9,0
1850392,131.0,58.6,9.2,6.6,1
1850393,125.3,62.8,8.8,18.0,0
1850394,122.3,54.5,6.8,17.0,0
1850395,100.9,23.8,9.2,15.2,1
1850396,83.7,62.3,6.8,19.7,0
1850397,105.6,83.8,6.9,4.2,0
1850398,82.4,51.3,8.5,14.4,0
1850399,69.9,32.8,10.0,5.8,0
1850400,79.9,39.3,6.5,16.9,1
1850401,95.7,43.0,6.8,13.3,0
1850402,99.1,16.3,5.9,5.4,0
1850403,136.2,42.7,8.9,10.7,0
1850404,146.1,32.8,7.0,11.1,1
1850405,119.3,28.4,7.4,10.2,1
1850406,93.0,53.8,7.7,10.1,0
1850407,101.0,19.8,6.3,10.3,0
1850408,160.3,71.3,5.4,8.7,1
1850409,147.8,51.6,9.1,13.0,1
1850410,81.9,53.3,8.6,13.3,0
1850411,132.8,44.3,6.8,15.9,0
1850412,139.9,50.4,7.3,16.8,0
1850413,143.8,39.6,6.1,14.6,1
1850414,140.8,68.5,8.8,21.9,1
1850415,153.0,49.4,7.8,8.4,1
1850416,61.3,13.9,7.3,15.3,0
1850417,137.6,61.5,8.2,12.5,1
1850418,81.0,55.4,7.9,17.4,0
1850419,143.1,40.2,5.9,8.1,1
1850420,84.0,47.2,7.5,13.8,0
1850421,138.6,46.7,6.9,13.9,1
1850422,123.4,38.9,6.0,6.4,0
1850423,164.4,44.7,5.9,14.8,1
1850424,121.2,38.9,8.2,3.8,0
1850425,41.3,21.3,6.0,14.7,0
1850426,146.5,42.7,8.2,7.4,1
1850427,117.9,52.6,4.1,10.8,0
1850428,82.7,20.3,7.0,14.8,0
1850429,161.3,49.7,8.1,12.3,1
1850430,100.9,69.9,9.7,9.3,0
1850431,121.8,41.2,7.2,7.0,1
1850432,135.9,48.1,8.8,9.0,0
1850433,171.1,49.7,7.2,4.1,1
1850434,186.7,32.3,6.3,19.0,0
1850435,161.2,35.7,5.8,9.7,1
1850436,127.8,49.2,8.4,8.7,0
1850437,150.8,45.4,7.2,11.1,1
1850438,129.7,46.9,8.5,6.1,1
1850439,158.4,30.4,7.2,3.8,1
1850440,183.0,56.0,8.1,12.4,1
1850441,122.7,54.3,9.4,8.0,1
1850442,115.9,60.4,8.0,4.9,0
1850443,127.8,54.5,6.3,10.7,0
1850444,118.8,58.9,7.5,18.6,1
1850445,121.4,53.6,8.2,14.9,0
1850446,88.5,39.8,6.1,14.1,0
1850447,128.2,50.7,6.6,3.6,0
1850448,148.0,33.2,4.9,14.6,1
1850449,115.3,44.7,7.6,8.7,0
1850450,122.1,61.9,6.4,14.5,0
1850451,132.2,16.9,7.3,15.0,1
1850452,131.5,42.6,8.4,17.1,1
1850453,118.6,28.4,7.9,16.8,0
1850454,133.8,62.0,7.1,14.5,1
1850455,90.4,41.1,6.8,10.6,0
1850456,98.4,73.1,8.0,8.8,0
1850457,143.6,54.7,8.7,11.7,1
1850458,128.4,46.7,5.4,13.2,1
1850459,124.1,69.9,8.2,14.4,0
1850460,140.0,28.4,6.2,11.4,1
1850461,98.8,51.7,8.1,17.3,0
1850462,164.6,50.3,7.3,14.2,1
1850463,86.5,78.6,7.9,8.0,0
1850464,106.4,46.9,4.0,13.4,0
1850465,113.8,47.0,5.6,13.1,1
1850466,109.1,47.7,8.1,14.9,0
1850467,182.4,62.7,7.1,15.1,1
1850468,104.3,43.2,6.2,18.0,0
1850469,121.8,48.9,9.6,8.2,1
1850470,128.6,24.4,8.6,3.3,1
1850471,119.7,64.6,7.2,15.3,0
1850472,112.1,38.8,7.8,6.6,0
1850473,115.2,47.4,7.5,7.8,0
1850474,148.6,53.8,7.0,13.9,1
1850475,165.6,27.1,6.9,8.4,1
1850476,118.4,47.7,10.0,9.8,1
1850477,159.2,29.6,8.3,10.1,1
1850478,105.1,49.5,9.6,4.7,0
1850479,163.8,48.9,8.1,16.7,1
1850480,107.3,39.5,8.9,3.5,0
1850481,135.4,65.8,5.9,18.8,0
1850482,140.9,52.1,6.6,8.4,1
1850483,114.4,54.7,8.1,6.6,1
1850484,146.6,32.5,9.9,7.8,0
1850485,82.8,43.2,4.7,8.9,0
1850486,72.1,20.4,6.2,9.0,0
1850487,26.8,34.0,6.0,11.4,1
1850488,99.1,31.9,8.2,15.5,0
1850489,107.8,43.3,,7.9,0
1850490,167.3,44.6,8.7,9.7,1
1850491,109.1,69.1,7.3,10.3,0
1850492,108.9,24.6,6.5,9.8,0
1850493,160.0,24.9,7.2,14.8,1
1850494,148.4,45.7,6.7,13.9,1
1850495,87.3,32.5,7.5,5.8,0
1850496,174.9,55.7,10.0,16.1,0
1850497,88.2,60.6,6.0,21.8,0
1850498,122.2,44.8,5.9,7.8,0
1850499,145.0,55.3,5.4,2.5,1
1850500,68.3,20.3,8.8,13.4,0
1850501,159.1,50.8,7.1,6.4,1
1850502,91.4,39.0,,13.1,1
1850503,67.9,24.8,7.2,11.1,0
1850504,104.8,39.6,8.8,17.7,0
1850505,73.4,49.1,8.0,8.5,0
1850506,94.1,51.4,6.6,15.2,0
1850507,80.5,30.6,4.6,18.2,1
1850508,135.4,34.9,8.3,5.3,1
1850509,136.8,18.1,4.8,21.0,1
1850510,123.5,22.4,6.8,10.6,0
1850511,121.5,73.0,6.5,12.9,1
1850512,103.6,54.5,7.5,10.3,1
1850513,111.4,35.3,4.6,8.9,1
1850514,169.8,35.6,8.7,11.9,0
1850515,90.2,40.3,7.4,12.2,0
1850516,181.0,15.5,6.1,18.3,1
1850517,118.6,60.6,6.5,3.5,0
1850518,126.8,52.9,4.7,15.6,1
1850519,178.0,29.8,7.7,21.0,1
1850520,117.8,41.5,8.4,15.8,1
1850521,107.2,41.8,4.8,10.2,1
1850522,151.9,12.8,7.0,13.6,0
1850523,92.8,46.4,7.3,9.3,1
1850524,144.0,51.8,6.5,17.9,0
1850525,87.0,56.6,6.8,1.0,1
1850526,90.3,27.5,6.0,16.6,0
1850527,139.0,22.9,6.4,7.2,1
1850528,177.8,51.2,6.4,10.8,1
1850529,125.5,45.8,9.2,15.7,0
1850530,86.5,53.0,7.5,5.4,0
1850531,161.3,42.0,7.0,10.4,1
1850532,120.6,36.2,8.3,14.2,0
1850533,109.8,54.1,7.1,8.3,0
1850534,121.3,38.4,5.8,10.2,0
1850535,91.7,26.0,8.4,14.3,0
1850536,134.5,52.4,6.8,11.7,1
1850537,150.3,41.2,7.5,15.6,1
1850538,147.6,44.1,5.0,9.5,1
1850539,77.6,45.3,5.7,15.1,0
1850540,118.4,24.1,6.9,6.6,0
1850541,158.2,40.7,6.8,12.1,1
1850542,91.2,58.7,7.8,18.6,0
1850543,111.5,29.2,7.0,9.1,0
1850544,80.5,39.5,8.6,20.5,0
1850545,120.8,43.8,7.0,11.1,0
1850546,155.8,71.1,7.8,18.1,1
1850547,83.6,44.4,7.4,11.7,1
1850548,177.9,59.4,6.2,15.7,1
1850549,91.7,29.1,7.6,10.8,0
1850550,137.0,14.4,4.6,10.2,1
1850551,63.7,88.5,6.8,6.7,0
1850552,159.2,9.6,6.3,11.9,1
1850553,93.2,39.2,10.0,14.5,0
1850554,95.9,27.1,5.7,14.2,0
1850555,70.3,44.1,7.4,16.4,1
1850556,137.4,37.9,6.2,4.3,1
1850557,139.4,53.8,4.7,11.9,0
1850558,124.0,34.9,5.5,17.1,1
1850559,105.8,38.4,8.2,13.1,0
1850560,142.9,60.9,7.7,13.9,1
1850561,97.2,12.6,7.6,16.2,0
1850562,117.2,50.9,8.1,15.1,0
1850563,119.9,22.7,6.9,15.0,1
1850564,145.1,26.5,8.6,13.8,1
1850565,123.0,56.8,8.2,12.1,1
1850566,94.9,49.1,4.7,17.7,0
1850567,83.2,58.0,6.1,10.0,0
1850568,103.7,34.3,7.9,8.7,1
1850569,143.1,48.8,5.0,5.6,1
1850570,68.1,47.6,3.8,6.6,0
1850571,126.8,56.5,6.7,4.4,1
1850572,163.7,66.3,7.7,5.6,0
1850573,94.5,55.6,6.9,7.9,0
1850574,141.7,43.9,9.5,17.3,1
1850575,137.5,70.9,7.3,21.5,1
1850576,106.2,66.8,7.5,9.6,1
1850577,163.9,69.7,6.9,12.5,1
1850578,122.8,30.8,7.4,6.2,1
1850579,168.5,38.5,8.7,7.5,1
1850580,90.6,42.7,7.6,13.2,0
1850581,88.4,25.2,7.4,14.5,0
1850582,103.9,38.7,7.4,8.7,0
1850583,94.5,59.0,6.1,15.9,0
1850584,101.1,46.2,5.3,18.2,0
1850585,106.1,33.1,9.9,8.7,1
1850586,153.1,50.0,6.2,13.9,1
1850587,92.4,48.6,5.1,2.3,1
1850588,170.7,46.0,5.7,11.1,0
1850589,129.3,57.7,7.4,10.1,0
1850590,150.2,58.7,7.9,9.6,1
1850591,109.0,65.3,5.1,13.3,0
1850592,122.2,26.6,6.9,14.3,1
1850593,154.1,52.2,5.0,10.7,1
1850594,95.4,41.8,6.3,12.7,0
1850595,197.3,52.2,7.2,15.8,1
1850596,45.2,68.1,5.6,16.1,0
1850597,124.6,36.2,7.1,16.6,1
1850598,114.6,53.3,8.1,10.3,0
1850599,195.4,40.1,9.6,13.1,1
1850600,179.4,58.5,,8.5,1
1850601,115.7,66.1,7.7,4.8,0
1850602,74.9,22.5,4.5,14.9,0
1850603,159.0,34.3,8.4,13.1,1
1850604,123.8,57.0,8.0,16.7,0
1850605,99.6,23.7,8.3,13.3,0
1850606,88.7,48.2,6.0,19.2,0
1850607,155.4,57.7,5.9,9.8,0
1850608,139.2,57.1,7.8,22.6,0
1850609,104.4,48.9,7.5,8.6,1
1850610,137.2,73.0,6.2,11.3,1
1850611,97.9,31.7,6.7,17.4,1
1850612,79.9,54.7,7.3,15.4,0
1850613,30.7,52.4,6.0,8.4,0
1850614,158.9,57.3,4.0,8.7,1
1850615,116.2,63.4,6.2,1.2,0
1850616,90.2,25.7,6.9,7.0,0
1850617,124.4,47.4,6.2,13.3,1
1850618,152.6,53.3,8.7,26.5,1
1850619,91.4,37.9,5.5,14.1,0
1850620,70.4,81.7,7.7,12.7,1
1850621,91.8,36.4,7.6,10.7,1
1850622,91.7,0.0,5.3,15.5,0
1850623,106.6,43.0,5.5,10.3,0
1850624,136.6,27.1,9.0,12.2,1
1850625,132.1,49.9,7.5,11.9,0
1850626,133.1,62.4,6.5,16.8,1
1850627,141.5,53.6,7.0,11.5,0
1850628,47.9,55.0,4.3,15.3,0
1850629,87.1,51.2,6.2,13.3,0
1850630,153.3,43.7,7.5,18.6,1
1850631,151.8,80.0,7.2,10.6,0
1850632,153.6,47.3,7.5,10.1,1
