UserID,MonthlyIncome,SavingsRate,HousingExpenses,DiningExpenses,InvestmentAmount,FinancialHealthScore
1000083,4513,52.74,903.76,793.95,1904.05,57
1000084,14904,3.99,5502.86,851.22,476.14,29
1000085,10904,25.43,3421.66,2110.67,2217.88,44
1000086,2688,45.8,520.68,413.73,984.8,70
1000087,4434,19.58,1479.59,586.53,694.61,40
1000088,11417,43.83,2196.3,806.01,4003.58,66
1000089,3037,9.4,566.84,193.2,228.45,34
1000090,8335,56.06,1375.62,743.79,3738.31,75
1000091,4195,23.68,1165.7,319.58,794.8,42
1000092,10526,27.3,4116.57,1119.35,2299.12,40
1000093,14015,34.73,3801.38,1424.81,3894.42,53
1000094,3082,52.75,1231.27,287.43,1300.54,54
1000095,3033,25.16,729.15,363.88,610.59,41
1000096,12502,39.76,4788.25,1028.23,3976.54,44
1000097,3490,13.11,819.79,511.17,365.99,31
1000098,4409,56.59,1877.22,746.8,1996.02,62
1000099,14885,61.62,3250.83,1725.71,7337.29,75
1000100,3720,11.06,1619.83,528.84,329.03,19
1000101,12779,27.39,3057.86,1338.51,2799.69,49
1000102,9829,55.45,4174.04,1701.47,4360.0,54
1000103,4102,19.32,1770.72,308.16,633.88,35
1000104,12966,25.44,5439.19,800.8,2639.25,40
1000105,4124,4.87,860.17,305.39,160.57,27
1000106,3627,41.14,1069.03,442.79,1193.8,55
1000107,6919,29.4,1454.83,834.63,1627.08,48
1000108,9894,20.46,3064.26,1836.0,1619.71,38
1000109,6595,48.19,2056.59,579.18,2542.3,59
1000110,4468,10.18,971.1,817.26,363.96,30
1000111,6315,31.69,2340.2,371.73,1600.8,48
1000112,4013,25.41,642.7,502.16,815.76,50
1000113,2072,4.45,341.55,296.85,73.82,28
1000114,12209,9.47,4082.37,2092.9,924.87,29
1000115,10515,61.39,2587.27,1421.12,5163.99,72
1000116,6173,57.67,2709.63,653.3,2847.77,55
1000117,13103,27.34,3801.15,1799.13,2865.46,45
1000118,8125,51.14,1843.93,544.5,3324.29,61
1000119,8637,23.26,2587.98,1432.85,1607.12,33
1000120,6295,53.08,1639.12,586.56,2673.07,76
1000121,4194,20.23,1796.59,366.64,678.82,31
1000122,14544,46.58,4412.05,1054.64,5419.93,63
1000123,12980,59.01,5420.76,1577.43,6127.27,66
1000124,3885,9.53,1422.52,342.7,296.09,22
1000125,12030,51.58,1892.92,692.18,4963.61,67
1000126,7949,35.1,1653.96,1250.33,2232.25,63
1000127,2542,51.83,833.04,272.4,1053.94,61
1000128,3837,56.18,924.87,693.38,1724.51,75
1000129,5969,29.98,2439.88,691.77,1431.71,36
1000130,13284,36.9,4715.86,2593.62,3921.92,43
1000131,14529,60.3,4529.98,1202.56,7008.46,62
1000132,8564,2.22,1942.52,918.76,151.95,29
1000133,5541,47.06,1737.48,333.62,2086.13,63
1000134,7040,,2803.73,1243.05,491.97,23
1000135,6898,9.78,2872.71,1090.57,539.56,27
1000136,7311,17.35,3237.27,526.5,1014.86,27
1000137,14183,44.51,2485.72,1724.68,5050.15,64
1000138,11440,44.37,2883.91,1306.02,4060.49,54
1000139,6428,2.38,1748.62,1274.34,122.45,28
1000140,9402,64.57,1746.39,1773.45,4856.58,86
1000141,10175,31.83,4313.02,1846.29,2591.18,42
1000142,13272,37.85,4955.65,1322.63,4018.62,53
1000143,5067,43.41,2025.21,676.25,1759.53,41
1000144,4208,35.2,1767.93,662.3,1184.86,56
1000145,5091,21.52,2121.5,884.09,876.43,45
1000146,7536,63.15,2057.85,1399.32,3806.9,70
1000147,11108,42.87,4138.14,695.23,3809.39,58
1000148,12019,13.14,3187.4,2169.64,1263.65,38
1000149,4787,55.13,821.52,777.28,2111.29,67
1000150,9267,60.19,3042.16,877.83,4462.48,59
1000151,3894,44.1,989.53,550.49,1373.95,64
1000152,7380,49.28,2554.84,1145.43,2909.5,61
1000153,4679,61.59,1624.25,575.86,2305.59,65
1000154,11148,2.3,1689.49,1831.19,205.52,26
1000155,4562,45.23,1666.75,658.84,1650.57,61
1000156,11188,29.32,3651.15,1340.71,2624.03,44
1000157,3147,56.44,723.71,359.32,1421.05,73
1000158,11124,64.23,2320.19,1046.9,5715.77,72
1000159,6114,46.11,2042.7,594.95,2255.46,49
1000160,8028,22.39,1511.31,1226.13,1438.11,51
1000161,3583,34.0,937.13,318.49,974.44,50
1000162,13666,26.18,3008.88,1253.78,2861.94,37
1000163,7891,58.67,2884.52,531.33,3703.46,69
1000164,3753,58.55,1354.14,361.9,1758.03,71
1000165,8912,28.65,3355.17,897.48,2042.82,46
1000166,4941,13.32,1002.61,364.81,526.45,29
1000167,9852,38.81,3307.45,1969.26,3058.53,51
1000168,4988,6.77,1720.89,297.01,269.99,27
1000169,10236,37.82,3798.3,1051.78,3096.9,49
1000170,5547,5.31,1666.68,454.47,235.44,18
1000171,5125,15.6,2083.81,425.34,639.62,31
1000172,5730,35.59,1598.43,716.06,1631.39,38
1000173,2401,34.47,970.18,466.68,662.03,41
1000174,12992,32.19,5826.52,2091.5,3345.32,40
1000175,4326,51.77,1131.68,273.55,1791.66,61
1000176,13880,10.54,2124.17,1593.46,1170.11,37
1000177,9081,51.64,3005.37,1009.54,3751.34,64
1000178,3366,3.58,1468.07,300.52,96.3,23
1000179,8785,14.18,2694.42,656.05,996.22,34
1000180,2977,46.5,535.14,423.48,1107.39,67
1000181,11550,7.48,4799.46,1641.36,691.43,19
1000182,12317,,5062.79,1783.71,393.0,18
1000183,9840,54.02,2971.61,1294.13,4252.41,64
1000184,14248,22.28,6241.51,1729.96,2539.84,28
1000185,3236,52.86,1286.89,642.29,1368.34,47
1000186,5938,4.53,2118.18,1010.16,215.2,22
1000187,6202,45.72,1884.41,536.59,2268.33,60
1000188,11800,56.04,2031.59,2107.75,5290.06,71
1000189,3436,22.54,720.95,253.82,619.49,38
1000190,5822,53.65,2586.21,651.72,2498.9,70
1000191,4145,51.13,1750.32,725.63,1695.58,57
1000192,3633,40.84,1430.16,396.27,1186.83,50
1000193,12524,22.46,5265.12,1198.67,2250.36,33
1000194,13981,43.73,2314.45,1492.23,4891.0,63
1000195,5982,39.25,1583.93,842.89,1878.43,48
1000196,5908,47.08,1280.21,1056.43,2225.24,59
1000197,12150,42.97,3236.47,1949.86,4176.84,52
1000198,7548,43.81,3349.01,507.19,2645.22,52
1000199,3326,35.75,1019.45,439.57,951.3,49
1000200,13752,23.39,5308.73,2678.98,2572.97,32
1000201,12764,7.12,5649.89,883.33,727.35,9
1000202,13091,36.95,4197.25,979.61,3869.24,44
1000203,14970,19.98,6004.66,1351.06,2393.22,29
1000204,12061,34.07,1913.04,2182.01,3287.81,47
1000205,4272,38.49,1243.2,434.13,1315.37,54
1000206,6330,8.88,2807.29,801.14,449.66,17
1000207,2433,42.4,863.89,474.42,825.25,55
1000208,8182,32.94,1833.67,1370.68,2156.15,53
1000209,3086,33.91,1292.15,391.86,837.25,35
1000210,6713,34.94,1757.19,1321.38,1876.48,47
1000211,5845,25.83,1861.86,497.09,1207.7,41
1000212,14987,58.99,2731.51,1072.06,7072.96,76
1000213,14593,4.2,2755.4,2370.86,490.12,33
1000214,9409,51.16,2246.5,706.09,3850.91,66
1000215,12328,60.09,2308.6,1276.35,5925.89,72
1000216,14605,42.96,2832.69,1492.49,5019.32,72
1000217,10863,22.29,4263.6,1731.04,1937.11,31
1000218,13031,21.3,4012.98,1783.42,2220.48,34
1000219,6083,2.2,2109.37,862.65,107.07,16
1000220,3059,56.58,789.23,173.84,1384.65,69
1000221,12665,,4475.78,1279.57,4411.48,49
1000222,12123,41.13,3840.83,1220.61,3988.72,55
1000223,9392,6.63,2960.71,1040.51,498.37,20
1000224,4242,50.16,910.53,294.54,1702.29,71
1000225,13899,51.13,6034.15,2488.65,5684.8,55
1000226,8192,34.17,2238.91,616.11,2239.53,48
1000227,4811,33.32,1196.41,474.34,1282.52,47
1000228,8786,37.01,1489.8,1531.55,2601.34,58
1000229,10296,63.29,1589.33,1670.41,5212.8,66
1000230,7676,25.92,1422.69,460.73,1591.99,49
1000231,13002,54.21,3262.56,2103.43,5638.55,58
1000232,14709,62.98,4650.25,1418.68,7410.87,65
1000233,6383,49.66,1852.83,742.89,2535.67,71
1000234,12002,61.99,5375.49,914.04,5952.28,53
1000235,9308,39.87,2925.64,1298.27,2968.68,56
1000236,14581,48.01,5310.73,2839.42,5600.43,53
1000237,6163,25.08,2691.2,848.79,1236.69,33
1000238,11323,57.38,4918.45,1999.05,5197.93,64
1000239,14077,27.06,4230.55,956.21,3047.62,38
1000240,9868,51.27,2372.19,1216.6,4047.49,63
1000241,8724,48.54,1921.0,1574.09,3388.03,59
1000242,2729,14.47,958.57,149.47,315.83,34
1000243,12762,47.51,2812.0,1791.28,4850.33,71
1000244,7110,29.64,2677.65,864.9,1685.77,33
1000245,13476,11.9,4934.71,2656.51,1283.01,23
1000246,5215,42.74,1752.75,734.53,1783.14,41
1000247,5191,63.17,2125.56,511.98,2623.44,52
1000248,10037,4.89,2783.84,1832.09,392.94,17
1000249,11360,51.42,4275.49,1856.3,4672.8,52
1000250,11703,57.15,3636.58,1596.16,5350.15,62
1000251,12601,6.42,4973.95,1343.61,647.65,28
1000252,11854,56.97,4004.97,798.15,5402.77,71
1000253,7958,,1515.73,1370.9,146.9,18
1000254,7787,51.68,2946.66,1086.97,3219.24,56
1000255,12365,20.11,2771.11,1086.34,1988.85,43
1000256,2970,2.85,552.87,388.57,67.79,31
1000257,8574,46.77,2055.09,463.83,3207.92,61
1000258,3511,48.73,677.34,479.93,1368.61,73
1000259,2831,50.37,838.89,230.42,1140.87,65
1000260,5870,8.43,993.71,541.95,395.93,28
1000261,4960,10.22,1712.24,386.89,405.48,21
1000262,11635,19.95,3162.87,1100.68,1857.0,38
1000263,11651,14.0,2875.18,1410.14,1305.0,39
1000264,4493,41.9,1089.36,641.01,1505.98,58
1000265,4087,45.43,701.56,708.65,1485.25,62
1000266,8305,22.98,2007.35,1339.39,1527.1,37
1000267,10174,11.85,4322.45,1963.54,964.9,24
1000268,7075,47.9,1715.89,1352.54,2711.28,65
1000269,2221,25.45,900.88,119.21,452.2,39
1000270,10573,11.94,4276.52,1989.28,1010.01,30
1000271,13332,8.1,2645.58,2606.37,863.81,35
1000272,10942,9.39,4849.56,1670.5,822.23,31
1000273,9683,29.88,3365.07,1463.21,2314.69,41
1000274,2059,32.0,628.91,260.48,527.13,43
1000275,13644,25.22,2836.53,1543.1,2753.35,54
1000276,10640,41.27,3201.62,1296.39,3512.9,52
1000277,3872,49.42,1350.02,348.79,1530.88,59
1000278,9342,14.42,2378.13,1020.74,1077.76,37
1000279,10867,31.84,3389.04,1499.39,2767.67,47
1000280,5924,55.42,992.17,347.56,2626.41,68
1000281,10341,51.43,2085.03,1662.84,4254.41,64
1000282,9593,40.01,3488.59,1692.19,3070.38,42
1000283,11284,45.76,4205.8,1216.91,4130.63,48
1000284,9362,8.48,3508.17,1431.07,635.38,23
1000285,6465,7.11,2789.72,734.62,367.63,17
1000286,7906,18.02,1405.76,878.58,1139.73,39
1000287,2723,9.68,723.31,267.68,210.83,29
1000288,3331,3.76,1469.43,217.66,100.23,18
1000289,4671,23.96,1885.98,484.38,895.2,34
1000290,2131,28.58,376.77,211.44,487.26,56
1000291,9436,46.78,3219.76,1283.67,3530.99,55
1000292,2135,63.92,677.76,185.48,1091.74,71
1000293,13718,24.41,5662.16,2293.54,2678.92,30
1000294,14139,10.95,3630.01,1094.69,1239.03,28
1000295,11549,35.91,4370.79,2136.4,3318.08,51
1000296,2878,64.18,1002.58,219.56,1477.78,67
1000297,8073,22.99,2246.16,1383.83,1484.68,40
1000298,10895,20.18,1744.55,1655.97,1758.49,42
1000299,7208,48.85,2628.85,806.07,2816.97,61
1000300,7271,15.64,1250.39,796.4,909.48,37
1000301,12846,42.61,3411.11,1257.97,4378.89,61
1000302,10438,18.84,3862.59,525.05,1573.11,30
1000303,13422,4.2,5546.08,1531.19,450.79,28
1000304,5172,35.25,1748.43,543.74,1458.4,59
1000305,5047,52.09,997.35,267.84,2103.29,60
1000306,2039,32.48,594.56,379.74,529.8,51
1000307,5893,10.76,2121.49,494.08,507.33,23
1000308,13576,51.74,4855.91,2054.4,5619.57,64
1000309,14248,41.4,2546.31,2658.01,4718.45,53
1000310,6932,17.47,2260.61,364.59,968.8,39
1000311,6951,62.93,2375.63,494.96,3499.39,64
1000312,13401,43.68,3730.7,1472.86,4683.17,55
1000313,10341,18.09,1586.71,1671.18,1496.89,36
1000314,5347,29.73,1225.71,729.83,1271.52,55
1000315,10269,23.74,1715.19,1200.11,1950.19,45
1000316,8810,7.05,3214.09,1089.15,496.92,14
1000317,7249,27.81,1291.66,1411.14,1612.81,49
1000318,4783,5.97,1181.05,607.77,228.59,21
1000319,11867,39.45,3224.7,2137.23,3745.54,48
1000320,4300,26.25,1524.87,754.4,902.86,52
1000321,13743,56.83,2375.36,2530.11,6248.29,80
1000322,13647,15.6,4339.47,1837.93,1703.52,29
1000323,4982,7.53,1183.1,918.75,300.16,31
1000324,6312,42.97,2489.62,437.83,2169.89,48
1000325,10690,59.28,4407.71,1215.29,5069.66,64
1000326,3622,31.87,959.92,633.54,923.49,46
1000327,6090,51.0,1656.47,354.76,2484.69,70
1000328,12118,35.47,2187.31,1422.69,3439.06,52
1000329,2748,44.5,966.34,483.63,978.26,44
1000330,5997,43.75,2526.5,1178.69,2098.74,50
1000331,8607,21.31,3661.88,714.33,1467.02,37
1000332,3303,14.45,896.87,342.86,381.84,45
1000333,6438,5.78,2835.09,1194.93,297.82,24
1000334,14191,17.67,5928.08,2382.13,2006.01,35
1000335,7208,60.05,2868.56,876.91,3462.92,63
1000336,6915,43.47,2844.03,421.89,2404.95,53
1000337,6266,2.09,1748.63,399.69,104.56,22
1000338,7005,14.95,2211.43,368.81,837.86,32
1000339,6176,24.64,1337.17,380.79,1217.45,39
1000340,4136,54.66,1296.7,583.06,1808.62,62
1000341,3258,54.87,1372.55,268.73,1430.01,56
1000342,12590,24.65,5150.72,1012.42,2482.33,37
1000343,13388,56.07,3887.3,1510.2,6005.26,60
1000344,2173,27.42,796.09,156.94,476.63,43
1000345,8116,29.32,1410.48,1564.89,1904.01,43
1000346,3883,6.82,878.39,523.31,211.97,34
1000347,10536,26.27,2760.35,1556.32,2214.2,52
1000348,2194,7.11,664.87,255.87,124.76,23
1000349,8401,2.88,2317.4,1294.18,193.25,26
1000350,2283,28.04,821.71,436.25,512.12,30
1000351,2002,17.73,710.14,164.24,284.01,29
1000352,8400,48.24,2488.39,457.84,3241.65,69
1000353,2460,44.84,781.19,285.16,882.4,49
1000354,2778,22.67,534.59,465.68,503.78,30
1000355,11778,39.17,3529.7,933.67,3690.55,56
1000356,14567,41.48,4787.48,2052.09,4833.72,56
1000357,12114,45.01,5235.96,1021.1,4362.2,51
1000358,9308,62.26,1440.57,1694.27,4636.13,65
1000359,4267,14.11,753.35,479.1,481.56,44
1000360,3320,57.3,750.13,437.09,1521.93,78
1000361,11416,64.64,2234.54,603.01,5903.74,77
1000362,11095,9.82,3871.63,585.58,871.92,28
1000363,2938,42.77,1149.35,568.11,1005.35,47
1000364,11566,17.0,2789.08,861.73,1573.43,31
1000365,9555,25.15,2508.77,1895.69,1922.69,46
1000366,13320,60.72,2477.4,1624.19,6470.27,73
1000367,13945,6.0,3948.65,2640.05,669.67,24
1000368,12717,24.79,5275.94,1161.43,2522.05,38
1000369,7497,30.82,1545.22,1109.92,1848.2,50
1000370,13284,34.22,3158.49,2578.34,3636.66,61
1000371,8830,39.59,3125.53,1032.08,2796.54,57
1000372,2483,49.75,1014.05,353.15,988.28,46
1000373,6816,3.38,1815.89,913.07,184.04,23
1000374,13891,41.95,4773.5,1224.44,4661.36,48
1000375,11368,,4685.95,1632.52,3369.88,44
1000376,4919,14.89,2190.48,377.85,585.99,31
1000377,14344,15.48,4968.58,1543.98,1776.38,33
1000378,11265,22.54,4377.91,1636.59,2030.93,38
1000379,5182,4.63,1620.77,886.31,191.94,21
1000380,12318,32.9,3745.22,1607.93,3241.76,50
1000381,4860,40.46,1458.44,816.54,1573.25,44
1000382,8013,62.83,1509.7,520.0,4027.54,85
1000383,9303,26.88,1601.07,1069.28,2000.77,42
1000384,7979,29.06,2246.06,1345.3,1854.67,46
1000385,7029,31.59,1527.59,1315.46,1776.13,49
1000386,14499,29.27,3575.42,1973.54,3395.64,46
1000387,13121,20.43,5400.96,1664.26,2144.05,34
1000388,8738,2.55,1452.88,1525.27,178.52,25
1000389,7882,40.16,2042.65,1408.37,2532.1,50
1000390,6917,11.43,2077.87,1312.99,632.55,25
1000391,4751,43.55,1254.67,819.51,1655.14,55
1000392,7183,64.29,1914.53,559.35,3694.62,68
1000393,13786,9.08,2960.57,1007.55,1001.33,31
1000394,8477,2.99,1686.16,1161.62,203.05,34
1000395,7607,33.95,2663.05,1283.93,2066.26,42
1000396,9849,36.49,2936.55,870.83,2874.96,42
1000397,2500,25.06,799.0,254.17,501.16,41
1000398,7220,57.8,2160.96,421.09,3338.27,68
1000399,10021,31.89,3665.13,1777.42,2556.23,38
1000400,10207,47.51,2645.03,1272.23,3879.13,56
1000401,13772,54.0,4545.51,904.37,5949.42,67
1000402,11099,62.25,3380.21,995.58,5526.92,69
1000403,13261,55.9,3910.22,1849.47,5930.49,57
1000404,14759,61.74,2787.06,913.84,7289.78,77
1000405,2652,57.21,962.38,377.48,1213.82,69
1000406,14008,5.33,5713.11,1915.64,597.4,21
1000407,3112,5.23,701.28,446.82,130.23,25
1000408,10994,7.74,2973.23,967.5,681.16,25
1000409,11380,33.74,3846.0,869.31,3071.52,44
1000410,6848,6.46,2284.89,439.81,354.14,31
1000411,10139,43.61,3980.43,1089.57,3537.22,55
1000412,11179,5.33,4684.98,1632.85,476.36,16
1000413,7631,46.21,2331.36,574.04,2821.1,56
1000414,7723,29.45,1555.41,526.33,1819.25,54
1000415,14226,57.57,2920.19,2135.47,6552.31,68
1000416,14772,18.59,6528.45,1900.54,2197.16,41
1000417,5684,54.01,950.18,372.68,2455.89,71
1000418,8287,7.25,3165.18,1541.15,480.63,12
1000419,3002,15.92,479.73,348.97,382.22,45
1000420,3300,,1135.65,318.42,886.09,41
1000421,9804,17.45,3949.1,1008.98,1368.54,25
1000422,4694,52.71,1730.68,358.69,1979.22,59
1000423,3397,23.66,916.97,191.19,642.95,40
1000424,3984,36.66,1301.71,778.38,1168.37,53
1000425,7995,2.95,1708.78,595.52,188.89,20
1000426,2604,38.2,765.83,519.87,795.88,44
1000427,14783,18.7,5138.33,2379.11,2211.8,35
1000428,3126,32.43,863.09,202.47,810.99,50
1000429,11338,33.03,1937.59,2132.87,2995.82,53
1000430,13001,44.23,2074.31,662.37,4600.17,66
1000431,4540,46.28,1729.48,731.97,1680.9,61
1000432,13478,60.29,4635.25,2599.1,6500.97,69
1000433,13351,4.74,5018.45,1625.02,506.75,27
1000434,2966,45.3,490.21,520.5,1074.88,58
1000435,11102,47.36,4358.86,2034.91,4205.94,47
1000436,6043,47.33,2709.55,757.81,2288.19,47
1000437,4498,20.59,1630.16,766.94,740.8,34
1000438,7895,20.01,3178.62,549.84,1264.03,33
1000439,7531,24.66,2353.78,839.26,1485.85,43
1000440,9630,21.29,2009.74,1388.71,1640.55,41
1000441,4721,20.63,1864.1,777.07,779.25,32
1000442,3017,15.66,885.43,290.75,378.02,40
1000443,2859,32.22,1282.53,371.67,736.98,41
1000444,11522,37.83,4909.34,2240.47,3487.43,48
1000445,12182,24.38,3241.02,1198.23,2375.62,42
1000446,4815,38.94,2069.07,261.87,1499.79,53
1000447,4890,12.51,1469.87,366.9,489.32,35
1000448,8176,58.69,1556.51,950.37,3838.95,80
1000449,7007,62.42,2184.19,928.5,3499.25,66
1000450,8905,4.2,2333.99,1143.28,299.24,26
1000451,11948,6.94,3262.69,1208.28,663.54,34
1000452,13077,40.6,5001.77,2410.15,4247.91,47
1000453,14334,20.36,3803.83,1780.61,2334.41,37
1000454,12227,48.59,2766.2,1502.88,4752.64,66
1000455,13395,54.64,3393.99,2399.85,5855.61,71
1000456,8378,53.05,2944.79,622.07,3555.32,60
1000457,12485,60.16,4098.73,1804.34,6008.34,64
1000458,14848,2.65,3102.53,2837.06,315.16,23
1000459,11928,18.03,1989.9,1218.96,1720.44,43
1000460,5540,10.32,2181.48,612.45,457.25,25
1000461,14210,23.27,3094.56,1089.77,2645.42,47
1000462,6105,6.13,1496.73,1109.99,299.46,21
1000463,11067,58.23,2777.61,585.5,5155.15,69
1000464,9532,35.31,2539.07,666.76,2692.46,55
1000465,3900,58.49,1595.93,296.21,1825.04,65
1000466,11290,42.65,4772.97,1440.94,3852.31,43
1000467,12723,56.71,3407.65,2054.03,5772.09,63
1000468,12209,13.22,2720.87,1777.92,1290.88,33
1000469,12163,28.03,5035.29,1382.98,2727.8,38
1000470,11448,40.16,4714.52,692.71,3678.11,48
1000471,12944,15.5,5647.92,1962.13,1604.84,21
1000472,5255,43.19,1016.44,753.37,1815.75,55
1000473,5207,10.59,2135.06,956.72,441.33,29
1000474,11593,46.85,4564.79,1877.82,4344.95,60
1000475,14645,54.57,5215.72,2790.07,6393.04,51
1000476,4192,19.04,1685.76,682.87,638.49,29
1000477,4133,23.81,1473.28,244.89,787.26,29
1000478,3988,39.02,839.27,596.65,1244.88,58
1000479,12545,45.27,2600.2,1803.35,4543.5,60
1000480,7460,59.81,2068.68,1325.43,3569.62,65
1000481,8780,5.97,2548.82,647.65,419.41,29
1000482,3266,51.48,1094.99,468.57,1345.16,69
1000483,6559,16.32,2478.09,716.4,856.49,36
1000484,6287,11.14,1282.07,729.46,560.09,35
1000485,10666,12.69,1686.87,1145.2,1082.52,39
1000486,9836,18.82,2197.15,1880.57,1480.69,39
1000487,2850,33.9,1052.26,294.46,772.87,45
1000488,12471,16.84,2040.43,1891.67,1679.8,38
1000489,12080,57.08,4389.02,1575.07,5516.41,63
1000490,14198,4.12,4170.63,1546.69,467.47,25
1000491,11121,37.16,2542.34,1917.24,3306.24,52
1000492,11327,10.53,3663.98,2066.06,954.12,23
1000493,8033,21.15,2125.06,955.81,1359.24,28
1000494,7009,9.61,2497.23,398.67,538.99,23
1000495,6340,8.53,2531.99,543.15,432.48,22
1000496,7528,42.53,2177.61,950.12,2561.13,59
1000497,10763,58.85,1840.67,715.82,5067.07,76
1000498,9448,3.89,2269.22,823.19,294.0,31
1000499,13956,59.91,4496.86,1422.74,6688.6,69
1000500,2027,57.17,530.56,303.73,927.14,66
1000501,10576,35.48,1765.49,658.34,3001.91,53
1000502,7777,,1429.27,598.07,3050.88,54
1000503,14152,28.58,3522.08,1146.22,3235.71,49
1000504,4139,46.51,1500.47,774.01,1540.2,56
1000505,8866,61.86,3381.46,1071.51,4387.57,68
1000506,4322,23.17,1073.81,831.85,801.12,39
1000507,7407,2.53,1456.41,893.47,150.16,26
1000508,6791,57.33,1047.87,1189.05,3114.63,75
1000509,4533,57.87,1673.77,574.57,2098.78,55
1000510,10335,21.39,2540.25,1633.88,1768.84,42
1000511,3976,10.59,1732.5,558.95,337.01,25
1000512,10919,33.03,1698.36,1238.01,2884.91,52
1000513,6116,14.38,1247.85,850.61,703.79,40
1000514,2368,25.37,457.3,360.35,480.54,47
1000515,9218,36.67,1451.69,618.14,2703.85,54
