ListenID,AudioLengthMinutes,SpeakerPitchAvg,AdCount,DropoffTimeMinutes,Completed
1620136,109.4,93.5,95.4,1.0,118.6
1620137,96.1,68.7,75.5,16.6,128.0
1620138,111.8,105.8,74.4,1.4,108.0
1620139,94.7,79.2,74.7,1.2,114.3
1620140,40.7,73.3,107.4,4.9,101.0
1620141,109.1,104.3,80.9,14.8,59.9
1620142,52.4,135.9,69.7,7.0,128.2
1620143,115.6,94.4,98.0,9.7,115.9
1620144,96.1,76.4,134.2,12.4,87.0
1620145,94.5,82.0,84.2,22.8,198.5
1620146,104.4,117.2,127.4,4.1,89.7
1620147,67.8,94.4,92.3,3.3,89.7
1620148,100.1,54.0,65.1,8.1,124.7
1620149,104.3,135.0,105.4,29.6,118.1
1620150,130.3,73.1,104.7,,85.6
1620151,108.6,57.4,42.7,82.7,120.9
1620152,141.4,79.0,87.9,27.5,95.1
1620153,92.9,79.2,101.7,5.7,81.8
1620154,80.1,146.4,121.4,22.2,148.1
1620155,86.7,81.7,77.3,14.8,99.7
1620156,54.7,82.4,107.2,7.3,65.9
1620157,137.3,84.9,116.8,19.7,96.7
1620158,74.6,68.6,128.1,10.5,106.9
1620159,108.8,140.4,100.2,1.0,111.0
1620160,88.6,79.2,100.9,3.1,153.5
1620161,72.3,141.7,98.0,6.9,90.2
1620162,86.2,126.2,118.1,31.3,85.1
1620163,77.1,113.3,67.1,23.3,95.4
1620164,122.0,73.5,92.6,14.1,101.5
1620165,113.8,117.6,69.1,1.3,103.7
1620166,64.1,87.6,113.1,1.9,88.4
1620167,127.4,108.7,114.6,1.0,99.2
1620168,71.1,89.9,92.1,1.0,119.4
1620169,87.9,83.3,91.0,3.3,157.2
1620170,117.8,117.8,45.3,1.0,120.5
1620171,140.3,63.0,65.3,7.1,94.7
1620172,63.7,94.9,100.2,14.2,70.9
1620173,120.8,101.2,127.2,26.4,123.7
1620174,111.9,82.9,109.6,11.5,128.2
1620175,126.4,41.8,103.0,7.2,38.0
1620176,108.8,147.2,82.1,24.8,113.6
1620177,115.0,112.4,96.0,49.3,128.2
1620178,78.5,115.0,122.4,1.0,85.0
1620179,68.3,91.7,98.0,3.6,109.5
1620180,88.6,53.2,71.2,15.7,113.2
1620181,120.3,114.6,80.4,15.7,114.4
1620182,119.0,101.4,94.9,14.3,88.5
1620183,125.7,106.0,85.8,45.0,113.9
1620184,64.6,53.7,73.2,5.3,45.3
1620185,122.2,83.4,89.4,2.6,116.2
1620186,93.4,90.1,99.0,18.5,121.2
1620187,139.5,63.8,42.9,6.3,79.4
1620188,114.8,76.7,93.3,6.7,123.4
1620189,132.6,94.0,99.7,67.9,131.9
1620190,57.5,96.0,67.0,37.2,113.9
1620191,78.8,90.3,41.5,6.9,110.3
1620192,130.2,98.4,116.4,1.0,138.8
1620193,100.1,111.3,104.4,15.9,88.7
1620194,106.0,140.9,40.9,1.0,134.8
1620195,126.7,107.0,112.1,2.6,75.5
1620196,94.7,99.7,96.3,36.1,73.1
1620197,96.9,116.1,124.6,27.0,111.8
1620198,142.4,96.3,105.7,9.8,104.8
1620199,95.1,71.7,55.6,2.3,47.5
1620200,56.3,102.1,150.3,2.0,108.9
1620201,133.8,101.0,79.6,33.0,62.8
1620202,107.3,132.2,147.6,17.9,126.1
1620203,111.2,79.8,119.7,17.8,56.1
1620204,139.8,133.4,99.3,26.8,81.2
1620205,80.6,90.6,117.3,1.2,136.8
1620206,103.2,87.2,105.9,10.7,59.3
1620207,80.9,74.9,105.9,14.1,71.2
1620208,103.1,83.9,167.8,24.8,120.1
1620209,128.1,84.1,97.3,7.2,106.5
1620210,126.0,103.0,123.2,34.0,105.0
1620211,102.7,109.0,83.6,12.8,61.1
1620212,118.8,71.9,93.6,3.0,142.3
1620213,129.3,93.8,82.6,22.2,61.3
1620214,116.6,88.5,86.7,12.3,130.0
1620215,85.7,139.0,109.6,1.0,65.7
1620216,152.6,131.7,36.3,28.1,65.5
1620217,80.5,143.7,102.3,26.3,126.3
1620218,76.3,81.1,88.0,16.3,67.6
1620219,150.3,78.7,88.5,40.3,111.5
1620220,95.7,84.8,68.6,32.8,81.0
1620221,98.5,86.4,134.4,17.0,59.1
1620222,69.4,124.6,63.9,,81.0
1620223,102.2,44.3,149.7,2.5,98.3
1620224,110.5,69.0,91.2,13.0,116.1
1620225,92.1,133.6,126.2,20.0,89.6
1620226,144.3,112.5,99.2,16.7,81.7
1620227,97.3,116.6,101.6,12.2,116.2
1620228,81.0,147.6,82.0,22.4,144.1
1620229,93.8,123.0,101.8,1.1,118.5
1620230,109.4,96.6,122.8,5.1,102.8
1620231,93.6,85.9,96.4,5.6,26.9
1620232,48.9,98.2,57.9,16.5,78.1
1620233,78.5,108.4,122.1,35.5,88.8
1620234,114.5,97.2,85.6,9.8,88.6
1620235,127.4,95.1,112.2,2.6,115.3
1620236,83.5,68.5,106.9,2.3,68.0
1620237,106.0,165.4,85.1,42.3,113.8
1620238,96.9,137.2,90.2,2.0,65.0
1620239,89.8,123.2,74.2,9.2,98.7
1620240,117.4,110.0,78.0,10.1,149.1
1620241,158.1,127.6,93.5,1.7,99.8
1620242,98.8,155.5,86.9,18.0,96.0
1620243,66.8,110.8,101.7,6.8,14.2
1620244,121.0,150.3,72.1,9.0,91.4
1620245,59.6,150.0,79.1,35.7,61.2
1620246,147.0,87.5,87.0,9.3,89.9
1620247,105.9,122.3,108.0,7.5,71.1
1620248,144.6,107.2,73.5,36.7,107.1
1620249,73.2,102.3,81.7,2.7,122.8
1620250,126.2,114.1,66.8,22.7,131.4
1620251,91.8,78.5,110.2,,97.6
1620252,116.0,85.1,118.9,10.0,84.9
1620253,99.8,105.4,88.6,1.1,88.7
1620254,90.8,123.6,74.1,7.1,82.8
1620255,112.0,115.8,107.6,14.2,83.1
1620256,87.4,112.1,42.4,30.2,104.3
1620257,106.1,101.7,59.4,27.7,105.8
1620258,84.4,101.6,83.7,6.0,71.2
1620259,102.8,96.1,139.3,1.3,90.5
1620260,81.0,104.2,111.0,10.2,113.7
1620261,101.0,92.3,91.6,5.5,47.6
1620262,111.0,74.0,80.1,113.4,75.8
1620263,111.1,62.2,101.2,11.8,92.0
1620264,64.3,89.1,82.4,13.2,149.0
1620265,114.8,52.8,144.5,2.8,103.7
1620266,111.9,107.1,166.2,19.7,46.1
1620267,71.9,67.4,87.9,20.2,54.7
1620268,118.9,143.1,113.0,1.0,121.3
1620269,84.6,74.9,107.6,1.0,105.6
1620270,46.7,115.6,117.7,21.6,97.7
1620271,106.7,81.4,140.0,60.8,106.8
1620272,58.0,136.6,74.8,2.9,191.9
1620273,89.0,121.4,128.7,2.8,130.8
1620274,97.3,100.8,89.0,41.4,124.4
1620275,76.6,90.4,121.7,1.0,80.4
1620276,117.5,67.9,65.8,10.6,100.8
1620277,142.4,111.8,118.5,58.2,67.1
1620278,128.1,112.2,69.5,16.8,104.7
1620279,82.4,108.1,107.1,1.0,116.0
1620280,61.3,70.7,92.6,58.1,84.6
1620281,69.8,132.1,73.3,5.7,120.0
1620282,121.4,99.5,73.8,1.7,118.4
1620283,107.5,41.6,104.4,15.7,94.8
1620284,74.0,109.9,125.6,7.8,90.0
1620285,90.7,132.8,88.9,8.9,71.9
1620286,99.6,113.8,105.8,27.5,97.0
1620287,84.9,168.2,114.9,35.9,83.4
1620288,95.4,133.2,75.2,7.7,118.0
1620289,64.5,98.6,52.3,21.2,96.4
1620290,110.2,124.5,126.7,17.6,63.8
1620291,109.2,72.0,92.8,53.2,81.5
1620292,96.5,90.6,129.5,11.2,67.6
1620293,110.8,98.9,117.3,44.0,115.0
1620294,86.1,80.0,118.3,2.1,124.9
1620295,133.8,87.7,91.7,66.3,129.0
1620296,74.7,74.2,87.3,3.5,122.5
1620297,110.3,54.3,94.1,21.9,109.5
1620298,116.0,79.3,133.5,13.4,93.5
1620299,131.5,98.8,83.8,17.6,81.3
1620300,119.2,98.8,62.0,6.3,116.2
1620301,86.2,111.8,132.7,10.1,55.6
1620302,83.1,91.3,34.3,2.5,96.5
1620303,110.2,133.4,105.3,23.5,72.4
1620304,133.7,107.3,113.0,4.5,98.1
1620305,139.1,94.4,127.6,9.8,82.9
1620306,100.7,112.8,63.9,19.4,106.3
1620307,129.7,101.9,115.3,36.7,97.8
1620308,84.8,127.0,127.4,7.1,103.7
1620309,71.7,42.0,66.2,1.0,91.4
1620310,55.9,112.3,98.3,22.0,85.0
1620311,91.1,124.6,149.9,3.0,112.1
1620312,140.0,82.2,121.4,4.6,159.5
1620313,118.6,108.6,94.5,16.3,107.6
1620314,82.3,102.3,127.9,9.7,99.3
1620315,96.5,106.0,112.3,7.5,132.1
1620316,119.5,87.8,127.1,1.0,64.9
1620317,111.8,116.6,85.6,2.1,121.9
1620318,104.3,91.5,85.1,45.5,65.5
1620319,73.6,125.7,106.5,7.2,79.7
1620320,87.1,44.7,112.7,38.5,104.6
1620321,62.2,117.6,101.8,14.9,92.0
1620322,116.3,105.0,90.7,51.5,128.3
1620323,102.3,112.4,106.0,3.6,92.8
1620324,97.6,94.8,84.1,9.9,80.6
1620325,104.2,94.3,99.7,5.7,83.4
1620326,119.1,122.3,112.5,2.0,123.3
1620327,97.6,117.7,114.9,1.3,87.7
1620328,77.8,98.8,127.9,1.0,65.0
1620329,99.1,100.3,119.2,42.5,104.6
1620330,92.2,115.5,131.5,12.2,103.0
1620331,117.8,85.8,104.3,41.2,90.3
1620332,81.4,50.0,109.0,49.1,92.3
1620333,119.2,112.0,75.2,26.0,116.1
1620334,109.2,146.5,121.9,40.8,99.4
1620335,94.4,127.5,98.0,44.7,84.1
1620336,106.5,105.5,71.3,35.9,126.9
1620337,179.6,66.9,105.6,15.4,78.2
1620338,86.2,60.6,147.0,16.2,81.6
1620339,102.3,96.9,126.3,43.0,116.4
1620340,105.1,75.9,87.7,17.1,125.7
1620341,117.2,113.0,52.2,4.0,123.4
1620342,125.1,108.1,92.8,7.3,101.9
1620343,86.1,117.4,106.8,8.6,75.2
1620344,88.3,129.7,98.0,4.2,84.0
1620345,81.8,121.1,65.5,5.1,88.9
1620346,111.4,84.5,86.2,20.3,74.1
1620347,109.9,74.2,111.8,10.9,109.6
1620348,72.5,87.0,127.6,3.5,115.9
1620349,79.1,128.3,109.4,2.6,91.6
1620350,95.6,166.1,70.0,1.0,83.3
1620351,90.5,114.1,80.8,9.8,130.1
1620352,121.1,137.8,53.6,2.6,100.5
1620353,121.2,89.6,108.3,9.5,104.6
1620354,29.4,117.3,136.4,3.1,129.4
1620355,121.3,76.8,90.1,20.4,105.4
1620356,121.5,99.2,81.3,10.3,163.9
1620357,115.8,120.9,110.4,19.6,106.3
1620358,111.6,113.0,53.8,58.7,107.5
1620359,131.9,55.7,128.1,12.3,123.7
1620360,85.1,115.8,102.4,1.0,127.2
1620361,83.2,95.2,82.8,16.3,101.3
1620362,138.5,110.7,146.4,13.4,114.2
1620363,100.2,110.7,71.1,7.8,118.2
1620364,102.6,115.7,51.6,49.4,89.6
1620365,115.2,75.9,154.5,22.0,146.1
1620366,140.9,90.8,75.4,17.2,117.2
1620367,117.4,104.1,70.9,1.7,64.0
1620368,100.5,120.2,106.1,5.4,110.3
1620369,108.6,105.1,114.7,5.9,116.2
1620370,114.2,107.7,115.4,15.8,107.8
1620371,92.9,128.9,113.6,9.5,95.4
1620372,147.1,64.0,83.1,11.3,91.1
1620373,133.7,99.7,140.7,61.5,129.4
1620374,107.5,80.9,117.8,4.9,72.9
1620375,103.8,79.9,74.5,9.5,87.2
1620376,137.9,109.0,93.5,12.1,128.7
1620377,77.1,63.2,114.5,16.5,62.7
1620378,71.5,84.4,102.4,6.6,61.9
1620379,88.8,44.3,97.5,44.2,124.3
1620380,45.0,81.6,90.3,4.0,82.9
1620381,117.8,115.9,152.8,6.5,133.8
1620382,51.9,71.7,79.5,1.0,75.6
1620383,96.1,72.5,80.1,24.3,49.6
1620384,58.2,78.2,137.7,13.2,69.1
1620385,81.8,71.7,79.6,11.5,110.9
1620386,75.5,139.6,39.0,5.4,75.5
1620387,110.9,93.5,137.0,6.1,108.1
1620388,66.1,88.8,62.9,15.3,137.4
1620389,120.4,115.1,56.1,53.6,65.8
1620390,86.5,61.4,91.9,,110.7
1620391,83.9,92.6,67.0,4.3,81.9
1620392,57.2,75.5,98.4,25.7,80.4
1620393,152.6,146.6,99.8,17.4,88.3
1620394,175.7,90.3,124.2,1.0,105.7
1620395,100.8,145.2,67.2,,97.9
1620396,68.6,72.2,102.4,3.5,84.2
1620397,29.6,136.4,114.2,1.0,86.3
1620398,110.5,98.2,106.6,1.3,102.3
1620399,95.1,104.4,106.2,16.7,98.4
1620400,171.6,97.2,124.4,17.2,97.6
1620401,95.6,137.2,118.6,7.2,161.1
1620402,128.2,116.3,101.5,30.9,122.2
1620403,124.6,136.3,113.1,8.7,79.7
1620404,137.8,119.2,60.9,10.5,110.4
1620405,89.2,78.2,103.0,4.7,89.6
1620406,102.7,105.4,85.8,12.9,89.1
1620407,127.9,74.4,127.2,15.1,143.3
1620408,102.9,78.2,107.7,24.5,109.9
1620409,123.2,102.0,94.7,7.6,68.1
1620410,70.4,70.5,76.6,45.7,140.7
1620411,129.6,109.3,91.7,13.2,65.9
1620412,100.9,126.8,82.5,8.7,108.2
1620413,88.3,93.8,85.2,3.1,147.1
1620414,111.0,136.1,100.9,10.4,98.8
1620415,98.7,107.3,122.2,62.3,59.1
1620416,132.1,94.5,128.6,17.8,112.2
1620417,102.4,87.2,110.1,6.1,73.0
1620418,126.0,66.5,85.2,13.1,109.4
1620419,81.8,66.9,130.1,14.1,116.9
1620420,80.8,89.0,45.8,31.8,85.0
1620421,86.7,125.0,145.5,28.8,90.8
1620422,105.6,92.2,104.6,11.0,104.4
1620423,85.3,95.6,56.2,20.1,56.9
1620424,45.6,86.4,135.5,9.9,90.7
1620425,120.7,130.4,75.4,25.5,127.6
1620426,119.0,65.7,96.5,49.6,75.6
1620427,94.8,115.5,59.4,7.9,86.6
1620428,76.8,61.2,120.4,2.5,125.2
1620429,91.9,87.7,78.3,6.9,88.8
1620430,105.6,91.4,108.4,15.4,83.8
1620431,136.9,110.7,57.9,8.0,99.0
1620432,108.1,83.2,82.5,12.4,104.2
1620433,132.5,91.2,85.9,37.5,108.4
1620434,126.8,118.9,122.4,27.0,103.4
1620435,139.1,76.9,117.5,10.6,108.3
1620436,141.0,127.7,99.2,5.8,113.3
1620437,108.7,115.2,131.7,2.3,107.0
1620438,109.1,92.7,45.3,30.7,88.0
1620439,120.1,120.3,48.9,20.3,119.1
1620440,108.7,142.4,107.4,61.3,139.4
1620441,100.3,59.5,107.4,5.0,126.3
1620442,124.7,112.3,82.2,2.5,148.0
1620443,121.1,114.8,110.5,29.3,168.7
1620444,110.2,67.1,51.8,1.6,76.3
1620445,111.4,104.5,102.4,11.4,54.5
1620446,72.1,95.7,92.8,55.9,94.3
1620447,105.2,113.0,109.1,6.7,28.9
1620448,102.5,103.3,73.2,18.4,80.8
1620449,98.7,85.9,100.9,1.0,127.7
1620450,72.3,97.3,123.7,30.6,102.5
1620451,121.7,108.7,77.1,18.2,157.6
1620452,112.4,66.7,125.1,4.4,130.7
1620453,82.0,120.8,82.6,1.5,82.4
1620454,111.9,149.6,152.9,11.7,80.9
1620455,95.4,76.3,118.7,4.0,122.4
1620456,81.7,105.8,94.2,12.1,110.1
1620457,86.7,107.6,140.4,31.5,125.4
1620458,95.0,109.0,67.4,1.0,51.4
1620459,110.7,82.5,101.3,5.9,83.2
1620460,79.2,57.6,106.5,14.0,93.9
1620461,97.2,99.9,115.6,11.3,110.7
1620462,72.0,78.0,98.5,25.5,78.0
1620463,117.2,120.9,148.2,33.2,90.8
1620464,78.7,88.8,102.1,12.2,71.6
1620465,63.2,82.7,64.4,3.7,55.7
1620466,96.3,56.2,68.2,19.3,138.5
1620467,70.1,98.2,79.5,7.6,46.5
1620468,96.2,77.2,120.0,16.5,70.6
1620469,58.5,109.3,84.4,45.4,105.7
1620470,117.3,88.8,77.7,4.2,127.4
1620471,80.7,120.4,120.2,32.2,107.9
1620472,136.1,62.7,120.7,5.6,97.2
1620473,133.1,93.5,80.7,9.2,78.1
1620474,105.7,125.3,119.2,21.2,113.9
1620475,112.1,164.7,111.3,14.5,110.9
1620476,101.0,88.1,92.0,5.7,98.1
1620477,99.7,107.1,76.1,5.2,84.9
1620478,77.0,100.2,117.9,37.7,139.3
1620479,109.3,114.0,70.1,11.4,69.0
1620480,107.1,129.7,108.9,10.9,101.3
1620481,99.0,67.2,103.6,19.3,137.1
1620482,114.9,122.6,97.4,8.2,119.4
1620483,61.4,68.7,135.2,27.9,119.6
1620484,88.7,72.1,125.8,19.7,75.1
1620485,96.6,110.0,100.3,7.8,77.9
1620486,113.5,107.6,121.3,26.1,116.6
1620487,94.0,78.2,131.7,5.9,107.1
1620488,116.9,133.7,102.2,31.4,120.8
1620489,92.2,96.7,78.8,7.7,121.1
1620490,112.5,64.8,107.8,14.7,127.3
1620491,106.3,128.6,100.5,16.9,147.3
1620492,112.1,70.5,84.9,2.0,99.1
1620493,89.0,130.1,155.2,20.1,72.6
1620494,122.9,124.0,81.2,4.5,112.2
1620495,142.2,110.8,104.9,14.2,103.2
1620496,114.0,112.6,94.8,5.7,99.0
1620497,129.6,77.7,76.1,4.7,72.1
1620498,91.2,97.7,84.9,21.5,126.3
1620499,80.2,144.5,44.9,5.7,93.8
1620500,73.6,127.5,103.5,18.4,130.3
1620501,120.0,103.0,66.5,2.2,76.4
1620502,89.0,119.6,105.6,15.3,131.8
1620503,128.5,122.5,121.9,3.2,95.0
1620504,76.8,75.6,140.2,13.5,112.1
1620505,98.4,50.1,80.9,6.7,130.9
1620506,116.9,142.7,90.7,2.5,98.1
1620507,98.9,155.4,66.9,15.2,92.5
1620508,107.0,91.8,125.9,8.8,107.6
1620509,61.6,110.8,97.5,39.3,113.0
1620510,154.5,112.2,91.2,8.3,90.8
1620511,121.2,81.3,120.0,153.6,114.2
1620512,85.1,84.3,119.5,18.4,72.2
1620513,88.2,72.8,123.1,24.2,91.6
1620514,89.1,82.7,87.9,71.7,129.4
1620515,123.8,118.5,83.7,19.0,120.4
1620516,84.9,112.6,104.6,21.4,152.9
1620517,110.4,114.9,84.1,7.8,88.8
1620518,93.6,65.5,136.8,24.8,83.2
1620519,108.5,94.1,93.7,26.5,113.7
1620520,74.9,137.2,102.7,10.6,122.6
1620521,112.2,66.4,111.9,1.6,111.3
1620522,66.6,108.8,64.7,1.0,120.2
1620523,69.8,93.2,107.6,18.4,85.6
1620524,80.0,123.8,114.8,46.6,130.6
1620525,99.9,103.2,79.9,8.6,94.9
1620526,102.7,77.5,75.9,2.6,145.6
1620527,99.9,114.8,141.3,10.6,89.9
1620528,97.9,98.9,108.1,14.8,119.9
1620529,105.0,94.0,125.1,4.1,84.3
1620530,115.7,98.0,111.3,1.0,90.5
1620531,48.7,92.9,115.5,16.8,114.0
1620532,134.7,99.9,61.5,11.4,53.1
1620533,100.3,61.0,134.6,5.7,146.0
1620534,118.7,127.8,103.0,1.0,141.0
1620535,94.1,99.4,113.4,11.7,108.0
1620536,115.4,73.3,113.4,3.9,107.9
1620537,104.0,103.7,127.6,5.8,82.8
1620538,102.0,27.3,76.4,7.1,94.5
1620539,89.4,136.5,155.6,1.2,129.4
1620540,91.3,87.7,102.1,8.1,53.1
1620541,93.5,107.2,158.9,29.6,122.7
1620542,83.2,132.0,76.0,39.6,98.3
1620543,101.1,53.1,117.8,7.7,101.5
1620544,85.4,61.6,107.3,7.0,118.4
1620545,86.5,90.7,125.2,24.6,100.1
1620546,82.4,93.1,119.8,20.5,65.8
1620547,61.7,99.0,77.6,5.3,81.2
1620548,69.8,78.1,119.2,4.1,84.4
1620549,127.4,105.6,74.1,9.9,104.5
1620550,142.8,94.6,48.3,2.6,106.5
1620551,125.1,143.7,77.9,5.0,97.8
1620552,107.8,69.6,88.8,34.2,104.0
1620553,57.1,56.5,33.8,25.0,117.1
1620554,75.8,80.0,103.1,35.0,132.4
1620555,99.5,79.6,138.4,22.4,73.7
1620556,125.0,72.8,63.3,11.8,100.6
1620557,96.1,75.9,84.2,1.4,114.8
1620558,143.0,67.4,109.3,2.7,149.2
1620559,127.3,103.9,131.3,94.7,116.4
1620560,114.2,111.2,72.6,9.1,124.5
1620561,81.1,180.6,85.2,12.8,78.9
1620562,113.8,109.5,108.0,62.5,138.0
1620563,117.6,70.1,89.1,1.5,101.8
1620564,91.7,136.2,123.8,20.8,86.5
1620565,126.3,111.9,73.0,1.1,96.8
1620566,118.6,91.1,105.5,30.6,87.1
1620567,117.5,101.9,120.9,23.9,164.1
1620568,114.0,110.9,123.5,24.1,101.1
1620569,86.4,73.1,98.1,1.0,99.8
1620570,94.9,52.9,105.5,14.3,117.6
1620571,126.3,87.5,75.0,2.3,139.3
1620572,111.5,89.2,83.3,14.4,98.3
1620573,30.3,62.6,73.6,8.5,67.1
1620574,75.1,57.5,76.0,20.9,83.9
1620575,144.4,103.1,100.5,8.5,51.9
1620576,101.8,89.4,107.8,1.6,50.8
1620577,121.8,112.2,112.4,36.0,139.9
1620578,61.3,104.1,126.3,37.7,140.5
1620579,46.5,96.0,148.7,6.4,77.8
1620580,88.5,118.0,74.5,4.6,106.9
