DistrictID,SingleHouseholdRatio_Percent,DailyWasteVolume_Kg,RecyclingRate_Percent,FineImposedCount,WasteManagementGrade
1570055,42.7,135.6,62.4,80.4,42.0
1570056,44.1,103.0,49.5,104.3,34.0
1570057,39.1,97.4,38.9,47.7,55.0
1570058,47.4,110.5,45.5,79.3,42.0
1570059,31.4,87.8,45.4,127.3,21.0
1570060,52.7,119.5,64.8,125.2,46.0
1570061,58.5,69.3,44.7,115.9,35.0
1570062,47.0,139.0,50.0,96.0,41.0
1570063,56.2,101.2,35.5,86.8,62.0
1570064,30.9,90.4,47.4,95.6,34.0
1570065,31.4,119.7,62.4,154.9,42.0
1570066,47.6,95.7,39.8,86.7,38.0
1570067,5.2,89.7,39.1,104.2,45.0
1570068,42.3,69.0,60.2,121.7,46.0
1570069,36.7,128.3,45.3,109.6,56.0
1570070,33.6,91.2,27.8,128.4,47.0
1570071,57.3,95.9,42.8,126.0,47.0
1570072,41.0,142.4,32.7,139.2,37.0
1570073,57.2,127.0,45.2,108.6,54.0
1570074,65.0,95.0,41.9,91.9,40.0
1570075,13.2,130.4,28.3,178.5,28.0
1570076,40.8,55.4,60.4,136.9,62.0
1570077,26.1,144.5,20.9,72.8,36.0
1570078,48.6,104.1,19.4,85.5,46.0
1570079,24.3,103.4,10.6,53.5,35.0
1570080,40.3,130.8,60.0,125.5,32.0
1570081,44.3,86.1,29.6,113.9,68.0
1570082,42.5,129.3,34.7,111.1,58.0
1570083,56.6,111.3,59.1,67.1,57.0
1570084,30.0,114.2,34.7,114.5,29.0
1570085,75.3,63.2,18.8,115.3,65.0
1570086,43.3,156.5,46.3,106.6,48.0
1570087,20.5,80.3,21.0,89.4,43.0
1570088,,121.1,37.9,111.0,63.0
1570089,64.7,136.6,26.5,88.0,35.0
1570090,49.9,145.4,21.9,89.7,44.0
1570091,47.0,102.2,37.0,78.2,39.0
1570092,41.2,110.3,41.0,101.9,45.0
1570093,70.4,109.0,52.7,108.5,16.0
1570094,49.2,64.3,21.7,112.6,70.0
1570095,71.0,134.4,48.2,61.8,54.0
1570096,55.6,118.1,75.3,89.5,36.0
1570097,54.2,116.7,55.0,80.2,48.0
1570098,54.9,122.6,36.4,84.6,50.0
1570099,41.8,79.8,33.0,113.5,33.0
1570100,41.9,87.4,36.2,128.1,45.0
1570101,15.4,113.2,62.4,109.7,24.0
1570102,48.6,81.6,26.6,142.7,61.0
1570103,32.6,118.0,28.3,156.6,56.0
1570104,58.9,104.3,67.2,58.3,49.0
1570105,42.3,71.9,46.5,108.8,57.0
1570106,45.7,99.1,25.8,94.7,27.0
1570107,53.0,127.0,59.8,117.6,36.0
1570108,49.5,91.2,65.6,99.5,41.0
1570109,71.5,139.6,45.7,73.3,45.0
1570110,65.9,55.4,41.9,73.7,48.0
1570111,27.9,65.4,18.9,136.3,43.0
1570112,,40.4,52.4,104.3,20.0
1570113,26.9,71.7,58.4,94.3,49.0
1570114,58.6,154.0,53.5,119.2,12.0
1570115,62.8,88.5,45.8,111.5,55.0
1570116,50.4,94.8,23.8,82.9,66.0
1570117,55.7,101.5,43.8,84.2,29.0
1570118,51.8,105.5,30.3,72.6,62.0
1570119,40.8,56.8,32.3,127.5,50.0
1570120,57.4,118.6,40.0,100.6,75.0
1570121,58.9,109.3,51.2,75.5,32.0
1570122,32.8,58.4,60.8,98.2,48.0
1570123,51.5,107.5,54.5,95.7,36.0
1570124,29.9,103.9,61.2,84.6,37.0
1570125,45.8,128.3,45.5,114.0,65.0
1570126,40.8,89.3,13.2,127.1,41.0
1570127,55.6,29.8,42.2,117.4,41.0
1570128,46.8,73.3,35.0,21.7,13.0
1570129,69.0,62.5,35.7,107.3,38.0
1570130,56.9,89.5,31.4,86.6,29.0
1570131,41.8,45.6,47.6,124.1,61.0
1570132,19.9,107.4,40.2,111.2,21.0
1570133,64.6,74.7,48.5,96.0,22.0
1570134,26.9,94.4,45.4,52.6,50.0
1570135,59.0,102.5,31.3,105.1,51.0
1570136,49.4,100.2,37.8,90.1,39.0
1570137,45.6,94.7,54.0,76.1,65.0
1570138,42.8,90.1,56.7,81.8,44.0
1570139,19.5,68.7,24.4,70.2,22.0
1570140,79.3,57.2,43.1,75.2,61.0
1570141,59.8,68.1,27.3,83.2,27.0
1570142,62.9,89.1,38.7,103.3,48.0
1570143,66.2,93.1,10.1,112.8,63.0
1570144,39.9,102.3,54.2,104.6,43.0
1570145,58.9,100.4,15.0,87.1,17.0
1570146,44.8,84.1,41.4,118.0,54.0
1570147,44.0,125.0,40.7,134.0,16.0
1570148,6.9,87.1,41.6,85.8,49.0
1570149,33.7,141.5,35.0,89.3,26.0
1570150,51.1,105.2,36.9,93.3,47.0
1570151,53.2,109.0,74.9,107.3,50.0
1570152,51.9,123.7,52.8,83.9,38.0
1570153,12.4,114.9,36.9,118.3,53.0
1570154,52.4,124.2,75.1,145.8,36.0
1570155,48.1,115.8,45.1,60.9,64.0
1570156,72.5,98.0,31.9,93.6,21.0
1570157,67.2,75.4,34.7,130.1,56.0
1570158,29.5,121.5,72.1,104.1,63.0
1570159,30.3,114.6,54.9,80.3,26.0
1570160,39.4,138.9,50.4,80.9,58.0
1570161,30.4,121.7,47.5,109.3,40.0
1570162,46.2,104.9,38.2,69.1,32.0
1570163,39.7,141.5,54.8,148.0,76.0
1570164,38.9,109.1,54.9,130.3,41.0
1570165,66.9,99.6,37.2,105.3,26.0
1570166,65.6,109.5,54.9,126.4,20.0
1570167,57.7,100.7,24.7,131.9,46.0
1570168,49.8,68.0,49.0,106.1,56.0
1570169,71.1,70.2,44.6,71.3,55.0
1570170,41.9,45.5,30.1,118.0,34.0
1570171,52.7,45.1,58.7,63.4,60.0
1570172,46.7,92.2,52.9,119.9,46.0
1570173,65.7,144.4,42.1,112.3,44.0
1570174,36.4,111.1,56.7,95.7,56.0
1570175,70.3,80.0,33.7,88.4,44.0
1570176,33.5,115.1,71.8,53.4,46.0
1570177,51.6,94.5,35.4,99.2,31.0
1570178,46.2,101.8,30.0,110.9,56.0
1570179,71.4,142.3,53.9,133.7,23.0
1570180,17.2,53.7,23.3,114.8,57.0
1570181,40.7,75.5,52.6,64.7,30.0
1570182,81.6,104.7,19.6,150.0,52.0
1570183,41.6,143.7,26.4,42.7,57.0
1570184,37.4,118.3,31.9,105.5,44.0
1570185,62.2,127.2,55.6,120.1,16.0
1570186,56.4,125.4,24.8,110.1,41.0
1570187,85.4,109.2,51.8,89.4,43.0
1570188,42.1,96.4,52.7,112.4,56.0
1570189,63.7,133.3,57.1,95.5,43.0
1570190,16.4,141.3,37.4,113.2,24.0
1570191,47.4,58.4,55.9,82.2,18.0
1570192,48.3,95.7,37.2,97.8,53.0
1570193,48.8,64.5,40.1,125.2,37.0
1570194,56.0,79.3,54.5,137.2,40.0
1570195,55.5,106.5,64.1,117.5,15.0
1570196,42.6,99.6,80.1,71.1,34.0
1570197,26.7,76.6,56.8,82.9,29.0
1570198,47.5,70.3,42.6,121.5,27.0
1570199,,92.3,31.7,57.7,22.0
1570200,46.5,87.8,30.9,86.5,41.0
1570201,21.3,87.4,53.8,96.0,22.0
1570202,35.4,139.6,62.0,77.8,19.0
1570203,44.5,95.7,54.0,89.7,54.0
1570204,56.0,64.9,63.6,80.3,56.0
1570205,53.9,73.1,51.6,89.4,23.0
1570206,65.4,97.9,42.0,133.3,42.0
1570207,37.1,144.1,58.9,132.2,52.0
1570208,37.5,150.5,62.6,96.3,41.0
1570209,33.9,89.4,44.7,74.8,44.0
1570210,33.7,73.9,60.2,70.4,49.0
1570211,31.3,93.0,70.4,116.5,18.0
1570212,32.0,76.7,38.4,120.5,42.0
1570213,29.8,120.4,38.9,98.0,27.0
1570214,64.8,105.0,56.0,80.5,36.0
1570215,61.0,115.0,48.2,153.6,69.0
1570216,50.9,77.5,55.5,105.7,25.0
1570217,37.8,111.3,61.3,75.4,26.0
1570218,42.1,90.4,57.0,95.5,54.0
1570219,56.6,99.6,36.4,88.3,52.0
1570220,48.6,75.0,25.5,93.3,15.0
1570221,31.7,68.2,71.4,73.8,50.0
1570222,31.4,108.4,28.7,135.6,38.0
1570223,75.3,77.8,81.7,135.8,35.0
1570224,30.0,48.1,39.0,112.8,37.0
1570225,49.8,77.3,46.6,120.2,47.0
1570226,29.1,108.2,65.3,59.8,38.0
1570227,28.5,120.7,28.7,96.6,53.0
1570228,49.7,126.3,25.1,99.6,24.0
1570229,23.8,102.6,21.8,85.7,33.0
1570230,55.5,91.8,41.5,101.1,47.0
1570231,44.0,113.7,22.5,80.2,62.0
1570232,47.3,53.6,23.0,91.6,25.0
1570233,55.7,115.5,41.1,96.0,35.0
1570234,13.6,94.6,51.9,109.0,48.0
1570235,75.8,117.7,63.3,111.7,46.0
1570236,19.5,72.0,73.6,134.8,16.0
1570237,57.0,136.2,24.9,103.6,44.0
1570238,50.9,88.0,57.6,130.7,37.0
1570239,32.6,88.0,38.2,137.5,38.0
1570240,53.8,71.7,48.7,122.5,35.0
1570241,37.7,88.0,47.5,88.7,61.0
1570242,34.5,90.9,56.1,97.1,39.0
1570243,38.0,98.0,42.8,107.8,38.0
1570244,39.8,94.1,43.7,115.3,62.0
1570245,20.9,93.3,55.3,107.1,58.0
1570246,49.2,40.8,31.2,92.4,34.0
1570247,32.1,91.3,55.4,114.2,42.0
1570248,31.8,84.0,57.2,65.8,57.0
1570249,34.1,103.6,57.1,112.0,31.0
1570250,26.4,87.6,48.4,95.0,71.0
1570251,33.5,96.2,55.4,109.2,28.0
1570252,64.9,101.3,33.4,139.4,33.0
1570253,19.2,94.1,25.9,130.9,47.0
1570254,61.0,89.0,55.9,76.4,49.0
1570255,32.2,135.5,22.8,111.2,41.0
1570256,68.4,69.4,43.2,57.3,36.0
1570257,43.8,130.5,31.8,123.7,45.0
1570258,48.1,78.5,69.2,100.8,40.0
1570259,47.8,107.1,58.1,87.7,33.0
1570260,32.8,99.5,51.6,76.3,65.0
1570261,35.2,73.4,54.7,75.0,29.0
1570262,19.9,122.0,59.7,33.0,18.0
1570263,27.1,124.3,42.6,65.1,28.0
1570264,67.1,76.8,14.9,108.9,39.0
1570265,42.3,76.5,60.0,51.6,69.0
1570266,34.0,103.4,54.4,88.2,48.0
1570267,27.9,86.9,21.0,142.1,33.0
1570268,14.8,124.1,15.4,89.2,46.0
1570269,85.7,119.4,40.6,84.4,43.0
1570270,71.2,98.7,18.8,95.6,43.0
1570271,11.3,128.5,51.7,106.6,37.0
1570272,54.0,78.7,37.1,100.9,52.0
1570273,26.3,95.9,43.0,104.2,43.0
1570274,39.9,75.0,62.7,101.9,30.0
1570275,30.8,91.6,71.0,94.5,45.0
1570276,48.4,78.6,53.7,80.8,38.0
1570277,41.5,65.7,31.6,86.0,20.0
1570278,50.4,76.2,31.0,144.3,24.0
1570279,58.2,103.4,61.6,91.2,23.0
1570280,28.5,95.9,63.6,105.9,36.0
1570281,57.8,94.6,56.9,155.6,50.0
1570282,61.0,78.7,60.0,87.2,41.0
1570283,37.2,86.7,58.0,61.5,30.0
1570284,50.0,116.1,52.1,41.5,43.0
1570285,62.1,133.6,43.3,136.9,49.0
1570286,44.2,108.7,52.0,46.9,56.0
1570287,37.5,110.4,46.7,70.0,43.0
1570288,65.0,120.5,77.5,111.5,29.0
1570289,79.5,98.5,54.8,96.2,52.0
1570290,28.6,68.9,17.9,139.1,50.0
1570291,30.4,106.6,47.6,121.8,18.0
1570292,42.2,78.8,58.3,77.3,29.0
1570293,68.5,133.9,3.3,97.7,48.0
1570294,49.6,72.1,44.0,82.1,30.0
1570295,52.7,109.0,29.5,97.7,34.0
1570296,71.1,111.4,37.6,105.6,27.0
1570297,20.5,124.6,55.5,101.5,55.0
1570298,57.6,86.3,24.1,81.5,42.0
1570299,71.3,124.8,49.2,109.4,33.0
1570300,27.7,94.2,34.8,127.4,39.0
1570301,25.6,78.1,49.9,82.4,24.0
1570302,31.0,125.4,63.4,122.1,49.0
1570303,41.8,113.5,65.5,130.4,46.0
1570304,18.4,140.6,31.2,121.2,41.0
1570305,54.5,97.4,61.4,108.0,42.0
1570306,33.9,83.6,47.7,110.6,22.0
1570307,65.0,87.0,39.1,123.4,61.0
1570308,52.3,88.0,61.1,103.7,70.0
1570309,76.4,111.9,39.9,109.6,53.0
1570310,46.0,127.5,21.1,143.1,40.0
1570311,45.6,86.8,31.5,112.3,51.0
1570312,39.1,71.4,47.4,64.0,78.0
1570313,39.7,95.4,33.9,76.5,12.0
1570314,71.8,131.2,44.0,100.5,44.0
1570315,51.9,102.5,48.8,84.9,20.0
1570316,26.8,142.9,34.2,51.3,18.0
1570317,43.2,93.6,46.8,60.9,40.0
1570318,46.6,108.3,42.9,103.8,41.0
1570319,69.2,132.7,55.8,94.1,21.0
1570320,59.4,86.3,70.7,95.4,56.0
1570321,44.0,118.6,37.8,97.2,42.0
1570322,40.0,98.6,30.5,98.6,67.0
1570323,27.4,74.1,16.1,119.5,28.0
1570324,41.4,104.1,5.4,123.6,54.0
1570325,34.9,114.2,22.1,60.8,53.0
1570326,,73.4,59.2,145.3,18.0
1570327,52.2,67.6,60.2,102.1,34.0
1570328,50.1,56.4,53.0,93.2,38.0
1570329,9.6,73.3,47.2,87.0,56.0
1570330,74.7,115.2,86.0,115.5,45.0
1570331,28.7,54.8,34.0,148.2,50.0
1570332,54.0,101.7,58.3,144.9,45.0
1570333,53.7,82.6,46.3,118.1,20.0
1570334,49.2,91.1,31.9,107.6,43.0
1570335,26.3,100.7,37.7,69.1,57.0
1570336,28.9,104.4,42.4,109.9,40.0
1570337,34.6,126.0,69.2,71.5,44.0
1570338,42.1,141.1,62.4,89.4,41.0
1570339,44.2,126.0,43.4,84.2,57.0
1570340,53.2,78.9,60.5,82.1,33.0
1570341,58.6,112.9,58.1,118.2,48.0
1570342,26.9,115.0,64.1,139.8,43.0
1570343,27.6,97.7,39.4,88.6,56.0
1570344,38.9,80.6,35.1,134.5,11.0
1570345,60.7,128.9,41.7,95.2,35.0
1570346,42.0,109.9,46.3,132.3,35.0
1570347,37.0,59.7,33.4,52.8,47.0
1570348,25.4,73.9,29.3,88.5,42.0
1570349,31.7,89.1,52.1,54.1,35.0
1570350,41.3,76.8,41.8,106.9,87.0
1570351,65.4,75.6,37.5,101.0,52.0
1570352,14.2,85.5,15.0,77.8,36.0
1570353,10.5,93.4,53.8,103.7,44.0
1570354,50.1,119.7,21.4,94.5,35.0
1570355,66.6,82.8,28.9,105.4,34.0
1570356,43.9,107.9,55.4,92.9,49.0
1570357,61.8,51.6,72.2,122.8,41.0
1570358,64.8,105.0,56.3,168.3,56.0
1570359,35.6,94.5,55.1,95.5,65.0
1570360,59.6,138.7,29.4,118.6,38.0
1570361,44.8,110.9,29.6,93.9,24.0
1570362,34.9,81.9,43.5,104.2,30.0
1570363,36.5,114.5,58.9,142.6,45.0
1570364,33.7,55.8,52.7,110.5,59.0
1570365,31.1,84.3,15.1,91.6,60.0
1570366,46.8,105.2,53.6,80.5,55.0
1570367,46.4,143.3,66.1,67.3,37.0
1570368,34.3,64.8,50.9,45.0,23.0
1570369,48.0,111.9,13.3,72.2,38.0
1570370,38.1,100.4,49.4,80.0,57.0
1570371,48.8,96.2,53.9,73.2,37.0
1570372,35.7,122.5,50.1,106.6,54.0
1570373,38.3,83.6,61.6,126.4,25.0
1570374,72.6,92.5,31.0,72.6,33.0
1570375,46.2,99.5,40.9,116.0,32.0
1570376,40.3,75.1,29.0,96.5,58.0
1570377,72.3,153.5,25.8,98.2,42.0
1570378,51.9,125.1,69.9,107.8,21.0
1570379,6.6,89.6,61.8,82.1,15.0
1570380,58.1,65.2,26.8,112.9,36.0
1570381,42.2,121.4,28.0,118.1,57.0
1570382,34.0,76.5,27.5,149.4,39.0
1570383,57.3,113.5,54.9,90.8,15.0
1570384,40.4,88.2,55.5,80.8,22.0
1570385,34.8,112.7,60.1,89.1,43.0
1570386,62.7,124.2,65.3,110.8,65.0
1570387,69.7,121.1,62.9,112.9,38.0
1570388,44.5,43.6,45.3,92.5,28.0
1570389,,69.7,44.3,100.0,44.0
1570390,31.0,95.1,14.1,104.8,40.0
1570391,41.8,86.5,45.8,107.5,25.0
1570392,8.3,76.2,49.3,86.3,58.0
1570393,50.9,124.2,83.2,105.5,54.0
1570394,39.4,106.1,51.7,100.4,33.0
1570395,52.7,110.5,22.3,104.9,32.0
1570396,61.1,92.8,48.4,72.6,29.0
1570397,43.7,82.0,35.8,116.8,26.0
1570398,44.7,121.1,41.3,117.8,61.0
1570399,29.2,102.3,56.4,96.3,64.0
1570400,52.7,85.7,61.1,75.9,42.0
1570401,19.8,123.7,55.4,90.2,40.0
1570402,55.2,75.0,28.3,75.9,70.0
1570403,31.1,114.5,63.8,144.5,32.0
1570404,31.0,70.6,33.4,99.0,45.0
1570405,60.8,149.2,31.0,96.1,29.0
1570406,,101.7,59.4,87.3,32.0
1570407,18.1,136.3,54.0,106.0,63.0
1570408,37.6,93.0,52.0,117.8,37.0
1570409,52.2,58.3,52.8,107.2,40.0
1570410,41.9,56.9,36.8,73.9,45.0
1570411,45.9,64.5,61.0,114.1,49.0
1570412,42.0,162.5,66.1,74.9,33.0
1570413,41.9,107.9,58.3,53.9,59.0
1570414,54.8,104.4,53.8,107.1,14.0
1570415,41.8,104.9,67.1,71.2,41.0
1570416,59.2,72.8,49.4,83.3,72.0
1570417,35.0,67.4,65.7,64.8,35.0
1570418,53.5,123.3,64.3,54.8,55.0
1570419,58.9,118.7,29.8,90.0,48.0
1570420,30.7,69.2,43.9,59.6,28.0
1570421,41.9,50.0,31.6,79.2,49.0
1570422,66.6,111.4,50.5,128.4,49.0
1570423,41.6,131.6,41.0,86.4,41.0
1570424,43.7,105.5,21.0,68.3,34.0
1570425,75.0,101.2,48.7,75.6,57.0
1570426,60.8,116.5,44.4,134.6,26.0
1570427,46.3,104.0,34.2,98.2,39.0
1570428,27.0,108.4,49.0,131.0,38.0
1570429,53.8,113.3,62.5,60.7,49.0
1570430,41.5,112.2,28.5,94.0,45.0
1570431,60.1,138.1,56.0,86.4,58.0
1570432,56.0,63.7,44.9,69.9,38.0
1570433,38.5,117.2,40.8,74.6,52.0
1570434,,96.7,19.9,90.2,26.0
1570435,50.3,84.6,21.2,96.3,28.0
1570436,46.0,87.0,32.4,91.4,25.0
1570437,27.5,130.1,54.2,86.2,46.0
1570438,34.3,118.7,44.3,109.5,62.0
1570439,,87.9,52.3,91.1,59.0
1570440,14.4,109.4,52.7,117.6,54.0
1570441,43.3,79.6,50.5,103.2,41.0
1570442,72.7,111.9,40.1,111.6,56.0
1570443,39.8,99.9,66.4,151.5,48.0
1570444,23.5,103.8,67.5,122.8,49.0
1570445,40.1,127.3,62.8,113.2,68.0
1570446,34.6,137.6,54.4,111.3,46.0
1570447,52.5,127.5,38.3,61.4,27.0
1570448,32.3,88.6,30.1,84.0,34.0
1570449,29.3,134.9,45.1,124.3,50.0
1570450,33.3,112.0,43.3,87.8,21.0
1570451,31.2,132.7,38.7,74.7,20.0
1570452,11.7,118.1,56.1,78.5,41.0
1570453,40.8,84.5,32.8,141.8,63.0
1570454,59.4,97.6,60.5,138.8,40.0
1570455,53.4,131.8,39.6,49.8,27.0
1570456,53.5,102.0,48.1,112.3,43.0
1570457,44.7,100.1,37.9,94.4,72.0
1570458,49.1,76.0,55.1,58.8,49.0
1570459,32.9,117.8,28.0,85.3,43.0
1570460,59.5,54.0,76.4,107.2,56.0
1570461,66.8,102.6,43.5,79.7,29.0
1570462,63.1,123.7,46.7,105.4,26.0
1570463,43.8,54.6,36.1,91.2,59.0
1570464,,41.2,69.5,116.9,73.0
1570465,58.2,117.1,26.3,99.1,43.0
1570466,43.7,101.5,51.2,87.1,53.0
1570467,47.3,99.1,19.5,113.3,31.0
1570468,14.1,146.7,48.4,102.3,30.0
1570469,74.3,122.8,35.6,112.4,37.0
1570470,47.1,92.7,45.5,51.8,29.0
1570471,47.1,72.9,50.2,96.1,33.0
1570472,36.9,138.1,31.8,157.7,50.0
1570473,29.9,120.6,54.1,39.3,49.0
1570474,9.0,125.1,33.9,111.7,37.0
1570475,44.7,103.7,43.0,60.6,40.0
1570476,30.3,85.7,65.6,117.4,53.0
1570477,24.1,119.1,44.9,59.7,49.0
1570478,59.5,51.4,37.6,121.1,31.0
1570479,53.0,82.3,40.0,99.6,44.0
1570480,69.1,90.5,44.6,101.4,42.0
1570481,38.1,129.7,31.2,79.4,46.0
1570482,22.6,104.0,19.6,66.1,44.0
1570483,52.4,128.3,56.8,70.3,46.0
1570484,65.9,87.6,46.1,78.5,49.0
1570485,51.3,83.7,23.3,101.2,46.0
1570486,46.0,108.3,21.4,116.8,29.0
1570487,60.1,102.9,37.1,125.6,43.0
1570488,25.8,119.8,32.6,87.6,18.0
1570489,53.2,110.2,32.5,113.4,46.0
1570490,44.8,101.7,54.6,52.0,40.0
1570491,42.4,113.4,23.2,111.2,46.0
1570492,25.3,94.9,61.0,94.1,53.0
1570493,50.8,114.6,34.4,114.7,60.0
1570494,50.3,120.1,34.8,97.6,38.0
1570495,59.5,92.7,36.7,132.4,44.0
1570496,11.1,71.7,17.9,60.4,57.0
1570497,82.8,108.7,63.8,93.9,44.0
1570498,,118.9,52.3,112.5,41.0
1570499,68.0,78.4,52.9,93.1,23.0
1570500,49.8,105.7,49.2,81.5,40.0
1570501,29.5,48.1,76.4,80.3,48.0
1570502,59.5,120.4,30.9,85.8,39.0
1570503,53.7,100.2,30.7,127.3,29.0
1570504,27.6,115.8,36.8,106.9,46.0
1570505,37.2,116.7,48.5,113.6,55.0
1570506,37.2,117.8,62.7,39.3,23.0
1570507,34.0,102.9,81.7,88.4,48.0
1570508,19.5,120.8,43.9,87.6,28.0
1570509,30.2,117.6,50.9,84.4,43.0
1570510,23.3,66.0,43.0,58.9,58.0
1570511,32.6,100.9,42.3,82.3,58.0
1570512,57.6,39.6,46.5,46.9,52.0
1570513,44.3,103.4,43.5,89.1,30.0
1570514,31.9,97.2,48.2,104.7,14.0
1570515,37.1,73.3,45.0,106.2,57.0
1570516,58.6,114.5,63.0,78.6,64.0
1570517,45.0,85.1,63.6,86.0,79.0
1570518,83.5,96.1,50.2,88.1,29.0
1570519,43.5,47.7,30.9,58.9,45.0
1570520,47.8,64.5,54.0,107.0,57.0
1570521,34.5,89.6,31.8,145.3,38.0
1570522,54.3,63.9,28.1,120.9,30.0
1570523,51.9,79.7,43.5,131.0,38.0
1570524,36.2,84.3,43.4,49.8,48.0
1570525,12.7,89.1,58.8,99.9,66.0
1570526,51.7,100.9,38.7,94.1,42.0
1570527,45.0,117.5,23.5,96.4,58.0
1570528,53.3,133.9,28.6,80.4,50.0
1570529,48.4,135.0,49.5,92.7,21.0
1570530,49.2,106.0,48.9,106.3,48.0
1570531,37.7,42.6,39.7,114.3,77.0
1570532,46.9,85.3,59.6,162.7,56.0
1570533,27.6,19.6,32.8,104.8,34.0
1570534,51.7,88.6,79.6,100.8,35.0
1570535,78.0,72.6,59.9,80.8,27.0
1570536,47.5,126.3,45.7,145.1,22.0
1570537,34.3,93.5,32.9,81.2,37.0
1570538,19.9,82.2,43.7,23.6,54.0
1570539,46.5,142.4,5.4,114.6,43.0
1570540,31.7,154.2,46.0,120.0,11.0
1570541,46.4,73.7,70.5,73.0,46.0
1570542,44.7,120.5,57.1,100.5,30.0
1570543,51.3,95.5,43.4,138.1,67.0
1570544,50.9,89.9,34.5,75.8,23.0
1570545,37.6,111.6,55.5,95.8,40.0
1570546,32.9,73.9,57.3,74.4,42.0
1570547,31.2,73.9,70.0,102.2,46.0
1570548,17.2,125.1,38.9,105.3,35.0
1570549,43.0,118.9,60.0,66.5,14.0
1570550,45.2,92.3,61.3,128.2,48.0
1570551,56.1,102.9,52.8,131.6,32.0
1570552,42.5,150.8,34.3,112.5,31.0
1570553,57.6,103.2,57.9,98.3,16.0
1570554,42.0,85.4,70.5,97.0,62.0
1570555,51.4,92.9,47.8,109.1,37.0
1570556,37.4,60.4,59.5,141.6,47.0
1570557,67.9,102.0,42.2,126.1,44.0
1570558,21.1,127.5,16.3,122.7,68.0
1570559,36.7,119.9,29.0,106.2,41.0
1570560,41.1,82.6,45.1,78.5,29.0
1570561,38.4,87.6,43.2,80.8,46.0
1570562,64.9,93.6,42.0,106.2,45.0
1570563,41.2,30.0,65.7,76.2,32.0
1570564,49.4,125.5,32.9,100.4,34.0
1570565,57.0,131.7,38.4,98.6,41.0
1570566,22.4,107.2,68.9,117.7,36.0
1570567,52.7,98.1,45.2,130.9,64.0
1570568,41.3,111.7,71.9,100.0,43.0
1570569,28.7,101.2,34.3,112.7,40.0
1570570,29.2,75.4,67.2,115.2,38.0
1570571,55.0,102.3,73.1,79.5,28.0
1570572,43.8,59.5,48.1,93.2,60.0
1570573,40.9,95.0,48.2,96.7,46.0
1570574,36.4,114.0,33.5,104.8,21.0
1570575,79.3,97.7,27.0,139.5,39.0
1570576,57.0,140.7,72.3,99.6,33.0
1570577,37.7,92.6,54.6,112.0,41.0
1570578,38.9,69.7,65.1,108.6,36.0
1570579,22.7,76.1,72.4,105.0,7.0
