StudentID,HighlightCount,MemoCount,PageDwellTimeAvg_Secs,ExamScore,HighEngagement
1760158,100.6,114.6,74.0,9.2,0
1760159,100.0,127.8,34.0,7.8,1
1760160,120.2,72.0,49.0,8.3,0
1760161,75.2,72.1,31.0,6.4,0
1760162,112.0,97.1,33.0,8.1,0
1760163,103.9,126.2,43.0,6.8,1
1760164,110.6,100.0,34.0,7.2,1
1760165,60.3,83.0,49.0,6.2,0
1760166,72.1,62.9,44.0,7.2,0
1760167,113.5,66.7,45.0,5.5,1
1760168,118.8,58.6,41.0,7.5,1
1760169,76.1,82.1,52.0,8.5,0
1760170,96.2,114.8,46.0,8.0,1
1760171,103.6,105.8,32.0,7.6,0
1760172,93.3,89.1,32.0,5.0,0
1760173,90.2,86.1,46.0,6.3,1
1760174,97.4,93.6,46.0,8.3,0
1760175,122.8,100.4,61.0,5.8,0
1760176,119.2,93.9,29.0,10.0,1
1760177,92.5,92.3,50.0,8.0,1
1760178,28.4,74.4,57.0,5.7,0
1760179,146.4,64.1,29.0,6.9,0
1760180,124.0,109.1,60.0,9.8,0
1760181,80.9,101.9,44.0,8.0,1
1760182,87.9,76.0,30.0,4.7,1
1760183,80.8,67.4,46.0,9.1,0
1760184,111.8,78.0,31.0,7.1,1
1760185,103.3,116.8,37.0,5.1,0
1760186,78.2,110.0,48.0,8.0,0
1760187,91.8,97.8,55.0,8.4,1
1760188,67.3,92.0,18.0,5.4,0
1760189,113.2,84.9,54.0,8.6,1
1760190,136.6,87.0,7.0,7.3,1
1760191,137.0,92.3,35.0,5.9,1
1760192,114.0,101.5,26.0,6.2,0
1760193,96.5,98.9,43.0,7.7,1
1760194,131.1,93.9,45.0,6.8,1
1760195,82.7,90.6,36.0,8.3,0
1760196,92.7,144.8,46.0,6.2,1
1760197,118.4,83.8,46.0,8.9,1
1760198,88.5,136.8,49.0,3.5,0
1760199,71.9,90.5,42.0,5.3,1
1760200,129.4,70.4,33.0,6.8,1
1760201,63.0,79.0,15.0,3.9,1
1760202,127.1,128.2,34.0,6.1,0
1760203,81.0,92.4,60.0,5.7,1
1760204,80.3,134.8,47.0,5.2,0
1760205,101.5,86.9,46.0,6.8,1
1760206,68.1,103.9,24.0,9.0,0
1760207,89.0,137.6,47.0,5.9,0
1760208,91.6,84.4,39.0,4.1,1
1760209,69.6,119.6,31.0,3.5,1
1760210,100.7,90.3,21.0,9.7,1
1760211,74.3,106.1,31.0,6.1,0
1760212,119.8,69.2,45.0,9.5,1
1760213,113.9,110.9,40.0,8.7,1
1760214,118.9,126.5,44.0,6.9,0
1760215,113.2,123.0,50.0,6.9,1
1760216,131.1,79.4,41.0,7.4,1
1760217,143.4,68.8,12.0,7.5,0
1760218,82.0,92.9,49.0,6.6,0
1760219,70.8,94.9,46.0,3.8,0
1760220,88.0,119.3,51.0,6.4,0
1760221,52.1,128.7,34.0,7.7,1
1760222,67.6,87.1,4.0,7.4,0
1760223,120.0,120.4,57.0,6.2,1
1760224,72.1,169.0,42.0,8.1,0
1760225,73.2,82.2,37.0,8.6,0
1760226,160.2,79.8,17.0,5.6,0
1760227,73.3,97.9,72.0,7.8,1
1760228,87.2,75.5,51.0,8.0,1
1760229,108.8,109.9,29.0,4.8,0
1760230,145.5,93.3,45.0,7.7,1
1760231,129.5,97.1,28.0,5.3,1
1760232,117.4,113.7,30.0,6.1,1
1760233,131.4,109.4,53.0,7.0,1
1760234,126.3,126.8,36.0,8.7,1
1760235,92.6,117.8,61.0,7.1,1
1760236,116.4,89.1,53.0,7.2,1
1760237,127.8,153.7,35.0,9.1,0
1760238,87.4,113.8,52.0,8.1,0
1760239,114.5,86.7,56.0,6.5,0
1760240,109.8,90.7,25.0,7.6,1
1760241,114.1,131.8,42.0,5.8,0
1760242,75.6,102.2,40.0,7.2,0
1760243,71.4,97.2,18.0,6.2,1
1760244,107.4,107.2,26.0,5.5,1
1760245,116.4,95.9,39.0,5.4,1
1760246,131.9,123.9,61.0,8.3,1
1760247,92.9,122.1,28.0,9.9,0
1760248,94.9,140.3,51.0,6.1,1
1760249,94.2,111.3,64.0,10.0,0
1760250,47.1,71.0,47.0,5.0,1
1760251,93.1,93.4,36.0,6.0,1
1760252,37.1,93.4,56.0,8.3,0
1760253,106.6,112.4,45.0,6.0,0
1760254,111.0,106.9,29.0,5.9,1
1760255,146.1,108.8,69.0,7.9,1
1760256,96.8,80.3,31.0,6.3,1
1760257,135.7,100.3,47.0,8.3,1
1760258,118.9,58.0,42.0,8.2,1
1760259,101.7,113.0,37.0,8.2,1
1760260,103.0,105.2,59.0,5.2,1
1760261,91.8,120.9,26.0,4.4,0
1760262,88.9,116.2,31.0,5.1,1
1760263,41.4,93.6,47.0,6.2,0
1760264,123.4,121.4,80.0,8.7,1
1760265,64.0,78.3,44.0,6.6,0
1760266,81.2,100.1,59.0,5.1,1
1760267,96.1,87.6,23.0,4.9,0
1760268,113.3,110.4,58.0,8.5,0
1760269,112.1,107.2,36.0,7.9,0
1760270,100.9,110.4,32.0,8.6,0
1760271,123.7,91.6,46.0,6.0,1
1760272,73.6,71.0,25.0,10.0,1
1760273,139.5,153.5,47.0,5.1,1
1760274,72.3,79.6,44.0,7.2,0
1760275,101.2,102.6,18.0,8.8,1
1760276,51.1,127.0,66.0,6.5,0
1760277,125.7,37.8,45.0,6.5,0
1760278,85.9,64.1,35.0,6.3,0
1760279,123.0,130.7,30.0,6.6,1
1760280,80.2,62.7,42.0,5.3,0
1760281,78.4,120.3,53.0,7.6,1
1760282,82.7,116.2,24.0,6.0,0
1760283,89.4,131.7,69.0,4.7,0
1760284,110.5,101.6,44.0,5.6,0
1760285,96.2,126.7,60.0,10.0,1
1760286,88.0,100.7,49.0,5.4,0
1760287,118.2,99.2,36.0,5.7,1
1760288,103.2,81.0,19.0,7.5,1
1760289,78.6,77.3,68.0,9.6,1
1760290,62.6,99.4,45.0,9.0,1
1760291,85.3,139.4,25.0,6.3,1
1760292,101.7,85.7,40.0,6.3,0
1760293,103.5,104.0,30.0,5.7,0
1760294,154.3,120.0,61.0,6.3,1
1760295,70.3,79.8,60.0,3.2,0
1760296,157.3,117.1,71.0,8.7,0
1760297,105.2,127.2,55.0,7.9,0
1760298,108.1,118.3,61.0,7.3,1
1760299,117.1,63.1,45.0,6.0,0
1760300,167.8,71.3,62.0,3.2,1
1760301,108.5,133.9,45.0,8.6,0
1760302,120.3,85.0,54.0,5.0,0
1760303,91.5,109.4,55.0,7.3,1
1760304,69.8,109.6,45.0,6.9,0
1760305,118.7,133.3,54.0,6.7,1
1760306,111.6,138.2,56.0,8.1,0
1760307,80.6,96.3,37.0,6.4,1
1760308,101.8,120.0,24.0,8.8,0
1760309,105.4,70.5,37.0,8.8,1
1760310,106.9,128.2,55.0,8.6,0
1760311,87.6,69.5,35.0,7.0,1
1760312,134.0,149.4,50.0,5.8,0
1760313,38.0,67.4,34.0,7.3,1
1760314,138.5,132.4,70.0,9.0,1
1760315,125.0,97.8,46.0,5.3,0
1760316,92.8,137.2,38.0,7.7,1
1760317,71.6,110.6,16.0,5.0,0
1760318,109.5,60.8,60.0,9.3,0
1760319,106.0,118.3,58.0,8.8,1
1760320,20.9,76.6,42.0,8.9,1
1760321,73.2,62.9,37.0,7.3,0
1760322,114.0,130.1,48.0,8.0,0
1760323,115.1,91.7,39.0,7.9,1
1760324,82.0,107.4,41.0,4.5,0
1760325,100.6,68.8,51.0,5.6,1
1760326,100.4,132.2,48.0,6.5,0
1760327,91.3,122.4,38.0,5.5,0
1760328,114.0,58.0,34.0,7.3,0
1760329,123.0,92.9,47.0,5.8,1
1760330,92.3,84.8,30.0,8.8,0
1760331,96.6,92.5,52.0,6.9,1
1760332,117.9,82.8,32.0,8.9,0
1760333,127.7,94.6,51.0,7.3,0
1760334,56.0,61.4,49.0,7.8,1
1760335,59.8,90.9,35.0,7.4,1
1760336,87.6,63.0,34.0,7.8,0
1760337,103.2,100.1,,5.4,1
1760338,121.5,101.1,45.0,7.6,0
1760339,79.9,132.6,24.0,7.2,0
1760340,100.9,105.9,32.0,6.4,0
1760341,124.0,48.4,32.0,6.6,1
1760342,125.4,106.4,45.0,5.6,0
1760343,87.5,111.0,30.0,5.7,0
1760344,98.9,93.8,45.0,10.0,1
1760345,117.8,85.8,39.0,7.1,1
1760346,123.8,75.3,61.0,7.1,1
1760347,110.1,111.9,43.0,9.3,1
1760348,92.3,110.2,22.0,5.4,0
1760349,77.4,55.6,67.0,5.2,1
1760350,85.5,143.8,47.0,10.0,1
1760351,108.9,98.1,65.0,6.4,0
1760352,95.1,94.7,33.0,7.5,1
1760353,163.2,76.8,23.0,7.0,0
1760354,89.9,124.1,65.0,6.0,0
1760355,78.8,97.6,19.0,7.0,0
1760356,121.3,111.3,8.0,6.4,1
1760357,109.1,142.6,56.0,7.0,0
1760358,129.6,151.2,47.0,4.8,1
1760359,76.1,89.1,32.0,6.3,0
1760360,135.2,120.2,38.0,9.8,1
1760361,139.3,102.4,60.0,4.6,0
1760362,109.3,151.3,21.0,8.0,1
1760363,55.5,119.3,52.0,9.8,0
1760364,58.4,123.9,19.0,5.8,0
1760365,139.0,117.7,20.0,5.9,0
1760366,101.3,108.6,27.0,5.2,1
1760367,55.0,68.4,19.0,5.9,1
1760368,60.4,132.2,39.0,6.8,1
1760369,56.9,76.6,46.0,5.1,1
1760370,127.5,73.7,43.0,9.7,1
1760371,131.7,86.4,51.0,2.6,0
1760372,127.3,66.4,51.0,9.5,0
1760373,99.0,125.9,58.0,9.7,1
1760374,94.0,110.1,49.0,8.0,0
1760375,81.1,119.9,75.0,9.1,1
1760376,84.3,131.5,66.0,6.8,0
1760377,120.9,128.3,36.0,7.9,0
1760378,123.3,115.5,29.0,4.4,0
1760379,80.0,67.5,47.0,10.0,0
1760380,107.2,128.6,29.0,5.3,0
1760381,151.7,59.7,53.0,6.4,1
1760382,107.8,79.9,37.0,5.2,1
1760383,96.3,101.0,47.0,10.0,1
1760384,94.7,92.1,42.0,6.4,0
1760385,64.7,90.7,57.0,4.6,1
1760386,112.2,100.2,39.0,10.0,0
1760387,122.0,102.4,45.0,7.7,1
1760388,135.3,143.8,40.0,5.5,0
1760389,127.0,130.2,70.0,6.6,1
1760390,81.0,88.5,28.0,7.8,0
1760391,132.8,61.7,43.0,8.3,0
1760392,109.8,117.3,18.0,5.1,0
1760393,123.1,54.4,44.0,6.5,1
1760394,82.4,60.6,9.0,8.7,0
1760395,145.6,110.5,48.0,7.6,0
1760396,76.6,81.5,46.0,8.1,1
1760397,137.3,116.1,28.0,5.9,0
1760398,101.9,75.1,37.0,9.8,1
1760399,146.4,72.1,15.0,7.6,1
1760400,118.0,118.4,24.0,7.3,1
1760401,88.1,79.0,43.0,6.8,1
1760402,79.7,140.8,54.0,4.4,0
1760403,89.3,122.4,38.0,7.4,1
1760404,99.4,95.2,19.0,8.3,0
1760405,73.6,81.4,53.0,9.7,1
1760406,92.2,105.9,64.0,8.1,0
1760407,154.4,58.2,62.0,5.0,0
1760408,53.4,116.9,22.0,7.6,0
1760409,55.8,90.1,15.0,10.0,1
1760410,102.4,105.1,63.0,7.9,0
1760411,113.3,108.2,60.0,8.8,0
1760412,90.4,160.7,52.0,8.3,0
1760413,93.4,134.0,19.0,7.0,1
1760414,124.1,132.2,57.0,4.6,0
1760415,134.2,85.9,36.0,5.8,1
1760416,117.6,62.5,50.0,6.5,0
1760417,80.1,138.3,40.0,5.5,1
1760418,113.5,53.8,35.0,6.2,0
1760419,122.6,148.5,65.0,8.4,1
1760420,70.4,69.9,54.0,5.1,1
1760421,97.9,78.0,35.0,7.0,1
1760422,60.3,91.5,34.0,6.9,1
1760423,69.9,57.4,23.0,8.3,0
1760424,85.4,105.4,80.0,6.7,1
1760425,70.0,73.1,12.0,8.6,1
1760426,76.6,104.2,21.0,7.4,1
1760427,113.2,96.1,25.0,5.1,0
1760428,85.0,148.4,,4.7,1
1760429,124.4,92.2,28.0,6.5,0
1760430,97.8,66.3,60.0,8.1,1
1760431,101.2,98.8,45.0,7.6,1
1760432,86.8,93.3,61.0,9.3,1
1760433,115.3,89.0,52.0,9.4,0
1760434,103.9,80.3,26.0,4.5,0
1760435,162.0,72.8,91.0,8.2,0
1760436,99.9,115.6,31.0,8.4,0
1760437,80.5,85.6,51.0,6.6,1
1760438,51.9,76.1,53.0,7.9,0
1760439,89.7,133.3,33.0,7.1,0
1760440,101.2,84.7,42.0,9.6,0
1760441,120.1,121.1,15.0,7.0,0
1760442,88.1,66.1,38.0,5.0,0
1760443,125.3,142.6,24.0,6.7,0
1760444,64.3,113.5,30.0,4.8,1
1760445,92.3,127.0,57.0,3.6,1
1760446,109.3,58.9,28.0,4.4,1
1760447,101.0,132.9,43.0,5.6,0
1760448,109.8,131.2,83.0,5.3,1
1760449,128.2,125.6,39.0,6.8,1
1760450,96.2,85.8,17.0,8.8,0
1760451,86.5,79.2,35.0,5.4,0
1760452,121.7,124.9,23.0,7.4,1
1760453,119.6,111.9,39.0,6.3,0
1760454,29.0,81.2,39.0,7.5,1
1760455,122.8,75.2,34.0,7.5,0
1760456,104.0,104.0,60.0,8.4,0
1760457,140.0,119.9,63.0,8.3,1
1760458,109.9,106.4,31.0,8.2,0
1760459,130.4,74.7,38.0,7.0,0
1760460,121.9,122.4,43.0,6.9,0
1760461,96.6,74.5,53.0,4.4,0
1760462,112.8,117.0,30.0,7.5,0
1760463,46.1,69.1,16.0,6.8,0
1760464,105.0,87.3,25.0,10.0,1
1760465,119.1,101.8,48.0,8.9,1
1760466,97.8,127.7,52.0,7.1,1
1760467,53.0,123.3,52.0,5.5,0
1760468,72.8,101.4,48.0,6.2,1
1760469,95.5,127.5,57.0,6.8,1
1760470,112.0,72.9,41.0,8.2,0
1760471,85.9,52.7,38.0,9.9,1
1760472,96.9,100.2,40.0,7.7,0
1760473,135.8,81.3,48.0,10.0,1
1760474,95.2,100.9,42.0,7.7,0
1760475,128.6,90.7,38.0,8.4,0
1760476,85.6,95.4,50.0,7.8,1
1760477,144.0,81.2,46.0,5.7,0
1760478,85.5,82.2,51.0,4.9,0
1760479,80.9,146.0,57.0,6.1,0
1760480,102.5,91.8,89.0,6.8,0
1760481,104.9,85.7,24.0,7.3,0
1760482,71.8,73.8,43.0,6.4,0
1760483,85.0,104.0,51.0,6.4,1
1760484,118.9,81.1,45.0,8.7,0
1760485,119.4,111.6,23.0,7.2,1
1760486,103.8,122.0,29.0,8.3,0
1760487,103.1,101.1,9.0,5.1,1
1760488,119.8,120.6,40.0,10.0,0
1760489,125.8,114.7,25.0,7.9,1
1760490,85.2,94.1,34.0,6.3,0
1760491,115.5,108.9,59.0,4.6,1
1760492,91.6,88.4,34.0,8.8,0
1760493,90.5,120.8,17.0,7.7,1
1760494,109.7,83.8,12.0,7.6,0
1760495,118.5,87.9,46.0,7.5,0
1760496,128.4,91.0,33.0,5.8,1
1760497,75.2,84.9,40.0,8.1,0
1760498,51.1,111.5,35.0,5.9,1
1760499,52.7,100.7,38.0,6.1,0
1760500,50.2,86.1,18.0,6.6,0
1760501,76.4,73.1,50.0,7.1,1
1760502,110.4,88.2,24.0,5.4,0
1760503,102.8,115.0,27.0,6.1,1
1760504,148.5,126.0,58.0,10.0,1
1760505,80.0,115.6,28.0,6.7,1
1760506,71.5,56.0,48.0,8.3,0
1760507,88.7,95.8,18.0,7.1,1
1760508,145.3,85.5,56.0,8.1,1
1760509,70.7,126.3,28.0,9.6,0
1760510,69.8,118.5,32.0,8.9,0
1760511,87.5,106.9,47.0,7.6,1
1760512,143.4,103.8,43.0,7.2,1
1760513,89.7,94.2,54.0,7.3,0
1760514,115.2,135.6,44.0,7.3,1
1760515,95.9,157.4,59.0,5.8,0
1760516,105.2,112.8,39.0,8.1,0
1760517,95.1,121.8,81.0,9.4,1
1760518,98.5,98.6,47.0,7.9,1
1760519,108.2,110.9,46.0,6.2,0
1760520,133.5,121.6,38.0,7.8,1
1760521,96.3,142.3,21.0,6.7,1
1760522,122.7,101.9,59.0,6.7,0
1760523,114.2,78.7,21.0,10.0,1
1760524,117.4,82.8,1.0,6.4,1
1760525,85.0,129.2,38.0,7.1,1
1760526,123.1,108.4,35.0,4.6,1
1760527,150.8,119.1,58.0,6.4,0
1760528,82.1,115.2,64.0,8.5,0
1760529,109.1,68.8,48.0,9.8,0
1760530,82.0,111.2,31.0,7.1,1
1760531,64.9,66.4,36.0,7.3,0
1760532,90.0,67.4,60.0,7.3,1
1760533,102.5,116.2,33.0,6.4,0
1760534,133.5,116.4,31.0,7.0,0
1760535,94.8,70.7,8.0,7.7,0
1760536,68.9,98.8,60.0,4.9,0
1760537,93.0,73.5,17.0,6.9,1
1760538,124.1,62.6,28.0,6.0,0
1760539,48.5,122.1,43.0,5.2,1
1760540,124.7,113.9,55.0,7.8,0
1760541,122.2,81.1,34.0,5.3,0
1760542,90.4,112.2,51.0,4.0,1
1760543,80.1,108.8,30.0,7.7,0
1760544,98.3,75.1,51.0,9.1,1
1760545,101.3,92.4,36.0,6.8,0
1760546,74.9,110.7,37.0,7.5,1
1760547,101.8,127.7,32.0,10.0,1
1760548,88.5,92.1,57.0,7.6,1
1760549,141.9,99.2,15.0,6.1,0
1760550,110.9,94.8,43.0,7.1,0
1760551,151.6,107.7,31.0,8.3,1
1760552,77.3,140.9,37.0,7.1,0
1760553,146.4,162.3,37.0,8.3,0
1760554,65.1,95.4,37.0,6.9,0
1760555,55.5,78.4,50.0,5.1,0
1760556,85.8,119.4,72.0,10.0,1
1760557,78.7,62.2,21.0,9.5,1
1760558,104.0,134.2,46.0,5.9,0
1760559,103.3,63.9,53.0,3.7,1
1760560,105.5,103.6,26.0,10.0,1
1760561,79.6,111.2,10.0,5.3,0
1760562,106.6,123.3,35.0,7.0,0
1760563,118.7,78.2,39.0,4.4,0
1760564,97.8,76.1,62.0,6.6,0
1760565,105.9,92.5,50.0,7.6,1
1760566,129.7,96.5,23.0,5.9,0
1760567,101.0,135.9,35.0,6.1,0
1760568,86.0,101.9,33.0,8.4,0
1760569,80.2,68.5,30.0,7.2,0
1760570,113.3,133.5,39.0,7.7,1
1760571,138.4,101.6,23.0,7.7,0
1760572,107.8,102.0,36.0,6.9,1
1760573,109.2,104.7,44.0,6.5,1
1760574,89.9,96.0,40.0,7.6,1
1760575,82.7,53.5,52.0,9.3,0
1760576,128.5,91.3,43.0,4.6,1
1760577,116.1,92.8,36.0,6.5,0
1760578,113.2,129.3,54.0,7.0,0
1760579,82.0,59.3,42.0,7.2,0
1760580,119.2,97.9,35.0,4.2,1
1760581,98.0,130.6,26.0,9.8,1
1760582,108.9,61.2,48.0,8.2,1
1760583,52.0,62.5,46.0,6.8,1
1760584,115.1,72.3,30.0,9.7,1
1760585,152.2,71.8,51.0,6.4,1
1760586,130.0,98.6,35.0,6.1,1
1760587,124.0,140.6,29.0,6.3,1
1760588,120.9,80.8,74.0,7.1,1
1760589,131.4,91.7,40.0,9.1,1
1760590,107.3,154.1,25.0,7.4,1
1760591,88.3,107.4,27.0,7.0,1
1760592,108.4,96.3,39.0,7.1,1
1760593,99.2,138.0,30.0,9.6,0
1760594,113.3,103.9,26.0,8.6,0
1760595,93.9,105.5,45.0,4.7,1
1760596,95.5,112.1,28.0,6.2,0
1760597,126.8,57.6,26.0,6.7,1
1760598,26.0,100.0,71.0,7.8,1
1760599,120.3,114.7,29.0,6.6,0
1760600,129.8,106.4,48.0,7.7,0
1760601,117.9,94.4,39.0,9.5,0
1760602,117.3,97.4,36.0,7.3,1
1760603,93.7,119.4,48.0,4.3,1
1760604,85.2,102.9,67.0,6.8,1
1760605,102.0,94.3,32.0,6.5,1
1760606,65.2,64.8,54.0,7.6,0
1760607,109.8,109.7,37.0,4.4,1
1760608,98.8,100.6,45.0,7.1,0
1760609,148.6,74.7,35.0,6.5,0
1760610,121.9,80.8,26.0,6.4,1
1760611,119.5,98.1,28.0,5.2,0
1760612,37.8,97.4,17.0,5.5,0
1760613,113.4,86.3,69.0,7.2,1
1760614,63.9,102.0,16.0,8.1,1
1760615,75.8,111.4,43.0,9.3,0
1760616,97.3,93.4,42.0,8.0,1
1760617,111.5,70.8,50.0,5.5,1
1760618,112.6,45.1,33.0,5.9,0
1760619,98.2,100.8,23.0,6.2,0
1760620,108.4,115.2,41.0,8.9,1
1760621,96.4,119.1,12.0,5.1,0
1760622,132.4,94.2,37.0,8.0,1
1760623,89.2,105.2,26.0,8.1,0
1760624,103.3,117.5,50.0,6.0,1
1760625,74.9,98.1,52.0,5.4,0
1760626,76.9,124.8,51.0,7.5,1
1760627,53.9,154.3,32.0,8.6,0
1760628,94.5,123.5,41.0,6.4,1
1760629,50.6,65.7,42.0,7.5,0
1760630,95.6,59.0,50.0,5.6,1
1760631,91.5,79.4,59.0,7.7,0
1760632,60.6,121.2,53.0,8.1,1
