SessionID,SessionDuration,DeviceType,BounceRate,PagesViewed,Converted
640087,76.7,Desktop,57.5,5,No
640088,44.0,Mobile,57.8,4,No
640089,97.8,Tablet,57.2,4,No
640090,48.1,Mobile,60.0,4,No
640091,47.1,Mobile,62.2,4,No
640092,466.3,Mobile,5.0,12,No
640093,191.3,Tablet,32.3,8,No
640094,537.2,Mobile,5.0,16,Yes
640095,9.9,Mobile,70.9,3,No
640096,73.7,Mobile,65.7,4,No
640097,241.9,Desktop,41.0,7,No
640098,78.3,Desktop,53.6,5,Yes
640099,197.6,Mobile,30.6,8,No
640100,5.0,Mobile,67.9,3,No
640101,110.7,Tablet,56.3,4,Yes
640102,9.7,Desktop,72.4,2,No
640103,94.3,Mobile,47.4,5,No
640104,6.1,Mobile,80.8,1,No
640105,161.6,Desktop,44.1,6,No
640106,83.9,Mobile,59.2,5,No
640107,5.8,Mobile,80.3,2,No
640108,5.0,Mobile,80.6,1,No
640109,210.2,Tablet,42.6,6,Yes
640110,56.5,Mobile,72.6,2,No
640111,5.0,Mobile,63.9,3,No
640112,6.2,Mobile,64.4,3,No
640113,207.6,Tablet,20.8,9,Yes
640114,415.3,Mobile,5.0,13,No
640115,89.7,Desktop,56.4,5,No
640116,21.1,Mobile,75.3,2,No
640117,77.5,Mobile,74.9,2,No
640118,80.3,Mobile,60.8,4,No
640119,19.7,Desktop,69.4,2,No
640120,30.6,Mobile,,4,No
640121,43.5,Desktop,47.0,5,No
640122,38.6,Desktop,74.5,2,No
640123,60.6,Mobile,79.6,2,No
640124,147.8,Mobile,32.4,7,No
640125,214.2,Mobile,43.6,7,No
640126,121.2,Desktop,43.1,6,No
640127,126.3,Desktop,44.5,6,No
640128,5.0,Mobile,83.8,1,No
640129,50.6,Mobile,49.9,5,No
640130,155.9,Mobile,32.0,7,No
640131,119.0,Mobile,46.3,5,No
640132,57.0,Mobile,70.8,3,No
640133,7.8,Tablet,82.5,1,No
640134,49.4,Mobile,,2,No
640135,20.9,Mobile,61.7,4,No
640136,153.9,Desktop,40.3,7,Yes
640137,22.8,Mobile,79.4,2,No
640138,221.6,Desktop,21.6,8,No
640139,160.2,Mobile,50.0,5,No
640140,48.5,Mobile,75.2,3,No
640141,16.8,Desktop,79.1,2,No
640142,240.6,Desktop,21.5,9,No
640143,223.9,Desktop,36.2,7,No
640144,56.4,Mobile,83.4,2,No
640145,91.2,Tablet,53.5,4,No
640146,73.4,Mobile,72.7,3,No
640147,13.2,Desktop,81.2,2,No
640148,246.5,Tablet,15.6,10,No
640149,111.9,Tablet,48.6,6,No
640150,9.2,Tablet,55.9,4,No
640151,123.4,Mobile,63.3,4,No
640152,154.4,Desktop,56.6,5,No
640153,55.3,Desktop,58.4,5,No
640154,27.1,Mobile,65.7,4,No
640155,5.0,Mobile,75.9,2,No
640156,61.7,Mobile,64.0,3,No
640157,16.2,Tablet,71.6,3,No
640158,54.2,Mobile,55.4,4,No
640159,153.9,Mobile,46.9,5,No
640160,47.3,Mobile,73.2,3,No
640161,86.8,Desktop,71.5,3,No
640162,38.8,Mobile,84.3,1,No
640163,34.6,Mobile,53.0,4,No
640164,154.2,Desktop,32.9,7,No
640165,35.2,Mobile,91.8,1,No
640166,56.1,Mobile,50.1,5,Yes
640167,285.8,Mobile,5.3,10,No
640168,34.0,Mobile,73.5,3,No
640169,86.2,Tablet,66.6,4,No
640170,177.3,Desktop,54.4,5,Yes
640171,14.9,Mobile,83.3,2,No
640172,119.9,Mobile,48.0,6,No
640173,31.6,Mobile,57.6,4,No
640174,33.9,Tablet,66.8,4,No
640175,323.2,Mobile,10.0,10,No
640176,58.8,Tablet,53.5,4,No
640177,10.8,Mobile,82.2,1,No
640178,5.0,Mobile,58.0,4,No
640179,62.1,Mobile,72.9,2,No
640180,664.3,Mobile,5.0,19,Yes
640181,109.3,Mobile,,5,No
640182,169.6,Mobile,36.4,7,No
640183,102.2,Mobile,71.6,3,No
640184,15.6,Mobile,57.7,4,No
640185,71.9,Mobile,60.2,4,No
640186,59.3,Desktop,52.9,5,No
640187,29.9,Mobile,74.6,2,No
640188,283.2,Mobile,5.4,10,No
640189,39.5,Mobile,64.5,3,No
640190,18.1,Tablet,53.7,4,No
640191,81.5,Desktop,74.6,3,No
640192,72.6,Mobile,60.5,4,No
640193,153.6,Desktop,57.1,4,No
640194,137.3,Mobile,47.4,6,No
640195,70.0,Mobile,68.2,3,No
640196,468.4,Desktop,5.0,15,Yes
640197,5.9,Mobile,82.4,2,No
640198,174.4,Desktop,33.9,7,No
640199,523.9,Desktop,5.0,15,Yes
640200,35.2,Mobile,83.6,2,No
640201,150.3,Mobile,51.5,6,No
640202,15.4,Desktop,58.0,4,No
640203,74.3,Desktop,50.3,5,No
640204,84.8,Mobile,53.1,5,No
640205,115.8,Desktop,44.9,6,No
640206,55.9,Desktop,59.1,5,No
640207,53.2,Mobile,68.9,3,No
640208,73.4,Mobile,61.7,4,No
640209,117.3,Mobile,52.5,5,No
640210,189.8,Mobile,34.8,7,No
640211,5.0,Tablet,64.5,3,No
640212,18.9,Mobile,71.6,3,No
640213,5.0,Mobile,82.4,2,No
640214,122.4,Mobile,47.7,6,No
640215,553.3,Desktop,5.0,16,Yes
640216,138.8,Mobile,40.1,6,No
640217,71.0,Mobile,47.5,5,No
640218,23.8,Mobile,55.7,4,No
640219,70.1,Mobile,75.3,2,No
640220,5.0,Mobile,68.0,3,No
640221,67.4,Desktop,68.5,3,No
640222,7.3,Mobile,83.9,2,No
640223,238.0,Mobile,29.7,7,No
640224,33.5,Desktop,59.6,4,No
640225,175.9,Mobile,27.3,8,No
640226,175.3,Tablet,44.4,6,No
640227,226.4,Mobile,22.9,9,Yes
640228,303.0,Mobile,19.9,10,Yes
640229,208.0,Mobile,21.0,9,No
640230,11.7,Desktop,73.7,3,No
640231,67.9,Mobile,45.4,5,No
640232,7.1,Mobile,88.1,1,No
640233,18.4,Mobile,60.8,4,No
640234,69.2,Desktop,54.3,4,No
640235,19.0,Desktop,73.7,2,No
640236,66.8,Mobile,72.7,3,No
640237,185.9,Mobile,52.4,5,No
640238,9.4,Mobile,61.7,4,No
640239,81.7,Mobile,66.6,4,No
640240,61.8,Desktop,66.5,3,No
640241,85.7,Tablet,62.1,4,No
640242,39.0,Mobile,74.4,3,No
640243,68.5,Mobile,67.0,3,No
640244,66.4,Mobile,67.5,4,No
640245,389.4,Desktop,11.1,10,Yes
640246,272.8,Desktop,16.1,10,No
640247,155.8,Mobile,35.3,7,No
640248,31.9,Mobile,69.5,2,No
640249,249.0,Mobile,23.5,8,No
640250,98.1,Mobile,61.9,4,No
640251,143.8,Mobile,52.1,5,No
640252,252.1,Tablet,31.1,8,No
640253,31.9,Mobile,66.9,3,No
640254,158.5,Desktop,61.0,4,No
640255,89.3,Mobile,75.6,3,No
640256,177.0,Mobile,45.1,6,Yes
640257,152.2,Desktop,33.4,7,No
640258,34.7,Desktop,73.7,3,No
640259,142.3,Desktop,59.2,4,No
640260,177.3,Mobile,47.0,6,No
640261,38.3,Desktop,59.6,4,No
640262,23.8,Mobile,82.2,1,No
640263,75.9,Mobile,70.5,2,No
640264,38.4,Tablet,71.1,3,No
640265,114.2,Mobile,62.1,3,No
640266,67.8,Desktop,82.0,2,No
640267,5.0,Mobile,64.3,3,No
640268,219.6,Tablet,43.0,7,Yes
640269,155.0,Desktop,38.1,7,No
640270,132.2,Desktop,40.3,7,No
640271,13.7,Mobile,88.3,1,No
640272,178.0,Mobile,46.4,6,No
640273,23.1,Desktop,77.5,1,No
640274,210.7,Mobile,24.5,9,Yes
640275,264.0,Mobile,21.3,9,No
640276,5.0,Tablet,80.1,1,No
640277,58.8,Mobile,59.8,4,No
640278,11.3,Desktop,86.1,1,No
640279,189.5,Mobile,42.2,6,No
640280,307.7,Mobile,8.7,11,No
640281,57.3,Mobile,63.5,3,No
640282,168.2,Tablet,43.4,6,No
640283,5.0,Mobile,77.2,1,No
640284,235.6,Mobile,47.8,6,No
640285,46.1,Tablet,58.1,4,No
640286,128.6,Desktop,31.0,7,No
640287,152.5,Desktop,33.8,7,No
640288,103.2,Desktop,71.6,3,No
640289,76.7,Mobile,57.1,4,No
640290,159.5,Mobile,58.1,4,No
640291,95.4,Mobile,72.2,3,No
640292,87.8,Desktop,60.0,4,No
640293,17.9,Mobile,66.0,3,No
640294,80.2,Desktop,58.3,4,No
640295,66.7,Desktop,60.8,4,No
640296,35.7,Desktop,59.6,4,No
640297,149.6,Mobile,39.8,6,No
640298,77.3,Tablet,66.4,3,No
640299,21.4,Mobile,71.4,3,No
640300,106.3,Tablet,39.2,6,No
640301,46.5,Desktop,64.8,4,No
640302,44.0,Desktop,59.8,5,No
640303,8.4,Desktop,69.0,2,No
640304,116.4,Mobile,54.3,4,No
640305,204.3,Mobile,43.6,7,No
640306,5.0,Desktop,68.6,3,No
640307,100.4,Desktop,44.4,6,No
640308,56.8,Mobile,57.2,4,No
640309,60.3,Mobile,53.1,4,No
640310,400.7,Mobile,5.0,14,Yes
640311,129.3,Tablet,38.6,6,No
640312,194.9,Desktop,28.4,8,No
640313,5.0,Tablet,61.0,3,No
640314,137.9,Desktop,64.0,4,No
640315,101.1,Mobile,39.9,6,No
640316,97.6,Mobile,70.4,3,No
640317,105.5,Mobile,56.8,4,No
640318,57.4,Mobile,79.0,2,No
640319,229.8,Desktop,47.9,6,No
640320,14.7,Mobile,67.5,3,Yes
640321,155.3,Desktop,46.6,5,Yes
640322,146.1,Desktop,29.4,7,No
640323,18.9,Mobile,62.9,3,No
640324,32.6,Mobile,77.1,1,No
640325,400.0,Mobile,5.0,14,Yes
640326,212.4,Desktop,42.2,7,No
640327,77.1,Mobile,61.9,3,No
640328,8.6,Mobile,89.1,1,No
640329,93.7,Desktop,46.9,6,No
640330,202.0,Mobile,31.5,7,No
640331,14.1,Mobile,77.2,1,No
640332,8.9,Mobile,83.2,2,No
640333,176.0,Mobile,39.1,7,No
640334,440.6,Desktop,5.0,15,Yes
640335,9.1,Mobile,87.3,1,No
640336,149.4,Desktop,64.3,4,No
640337,186.2,Mobile,22.5,8,No
640338,217.9,Desktop,23.6,9,No
640339,19.5,Mobile,61.7,3,No
640340,160.3,Mobile,58.0,5,Yes
640341,25.9,Mobile,67.3,3,No
640342,5.0,Desktop,72.3,2,No
640343,275.4,Desktop,12.1,10,No
640344,5.0,Mobile,74.0,3,No
640345,38.5,Mobile,82.9,1,No
640346,34.7,Tablet,61.8,4,No
640347,121.3,Desktop,58.6,5,No
640348,30.8,Mobile,62.3,3,No
640349,37.1,Mobile,66.8,4,No
640350,128.0,Tablet,38.5,6,No
640351,51.6,Mobile,58.5,5,No
640352,32.0,Mobile,60.9,4,No
640353,89.4,Tablet,43.3,6,No
640354,135.8,Mobile,41.9,7,No
640355,56.6,Mobile,49.7,5,No
640356,119.6,Mobile,,3,No
640357,5.0,Mobile,69.4,3,No
640358,33.2,Mobile,82.0,2,No
640359,98.9,Mobile,54.3,4,No
640360,88.3,Desktop,63.3,3,Yes
640361,35.0,Mobile,70.2,2,No
640362,128.9,Mobile,45.1,6,No
640363,39.1,Mobile,60.7,4,No
640364,309.3,Mobile,11.1,11,No
640365,146.1,Mobile,61.6,4,No
640366,24.0,Mobile,53.8,4,No
640367,131.9,Mobile,41.9,6,No
640368,304.8,Desktop,27.5,8,Yes
640369,182.0,Mobile,36.7,7,No
640370,5.0,Tablet,81.1,2,No
640371,68.6,Mobile,72.0,2,Yes
640372,25.3,Mobile,81.8,1,No
640373,268.1,Mobile,14.1,9,No
640374,54.2,Mobile,67.6,4,Yes
640375,69.0,Desktop,82.9,2,No
640376,79.2,Mobile,59.7,5,No
640377,109.2,Mobile,67.0,3,No
640378,80.4,Desktop,48.3,5,No
640379,124.1,Mobile,46.1,5,No
640380,38.0,Desktop,59.3,4,No
640381,106.6,Desktop,47.8,5,No
640382,134.4,Desktop,58.8,5,No
640383,93.8,Mobile,53.0,4,No
640384,62.4,Desktop,57.7,4,No
640385,12.0,Mobile,63.9,3,No
640386,17.4,Mobile,59.3,4,No
640387,64.4,Mobile,56.2,5,No
640388,103.8,Desktop,49.2,5,No
640389,238.4,Mobile,38.1,7,No
640390,33.4,Mobile,77.9,1,No
640391,73.4,Desktop,58.5,4,No
640392,245.1,Mobile,30.6,7,No
640393,99.6,Desktop,59.3,5,No
640394,145.4,Desktop,49.8,5,No
640395,68.8,Mobile,70.6,2,No
640396,15.8,Desktop,89.8,1,No
640397,88.2,Desktop,47.8,5,No
640398,45.0,Mobile,64.3,3,No
640399,43.7,Mobile,65.4,3,No
640400,519.1,Mobile,5.0,16,Yes
640401,340.6,Mobile,13.7,10,No
640402,39.4,Tablet,86.0,1,No
640403,294.3,Mobile,22.5,8,No
640404,75.1,Desktop,83.6,2,No
640405,17.2,Desktop,73.2,3,No
640406,306.3,Tablet,15.3,9,No
640407,13.5,Mobile,79.6,2,No
640408,266.2,Mobile,9.3,10,No
640409,50.4,Mobile,74.7,2,No
640410,18.9,Mobile,57.8,4,No
640411,45.9,Desktop,46.7,5,No
640412,23.8,Desktop,80.8,2,No
640413,74.4,Desktop,69.8,2,No
640414,23.5,Mobile,71.6,2,No
640415,17.0,Desktop,86.9,1,No
640416,30.5,Desktop,88.1,1,No
640417,120.7,Mobile,,5,No
640418,7.4,Desktop,81.9,1,No
640419,62.5,Tablet,46.3,5,No
640420,67.4,Mobile,52.4,5,Yes
640421,43.8,Mobile,54.6,5,No
640422,93.7,Desktop,,4,No
640423,98.1,Mobile,47.0,6,No
640424,350.7,Desktop,6.1,10,No
640425,13.8,Mobile,73.6,3,No
640426,179.6,Desktop,29.9,7,No
640427,92.9,Mobile,67.6,4,No
640428,138.9,Mobile,37.0,7,No
640429,28.8,Mobile,67.7,4,No
640430,214.8,Mobile,42.1,6,No
640431,177.0,Desktop,29.8,8,No
640432,244.7,Mobile,41.7,7,No
640433,21.5,Mobile,66.2,3,No
640434,138.2,Mobile,33.0,7,No
640435,147.9,Desktop,40.9,6,No
640436,114.5,Tablet,51.7,5,No
640437,103.8,Mobile,62.0,4,No
640438,5.0,Mobile,80.5,2,No
640439,161.8,Desktop,50.0,5,No
640440,128.7,Desktop,61.4,4,No
640441,197.9,Mobile,29.6,8,No
640442,16.2,Mobile,64.1,4,No
640443,115.0,Desktop,72.6,3,No
640444,168.6,Tablet,58.4,5,No
640445,214.9,Mobile,13.1,9,Yes
640446,146.8,Mobile,35.2,7,No
640447,171.1,Mobile,23.4,8,No
640448,97.6,Mobile,58.6,4,No
640449,21.9,Desktop,87.1,1,No
640450,9.3,Desktop,62.5,3,No
640451,69.8,Mobile,56.6,4,No
640452,42.5,Mobile,62.1,3,No
640453,38.2,Desktop,74.9,3,No
640454,110.0,Mobile,50.7,5,No
640455,40.9,Desktop,60.4,4,No
640456,160.2,Mobile,32.0,8,No
640457,5.0,Mobile,77.4,2,No
640458,388.0,Mobile,12.6,10,No
640459,197.4,Mobile,56.5,5,No
640460,75.7,Mobile,67.5,4,No
640461,103.0,Mobile,48.6,5,No
640462,6.7,Mobile,66.6,3,No
640463,83.3,Mobile,46.0,5,No
640464,309.5,Desktop,9.6,10,No
640465,27.8,Mobile,,4,No
640466,272.9,Mobile,30.9,8,No
640467,227.8,Desktop,35.1,7,Yes
640468,208.1,Desktop,27.0,9,No
640469,5.0,Desktop,61.7,3,No
640470,110.0,Desktop,46.9,5,No
640471,84.1,Desktop,46.4,5,No
640472,53.0,Desktop,78.8,2,No
640473,65.7,Mobile,60.0,5,No
640474,179.2,Tablet,34.1,7,No
640475,33.5,Mobile,55.0,4,No
640476,70.5,Mobile,54.7,5,No
640477,142.3,Mobile,34.4,7,No
640478,77.4,Desktop,59.8,5,No
640479,159.6,Desktop,67.6,4,No
640480,23.2,Mobile,79.9,1,No
640481,7.9,Mobile,63.6,4,No
640482,102.5,Desktop,48.2,5,No
640483,172.5,Mobile,53.5,5,No
640484,47.7,Mobile,73.6,3,No
640485,86.3,Desktop,71.7,3,No
640486,23.0,Mobile,70.7,2,No
640487,213.7,Mobile,38.0,6,Yes
640488,118.6,Desktop,48.9,6,No
640489,305.5,Desktop,24.1,8,No
640490,140.0,Desktop,45.5,6,No
640491,9.4,Tablet,71.2,3,No
640492,123.8,Desktop,62.8,4,No
640493,10.3,Mobile,72.3,2,No
640494,5.7,Mobile,75.7,2,No
640495,164.7,Desktop,45.4,5,No
640496,43.5,Tablet,53.1,5,Yes
640497,98.3,Mobile,40.4,6,No
640498,59.5,Mobile,49.9,5,No
640499,803.6,Mobile,5.0,23,Yes
640500,75.6,Mobile,68.5,3,No
640501,438.0,Mobile,5.0,12,Yes
640502,5.0,Desktop,82.7,2,No
640503,5.0,Desktop,71.9,3,No
640504,111.7,Mobile,69.6,3,No
640505,52.6,Mobile,70.0,2,No
640506,217.5,Desktop,19.2,9,No
640507,29.6,Mobile,79.8,2,No
640508,28.7,Mobile,58.9,4,No
640509,11.8,Mobile,74.2,2,No
640510,82.7,Tablet,37.3,6,No
640511,161.4,Mobile,40.0,7,No
640512,79.1,Desktop,68.5,3,No
640513,5.0,Desktop,89.2,1,No
640514,6.0,Mobile,78.0,2,No
640515,137.6,Tablet,43.6,6,No
640516,126.2,Mobile,35.1,7,No
640517,32.3,Mobile,67.2,4,No
640518,43.8,Mobile,79.5,2,No
640519,141.8,Mobile,54.1,5,No
640520,58.9,Mobile,73.9,2,No
640521,94.7,Desktop,68.6,3,No
640522,575.9,Mobile,5.0,15,Yes
640523,71.3,Tablet,62.7,4,No
640524,127.0,Mobile,37.6,6,No
640525,53.3,Tablet,72.1,3,No
640526,44.1,Tablet,82.6,2,No
640527,111.6,Desktop,39.0,6,No
640528,62.3,Mobile,72.0,2,No
640529,74.8,Mobile,63.3,3,No
640530,245.0,Mobile,7.6,10,No
640531,56.8,Mobile,82.4,2,No
640532,319.3,Mobile,22.4,9,No
640533,264.4,Mobile,35.8,8,Yes
640534,303.7,Mobile,14.8,10,No
640535,577.3,Mobile,5.0,16,Yes
640536,92.3,Desktop,54.8,4,No
640537,34.7,Desktop,69.3,2,No
640538,70.3,Desktop,81.6,2,No
640539,7.0,Mobile,74.2,2,No
640540,5.0,Mobile,58.8,4,No
640541,19.5,Tablet,74.4,2,No
640542,84.1,Mobile,47.6,5,No
640543,35.4,Mobile,88.2,1,No
640544,7.3,Desktop,89.4,1,No
640545,52.6,Mobile,64.8,3,No
640546,29.8,Mobile,76.0,2,No
640547,242.9,Desktop,13.3,10,No
640548,12.3,Tablet,73.1,3,No
640549,169.0,Mobile,38.5,6,No
640550,126.5,Desktop,51.3,5,No
640551,8.0,Mobile,86.7,1,No
640552,80.8,Mobile,71.1,3,No
640553,156.2,Tablet,48.5,6,No
640554,185.8,Mobile,41.8,6,No
640555,242.8,Tablet,16.3,10,No
640556,14.1,Mobile,82.0,2,No
640557,64.0,Tablet,61.4,3,No
640558,151.6,Mobile,57.6,4,No
640559,50.0,Mobile,73.6,3,No
640560,81.5,Tablet,60.0,5,No
640561,173.6,Mobile,46.7,6,No
640562,79.2,Mobile,61.4,4,No
640563,244.3,Mobile,22.7,9,No
640564,457.2,Mobile,5.0,15,Yes
640565,41.5,Mobile,56.6,4,No
640566,36.4,Desktop,65.2,4,No
640567,54.0,Desktop,72.8,3,No
640568,161.4,Desktop,57.5,5,No
640569,61.6,Mobile,,3,No
640570,20.4,Tablet,77.0,2,No
640571,159.8,Mobile,68.0,4,No
640572,33.3,Desktop,73.8,2,No
640573,230.4,Mobile,39.6,7,No
640574,387.2,Mobile,5.0,13,Yes
640575,457.8,Mobile,5.0,15,Yes
640576,169.4,Desktop,41.8,6,No
640577,182.9,Desktop,25.2,8,No
640578,206.9,Mobile,33.6,8,No
640579,177.3,Mobile,43.2,7,Yes
640580,158.4,Tablet,51.5,6,Yes
640581,20.9,Desktop,88.4,1,No
640582,52.6,Mobile,59.5,5,No
640583,51.2,Mobile,58.9,5,No
640584,27.5,Mobile,91.5,1,No
640585,61.6,Mobile,79.2,2,No
640586,37.2,Desktop,71.1,3,No
640587,59.1,Desktop,74.5,3,No
640588,12.7,Desktop,87.3,1,No
640589,46.0,Mobile,73.5,3,No
640590,82.9,Mobile,66.9,3,No
640591,248.8,Mobile,41.7,7,No
640592,63.2,Mobile,49.5,5,No
640593,280.2,Desktop,21.1,8,No
640594,237.0,Mobile,31.1,7,No
640595,19.0,Mobile,65.6,4,No
640596,62.2,Desktop,57.8,5,No
640597,144.8,Desktop,59.5,4,Yes
640598,5.0,Mobile,79.1,2,No
640599,14.2,Mobile,76.2,2,No
640600,91.6,Mobile,61.7,4,No
640601,31.1,Desktop,67.2,4,No
640602,5.2,Desktop,88.9,1,No
640603,5.0,Mobile,82.6,1,No
640604,104.6,Mobile,50.8,6,No
640605,36.9,Mobile,63.4,4,No
640606,93.8,Mobile,58.3,4,No
640607,8.1,Mobile,83.8,1,No
640608,229.2,Mobile,46.8,6,Yes
640609,25.9,Desktop,75.5,3,No
640610,239.8,Mobile,40.6,7,No
640611,45.8,Mobile,81.9,2,No
640612,41.1,Tablet,55.3,5,No
640613,39.4,Mobile,63.1,3,Yes
640614,90.9,Mobile,47.7,6,No
640615,360.6,Desktop,7.9,10,No
640616,31.7,Desktop,70.0,2,No
640617,167.4,Mobile,50.0,6,No
640618,269.7,Mobile,17.4,9,No
640619,5.0,Mobile,91.4,1,No
640620,33.6,Desktop,74.3,2,No
640621,138.6,Mobile,39.6,6,No
640622,156.3,Tablet,38.8,6,No
640623,95.1,Desktop,45.8,6,No
640624,141.1,Mobile,45.3,6,Yes
640625,299.1,Mobile,14.3,9,No
640626,71.9,Mobile,63.9,3,No
640627,267.4,Desktop,36.8,7,No
640628,14.1,Mobile,72.5,2,No
640629,136.7,Mobile,46.4,5,No
640630,174.0,Mobile,30.2,7,No
640631,18.6,Mobile,75.5,2,No
640632,101.8,Mobile,67.2,3,No
640633,179.9,Mobile,48.1,5,No
640634,73.2,Mobile,76.3,2,No
640635,43.2,Mobile,75.6,2,No
640636,39.0,Mobile,76.2,2,No
640637,154.9,Tablet,55.1,4,No
640638,7.7,Mobile,89.5,1,No
640639,240.3,Desktop,33.1,7,No
640640,122.5,Mobile,40.6,6,No
640641,126.6,Mobile,37.2,7,No
640642,224.5,Mobile,32.3,8,No
640643,5.0,Mobile,66.9,4,No
640644,105.9,Mobile,38.8,6,No
640645,132.5,Mobile,51.7,6,No
640646,159.5,Mobile,56.1,4,No
640647,16.9,Desktop,74.3,2,No
640648,95.5,Tablet,68.4,3,Yes
640649,131.6,Desktop,41.4,6,No
640650,50.7,Desktop,83.8,2,No
640651,5.0,Desktop,82.1,1,No
640652,55.2,Mobile,70.8,3,No
640653,141.1,Mobile,57.2,4,No
640654,20.5,Mobile,53.4,4,No
640655,258.8,Mobile,9.1,10,No
640656,251.1,Desktop,11.3,10,No
640657,44.8,Mobile,61.1,3,No
640658,157.2,Desktop,37.2,6,No
640659,28.7,Mobile,82.2,1,No
640660,150.0,Mobile,46.8,6,No
640661,12.0,Mobile,68.3,3,No
640662,68.4,Desktop,67.7,3,No
640663,38.0,Mobile,64.5,4,No
640664,11.6,Mobile,63.8,4,No
640665,49.9,Mobile,69.5,2,No
640666,101.9,Desktop,38.1,6,No
640667,51.9,Mobile,82.8,2,No
640668,126.3,Mobile,59.4,5,No
640669,94.5,Mobile,41.9,6,Yes
640670,67.1,Mobile,60.1,4,No
640671,5.0,Mobile,75.1,3,No
640672,5.0,Mobile,64.9,3,No
640673,5.7,Desktop,74.5,3,No
640674,48.8,Desktop,49.2,5,No
640675,40.3,Mobile,54.1,5,No
640676,147.5,Desktop,48.2,6,No
640677,5.0,Mobile,55.0,4,No
640678,16.7,Desktop,71.5,2,No
640679,178.0,Mobile,52.6,5,No
640680,70.5,Mobile,65.8,4,Yes
640681,129.2,Tablet,65.4,4,No
640682,31.9,Desktop,91.8,1,No
640683,32.9,Mobile,83.0,1,No
640684,409.3,Mobile,5.0,14,No
640685,120.6,Mobile,45.7,6,No
640686,169.5,Mobile,41.8,6,No
640687,290.4,Mobile,35.5,8,No
640688,95.8,Desktop,67.1,4,No
640689,18.6,Mobile,88.4,1,No
640690,99.0,Mobile,65.2,4,No
640691,37.0,Mobile,80.5,1,No
