UserID,CalorieDeficit,CarbsRatio_Percent,ProteinIntake_g,WeightChange_Kg,MetabolicRate
1280170,63.3,33.5,140.4,110.9,51.5
1280171,114.6,49.0,80.0,100.0,41.2
1280172,112.8,53.1,73.5,137.7,49.1
1280173,85.0,65.6,114.2,75.9,44.1
1280174,102.4,62.1,98.3,103.6,17.6
1280175,74.5,56.0,85.3,89.2,46.1
1280176,101.7,45.2,123.9,131.4,37.4
1280177,102.7,38.2,78.8,61.3,64.5
1280178,76.0,20.6,106.6,77.6,65.7
1280179,155.0,48.7,113.8,79.4,45.0
1280180,79.3,64.9,105.4,83.3,55.5
1280181,78.4,34.8,103.7,139.0,41.6
1280182,122.1,34.9,97.1,88.7,74.4
1280183,121.0,51.7,135.4,128.2,42.0
1280184,94.6,44.6,114.5,84.8,24.4
1280185,60.4,54.2,60.1,94.9,30.1
1280186,121.0,30.2,146.9,81.4,30.9
1280187,104.3,60.6,177.4,95.9,36.1
1280188,93.5,36.8,73.9,105.6,31.8
1280189,98.3,37.0,122.5,107.2,58.1
1280190,98.3,58.4,107.9,120.8,38.0
1280191,93.5,41.5,99.6,64.0,28.5
1280192,102.3,52.5,110.1,160.2,26.6
1280193,99.8,38.8,111.0,73.0,29.2
1280194,103.0,98.2,49.9,89.1,42.6
1280195,116.1,26.2,83.1,106.9,10.4
1280196,114.9,55.3,130.5,112.6,72.5
1280197,140.5,45.9,126.8,123.9,51.2
1280198,127.9,43.0,134.5,125.1,56.4
1280199,73.3,21.6,137.1,52.3,21.4
1280200,102.0,51.4,71.5,110.2,45.1
1280201,55.5,15.4,126.8,89.8,62.3
1280202,70.1,44.6,74.1,107.4,54.0
1280203,105.5,77.2,100.3,130.7,46.9
1280204,143.7,51.1,105.5,77.0,42.2
1280205,13.9,62.1,66.0,112.3,69.1
1280206,100.7,72.6,98.0,97.6,32.0
1280207,105.8,28.5,12.0,112.4,41.6
1280208,50.0,49.9,113.4,67.2,90.8
1280209,160.2,43.5,107.3,125.7,41.7
1280210,113.8,54.8,121.0,98.1,28.8
1280211,102.3,45.2,100.4,95.4,54.1
1280212,78.2,64.2,108.8,115.6,24.4
1280213,118.0,42.6,71.8,75.6,45.9
1280214,116.8,47.5,87.5,75.8,44.6
1280215,91.3,40.0,121.8,132.3,28.5
1280216,127.6,32.9,139.9,141.3,40.1
1280217,90.0,27.5,128.7,90.2,68.4
1280218,109.4,68.5,102.5,128.2,66.9
1280219,118.1,65.6,130.5,58.3,47.3
1280220,97.6,51.3,57.1,66.1,48.3
1280221,99.5,23.4,145.9,126.7,27.1
1280222,89.3,50.4,102.7,91.9,30.0
1280223,82.7,47.0,66.5,103.5,40.0
1280224,113.9,51.4,141.4,119.0,42.8
1280225,116.8,42.5,111.8,105.2,22.1
1280226,123.8,43.9,61.9,162.2,48.6
1280227,121.6,39.2,70.2,85.2,32.7
1280228,127.7,50.9,86.5,59.7,51.8
1280229,102.2,57.6,122.6,135.7,36.1
1280230,107.1,46.5,119.9,38.1,27.3
1280231,95.3,60.2,119.0,110.2,35.0
1280232,97.2,56.2,107.7,110.2,24.2
1280233,122.9,55.5,81.6,26.6,30.0
1280234,87.0,36.1,67.4,50.2,41.6
1280235,109.1,50.1,115.8,93.1,54.0
1280236,110.5,72.0,97.2,117.6,50.1
1280237,151.8,57.1,77.7,95.5,59.1
1280238,124.6,57.2,67.2,45.6,43.7
1280239,161.5,20.6,118.4,102.8,62.5
1280240,90.4,31.5,48.5,89.0,40.9
1280241,154.4,63.7,113.5,47.8,12.8
1280242,91.4,43.6,153.2,121.5,46.8
1280243,101.0,65.0,82.3,77.2,43.5
1280244,115.1,38.7,76.2,89.5,46.7
1280245,95.8,37.9,122.6,69.4,22.9
1280246,109.0,46.8,159.8,110.6,69.8
1280247,115.8,34.5,117.2,139.5,28.0
1280248,146.0,44.6,81.9,57.1,42.2
1280249,49.2,64.5,77.9,106.1,35.0
1280250,77.7,36.1,98.2,114.8,58.9
1280251,111.1,51.9,81.5,135.0,49.0
1280252,84.5,27.9,136.9,131.7,50.1
1280253,89.4,65.1,75.7,179.4,68.1
1280254,82.7,43.7,72.6,149.9,28.2
1280255,91.5,46.6,129.2,85.7,47.1
1280256,88.2,49.8,143.0,74.3,25.7
1280257,67.9,45.9,65.8,79.7,29.5
1280258,125.6,46.5,103.3,102.5,31.6
1280259,87.9,61.0,126.2,137.6,73.9
1280260,120.3,52.7,130.0,107.4,63.5
1280261,80.8,60.8,122.5,127.0,54.9
1280262,105.9,51.7,59.0,66.9,17.4
1280263,88.7,56.9,119.1,113.2,40.6
1280264,77.7,37.9,103.6,93.7,27.7
1280265,90.7,34.2,103.8,119.9,35.6
1280266,107.3,17.1,53.6,80.6,54.6
1280267,66.3,59.6,59.5,125.8,45.6
1280268,98.6,13.8,63.5,124.7,68.0
1280269,97.3,56.7,108.0,70.0,56.8
1280270,152.4,71.9,93.8,103.3,49.8
1280271,104.7,25.4,106.7,122.3,34.6
1280272,88.0,50.7,76.6,93.3,45.0
1280273,121.2,55.4,88.3,93.9,46.2
1280274,98.9,29.0,94.4,95.3,75.6
1280275,110.4,44.5,107.1,61.4,63.9
1280276,117.5,42.0,75.8,24.5,58.0
1280277,106.1,50.3,122.7,105.5,62.0
1280278,110.6,58.8,109.4,75.7,34.7
1280279,93.7,38.6,119.7,29.7,46.1
1280280,98.0,58.3,79.9,105.9,41.0
1280281,107.1,44.7,33.4,81.4,49.0
1280282,107.4,41.1,91.2,120.7,21.6
1280283,113.2,37.5,100.5,118.9,67.3
1280284,105.2,42.7,95.0,122.5,33.3
1280285,115.2,63.2,100.0,59.0,42.5
1280286,130.6,48.2,98.2,83.3,59.0
1280287,124.3,55.3,99.8,119.6,22.4
1280288,116.5,67.6,64.1,123.2,16.8
1280289,97.4,64.3,138.0,67.4,47.8
1280290,99.0,42.5,145.5,82.7,41.0
1280291,110.7,34.9,105.2,64.1,65.0
1280292,119.0,48.1,67.9,36.2,56.3
1280293,65.5,17.8,106.4,139.5,56.2
1280294,71.9,53.9,121.8,95.7,36.0
1280295,94.2,49.3,31.5,94.9,27.7
1280296,87.3,61.2,99.1,76.0,45.5
1280297,91.9,66.4,101.0,95.7,40.9
1280298,73.2,35.7,60.7,101.8,33.7
1280299,88.0,78.4,81.7,110.8,34.9
1280300,123.6,71.4,90.2,84.1,38.4
1280301,103.2,32.5,154.2,63.5,62.6
1280302,76.2,53.5,70.2,106.3,38.7
1280303,84.7,63.8,132.4,89.3,40.4
1280304,119.0,41.7,98.6,96.9,49.1
1280305,62.5,30.4,72.0,121.2,36.6
1280306,100.1,47.6,113.7,85.5,19.8
1280307,67.4,37.8,94.0,116.7,47.9
1280308,82.0,42.2,100.0,101.2,45.2
1280309,47.6,46.1,87.5,116.9,37.4
1280310,71.9,38.4,,124.1,27.6
1280311,107.2,86.8,80.0,46.8,55.9
1280312,73.5,74.9,104.1,113.9,32.2
1280313,41.1,35.9,108.0,108.4,32.3
1280314,77.5,56.1,99.8,147.7,61.5
1280315,97.7,24.1,47.9,92.0,77.3
1280316,96.1,38.5,69.6,97.7,15.6
1280317,40.3,53.2,96.0,71.6,22.7
1280318,109.1,62.0,66.9,93.4,30.9
1280319,90.3,52.1,109.4,80.4,59.2
1280320,102.4,38.7,134.0,102.0,16.7
1280321,82.3,47.2,59.1,116.6,46.5
1280322,65.4,31.1,97.4,86.2,24.4
1280323,98.0,72.6,42.1,95.4,35.1
1280324,84.7,48.3,139.2,100.1,20.2
1280325,100.4,49.8,101.8,73.1,52.8
1280326,99.0,30.8,88.0,100.6,54.2
1280327,88.9,41.0,100.0,66.2,29.7
1280328,76.2,38.4,133.4,116.1,62.7
1280329,120.8,37.7,133.2,79.9,45.8
1280330,107.6,74.2,,90.4,28.9
1280331,98.1,35.5,111.3,67.1,38.5
1280332,123.7,19.4,,85.4,35.8
1280333,53.4,58.3,37.8,111.2,44.6
1280334,76.5,52.2,123.2,116.9,53.3
1280335,64.4,34.0,73.7,80.1,25.9
1280336,78.2,34.0,56.8,124.5,53.0
1280337,111.3,56.5,82.8,94.8,46.3
1280338,105.5,39.1,97.1,133.4,53.6
1280339,134.8,45.2,96.6,70.4,44.6
1280340,84.7,65.0,128.0,103.2,51.8
1280341,143.7,43.7,116.5,85.7,58.6
1280342,122.1,33.8,109.8,82.8,57.1
1280343,130.1,36.4,56.0,25.2,7.7
1280344,80.2,42.6,63.5,94.8,36.4
1280345,115.9,37.4,105.2,101.4,58.4
1280346,130.8,49.7,127.7,115.9,43.6
1280347,136.3,25.8,52.3,71.1,79.5
1280348,114.6,54.2,76.4,129.8,36.6
1280349,112.1,56.3,74.6,103.5,18.8
1280350,68.8,35.9,98.0,92.2,43.3
1280351,131.6,66.1,83.7,129.1,38.8
1280352,85.3,44.9,109.7,117.0,45.9
1280353,95.6,19.6,130.4,104.2,18.7
1280354,127.9,32.4,110.6,65.5,49.9
1280355,92.8,30.6,133.8,89.6,33.4
1280356,106.5,51.5,51.0,84.5,40.1
1280357,108.2,65.8,132.1,96.1,50.0
1280358,120.6,37.1,153.6,84.9,42.5
1280359,103.0,62.0,104.7,96.1,61.1
1280360,15.5,34.6,156.1,100.6,45.8
1280361,88.2,29.0,79.8,79.1,31.9
1280362,95.1,49.7,142.2,104.0,63.3
1280363,113.6,50.5,62.6,74.7,46.5
1280364,114.6,65.1,119.5,113.6,50.0
1280365,77.6,36.8,103.6,71.9,18.7
1280366,103.4,37.2,115.6,100.9,54.7
1280367,83.1,69.7,97.9,140.1,25.4
1280368,110.4,37.9,128.1,59.0,51.6
1280369,71.6,37.0,110.4,71.7,74.2
1280370,92.7,33.3,85.3,57.3,62.1
1280371,95.2,27.4,111.9,100.0,40.5
1280372,98.6,45.5,86.9,88.7,51.2
1280373,83.2,31.8,122.0,87.9,54.0
1280374,94.9,33.5,106.8,110.8,39.1
1280375,93.7,55.7,83.4,100.2,39.5
1280376,99.8,37.5,109.9,52.1,46.8
1280377,97.3,32.7,67.9,148.9,72.5
1280378,125.4,34.2,93.6,115.3,58.3
1280379,131.9,55.0,88.0,77.2,20.7
1280380,73.1,3.1,126.3,78.0,50.1
1280381,112.8,56.8,119.1,117.9,60.1
1280382,79.7,34.1,83.7,103.0,40.6
1280383,115.1,40.4,129.0,121.6,26.9
1280384,118.2,47.9,,48.4,54.3
1280385,124.4,49.7,84.6,92.9,52.5
1280386,110.6,57.3,71.3,127.2,36.9
1280387,88.6,39.3,128.6,57.7,60.0
1280388,90.4,25.0,122.0,148.1,79.0
1280389,90.7,45.6,110.9,76.0,29.4
1280390,119.9,27.4,70.2,99.8,73.7
1280391,95.2,58.9,98.2,84.1,57.2
1280392,89.7,43.8,70.7,107.3,31.6
1280393,116.9,39.2,104.1,120.6,49.2
1280394,156.1,39.4,80.2,21.9,39.6
1280395,89.4,77.4,135.3,96.5,71.7
1280396,125.2,20.9,97.8,58.0,28.7
1280397,83.8,28.0,90.2,87.1,68.1
1280398,77.9,40.2,76.1,92.2,78.7
1280399,124.5,36.4,87.5,98.4,37.8
1280400,98.9,49.6,104.9,100.2,71.3
1280401,73.4,48.7,52.0,101.8,56.2
1280402,88.5,30.0,98.8,68.1,44.2
1280403,108.9,33.6,92.6,125.8,65.1
1280404,127.1,44.5,93.2,127.0,53.4
1280405,109.3,60.5,98.9,132.9,17.0
1280406,96.2,28.3,86.9,55.9,23.7
1280407,99.5,70.5,111.2,105.3,37.2
1280408,59.1,64.2,84.5,135.0,37.9
1280409,157.4,42.3,132.1,135.6,50.5
1280410,122.1,36.4,98.9,69.9,50.6
1280411,90.6,48.4,78.9,74.4,32.9
1280412,154.7,28.8,154.9,140.1,59.0
1280413,80.3,65.3,75.3,124.9,46.4
1280414,132.8,67.3,81.0,91.8,48.1
1280415,106.6,30.8,79.0,110.2,48.6
1280416,96.3,57.8,68.6,91.8,57.7
1280417,107.6,42.0,100.7,108.3,45.2
1280418,91.0,38.1,97.8,92.6,62.4
1280419,72.7,56.9,45.7,103.4,65.3
1280420,89.1,30.9,137.0,120.5,56.9
1280421,89.8,34.1,107.8,89.3,24.8
1280422,81.1,61.1,51.5,115.5,15.9
1280423,102.4,69.4,112.4,100.7,43.3
1280424,65.6,26.2,139.3,91.0,40.0
1280425,101.3,56.5,102.6,84.0,48.5
1280426,143.1,31.5,38.7,92.6,48.7
1280427,122.1,44.3,120.5,116.3,53.6
1280428,140.8,39.9,77.7,111.2,29.3
1280429,119.8,38.2,100.2,116.7,57.2
1280430,92.2,40.7,137.8,91.2,41.8
1280431,123.9,45.9,73.7,118.1,50.1
1280432,72.0,37.6,106.2,128.4,63.4
1280433,60.1,56.7,103.9,128.6,63.1
1280434,88.8,52.8,134.6,120.6,61.7
1280435,98.6,53.0,68.6,65.3,24.9
1280436,124.2,20.4,107.8,112.5,8.5
1280437,104.1,49.8,96.7,97.4,55.9
1280438,75.5,32.3,85.7,87.5,49.6
1280439,54.0,39.3,82.7,121.9,80.3
1280440,130.4,36.2,140.9,100.2,60.2
1280441,134.7,56.3,62.0,126.9,23.5
1280442,108.7,32.9,97.0,131.0,51.1
1280443,96.7,61.2,,107.1,45.0
1280444,55.0,39.2,72.0,138.2,51.0
1280445,138.8,22.4,83.8,152.6,67.0
1280446,158.7,41.5,120.4,78.6,30.8
1280447,122.4,61.6,152.4,88.8,49.0
1280448,121.9,30.3,67.7,83.1,53.0
1280449,82.7,29.0,99.6,68.4,54.9
1280450,79.5,78.3,113.0,95.9,32.2
1280451,116.9,21.7,31.6,42.7,32.4
1280452,103.3,29.6,70.0,91.1,34.0
1280453,121.6,57.8,74.0,48.2,46.0
1280454,69.1,29.0,136.7,87.6,33.2
1280455,118.9,69.6,107.4,102.6,34.5
1280456,96.5,28.6,119.7,142.9,44.3
1280457,79.2,80.7,76.7,92.1,30.8
1280458,112.2,43.0,92.1,146.5,40.9
1280459,131.0,55.0,120.5,118.6,20.6
1280460,120.4,44.0,98.4,86.8,64.6
1280461,145.9,70.1,99.9,113.6,61.8
1280462,95.7,38.7,97.2,68.3,24.9
1280463,96.7,43.2,69.0,57.0,34.6
1280464,64.5,48.8,151.8,109.1,40.3
1280465,87.4,27.6,95.4,98.7,35.4
1280466,90.7,65.8,94.4,141.7,27.9
1280467,128.4,41.8,91.0,105.3,41.1
1280468,78.5,57.6,122.8,57.1,29.0
1280469,117.6,50.1,83.2,95.8,47.9
1280470,96.7,41.5,53.2,95.0,66.2
1280471,91.8,58.0,117.6,121.1,68.2
1280472,111.3,61.0,62.9,133.2,38.0
1280473,86.5,49.6,130.5,112.0,45.6
1280474,67.2,45.9,77.4,109.2,63.0
1280475,95.8,47.9,91.6,89.5,34.2
1280476,115.6,19.0,115.9,107.6,22.4
1280477,107.9,65.4,85.0,96.3,64.9
1280478,124.6,48.0,116.1,103.5,29.2
1280479,133.9,49.7,165.7,107.9,49.4
1280480,136.7,60.5,107.2,119.0,39.2
1280481,125.6,21.3,148.6,100.0,41.8
1280482,70.8,40.8,51.7,87.1,50.5
1280483,94.6,43.1,70.6,77.6,39.0
1280484,99.9,54.4,101.2,109.5,29.6
1280485,101.6,59.5,95.7,121.4,47.9
1280486,88.4,53.5,116.7,126.3,40.8
1280487,102.9,32.5,86.4,79.7,51.6
1280488,124.5,42.4,97.8,72.9,40.3
1280489,124.1,40.6,71.9,108.6,33.4
1280490,117.5,49.6,100.9,112.6,43.9
1280491,142.3,62.3,102.3,69.9,45.1
1280492,88.8,39.9,112.4,59.8,43.8
1280493,82.9,40.7,105.1,116.8,55.9
1280494,117.4,32.4,118.9,110.7,14.9
1280495,106.5,49.9,121.2,104.6,49.7
1280496,114.3,39.1,104.4,106.6,40.2
1280497,89.1,31.5,105.8,120.0,36.2
1280498,86.2,35.4,,115.7,55.9
1280499,88.3,42.5,99.3,130.2,55.6
1280500,112.5,35.7,89.4,75.9,37.3
1280501,88.2,60.8,107.9,76.2,30.5
1280502,98.6,43.1,110.1,55.0,61.8
1280503,145.7,47.6,92.0,93.7,49.4
1280504,45.6,49.6,55.2,143.3,28.7
1280505,88.8,53.1,51.1,45.8,32.0
1280506,50.3,40.1,83.5,129.4,41.4
1280507,43.1,38.3,137.1,113.3,24.8
1280508,107.5,50.7,64.2,114.0,43.3
1280509,119.9,12.0,87.9,67.5,39.9
1280510,73.2,31.3,106.7,57.1,47.0
1280511,124.6,40.8,117.7,68.8,61.0
1280512,140.9,35.5,134.1,90.5,23.1
1280513,117.0,37.9,84.7,75.7,19.6
1280514,84.2,60.9,134.8,87.1,40.0
1280515,85.5,55.9,137.5,85.3,44.5
1280516,92.1,33.2,92.2,137.8,66.9
1280517,103.9,67.6,150.3,101.7,51.4
1280518,103.5,66.9,,65.9,51.1
1280519,97.0,41.5,63.9,128.8,25.3
1280520,92.7,15.0,96.0,156.9,72.1
1280521,93.8,55.5,68.1,58.0,34.2
1280522,102.0,67.1,141.3,114.2,52.8
1280523,87.1,17.5,96.4,110.7,20.4
1280524,105.5,60.4,109.6,104.1,31.1
1280525,79.3,32.9,112.7,65.5,63.1
1280526,124.8,56.8,115.4,97.5,34.7
1280527,151.0,51.6,73.7,79.6,34.3
1280528,91.8,66.1,83.9,71.5,46.4
1280529,81.7,47.3,87.5,108.4,58.2
1280530,84.9,21.3,77.5,97.8,65.2
1280531,87.4,11.6,105.9,120.5,0.0
1280532,100.0,55.9,89.5,90.8,36.8
1280533,120.6,46.3,91.6,116.9,70.3
1280534,78.0,41.3,98.2,135.4,54.7
1280535,78.8,31.7,123.2,92.0,42.9
1280536,55.9,32.1,90.8,86.4,43.8
1280537,119.0,64.9,82.1,129.1,51.9
1280538,155.8,66.4,184.7,101.6,69.4
1280539,123.2,10.9,130.9,110.5,62.1
1280540,123.7,57.9,94.7,121.7,47.7
1280541,94.1,42.3,69.9,110.8,55.7
1280542,109.0,41.2,66.7,101.4,34.7
1280543,166.6,66.6,115.3,81.8,24.4
1280544,78.6,59.3,73.9,93.2,37.2
1280545,117.2,59.3,141.5,83.6,38.4
1280546,128.0,28.0,127.8,93.5,44.9
1280547,80.6,50.8,87.8,116.4,23.2
1280548,63.6,36.2,107.1,103.5,30.7
1280549,118.2,46.7,46.4,61.2,61.7
1280550,97.9,40.3,122.6,65.4,64.5
1280551,94.5,53.0,122.4,98.1,43.0
1280552,114.3,34.9,95.7,156.9,52.2
1280553,109.8,24.3,105.7,136.7,59.8
1280554,84.2,51.8,89.8,53.9,3.1
1280555,85.2,38.0,49.1,89.6,52.2
1280556,97.8,29.1,91.2,88.7,37.9
1280557,157.3,47.6,89.6,128.6,46.2
1280558,82.0,41.8,73.4,55.7,46.6
1280559,86.7,54.1,54.4,58.6,33.8
1280560,87.2,48.5,73.7,94.4,32.7
1280561,138.3,52.1,94.4,112.7,63.7
1280562,101.0,69.4,59.9,59.3,59.8
1280563,76.6,33.2,74.0,102.3,21.0
1280564,127.6,20.1,146.4,97.1,59.0
1280565,102.5,41.8,107.2,86.8,76.6
1280566,86.1,64.9,51.7,77.0,55.2
1280567,142.1,48.1,102.8,92.2,41.0
1280568,103.6,59.5,105.4,69.6,59.1
1280569,84.0,50.9,51.6,103.7,48.0
1280570,136.4,68.5,138.6,146.5,60.5
1280571,92.3,50.5,114.1,105.1,42.4
1280572,118.0,33.1,110.3,127.8,54.6
1280573,78.2,73.4,96.2,80.6,55.6
1280574,109.6,47.0,57.3,108.4,35.3
1280575,99.7,16.9,116.1,78.5,47.5
1280576,100.0,40.9,89.4,99.1,71.3
1280577,101.4,14.7,75.3,91.3,54.9
1280578,78.1,62.9,100.7,48.6,41.4
1280579,125.9,47.6,105.2,102.5,70.3
