video_id,title,category,views,likes,comment_count
v0052,Trending Video 52,Tech/Science,31858,0,0.0
v0053,Trending Video 53,Music,119454,9007,653.0
v0054,Trending Video 54,Gaming,157265,10137,1176.0
v0055,Trending Video 55,Entertainment,166842,3171,276.0
v0056,Trending Video 56,Entertainment,163060,6985,932.0
v0057,Trending Video 57,Music,41002,4180,215.0
v0058,Trending Video 58,Music,17784,1160,141.0
v0059,Trending Video 59,Entertainment,8856,1397,100.0
v0060,Trending Video 60,Music,74598,2263,119.0
v0061,Trending Video 61,Entertainment,860047,28988,4011.0
v0062,Trending Video 62,Comedy,9524,812,88.0
v0063,Trending Video 63,Entertainment,509620,25605,2189.0
v0064,Trending Video 64,Music,10609,0,0.0
v0065,Trending Video 65,Comedy,22454,2261,275.0
v0066,Trending Video 66,Entertainment,53686,3085,376.0
v0067,Trending Video 67,Entertainment,534242,29364,3742.0
v0068,Trending Video 68,Entertainment,31910,2849,211.0
v0069,Trending Video 69,Comedy,281589,18784,1805.0
v0070,Trending Video 70,Gaming,385432,8427,525.0
v0071,Trending Video 71,Tech/Science,399984,25271,3246.0
v0072,Trending Video 72,News,104721,4975,
v0073,Trending Video 73,Gaming,182250,10699,1308.0
v0074,Trending Video 74,Gaming,210567,5648,432.0
v0075,Trending Video 75,News,286428,9092,771.0
v0076,Trending Video 76,Tech/Science,105786,5555,713.0
v0077,Trending Video 77,Entertainment,66472,4794,248.0
v0078,Trending Video 78,Comedy,3299,128,10.0
v0079,Trending Video 79,Entertainment,23883,154,22.0
v0080,Trending Video 80,Tech/Science,92427,1475,172.0
v0081,Trending Video 81,Gaming,441539,22633,2711.0
v0082,Trending Video 82,Music,2007521,139484,17334.0
v0083,Trending Video 83,Entertainment,80369,6313,693.0
v0084,Trending Video 84,Entertainment,56973,1468,75.0
v0085,Trending Video 85,Comedy,19800,23,2.0
v0086,Trending Video 86,Music,481217,23342,2546.0
v0087,Trending Video 87,Tech/Science,18193,0,0.0
v0088,Trending Video 88,Entertainment,26424,1504,108.0
v0089,Trending Video 89,Gaming,55044,1241,124.0
v0090,Trending Video 90,Tech/Science,29698,0,0.0
v0091,Trending Video 91,Entertainment,829561,60996,8708.0
v0092,Trending Video 92,Entertainment,192324,9603,1293.0
v0093,Trending Video 93,Gaming,51100,1959,292.0
v0094,Trending Video 94,Music,360778,18847,1002.0
v0095,Trending Video 95,Entertainment,40017,905,52.0
v0096,Trending Video 96,Entertainment,396548,11092,1543.0
v0097,Trending Video 97,Entertainment,243055,15229,1784.0
v0098,Trending Video 98,Entertainment,21692,639,71.0
v0099,Trending Video 99,Comedy,38221,1651,214.0
v0100,Trending Video 100,Music,80422,4648,380.0
v0101,Trending Video 101,Entertainment,14139,1912,233.0
v0102,Trending Video 102,Entertainment,213517,6689,725.0
v0103,Trending Video 103,Entertainment,46122,2612,235.0
v0104,Trending Video 104,News,50323,2704,242.0
v0105,Trending Video 105,Music,28834,113,8.0
v0106,Trending Video 106,News,72732,2611,356.0
v0107,Trending Video 107,Entertainment,158801,6161,397.0
v0108,Trending Video 108,Music,183511,12220,779.0
v0109,Trending Video 109,Gaming,243236,8329,1106.0
v0110,Trending Video 110,Comedy,391858,15857,1250.0
v0111,Trending Video 111,Gaming,131445,5039,380.0
v0112,Trending Video 112,Tech/Science,40078,2449,171.0
v0113,Trending Video 113,Entertainment,143314,1790,242.0
v0114,Trending Video 114,News,26971,4457,293.0
v0115,Trending Video 115,Entertainment,103135,1421,211.0
v0116,Trending Video 116,Entertainment,69331,4028,357.0
v0117,Trending Video 117,Music,71321,3100,312.0
v0118,Trending Video 118,Entertainment,84572,6209,765.0
v0119,Trending Video 119,Music,29089,2028,300.0
v0120,Trending Video 120,Entertainment,9881,455,23.0
v0121,Trending Video 121,Entertainment,62346,6301,895.0
v0122,Trending Video 122,Music,703361,17106,1553.0
v0123,Trending Video 123,Entertainment,16247,1106,59.0
v0124,Trending Video 124,Entertainment,97373,6828,478.0
v0125,Trending Video 125,Gaming,245797,3837,523.0
v0126,Trending Video 126,Gaming,178713,12953,870.0
v0127,Trending Video 127,Tech/Science,109919,5983,404.0
v0128,Trending Video 128,Entertainment,66068,5102,757.0
v0129,Trending Video 129,Comedy,1677241,133325,7772.0
v0130,Trending Video 130,Tech/Science,205317,9162,1022.0
v0131,Trending Video 131,Entertainment,372841,21016,2386.0
v0132,Trending Video 132,Tech/Science,301035,11438,1601.0
v0133,Trending Video 133,Music,33594,0,0.0
v0134,Trending Video 134,Music,140969,7662,466.0
v0135,Trending Video 135,Entertainment,468318,21221,2445.0
v0136,Trending Video 136,Entertainment,138642,6639,462.0
v0137,Trending Video 137,Gaming,78418,5982,415.0
v0138,Trending Video 138,Music,38327,0,0.0
v0139,Trending Video 139,Entertainment,165730,9376,510.0
v0140,Trending Video 140,News,105970,6730,479.0
v0141,Trending Video 141,Entertainment,576672,40171,5791.0
v0142,Trending Video 142,News,15289,2360,172.0
v0143,Trending Video 143,Tech/Science,136920,5225,607.0
v0144,Trending Video 144,Music,50070,1215,123.0
v0145,Trending Video 145,Gaming,229961,9416,717.0
v0146,Trending Video 146,Tech/Science,171353,6671,376.0
v0147,Trending Video 147,Entertainment,282258,8678,730.0
v0148,Trending Video 148,Comedy,346169,15495,1097.0
v0149,Trending Video 149,News,95806,5489,496.0
v0150,Trending Video 150,Gaming,24181,63,6.0
v0151,Trending Video 151,Music,162433,9085,931.0
v0152,Trending Video 152,Tech/Science,82895,2465,244.0
v0153,Trending Video 153,Tech/Science,208029,7751,881.0
v0154,Trending Video 154,Tech/Science,44046,2447,248.0
v0155,Trending Video 155,Entertainment,220611,10106,894.0
v0156,Trending Video 156,Music,54466,3350,200.0
v0157,Trending Video 157,Entertainment,220497,8033,868.0
v0158,Trending Video 158,Comedy,88187,4277,244.0
v0159,Trending Video 159,Entertainment,94319,7012,373.0
v0160,Trending Video 160,Comedy,100250,5631,710.0
v0161,Trending Video 161,Tech/Science,32603,1318,180.0
v0162,Trending Video 162,Comedy,44085,4213,543.0
v0163,Trending Video 163,Music,189324,9109,648.0
v0164,Trending Video 164,Gaming,146461,7232,455.0
v0165,Trending Video 165,Entertainment,73338,3088,423.0
v0166,Trending Video 166,News,62755,2928,189.0
v0167,Trending Video 167,Tech/Science,134896,5974,320.0
v0168,Trending Video 168,News,16637,0,0.0
v0169,Trending Video 169,Tech/Science,26249,2000,195.0
v0170,Trending Video 170,Entertainment,357510,19902,2249.0
v0171,Trending Video 171,Tech/Science,1686918,42049,5727.0
v0172,Trending Video 172,Tech/Science,243065,12806,799.0
v0173,Trending Video 173,Music,88944,1783,105.0
v0174,Trending Video 174,Entertainment,424224,28054,1702.0
v0175,Trending Video 175,Entertainment,39506,1213,169.0
v0176,Trending Video 176,Music,146720,7403,1005.0
v0177,Trending Video 177,Tech/Science,584447,31477,2399.0
v0178,Trending Video 178,Tech/Science,114936,4040,515.0
v0179,Trending Video 179,Entertainment,205269,15177,2177.0
v0180,Trending Video 180,Entertainment,171590,11297,973.0
v0181,Trending Video 181,Music,22437,807,67.0
v0182,Trending Video 182,News,576629,43783,3478.0
v0183,Trending Video 183,Entertainment,68205,4914,726.0
v0184,Trending Video 184,News,159206,3623,519.0
v0185,Trending Video 185,Music,237584,7717,985.0
v0186,Trending Video 186,Gaming,30954,3328,453.0
v0187,Trending Video 187,Tech/Science,213099,9655,826.0
v0188,Trending Video 188,Entertainment,106475,3135,269.0
v0189,Trending Video 189,Entertainment,40137,5014,402.0
v0190,Trending Video 190,Entertainment,150296,8926,628.0
v0191,Trending Video 191,Music,23226,1697,211.0
v0192,Trending Video 192,Music,23648,1575,177.0
v0193,Trending Video 193,Comedy,73506,1186,60.0
v0194,Trending Video 194,Music,9694,1240,80.0
v0195,Trending Video 195,Music,3461410,204002,15072.0
v0196,Trending Video 196,Entertainment,299485,9614,1278.0
v0197,Trending Video 197,Entertainment,317347,17799,1670.0
v0198,Trending Video 198,Tech/Science,41170,486,26.0
v0199,Trending Video 199,Entertainment,140986,7344,523.0
v0200,Trending Video 200,Comedy,191449,7350,977.0
v0201,Trending Video 201,Entertainment,17297,677,36.0
v0202,Trending Video 202,Entertainment,216151,11165,1564.0
v0203,Trending Video 203,Gaming,73186,5534,380.0
v0204,Trending Video 204,Comedy,92954,1614,218.0
v0205,Trending Video 205,Entertainment,62222,1672,188.0
v0206,Trending Video 206,Entertainment,118255,8591,1288.0
v0207,Trending Video 207,Gaming,382024,14790,1513.0
v0208,Trending Video 208,Tech/Science,287525,8801,860.0
v0209,Trending Video 209,Music,243586,12308,1208.0
v0210,Trending Video 210,Tech/Science,45152,2832,174.0
v0211,Trending Video 211,Gaming,98287,3769,
v0212,Trending Video 212,Entertainment,38340,4464,523.0
v0213,Trending Video 213,Gaming,146515,6782,631.0
v0214,Trending Video 214,Entertainment,70027,4786,658.0
v0215,Trending Video 215,Entertainment,77076,3363,247.0
v0216,Trending Video 216,Entertainment,25023,645,77.0
v0217,Trending Video 217,Comedy,5938,780,88.0
v0218,Trending Video 218,Gaming,183144,7475,802.0
v0219,Trending Video 219,Comedy,54945,1146,71.0
v0220,Trending Video 220,Tech/Science,85220,4850,283.0
v0221,Trending Video 221,Music,99068,3952,475.0
v0222,Trending Video 222,Comedy,16400,1652,234.0
v0223,Trending Video 223,Gaming,289143,14436,2085.0
v0224,Trending Video 224,Music,361989,23652,3423.0
v0225,Trending Video 225,Entertainment,26014,2374,205.0
v0226,Trending Video 226,Music,262344,5735,805.0
v0227,Trending Video 227,Music,40583,2281,264.0
v0228,Trending Video 228,Music,1776860,52090,7380.0
v0229,Trending Video 229,Music,182456,9445,1257.0
v0230,Trending Video 230,Music,76473,4930,432.0
v0231,Trending Video 231,Entertainment,12159,2450,213.0
v0232,Trending Video 232,Gaming,13014,0,0.0
v0233,Trending Video 233,Tech/Science,323038,18667,2056.0
v0234,Trending Video 234,News,59158,1884,
v0235,Trending Video 235,Entertainment,55585,4705,252.0
v0236,Trending Video 236,Music,192522,14379,1169.0
v0237,Trending Video 237,Entertainment,362916,10609,961.0
v0238,Trending Video 238,Tech/Science,215363,11752,1315.0
v0239,Trending Video 239,Entertainment,57086,3075,204.0
v0240,Trending Video 240,Tech/Science,132504,10106,1026.0
v0241,Trending Video 241,Entertainment,128264,4748,342.0
v0242,Trending Video 242,Comedy,124099,7308,809.0
v0243,Trending Video 243,News,18564,2142,154.0
v0244,Trending Video 244,Tech/Science,323222,13422,1285.0
v0245,Trending Video 245,News,78829,5989,648.0
v0246,Trending Video 246,Gaming,207117,3772,230.0
v0247,Trending Video 247,News,515604,32707,2876.0
v0248,Trending Video 248,Music,419296,11602,1025.0
v0249,Trending Video 249,Entertainment,16992,0,0.0
v0250,Trending Video 250,Entertainment,307275,17833,2043.0
v0251,Trending Video 251,Music,26206,377,37.0
v0252,Trending Video 252,Music,422887,34432,5022.0
v0253,Trending Video 253,Gaming,41704,949,67.0
v0254,Trending Video 254,Gaming,854248,31806,2416.0
v0255,Trending Video 255,Comedy,21171,0,0.0
v0256,Trending Video 256,Gaming,98241,8836,833.0
v0257,Trending Video 257,Comedy,90587,2529,162.0
v0258,Trending Video 258,Gaming,8024,0,0.0
v0259,Trending Video 259,Entertainment,29085,2121,283.0
v0260,Trending Video 260,Entertainment,65020,2928,244.0
v0261,Trending Video 261,Music,61707,2235,122.0
v0262,Trending Video 262,Comedy,125982,2015,117.0
v0263,Trending Video 263,Entertainment,520329,30039,3536.0
v0264,Trending Video 264,Tech/Science,185217,10996,1344.0
v0265,Trending Video 265,Tech/Science,285403,18980,2168.0
v0266,Trending Video 266,Entertainment,24447,3301,337.0
v0267,Trending Video 267,Music,82839,4510,410.0
v0268,Trending Video 268,Gaming,26615,1037,57.0
v0269,Trending Video 269,Tech/Science,22248,1274,106.0
v0270,Trending Video 270,Entertainment,65194,4618,577.0
v0271,Trending Video 271,Entertainment,52795,2622,302.0
v0272,Trending Video 272,News,120620,3631,351.0
v0273,Trending Video 273,Entertainment,40019,3681,328.0
v0274,Trending Video 274,Entertainment,50576,1352,182.0
v0275,Trending Video 275,Entertainment,16569,1286,188.0
v0276,Trending Video 276,Entertainment,113369,8282,1032.0
v0277,Trending Video 277,News,17286,0,0.0
v0278,Trending Video 278,News,298306,6163,600.0
v0279,Trending Video 279,Gaming,125090,7331,812.0
v0280,Trending Video 280,Gaming,82282,2279,328.0
v0281,Trending Video 281,Entertainment,34878,3712,445.0
v0282,Trending Video 282,Music,68167,2427,185.0
v0283,Trending Video 283,Music,247228,13693,
v0284,Trending Video 284,Entertainment,9416,901,94.0
v0285,Trending Video 285,Music,83435,4760,674.0
v0286,Trending Video 286,Comedy,23198,1413,172.0
v0287,Trending Video 287,Gaming,1028230,40022,4081.0
v0288,Trending Video 288,News,35835,1695,244.0
v0289,Trending Video 289,Entertainment,42252,1933,194.0
v0290,Trending Video 290,Tech/Science,72778,4627,358.0
v0291,Trending Video 291,Entertainment,151336,4582,539.0
v0292,Trending Video 292,Gaming,8028,1285,190.0
v0293,Trending Video 293,Music,108991,3323,485.0
v0294,Trending Video 294,Entertainment,26345,280,19.0
v0295,Trending Video 295,Comedy,31390,1732,122.0
v0296,Trending Video 296,Music,326328,25052,2581.0
v0297,Trending Video 297,News,131444,9395,752.0
v0298,Trending Video 298,Music,107513,6060,670.0
v0299,Trending Video 299,Tech/Science,117677,7697,733.0
v0300,Trending Video 300,Comedy,184889,5018,294.0
v0301,Trending Video 301,News,26391,736,44.0
v0302,Trending Video 302,Entertainment,293260,21490,1634.0
v0303,Trending Video 303,Music,321495,7302,509.0
v0304,Trending Video 304,Gaming,70954,3018,399.0
v0305,Trending Video 305,Tech/Science,172994,3904,243.0
v0306,Trending Video 306,Entertainment,39172,2077,186.0
v0307,Trending Video 307,Entertainment,377235,19148,1943.0
v0308,Trending Video 308,Tech/Science,53467,1530,112.0
v0309,Trending Video 309,Gaming,552306,21467,1852.0
v0310,Trending Video 310,Music,67732,2536,249.0
v0311,Trending Video 311,Entertainment,608029,30976,3875.0
v0312,Trending Video 312,Gaming,175668,4186,346.0
v0313,Trending Video 313,Music,106675,5015,727.0
v0314,Trending Video 314,Comedy,105560,6470,409.0
v0315,Trending Video 315,News,33263,2685,255.0
v0316,Trending Video 316,Entertainment,53729,1988,212.0
v0317,Trending Video 317,News,296874,14475,1445.0
v0318,Trending Video 318,News,146552,7616,1022.0
v0319,Trending Video 319,Music,17926,1351,142.0
v0320,Trending Video 320,Entertainment,346716,18300,2265.0
v0321,Trending Video 321,Gaming,67506,3331,452.0
v0322,Trending Video 322,Entertainment,77385,3150,204.0
v0323,Trending Video 323,Entertainment,508572,35633,2280.0
v0324,Trending Video 324,Gaming,24788,204,24.0
v0325,Trending Video 325,Gaming,103737,8461,611.0
v0326,Trending Video 326,Entertainment,259470,20955,1331.0
v0327,Trending Video 327,Entertainment,41165,2480,344.0
v0328,Trending Video 328,Tech/Science,148233,8155,637.0
v0329,Trending Video 329,News,20310,0,0.0
v0330,Trending Video 330,Entertainment,75741,1377,156.0
v0331,Trending Video 331,Entertainment,70683,2051,265.0
v0332,Trending Video 332,Music,152627,10280,1474.0
v0333,Trending Video 333,Entertainment,90007,4293,230.0
v0334,Trending Video 334,Entertainment,29470,9,1.0
v0335,Trending Video 335,Music,119444,6119,744.0
v0336,Trending Video 336,Entertainment,42265,999,
v0337,Trending Video 337,Comedy,100202,6525,
v0338,Trending Video 338,Entertainment,243838,8043,
v0339,Trending Video 339,Gaming,227928,15673,1617.0
v0340,Trending Video 340,Entertainment,57581,3114,394.0
v0341,Trending Video 341,Entertainment,109694,6767,475.0
v0342,Trending Video 342,News,210704,5280,547.0
v0343,Trending Video 343,Tech/Science,1323179,89333,12567.0
v0344,Trending Video 344,Entertainment,165925,3696,231.0
v0345,Trending Video 345,Comedy,26044,1855,107.0
v0346,Trending Video 346,Entertainment,8705,2218,307.0
v0347,Trending Video 347,Tech/Science,912347,17632,1076.0
v0348,Trending Video 348,Gaming,1248493,58580,5316.0
v0349,Trending Video 349,Entertainment,139839,7488,1026.0
v0350,Trending Video 350,Comedy,225498,12028,1269.0
v0351,Trending Video 351,Entertainment,742863,46865,5601.0
v0352,Trending Video 352,Entertainment,191090,8773,762.0
v0353,Trending Video 353,Gaming,2477314,123557,15070.0
v0354,Trending Video 354,Gaming,64314,4887,323.0
v0355,Trending Video 355,Comedy,382421,12052,1787.0
v0356,Trending Video 356,Comedy,96643,1593,233.0
v0357,Trending Video 357,Comedy,188859,11814,621.0
v0358,Trending Video 358,Gaming,52165,2014,206.0
v0359,Trending Video 359,News,43521,923,110.0
v0360,Trending Video 360,Gaming,193140,11786,900.0
v0361,Trending Video 361,News,365715,27827,2649.0
v0362,Trending Video 362,Gaming,980571,39725,2401.0
v0363,Trending Video 363,News,11166,97,5.0
v0364,Trending Video 364,Music,354855,16226,2080.0
v0365,Trending Video 365,Entertainment,25573,1841,212.0
v0366,Trending Video 366,Entertainment,192842,9560,498.0
v0367,Trending Video 367,Gaming,433438,28047,3888.0
v0368,Trending Video 368,Entertainment,110265,6479,659.0
v0369,Trending Video 369,Entertainment,9576,1204,75.0
v0370,Trending Video 370,Tech/Science,33012,868,76.0
v0371,Trending Video 371,News,55148,1614,180.0
v0372,Trending Video 372,News,47194,1502,100.0
v0373,Trending Video 373,News,90068,7007,871.0
v0374,Trending Video 374,Gaming,104458,7516,456.0
v0375,Trending Video 375,Entertainment,26477,3545,511.0
v0376,Trending Video 376,Entertainment,28805,382,39.0
v0377,Trending Video 377,Entertainment,484953,26564,2195.0
v0378,Trending Video 378,Comedy,570699,24343,3440.0
v0379,Trending Video 379,Gaming,8663,265,14.0
v0380,Trending Video 380,Gaming,129700,4806,441.0
v0381,Trending Video 381,Music,418165,29866,4457.0
v0382,Trending Video 382,Entertainment,81580,1561,91.0
v0383,Trending Video 383,News,51352,5780,597.0
v0384,Trending Video 384,Entertainment,452689,21925,3099.0
v0385,Trending Video 385,News,37562,476,64.0
v0386,Trending Video 386,Entertainment,286775,17083,1748.0
v0387,Trending Video 387,Entertainment,118216,10250,1410.0
v0388,Trending Video 388,Tech/Science,1772966,133265,8231.0
v0389,Trending Video 389,Comedy,278330,8304,1108.0
v0390,Trending Video 390,Music,79668,364,18.0
v0391,Trending Video 391,Entertainment,244130,18221,2035.0
v0392,Trending Video 392,News,365581,13993,2020.0
v0393,Trending Video 393,Comedy,311321,10813,1064.0
v0394,Trending Video 394,Music,159341,5715,513.0
v0395,Trending Video 395,Entertainment,10325,833,101.0
v0396,Trending Video 396,Tech/Science,43593,0,0.0
v0397,Trending Video 397,Entertainment,331725,11088,1042.0
v0398,Trending Video 398,Music,264810,15804,1240.0
v0399,Trending Video 399,Gaming,50624,2778,398.0
v0400,Trending Video 400,Entertainment,53362,2202,115.0
v0401,Trending Video 401,News,50539,1640,120.0
v0402,Trending Video 402,Entertainment,123118,6864,486.0
v0403,Trending Video 403,Comedy,16012,1157,80.0
v0404,Trending Video 404,Music,19787,0,0.0
v0405,Trending Video 405,News,159767,6632,663.0
v0406,Trending Video 406,News,36606,867,49.0
v0407,Trending Video 407,Music,153184,11207,1431.0
v0408,Trending Video 408,Music,636987,15777,870.0
v0409,Trending Video 409,Entertainment,122905,7749,573.0
v0410,Trending Video 410,Music,45989,1920,283.0
v0411,Trending Video 411,Music,84360,6758,444.0
v0412,Trending Video 412,Entertainment,84453,2563,262.0
v0413,Trending Video 413,Gaming,278376,6565,480.0
v0414,Trending Video 414,Comedy,86313,2182,188.0
v0415,Trending Video 415,Music,8772,0,0.0
v0416,Trending Video 416,Entertainment,47329,1553,220.0
v0417,Trending Video 417,Entertainment,136023,8500,1162.0
v0418,Trending Video 418,News,184040,6370,719.0
v0419,Trending Video 419,Comedy,282382,16785,1374.0
v0420,Trending Video 420,Entertainment,256676,12775,681.0
v0421,Trending Video 421,Gaming,12945,0,0.0
v0422,Trending Video 422,Music,206595,7564,896.0
v0423,Trending Video 423,Tech/Science,8168,831,123.0
v0424,Trending Video 424,Music,114715,3442,192.0
v0425,Trending Video 425,Comedy,27207,1213,118.0
v0426,Trending Video 426,Music,219070,7140,1016.0
v0427,Trending Video 427,Entertainment,139022,4637,510.0
v0428,Trending Video 428,Music,50463,3544,217.0
v0429,Trending Video 429,Tech/Science,63174,4728,468.0
v0430,Trending Video 430,Music,69218,2708,261.0
v0431,Trending Video 431,Comedy,343695,16994,1554.0
v0432,Trending Video 432,Gaming,54803,2191,299.0
v0433,Trending Video 433,Gaming,31048,1814,156.0
v0434,Trending Video 434,Music,18589,0,0.0
v0435,Trending Video 435,Entertainment,195938,7680,700.0
v0436,Trending Video 436,Entertainment,23428,3253,450.0
v0437,Trending Video 437,Music,10374,0,0.0
v0438,Trending Video 438,News,148442,3688,253.0
v0439,Trending Video 439,Gaming,226307,11905,1425.0
v0440,Trending Video 440,Comedy,242587,11528,1098.0
v0441,Trending Video 441,Music,9565,1913,195.0
v0442,Trending Video 442,Tech/Science,404240,23060,3246.0
v0443,Trending Video 443,Entertainment,139975,10319,1132.0
v0444,Trending Video 444,Comedy,85845,4744,294.0
v0445,Trending Video 445,Entertainment,29274,2262,204.0
v0446,Trending Video 446,Tech/Science,87156,2612,358.0
v0447,Trending Video 447,Comedy,598456,14138,1384.0
v0448,Trending Video 448,Entertainment,43782,3385,182.0
v0449,Trending Video 449,News,38970,1847,262.0
v0450,Trending Video 450,News,128943,5568,714.0
v0451,Trending Video 451,Music,332973,24031,2357.0
v0452,Trending Video 452,Gaming,89156,3881,367.0
v0453,Trending Video 453,Entertainment,21213,1520,207.0
v0454,Trending Video 454,Gaming,695110,43467,3031.0
v0455,Trending Video 455,Entertainment,69723,5203,572.0
v0456,Trending Video 456,Entertainment,46406,1498,224.0
v0457,Trending Video 457,Entertainment,114701,3781,369.0
v0458,Trending Video 458,Comedy,88102,5917,665.0
v0459,Trending Video 459,Music,24603,1699,94.0
v0460,Trending Video 460,Gaming,10698,201,29.0
v0461,Trending Video 461,Music,21388,887,93.0
v0462,Trending Video 462,Entertainment,301114,20064,2245.0
v0463,Trending Video 463,Music,67818,2466,311.0
v0464,Trending Video 464,Tech/Science,93339,6033,697.0
v0465,Trending Video 465,Gaming,192132,3724,304.0
v0466,Trending Video 466,Entertainment,40643,2338,269.0
v0467,Trending Video 467,Entertainment,99670,4190,484.0
v0468,Trending Video 468,News,183392,7979,714.0
v0469,Trending Video 469,Gaming,56531,3043,329.0
v0470,Trending Video 470,Entertainment,13238,1519,119.0
v0471,Trending Video 471,Music,27572,1899,203.0
v0472,Trending Video 472,Comedy,349218,24646,3497.0
v0473,Trending Video 473,Entertainment,55046,3506,326.0
v0474,Trending Video 474,Entertainment,49531,1311,134.0
v0475,Trending Video 475,Music,242798,13068,772.0
v0476,Trending Video 476,Tech/Science,254879,3934,390.0
v0477,Trending Video 477,News,26916,2142,178.0
v0478,Trending Video 478,Entertainment,41986,2452,253.0
v0479,Trending Video 479,Music,17589,903,62.0
v0480,Trending Video 480,Music,535757,13718,1547.0
v0481,Trending Video 481,Gaming,27079,3267,251.0
v0482,Trending Video 482,Music,560788,32400,3598.0
v0483,Trending Video 483,Entertainment,252633,15028,1578.0
v0484,Trending Video 484,Gaming,30955,1035,102.0
v0485,Trending Video 485,Tech/Science,63114,2094,282.0
v0486,Trending Video 486,Entertainment,131851,6862,436.0
v0487,Trending Video 487,Entertainment,192049,10511,1015.0
v0488,Trending Video 488,Entertainment,186835,4467,330.0
v0489,Trending Video 489,Music,57275,4755,522.0
v0490,Trending Video 490,Tech/Science,127545,8100,949.0
v0491,Trending Video 491,Entertainment,57781,5186,463.0
v0492,Trending Video 492,Music,388343,8095,648.0
v0493,Trending Video 493,News,128653,6941,663.0
v0494,Trending Video 494,Entertainment,37373,2416,146.0
v0495,Trending Video 495,Entertainment,63943,5737,748.0
v0496,Trending Video 496,Entertainment,100065,7269,1005.0
v0497,Trending Video 497,Entertainment,17683,2056,198.0
v0498,Trending Video 498,Comedy,560454,35156,3942.0
v0499,Trending Video 499,Tech/Science,150815,2742,352.0
v0500,Trending Video 500,News,60014,2969,173.0
v0501,Trending Video 501,Gaming,107314,5447,514.0
v0502,Trending Video 502,Comedy,12771,1305,188.0
v0503,Trending Video 503,Entertainment,13593,0,0.0
v0504,Trending Video 504,Music,97503,7490,1092.0
v0505,Trending Video 505,Gaming,53065,0,0.0
v0506,Trending Video 506,Tech/Science,23188,519,38.0
v0507,Trending Video 507,Entertainment,60145,3803,464.0
v0508,Trending Video 508,Entertainment,21932,1283,150.0
v0509,Trending Video 509,Gaming,270140,17268,1085.0
v0510,Trending Video 510,Music,16970,602,47.0
v0511,Trending Video 511,Music,6400,0,0.0
v0512,Trending Video 512,Gaming,23583,894,46.0
v0513,Trending Video 513,News,97362,2627,304.0
v0514,Trending Video 514,News,83708,3767,441.0
v0515,Trending Video 515,Gaming,1658,601,40.0
v0516,Trending Video 516,Gaming,200810,5139,734.0
v0517,Trending Video 517,Entertainment,320905,15659,1382.0
