SessionID,WorkoutType,Duration_Minutes,Avg_HeartRate,CaloriesBurned,Gender
600088,Swimming,54,161,,Female
600089,Cycling,27,122,200.2,Male
600090,Yoga,33,61,154.0,Female
600091,Running,83,154,832.2,Male
600092,Cycling,63,120,458.3,Male
600093,Swimming,40,143,,Female
600094,Yoga,20,69,130.4,Male
600095,Swimming,89,140,838.4,Female
600096,Weightlifting,43,123,350.3,Female
600097,Running,87,155,875.8,Female
600098,Running,33,146,254.5,Female
600099,Yoga,46,60,204.9,Female
600100,Yoga,80,80,405.4,Female
600101,Yoga,67,75,329.4,Male
600102,Swimming,83,144,827.1,Male
600103,Running,64,155,619.9,Female
600104,Running,83,171,880.8,Male
600105,Running,23,145,240.2,Male
600106,Swimming,35,152,349.1,Female
600107,Running,65,162,701.8,Male
600108,Cycling,21,125,166.6,Male
600109,Cycling,54,116,405.1,Female
600110,Weightlifting,36,129,298.0,Male
600111,Running,20,174,233.9,Female
600112,Running,43,149,401.8,Female
600113,Yoga,46,63,203.6,Male
600114,Weightlifting,24,128,161.9,Male
600115,Running,83,162,852.6,Male
600116,Swimming,68,136,594.3,Male
600117,Yoga,38,68,136.5,Female
600118,Weightlifting,53,117,359.5,Male
600119,Running,74,153,698.4,Female
600120,Weightlifting,38,109,226.6,Male
600121,Yoga,25,60,72.0,Female
600122,Running,55,156,519.7,Female
600123,Weightlifting,59,119,447.8,Male
600124,Swimming,22,164,244.9,Female
600125,Cycling,30,106,220.6,Female
600126,Cycling,37,113,300.8,Female
600127,Yoga,27,81,119.2,Male
600128,Swimming,44,135,441.4,Female
600129,Cycling,71,106,486.8,Female
600130,Weightlifting,69,110,470.0,Female
600131,Swimming,76,151,757.3,Female
600132,Swimming,64,159,675.5,Male
600133,Weightlifting,73,105,537.8,Female
600134,Weightlifting,82,134,733.2,Male
600135,Running,72,146,670.6,Male
600136,Running,81,163,861.5,Female
600137,Yoga,78,67,336.3,Female
600138,Swimming,33,136,317.7,Female
600139,Swimming,43,147,393.0,Male
600140,Running,43,158,475.6,Male
600141,Cycling,46,119,359.9,Female
600142,Weightlifting,30,120,213.9,Male
600143,Running,78,164,785.5,Female
600144,Swimming,54,135,456.1,Male
600145,Running,83,164,862.2,Male
600146,Weightlifting,83,125,678.9,Female
600147,Weightlifting,70,132,644.0,Male
600148,Running,73,152,672.8,Female
600149,Yoga,74,71,354.6,Male
600150,Running,44,166,506.7,Male
600151,Running,49,158,437.2,Male
600152,Running,74,167,775.1,Male
600153,Running,43,162,500.5,Female
600154,Weightlifting,45,121,359.0,Female
600155,Cycling,66,105,526.2,Female
600156,Running,83,162,841.2,Female
600157,Running,70,151,706.8,Female
600158,Cycling,57,124,450.2,Male
600159,Running,51,148,518.8,Male
600160,Yoga,31,60,123.1,Female
600161,Yoga,85,60,364.9,Male
600162,Running,30,160,252.8,Female
600163,Yoga,27,63,90.1,Female
600164,Swimming,30,149,269.0,Male
600165,Cycling,82,110,648.8,Female
600166,Running,56,174,634.6,Female
600167,Swimming,43,157,477.9,Male
600168,Swimming,39,138,300.6,Male
600169,Swimming,59,160,608.2,Female
600170,Weightlifting,60,120,487.7,Male
600171,Swimming,28,156,347.2,Female
600172,Running,23,145,193.4,Male
600173,Cycling,53,113,395.6,Male
600174,Swimming,28,162,264.7,Male
600175,Weightlifting,66,113,452.0,Male
600176,Weightlifting,36,134,272.8,Female
600177,Weightlifting,61,119,503.3,Male
600178,Cycling,28,127,185.6,Male
600179,Cycling,36,131,329.1,Male
600180,Cycling,48,134,389.4,Female
600181,Cycling,28,119,247.4,Female
600182,Yoga,52,67,233.0,Female
600183,Yoga,61,71,283.0,Male
600184,Swimming,76,135,678.4,Female
600185,Yoga,87,84,388.7,Male
600186,Swimming,43,157,425.8,Male
600187,Weightlifting,23,111,152.5,Male
600188,Running,48,156,498.2,Male
600189,Running,28,157,256.2,Female
600190,Running,86,145,879.4,Male
600191,Cycling,86,118,634.7,Male
600192,Cycling,77,125,638.1,Female
600193,Swimming,20,159,223.0,Male
600194,Running,74,160,742.4,Male
600195,Yoga,70,61,275.3,Male
600196,Running,83,151,837.0,Female
600197,Yoga,54,63,222.5,Male
600198,Weightlifting,30,134,269.9,Male
600199,Running,24,155,197.5,Male
600200,Running,69,166,716.5,Female
600201,Swimming,21,141,241.6,Female
600202,Running,40,174,463.1,Female
600203,Cycling,46,124,410.9,Male
600204,Running,51,169,571.4,Female
600205,Weightlifting,43,124,412.4,Male
600206,Running,34,171,355.6,Female
600207,Swimming,68,151,655.3,Male
600208,Yoga,85,60,363.6,Male
600209,Swimming,58,164,649.6,Female
600210,Swimming,80,148,769.6,Female
600211,Running,34,166,362.2,Female
600212,Swimming,25,148,210.9,Male
600213,Weightlifting,59,120,446.8,Male
600214,Cycling,36,117,273.2,Male
600215,Running,53,148,482.9,Female
600216,Swimming,73,147,682.2,Male
600217,Yoga,81,68,385.9,Female
600218,Running,89,165,976.0,Female
600219,Running,86,154,889.9,Male
600220,Running,86,173,1011.2,Female
600221,Swimming,69,145,623.1,Female
600222,Yoga,61,77,292.1,Female
600223,Yoga,28,83,134.9,Male
600224,Weightlifting,72,131,640.2,Female
600225,Weightlifting,26,114,183.4,Female
600226,Running,36,166,384.3,Male
600227,Cycling,71,111,553.5,Male
600228,Weightlifting,86,131,753.2,Male
600229,Yoga,51,84,275.8,Male
600230,Running,40,169,429.2,Female
600231,Swimming,22,153,,Male
600232,Running,81,163,846.9,Male
600233,Running,23,152,178.4,Male
600234,Cycling,46,126,348.6,Female
600235,Cycling,54,126,388.5,Female
600236,Running,58,156,561.7,Female
600237,Swimming,66,142,620.5,Male
600238,Weightlifting,20,119,166.5,Female
600239,Running,41,148,354.5,Male
600240,Cycling,85,109,595.2,Female
600241,Cycling,72,113,555.3,Female
600242,Yoga,77,64,252.5,Female
600243,Weightlifting,52,130,451.1,Male
600244,Cycling,60,131,486.2,Female
600245,Yoga,88,75,445.1,Female
600246,Cycling,46,105,263.7,Female
600247,Running,72,155,742.7,Female
600248,Running,21,157,270.3,Female
600249,Swimming,24,159,208.7,Female
600250,Running,62,148,622.6,Female
600251,Cycling,42,127,366.7,Male
600252,Cycling,59,122,498.6,Female
600253,Swimming,87,152,860.7,Female
600254,Weightlifting,23,124,154.8,Male
600255,Weightlifting,71,107,471.2,Female
600256,Cycling,42,107,319.3,Male
600257,Weightlifting,85,109,611.9,Female
600258,Running,33,163,380.3,Female
600259,Cycling,61,117,463.6,Male
600260,Running,32,172,386.4,Male
600261,Yoga,80,60,292.3,Male
600262,Running,79,168,856.6,Female
600263,Running,35,155,400.8,Female
600264,Yoga,85,70,397.0,Female
600265,Yoga,78,82,433.8,Male
600266,Yoga,77,60,282.4,Male
600267,Cycling,24,125,208.3,Male
600268,Cycling,54,127,476.9,Female
600269,Weightlifting,35,118,208.7,Male
600270,Running,55,174,577.7,Male
600271,Yoga,86,84,516.3,Male
600272,Yoga,27,80,122.9,Male
600273,Running,68,164,670.0,Male
600274,Cycling,77,124,613.4,Male
600275,Cycling,89,119,675.1,Female
600276,Cycling,48,105,300.9,Male
600277,Swimming,37,161,446.7,Male
600278,Running,76,159,779.8,Female
600279,Running,71,150,719.6,Male
600280,Yoga,67,60,264.9,Female
600281,Yoga,27,62,140.1,Male
600282,Weightlifting,24,112,225.2,Female
600283,Weightlifting,77,117,590.8,Male
600284,Running,34,161,356.6,Male
600285,Running,86,158,866.5,Female
600286,Cycling,42,109,290.9,Female
600287,Running,25,159,272.3,Male
600288,Swimming,50,151,492.8,Male
600289,Swimming,80,136,693.8,Female
600290,Running,66,155,665.7,Female
600291,Cycling,30,105,181.4,Male
600292,Yoga,47,69,243.7,Female
600293,Running,42,148,409.3,Female
600294,Running,62,157,630.5,Female
600295,Cycling,47,130,387.5,Male
600296,Swimming,44,163,468.5,Female
600297,Yoga,53,62,179.8,Female
600298,Cycling,76,121,594.1,Female
600299,Weightlifting,58,114,420.4,Male
600300,Weightlifting,37,109,228.1,Male
600301,Running,29,154,290.5,Male
600302,Yoga,34,60,95.9,Male
600303,Weightlifting,63,132,534.5,Male
600304,Running,89,157,937.5,Female
600305,Weightlifting,58,116,418.9,Female
600306,Weightlifting,59,110,456.2,Female
600307,Yoga,45,78,174.1,Male
600308,Cycling,52,122,439.9,Male
600309,Running,63,154,634.8,Female
600310,Weightlifting,60,127,506.2,Male
600311,Weightlifting,67,132,571.2,Female
600312,Running,39,165,377.5,Female
600313,Yoga,38,65,,Male
600314,Yoga,73,60,295.0,Male
600315,Weightlifting,64,127,572.5,Male
600316,Weightlifting,69,126,614.1,Female
600317,Weightlifting,39,113,264.8,Male
600318,Cycling,36,115,255.4,Female
600319,Cycling,26,127,240.0,Female
600320,Yoga,86,62,406.9,Female
600321,Running,62,154,620.0,Female
600322,Running,31,168,273.1,Female
600323,Running,75,164,782.3,Male
600324,Swimming,22,164,182.0,Male
600325,Running,59,169,630.3,Female
600326,Cycling,52,126,372.5,Male
600327,Cycling,43,120,273.5,Female
600328,Yoga,83,60,341.3,Male
600329,Cycling,51,121,396.9,Female
600330,Weightlifting,25,124,172.0,Female
600331,Yoga,85,64,327.4,Female
600332,Cycling,67,125,539.7,Female
600333,Yoga,57,83,302.9,Male
600334,Cycling,84,120,637.4,Female
600335,Running,32,170,331.8,Female
600336,Running,85,154,887.5,Male
600337,Running,50,150,512.4,Male
600338,Running,21,174,197.3,Female
600339,Swimming,45,137,407.9,Female
600340,Weightlifting,54,105,350.9,Male
600341,Swimming,53,160,544.8,Male
600342,Yoga,35,60,84.8,Male
600343,Running,49,171,552.2,Female
600344,Cycling,21,122,221.8,Female
600345,Running,85,166,942.3,Male
600346,Yoga,48,81,217.1,Male
600347,Swimming,34,162,328.1,Male
600348,Cycling,64,117,479.9,Female
600349,Yoga,62,80,282.7,Male
600350,Swimming,25,145,221.3,Male
600351,Running,44,157,477.2,Male
600352,Swimming,43,163,462.9,Female
600353,Yoga,33,62,148.2,Male
600354,Cycling,32,119,196.7,Female
600355,Running,47,151,456.1,Female
600356,Running,56,174,653.7,Female
600357,Cycling,68,132,585.2,Female
600358,Swimming,55,161,609.8,Male
600359,Cycling,37,108,260.5,Female
600360,Cycling,67,113,475.0,Male
600361,Yoga,47,73,258.6,Female
600362,Yoga,81,73,382.7,Female
600363,Weightlifting,39,112,316.9,Female
600364,Running,37,169,377.8,Male
600365,Swimming,65,149,591.0,Female
600366,Running,51,155,567.2,Female
600367,Swimming,73,151,725.3,Female
600368,Weightlifting,62,106,436.9,Female
600369,Running,22,165,234.3,Female
600370,Cycling,30,116,206.7,Male
600371,Yoga,54,71,171.6,Female
600372,Running,28,145,276.2,Male
600373,Running,41,153,378.7,Female
600374,Yoga,61,60,239.3,Female
600375,Yoga,62,60,,Female
600376,Running,81,164,882.8,Female
600377,Weightlifting,65,127,577.9,Female
600378,Cycling,53,124,385.0,Female
600379,Running,76,169,761.9,Female
600380,Running,50,164,530.8,Male
600381,Running,51,159,470.8,Female
600382,Running,20,151,231.8,Male
600383,Running,63,150,668.0,Female
600384,Cycling,77,119,640.2,Female
600385,Yoga,72,61,264.0,Male
600386,Cycling,46,108,291.1,Male
600387,Yoga,30,79,164.6,Male
600388,Running,33,158,368.2,Female
600389,Cycling,74,133,,Female
600390,Cycling,74,121,629.0,Male
600391,Yoga,37,79,198.3,Male
600392,Weightlifting,39,126,247.6,Female
600393,Weightlifting,42,121,322.9,Female
600394,Cycling,67,117,531.9,Female
600395,Weightlifting,38,129,344.0,Male
600396,Weightlifting,51,123,402.0,Male
600397,Swimming,42,148,381.5,Male
600398,Weightlifting,74,114,538.8,Female
600399,Weightlifting,33,114,187.0,Male
600400,Cycling,29,131,179.7,Female
600401,Yoga,81,70,352.7,Male
600402,Running,24,173,264.9,Female
600403,Swimming,61,136,563.2,Male
600404,Cycling,56,107,423.6,Male
600405,Weightlifting,54,132,467.6,Female
600406,Yoga,58,60,198.6,Female
600407,Weightlifting,52,122,399.1,Female
600408,Running,39,155,439.1,Female
600409,Cycling,44,126,319.9,Male
600410,Cycling,45,129,334.1,Female
600411,Running,46,172,474.9,Male
600412,Swimming,28,154,255.1,Female
600413,Swimming,30,142,290.1,Male
600414,Weightlifting,44,108,291.8,Female
600415,Yoga,79,84,442.6,Female
600416,Cycling,54,133,444.0,Male
600417,Yoga,55,67,300.8,Female
600418,Cycling,33,121,292.2,Female
600419,Swimming,34,156,346.0,Female
600420,Yoga,60,79,297.2,Male
600421,Cycling,42,113,322.7,Female
600422,Running,23,163,252.2,Male
600423,Swimming,27,138,217.8,Female
600424,Weightlifting,66,107,443.2,Female
600425,Weightlifting,23,110,155.2,Male
600426,Yoga,40,63,181.9,Female
600427,Yoga,41,65,190.7,Male
600428,Weightlifting,24,126,242.5,Male
600429,Running,47,156,442.7,Female
600430,Running,68,166,709.9,Male
600431,Cycling,40,125,314.0,Male
600432,Yoga,32,77,132.4,Male
600433,Yoga,66,62,281.4,Male
600434,Swimming,86,163,875.6,Female
600435,Running,49,173,532.0,Male
600436,Yoga,35,60,149.0,Female
600437,Swimming,68,147,625.5,Male
600438,Running,39,167,449.9,Female
600439,Swimming,84,138,731.4,Male
600440,Swimming,67,159,682.2,Male
600441,Weightlifting,84,132,743.0,Male
600442,Cycling,41,106,243.4,Female
600443,Weightlifting,59,107,412.1,Male
600444,Cycling,81,133,694.2,Male
600445,Cycling,88,122,684.1,Female
600446,Weightlifting,81,122,667.1,Female
600447,Running,86,148,809.1,Male
600448,Cycling,88,124,735.8,Female
600449,Cycling,49,133,,Male
600450,Running,37,159,327.1,Female
600451,Cycling,54,121,396.5,Female
600452,Swimming,23,151,277.9,Male
600453,Weightlifting,76,117,549.1,Male
600454,Weightlifting,36,132,357.2,Male
600455,Running,87,155,912.1,Male
600456,Running,41,159,463.5,Female
600457,Weightlifting,81,124,650.2,Male
600458,Running,59,153,612.9,Male
600459,Weightlifting,77,133,,Male
600460,Cycling,26,106,203.4,Female
600461,Running,66,167,714.9,Female
600462,Yoga,32,60,167.6,Male
600463,Running,79,164,832.2,Female
600464,Running,87,159,915.0,Female
600465,Yoga,78,84,440.6,Female
600466,Yoga,32,60,132.8,Female
600467,Weightlifting,23,113,169.0,Male
600468,Cycling,64,119,470.4,Male
600469,Swimming,64,163,647.6,Female
600470,Swimming,31,135,244.1,Female
600471,Weightlifting,69,126,526.7,Female
600472,Cycling,87,125,659.2,Male
600473,Running,48,155,462.6,Male
600474,Cycling,57,107,437.8,Male
600475,Weightlifting,88,131,765.3,Female
600476,Running,71,173,820.9,Female
600477,Swimming,67,136,,Female
600478,Swimming,60,154,647.6,Male
600479,Swimming,48,159,552.4,Female
600480,Yoga,31,72,162.4,Male
600481,Weightlifting,86,105,601.9,Female
600482,Weightlifting,76,124,656.8,Male
600483,Yoga,20,81,174.6,Male
600484,Weightlifting,69,115,555.0,Male
600485,Cycling,33,127,268.8,Male
600486,Swimming,40,156,415.7,Male
600487,Swimming,74,138,674.7,Female
600488,Swimming,59,155,593.1,Female
600489,Swimming,68,138,614.7,Male
600490,Yoga,24,63,92.2,Female
600491,Running,89,145,854.6,Female
600492,Yoga,38,62,155.0,Male
600493,Weightlifting,26,121,190.7,Male
600494,Swimming,56,163,528.4,Male
600495,Yoga,61,82,312.5,Male
600496,Yoga,69,65,328.4,Female
600497,Running,47,170,543.1,Female
600498,Weightlifting,63,105,419.4,Female
600499,Swimming,64,144,640.7,Male
600500,Yoga,68,60,245.9,Female
600501,Running,48,165,481.7,Male
600502,Cycling,26,127,155.4,Male
600503,Running,82,171,913.9,Female
600504,Swimming,48,137,412.8,Female
600505,Yoga,54,77,255.9,Male
600506,Running,25,161,281.3,Male
600507,Cycling,43,118,326.0,Male
600508,Running,53,162,523.8,Male
600509,Cycling,71,118,473.7,Male
600510,Weightlifting,84,127,715.2,Male
600511,Weightlifting,20,116,143.5,Female
600512,Swimming,84,147,803.0,Female
600513,Weightlifting,20,111,171.2,Male
600514,Yoga,76,69,370.6,Male
600515,Running,64,165,704.4,Female
600516,Cycling,75,131,647.4,Male
600517,Cycling,64,123,510.2,Male
600518,Running,58,168,606.7,Male
600519,Weightlifting,27,120,,Male
600520,Weightlifting,37,110,282.7,Female
600521,Weightlifting,81,108,563.4,Male
600522,Running,70,146,673.3,Female
600523,Yoga,62,60,238.6,Female
600524,Yoga,59,60,220.4,Male
600525,Swimming,32,162,357.5,Female
600526,Running,67,159,670.6,Male
600527,Weightlifting,59,116,426.9,Male
600528,Running,44,156,472.1,Male
600529,Cycling,29,118,229.0,Male
600530,Running,32,163,356.9,Male
600531,Cycling,45,118,390.4,Male
600532,Running,68,146,624.4,Male
600533,Swimming,41,148,444.6,Male
600534,Weightlifting,35,117,307.9,Male
600535,Cycling,83,116,616.3,Female
600536,Yoga,43,72,238.9,Female
600537,Swimming,43,145,453.4,Male
600538,Cycling,37,131,325.0,Male
600539,Swimming,66,135,572.7,Male
600540,Running,70,151,681.0,Female
600541,Running,64,155,614.2,Male
600542,Cycling,28,132,266.5,Female
600543,Running,71,147,675.8,Male
600544,Running,33,153,335.0,Female
600545,Swimming,82,162,921.5,Female
600546,Running,44,158,475.5,Female
600547,Running,35,172,416.6,Female
600548,Swimming,83,137,729.6,Female
600549,Weightlifting,56,128,469.3,Male
600550,Weightlifting,32,113,237.5,Female
600551,Running,71,151,692.1,Female
600552,Yoga,44,77,192.8,Female
600553,Swimming,75,148,706.0,Female
600554,Weightlifting,24,116,178.4,Female
600555,Yoga,58,60,183.3,Male
600556,Running,31,165,383.9,Female
600557,Swimming,57,149,553.0,Male
600558,Cycling,89,128,734.8,Male
600559,Cycling,20,120,199.6,Male
600560,Yoga,74,60,317.1,Female
600561,Running,23,150,183.5,Female
600562,Swimming,86,148,777.9,Female
600563,Running,23,169,255.3,Female
600564,Swimming,63,135,564.9,Female
600565,Swimming,84,160,888.3,Male
600566,Cycling,53,126,440.1,Female
600567,Cycling,64,128,522.5,Male
600568,Cycling,53,113,385.2,Female
600569,Swimming,50,164,600.5,Female
600570,Running,52,145,487.2,Female
600571,Cycling,22,132,214.3,Female
600572,Weightlifting,70,117,548.5,Female
600573,Yoga,89,67,401.8,Female
600574,Weightlifting,76,108,548.4,Female
600575,Running,20,157,223.0,Male
600576,Running,21,172,190.0,Male
600577,Yoga,64,73,310.5,Female
600578,Running,56,150,511.6,Male
600579,Yoga,75,61,283.5,Female
600580,Weightlifting,61,131,470.7,Female
600581,Yoga,44,80,223.0,Female
600582,Weightlifting,21,126,174.3,Male
600583,Cycling,44,110,291.8,Male
600584,Yoga,49,82,219.0,Male
600585,Cycling,57,116,339.8,Male
600586,Cycling,31,125,294.8,Female
600587,Swimming,33,147,323.8,Male
600588,Swimming,30,162,320.6,Female
600589,Yoga,78,68,339.5,Male
600590,Swimming,23,163,246.3,Female
600591,Running,69,145,630.4,Male
600592,Yoga,54,71,262.6,Male
600593,Cycling,74,115,519.8,Male
600594,Swimming,78,161,796.9,Male
600595,Yoga,34,71,161.5,Female
600596,Weightlifting,70,133,609.3,Female
600597,Yoga,87,66,358.3,Male
600598,Cycling,41,120,344.6,Male
600599,Swimming,77,149,716.5,Female
600600,Yoga,82,69,312.6,Female
600601,Weightlifting,84,131,682.7,Male
600602,Weightlifting,55,134,526.1,Female
600603,Weightlifting,22,109,100.7,Male
600604,Running,40,161,461.5,Female
600605,Swimming,25,139,255.0,Male
600606,Cycling,65,131,541.9,Female
600607,Cycling,48,118,359.2,Male
600608,Weightlifting,72,121,614.9,Male
600609,Swimming,71,142,651.0,Female
600610,Running,82,157,850.7,Female
600611,Cycling,75,108,559.7,Male
600612,Running,74,152,722.1,Male
600613,Yoga,82,60,296.1,Male
600614,Running,39,166,375.8,Male
600615,Cycling,29,106,189.3,Female
600616,Yoga,80,82,423.5,Female
600617,Cycling,76,112,565.9,Male
600618,Yoga,45,76,258.5,Male
600619,Swimming,54,138,471.5,Male
600620,Yoga,58,63,251.1,Female
600621,Swimming,36,135,340.6,Female
600622,Running,53,145,544.7,Female
600623,Weightlifting,85,128,664.2,Male
600624,Yoga,74,60,363.8,Female
600625,Swimming,70,140,636.0,Female
600626,Weightlifting,49,127,381.3,Female
600627,Weightlifting,32,125,222.5,Male
600628,Running,69,152,658.5,Female
600629,Running,28,163,289.0,Male
600630,Weightlifting,48,128,425.8,Male
600631,Cycling,51,120,353.7,Male
600632,Swimming,71,154,711.9,Male
600633,Swimming,50,135,380.6,Female
600634,Yoga,38,60,173.5,Male
600635,Cycling,54,131,490.3,Female
600636,Swimming,48,147,510.5,Female
600637,Cycling,22,106,125.8,Male
600638,Yoga,24,60,102.1,Male
600639,Cycling,35,115,222.7,Male
600640,Weightlifting,79,105,577.1,Male
600641,Cycling,32,120,252.3,Male
600642,Running,62,149,645.8,Male
600643,Running,20,174,194.0,Female
600644,Running,89,155,892.2,Male
600645,Weightlifting,34,111,274.4,Male
600646,Swimming,26,156,231.8,Male
600647,Swimming,85,135,771.0,Male
600648,Yoga,55,60,211.8,Male
600649,Yoga,73,82,369.9,Male
600650,Swimming,68,147,644.5,Female
600651,Swimming,42,154,388.1,Female
600652,Cycling,70,117,523.9,Female
600653,Running,29,163,320.6,Male
600654,Cycling,61,119,498.0,Female
600655,Yoga,62,76,328.2,Female
600656,Swimming,40,147,382.4,Female
600657,Cycling,27,118,245.8,Male
600658,Swimming,32,153,322.9,Male
600659,Swimming,49,161,498.8,Female
600660,Cycling,49,121,406.3,Male
600661,Weightlifting,50,115,390.3,Male
600662,Weightlifting,24,130,238.9,Female
600663,Cycling,74,118,548.1,Male
600664,Cycling,64,105,454.1,Male
600665,Swimming,57,161,,Male
600666,Running,88,160,904.8,Female
600667,Cycling,60,109,375.3,Male
600668,Weightlifting,66,134,555.6,Female
600669,Yoga,47,66,142.1,Female
600670,Yoga,27,65,116.8,Female
600671,Yoga,81,64,,Female
600672,Yoga,33,71,133.8,Male
600673,Weightlifting,57,110,414.2,Male
600674,Yoga,65,62,303.0,Female
600675,Running,39,171,443.2,Male
600676,Weightlifting,36,133,,Male
600677,Yoga,61,60,246.0,Male
600678,Running,54,147,458.7,Female
600679,Yoga,73,60,238.2,Male
600680,Running,34,167,397.5,Male
600681,Cycling,83,106,576.5,Male
600682,Yoga,57,60,217.9,Male
600683,Running,71,151,724.7,Female
600684,Swimming,89,161,988.3,Female
600685,Weightlifting,84,134,727.9,Female
600686,Weightlifting,56,106,362.8,Female
600687,Cycling,88,106,606.5,Male
600688,Swimming,84,164,914.7,Male
600689,Cycling,20,108,173.4,Female
600690,Cycling,21,126,170.8,Male
600691,Running,28,170,329.2,Male
600692,Cycling,66,123,569.7,Male
600693,Running,55,174,545.4,Female
600694,Weightlifting,59,119,485.1,Male
600695,Running,65,148,684.2,Male
600696,Cycling,45,120,388.1,Male
600697,Running,53,167,534.3,Male
600698,Cycling,53,128,456.0,Male
600699,Weightlifting,69,110,497.8,Male
600700,Yoga,41,81,212.0,Female
600701,Running,22,165,177.9,Female
600702,Weightlifting,82,119,578.0,Male
600703,Yoga,79,72,388.4,Female
600704,Running,75,153,794.3,Male
600705,Cycling,33,105,260.7,Male
600706,Swimming,28,137,298.7,Female
600707,Yoga,50,79,246.7,Male
600708,Swimming,56,148,520.7,Male
600709,Cycling,84,124,710.4,Male
600710,Yoga,44,70,189.3,Male
600711,Weightlifting,46,115,350.9,Male
600712,Running,28,151,294.9,Male
600713,Cycling,52,132,482.5,Female
600714,Cycling,77,127,635.7,Male
600715,Cycling,20,119,131.4,Male
600716,Cycling,71,119,559.9,Male
600717,Swimming,43,153,440.9,Male
600718,Yoga,50,80,214.8,Female
600719,Weightlifting,36,109,174.4,Male
600720,Running,25,171,255.4,Male
600721,Weightlifting,30,113,204.0,Male
600722,Cycling,33,110,251.7,Male
600723,Cycling,36,107,242.5,Female
600724,Cycling,46,133,380.6,Male
600725,Cycling,57,110,400.1,Female
600726,Weightlifting,59,115,449.5,Male
600727,Running,32,173,378.0,Male
600728,Running,32,146,301.9,Male
600729,Yoga,56,62,239.9,Female
600730,Running,83,149,795.2,Male
600731,Cycling,67,111,494.5,Female
600732,Running,87,150,868.5,Male
600733,Running,79,157,849.9,Male
600734,Weightlifting,72,108,559.8,Male
600735,Weightlifting,33,109,219.2,Male
600736,Weightlifting,55,107,362.1,Female
600737,Weightlifting,22,107,114.9,Male
600738,Yoga,46,69,213.6,Female
600739,Running,42,158,458.2,Female
