EmployeeID,Department,TrainingHours,PreScore,PostScore,PerformanceRating
670324,Support,30,64,90.3,5
670325,HR,8,45,48.9,4
670326,HR,33,52,76.1,3
670327,Engineering,28,72,90.2,3
670328,Support,37,54,84.8,3
670329,Marketing,34,50,77.9,3
670330,Marketing,3,67,64.6,4
670331,Engineering,9,82,92.9,3
670332,Support,22,71,88.2,1
670333,HR,4,80,79.0,4
670334,Sales,26,77,94.2,3
670335,Support,30,69,100.0,3
670336,Marketing,13,77,89.2,1
670337,Support,12,76,89.0,1
670338,Engineering,13,48,60.6,2
670339,Engineering,14,83,87.8,3
670340,HR,9,48,55.1,4
670341,Support,26,56,78.2,4
670342,HR,12,55,73.9,1
670343,HR,39,78,100.0,2
670344,HR,37,45,70.5,3
670345,HR,37,58,91.6,3
670346,Marketing,15,81,92.3,3
670347,Marketing,19,82,100.0,3
670348,Sales,12,59,71.7,5
670349,Marketing,38,74,100.0,3
670350,Marketing,16,45,57.6,4
670351,Sales,15,71,81.0,4
670352,HR,30,73,95.2,4
670353,Sales,23,79,100.0,2
670354,Engineering,22,57,71.4,3
670355,Support,29,75,92.3,3
670356,Support,37,83,100.0,3
670357,Sales,14,72,81.0,3
670358,HR,19,69,89.3,4
670359,Sales,23,46,62.5,2
670360,Engineering,16,78,86.0,4
670361,Support,29,68,85.6,5
670362,Marketing,20,46,58.1,3
670363,Sales,15,82,98.2,3
670364,Engineering,34,62,86.4,4
670365,Support,31,59,79.8,3
670366,Sales,31,68,,4
670367,HR,35,50,74.6,3
670368,Support,36,71,94.1,4
670369,HR,17,58,74.6,3
670370,Sales,30,63,88.7,4
670371,Engineering,18,57,61.8,3
670372,Sales,2,67,72.5,4
670373,HR,33,82,100.0,3
670374,Engineering,9,81,92.0,5
670375,Engineering,9,73,83.2,4
670376,Support,3,66,68.9,5
670377,Marketing,32,67,88.3,3
670378,Support,16,60,70.4,3
670379,HR,13,70,80.5,4
670380,Engineering,21,50,67.1,3
670381,Engineering,38,83,100.0,2
670382,Marketing,21,75,95.0,4
670383,Marketing,30,45,66.4,3
670384,Marketing,23,73,83.3,1
670385,Sales,25,67,76.3,3
670386,HR,26,74,92.2,3
670387,Sales,34,48,78.9,4
670388,Sales,34,48,75.2,5
670389,Support,6,77,81.6,1
670390,HR,27,70,86.6,3
670391,Support,37,56,88.4,5
670392,Sales,19,57,73.9,2
670393,Support,4,49,50.3,3
670394,Sales,15,64,75.5,3
670395,Marketing,2,59,61.3,5
670396,Engineering,13,60,72.0,3
670397,HR,11,57,66.7,4
670398,Engineering,21,57,70.4,3
670399,Support,29,48,75.5,3
670400,HR,35,60,93.8,4
670401,Support,24,80,100.0,3
670402,Support,27,52,73.7,3
670403,Engineering,15,45,53.2,1
670404,Support,30,66,83.8,2
670405,Sales,36,83,100.0,3
670406,Engineering,32,50,76.8,4
670407,HR,14,61,70.8,4
670408,HR,18,59,73.4,3
670409,Support,27,73,96.2,2
670410,Engineering,20,73,87.7,3
670411,Engineering,37,70,100.0,2
670412,Sales,38,76,100.0,4
670413,Marketing,32,71,100.0,2
670414,Engineering,26,55,77.2,3
670415,HR,6,66,64.0,3
670416,Sales,32,67,97.4,4
670417,Sales,2,83,86.3,4
670418,Sales,24,73,97.2,3
670419,Support,18,68,72.7,3
670420,Engineering,18,73,90.6,4
670421,Marketing,16,55,69.4,2
670422,Sales,27,81,96.5,2
670423,Support,22,59,77.3,4
670424,Support,38,72,99.8,3
670425,Sales,39,56,89.8,1
670426,Sales,4,68,71.1,4
670427,Support,15,53,59.9,2
670428,Support,21,60,80.1,4
670429,Engineering,23,45,66.5,4
670430,Sales,11,79,93.1,3
670431,Marketing,25,66,86.7,4
670432,Engineering,29,59,82.2,5
670433,Marketing,29,73,98.6,4
670434,Engineering,31,49,72.9,1
670435,Sales,38,71,100.0,4
670436,Support,39,75,100.0,2
670437,HR,13,72,83.1,2
670438,Marketing,27,69,95.8,4
670439,Marketing,7,63,67.6,4
670440,Marketing,30,49,70.3,1
670441,Engineering,25,55,76.8,2
670442,HR,24,61,72.2,4
670443,Sales,39,79,100.0,3
670444,HR,18,73,92.7,4
670445,Support,4,64,73.7,3
670446,Support,7,68,80.8,3
670447,Engineering,17,60,,2
670448,Sales,10,75,79.9,4
670449,Engineering,20,67,83.9,4
670450,Sales,27,57,79.2,3
670451,Marketing,13,78,92.8,3
670452,Sales,5,69,69.7,2
670453,Engineering,5,51,56.1,4
670454,Marketing,31,78,100.0,4
670455,Engineering,37,84,100.0,2
670456,Marketing,13,81,92.7,3
670457,Support,39,62,93.9,3
670458,Sales,9,65,67.0,4
670459,Sales,25,82,100.0,4
670460,Support,15,71,84.1,3
670461,Marketing,24,54,63.8,4
670462,Sales,25,84,98.6,4
670463,Marketing,8,74,82.5,5
670464,Support,15,61,75.7,3
670465,Sales,23,54,67.8,5
670466,Engineering,13,49,56.3,3
670467,Engineering,34,68,95.3,4
670468,Sales,20,47,66.5,4
670469,HR,29,51,78.4,4
670470,Sales,35,73,100.0,4
670471,Marketing,30,69,97.6,4
670472,Support,38,62,92.3,4
670473,Support,9,62,68.1,4
670474,Marketing,29,45,64.6,2
670475,Support,22,51,69.6,3
670476,Engineering,17,55,61.9,3
670477,Engineering,14,74,83.6,5
670478,Sales,16,48,58.1,2
670479,Engineering,36,72,100.0,5
670480,Marketing,14,65,78.5,2
670481,Sales,6,48,57.2,1
670482,Sales,22,82,100.0,4
670483,Sales,33,83,100.0,3
670484,Marketing,21,62,,3
670485,Support,3,47,45.0,4
670486,Support,35,75,100.0,3
670487,Support,37,66,96.0,2
670488,Support,15,50,63.6,3
670489,Sales,37,72,100.0,4
670490,Marketing,2,47,51.8,3
670491,Engineering,3,76,79.3,4
670492,Marketing,8,74,81.1,4
670493,Engineering,33,73,100.0,3
670494,Engineering,37,82,100.0,4
670495,Support,35,64,86.3,4
670496,HR,28,74,86.2,3
670497,Engineering,10,73,87.9,3
670498,Engineering,22,68,83.3,3
670499,Support,20,61,73.2,3
670500,Sales,13,61,71.1,2
670501,HR,14,71,78.1,3
670502,HR,19,77,88.3,2
670503,Engineering,6,66,74.2,3
670504,Sales,26,46,66.3,2
670505,HR,10,57,65.3,3
670506,Engineering,19,52,73.3,3
670507,Support,34,51,83.0,2
670508,Marketing,19,74,91.7,3
670509,Sales,19,59,73.5,4
670510,Marketing,12,75,81.1,2
670511,Marketing,5,63,65.6,3
670512,Marketing,27,75,100.0,4
670513,Marketing,24,62,81.2,3
670514,Engineering,22,80,98.8,2
670515,Engineering,28,68,98.0,2
670516,Support,14,51,60.9,5
670517,Engineering,38,64,93.4,4
670518,Support,6,58,61.5,4
670519,Sales,33,80,100.0,1
670520,Support,18,48,62.3,3
670521,Support,25,46,68.5,3
670522,Support,8,52,54.8,1
670523,Sales,36,58,86.5,3
670524,Engineering,27,69,93.4,4
670525,Marketing,34,54,77.9,3
670526,Engineering,37,78,100.0,5
670527,Sales,14,75,87.1,5
670528,Sales,30,54,79.9,4
670529,HR,17,60,73.5,4
670530,Sales,32,75,98.0,4
670531,HR,29,80,100.0,3
670532,HR,2,45,45.0,1
670533,HR,23,63,77.0,3
670534,HR,3,46,45.4,4
670535,HR,15,62,76.5,4
670536,HR,35,66,88.8,3
670537,Support,24,63,85.7,5
670538,Support,29,64,87.3,3
670539,Support,26,46,68.6,3
670540,Engineering,5,48,56.0,4
670541,Sales,12,76,80.6,3
670542,HR,7,63,71.4,4
670543,Marketing,24,79,100.0,5
670544,HR,26,76,95.8,2
670545,Marketing,17,53,65.9,3
670546,HR,8,45,50.7,1
670547,Marketing,35,56,84.6,3
670548,Support,22,60,76.8,5
670549,Marketing,13,47,60.7,4
670550,Sales,36,57,87.3,4
670551,Sales,13,57,71.4,5
670552,Marketing,12,45,55.4,3
670553,HR,38,57,82.8,3
670554,HR,14,57,71.1,5
670555,Sales,34,67,92.0,3
670556,HR,29,76,,4
670557,Marketing,8,80,84.1,3
670558,Support,21,60,80.7,4
670559,Marketing,39,58,91.2,1
670560,Support,15,76,83.7,5
670561,HR,22,52,67.7,4
670562,Marketing,3,77,82.3,3
670563,HR,5,49,46.8,4
670564,Support,24,82,100.0,3
670565,Marketing,7,76,75.4,3
670566,Engineering,38,57,84.5,3
670567,HR,37,59,86.9,2
670568,Support,5,47,51.1,2
670569,Support,17,79,94.6,4
670570,Sales,27,64,86.4,2
670571,Engineering,7,64,69.7,5
670572,Marketing,31,59,82.9,3
670573,Engineering,2,65,70.5,4
670574,Engineering,23,78,98.6,1
670575,Engineering,20,45,64.5,3
670576,Engineering,20,63,82.0,4
670577,Sales,3,58,60.1,4
670578,Support,29,76,100.0,4
670579,Engineering,22,76,97.8,5
670580,Engineering,15,62,75.1,4
670581,Sales,23,61,84.6,5
670582,Sales,39,66,94.7,3
670583,Sales,3,49,48.2,2
670584,Support,2,81,78.5,3
670585,Marketing,11,76,92.6,3
670586,Marketing,6,78,87.9,4
670587,HR,3,67,69.6,4
670588,HR,33,82,100.0,3
670589,HR,31,63,85.5,1
670590,Marketing,17,63,82.5,3
670591,Sales,9,81,88.3,3
670592,HR,8,57,64.8,3
670593,Sales,13,64,73.4,2
670594,Engineering,39,56,86.2,3
670595,Sales,34,46,69.9,4
670596,HR,17,82,96.0,2
670597,HR,25,48,65.5,4
670598,Support,33,72,100.0,3
670599,Engineering,5,45,45.0,2
670600,HR,3,83,86.4,4
670601,Engineering,8,48,48.4,4
670602,Sales,37,63,81.2,3
670603,Marketing,37,70,99.2,2
670604,Engineering,6,66,68.4,4
670605,HR,34,84,100.0,5
670606,Sales,20,55,67.8,3
670607,Support,33,54,79.3,5
670608,Support,34,79,100.0,1
670609,Marketing,39,80,100.0,3
670610,HR,26,82,100.0,3
670611,Support,11,65,74.7,2
670612,Sales,36,80,100.0,4
670613,Support,4,63,70.4,2
670614,Engineering,15,70,81.8,3
670615,Support,6,56,57.1,3
670616,Support,37,78,99.9,3
670617,Sales,15,74,83.2,3
670618,Engineering,6,63,67.4,3
670619,Sales,36,72,99.1,2
670620,Marketing,20,84,100.0,3
670621,Marketing,22,55,70.9,3
670622,Marketing,5,65,68.8,3
670623,Engineering,28,49,60.5,3
670624,Engineering,3,78,75.1,4
670625,HR,31,47,78.0,3
670626,Marketing,22,78,95.9,2
670627,Sales,24,73,93.7,1
670628,HR,30,66,92.4,3
670629,Engineering,32,84,100.0,3
670630,HR,17,81,96.3,3
670631,Sales,9,63,80.8,4
670632,Sales,10,46,54.1,3
670633,Engineering,14,76,86.8,3
670634,Engineering,8,47,57.3,2
670635,Marketing,31,48,73.9,1
670636,Sales,29,51,82.0,3
670637,Marketing,18,48,64.3,4
670638,Sales,15,70,73.2,3
670639,Support,17,53,63.6,4
670640,Engineering,38,75,100.0,3
670641,Marketing,7,63,68.2,4
670642,Marketing,15,80,87.2,3
670643,HR,38,79,100.0,3
670644,Sales,13,55,66.2,3
670645,Sales,4,72,70.1,2
670646,Sales,20,73,88.2,5
670647,Support,6,47,48.6,3
670648,HR,18,63,85.4,1
670649,Support,9,52,57.7,3
670650,Support,27,76,100.0,3
670651,Sales,2,54,59.5,2
670652,HR,29,48,67.0,3
670653,Support,21,81,90.2,2
670654,Sales,10,68,68.7,3
670655,HR,20,81,98.4,4
670656,Marketing,33,65,86.7,4
670657,Marketing,31,53,76.6,2
670658,Marketing,39,79,100.0,3
670659,Sales,30,78,100.0,5
670660,Sales,27,60,78.3,4
670661,Sales,7,80,88.9,3
670662,Marketing,29,65,86.5,3
670663,HR,21,67,90.0,4
670664,Engineering,13,53,65.5,5
670665,Support,30,70,95.4,3
670666,Marketing,26,45,63.8,2
670667,Sales,16,59,69.9,3
670668,HR,19,61,75.8,4
670669,HR,37,82,100.0,1
670670,Sales,39,47,84.5,4
670671,Support,3,75,78.0,3
670672,Sales,20,59,73.1,3
670673,HR,5,50,57.3,4
670674,Support,39,69,98.4,3
670675,Engineering,34,63,86.1,4
670676,Support,22,67,90.8,5
670677,Sales,32,56,80.4,2
670678,Marketing,34,48,73.8,3
670679,Support,13,69,84.9,4
670680,Sales,15,56,69.1,2
670681,Support,5,50,57.2,1
670682,Marketing,23,60,75.8,3
670683,Sales,32,83,100.0,3
670684,Sales,16,50,62.7,5
670685,Sales,32,49,74.8,4
670686,Marketing,30,75,100.0,3
670687,Engineering,18,57,77.5,5
670688,HR,37,50,72.6,3
670689,Marketing,2,49,50.6,3
670690,Marketing,38,83,100.0,4
670691,Support,18,54,70.9,3
670692,Sales,34,58,89.6,3
670693,Marketing,14,56,70.8,4
670694,Engineering,36,60,88.2,4
670695,Support,16,49,54.3,3
670696,Engineering,17,50,62.2,5
670697,Sales,6,52,57.6,3
670698,Support,8,76,90.9,3
670699,Marketing,32,64,90.7,3
670700,Engineering,3,81,82.6,4
670701,Sales,20,55,66.4,3
670702,HR,25,59,77.5,4
670703,Marketing,18,67,75.6,3
670704,Support,35,76,99.5,3
670705,Support,15,82,96.8,3
670706,Engineering,29,59,86.6,3
670707,Engineering,21,51,67.0,1
670708,Marketing,12,55,63.6,2
670709,Support,25,58,86.8,4
670710,Marketing,28,55,81.5,4
670711,Support,29,75,100.0,3
670712,Marketing,35,69,99.9,4
670713,HR,15,45,63.1,4
670714,Marketing,12,75,86.6,3
670715,Engineering,30,62,88.1,5
670716,Engineering,22,49,62.0,3
670717,Marketing,12,80,94.1,4
670718,Marketing,7,56,62.6,2
670719,Sales,30,75,97.9,4
670720,Support,5,74,72.2,3
670721,Engineering,7,72,78.5,4
670722,Sales,5,48,53.4,3
670723,HR,36,46,80.4,3
670724,Sales,13,65,73.9,2
670725,Marketing,4,73,81.4,3
670726,HR,18,70,77.6,4
670727,Marketing,21,74,90.2,2
670728,Engineering,16,47,57.4,4
670729,Support,9,45,53.6,4
670730,Engineering,12,72,87.7,2
670731,Support,22,57,76.8,2
670732,Sales,24,82,96.9,2
670733,Support,35,73,98.8,2
670734,Sales,31,73,99.7,4
670735,HR,36,47,80.3,5
670736,Engineering,25,74,95.8,5
670737,Support,20,75,89.2,4
670738,Engineering,25,63,83.6,1
670739,Engineering,20,65,75.4,4
670740,Support,14,60,67.6,4
670741,Marketing,39,83,100.0,4
670742,Support,39,68,98.2,4
670743,Sales,30,61,84.7,4
670744,HR,37,53,82.2,3
670745,HR,27,78,99.8,2
670746,Sales,11,76,87.3,4
670747,Sales,26,60,82.7,3
670748,Support,14,62,72.3,4
670749,Engineering,13,45,59.3,5
670750,Marketing,11,67,73.8,5
670751,Engineering,2,63,65.4,3
670752,Engineering,22,52,70.0,4
670753,Marketing,36,45,79.5,5
670754,Engineering,14,57,71.1,4
670755,HR,10,82,90.0,4
670756,Sales,28,67,82.3,4
670757,Support,20,71,82.3,3
670758,Support,27,76,100.0,4
670759,Engineering,11,45,51.7,3
670760,Support,35,55,86.8,5
670761,Support,20,49,60.9,4
670762,Sales,19,72,89.3,3
670763,HR,32,46,62.7,3
670764,HR,23,61,81.5,5
670765,Marketing,20,63,77.8,4
670766,Engineering,20,84,100.0,5
670767,Support,10,77,85.4,4
670768,Support,28,53,73.0,3
670769,HR,39,78,100.0,3
670770,Support,2,54,53.6,4
670771,HR,2,64,73.1,2
670772,HR,9,45,53.3,2
670773,Engineering,3,60,61.6,4
670774,Engineering,5,51,52.2,3
670775,HR,33,72,99.4,2
670776,Engineering,13,71,84.7,3
670777,Engineering,13,73,85.4,4
670778,Sales,13,51,65.7,2
670779,Support,16,68,85.3,5
670780,HR,3,70,68.3,4
670781,Support,12,64,66.1,4
670782,Sales,20,53,59.9,1
670783,Support,22,76,95.7,2
670784,Marketing,10,51,63.5,3
670785,HR,25,49,66.0,3
670786,Engineering,24,45,68.0,5
670787,Marketing,18,63,64.9,3
670788,Sales,8,56,58.3,3
670789,Marketing,8,82,86.4,3
670790,Marketing,39,57,87.3,3
670791,Engineering,7,76,85.0,3
670792,Marketing,32,65,88.4,4
670793,Support,39,52,80.2,2
670794,HR,16,49,68.7,3
670795,HR,22,59,71.1,2
670796,Sales,21,61,81.7,3
670797,Engineering,3,72,70.8,3
670798,Engineering,20,65,85.4,4
670799,Support,18,67,80.3,2
670800,Marketing,38,82,100.0,3
670801,Marketing,15,67,77.6,3
670802,Support,24,67,,2
670803,Sales,18,78,82.2,4
670804,Engineering,15,55,73.1,3
670805,HR,7,62,69.0,3
670806,HR,15,71,85.8,4
670807,HR,9,59,64.9,4
670808,HR,5,57,63.5,2
670809,Marketing,21,77,96.5,4
670810,Support,15,63,73.0,2
670811,Engineering,6,53,58.2,4
670812,Engineering,15,70,84.5,3
670813,HR,16,57,72.8,2
670814,Support,22,64,75.9,4
670815,Engineering,30,54,83.8,4
670816,Sales,17,63,74.9,3
670817,Sales,15,51,53.3,3
670818,Marketing,8,72,76.7,5
670819,HR,10,48,56.3,4
670820,Sales,13,50,65.2,3
670821,Engineering,29,68,82.7,5
670822,Marketing,38,62,89.3,3
