PanelID,DaysWithoutRain,DustDensityScore,AmbientTemp,PowerOutput_kWh,EfficiencyDrop_Percent
1520127,85.7,6.9,30.3,301.1,65.8
1520128,114.2,6.2,12.2,234.5,46.2
1520129,94.8,10.0,15.1,322.8,8.6
1520130,134.5,4.1,24.1,167.5,29.7
1520131,97.0,6.2,11.0,225.1,27.3
1520132,118.4,7.1,17.6,201.1,40.0
1520133,94.8,,9.1,383.3,39.9
1520134,98.5,7.9,11.4,179.4,57.4
1520135,137.2,7.9,25.3,386.0,45.6
1520136,129.7,6.4,25.8,161.1,42.2
1520137,124.1,6.8,28.7,307.2,23.9
1520138,88.3,7.4,22.2,343.6,58.4
1520139,67.9,6.1,16.0,287.3,15.0
1520140,96.1,6.7,20.2,258.3,28.9
1520141,68.9,8.0,20.3,253.8,53.7
1520142,82.2,5.0,26.2,249.8,59.3
1520143,53.8,7.4,14.0,310.7,52.8
1520144,127.9,4.9,20.0,165.2,42.4
1520145,45.9,8.0,15.4,194.5,50.5
1520146,75.3,6.5,22.5,267.2,55.5
1520147,129.1,6.9,17.4,391.8,45.3
1520148,74.2,6.8,16.5,169.4,36.5
1520149,113.3,2.5,17.5,336.1,50.8
1520150,101.6,,31.9,425.9,61.3
1520151,102.2,6.2,13.1,237.9,62.7
1520152,89.7,4.8,23.6,188.6,47.0
1520153,73.2,6.3,11.2,265.2,27.9
1520154,56.3,9.4,15.6,302.9,62.6
1520155,98.6,5.3,25.4,76.1,42.6
1520156,89.7,6.7,3.0,214.3,40.3
1520157,77.7,8.6,-1.1,266.1,61.8
1520158,89.3,9.3,6.8,341.9,31.7
1520159,111.5,8.0,10.5,327.7,36.6
1520160,87.5,5.8,12.7,88.7,42.8
1520161,94.3,7.4,6.6,296.8,56.5
1520162,149.9,8.0,27.2,237.7,50.2
1520163,85.6,7.5,32.7,295.4,32.2
1520164,82.4,4.1,21.1,77.8,50.0
1520165,110.6,7.3,9.4,268.3,36.5
1520166,94.1,7.3,32.8,254.2,39.0
1520167,105.5,6.0,28.4,233.6,45.1
1520168,104.6,8.7,18.1,104.5,53.5
1520169,94.9,8.2,34.4,311.4,39.6
1520170,95.8,7.6,3.1,175.1,28.7
1520171,86.2,9.1,13.9,302.1,16.1
1520172,103.2,6.1,12.3,147.9,53.3
1520173,72.2,5.1,16.6,242.7,52.9
1520174,90.7,7.2,30.4,196.4,17.5
1520175,80.9,6.5,3.1,363.7,39.7
1520176,111.6,8.3,16.5,135.6,50.1
1520177,132.6,7.1,11.4,345.9,45.5
1520178,97.7,7.7,18.1,314.7,32.3
1520179,125.8,9.6,15.1,215.3,54.8
1520180,130.6,2.0,16.1,222.4,23.1
1520181,54.0,9.4,18.6,237.8,30.6
1520182,80.2,5.2,18.5,184.3,42.3
1520183,131.5,7.5,7.5,234.5,52.2
1520184,26.2,9.2,10.1,256.1,34.0
1520185,116.3,4.1,11.0,127.2,46.7
1520186,56.8,8.6,7.9,335.5,61.7
1520187,67.3,6.8,13.2,207.3,25.5
1520188,125.6,6.4,14.3,210.1,61.2
1520189,66.7,7.4,31.5,189.5,43.6
1520190,127.3,7.5,20.8,96.5,53.7
1520191,105.4,8.7,21.5,118.5,36.7
1520192,95.1,8.5,18.0,248.2,63.0
1520193,58.0,8.2,17.4,274.4,67.8
1520194,105.7,7.1,15.4,277.5,35.5
1520195,79.1,7.5,14.2,360.4,50.8
1520196,72.6,6.9,21.7,222.9,24.5
1520197,134.0,8.7,4.1,177.8,26.0
1520198,72.9,7.1,28.2,276.4,42.6
1520199,97.2,7.6,12.3,347.8,38.8
1520200,84.5,7.7,28.4,224.5,32.6
1520201,78.6,5.8,27.3,256.5,12.9
1520202,65.9,7.2,15.5,168.8,33.1
1520203,108.3,8.6,21.5,78.2,55.7
1520204,135.3,,21.5,138.6,39.1
1520205,84.1,,26.3,140.3,22.8
1520206,95.9,3.9,16.4,328.3,45.6
1520207,110.4,7.1,14.5,106.6,34.1
1520208,98.0,7.3,28.9,140.9,49.6
1520209,112.6,7.9,23.8,328.7,31.2
1520210,90.3,7.1,19.4,176.9,42.6
1520211,127.2,6.5,15.2,165.1,23.4
1520212,101.7,7.6,13.4,189.3,47.6
1520213,101.0,7.1,20.2,129.0,86.8
1520214,82.0,7.4,18.2,206.2,31.2
1520215,82.1,7.0,3.0,304.3,38.5
1520216,154.5,6.7,34.4,385.1,22.0
1520217,113.2,9.1,20.8,274.4,39.1
1520218,111.2,8.5,29.2,392.2,19.4
1520219,93.5,8.5,18.7,200.4,56.9
1520220,102.3,4.2,14.8,247.5,59.5
1520221,96.8,8.1,16.4,225.3,48.7
1520222,110.7,8.4,21.9,200.7,68.3
1520223,121.5,6.2,15.0,349.6,47.3
1520224,86.8,8.4,28.3,266.1,47.0
1520225,97.0,6.5,11.4,228.1,47.7
1520226,88.8,6.6,6.5,187.6,58.5
1520227,109.1,4.1,-4.9,244.8,42.3
1520228,95.5,5.3,24.3,209.0,68.8
1520229,82.2,7.4,7.5,319.9,56.5
1520230,98.5,6.9,4.0,204.4,37.8
1520231,103.7,4.5,20.2,355.1,44.9
1520232,39.7,6.2,11.9,116.5,74.4
1520233,53.3,6.0,10.2,221.8,34.6
1520234,64.3,8.4,18.9,246.6,53.1
1520235,83.6,6.7,13.7,180.0,33.0
1520236,124.4,5.6,13.0,163.6,49.0
1520237,92.2,8.4,16.9,277.2,21.2
1520238,120.5,7.9,33.7,158.4,38.7
1520239,116.0,7.6,15.1,118.3,15.5
1520240,77.4,10.0,10.6,156.1,32.8
1520241,48.2,6.5,24.9,88.9,49.6
1520242,68.1,8.1,11.8,343.6,56.3
1520243,86.1,10.0,14.0,269.8,51.8
1520244,117.3,9.2,26.6,95.0,35.4
1520245,93.3,5.7,8.2,178.2,59.1
1520246,80.6,9.1,15.5,216.4,66.7
1520247,122.2,9.1,15.8,313.6,74.3
1520248,84.4,8.0,2.6,143.3,72.5
1520249,93.1,5.3,17.2,102.9,58.4
1520250,123.9,2.1,15.7,183.4,47.1
1520251,76.0,9.2,15.9,376.5,35.4
1520252,89.2,6.7,-2.0,334.6,39.1
1520253,116.7,10.0,5.8,259.5,45.1
1520254,101.8,5.5,22.4,179.9,27.7
1520255,83.3,7.7,-0.6,221.8,20.9
1520256,91.5,7.6,20.4,400.7,61.7
1520257,110.0,6.6,11.4,170.1,39.1
1520258,74.2,6.0,2.5,258.5,57.7
1520259,70.1,6.7,22.4,170.4,47.9
1520260,113.0,7.5,9.5,267.2,34.2
1520261,87.6,7.8,20.2,173.2,56.4
1520262,60.7,6.8,22.6,328.7,39.7
1520263,94.3,10.0,11.8,247.9,44.9
1520264,83.4,4.0,22.8,292.6,31.6
1520265,87.4,6.6,25.0,307.2,24.8
1520266,92.8,7.9,20.4,270.1,55.2
1520267,66.6,8.1,29.7,308.3,51.1
1520268,101.2,9.3,29.6,268.4,60.0
1520269,117.6,7.1,18.6,245.8,44.2
1520270,117.0,4.9,7.1,165.4,61.0
1520271,80.7,8.3,8.6,264.5,51.2
1520272,83.6,6.4,13.8,215.6,64.5
1520273,72.9,4.3,7.2,338.3,52.4
1520274,82.5,10.0,16.5,162.3,56.5
1520275,141.9,5.3,19.1,209.2,42.6
1520276,105.8,10.0,18.6,290.6,29.3
1520277,118.8,7.3,7.8,220.9,45.4
1520278,117.4,6.1,14.2,248.3,40.3
1520279,143.4,4.5,13.3,286.6,22.6
1520280,71.9,7.0,16.6,109.5,34.9
1520281,42.5,8.7,9.9,188.9,58.8
1520282,103.8,8.2,38.3,105.9,32.8
1520283,25.8,10.0,17.3,291.1,49.9
1520284,97.1,7.9,22.0,359.9,59.2
1520285,90.4,7.4,21.6,199.7,40.7
1520286,83.0,9.2,4.1,123.3,60.6
1520287,108.0,6.4,22.0,279.7,43.3
1520288,89.6,6.5,3.5,434.2,39.0
1520289,87.2,9.1,20.1,244.2,36.1
1520290,73.0,9.5,12.7,217.9,50.3
1520291,122.9,7.4,13.1,306.7,43.8
1520292,111.8,7.0,18.7,212.0,39.0
1520293,88.8,8.4,16.8,222.7,59.9
1520294,108.8,6.3,27.1,363.2,44.0
1520295,116.8,9.1,9.4,266.0,7.7
1520296,115.8,8.0,24.3,138.8,47.9
1520297,63.6,9.8,18.6,395.0,38.6
1520298,89.5,8.6,30.0,339.1,52.2
1520299,94.1,6.4,23.0,87.7,22.9
1520300,85.5,8.9,10.1,275.1,15.4
1520301,117.0,8.5,26.6,259.2,82.5
1520302,120.5,8.4,13.1,336.0,66.9
1520303,96.8,7.4,13.9,358.9,28.9
1520304,87.6,6.1,7.4,222.2,60.8
1520305,105.1,5.7,16.6,258.2,16.1
1520306,78.5,6.0,24.7,238.7,50.8
1520307,103.0,4.4,13.4,264.8,52.5
1520308,101.0,9.3,25.0,174.3,53.7
1520309,104.4,6.2,17.7,368.1,39.7
1520310,99.9,6.3,17.9,235.8,67.1
1520311,119.2,7.9,26.9,254.7,22.4
1520312,113.7,7.1,20.2,251.6,49.7
1520313,136.9,7.5,13.0,293.4,57.5
1520314,107.3,4.3,20.9,144.2,60.4
1520315,119.2,7.7,8.0,227.4,19.8
1520316,83.8,6.6,25.9,286.8,40.4
1520317,138.2,10.0,19.6,233.9,35.7
1520318,81.9,6.7,17.3,159.2,31.9
1520319,109.0,6.6,32.6,228.1,39.9
1520320,112.4,7.7,6.5,298.2,58.5
1520321,79.8,5.8,31.8,108.5,36.4
1520322,115.1,8.0,5.9,269.3,41.2
1520323,99.0,6.3,15.9,251.2,35.0
1520324,110.2,6.5,20.1,94.2,35.2
1520325,67.0,9.0,-5.6,252.1,43.6
1520326,72.5,10.0,6.4,361.4,29.6
1520327,89.7,9.4,24.1,37.9,40.8
1520328,145.6,2.9,20.6,257.6,32.4
1520329,86.1,6.4,11.1,178.5,31.1
1520330,133.6,5.6,31.9,233.0,46.1
1520331,130.0,8.8,18.2,311.4,14.9
1520332,155.3,8.0,21.9,274.1,35.0
1520333,141.4,6.5,24.3,300.6,31.5
1520334,119.0,8.1,11.1,268.3,40.7
1520335,66.9,,20.4,265.1,33.0
1520336,82.9,7.8,13.5,162.2,57.0
1520337,107.6,9.1,24.4,304.3,64.6
1520338,133.5,6.4,19.3,296.4,14.2
1520339,88.3,7.9,38.0,264.0,59.3
1520340,126.4,8.0,29.1,183.1,44.9
1520341,115.9,10.0,37.6,162.8,43.0
1520342,113.5,6.9,24.9,257.4,66.2
1520343,126.0,6.8,19.2,148.3,54.1
1520344,122.1,4.9,19.2,176.5,36.4
1520345,66.7,6.7,13.3,295.8,46.0
1520346,96.4,5.1,30.4,246.7,54.2
1520347,116.5,6.8,24.1,176.9,40.3
1520348,70.0,5.8,15.8,219.0,63.2
1520349,121.0,6.2,16.4,195.6,50.4
1520350,82.5,6.8,12.4,361.1,64.2
1520351,119.8,8.3,31.0,289.2,40.4
1520352,133.2,10.0,12.5,403.2,24.9
1520353,95.8,7.1,11.6,248.1,72.0
1520354,114.5,6.8,29.3,171.0,21.8
1520355,95.4,7.1,40.0,263.6,28.2
1520356,84.2,8.4,25.4,211.9,40.6
1520357,88.8,7.4,12.4,239.9,35.2
1520358,87.4,5.8,3.9,272.1,48.6
1520359,102.8,9.2,19.5,176.5,23.6
1520360,113.2,9.0,22.2,328.1,57.0
1520361,93.1,7.0,19.1,297.8,86.2
1520362,98.3,6.2,24.8,341.6,41.1
1520363,84.4,6.5,29.8,227.5,68.4
1520364,80.2,9.4,21.8,272.8,59.2
1520365,114.5,8.1,24.5,277.5,67.1
1520366,112.8,5.7,26.9,186.9,54.8
1520367,80.4,4.2,26.8,224.2,47.2
1520368,103.3,7.7,6.0,222.6,54.1
1520369,156.5,5.0,12.0,183.8,53.3
1520370,102.7,6.8,11.0,216.8,40.7
1520371,105.1,6.8,23.9,177.2,49.6
1520372,77.7,7.7,21.6,164.0,34.5
1520373,108.0,6.1,13.1,119.8,43.9
1520374,47.3,9.3,15.5,100.6,49.2
1520375,90.2,5.7,9.3,287.6,65.7
1520376,92.8,7.1,13.5,190.6,54.9
1520377,98.4,6.5,14.1,196.8,57.8
1520378,86.9,7.7,21.9,147.1,57.9
1520379,106.4,5.0,24.1,255.9,47.4
1520380,72.0,9.6,18.2,268.0,42.6
1520381,110.1,4.9,24.9,117.7,31.7
1520382,148.5,6.5,23.0,283.0,66.9
1520383,102.5,6.6,23.7,252.0,58.4
1520384,105.3,7.1,22.3,294.0,35.1
1520385,64.0,6.0,15.2,193.6,45.9
1520386,48.8,6.3,20.7,391.4,36.1
1520387,106.2,7.7,18.1,239.6,69.2
1520388,142.6,,7.3,107.3,8.2
1520389,115.4,6.3,17.9,273.1,13.1
1520390,104.8,8.6,12.4,416.9,33.8
1520391,138.0,6.5,38.9,139.3,68.2
1520392,90.8,5.9,14.9,168.1,31.6
1520393,49.6,9.1,12.2,360.7,32.6
1520394,105.9,6.1,33.7,204.5,40.2
1520395,79.6,6.5,22.8,135.0,66.4
1520396,76.1,7.1,26.1,353.9,40.2
1520397,71.7,6.9,32.7,164.8,43.3
1520398,83.4,7.0,16.2,223.9,83.7
1520399,115.5,5.6,9.8,332.6,28.4
1520400,100.3,10.0,29.3,213.1,45.3
1520401,131.5,7.7,24.9,232.2,42.2
1520402,112.4,7.3,32.8,144.2,55.2
1520403,74.1,6.0,22.1,319.9,34.8
1520404,96.4,6.0,22.3,382.6,30.7
1520405,112.0,4.3,15.3,349.7,46.4
1520406,50.1,9.0,19.6,357.0,69.6
1520407,95.1,6.3,21.1,397.3,65.7
1520408,87.3,4.1,9.7,240.5,45.7
1520409,124.5,3.8,0.4,194.9,54.4
1520410,135.9,6.9,23.5,215.6,24.4
1520411,123.6,7.9,18.2,208.0,30.5
1520412,117.0,8.4,23.5,137.8,40.1
1520413,103.3,7.7,13.8,128.9,43.3
1520414,107.9,7.3,17.7,305.8,39.8
1520415,113.6,6.7,10.9,41.5,74.4
1520416,123.5,5.4,22.0,287.0,46.9
1520417,83.4,7.6,9.9,290.8,57.9
1520418,35.3,9.1,26.4,233.4,32.4
1520419,103.5,6.5,18.5,180.8,34.3
1520420,117.7,7.6,19.4,337.4,46.2
1520421,98.6,8.0,21.2,190.0,31.1
1520422,123.2,6.8,10.0,312.2,52.4
1520423,77.1,7.9,12.4,195.9,47.3
1520424,132.8,9.1,15.1,288.3,60.0
1520425,69.4,7.1,18.9,376.9,84.8
1520426,80.7,4.4,19.9,212.7,66.4
1520427,99.1,4.4,4.4,297.1,16.4
1520428,114.1,7.1,24.6,155.5,30.3
1520429,94.6,7.5,16.2,211.3,44.1
1520430,107.7,7.2,33.6,254.3,30.2
1520431,76.4,9.0,13.9,311.8,26.0
1520432,105.7,9.2,5.8,345.7,36.9
1520433,113.9,4.1,19.9,294.5,30.0
1520434,125.9,9.9,14.2,359.4,75.2
1520435,132.5,8.5,11.9,271.0,33.4
1520436,102.1,5.7,29.0,173.3,55.1
1520437,101.3,8.2,16.6,294.9,60.2
1520438,65.6,5.7,21.9,307.6,40.8
1520439,97.1,8.9,25.7,200.4,51.3
1520440,110.3,7.8,19.9,125.3,48.1
1520441,98.6,7.9,17.8,264.0,44.8
1520442,43.7,7.5,5.2,308.4,60.8
1520443,103.4,7.1,13.4,328.3,13.6
1520444,115.4,6.3,20.2,244.6,26.6
1520445,123.5,10.0,20.5,163.5,33.4
1520446,118.3,6.2,15.4,168.6,71.6
1520447,89.5,10.0,22.6,163.6,56.9
1520448,125.4,7.9,19.3,216.0,18.3
1520449,113.6,8.3,22.6,171.9,35.8
1520450,97.5,8.6,22.7,211.4,56.8
1520451,120.4,6.8,37.3,245.5,33.7
1520452,41.5,8.3,29.4,210.1,66.4
1520453,104.5,5.5,4.0,322.4,46.5
1520454,114.6,6.9,22.2,289.1,56.4
1520455,129.8,8.3,8.6,76.8,65.3
1520456,128.3,4.2,17.9,172.1,38.1
1520457,120.6,6.7,3.8,251.3,24.5
1520458,71.1,6.9,40.0,253.8,72.5
1520459,115.0,4.9,15.0,184.3,52.1
1520460,128.6,5.9,34.4,125.8,41.6
1520461,53.0,7.3,20.2,267.5,51.6
1520462,131.5,8.0,19.9,150.2,57.7
1520463,77.7,7.9,28.2,233.5,31.9
1520464,38.6,6.7,19.2,269.0,75.6
1520465,116.1,8.5,13.0,285.6,44.7
1520466,96.7,9.1,29.1,176.9,64.9
1520467,106.5,5.5,16.7,66.9,39.4
1520468,104.0,6.9,13.9,227.4,27.6
1520469,74.0,4.1,1.7,399.4,45.5
1520470,97.6,4.2,19.6,203.3,30.0
1520471,85.1,6.4,18.7,137.0,31.5
1520472,80.8,7.4,10.2,345.4,28.8
1520473,86.2,9.1,6.6,273.1,33.8
1520474,124.3,7.7,28.8,296.5,63.2
1520475,110.8,6.6,25.9,328.8,57.8
1520476,107.4,8.0,27.3,323.7,28.0
1520477,78.7,6.6,20.7,341.1,50.2
1520478,65.7,,5.7,92.4,49.6
1520479,135.6,7.9,35.3,429.6,61.2
1520480,73.2,5.1,17.2,364.2,63.3
1520481,103.8,7.8,21.6,314.4,52.3
1520482,77.3,7.3,26.8,128.2,31.0
1520483,91.8,5.8,32.8,285.9,56.4
1520484,51.6,8.2,18.6,306.8,60.6
1520485,112.7,6.5,29.8,335.5,31.5
1520486,93.8,8.1,16.9,283.4,35.0
1520487,94.2,7.3,9.2,281.6,61.8
1520488,105.2,6.2,22.5,326.8,55.6
1520489,137.6,5.3,28.2,347.3,30.6
1520490,104.3,6.9,9.3,278.6,60.0
1520491,74.3,7.2,13.7,172.3,32.5
1520492,55.3,9.5,25.1,235.4,74.2
1520493,83.4,6.1,28.7,221.7,49.5
1520494,92.8,5.3,17.6,458.3,45.5
1520495,105.7,5.7,4.6,285.4,33.1
1520496,83.6,7.8,27.5,100.6,65.7
1520497,66.1,8.0,9.2,159.5,38.1
1520498,125.6,5.1,30.1,208.0,30.8
1520499,117.5,7.2,6.0,210.7,45.4
1520500,87.0,6.6,18.7,241.2,41.2
1520501,113.7,7.1,30.0,149.6,52.5
1520502,104.1,8.2,0.5,348.9,58.6
1520503,71.4,5.8,4.8,294.5,31.7
1520504,81.2,8.6,27.7,318.6,36.3
1520505,132.0,8.1,23.4,179.3,44.2
1520506,94.0,9.8,26.8,293.8,47.4
1520507,96.7,5.6,14.1,207.3,72.4
1520508,101.3,9.8,16.4,263.9,32.5
1520509,113.8,9.1,16.4,245.8,33.5
1520510,117.5,7.1,7.9,158.7,28.8
1520511,126.7,8.2,27.8,246.1,78.8
1520512,75.9,7.1,36.3,234.5,46.9
1520513,123.0,4.4,22.5,294.7,66.9
1520514,94.2,6.1,19.6,307.2,60.4
1520515,57.9,5.6,13.9,220.1,35.6
1520516,125.0,7.2,12.3,125.9,39.6
1520517,139.1,8.4,17.5,220.4,20.1
1520518,92.7,9.2,20.2,289.8,52.5
1520519,99.1,8.8,9.0,139.5,43.7
1520520,140.9,8.1,11.7,294.3,27.7
1520521,48.8,9.1,24.4,289.9,53.8
1520522,88.8,7.8,4.1,299.3,73.7
1520523,124.8,8.0,15.5,272.5,19.3
1520524,111.0,8.3,15.7,212.2,17.2
1520525,94.5,9.2,25.4,218.2,20.1
1520526,106.8,6.0,17.3,233.4,30.7
1520527,88.1,9.2,16.4,176.4,25.1
1520528,97.8,5.7,13.4,262.2,48.5
1520529,101.9,7.9,18.0,265.9,23.5
1520530,94.4,8.6,24.6,328.7,14.0
1520531,157.5,8.0,32.1,157.6,53.4
1520532,135.4,4.7,18.2,271.5,30.4
1520533,56.8,9.0,4.6,272.0,35.4
1520534,100.1,6.4,13.4,347.4,58.3
1520535,63.9,5.3,26.1,396.4,30.6
1520536,68.8,5.5,19.1,312.4,27.0
1520537,104.1,8.9,22.6,253.8,43.7
1520538,71.6,8.2,8.8,172.7,49.6
1520539,129.4,9.9,23.6,249.5,48.2
1520540,85.6,8.1,21.0,69.0,42.5
1520541,103.8,6.6,14.2,323.9,48.2
1520542,91.5,4.9,20.1,217.6,57.5
1520543,85.9,6.6,23.7,193.5,51.5
1520544,112.6,6.3,26.1,271.2,57.8
1520545,136.6,6.1,21.7,273.5,50.0
1520546,86.2,8.8,25.2,441.3,60.1
1520547,118.9,7.3,9.9,201.6,62.1
1520548,114.6,8.2,16.5,279.9,38.3
1520549,83.6,6.0,11.7,384.8,48.2
1520550,78.9,8.7,1.0,212.5,45.6
1520551,119.3,6.5,21.3,234.9,20.4
1520552,56.6,6.9,16.1,314.7,18.6
1520553,65.5,6.5,18.5,336.3,56.6
1520554,96.9,9.0,22.7,221.2,18.6
1520555,81.4,7.9,24.7,337.7,50.7
1520556,75.2,7.4,25.7,200.8,64.3
1520557,86.0,7.8,10.3,235.9,32.3
1520558,112.6,6.4,15.7,306.6,24.1
1520559,95.5,7.4,34.7,98.9,21.1
1520560,69.6,7.8,10.1,156.0,17.4
1520561,46.7,5.9,40.0,248.5,44.9
1520562,74.2,7.3,13.7,211.2,29.3
1520563,98.6,6.9,13.9,306.2,45.5
1520564,84.3,10.0,9.9,360.0,59.2
1520565,112.5,8.1,0.4,324.9,29.9
1520566,76.8,7.1,25.7,314.7,38.4
1520567,117.5,6.9,7.5,206.5,65.2
1520568,134.3,8.1,18.2,197.3,52.0
1520569,128.9,8.4,14.4,387.0,6.4
1520570,98.0,6.1,11.7,229.7,41.0
1520571,7.9,5.6,23.4,225.8,48.0
1520572,63.5,7.3,13.2,309.2,77.0
1520573,93.7,6.0,1.0,340.8,62.1
1520574,63.4,9.9,18.3,208.0,33.4
1520575,116.1,10.0,12.2,217.6,46.8
1520576,121.0,9.5,25.5,155.8,56.4
1520577,100.8,5.1,15.8,372.2,45.3
1520578,88.3,9.0,10.5,201.0,32.6
1520579,45.9,7.3,23.0,149.3,19.6
