PostID,FollowersCount_K,HashtagsCount,EngagementRate_Percent,SavedCount,IsSponsored
1630077,108.4,75.5,42.6,78.9,73.0
1630078,117.5,44.2,59.9,97.0,96.8
1630079,91.4,135.3,61.9,81.9,109.8
1630080,101.8,151.1,51.5,74.0,135.8
1630081,93.1,90.2,46.9,93.7,104.7
1630082,150.3,73.1,41.9,96.8,94.3
1630083,49.5,122.5,39.6,87.5,121.3
1630084,97.9,149.5,39.0,77.2,74.0
1630085,88.4,125.1,34.5,75.4,93.6
1630086,73.3,130.7,50.0,104.7,108.5
1630087,81.4,95.6,49.9,34.3,105.2
1630088,116.1,63.8,60.9,133.6,67.0
1630089,131.5,87.7,51.6,83.2,138.4
1630090,53.9,106.0,18.0,139.8,76.9
1630091,86.1,88.7,27.4,75.2,93.4
1630092,88.3,91.4,23.9,127.3,91.3
1630093,78.8,139.2,68.9,106.9,131.0
1630094,105.7,95.8,25.5,87.2,85.1
1630095,66.4,129.3,32.1,112.9,50.7
1630096,117.0,99.2,61.9,80.5,114.4
1630097,96.0,84.7,48.4,78.8,103.7
1630098,86.6,96.1,31.3,77.9,61.1
1630099,58.1,158.4,32.0,133.7,158.1
1630100,94.0,118.3,33.3,100.6,108.7
1630101,104.4,132.0,48.3,100.7,80.4
1630102,113.5,97.2,38.4,124.5,85.9
1630103,116.7,88.0,56.1,141.3,88.9
1630104,81.2,85.6,34.2,96.0,88.6
1630105,129.3,101.5,54.2,94.8,110.4
1630106,121.9,116.0,31.3,107.0,61.2
1630107,122.3,87.6,56.2,69.8,80.7
1630108,85.9,115.9,13.1,138.8,67.1
1630109,101.5,128.0,60.7,142.7,71.0
1630110,108.5,76.1,47.9,97.9,109.9
1630111,135.6,79.7,27.4,68.4,140.3
1630112,99.7,105.0,51.0,78.6,101.3
1630113,102.9,110.5,26.3,103.9,90.1
1630114,42.3,85.4,33.8,104.2,85.7
1630115,96.7,109.8,23.7,107.4,136.4
1630116,128.1,74.3,57.1,130.9,61.5
1630117,90.8,75.6,50.4,90.7,84.3
1630118,101.4,89.6,40.2,110.4,91.5
1630119,96.5,89.4,39.6,40.8,130.4
1630120,121.7,92.4,38.6,112.4,106.0
1630121,98.3,91.7,39.9,69.5,91.7
1630122,103.9,100.6,40.9,78.7,47.4
1630123,88.0,122.6,36.1,113.5,111.8
1630124,135.7,141.6,36.8,85.8,105.5
1630125,97.8,94.6,54.7,153.9,124.1
1630126,129.0,78.8,39.3,60.6,131.3
1630127,101.8,66.0,50.4,108.3,77.6
1630128,90.8,107.9,62.8,107.0,125.0
1630129,128.4,84.0,51.1,64.5,121.5
1630130,129.4,93.1,37.7,33.4,103.2
1630131,72.7,86.6,33.0,86.4,153.8
1630132,105.6,33.3,34.1,143.0,114.9
1630133,122.2,42.9,33.4,69.2,95.4
1630134,100.7,119.3,44.1,143.6,92.7
1630135,132.7,94.2,50.1,110.1,137.4
1630136,80.6,105.0,41.5,51.4,93.2
1630137,101.2,127.1,38.7,95.4,99.5
1630138,76.4,84.0,54.9,129.7,74.2
1630139,125.1,122.0,47.5,109.1,105.0
1630140,109.6,124.5,55.6,77.8,54.9
1630141,110.7,116.8,62.2,117.3,74.0
1630142,116.2,75.9,29.0,90.8,90.8
1630143,102.9,128.9,49.6,119.4,114.0
1630144,131.1,95.7,42.4,110.5,48.7
1630145,96.9,97.1,39.4,59.5,116.1
1630146,68.3,76.5,27.8,119.9,105.6
1630147,130.4,134.0,27.1,119.6,120.5
1630148,149.7,128.6,20.4,87.3,91.2
1630149,90.3,129.5,51.0,93.0,110.3
1630150,92.8,68.2,50.2,127.2,85.4
1630151,88.1,99.3,23.1,24.8,92.4
1630152,66.9,145.1,69.8,64.2,119.5
1630153,65.5,72.2,75.4,123.3,91.2
1630154,55.9,113.0,37.3,112.0,97.4
1630155,75.1,114.6,54.2,82.4,96.8
1630156,106.3,59.5,53.8,88.0,116.5
1630157,77.6,61.9,39.4,127.9,125.3
1630158,79.4,122.3,40.1,82.2,94.5
1630159,87.8,84.9,73.8,71.1,132.7
1630160,110.0,85.1,44.9,144.3,88.9
1630161,134.9,74.9,20.2,134.7,108.8
1630162,70.3,88.3,81.3,130.8,126.1
1630163,131.0,93.9,81.9,108.2,68.8
1630164,103.8,118.3,47.1,149.0,94.0
1630165,54.2,82.8,55.9,85.6,98.2
1630166,102.6,116.0,36.8,92.8,114.1
1630167,99.1,119.1,,75.7,137.2
1630168,100.7,117.5,47.8,150.5,132.9
1630169,110.4,132.7,51.2,121.5,104.1
1630170,105.4,39.7,26.4,53.5,102.6
1630171,76.3,132.8,81.8,113.8,142.7
1630172,76.5,84.0,67.8,100.0,107.5
1630173,29.7,130.9,30.7,89.3,90.5
1630174,81.8,112.0,40.6,98.0,85.5
1630175,61.7,110.6,52.4,115.7,138.8
1630176,81.1,96.4,58.1,85.1,107.9
1630177,86.2,86.6,45.3,104.8,141.0
1630178,66.1,112.0,57.6,115.8,138.9
1630179,87.2,83.0,29.7,107.7,87.1
1630180,125.6,101.2,22.8,126.2,100.8
1630181,86.2,76.3,29.6,84.0,124.2
1630182,112.2,90.7,36.0,94.2,120.9
1630183,119.1,135.2,36.5,85.3,122.7
1630184,88.4,74.0,23.0,99.5,114.2
1630185,142.3,77.9,,91.3,118.9
1630186,73.5,122.0,27.8,110.9,128.4
1630187,79.6,103.0,36.0,129.0,96.0
1630188,132.1,123.4,32.5,134.8,108.9
1630189,70.2,117.6,52.2,52.6,83.0
1630190,128.7,145.3,46.8,121.6,74.3
1630191,92.8,126.2,61.2,63.9,130.6
1630192,94.4,55.7,55.2,71.7,56.4
1630193,118.9,65.2,65.5,125.7,90.3
1630194,114.4,50.0,44.1,131.7,130.3
1630195,58.3,95.0,77.3,128.3,91.3
1630196,112.9,124.5,67.8,32.9,69.5
1630197,92.6,82.8,56.3,89.2,96.7
1630198,88.5,110.6,52.6,131.9,89.5
1630199,113.1,79.9,43.3,75.8,109.1
1630200,125.8,139.1,50.7,76.0,119.9
1630201,125.6,121.6,44.3,82.0,76.3
1630202,82.9,68.7,51.3,126.9,84.6
1630203,121.8,74.7,17.7,66.0,82.1
1630204,80.3,146.4,34.7,90.6,101.3
1630205,85.8,77.1,24.2,99.7,151.8
1630206,92.0,66.7,34.4,93.1,129.7
1630207,118.5,123.0,60.2,134.0,72.6
1630208,86.9,66.7,35.9,131.0,98.3
1630209,81.9,146.6,34.2,137.8,87.3
1630210,73.5,87.4,19.5,80.0,163.9
1630211,77.8,123.3,66.9,114.0,64.4
1630212,92.3,90.5,31.8,144.9,89.6
1630213,94.8,80.0,33.7,137.2,112.6
1630214,93.0,69.6,76.9,58.0,120.8
1630215,62.7,151.0,51.8,90.6,96.9
1630216,97.5,106.4,31.4,102.5,98.5
1630217,163.3,107.9,43.8,131.4,94.0
1630218,107.7,111.6,50.8,124.3,78.3
1630219,94.4,86.5,44.0,76.9,82.2
1630220,97.0,128.1,,99.1,60.5
1630221,96.8,107.5,57.6,93.2,78.8
1630222,75.4,111.8,55.3,116.4,118.8
1630223,74.9,96.3,35.0,95.5,24.2
1630224,32.7,136.5,51.5,113.9,142.0
1630225,139.7,105.9,66.8,73.7,93.8
1630226,57.2,121.0,35.7,147.4,97.1
1630227,64.9,123.2,49.1,93.7,125.3
1630228,149.8,126.0,33.2,64.6,113.0
1630229,80.0,92.0,67.9,97.6,90.8
1630230,108.1,113.6,51.1,108.7,61.6
1630231,109.5,96.5,46.1,98.9,100.1
1630232,126.4,78.8,61.3,86.3,120.0
1630233,60.8,129.9,33.8,102.8,91.2
1630234,129.9,127.3,31.7,92.8,70.5
1630235,125.6,82.0,53.3,124.7,81.0
1630236,139.3,124.3,57.6,128.3,144.1
1630237,92.0,63.5,15.6,100.8,43.4
1630238,139.6,97.8,35.6,117.1,71.1
1630239,122.8,138.6,47.0,98.9,79.8
1630240,90.4,75.0,48.0,79.1,93.2
1630241,96.2,102.1,,47.3,79.8
1630242,43.8,110.9,40.9,99.2,112.7
1630243,133.2,119.5,46.1,73.2,100.2
1630244,58.1,147.0,34.9,122.3,57.3
1630245,68.1,112.8,29.5,146.8,114.1
1630246,101.9,131.0,,93.7,96.7
1630247,78.6,93.8,51.7,97.2,58.9
1630248,94.0,99.9,34.2,64.9,60.9
1630249,75.0,100.1,62.0,106.8,105.1
1630250,117.0,122.2,39.4,121.5,109.0
1630251,105.5,90.6,36.5,102.1,74.5
1630252,49.8,61.4,38.4,140.7,85.4
1630253,81.7,105.4,38.3,132.7,109.5
1630254,88.8,42.0,37.4,96.0,121.1
1630255,95.2,91.4,34.2,109.5,135.0
1630256,72.5,105.5,32.3,85.7,88.1
1630257,69.9,92.7,82.0,70.6,61.8
1630258,104.4,52.3,24.8,78.1,105.8
1630259,83.6,79.7,64.5,58.2,62.9
1630260,89.2,101.0,71.5,78.6,121.9
1630261,129.8,85.5,61.6,114.7,92.3
1630262,106.1,118.4,42.0,128.0,102.4
1630263,71.6,74.7,32.2,49.8,103.7
1630264,118.3,118.7,43.8,162.1,73.1
1630265,106.9,106.1,60.8,138.8,81.9
1630266,115.7,74.5,53.6,98.6,100.0
1630267,99.7,112.8,57.6,131.1,82.9
1630268,112.1,104.0,,99.1,119.4
1630269,81.4,84.4,74.3,92.7,89.7
1630270,101.9,84.8,46.0,142.4,97.3
1630271,116.2,114.3,32.8,146.5,119.0
1630272,129.8,78.7,42.0,102.7,143.0
1630273,90.6,96.0,45.2,120.7,172.4
1630274,73.4,112.3,72.4,148.6,133.0
1630275,97.1,143.5,36.1,75.5,113.6
1630276,59.5,77.1,21.6,74.8,47.9
1630277,75.5,72.0,25.6,105.1,69.5
1630278,38.8,118.2,62.1,105.9,122.3
1630279,101.6,58.6,46.4,150.4,108.6
1630280,110.3,121.1,23.8,102.2,61.1
1630281,126.0,82.3,44.4,81.7,115.4
1630282,167.9,99.5,51.0,101.9,133.6
1630283,141.7,77.4,34.2,85.4,73.8
1630284,94.6,140.8,16.9,59.7,97.3
1630285,48.5,110.4,51.8,124.6,117.8
1630286,138.5,88.3,30.8,112.7,90.6
1630287,91.7,103.9,,102.1,104.1
1630288,98.7,67.2,52.7,102.9,55.1
1630289,118.0,110.8,32.7,69.6,71.5
1630290,106.6,69.0,51.1,103.8,113.0
1630291,57.3,130.9,23.8,96.2,96.8
1630292,84.7,135.7,26.5,122.8,124.4
1630293,85.3,85.8,42.5,85.6,92.6
1630294,127.1,78.3,55.2,106.9,67.1
1630295,113.1,113.5,28.3,71.8,105.9
1630296,106.9,106.6,39.8,102.2,106.4
1630297,87.0,71.8,66.6,113.5,66.0
1630298,88.6,122.5,43.7,125.9,110.0
1630299,101.7,104.2,48.9,90.0,99.6
1630300,128.1,79.2,49.1,116.7,50.2
1630301,96.4,135.2,35.4,59.5,74.1
1630302,103.2,73.5,56.1,92.5,112.5
1630303,134.5,103.0,35.5,102.4,107.2
1630304,62.6,56.6,44.8,83.1,100.5
1630305,17.1,89.3,36.4,107.5,98.4
1630306,95.4,27.9,44.1,56.8,68.2
1630307,153.7,75.0,38.6,117.6,118.9
1630308,142.5,85.4,40.5,108.7,102.2
1630309,103.4,124.8,55.4,88.3,115.9
1630310,83.6,76.7,21.3,117.5,170.0
1630311,71.6,100.3,36.9,109.5,71.1
1630312,61.7,112.9,36.5,89.4,116.9
1630313,97.3,150.2,40.0,100.3,60.2
1630314,71.8,135.6,61.9,110.9,82.3
1630315,40.8,70.2,31.3,72.1,89.3
1630316,103.7,124.1,26.4,85.8,129.4
1630317,100.1,43.7,77.1,94.4,61.6
1630318,116.1,116.0,36.4,126.0,112.0
1630319,66.1,108.5,51.3,85.4,111.2
1630320,121.4,98.5,34.7,103.9,89.9
1630321,73.9,114.0,39.7,104.3,92.0
1630322,97.1,76.2,17.0,24.1,125.9
1630323,57.1,98.3,36.0,78.1,49.6
1630324,118.8,61.7,46.0,142.1,89.3
1630325,135.0,103.9,40.4,135.0,137.0
1630326,79.8,123.0,52.8,81.6,125.7
1630327,136.7,104.1,45.9,149.9,128.3
1630328,106.1,53.7,32.2,78.3,130.0
1630329,108.1,100.8,36.6,110.7,105.0
1630330,68.2,138.1,39.4,119.3,113.3
1630331,145.3,104.2,63.3,110.6,79.8
1630332,89.8,84.8,35.0,128.2,96.6
1630333,89.9,105.4,47.2,117.3,113.1
1630334,146.7,138.5,69.8,157.2,71.9
1630335,134.2,103.5,22.1,129.0,102.5
1630336,94.6,76.0,60.9,102.6,102.0
1630337,119.1,100.3,40.3,93.7,75.7
1630338,101.7,139.9,39.9,72.5,86.1
1630339,81.0,79.9,52.0,112.0,67.9
1630340,125.8,149.0,47.6,101.4,111.3
1630341,154.3,112.5,60.6,123.8,87.7
1630342,153.2,141.4,67.8,117.2,83.6
1630343,107.9,129.0,71.6,86.5,150.8
1630344,105.0,104.8,48.5,126.7,90.3
1630345,105.0,80.5,31.9,102.0,96.4
1630346,84.5,112.6,49.2,146.8,81.2
1630347,102.7,65.6,43.7,126.8,121.1
1630348,133.5,67.1,34.3,92.8,125.8
1630349,105.7,49.2,62.6,100.2,126.8
1630350,100.5,95.7,30.6,117.6,108.6
1630351,79.1,49.2,39.5,69.0,113.3
1630352,66.5,85.8,65.5,98.8,139.3
1630353,105.7,130.6,48.2,119.2,107.6
1630354,76.9,94.5,59.1,121.6,79.4
1630355,127.1,105.1,58.4,69.8,121.3
1630356,73.4,90.8,53.3,105.8,125.5
1630357,62.1,80.2,38.1,98.7,108.1
1630358,94.8,62.8,23.1,95.5,67.7
1630359,81.0,88.9,57.5,124.7,108.8
1630360,77.9,161.5,8.8,108.5,98.1
1630361,112.7,32.6,31.6,114.7,98.6
1630362,98.8,81.3,42.9,103.9,97.7
1630363,95.0,87.5,62.1,96.7,62.7
1630364,114.0,58.9,35.7,129.9,122.6
1630365,71.9,91.3,32.2,108.3,122.7
1630366,107.6,99.5,33.2,93.0,101.4
1630367,94.8,110.6,71.6,86.4,76.2
1630368,87.0,118.5,72.7,101.6,67.9
1630369,118.0,60.7,29.5,126.9,133.6
1630370,99.5,75.0,35.6,82.4,100.5
1630371,138.2,124.7,32.8,137.3,64.0
1630372,129.3,98.7,49.9,114.4,96.1
1630373,122.4,113.0,50.7,104.1,97.5
1630374,125.4,141.1,75.7,96.9,70.2
1630375,81.8,93.3,43.3,121.9,98.4
1630376,109.6,67.2,54.2,148.0,79.6
1630377,91.9,114.4,42.1,101.6,89.7
1630378,77.0,95.6,33.5,76.2,103.7
1630379,156.1,101.7,37.1,60.6,97.1
1630380,137.1,50.6,48.8,104.2,54.3
1630381,134.2,101.9,34.4,61.8,154.7
1630382,99.5,98.4,64.4,78.7,114.2
1630383,93.2,129.3,62.0,131.5,97.0
1630384,76.5,55.5,35.9,57.1,112.6
1630385,72.1,91.8,38.9,121.6,63.5
1630386,84.6,143.6,57.4,84.0,108.8
1630387,114.6,82.6,29.6,114.7,105.9
1630388,83.3,104.4,69.0,92.6,150.5
1630389,158.7,120.0,53.4,126.9,52.0
1630390,56.5,106.0,59.5,104.9,100.0
1630391,115.1,38.5,48.7,93.8,101.4
1630392,106.4,92.8,54.0,139.3,100.8
1630393,87.7,113.3,43.7,120.7,112.7
1630394,124.9,128.0,5.2,138.0,87.2
1630395,87.4,95.4,6.7,78.8,132.8
1630396,106.6,58.6,48.5,148.0,112.6
1630397,95.6,136.5,30.0,106.1,61.4
1630398,55.9,118.8,80.2,101.7,105.1
1630399,137.1,90.3,17.8,89.6,83.0
1630400,87.9,109.3,13.4,78.3,98.0
1630401,98.3,94.1,26.4,95.8,78.3
1630402,111.6,113.4,41.6,117.3,105.7
1630403,100.0,82.6,51.0,144.5,111.1
1630404,81.3,84.7,37.9,88.1,137.4
1630405,136.3,28.6,18.7,61.4,96.6
1630406,116.0,99.5,57.9,133.2,117.4
1630407,106.2,118.9,40.5,56.7,120.0
1630408,125.6,83.8,39.0,89.3,63.4
1630409,83.8,117.5,55.6,104.4,111.2
1630410,80.4,75.4,44.6,121.7,68.5
1630411,153.2,110.8,53.4,113.5,146.4
1630412,115.4,58.1,27.7,104.0,96.5
1630413,118.2,147.9,17.6,100.9,84.0
1630414,132.3,82.2,38.8,131.2,103.0
1630415,125.6,127.1,47.4,121.5,112.6
1630416,115.9,118.3,52.0,58.8,81.7
1630417,113.5,95.7,46.2,116.1,102.1
1630418,118.2,127.1,45.5,96.9,85.4
1630419,68.3,129.3,43.4,93.9,125.7
1630420,106.5,73.3,51.6,84.8,10.5
1630421,95.6,97.4,64.9,141.3,35.2
1630422,147.3,125.0,50.3,73.7,95.2
1630423,94.6,110.4,50.2,110.3,108.6
1630424,137.2,94.8,33.9,96.6,85.1
1630425,124.7,91.3,51.7,68.8,128.0
1630426,80.3,134.1,38.1,67.1,108.9
1630427,92.0,67.3,61.3,105.9,99.2
1630428,118.3,92.0,60.4,86.1,92.6
1630429,100.6,75.6,30.7,72.3,73.3
1630430,165.8,115.7,32.9,116.5,108.8
1630431,107.5,101.7,42.9,176.3,162.0
1630432,122.7,75.4,45.6,76.5,98.6
1630433,75.4,88.6,50.4,115.6,100.0
1630434,78.3,53.9,76.4,125.3,141.5
1630435,111.1,140.3,51.1,72.7,119.1
1630436,82.2,75.5,55.1,128.3,101.9
1630437,148.1,87.7,24.2,84.0,89.5
1630438,105.7,116.2,54.8,87.7,113.7
1630439,99.1,131.6,31.1,108.4,76.7
1630440,65.2,96.5,51.6,89.8,94.9
1630441,98.2,69.4,37.1,88.3,105.7
1630442,78.0,117.4,52.5,87.1,84.1
1630443,155.3,76.1,39.3,77.4,142.3
1630444,95.8,113.5,50.6,48.0,106.9
1630445,135.9,95.4,52.0,132.1,145.3
1630446,90.0,62.1,42.3,99.3,102.5
1630447,103.9,63.9,45.9,77.4,72.8
1630448,65.9,132.4,45.6,69.6,113.0
1630449,68.4,109.5,59.9,142.4,103.3
1630450,76.5,88.2,79.0,96.5,87.9
1630451,75.7,107.9,49.4,110.0,84.4
1630452,136.0,92.9,50.6,96.5,87.9
1630453,68.8,97.3,35.9,82.0,98.0
1630454,102.4,51.0,50.7,85.9,110.6
1630455,45.0,143.8,50.6,135.3,133.5
1630456,110.2,106.9,30.7,87.2,88.7
1630457,105.4,125.6,32.9,99.4,140.8
1630458,100.1,57.6,10.1,108.1,100.9
1630459,112.9,80.1,62.5,120.8,121.7
1630460,84.4,87.5,67.2,148.9,107.9
1630461,102.0,125.2,40.6,79.2,101.6
1630462,74.0,30.6,30.5,120.8,113.1
1630463,82.3,95.7,24.4,100.5,112.5
1630464,135.0,80.7,33.7,55.7,80.3
1630465,108.3,136.5,74.7,93.3,83.7
1630466,114.9,114.8,8.6,94.5,96.2
1630467,116.3,105.8,40.0,100.4,88.8
1630468,71.8,60.0,49.0,136.1,132.0
1630469,98.4,116.8,34.9,115.7,156.0
1630470,107.1,140.5,45.6,82.5,106.4
1630471,116.5,42.9,45.5,128.9,140.3
1630472,133.7,74.1,32.5,72.6,83.6
1630473,113.6,143.8,45.1,129.8,110.1
1630474,118.6,115.6,42.9,76.8,139.1
1630475,72.9,74.2,63.1,82.9,83.8
1630476,73.4,122.3,56.4,161.0,125.1
1630477,66.1,51.6,25.7,109.3,99.8
1630478,97.9,111.4,54.3,71.7,109.2
1630479,120.3,131.6,45.2,86.1,87.4
1630480,102.5,122.3,31.9,67.8,79.9
1630481,93.3,122.1,45.2,152.8,77.1
1630482,131.9,98.0,32.1,50.9,60.6
1630483,81.6,104.5,45.7,83.6,96.6
1630484,175.3,73.2,60.8,86.0,86.4
1630485,55.5,104.2,56.2,84.9,93.7
1630486,74.2,123.5,37.8,94.5,64.3
1630487,109.4,105.7,55.2,124.8,93.5
1630488,19.5,73.8,55.1,124.9,97.8
1630489,85.6,101.7,25.4,79.3,116.8
1630490,71.2,112.0,68.2,117.1,122.9
1630491,100.5,128.2,6.7,58.6,151.9
1630492,124.1,145.5,64.7,111.6,161.1
1630493,79.1,126.7,53.0,102.1,130.3
1630494,95.5,74.4,28.5,70.7,88.9
1630495,133.3,88.8,60.8,116.7,123.0
1630496,47.8,77.7,42.9,60.2,92.5
1630497,121.4,121.6,51.2,97.8,137.5
1630498,100.8,119.0,60.0,68.7,88.3
1630499,114.3,103.8,,106.1,93.2
1630500,113.0,49.5,57.2,93.6,101.2
1630501,61.0,83.6,65.1,96.4,119.6
1630502,118.7,158.8,62.1,111.5,103.7
1630503,141.7,133.0,71.7,110.7,44.0
1630504,106.2,105.2,,64.6,85.2
1630505,114.5,106.0,45.5,47.2,97.1
1630506,57.0,78.9,58.6,127.7,143.1
1630507,105.1,104.8,77.8,86.8,135.5
1630508,114.4,109.9,26.8,104.3,82.4
1630509,99.9,67.1,60.4,132.0,102.0
1630510,115.1,125.5,29.2,89.2,37.5
1630511,42.0,115.8,22.5,158.4,50.6
1630512,109.1,80.8,61.6,97.4,76.9
1630513,129.2,91.3,47.9,125.0,106.1
1630514,100.1,133.7,66.1,134.0,126.2
1630515,157.5,85.5,29.4,119.1,72.7
1630516,35.3,149.4,81.8,112.9,123.5
1630517,100.7,123.5,70.4,119.0,100.5
1630518,91.3,116.8,34.6,111.8,91.3
1630519,69.1,78.4,50.8,60.0,111.6
1630520,129.4,111.3,23.0,74.2,132.9
1630521,47.5,82.2,53.3,89.8,74.6
1630522,98.0,59.3,48.7,96.3,74.0
1630523,101.1,125.7,54.5,81.6,110.7
1630524,147.3,73.8,39.3,89.5,65.2
1630525,109.8,124.2,40.1,107.7,107.1
1630526,73.0,144.8,50.9,82.9,131.2
1630527,66.0,120.7,21.3,99.8,117.5
1630528,92.5,122.6,65.8,76.3,112.6
1630529,72.4,57.1,50.4,85.7,133.3
1630530,154.3,88.8,48.7,95.2,113.1
1630531,83.0,96.5,31.2,108.0,130.5
1630532,124.8,77.1,53.1,93.0,133.4
1630533,99.3,145.1,45.6,118.4,86.5
1630534,104.4,151.6,41.7,88.8,100.1
1630535,61.4,91.6,68.2,63.3,63.3
1630536,68.1,111.1,65.8,108.0,118.6
1630537,96.7,76.4,30.0,113.2,106.4
1630538,122.8,95.2,33.1,84.9,79.6
1630539,106.7,94.4,14.1,76.2,96.1
1630540,102.6,137.1,32.6,58.7,108.2
1630541,120.1,126.8,50.1,103.8,78.1
1630542,118.5,73.6,50.2,133.5,105.3
1630543,93.6,123.7,44.5,94.4,100.9
1630544,44.3,101.2,43.1,111.3,60.9
1630545,92.7,95.4,16.5,117.6,136.5
1630546,99.0,103.5,29.8,69.3,101.8
1630547,91.3,109.7,17.2,75.3,131.8
1630548,111.5,101.9,66.9,100.0,102.9
1630549,109.5,92.4,5.5,111.7,103.9
1630550,137.3,72.5,46.3,104.2,115.9
1630551,102.4,110.3,29.7,81.9,115.7
1630552,120.4,65.5,46.5,73.4,106.5
1630553,135.8,102.1,41.8,106.1,144.4
1630554,89.3,102.7,16.9,82.6,104.3
1630555,105.1,81.0,29.5,152.4,75.9
1630556,80.5,149.8,50.9,103.9,104.9
1630557,81.3,98.8,69.7,136.3,92.1
1630558,54.6,96.2,31.9,137.9,114.2
1630559,120.7,96.7,15.1,63.2,100.1
1630560,120.7,85.7,40.0,52.6,74.2
1630561,72.5,128.7,42.9,84.1,105.3
1630562,127.5,68.8,41.5,103.7,119.5
1630563,95.9,144.7,38.8,83.5,88.5
1630564,93.4,120.0,66.9,84.8,89.3
1630565,84.1,104.0,43.6,107.4,92.9
1630566,121.2,83.6,42.4,110.6,143.0
1630567,134.0,116.2,40.6,130.8,114.7
1630568,115.0,74.8,31.6,15.6,94.2
1630569,123.8,116.2,52.6,100.7,62.6
1630570,90.0,100.0,35.0,131.1,42.6
1630571,111.1,110.1,51.3,67.6,83.5
1630572,111.0,102.2,53.5,100.6,78.9
1630573,87.9,94.5,34.0,106.3,80.5
1630574,93.6,87.7,31.5,75.0,143.8
1630575,72.0,94.1,38.5,61.7,116.4
1630576,121.5,53.9,36.8,119.8,121.5
1630577,115.1,105.5,32.8,104.8,107.2
1630578,92.5,133.7,40.7,87.8,113.2
1630579,50.5,96.7,1.6,88.6,109.3
1630580,150.5,130.6,32.9,62.4,109.6
