country,points,price,province,variety
Chile,85,43.0,Province 67,Pinot Noir
Italy,80,13.0,Province 68,Merlot
France,88,49.0,Province 69,Syrah
Italy,90,,Province 70,Pinot Noir
US,96,191.0,Province 71,Pinot Noir
France,84,11.0,Province 72,Cabernet Sauvignon
US,94,164.0,Province 73,Chardonnay
US,82,21.0,Province 74,Cabernet Sauvignon
US,86,45.0,Province 75,Merlot
Spain,93,126.0,Province 76,Pinot Noir
US,98,238.0,Province 77,Merlot
Spain,85,8.0,Province 78,Cabernet Sauvignon
Italy,96,194.0,Province 79,Chardonnay
Spain,84,38.0,Province 80,Syrah
Argentina,82,35.0,Province 81,Cabernet Sauvignon
Argentina,91,105.0,Province 82,Merlot
US,88,61.0,Province 83,Pinot Noir
US,88,56.0,Province 84,Cabernet Sauvignon
Argentina,84,22.0,Province 85,Cabernet Sauvignon
Italy,82,,Province 86,Pinot Noir
France,84,10.0,Province 87,Merlot
US,98,256.0,Province 88,Cabernet Sauvignon
Chile,81,10.0,Province 89,Cabernet Sauvignon
Italy,90,79.0,Province 90,Cabernet Sauvignon
US,90,73.0,Province 91,Syrah
France,84,8.0,Province 92,Cabernet Sauvignon
US,94,142.0,Province 93,Pinot Noir
Italy,83,20.0,Province 94,Pinot Noir
US,99,270.0,Province 95,Pinot Noir
US,91,85.0,Province 96,Cabernet Sauvignon
Spain,98,270.0,Province 97,Merlot
US,92,114.0,Province 98,Cabernet Sauvignon
US,87,46.0,Province 99,Chardonnay
US,85,21.0,Province 100,Merlot
US,97,,Province 101,Syrah
US,93,121.0,Province 102,Syrah
US,100,311.0,Province 103,Syrah
US,86,30.0,Province 104,Merlot
US,80,8.0,Province 105,Chardonnay
Spain,85,40.0,Province 106,Merlot
France,87,50.0,Province 107,Merlot
US,95,178.0,Province 108,Pinot Noir
Spain,89,62.0,Province 109,Chardonnay
Chile,97,228.0,Province 110,Pinot Noir
Italy,97,230.0,Province 111,Syrah
Chile,81,20.0,Province 112,Cabernet Sauvignon
US,84,29.0,Province 113,Pinot Noir
Argentina,96,184.0,Province 114,Syrah
US,98,237.0,Province 115,Syrah
US,96,181.0,Province 116,Cabernet Sauvignon
US,86,26.0,Province 117,Pinot Noir
France,87,30.0,Province 118,Merlot
Italy,90,83.0,Province 119,Cabernet Sauvignon
Italy,100,318.0,Province 120,Pinot Noir
Spain,96,197.0,Province 121,Syrah
US,84,19.0,Province 122,Merlot
France,82,31.0,Province 123,Cabernet Sauvignon
US,84,31.0,Province 124,Chardonnay
Argentina,90,86.0,Province 125,Merlot
US,87,40.0,Province 126,Pinot Noir
US,83,25.0,Province 127,Merlot
Spain,80,21.0,Province 128,Syrah
France,81,8.0,Province 129,Syrah
US,90,85.0,Province 130,Cabernet Sauvignon
Spain,86,24.0,Province 131,Cabernet Sauvignon
US,99,282.0,Province 132,Syrah
France,88,56.0,Province 133,Chardonnay
Spain,90,76.0,Province 134,Pinot Noir
US,97,216.0,Province 135,Merlot
Italy,92,109.0,Province 136,Cabernet Sauvignon
US,82,22.0,Province 137,Merlot
US,85,24.0,Province 138,Pinot Noir
Italy,100,312.0,Province 139,Cabernet Sauvignon
France,86,42.0,Province 140,Chardonnay
US,88,35.0,Province 141,Cabernet Sauvignon
Italy,88,44.0,Province 142,Pinot Noir
France,97,215.0,Province 143,Syrah
Spain,90,74.0,Province 144,Syrah
US,100,293.0,Province 145,Syrah
US,81,23.0,Province 146,Merlot
US,98,249.0,Province 147,Chardonnay
US,80,8.0,Province 148,Cabernet Sauvignon
France,86,44.0,Province 149,Cabernet Sauvignon
Argentina,84,31.0,Province 150,Chardonnay
Spain,85,19.0,Province 151,Chardonnay
Chile,98,253.0,Province 152,Pinot Noir
US,81,32.0,Province 153,Merlot
US,98,240.0,Province 154,Pinot Noir
US,95,170.0,Province 155,Syrah
Chile,97,242.0,Province 156,Merlot
Italy,98,250.0,Province 157,Chardonnay
US,84,20.0,Province 158,Pinot Noir
Chile,80,19.0,Province 159,Cabernet Sauvignon
Chile,95,153.0,Province 160,Syrah
US,98,266.0,Province 161,Merlot
France,97,226.0,Province 162,Chardonnay
US,92,100.0,Province 163,Syrah
US,87,41.0,Province 164,Pinot Noir
France,96,186.0,Province 165,Syrah
US,93,133.0,Province 166,Merlot
Spain,93,141.0,Province 167,Merlot
US,95,185.0,Province 168,Chardonnay
Spain,80,25.0,Province 169,Chardonnay
Chile,99,269.0,Province 170,Pinot Noir
US,86,29.0,Province 171,Pinot Noir
Chile,81,8.0,Province 172,Pinot Noir
US,97,223.0,Province 173,Pinot Noir
US,85,21.0,Province 174,Merlot
Spain,82,18.0,Province 175,Chardonnay
Chile,89,67.0,Province 176,Cabernet Sauvignon
Italy,99,274.0,Province 177,Merlot
US,91,100.0,Province 178,Chardonnay
Argentina,80,17.0,Province 179,Merlot
Argentina,88,54.0,Province 180,Syrah
US,82,10.0,Province 181,Chardonnay
US,83,8.0,Province 182,Merlot
Italy,100,293.0,Province 183,Pinot Noir
US,87,48.0,Province 184,Cabernet Sauvignon
Chile,88,65.0,Province 185,Chardonnay
Italy,85,22.0,Province 186,Chardonnay
Italy,96,193.0,Province 187,Syrah
France,96,197.0,Province 188,Cabernet Sauvignon
France,85,43.0,Province 189,Chardonnay
US,89,58.0,Province 190,Chardonnay
US,81,23.0,Province 191,Chardonnay
US,80,30.0,Province 192,Pinot Noir
US,89,82.0,Province 193,Cabernet Sauvignon
Argentina,95,165.0,Province 194,Cabernet Sauvignon
US,85,26.0,Province 195,Chardonnay
France,80,8.0,Province 196,Cabernet Sauvignon
France,92,103.0,Province 197,Chardonnay
US,88,50.0,Province 198,Chardonnay
France,80,29.0,Province 199,Chardonnay
US,82,8.0,Province 200,Chardonnay
US,94,146.0,Province 201,Pinot Noir
US,95,159.0,Province 202,Pinot Noir
Italy,90,66.0,Province 203,Merlot
US,80,8.0,Province 204,Chardonnay
France,86,34.0,Province 205,Pinot Noir
US,93,132.0,Province 206,Cabernet Sauvignon
Chile,98,260.0,Province 207,Pinot Noir
Italy,85,40.0,Province 208,Syrah
US,95,161.0,Province 209,Chardonnay
US,90,88.0,Province 210,Cabernet Sauvignon
US,92,,Province 211,Syrah
Spain,90,85.0,Province 212,Merlot
US,99,270.0,Province 213,Syrah
US,80,17.0,Province 214,Syrah
US,82,8.0,Province 215,Chardonnay
US,95,153.0,Province 216,Pinot Noir
US,80,16.0,Province 217,Merlot
Spain,99,290.0,Province 218,Merlot
US,89,68.0,Province 219,Merlot
Argentina,96,206.0,Province 220,Syrah
US,84,13.0,Province 221,Merlot
US,95,159.0,Province 222,Merlot
Argentina,89,69.0,Province 223,Pinot Noir
US,88,35.0,Province 224,Pinot Noir
Spain,88,43.0,Province 225,Syrah
US,99,263.0,Province 226,Syrah
US,90,93.0,Province 227,Chardonnay
US,88,38.0,Province 228,Merlot
Argentina,81,23.0,Province 229,Chardonnay
Italy,84,36.0,Province 230,Merlot
US,82,22.0,Province 231,Cabernet Sauvignon
France,99,288.0,Province 232,Pinot Noir
Italy,97,223.0,Province 233,Syrah
Chile,81,23.0,Province 234,Pinot Noir
Spain,83,8.0,Province 235,Cabernet Sauvignon
Italy,91,58.0,Province 236,Merlot
Spain,88,57.0,Province 237,Merlot
US,87,41.0,Province 238,Chardonnay
Argentina,95,156.0,Province 239,Cabernet Sauvignon
US,98,246.0,Province 240,Cabernet Sauvignon
Italy,96,204.0,Province 241,Cabernet Sauvignon
Chile,81,13.0,Province 242,Merlot
Argentina,96,195.0,Province 243,Pinot Noir
US,93,132.0,Province 244,Chardonnay
France,87,33.0,Province 245,Merlot
Argentina,91,67.0,Province 246,Pinot Noir
Argentina,80,8.0,Province 247,Syrah
France,83,21.0,Province 248,Cabernet Sauvignon
Spain,80,,Province 249,Cabernet Sauvignon
Spain,98,220.0,Province 250,Syrah
Argentina,97,219.0,Province 251,Pinot Noir
Italy,99,258.0,Province 252,Cabernet Sauvignon
Chile,94,146.0,Province 253,Merlot
US,97,215.0,Province 254,Chardonnay
US,86,49.0,Province 255,Pinot Noir
Argentina,80,8.0,Province 256,Merlot
Argentina,90,85.0,Province 257,Syrah
US,81,8.0,Province 258,Chardonnay
Spain,93,122.0,Province 259,Syrah
Italy,93,122.0,Province 260,Cabernet Sauvignon
Italy,88,53.0,Province 261,Cabernet Sauvignon
Italy,92,118.0,Province 262,Pinot Noir
US,97,222.0,Province 263,Chardonnay
Argentina,100,305.0,Province 264,Cabernet Sauvignon
US,84,14.0,Province 265,Syrah
US,85,29.0,Province 266,Merlot
France,90,72.0,Province 267,Pinot Noir
US,92,121.0,Province 268,Chardonnay
France,86,33.0,Province 269,Cabernet Sauvignon
Spain,83,8.0,Province 270,Merlot
US,80,8.0,Province 271,Pinot Noir
US,84,25.0,Province 272,Syrah
Italy,98,248.0,Province 273,Syrah
Argentina,90,89.0,Province 274,Cabernet Sauvignon
France,100,299.0,Province 275,Cabernet Sauvignon
US,95,164.0,Province 276,Merlot
US,86,38.0,Province 277,Chardonnay
US,98,255.0,Province 278,Pinot Noir
US,83,23.0,Province 279,Pinot Noir
US,83,8.0,Province 280,Merlot
US,93,123.0,Province 281,Merlot
Spain,86,47.0,Province 282,Merlot
US,81,18.0,Province 283,Cabernet Sauvignon
US,87,56.0,Province 284,Chardonnay
US,100,303.0,Province 285,Pinot Noir
Chile,89,52.0,Province 286,Syrah
France,89,60.0,Province 287,Syrah
Italy,95,184.0,Province 288,Pinot Noir
Argentina,91,82.0,Province 289,Pinot Noir
US,94,130.0,Province 290,Merlot
Italy,84,29.0,Province 291,Chardonnay
US,88,49.0,Province 292,Pinot Noir
US,85,32.0,Province 293,Chardonnay
US,81,11.0,Province 294,Cabernet Sauvignon
US,96,198.0,Province 295,Chardonnay
US,95,183.0,Province 296,Cabernet Sauvignon
France,89,62.0,Province 297,Cabernet Sauvignon
US,87,47.0,Province 298,Cabernet Sauvignon
US,96,195.0,Province 299,Syrah
Chile,80,12.0,Province 300,Chardonnay
Italy,95,168.0,Province 301,Syrah
Spain,100,300.0,Province 302,Cabernet Sauvignon
US,82,24.0,Province 303,Merlot
US,91,91.0,Province 304,Cabernet Sauvignon
France,80,14.0,Province 305,Pinot Noir
US,85,33.0,Province 306,Syrah
US,94,158.0,Province 307,Chardonnay
Chile,82,24.0,Province 308,Merlot
Italy,82,24.0,Province 309,Cabernet Sauvignon
Italy,94,152.0,Province 310,Syrah
Spain,81,8.0,Province 311,Pinot Noir
US,99,277.0,Province 312,Cabernet Sauvignon
Spain,84,22.0,Province 313,Chardonnay
Italy,85,31.0,Province 314,Syrah
France,91,99.0,Province 315,Chardonnay
US,92,124.0,Province 316,Pinot Noir
US,84,22.0,Province 317,Cabernet Sauvignon
Spain,98,244.0,Province 318,Chardonnay
US,98,236.0,Province 319,Pinot Noir
US,92,134.0,Province 320,Merlot
Argentina,88,59.0,Province 321,Pinot Noir
Chile,88,48.0,Province 322,Chardonnay
Italy,99,279.0,Province 323,Merlot
US,95,175.0,Province 324,Syrah
US,81,14.0,Province 325,Syrah
Italy,96,192.0,Province 326,Chardonnay
Argentina,96,186.0,Province 327,Chardonnay
Argentina,89,55.0,Province 328,Merlot
US,89,54.0,Province 329,Chardonnay
US,88,52.0,Province 330,Chardonnay
France,95,175.0,Province 331,Merlot
France,89,70.0,Province 332,Cabernet Sauvignon
France,98,247.0,Province 333,Syrah
France,97,219.0,Province 334,Merlot
France,98,251.0,Province 335,Merlot
France,94,145.0,Province 336,Pinot Noir
Chile,81,,Province 337,Merlot
Italy,82,34.0,Province 338,Merlot
Chile,93,129.0,Province 339,Merlot
US,93,118.0,Province 340,Merlot
Italy,91,99.0,Province 341,Chardonnay
France,91,80.0,Province 342,Pinot Noir
Chile,83,31.0,Province 343,Merlot
France,80,11.0,Province 344,Chardonnay
Chile,83,18.0,Province 345,Cabernet Sauvignon
US,82,8.0,Province 346,Syrah
France,95,169.0,Province 347,Merlot
US,89,62.0,Province 348,Chardonnay
US,94,165.0,Province 349,Cabernet Sauvignon
US,93,137.0,Province 350,Pinot Noir
Chile,98,245.0,Province 351,Cabernet Sauvignon
Spain,85,27.0,Province 352,Chardonnay
US,84,15.0,Province 353,Chardonnay
US,92,102.0,Province 354,Merlot
Argentina,93,123.0,Province 355,Pinot Noir
Spain,90,78.0,Province 356,Chardonnay
Chile,92,117.0,Province 357,Merlot
France,94,156.0,Province 358,Cabernet Sauvignon
Italy,81,26.0,Province 359,Syrah
Argentina,91,93.0,Province 360,Syrah
US,82,38.0,Province 361,Pinot Noir
US,80,12.0,Province 362,Merlot
Italy,97,221.0,Province 363,Chardonnay
Spain,92,103.0,Province 364,Merlot
Chile,92,95.0,Province 365,Cabernet Sauvignon
US,86,32.0,Province 366,Merlot
France,93,126.0,Province 367,Cabernet Sauvignon
Italy,97,235.0,Province 368,Merlot
US,88,55.0,Province 369,Merlot
Italy,87,53.0,Province 370,Cabernet Sauvignon
Spain,81,18.0,Province 371,Merlot
Spain,100,289.0,Province 372,Syrah
Italy,99,281.0,Province 373,Merlot
US,100,316.0,Province 374,Syrah
France,99,300.0,Province 375,Pinot Noir
US,87,42.0,Province 376,Syrah
US,84,17.0,Province 377,Syrah
US,87,37.0,Province 378,Pinot Noir
France,91,119.0,Province 379,Pinot Noir
Italy,88,39.0,Province 380,Syrah
US,94,145.0,Province 381,Cabernet Sauvignon
US,83,35.0,Province 382,Pinot Noir
Chile,99,279.0,Province 383,Pinot Noir
France,88,44.0,Province 384,Merlot
US,96,207.0,Province 385,Chardonnay
US,97,234.0,Province 386,Syrah
Italy,87,41.0,Province 387,Cabernet Sauvignon
US,80,13.0,Province 388,Chardonnay
US,81,8.0,Province 389,Merlot
US,98,244.0,Province 390,Pinot Noir
Italy,99,270.0,Province 391,Syrah
Spain,96,198.0,Province 392,Chardonnay
Italy,84,27.0,Province 393,Chardonnay
US,88,48.0,Province 394,Merlot
US,94,134.0,Province 395,Chardonnay
France,96,184.0,Province 396,Merlot
Spain,85,32.0,Province 397,Pinot Noir
Spain,92,93.0,Province 398,Cabernet Sauvignon
US,95,177.0,Province 399,Merlot
Italy,100,325.0,Province 400,Syrah
Chile,87,50.0,Province 401,Chardonnay
France,95,162.0,Province 402,Syrah
Italy,92,105.0,Province 403,Merlot
Italy,85,29.0,Province 404,Cabernet Sauvignon
US,92,126.0,Province 405,Chardonnay
Argentina,83,22.0,Province 406,Cabernet Sauvignon
Italy,82,31.0,Province 407,Merlot
Chile,98,243.0,Province 408,Chardonnay
US,86,35.0,Province 409,Syrah
France,95,165.0,Province 410,Cabernet Sauvignon
US,81,24.0,Province 411,Cabernet Sauvignon
US,84,37.0,Province 412,Chardonnay
France,92,98.0,Province 413,Pinot Noir
Italy,87,45.0,Province 414,Pinot Noir
US,88,57.0,Province 415,Merlot
US,81,10.0,Province 416,Cabernet Sauvignon
France,89,64.0,Province 417,Merlot
US,89,76.0,Province 418,Cabernet Sauvignon
Italy,96,217.0,Province 419,Syrah
US,97,223.0,Province 420,Chardonnay
Chile,97,209.0,Province 421,Merlot
US,82,15.0,Province 422,Chardonnay
France,89,64.0,Province 423,Syrah
Chile,93,108.0,Province 424,Chardonnay
France,92,101.0,Province 425,Syrah
France,96,197.0,Province 426,Syrah
US,99,272.0,Province 427,Chardonnay
Chile,85,29.0,Province 428,Pinot Noir
Spain,99,270.0,Province 429,Cabernet Sauvignon
US,97,239.0,Province 430,Merlot
Spain,90,84.0,Province 431,Cabernet Sauvignon
Italy,80,9.0,Province 432,Chardonnay
France,84,22.0,Province 433,Merlot
US,94,142.0,Province 434,Pinot Noir
Italy,96,199.0,Province 435,Syrah
US,88,44.0,Province 436,Chardonnay
Italy,81,24.0,Province 437,Cabernet Sauvignon
Italy,88,60.0,Province 438,Pinot Noir
France,86,31.0,Province 439,Syrah
US,88,58.0,Province 440,Cabernet Sauvignon
Argentina,96,203.0,Province 441,Merlot
France,94,130.0,Province 442,Chardonnay
US,87,51.0,Province 443,Merlot
France,96,189.0,Province 444,Merlot
Spain,100,313.0,Province 445,Merlot
US,84,39.0,Province 446,Cabernet Sauvignon
Spain,88,57.0,Province 447,Merlot
US,91,95.0,Province 448,Syrah
US,93,115.0,Province 449,Merlot
Argentina,81,15.0,Province 450,Chardonnay
US,90,79.0,Province 451,Cabernet Sauvignon
US,83,16.0,Province 452,Syrah
US,89,59.0,Province 453,Cabernet Sauvignon
US,98,240.0,Province 454,Syrah
Italy,90,61.0,Province 455,Pinot Noir
US,93,133.0,Province 456,Merlot
Chile,99,278.0,Province 457,Pinot Noir
Italy,83,38.0,Province 458,Chardonnay
Argentina,82,34.0,Province 459,Chardonnay
US,81,27.0,Province 460,Chardonnay
US,80,9.0,Province 461,Cabernet Sauvignon
Chile,98,229.0,Province 462,Cabernet Sauvignon
Italy,82,21.0,Province 463,Merlot
US,92,103.0,Province 464,Cabernet Sauvignon
US,92,120.0,Province 465,Chardonnay
Spain,95,166.0,Province 466,Merlot
US,93,107.0,Province 467,Syrah
Italy,87,53.0,Province 468,Merlot
Italy,85,26.0,Province 469,Chardonnay
Italy,81,19.0,Province 470,Syrah
France,96,197.0,Province 471,Syrah
Argentina,97,207.0,Province 472,Merlot
Italy,83,12.0,Province 473,Syrah
France,93,128.0,Province 474,Chardonnay
US,99,282.0,Province 475,Syrah
US,85,,Province 476,Cabernet Sauvignon
US,93,130.0,Province 477,Syrah
US,94,154.0,Province 478,Pinot Noir
US,92,127.0,Province 479,Syrah
US,85,40.0,Province 480,Cabernet Sauvignon
Italy,97,205.0,Province 481,Cabernet Sauvignon
France,96,215.0,Province 482,Merlot
Italy,82,29.0,Province 483,Cabernet Sauvignon
US,82,21.0,Province 484,Syrah
Chile,96,195.0,Province 485,Cabernet Sauvignon
France,93,137.0,Province 486,Chardonnay
Spain,92,127.0,Province 487,Chardonnay
US,95,178.0,Province 488,Chardonnay
Italy,87,45.0,Province 489,Cabernet Sauvignon
Italy,96,190.0,Province 490,Chardonnay
US,98,226.0,Province 491,Syrah
US,80,13.0,Province 492,Pinot Noir
Argentina,83,21.0,Province 493,Pinot Noir
US,87,56.0,Province 494,Merlot
France,94,165.0,Province 495,Cabernet Sauvignon
Italy,90,73.0,Province 496,Chardonnay
France,81,26.0,Province 497,Syrah
Italy,94,139.0,Province 498,Chardonnay
Chile,86,27.0,Province 499,Syrah
US,95,183.0,Province 500,Syrah
US,80,8.0,Province 501,Syrah
Spain,92,118.0,Province 502,Cabernet Sauvignon
US,82,12.0,Province 503,Syrah
France,88,72.0,Province 504,Cabernet Sauvignon
US,83,37.0,Province 505,Chardonnay
US,85,36.0,Province 506,Syrah
US,93,116.0,Province 507,Syrah
US,90,68.0,Province 508,Chardonnay
US,81,13.0,Province 509,Merlot
Argentina,96,206.0,Province 510,Syrah
France,86,31.0,Province 511,Chardonnay
France,80,11.0,Province 512,Cabernet Sauvignon
France,82,13.0,Province 513,Cabernet Sauvignon
US,98,260.0,Province 514,Pinot Noir
US,89,63.0,Province 515,Merlot
Chile,97,213.0,Province 516,Pinot Noir
US,98,229.0,Province 517,Syrah
France,93,,Province 518,Merlot
France,80,10.0,Province 519,Cabernet Sauvignon
US,90,96.0,Province 520,Pinot Noir
Spain,98,245.0,Province 521,Syrah
Argentina,93,118.0,Province 522,Cabernet Sauvignon
Chile,85,26.0,Province 523,Pinot Noir
France,98,243.0,Province 524,Merlot
Italy,93,128.0,Province 525,Cabernet Sauvignon
France,90,71.0,Province 526,Merlot
France,92,129.0,Province 527,Chardonnay
Italy,82,32.0,Province 528,Cabernet Sauvignon
US,91,95.0,Province 529,Pinot Noir
Argentina,90,82.0,Province 530,Syrah
US,87,59.0,Province 531,Pinot Noir
US,89,63.0,Province 532,Cabernet Sauvignon
Argentina,86,41.0,Province 533,Pinot Noir
Spain,89,40.0,Province 534,Syrah
France,81,20.0,Province 535,Merlot
France,92,91.0,Province 536,Merlot
Italy,97,206.0,Province 537,Merlot
US,89,65.0,Province 538,Merlot
US,98,252.0,Province 539,Merlot
Italy,81,32.0,Province 540,Pinot Noir
US,82,8.0,Province 541,Cabernet Sauvignon
Argentina,89,70.0,Province 542,Merlot
Spain,99,266.0,Province 543,Syrah
US,84,40.0,Province 544,Cabernet Sauvignon
France,100,317.0,Province 545,Chardonnay
Argentina,97,241.0,Province 546,Syrah
US,87,42.0,Province 547,Syrah
France,84,25.0,Province 548,Syrah
Chile,83,14.0,Province 549,Cabernet Sauvignon
Italy,93,119.0,Province 550,Chardonnay
France,90,85.0,Province 551,Merlot
Chile,88,59.0,Province 552,Merlot
US,97,212.0,Province 553,Merlot
US,100,318.0,Province 554,Chardonnay
US,98,241.0,Province 555,Merlot
Italy,86,14.0,Province 556,Cabernet Sauvignon
US,89,53.0,Province 557,Chardonnay
US,87,52.0,Province 558,Pinot Noir
Italy,91,82.0,Province 559,Chardonnay
US,90,84.0,Province 560,Cabernet Sauvignon
Spain,97,214.0,Province 561,Chardonnay
France,83,34.0,Province 562,Merlot
Argentina,98,253.0,Province 563,Merlot
US,97,199.0,Province 564,Pinot Noir
Spain,91,93.0,Province 565,Merlot
US,99,278.0,Province 566,Merlot
US,89,59.0,Province 567,Chardonnay
US,80,8.0,Province 568,Cabernet Sauvignon
US,96,183.0,Province 569,Merlot
US,86,32.0,Province 570,Syrah
US,93,130.0,Province 571,Syrah
US,96,211.0,Province 572,Cabernet Sauvignon
France,87,42.0,Province 573,Pinot Noir
Italy,99,283.0,Province 574,Pinot Noir
US,91,92.0,Province 575,Chardonnay
France,86,44.0,Province 576,Pinot Noir
US,87,33.0,Province 577,Merlot
US,84,17.0,Province 578,Syrah
Spain,93,118.0,Province 579,Cabernet Sauvignon
France,98,238.0,Province 580,Syrah
Chile,92,100.0,Province 581,Merlot
France,99,271.0,Province 582,Pinot Noir
Italy,92,121.0,Province 583,Chardonnay
US,96,188.0,Province 584,Cabernet Sauvignon
France,100,303.0,Province 585,Cabernet Sauvignon
US,93,119.0,Province 586,Cabernet Sauvignon
US,83,26.0,Province 587,Syrah
US,100,326.0,Province 588,Merlot
US,81,22.0,Province 589,Merlot
US,89,62.0,Province 590,Chardonnay
Chile,90,63.0,Province 591,Syrah
US,87,49.0,Province 592,Chardonnay
Spain,86,42.0,Province 593,Cabernet Sauvignon
France,89,69.0,Province 594,Chardonnay
France,87,41.0,Province 595,Syrah
France,80,8.0,Province 596,Pinot Noir
Italy,85,9.0,Province 597,Cabernet Sauvignon
France,90,66.0,Province 598,Syrah
US,96,187.0,Province 599,Syrah
France,88,56.0,Province 600,Merlot
US,84,24.0,Province 601,Cabernet Sauvignon
US,96,195.0,Province 602,Cabernet Sauvignon
Spain,95,188.0,Province 603,Syrah
Spain,88,55.0,Province 604,Cabernet Sauvignon
Argentina,100,316.0,Province 605,Syrah
US,92,117.0,Province 606,Chardonnay
Chile,82,18.0,Province 607,Merlot
Italy,99,293.0,Province 608,Chardonnay
US,90,90.0,Province 609,Syrah
France,85,29.0,Province 610,Cabernet Sauvignon
Chile,88,43.0,Province 611,Chardonnay
France,87,48.0,Province 612,Cabernet Sauvignon
Italy,89,,Province 613,Pinot Noir
US,100,319.0,Province 614,Pinot Noir
France,83,23.0,Province 615,Cabernet Sauvignon
France,100,292.0,Province 616,Cabernet Sauvignon
Argentina,93,131.0,Province 617,Pinot Noir
Chile,90,68.0,Province 618,Pinot Noir
US,84,41.0,Province 619,Merlot
Argentina,92,102.0,Province 620,Chardonnay
US,89,60.0,Province 621,Cabernet Sauvignon
US,89,80.0,Province 622,Pinot Noir
US,91,88.0,Province 623,Cabernet Sauvignon
Italy,82,19.0,Province 624,Merlot
US,84,31.0,Province 625,Cabernet Sauvignon
US,100,327.0,Province 626,Cabernet Sauvignon
France,82,8.0,Province 627,Chardonnay
France,99,256.0,Province 628,Merlot
Spain,96,197.0,Province 629,Chardonnay
US,97,229.0,Province 630,Chardonnay
US,82,21.0,Province 631,Pinot Noir
US,86,23.0,Province 632,Pinot Noir
US,98,257.0,Province 633,Merlot
US,85,24.0,Province 634,Merlot
US,85,60.0,Province 635,Cabernet Sauvignon
Italy,84,,Province 636,Pinot Noir
US,82,22.0,Province 637,Chardonnay
France,99,279.0,Province 638,Cabernet Sauvignon
US,93,126.0,Province 639,Cabernet Sauvignon
Chile,97,208.0,Province 640,Pinot Noir
Italy,85,36.0,Province 641,Pinot Noir
Chile,82,28.0,Province 642,Pinot Noir
US,95,150.0,Province 643,Syrah
US,86,46.0,Province 644,Merlot
Spain,93,131.0,Province 645,Merlot
US,85,20.0,Province 646,Chardonnay
US,91,82.0,Province 647,Chardonnay
France,97,204.0,Province 648,Chardonnay
Italy,83,17.0,Province 649,Pinot Noir
Italy,99,272.0,Province 650,Pinot Noir
France,82,8.0,Province 651,Chardonnay
US,91,96.0,Province 652,Pinot Noir
US,87,44.0,Province 653,Pinot Noir
US,85,32.0,Province 654,Pinot Noir
France,98,241.0,Province 655,Merlot
France,98,254.0,Province 656,Merlot
US,94,149.0,Province 657,Pinot Noir
