ArticleID,SensationalismScore,AdDensity_Percent,ReaderDwellTimeSeconds,ShareCount,IsClickbait
1640075,7.1,45.6,12.4,81.9,117.2
1640076,9.2,42.3,42.9,64.9,107.8
1640077,8.4,23.1,6.6,119.4,118.6
1640078,6.2,39.9,35.6,125.4,114.1
1640079,6.3,82.7,4.5,101.0,121.1
1640080,9.2,38.7,14.6,102.3,129.1
1640081,6.1,23.1,3.2,78.8,142.9
1640082,8.5,41.0,2.3,118.3,148.5
1640083,3.8,45.0,19.0,82.6,107.8
1640084,7.8,26.2,8.1,114.0,76.3
1640085,8.4,44.2,2.1,118.7,116.5
1640086,6.8,61.6,12.0,131.4,133.4
1640087,9.4,46.5,1.0,103.6,130.5
1640088,9.7,50.2,6.2,109.9,136.4
1640089,5.9,33.0,1.5,74.3,126.1
1640090,7.6,37.0,6.3,101.2,125.0
1640091,7.8,76.2,3.0,96.6,116.4
1640092,7.3,50.8,23.5,84.1,97.1
1640093,5.6,56.4,2.9,115.4,122.2
1640094,9.8,48.3,6.5,106.1,111.6
1640095,6.9,32.2,25.3,102.5,94.4
1640096,9.3,39.0,14.9,93.8,130.9
1640097,7.6,49.0,25.2,90.2,95.8
1640098,6.4,57.3,29.6,127.7,109.8
1640099,9.8,31.5,39.2,92.2,105.6
1640100,7.2,52.9,25.1,68.6,135.7
1640101,9.6,17.6,9.6,106.8,102.4
1640102,7.3,26.8,1.7,96.0,93.3
1640103,9.7,48.4,6.8,111.7,133.7
1640104,8.3,50.8,56.9,101.8,42.9
1640105,8.3,60.5,12.5,88.0,124.6
1640106,4.8,48.3,17.1,77.9,129.0
1640107,7.1,39.0,1.7,56.4,28.3
1640108,8.2,55.2,2.0,130.9,121.8
1640109,7.2,37.0,1.2,92.3,80.5
1640110,9.2,46.5,1.3,108.8,78.2
1640111,7.5,40.2,42.5,140.3,101.6
1640112,7.9,26.4,43.0,83.9,79.5
1640113,7.5,28.8,4.6,126.1,97.2
1640114,6.7,46.7,28.5,97.7,104.4
1640115,9.4,44.3,5.8,82.9,126.6
1640116,7.2,55.2,7.2,130.0,54.7
1640117,6.5,32.6,7.0,85.4,145.6
1640118,8.4,42.3,34.1,65.5,126.4
1640119,8.0,74.1,14.7,46.6,54.3
1640120,8.8,46.4,14.2,115.9,91.4
1640121,7.2,40.9,22.6,114.7,69.0
1640122,9.1,43.4,4.3,90.2,70.4
1640123,8.8,54.3,25.1,70.0,107.0
1640124,8.7,54.0,30.6,112.8,36.8
1640125,5.6,46.5,7.3,88.8,107.8
1640126,7.3,48.4,1.4,131.7,91.6
1640127,9.6,52.8,1.8,123.2,120.0
1640128,4.5,24.0,1.0,99.7,94.6
1640129,7.2,45.2,3.0,88.2,100.0
1640130,9.7,60.9,2.4,120.3,87.9
1640131,6.6,33.3,36.7,147.2,98.8
1640132,7.8,29.4,2.0,131.9,76.5
1640133,10.0,61.3,11.4,104.1,106.1
1640134,7.3,35.0,31.9,105.9,45.8
1640135,5.9,50.2,3.2,132.1,57.5
1640136,7.5,36.3,3.0,82.7,115.6
1640137,9.3,26.2,23.2,55.7,112.3
1640138,8.3,73.8,6.4,111.3,83.8
1640139,6.8,23.6,28.0,137.9,137.2
1640140,9.3,37.7,,86.8,164.3
1640141,6.2,39.5,17.2,122.7,77.5
1640142,8.8,52.3,31.9,110.2,80.9
1640143,7.7,30.3,18.7,105.1,74.4
1640144,8.0,39.8,10.1,121.1,95.6
1640145,5.7,37.2,1.2,116.3,80.6
1640146,7.8,55.9,1.8,62.7,107.1
1640147,10.0,59.0,2.1,106.2,112.0
1640148,6.5,33.4,49.6,134.2,126.1
1640149,6.3,43.7,43.2,143.9,116.8
1640150,5.9,20.5,6.5,93.4,88.3
1640151,7.2,28.5,10.2,70.4,149.3
1640152,9.1,20.5,,58.6,48.6
1640153,7.3,48.5,14.5,127.0,100.9
1640154,7.7,19.2,57.0,67.5,95.6
1640155,8.4,18.9,17.5,97.4,101.0
1640156,7.5,51.2,15.3,145.1,74.6
1640157,6.4,58.9,5.7,108.3,87.4
1640158,7.5,31.9,8.6,89.9,95.9
1640159,7.8,25.8,32.7,75.8,87.2
1640160,5.0,26.0,44.4,109.5,90.3
1640161,4.2,32.5,45.3,60.2,85.4
1640162,6.3,45.2,9.6,87.1,146.5
1640163,7.3,54.8,1.3,69.7,133.8
1640164,6.6,38.3,1.0,113.4,102.0
1640165,7.5,66.2,1.0,127.2,77.1
1640166,7.9,22.1,1.0,67.6,115.6
1640167,4.2,51.2,1.0,103.5,109.1
1640168,6.9,51.4,10.6,100.2,124.5
1640169,7.3,49.9,1.1,68.0,88.0
1640170,6.0,28.3,26.3,113.1,108.2
1640171,5.2,42.7,1.0,103.9,100.0
1640172,9.4,38.5,7.7,76.3,79.0
1640173,7.6,63.9,16.6,112.7,60.8
1640174,4.6,60.3,18.4,102.3,114.1
1640175,7.3,46.2,3.5,87.4,96.2
1640176,7.2,26.1,22.0,100.0,138.4
1640177,7.1,40.1,29.5,127.5,52.0
1640178,8.1,43.3,6.6,112.5,116.5
1640179,6.4,33.1,2.4,85.3,87.2
1640180,6.4,64.2,1.2,115.0,93.2
1640181,6.5,47.4,8.6,102.4,55.4
1640182,8.7,64.4,3.0,79.3,86.8
1640183,10.0,18.4,1.0,50.1,35.8
1640184,8.2,38.8,13.7,91.2,125.3
1640185,6.0,75.2,1.5,156.0,126.5
1640186,6.3,48.7,13.8,159.0,97.6
1640187,8.5,32.3,13.3,103.0,84.4
1640188,8.6,67.5,3.9,91.1,66.4
1640189,5.7,46.5,7.0,134.2,106.0
1640190,6.3,24.9,30.3,104.8,98.7
1640191,5.2,61.7,2.2,98.7,139.4
1640192,6.9,36.3,8.4,100.1,113.5
1640193,9.9,42.1,17.9,85.9,107.4
1640194,5.1,46.4,8.0,93.1,114.1
1640195,5.4,58.9,21.6,127.1,103.8
1640196,4.9,46.2,39.7,173.0,95.0
1640197,4.1,53.0,,67.6,164.8
1640198,6.9,72.6,6.1,117.0,155.9
1640199,8.5,49.5,2.5,102.0,128.8
1640200,8.9,51.0,5.0,48.7,75.7
1640201,6.3,40.1,3.7,80.1,100.1
1640202,7.5,29.5,4.2,106.3,75.2
1640203,6.6,35.7,16.3,103.2,89.6
1640204,4.9,50.5,132.0,80.7,107.9
1640205,6.4,42.5,16.4,69.4,107.9
1640206,9.2,74.0,2.3,98.4,61.2
1640207,7.4,30.2,,131.2,91.6
1640208,7.5,60.6,34.9,61.7,89.9
1640209,7.1,33.8,7.8,113.9,45.7
1640210,9.0,46.9,5.6,110.2,125.6
1640211,9.2,51.0,8.8,98.2,96.8
1640212,3.5,51.9,1.0,100.0,98.6
1640213,6.3,70.2,7.4,140.2,85.9
1640214,8.7,14.6,10.8,130.1,98.0
1640215,5.3,60.0,10.2,145.2,111.4
1640216,6.8,77.2,15.3,90.0,109.4
1640217,9.0,32.8,5.3,88.9,64.7
1640218,7.7,39.3,14.6,58.7,103.8
1640219,6.4,68.2,46.9,120.2,84.7
1640220,8.3,55.2,1.0,78.7,96.7
1640221,6.0,13.4,12.4,110.0,157.3
1640222,8.5,22.2,6.5,80.0,109.4
1640223,7.0,67.9,36.2,150.1,147.1
1640224,7.1,34.7,39.0,78.6,68.2
1640225,7.0,55.6,11.7,104.6,119.7
1640226,7.2,30.1,1.0,128.1,97.9
1640227,8.1,51.8,4.1,88.7,116.1
1640228,4.5,39.3,1.8,128.8,121.1
1640229,9.0,76.9,4.3,86.0,133.4
1640230,8.0,60.9,15.5,120.0,118.1
1640231,8.3,41.0,10.0,85.6,100.9
1640232,8.1,66.4,5.5,131.8,11.8
1640233,7.3,64.3,40.1,65.7,138.8
1640234,5.2,70.1,6.7,104.9,93.3
1640235,5.2,49.6,2.0,117.4,55.8
1640236,3.5,44.2,4.6,101.8,80.9
1640237,6.8,18.0,2.8,112.9,93.9
1640238,8.1,39.1,11.9,92.5,87.3
1640239,8.4,33.2,31.4,77.0,130.2
1640240,5.2,50.6,1.6,105.9,76.0
1640241,6.8,30.3,12.1,105.7,95.3
1640242,5.4,23.4,14.2,96.9,85.9
1640243,7.9,26.6,6.3,100.8,129.5
1640244,10.0,54.3,8.8,103.5,136.2
1640245,4.3,20.1,1.9,102.8,87.7
1640246,7.6,26.8,44.3,109.9,115.0
1640247,7.9,30.8,3.3,113.6,69.9
1640248,7.0,43.7,2.4,96.1,87.3
1640249,8.5,61.5,8.2,102.1,60.7
1640250,9.2,4.8,11.7,132.9,121.8
1640251,5.5,47.3,25.5,85.1,144.1
1640252,5.0,55.0,5.1,172.7,98.1
1640253,10.0,43.9,1.5,93.9,81.9
1640254,6.5,40.8,18.4,94.9,99.8
1640255,9.0,48.5,4.9,45.0,45.8
1640256,8.3,35.2,57.1,114.9,100.9
1640257,8.9,25.6,40.0,93.4,94.5
1640258,8.8,28.0,28.3,87.5,127.4
1640259,7.2,51.0,21.4,127.9,105.3
1640260,6.8,52.9,5.9,49.7,96.1
1640261,8.4,56.4,5.3,89.4,119.2
1640262,5.3,51.1,3.4,53.4,151.8
1640263,7.1,41.4,32.5,77.4,177.8
1640264,7.4,51.0,7.9,105.2,87.4
1640265,9.7,31.4,2.5,94.6,103.7
1640266,9.5,26.9,32.9,118.8,74.6
1640267,3.6,72.9,14.2,99.8,81.8
1640268,8.7,44.2,13.3,138.6,118.6
1640269,6.0,27.1,12.8,86.4,81.9
1640270,8.3,81.1,9.1,100.8,77.7
1640271,7.6,51.6,79.8,91.1,106.9
1640272,7.7,26.0,15.9,135.1,107.9
1640273,5.4,58.0,10.3,80.3,60.4
1640274,9.6,60.9,11.7,114.8,74.2
1640275,7.2,50.0,1.0,68.4,86.1
1640276,8.2,59.9,1.4,50.5,54.3
1640277,8.6,32.2,13.4,106.3,121.1
1640278,8.1,3.8,1.0,76.0,112.8
1640279,7.5,42.3,3.3,89.7,109.5
1640280,7.9,48.6,4.4,95.0,128.1
1640281,7.4,32.0,104.1,115.1,96.3
1640282,5.3,39.7,1.3,65.3,77.4
1640283,4.7,28.4,2.9,75.2,87.0
1640284,7.7,62.1,1.2,114.6,89.5
1640285,7.6,57.8,23.8,119.3,109.7
1640286,6.3,35.8,27.0,92.9,82.5
1640287,5.1,41.0,6.9,102.0,72.7
1640288,8.4,26.5,1.0,89.6,117.5
1640289,5.7,20.2,32.9,89.0,135.4
1640290,7.2,38.4,2.2,66.8,114.2
1640291,8.2,32.5,36.1,79.2,95.1
1640292,7.8,49.9,11.3,94.3,73.6
1640293,7.7,45.3,40.3,111.3,101.2
1640294,6.5,50.2,3.7,80.9,105.6
1640295,5.4,55.5,6.6,80.2,98.4
1640296,5.3,41.4,23.7,105.7,117.4
1640297,4.9,54.1,25.0,75.3,109.5
1640298,5.2,76.7,1.0,162.8,62.1
1640299,7.0,57.2,41.8,104.7,68.7
1640300,8.0,50.1,1.0,106.5,113.4
1640301,8.2,15.8,27.2,66.2,96.7
1640302,6.8,22.1,6.4,99.5,105.8
1640303,6.6,32.8,4.8,121.5,83.0
1640304,7.8,43.2,11.6,82.7,81.5
1640305,5.9,53.8,3.1,98.8,61.5
1640306,6.6,28.3,97.2,110.8,134.4
1640307,8.7,23.1,1.6,95.0,94.6
1640308,7.3,44.2,9.0,97.9,106.3
1640309,6.6,34.1,,117.2,66.7
1640310,7.0,34.3,5.6,130.4,97.5
1640311,8.1,47.8,1.0,83.3,77.5
1640312,6.4,53.3,14.2,109.4,78.6
1640313,6.5,58.4,5.9,78.5,87.6
1640314,6.7,27.0,40.5,111.5,132.3
1640315,9.0,37.9,14.6,123.1,40.4
1640316,8.9,12.4,7.5,121.8,159.9
1640317,8.3,51.8,14.3,146.4,111.1
1640318,4.2,61.1,,97.1,113.2
1640319,7.3,30.1,17.6,56.8,121.1
1640320,6.9,52.6,7.2,117.4,90.3
1640321,9.6,59.2,18.1,90.2,94.8
1640322,9.9,35.5,26.8,53.2,118.2
1640323,7.4,50.9,1.0,137.2,117.5
1640324,6.1,34.4,1.0,84.7,72.4
1640325,8.6,30.4,27.0,63.4,61.9
1640326,10.0,44.9,2.2,113.7,100.1
1640327,7.7,31.8,2.7,100.7,78.7
1640328,6.5,49.6,23.5,90.0,86.3
1640329,7.4,67.3,14.8,112.3,54.6
1640330,5.0,34.7,34.1,95.5,108.0
1640331,7.7,55.0,35.5,100.7,104.8
1640332,6.3,41.1,19.8,125.8,109.9
1640333,8.4,25.1,3.7,81.1,115.1
1640334,8.0,39.6,9.7,122.1,92.4
1640335,7.3,36.0,14.7,73.0,50.1
1640336,9.3,14.3,2.3,105.5,104.9
1640337,5.9,14.4,3.0,134.6,112.2
1640338,7.5,41.4,27.6,64.3,147.8
1640339,6.5,40.2,8.9,106.5,115.1
1640340,7.2,44.9,1.4,127.4,94.8
1640341,7.3,57.1,12.2,74.0,150.1
1640342,6.9,39.5,6.8,128.1,105.8
1640343,8.0,34.9,22.5,87.5,93.4
1640344,3.9,39.1,5.2,111.2,78.7
1640345,6.1,38.2,1.0,96.3,118.1
1640346,6.8,34.3,8.0,131.5,83.7
1640347,5.9,50.1,58.6,113.0,95.8
1640348,5.1,67.0,7.5,101.3,68.5
1640349,5.4,46.4,2.3,115.1,71.6
1640350,7.6,28.9,56.5,118.7,86.7
1640351,9.2,25.0,1.6,133.7,87.1
1640352,7.6,74.7,7.5,97.7,137.0
1640353,9.4,19.2,1.9,75.8,81.9
1640354,9.4,53.6,25.1,131.4,76.7
1640355,5.8,38.6,,106.2,120.0
1640356,7.8,24.7,8.0,140.0,71.4
1640357,8.4,20.6,10.0,155.5,114.7
1640358,9.8,27.4,14.8,104.4,78.1
1640359,4.0,64.3,27.5,107.4,93.4
1640360,7.7,28.6,15.1,87.6,73.2
1640361,8.3,59.6,52.5,113.2,70.6
1640362,8.2,47.9,7.9,81.1,107.8
1640363,7.8,48.1,,139.0,104.2
1640364,8.8,31.3,11.9,83.5,99.7
1640365,8.0,24.4,12.5,33.4,107.5
1640366,8.7,65.2,10.5,88.3,119.6
1640367,8.6,17.9,53.8,96.0,53.8
1640368,7.3,33.9,45.6,62.6,134.4
1640369,5.9,38.1,6.1,83.9,56.9
1640370,5.8,61.1,2.9,118.7,75.3
1640371,5.4,47.0,23.3,83.3,83.0
1640372,5.8,46.3,21.5,130.6,68.4
1640373,7.5,31.1,1.4,149.1,85.6
1640374,6.8,60.4,12.9,77.1,82.1
1640375,6.9,47.5,1.9,165.3,67.3
1640376,7.2,53.2,14.4,101.1,80.0
1640377,8.0,51.0,10.1,126.9,76.0
1640378,5.9,23.9,4.1,116.5,116.3
1640379,3.2,36.7,16.5,138.2,87.8
1640380,6.4,60.5,6.2,80.7,39.3
1640381,2.7,41.2,39.9,124.3,120.1
1640382,10.0,36.6,2.5,128.4,111.2
1640383,5.9,21.7,6.2,65.1,145.3
1640384,6.5,58.2,10.2,127.8,120.4
1640385,6.7,41.4,30.2,99.7,114.2
1640386,7.2,60.1,21.1,106.1,85.6
1640387,6.3,42.9,58.0,65.5,155.8
1640388,4.9,37.7,10.6,152.7,91.6
1640389,8.0,34.1,18.3,55.4,136.6
1640390,6.9,44.0,19.2,113.3,136.7
1640391,7.1,44.6,16.7,53.9,62.5
1640392,7.0,50.3,10.2,98.9,119.9
1640393,5.5,47.9,13.7,83.6,66.2
1640394,6.9,47.9,31.7,63.9,87.2
1640395,7.6,26.6,1.0,104.5,91.5
1640396,7.4,58.5,18.5,124.0,132.5
1640397,6.5,27.0,20.7,90.6,119.1
1640398,6.5,68.8,25.8,95.0,93.6
1640399,6.1,36.7,2.9,112.3,114.7
1640400,7.5,62.2,25.0,142.2,113.4
1640401,9.2,42.4,29.9,98.2,86.9
1640402,5.4,26.9,5.4,98.6,72.6
1640403,7.8,1.9,1.0,69.3,71.7
1640404,6.3,48.4,8.6,70.5,83.7
1640405,8.8,40.6,6.8,98.1,107.7
1640406,8.1,16.2,26.2,90.3,137.7
1640407,9.0,56.2,14.0,93.5,121.3
1640408,7.7,55.1,22.2,83.9,88.4
1640409,6.4,35.6,11.6,96.1,49.3
1640410,7.5,30.5,68.5,136.4,63.1
1640411,8.0,50.8,25.1,60.9,101.6
1640412,8.3,55.8,11.6,141.0,87.9
1640413,6.4,58.0,29.1,108.2,87.2
1640414,4.0,34.6,7.7,97.3,86.3
1640415,7.2,56.6,29.5,131.1,104.7
1640416,7.9,49.1,10.0,84.2,153.4
1640417,6.3,37.8,4.9,142.2,83.7
1640418,7.5,55.2,6.6,136.1,104.0
1640419,5.8,48.2,18.3,95.2,89.7
1640420,7.6,27.5,31.1,147.1,81.2
1640421,6.4,65.4,5.8,157.8,101.3
1640422,7.4,49.8,32.5,107.4,131.9
1640423,8.3,34.1,1.0,146.0,90.2
1640424,5.6,17.0,52.6,92.7,74.4
1640425,8.5,45.6,2.0,128.4,91.2
1640426,8.8,21.3,5.0,85.2,73.2
1640427,8.6,65.7,4.2,118.6,113.6
1640428,7.0,39.3,43.9,91.4,113.2
1640429,7.0,58.5,1.0,60.5,95.2
1640430,8.2,44.5,12.6,125.9,112.7
1640431,6.9,32.3,4.2,137.1,107.1
1640432,5.9,26.8,7.5,117.7,80.7
1640433,8.5,47.2,24.2,115.5,90.4
1640434,8.9,50.6,20.0,106.2,141.4
1640435,10.0,26.0,42.9,115.4,144.5
1640436,8.5,51.1,8.2,123.6,89.5
1640437,8.4,47.9,34.9,130.1,116.7
1640438,5.6,39.1,23.7,137.3,152.3
1640439,9.6,31.6,10.9,121.6,72.1
1640440,8.2,46.3,7.3,115.4,46.8
1640441,8.5,43.0,2.4,153.3,81.6
1640442,9.5,53.1,15.1,101.6,138.4
1640443,8.3,10.0,5.5,84.0,110.3
1640444,6.8,10.3,10.0,110.6,105.2
1640445,3.6,46.0,1.0,69.7,121.3
1640446,8.0,64.8,6.6,76.5,74.7
1640447,8.0,56.9,11.0,140.2,92.6
1640448,7.2,75.6,7.2,89.4,80.9
1640449,6.8,52.4,2.0,80.3,87.8
1640450,5.7,50.0,2.1,83.7,74.7
1640451,4.7,53.8,3.2,153.2,111.4
1640452,6.9,42.8,2.8,72.6,88.1
1640453,1.8,25.2,13.9,66.5,122.6
1640454,9.3,49.6,44.2,134.4,92.5
1640455,6.3,39.9,4.5,94.5,100.1
1640456,4.6,72.0,15.3,145.6,130.1
1640457,7.2,38.5,13.5,96.2,54.4
1640458,8.2,46.0,15.4,62.2,118.1
1640459,6.7,60.7,21.6,100.3,67.8
1640460,9.5,45.4,1.0,96.8,109.6
1640461,7.7,66.5,13.4,143.5,114.8
1640462,5.1,35.2,6.6,49.4,26.3
1640463,7.9,60.7,16.6,89.5,100.7
1640464,5.1,41.7,36.5,107.3,86.2
1640465,9.8,56.1,3.2,96.7,128.3
1640466,6.1,23.3,4.8,102.8,103.8
1640467,8.2,54.3,32.1,96.2,130.4
1640468,7.1,44.3,19.8,88.5,113.4
1640469,7.2,50.8,8.8,110.9,84.1
1640470,8.1,45.9,1.0,97.7,61.8
1640471,9.7,47.1,36.4,72.8,108.3
1640472,6.8,53.8,16.6,102.5,122.0
1640473,6.3,51.8,20.1,62.4,112.9
1640474,6.3,52.9,11.5,92.7,115.9
1640475,7.5,20.9,13.0,73.5,83.1
1640476,7.3,33.7,20.4,119.7,95.6
1640477,7.4,40.8,12.0,113.4,82.8
1640478,6.4,52.1,19.5,66.3,125.2
1640479,7.1,32.2,6.5,75.3,143.6
1640480,7.0,49.1,15.2,86.5,104.9
1640481,6.5,51.7,18.2,132.0,100.6
1640482,5.6,43.0,7.3,126.3,91.4
1640483,6.1,45.2,22.3,92.7,122.9
1640484,5.2,47.3,4.5,117.4,89.8
1640485,9.4,46.8,48.4,117.4,113.4
1640486,7.2,19.8,6.0,95.3,98.9
1640487,7.4,54.7,1.0,142.3,85.1
1640488,7.0,55.4,1.2,91.2,69.8
1640489,7.4,41.8,20.1,104.4,94.4
1640490,9.1,48.3,54.9,132.5,115.8
1640491,8.6,47.6,18.3,119.6,78.1
1640492,4.1,41.7,1.4,79.2,112.0
1640493,6.3,37.5,4.0,103.3,110.3
1640494,5.7,2.8,40.3,81.1,63.5
1640495,6.0,20.3,10.3,153.0,113.7
1640496,8.0,59.3,15.9,128.3,88.1
1640497,6.2,57.6,29.4,102.2,85.5
1640498,7.6,40.9,21.0,75.8,100.8
1640499,7.5,49.3,18.7,115.4,79.1
1640500,7.4,46.3,19.2,131.6,87.1
1640501,8.6,58.7,12.7,77.3,70.1
1640502,5.5,32.9,2.8,102.8,109.8
1640503,4.3,67.5,10.8,56.3,140.5
1640504,6.6,40.9,11.2,83.7,106.3
1640505,6.6,52.9,8.7,62.9,102.9
1640506,7.3,44.6,10.6,84.4,119.8
1640507,8.2,28.3,25.5,100.3,96.5
1640508,7.9,69.5,14.0,113.8,96.8
1640509,5.0,37.7,3.9,85.6,133.8
1640510,8.3,30.4,34.4,131.3,87.9
1640511,8.3,46.1,23.6,95.5,94.5
1640512,9.1,53.9,18.5,105.6,97.2
1640513,8.7,52.4,13.9,126.7,98.8
1640514,8.8,56.2,19.7,64.5,92.3
1640515,7.7,37.7,1.0,100.1,80.6
1640516,7.4,46.1,20.6,80.8,89.4
1640517,7.2,63.5,3.4,55.5,68.1
1640518,8.8,35.8,4.8,101.9,66.1
1640519,7.6,45.3,2.8,125.8,133.4
1640520,7.7,57.4,28.2,130.2,97.8
1640521,8.3,31.3,14.1,105.7,109.0
1640522,5.4,32.4,1.0,101.0,140.4
1640523,6.9,55.4,15.1,84.5,89.0
1640524,7.3,45.2,54.0,137.4,103.8
1640525,9.1,49.3,10.5,64.4,128.4
1640526,7.4,42.8,41.6,116.7,89.9
1640527,10.0,72.3,7.1,99.8,134.1
1640528,4.7,60.6,6.8,115.1,66.5
1640529,8.4,42.5,3.9,85.8,104.3
1640530,7.0,31.3,17.7,128.4,89.4
1640531,4.0,37.5,5.8,123.7,154.4
1640532,7.4,66.0,28.9,55.2,103.0
1640533,8.0,19.8,1.0,83.5,51.7
1640534,8.8,56.1,4.7,113.2,132.0
1640535,7.0,30.8,26.4,91.2,114.1
1640536,5.6,68.8,2.0,126.3,45.3
1640537,7.6,39.4,16.2,116.8,101.4
1640538,8.6,84.3,46.5,85.1,84.1
1640539,6.3,45.5,7.2,70.0,69.8
1640540,7.8,78.2,6.5,110.2,136.7
1640541,4.7,39.5,2.2,72.5,102.2
1640542,6.7,16.8,7.8,75.3,133.1
1640543,7.9,39.9,17.1,106.3,48.2
1640544,8.2,26.2,11.2,55.0,120.5
1640545,5.6,78.5,1.5,132.8,94.9
1640546,5.2,46.3,60.8,101.0,88.2
1640547,7.8,34.5,2.7,104.3,119.1
1640548,8.7,53.7,25.1,115.3,82.9
1640549,10.0,39.8,38.0,134.2,69.7
1640550,5.6,59.5,41.6,112.5,45.5
1640551,6.7,56.4,2.0,95.9,77.8
1640552,8.9,62.4,2.2,105.9,166.5
1640553,10.0,49.5,10.4,67.2,110.9
1640554,5.9,22.5,55.9,98.4,78.9
1640555,5.4,38.8,2.3,113.1,100.0
1640556,6.4,65.8,5.1,78.4,136.8
1640557,8.2,30.1,3.5,93.7,69.8
1640558,8.6,47.5,1.0,113.4,108.9
1640559,6.6,27.8,6.5,58.1,119.6
1640560,4.5,29.8,51.5,86.5,95.4
1640561,7.5,37.9,7.2,153.6,141.4
1640562,4.5,52.2,24.0,119.5,112.2
1640563,5.6,50.5,5.2,62.9,101.0
1640564,4.5,41.3,18.6,118.4,110.4
1640565,7.5,28.8,2.7,108.2,75.4
1640566,4.9,49.6,11.2,66.6,78.2
1640567,8.0,60.1,38.5,141.7,49.5
1640568,6.9,17.9,6.3,74.7,114.7
1640569,6.5,25.5,21.7,88.9,72.7
1640570,5.7,32.7,,98.2,100.1
1640571,6.1,43.0,6.4,92.1,87.5
1640572,7.7,21.2,1.0,109.8,86.9
1640573,5.8,60.2,2.9,166.9,117.7
1640574,9.1,26.7,8.8,118.7,110.4
1640575,7.3,69.7,2.1,88.3,65.4
1640576,6.4,19.2,7.6,62.6,92.9
1640577,5.6,47.0,12.2,139.4,103.7
1640578,6.5,55.8,12.6,110.4,54.9
1640579,9.6,58.4,4.5,109.1,82.1
1640580,9.4,46.5,3.5,49.9,126.8
