EmployeeID,WellnessSpend_K,GymVisitsMonthly,JobStressLevel,TotalUsageScore,OneYearStay
1500114,63.2,143.8,15.4,4.6,1
1500115,73.1,127.0,109.8,6.7,0
1500116,99.0,100.2,87.7,6.4,0
1500117,,123.2,132.1,10.0,0
1500118,113.0,104.9,99.1,7.9,1
1500119,59.7,83.1,128.8,6.3,0
1500120,106.9,102.4,116.8,9.9,0
1500121,67.2,133.2,118.3,6.2,1
1500122,79.0,132.6,104.8,6.8,0
1500123,90.4,100.2,108.0,8.2,0
1500124,,81.0,132.5,7.9,0
1500125,76.0,128.7,107.1,9.9,0
1500126,30.4,103.8,89.1,6.8,0
1500127,110.9,81.2,89.6,7.7,1
1500128,114.8,91.1,121.0,6.8,1
1500129,45.7,83.5,80.6,7.2,1
1500130,88.0,73.2,129.8,7.5,1
1500131,75.5,110.8,76.9,6.4,1
1500132,53.1,116.1,82.5,7.5,0
1500133,30.3,91.0,81.5,6.6,1
1500134,44.9,108.5,32.7,9.9,0
1500135,109.7,93.1,86.5,6.8,1
1500136,89.9,67.1,119.4,8.4,1
1500137,77.5,101.6,139.0,8.1,1
1500138,39.7,93.3,120.6,6.7,0
1500139,37.8,98.4,83.6,9.1,0
1500140,57.3,55.4,82.8,8.5,1
1500141,51.7,89.0,73.0,7.8,1
1500142,61.2,112.1,93.9,9.9,1
1500143,76.7,91.4,102.8,7.7,0
1500144,82.5,92.5,68.8,8.6,1
1500145,48.4,81.7,70.6,5.9,0
1500146,76.1,123.8,58.4,8.9,0
1500147,73.1,91.2,129.1,5.7,1
1500148,76.6,69.8,87.6,6.4,1
1500149,63.7,75.7,118.8,7.7,1
1500150,107.7,101.2,117.0,8.0,1
1500151,93.0,58.5,104.9,6.6,0
1500152,88.8,109.3,89.1,6.2,0
1500153,91.4,99.7,86.9,7.4,0
1500154,64.2,96.0,109.3,8.0,1
1500155,83.3,75.9,78.7,7.5,0
1500156,32.8,76.5,106.9,9.1,0
1500157,62.8,117.0,127.3,7.7,1
1500158,58.6,128.3,93.4,6.8,0
1500159,50.1,74.9,85.7,6.7,1
1500160,96.8,115.8,71.2,4.2,1
1500161,83.4,63.2,130.0,8.3,0
1500162,87.0,112.3,116.3,6.4,0
1500163,91.5,103.6,94.9,7.1,1
1500164,104.0,58.4,80.2,9.3,1
1500165,79.7,109.5,90.6,8.0,1
1500166,48.5,61.3,41.9,4.5,0
1500167,106.2,136.9,129.2,8.0,0
1500168,90.4,97.8,108.1,6.5,0
1500169,88.4,43.9,100.6,7.5,0
1500170,83.1,105.5,97.0,7.5,0
1500171,94.3,137.8,114.0,7.8,0
1500172,91.7,95.0,82.7,7.9,1
1500173,88.7,137.6,140.9,6.8,0
1500174,59.4,55.3,128.6,6.0,1
1500175,97.8,102.3,92.4,10.0,0
1500176,76.1,96.6,97.4,8.1,0
1500177,84.2,85.2,108.3,8.2,1
1500178,93.1,86.7,135.9,6.7,1
1500179,67.9,109.0,104.9,7.8,1
1500180,93.1,97.8,105.9,8.1,1
1500181,66.5,53.9,112.6,6.8,0
1500182,83.3,80.7,107.3,7.9,0
1500183,20.0,103.2,70.0,6.5,0
1500184,74.0,109.1,93.1,5.4,1
1500185,92.7,121.2,101.5,10.0,1
1500186,110.8,115.5,95.3,7.3,1
1500187,72.5,127.3,83.6,6.1,0
1500188,69.1,126.2,126.1,7.5,1
1500189,83.8,108.7,120.6,10.0,1
1500190,120.0,107.2,142.3,9.9,0
1500191,102.0,96.7,112.6,7.3,1
1500192,76.0,87.8,91.1,9.3,0
1500193,88.7,51.4,116.0,9.1,1
1500194,89.0,89.0,62.3,6.3,1
1500195,82.8,109.1,95.9,8.0,0
1500196,75.9,138.1,97.5,6.2,1
1500197,80.6,105.5,117.4,6.0,1
1500198,71.1,137.5,96.6,7.0,0
1500199,63.2,119.9,37.3,7.4,0
1500200,38.8,83.5,69.2,6.8,0
1500201,74.3,130.7,116.3,7.2,1
1500202,62.6,131.5,54.2,5.2,1
1500203,76.0,73.1,115.3,7.9,1
1500204,47.6,114.4,97.8,7.5,0
1500205,79.2,76.9,158.3,7.6,1
1500206,65.7,108.3,96.7,5.8,0
1500207,61.9,130.7,108.6,8.6,1
1500208,64.7,48.1,138.1,6.4,1
1500209,40.2,120.0,98.9,6.2,1
1500210,101.0,132.9,133.3,5.7,1
1500211,44.2,76.0,68.0,7.0,0
1500212,129.3,101.8,107.8,9.4,0
1500213,70.7,125.8,87.0,5.4,1
1500214,88.0,87.7,101.1,8.0,1
1500215,57.5,122.1,117.1,6.4,1
1500216,85.3,105.4,105.6,7.4,1
1500217,69.1,85.9,110.2,8.4,1
1500218,96.7,109.2,138.3,9.6,0
1500219,30.6,117.8,126.5,8.4,0
1500220,129.4,70.6,48.0,6.5,1
1500221,51.7,84.9,68.2,6.3,1
1500222,104.0,89.4,128.8,6.9,0
1500223,67.3,78.4,54.0,5.9,1
1500224,80.7,96.7,102.5,8.7,1
1500225,75.7,84.2,118.3,7.9,0
1500226,90.9,147.0,158.8,6.7,0
1500227,48.9,65.8,96.0,7.7,0
1500228,70.8,65.0,145.4,8.5,0
1500229,23.8,127.9,62.7,7.0,1
1500230,46.7,92.2,122.8,8.9,0
1500231,83.3,109.7,80.2,6.8,0
1500232,83.6,71.8,79.3,6.4,1
1500233,81.4,93.1,116.0,8.9,0
1500234,80.4,150.8,121.6,8.6,1
1500235,99.4,133.8,79.2,5.3,0
1500236,104.8,112.8,128.1,9.0,1
1500237,,104.6,87.1,10.0,0
1500238,62.4,80.0,115.1,6.2,0
1500239,97.5,88.1,116.2,7.6,0
1500240,51.1,74.6,173.4,7.9,0
1500241,26.4,105.5,106.4,9.0,1
1500242,92.2,92.8,101.6,6.6,1
1500243,111.1,90.4,128.8,7.3,1
1500244,92.6,75.8,121.9,8.2,1
1500245,98.2,66.7,74.0,10.0,1
1500246,80.1,100.6,95.4,7.8,0
1500247,78.5,89.0,144.1,7.7,0
1500248,84.6,87.2,119.4,7.5,1
1500249,38.2,49.2,75.5,7.6,0
1500250,90.2,80.0,63.6,6.4,0
1500251,76.2,119.2,101.5,5.1,1
1500252,90.2,100.8,114.2,7.5,0
1500253,93.7,59.6,95.6,8.4,0
1500254,58.2,91.6,113.6,2.8,1
1500255,60.2,66.7,111.9,7.1,0
1500256,96.7,110.9,53.3,6.5,0
1500257,70.4,120.4,105.2,6.8,1
1500258,95.8,84.0,102.5,10.0,0
1500259,78.8,125.4,48.3,8.0,1
1500260,82.1,117.9,93.3,4.7,1
1500261,82.0,115.4,52.6,8.0,0
1500262,64.3,127.6,103.9,6.0,0
1500263,49.5,122.0,87.3,6.5,0
1500264,83.1,72.3,160.3,8.7,1
1500265,51.0,99.2,73.0,4.6,0
1500266,69.4,84.8,73.8,8.2,0
1500267,56.9,139.0,95.4,9.9,0
1500268,102.7,101.1,84.5,6.2,1
1500269,83.0,78.8,101.8,7.4,1
1500270,58.4,99.8,85.4,5.5,0
1500271,91.7,69.6,87.1,5.2,0
1500272,119.3,90.5,74.1,9.0,0
1500273,53.1,81.8,107.6,8.3,0
1500274,66.5,101.5,107.5,8.3,0
1500275,60.5,50.4,101.8,7.6,0
1500276,84.0,113.9,121.6,8.5,0
1500277,118.5,139.8,134.2,8.0,0
1500278,38.7,104.9,118.4,7.4,1
1500279,52.0,110.9,68.4,9.3,0
1500280,92.4,119.3,115.6,7.6,1
1500281,61.8,92.9,76.3,7.4,0
1500282,,127.2,87.6,8.5,1
1500283,110.9,68.4,122.1,8.1,0
1500284,82.8,83.3,86.8,5.5,0
1500285,79.7,79.0,85.5,7.8,0
1500286,78.1,172.6,102.4,5.8,0
1500287,82.1,102.3,146.3,8.1,1
1500288,56.1,106.6,96.8,8.0,0
1500289,92.3,65.7,65.1,6.3,0
1500290,67.5,93.0,69.3,10.0,0
1500291,57.6,106.8,122.3,8.3,1
1500292,65.1,119.6,129.9,5.7,0
1500293,72.0,97.7,63.3,8.8,1
1500294,76.0,132.1,89.7,9.9,1
1500295,68.5,99.8,109.5,5.6,0
1500296,20.0,90.6,89.9,8.3,1
1500297,115.5,111.8,131.2,8.2,1
1500298,62.7,103.9,87.4,7.3,0
1500299,47.8,98.8,65.8,4.2,0
1500300,26.7,141.3,110.9,7.3,1
1500301,81.9,95.4,124.8,8.2,0
1500302,63.0,113.7,116.2,7.1,1
1500303,65.4,78.6,92.8,9.1,0
1500304,69.0,93.2,74.8,7.9,1
1500305,58.6,147.4,60.1,7.6,1
1500306,64.0,102.4,123.5,4.7,0
1500307,61.2,119.2,67.0,7.8,1
1500308,70.1,118.6,134.2,8.5,1
1500309,99.1,76.3,50.3,6.9,0
1500310,64.6,67.4,115.7,7.6,1
1500311,67.2,49.5,62.8,6.0,0
1500312,74.5,104.3,81.3,9.2,0
1500313,61.4,85.5,75.3,6.7,0
1500314,66.4,82.8,97.1,5.4,0
1500315,87.7,102.0,88.5,4.3,0
1500316,66.1,68.0,111.3,9.4,0
1500317,92.2,112.3,137.8,6.6,0
1500318,77.2,108.5,105.6,7.0,0
1500319,42.3,114.9,75.8,4.9,0
1500320,74.9,120.7,81.7,5.4,0
1500321,86.0,63.7,79.1,10.0,1
1500322,108.4,108.6,65.4,6.0,1
1500323,69.2,72.8,129.4,9.4,0
1500324,58.3,70.1,101.1,8.9,1
1500325,86.6,72.6,111.3,7.2,1
1500326,52.5,79.9,105.0,8.9,1
1500327,,110.2,114.3,6.7,0
1500328,95.5,89.3,65.8,7.1,0
1500329,51.6,104.8,93.6,2.0,0
1500330,69.7,61.6,42.7,6.0,0
1500331,73.8,67.7,136.0,9.2,1
1500332,64.7,105.8,129.2,10.0,1
1500333,77.9,123.1,68.1,7.7,1
1500334,46.1,146.8,97.5,3.8,0
1500335,105.9,80.9,77.0,9.0,1
1500336,77.6,105.7,42.8,8.7,0
1500337,63.1,70.7,142.0,6.1,0
1500338,99.9,70.8,110.2,3.8,0
1500339,74.7,79.4,121.1,7.9,0
1500340,50.6,100.3,108.5,8.3,0
1500341,46.8,85.2,90.7,5.3,0
1500342,35.1,71.1,73.6,7.7,1
1500343,107.3,78.6,133.9,6.7,1
1500344,100.7,93.8,95.4,6.8,1
1500345,91.6,106.4,82.2,6.8,0
1500346,83.4,96.7,80.2,8.4,0
1500347,77.6,109.7,97.0,8.5,0
1500348,113.4,87.1,115.9,10.0,0
1500349,83.0,146.4,103.2,7.1,1
1500350,77.1,134.9,134.4,7.8,1
1500351,79.3,106.4,116.2,7.0,1
1500352,103.6,123.8,126.1,6.2,0
1500353,63.7,127.5,132.6,8.0,0
1500354,104.9,120.7,77.7,7.3,1
1500355,71.1,85.5,87.9,7.4,0
1500356,114.3,108.4,83.6,5.2,0
1500357,54.2,104.8,91.4,6.1,0
1500358,69.5,103.2,87.9,6.2,0
1500359,90.3,109.9,86.4,6.2,1
1500360,114.8,65.9,88.8,7.6,0
1500361,97.6,57.7,74.4,8.5,1
1500362,88.5,106.4,137.8,7.2,1
1500363,49.5,64.0,147.5,7.1,0
1500364,71.6,102.9,81.1,8.2,0
1500365,65.8,125.9,73.4,7.6,1
1500366,100.0,127.1,91.2,8.5,0
1500367,102.5,133.7,119.9,7.7,0
1500368,113.4,90.7,80.5,7.4,0
1500369,70.3,75.3,87.0,4.1,0
1500370,88.0,72.3,72.4,8.2,1
1500371,53.4,126.7,116.3,3.7,1
1500372,80.1,84.3,113.8,4.4,1
1500373,43.6,106.8,136.5,5.4,1
1500374,85.8,87.2,97.6,5.8,1
1500375,46.8,87.2,69.7,6.7,1
1500376,117.7,160.1,104.4,6.5,1
1500377,,85.6,78.8,5.1,1
1500378,73.8,108.4,56.1,7.0,0
1500379,84.2,64.9,80.5,5.0,1
1500380,74.0,111.0,105.4,7.1,0
1500381,52.5,81.9,72.6,6.4,1
1500382,79.4,86.7,78.5,7.8,0
1500383,56.5,74.9,102.5,6.6,0
1500384,95.4,168.2,72.5,8.8,0
1500385,91.8,69.7,137.9,10.0,0
1500386,68.0,63.1,66.8,8.9,0
1500387,63.8,120.0,48.4,9.6,1
1500388,57.3,142.8,108.6,8.3,0
1500389,68.6,80.1,98.3,7.6,0
1500390,80.5,90.3,121.0,10.0,0
1500391,48.1,88.8,88.1,9.2,0
1500392,58.4,108.5,112.6,8.5,1
1500393,67.2,65.1,72.5,8.9,1
1500394,61.3,70.8,102.6,4.7,1
1500395,58.8,68.0,145.6,7.4,1
1500396,81.7,33.8,122.6,6.3,1
1500397,109.1,89.9,142.4,4.7,0
1500398,107.8,137.7,101.6,8.0,1
1500399,86.1,107.4,99.4,10.0,0
1500400,,116.5,91.0,8.3,0
1500401,93.1,134.4,99.9,7.0,1
1500402,84.4,103.5,53.8,3.7,1
1500403,93.7,42.3,98.5,6.8,0
1500404,79.6,105.2,93.2,8.5,1
1500405,85.6,87.4,70.6,7.9,1
1500406,25.7,110.3,109.4,8.9,0
1500407,122.2,118.9,107.5,4.3,0
1500408,82.3,115.4,101.3,9.5,1
1500409,66.4,114.1,150.2,8.0,0
1500410,59.2,89.8,71.1,6.4,1
1500411,91.1,115.4,86.2,3.7,1
1500412,76.8,147.7,126.4,8.3,0
1500413,38.8,71.8,164.0,6.6,1
1500414,44.5,67.0,116.4,6.9,1
1500415,68.7,79.7,96.0,7.8,1
1500416,86.1,106.5,117.2,9.3,0
1500417,44.9,126.8,83.4,5.8,0
1500418,59.5,136.6,78.4,9.8,0
1500419,56.1,75.6,96.7,6.0,0
1500420,82.8,75.6,103.3,9.3,0
1500421,65.2,102.4,127.4,5.1,0
1500422,73.5,147.8,155.9,5.0,0
1500423,,145.3,80.4,7.6,0
1500424,96.8,146.0,95.7,8.7,0
1500425,101.0,118.7,96.6,5.9,1
1500426,79.9,94.5,92.3,5.2,0
1500427,62.7,105.1,137.3,7.8,0
1500428,51.6,141.7,77.7,7.4,0
1500429,99.6,125.9,107.8,5.9,0
1500430,49.7,71.5,81.6,6.9,1
1500431,115.8,98.6,91.8,8.0,1
1500432,74.2,126.0,72.5,5.9,1
1500433,37.0,131.8,79.3,8.8,1
1500434,65.9,133.0,96.4,8.6,0
1500435,41.8,111.2,104.1,5.2,0
1500436,63.6,76.1,133.9,6.1,1
1500437,75.8,67.8,87.2,7.5,1
1500438,50.1,115.6,94.9,6.2,1
1500439,108.3,107.2,108.7,7.8,1
1500440,62.3,93.2,78.6,7.1,1
1500441,72.5,73.9,76.2,8.4,0
1500442,59.8,140.0,106.2,8.1,1
1500443,95.1,90.5,82.0,4.1,0
1500444,59.3,168.7,130.4,7.0,1
1500445,38.0,135.8,100.8,8.1,0
1500446,93.4,90.3,37.5,8.9,0
1500447,97.9,109.1,69.8,8.2,0
1500448,81.9,132.5,114.3,5.9,1
1500449,88.5,69.0,72.1,6.5,0
1500450,63.7,144.8,15.5,7.4,0
1500451,62.8,110.8,111.8,6.7,1
1500452,73.9,122.3,123.9,7.9,0
1500453,50.9,117.3,67.9,7.3,1
1500454,58.2,124.0,90.2,7.0,0
1500455,73.8,128.3,91.0,6.5,0
1500456,50.1,100.7,125.3,9.4,0
1500457,72.8,103.2,133.4,6.4,1
1500458,85.3,63.7,141.1,7.7,0
1500459,53.1,75.7,70.3,9.5,0
1500460,41.3,106.9,44.4,8.7,1
1500461,99.3,85.0,157.2,8.9,0
1500462,79.6,74.6,129.0,6.7,0
1500463,64.0,80.6,106.3,5.2,0
1500464,58.9,95.9,71.6,5.7,0
1500465,71.2,40.4,109.3,7.6,1
1500466,69.9,88.7,79.9,6.7,1
1500467,72.0,100.2,92.8,6.5,1
1500468,85.2,99.6,105.4,6.1,0
1500469,84.4,91.6,120.8,7.6,0
1500470,99.6,72.4,84.6,5.3,1
1500471,83.0,53.7,77.1,9.1,1
1500472,96.2,127.5,71.0,7.6,1
1500473,45.7,127.5,108.5,5.1,1
1500474,75.3,124.7,117.2,6.0,0
1500475,77.1,135.8,117.8,7.1,0
1500476,43.6,88.6,56.0,5.9,0
1500477,63.8,101.0,51.4,7.2,0
1500478,85.9,135.0,78.3,8.7,1
1500479,77.8,131.3,146.2,7.1,1
1500480,59.1,73.0,124.0,8.0,0
1500481,82.3,97.0,131.3,7.6,0
1500482,99.6,103.2,119.4,6.7,1
1500483,61.3,155.1,103.4,5.8,0
1500484,110.5,130.2,117.2,8.1,0
1500485,66.4,77.9,69.7,8.4,1
1500486,56.5,105.8,115.7,7.6,0
1500487,103.7,76.3,81.1,6.8,0
1500488,83.0,114.8,145.4,7.4,1
1500489,82.9,104.8,117.9,9.4,0
1500490,57.9,94.7,15.6,5.5,0
1500491,56.7,96.2,97.1,5.3,0
1500492,95.9,128.6,85.4,5.6,0
1500493,72.2,104.3,157.5,5.4,1
1500494,50.3,98.6,57.8,7.2,0
1500495,69.8,105.6,43.9,8.0,0
1500496,102.8,121.5,68.6,9.4,0
1500497,87.1,86.4,78.3,7.4,0
1500498,40.1,61.7,89.3,6.4,1
1500499,74.4,78.2,103.7,8.3,0
1500500,78.0,90.1,120.4,7.5,1
1500501,53.5,142.3,89.3,8.2,0
1500502,56.8,108.0,76.2,7.9,1
1500503,55.4,100.3,100.4,8.5,1
1500504,35.2,94.7,71.9,6.4,1
1500505,48.7,125.9,113.0,6.2,0
1500506,90.0,88.9,72.3,6.8,1
1500507,88.6,98.9,110.2,7.5,1
1500508,83.8,61.7,146.0,5.4,1
1500509,82.9,146.3,93.0,7.4,0
1500510,53.1,127.4,110.5,6.7,0
1500511,76.6,98.4,145.6,9.6,0
1500512,80.4,63.6,102.7,9.1,0
1500513,83.4,70.4,103.3,7.2,1
1500514,87.2,111.9,107.3,6.3,1
1500515,80.7,113.0,86.8,7.0,0
1500516,113.4,157.3,120.6,9.1,0
1500517,100.0,85.1,133.5,8.1,0
1500518,61.5,59.3,108.1,6.9,0
1500519,53.5,77.5,93.3,6.4,1
1500520,91.4,107.2,107.5,9.8,0
1500521,84.5,91.0,73.8,6.3,1
1500522,122.6,133.2,115.1,6.3,0
1500523,64.8,83.0,90.8,6.4,0
1500524,84.6,115.5,78.7,8.1,0
1500525,96.6,68.4,95.4,7.8,1
1500526,104.2,73.1,93.9,7.3,1
1500527,88.8,98.0,75.2,7.7,1
1500528,68.6,158.3,109.2,7.4,0
1500529,99.5,97.6,93.5,8.7,0
1500530,92.6,84.1,88.4,9.8,1
1500531,95.0,97.7,113.9,9.3,0
1500532,79.4,107.7,71.6,7.6,1
1500533,76.3,97.4,107.9,9.8,0
1500534,59.6,132.9,110.5,6.4,1
1500535,72.3,112.5,157.9,8.1,0
1500536,86.0,137.4,89.0,6.9,0
1500537,99.3,126.8,84.2,7.0,0
1500538,89.0,51.1,79.6,7.7,0
1500539,55.0,99.8,72.7,6.0,0
1500540,84.8,98.0,95.7,5.4,0
1500541,87.5,133.8,142.7,4.4,0
1500542,104.0,106.5,79.4,7.7,1
1500543,85.6,136.5,84.9,6.7,0
1500544,64.4,108.5,85.8,8.5,0
1500545,110.2,89.8,120.2,9.6,0
1500546,84.2,115.5,75.0,9.5,0
1500547,23.2,138.4,99.2,8.7,1
1500548,66.3,116.0,118.0,7.0,0
1500549,92.5,144.1,134.4,8.0,0
1500550,77.1,108.9,65.9,7.9,1
1500551,77.0,105.5,110.9,7.3,0
1500552,84.4,155.6,63.3,9.9,0
1500553,50.0,120.9,115.5,7.8,0
1500554,99.0,122.5,103.9,5.6,1
1500555,56.2,157.8,100.3,8.1,0
1500556,58.7,112.2,120.1,6.0,0
1500557,101.6,74.0,84.5,7.6,1
1500558,111.6,82.0,165.9,9.0,1
1500559,48.4,63.6,105.9,7.5,0
1500560,131.4,86.2,145.1,10.0,1
1500561,60.7,78.5,106.5,2.0,1
1500562,89.2,107.9,109.3,6.1,1
1500563,95.9,100.2,96.0,6.5,1
1500564,85.6,83.6,135.2,6.6,1
1500565,53.7,127.7,87.8,6.4,1
1500566,75.4,87.3,104.8,7.9,0
1500567,103.4,89.6,100.2,7.7,1
1500568,57.6,81.9,125.9,7.8,1
1500569,108.8,99.5,97.2,8.2,1
1500570,97.0,69.7,92.6,6.7,0
1500571,90.0,114.5,74.6,9.4,0
1500572,43.2,61.8,121.0,8.2,0
1500573,74.9,122.5,92.8,7.0,1
1500574,81.2,70.6,139.9,8.3,0
1500575,71.6,111.8,63.4,7.2,0
1500576,99.0,68.7,105.4,6.2,0
1500577,66.0,86.3,83.0,8.1,0
1500578,81.0,83.2,94.2,5.3,1
1500579,93.8,97.6,88.5,5.3,1
1500580,78.3,106.7,72.9,6.5,0
1500581,102.3,65.2,101.0,8.2,0
1500582,76.8,56.2,134.4,6.6,0
1500583,63.8,112.4,87.3,7.8,1
1500584,59.7,77.7,56.5,6.7,1
1500585,93.0,114.4,98.5,8.1,0
1500586,80.9,77.6,109.5,7.9,0
1500587,78.7,105.8,92.8,6.5,1
1500588,71.1,100.7,98.5,8.3,0
1500589,77.6,85.3,87.9,6.4,0
1500590,65.3,120.8,66.2,7.0,0
1500591,80.3,90.0,94.2,7.4,0
1500592,81.5,132.0,111.0,7.9,1
1500593,69.7,126.2,66.8,7.3,0
1500594,70.7,93.6,131.1,5.6,0
1500595,,105.1,117.6,6.2,0
1500596,84.0,114.1,82.9,7.1,1
1500597,94.4,54.3,106.7,7.0,0
1500598,69.0,78.7,94.1,7.1,1
1500599,52.9,115.1,106.5,8.2,1
1500600,81.9,111.3,78.1,5.8,0
1500601,73.3,102.7,130.6,7.8,1
1500602,49.4,94.6,108.4,7.2,0
1500603,75.0,121.7,123.3,7.8,0
1500604,46.6,101.4,87.8,9.8,0
1500605,77.3,109.1,151.3,8.8,0
1500606,54.9,101.9,99.4,6.8,0
1500607,88.2,88.3,73.3,7.9,1
1500608,60.9,62.7,100.2,5.5,0
1500609,102.9,46.1,112.6,5.9,1
1500610,105.8,91.7,88.2,5.8,1
1500611,67.7,116.3,94.5,6.4,0
1500612,63.3,109.4,102.0,6.2,0
1500613,34.2,89.4,123.3,8.4,1
1500614,107.2,74.0,127.7,10.0,0
1500615,56.0,77.7,125.8,7.5,0
1500616,89.1,117.5,108.2,6.9,1
1500617,74.6,54.4,64.7,6.7,1
1500618,89.5,74.9,52.5,6.5,1
1500619,87.9,95.8,103.7,7.8,0
1500620,98.1,97.2,117.4,7.4,0
1500621,84.3,82.3,150.9,7.5,0
1500622,55.5,88.9,38.4,7.2,1
1500623,62.8,93.1,144.1,8.4,0
1500624,71.3,141.3,95.2,8.9,1
1500625,108.0,80.5,74.9,9.2,0
1500626,56.5,92.9,106.9,8.3,0
1500627,99.4,104.4,116.2,7.8,1
1500628,43.7,93.5,99.9,7.0,0
1500629,103.6,112.4,127.2,8.2,0
1500630,64.0,48.7,75.0,6.7,1
1500631,82.3,77.7,115.2,8.1,0
1500632,57.9,110.2,71.1,10.0,0
1500633,68.2,106.8,87.0,7.0,1
