Year,CO2_ppm,Temp_Anomaly,CoalConsumption,OceanHeatIndex
1067,-670.6,,-6322.3,-30.98
1068,-668.8,-8.95,-6378.9,-30.62
1069,-670.8,-9.1,-6295.1,-29.98
1070,-667.5,-9.22,-6342.3,-31.13
1071,-667.5,-9.11,-6325.4,-30.46
1072,-664.8,-9.22,-6323.5,-31.86
1073,-662.4,-9.3,-6312.3,-31.15
1074,-661.0,-9.2,-6267.7,-31.13
1075,-659.7,-9.12,-6297.6,-30.91
1076,-656.8,-8.98,-6238.8,-30.38
1077,-657.6,-9.05,-6246.9,-30.83
1078,-658.0,-9.13,-6264.0,-31.09
1079,-658.1,-9.21,-6283.2,-31.23
1080,-656.2,-8.85,-6240.9,-29.8
1081,-652.7,-9.02,-6227.9,-30.91
1082,-654.8,-9.11,-6219.2,-31.01
1083,-650.5,-9.11,-6255.6,-30.67
1084,-650.1,-9.02,-6223.4,-31.1
1085,-650.2,-9.0,-6235.9,-30.68
1086,-648.7,-8.93,-6182.8,-30.43
1087,-646.5,-8.92,-6192.9,-30.38
1088,-643.1,-9.05,-6173.8,-30.87
1089,-644.5,-8.86,-6201.2,-30.11
1090,-644.1,-8.75,-6160.0,-29.62
1091,-642.2,-8.91,-6150.6,-30.01
1092,-640.3,-8.85,-6163.0,-29.64
1093,-637.5,-8.96,-6116.4,-30.42
1094,-639.9,-8.78,-6137.6,-30.43
1095,-637.3,-9.04,-6093.7,-30.59
1096,-640.8,-8.96,-6081.5,-30.31
1097,-637.7,-8.79,-6136.4,-29.71
1098,-636.9,-8.99,-6088.8,-30.8
1099,-633.3,-9.0,-6096.5,-30.32
1100,-634.0,-8.88,-6114.5,-30.52
1101,-633.6,-8.95,-6076.4,-30.2
1102,-629.5,-8.88,-6053.3,-30.23
1103,-632.1,-8.73,-6054.2,-29.68
1104,-626.9,-8.81,-6073.1,-29.86
1105,-625.8,-8.82,-6064.1,-30.05
1106,-623.7,-8.66,-5993.2,-29.26
1107,-623.5,-8.69,-6038.9,-29.56
1108,-624.7,-8.75,-5984.2,-29.42
1109,-622.2,-8.8,-6043.1,-29.82
1110,-617.8,-8.74,-6013.9,-29.64
1111,-620.1,-8.62,-6016.2,-29.31
1112,-619.9,-8.72,-6045.7,-30.22
1113,-617.8,-8.78,-5980.8,-29.42
1114,-615.1,-8.67,-5993.7,-28.98
1115,-613.9,-8.62,-6008.1,-29.38
1116,-614.9,-8.59,-5936.7,-29.63
1117,-613.3,-8.64,-5974.1,-29.28
1118,-611.4,-8.67,-5977.7,-29.63
1119,-610.9,-8.71,-5946.8,-29.54
1120,-612.1,-8.81,-5950.6,-29.79
1121,-608.7,-8.45,-5904.9,-28.7
1122,-608.6,-8.59,-5935.9,-29.19
1123,-608.3,-8.59,-5854.0,-28.45
1124,-603.0,-8.57,-5866.6,-29.06
1125,-601.8,-8.51,-5916.8,-28.18
1126,-603.1,-8.54,-5879.8,-28.63
1127,-601.9,-8.52,-5875.0,-28.75
1128,-604.2,-8.62,-5887.0,-29.56
1129,-600.3,-8.47,-5861.1,-28.67
1130,-595.1,-8.52,-5849.7,-28.48
1131,-598.8,-8.59,-5861.0,-29.11
1132,-595.4,-8.52,-5773.9,-28.81
1133,-594.1,-8.47,-5800.8,-29.19
1134,-595.8,-8.56,-5841.2,-29.0
1135,-591.6,-8.55,-5840.8,-29.16
1136,-591.9,-8.43,-5765.4,-28.68
1137,-589.0,-8.51,-5821.6,-28.88
1138,-587.5,-8.52,-5794.1,-28.84
1139,-589.4,-8.44,-5748.5,-28.74
1140,-585.0,-8.39,-5798.3,-28.34
1141,-583.1,-8.33,-5769.4,-28.2
1142,-584.5,-8.34,-5735.3,-28.44
1143,-583.2,-8.63,-5758.6,-28.99
1144,-584.1,-8.38,-5731.1,-28.68
1145,-581.3,-8.34,-5760.9,-28.33
1146,-578.8,-8.34,-5688.0,-28.32
1147,-580.3,-8.31,-5711.2,-28.2
1148,-577.8,-8.36,-5729.8,-28.32
1149,-576.3,-8.32,-5676.7,-27.89
1150,-576.1,-8.31,-5702.6,-27.71
1151,-575.8,-8.2,-5695.1,-27.69
1152,-571.7,-8.2,-5700.9,-27.88
1153,-572.2,-8.45,-5656.2,-29.01
1154,-571.3,-8.14,-5652.5,-27.52
1155,-568.9,-8.43,-5653.2,-29.02
1156,-566.9,-8.28,-5602.8,-28.03
1157,-567.6,-8.28,-5590.4,-27.87
1158,-568.1,-8.21,-5615.7,-28.41
1159,-563.8,-8.19,-5621.3,-28.0
1160,-565.2,-8.35,-5578.4,-28.24
1161,-563.0,-8.17,-5571.2,-27.77
1162,-561.6,-8.1,-5583.7,-27.08
1163,-563.0,-8.31,-5586.3,-28.07
1164,-559.7,-8.15,-5544.4,-27.7
1165,-556.3,-8.19,-5595.2,-28.27
1166,-558.0,-8.08,-5565.0,-27.24
1167,-556.1,-8.2,-5611.5,-27.63
1168,-554.7,-8.13,-5541.6,-27.62
1169,-551.8,-8.18,-5517.4,-27.44
1170,-550.1,-8.01,-5468.0,-27.31
1171,-551.7,-8.18,-5514.9,-27.64
1172,-549.9,-7.99,-5501.4,-27.08
1173,-549.5,-8.09,-5520.3,-27.43
1174,-548.3,-8.03,-5463.2,-27.31
1175,-545.2,-8.01,-5451.0,-27.44
1176,-544.1,-8.24,-5488.8,-27.9
1177,-544.0,-7.94,-5520.3,-27.04
1178,-542.9,-8.11,-5434.7,-27.31
1179,-544.5,-7.98,-5442.4,-26.74
1180,-538.8,-7.95,-5438.9,-26.65
1181,-541.5,-7.84,-5429.6,-26.71
1182,-533.7,-7.91,-5400.8,-26.85
1183,-537.3,-8.05,-5453.3,-27.1
1184,-540.1,-7.98,-5423.4,-27.1
1185,-537.8,-8.15,-5418.3,-27.58
1186,-532.0,-7.88,-5367.7,-26.21
1187,-533.0,-8.12,-5395.6,-27.52
1188,-532.3,-7.89,-5404.9,-27.0
1189,-529.3,-7.96,-5411.8,-26.87
1190,-528.0,-7.87,-5393.8,-26.5
1191,-526.2,-7.86,-5382.7,-26.31
1192,-526.6,-7.96,-5353.6,-26.69
1193,-524.9,-7.83,-5333.9,-26.39
1194,-523.5,-7.92,-5331.6,-26.32
1195,-521.6,-7.71,-5351.0,-26.6
1196,-521.1,-7.91,-5312.0,-26.19
1197,-519.4,-7.72,-5348.3,-26.48
1198,-518.9,-7.77,-5345.3,-25.86
1199,-519.4,-7.77,-5252.2,-26.19
1200,-517.4,-7.86,-5287.5,-26.03
1201,-516.2,,-5267.9,-25.9
1202,-516.9,-7.84,-5287.6,-26.35
1203,-515.4,-7.72,-5279.4,-26.17
1204,-511.5,-7.77,-5248.5,-26.13
1205,-511.9,-7.7,-5232.7,-25.72
1206,-509.4,-7.67,-5242.3,-25.99
1207,-508.3,-7.76,-5274.7,-26.32
1208,-508.0,-7.89,-5246.7,-26.32
1209,-505.3,-7.62,-5204.4,-26.26
1210,-508.0,-7.57,-5246.6,-26.1
1211,-506.9,-7.73,-5186.1,-26.38
1212,-503.9,-7.65,-5213.4,-26.42
1213,-504.1,-7.75,-5175.4,-25.83
1214,-501.9,-7.54,-5163.3,-24.69
1215,-500.2,-7.68,-5161.6,-25.19
1216,-498.9,-7.74,-5145.2,-26.49
1217,-495.3,,-5168.5,-25.2
1218,-498.4,-7.74,-5097.3,-25.96
1219,-496.6,-7.6,-5120.4,-25.61
1220,-497.5,-7.68,-5097.4,-25.48
1221,-493.8,-7.55,-5098.6,-25.37
1222,-491.0,-7.54,-5149.3,-25.37
1223,-491.6,-7.57,-5123.0,-25.33
1224,-491.1,-7.61,-5100.0,-25.49
1225,-487.6,-7.65,-5118.8,-25.66
1226,-487.8,-7.63,-5102.5,-25.98
1227,-485.7,-7.47,-5086.6,-25.41
1228,-485.1,-7.58,-5064.4,-26.03
1229,-484.5,-7.55,-5070.8,-25.68
1230,-482.5,-7.52,-5081.3,-25.68
1231,-480.8,-7.5,-5032.8,-25.66
1232,-480.9,-7.49,-5076.4,-24.97
1233,-479.9,-7.5,-5064.8,-25.17
1234,-476.3,-7.28,-5058.0,-25.08
1235,-475.9,-7.57,-5040.7,-25.92
1236,-477.1,-7.53,-5020.0,-25.26
1237,-476.8,-7.42,-5007.5,-25.04
1238,-474.5,-7.35,-5018.0,-24.7
1239,-474.7,-7.46,-4986.7,-24.49
1240,-470.3,-7.24,-4982.7,-24.13
1241,-470.0,-7.33,-4997.5,-24.87
1242,-467.4,-7.36,-4936.1,-25.22
1243,-467.9,-7.44,-4970.1,-24.89
1244,-466.1,-7.22,-4948.9,-24.84
1245,-463.6,-7.38,-4929.1,-24.79
1246,-464.7,-7.35,-4932.5,-24.45
1247,-465.8,-7.19,-4924.9,-24.09
1248,-461.8,-7.3,-4930.1,-24.65
1249,-458.9,-7.17,-4867.4,-24.02
1250,-460.8,-7.21,-4904.9,-24.08
1251,-457.8,-7.11,-4892.9,-23.73
1252,-459.4,-7.17,-4878.8,-24.29
1253,-456.6,-7.19,-4901.4,-23.5
1254,-454.2,-7.13,-4891.3,-24.26
1255,-453.4,-7.28,-4838.1,-24.56
1256,-454.1,-7.2,-4816.1,-23.78
1257,-453.7,-7.2,-4851.1,-24.15
1258,-451.3,-7.24,-4809.5,-24.5
1259,-448.4,-7.19,-4819.1,-23.94
1260,-450.2,-7.23,-4813.0,-24.04
1261,-445.4,-7.05,-4805.3,-23.48
1262,-448.0,-7.14,-4840.3,-23.97
1263,-444.1,-7.12,-4744.7,-23.9
1264,-443.8,-7.1,-4813.1,-23.72
1265,-445.3,-7.06,-4847.1,-24.34
1266,-443.9,-7.11,-4774.4,-23.91
1267,-440.4,-6.77,-4756.0,-22.95
1268,-442.0,-7.23,-4725.1,-24.43
1269,-436.7,-7.05,-4698.1,-23.97
1270,-437.4,-7.1,-4706.6,-23.95
1271,-438.0,-7.0,-4704.0,-23.49
1272,-433.8,-6.78,-4725.9,-23.22
1273,-432.4,-6.86,-4709.5,-22.77
1274,-432.4,-7.09,-4706.4,-23.16
1275,-432.2,-7.01,-4720.6,-23.59
1276,-430.8,-7.0,-4691.9,-23.87
1277,-428.7,-6.98,-4674.6,-23.1
1278,-429.2,-6.87,-4654.3,-22.67
1279,-426.9,-7.11,-4678.9,-23.65
1280,-425.2,-6.9,-4670.3,-23.28
1281,-426.3,-7.09,-4588.1,-23.52
1282,-421.3,-7.03,-4613.3,-23.38
1283,-422.1,-7.08,-4622.6,-23.91
1284,-415.4,-6.86,-4585.4,-23.0
1285,-417.1,-6.93,-4618.2,-23.86
1286,-420.7,-6.89,-4596.3,-22.99
1287,-417.1,-6.85,-4611.1,-22.6
1288,-413.4,-6.82,-4581.7,-23.04
1289,-417.3,-7.0,-4578.2,-23.41
1290,-413.0,-6.92,-4559.4,-22.93
1291,-413.3,-6.88,-4579.4,-23.25
1292,-413.8,-6.85,-4528.1,-23.13
1293,-410.1,-6.85,-4553.3,-22.59
1294,-408.7,-6.81,-4522.6,-22.98
1295,-409.0,-6.82,-4538.9,-23.03
1296,-404.9,-6.82,-4480.2,-22.58
1297,-406.6,-6.9,-4551.0,-23.78
1298,-402.4,-6.73,-4501.1,-22.56
1299,-400.9,-6.77,-4503.3,-22.38
1300,-401.6,-6.8,-4519.1,-22.61
1301,-400.6,-6.65,-4470.4,-22.41
1302,-399.5,-6.65,-4501.5,-22.61
1303,-398.9,-6.75,-4481.9,-22.85
1304,-399.0,-6.82,-4457.3,-22.32
1305,-398.6,-6.8,-4480.2,-22.32
1306,-396.7,-6.58,-4434.6,-21.79
1307,-393.4,-6.71,-4433.5,-22.44
1308,-393.0,-6.65,-4440.2,-21.8
1309,-390.0,-6.74,-4426.3,-22.63
1310,-391.5,-6.54,-4412.1,-21.72
1311,-387.1,-6.45,-4395.9,-21.94
1312,-387.0,-6.69,-4385.7,-22.23
1313,-389.7,-6.6,-4425.2,-21.97
1314,-386.1,-6.56,-4328.1,-21.83
1315,-384.3,-6.56,-4391.3,-22.13
1316,-385.9,-6.55,-4361.2,-22.13
1317,-385.7,-6.47,-4329.5,-21.87
1318,-380.9,-6.65,-4336.9,-22.62
1319,-379.9,-6.47,-4349.1,-21.18
1320,-381.1,-6.56,-4327.3,-21.95
1321,-379.4,-6.63,-4302.1,-22.25
1322,-376.7,-6.54,-4314.1,-22.58
1323,-377.0,-6.37,-4285.0,-21.0
1324,-376.9,-6.62,-4309.9,-22.31
1325,-370.1,-6.43,-4273.2,-21.91
1326,-370.5,-6.49,-4341.8,-21.5
1327,-373.4,-6.42,-4268.1,-21.47
1328,-370.3,-6.5,-4221.6,-21.81
1329,-369.2,-6.46,-4279.4,-21.15
1330,-366.5,-6.53,-4230.5,-21.87
1331,-366.5,-6.44,-4195.3,-21.66
1332,-366.3,-6.57,-4225.4,-21.72
1333,-363.1,-6.39,-4237.8,-21.21
1334,-361.2,-6.41,-4222.8,-21.19
1335,-361.5,-6.42,-4196.3,-21.73
1336,-363.2,,-4198.2,-21.74
1337,-361.0,-6.22,-4255.5,-20.54
1338,-358.3,-6.36,-4186.3,-21.17
1339,-357.0,-6.38,-4171.4,-21.54
1340,-358.0,-6.35,-4241.9,-21.21
1341,-355.6,-6.19,-4131.9,-20.7
1342,-354.3,-6.38,-4128.3,-21.0
1343,-352.4,-6.37,-4144.8,-20.89
1344,-354.0,-6.4,-4149.7,-21.42
1345,-351.1,-6.24,-4176.2,-21.02
1346,-351.5,-6.29,-4221.0,-20.74
1347,-349.5,-6.39,-4118.6,-21.31
1348,-347.1,-6.29,-4152.4,-20.61
1349,-346.4,-6.29,-4094.1,-21.28
1350,-343.5,-6.16,-4086.3,-20.74
1351,-345.5,-6.24,-4040.1,-21.31
1352,-340.3,-6.18,-4046.6,-20.57
1353,-339.0,-6.12,-4026.1,-20.18
1354,-341.7,-6.02,-4011.2,-20.45
1355,-339.8,-6.15,-4036.1,-20.82
1356,-336.0,-6.03,-4034.1,-19.7
1357,-338.0,-6.23,-4023.3,-20.87
1358,-336.8,-6.03,-4072.2,-20.73
1359,-334.9,-6.14,-4046.6,-20.38
1360,-333.1,-6.12,-4026.9,-20.68
1361,-334.5,-6.1,-3987.6,-20.34
1362,-332.5,-6.14,-3973.4,-20.4
1363,-331.2,-6.16,-4010.1,-20.62
1364,-329.2,-6.0,-4016.4,-20.38
1365,-327.5,-6.09,-3966.8,-20.1
1366,-330.0,-6.2,-3981.2,-20.95
1367,-323.4,-6.14,-3947.1,-20.44
1368,-321.9,-5.92,-3973.9,-19.61
1369,-323.6,-6.1,-3930.7,-20.11
1370,-321.9,-6.11,-3939.7,-20.65
1371,-320.9,-6.12,-3924.1,-20.14
1372,-317.9,-5.99,-3869.6,-20.43
1373,-317.9,-5.99,-3966.1,-20.11
1374,-316.0,-6.05,-3883.0,-19.97
1375,-315.8,-6.06,-3910.3,-20.34
1376,-313.9,-5.92,-3902.1,-19.97
1377,-312.5,-6.0,-3860.7,-20.21
1378,-311.6,-6.06,-3895.1,-20.18
1379,-310.1,-5.92,-3844.8,-19.79
1380,-310.7,-6.02,-3846.0,-19.63
1381,-307.0,-5.97,-3816.3,-20.07
1382,-308.2,-5.85,-3791.7,-19.58
1383,-307.8,-5.85,-3837.3,-19.75
1384,-306.5,-5.91,-3782.8,-19.85
1385,-304.4,-5.91,-3832.6,-20.14
1386,-305.4,-5.84,-3792.8,-19.68
1387,-299.5,-5.87,-3787.5,-19.61
1388,-302.0,-5.81,-3820.6,-18.9
1389,-300.2,-5.78,-3792.0,-18.93
1390,-300.1,-5.75,-3747.1,-19.21
1391,-297.4,-5.72,-3773.7,-19.06
1392,-299.3,-5.8,-3724.5,-19.44
1393,-296.9,-5.94,-3808.4,-19.67
1394,-297.0,-5.86,-3694.4,-19.27
1395,-294.3,-5.75,-3755.0,-19.1
1396,-290.0,-5.7,-3753.9,-19.44
1397,-292.1,-5.61,-3675.7,-18.36
1398,-289.0,-5.84,-3714.2,-19.8
1399,-289.1,-5.69,-3694.2,-18.78
1400,-288.8,-5.72,-3766.3,-19.31
1401,-287.2,-5.71,-3683.0,-19.44
1402,-286.8,-5.88,-3660.0,-19.63
1403,-283.4,-5.73,-3667.1,-19.03
1404,-284.5,-5.77,-3668.0,-19.43
1405,-281.8,,-3628.8,-19.15
1406,-281.2,-5.75,-3666.2,-18.94
1407,-278.1,-5.64,-3667.0,-18.59
1408,-279.2,-5.66,-3630.3,-18.96
1409,-277.8,-5.59,-3685.9,-18.22
1410,-274.2,-5.5,-3611.6,-17.86
1411,-278.0,-5.63,-3638.9,-18.39
1412,-272.0,,-3574.1,-18.81
1413,-270.7,-5.66,-3603.0,-18.87
1414,-271.7,-5.42,-3586.5,-17.62
1415,-270.6,-5.61,-3547.6,-18.62
1416,-269.3,-5.51,-3559.4,-18.72
1417,-267.6,-5.63,-3498.7,-18.45
1418,-263.8,-5.47,-3539.3,-18.39
1419,-265.7,-5.57,-3526.8,-18.5
1420,-263.2,-5.48,-3528.6,-18.58
1421,-263.9,-5.48,-3548.8,-17.98
1422,-263.8,-5.39,-3564.9,-17.75
1423,-260.5,-5.46,-3499.9,-18.45
1424,-260.9,-5.56,-3474.4,-18.3
1425,-255.7,-5.38,-3483.7,-18.01
1426,-258.8,-5.51,-3527.9,-17.74
1427,-254.4,-5.4,-3460.6,-17.89
1428,-257.5,-5.45,-3472.2,-17.9
1429,-255.4,,-3447.1,-17.69
1430,-254.0,-5.44,-3429.3,-18.15
1431,-256.7,-5.52,-3435.9,-18.46
1432,-250.7,-5.33,-3443.2,-17.83
1433,-251.9,-5.41,-3442.7,-17.76
1434,-251.4,-5.3,-3410.5,-17.78
1435,-247.4,-5.23,-3449.4,-16.84
1436,-247.5,-5.5,-3358.6,-17.98
1437,-245.0,-5.42,-3400.2,-18.39
1438,-246.1,-5.18,-3403.0,-17.31
1439,-244.2,-5.28,-3365.9,-17.71
1440,-242.5,-5.32,-3371.2,-17.88
1441,-241.4,-5.27,-3401.4,-17.28
1442,-240.6,-5.4,-3402.8,-17.63
1443,-239.3,-5.35,-3367.3,-17.89
1444,-235.3,-5.34,-3312.8,-17.57
1445,-234.6,-5.24,-3294.8,-16.88
1446,-232.9,-5.22,-3312.9,-17.07
1447,-231.4,-5.15,-3353.2,-17.16
1448,-232.0,-5.34,-3325.2,-17.26
1449,-234.9,-5.11,-3302.0,-17.04
1450,-228.6,-5.23,-3322.4,-18.1
1451,-226.9,-5.06,-3305.4,-16.81
1452,-227.6,-5.14,-3327.4,-17.2
1453,-226.9,-5.12,-3305.6,-16.86
1454,-223.7,-5.12,-3285.7,-16.93
1455,-222.7,-5.19,-3276.6,-17.2
1456,-224.3,-5.17,-3239.6,-16.99
1457,-220.4,-4.99,-3249.1,-16.29
1458,-221.5,-5.02,-3279.3,-15.95
1459,-221.2,-5.07,-3209.9,-16.3
1460,-217.3,-5.07,-3198.5,-16.84
1461,-215.9,-5.03,-3241.7,-16.53
1462,-216.6,-5.1,-3161.2,-16.74
1463,-215.7,-4.91,-3176.5,-16.31
1464,-214.4,-4.98,-3170.7,-16.53
1465,-213.5,-5.06,-3188.5,-16.89
1466,-214.2,-5.07,-3177.4,-16.97
1467,-209.8,-5.04,-3167.0,-16.9
1468,-206.8,-4.91,-3157.7,-15.78
1469,-209.4,-5.13,-3139.8,-17.27
1470,-208.1,-4.97,-3092.4,-16.29
1471,-207.8,-5.02,-3113.7,-16.24
1472,-204.0,-4.93,-3144.9,-16.35
1473,-204.1,-4.96,-3098.3,-16.26
1474,-200.0,-4.96,-3085.5,-16.31
1475,-202.1,-4.83,-3084.7,-16.29
1476,-197.8,-4.92,-3063.9,-16.27
1477,-198.9,-4.9,-3070.9,-15.96
1478,-195.2,-4.97,-3113.3,-16.66
1479,-196.3,-4.88,-3059.7,-16.72
1480,-194.2,-4.93,-3040.1,-16.45
1481,-196.1,-4.92,-3045.6,-15.86
1482,-193.4,-4.78,-2983.8,-16.21
1483,-192.9,-4.83,-3054.7,-15.69
1484,-191.1,-4.75,-2974.4,-15.64
1485,-189.6,-4.9,-3013.6,-16.07
1486,-189.6,-4.82,-3014.3,-15.65
1487,-188.0,-4.76,-3040.7,-15.61
1488,-187.0,-4.77,-2978.0,-15.35
1489,-182.9,-4.81,-2962.8,-16.36
1490,-185.6,-4.93,-2960.7,-16.51
1491,-180.5,-4.82,-2942.7,-16.14
1492,-182.7,-4.84,-2980.1,-16.15
1493,-180.9,-4.78,-2939.3,-15.71
1494,-184.2,-4.84,-2928.8,-15.79
1495,-178.5,-4.67,-2903.4,-15.78
1496,-178.6,-4.76,-2939.2,-15.43
1497,-176.3,-4.6,-2915.6,-15.15
1498,-178.2,-4.71,-2896.7,-15.38
1499,-174.3,-4.59,-2912.0,-15.31
1500,-173.5,-4.83,-2894.0,-15.95
1501,-172.9,-4.79,-2920.3,-16.07
1502,-170.4,-4.64,-2832.2,-15.27
1503,-170.7,-4.77,-2911.7,-15.36
1504,-168.1,-4.53,-2893.0,-14.91
1505,-164.6,-4.58,-2838.4,-15.5
1506,-165.5,-4.63,-2806.6,-15.24
1507,-163.2,-4.53,-2844.1,-14.52
1508,-163.7,-4.68,-2847.4,-15.11
1509,-161.5,-4.64,-2841.3,-15.83
1510,-161.9,-4.39,-2821.2,-14.65
1511,-160.9,-4.7,-2817.0,-15.33
1512,-161.0,-4.61,-2806.5,-15.33
1513,-159.3,-4.55,-2726.9,-14.8
1514,-157.7,-4.46,-2794.6,-15.06
1515,-155.0,-4.59,-2786.0,-15.05
1516,-154.2,-4.46,-2762.2,-14.6
1517,-156.1,-4.62,-2758.7,-14.88
1518,-150.9,-4.42,-2710.5,-14.49
1519,-152.4,-4.61,-2767.6,-15.28
1520,-148.1,-4.33,-2715.9,-14.49
1521,-148.0,-4.6,-2754.2,-15.02
1522,-146.9,-4.42,-2758.3,-14.43
1523,-145.9,-4.46,-2682.5,-15.2
1524,-145.1,-4.46,-2693.1,-14.48
1525,-141.3,-4.47,-2705.3,-14.48
1526,-142.0,-4.53,-2716.7,-14.69
1527,-143.1,-4.46,-2655.0,-14.39
1528,-144.3,-4.41,-2719.6,-14.57
1529,-136.3,-4.19,-2638.9,-13.59
1530,-137.6,-4.53,-2688.2,-14.76
1531,-136.5,-4.32,-2656.4,-14.02
1532,-138.8,-4.46,-2652.4,-14.62
1533,-133.7,-4.41,-2584.8,-14.58
1534,-134.0,-4.44,-2611.1,-13.95
1535,-134.3,-4.24,-2613.0,-13.62
1536,-133.5,-4.31,-2596.6,-13.5
1537,-131.3,-4.22,-2593.1,-14.15
1538,-129.8,-4.35,-2587.9,-13.89
1539,-127.4,-4.28,-2601.0,-14.46
1540,-127.8,-4.21,-2585.9,-13.38
1541,-124.2,-4.2,-2560.3,-13.5
1542,-123.3,-4.27,-2509.2,-13.63
1543,-126.0,-4.27,-2600.6,-13.96
1544,-120.1,-4.17,-2511.8,-13.83
1545,-121.5,-4.28,-2548.4,-13.57
1546,-121.2,-4.1,-2480.2,-13.53
1547,-119.4,-4.2,-2533.8,-13.46
1548,-117.5,-4.29,-2501.8,-13.97
1549,-117.2,-4.22,-2460.7,-13.82
1550,-114.3,-4.17,-2487.1,-13.39
1551,-115.4,-4.07,-2524.3,-12.81
1552,-112.0,-4.13,-2533.1,-13.08
1553,-114.3,-4.05,-2460.1,-13.31
1554,-109.2,-3.98,-2493.2,-12.97
1555,-106.9,-4.15,-2439.8,-13.61
1556,-106.2,-4.09,-2384.0,-13.35
1557,-105.5,-4.05,-2448.4,-13.21
1558,-106.4,-4.03,-2423.4,-13.63
1559,-103.9,-4.23,-2422.2,-14.01
1560,-105.4,-4.01,-2427.3,-12.74
1561,-103.0,-4.03,-2423.6,-13.44
1562,-99.5,-3.87,-2430.0,-12.65
1563,-101.5,-4.15,-2402.2,-13.6
1564,-100.0,-3.96,-2375.1,-12.63
1565,-98.8,-3.97,-2352.2,-13.29
1566,-97.3,-3.92,-2377.7,-12.81
1567,-95.7,-3.97,-2349.5,-13.33
1568,-94.5,-3.83,-2379.1,-12.37
1569,-94.5,-4.11,-2368.0,-13.68
1570,-93.1,-3.95,-2322.5,-12.9
1571,-92.1,-4.0,-2345.6,-13.09
1572,-91.6,-3.95,-2284.7,-12.89
1573,-89.9,-3.9,-2262.9,-12.8
1574,-89.5,-3.92,-2282.8,-12.67
1575,-86.0,-3.84,-2323.8,-12.29
1576,-85.3,-4.08,-2295.6,-13.13
1577,-82.7,-3.79,-2269.5,-12.57
1578,-82.9,-3.89,-2251.1,-13.05
1579,-81.6,-3.94,-2251.7,-12.8
1580,-82.4,-3.95,-2255.0,-12.63
1581,-77.6,-3.74,-2215.5,-12.41
1582,-79.1,-3.96,-2205.4,-13.31
1583,-78.0,,-2221.2,-12.81
1584,-73.3,-3.74,-2226.4,-12.57
1585,-76.1,-3.93,-2221.8,-12.7
1586,-75.2,-3.69,-2199.4,-11.55
1587,-71.5,-3.65,-2230.8,-11.45
1588,-70.3,-3.73,-2166.9,-11.98
1589,-67.7,-3.74,-2150.9,-12.38
1590,-66.4,-3.6,-2211.7,-11.26
1591,-68.0,-3.62,-2144.6,-11.73
1592,-70.0,-3.82,-2128.6,-12.37
1593,-64.9,-3.58,-2124.8,-11.55
1594,-66.2,-3.72,-2121.8,-12.29
1595,-61.8,-3.76,-2135.0,-11.82
1596,-62.5,-3.66,-2124.8,-11.27
1597,-61.6,-3.77,-2135.1,-12.95
1598,-60.1,-3.59,-2103.9,-11.46
1599,-56.4,-3.73,-2104.6,-12.1
1600,-58.4,-3.69,-2081.4,-12.18
1601,-58.9,-3.66,-2049.2,-11.55
1602,-55.6,-3.64,-2067.9,-11.52
1603,-55.2,-3.57,-2046.1,-11.21
1604,-52.4,-3.59,-2046.3,-11.78
