GreenhouseID,VPD_kPa,AverageHumidity_Percent,StemDiameter_mm,DailyIrrigation_L,GrowthRateClass
1910084,79.6,39.3,104.5,100.6,Type_B
1910085,107.3,57.1,89.1,96.8,Type_B
1910086,128.1,38.2,88.4,93.8,Type_B
1910087,83.1,52.4,125.2,99.8,Type_B
1910088,112.5,27.2,84.6,75.5,Type_B
1910089,139.6,51.4,118.0,113.3,Type_B
1910090,134.7,19.0,78.9,23.9,Type_C
1910091,100.1,33.6,124.6,97.0,Type_A
1910092,104.1,43.0,93.5,72.1,Type_B
1910093,85.1,60.1,101.4,125.5,Type_A
1910094,123.1,41.6,128.8,94.8,Type_B
1910095,82.2,66.1,100.4,83.8,Type_B
1910096,100.9,27.9,,109.1,Type_A
1910097,108.9,37.1,140.5,135.4,Type_C
1910098,88.5,49.5,90.2,97.8,Type_A
1910099,64.0,62.9,89.9,97.8,Type_C
1910100,85.2,56.5,115.1,113.7,Type_A
1910101,74.6,48.3,123.6,69.5,Type_B
1910102,41.1,41.3,105.6,82.5,Type_C
1910103,128.7,37.4,121.2,86.4,Type_A
1910104,90.6,48.1,86.5,100.4,Type_B
1910105,98.0,36.2,141.0,74.8,Type_C
1910106,82.8,59.5,123.9,77.2,Type_A
1910107,109.3,65.9,85.0,129.5,Type_A
1910108,104.0,48.8,117.6,124.9,Type_C
1910109,70.0,65.9,86.1,93.2,Type_C
1910110,73.3,52.2,120.6,85.3,Type_A
1910111,93.7,63.6,82.7,92.6,Type_C
1910112,88.1,38.4,106.7,136.6,Type_B
1910113,101.1,41.3,93.3,61.2,Type_A
1910114,78.5,45.7,117.6,59.5,Type_B
1910115,85.6,50.0,90.2,73.1,Type_A
1910116,117.3,48.4,113.7,77.3,Type_B
1910117,98.6,65.2,84.4,85.2,Type_C
1910118,122.8,28.7,75.6,99.3,Type_A
1910119,138.8,57.9,67.1,78.4,Type_C
1910120,76.9,32.6,115.3,47.5,Type_B
1910121,143.6,42.2,88.5,113.7,Type_A
1910122,98.6,40.3,103.5,83.0,Type_C
1910123,97.6,53.0,137.4,144.6,Type_B
1910124,89.3,43.1,66.9,109.6,Type_B
1910125,82.8,52.7,121.2,123.2,Type_B
1910126,108.4,72.8,108.9,114.8,Type_B
1910127,163.5,33.0,99.6,101.7,Type_B
1910128,103.8,42.7,64.3,69.2,Type_B
1910129,139.5,55.3,91.0,86.3,Type_B
1910130,135.8,41.5,93.5,72.9,Type_C
1910131,68.4,45.7,101.1,72.2,Type_A
1910132,107.7,41.2,96.5,74.7,Type_A
1910133,118.1,31.9,122.0,77.1,Type_A
1910134,98.8,55.9,87.2,76.7,Type_C
1910135,65.6,29.1,103.3,86.7,Type_A
1910136,111.7,87.2,91.9,68.2,Type_A
1910137,109.1,54.8,110.0,101.4,Type_A
1910138,101.8,22.6,126.0,118.0,Type_A
1910139,105.5,66.4,114.4,78.2,Type_B
1910140,103.8,9.0,124.4,99.9,Type_A
1910141,90.8,40.1,143.1,113.0,Type_C
1910142,81.3,49.3,143.0,104.6,Type_A
1910143,87.9,21.1,72.4,75.3,Type_B
1910144,135.7,52.3,117.9,64.9,Type_A
1910145,56.4,38.8,110.5,87.8,Type_C
1910146,107.4,37.0,108.7,143.0,Type_B
1910147,87.1,47.1,94.8,70.1,Type_C
1910148,69.9,41.1,66.0,93.4,Type_B
1910149,54.9,40.6,87.2,99.3,Type_C
1910150,110.5,39.5,97.0,96.9,Type_B
1910151,125.2,25.9,80.4,137.3,Type_C
1910152,60.9,34.8,77.2,110.9,Type_B
1910153,111.6,35.4,97.4,112.5,Type_A
1910154,38.8,20.3,126.9,88.4,Type_B
1910155,71.9,44.7,108.4,71.1,Type_B
1910156,80.2,43.4,82.0,117.9,Type_A
1910157,85.3,36.3,48.1,101.4,Type_A
1910158,70.0,42.8,90.9,123.2,Type_A
1910159,111.2,50.2,104.3,115.1,Type_A
1910160,124.3,23.5,117.1,114.2,Type_B
1910161,60.5,14.0,76.9,107.9,Type_C
1910162,111.8,64.0,139.9,69.3,Type_B
1910163,72.1,12.6,65.3,120.3,Type_B
1910164,143.9,53.6,71.8,151.1,Type_A
1910165,106.4,49.0,90.3,139.8,Type_A
1910166,95.4,42.5,117.6,136.8,Type_C
1910167,132.8,28.3,72.4,84.8,Type_A
1910168,104.5,21.5,161.8,103.9,Type_B
1910169,75.9,41.8,81.5,114.7,Type_B
1910170,106.1,30.9,91.2,114.0,Type_B
1910171,72.0,47.1,110.5,72.8,Type_C
1910172,120.8,49.1,100.9,135.2,Type_A
1910173,77.2,58.8,80.9,100.9,Type_B
1910174,113.6,30.9,90.6,86.7,Type_B
1910175,66.3,18.7,86.5,103.8,Type_B
1910176,100.7,33.8,85.4,125.1,Type_A
1910177,77.8,48.5,75.8,111.5,Type_C
1910178,67.8,63.2,124.5,95.0,Type_A
1910179,148.1,46.3,87.0,136.1,Type_C
1910180,102.4,68.6,103.2,122.3,Type_C
1910181,107.3,40.6,121.7,67.2,Type_C
1910182,91.8,26.4,89.3,41.0,Type_B
1910183,93.0,49.4,129.6,138.5,Type_B
1910184,64.7,53.5,110.6,117.4,Type_C
1910185,59.4,35.3,108.8,144.7,Type_C
1910186,85.8,40.8,86.0,82.8,Type_B
1910187,96.8,62.8,55.3,73.8,Type_C
1910188,80.5,43.7,83.6,84.2,Type_A
1910189,86.2,28.6,60.0,105.7,Type_A
1910190,104.7,29.7,142.1,84.3,Type_B
1910191,100.8,23.3,101.3,125.4,Type_B
1910192,101.5,30.9,169.9,143.7,Type_C
1910193,74.7,51.7,111.2,131.7,Type_C
1910194,100.7,49.3,105.8,92.4,Type_A
1910195,78.8,63.4,136.2,98.1,Type_C
1910196,50.8,17.9,138.3,109.4,Type_C
1910197,89.4,47.2,104.2,100.3,Type_B
1910198,80.9,10.4,42.0,126.3,Type_A
1910199,104.1,17.5,122.4,84.7,Type_A
1910200,93.8,51.3,77.6,109.0,Type_A
1910201,102.1,65.6,57.1,99.8,Type_B
1910202,59.5,43.8,92.9,97.6,Type_C
1910203,106.2,28.0,135.5,116.0,Type_A
1910204,88.8,42.9,66.9,74.5,Type_C
1910205,128.8,28.0,92.2,119.8,Type_A
1910206,137.6,61.4,74.6,83.9,Type_A
1910207,144.8,40.5,99.3,177.2,Type_B
1910208,104.5,63.4,85.8,134.0,Type_B
1910209,80.1,41.4,109.0,83.3,Type_B
1910210,125.5,58.3,116.6,44.8,Type_A
1910211,105.3,25.8,142.9,118.9,Type_B
1910212,93.6,54.2,165.7,121.9,Type_C
1910213,114.8,26.2,110.5,117.2,Type_C
1910214,102.8,58.1,125.6,39.8,Type_A
1910215,111.1,34.9,111.4,60.4,Type_C
1910216,85.9,25.5,108.4,70.0,Type_A
1910217,58.6,27.5,95.8,68.3,Type_A
1910218,69.2,45.9,153.3,124.4,Type_B
1910219,100.3,56.8,17.1,104.7,Type_A
1910220,131.7,36.4,74.8,117.0,Type_B
1910221,89.2,37.6,84.6,116.7,Type_A
1910222,107.3,68.5,87.0,97.8,Type_B
1910223,128.2,67.8,44.8,73.8,Type_C
1910224,69.2,34.1,117.4,78.8,Type_C
1910225,100.4,58.6,109.3,60.6,Type_C
1910226,136.7,25.6,112.8,92.1,Type_C
1910227,99.3,43.4,93.1,87.7,Type_C
1910228,112.6,37.5,58.5,115.8,Type_C
1910229,82.9,48.8,92.9,96.4,Type_A
1910230,86.7,35.5,91.8,96.0,Type_B
1910231,96.9,37.4,156.6,67.5,Type_B
1910232,137.3,59.7,118.3,78.3,Type_C
1910233,88.7,34.5,103.1,60.5,Type_B
1910234,88.7,59.5,112.4,92.1,Type_C
1910235,119.8,38.4,113.0,133.5,Type_A
1910236,94.5,34.2,114.5,121.2,Type_C
1910237,156.4,17.9,120.3,93.7,Type_A
1910238,128.0,44.1,129.8,96.9,Type_A
1910239,87.0,34.1,85.2,103.3,Type_A
1910240,125.8,57.3,90.0,129.4,Type_B
1910241,64.8,64.3,134.7,116.4,Type_B
1910242,85.8,60.6,86.5,101.1,Type_A
1910243,100.6,62.9,131.3,72.8,Type_B
1910244,97.4,28.2,85.9,91.7,Type_A
1910245,109.6,56.4,117.4,109.3,Type_A
1910246,84.5,47.2,50.4,104.1,Type_C
1910247,68.6,49.1,,154.0,Type_B
1910248,99.3,54.3,,101.5,Type_B
1910249,97.7,37.9,60.8,85.5,Type_C
1910250,116.5,58.7,64.2,121.2,Type_A
1910251,121.8,53.8,107.4,88.6,Type_C
1910252,120.5,63.9,71.3,122.5,Type_A
1910253,60.5,48.5,84.1,74.4,Type_A
1910254,73.2,58.6,121.5,92.6,Type_A
1910255,115.3,53.4,45.3,57.9,Type_C
1910256,118.7,40.2,98.9,122.2,Type_A
1910257,86.1,66.5,70.1,129.1,Type_C
1910258,89.6,35.5,123.5,88.3,Type_B
1910259,91.9,44.2,76.5,122.7,Type_B
1910260,117.9,25.7,75.7,77.9,Type_B
1910261,102.9,55.0,103.3,110.1,Type_C
1910262,87.0,43.6,59.7,113.3,Type_A
1910263,131.6,53.3,141.5,101.6,Type_B
1910264,72.1,35.2,71.8,140.3,Type_C
1910265,107.7,15.3,119.4,109.7,Type_C
1910266,106.8,27.7,86.6,121.9,Type_A
1910267,115.5,34.0,71.5,98.8,Type_B
1910268,78.8,57.0,120.9,126.2,Type_B
1910269,71.0,32.8,133.7,119.4,Type_C
1910270,86.6,57.4,73.6,111.6,Type_A
1910271,108.7,34.2,40.8,25.1,Type_C
1910272,48.3,58.1,97.5,109.6,Type_A
1910273,71.7,36.6,83.7,118.6,Type_B
1910274,99.9,50.7,134.2,108.6,Type_C
1910275,115.0,30.9,102.0,127.1,Type_A
1910276,126.3,19.7,115.1,121.4,Type_C
1910277,150.4,41.1,31.7,147.8,Type_A
1910278,96.5,60.3,56.2,99.3,Type_B
1910279,90.4,44.3,101.9,91.0,Type_C
1910280,99.8,59.0,113.6,102.1,Type_B
1910281,109.1,30.7,100.6,125.5,Type_A
1910282,59.0,41.5,73.4,94.3,Type_B
1910283,99.1,28.2,125.2,88.0,Type_A
1910284,101.2,70.2,114.7,107.8,Type_C
1910285,79.1,38.9,130.5,85.5,Type_C
1910286,83.0,36.5,74.6,64.6,Type_C
1910287,94.9,52.7,148.3,82.1,Type_A
1910288,80.8,27.3,115.7,87.0,Type_C
1910289,88.7,50.5,106.1,112.0,Type_A
1910290,163.1,54.7,134.8,128.5,Type_C
1910291,104.8,53.2,106.4,88.1,Type_A
1910292,134.1,32.5,87.0,81.7,Type_A
1910293,84.6,14.9,153.3,107.0,Type_A
1910294,124.5,35.1,115.1,90.8,Type_C
1910295,126.6,38.0,109.4,117.2,Type_C
1910296,124.3,44.9,102.3,121.6,Type_A
1910297,104.7,15.8,157.8,113.0,Type_A
1910298,75.1,21.8,146.5,111.3,Type_A
1910299,51.7,15.0,90.1,76.2,Type_A
1910300,37.5,18.2,85.5,88.5,Type_B
1910301,119.3,36.5,120.8,109.6,Type_C
1910302,64.7,47.8,107.5,75.5,Type_A
1910303,104.5,35.3,111.3,116.7,Type_B
1910304,132.5,49.1,103.1,89.6,Type_B
1910305,143.0,47.4,100.1,136.8,Type_B
1910306,101.2,47.9,100.4,74.9,Type_C
1910307,50.2,40.2,96.7,129.6,Type_C
1910308,128.5,59.7,108.1,100.7,Type_B
1910309,128.0,39.9,72.1,112.8,Type_C
1910310,109.0,46.5,110.1,125.9,Type_B
1910311,133.0,49.7,96.9,111.9,Type_B
1910312,133.4,53.2,117.7,74.1,Type_A
1910313,116.5,69.0,156.1,77.1,Type_A
1910314,85.7,27.1,101.4,121.7,Type_B
1910315,88.7,41.7,41.6,140.6,Type_A
1910316,115.5,45.0,86.3,103.3,Type_B
1910317,94.0,27.4,75.1,106.8,Type_B
1910318,120.2,22.3,79.5,93.9,Type_A
1910319,149.6,57.8,93.4,102.8,Type_A
1910320,52.4,52.8,88.9,101.5,Type_C
1910321,138.5,26.8,91.7,105.8,Type_B
1910322,140.5,44.7,82.0,118.1,Type_B
1910323,124.8,33.2,68.7,109.6,Type_A
1910324,82.9,76.2,86.3,119.2,Type_B
1910325,130.1,47.2,116.5,116.7,Type_C
1910326,139.8,51.8,104.9,113.2,Type_C
1910327,50.5,66.4,99.9,71.6,Type_B
1910328,91.6,40.1,115.3,121.6,Type_A
1910329,56.7,46.9,79.2,99.4,Type_A
1910330,84.6,49.7,77.9,61.0,Type_B
1910331,82.2,27.8,126.1,74.4,Type_A
1910332,112.6,41.0,93.7,94.5,Type_C
1910333,47.6,40.2,89.3,96.0,Type_C
1910334,119.8,40.4,116.2,95.6,Type_B
1910335,117.5,13.8,77.8,61.6,Type_C
1910336,116.9,36.7,82.7,130.4,Type_C
1910337,68.8,5.6,99.1,92.7,Type_C
1910338,110.8,45.7,88.3,135.4,Type_A
1910339,69.5,56.6,104.8,106.1,Type_C
1910340,80.5,40.8,97.2,103.5,Type_B
1910341,71.3,39.1,112.7,162.0,Type_B
1910342,137.6,16.1,69.4,108.9,Type_B
1910343,95.5,55.1,133.3,95.4,Type_B
1910344,125.5,16.3,100.7,104.8,Type_B
1910345,160.0,62.8,112.3,80.1,Type_A
1910346,91.7,37.4,104.2,93.8,Type_B
1910347,123.2,59.2,98.0,148.3,Type_A
1910348,102.6,36.6,109.3,96.1,Type_A
1910349,127.4,39.7,94.0,115.1,Type_A
1910350,105.6,50.4,125.6,74.4,Type_B
1910351,124.9,46.8,95.2,96.7,Type_A
1910352,98.8,49.7,100.7,69.7,Type_A
1910353,114.2,43.7,66.4,63.8,Type_B
1910354,102.8,24.0,121.3,74.2,Type_A
1910355,122.8,44.1,84.7,97.4,Type_A
1910356,74.2,57.6,80.8,60.7,Type_C
1910357,102.3,45.9,95.0,105.8,Type_B
1910358,129.9,50.0,112.4,141.6,Type_B
1910359,120.1,62.5,76.1,123.0,Type_B
1910360,77.5,54.5,86.2,92.6,Type_B
1910361,131.5,14.6,111.0,80.7,Type_C
1910362,99.1,43.8,72.9,118.0,Type_C
1910363,95.2,30.5,104.6,55.3,Type_C
1910364,47.0,29.8,65.3,86.2,Type_B
1910365,88.9,32.9,72.5,146.3,Type_B
1910366,124.5,44.0,96.9,44.5,Type_B
1910367,129.4,18.8,57.0,176.8,Type_A
1910368,88.5,35.6,58.9,71.8,Type_C
1910369,122.3,47.1,112.1,119.2,Type_C
1910370,118.4,44.0,125.1,81.7,Type_A
1910371,86.2,30.0,92.4,91.3,Type_A
1910372,95.4,26.6,96.7,135.4,Type_B
1910373,127.8,28.7,129.3,73.8,Type_A
1910374,145.6,35.9,105.5,63.7,Type_B
1910375,30.8,30.2,48.5,51.7,Type_A
1910376,76.3,48.9,116.2,45.4,Type_B
1910377,95.3,37.8,91.2,111.6,Type_B
1910378,81.2,63.6,100.4,117.3,Type_C
1910379,123.2,46.1,92.2,42.6,Type_A
1910380,119.0,38.5,136.2,120.9,Type_A
1910381,81.4,36.6,115.9,133.6,Type_B
1910382,94.5,43.7,96.0,108.7,Type_A
1910383,83.4,40.1,111.8,62.1,Type_C
1910384,104.3,33.0,108.4,109.3,Type_C
1910385,118.1,44.5,135.6,115.4,Type_C
1910386,105.0,49.4,119.4,109.1,Type_C
1910387,63.1,52.0,106.5,105.4,Type_A
1910388,113.9,72.7,108.6,89.1,Type_A
1910389,100.2,64.0,105.4,88.2,Type_C
1910390,122.3,49.2,91.4,87.3,Type_B
1910391,146.6,23.0,112.3,100.2,Type_C
1910392,116.7,55.2,99.2,90.9,Type_C
1910393,77.0,48.3,68.3,58.4,Type_C
1910394,53.3,47.6,105.1,105.4,Type_C
1910395,120.7,58.9,87.4,108.2,Type_A
1910396,83.7,55.2,102.8,119.8,Type_C
1910397,82.1,54.7,79.0,77.4,Type_B
1910398,80.4,53.7,90.5,90.6,Type_C
1910399,66.8,42.4,80.5,96.1,Type_A
1910400,134.9,37.3,95.7,60.4,Type_B
1910401,62.0,34.7,110.0,150.6,Type_C
1910402,109.7,48.1,81.1,99.7,Type_C
1910403,74.9,24.6,97.2,126.6,Type_B
1910404,91.2,53.7,86.9,86.2,Type_B
1910405,80.0,47.3,165.5,105.2,Type_C
1910406,50.0,96.4,65.8,117.2,Type_B
1910407,96.7,35.5,133.4,88.4,Type_A
1910408,96.5,36.3,112.0,125.2,Type_A
1910409,131.6,57.1,125.8,71.2,Type_C
1910410,146.1,39.0,98.7,103.3,Type_A
1910411,82.1,24.1,78.7,90.9,Type_B
1910412,105.2,22.2,107.4,73.6,Type_B
1910413,121.2,39.6,137.4,98.3,Type_C
1910414,99.0,68.1,93.0,157.9,Type_C
1910415,77.6,46.3,73.2,122.2,Type_C
1910416,124.3,48.7,159.6,70.1,Type_A
1910417,106.5,39.2,86.2,112.8,Type_B
1910418,102.2,56.7,105.9,52.6,Type_B
1910419,108.9,28.5,,91.7,Type_C
1910420,55.0,61.8,149.2,68.6,Type_B
1910421,94.9,43.7,88.1,80.8,Type_B
1910422,77.8,55.7,82.3,93.6,Type_C
1910423,88.9,42.5,86.1,79.2,Type_A
1910424,113.9,32.5,114.9,73.9,Type_C
1910425,81.5,15.1,72.2,111.6,Type_B
1910426,74.6,51.1,114.4,90.2,Type_C
1910427,98.4,41.1,136.3,96.9,Type_A
1910428,125.0,37.4,40.4,96.8,Type_A
1910429,82.3,56.2,78.9,118.7,Type_A
1910430,77.2,54.3,116.1,78.2,Type_B
1910431,60.0,61.9,192.1,57.0,Type_C
1910432,82.9,61.9,58.3,79.3,Type_C
1910433,103.1,35.0,95.5,113.9,Type_B
1910434,77.2,52.7,130.9,116.6,Type_C
1910435,77.9,61.8,114.2,106.6,Type_B
1910436,82.5,48.4,60.1,94.3,Type_C
1910437,98.3,48.5,92.4,99.4,Type_B
1910438,64.7,38.8,118.4,115.8,Type_A
1910439,82.2,31.5,135.9,52.4,Type_A
1910440,139.3,57.0,72.0,66.6,Type_C
1910441,93.2,67.1,88.5,106.1,Type_C
1910442,104.2,42.9,101.8,69.6,Type_B
1910443,138.8,60.2,110.3,137.5,Type_B
1910444,72.7,12.9,108.9,103.8,Type_A
1910445,113.3,26.5,48.3,84.6,Type_A
1910446,52.6,62.4,113.6,90.8,Type_A
1910447,91.4,21.0,111.9,165.0,Type_C
1910448,49.5,25.6,112.6,84.3,Type_B
1910449,115.9,33.7,123.7,90.8,Type_B
1910450,104.7,44.8,109.3,113.8,Type_C
1910451,109.2,54.7,81.0,92.2,Type_C
1910452,115.1,44.5,96.6,95.5,Type_A
1910453,81.6,49.7,105.4,135.9,Type_A
1910454,55.0,39.2,112.6,97.0,Type_B
1910455,124.7,72.7,131.9,97.7,Type_B
1910456,82.9,60.5,100.3,107.8,Type_B
1910457,129.2,55.8,134.9,123.0,Type_B
1910458,56.4,38.9,84.9,84.6,Type_B
1910459,81.4,35.6,61.0,112.6,Type_C
1910460,96.6,30.9,114.6,60.1,Type_B
1910461,85.0,36.3,62.6,105.6,Type_B
1910462,97.9,37.8,45.0,48.8,Type_A
1910463,99.4,49.2,100.5,123.3,Type_C
1910464,86.6,47.2,50.3,105.2,Type_C
1910465,66.6,30.1,107.7,44.2,Type_B
1910466,76.6,40.5,120.5,105.2,Type_C
1910467,116.1,52.7,114.8,88.2,Type_C
1910468,114.6,34.1,106.9,107.6,Type_A
1910469,135.0,20.9,86.7,146.8,Type_C
1910470,98.8,37.8,145.5,100.4,Type_B
1910471,115.3,56.8,112.0,75.8,Type_A
1910472,90.9,24.1,91.9,100.7,Type_A
1910473,78.0,55.7,59.1,154.3,Type_B
1910474,101.8,52.3,71.1,89.8,Type_A
1910475,68.3,22.5,27.6,104.0,Type_B
1910476,79.1,48.5,96.8,119.1,Type_C
1910477,96.0,60.4,124.4,81.3,Type_B
1910478,61.4,13.9,100.7,86.2,Type_C
1910479,84.1,49.9,145.9,151.4,Type_C
1910480,81.6,54.3,153.4,98.0,Type_A
1910481,135.9,15.7,76.5,100.5,Type_B
1910482,53.9,53.1,91.3,117.5,Type_B
1910483,76.9,48.5,123.4,118.7,Type_C
1910484,111.6,38.3,83.6,96.6,Type_B
1910485,94.9,53.5,120.5,99.0,Type_B
1910486,76.3,39.3,109.2,118.9,Type_A
1910487,122.6,44.2,100.9,131.0,Type_B
1910488,73.9,40.4,57.3,75.0,Type_A
1910489,39.9,61.0,102.8,121.5,Type_C
1910490,125.0,57.2,110.2,112.3,Type_A
1910491,64.7,31.0,71.6,103.4,Type_B
1910492,84.4,14.0,72.6,64.8,Type_C
1910493,78.6,33.0,98.0,83.4,Type_A
1910494,148.4,36.1,73.2,110.6,Type_B
1910495,104.0,45.7,97.6,85.7,Type_A
1910496,121.7,38.9,71.2,79.1,Type_B
1910497,104.1,40.8,132.1,94.9,Type_C
1910498,118.3,50.6,77.1,73.3,Type_B
1910499,132.0,44.2,113.0,93.9,Type_A
1910500,56.7,42.6,133.3,157.1,Type_C
1910501,85.0,50.4,32.2,99.6,Type_A
1910502,106.0,30.1,122.3,104.0,Type_A
1910503,97.0,55.4,121.4,62.7,Type_C
1910504,49.5,60.0,45.2,98.6,Type_A
1910505,132.9,47.1,91.4,72.6,Type_B
1910506,127.1,61.8,112.8,100.6,Type_C
1910507,129.0,41.3,79.3,108.3,Type_C
1910508,79.6,20.8,89.6,95.0,Type_C
1910509,96.4,39.9,86.6,122.3,Type_C
1910510,110.5,52.4,86.5,113.1,Type_B
1910511,103.5,48.9,88.3,107.2,Type_B
1910512,61.0,37.6,123.7,80.9,Type_C
1910513,150.3,44.7,,73.0,Type_C
1910514,98.6,58.8,116.4,68.9,Type_C
1910515,115.1,51.1,96.5,132.6,Type_B
1910516,143.3,48.4,93.8,107.3,Type_C
1910517,121.5,39.3,78.9,87.2,Type_B
1910518,126.1,36.2,77.2,121.3,Type_B
1910519,147.9,44.8,106.4,134.8,Type_C
1910520,112.7,32.9,108.9,117.8,Type_A
1910521,105.0,39.7,118.5,67.2,Type_A
1910522,94.9,54.0,85.1,98.8,Type_C
1910523,116.5,61.1,92.3,76.3,Type_B
1910524,122.9,49.2,102.5,86.6,Type_C
1910525,102.5,44.1,108.8,127.7,Type_A
1910526,75.7,38.7,103.0,75.0,Type_A
1910527,97.4,42.6,98.1,102.3,Type_B
1910528,109.9,63.0,59.4,85.8,Type_B
1910529,129.7,50.5,70.4,120.7,Type_A
1910530,71.1,52.4,105.0,82.4,Type_C
1910531,57.5,51.2,90.8,122.3,Type_B
1910532,80.0,57.9,113.8,152.3,Type_A
1910533,109.0,60.1,89.3,72.4,Type_C
1910534,78.8,44.1,124.4,95.2,Type_B
1910535,84.4,41.8,90.2,84.0,Type_A
1910536,146.7,62.6,54.2,64.7,Type_B
1910537,100.3,9.3,65.8,111.2,Type_C
1910538,160.2,52.7,102.0,128.1,Type_B
1910539,48.5,32.2,95.7,79.6,Type_A
1910540,97.8,62.4,139.4,113.1,Type_A
1910541,76.7,26.1,108.8,153.7,Type_B
1910542,83.4,48.0,93.5,98.8,Type_C
1910543,127.2,52.3,68.7,147.7,Type_A
1910544,90.4,27.5,109.0,97.0,Type_A
1910545,83.8,61.5,120.8,130.4,Type_A
1910546,138.7,18.2,108.7,111.5,Type_A
1910547,62.5,29.6,94.9,106.0,Type_C
1910548,62.7,59.9,125.6,77.3,Type_A
1910549,87.5,63.0,121.9,99.0,Type_A
1910550,83.7,38.1,113.5,148.7,Type_B
1910551,80.3,71.3,102.3,105.8,Type_B
1910552,127.3,27.5,138.3,77.6,Type_C
1910553,70.9,31.2,72.8,80.7,Type_B
1910554,77.3,27.6,113.8,118.4,Type_A
1910555,90.9,39.1,132.9,100.6,Type_C
1910556,130.1,44.1,58.9,115.3,Type_A
