ReservationID,RoomCapacity,BookingAdvanceDays,MemberType,UsageDurationHours,NoShowed
1450053,97.4,65.7,110.4,55.1,0
1450054,101.5,141.1,97.0,55.0,1
1450055,154.3,25.8,88.8,37.7,0
1450056,115.7,131.0,99.6,29.9,1
1450057,61.2,54.5,82.6,36.7,1
1450058,90.0,118.8,77.9,27.3,0
1450059,57.3,96.1,102.7,49.4,0
1450060,89.9,74.6,86.9,27.3,1
1450061,86.9,106.6,69.5,48.1,0
1450062,82.5,98.3,77.8,70.4,1
1450063,81.0,130.1,43.3,33.6,0
1450064,111.9,92.7,73.9,53.3,1
1450065,81.4,143.6,81.8,6.8,0
1450066,89.0,58.6,132.0,46.4,0
1450067,72.2,140.1,94.2,21.5,0
1450068,137.1,121.0,71.4,39.0,0
1450069,124.4,142.0,106.5,27.8,1
1450070,100.1,73.0,84.8,51.5,1
1450071,115.9,134.3,64.3,15.7,1
1450072,169.7,54.4,83.7,35.1,1
1450073,72.3,113.7,62.7,40.0,0
1450074,100.6,116.2,63.8,44.3,1
1450075,109.8,142.1,124.1,37.7,1
1450076,85.5,96.1,122.1,48.3,0
1450077,94.8,120.4,133.4,50.6,0
1450078,106.2,102.8,91.1,37.1,0
1450079,82.6,149.7,85.9,50.3,1
1450080,105.6,116.1,67.5,58.4,1
1450081,56.0,,92.8,29.5,0
1450082,122.5,93.4,111.7,44.0,0
1450083,62.8,94.4,127.3,43.5,1
1450084,84.3,68.1,91.5,43.9,0
1450085,128.8,111.1,61.2,37.3,0
1450086,99.1,56.9,112.3,49.1,1
1450087,108.9,85.9,137.8,55.3,1
1450088,72.0,137.3,77.3,55.1,1
1450089,98.0,118.4,116.8,72.6,0
1450090,85.6,115.7,86.0,57.8,1
1450091,112.9,107.3,114.0,44.7,1
1450092,72.4,82.8,116.8,58.0,1
1450093,129.6,99.3,87.2,42.9,1
1450094,93.6,134.5,75.4,56.0,0
1450095,112.4,89.8,98.4,47.4,0
1450096,113.2,135.2,97.6,25.5,0
1450097,58.8,84.4,134.3,47.8,1
1450098,76.1,131.6,134.5,49.5,0
1450099,76.6,79.2,119.2,37.6,0
1450100,126.1,94.3,99.4,35.6,0
1450101,117.2,73.7,52.7,49.0,1
1450102,124.4,101.6,154.8,43.2,0
1450103,73.4,87.1,97.3,53.0,1
1450104,100.3,115.0,124.1,47.9,0
1450105,84.4,143.7,101.6,53.0,1
1450106,78.1,137.0,94.1,26.6,0
1450107,102.5,97.5,131.2,29.9,0
1450108,124.2,87.3,140.0,52.4,0
1450109,68.5,85.1,140.2,57.1,0
1450110,113.4,61.5,126.0,42.2,0
1450111,74.9,129.0,61.7,56.8,0
1450112,85.5,,123.2,70.7,1
1450113,125.5,107.3,92.5,56.8,0
1450114,67.0,105.4,93.9,33.6,1
1450115,114.1,93.2,98.0,40.8,1
1450116,104.4,107.5,79.5,19.2,1
1450117,110.5,87.3,95.0,62.7,1
1450118,103.0,136.8,124.7,55.0,1
1450119,97.0,73.2,117.8,46.7,0
1450120,143.1,78.3,96.4,41.4,0
1450121,67.9,111.0,104.9,48.0,1
1450122,97.1,66.2,105.6,55.3,0
1450123,89.2,77.0,134.5,27.9,0
1450124,92.9,130.3,70.8,72.8,1
1450125,149.9,111.1,130.1,47.6,0
1450126,93.2,91.1,83.9,28.2,1
1450127,82.8,160.7,91.6,39.0,1
1450128,109.3,121.6,111.9,54.4,1
1450129,116.1,75.5,130.1,46.7,1
1450130,110.3,90.3,91.6,28.9,1
1450131,59.4,123.2,119.6,69.1,0
1450132,119.0,107.6,110.0,30.1,1
1450133,49.4,100.3,79.1,57.7,0
1450134,130.9,96.3,137.7,48.7,1
1450135,116.1,113.9,73.4,75.4,1
1450136,99.6,127.3,72.2,46.8,0
1450137,68.6,103.3,120.8,68.7,1
1450138,63.4,124.7,124.5,62.9,1
1450139,117.8,104.7,105.3,43.9,0
1450140,80.1,130.9,123.0,14.2,0
1450141,66.5,87.5,102.6,34.8,0
1450142,106.3,143.0,83.0,34.9,1
1450143,111.1,111.0,94.4,60.2,0
1450144,156.5,102.2,101.6,71.2,0
1450145,80.3,95.7,99.1,43.2,0
1450146,85.9,112.5,123.7,56.6,0
1450147,80.7,111.0,80.2,47.2,0
1450148,92.3,125.0,101.7,25.1,0
1450149,113.2,79.2,109.8,23.9,1
1450150,78.6,123.4,102.5,18.0,1
1450151,75.5,97.2,94.0,52.3,0
1450152,72.0,68.8,147.5,29.0,0
1450153,93.5,88.4,97.1,53.6,1
1450154,110.3,140.1,106.3,36.2,1
1450155,62.5,88.2,72.3,61.2,0
1450156,98.1,107.8,118.1,67.7,1
1450157,114.9,138.4,38.5,37.0,1
1450158,94.2,123.7,118.8,24.9,0
1450159,104.2,85.2,149.7,34.6,1
1450160,83.5,108.0,92.6,26.1,1
1450161,83.8,127.0,84.4,49.0,1
1450162,65.6,124.8,122.2,29.6,0
1450163,87.7,108.8,91.9,47.8,1
1450164,112.0,64.9,82.1,60.8,1
1450165,79.9,92.6,101.4,43.8,1
1450166,132.1,77.7,56.3,63.7,1
1450167,137.6,60.2,66.2,23.1,0
1450168,124.4,108.4,116.3,47.3,1
1450169,59.4,83.5,69.4,51.0,1
1450170,130.5,109.6,118.5,33.3,0
1450171,106.2,120.4,92.5,35.7,0
1450172,116.2,80.4,41.7,60.4,1
1450173,70.5,144.4,120.8,40.6,1
1450174,117.6,103.1,97.8,51.5,1
1450175,87.9,81.7,96.1,36.1,1
1450176,128.3,134.8,103.0,47.8,0
1450177,78.3,118.0,80.6,65.2,0
1450178,128.0,90.2,100.8,49.7,1
1450179,58.6,100.0,119.9,49.5,1
1450180,71.1,83.8,85.6,48.8,0
1450181,122.8,116.1,53.7,48.6,0
1450182,131.7,82.0,87.5,52.9,1
1450183,99.4,131.3,139.9,44.0,1
1450184,95.6,107.1,73.3,56.4,1
1450185,96.4,72.1,113.8,58.2,1
1450186,99.4,111.3,75.0,71.3,0
1450187,135.0,95.3,129.2,47.4,0
1450188,80.9,93.9,115.2,72.9,0
1450189,76.5,99.5,102.3,57.8,1
1450190,115.0,100.5,56.6,23.4,0
1450191,77.0,102.3,77.6,44.0,0
1450192,97.7,115.1,114.7,35.5,1
1450193,98.4,91.9,113.9,34.6,0
1450194,82.8,107.8,58.2,30.1,1
1450195,116.5,85.2,123.3,44.4,0
1450196,59.3,129.9,80.5,19.1,0
1450197,105.9,89.5,76.0,36.2,1
1450198,64.6,130.7,72.3,28.0,0
1450199,125.8,48.8,53.2,59.3,1
1450200,95.6,106.0,76.7,36.8,1
1450201,89.3,99.0,131.2,57.2,0
1450202,126.0,108.4,80.4,40.7,0
1450203,86.5,94.3,53.7,43.6,1
1450204,98.8,108.9,55.1,58.1,1
1450205,104.1,83.0,149.6,13.2,1
1450206,71.8,111.4,122.6,40.3,0
1450207,111.7,59.0,105.2,44.9,1
1450208,126.2,116.2,130.1,53.5,0
1450209,81.1,88.1,92.4,46.1,1
1450210,87.0,117.4,104.8,39.6,1
1450211,78.8,80.2,128.8,39.5,0
1450212,81.6,116.4,84.7,23.0,1
1450213,74.2,108.0,104.3,28.4,0
1450214,116.6,122.0,114.6,45.6,0
1450215,112.7,96.6,136.0,32.5,1
1450216,83.5,72.5,99.9,22.3,1
1450217,123.8,68.4,130.5,39.8,1
1450218,118.0,84.4,115.4,51.6,0
1450219,128.5,122.6,110.5,37.0,1
1450220,140.5,122.3,110.7,80.2,0
1450221,81.8,126.9,67.1,55.4,1
1450222,91.1,54.5,99.8,80.6,0
1450223,152.7,90.6,80.3,52.6,0
1450224,135.1,102.6,95.9,28.3,1
1450225,79.9,60.5,115.7,49.2,1
1450226,106.3,106.5,121.2,31.3,0
1450227,93.9,63.3,100.5,57.8,0
1450228,66.0,77.8,79.7,34.7,1
1450229,102.6,128.2,132.1,62.7,1
1450230,65.6,134.3,69.3,30.3,1
1450231,105.5,104.9,145.0,56.0,1
1450232,149.9,95.5,102.4,41.8,1
1450233,133.7,99.3,110.7,49.8,1
1450234,38.8,49.5,46.4,30.7,0
1450235,80.6,102.0,82.7,61.9,1
1450236,72.0,87.6,106.7,53.3,1
1450237,64.9,131.4,88.3,67.9,1
1450238,104.9,135.1,93.1,29.6,0
1450239,53.4,121.0,91.3,29.6,1
1450240,105.6,103.6,125.6,74.2,1
1450241,120.8,104.0,84.5,35.4,1
1450242,76.4,82.4,80.5,58.0,0
1450243,70.5,83.4,115.8,63.8,0
1450244,89.8,108.4,118.2,33.0,1
1450245,130.5,121.3,123.2,30.0,0
1450246,66.0,96.6,135.2,54.2,1
1450247,108.8,62.3,103.0,20.3,0
1450248,106.1,113.3,121.7,48.4,0
1450249,128.8,74.4,70.0,38.8,1
1450250,90.8,99.3,74.2,59.5,0
1450251,83.9,127.5,164.8,67.9,1
1450252,112.8,101.2,102.8,44.6,1
1450253,100.7,161.2,90.2,30.9,1
1450254,74.6,86.6,89.0,29.7,0
1450255,113.4,158.7,95.2,68.6,1
1450256,118.4,152.9,95.1,41.7,0
1450257,92.7,105.7,119.3,53.2,1
1450258,141.4,117.1,65.6,28.6,0
1450259,117.2,130.0,126.3,46.5,1
1450260,83.1,91.8,132.9,45.5,0
1450261,147.8,97.6,94.3,60.3,0
1450262,131.2,94.3,125.0,55.4,0
1450263,80.7,66.0,74.3,52.4,0
1450264,116.4,100.1,88.9,37.8,1
1450265,114.9,98.0,126.8,51.7,0
1450266,74.7,94.3,130.8,25.9,0
1450267,111.9,108.6,103.4,49.7,1
1450268,120.9,93.7,112.5,50.5,0
1450269,50.8,58.6,83.5,46.4,1
1450270,112.8,77.1,64.8,36.9,0
1450271,63.8,138.3,127.6,42.0,1
1450272,134.7,71.6,42.9,36.6,0
1450273,84.4,120.2,92.0,54.4,0
1450274,79.4,73.1,103.3,39.1,0
1450275,94.7,88.0,51.1,31.0,0
1450276,78.0,98.2,78.5,73.3,0
1450277,136.8,71.4,118.8,40.9,0
1450278,135.3,108.9,99.3,29.9,1
1450279,64.5,148.0,95.7,70.6,0
1450280,77.0,135.8,132.1,27.7,0
1450281,106.6,72.0,102.5,85.4,1
1450282,103.7,106.6,85.7,55.4,1
1450283,109.5,81.4,62.4,60.6,1
1450284,98.0,93.2,125.1,59.0,1
1450285,76.4,95.9,68.5,25.4,1
1450286,89.2,79.3,122.8,60.8,0
1450287,110.7,130.0,74.1,40.9,1
1450288,109.2,91.9,97.7,79.4,0
1450289,106.9,75.0,101.9,45.0,1
1450290,128.9,75.2,121.5,65.0,1
1450291,121.9,90.7,103.4,31.9,1
1450292,130.2,124.5,76.0,18.9,0
1450293,116.7,73.2,148.9,38.2,1
1450294,138.9,114.0,126.9,43.4,0
1450295,98.4,66.4,60.5,42.2,1
1450296,73.9,77.8,60.6,40.5,0
1450297,85.8,114.7,78.0,34.5,1
1450298,67.3,107.2,104.5,75.2,1
1450299,99.4,109.6,129.0,57.1,1
1450300,93.8,34.2,83.9,47.3,1
1450301,95.9,113.8,66.4,45.1,0
1450302,86.3,126.7,85.8,28.0,1
1450303,100.7,73.5,85.4,28.2,0
1450304,89.6,54.7,115.0,42.9,0
1450305,95.9,96.7,92.4,46.4,1
1450306,119.3,90.9,126.8,46.5,0
1450307,109.5,104.4,65.7,45.8,1
1450308,63.3,85.2,76.9,48.3,1
1450309,79.9,44.8,110.2,32.2,1
1450310,51.9,65.6,74.1,20.8,1
1450311,109.7,65.6,111.1,64.9,0
1450312,93.1,106.6,62.5,54.8,0
1450313,40.6,78.2,65.1,43.3,0
1450314,93.0,98.8,108.0,41.8,0
1450315,127.4,80.1,71.8,51.0,1
1450316,68.7,117.3,117.5,28.7,0
1450317,109.1,108.7,143.1,22.9,0
1450318,102.2,104.7,72.2,30.2,0
1450319,126.8,94.3,117.4,33.3,0
1450320,99.5,109.3,108.7,35.0,0
1450321,127.0,57.1,80.0,28.1,0
1450322,110.4,96.4,111.2,37.6,1
1450323,92.7,112.0,119.4,36.8,1
1450324,102.0,96.6,107.7,32.1,0
1450325,140.4,51.3,53.7,48.1,1
1450326,103.9,70.8,92.6,18.5,1
1450327,130.2,121.4,81.4,49.8,0
1450328,65.5,78.4,85.4,65.9,1
1450329,97.4,121.8,84.4,17.9,0
1450330,93.6,119.8,114.6,23.3,0
1450331,106.6,98.5,121.8,15.9,1
1450332,70.5,120.1,122.0,43.6,1
1450333,87.2,100.9,76.2,53.5,1
1450334,106.4,71.3,107.3,47.0,0
1450335,147.1,91.6,59.1,40.7,0
1450336,108.8,70.9,91.9,54.1,1
1450337,91.9,126.5,67.0,36.8,0
1450338,57.4,,56.8,21.6,1
1450339,124.4,137.9,111.0,52.6,1
1450340,98.4,113.0,122.8,35.6,0
1450341,102.4,72.3,91.8,68.1,1
1450342,98.9,123.0,97.7,35.6,0
1450343,74.1,64.5,107.5,52.0,0
1450344,77.2,98.0,96.6,34.4,0
1450345,135.5,101.3,71.6,35.0,0
1450346,146.8,75.6,129.2,62.3,0
1450347,119.5,110.7,130.2,42.0,1
1450348,98.5,125.4,133.7,30.8,1
1450349,94.5,97.0,112.7,13.7,1
1450350,96.6,84.4,97.7,31.3,1
1450351,71.2,92.0,78.9,68.2,0
1450352,135.9,118.5,48.0,22.0,0
1450353,96.4,95.3,111.6,24.1,1
1450354,79.7,107.5,71.4,55.8,1
1450355,56.2,115.6,94.8,41.8,0
1450356,139.2,117.3,79.6,25.7,0
1450357,134.5,139.8,91.4,47.7,0
1450358,147.6,91.9,61.0,41.2,1
1450359,81.6,87.6,17.2,46.4,1
1450360,99.0,99.1,86.8,50.0,0
1450361,91.2,110.8,94.8,41.3,0
1450362,124.6,109.5,103.8,52.8,1
1450363,114.4,89.4,122.6,30.4,0
1450364,57.7,99.3,127.3,40.9,0
1450365,93.0,10.7,77.4,59.8,0
1450366,75.2,68.7,75.1,25.9,1
1450367,102.6,93.8,116.3,44.9,0
1450368,121.4,105.4,114.4,62.4,1
1450369,83.9,130.3,97.6,70.8,1
1450370,136.8,63.0,108.2,37.1,1
1450371,133.1,131.2,82.3,26.2,0
1450372,117.5,118.3,82.8,25.2,0
1450373,72.2,132.5,78.3,70.9,1
1450374,69.1,111.0,111.2,44.0,0
1450375,116.1,99.1,103.7,43.7,1
1450376,136.9,98.7,81.2,39.1,0
1450377,79.2,62.5,97.4,26.6,1
1450378,121.9,60.9,134.2,67.2,1
1450379,122.4,60.2,80.9,59.5,1
1450380,36.9,112.6,137.9,47.1,1
1450381,83.3,105.3,113.5,32.9,1
1450382,116.6,112.1,124.8,42.2,0
1450383,56.4,89.8,125.3,44.7,1
1450384,105.2,120.5,73.6,64.3,1
1450385,91.9,72.4,79.0,30.3,1
1450386,102.0,46.7,56.9,43.5,1
1450387,132.2,101.9,147.4,46.9,1
1450388,101.4,75.1,98.9,45.1,0
1450389,117.3,,136.8,27.9,1
1450390,72.5,90.4,116.0,39.0,0
1450391,97.7,100.3,110.2,23.1,0
1450392,103.1,59.3,100.5,47.7,0
1450393,90.6,148.3,139.1,42.7,0
1450394,72.7,97.2,116.1,27.1,1
1450395,145.7,65.5,62.0,55.4,0
1450396,115.3,76.4,113.4,60.0,1
1450397,90.0,70.0,129.1,59.3,1
1450398,100.3,132.5,78.8,33.6,1
1450399,64.1,117.0,127.5,28.2,0
1450400,92.9,100.2,135.4,25.4,0
1450401,97.7,121.5,79.9,41.0,0
1450402,88.0,118.6,86.3,40.2,0
1450403,71.1,86.9,107.3,48.6,1
1450404,121.4,102.9,92.2,30.7,1
1450405,83.8,87.3,84.5,69.9,0
1450406,65.6,93.8,90.7,34.7,0
1450407,102.5,124.1,108.3,35.0,1
1450408,113.5,130.8,115.0,11.1,1
1450409,92.8,83.2,91.6,49.7,0
1450410,99.9,,131.7,65.0,0
1450411,115.8,82.5,64.9,20.4,1
1450412,99.1,89.8,98.3,26.2,0
1450413,70.8,88.6,116.8,35.3,1
1450414,121.0,101.3,60.8,46.5,1
1450415,85.1,109.5,77.9,61.3,0
1450416,102.0,119.9,128.8,46.5,1
1450417,71.6,73.5,85.1,53.7,0
1450418,97.1,97.9,106.2,39.1,0
1450419,76.0,92.9,85.7,51.1,1
1450420,103.1,120.9,35.0,64.3,1
1450421,85.2,91.4,96.1,27.2,0
1450422,90.0,114.6,111.3,24.0,1
1450423,64.2,92.9,60.4,61.8,0
1450424,74.5,78.5,98.4,54.2,0
1450425,77.5,111.2,99.8,40.2,1
1450426,97.1,77.3,90.4,67.7,1
1450427,93.1,90.3,69.0,38.3,0
1450428,143.7,126.7,76.6,28.7,1
1450429,112.5,136.8,59.7,41.6,1
1450430,133.7,99.5,115.6,47.0,0
1450431,82.0,58.9,97.7,47.8,0
1450432,101.1,125.5,108.1,34.4,0
1450433,98.2,126.6,45.3,56.2,1
1450434,144.9,96.5,150.2,43.2,1
1450435,91.4,148.1,90.6,59.1,0
1450436,113.3,86.9,115.4,54.2,1
1450437,93.6,144.9,52.1,44.1,1
1450438,131.3,136.6,136.4,66.3,1
1450439,103.9,114.2,112.7,38.0,0
1450440,119.7,116.9,124.4,79.2,1
1450441,104.5,110.2,44.1,57.3,1
1450442,112.3,137.0,99.9,48.1,1
1450443,123.2,148.0,116.5,43.0,1
1450444,91.6,,98.2,69.7,0
1450445,117.5,84.6,60.4,57.6,1
1450446,105.5,98.6,136.6,18.9,1
1450447,119.4,155.1,60.1,58.2,0
1450448,111.4,84.3,79.9,24.9,0
1450449,112.2,149.3,89.1,79.2,1
1450450,123.4,81.4,102.9,50.0,1
1450451,64.7,85.1,137.8,81.0,1
1450452,52.8,91.8,140.8,42.8,1
1450453,57.3,106.1,112.6,18.5,0
1450454,71.8,134.9,104.3,57.3,1
1450455,92.3,93.3,84.1,74.1,0
1450456,92.9,89.7,23.6,16.3,0
1450457,128.8,171.2,142.7,9.2,0
1450458,115.9,98.2,97.4,24.5,1
1450459,115.1,120.3,106.2,73.6,1
1450460,106.5,88.3,155.8,59.4,0
1450461,123.8,120.7,93.4,31.3,0
1450462,84.1,92.0,109.6,22.2,0
1450463,101.7,85.5,130.5,38.2,0
1450464,110.6,91.7,76.5,40.9,0
1450465,80.8,82.3,110.0,49.8,0
1450466,74.2,80.2,118.4,17.8,0
1450467,103.3,91.1,132.4,46.1,1
1450468,78.3,93.4,79.4,75.9,1
1450469,101.4,96.3,78.1,59.0,0
1450470,92.6,90.0,71.0,51.4,0
1450471,100.7,68.8,91.0,75.4,0
1450472,55.5,115.2,99.1,57.3,1
1450473,103.9,87.5,101.7,33.8,1
1450474,150.3,107.9,108.2,56.2,0
1450475,128.2,40.9,156.5,68.2,1
1450476,81.2,85.6,122.7,47.1,0
1450477,94.3,123.1,71.1,55.6,0
1450478,131.1,111.8,115.6,68.7,0
1450479,82.1,86.0,101.4,50.5,0
1450480,88.0,99.8,108.2,25.7,1
1450481,119.6,108.3,86.6,55.1,0
1450482,82.5,,78.6,22.5,0
1450483,80.9,,106.4,40.3,0
1450484,93.2,121.2,122.2,46.0,1
1450485,135.8,153.4,123.1,35.5,1
1450486,119.2,130.0,64.1,40.4,1
1450487,151.2,60.0,56.7,47.1,1
1450488,77.6,62.6,106.2,61.6,1
1450489,121.2,102.1,118.3,46.5,0
1450490,84.4,103.7,95.2,24.3,1
1450491,86.0,72.7,79.7,50.1,1
1450492,111.6,112.2,50.6,81.4,0
1450493,98.7,89.4,146.5,65.9,0
1450494,119.7,97.0,60.4,27.0,1
1450495,99.5,90.8,79.7,46.6,0
1450496,107.3,41.2,77.1,55.6,0
1450497,58.1,102.0,111.9,66.2,1
1450498,90.0,120.0,91.1,41.4,1
1450499,72.3,104.4,100.5,58.0,0
1450500,96.8,131.9,103.1,43.0,1
1450501,118.8,123.9,117.3,58.7,0
1450502,116.4,124.7,80.9,22.3,1
1450503,96.8,127.2,99.5,63.0,1
1450504,42.6,103.6,72.5,42.2,0
1450505,134.9,101.3,146.6,64.2,0
1450506,140.2,93.9,99.0,35.9,0
1450507,126.3,160.0,119.0,46.2,0
1450508,129.4,103.5,128.6,19.9,0
1450509,94.8,103.0,135.1,57.0,0
1450510,114.5,81.6,127.2,44.4,0
1450511,109.8,65.3,121.4,45.0,0
1450512,63.6,65.9,120.9,34.8,1
1450513,64.7,43.0,59.4,43.9,0
1450514,96.5,91.6,127.8,61.2,1
1450515,125.0,86.3,95.5,57.0,0
1450516,60.0,129.4,89.2,38.5,1
1450517,126.4,75.3,100.3,69.6,0
1450518,139.8,83.8,103.7,34.6,1
1450519,143.3,119.5,104.6,36.9,0
1450520,80.4,133.2,70.4,49.0,1
1450521,101.9,76.1,58.5,46.6,1
1450522,102.6,98.0,72.9,35.2,0
1450523,90.0,56.5,153.5,31.9,1
1450524,71.4,102.1,115.9,33.7,1
1450525,138.5,71.4,80.7,51.4,0
1450526,76.1,132.1,112.7,62.7,1
1450527,111.3,150.4,63.8,58.0,0
1450528,135.0,85.5,128.0,47.9,0
1450529,82.9,98.2,52.5,31.7,0
1450530,82.7,96.8,65.1,37.7,1
1450531,67.8,121.4,105.7,47.2,0
1450532,114.7,118.3,110.7,70.7,1
1450533,75.0,91.0,113.2,92.2,1
1450534,81.6,120.2,145.7,52.6,1
1450535,159.3,114.2,103.5,52.4,1
1450536,104.8,97.7,90.7,44.0,1
1450537,83.8,,105.4,41.8,1
1450538,127.1,111.6,76.7,43.0,1
1450539,125.1,88.7,109.1,64.9,1
1450540,124.1,126.5,161.0,33.6,1
1450541,118.3,95.1,119.2,39.4,0
1450542,111.7,49.4,57.3,47.8,1
1450543,157.1,76.0,96.0,58.6,1
1450544,127.9,100.1,119.5,72.8,0
1450545,67.5,116.3,95.3,45.9,1
1450546,80.2,106.4,122.5,30.4,0
1450547,98.6,164.6,63.1,29.0,1
1450548,70.6,79.7,130.4,44.6,1
1450549,107.7,105.5,93.1,46.6,0
1450550,100.8,72.7,109.1,50.7,0
1450551,77.5,70.5,72.1,33.3,1
1450552,87.0,73.5,116.4,54.3,1
1450553,91.5,104.7,135.6,82.4,1
1450554,111.2,101.5,80.7,48.9,0
1450555,86.9,94.4,119.9,22.4,1
1450556,102.0,129.4,120.0,34.6,0
1450557,74.2,115.6,102.7,24.1,1
1450558,98.2,100.4,123.4,49.6,0
1450559,120.7,132.4,108.0,18.5,1
1450560,64.8,66.3,61.5,69.0,1
1450561,106.5,88.7,82.1,28.9,0
1450562,121.0,101.4,118.0,57.1,0
1450563,113.3,110.1,102.8,31.6,1
1450564,114.9,110.3,49.9,57.7,0
1450565,91.7,105.6,134.8,60.5,1
1450566,116.2,69.1,105.3,26.6,1
1450567,76.7,122.5,130.1,21.3,1
1450568,116.4,110.9,144.4,55.3,1
1450569,95.8,147.2,94.6,37.9,1
1450570,112.2,100.9,95.3,58.5,0
1450571,150.3,120.2,115.5,44.2,0
1450572,68.4,98.6,69.9,42.6,0
1450573,94.5,74.1,81.2,46.0,1
1450574,118.7,98.9,107.4,52.3,0
1450575,100.3,112.5,72.7,16.0,1
1450576,136.5,94.0,110.8,53.5,0
1450577,132.7,60.3,110.6,44.0,0
1450578,67.1,78.3,109.9,27.6,0
1450579,65.4,92.9,101.2,53.5,0
1450580,122.4,141.2,126.3,45.4,0
1450581,105.0,47.0,66.8,57.2,0
1450582,84.5,,128.2,49.4,0
1450583,66.0,122.2,88.8,34.8,0
1450584,103.1,88.1,129.5,67.0,1
1450585,118.3,117.6,84.5,95.1,0
1450586,69.0,95.3,111.4,46.2,1
1450587,69.7,113.1,71.7,53.3,0
1450588,120.2,128.9,101.3,33.7,0
1450589,52.0,99.7,96.0,39.1,0
1450590,104.6,112.0,69.6,37.0,1
1450591,84.5,119.2,129.2,28.4,0
1450592,108.4,121.4,118.4,41.9,0
1450593,103.7,87.0,113.4,49.5,0
1450594,136.8,90.5,130.0,46.3,1
1450595,84.7,106.5,81.9,34.4,0
1450596,82.0,88.9,86.6,22.7,0
1450597,122.5,110.5,138.2,41.8,1
1450598,103.0,99.4,140.3,71.3,0
1450599,110.8,109.6,69.9,50.0,1
1450600,102.5,117.0,75.3,45.2,0
1450601,107.0,77.0,162.7,25.7,0
1450602,95.0,126.5,93.3,42.0,0
1450603,108.2,113.8,94.9,48.3,0
1450604,110.1,60.3,123.1,63.4,0
1450605,93.3,99.3,105.9,30.8,0
1450606,97.3,105.0,133.8,38.1,1
1450607,86.7,,60.2,16.7,0
1450608,122.1,118.1,87.5,37.4,1
1450609,103.7,92.3,80.3,42.3,0
1450610,108.1,78.4,152.7,33.2,0
1450611,99.3,120.3,135.4,28.0,1
1450612,112.7,140.1,105.4,19.7,0
1450613,57.6,99.3,114.5,44.4,1
1450614,102.5,131.2,87.6,49.1,1
1450615,87.5,66.7,125.5,16.6,1
1450616,108.9,146.7,111.9,39.2,0
1450617,122.2,109.4,85.4,20.4,1
1450618,112.7,121.6,83.2,42.0,1
1450619,73.9,76.6,97.0,33.4,1
1450620,73.1,104.9,140.6,44.8,1
1450621,91.0,125.1,72.8,34.0,1
1450622,87.2,118.7,90.0,2.4,1
1450623,89.2,87.9,144.7,21.9,1
1450624,125.0,101.5,113.1,66.9,1
1450625,120.3,111.6,131.6,37.0,0
1450626,77.0,103.4,144.1,19.1,0
1450627,82.3,82.8,83.1,75.2,0
1450628,54.4,84.7,124.3,43.1,1
1450629,56.7,79.8,131.2,42.4,0
1450630,81.8,71.9,76.6,26.1,1
1450631,112.2,95.2,98.8,39.1,0
1450632,106.9,72.1,56.6,56.1,1
1450633,98.0,119.7,96.3,61.1,1
