BookingID,LeadTime,BookingChannel,DepositType,CustomerType,IsCanceled
630061,183.0,Online Travel Agent,No Deposit,Transient,No
630062,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630063,149.0,Online Travel Agent,Non Refundable,Group,No
630064,104.0,Online Travel Agent,No Deposit,Transient,No
630065,48.0,Online Travel Agent,No Deposit,Transient,No
630066,80.0,Online Travel Agent,No Deposit,Transient-Party,No
630067,165.0,Corporate,No Deposit,Transient,Yes
630068,17.0,Online Travel Agent,No Deposit,Group,No
630069,238.0,Online Travel Agent,No Deposit,Group,No
630070,48.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630071,40.0,Direct,No Deposit,Transient,Yes
630072,55.0,Online Travel Agent,No Deposit,Transient,Yes
630073,55.0,Direct,No Deposit,Transient,Yes
630074,56.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630075,209.0,Corporate,No Deposit,Transient-Party,Yes
630076,58.0,Online Travel Agent,No Deposit,Transient-Party,No
630077,25.0,Online Travel Agent,Non Refundable,Transient,No
630078,12.0,Online Travel Agent,No Deposit,Group,Yes
630079,125.0,Corporate,No Deposit,Transient-Party,Yes
630080,96.0,Online Travel Agent,No Deposit,Transient,No
630081,10.0,Direct,No Deposit,Transient,No
630082,80.0,Online Travel Agent,No Deposit,Transient,No
630083,80.0,Online Travel Agent,No Deposit,Group,No
630084,6.0,Direct,Non Refundable,Group,No
630085,10.0,Online Travel Agent,No Deposit,Group,No
630086,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630087,39.0,Online Travel Agent,No Deposit,Group,No
630088,56.0,Direct,Non Refundable,Transient-Party,No
630089,70.0,Online Travel Agent,No Deposit,Transient-Party,No
630090,5.0,Direct,No Deposit,Group,Yes
630091,149.0,Online Travel Agent,No Deposit,Transient-Party,No
630092,1.0,Online Travel Agent,No Deposit,Transient,Yes
630093,48.0,Corporate,No Deposit,Group,No
630094,22.0,Direct,No Deposit,Group,No
630095,35.0,Online Travel Agent,Non Refundable,Group,Yes
630096,48.0,Online Travel Agent,No Deposit,Group,No
630097,190.0,Online Travel Agent,No Deposit,Transient,Yes
630098,3.0,Online Travel Agent,No Deposit,Transient,No
630099,8.0,Online Travel Agent,Non Refundable,Transient,No
630100,33.0,Direct,No Deposit,Transient,No
630101,8.0,Online Travel Agent,No Deposit,Transient,No
630102,16.0,Online Travel Agent,No Deposit,Group,No
630103,31.0,Online Travel Agent,No Deposit,Group,No
630104,15.0,Online Travel Agent,No Deposit,Transient,No
630105,30.0,Online Travel Agent,No Deposit,Transient-Party,No
630106,84.0,Online Travel Agent,No Deposit,Group,No
630107,70.0,Online Travel Agent,No Deposit,Group,Yes
630108,31.0,Direct,No Deposit,Group,No
630109,,Online Travel Agent,No Deposit,Transient,Yes
630110,155.0,Online Travel Agent,Non Refundable,Transient-Party,No
630111,66.0,Online Travel Agent,No Deposit,Transient,No
630112,41.0,Online Travel Agent,No Deposit,Transient-Party,No
630113,24.0,Online Travel Agent,Non Refundable,Transient,No
630114,28.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630115,9.0,Online Travel Agent,No Deposit,Group,No
630116,105.0,Online Travel Agent,No Deposit,Transient,No
630117,49.0,Online Travel Agent,No Deposit,Transient,No
630118,74.0,Online Travel Agent,Refundable,Group,No
630119,67.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630120,5.0,Online Travel Agent,No Deposit,Transient,Yes
630121,63.0,Online Travel Agent,Non Refundable,Transient,No
630122,95.0,Online Travel Agent,Non Refundable,Group,No
630123,233.0,Online Travel Agent,Refundable,Group,No
630124,233.0,Online Travel Agent,Non Refundable,Transient-Party,No
630125,62.0,Online Travel Agent,No Deposit,Transient-Party,No
630126,25.0,Online Travel Agent,No Deposit,Transient-Party,No
630127,58.0,Online Travel Agent,No Deposit,Transient,Yes
630128,124.0,Online Travel Agent,No Deposit,Transient,No
630129,42.0,Direct,Non Refundable,Transient,No
630130,121.0,Online Travel Agent,No Deposit,Transient-Party,No
630131,15.0,Corporate,No Deposit,Transient,No
630132,8.0,Online Travel Agent,No Deposit,Transient-Party,No
630133,5.0,Corporate,No Deposit,Group,Yes
630134,61.0,Online Travel Agent,No Deposit,Group,No
630135,159.0,Online Travel Agent,No Deposit,Group,No
630136,21.0,Online Travel Agent,Non Refundable,Group,No
630137,5.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630138,64.0,Direct,No Deposit,Group,Yes
630139,18.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630140,22.0,Online Travel Agent,No Deposit,Group,Yes
630141,125.0,Online Travel Agent,No Deposit,Transient,Yes
630142,3.0,Online Travel Agent,No Deposit,Transient,No
630143,,Direct,No Deposit,Group,No
630144,142.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630145,47.0,Direct,No Deposit,Transient-Party,Yes
630146,21.0,Online Travel Agent,No Deposit,Group,No
630147,116.0,Direct,No Deposit,Group,No
630148,20.0,Online Travel Agent,No Deposit,Group,No
630149,86.0,Online Travel Agent,No Deposit,Group,No
630150,57.0,Corporate,No Deposit,Group,Yes
630151,62.0,Corporate,No Deposit,Transient,Yes
630152,115.0,Corporate,Non Refundable,Group,No
630153,10.0,Online Travel Agent,No Deposit,Group,No
630154,21.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630155,4.0,Direct,No Deposit,Group,No
630156,39.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630157,5.0,Online Travel Agent,No Deposit,Transient,No
630158,53.0,Online Travel Agent,No Deposit,Transient-Party,No
630159,9.0,Online Travel Agent,No Deposit,Group,No
630160,4.0,Online Travel Agent,Non Refundable,Transient,No
630161,68.0,Online Travel Agent,Non Refundable,Transient,No
630162,30.0,Online Travel Agent,No Deposit,Group,No
630163,1.0,Online Travel Agent,Non Refundable,Transient,No
630164,30.0,Online Travel Agent,No Deposit,Group,No
630165,25.0,Online Travel Agent,No Deposit,Group,No
630166,22.0,Online Travel Agent,No Deposit,Transient,Yes
630167,8.0,Direct,Refundable,Transient,No
630168,48.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630169,14.0,Direct,No Deposit,Group,Yes
630170,2.0,Online Travel Agent,No Deposit,Transient,No
630171,48.0,Online Travel Agent,No Deposit,Transient,No
630172,1.0,Online Travel Agent,Non Refundable,Group,No
630173,71.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630174,57.0,Online Travel Agent,No Deposit,Transient,Yes
630175,30.0,Direct,Non Refundable,Transient-Party,No
630176,124.0,Online Travel Agent,No Deposit,Transient-Party,No
630177,75.0,Direct,No Deposit,Transient-Party,Yes
630178,58.0,Direct,No Deposit,Group,No
630179,66.0,Online Travel Agent,Non Refundable,Group,Yes
630180,37.0,Direct,Non Refundable,Group,No
630181,70.0,Online Travel Agent,No Deposit,Group,No
630182,12.0,Online Travel Agent,No Deposit,Transient,No
630183,25.0,Corporate,No Deposit,Transient,Yes
630184,69.0,Online Travel Agent,Non Refundable,Group,No
630185,8.0,Online Travel Agent,No Deposit,Group,Yes
630186,47.0,Online Travel Agent,No Deposit,Group,No
630187,180.0,Direct,No Deposit,Group,Yes
630188,9.0,Online Travel Agent,Non Refundable,Transient-Party,No
630189,26.0,Corporate,No Deposit,Transient-Party,No
630190,17.0,Online Travel Agent,No Deposit,Group,Yes
630191,1.0,Online Travel Agent,No Deposit,Transient,No
630192,57.0,Online Travel Agent,Non Refundable,Transient,No
630193,61.0,Online Travel Agent,No Deposit,Group,No
630194,55.0,Online Travel Agent,No Deposit,Transient,No
630195,26.0,Online Travel Agent,No Deposit,Group,No
630196,223.0,Online Travel Agent,No Deposit,Group,Yes
630197,10.0,Direct,No Deposit,Transient-Party,No
630198,121.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630199,9.0,Online Travel Agent,No Deposit,Transient,No
630200,12.0,Online Travel Agent,No Deposit,Transient,Yes
630201,43.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630202,61.0,Online Travel Agent,No Deposit,Transient-Party,No
630203,18.0,Direct,Non Refundable,Transient-Party,No
630204,64.0,Online Travel Agent,No Deposit,Group,Yes
630205,63.0,Online Travel Agent,No Deposit,Transient,No
630206,43.0,Online Travel Agent,No Deposit,Transient,No
630207,5.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630208,7.0,Online Travel Agent,No Deposit,Group,No
630209,66.0,Online Travel Agent,Non Refundable,Group,No
630210,46.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630211,33.0,Direct,No Deposit,Group,No
630212,82.0,Online Travel Agent,No Deposit,Transient-Party,No
630213,16.0,Direct,No Deposit,Transient,No
630214,30.0,Online Travel Agent,No Deposit,Transient-Party,No
630215,28.0,Online Travel Agent,No Deposit,Transient,Yes
630216,65.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630217,9.0,Corporate,Non Refundable,Group,No
630218,217.0,Corporate,No Deposit,Transient-Party,No
630219,,Online Travel Agent,No Deposit,Transient-Party,Yes
630220,71.0,Online Travel Agent,No Deposit,Group,No
630221,,Corporate,No Deposit,Transient-Party,Yes
630222,18.0,Online Travel Agent,No Deposit,Group,No
630223,83.0,Online Travel Agent,Non Refundable,Transient-Party,No
630224,39.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630225,216.0,Online Travel Agent,No Deposit,Group,No
630226,123.0,Online Travel Agent,Refundable,Transient-Party,No
630227,47.0,Direct,No Deposit,Transient,No
630228,35.0,Online Travel Agent,No Deposit,Group,No
630229,102.0,Online Travel Agent,No Deposit,Transient,No
630230,14.0,Online Travel Agent,Non Refundable,Transient-Party,No
630231,47.0,Online Travel Agent,No Deposit,Transient,No
630232,173.0,Online Travel Agent,No Deposit,Transient-Party,No
630233,9.0,Online Travel Agent,No Deposit,Group,No
630234,102.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630235,96.0,Online Travel Agent,No Deposit,Transient,Yes
630236,74.0,Online Travel Agent,No Deposit,Transient,Yes
630237,17.0,Corporate,No Deposit,Transient-Party,No
630238,8.0,Direct,No Deposit,Group,Yes
630239,109.0,Online Travel Agent,Non Refundable,Transient-Party,No
630240,350.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630241,16.0,Online Travel Agent,No Deposit,Group,No
630242,27.0,Direct,No Deposit,Group,No
630243,12.0,Online Travel Agent,No Deposit,Transient-Party,No
630244,66.0,Direct,No Deposit,Group,Yes
630245,103.0,Online Travel Agent,Non Refundable,Transient-Party,No
630246,70.0,Online Travel Agent,No Deposit,Transient-Party,No
630247,1.0,Direct,No Deposit,Transient,Yes
630248,43.0,Online Travel Agent,No Deposit,Transient,No
630249,143.0,Corporate,No Deposit,Group,Yes
630250,28.0,Corporate,No Deposit,Transient,No
630251,20.0,Online Travel Agent,No Deposit,Transient,Yes
630252,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630253,84.0,Online Travel Agent,Non Refundable,Transient-Party,No
630254,68.0,Direct,No Deposit,Group,No
630255,56.0,Online Travel Agent,Non Refundable,Transient-Party,Yes
630256,52.0,Online Travel Agent,No Deposit,Transient,No
630257,33.0,Online Travel Agent,No Deposit,Transient-Party,No
630258,15.0,Direct,No Deposit,Transient-Party,No
630259,8.0,Online Travel Agent,No Deposit,Group,Yes
630260,101.0,Online Travel Agent,No Deposit,Group,Yes
630261,41.0,Direct,No Deposit,Transient,No
630262,84.0,Online Travel Agent,No Deposit,Transient,No
630263,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630264,79.0,Direct,No Deposit,Transient,Yes
630265,10.0,Online Travel Agent,Non Refundable,Group,No
630266,107.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630267,196.0,Online Travel Agent,No Deposit,Group,No
630268,33.0,Online Travel Agent,No Deposit,Group,Yes
630269,82.0,Direct,No Deposit,Transient-Party,No
630270,151.0,Online Travel Agent,No Deposit,Group,Yes
630271,12.0,Direct,No Deposit,Group,No
630272,39.0,Direct,Non Refundable,Group,No
630273,9.0,Direct,No Deposit,Transient-Party,Yes
630274,80.0,Direct,No Deposit,Transient-Party,No
630275,8.0,Online Travel Agent,No Deposit,Group,Yes
630276,52.0,Online Travel Agent,No Deposit,Group,Yes
630277,45.0,Corporate,No Deposit,Group,No
630278,91.0,Online Travel Agent,No Deposit,Transient,No
630279,28.0,Online Travel Agent,No Deposit,Group,Yes
630280,31.0,Online Travel Agent,No Deposit,Transient,Yes
630281,65.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630282,10.0,Online Travel Agent,Non Refundable,Transient-Party,No
630283,80.0,Online Travel Agent,Non Refundable,Group,Yes
630284,140.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630285,17.0,Online Travel Agent,No Deposit,Group,No
630286,73.0,Online Travel Agent,No Deposit,Transient,No
630287,45.0,Online Travel Agent,No Deposit,Transient,No
630288,6.0,Online Travel Agent,No Deposit,Transient,No
630289,78.0,Online Travel Agent,Non Refundable,Transient,No
630290,257.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630291,15.0,Online Travel Agent,Non Refundable,Transient-Party,No
630292,14.0,Online Travel Agent,No Deposit,Group,No
630293,69.0,Direct,Non Refundable,Group,No
630294,20.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630295,39.0,Online Travel Agent,No Deposit,Group,Yes
630296,131.0,Online Travel Agent,Non Refundable,Group,No
630297,82.0,Online Travel Agent,No Deposit,Transient,Yes
630298,129.0,Online Travel Agent,No Deposit,Transient-Party,No
630299,3.0,Direct,No Deposit,Transient-Party,No
630300,13.0,Direct,Non Refundable,Transient,No
630301,115.0,Online Travel Agent,Non Refundable,Transient-Party,No
630302,189.0,Online Travel Agent,Non Refundable,Transient-Party,No
630303,84.0,Online Travel Agent,No Deposit,Transient,Yes
630304,45.0,Online Travel Agent,No Deposit,Transient-Party,No
630305,28.0,Corporate,Non Refundable,Transient-Party,No
630306,46.0,Online Travel Agent,Non Refundable,Group,No
630307,13.0,Online Travel Agent,No Deposit,Transient-Party,No
630308,6.0,Online Travel Agent,No Deposit,Group,No
630309,235.0,Online Travel Agent,No Deposit,Group,No
630310,7.0,Direct,No Deposit,Group,No
630311,76.0,Corporate,No Deposit,Transient-Party,No
630312,90.0,Online Travel Agent,No Deposit,Group,No
630313,278.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630314,11.0,Online Travel Agent,No Deposit,Transient,Yes
630315,24.0,Direct,No Deposit,Group,Yes
630316,72.0,Corporate,No Deposit,Transient,Yes
630317,214.0,Online Travel Agent,No Deposit,Group,Yes
630318,28.0,Online Travel Agent,No Deposit,Group,Yes
630319,70.0,Online Travel Agent,No Deposit,Transient,No
630320,33.0,Corporate,No Deposit,Transient-Party,No
630321,18.0,Corporate,No Deposit,Group,No
630322,8.0,Online Travel Agent,No Deposit,Group,No
630323,6.0,Corporate,No Deposit,Group,Yes
630324,101.0,Direct,No Deposit,Transient-Party,No
630325,70.0,Online Travel Agent,No Deposit,Transient,Yes
630326,141.0,Online Travel Agent,Non Refundable,Transient-Party,No
630327,17.0,Online Travel Agent,No Deposit,Group,Yes
630328,123.0,Online Travel Agent,No Deposit,Transient,No
630329,55.0,Online Travel Agent,No Deposit,Group,No
630330,41.0,Online Travel Agent,No Deposit,Group,Yes
630331,33.0,Online Travel Agent,No Deposit,Transient-Party,No
630332,93.0,Online Travel Agent,No Deposit,Transient,No
630333,19.0,Online Travel Agent,No Deposit,Transient,No
630334,39.0,Online Travel Agent,No Deposit,Group,Yes
630335,96.0,Online Travel Agent,No Deposit,Transient,No
630336,7.0,Corporate,No Deposit,Group,No
630337,3.0,Online Travel Agent,No Deposit,Transient,No
630338,40.0,Online Travel Agent,No Deposit,Group,No
630339,25.0,Direct,No Deposit,Group,No
630340,18.0,Online Travel Agent,No Deposit,Transient,Yes
630341,17.0,Direct,No Deposit,Group,Yes
630342,102.0,Online Travel Agent,No Deposit,Group,No
630343,36.0,Online Travel Agent,Non Refundable,Group,No
630344,54.0,Direct,No Deposit,Transient-Party,No
630345,15.0,Online Travel Agent,No Deposit,Group,No
630346,48.0,Online Travel Agent,No Deposit,Group,No
630347,3.0,Online Travel Agent,No Deposit,Group,No
630348,7.0,Online Travel Agent,No Deposit,Group,No
630349,117.0,Online Travel Agent,Refundable,Transient,No
630350,62.0,Online Travel Agent,No Deposit,Group,No
630351,56.0,Direct,No Deposit,Transient-Party,No
630352,57.0,Online Travel Agent,No Deposit,Transient-Party,No
630353,9.0,Online Travel Agent,No Deposit,Transient-Party,No
630354,92.0,Online Travel Agent,No Deposit,Group,No
630355,6.0,Online Travel Agent,Non Refundable,Transient,No
630356,3.0,Online Travel Agent,No Deposit,Transient,No
630357,35.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630358,63.0,Online Travel Agent,No Deposit,Group,No
630359,52.0,Online Travel Agent,No Deposit,Group,No
630360,12.0,Online Travel Agent,No Deposit,Group,No
630361,50.0,Corporate,Non Refundable,Group,No
630362,118.0,Direct,No Deposit,Transient-Party,Yes
630363,11.0,Direct,No Deposit,Group,No
630364,53.0,Direct,No Deposit,Group,No
630365,26.0,Online Travel Agent,No Deposit,Group,Yes
630366,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630367,21.0,Online Travel Agent,Refundable,Group,No
630368,95.0,Online Travel Agent,No Deposit,Group,Yes
630369,23.0,Direct,No Deposit,Transient-Party,No
630370,39.0,Online Travel Agent,No Deposit,Transient,No
630371,116.0,Online Travel Agent,No Deposit,Group,Yes
630372,129.0,Online Travel Agent,Non Refundable,Transient-Party,No
630373,26.0,Direct,No Deposit,Transient,No
630374,171.0,Online Travel Agent,No Deposit,Group,No
630375,46.0,Direct,Non Refundable,Transient-Party,No
630376,112.0,Direct,No Deposit,Group,Yes
630377,12.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630378,58.0,Online Travel Agent,No Deposit,Transient,Yes
630379,126.0,Online Travel Agent,No Deposit,Transient,No
630380,32.0,Online Travel Agent,No Deposit,Transient,No
630381,25.0,Online Travel Agent,No Deposit,Transient-Party,No
630382,49.0,Online Travel Agent,No Deposit,Transient-Party,No
630383,100.0,Online Travel Agent,No Deposit,Group,No
630384,91.0,Online Travel Agent,No Deposit,Transient,Yes
630385,102.0,Direct,No Deposit,Transient,Yes
630386,38.0,Direct,No Deposit,Group,No
630387,,Online Travel Agent,Non Refundable,Group,No
630388,45.0,Online Travel Agent,No Deposit,Transient-Party,No
630389,36.0,Online Travel Agent,No Deposit,Group,Yes
630390,257.0,Direct,No Deposit,Group,No
630391,171.0,Online Travel Agent,Non Refundable,Transient-Party,No
630392,304.0,Online Travel Agent,No Deposit,Group,Yes
630393,103.0,Direct,Non Refundable,Group,No
630394,80.0,Corporate,No Deposit,Group,Yes
630395,1.0,Online Travel Agent,No Deposit,Transient-Party,No
630396,98.0,Corporate,No Deposit,Transient-Party,Yes
630397,132.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630398,12.0,Corporate,No Deposit,Group,No
630399,43.0,Online Travel Agent,No Deposit,Transient,Yes
630400,79.0,Direct,No Deposit,Group,Yes
630401,20.0,Direct,Non Refundable,Transient,No
630402,1.0,Online Travel Agent,No Deposit,Group,No
630403,74.0,Online Travel Agent,No Deposit,Transient-Party,No
630404,5.0,Online Travel Agent,Non Refundable,Transient,No
630405,82.0,Online Travel Agent,No Deposit,Transient,No
630406,26.0,Online Travel Agent,Refundable,Transient,No
630407,56.0,Online Travel Agent,No Deposit,Group,No
630408,120.0,Online Travel Agent,No Deposit,Transient,Yes
630409,69.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630410,7.0,Online Travel Agent,No Deposit,Group,Yes
630411,68.0,Online Travel Agent,No Deposit,Transient,No
630412,47.0,Online Travel Agent,No Deposit,Group,Yes
630413,69.0,Corporate,Non Refundable,Transient-Party,No
630414,73.0,Direct,No Deposit,Transient,Yes
630415,38.0,Online Travel Agent,No Deposit,Transient,No
630416,11.0,Online Travel Agent,No Deposit,Transient-Party,No
630417,25.0,Online Travel Agent,No Deposit,Transient-Party,No
630418,76.0,Direct,No Deposit,Transient-Party,Yes
630419,18.0,Online Travel Agent,No Deposit,Transient-Party,No
630420,34.0,Online Travel Agent,No Deposit,Group,No
630421,166.0,Online Travel Agent,No Deposit,Group,No
630422,,Online Travel Agent,Non Refundable,Transient-Party,No
630423,144.0,Direct,No Deposit,Transient-Party,No
630424,51.0,Online Travel Agent,No Deposit,Group,No
630425,20.0,Corporate,Non Refundable,Transient,No
630426,128.0,Direct,Refundable,Transient,No
630427,167.0,Direct,Non Refundable,Transient,No
630428,8.0,Direct,Refundable,Transient-Party,No
630429,43.0,Online Travel Agent,No Deposit,Group,No
630430,5.0,Corporate,No Deposit,Transient,No
630431,101.0,Online Travel Agent,Non Refundable,Transient,No
630432,52.0,Online Travel Agent,Non Refundable,Transient-Party,No
630433,89.0,Online Travel Agent,No Deposit,Transient,Yes
630434,42.0,Online Travel Agent,No Deposit,Group,No
630435,4.0,Online Travel Agent,No Deposit,Transient,No
630436,77.0,Online Travel Agent,No Deposit,Transient-Party,No
630437,6.0,Direct,Non Refundable,Transient-Party,No
630438,26.0,Direct,Non Refundable,Transient,No
630439,49.0,Direct,No Deposit,Transient-Party,Yes
630440,4.0,Direct,No Deposit,Transient-Party,No
630441,,Online Travel Agent,No Deposit,Group,Yes
630442,141.0,Online Travel Agent,No Deposit,Transient,Yes
630443,240.0,Online Travel Agent,No Deposit,Transient,Yes
630444,9.0,Online Travel Agent,No Deposit,Group,No
630445,127.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630446,22.0,Online Travel Agent,No Deposit,Transient,Yes
630447,144.0,Online Travel Agent,Non Refundable,Transient-Party,No
630448,33.0,Direct,No Deposit,Transient-Party,Yes
630449,5.0,Online Travel Agent,No Deposit,Transient,No
630450,39.0,Online Travel Agent,No Deposit,Transient,No
630451,37.0,Corporate,No Deposit,Transient-Party,Yes
630452,61.0,Online Travel Agent,No Deposit,Transient,No
630453,,Corporate,No Deposit,Transient-Party,No
630454,286.0,Online Travel Agent,No Deposit,Transient,No
630455,26.0,Online Travel Agent,Refundable,Group,No
630456,5.0,Online Travel Agent,Non Refundable,Group,No
630457,57.0,Online Travel Agent,No Deposit,Transient-Party,No
630458,288.0,Corporate,Non Refundable,Transient-Party,Yes
630459,102.0,Online Travel Agent,No Deposit,Transient,Yes
630460,88.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630461,165.0,Online Travel Agent,Non Refundable,Transient,No
630462,7.0,Online Travel Agent,No Deposit,Transient-Party,No
630463,12.0,Online Travel Agent,No Deposit,Transient,No
630464,24.0,Online Travel Agent,Non Refundable,Transient,No
630465,56.0,Online Travel Agent,Non Refundable,Transient-Party,No
630466,31.0,Online Travel Agent,No Deposit,Transient,No
630467,150.0,Direct,Non Refundable,Transient,No
630468,24.0,Online Travel Agent,No Deposit,Group,No
630469,49.0,Direct,No Deposit,Transient-Party,No
630470,23.0,Corporate,No Deposit,Transient-Party,Yes
630471,23.0,Online Travel Agent,No Deposit,Group,Yes
630472,87.0,Direct,No Deposit,Transient-Party,No
630473,62.0,Online Travel Agent,No Deposit,Transient,Yes
630474,1.0,Online Travel Agent,No Deposit,Transient,Yes
630475,75.0,Direct,No Deposit,Transient-Party,No
630476,27.0,Online Travel Agent,Non Refundable,Group,No
630477,6.0,Online Travel Agent,No Deposit,Transient,No
630478,15.0,Online Travel Agent,No Deposit,Group,No
630479,127.0,Direct,Non Refundable,Group,No
630480,13.0,Online Travel Agent,Non Refundable,Group,No
630481,10.0,Online Travel Agent,No Deposit,Transient-Party,No
630482,24.0,Direct,No Deposit,Transient-Party,No
630483,8.0,Direct,No Deposit,Transient-Party,No
630484,78.0,Online Travel Agent,Non Refundable,Group,No
630485,108.0,Corporate,No Deposit,Group,No
630486,312.0,Online Travel Agent,Non Refundable,Transient,No
630487,18.0,Online Travel Agent,No Deposit,Transient,No
630488,29.0,Online Travel Agent,No Deposit,Group,Yes
630489,134.0,Online Travel Agent,No Deposit,Group,No
630490,69.0,Online Travel Agent,No Deposit,Transient,Yes
630491,33.0,Direct,No Deposit,Transient,No
630492,53.0,Online Travel Agent,Non Refundable,Group,No
630493,84.0,Online Travel Agent,No Deposit,Transient-Party,Yes
630494,2.0,Online Travel Agent,No Deposit,Group,Yes
