StudentID,ScholarshipAmount_K,PriorGPA,PostGPA,StudyHoursWeekly,GPASignificantlyImproved
1730243,78.9,125.7,60.0,33.2,1
1730244,61.9,115.4,129.1,34.3,0
1730245,88.8,127.7,84.2,27.0,1
1730246,73.0,118.4,89.2,39.4,0
1730247,70.1,114.6,86.8,27.5,0
1730248,97.2,100.8,99.7,39.0,1
1730249,76.5,104.1,119.1,9.5,0
1730250,83.7,115.8,82.3,18.9,1
1730251,74.7,117.3,49.5,31.4,1
1730252,98.2,70.3,106.1,11.3,0
1730253,48.3,78.8,99.5,43.6,1
1730254,73.3,108.2,51.3,43.0,0
1730255,95.3,64.4,107.7,36.5,1
1730256,77.7,114.2,94.7,43.2,0
1730257,93.1,65.0,120.4,7.3,1
1730258,70.9,90.0,107.5,43.5,1
1730259,105.8,107.2,70.4,38.4,1
1730260,71.2,111.6,79.5,26.6,1
1730261,96.8,120.1,48.5,38.3,1
1730262,69.9,111.5,101.6,14.6,0
1730263,75.6,90.2,82.7,23.6,1
1730264,91.8,105.9,62.2,12.8,1
1730265,93.0,154.5,109.0,5.6,0
1730266,77.3,70.0,117.7,10.4,1
1730267,53.7,110.1,67.3,41.4,1
1730268,75.6,118.6,148.7,44.9,0
1730269,83.1,100.6,110.8,20.0,0
1730270,78.6,82.6,40.7,11.4,0
1730271,93.6,82.9,76.5,21.5,1
1730272,69.2,147.0,100.0,34.3,1
1730273,85.5,118.2,90.8,42.6,0
1730274,73.3,87.9,70.3,28.0,1
1730275,56.4,51.7,130.9,28.2,1
1730276,77.9,112.4,82.6,44.8,0
1730277,95.1,112.9,112.3,16.4,1
1730278,77.4,77.3,87.8,35.3,1
1730279,78.0,102.1,77.1,42.8,1
1730280,30.1,109.6,84.0,8.8,1
1730281,73.5,106.2,106.0,40.9,0
1730282,77.2,99.7,104.1,12.1,0
1730283,67.8,112.3,75.1,13.7,1
1730284,70.3,88.0,122.4,29.4,1
1730285,81.7,106.5,103.5,37.8,1
1730286,47.0,67.7,79.4,40.1,1
1730287,73.4,122.9,75.0,13.7,1
1730288,89.1,101.7,103.7,8.8,0
1730289,98.3,104.4,104.0,12.2,1
1730290,66.4,84.0,105.5,25.3,1
1730291,64.9,95.0,110.9,36.9,0
1730292,49.3,122.7,72.8,11.3,0
1730293,107.2,100.4,92.8,22.3,1
1730294,86.8,53.1,111.2,29.1,1
1730295,54.8,122.8,113.2,5.4,0
1730296,78.7,82.5,139.0,38.0,0
1730297,93.8,105.7,93.7,30.3,0
1730298,30.6,92.0,77.2,28.6,1
1730299,104.2,140.3,70.0,13.4,1
1730300,77.6,99.5,124.0,28.2,1
1730301,31.8,81.6,102.1,28.1,1
1730302,71.2,118.1,93.0,28.6,0
1730303,63.8,106.6,84.5,14.4,0
1730304,79.1,69.3,78.2,25.8,1
1730305,109.7,111.5,107.3,40.7,1
1730306,95.9,78.3,107.8,21.7,0
1730307,66.4,119.2,118.0,7.6,0
1730308,89.5,71.1,96.8,5.7,0
1730309,66.8,88.2,106.8,7.6,1
1730310,25.5,114.4,97.6,32.3,1
1730311,80.1,113.9,121.5,18.6,0
1730312,79.0,107.5,81.0,32.6,0
1730313,55.3,82.9,97.1,40.4,1
1730314,86.3,87.1,61.4,36.0,1
1730315,83.2,102.2,69.8,29.1,0
1730316,65.3,117.3,96.5,39.5,0
1730317,92.8,51.6,99.5,13.7,1
1730318,92.5,84.0,78.5,34.6,1
1730319,44.9,130.5,110.5,30.4,0
1730320,36.3,43.1,103.3,24.0,1
1730321,85.7,81.2,86.4,13.7,1
1730322,104.9,78.9,102.2,17.3,0
1730323,70.8,80.9,54.9,9.3,1
1730324,81.4,113.7,140.4,15.5,1
1730325,109.3,82.5,129.3,9.6,0
1730326,71.8,126.0,63.6,26.3,1
1730327,62.2,73.7,59.0,37.8,0
1730328,99.1,75.5,153.8,43.8,0
1730329,106.2,72.8,97.1,11.7,1
1730330,60.2,130.4,23.2,43.1,0
1730331,60.2,73.0,80.4,8.2,1
1730332,78.1,106.0,68.9,32.0,0
1730333,64.1,98.4,128.0,39.1,0
1730334,105.0,105.2,54.4,18.4,1
1730335,91.3,111.3,116.5,6.6,0
1730336,56.0,107.7,96.3,6.1,0
1730337,98.6,79.4,87.1,17.5,1
1730338,109.5,111.0,110.4,23.1,1
1730339,54.8,69.9,126.4,22.2,1
1730340,76.7,103.8,54.4,26.6,0
1730341,95.9,106.6,93.8,5.5,1
1730342,60.3,82.9,94.7,32.7,1
1730343,54.8,96.4,87.2,15.0,1
1730344,100.2,82.7,117.1,5.1,1
1730345,74.7,67.7,115.8,23.3,1
1730346,70.5,66.3,112.6,24.6,1
1730347,99.0,76.0,88.8,43.4,0
1730348,48.4,93.3,80.0,37.8,1
1730349,40.4,142.6,101.0,29.7,0
1730350,87.6,110.9,121.8,41.8,1
1730351,80.1,110.2,95.7,30.2,0
1730352,50.6,92.9,69.5,25.9,1
1730353,61.7,158.1,51.9,23.2,0
1730354,70.5,65.7,110.4,,1
1730355,94.0,130.3,98.1,14.5,0
1730356,84.4,89.5,107.6,31.0,0
1730357,78.8,95.6,112.4,7.5,0
1730358,56.8,135.4,106.4,42.6,1
1730359,65.4,115.9,102.8,29.4,0
1730360,85.1,91.0,135.8,43.3,0
1730361,118.4,121.4,71.1,30.6,0
1730362,112.4,96.1,56.6,39.0,1
1730363,110.7,143.1,108.2,15.2,0
1730364,61.9,98.1,72.6,39.4,1
1730365,51.5,92.3,102.3,11.7,0
1730366,104.6,76.4,31.4,28.9,1
1730367,55.7,65.6,99.4,,1
1730368,79.7,81.9,110.5,34.2,0
1730369,83.5,115.7,114.5,23.8,0
1730370,91.3,60.7,71.5,,1
1730371,45.1,140.7,140.6,37.6,0
1730372,61.7,128.8,62.0,44.2,0
1730373,74.5,85.2,104.2,14.8,1
1730374,72.7,93.0,127.1,26.4,1
1730375,58.4,93.8,87.7,42.1,1
1730376,92.6,109.4,130.7,15.3,0
1730377,57.7,112.7,91.3,24.6,0
1730378,75.2,115.8,81.1,32.5,1
1730379,86.4,86.4,68.2,39.5,1
1730380,102.9,75.1,65.1,24.7,1
1730381,69.0,148.1,99.4,32.2,0
1730382,63.7,111.5,91.9,18.9,0
1730383,85.6,103.3,113.3,17.4,1
1730384,64.1,99.9,83.8,19.2,0
1730385,81.5,90.3,125.4,14.7,0
1730386,78.7,91.2,109.1,13.0,1
1730387,66.4,144.4,105.0,27.3,1
1730388,87.0,102.2,109.0,12.1,1
1730389,90.8,125.3,126.4,11.6,0
1730390,65.3,123.2,80.5,9.0,0
1730391,60.7,108.1,142.7,30.7,0
1730392,91.6,123.3,77.9,5.6,0
1730393,90.0,86.1,80.2,13.2,1
1730394,76.1,101.3,105.9,43.3,0
1730395,60.3,45.3,122.7,21.0,0
1730396,77.7,69.4,50.1,41.6,0
1730397,61.1,105.3,115.6,22.3,0
1730398,76.6,154.6,98.1,12.4,0
1730399,74.9,121.3,123.0,16.1,0
1730400,42.6,89.3,96.3,10.9,0
1730401,90.1,88.9,128.8,20.3,1
1730402,70.4,116.4,98.5,40.1,0
1730403,107.5,82.3,91.9,31.9,1
1730404,59.0,89.6,92.5,30.6,1
1730405,68.6,102.0,86.2,24.3,0
1730406,51.6,101.9,90.7,28.5,1
1730407,110.1,120.5,95.6,9.1,0
1730408,86.1,71.3,120.8,33.4,0
1730409,83.5,88.5,88.0,33.7,0
1730410,83.2,132.1,103.0,20.4,0
1730411,63.4,89.0,101.3,16.3,1
1730412,51.5,70.6,83.7,28.9,1
1730413,38.0,67.9,137.2,25.6,0
1730414,87.7,100.0,82.2,9.2,1
1730415,39.4,58.4,78.7,28.2,1
1730416,92.4,102.0,71.0,20.3,1
1730417,111.9,100.8,143.8,32.1,0
1730418,42.2,146.3,173.9,27.0,1
1730419,51.4,135.7,98.4,33.7,0
1730420,68.3,123.3,104.2,22.2,0
1730421,93.3,123.6,117.2,7.8,0
1730422,80.3,151.9,97.8,36.0,0
1730423,55.2,78.4,124.5,31.4,1
1730424,76.7,131.6,84.9,29.5,0
1730425,95.9,122.0,86.4,20.0,0
1730426,81.3,51.9,64.3,15.5,1
1730427,96.7,140.5,124.8,,0
1730428,69.7,109.9,110.0,15.8,0
1730429,82.1,69.9,137.6,31.9,0
1730430,35.7,142.4,89.1,7.2,0
1730431,53.2,133.2,83.3,19.5,0
1730432,80.8,103.4,99.5,33.0,1
1730433,68.9,107.1,80.7,42.6,1
1730434,66.7,80.8,92.6,19.3,1
1730435,78.7,128.5,77.6,,1
1730436,34.5,97.4,140.7,21.5,0
1730437,80.0,110.4,164.6,18.5,0
1730438,55.2,118.2,126.9,24.5,0
1730439,49.0,107.1,74.9,44.7,1
1730440,77.9,112.0,63.0,31.3,1
1730441,78.3,105.3,102.8,11.9,0
1730442,42.2,102.7,167.0,38.4,0
1730443,109.8,69.1,128.2,11.8,0
1730444,107.3,61.4,81.4,21.3,1
1730445,79.0,116.6,95.0,33.4,0
1730446,69.2,96.4,122.0,26.3,0
1730447,81.1,74.3,123.5,25.5,1
1730448,81.9,104.1,111.4,7.6,1
1730449,65.5,97.6,93.4,17.5,0
1730450,38.1,107.6,66.1,13.8,1
1730451,75.0,142.4,110.0,28.6,0
1730452,57.3,100.6,93.5,41.2,0
1730453,63.6,131.6,57.6,35.7,1
1730454,68.2,107.8,100.0,34.7,1
1730455,83.5,77.7,125.6,6.1,0
1730456,23.7,151.3,138.1,27.1,0
1730457,70.6,62.5,37.1,33.1,0
1730458,91.1,113.6,104.6,17.3,0
1730459,64.8,111.3,69.6,41.9,1
1730460,82.1,101.1,38.1,20.8,0
1730461,77.0,116.1,83.5,18.0,1
1730462,74.1,128.0,89.2,41.9,0
1730463,69.3,66.9,77.8,31.4,1
1730464,108.3,126.0,93.9,27.6,0
1730465,67.3,47.7,142.5,42.3,1
1730466,60.7,99.0,88.3,27.0,1
1730467,71.5,114.9,137.2,42.4,0
1730468,53.5,103.4,109.8,21.9,0
1730469,84.9,89.9,71.9,27.7,1
1730470,89.3,126.0,69.7,17.8,1
1730471,106.5,104.2,94.9,19.2,1
1730472,100.3,109.7,159.2,10.8,0
1730473,88.6,151.7,109.2,28.5,0
1730474,101.7,82.7,79.1,27.8,1
1730475,95.4,101.4,72.1,15.2,1
1730476,57.7,89.1,117.5,43.0,1
1730477,61.2,102.7,112.4,33.9,1
1730478,65.8,115.7,108.0,37.7,0
1730479,86.0,113.3,116.7,6.8,0
1730480,82.6,121.1,122.2,12.5,0
1730481,90.6,133.7,76.7,36.6,0
1730482,75.6,66.0,132.8,28.7,1
1730483,64.0,113.6,133.9,32.5,0
1730484,89.8,71.2,120.0,14.6,0
1730485,69.7,110.2,117.8,26.8,0
1730486,87.6,120.4,80.0,26.1,0
1730487,83.8,80.3,116.5,40.8,1
1730488,44.1,92.5,135.8,42.9,0
1730489,55.6,107.6,122.0,31.8,0
1730490,61.2,126.9,57.1,15.3,1
1730491,124.0,117.3,84.2,29.5,0
1730492,97.2,100.9,107.3,10.9,0
1730493,42.8,91.3,97.6,5.5,1
1730494,83.5,65.3,102.2,43.7,1
1730495,96.1,48.4,90.7,14.1,1
1730496,76.9,101.4,123.9,8.7,0
1730497,61.4,96.0,99.9,21.5,1
1730498,48.1,139.3,56.0,20.7,0
1730499,98.3,59.1,80.6,6.7,1
1730500,71.4,100.0,115.8,26.8,1
1730501,98.1,110.5,99.1,33.5,0
1730502,83.3,104.6,104.2,41.5,1
1730503,94.4,112.9,102.0,40.0,1
1730504,102.8,108.9,93.9,37.7,1
1730505,35.4,125.4,92.3,10.4,0
1730506,72.4,144.9,101.3,42.6,0
1730507,86.9,68.5,115.2,36.3,0
1730508,53.3,126.8,122.3,23.5,1
1730509,74.7,108.6,112.0,19.0,0
1730510,81.4,113.0,127.3,39.1,0
1730511,86.4,62.1,104.4,14.0,0
1730512,100.8,109.2,97.1,12.1,1
1730513,138.4,94.9,88.1,44.8,0
1730514,71.2,118.0,84.7,12.0,1
1730515,83.3,101.3,105.4,10.1,1
1730516,76.9,127.7,96.2,37.5,0
1730517,90.4,54.6,30.1,29.9,1
1730518,89.1,118.9,99.2,17.5,0
1730519,86.4,84.0,96.1,16.5,1
1730520,92.9,50.9,90.9,23.7,1
1730521,65.6,108.1,71.5,8.8,1
1730522,91.5,87.5,109.3,28.4,1
1730523,86.3,66.9,100.4,9.7,1
1730524,90.0,112.4,109.6,14.0,0
1730525,47.0,132.1,140.6,25.3,1
1730526,66.9,73.7,77.2,12.2,1
1730527,76.6,99.0,101.2,40.5,1
1730528,87.8,123.4,60.1,25.1,1
1730529,90.7,140.1,147.5,19.6,0
1730530,44.1,119.6,68.3,12.7,0
1730531,68.1,100.2,130.3,34.3,1
1730532,66.1,95.2,100.9,44.7,1
1730533,74.3,58.9,92.1,19.0,1
1730534,79.6,104.3,88.7,27.7,0
1730535,82.2,116.6,116.1,33.6,0
1730536,69.5,75.3,96.0,10.8,1
1730537,65.2,86.8,71.4,21.4,1
1730538,92.2,95.1,80.4,5.2,1
1730539,62.1,106.3,125.6,41.0,1
1730540,89.9,109.6,108.7,32.8,0
1730541,40.2,94.4,56.4,30.6,1
1730542,54.7,65.5,86.7,16.0,1
1730543,78.2,105.1,86.2,7.4,1
1730544,80.8,139.4,105.6,8.7,0
1730545,83.1,107.0,57.2,40.3,1
1730546,105.9,92.6,117.6,21.6,1
1730547,117.3,80.3,122.3,24.0,1
1730548,71.0,115.5,109.7,35.1,0
1730549,72.8,69.9,115.5,14.8,1
1730550,58.1,74.6,66.5,40.0,1
1730551,95.2,87.1,97.5,29.7,1
1730552,55.9,122.0,96.0,19.4,0
1730553,103.0,115.3,97.0,43.7,0
1730554,92.1,121.9,114.4,12.5,0
1730555,84.6,86.0,40.8,24.4,1
1730556,63.5,93.3,66.1,17.1,1
1730557,53.3,125.6,94.0,8.1,0
1730558,63.8,105.0,47.1,43.5,1
1730559,83.5,117.6,83.1,17.9,1
1730560,65.3,116.1,93.7,37.5,0
1730561,77.0,79.1,89.8,30.7,1
1730562,71.5,77.2,105.9,38.2,0
1730563,70.1,127.3,87.7,15.4,0
1730564,20.0,136.7,58.0,30.3,1
1730565,64.9,68.6,128.3,28.4,0
1730566,59.8,129.5,116.6,27.9,0
1730567,64.9,117.7,99.5,34.2,0
1730568,65.7,113.4,90.8,22.8,0
1730569,68.8,110.1,112.5,14.6,1
1730570,107.0,111.1,84.1,24.2,1
1730571,75.8,54.5,90.0,20.2,1
1730572,64.5,85.6,112.0,44.6,0
1730573,81.6,92.5,110.2,23.9,0
1730574,75.1,74.4,71.1,44.9,1
1730575,118.7,55.9,105.7,10.3,1
1730576,48.1,75.8,82.3,28.1,1
1730577,82.6,97.3,66.3,40.5,1
1730578,55.9,150.1,107.2,21.4,0
1730579,69.2,86.4,116.4,24.7,0
1730580,72.2,91.9,104.1,43.6,1
1730581,102.2,154.4,98.7,23.6,0
1730582,89.3,62.0,32.2,19.6,1
1730583,43.0,95.1,51.6,21.0,1
1730584,81.8,136.8,122.1,9.4,0
1730585,48.7,106.4,63.8,43.8,1
1730586,91.0,102.8,96.1,20.3,0
1730587,50.3,123.7,141.8,11.1,0
1730588,88.5,94.4,99.8,22.3,0
1730589,47.8,102.1,144.7,16.6,0
1730590,57.0,68.5,123.3,30.2,1
1730591,38.1,85.5,96.9,44.9,1
1730592,65.1,82.0,107.1,34.0,1
1730593,68.5,121.5,134.0,44.5,0
1730594,117.0,154.3,83.8,9.6,0
1730595,77.5,110.5,124.2,40.6,0
1730596,61.0,106.1,54.1,30.9,1
1730597,33.2,132.3,61.2,20.8,1
1730598,65.0,99.9,73.8,12.6,1
1730599,75.8,114.1,23.5,23.4,1
1730600,50.4,50.1,92.0,14.6,0
1730601,94.7,116.8,117.4,43.3,0
1730602,77.8,91.5,71.0,5.4,0
1730603,100.1,107.2,113.7,8.8,0
1730604,26.0,53.8,96.5,37.6,1
1730605,57.1,140.0,112.4,11.4,0
1730606,61.4,108.1,50.9,30.2,1
1730607,64.7,125.1,83.0,28.8,0
1730608,56.2,124.6,80.9,25.4,0
1730609,91.3,127.3,101.1,22.8,0
1730610,85.5,116.8,115.7,7.5,0
1730611,92.4,110.1,127.6,23.3,1
1730612,60.1,82.1,142.2,28.8,0
1730613,90.9,38.1,97.9,30.4,1
1730614,63.0,113.0,94.7,41.2,0
1730615,60.1,61.3,105.9,21.0,1
1730616,63.5,115.6,67.9,35.3,1
1730617,81.6,134.3,71.9,30.1,0
1730618,59.3,72.0,95.4,7.4,1
1730619,69.2,89.7,147.6,40.9,0
1730620,81.3,116.7,115.1,11.1,0
1730621,101.8,142.7,108.4,41.1,0
1730622,96.1,122.2,79.5,38.3,1
1730623,59.4,114.5,115.0,42.1,0
1730624,61.8,120.2,153.6,28.6,1
1730625,71.5,122.8,104.0,35.1,0
1730626,88.9,120.6,97.8,27.4,0
1730627,73.7,60.6,81.9,28.9,1
1730628,67.6,105.7,98.1,39.2,0
1730629,67.8,87.7,79.5,10.0,1
1730630,79.5,108.7,96.8,33.4,1
1730631,64.7,80.1,81.4,25.5,1
1730632,61.7,40.6,146.4,15.1,0
