TableID,MenuPrice,MeatItemsRatio_Percent,TotalCustomerCount,FoodWasteWeight_g,WasteLevel
1970124,54495.0,36.8,103.1,90.0,Type_A
1970125,54747.0,49.2,51.7,98.5,Type_A
1970126,80627.0,39.8,117.6,60.1,Type_C
1970127,37756.0,52.9,78.8,101.2,Type_A
1970128,42455.0,80.4,122.8,136.1,Type_C
1970129,51607.0,61.0,89.4,111.5,Type_B
1970130,44513.0,32.3,88.6,34.3,Type_B
1970131,50984.0,51.2,132.0,96.7,Type_B
1970132,46865.0,69.1,130.4,56.9,Type_C
1970133,81803.0,49.5,76.8,85.8,Type_A
1970134,68080.0,34.3,96.4,69.3,Type_C
1970135,75260.0,90.3,135.6,65.3,Type_B
1970136,73022.0,50.2,72.5,103.9,Type_A
1970137,59726.0,41.6,86.7,92.0,Type_C
1970138,85999.0,48.2,124.8,118.8,Type_B
1970139,52126.0,40.3,114.0,110.2,Type_B
1970140,69686.0,59.0,105.2,137.6,Type_A
1970141,68182.0,46.8,74.7,65.6,Type_C
1970142,98393.0,54.6,131.3,85.7,Type_B
1970143,86084.0,33.4,96.9,95.9,Type_A
1970144,78821.0,20.2,100.4,126.6,Type_B
1970145,73629.0,72.4,65.1,110.1,Type_B
1970146,95005.0,37.3,118.7,106.5,Type_B
1970147,71508.0,48.4,144.2,129.0,Type_A
1970148,58703.0,63.8,106.9,101.2,Type_B
1970149,59882.0,50.5,99.3,152.6,Type_B
1970150,59122.0,52.0,105.8,134.1,Type_B
1970151,38665.0,53.8,73.1,139.1,Type_C
1970152,51766.0,21.7,95.2,121.1,Type_C
1970153,53403.0,65.9,91.8,128.0,Type_C
1970154,55827.0,63.8,82.9,117.2,Type_B
1970155,73410.0,50.4,113.9,139.0,Type_C
1970156,64054.0,48.4,80.0,110.0,Type_B
1970157,54638.0,71.9,118.5,96.6,Type_A
1970158,57993.0,45.4,85.6,144.5,Type_A
1970159,66245.0,62.8,111.3,128.8,Type_C
1970160,51770.0,23.0,123.9,90.8,Type_C
1970161,61642.0,24.9,69.7,87.7,Type_C
1970162,104157.0,42.4,92.9,115.4,Type_A
1970163,45249.0,37.5,88.0,87.1,Type_B
1970164,56571.0,33.9,127.3,89.7,Type_C
1970165,84620.0,43.4,66.2,136.3,Type_C
1970166,53606.0,54.3,75.6,74.7,Type_A
1970167,66641.0,82.5,83.9,137.2,Type_C
1970168,39908.0,43.4,143.2,111.6,Type_A
1970169,72742.0,39.5,138.4,142.0,Type_C
1970170,75951.0,46.9,66.8,101.0,Type_B
1970171,47102.0,61.6,100.9,113.7,Type_C
1970172,69031.0,50.9,100.4,91.7,Type_C
1970173,62576.0,55.6,61.1,124.4,Type_B
1970174,51982.0,43.6,94.8,166.8,Type_C
1970175,63700.0,34.8,68.5,122.2,Type_B
1970176,91507.0,54.8,93.5,87.0,Type_C
1970177,49172.0,36.2,111.7,87.2,Type_A
1970178,57519.0,60.3,98.7,97.7,Type_C
1970179,95881.0,48.3,98.6,65.2,Type_C
1970180,43435.0,37.2,108.5,106.0,Type_C
1970181,56825.0,65.7,71.7,26.0,Type_B
1970182,31703.0,33.3,92.3,114.3,Type_C
1970183,44355.0,12.4,109.6,101.3,Type_A
1970184,94037.0,31.1,73.9,98.3,Type_B
1970185,72444.0,36.6,104.0,89.9,Type_B
1970186,56835.0,34.7,127.7,85.6,Type_B
1970187,36188.0,60.5,112.2,108.5,Type_C
1970188,64160.0,71.5,92.6,87.1,Type_C
1970189,92951.0,40.4,100.6,106.3,Type_C
1970190,63061.0,74.1,79.8,82.5,Type_B
1970191,62490.0,27.0,116.7,75.0,Type_A
1970192,46627.0,21.0,103.3,105.5,Type_B
1970193,74314.0,31.1,113.1,92.1,Type_B
1970194,58189.0,18.3,125.9,125.5,Type_B
1970195,63975.0,38.4,106.3,72.9,Type_C
1970196,83162.0,32.3,80.3,147.0,Type_A
1970197,68251.0,60.3,56.0,97.9,Type_B
1970198,78780.0,51.7,143.8,123.2,Type_C
1970199,107175.0,36.8,89.6,108.8,Type_B
1970200,112825.0,37.7,92.4,134.9,Type_A
1970201,64814.0,60.2,103.5,124.0,Type_B
1970202,69231.0,50.4,99.8,66.8,Type_B
1970203,76571.0,37.7,146.2,99.6,Type_B
1970204,47318.0,41.7,136.8,115.1,Type_B
1970205,68469.0,29.3,114.9,96.2,Type_B
1970206,49405.0,49.2,97.0,77.4,Type_A
1970207,82019.0,53.5,95.9,69.6,Type_A
1970208,92271.0,64.0,126.2,45.1,Type_B
1970209,85567.0,52.4,80.9,118.0,Type_A
1970210,46298.0,55.0,67.9,83.5,Type_B
1970211,62207.0,38.7,141.7,62.3,Type_A
1970212,74368.0,25.1,73.8,89.7,Type_B
1970213,66415.0,34.0,140.4,168.8,Type_C
1970214,64674.0,33.5,116.8,106.5,Type_C
1970215,57299.0,45.5,96.2,84.1,Type_A
1970216,62018.0,22.3,86.2,97.1,Type_A
1970217,70694.0,34.5,95.5,104.8,Type_A
1970218,58785.0,50.7,110.1,126.1,Type_C
1970219,90780.0,68.5,159.5,53.5,Type_A
1970220,48149.0,40.8,87.1,127.6,Type_B
1970221,49880.0,33.9,83.0,131.8,Type_C
1970222,65263.0,36.4,87.0,140.5,Type_C
1970223,59967.0,33.9,121.4,82.7,Type_A
1970224,85016.0,45.5,134.8,118.2,Type_B
1970225,80958.0,46.6,96.7,86.1,Type_C
1970226,89787.0,36.0,94.6,91.3,Type_B
1970227,67731.0,57.4,72.9,83.6,Type_C
1970228,44793.0,34.5,119.8,93.0,Type_C
1970229,54250.0,50.1,101.6,143.4,Type_B
1970230,76358.0,46.9,74.2,136.3,Type_C
1970231,66272.0,33.3,121.5,73.2,Type_A
1970232,36384.0,25.9,89.9,81.2,Type_B
1970233,92526.0,48.9,102.3,100.6,Type_C
1970234,49728.0,64.8,127.6,147.5,Type_B
1970235,43373.0,31.9,136.1,81.3,Type_B
1970236,73506.0,30.6,75.2,,Type_C
1970237,70040.0,66.2,77.0,79.4,Type_B
1970238,56646.0,61.3,89.0,61.6,Type_B
1970239,35409.0,24.2,83.3,79.4,Type_C
1970240,57004.0,81.8,92.4,79.7,Type_B
1970241,98473.0,53.7,106.0,110.4,Type_A
1970242,61622.0,32.5,91.1,135.8,Type_A
1970243,64657.0,79.9,102.6,59.0,Type_B
1970244,36571.0,41.4,87.4,117.2,Type_B
1970245,61593.0,49.2,52.0,80.5,Type_A
1970246,53940.0,55.7,50.8,125.3,Type_C
1970247,79827.0,37.2,106.6,73.3,Type_C
1970248,40515.0,36.4,110.1,118.5,Type_C
1970249,46676.0,32.3,101.4,142.7,Type_A
1970250,76408.0,53.6,123.1,121.8,Type_C
1970251,61524.0,47.7,108.7,105.7,Type_B
1970252,55615.0,12.0,99.6,115.5,Type_C
1970253,37697.0,53.9,92.6,90.2,Type_A
1970254,58825.0,53.9,55.6,78.2,Type_A
1970255,35456.0,48.8,95.2,88.3,Type_B
1970256,72043.0,50.0,105.7,140.0,Type_A
1970257,39350.0,55.5,120.5,92.5,Type_A
1970258,57830.0,30.0,57.3,128.4,Type_A
1970259,42309.0,49.1,134.0,121.3,Type_B
1970260,97988.0,47.7,129.0,45.7,Type_A
1970261,88694.0,46.9,87.0,121.4,Type_A
1970262,56657.0,46.5,103.4,98.6,Type_B
1970263,29257.0,54.4,101.2,69.2,Type_B
1970264,78108.0,57.5,78.6,83.7,Type_B
1970265,89456.0,63.1,65.0,145.9,Type_B
1970266,73760.0,24.3,81.5,71.7,Type_B
1970267,77335.0,22.7,118.8,143.6,Type_A
1970268,87377.0,54.6,96.4,142.6,Type_A
1970269,73476.0,54.3,108.3,102.9,Type_A
1970270,65795.0,45.1,120.4,107.7,Type_B
1970271,85418.0,57.7,116.5,80.0,Type_B
1970272,50556.0,50.4,99.4,69.3,Type_C
1970273,39186.0,31.9,80.3,119.1,Type_C
1970274,27947.0,11.8,93.1,127.4,Type_C
1970275,63936.0,30.9,93.2,103.8,Type_C
1970276,60240.0,55.4,97.5,81.0,Type_B
1970277,55616.0,53.5,101.1,74.8,Type_B
1970278,79325.0,38.6,110.1,97.7,Type_A
1970279,48027.0,45.1,118.9,81.3,Type_A
1970280,54889.0,43.6,137.3,121.7,Type_B
1970281,57729.0,63.8,81.5,102.4,Type_B
1970282,20796.0,63.5,99.7,122.8,Type_C
1970283,37496.0,50.2,119.0,91.0,Type_B
1970284,48639.0,51.6,66.2,113.6,Type_B
1970285,90318.0,57.7,80.6,67.7,Type_B
1970286,34953.0,34.5,71.2,61.8,Type_A
1970287,106849.0,43.3,69.4,95.7,Type_A
1970288,65624.0,16.2,121.3,94.3,Type_A
1970289,82641.0,29.4,128.4,147.3,Type_C
1970290,90668.0,32.4,84.8,65.7,Type_B
1970291,65299.0,37.3,93.5,81.5,Type_C
1970292,41289.0,46.1,105.0,136.2,Type_B
1970293,68986.0,68.4,101.5,88.5,Type_A
1970294,49193.0,47.5,93.5,109.6,Type_C
1970295,34461.0,38.1,93.2,149.0,Type_B
1970296,53875.0,55.6,126.0,83.8,Type_B
1970297,50814.0,70.0,122.4,114.0,Type_A
1970298,91487.0,49.3,94.6,125.7,Type_C
1970299,22753.0,50.5,43.7,112.8,Type_B
1970300,73988.0,28.5,94.5,62.2,Type_B
1970301,65032.0,65.5,109.6,83.3,Type_C
1970302,64206.0,32.0,55.4,66.3,Type_A
1970303,57187.0,68.5,121.7,112.6,Type_C
1970304,82103.0,47.8,66.6,110.9,Type_A
1970305,59037.0,34.7,119.8,88.2,Type_B
1970306,80971.0,56.3,139.1,92.0,Type_C
1970307,74235.0,47.0,114.4,91.5,Type_A
1970308,59671.0,66.0,97.3,119.3,Type_C
1970309,80552.0,53.4,115.7,87.9,Type_B
1970310,75126.0,10.5,139.1,94.1,Type_B
1970311,72142.0,62.6,103.7,71.6,Type_A
1970312,66521.0,40.3,67.1,142.9,Type_C
1970313,91511.0,52.2,116.1,144.5,Type_C
1970314,46401.0,65.0,76.3,81.9,Type_B
1970315,76248.0,76.4,97.8,95.9,Type_B
1970316,102844.0,37.8,108.8,88.8,Type_A
1970317,112584.0,50.1,77.4,103.7,Type_C
1970318,27850.0,16.8,125.4,130.0,Type_C
1970319,63003.0,31.0,106.4,118.1,Type_C
1970320,73546.0,37.9,97.8,46.8,Type_B
1970321,42599.0,47.9,98.7,77.0,Type_B
1970322,29411.0,30.3,126.1,63.1,Type_B
1970323,44157.0,30.0,88.8,109.5,Type_B
1970324,102365.0,50.1,120.6,104.2,Type_A
1970325,67075.0,39.5,131.8,116.2,Type_C
1970326,78319.0,46.2,112.5,93.5,Type_B
1970327,90082.0,25.5,105.2,65.3,Type_B
1970328,88870.0,50.1,83.4,144.9,Type_A
1970329,66297.0,40.7,123.1,141.1,Type_C
1970330,59359.0,58.2,114.8,96.1,Type_B
1970331,54126.0,52.0,104.7,58.6,Type_B
1970332,51368.0,20.4,103.9,127.7,Type_B
1970333,83974.0,50.8,67.2,93.5,Type_C
1970334,48988.0,61.6,94.0,120.1,Type_B
1970335,51108.0,47.9,112.4,123.3,Type_B
1970336,95669.0,39.9,134.6,98.6,Type_B
1970337,40795.0,48.6,105.4,126.5,Type_C
1970338,58980.0,48.1,77.3,71.3,Type_A
1970339,84765.0,45.4,107.2,68.5,Type_A
1970340,63704.0,48.9,78.4,64.6,Type_C
1970341,81840.0,63.3,102.6,127.4,Type_A
1970342,77168.0,33.6,97.8,104.0,Type_C
1970343,83980.0,51.2,122.6,113.7,Type_C
1970344,25028.0,69.6,71.6,104.9,Type_C
1970345,81235.0,43.6,102.7,76.9,Type_C
1970346,58549.0,25.3,72.1,82.4,Type_B
1970347,85583.0,56.6,109.1,94.8,Type_B
1970348,70294.0,24.3,129.2,89.0,Type_A
1970349,108542.0,50.5,65.3,88.2,Type_A
1970350,62112.0,46.7,108.7,129.3,Type_A
1970351,51104.0,30.2,55.3,80.9,Type_C
1970352,86521.0,40.6,60.9,99.2,Type_B
1970353,36715.0,53.5,80.0,126.5,Type_B
1970354,67853.0,33.1,107.1,83.8,Type_B
1970355,70711.0,31.0,162.9,119.5,Type_B
1970356,78036.0,45.4,137.5,118.5,Type_B
1970357,36577.0,46.2,98.4,98.5,Type_A
1970358,70542.0,67.7,93.5,93.0,Type_A
1970359,75148.0,20.8,103.6,23.2,Type_B
1970360,48556.0,39.2,122.0,99.2,Type_C
1970361,56270.0,41.7,93.8,108.7,Type_C
1970362,73085.0,78.5,128.7,75.8,Type_C
1970363,59838.0,36.6,98.6,,Type_A
1970364,65891.0,79.5,122.3,92.7,Type_B
1970365,87507.0,41.9,113.8,128.2,Type_B
1970366,64523.0,73.1,117.6,96.0,Type_A
1970367,70979.0,47.0,63.0,92.6,Type_A
1970368,44027.0,39.2,109.6,87.5,Type_B
1970369,74213.0,45.6,109.1,70.3,Type_C
1970370,35815.0,23.0,102.3,107.0,Type_C
1970371,103380.0,58.2,132.0,119.8,Type_C
1970372,85893.0,45.1,130.5,118.4,Type_C
1970373,61015.0,38.9,64.0,67.6,Type_B
1970374,83371.0,54.4,80.4,103.1,Type_B
1970375,70551.0,69.0,104.0,54.9,Type_C
1970376,51441.0,53.0,81.1,110.3,Type_A
1970377,69188.0,41.8,53.5,71.4,Type_C
1970378,53297.0,29.0,59.2,152.9,Type_C
1970379,39829.0,26.8,141.4,112.5,Type_C
1970380,70276.0,51.6,80.9,107.4,Type_A
1970381,80952.0,58.0,113.9,103.6,Type_C
1970382,42457.0,53.8,95.5,93.8,Type_B
1970383,55120.0,38.4,119.8,94.4,Type_B
1970384,61207.0,13.0,64.8,131.2,Type_C
1970385,71231.0,33.0,71.5,62.7,Type_A
1970386,56717.0,22.2,80.4,131.9,Type_C
1970387,75164.0,50.5,66.9,173.3,Type_C
1970388,92769.0,31.7,68.5,89.7,Type_A
1970389,66112.0,62.3,69.7,104.3,Type_B
1970390,83032.0,66.3,82.2,72.1,Type_A
1970391,82750.0,65.2,76.5,108.9,Type_A
1970392,62966.0,27.0,96.2,72.5,Type_A
1970393,83925.0,58.8,61.9,107.2,Type_A
1970394,54700.0,36.5,123.5,111.8,Type_A
1970395,59163.0,65.4,115.9,83.4,Type_B
1970396,79918.0,39.9,134.5,121.5,Type_A
1970397,57571.0,32.5,98.6,89.8,Type_B
1970398,72915.0,48.1,135.2,109.6,Type_A
1970399,78390.0,34.7,77.5,71.0,Type_A
1970400,57576.0,40.6,90.8,118.0,Type_A
1970401,57420.0,50.6,136.5,156.8,Type_A
1970402,77442.0,68.1,93.3,77.0,Type_A
1970403,108255.0,55.8,45.5,121.4,Type_A
1970404,79974.0,47.7,112.3,86.8,Type_C
1970405,53872.0,67.0,116.1,93.0,Type_C
1970406,65626.0,47.1,113.9,100.6,Type_C
1970407,51911.0,12.8,139.4,124.0,Type_C
1970408,58395.0,45.3,87.8,125.4,Type_B
1970409,64096.0,24.7,79.8,165.3,Type_B
1970410,52139.0,53.3,116.7,121.0,Type_C
1970411,74224.0,33.5,120.7,79.2,Type_B
1970412,66995.0,68.1,118.8,121.4,Type_A
1970413,88783.0,97.8,59.1,140.8,Type_C
1970414,95384.0,0.3,79.3,73.6,Type_A
1970415,50370.0,35.2,74.3,67.2,Type_B
1970416,50995.0,22.4,66.8,81.9,Type_B
1970417,42113.0,51.1,81.4,136.0,Type_B
1970418,63271.0,36.1,117.3,82.8,Type_C
1970419,56992.0,56.7,89.7,82.0,Type_C
1970420,80032.0,41.3,95.3,86.2,Type_A
1970421,60517.0,89.1,86.2,90.6,Type_A
1970422,70990.0,35.6,132.8,83.3,Type_C
1970423,52966.0,53.6,135.2,51.8,Type_C
1970424,49024.0,60.5,134.0,99.1,Type_C
1970425,82254.0,52.5,90.0,163.6,Type_B
1970426,55363.0,61.5,108.1,111.5,Type_B
1970427,91583.0,48.3,91.5,94.5,Type_C
1970428,32427.0,38.0,91.8,143.3,Type_C
1970429,50553.0,54.7,143.9,93.6,Type_B
1970430,52204.0,30.7,78.6,89.5,Type_B
1970431,76867.0,49.2,103.9,132.0,Type_C
1970432,78808.0,26.8,89.6,106.9,Type_A
1970433,69103.0,61.4,59.0,65.5,Type_A
1970434,97266.0,41.1,97.1,,Type_B
1970435,90294.0,27.1,136.1,76.6,Type_A
1970436,62643.0,62.3,115.7,88.2,Type_B
1970437,27858.0,32.7,90.2,101.1,Type_C
1970438,77875.0,27.9,88.5,116.2,Type_A
1970439,86298.0,47.3,94.3,68.0,Type_A
1970440,77869.0,70.4,92.2,118.3,Type_B
1970441,85422.0,36.0,57.3,103.4,Type_A
1970442,71221.0,35.2,86.3,118.1,Type_B
1970443,72818.0,42.2,67.3,79.3,Type_C
1970444,36262.0,54.3,80.3,88.2,Type_A
1970445,87044.0,42.4,113.0,109.8,Type_C
1970446,70973.0,28.7,158.9,103.2,Type_B
1970447,60345.0,24.0,89.5,118.8,Type_B
1970448,54440.0,17.4,104.4,118.4,Type_A
1970449,53507.0,27.8,84.7,80.7,Type_B
1970450,64694.0,29.1,114.2,118.6,Type_A
1970451,53130.0,0.0,133.3,127.2,Type_A
1970452,85887.0,44.1,128.5,,Type_B
1970453,67467.0,23.9,95.4,136.2,Type_C
1970454,49280.0,57.1,93.3,90.1,Type_A
1970455,71329.0,52.7,96.9,110.2,Type_B
1970456,37605.0,12.8,69.0,85.4,Type_B
1970457,59084.0,23.9,99.6,121.1,Type_B
1970458,49624.0,30.8,125.4,115.7,Type_C
1970459,40541.0,56.0,110.3,130.7,Type_C
1970460,60651.0,74.3,46.5,111.8,Type_C
1970461,73456.0,46.1,99.2,118.3,Type_B
1970462,65757.0,31.9,107.3,158.5,Type_B
1970463,38460.0,35.2,156.5,96.7,Type_C
1970464,64476.0,63.0,94.6,73.5,Type_C
1970465,79543.0,48.7,135.5,87.8,Type_C
1970466,59964.0,70.8,143.4,78.1,Type_A
1970467,106049.0,32.6,131.7,90.6,Type_A
1970468,21098.0,23.6,51.2,102.7,Type_B
1970469,68391.0,31.7,94.4,98.7,Type_B
1970470,65421.0,51.1,119.3,78.4,Type_A
1970471,65215.0,53.4,123.6,108.4,Type_C
1970472,67992.0,48.4,85.6,99.4,Type_A
1970473,61244.0,43.4,119.4,119.8,Type_C
1970474,47801.0,23.8,145.6,131.4,Type_A
1970475,94460.0,22.5,96.4,108.0,Type_A
1970476,73812.0,49.4,133.4,76.8,Type_B
1970477,88325.0,47.9,98.7,79.5,Type_C
1970478,56519.0,46.1,93.7,116.9,Type_C
1970479,72010.0,36.2,116.3,109.7,Type_C
1970480,49556.0,45.9,113.1,77.0,Type_C
1970481,61803.0,49.1,138.6,115.5,Type_C
1970482,41794.0,46.7,81.6,98.8,Type_B
1970483,53254.0,41.0,129.9,83.5,Type_B
1970484,56443.0,20.1,140.7,133.1,Type_A
1970485,82432.0,69.0,123.9,49.0,Type_C
1970486,72339.0,30.7,72.7,123.3,Type_C
1970487,53751.0,41.2,55.7,140.0,Type_A
1970488,67625.0,59.3,63.5,111.3,Type_A
1970489,75233.0,20.8,87.2,86.0,Type_B
1970490,74270.0,40.5,97.3,92.4,Type_A
1970491,28402.0,13.4,121.3,60.8,Type_B
1970492,53065.0,47.5,124.5,51.2,Type_B
1970493,72182.0,23.0,107.4,74.0,Type_B
1970494,58069.0,47.1,58.7,124.0,Type_B
1970495,70603.0,53.1,120.1,79.9,Type_A
1970496,88160.0,45.2,93.2,120.1,Type_B
1970497,72474.0,69.5,93.8,106.4,Type_C
1970498,65013.0,52.3,109.4,95.7,Type_B
1970499,59763.0,55.1,115.1,101.9,Type_B
1970500,48955.0,69.8,39.0,118.2,Type_C
1970501,92073.0,40.3,105.3,72.6,Type_C
1970502,68066.0,43.6,42.1,117.4,Type_C
1970503,58975.0,46.3,138.0,129.4,Type_B
1970504,78966.0,29.8,125.5,94.1,Type_A
1970505,60262.0,66.1,133.9,100.8,Type_A
1970506,59127.0,34.9,95.1,71.2,Type_C
1970507,48497.0,64.4,111.2,,Type_B
1970508,77077.0,41.1,115.3,114.8,Type_A
1970509,71676.0,26.1,109.5,96.6,Type_A
1970510,72091.0,23.1,73.7,64.8,Type_A
1970511,85350.0,12.6,122.9,91.3,Type_B
1970512,78303.0,18.2,97.3,101.0,Type_C
1970513,78367.0,38.6,105.0,73.1,Type_B
1970514,62007.0,69.9,88.9,,Type_B
1970515,36879.0,32.4,137.6,114.2,Type_B
1970516,79667.0,62.5,123.8,109.9,Type_A
1970517,39115.0,53.6,62.8,95.1,Type_A
1970518,78305.0,19.9,130.0,94.1,Type_C
1970519,77705.0,29.0,131.4,80.0,Type_B
1970520,92465.0,28.4,132.9,126.1,Type_C
1970521,62045.0,49.2,61.1,107.6,Type_B
1970522,52080.0,46.2,75.9,72.5,Type_C
1970523,79731.0,22.2,53.4,79.7,Type_C
1970524,80544.0,31.1,96.8,112.7,Type_A
1970525,64907.0,50.3,84.4,123.8,Type_B
1970526,47199.0,50.2,91.1,94.3,Type_C
1970527,59600.0,20.4,119.8,92.9,Type_A
1970528,56354.0,26.4,109.9,76.7,Type_C
1970529,105242.0,64.7,85.6,100.3,Type_A
1970530,40716.0,59.4,122.8,96.4,Type_B
1970531,67278.0,46.2,85.1,102.3,Type_C
1970532,75026.0,50.9,98.6,137.2,Type_B
1970533,85409.0,73.2,83.6,91.9,Type_B
1970534,84875.0,33.1,73.8,159.2,Type_C
1970535,66973.0,0.0,115.9,119.5,Type_C
