RegionID,SoilMoisture_Percent,DryDaysCount,WindSpeedKmh,FMC_Percent,WildfireOccurred
1550085,64.9,121.6,17.8,22.5,0
1550086,60.7,100.0,10.7,71.5,1
1550087,31.7,96.0,15.1,36.4,0
1550088,64.0,96.7,24.5,72.0,1
1550089,16.0,73.1,11.7,36.2,0
1550090,53.2,72.0,15.7,32.8,1
1550091,37.4,116.2,16.9,18.7,1
1550092,3.0,89.3,7.9,52.8,0
1550093,38.0,125.9,5.0,61.4,0
1550094,18.1,106.0,12.0,29.3,0
1550095,63.1,67.9,11.8,7.4,0
1550096,53.4,119.0,15.9,50.7,1
1550097,50.5,116.9,6.3,47.8,1
1550098,39.3,115.5,6.0,52.6,0
1550099,53.2,43.4,17.0,42.9,0
1550100,35.7,44.4,8.5,28.0,1
1550101,8.5,161.3,14.1,45.6,1
1550102,61.5,98.3,12.8,21.8,0
1550103,33.4,95.6,17.2,36.6,0
1550104,57.2,29.4,13.6,45.9,0
1550105,41.0,86.4,14.4,31.0,1
1550106,40.1,113.4,5.3,65.2,0
1550107,60.3,96.4,2.3,34.2,1
1550108,39.0,63.5,8.9,34.5,1
1550109,20.7,115.9,13.8,48.3,0
1550110,32.3,74.0,16.1,50.8,0
1550111,37.7,98.7,12.4,34.6,1
1550112,59.2,92.7,9.9,56.6,0
1550113,51.8,109.4,7.2,57.1,1
1550114,46.5,71.6,11.0,23.4,0
1550115,57.4,80.7,4.9,68.4,0
1550116,43.3,101.4,12.0,18.4,1
1550117,62.2,79.4,18.0,30.8,0
1550118,45.2,122.3,3.5,69.6,1
1550119,45.1,121.4,15.4,32.8,1
1550120,42.3,102.6,16.4,62.2,0
1550121,32.8,126.2,12.5,37.3,1
1550122,48.7,83.9,3.2,31.3,0
1550123,59.0,114.4,12.0,43.0,1
1550124,64.3,95.7,19.1,41.1,1
1550125,51.5,112.8,14.0,19.1,0
1550126,67.1,92.1,19.1,56.4,1
1550127,34.2,73.1,16.3,72.1,0
1550128,36.2,66.6,17.9,61.3,0
1550129,33.1,80.0,1.0,43.5,0
1550130,47.9,42.8,14.1,22.4,0
1550131,51.8,104.0,4.9,61.1,0
1550132,27.9,82.6,17.7,82.3,1
1550133,37.1,74.2,14.7,67.3,0
1550134,29.7,125.2,18.0,55.0,1
1550135,60.8,66.8,16.8,29.0,0
1550136,30.4,102.7,24.2,39.7,1
1550137,44.0,106.7,10.4,52.2,1
1550138,17.9,84.2,11.9,53.4,0
1550139,58.9,125.2,13.6,49.1,1
1550140,16.7,114.5,21.4,75.0,1
1550141,64.9,103.8,7.6,59.1,1
1550142,57.2,90.6,12.1,51.4,0
1550143,25.4,54.0,5.6,42.1,0
1550144,46.5,99.6,7.4,35.9,0
1550145,38.3,121.0,5.7,72.9,0
1550146,28.4,121.2,1.1,40.8,1
1550147,68.7,117.2,12.0,45.7,1
1550148,51.4,117.0,5.7,54.4,0
1550149,57.7,104.2,11.5,46.0,0
1550150,37.2,86.2,18.1,56.6,0
1550151,32.5,96.2,11.1,29.3,1
1550152,27.1,50.8,5.3,41.1,0
1550153,31.5,74.9,14.7,53.1,0
1550154,24.7,104.6,10.4,31.2,1
1550155,23.4,56.9,10.6,34.3,0
1550156,56.4,114.3,17.6,22.1,0
1550157,68.5,62.3,14.1,37.9,1
1550158,43.6,82.7,8.1,38.7,1
1550159,41.7,125.4,15.4,68.7,1
1550160,43.7,87.2,20.7,30.2,0
1550161,29.1,93.9,11.0,50.4,1
1550162,38.0,148.4,15.8,28.5,1
1550163,61.8,85.4,9.6,54.6,0
1550164,59.2,108.1,8.8,71.3,1
1550165,34.7,98.5,3.8,39.0,0
1550166,45.5,26.5,11.4,52.1,1
1550167,31.4,74.2,19.3,56.1,0
1550168,51.8,122.7,1.0,34.2,0
1550169,,102.7,4.5,52.2,0
1550170,50.1,133.7,13.4,65.6,1
1550171,45.7,79.4,9.0,44.6,1
1550172,50.1,143.3,7.1,43.8,0
1550173,20.3,109.4,16.4,48.1,1
1550174,52.0,98.4,16.6,66.6,0
1550175,53.7,110.9,19.8,78.2,0
1550176,43.5,84.2,4.1,33.0,0
1550177,40.4,74.4,16.1,42.2,1
1550178,47.2,84.5,15.8,41.7,1
1550179,57.0,59.0,7.5,33.0,1
1550180,53.6,20.7,18.9,38.3,1
1550181,67.2,139.2,1.0,39.4,1
1550182,41.2,130.7,10.2,49.5,0
1550183,33.2,101.3,9.3,36.9,1
1550184,51.3,108.5,14.4,57.9,1
1550185,61.9,138.3,16.7,71.1,0
1550186,64.6,146.4,4.2,61.6,1
1550187,52.2,90.7,8.4,48.8,1
1550188,68.3,95.6,10.5,51.2,0
1550189,50.8,103.9,8.7,17.7,0
1550190,43.5,48.2,1.0,56.8,0
1550191,26.8,147.6,10.7,36.2,1
1550192,52.1,138.2,8.4,46.2,0
1550193,40.6,61.0,7.1,22.8,0
1550194,66.7,149.4,17.3,37.3,0
1550195,21.7,71.7,12.2,32.3,1
1550196,24.0,134.6,19.6,33.4,0
1550197,30.3,148.6,1.0,41.5,0
1550198,45.7,94.8,13.6,53.4,1
1550199,58.1,72.4,12.8,71.5,0
1550200,57.2,105.6,13.3,36.2,1
1550201,66.8,124.4,14.8,35.6,1
1550202,46.6,120.1,4.1,20.7,1
1550203,51.6,127.3,14.4,57.0,1
1550204,56.3,85.7,9.7,63.6,1
1550205,47.5,64.5,9.4,32.8,1
1550206,17.4,85.8,21.8,57.6,1
1550207,36.5,118.2,20.3,30.9,1
1550208,59.0,85.8,10.9,66.0,1
1550209,64.0,89.1,17.7,5.2,0
1550210,46.9,123.3,13.7,53.2,0
1550211,74.5,119.5,9.0,33.3,0
1550212,54.8,97.9,8.5,46.1,0
1550213,45.4,70.6,8.0,34.6,1
1550214,11.9,169.6,8.8,17.9,1
1550215,48.5,121.7,8.9,50.0,1
1550216,43.1,89.1,12.8,68.7,0
1550217,51.4,64.5,17.0,40.0,1
1550218,,84.1,12.1,69.9,1
1550219,21.6,116.3,3.9,11.4,1
1550220,5.5,110.9,16.0,50.8,0
1550221,31.7,103.0,16.5,39.7,0
1550222,55.2,96.2,21.5,75.8,0
1550223,31.7,147.9,2.1,33.7,0
1550224,34.1,85.1,11.2,49.0,1
1550225,,112.8,17.1,43.8,1
1550226,60.9,84.5,7.0,82.1,0
1550227,36.8,91.1,4.7,41.4,0
1550228,35.4,113.5,7.8,63.7,1
1550229,32.4,75.4,2.6,35.1,0
1550230,63.6,117.7,15.5,37.9,0
1550231,28.5,164.8,9.4,56.7,0
1550232,48.3,115.2,11.5,44.8,0
1550233,58.4,105.5,5.3,50.2,1
1550234,46.6,94.0,7.6,56.2,1
1550235,40.8,93.2,16.1,69.2,0
1550236,48.5,100.1,1.0,23.9,0
1550237,22.5,84.7,15.7,41.9,1
1550238,43.2,111.4,14.9,49.0,1
1550239,39.0,102.9,7.9,42.8,0
1550240,42.9,111.8,16.1,43.2,0
1550241,29.0,104.9,16.1,30.9,0
1550242,59.9,140.1,13.1,45.2,0
1550243,41.0,80.9,19.8,23.1,0
1550244,51.9,113.5,11.6,34.9,1
1550245,38.7,81.6,15.9,45.8,0
1550246,37.5,44.1,17.7,86.9,0
1550247,46.3,57.2,1.9,62.0,1
1550248,28.1,63.8,10.6,35.4,1
1550249,25.9,100.5,9.4,15.5,0
1550250,15.4,129.2,12.3,32.2,1
1550251,39.1,108.6,5.2,44.5,0
1550252,43.4,112.3,9.7,54.3,1
1550253,41.0,35.3,13.1,45.1,1
1550254,50.2,106.6,16.8,62.4,0
1550255,56.8,116.7,9.6,58.9,1
1550256,51.1,101.7,13.8,40.5,1
1550257,66.2,105.0,17.2,50.0,1
1550258,56.7,118.0,8.5,46.1,0
1550259,40.8,108.6,9.0,18.4,1
1550260,58.2,105.0,12.6,59.5,0
1550261,26.9,140.3,8.1,29.1,0
1550262,57.5,59.7,14.2,28.8,0
1550263,75.6,121.1,1.5,48.6,1
1550264,54.6,86.7,10.0,42.6,0
1550265,45.8,110.3,5.9,61.2,1
1550266,62.8,132.7,7.7,52.7,0
1550267,44.2,101.4,18.2,47.0,0
1550268,81.1,76.8,16.1,41.2,0
1550269,37.5,62.9,15.1,21.7,1
1550270,33.7,136.2,13.4,53.2,1
1550271,50.1,87.6,10.7,32.2,1
1550272,49.7,126.6,9.1,31.2,1
1550273,34.9,116.5,19.0,39.0,0
1550274,40.9,97.2,8.1,40.2,0
1550275,32.1,96.3,8.5,26.4,1
1550276,46.7,110.4,5.0,65.5,0
1550277,42.2,111.1,4.3,65.3,1
1550278,52.2,60.9,20.0,70.2,1
1550279,80.9,126.0,8.7,57.0,0
1550280,61.7,89.1,17.4,44.5,1
1550281,57.7,112.8,14.8,62.4,1
1550282,59.3,106.8,14.7,48.4,1
1550283,58.4,102.2,11.3,55.2,0
1550284,79.5,81.8,10.5,34.2,0
1550285,67.3,132.5,12.1,46.8,0
1550286,39.7,122.6,14.8,43.2,1
1550287,55.1,114.1,13.3,21.1,0
1550288,25.1,117.0,11.2,3.8,1
1550289,59.6,104.6,5.2,36.7,1
1550290,34.2,136.0,11.7,37.0,1
1550291,64.4,103.5,12.2,40.1,1
1550292,33.2,100.0,9.2,52.1,1
1550293,51.0,118.4,8.9,21.9,1
1550294,54.0,79.4,9.9,33.7,0
1550295,44.3,75.5,13.8,63.5,0
1550296,32.6,78.2,15.2,33.5,1
1550297,58.7,135.4,5.7,51.2,1
1550298,51.5,120.5,6.8,65.5,0
1550299,49.3,108.6,9.5,67.2,1
1550300,39.9,109.3,14.1,58.0,0
1550301,34.6,85.4,17.5,21.3,1
1550302,49.7,94.7,12.0,17.3,0
1550303,31.2,116.3,12.6,52.1,1
1550304,34.9,117.5,10.6,59.8,1
1550305,32.1,86.7,20.7,61.4,1
1550306,42.8,121.5,5.5,50.7,1
1550307,60.2,140.9,9.7,49.9,1
1550308,44.9,73.2,4.2,43.1,1
1550309,32.4,97.7,18.3,32.6,1
1550310,56.1,80.6,11.7,45.7,0
1550311,24.3,90.5,17.4,31.6,1
1550312,28.6,97.0,17.0,71.2,1
1550313,53.6,51.5,18.4,26.9,0
1550314,23.1,94.3,12.8,31.8,0
1550315,58.3,72.6,10.3,36.8,0
1550316,33.1,108.2,14.3,65.4,0
1550317,34.4,119.1,19.6,65.4,1
1550318,12.0,116.5,7.1,73.7,1
1550319,45.4,51.9,6.8,26.9,1
1550320,67.2,86.0,6.9,27.9,1
1550321,36.2,84.3,11.6,32.1,0
1550322,56.9,83.5,11.8,48.8,1
1550323,39.4,77.6,7.9,64.7,0
1550324,41.2,152.7,9.9,45.9,1
1550325,37.6,88.8,4.5,35.3,1
1550326,42.1,130.7,9.3,43.3,0
1550327,52.5,118.9,11.6,16.2,0
1550328,62.6,141.0,20.8,32.1,0
1550329,11.7,98.8,13.9,22.5,0
1550330,50.3,65.7,12.6,30.7,0
1550331,52.2,109.3,19.6,29.4,1
1550332,41.8,93.8,15.7,54.4,0
1550333,52.0,106.7,12.2,53.3,1
1550334,44.3,67.1,7.7,27.8,0
1550335,71.8,114.8,14.5,15.9,1
1550336,24.3,52.7,5.1,69.5,0
1550337,55.5,104.1,20.7,60.2,0
1550338,61.4,103.5,12.1,30.8,1
1550339,47.3,96.0,5.7,51.4,1
1550340,45.7,90.0,9.1,62.9,0
1550341,69.5,150.8,5.0,54.5,0
1550342,46.7,163.5,9.6,68.6,0
1550343,57.8,102.4,5.7,60.0,0
1550344,50.0,79.9,14.1,54.0,1
1550345,10.3,114.6,6.4,39.0,0
1550346,54.1,74.6,10.5,44.1,0
1550347,48.0,117.4,5.5,34.8,1
1550348,39.7,110.9,5.7,46.5,1
1550349,20.3,79.9,11.9,8.5,0
1550350,68.4,119.2,8.3,32.4,1
1550351,53.9,91.6,2.3,37.7,0
1550352,40.9,117.4,19.0,43.0,1
1550353,17.0,105.1,10.3,46.4,1
1550354,30.7,106.1,15.3,34.7,1
1550355,63.7,76.1,12.0,69.0,1
1550356,21.4,82.9,11.7,53.1,1
1550357,48.0,100.8,9.8,54.6,1
1550358,23.9,111.0,9.6,42.9,0
1550359,43.9,105.6,8.1,96.6,1
1550360,43.8,43.7,10.9,31.3,1
1550361,38.6,135.8,13.2,15.8,1
1550362,39.4,108.1,13.9,30.6,1
1550363,,85.1,8.0,29.5,1
1550364,25.5,93.4,5.2,66.7,1
1550365,29.9,149.5,1.0,56.2,0
1550366,52.1,110.0,8.2,43.4,0
1550367,37.8,97.1,14.9,52.9,1
1550368,47.4,93.0,13.7,38.5,0
1550369,46.0,85.8,9.6,55.5,0
1550370,24.9,74.7,8.8,23.6,0
1550371,37.7,90.4,5.3,29.2,0
1550372,52.7,110.1,14.1,38.8,0
1550373,45.5,101.1,12.3,54.6,0
1550374,36.6,99.3,2.4,45.3,0
1550375,56.3,96.6,19.4,71.8,1
1550376,68.2,80.9,11.0,56.2,1
1550377,61.2,122.9,8.5,41.3,1
1550378,52.2,86.7,7.5,52.2,1
1550379,40.8,140.7,6.5,72.5,0
1550380,48.7,101.9,8.9,46.7,0
1550381,25.6,113.9,9.8,50.3,1
1550382,51.7,80.4,9.8,46.5,0
1550383,33.7,73.5,15.1,45.5,0
1550384,44.1,104.4,9.7,42.8,1
1550385,49.7,25.0,14.3,35.1,1
1550386,34.8,62.0,16.5,64.6,1
1550387,30.1,59.2,8.2,28.7,1
1550388,45.4,103.7,7.9,25.0,0
1550389,38.1,85.4,13.8,45.5,1
1550390,59.9,88.6,11.7,33.5,0
1550391,42.9,56.2,14.6,53.7,0
1550392,25.5,85.1,6.1,31.1,1
1550393,29.6,53.4,13.7,22.9,0
1550394,39.7,94.2,11.5,31.4,1
1550395,30.9,150.2,17.4,48.0,1
1550396,55.1,99.4,23.4,46.1,1
1550397,36.6,101.0,18.5,56.6,1
1550398,23.5,84.9,18.5,50.3,0
1550399,56.3,111.5,15.1,31.7,1
1550400,35.8,93.9,14.7,45.9,1
1550401,32.6,142.4,17.2,35.7,0
1550402,52.8,75.9,13.7,45.3,0
1550403,37.5,67.9,17.5,59.4,0
1550404,56.0,89.3,6.0,50.7,0
1550405,21.0,117.7,1.9,46.4,1
1550406,24.3,81.9,7.3,67.5,0
1550407,8.8,99.0,10.2,75.9,1
1550408,42.3,55.3,12.5,41.1,1
1550409,24.3,106.6,17.3,49.7,1
1550410,50.9,132.6,11.6,24.7,1
1550411,38.8,77.7,11.2,48.9,0
1550412,34.0,112.1,15.2,30.8,1
1550413,30.5,99.8,14.1,46.0,0
1550414,59.0,132.9,10.6,29.3,1
1550415,5.7,84.2,4.4,44.3,1
1550416,52.3,123.9,14.4,20.4,1
1550417,64.9,74.8,7.4,53.4,1
1550418,43.4,105.4,6.7,49.6,1
1550419,75.0,122.5,8.7,40.3,0
1550420,48.8,103.0,7.8,45.1,1
1550421,41.9,96.7,11.8,24.3,1
1550422,23.6,135.5,10.9,50.0,0
1550423,21.4,140.1,7.3,45.5,0
1550424,58.0,119.3,18.2,54.5,1
1550425,43.3,113.5,11.6,26.0,0
1550426,47.3,99.3,14.5,97.3,1
1550427,61.5,113.8,10.2,55.7,1
1550428,61.9,99.2,9.9,70.5,0
1550429,54.0,127.7,10.5,37.3,0
1550430,25.0,73.1,11.3,64.0,1
1550431,40.6,121.9,14.4,51.1,0
1550432,32.5,98.6,9.2,33.8,0
1550433,45.2,101.0,4.9,20.2,0
1550434,56.5,103.2,13.4,47.9,0
1550435,72.8,75.4,10.8,42.1,1
1550436,35.6,123.7,18.7,43.0,0
1550437,38.0,74.4,15.1,25.7,1
1550438,31.0,77.6,17.5,45.5,0
1550439,69.2,85.1,22.5,16.3,1
1550440,32.7,56.8,9.7,77.6,0
1550441,36.2,80.5,9.9,32.5,1
1550442,38.2,97.2,15.7,34.3,1
1550443,55.4,83.9,6.9,68.8,0
1550444,55.7,113.0,21.7,31.4,0
1550445,48.7,146.1,11.8,21.8,0
1550446,41.4,157.8,14.0,59.2,1
1550447,40.9,100.8,14.8,80.3,0
1550448,55.5,47.0,13.9,47.6,1
1550449,35.2,111.2,10.8,71.9,0
1550450,54.1,80.8,3.3,70.6,1
1550451,26.1,127.1,12.5,43.0,0
1550452,55.7,100.7,10.7,38.9,0
1550453,52.4,151.9,13.7,45.2,0
1550454,42.8,107.6,13.5,41.5,0
1550455,60.7,88.8,13.6,51.9,1
1550456,62.5,126.4,8.6,42.2,0
1550457,39.9,104.8,13.6,39.7,0
1550458,62.4,136.8,11.4,27.8,1
1550459,30.4,101.4,10.2,33.5,1
1550460,53.1,107.4,9.0,48.4,0
1550461,52.9,92.2,6.4,51.6,0
1550462,50.7,131.4,13.8,39.8,1
1550463,77.8,83.1,13.0,43.3,1
1550464,43.7,115.1,19.7,24.1,1
1550465,71.0,113.3,13.6,59.1,1
1550466,35.7,81.9,12.2,34.2,1
1550467,51.8,75.9,16.9,56.6,1
1550468,47.0,106.4,14.8,42.1,1
1550469,67.4,109.3,11.1,28.4,0
1550470,46.2,129.9,11.9,41.2,0
1550471,50.5,90.0,14.3,65.3,1
1550472,48.1,74.8,10.6,57.2,0
1550473,47.7,96.5,23.7,37.8,0
1550474,56.4,96.1,9.0,40.3,1
1550475,67.9,97.7,13.8,23.2,0
1550476,31.3,69.4,11.6,33.3,1
1550477,11.7,136.0,9.3,37.2,0
1550478,44.1,52.0,10.9,39.5,0
1550479,56.7,185.4,8.7,25.5,0
1550480,54.4,114.1,6.8,59.8,0
1550481,58.3,122.2,7.9,32.3,1
1550482,55.7,83.8,5.2,71.9,1
1550483,40.0,130.1,14.9,55.5,1
1550484,0.0,99.0,15.3,63.8,0
1550485,68.9,119.0,2.5,32.1,1
1550486,67.8,82.7,12.1,48.4,0
1550487,60.7,70.1,9.9,63.4,1
1550488,38.2,117.7,9.9,31.2,1
1550489,41.5,101.2,6.4,52.8,1
1550490,73.7,81.0,21.2,62.5,0
1550491,31.7,109.3,18.0,27.2,0
1550492,40.8,117.5,12.8,19.3,0
1550493,69.4,92.3,12.3,11.4,0
1550494,10.3,116.1,17.0,77.8,1
1550495,26.0,68.7,14.4,62.7,1
1550496,43.4,53.7,8.2,47.9,1
1550497,66.5,124.0,12.3,72.8,1
1550498,26.6,128.4,9.8,28.9,1
1550499,25.5,88.7,13.7,41.0,0
1550500,40.0,80.9,8.7,53.5,1
1550501,48.5,96.2,23.6,28.2,0
1550502,55.4,96.7,14.3,43.7,0
1550503,54.0,113.8,11.0,28.7,0
1550504,28.6,93.9,12.8,22.2,1
1550505,47.7,148.7,21.2,35.4,1
1550506,33.0,32.7,19.0,23.8,1
1550507,41.2,100.0,27.2,54.4,0
1550508,51.3,64.8,8.6,37.1,0
1550509,27.6,73.1,7.4,75.1,1
1550510,60.4,115.5,6.1,32.9,0
1550511,43.6,100.0,17.8,20.3,0
1550512,23.3,93.8,8.1,45.9,0
1550513,51.3,57.4,11.6,59.0,1
1550514,47.9,82.7,14.0,35.5,0
1550515,69.0,93.9,13.9,52.1,1
1550516,60.7,101.1,4.0,81.9,1
1550517,58.8,65.5,13.2,59.2,0
1550518,56.7,116.7,15.6,54.4,1
1550519,62.6,97.3,10.9,49.9,0
1550520,64.1,83.6,9.0,52.2,0
1550521,77.8,75.5,17.6,21.8,1
1550522,41.0,164.5,14.6,55.4,1
1550523,28.8,79.2,11.0,59.3,1
1550524,36.2,66.3,13.4,57.9,0
1550525,50.0,69.6,13.3,36.8,0
1550526,21.7,105.7,4.5,49.2,0
1550527,29.8,103.8,1.0,37.6,1
1550528,54.4,111.3,15.8,38.3,1
1550529,90.8,70.3,6.6,31.3,0
1550530,26.8,66.1,14.7,49.8,1
1550531,32.2,83.1,8.2,63.3,0
1550532,15.5,109.5,11.2,42.8,1
1550533,43.5,118.9,4.8,63.3,1
1550534,36.7,71.9,4.1,39.2,1
1550535,6.8,98.1,7.2,66.1,0
1550536,40.5,112.8,16.1,40.9,0
1550537,30.1,99.7,12.5,38.3,1
1550538,45.8,61.3,12.1,63.9,0
1550539,74.4,94.2,17.1,66.1,1
1550540,29.0,133.6,12.0,83.5,0
1550541,51.1,100.1,10.9,45.3,1
1550542,43.3,85.7,13.2,61.1,1
1550543,39.3,112.0,14.0,50.7,0
1550544,50.9,91.1,16.1,23.3,1
1550545,40.8,96.5,13.0,23.9,1
1550546,44.1,101.6,12.3,48.6,0
1550547,48.5,80.2,12.9,76.1,0
1550548,37.6,66.6,14.6,66.7,0
1550549,19.1,105.7,11.9,36.9,1
1550550,68.8,100.8,7.5,45.8,0
1550551,52.6,71.7,10.5,32.2,1
1550552,50.0,55.7,13.7,60.3,1
1550553,33.7,104.5,6.6,65.2,1
1550554,62.5,124.9,8.4,58.2,1
1550555,45.6,56.4,12.6,48.0,0
1550556,51.5,90.9,11.7,46.7,0
1550557,28.6,145.0,19.7,55.0,0
1550558,44.5,11.9,9.4,36.1,1
1550559,80.4,102.4,10.2,51.5,0
1550560,60.7,80.0,15.1,49.6,0
1550561,51.0,132.0,14.4,40.2,0
1550562,65.1,111.3,11.1,49.1,0
1550563,41.3,95.7,7.8,44.7,1
1550564,53.6,136.4,10.7,21.0,0
1550565,52.2,95.9,2.0,51.6,0
1550566,49.0,87.2,5.3,49.8,0
1550567,65.7,113.5,15.6,40.6,0
1550568,39.5,113.2,11.0,41.4,1
1550569,46.0,84.4,2.1,57.2,0
1550570,29.9,66.0,18.5,44.4,1
1550571,28.8,122.6,12.2,52.7,1
1550572,45.4,98.2,7.5,48.5,0
1550573,37.6,141.9,18.8,48.7,0
1550574,21.3,99.7,13.9,50.3,0
1550575,31.6,84.8,5.5,54.9,0
1550576,66.0,103.3,11.8,54.0,1
1550577,17.4,180.7,24.2,31.2,1
1550578,44.9,105.9,11.5,38.4,0
1550579,45.1,92.5,11.3,16.2,0
1550580,39.8,51.3,17.7,65.7,0
1550581,52.0,79.6,2.3,25.2,0
1550582,48.7,99.6,21.0,57.9,1
1550583,42.5,149.8,5.9,44.1,0
1550584,41.9,90.8,2.9,52.1,0
1550585,55.8,137.3,13.9,37.6,0
1550586,33.6,95.1,7.7,49.4,0
1550587,50.7,65.9,17.5,36.6,0
1550588,60.9,133.0,12.4,57.9,0
1550589,22.7,77.7,21.5,25.9,0
1550590,48.7,157.9,21.7,65.7,0
1550591,52.5,81.7,21.5,52.9,1
1550592,52.4,138.9,11.9,66.7,1
1550593,28.6,152.6,15.6,36.1,1
1550594,37.6,105.4,13.5,42.7,1
1550595,34.1,107.8,12.4,56.7,1
1550596,13.8,51.7,13.5,23.7,1
1550597,55.4,162.4,9.8,69.4,1
1550598,40.2,140.6,7.8,32.9,0
1550599,42.7,130.8,11.6,17.0,1
1550600,56.9,130.3,10.3,42.8,0
1550601,32.6,121.7,16.8,40.7,1
1550602,59.6,106.0,7.7,58.2,1
1550603,34.5,110.6,7.7,48.0,1
1550604,69.4,84.7,10.7,48.5,1
1550605,46.0,109.6,19.5,18.7,0
1550606,51.1,99.9,16.9,49.9,0
1550607,,87.8,13.8,11.5,0
1550608,44.9,93.6,19.3,59.4,0
1550609,55.2,140.4,11.4,65.0,1
1550610,73.2,114.2,1.3,46.4,0
1550611,37.1,93.4,20.0,48.6,0
1550612,62.6,121.8,9.3,53.5,0
1550613,47.6,101.7,12.8,48.6,0
1550614,50.1,114.4,5.8,48.9,1
1550615,48.6,84.0,11.5,44.8,1
1550616,46.8,70.0,11.5,44.8,1
1550617,29.9,98.5,9.3,31.4,0
1550618,51.6,101.3,2.5,66.9,1
1550619,38.8,91.4,3.3,60.4,0
1550620,38.6,61.7,16.0,56.8,1
1550621,45.3,88.9,2.8,46.2,0
1550622,65.7,106.2,9.5,23.4,1
1550623,30.8,91.7,10.9,53.9,0
1550624,56.9,63.0,9.2,83.9,0
1550625,34.4,84.7,14.2,23.6,0
1550626,54.9,101.6,12.3,43.9,0
1550627,43.0,94.5,8.0,57.6,1
1550628,54.7,117.5,20.7,46.5,0
1550629,28.5,107.1,22.8,45.2,1
1550630,63.0,77.0,12.1,60.3,1
1550631,61.7,84.6,11.2,42.9,0
1550632,61.7,69.7,14.1,57.5,0
