GraduateID,PortfolioProjectsCount,JobSearchDurationDays,StartingSalary_K,CodingInterviewGrade,Hired
1740120,66.7,31.7,56.4,42.3,0
1740121,84.0,19.3,53.2,92.1,1
1740122,112.1,50.1,75.7,62.4,1
1740123,86.3,81.2,101.3,68.3,1
1740124,134.3,54.9,56.2,106.6,0
1740125,104.7,65.2,115.9,109.0,1
1740126,87.7,36.7,77.6,75.7,0
1740127,144.8,48.7,73.7,76.5,0
1740128,49.3,6.4,108.0,128.5,0
1740129,136.2,56.7,68.0,108.4,0
1740130,123.1,52.4,74.3,105.2,1
1740131,86.2,35.1,89.6,121.0,0
1740132,123.3,29.5,69.3,97.7,0
1740133,140.8,59.8,67.2,106.2,1
1740134,116.6,52.6,37.0,82.1,1
1740135,79.1,50.5,45.2,87.9,1
1740136,86.3,56.8,86.3,84.6,1
1740137,90.7,60.1,76.3,53.3,1
1740138,119.7,37.8,73.9,102.2,0
1740139,80.9,30.7,87.9,89.2,0
1740140,118.0,29.2,89.1,94.3,1
1740141,93.1,44.4,73.5,68.0,0
1740142,76.9,53.5,85.5,76.4,0
1740143,129.7,34.0,87.3,87.8,0
1740144,108.7,63.7,68.1,106.0,1
1740145,109.4,59.3,105.7,119.5,0
1740146,66.1,23.1,94.2,53.5,0
1740147,79.0,17.4,91.1,139.3,1
1740148,153.7,32.0,87.3,110.7,0
1740149,61.5,52.9,29.1,69.6,1
1740150,76.6,30.0,75.0,89.7,0
1740151,73.8,36.9,90.9,104.3,1
1740152,132.3,57.7,61.9,164.5,1
1740153,79.0,34.5,98.4,91.5,0
1740154,75.9,29.0,67.1,76.0,0
1740155,141.6,61.2,82.3,93.4,0
1740156,115.6,25.1,54.3,145.8,0
1740157,141.3,60.2,81.8,118.4,1
1740158,136.9,60.6,88.4,108.2,1
1740159,181.4,42.5,81.9,80.2,1
1740160,84.6,33.3,61.8,52.7,1
1740161,103.3,38.9,90.3,85.9,0
1740162,87.1,36.9,58.7,117.5,0
1740163,122.5,45.1,112.1,113.9,0
1740164,104.0,43.6,68.8,148.0,1
1740165,99.1,35.7,88.7,83.2,1
1740166,116.9,43.5,101.1,78.2,1
1740167,96.1,27.9,74.3,74.0,0
1740168,90.9,29.1,101.2,119.1,0
1740169,70.1,40.5,122.9,82.7,0
1740170,90.3,64.3,53.6,99.8,1
1740171,89.1,27.5,59.2,137.7,0
1740172,55.0,59.6,62.7,85.8,1
1740173,109.1,28.3,86.8,115.9,0
1740174,94.7,39.5,98.1,82.2,0
1740175,128.3,42.6,98.2,120.0,0
1740176,94.0,29.8,71.3,81.4,0
1740177,74.2,35.7,87.1,100.1,0
1740178,107.9,,77.2,105.1,1
1740179,65.8,36.5,53.2,118.1,1
1740180,106.4,38.5,79.2,76.9,0
1740181,45.6,70.0,72.9,68.9,0
1740182,96.6,43.7,48.2,137.9,1
1740183,107.6,1.4,61.3,126.4,0
1740184,75.8,50.6,107.4,73.1,1
1740185,99.5,42.8,56.9,90.8,1
1740186,120.7,66.5,98.8,82.0,1
1740187,97.8,62.5,68.7,116.5,1
1740188,81.3,50.5,61.8,108.1,1
1740189,83.4,47.0,60.4,113.7,1
1740190,85.4,,52.1,74.9,1
1740191,95.5,51.4,49.5,98.4,1
1740192,120.9,37.7,68.5,129.6,1
1740193,90.2,48.4,55.4,41.0,1
1740194,142.3,4.5,73.7,87.7,0
1740195,94.5,40.5,93.2,122.4,0
1740196,60.5,50.6,62.6,109.9,1
1740197,91.7,40.0,94.8,84.8,0
1740198,144.6,47.4,94.9,89.8,1
1740199,109.6,45.1,81.4,117.3,0
1740200,93.2,44.6,63.4,100.2,1
1740201,107.8,50.7,90.6,89.9,1
1740202,121.9,38.5,56.6,128.2,1
1740203,85.3,45.4,53.7,111.7,1
1740204,120.1,43.0,55.7,113.5,0
1740205,107.0,41.7,52.3,71.5,0
1740206,76.9,36.8,63.2,125.3,1
1740207,93.6,50.9,67.2,128.4,1
1740208,79.4,31.0,92.3,130.8,0
1740209,101.1,28.1,114.5,57.5,0
1740210,84.3,50.8,70.8,80.7,0
1740211,113.7,58.9,91.6,137.6,0
1740212,75.3,58.7,79.3,124.8,0
1740213,98.1,44.8,91.1,122.7,0
1740214,134.3,53.6,76.3,112.8,1
1740215,119.1,27.4,77.6,116.5,1
1740216,148.0,32.3,73.9,148.3,1
1740217,114.3,51.8,72.3,96.6,1
1740218,71.2,24.9,88.1,85.6,0
1740219,45.6,30.2,44.6,82.5,0
1740220,137.6,46.6,59.5,60.7,0
1740221,109.2,31.2,68.9,99.5,1
1740222,81.5,51.5,78.8,143.0,0
1740223,66.9,16.8,81.0,158.5,0
1740224,111.7,62.3,98.5,106.0,0
1740225,61.5,32.6,62.7,117.6,1
1740226,94.1,42.5,86.0,50.6,0
1740227,68.4,32.0,51.1,91.1,1
1740228,165.0,25.2,50.3,103.5,0
1740229,88.6,59.7,87.4,113.5,1
1740230,114.6,24.2,68.0,109.5,0
1740231,97.8,57.2,42.3,104.0,0
1740232,190.8,41.7,36.9,142.7,1
1740233,103.0,39.2,59.0,107.6,1
1740234,97.1,51.2,55.8,106.3,1
1740235,94.9,46.9,87.3,68.6,1
1740236,77.5,15.9,75.0,120.5,0
1740237,104.1,41.7,34.3,77.3,1
1740238,123.8,60.5,74.3,57.9,1
1740239,64.7,29.0,79.0,92.5,1
1740240,85.1,51.2,117.2,103.2,0
1740241,151.0,25.4,77.4,96.4,1
1740242,108.0,39.2,91.9,87.5,0
1740243,90.4,33.0,46.4,159.8,1
1740244,81.8,25.6,70.5,89.3,0
1740245,84.0,52.5,112.7,66.2,0
1740246,83.5,37.9,118.9,143.7,0
1740247,121.2,39.7,71.9,61.3,1
1740248,103.3,37.5,89.3,130.7,0
1740249,101.9,38.0,89.3,128.6,1
1740250,74.4,45.5,110.9,114.8,0
1740251,85.0,44.0,118.2,89.0,0
1740252,82.4,40.0,67.7,110.3,1
1740253,101.6,64.8,69.0,131.1,1
1740254,70.4,63.4,69.0,74.1,0
1740255,98.4,45.8,51.2,81.8,0
1740256,102.0,37.4,86.0,99.5,0
1740257,127.8,61.7,68.1,137.4,0
1740258,61.9,53.0,65.2,96.2,1
1740259,94.2,54.5,52.6,119.7,1
1740260,137.3,20.4,66.2,92.0,1
1740261,72.1,40.3,103.1,90.9,0
1740262,86.4,65.4,52.8,117.6,1
1740263,72.6,55.0,90.9,35.3,0
1740264,92.5,35.3,89.5,90.3,1
1740265,93.8,55.4,98.5,102.6,1
1740266,118.9,42.4,89.2,116.9,0
1740267,117.3,38.4,81.3,118.4,1
1740268,131.6,17.6,50.5,113.6,1
1740269,72.4,46.9,64.9,157.6,1
1740270,66.9,30.1,71.5,113.1,0
1740271,130.6,54.0,76.0,132.5,1
1740272,110.2,38.7,62.2,52.7,0
1740273,68.2,45.7,78.9,77.6,0
1740274,94.4,21.0,71.7,50.8,0
1740275,84.8,43.4,46.0,52.1,0
1740276,108.2,14.0,50.3,123.0,1
1740277,97.0,73.2,68.9,114.2,1
1740278,101.7,42.6,42.4,150.2,1
1740279,111.7,64.9,58.7,74.6,1
1740280,109.3,28.0,51.8,131.1,0
1740281,107.2,25.7,48.6,49.8,1
1740282,111.5,51.3,77.8,103.7,1
1740283,152.3,51.5,75.5,122.0,0
1740284,77.9,15.3,80.6,100.2,0
1740285,126.0,34.6,58.1,108.5,1
1740286,125.1,52.0,78.2,112.7,0
1740287,122.4,47.6,57.8,97.5,0
1740288,85.7,43.1,93.2,113.5,0
1740289,99.4,67.7,104.3,133.8,0
1740290,80.0,65.7,54.5,129.2,1
1740291,117.0,36.8,72.1,48.4,1
1740292,101.7,35.0,77.5,143.2,0
1740293,101.3,30.0,46.4,120.2,0
1740294,86.8,25.1,60.6,144.9,0
1740295,103.2,53.4,69.7,64.6,0
1740296,105.0,60.5,112.8,71.7,0
1740297,122.8,67.5,73.4,65.7,1
1740298,85.8,43.1,99.0,103.6,0
1740299,131.8,25.5,95.7,139.3,0
1740300,82.5,56.3,64.1,93.1,0
1740301,93.6,53.0,58.8,85.5,1
1740302,110.6,34.4,57.6,95.8,0
1740303,140.5,80.2,57.1,135.7,1
1740304,114.8,43.1,82.8,80.0,1
1740305,85.9,72.0,104.0,101.6,0
1740306,103.1,39.1,74.6,87.6,1
1740307,127.3,46.7,64.9,97.7,1
1740308,111.3,60.7,74.2,101.0,1
1740309,85.5,,69.1,83.1,1
1740310,93.1,19.0,71.3,70.0,0
1740311,65.2,54.2,46.9,111.6,0
1740312,120.3,28.5,101.1,72.6,1
1740313,76.2,64.7,88.4,104.7,1
1740314,132.7,50.2,26.6,111.0,1
1740315,82.1,26.1,102.2,73.4,0
1740316,100.9,57.9,30.0,87.2,1
1740317,132.0,66.6,60.5,90.7,1
1740318,144.3,36.7,126.5,74.8,0
1740319,64.4,36.6,79.3,80.9,0
1740320,71.8,42.8,42.8,76.7,1
1740321,117.8,13.8,72.4,131.2,0
1740322,108.2,36.8,94.6,69.0,0
1740323,175.6,50.6,50.8,77.4,1
1740324,164.0,34.3,114.6,107.7,1
1740325,82.9,54.8,98.6,48.9,0
1740326,100.4,48.5,74.1,68.8,0
1740327,144.0,,75.3,81.3,1
1740328,111.2,53.4,73.5,91.3,1
1740329,124.0,53.3,100.4,103.8,1
1740330,108.2,27.3,81.2,126.4,1
1740331,95.4,5.0,105.7,100.8,0
1740332,73.5,50.4,50.0,67.3,1
1740333,129.4,43.6,68.4,81.3,1
1740334,99.2,62.7,69.0,97.3,0
1740335,91.5,55.4,103.6,98.7,0
1740336,126.4,57.3,65.1,95.2,1
1740337,98.2,25.1,64.5,62.2,0
1740338,69.0,36.9,62.8,102.8,0
1740339,130.3,41.7,83.5,99.1,0
1740340,88.3,43.7,56.8,103.5,1
1740341,108.5,42.3,110.9,124.9,1
1740342,121.1,24.7,112.8,76.0,0
1740343,77.3,43.1,88.1,122.7,1
1740344,80.1,39.7,124.6,133.7,0
1740345,80.9,18.8,114.4,68.1,0
1740346,109.4,68.0,95.1,131.1,1
1740347,130.0,47.0,50.7,120.7,0
1740348,77.1,44.9,92.2,94.9,0
1740349,116.0,64.2,41.5,117.9,1
1740350,98.2,70.5,56.7,64.2,1
1740351,74.1,36.9,85.2,96.0,0
1740352,79.1,65.7,53.7,64.4,1
1740353,104.6,27.1,62.9,116.4,1
1740354,90.1,32.5,56.0,114.1,1
1740355,100.8,38.8,69.0,136.5,1
1740356,82.0,52.0,86.4,76.4,0
1740357,89.1,35.2,87.6,100.6,1
1740358,132.4,50.0,60.0,83.9,1
1740359,148.9,77.0,47.8,92.9,1
1740360,113.3,57.0,90.5,141.2,0
1740361,130.8,67.0,49.9,127.5,1
1740362,67.6,31.4,69.0,113.4,0
1740363,92.1,46.1,95.7,121.7,0
1740364,112.1,35.2,71.8,129.7,1
1740365,71.2,46.0,87.0,109.3,0
1740366,94.8,6.9,55.7,81.8,0
1740367,118.1,56.0,77.9,147.2,0
1740368,86.3,40.6,103.8,105.4,1
1740369,102.3,56.7,66.3,70.1,1
1740370,94.0,26.5,68.5,115.9,0
1740371,109.3,60.1,103.7,59.4,0
1740372,111.8,22.6,38.3,82.3,1
1740373,78.8,35.8,65.7,95.3,1
1740374,66.4,42.0,60.4,110.0,1
1740375,95.0,23.9,81.4,105.3,1
1740376,105.1,52.3,87.4,83.9,1
1740377,94.4,27.9,78.3,85.2,0
1740378,96.4,30.6,79.2,108.7,0
1740379,58.2,49.4,48.5,62.9,0
1740380,65.2,24.4,62.3,88.4,1
1740381,144.5,17.5,101.1,83.8,0
1740382,106.3,51.5,68.8,104.3,1
1740383,106.5,23.8,72.1,126.3,0
1740384,83.5,88.9,96.1,117.3,1
1740385,100.9,57.9,72.9,77.4,1
1740386,122.1,54.5,78.7,101.2,0
1740387,119.7,28.0,89.5,104.0,1
1740388,91.5,66.2,88.0,97.3,1
1740389,77.5,42.7,53.4,114.6,1
1740390,106.6,48.9,59.1,112.3,0
1740391,91.3,44.0,69.5,99.5,0
1740392,114.1,55.9,90.9,99.5,1
1740393,46.3,80.6,38.9,87.7,1
1740394,100.8,61.3,91.5,80.3,1
1740395,73.8,48.6,85.7,85.4,1
1740396,121.8,9.1,71.0,103.7,0
1740397,73.6,50.2,93.9,129.7,1
1740398,87.5,55.4,68.7,118.6,1
1740399,112.0,0.0,62.8,76.9,1
1740400,76.7,53.6,39.0,108.1,1
1740401,94.8,33.7,75.7,132.0,0
1740402,87.1,65.1,87.5,103.4,0
1740403,93.3,65.3,61.4,119.9,0
1740404,137.0,54.6,78.3,90.8,1
1740405,122.4,29.5,81.9,146.4,0
1740406,116.4,38.9,84.9,103.8,0
1740407,108.5,,105.5,38.2,1
1740408,91.2,41.5,97.3,128.6,0
1740409,126.5,53.6,80.5,119.3,1
1740410,144.5,19.5,90.7,86.3,1
1740411,101.0,38.8,120.6,105.4,1
1740412,116.3,35.1,49.0,79.5,0
1740413,88.4,38.4,55.9,86.8,1
1740414,106.3,24.9,58.5,94.1,0
1740415,67.9,52.9,65.4,83.8,0
1740416,86.2,48.2,73.4,70.4,0
1740417,76.6,59.8,67.3,109.1,1
1740418,113.7,27.7,54.0,115.0,0
1740419,55.3,37.4,90.9,101.4,0
1740420,117.4,52.0,98.0,77.2,1
1740421,117.2,50.5,94.2,99.0,0
1740422,86.4,36.6,81.6,97.6,0
1740423,105.8,57.1,116.5,90.7,1
1740424,107.6,52.3,71.7,87.5,1
1740425,122.3,39.9,62.9,142.9,0
1740426,125.7,20.0,52.2,112.2,0
1740427,79.0,88.5,45.8,151.9,1
1740428,93.9,67.6,96.6,148.7,0
1740429,117.0,62.9,103.9,169.8,0
1740430,74.0,36.5,53.9,66.1,0
1740431,112.7,36.4,110.9,126.9,0
1740432,104.7,36.3,51.2,98.6,1
1740433,83.0,31.2,85.6,84.0,0
1740434,82.9,39.1,89.0,81.3,0
1740435,86.7,48.8,54.1,59.0,1
1740436,106.0,42.3,71.7,134.7,0
1740437,83.8,38.1,68.0,71.0,1
1740438,62.0,43.5,118.1,48.2,0
1740439,88.6,46.2,54.9,105.0,1
1740440,114.6,49.4,80.3,102.4,1
1740441,110.9,42.5,127.3,79.7,1
1740442,112.6,61.1,58.1,74.2,0
1740443,114.3,59.4,58.2,141.7,0
1740444,70.7,39.4,45.5,107.6,1
1740445,106.6,53.5,75.5,115.9,0
1740446,114.2,39.7,74.0,92.3,0
1740447,87.4,44.3,76.6,59.0,0
1740448,85.4,43.2,54.9,127.3,0
1740449,81.3,63.6,61.8,152.9,1
1740450,90.9,71.2,54.5,113.4,1
1740451,93.0,51.8,62.2,117.8,1
1740452,110.9,45.0,73.2,130.6,0
1740453,110.8,74.4,70.2,74.9,1
1740454,103.5,39.1,84.4,116.9,0
1740455,77.8,30.2,94.8,70.8,0
1740456,93.2,45.7,96.1,130.0,1
1740457,128.2,44.5,65.6,74.4,0
1740458,90.3,50.2,77.5,58.6,0
1740459,77.8,54.5,55.6,100.0,1
1740460,128.5,27.8,72.4,67.0,0
1740461,112.5,75.2,49.5,118.7,1
1740462,125.4,46.5,88.4,111.3,0
1740463,103.2,46.2,91.1,60.1,0
1740464,71.3,41.2,104.7,84.2,1
1740465,67.5,22.4,88.3,110.1,1
1740466,141.6,63.0,91.6,67.0,0
1740467,76.7,49.9,90.9,127.8,0
1740468,109.1,32.3,67.9,62.6,0
1740469,139.8,61.0,83.7,68.4,1
1740470,134.0,43.1,68.5,105.4,0
1740471,109.3,31.9,80.5,77.5,0
1740472,87.3,62.8,102.3,96.4,0
1740473,100.6,60.5,61.5,95.4,1
1740474,85.5,70.3,68.1,83.5,1
1740475,82.3,68.7,84.1,47.4,0
1740476,88.2,44.9,70.7,119.2,0
1740477,126.7,51.2,60.1,100.8,1
1740478,113.5,,72.2,102.0,0
1740479,82.5,54.8,38.5,86.1,1
1740480,51.4,41.8,45.0,110.6,0
1740481,96.9,38.7,95.4,56.1,0
1740482,79.6,49.3,67.4,93.5,1
1740483,101.5,71.9,112.1,82.2,0
1740484,133.6,35.5,52.0,98.1,0
1740485,92.2,28.9,50.6,90.0,0
1740486,47.4,36.1,64.3,85.3,1
1740487,89.6,2.1,69.7,100.0,0
1740488,52.7,36.9,94.0,94.8,1
1740489,93.6,43.2,43.7,87.2,1
1740490,110.0,28.4,74.3,156.5,0
1740491,118.2,56.5,86.2,75.5,0
1740492,117.8,44.3,86.0,91.3,1
1740493,102.3,,71.6,79.7,1
1740494,113.2,50.1,74.1,84.9,1
1740495,103.5,54.3,84.1,135.3,1
1740496,125.4,34.6,67.0,104.4,1
1740497,82.4,63.4,86.9,122.7,1
1740498,107.6,18.7,46.7,103.9,0
1740499,46.9,71.1,109.5,72.4,0
1740500,110.4,52.4,94.9,97.1,0
1740501,161.7,39.0,89.2,135.3,1
1740502,94.5,31.1,71.0,114.7,0
1740503,66.6,43.4,73.2,77.0,0
1740504,57.6,38.3,108.2,100.2,0
1740505,61.1,26.0,44.3,123.9,0
1740506,121.3,55.9,64.8,95.2,1
1740507,99.5,53.3,41.2,117.5,0
1740508,109.8,44.3,38.4,103.5,1
1740509,89.9,56.2,42.7,108.8,1
1740510,105.4,37.5,120.6,117.1,1
1740511,77.3,35.8,70.6,87.6,0
1740512,81.4,46.8,56.2,95.8,1
1740513,86.2,52.8,76.9,80.3,1
1740514,120.3,23.5,102.9,100.0,0
1740515,106.4,70.4,72.2,94.0,1
1740516,108.1,34.7,46.9,65.4,0
1740517,125.0,61.1,47.0,50.8,1
1740518,83.4,53.1,110.5,94.2,0
1740519,75.0,70.9,77.0,29.9,1
1740520,138.0,57.9,40.4,125.1,1
1740521,140.1,19.7,83.0,108.3,0
1740522,91.2,22.3,74.2,85.1,0
1740523,47.3,40.6,69.8,109.7,0
1740524,91.5,37.3,54.1,69.3,1
1740525,73.5,2.0,125.6,83.2,0
1740526,135.2,64.2,83.3,104.0,1
1740527,127.9,47.5,100.2,134.6,0
1740528,81.8,43.1,44.9,66.5,0
1740529,118.1,42.4,43.7,149.5,0
1740530,131.1,23.5,66.7,67.4,0
1740531,101.3,35.6,81.6,99.6,1
1740532,87.2,57.4,83.5,70.7,0
1740533,142.8,43.9,64.1,73.7,1
1740534,174.2,37.5,52.7,49.8,1
1740535,42.8,40.3,76.1,120.3,0
1740536,80.1,56.4,100.3,119.4,1
1740537,63.6,41.7,66.5,126.6,0
1740538,160.2,45.1,111.0,106.2,1
1740539,101.5,26.5,109.5,128.8,0
1740540,103.3,30.2,93.9,154.7,1
1740541,134.5,41.0,67.1,74.4,1
1740542,104.8,44.7,81.6,133.8,1
1740543,98.7,53.8,47.3,101.4,0
1740544,100.1,28.8,59.9,93.0,0
1740545,106.4,11.8,72.9,80.3,0
1740546,92.1,72.6,62.9,80.9,1
1740547,130.3,24.6,64.8,98.6,0
1740548,101.3,41.2,106.7,66.8,0
1740549,82.1,43.4,60.1,90.9,1
1740550,99.1,51.5,88.9,97.2,0
1740551,108.1,26.1,105.9,70.5,0
1740552,86.1,46.8,102.2,82.8,1
1740553,98.8,51.1,68.2,150.0,0
1740554,70.8,27.4,85.9,116.3,0
1740555,138.3,54.2,71.5,48.6,0
1740556,97.7,65.6,64.0,81.9,1
1740557,126.3,54.8,74.7,95.4,1
1740558,93.0,50.1,78.4,123.7,0
1740559,120.7,65.0,70.8,89.8,1
1740560,129.6,42.7,77.7,96.3,1
1740561,105.8,23.7,93.9,95.0,0
1740562,70.1,70.7,90.8,84.2,0
1740563,107.1,54.3,109.8,108.3,0
1740564,129.9,58.2,30.8,122.5,1
1740565,64.1,53.4,86.6,139.0,1
1740566,58.4,25.6,97.7,114.7,0
1740567,73.9,57.3,65.3,103.3,1
1740568,97.3,54.4,90.3,99.9,1
1740569,132.4,40.6,64.3,106.9,1
1740570,126.5,32.2,75.3,105.9,0
1740571,53.6,67.7,70.7,120.0,1
1740572,93.1,20.6,50.0,113.0,0
1740573,71.3,69.5,69.8,116.8,1
1740574,98.3,40.8,55.6,94.9,1
1740575,100.5,28.3,59.1,83.0,0
1740576,79.5,19.8,45.3,125.7,1
1740577,80.7,39.8,65.0,97.3,0
1740578,112.5,51.2,55.4,63.8,1
1740579,73.3,44.0,90.1,94.6,1
1740580,83.1,63.7,84.7,104.7,1
1740581,79.8,55.8,93.6,112.6,0
1740582,123.0,27.0,118.4,84.4,0
1740583,114.6,37.8,72.4,160.3,1
1740584,144.8,65.0,83.8,66.6,1
1740585,100.7,36.3,92.6,94.0,0
1740586,33.3,36.0,65.2,125.9,0
1740587,63.0,40.8,35.7,78.7,1
1740588,103.3,74.4,85.4,96.5,1
1740589,60.8,42.5,84.0,111.9,0
1740590,141.6,23.6,103.7,107.7,0
1740591,73.3,51.1,58.2,109.8,1
1740592,70.3,49.4,94.8,88.1,1
1740593,78.5,45.6,59.8,41.5,1
1740594,86.4,60.0,79.1,47.7,1
1740595,113.7,45.9,72.1,81.6,1
1740596,96.1,41.3,63.2,85.0,0
1740597,88.4,45.6,105.1,91.4,0
1740598,92.9,44.2,96.9,86.0,0
1740599,48.9,37.4,115.7,151.8,0
1740600,101.5,52.2,91.6,68.0,0
1740601,126.3,57.8,93.1,112.0,0
1740602,118.8,49.1,72.6,100.7,1
1740603,140.9,42.7,107.5,95.2,1
1740604,123.5,45.7,86.8,138.9,1
1740605,116.3,33.5,52.4,91.7,1
1740606,126.1,44.1,66.0,74.8,0
1740607,128.1,50.1,89.6,104.8,1
1740608,102.8,68.9,87.1,130.5,1
1740609,54.6,34.4,86.4,109.0,0
1740610,96.6,44.1,53.5,91.2,1
1740611,119.5,53.1,45.8,107.3,0
1740612,76.0,57.4,84.4,81.6,1
1740613,90.0,58.9,72.5,114.1,0
1740614,77.1,17.8,78.5,116.9,0
1740615,84.7,50.0,75.5,68.2,0
1740616,104.1,59.5,109.8,109.3,0
1740617,67.0,65.1,70.3,51.9,1
1740618,116.0,46.4,72.1,91.4,1
1740619,108.8,68.4,88.1,122.8,1
1740620,70.1,,43.5,118.6,0
1740621,81.7,67.1,84.3,89.8,1
1740622,98.6,53.5,126.0,132.3,0
1740623,96.2,47.6,77.5,96.6,1
1740624,79.0,38.7,117.3,99.8,0
1740625,75.2,36.2,96.1,130.5,0
1740626,88.9,60.7,80.1,108.6,1
1740627,127.0,46.5,81.7,82.4,1
1740628,159.5,29.0,95.9,105.2,1
1740629,111.9,34.8,101.6,113.8,1
1740630,107.9,58.1,46.5,94.0,1
1740631,106.7,49.4,80.8,117.0,1
1740632,72.3,49.3,68.8,107.6,1
