CardID,Limit_K,UtilizationRate_Percent,MonthlySpend_K,DelinquencyCount,LossGivenDefault
1070076,67.3,59.1,84.7,80.6,59.5
1070077,142.7,65.5,83.1,112.5,109.4
1070078,90.6,62.6,98.0,89.9,88.6
1070079,98.9,25.0,113.5,85.5,108.1
1070080,85.5,35.4,168.5,101.3,118.0
1070081,93.8,57.6,119.3,128.9,110.0
1070082,105.7,38.4,155.6,102.7,109.1
1070083,72.5,46.7,77.7,118.8,107.8
1070084,93.4,46.8,115.5,80.1,104.6
1070085,69.4,29.5,67.5,121.9,71.9
1070086,163.9,35.5,110.6,64.0,116.3
1070087,136.7,39.4,171.6,76.1,90.6
1070088,78.4,36.2,180.7,66.4,108.5
1070089,55.5,12.5,127.7,121.6,129.1
1070090,119.3,40.3,104.0,113.1,104.8
1070091,117.0,50.8,128.9,81.9,132.7
1070092,92.9,49.4,90.6,95.2,148.3
1070093,105.1,41.0,91.0,86.6,162.2
1070094,116.8,31.9,112.8,88.1,85.3
1070095,111.6,35.7,17.1,73.4,109.1
1070096,139.8,56.1,,125.2,69.3
1070097,133.9,33.6,73.1,90.3,132.4
1070098,76.7,39.5,107.3,19.6,91.9
1070099,102.7,54.0,117.0,148.9,94.6
1070100,137.9,32.4,215.2,110.6,117.5
1070101,73.0,60.0,151.8,97.6,101.7
1070102,109.9,12.1,260.3,92.8,104.0
1070103,109.0,45.5,165.8,115.5,124.6
1070104,107.1,44.0,142.1,91.4,115.1
1070105,78.3,32.0,137.1,86.2,124.3
1070106,143.6,58.8,117.2,94.1,136.9
1070107,73.3,34.0,116.7,91.2,64.9
1070108,91.8,24.4,107.6,105.9,99.1
1070109,81.1,34.4,139.2,104.3,106.2
1070110,78.3,67.1,98.5,97.3,86.6
1070111,115.9,41.3,102.3,83.6,103.3
1070112,98.6,55.1,110.0,73.7,131.4
1070113,109.1,44.0,76.3,139.3,107.4
1070114,93.6,58.0,83.2,92.7,70.5
1070115,148.0,56.5,166.6,114.2,81.5
1070116,61.2,54.1,152.4,109.5,81.7
1070117,140.9,44.2,96.0,136.6,77.1
1070118,51.9,62.9,115.9,115.0,103.4
1070119,54.3,72.5,136.3,129.8,152.8
1070120,101.8,36.5,106.7,51.2,81.8
1070121,100.6,45.2,198.4,117.2,105.9
1070122,144.3,53.4,117.3,116.0,97.8
1070123,39.3,46.3,124.2,104.2,100.3
1070124,112.9,57.5,157.4,65.7,114.3
1070125,65.9,45.4,145.8,130.7,74.7
1070126,89.5,48.1,132.5,108.6,143.4
1070127,106.8,52.1,110.0,100.4,128.0
1070128,120.8,64.7,96.3,137.3,78.1
1070129,102.3,65.6,101.9,120.8,62.1
1070130,139.1,42.9,90.0,117.8,90.2
1070131,61.4,25.0,29.5,107.7,89.8
1070132,118.8,56.4,139.2,85.5,123.8
1070133,107.0,38.9,187.9,72.9,98.3
1070134,101.6,28.7,95.2,48.3,128.7
1070135,95.5,55.1,102.5,84.3,80.0
1070136,124.7,81.5,212.1,81.8,127.5
1070137,102.1,42.6,,140.8,73.2
1070138,134.1,15.3,,75.1,70.1
1070139,123.7,50.5,114.5,107.5,109.1
1070140,59.9,23.1,171.6,60.8,77.3
1070141,95.2,47.2,174.6,90.7,99.2
1070142,100.0,59.0,126.6,133.1,106.2
1070143,75.4,47.9,162.0,142.2,38.8
1070144,106.8,53.8,148.4,97.4,56.6
1070145,91.5,39.5,71.5,91.6,71.8
1070146,94.8,78.4,141.8,89.5,116.0
1070147,40.6,39.8,156.3,105.8,109.6
1070148,95.0,50.9,70.0,108.4,61.4
1070149,88.1,65.1,103.9,101.3,81.0
1070150,99.2,25.4,55.3,78.6,99.3
1070151,126.1,29.5,164.8,116.1,90.5
1070152,93.7,28.4,155.9,85.3,121.6
1070153,63.5,46.7,174.1,52.9,123.7
1070154,116.5,69.4,154.8,69.4,86.4
1070155,113.9,51.4,174.8,81.7,103.4
1070156,90.8,42.4,98.0,103.8,141.4
1070157,80.8,30.4,118.6,100.8,69.5
1070158,70.0,60.8,136.3,80.1,104.3
1070159,116.1,36.5,133.6,80.4,117.9
1070160,99.0,50.8,203.4,101.3,141.7
1070161,81.0,24.4,202.8,117.0,146.2
1070162,142.1,68.2,133.3,99.4,89.6
1070163,106.9,42.1,131.2,117.2,114.9
1070164,96.4,41.0,198.4,115.8,93.6
1070165,99.2,43.8,,109.4,110.3
1070166,103.3,63.1,146.7,89.4,55.0
1070167,66.4,65.2,66.4,141.7,127.6
1070168,52.4,61.5,62.7,90.0,96.5
1070169,29.9,38.0,101.7,86.2,40.8
1070170,117.3,57.9,133.1,37.4,116.6
1070171,138.2,19.0,134.1,103.4,111.5
1070172,110.1,79.4,177.7,98.2,93.9
1070173,112.6,43.7,197.7,111.0,67.6
1070174,123.7,46.1,88.6,114.5,105.8
1070175,146.9,64.0,134.6,122.1,79.6
1070176,93.8,48.4,66.3,67.9,82.1
1070177,95.1,0.0,32.3,102.1,66.4
1070178,100.1,42.2,139.1,52.3,75.4
1070179,136.7,60.6,16.1,141.4,120.3
1070180,96.8,46.6,99.5,87.7,114.4
1070181,93.5,36.1,90.1,99.0,93.7
1070182,100.5,42.1,62.9,101.5,50.5
1070183,91.5,49.1,159.7,66.4,155.8
1070184,92.2,50.2,136.0,130.4,95.2
1070185,96.8,23.5,75.4,124.2,135.0
1070186,123.9,32.8,81.5,133.3,111.0
1070187,120.8,67.3,116.4,74.2,88.4
1070188,67.5,58.8,98.3,78.9,124.2
1070189,106.3,36.7,116.9,119.3,130.4
1070190,121.2,47.7,95.6,95.6,57.1
1070191,123.6,76.0,125.7,79.0,96.5
1070192,119.1,67.3,139.0,58.6,76.7
1070193,113.9,30.2,115.3,90.4,73.2
1070194,91.9,22.8,95.9,89.6,68.0
1070195,157.8,37.9,175.3,118.3,134.2
1070196,95.0,27.3,131.3,165.1,111.7
1070197,80.9,37.5,48.9,74.3,93.8
1070198,130.9,54.3,122.0,118.4,116.1
1070199,112.9,37.0,142.8,81.1,106.6
1070200,114.7,46.4,109.2,74.3,71.2
1070201,77.3,22.5,68.1,125.2,116.3
1070202,69.1,36.4,154.4,67.9,91.4
1070203,99.5,30.9,119.2,81.4,137.4
1070204,83.3,48.7,149.6,78.4,96.2
1070205,63.8,59.0,176.3,74.9,136.7
1070206,85.8,55.8,112.0,121.9,73.4
1070207,109.7,45.6,91.4,83.6,128.4
1070208,91.8,19.5,162.1,98.7,88.2
1070209,111.1,54.3,59.3,122.3,68.3
1070210,100.3,54.4,122.2,95.0,117.4
1070211,88.8,49.5,69.2,124.3,70.3
1070212,110.0,24.2,89.2,129.5,83.2
1070213,85.8,50.5,135.8,117.3,134.0
1070214,78.0,35.7,141.9,105.7,120.0
1070215,31.2,49.6,123.0,98.9,89.2
1070216,122.2,20.1,178.3,77.5,98.4
1070217,73.6,25.2,69.1,119.7,84.8
1070218,72.0,40.6,102.4,81.2,148.2
1070219,113.2,47.8,107.7,72.7,74.6
1070220,120.4,44.6,92.1,72.9,90.4
1070221,71.5,54.8,130.0,65.6,118.2
1070222,106.0,52.2,144.8,112.4,90.6
1070223,51.0,69.7,101.3,138.6,94.9
1070224,162.5,24.0,141.2,117.3,100.9
1070225,139.9,20.8,127.3,157.1,67.2
1070226,135.4,39.4,78.5,92.5,139.9
1070227,120.4,47.9,141.4,110.9,107.8
1070228,76.9,35.3,81.9,99.3,97.5
1070229,146.3,42.4,43.3,106.5,123.2
1070230,88.9,23.1,,69.6,114.9
1070231,119.7,68.0,104.1,105.2,33.9
1070232,80.1,76.5,131.3,117.8,105.7
1070233,71.3,44.9,108.9,94.0,81.4
1070234,114.3,33.4,72.5,66.3,67.4
1070235,97.8,40.4,79.2,127.1,112.2
1070236,50.1,52.1,86.0,127.4,94.2
1070237,117.2,50.1,169.4,124.3,64.1
1070238,77.0,44.9,140.4,131.1,129.0
1070239,106.3,64.9,143.9,106.7,94.0
1070240,106.7,57.1,125.0,138.4,126.7
1070241,101.7,28.4,122.0,79.4,72.8
1070242,134.3,46.6,174.8,110.7,87.4
1070243,100.4,50.5,164.5,110.4,91.6
1070244,90.9,38.8,176.5,104.5,82.5
1070245,109.8,29.5,68.6,98.2,102.3
1070246,103.9,50.7,107.3,108.3,138.5
1070247,128.4,54.1,105.2,82.1,124.7
1070248,93.1,84.0,97.9,96.5,86.7
1070249,112.5,34.4,106.3,63.9,85.1
1070250,63.2,32.8,117.6,85.4,128.0
1070251,131.7,39.1,97.7,120.4,123.0
1070252,128.7,62.7,182.7,85.3,115.4
1070253,88.2,4.5,49.9,85.4,138.6
1070254,136.4,57.0,38.6,115.0,66.9
1070255,39.0,78.2,122.9,121.5,105.4
1070256,76.2,33.8,117.4,89.3,95.0
1070257,138.1,20.1,129.7,134.9,104.1
1070258,75.3,74.2,114.3,74.6,135.5
1070259,85.0,43.4,124.2,132.7,60.1
1070260,121.8,51.6,78.8,98.7,94.0
1070261,77.5,41.6,109.9,118.4,98.2
1070262,71.3,34.7,86.3,70.0,75.6
1070263,102.8,35.1,105.8,78.1,116.8
1070264,96.9,46.2,112.7,92.2,125.8
1070265,59.7,50.2,170.4,112.7,58.1
1070266,47.6,31.0,145.1,121.1,98.9
1070267,82.0,38.7,83.5,102.3,90.9
1070268,132.0,74.7,204.2,91.2,38.3
1070269,98.5,27.5,87.4,130.0,118.0
1070270,115.3,44.4,145.9,98.7,122.9
1070271,86.9,43.1,91.6,122.9,119.8
1070272,109.1,30.7,98.8,138.3,101.4
1070273,117.6,28.3,104.7,59.9,81.3
1070274,82.0,15.3,133.0,83.6,122.7
1070275,122.7,50.2,229.7,110.4,163.2
1070276,103.8,27.3,114.0,94.0,81.3
1070277,114.6,65.1,161.6,108.7,120.8
1070278,74.9,68.5,112.7,115.8,132.1
1070279,134.0,54.2,79.4,66.1,95.0
1070280,129.5,57.8,98.6,84.0,107.6
1070281,63.9,37.7,105.9,47.3,81.9
1070282,123.3,67.9,71.1,66.0,100.0
1070283,99.2,85.1,119.0,64.3,110.2
1070284,152.1,68.2,153.1,116.5,112.1
1070285,134.0,35.0,159.4,148.7,111.3
1070286,100.3,50.1,122.1,97.7,74.3
1070287,89.8,35.5,79.8,108.4,76.9
1070288,67.3,40.2,160.4,144.8,64.1
1070289,112.7,26.2,117.4,115.1,77.3
1070290,122.6,30.6,167.5,78.9,119.7
1070291,80.6,35.6,120.3,101.8,90.8
1070292,121.6,64.5,191.9,130.1,133.7
1070293,110.1,40.8,115.4,145.4,101.9
1070294,93.7,58.5,110.7,92.8,109.9
1070295,98.1,68.2,60.7,115.1,80.3
1070296,97.0,48.9,49.8,158.5,102.8
1070297,112.4,30.4,41.3,118.8,123.1
1070298,127.5,44.6,159.6,120.2,99.0
1070299,154.2,30.8,207.6,104.9,127.9
1070300,159.0,51.9,94.0,100.5,104.1
1070301,56.9,30.5,97.8,147.2,71.4
1070302,75.9,54.8,176.9,103.2,81.7
1070303,91.3,49.8,78.1,79.2,113.2
1070304,107.1,29.9,102.5,130.4,107.2
1070305,123.3,37.2,124.8,118.7,48.8
1070306,96.4,51.8,167.7,103.4,103.1
1070307,151.5,38.2,144.6,74.8,105.8
1070308,72.3,58.4,61.4,134.3,111.1
1070309,126.7,13.3,107.8,161.1,87.7
1070310,108.6,29.2,170.1,96.3,107.9
1070311,122.4,35.9,145.5,74.3,108.0
1070312,95.4,37.1,152.4,94.4,114.0
1070313,99.8,72.4,57.6,125.9,135.2
1070314,76.5,24.6,168.1,96.9,46.7
1070315,68.3,57.4,35.7,111.8,91.4
1070316,114.2,42.1,130.1,135.1,77.9
1070317,124.3,51.9,169.6,83.3,80.8
1070318,161.2,24.8,146.5,95.2,101.5
1070319,84.0,39.5,183.6,138.7,121.7
1070320,110.4,36.6,45.9,126.8,97.5
1070321,139.1,40.3,94.9,71.3,85.9
1070322,124.6,31.9,150.7,113.5,81.3
1070323,119.5,52.8,165.0,101.5,99.2
1070324,69.6,56.4,134.1,107.5,149.2
1070325,125.1,39.4,240.5,115.7,76.2
1070326,119.1,54.1,109.2,107.1,46.8
1070327,101.5,50.2,138.9,101.0,84.7
1070328,79.0,59.4,184.9,88.0,95.4
1070329,108.5,32.6,135.0,90.5,98.6
1070330,104.9,67.1,150.2,109.2,114.1
1070331,64.2,36.7,92.5,129.2,139.5
1070332,121.5,63.2,47.9,158.6,66.0
1070333,98.5,37.4,150.9,110.7,102.7
1070334,85.8,56.8,107.0,97.2,145.7
1070335,115.9,48.3,100.7,107.2,123.3
1070336,119.8,41.4,82.1,89.5,116.1
1070337,80.2,48.8,139.3,144.4,73.0
1070338,107.5,39.2,141.4,98.0,142.8
1070339,63.9,48.3,101.7,114.6,97.7
1070340,107.8,23.0,89.2,55.4,75.2
1070341,75.4,43.7,59.9,67.5,94.2
1070342,106.5,68.5,84.4,95.8,94.3
1070343,84.6,50.4,132.5,107.6,129.3
1070344,63.0,22.6,119.7,122.9,123.9
1070345,88.8,54.9,137.4,121.0,196.0
1070346,108.3,37.8,78.0,114.2,79.0
1070347,153.3,68.1,104.5,102.0,43.9
1070348,72.6,32.5,104.8,83.1,69.3
1070349,123.8,52.9,164.0,102.7,123.1
1070350,136.4,29.8,205.0,115.8,85.5
1070351,104.4,46.7,123.7,56.1,96.5
1070352,101.9,62.5,39.2,108.9,79.4
1070353,42.1,64.0,110.7,110.8,113.0
1070354,122.5,28.5,195.0,83.2,125.2
1070355,70.5,48.2,62.4,95.1,92.5
1070356,110.2,19.0,85.1,146.0,134.2
1070357,114.4,62.2,104.3,117.5,105.2
1070358,97.2,45.9,98.2,82.5,67.9
1070359,134.1,49.0,140.6,140.4,117.9
1070360,111.5,12.5,140.6,64.1,113.4
1070361,68.1,39.1,156.4,94.6,144.0
1070362,117.1,52.3,83.6,106.6,53.5
1070363,68.1,34.2,85.5,120.9,103.2
1070364,164.0,32.1,131.3,116.5,59.9
1070365,89.1,26.4,150.5,104.3,96.8
1070366,133.3,45.6,126.5,155.5,73.4
1070367,82.9,57.4,152.6,114.5,101.4
1070368,123.0,21.1,156.5,111.9,63.3
1070369,70.3,43.9,102.6,80.9,142.1
1070370,88.8,30.1,47.3,101.8,54.6
1070371,99.2,68.7,169.3,67.1,114.4
1070372,107.1,51.8,131.4,115.6,125.7
1070373,128.0,51.6,134.1,25.7,87.5
1070374,165.6,47.4,118.4,114.5,66.7
1070375,91.4,50.3,183.4,56.1,60.2
1070376,56.1,40.9,142.9,106.1,63.5
1070377,94.6,45.1,159.5,127.4,75.1
1070378,89.2,21.0,187.5,121.1,98.8
1070379,80.6,30.2,98.5,84.3,74.9
1070380,89.2,43.1,134.5,69.2,100.4
1070381,106.0,62.1,164.4,44.9,107.9
1070382,148.3,45.4,187.8,105.9,62.2
1070383,46.5,48.5,135.7,116.3,131.6
1070384,54.1,47.8,147.1,105.4,49.9
1070385,103.6,60.3,155.9,80.9,127.0
1070386,70.8,28.6,131.1,114.3,72.7
1070387,97.0,61.9,103.4,84.7,137.9
1070388,110.3,59.1,127.3,87.5,122.6
1070389,98.1,39.0,156.4,82.9,119.2
1070390,78.1,55.4,51.8,95.2,111.5
1070391,118.8,43.2,106.1,108.6,106.2
1070392,73.2,39.3,137.8,85.7,112.7
1070393,86.6,54.1,78.6,64.0,98.4
1070394,87.3,68.5,171.4,101.5,64.6
1070395,111.2,61.0,102.9,78.2,45.4
1070396,96.4,60.0,62.8,61.1,109.5
1070397,112.5,44.5,153.1,77.4,110.6
1070398,95.2,30.7,133.9,103.4,107.6
1070399,129.4,39.7,118.0,84.4,108.9
1070400,58.3,25.0,132.6,114.1,93.5
1070401,149.2,53.0,155.3,116.0,68.7
1070402,100.4,35.8,137.2,118.4,74.4
1070403,121.9,53.3,151.5,155.0,114.9
1070404,105.2,32.4,207.1,145.8,127.9
1070405,106.4,41.0,133.1,88.5,120.3
1070406,91.1,35.8,97.4,133.4,113.2
1070407,99.2,35.3,181.9,129.1,88.4
1070408,89.7,40.1,158.3,87.9,123.2
1070409,60.5,40.8,164.5,133.7,117.1
1070410,72.4,70.7,136.4,111.5,92.0
1070411,89.9,35.5,108.0,87.2,119.9
1070412,119.9,55.3,127.0,109.5,129.5
1070413,162.0,100.0,52.2,92.0,152.8
1070414,104.6,38.0,100.1,98.0,160.0
1070415,177.3,61.4,122.5,124.4,106.0
1070416,83.5,58.7,102.0,71.4,83.8
1070417,66.3,52.5,67.1,100.3,85.5
1070418,149.4,26.6,205.4,72.5,89.6
1070419,86.1,49.5,133.2,138.8,86.9
1070420,106.0,37.5,161.0,82.5,111.4
1070421,16.3,28.2,133.7,104.3,99.5
1070422,115.8,47.7,119.0,90.7,91.1
1070423,106.4,29.3,82.7,79.0,120.3
1070424,132.0,37.3,101.0,94.5,75.3
1070425,71.3,9.2,99.8,130.4,95.2
1070426,120.6,37.8,98.4,93.1,71.5
1070427,91.1,41.1,57.9,113.1,101.2
1070428,77.8,42.4,114.2,123.2,101.4
1070429,140.5,43.8,59.4,60.1,73.5
1070430,96.5,34.9,129.5,133.3,126.0
1070431,74.3,75.2,207.2,118.0,79.4
1070432,141.4,44.3,185.2,102.4,87.4
1070433,129.2,36.5,167.6,127.1,132.5
1070434,76.5,59.8,125.0,92.8,126.5
1070435,102.5,80.9,89.5,92.5,121.7
1070436,107.9,37.3,55.7,99.0,74.4
1070437,101.6,65.1,,110.7,97.4
1070438,77.9,46.0,157.0,73.8,123.1
1070439,149.1,43.7,138.6,123.1,145.9
1070440,106.1,12.9,134.6,96.4,147.5
1070441,113.7,40.1,111.9,106.2,128.9
1070442,72.4,49.7,198.9,94.2,122.4
1070443,99.5,55.7,78.8,80.1,94.6
1070444,65.8,46.4,149.2,133.4,117.4
1070445,108.5,39.4,129.1,120.5,95.9
1070446,122.6,37.9,135.5,135.3,112.3
1070447,60.8,38.3,143.9,100.6,153.0
1070448,88.3,35.9,129.7,100.8,94.7
1070449,113.5,50.9,129.9,95.4,121.7
1070450,125.2,56.2,148.8,101.8,142.9
1070451,101.1,34.9,72.1,106.7,117.4
1070452,105.4,33.2,67.2,84.2,110.8
1070453,127.1,43.6,136.6,102.7,145.4
1070454,88.5,38.9,94.2,84.1,99.3
1070455,78.3,46.5,139.0,95.3,110.0
1070456,55.8,55.7,82.1,117.2,116.6
1070457,71.6,52.5,149.4,142.2,85.8
1070458,100.2,57.0,84.5,99.7,72.1
1070459,102.2,25.3,81.6,122.3,146.2
1070460,57.8,50.8,115.0,134.0,112.8
1070461,70.3,49.2,148.3,136.7,103.1
1070462,99.6,28.4,105.0,102.3,114.5
1070463,108.4,40.2,129.7,120.0,86.8
1070464,79.0,47.0,107.2,84.3,67.5
1070465,111.6,74.4,69.8,78.4,106.6
1070466,118.4,37.0,94.9,86.6,96.5
1070467,111.1,25.9,120.4,115.5,98.0
1070468,106.4,44.4,117.0,95.0,84.3
1070469,66.4,32.2,153.7,100.4,60.3
1070470,113.1,65.2,114.4,86.4,124.3
1070471,56.4,87.5,132.6,141.9,111.3
1070472,94.3,46.9,147.2,75.4,115.5
1070473,73.7,46.0,88.1,129.5,41.1
1070474,132.8,13.3,131.4,97.2,101.8
1070475,83.4,52.8,50.2,118.9,68.3
1070476,108.3,37.0,128.8,86.2,133.1
1070477,74.7,57.9,63.8,67.2,127.0
1070478,63.1,39.5,126.3,128.9,120.2
1070479,68.3,48.6,186.0,92.2,133.4
1070480,109.7,36.5,125.5,129.6,98.1
1070481,48.4,50.6,123.7,112.1,86.5
1070482,97.0,50.1,104.4,102.3,136.0
1070483,64.7,48.9,175.5,97.0,85.0
1070484,127.7,19.3,97.8,66.1,83.3
1070485,86.6,56.2,170.8,81.8,120.0
1070486,118.2,67.3,165.9,104.8,70.1
1070487,100.7,69.6,167.6,93.2,97.5
1070488,69.6,39.3,127.7,108.7,106.0
1070489,109.6,41.4,104.9,109.5,123.4
1070490,98.3,68.1,166.5,86.1,95.0
1070491,57.8,25.6,128.4,72.3,62.3
1070492,149.6,51.7,125.2,120.9,119.5
1070493,113.4,62.2,190.7,116.8,89.7
1070494,95.5,35.4,154.5,98.4,85.0
1070495,53.1,55.0,185.8,84.8,93.5
1070496,127.2,71.9,127.6,93.0,108.1
1070497,93.5,21.9,80.1,106.0,118.2
1070498,141.1,48.2,93.0,92.9,101.1
1070499,62.4,33.1,94.6,88.8,111.2
1070500,139.8,69.6,147.0,56.9,56.3
1070501,111.2,51.1,177.9,85.7,105.4
1070502,89.1,65.6,209.2,59.7,94.6
1070503,110.0,49.7,87.4,75.8,66.7
1070504,93.1,72.6,117.5,59.8,118.9
1070505,108.7,53.5,51.6,93.8,66.0
1070506,108.8,12.0,32.2,112.1,83.6
1070507,121.6,37.4,136.2,96.9,67.8
1070508,148.9,45.3,84.8,114.9,119.4
1070509,72.3,40.0,120.9,112.3,68.2
1070510,115.9,19.9,161.2,103.0,50.5
1070511,115.6,57.8,72.2,112.6,115.8
1070512,120.9,10.9,147.7,60.9,105.7
1070513,89.5,44.0,,93.6,102.7
1070514,66.0,54.4,129.3,129.2,83.7
1070515,72.9,58.3,67.3,95.9,137.3
1070516,131.6,19.0,133.2,95.8,85.5
1070517,104.8,54.4,53.6,79.5,40.0
1070518,109.2,24.3,99.2,107.6,86.0
1070519,106.7,39.2,54.3,119.6,164.8
1070520,66.2,52.4,105.2,70.1,78.2
1070521,90.8,44.7,92.2,80.6,81.2
1070522,86.9,55.7,98.6,83.8,71.2
1070523,120.9,51.4,170.3,114.7,102.6
1070524,133.2,75.0,111.8,88.4,159.4
1070525,100.8,47.5,117.6,58.7,127.4
1070526,104.9,48.9,105.9,111.2,88.9
1070527,149.5,74.0,78.7,78.4,77.8
1070528,55.4,59.2,79.8,111.5,104.6
1070529,133.4,19.6,118.2,72.1,54.0
1070530,40.5,33.9,58.9,117.4,155.2
1070531,78.4,51.8,151.8,70.4,103.6
1070532,114.6,45.1,172.7,89.5,102.4
1070533,54.5,60.7,172.6,118.8,10.3
1070534,101.0,66.1,124.4,104.6,97.5
1070535,109.8,70.7,133.0,152.8,123.6
1070536,108.0,46.8,158.1,119.1,42.4
1070537,80.3,29.2,149.2,95.6,113.5
1070538,106.0,45.0,131.2,86.1,76.9
1070539,78.8,48.9,108.3,110.8,101.0
1070540,135.2,61.5,120.3,112.7,75.3
1070541,86.2,40.9,116.4,97.2,76.7
1070542,106.6,35.5,103.4,101.1,105.8
1070543,130.4,42.3,159.6,120.7,118.3
1070544,97.7,50.0,120.9,128.0,55.9
1070545,121.3,29.7,115.5,95.0,93.6
1070546,99.3,43.2,36.9,90.7,72.6
1070547,74.6,55.1,144.6,85.0,90.9
1070548,79.2,28.4,119.7,70.8,55.3
1070549,103.1,64.2,150.0,99.7,110.8
1070550,72.4,42.4,,116.3,110.4
1070551,114.0,53.1,114.9,113.9,113.3
1070552,114.2,35.0,81.5,95.3,91.7
1070553,79.1,14.7,132.1,109.5,87.8
1070554,85.5,32.9,144.5,126.0,96.7
1070555,141.7,42.4,167.1,55.6,80.4
1070556,87.8,36.7,136.1,85.2,81.8
1070557,138.2,49.6,92.0,115.9,95.5
1070558,82.0,58.5,55.6,83.5,78.6
1070559,105.5,36.3,78.6,134.6,109.2
1070560,119.2,31.1,112.9,53.9,96.6
1070561,93.3,43.6,106.6,106.7,112.0
1070562,115.8,31.6,202.1,101.8,76.7
1070563,144.9,37.9,127.0,133.9,101.7
1070564,81.2,64.1,,98.8,124.6
1070565,137.7,58.5,162.8,140.4,70.0
1070566,99.4,34.1,153.8,89.7,106.5
1070567,106.0,36.9,96.6,122.2,78.3
1070568,73.1,39.8,91.2,106.2,104.2
1070569,92.7,47.3,132.6,140.3,114.1
1070570,167.2,49.3,138.7,102.4,110.1
1070571,99.4,36.1,121.5,93.3,72.9
1070572,107.4,48.8,209.7,141.9,88.0
1070573,110.5,60.4,24.1,95.9,117.6
1070574,46.2,17.8,132.5,78.3,60.0
1070575,93.0,37.5,191.6,131.0,104.5
1070576,136.1,25.6,38.9,126.9,121.3
1070577,102.1,30.4,116.6,131.0,97.3
1070578,146.7,47.1,47.4,103.8,63.8
1070579,37.6,32.5,88.9,58.7,63.0
1070580,59.1,25.9,209.7,100.1,81.5
