TicketID,OpponentRank,RemainingSeatsRatio_Percent,WeatherCondition,FinalTicketPrice_KRW,SoldOutExpected
1940149,120.4,57.0,31.0,99258.0,0
1940150,112.4,25.7,131.2,39833.0,0
1940151,129.0,28.6,89.3,38950.0,1
1940152,96.7,,58.7,62345.0,0
1940153,97.6,46.6,99.6,71576.0,0
1940154,66.8,36.9,133.8,61500.0,1
1940155,102.1,28.8,104.0,57221.0,0
1940156,102.7,51.6,93.9,97468.0,1
1940157,74.4,26.3,86.8,84047.0,1
1940158,91.7,53.4,114.5,55962.0,1
1940159,120.5,43.5,62.4,33621.0,1
1940160,89.1,36.4,114.5,72709.0,1
1940161,122.1,55.2,46.2,59064.0,0
1940162,95.0,69.1,88.1,60214.0,1
1940163,85.3,79.5,95.8,75189.0,1
1940164,109.8,12.6,141.7,49008.0,1
1940165,68.8,11.9,123.8,50763.0,1
1940166,120.0,37.6,65.3,68402.0,1
1940167,101.0,65.4,109.5,82651.0,0
1940168,108.3,60.4,98.1,79101.0,0
1940169,106.8,24.8,109.4,96311.0,0
1940170,97.8,41.1,62.0,51252.0,0
1940171,141.2,65.7,116.6,66451.0,0
1940172,101.9,19.5,112.7,70905.0,1
1940173,100.2,50.4,111.8,92073.0,0
1940174,125.2,21.0,130.9,78767.0,1
1940175,107.9,46.7,62.5,87514.0,0
1940176,80.2,0.0,125.7,42930.0,0
1940177,95.7,44.5,131.0,50256.0,1
1940178,73.8,0.0,116.7,73660.0,1
1940179,124.8,36.5,143.3,72412.0,1
1940180,144.6,41.0,107.8,77486.0,0
1940181,103.9,63.8,126.1,54806.0,0
1940182,111.7,34.1,99.0,70474.0,0
1940183,92.0,57.9,55.5,45453.0,0
1940184,134.3,31.5,93.2,103398.0,0
1940185,91.1,53.8,96.9,72109.0,1
1940186,128.9,10.6,86.2,65978.0,0
1940187,101.4,68.1,93.2,55628.0,0
1940188,97.5,50.1,101.2,67551.0,0
1940189,81.3,43.8,85.5,65286.0,1
1940190,111.2,65.6,101.5,80662.0,1
1940191,132.1,27.0,80.2,86330.0,1
1940192,111.6,70.0,143.7,56676.0,0
1940193,96.0,59.0,91.1,67615.0,0
1940194,120.4,,69.4,73768.0,1
1940195,120.8,18.8,76.2,45801.0,1
1940196,105.2,26.8,112.7,91885.0,1
1940197,131.9,43.4,123.7,71468.0,1
1940198,121.9,22.0,59.5,66328.0,1
1940199,85.5,29.3,107.1,74949.0,1
1940200,140.1,29.4,122.7,60300.0,1
1940201,125.3,53.8,112.9,54017.0,0
1940202,78.4,55.1,112.8,64215.0,1
1940203,89.8,72.3,78.3,51476.0,0
1940204,126.5,48.8,62.5,102106.0,1
1940205,81.4,49.3,127.7,93443.0,1
1940206,96.1,56.4,124.9,87934.0,0
1940207,93.3,34.5,125.3,42844.0,1
1940208,102.4,84.0,95.9,60717.0,0
1940209,87.8,53.4,100.7,49757.0,0
1940210,89.3,43.8,103.9,73165.0,1
1940211,119.8,50.3,134.7,74126.0,1
1940212,94.7,59.4,93.3,54442.0,0
1940213,88.0,26.9,65.3,92331.0,1
1940214,120.4,47.0,112.9,46693.0,1
1940215,112.7,57.5,131.2,88073.0,0
1940216,118.4,54.6,114.4,92300.0,1
1940217,94.0,61.9,97.2,28398.0,0
1940218,123.4,26.5,117.1,58830.0,0
1940219,121.7,33.9,40.9,43674.0,1
1940220,77.4,54.0,50.7,91214.0,1
1940221,100.2,19.3,93.2,39974.0,0
1940222,120.5,59.1,50.0,72174.0,0
1940223,85.9,40.4,115.9,59817.0,0
1940224,64.4,27.6,72.9,80547.0,0
1940225,108.1,72.8,145.6,65578.0,1
1940226,97.3,10.4,97.0,44373.0,0
1940227,120.9,41.6,71.2,56388.0,1
1940228,134.0,52.9,51.7,86022.0,1
1940229,80.3,64.8,91.6,85565.0,1
1940230,118.8,63.2,119.8,79434.0,1
1940231,66.9,50.8,125.2,54597.0,0
1940232,111.5,41.1,71.9,77677.0,1
1940233,96.2,48.0,79.6,74841.0,1
1940234,95.7,42.5,83.6,32033.0,0
1940235,52.6,38.5,108.1,78832.0,1
1940236,111.0,,90.1,80213.0,1
1940237,64.3,31.7,118.2,62152.0,0
1940238,128.4,41.6,111.2,58081.0,1
1940239,76.6,63.9,66.2,61842.0,1
1940240,117.4,49.2,126.1,90386.0,0
1940241,127.4,75.0,151.5,109592.0,1
1940242,115.3,40.9,77.6,69825.0,0
1940243,124.7,30.1,88.5,69791.0,0
1940244,109.9,24.1,98.5,56945.0,1
1940245,119.5,51.4,83.3,49866.0,0
1940246,115.7,62.3,106.0,73211.0,1
1940247,106.3,39.7,83.0,51131.0,1
1940248,94.7,52.8,87.8,94453.0,1
1940249,72.2,72.4,105.3,34666.0,1
1940250,39.3,44.3,118.8,70681.0,1
1940251,74.7,34.2,63.7,94195.0,1
1940252,82.2,30.1,90.3,57221.0,1
1940253,137.3,22.7,93.3,27864.0,1
1940254,144.9,61.9,62.3,69615.0,0
1940255,108.3,33.8,76.0,58715.0,0
1940256,125.2,32.0,97.0,59278.0,0
1940257,118.6,49.2,58.5,55151.0,1
1940258,103.3,45.8,84.1,25347.0,0
1940259,137.7,61.5,103.5,56717.0,1
1940260,109.7,57.9,95.0,56185.0,0
1940261,156.7,63.8,161.5,67812.0,0
1940262,54.3,31.2,126.9,38840.0,0
1940263,92.7,31.3,97.2,49950.0,0
1940264,33.6,63.7,88.0,68569.0,1
1940265,149.6,46.7,100.7,64395.0,0
1940266,95.6,24.9,125.7,56151.0,1
1940267,120.7,25.6,122.9,55780.0,0
1940268,111.5,20.3,79.6,57984.0,1
1940269,79.8,62.0,81.7,52819.0,0
1940270,98.0,41.6,130.8,102179.0,1
1940271,125.6,51.3,92.7,59859.0,0
1940272,99.2,54.6,115.7,97220.0,0
1940273,120.5,38.7,53.4,75964.0,1
1940274,112.6,28.5,43.4,83690.0,0
1940275,102.9,22.7,75.3,40599.0,0
1940276,82.3,55.4,113.3,49201.0,1
1940277,80.2,54.0,122.2,56075.0,0
1940278,109.2,51.0,90.2,58107.0,0
1940279,78.5,53.2,96.0,44468.0,0
1940280,93.2,43.8,122.1,71119.0,0
1940281,103.2,45.8,108.5,47475.0,1
1940282,111.6,37.8,95.5,56349.0,1
1940283,120.1,,108.9,66098.0,1
1940284,71.0,36.7,93.5,78816.0,0
1940285,110.6,64.7,82.8,46414.0,0
1940286,111.5,42.4,88.8,64640.0,1
1940287,133.1,43.4,138.9,42987.0,0
1940288,81.5,51.3,85.4,62232.0,1
1940289,149.1,36.8,86.3,84135.0,0
1940290,113.5,64.6,110.0,62663.0,0
1940291,138.4,32.0,96.0,89257.0,0
1940292,94.8,58.4,54.2,45844.0,1
1940293,145.1,57.4,85.5,88818.0,1
1940294,122.7,36.8,105.0,53115.0,0
1940295,101.3,43.7,121.2,57913.0,1
1940296,96.1,50.5,116.2,83794.0,0
1940297,114.4,44.1,47.3,42443.0,0
1940298,91.1,56.4,86.5,55393.0,1
1940299,102.9,46.4,95.2,65978.0,1
1940300,92.0,63.9,52.0,27590.0,1
1940301,133.9,41.8,109.0,91954.0,1
1940302,101.8,35.0,89.1,37989.0,1
1940303,41.0,12.4,77.8,44132.0,1
1940304,39.2,30.3,100.4,77300.0,1
1940305,68.8,37.7,137.0,71369.0,1
1940306,117.8,43.4,146.2,81755.0,1
1940307,85.3,31.4,107.0,63745.0,0
1940308,154.8,20.9,103.8,41712.0,1
1940309,84.7,52.6,69.3,73462.0,1
1940310,69.7,59.0,115.8,74790.0,0
1940311,170.4,28.9,109.6,46969.0,0
1940312,78.8,43.3,75.2,63747.0,0
1940313,102.7,9.4,74.3,91803.0,0
1940314,149.0,44.3,87.0,53034.0,0
1940315,112.9,45.0,111.7,43851.0,0
1940316,70.6,,144.2,87063.0,0
1940317,53.0,57.1,69.0,35300.0,0
1940318,119.4,68.7,115.6,72133.0,1
1940319,109.2,62.7,124.6,90406.0,1
1940320,94.5,48.1,101.6,72171.0,0
1940321,83.8,27.9,85.0,81758.0,0
1940322,131.4,43.7,86.9,89701.0,1
1940323,73.3,,116.3,20519.0,1
1940324,82.6,60.0,71.5,93043.0,1
1940325,102.9,49.6,107.8,47326.0,0
1940326,98.6,29.0,116.0,81886.0,1
1940327,140.9,41.1,127.4,66651.0,1
1940328,84.6,73.9,73.1,58553.0,0
1940329,133.4,91.6,127.8,71512.0,0
1940330,75.2,27.5,64.8,51508.0,0
1940331,98.0,42.0,101.6,68405.0,0
1940332,70.3,62.7,97.5,100097.0,1
1940333,146.6,18.1,104.0,59248.0,1
1940334,79.7,42.5,71.7,74397.0,0
1940335,106.0,27.9,69.1,73198.0,0
1940336,95.4,44.8,66.9,50281.0,1
1940337,111.9,51.5,97.5,51851.0,0
1940338,96.8,36.4,112.8,104405.0,1
1940339,90.4,47.1,104.8,88336.0,0
1940340,113.7,32.2,103.3,62133.0,1
1940341,107.1,72.8,73.3,57344.0,1
1940342,91.6,21.3,57.9,45451.0,0
1940343,123.5,29.9,110.3,74723.0,1
1940344,87.7,63.7,80.0,87528.0,1
1940345,108.0,66.0,79.3,70615.0,1
1940346,104.5,,144.8,88336.0,1
1940347,101.6,58.3,111.7,81653.0,1
1940348,78.7,43.0,125.1,54729.0,0
1940349,127.2,,102.3,58312.0,1
1940350,127.7,47.7,109.8,70516.0,1
1940351,135.6,35.5,96.2,55576.0,1
1940352,69.4,62.6,93.5,77837.0,0
1940353,134.3,36.4,96.9,60897.0,0
1940354,95.2,42.5,77.2,32133.0,1
1940355,128.0,46.2,114.8,49417.0,1
1940356,96.3,43.2,82.4,72327.0,1
1940357,96.4,36.9,123.7,56220.0,0
1940358,102.3,49.0,115.0,87854.0,1
1940359,121.6,46.4,120.8,53550.0,0
1940360,127.8,50.5,115.4,61006.0,1
1940361,76.5,25.2,143.6,83314.0,0
1940362,98.2,21.5,85.5,50197.0,0
1940363,111.9,39.2,107.4,66771.0,0
1940364,101.9,21.4,110.8,28418.0,0
1940365,71.6,30.0,115.0,81468.0,1
1940366,113.2,26.9,78.0,60368.0,0
1940367,55.5,40.8,126.9,69023.0,1
1940368,75.2,23.5,41.6,71484.0,0
1940369,97.1,,123.3,75597.0,0
1940370,75.7,39.5,78.9,70536.0,1
1940371,110.4,65.3,69.0,92401.0,1
1940372,90.4,23.1,83.4,107001.0,0
1940373,110.7,36.3,79.8,56654.0,0
1940374,103.6,63.6,133.2,38544.0,1
1940375,145.1,41.8,108.1,107841.0,1
1940376,95.0,53.2,139.8,70941.0,0
1940377,133.8,65.0,139.7,54249.0,0
1940378,91.1,59.1,113.9,71463.0,1
1940379,63.1,10.3,158.0,76871.0,1
1940380,155.9,40.1,96.1,48319.0,1
1940381,89.0,32.9,126.2,74062.0,0
1940382,87.1,55.9,107.0,75733.0,0
1940383,116.5,40.9,96.4,53991.0,0
1940384,104.0,36.7,98.5,58191.0,0
1940385,136.3,45.0,81.1,44945.0,1
1940386,130.8,39.4,101.3,62800.0,1
1940387,113.3,45.2,149.1,40967.0,1
1940388,94.6,59.1,92.7,71782.0,1
1940389,105.7,20.4,110.2,22793.0,1
1940390,90.7,53.1,152.5,60625.0,0
1940391,129.8,35.8,114.5,51513.0,0
1940392,88.7,33.2,83.7,30073.0,1
1940393,94.5,33.3,137.8,62675.0,0
1940394,103.4,50.5,102.8,59150.0,1
1940395,98.4,65.8,100.9,59578.0,1
1940396,132.1,44.6,105.7,82033.0,1
1940397,107.2,45.4,131.4,48690.0,1
1940398,71.8,32.8,75.8,51047.0,0
1940399,106.6,45.1,102.3,50685.0,0
1940400,106.9,48.4,29.5,47549.0,1
1940401,77.6,35.1,86.3,80341.0,0
1940402,109.5,64.9,86.9,70901.0,1
1940403,119.0,46.2,128.3,56161.0,0
1940404,112.8,26.3,143.4,85982.0,1
1940405,87.9,43.1,134.1,51609.0,0
1940406,91.4,35.2,154.5,68867.0,1
1940407,65.7,26.1,110.3,73070.0,1
1940408,122.5,58.8,63.0,93317.0,1
1940409,72.0,49.3,116.3,62553.0,0
1940410,60.3,60.6,53.8,78846.0,0
1940411,127.9,38.5,125.0,61836.0,1
1940412,97.5,35.7,119.0,21893.0,1
1940413,99.5,31.0,143.2,49239.0,0
1940414,97.5,50.5,135.4,74670.0,1
1940415,120.6,54.6,124.6,60634.0,0
1940416,62.4,59.2,104.5,62208.0,0
1940417,101.5,38.8,91.4,77777.0,0
1940418,84.1,8.7,89.2,70274.0,0
1940419,98.8,64.8,67.9,75398.0,0
1940420,62.4,62.2,76.6,92400.0,1
1940421,96.7,45.9,118.9,78960.0,1
1940422,132.1,44.9,51.5,77590.0,0
1940423,120.7,23.5,100.8,27663.0,0
1940424,79.9,58.6,105.5,60260.0,0
1940425,76.2,40.9,103.2,81319.0,1
1940426,96.3,39.3,101.6,90282.0,1
1940427,115.7,41.7,134.7,80013.0,0
1940428,77.6,61.1,122.1,81311.0,0
1940429,106.0,50.4,98.5,68951.0,0
1940430,108.1,75.6,57.1,42219.0,0
1940431,117.5,28.3,60.2,44566.0,0
1940432,85.6,62.4,87.9,69353.0,0
1940433,118.8,34.4,161.4,36811.0,0
1940434,74.5,32.7,97.8,68366.0,1
1940435,132.5,47.4,110.2,81427.0,1
1940436,78.9,84.3,112.0,58029.0,0
1940437,122.5,42.4,95.6,34102.0,0
1940438,128.2,24.6,151.0,70913.0,1
1940439,94.6,35.7,113.5,98421.0,0
1940440,122.9,43.5,105.3,49844.0,1
1940441,62.8,42.5,116.3,62456.0,1
1940442,110.9,45.4,170.9,52829.0,0
1940443,115.5,27.6,101.8,91089.0,0
1940444,100.0,43.4,92.9,52711.0,0
1940445,91.9,46.3,114.8,77954.0,0
1940446,79.7,24.6,92.1,43092.0,1
1940447,94.0,49.3,63.1,52103.0,0
1940448,64.5,59.8,105.7,73034.0,0
1940449,79.4,57.8,94.2,90163.0,0
1940450,128.1,52.8,144.8,63982.0,1
1940451,142.7,25.5,156.8,55927.0,1
1940452,55.0,38.5,108.5,38942.0,0
1940453,81.7,39.9,97.5,26747.0,0
1940454,97.2,49.6,115.7,64570.0,1
1940455,110.2,59.0,116.4,44190.0,0
1940456,109.2,51.9,119.4,86554.0,1
1940457,140.1,27.5,95.8,15971.0,0
1940458,97.8,45.3,107.0,46536.0,0
1940459,74.6,43.8,140.7,86897.0,0
1940460,127.5,9.0,120.5,48508.0,1
1940461,124.9,50.3,71.0,39772.0,0
1940462,122.0,30.6,107.1,69595.0,1
1940463,114.4,40.1,108.1,61851.0,1
1940464,150.0,27.2,89.0,59762.0,0
1940465,73.6,15.7,97.1,69628.0,1
1940466,130.0,23.4,117.3,96931.0,1
1940467,59.0,,102.4,42552.0,0
1940468,65.1,46.0,89.0,44696.0,0
1940469,128.0,35.2,82.2,55609.0,0
1940470,109.4,55.8,81.9,73496.0,1
1940471,75.8,37.8,91.6,70312.0,0
1940472,140.8,74.1,117.1,43561.0,1
1940473,117.9,43.5,107.9,61383.0,1
1940474,124.4,54.8,101.8,63339.0,1
1940475,100.1,35.7,109.1,56659.0,0
1940476,91.1,42.8,105.7,76144.0,0
1940477,138.8,57.6,84.2,63231.0,1
1940478,105.1,50.5,133.3,101760.0,1
1940479,74.0,38.6,107.8,34587.0,0
1940480,131.7,45.5,113.4,60926.0,0
1940481,158.1,45.5,138.9,59682.0,0
1940482,104.0,53.5,93.3,66704.0,1
1940483,65.9,47.1,50.0,85778.0,1
1940484,145.3,40.2,94.1,57978.0,0
1940485,130.1,26.8,110.3,64980.0,1
1940486,75.6,27.4,69.4,37596.0,1
1940487,72.0,79.3,118.3,73736.0,1
1940488,93.7,14.0,139.5,84696.0,1
1940489,72.3,41.3,88.0,58595.0,1
1940490,67.1,15.5,85.1,27030.0,1
1940491,118.1,47.4,119.1,32569.0,0
1940492,165.1,41.3,87.8,93632.0,1
1940493,44.9,56.3,91.2,51663.0,1
1940494,123.9,29.1,94.2,70261.0,1
1940495,116.3,49.7,114.2,67461.0,0
1940496,84.9,60.7,82.8,60296.0,0
1940497,107.8,67.0,105.9,66864.0,0
1940498,108.8,65.2,54.7,68024.0,0
1940499,117.4,31.6,89.3,82136.0,0
1940500,133.6,55.2,92.5,52024.0,0
1940501,114.5,38.6,74.6,65752.0,0
1940502,143.5,21.3,107.3,70011.0,1
1940503,78.3,50.1,66.9,63151.0,0
1940504,74.2,38.6,95.3,35258.0,0
1940505,59.6,26.0,99.8,72535.0,0
1940506,54.3,42.7,126.0,95458.0,0
1940507,109.2,38.1,79.6,48536.0,0
1940508,101.8,67.6,88.3,101745.0,1
1940509,97.4,61.1,101.1,123082.0,1
1940510,87.7,36.8,135.9,90690.0,1
1940511,81.7,44.7,114.6,62022.0,1
1940512,98.8,49.1,43.2,80825.0,1
1940513,132.6,70.2,83.3,71632.0,1
1940514,99.7,33.2,84.9,74551.0,1
1940515,70.4,34.5,101.8,73654.0,0
1940516,101.6,27.2,125.6,72238.0,1
1940517,113.8,41.5,85.0,29406.0,1
1940518,79.2,50.5,123.9,67638.0,0
1940519,95.8,28.7,90.7,80939.0,0
1940520,134.6,28.8,101.0,63320.0,1
1940521,68.9,45.8,104.1,30311.0,1
1940522,108.0,45.7,73.4,60169.0,0
1940523,72.3,42.5,73.5,86116.0,0
1940524,71.5,46.7,91.7,48335.0,0
1940525,77.9,42.7,147.5,76867.0,1
1940526,87.9,32.8,78.3,55113.0,0
1940527,79.0,76.4,130.9,66641.0,1
1940528,64.6,34.3,113.1,74869.0,1
1940529,80.7,51.3,114.6,84379.0,1
1940530,105.7,32.9,83.7,107164.0,1
1940531,109.9,22.1,109.3,73429.0,1
1940532,96.6,24.5,88.1,127145.0,1
1940533,84.4,47.8,96.4,85946.0,1
1940534,91.4,43.4,105.7,49300.0,1
1940535,92.8,28.3,73.6,64553.0,1
1940536,71.6,40.9,85.9,59989.0,1
1940537,134.9,47.5,119.7,67100.0,1
1940538,92.8,57.6,88.4,63173.0,1
1940539,140.0,39.9,112.1,92993.0,0
1940540,82.3,43.3,106.6,67360.0,0
1940541,118.5,49.8,136.8,45514.0,1
1940542,74.0,55.3,88.3,87328.0,0
1940543,122.5,44.6,110.1,61829.0,1
1940544,88.2,61.1,105.6,42689.0,1
1940545,98.1,46.7,57.3,38032.0,1
1940546,84.1,34.9,136.4,74453.0,1
1940547,150.8,34.8,54.7,87593.0,1
1940548,100.5,39.8,136.3,77080.0,0
1940549,77.8,53.3,140.6,59308.0,1
1940550,87.3,50.9,123.0,69955.0,0
1940551,161.0,,109.2,62266.0,0
1940552,32.2,42.3,119.0,55022.0,0
1940553,99.2,58.2,85.8,23821.0,1
1940554,68.9,44.4,122.6,52667.0,1
1940555,92.4,49.2,104.3,92291.0,0
1940556,125.3,52.8,140.7,62928.0,1
1940557,60.2,53.4,98.2,43490.0,0
1940558,160.1,51.0,78.1,80192.0,0
1940559,102.2,40.0,133.2,71039.0,0
1940560,93.4,30.5,127.4,64107.0,1
1940561,104.1,54.3,90.8,49697.0,0
1940562,115.3,22.7,159.3,46990.0,0
1940563,121.4,24.7,92.9,65083.0,1
1940564,67.8,68.2,91.5,63446.0,0
1940565,108.8,62.6,123.3,60773.0,0
1940566,81.7,41.6,134.0,69581.0,0
1940567,101.9,38.3,95.8,77183.0,1
1940568,71.0,60.8,103.4,39816.0,0
1940569,89.5,62.8,38.8,39704.0,0
1940570,113.1,40.2,72.5,103316.0,1
1940571,53.6,59.2,61.8,56753.0,1
1940572,155.6,61.3,97.8,60692.0,1
1940573,123.2,57.3,132.4,55797.0,0
1940574,76.2,39.3,88.8,95218.0,1
1940575,115.3,34.3,86.7,88588.0,0
1940576,98.5,32.2,99.0,58983.0,0
1940577,107.0,33.5,138.6,71266.0,0
1940578,80.9,21.8,109.9,68112.0,1
1940579,112.9,43.3,91.3,84542.0,0
1940580,51.5,37.9,93.2,63946.0,1
1940581,94.3,12.9,142.9,45613.0,0
1940582,78.6,69.8,155.7,96170.0,0
1940583,87.7,35.5,124.7,82894.0,0
1940584,66.9,21.4,127.0,66264.0,1
1940585,104.4,39.1,114.4,57617.0,1
1940586,150.9,46.4,125.8,64406.0,0
1940587,89.9,13.1,13.7,48089.0,0
1940588,116.2,24.7,130.1,83116.0,0
1940589,133.7,42.7,145.5,26939.0,1
1940590,95.9,42.7,82.9,82064.0,0
1940591,133.7,50.3,112.4,46539.0,1
1940592,138.2,55.4,74.8,80869.0,1
1940593,113.7,42.8,105.9,73586.0,1
1940594,125.9,47.4,129.5,81800.0,1
1940595,88.8,78.9,73.5,79396.0,0
1940596,132.8,17.9,87.6,45064.0,0
1940597,105.1,39.9,101.8,67026.0,0
1940598,119.9,46.8,135.9,42267.0,1
1940599,125.6,41.7,99.1,49332.0,0
1940600,102.4,65.4,164.7,61461.0,1
1940601,95.2,59.1,113.7,82065.0,1
1940602,131.3,48.0,82.9,91313.0,1
1940603,138.2,28.5,106.2,66407.0,0
1940604,152.7,59.3,93.3,88629.0,0
1940605,102.6,58.1,116.6,38749.0,1
