VesselID,ContainerQty,CraneAvailabilityRate,PortWaitTime_Hours,WindSpeed_Knots,HighCongestion
1330213,88.1,20.5,1.9,11.0,1
1330214,101.4,90.2,3.2,4.2,0
1330215,76.5,37.1,54.2,16.7,1
1330216,132.5,70.3,1.0,7.7,0
1330217,109.0,49.1,12.6,16.3,1
1330218,172.6,55.7,7.1,22.9,0
1330219,112.2,75.2,14.5,17.1,0
1330220,91.3,42.9,9.1,5.3,0
1330221,116.5,49.7,6.1,12.8,0
1330222,91.2,20.4,2.9,10.1,0
1330223,104.7,37.4,8.8,10.0,1
1330224,106.3,37.3,12.3,13.3,1
1330225,46.5,,49.8,9.5,0
1330226,78.7,42.4,14.0,12.4,0
1330227,136.3,49.9,5.5,7.4,0
1330228,79.6,77.0,23.4,17.9,1
1330229,91.0,61.8,4.1,15.0,0
1330230,132.9,54.4,1.9,11.5,1
1330231,115.1,15.6,6.1,12.6,0
1330232,77.9,56.3,1.3,16.3,1
1330233,103.0,54.1,7.1,12.6,0
1330234,88.0,68.8,17.4,9.4,1
1330235,119.9,54.9,18.3,2.5,1
1330236,120.6,63.2,10.9,14.8,0
1330237,133.2,71.5,51.8,15.7,1
1330238,113.9,52.0,43.5,4.4,1
1330239,98.4,66.2,27.4,16.6,0
1330240,108.2,95.3,15.2,24.0,1
1330241,97.7,40.3,35.0,10.5,0
1330242,90.2,31.0,12.2,12.8,1
1330243,103.2,38.6,2.7,10.1,0
1330244,84.2,66.6,5.7,10.9,0
1330245,135.0,29.6,11.9,12.8,1
1330246,84.2,40.3,18.3,16.8,1
1330247,56.7,73.3,5.0,5.0,1
1330248,108.7,54.0,1.0,14.2,0
1330249,81.0,43.6,1.0,8.8,0
1330250,71.4,49.4,14.3,17.0,0
1330251,80.3,41.9,1.0,10.1,1
1330252,82.1,33.1,10.1,14.3,0
1330253,52.6,54.8,8.6,5.5,1
1330254,47.2,29.4,3.7,12.5,0
1330255,108.3,59.8,76.3,11.4,1
1330256,78.8,56.0,30.5,17.9,1
1330257,113.9,47.7,11.7,9.6,1
1330258,106.4,57.8,5.0,6.6,0
1330259,108.7,66.2,5.6,15.0,1
1330260,107.5,68.3,3.3,15.6,1
1330261,65.2,42.8,8.1,22.8,1
1330262,140.9,62.9,5.9,6.4,0
1330263,77.1,74.1,24.7,11.7,1
1330264,64.1,8.3,13.7,12.3,0
1330265,101.8,38.5,5.3,10.5,1
1330266,75.6,42.8,2.8,9.7,0
1330267,92.5,70.7,48.0,13.7,0
1330268,96.5,56.2,16.0,18.8,1
1330269,136.4,52.0,31.8,15.8,1
1330270,138.3,47.2,30.7,4.9,1
1330271,1.0,27.6,27.9,6.9,1
1330272,87.6,46.2,54.8,14.7,1
1330273,70.7,41.6,6.0,19.5,0
1330274,95.0,37.3,5.2,18.6,0
1330275,88.4,51.9,3.3,12.1,1
1330276,104.4,50.8,38.8,7.7,0
1330277,115.1,27.2,30.4,16.2,1
1330278,104.5,72.0,1.0,5.3,0
1330279,60.9,37.3,19.1,11.2,0
1330280,135.7,58.2,13.1,19.3,0
1330281,110.7,40.0,9.4,17.5,0
1330282,60.3,59.0,1.4,21.4,0
1330283,76.9,31.7,10.1,14.5,1
1330284,98.2,47.7,6.3,13.1,1
1330285,108.8,36.6,16.9,17.1,1
1330286,67.9,14.7,7.0,14.6,0
1330287,52.6,38.2,1.9,6.3,1
1330288,124.1,52.7,2.8,5.0,0
1330289,135.5,28.1,5.9,11.8,0
1330290,120.3,61.4,36.6,15.2,1
1330291,90.7,38.6,1.0,18.3,0
1330292,91.5,50.5,19.9,14.9,0
1330293,65.6,25.5,20.3,9.8,0
1330294,114.1,,5.6,14.0,1
1330295,118.5,27.1,40.6,3.1,0
1330296,101.9,60.4,10.4,4.5,0
1330297,129.7,54.1,49.6,14.1,1
1330298,108.1,12.3,26.2,14.4,0
1330299,120.6,45.3,19.7,14.4,1
1330300,99.5,60.8,3.4,7.4,1
1330301,119.7,69.3,9.0,17.4,0
1330302,107.1,39.0,12.9,19.1,0
1330303,101.6,33.7,3.7,1.0,1
1330304,93.3,73.4,10.9,9.4,0
1330305,144.0,42.2,1.0,9.4,1
1330306,99.5,69.4,12.7,13.4,0
1330307,93.2,19.6,47.7,6.3,1
1330308,112.8,50.2,38.6,14.2,1
1330309,41.0,42.0,14.8,21.6,1
1330310,107.4,26.0,39.3,11.4,1
1330311,112.3,60.2,3.3,1.0,0
1330312,98.8,36.1,32.8,13.3,1
1330313,91.0,46.7,8.9,7.2,0
1330314,95.6,35.6,8.0,16.0,1
1330315,125.7,39.4,1.0,1.7,1
1330316,101.3,35.6,1.6,5.7,0
1330317,125.2,37.9,10.7,8.1,0
1330318,145.6,37.3,23.9,12.6,1
1330319,94.5,54.6,19.5,18.0,1
1330320,102.1,69.0,9.5,12.5,0
1330321,121.1,45.0,3.0,13.4,0
1330322,139.0,60.9,1.9,11.0,0
1330323,72.0,50.7,101.8,8.1,1
1330324,114.0,42.7,18.4,10.3,1
1330325,100.5,63.5,43.2,7.0,1
1330326,100.4,48.0,2.0,14.9,1
1330327,101.0,37.6,4.6,12.7,0
1330328,128.8,22.3,6.3,8.9,0
1330329,109.6,61.5,6.6,4.2,0
1330330,74.5,56.4,13.8,8.6,1
1330331,117.5,51.8,1.1,12.6,1
1330332,97.8,20.2,11.3,12.4,0
1330333,96.0,36.4,7.4,9.9,0
1330334,105.9,54.1,4.3,17.3,0
1330335,139.0,54.7,11.1,12.6,0
1330336,108.8,46.7,29.8,16.9,1
1330337,127.1,63.8,10.6,13.8,0
1330338,73.8,,7.1,16.5,1
1330339,100.0,24.1,40.6,14.8,1
1330340,132.5,72.5,1.0,12.1,1
1330341,69.3,67.4,1.0,13.0,0
1330342,99.1,,20.2,18.9,1
1330343,107.0,73.7,31.2,10.4,1
1330344,103.5,57.8,4.0,17.0,0
1330345,64.3,49.6,30.0,5.1,1
1330346,105.8,68.9,52.5,9.5,1
1330347,120.9,48.6,5.3,4.5,0
1330348,136.2,62.2,16.8,11.3,1
1330349,88.5,51.7,9.6,9.1,0
1330350,144.0,30.7,7.4,18.0,1
1330351,130.2,55.7,10.1,6.5,1
1330352,100.9,41.5,3.3,17.7,1
1330353,107.7,46.2,5.0,22.4,0
1330354,94.6,18.8,17.6,18.9,1
1330355,63.5,62.0,1.8,10.0,0
1330356,105.5,29.6,15.2,9.7,0
1330357,109.4,46.5,10.7,11.1,1
1330358,80.0,53.8,7.9,13.8,0
1330359,110.0,77.6,4.1,16.9,1
1330360,89.1,20.3,8.1,19.7,0
1330361,133.4,28.1,30.9,21.6,1
1330362,92.3,57.7,21.9,13.2,1
1330363,106.6,54.7,1.9,6.5,0
1330364,151.8,75.5,37.7,13.2,1
1330365,114.2,36.3,16.4,2.8,0
1330366,127.5,35.2,96.7,3.1,1
1330367,130.3,33.1,6.3,15.0,1
1330368,100.9,42.2,6.5,16.7,1
1330369,78.0,40.7,17.4,13.6,1
1330370,106.2,36.6,6.4,9.5,1
1330371,131.8,35.0,13.5,20.7,0
1330372,91.7,49.9,36.8,22.4,1
1330373,93.0,45.5,19.3,9.7,0
1330374,139.5,68.6,16.5,13.5,0
1330375,102.3,36.3,14.4,9.3,1
1330376,108.5,47.9,38.3,9.1,0
1330377,71.6,54.5,1.4,24.6,0
1330378,113.8,38.9,28.1,6.5,0
1330379,125.7,47.3,24.9,8.8,1
1330380,72.2,37.5,17.8,20.0,1
1330381,144.0,35.6,23.3,7.2,0
1330382,114.1,43.5,3.5,12.5,0
1330383,108.5,71.7,1.0,13.4,1
1330384,102.8,32.8,2.1,10.9,0
1330385,162.6,67.6,16.9,16.9,0
1330386,167.9,34.8,6.9,12.1,1
1330387,106.3,47.2,88.4,16.8,1
1330388,57.1,31.5,4.9,21.7,0
1330389,109.5,42.1,14.0,13.7,1
1330390,79.6,52.0,29.4,1.0,1
1330391,117.9,40.6,7.8,13.1,1
1330392,100.8,26.5,21.2,7.6,1
1330393,122.4,16.7,1.0,19.5,1
1330394,100.0,,21.1,17.2,0
1330395,113.2,36.5,48.5,12.4,1
1330396,60.5,19.1,1.0,18.0,0
1330397,104.9,39.7,1.0,7.0,0
1330398,55.8,65.2,1.2,19.1,0
1330399,123.1,24.5,28.8,11.3,1
1330400,129.1,18.3,5.3,18.8,1
1330401,116.9,41.0,1.0,19.0,0
1330402,52.6,50.0,1.0,12.0,0
1330403,87.5,58.8,47.6,10.3,0
1330404,45.1,56.7,12.0,11.0,1
1330405,69.5,52.8,12.4,11.6,1
1330406,72.1,69.6,97.5,15.7,0
1330407,112.3,35.4,60.8,9.4,1
1330408,81.3,68.8,16.5,2.6,1
1330409,119.9,46.6,1.0,12.2,1
1330410,88.1,41.7,4.0,18.6,0
1330411,114.9,67.6,4.1,4.7,1
1330412,95.9,21.0,27.4,13.8,1
1330413,64.5,54.9,11.7,14.2,0
1330414,94.1,52.8,12.5,9.6,0
1330415,128.2,50.9,8.2,8.4,1
1330416,134.9,41.3,31.9,15.3,0
1330417,78.7,26.9,26.7,3.2,1
1330418,62.9,30.2,5.2,17.0,1
1330419,109.4,25.3,33.7,4.7,1
1330420,79.7,50.0,14.4,8.9,0
1330421,87.3,32.8,5.2,12.6,0
1330422,108.4,50.7,1.6,8.8,0
1330423,66.7,49.2,26.1,10.7,0
1330424,145.2,38.1,11.3,8.5,0
1330425,159.2,51.8,5.2,7.1,1
1330426,81.7,78.2,15.4,17.5,0
1330427,113.0,61.4,3.9,8.8,1
1330428,139.3,47.0,26.2,8.8,1
1330429,133.4,72.6,3.7,1.0,0
1330430,92.6,47.1,13.7,3.8,1
1330431,102.1,21.8,24.2,8.1,1
1330432,136.3,30.4,17.4,6.1,1
1330433,79.3,64.7,9.0,12.0,0
1330434,36.9,19.4,2.3,13.4,1
1330435,77.6,68.4,16.8,15.1,0
1330436,85.7,35.2,1.7,13.4,0
1330437,110.2,54.1,68.6,11.2,1
1330438,47.8,33.3,30.0,10.9,0
1330439,90.7,29.5,22.9,7.4,1
1330440,95.4,41.8,54.6,23.0,1
1330441,87.9,49.0,5.5,8.9,0
1330442,84.7,42.9,5.2,8.0,0
1330443,57.8,52.1,25.7,14.9,0
1330444,131.6,40.3,16.3,9.6,0
1330445,86.6,22.9,1.0,12.3,0
1330446,109.5,33.6,18.0,11.7,0
1330447,52.0,55.3,9.7,6.2,1
1330448,136.6,52.8,3.7,18.9,0
1330449,119.9,69.9,17.6,9.1,1
1330450,105.8,51.0,11.7,9.6,1
1330451,99.9,47.4,8.3,11.8,1
1330452,116.8,68.1,17.5,10.8,0
1330453,52.8,35.4,20.2,19.7,0
1330454,82.6,44.6,33.9,5.9,1
1330455,93.6,64.3,10.6,12.8,1
1330456,106.9,53.2,21.1,18.4,0
1330457,94.4,48.7,1.8,16.9,0
1330458,85.5,49.5,13.2,13.4,0
1330459,93.6,49.1,3.0,17.5,0
1330460,60.0,27.1,33.7,5.5,1
1330461,55.8,42.2,25.1,13.4,1
1330462,99.3,62.6,37.8,14.3,0
1330463,137.7,50.2,1.0,7.4,0
1330464,86.9,33.3,23.1,8.7,0
1330465,101.7,31.0,2.9,10.6,1
1330466,64.7,17.6,4.5,17.6,0
1330467,35.2,16.0,1.0,14.2,1
1330468,109.5,56.9,17.5,11.7,1
1330469,41.2,49.0,9.4,8.3,1
1330470,102.2,29.1,71.9,7.3,1
1330471,89.3,48.2,1.0,5.7,1
1330472,76.4,57.1,3.5,10.6,1
1330473,77.2,43.2,24.0,23.3,1
1330474,98.9,53.3,38.1,15.7,1
1330475,127.9,43.1,37.6,15.2,0
1330476,62.7,53.9,10.9,9.2,0
1330477,116.5,12.9,68.5,11.0,1
1330478,58.4,27.0,30.1,10.0,1
1330479,115.1,45.5,8.7,5.4,1
1330480,102.5,36.3,11.9,10.0,1
1330481,122.5,57.2,36.4,15.5,1
1330482,31.4,32.8,67.7,10.2,1
1330483,110.4,31.4,18.9,17.0,1
1330484,119.5,44.9,5.6,18.0,0
1330485,78.5,32.5,10.8,11.5,1
1330486,117.7,34.8,1.0,11.2,1
1330487,109.0,55.1,65.8,1.0,1
1330488,82.1,28.4,23.1,19.9,1
1330489,82.2,18.6,7.4,14.2,0
1330490,85.3,35.2,4.5,11.9,1
1330491,133.9,40.0,14.4,8.1,0
1330492,107.9,35.1,25.2,16.8,0
1330493,90.1,76.3,34.8,11.7,0
1330494,102.1,51.4,3.9,1.5,0
1330495,70.9,51.2,74.7,20.2,1
1330496,57.9,51.7,32.9,8.9,1
1330497,110.3,70.0,7.2,5.8,0
1330498,99.5,65.6,2.0,11.7,0
1330499,108.4,46.0,27.4,13.9,1
1330500,51.1,49.8,1.1,10.2,0
1330501,115.5,44.5,9.2,13.0,0
1330502,95.8,75.6,11.5,9.7,0
1330503,104.7,53.5,42.4,10.7,1
1330504,102.8,15.7,6.3,13.2,0
1330505,81.5,10.7,1.5,7.9,0
1330506,139.4,32.2,2.9,11.4,1
1330507,92.4,56.2,4.5,16.5,1
1330508,94.1,71.2,2.9,11.3,0
1330509,139.2,50.5,9.7,12.1,0
1330510,90.3,38.7,65.2,11.4,1
1330511,66.8,41.8,26.8,11.4,0
1330512,96.5,40.1,7.2,23.8,0
1330513,114.9,56.9,28.3,18.9,1
1330514,123.3,61.5,37.9,6.5,0
1330515,98.8,40.3,3.1,11.1,0
1330516,65.2,33.6,14.9,3.3,1
1330517,115.2,42.4,4.7,14.2,0
1330518,125.6,42.9,4.7,15.2,0
1330519,95.2,37.0,9.0,5.4,1
1330520,123.8,43.9,10.6,14.6,0
1330521,102.7,55.3,16.5,7.8,1
1330522,166.4,42.1,8.7,10.3,1
1330523,80.3,27.4,29.9,8.2,0
1330524,108.7,39.3,15.8,10.0,0
1330525,115.2,38.5,4.4,21.5,0
1330526,76.8,16.6,6.8,10.6,1
1330527,88.7,39.8,30.8,1.8,1
1330528,57.7,,1.0,12.1,0
1330529,73.6,33.4,34.9,7.3,1
1330530,107.2,24.8,12.3,17.9,0
1330531,122.8,,18.1,7.7,1
1330532,114.8,55.8,24.8,8.8,0
1330533,120.8,31.4,18.2,5.5,0
1330534,102.2,36.0,39.3,15.4,0
1330535,85.1,65.2,37.7,8.8,1
1330536,103.2,39.7,1.4,13.3,0
1330537,70.7,32.6,12.9,17.7,0
1330538,83.5,3.0,7.3,9.9,1
1330539,88.1,57.6,32.5,1.0,1
1330540,120.3,15.4,26.1,13.9,0
1330541,111.6,48.7,2.9,10.7,0
1330542,56.5,37.2,1.0,15.3,0
1330543,94.6,34.7,12.7,15.3,1
1330544,63.8,36.1,57.3,4.9,1
1330545,116.8,62.8,1.0,5.7,1
1330546,86.1,47.9,4.3,10.6,0
1330547,57.9,18.7,9.2,12.9,0
1330548,100.9,47.5,68.2,15.0,0
1330549,109.1,51.5,7.1,16.5,1
1330550,136.5,69.9,4.8,14.3,1
1330551,53.4,59.1,14.3,7.5,0
1330552,111.4,48.0,34.8,12.5,0
1330553,111.2,20.2,2.5,16.0,0
1330554,69.7,33.3,26.5,16.2,0
1330555,105.4,45.0,5.1,12.1,1
1330556,110.0,43.4,9.6,8.7,1
1330557,144.8,58.7,19.8,8.1,0
1330558,94.1,33.5,15.7,13.5,1
1330559,109.2,34.8,1.6,2.7,0
1330560,110.7,20.8,19.9,12.3,1
1330561,114.3,43.3,12.6,15.2,0
1330562,109.0,42.0,27.5,1.0,1
1330563,108.3,43.2,25.9,5.3,1
1330564,123.8,33.4,12.4,12.9,1
1330565,93.5,19.0,1.9,10.0,0
1330566,52.1,73.8,9.7,15.1,1
1330567,53.8,57.8,1.0,3.6,0
1330568,97.6,53.9,24.8,8.4,1
1330569,85.1,1.9,1.0,13.1,1
1330570,122.8,39.1,25.5,19.4,1
1330571,98.6,51.0,11.0,6.9,0
1330572,65.0,18.1,20.6,9.5,0
1330573,60.7,29.2,36.3,6.5,0
1330574,78.4,31.9,8.3,15.9,0
1330575,122.5,37.1,1.4,14.4,0
1330576,106.5,51.1,8.9,6.3,0
1330577,92.4,53.4,1.0,14.0,1
1330578,94.4,38.3,1.7,14.9,0
1330579,124.9,55.3,15.9,17.5,1
1330580,88.5,33.4,3.2,11.4,0
1330581,83.3,51.0,40.6,5.7,1
1330582,137.0,61.9,3.1,15.8,0
1330583,105.4,36.5,42.3,13.9,1
1330584,111.7,54.8,20.8,9.5,1
1330585,148.1,21.5,4.0,16.9,0
1330586,125.4,7.0,9.0,6.7,1
1330587,62.8,22.7,32.2,9.0,1
1330588,93.3,41.2,4.1,20.0,1
1330589,83.7,79.0,14.9,15.4,0
1330590,118.9,64.0,6.9,17.3,1
1330591,118.7,35.1,19.7,21.9,0
1330592,100.6,37.4,4.9,19.0,0
1330593,90.9,29.8,16.8,2.1,1
1330594,101.6,48.3,7.5,11.0,0
1330595,133.3,30.1,8.0,18.4,0
1330596,141.7,59.5,7.1,8.1,0
1330597,87.8,45.0,15.3,10.1,1
1330598,113.7,53.2,9.7,13.6,1
1330599,80.9,22.0,11.3,13.0,1
1330600,89.5,64.3,25.8,13.3,1
1330601,77.5,56.6,10.5,8.5,0
1330602,74.5,59.1,13.3,18.5,1
1330603,121.6,21.8,1.0,8.9,0
1330604,105.9,52.5,3.7,10.8,0
1330605,85.3,70.9,7.0,5.1,1
1330606,94.7,24.1,14.3,12.3,1
1330607,97.2,13.0,1.0,18.0,0
1330608,116.3,34.2,9.0,15.1,0
1330609,88.6,40.0,1.5,12.4,1
1330610,126.5,24.8,2.4,6.8,0
1330611,154.4,31.6,56.7,13.5,1
1330612,162.8,42.9,1.0,9.6,1
1330613,108.6,49.1,43.6,8.8,1
1330614,118.9,76.1,9.2,9.9,1
1330615,135.3,46.0,1.0,20.6,0
1330616,95.9,38.1,8.5,13.9,1
1330617,106.0,68.5,14.1,15.1,1
1330618,80.8,42.0,21.8,17.9,0
1330619,120.2,69.7,2.0,7.3,1
1330620,96.1,58.5,8.3,11.4,0
1330621,76.6,40.7,39.4,21.4,1
1330622,109.7,31.5,1.0,3.0,1
1330623,103.2,43.7,8.9,16.6,1
1330624,72.8,34.6,13.3,10.8,0
1330625,92.5,23.0,1.3,18.5,0
1330626,122.0,28.6,6.2,10.3,0
1330627,142.1,47.6,56.8,8.2,1
1330628,124.3,29.0,6.2,13.0,0
1330629,142.4,69.0,7.5,11.1,0
1330630,141.4,48.9,23.7,7.8,0
1330631,63.4,60.0,3.2,7.9,0
1330632,86.1,43.3,28.1,10.8,1
