BorrowerID,GroupSize,WeeklyIncome,RepaymentRate_Percent,PriorLoans,Defaulted
1060207,106.2,112.2,41.7,107.7,1
1060208,157.4,43.8,59.5,58.2,0
1060209,88.1,98.2,56.9,114.5,0
1060210,134.0,119.8,25.7,82.8,0
1060211,91.4,144.9,50.8,108.1,0
1060212,98.4,121.3,48.9,129.6,0
1060213,77.0,181.1,67.6,75.2,0
1060214,133.6,10.0,50.7,77.1,1
1060215,68.1,74.7,42.5,100.8,1
1060216,88.3,158.6,64.6,75.1,1
1060217,87.2,160.6,59.1,77.4,1
1060218,84.8,157.9,50.5,89.2,0
1060219,97.8,53.7,57.0,113.5,1
1060220,85.8,64.7,21.2,83.5,1
1060221,60.6,142.0,5.3,160.4,0
1060222,90.8,10.0,76.3,74.6,1
1060223,92.5,155.0,41.2,73.7,1
1060224,75.5,122.0,37.9,43.3,0
1060225,107.8,133.3,67.4,111.2,0
1060226,75.0,57.8,32.8,141.2,1
1060227,81.3,109.6,6.8,79.5,1
1060228,108.0,152.3,22.4,88.6,0
1060229,86.2,109.3,46.0,125.5,1
1060230,93.7,218.3,53.4,104.5,0
1060231,74.3,59.6,76.7,108.7,0
1060232,140.3,114.4,54.8,98.4,1
1060233,63.2,178.7,55.6,89.9,0
1060234,121.2,86.8,33.6,92.8,1
1060235,92.2,127.5,41.8,120.6,1
1060236,93.0,74.8,44.8,129.2,1
1060237,158.5,97.7,64.9,137.1,0
1060238,83.8,101.0,59.9,75.6,1
1060239,107.8,165.7,80.5,109.5,0
1060240,107.3,10.0,73.4,102.4,1
1060241,104.8,149.4,42.2,104.2,0
1060242,76.1,,12.2,99.5,0
1060243,153.8,109.3,49.6,85.9,1
1060244,94.3,221.8,50.0,105.6,0
1060245,104.5,105.0,32.2,78.7,1
1060246,101.5,94.0,62.8,106.0,1
1060247,76.2,146.5,74.6,67.0,0
1060248,74.6,66.8,53.2,89.2,1
1060249,127.3,90.6,66.5,122.6,1
1060250,99.3,131.2,48.2,123.0,0
1060251,82.9,121.1,35.8,114.2,1
1060252,101.2,147.4,27.2,73.5,0
1060253,108.3,173.9,49.7,127.0,1
1060254,130.0,124.8,31.2,128.8,0
1060255,129.5,68.0,86.5,60.8,1
1060256,57.4,105.3,38.2,121.0,1
1060257,107.0,87.8,48.9,136.6,1
1060258,110.7,140.2,69.7,106.3,0
1060259,92.6,185.9,28.3,118.3,0
1060260,103.4,155.1,39.9,122.4,1
1060261,118.2,103.0,58.8,101.5,1
1060262,75.6,37.5,54.3,113.0,1
1060263,127.2,206.4,53.8,84.7,0
1060264,86.7,95.1,53.3,127.6,1
1060265,133.0,155.6,61.9,36.1,1
1060266,87.7,57.3,57.4,117.6,1
1060267,113.3,124.1,31.4,63.5,0
1060268,145.3,141.7,44.9,87.8,0
1060269,99.6,197.3,29.4,113.2,0
1060270,144.2,89.3,54.3,78.4,1
1060271,86.5,131.0,47.8,136.2,0
1060272,110.9,167.0,61.7,109.1,0
1060273,85.1,161.7,47.1,126.1,0
1060274,87.3,90.5,61.0,127.8,1
1060275,105.4,39.1,43.8,69.1,1
1060276,125.3,156.6,48.6,82.8,0
1060277,91.0,115.3,42.2,109.4,0
1060278,69.5,,47.0,110.8,1
1060279,109.3,64.7,42.3,84.6,1
1060280,78.8,117.2,83.7,96.7,0
1060281,97.2,121.4,48.3,91.8,0
1060282,51.4,146.6,43.1,54.8,0
1060283,128.3,107.8,29.9,111.1,1
1060284,65.3,151.2,44.4,53.1,0
1060285,106.9,116.5,37.4,75.4,1
1060286,138.9,103.6,52.4,110.3,0
1060287,106.5,106.2,32.3,85.2,0
1060288,81.3,133.3,18.1,108.6,0
1060289,102.0,96.4,49.8,88.5,0
1060290,78.3,139.4,11.9,129.5,1
1060291,94.3,154.2,73.1,94.3,0
1060292,93.0,146.2,52.6,114.8,1
1060293,71.0,47.6,53.8,92.4,1
1060294,88.0,126.5,50.7,84.2,0
1060295,112.7,179.5,67.5,134.6,1
1060296,72.9,77.2,52.3,92.6,1
1060297,119.2,146.9,45.4,109.6,0
1060298,153.7,132.9,55.7,87.7,0
1060299,100.6,150.6,41.8,135.4,1
1060300,144.9,118.8,63.5,108.5,0
1060301,91.2,,40.6,107.3,1
1060302,81.2,59.6,50.9,90.4,1
1060303,127.5,,30.8,105.5,0
1060304,91.1,86.1,21.0,83.3,1
1060305,95.5,60.4,38.2,115.8,1
1060306,90.1,190.2,46.9,96.6,1
1060307,122.9,101.5,26.2,145.2,0
1060308,92.8,113.0,61.8,132.7,1
1060309,105.3,103.4,43.0,131.5,1
1060310,68.7,128.2,87.4,122.4,1
1060311,121.7,132.4,52.1,130.5,0
1060312,101.3,128.4,51.1,97.3,1
1060313,100.3,165.1,51.6,86.6,0
1060314,32.1,,47.8,92.6,1
1060315,88.5,121.8,36.7,106.7,1
1060316,103.0,57.9,51.6,119.2,0
1060317,115.9,131.4,26.4,111.9,1
1060318,31.1,58.0,37.2,96.4,1
1060319,99.9,80.3,91.5,85.4,1
1060320,90.4,157.2,38.6,118.2,0
1060321,105.5,40.4,52.5,113.3,0
1060322,66.6,161.4,51.9,84.1,1
1060323,102.9,122.9,53.3,118.0,0
1060324,143.3,134.1,52.1,133.4,1
1060325,51.5,149.6,17.5,114.5,0
1060326,145.9,97.6,31.5,50.0,0
1060327,106.1,116.2,47.5,176.2,1
1060328,109.3,25.2,50.5,118.3,1
1060329,116.8,48.9,39.9,75.3,1
1060330,113.9,165.9,32.8,101.2,0
1060331,106.2,95.8,54.8,99.2,1
1060332,113.9,119.7,63.6,90.9,1
1060333,137.6,101.5,45.6,74.6,1
1060334,29.1,209.9,46.7,75.4,0
1060335,136.6,42.2,36.5,127.1,1
1060336,80.2,151.9,31.3,64.0,0
1060337,81.7,151.9,18.8,97.4,1
1060338,99.4,103.5,41.8,98.6,1
1060339,109.8,153.3,30.8,125.9,0
1060340,94.0,115.8,30.7,38.4,1
1060341,52.1,71.6,53.3,99.0,1
1060342,93.2,165.8,69.8,127.5,0
1060343,126.9,165.3,41.1,93.0,0
1060344,125.0,,70.6,133.7,1
1060345,38.1,117.4,30.4,105.5,1
1060346,155.6,138.2,48.0,81.8,0
1060347,109.2,201.9,25.8,90.1,0
1060348,108.9,94.6,71.4,107.4,0
1060349,117.0,51.3,19.4,109.9,0
1060350,87.8,188.4,39.9,73.2,0
1060351,115.4,149.0,38.7,83.2,0
1060352,109.9,103.6,27.8,96.5,1
1060353,101.5,85.8,73.0,118.0,0
1060354,87.0,141.3,38.5,74.6,1
1060355,108.1,129.9,12.9,122.1,1
1060356,75.3,162.3,71.3,95.9,0
1060357,107.2,114.8,24.3,61.4,0
1060358,65.2,140.8,56.0,67.0,1
1060359,102.0,214.3,38.9,123.6,1
1060360,107.7,100.8,58.2,116.7,1
1060361,95.7,224.8,71.9,119.3,0
1060362,121.5,147.6,55.4,73.1,0
1060363,86.3,142.7,22.3,94.2,1
1060364,134.5,119.6,49.1,115.5,0
1060365,104.8,207.5,68.4,103.9,1
1060366,101.5,80.0,44.9,111.5,0
1060367,102.2,110.7,65.6,76.6,1
1060368,50.5,163.4,14.7,133.5,1
1060369,43.4,118.5,30.2,79.0,1
1060370,69.5,152.4,41.7,105.4,1
1060371,55.9,98.3,35.9,56.3,1
1060372,100.2,135.5,30.4,89.7,1
1060373,141.4,130.1,44.8,40.9,1
1060374,95.0,45.2,58.4,91.6,1
1060375,58.9,142.5,50.4,87.8,1
1060376,51.3,188.6,43.2,92.8,0
1060377,83.4,66.9,57.1,149.8,1
1060378,99.0,147.0,41.7,100.4,0
1060379,126.6,115.7,57.9,96.2,0
1060380,91.8,103.9,58.0,42.4,1
1060381,79.4,113.5,20.9,116.5,0
1060382,82.9,185.0,36.5,108.9,0
1060383,96.8,192.9,16.8,102.8,0
1060384,102.8,54.2,35.8,100.1,1
1060385,109.4,105.6,54.2,154.0,0
1060386,165.1,96.6,48.7,75.2,1
1060387,117.2,107.2,26.6,128.9,0
1060388,151.9,131.3,29.2,76.3,1
1060389,141.4,145.0,58.6,110.4,0
1060390,116.4,160.6,61.4,85.8,0
1060391,71.8,117.1,59.3,101.5,0
1060392,119.7,80.8,49.1,126.0,1
1060393,108.5,,46.4,128.5,0
1060394,124.9,52.8,67.6,143.7,1
1060395,109.1,161.7,27.6,80.3,0
1060396,129.8,28.4,69.2,82.9,1
1060397,133.6,165.8,33.9,60.0,1
1060398,117.2,174.7,69.6,73.2,0
1060399,128.2,90.7,52.7,83.1,1
1060400,104.8,63.8,54.2,101.3,1
1060401,93.7,93.2,64.5,77.9,1
1060402,90.6,158.6,31.3,132.9,0
1060403,107.4,150.3,69.4,58.6,1
1060404,78.9,82.8,37.3,112.9,0
1060405,92.1,107.7,47.4,74.5,1
1060406,107.1,98.8,70.1,125.8,0
1060407,116.5,73.8,41.1,105.2,1
1060408,115.1,135.8,50.7,72.9,0
1060409,85.8,131.1,51.3,96.0,0
1060410,63.5,85.4,60.0,83.3,1
1060411,64.5,114.9,43.3,58.4,1
1060412,86.9,72.9,33.4,86.3,1
1060413,98.1,115.1,42.5,111.4,0
1060414,99.8,78.6,39.2,79.1,1
1060415,129.8,116.7,49.8,59.3,0
1060416,113.3,135.0,51.3,104.0,0
1060417,109.8,83.0,45.7,98.9,1
1060418,78.0,96.3,13.2,123.9,1
1060419,103.8,85.3,56.1,67.4,0
1060420,81.7,161.3,60.9,105.5,0
1060421,111.6,114.8,51.1,114.4,1
1060422,89.9,131.8,45.0,81.8,1
1060423,92.1,161.6,45.4,135.3,1
1060424,118.8,91.6,60.4,111.6,0
1060425,119.8,173.6,45.1,96.3,0
1060426,178.9,50.1,15.4,123.3,0
1060427,97.6,39.7,48.5,67.0,0
1060428,54.9,85.1,56.7,91.9,1
1060429,108.2,139.6,60.7,122.8,0
1060430,121.3,115.4,17.9,108.3,0
1060431,120.6,138.2,51.4,100.3,1
1060432,83.3,101.2,38.4,100.0,1
1060433,74.7,127.2,65.6,147.6,0
1060434,67.4,168.7,54.4,129.5,0
1060435,85.2,132.2,13.1,74.8,0
1060436,62.9,182.9,37.3,87.9,0
1060437,84.1,73.9,56.7,63.2,1
1060438,88.4,112.0,27.1,118.2,0
1060439,115.9,53.8,54.6,118.3,1
1060440,110.4,154.4,48.2,101.3,1
1060441,81.9,92.1,43.2,64.6,1
1060442,98.5,79.5,13.9,125.2,1
1060443,70.4,106.8,70.9,121.8,1
1060444,102.4,72.4,44.6,74.0,1
1060445,95.8,112.5,75.8,101.7,1
1060446,120.9,178.0,55.8,90.0,1
1060447,92.1,153.5,43.6,89.8,0
1060448,136.8,128.3,6.5,74.8,0
1060449,56.6,120.4,43.4,90.4,1
1060450,51.0,130.3,71.7,88.8,1
1060451,89.7,130.1,57.3,138.8,0
1060452,110.9,87.3,37.9,89.6,0
1060453,81.3,85.6,50.7,126.1,1
1060454,86.6,104.3,68.1,119.0,1
1060455,138.4,105.5,9.5,91.4,1
1060456,87.2,106.3,43.2,134.7,1
1060457,89.0,173.2,38.6,77.5,1
1060458,82.6,130.1,49.8,65.2,0
1060459,105.8,93.8,29.3,91.7,1
1060460,144.4,142.9,38.4,110.6,0
1060461,123.9,79.5,65.8,57.6,1
1060462,107.3,94.4,44.5,94.5,1
1060463,107.4,123.3,65.3,105.1,1
1060464,107.2,106.0,56.3,72.6,1
1060465,79.4,60.2,47.0,117.9,1
1060466,72.7,146.0,80.5,102.4,0
1060467,83.5,87.8,36.3,137.3,0
1060468,123.7,128.6,47.4,112.5,0
1060469,108.4,128.7,59.9,130.3,0
1060470,99.1,125.3,23.3,76.9,0
1060471,100.7,113.7,68.9,108.7,0
1060472,112.6,149.9,67.4,97.6,1
1060473,110.4,106.4,33.4,102.7,0
1060474,98.0,117.4,46.1,79.9,1
1060475,83.5,154.8,53.9,109.9,0
1060476,124.4,156.6,68.2,95.6,0
1060477,119.1,122.7,42.1,65.8,0
1060478,109.0,92.2,53.8,106.1,0
1060479,54.2,197.1,36.0,118.2,0
1060480,119.4,188.5,27.1,109.6,0
1060481,116.6,172.7,12.1,91.6,0
1060482,94.8,92.7,39.1,90.7,1
1060483,51.6,168.8,64.5,50.8,0
1060484,109.7,49.6,45.5,108.7,0
1060485,104.9,65.9,56.2,94.0,1
1060486,101.3,65.5,50.3,135.4,1
1060487,80.6,92.6,39.4,127.2,1
1060488,100.0,125.0,37.4,131.9,0
1060489,72.1,128.9,70.3,81.8,0
1060490,156.8,107.6,44.7,41.6,1
1060491,106.9,181.5,23.7,108.5,0
1060492,107.1,117.6,38.1,76.1,0
1060493,84.8,118.0,68.4,88.2,0
1060494,102.3,183.3,50.6,120.2,0
1060495,134.6,87.1,49.5,96.9,1
1060496,134.6,153.1,34.9,117.7,0
1060497,106.1,44.8,63.3,99.3,1
1060498,94.1,178.6,44.3,65.4,0
1060499,72.2,114.4,28.3,113.8,0
1060500,112.9,142.7,36.4,134.4,1
1060501,114.1,161.0,41.1,128.2,0
1060502,87.7,190.4,47.5,117.2,1
1060503,94.1,96.9,53.5,70.4,1
1060504,103.5,92.5,14.9,122.2,1
1060505,95.3,147.0,10.2,109.8,0
1060506,151.0,157.6,38.9,121.6,0
1060507,166.9,185.9,64.0,106.8,1
1060508,82.7,60.3,51.5,121.0,1
1060509,153.6,110.6,54.7,89.8,1
1060510,108.5,175.3,47.1,51.8,1
1060511,153.1,106.0,26.9,90.3,1
1060512,126.9,121.5,67.3,113.5,1
1060513,100.9,16.7,10.2,123.1,1
1060514,155.8,119.7,48.7,91.1,0
1060515,116.2,102.9,44.3,75.4,1
1060516,94.0,161.3,48.5,94.7,0
1060517,73.0,143.5,55.5,70.8,1
1060518,135.4,136.9,32.1,71.6,0
1060519,76.0,149.1,23.1,126.9,0
1060520,80.8,115.4,58.6,58.8,1
1060521,126.5,120.8,44.1,106.6,1
1060522,104.4,63.8,39.5,96.0,1
1060523,109.2,101.9,26.8,100.1,1
1060524,122.1,102.6,42.6,129.5,1
1060525,121.5,149.5,41.2,144.1,1
1060526,119.6,85.6,39.7,104.4,1
1060527,92.6,210.3,39.2,88.9,0
1060528,94.4,175.9,76.9,134.2,0
1060529,85.6,124.3,37.8,136.0,0
1060530,89.4,97.1,40.8,101.6,1
1060531,105.6,182.4,53.2,87.0,0
1060532,94.6,163.1,42.3,127.0,0
1060533,62.0,158.1,43.1,100.7,0
1060534,123.1,80.9,27.9,87.1,1
1060535,95.9,100.9,23.2,136.4,1
1060536,66.0,121.0,56.2,66.9,1
1060537,86.1,102.5,46.9,114.4,0
1060538,120.3,11.1,3.7,143.7,1
1060539,84.2,161.3,45.6,61.6,0
1060540,133.1,123.5,36.7,73.7,0
1060541,81.0,129.3,62.0,89.0,1
1060542,124.3,99.5,76.2,95.2,1
1060543,74.0,128.4,45.0,108.7,1
1060544,98.0,146.3,62.3,83.3,1
1060545,79.2,179.5,31.6,98.7,0
1060546,86.5,124.4,33.2,58.7,0
1060547,111.7,105.1,58.8,113.0,1
1060548,118.4,87.2,33.9,123.9,1
1060549,99.9,128.6,56.6,117.2,0
1060550,105.5,77.6,26.6,107.4,0
1060551,105.5,136.3,10.3,107.8,1
1060552,104.7,45.0,53.9,134.8,1
1060553,113.8,88.3,38.8,125.4,1
1060554,139.3,133.7,9.9,147.5,0
1060555,104.7,98.7,59.5,112.9,0
1060556,97.3,118.3,42.6,97.0,0
1060557,97.1,94.7,23.1,123.9,1
1060558,88.4,207.8,48.5,150.1,0
1060559,36.7,145.6,49.2,133.9,0
1060560,78.4,85.9,46.3,95.1,1
1060561,113.4,141.3,43.8,91.2,1
1060562,66.6,160.1,74.2,31.3,0
1060563,91.6,92.6,73.4,118.0,1
1060564,84.1,96.2,11.0,113.1,0
1060565,128.6,96.2,32.5,95.4,0
1060566,75.5,94.4,52.5,69.4,0
1060567,105.1,58.6,33.3,125.4,1
1060568,125.6,199.3,34.3,64.1,1
1060569,87.7,61.9,56.6,73.6,1
1060570,47.1,138.8,25.1,128.4,1
1060571,85.4,63.8,33.1,122.6,1
1060572,90.8,115.7,29.7,102.1,1
1060573,84.6,133.1,58.9,143.1,0
1060574,123.9,70.6,67.1,80.0,1
1060575,101.1,63.2,76.9,92.5,1
1060576,139.0,112.8,25.5,85.2,1
1060577,117.0,96.7,65.0,75.3,0
1060578,77.7,132.8,30.0,82.7,1
1060579,100.3,82.5,50.1,76.8,1
1060580,111.7,174.2,72.5,141.8,0
1060581,94.5,74.9,16.5,126.4,1
1060582,74.7,99.9,51.5,140.0,1
1060583,88.7,169.5,29.5,94.3,0
1060584,150.1,130.8,43.7,101.6,0
1060585,129.7,82.3,58.0,102.4,0
1060586,109.0,177.3,28.6,109.4,1
1060587,103.8,96.6,31.9,89.4,1
1060588,94.4,57.0,57.6,95.0,1
1060589,111.8,138.8,46.4,81.4,1
1060590,79.5,77.8,39.3,55.7,1
1060591,109.4,193.2,57.9,122.3,0
1060592,85.6,47.3,64.7,118.3,1
1060593,113.6,176.3,57.9,114.5,0
1060594,87.0,121.3,31.5,153.5,0
1060595,97.3,104.2,54.7,88.7,0
1060596,97.3,107.1,45.5,96.7,0
1060597,97.2,57.7,45.2,89.6,1
1060598,102.0,33.2,58.6,100.9,1
1060599,82.2,156.0,55.9,84.9,1
1060600,110.0,89.4,58.1,111.8,1
1060601,88.9,98.3,46.3,106.1,1
1060602,120.4,128.1,77.3,92.7,0
1060603,93.8,129.6,62.2,166.6,0
1060604,115.8,195.6,50.1,89.7,0
1060605,92.6,129.5,25.6,113.8,1
1060606,121.1,178.6,66.6,125.2,1
1060607,100.5,150.5,40.0,94.7,1
1060608,75.1,186.1,44.0,104.9,0
1060609,86.3,135.4,25.7,86.0,0
1060610,91.0,123.3,70.3,99.6,1
1060611,132.0,158.3,46.1,120.1,1
1060612,122.4,63.1,73.1,85.7,1
1060613,57.6,215.8,40.0,59.4,0
1060614,118.0,108.8,62.9,110.1,1
1060615,142.9,179.5,48.8,69.8,0
1060616,112.0,101.1,47.8,72.3,0
1060617,90.1,110.7,62.0,103.2,0
1060618,111.8,104.6,33.6,84.7,0
1060619,93.9,93.7,47.3,96.6,0
1060620,100.0,114.3,64.0,84.3,0
1060621,111.5,141.3,67.8,113.0,1
1060622,76.2,136.0,33.4,88.6,0
1060623,80.9,110.1,49.4,91.2,1
1060624,109.3,145.8,31.8,102.4,1
1060625,90.1,140.6,68.7,128.9,1
1060626,98.4,139.8,45.6,99.5,1
1060627,121.2,150.0,58.9,76.3,0
1060628,108.0,166.4,46.3,81.6,0
1060629,78.6,186.8,40.8,123.7,0
1060630,103.8,97.6,54.0,90.4,0
1060631,95.3,143.5,38.9,91.6,0
1060632,92.8,86.7,49.0,54.7,0
1060633,126.0,151.8,50.6,108.0,0
