StationID,BoardingPassengerCount,IntervalTimeSeconds,LineStatus,CongestionScore,TrainDelayMinutes
1360071,100.0,5.8,Type_B,3.6,7.1
1360072,110.9,5.7,Type_A,8.6,21.8
1360073,112.4,26.1,Type_A,7.4,3.4
1360074,80.5,14.3,Type_C,4.2,55.9
1360075,58.9,7.1,Type_A,5.3,5.3
1360076,119.3,84.0,Type_B,7.3,13.6
1360077,130.2,3.8,Type_B,8.1,53.1
1360078,118.9,8.8,Type_C,6.4,1.1
1360079,110.8,15.6,Type_A,10.0,1.0
1360080,76.9,2.0,Type_B,7.6,44.7
1360081,104.7,1.0,Type_C,5.6,18.8
1360082,86.7,7.4,Type_B,9.4,3.8
1360083,134.9,1.0,Type_B,5.9,23.1
1360084,102.6,12.3,Type_C,4.5,24.1
1360085,115.4,19.0,Type_B,8.4,15.3
1360086,88.8,13.0,Type_A,6.9,10.9
1360087,112.6,3.8,Type_B,6.9,5.9
1360088,127.6,1.0,Type_B,7.1,15.9
1360089,114.6,5.0,Type_A,8.9,3.1
1360090,111.9,19.9,Type_C,7.0,40.9
1360091,95.2,2.4,Type_C,6.7,2.4
1360092,90.7,40.4,Type_A,7.1,15.0
1360093,84.5,1.6,Type_B,7.8,14.8
1360094,102.4,8.1,Type_C,6.1,1.2
1360095,139.6,11.4,Type_A,8.2,7.1
1360096,97.9,6.2,Type_A,6.3,29.9
1360097,145.9,9.3,Type_B,5.6,4.6
1360098,73.6,7.5,Type_A,5.9,4.7
1360099,99.6,9.9,Type_A,7.8,9.8
1360100,96.2,3.8,Type_C,8.0,7.5
1360101,98.9,5.8,Type_C,9.7,7.8
1360102,73.6,59.6,Type_B,5.3,2.0
1360103,66.6,47.4,Type_B,7.4,7.0
1360104,103.1,20.0,Type_B,10.0,1.2
1360105,108.6,2.6,Type_C,10.0,3.6
1360106,90.4,1.7,Type_B,7.1,29.2
1360107,131.8,5.7,Type_A,9.1,1.0
1360108,71.6,5.7,Type_B,7.0,16.0
1360109,124.4,1.3,Type_C,5.3,3.5
1360110,125.5,30.6,Type_B,6.0,3.4
1360111,107.7,2.6,Type_B,7.2,3.3
1360112,77.0,72.0,Type_C,4.8,8.3
1360113,72.9,2.7,Type_A,8.8,2.1
1360114,84.8,25.5,Type_C,9.8,1.0
1360115,140.8,18.4,Type_A,5.4,1.7
1360116,70.7,10.9,Type_A,4.8,23.5
1360117,144.8,52.2,Type_C,7.7,1.0
1360118,129.2,41.4,Type_A,7.0,22.1
1360119,121.7,46.3,Type_A,3.6,22.9
1360120,101.5,81.2,Type_C,7.6,2.3
1360121,134.4,2.0,Type_B,7.3,17.7
1360122,105.6,9.2,Type_C,6.6,29.9
1360123,60.5,16.0,Type_C,6.1,25.4
1360124,122.6,11.0,Type_A,7.7,6.3
1360125,65.4,5.4,Type_A,7.9,10.9
1360126,80.0,1.6,Type_A,5.7,4.8
1360127,120.9,9.6,Type_B,8.8,10.6
1360128,140.0,5.7,Type_A,6.3,1.0
1360129,81.8,1.0,Type_B,5.3,7.6
1360130,114.4,31.7,Type_A,9.4,12.4
1360131,76.4,13.8,Type_B,7.8,6.6
1360132,94.8,21.8,Type_A,7.9,11.5
1360133,79.9,1.0,Type_A,9.6,3.0
1360134,77.9,2.1,Type_C,6.0,1.5
1360135,91.3,6.9,Type_B,6.6,50.0
1360136,85.3,11.8,Type_A,5.3,21.9
1360137,99.1,2.6,Type_A,7.8,86.7
1360138,119.4,8.1,Type_A,5.3,17.7
1360139,60.4,4.2,Type_A,7.0,9.0
1360140,91.5,31.4,Type_C,7.6,6.4
1360141,62.8,20.7,Type_C,7.6,13.1
1360142,116.6,9.1,Type_C,6.6,2.1
1360143,59.0,11.2,Type_A,8.2,1.1
1360144,50.7,8.0,Type_A,6.9,19.8
1360145,60.5,20.5,Type_B,7.6,13.3
1360146,88.6,2.4,Type_A,7.4,1.5
1360147,49.2,2.2,Type_B,5.8,3.1
1360148,135.1,6.8,Type_A,6.0,16.3
1360149,114.5,39.1,Type_A,5.5,1.7
1360150,124.2,15.2,Type_A,7.3,33.2
1360151,70.4,1.3,Type_C,8.1,3.2
1360152,98.7,1.6,Type_B,10.0,7.6
1360153,86.8,21.3,Type_C,8.4,3.5
1360154,64.1,6.7,Type_A,9.5,1.5
1360155,61.6,38.1,Type_C,6.8,42.2
1360156,130.0,48.0,Type_A,4.7,69.7
1360157,121.8,9.0,Type_B,,13.3
1360158,78.3,39.6,Type_A,6.5,12.2
1360159,94.0,6.9,Type_A,5.5,4.2
1360160,127.6,26.8,Type_A,7.0,10.7
1360161,104.5,4.2,Type_C,5.4,13.0
1360162,81.4,3.2,Type_C,3.9,2.0
1360163,93.9,2.7,Type_B,10.0,23.2
1360164,43.6,9.1,Type_A,7.9,13.2
1360165,130.0,23.7,Type_B,5.5,11.1
1360166,65.8,33.4,Type_B,8.1,18.1
1360167,122.1,11.3,Type_B,8.3,1.7
1360168,93.1,2.4,Type_B,7.8,1.0
1360169,109.2,2.4,Type_A,9.2,4.9
1360170,151.4,2.7,Type_B,7.5,26.9
1360171,111.4,23.5,Type_C,7.9,1.7
1360172,103.8,6.8,Type_A,7.8,1.9
1360173,155.4,6.0,Type_C,5.3,1.8
1360174,119.2,1.0,Type_A,6.4,17.2
1360175,81.8,18.9,Type_B,6.5,1.0
1360176,73.5,16.2,Type_B,5.1,10.6
1360177,103.6,35.7,Type_B,5.2,11.2
1360178,96.7,73.6,Type_A,7.2,45.9
1360179,79.1,8.5,Type_B,5.7,9.7
1360180,85.3,1.8,Type_A,8.3,1.0
1360181,88.3,5.5,Type_B,6.4,10.0
1360182,106.7,5.8,Type_B,9.6,1.1
1360183,72.3,40.8,Type_A,8.1,4.4
1360184,163.9,8.4,Type_A,8.0,13.4
1360185,143.7,19.3,Type_C,7.1,1.7
1360186,132.0,16.7,Type_A,5.4,12.8
1360187,94.7,5.4,Type_C,6.2,7.1
1360188,73.6,1.0,Type_B,7.7,9.5
1360189,81.2,21.7,Type_C,10.0,59.4
1360190,109.3,1.0,Type_C,3.1,16.4
1360191,106.0,9.7,Type_C,7.6,4.7
1360192,108.1,7.5,Type_C,9.2,21.8
1360193,81.4,14.8,Type_B,9.3,17.7
1360194,64.4,1.7,Type_C,8.4,60.7
1360195,106.6,2.8,Type_A,7.8,13.1
1360196,116.2,41.2,Type_B,6.5,71.4
1360197,74.6,19.6,Type_A,8.8,9.4
1360198,156.8,19.2,Type_C,6.7,2.5
1360199,90.5,11.1,Type_A,7.5,12.0
1360200,67.9,5.4,Type_C,8.0,2.9
1360201,124.5,49.8,Type_B,4.1,33.2
1360202,93.9,5.8,Type_A,5.9,15.6
1360203,105.2,7.7,Type_A,9.8,10.2
1360204,87.3,3.1,Type_B,6.3,13.5
1360205,105.1,4.7,Type_B,5.4,3.5
1360206,150.8,2.4,Type_A,7.5,19.7
1360207,105.7,2.7,Type_C,6.6,11.5
1360208,96.3,32.5,Type_B,6.6,12.6
1360209,74.8,7.1,Type_C,5.2,12.4
1360210,120.7,39.6,Type_C,7.8,21.8
1360211,105.0,3.8,Type_A,5.7,12.4
1360212,116.9,21.1,Type_B,5.6,17.6
1360213,115.6,6.9,Type_A,7.1,1.0
1360214,78.0,22.9,Type_B,6.2,23.0
1360215,103.6,15.0,Type_B,5.2,1.0
1360216,133.5,1.9,Type_A,5.8,14.0
1360217,108.5,22.9,Type_C,6.6,13.7
1360218,95.7,51.6,Type_B,6.6,43.6
1360219,104.5,1.0,Type_C,8.5,7.2
1360220,137.8,13.3,Type_C,7.0,5.3
1360221,83.9,49.3,Type_B,8.2,11.6
1360222,123.9,19.4,Type_B,,26.5
1360223,118.0,2.5,Type_A,6.0,32.9
1360224,102.4,14.5,Type_A,6.6,21.6
1360225,94.8,15.4,Type_C,6.7,10.3
1360226,95.7,18.9,Type_A,5.9,4.0
1360227,97.5,14.0,Type_A,8.3,11.4
1360228,101.7,32.5,Type_B,8.3,22.1
1360229,81.1,10.9,Type_B,6.9,19.6
1360230,99.2,1.0,Type_A,8.2,7.0
1360231,103.6,70.9,Type_C,6.8,11.6
1360232,80.8,7.6,Type_C,8.3,1.0
1360233,135.8,20.8,Type_A,6.1,36.1
1360234,138.7,5.7,Type_A,8.6,13.0
1360235,122.1,27.2,Type_A,6.4,12.1
1360236,123.0,3.1,Type_A,7.4,2.0
1360237,128.6,3.0,Type_B,4.3,27.8
1360238,60.9,1.8,Type_B,5.7,2.7
1360239,102.4,6.4,Type_B,6.0,14.4
1360240,124.6,3.2,Type_B,9.9,54.0
1360241,112.0,4.4,Type_B,6.9,29.7
1360242,100.2,1.9,Type_B,5.6,111.5
1360243,100.3,22.9,Type_B,8.1,12.5
1360244,112.7,3.0,Type_A,8.8,13.3
1360245,72.7,36.1,Type_B,6.7,14.0
1360246,62.5,13.8,Type_A,2.3,2.2
1360247,84.9,1.8,Type_B,10.0,2.2
1360248,101.4,55.2,Type_C,6.7,1.0
1360249,137.0,1.7,Type_C,7.4,36.7
1360250,101.9,44.6,Type_B,6.8,34.2
1360251,100.9,12.1,Type_B,8.6,14.0
1360252,74.9,33.4,Type_C,6.6,22.5
1360253,88.8,23.4,Type_B,6.5,4.8
1360254,59.4,3.1,Type_C,5.8,1.2
1360255,119.8,4.5,Type_C,7.8,1.0
1360256,115.8,3.9,Type_B,6.6,4.2
1360257,122.2,1.0,Type_C,8.2,9.3
1360258,75.6,5.5,Type_A,5.7,11.9
1360259,139.7,23.9,Type_B,7.4,11.1
1360260,92.2,30.1,Type_A,9.1,2.7
1360261,101.4,16.2,Type_A,7.3,7.5
1360262,156.6,2.1,Type_B,6.2,13.5
1360263,120.8,9.9,Type_B,9.1,1.0
1360264,99.9,70.9,Type_C,5.1,8.5
1360265,134.9,1.0,Type_C,5.3,4.1
1360266,59.1,1.0,Type_C,8.6,6.9
1360267,87.3,24.8,Type_C,6.0,1.0
1360268,153.7,31.0,Type_B,6.5,59.5
1360269,77.9,1.0,Type_B,7.7,1.0
1360270,81.0,3.2,Type_C,9.1,3.2
1360271,132.6,3.0,Type_C,6.4,11.5
1360272,104.3,8.7,Type_C,7.4,3.2
1360273,82.3,40.4,Type_B,7.4,7.7
1360274,77.3,6.8,Type_C,6.3,9.3
1360275,80.1,9.7,Type_B,5.9,19.3
1360276,80.4,9.2,Type_C,,1.1
1360277,87.2,45.5,Type_B,6.5,3.3
1360278,141.5,5.7,Type_A,5.5,5.2
1360279,93.6,8.9,Type_A,6.7,38.1
1360280,83.5,6.1,Type_A,6.4,24.2
1360281,135.0,16.0,Type_B,7.5,42.6
1360282,137.9,83.3,Type_A,6.5,47.3
1360283,96.0,5.5,Type_B,6.4,18.9
1360284,81.7,5.4,Type_C,8.2,27.7
1360285,74.4,11.3,Type_B,5.3,53.8
1360286,116.7,13.4,Type_C,7.6,14.0
1360287,75.8,3.8,Type_B,7.9,35.7
1360288,125.4,6.8,Type_A,6.0,10.4
1360289,108.1,25.9,Type_C,7.4,3.0
1360290,90.8,5.1,Type_B,7.4,24.7
1360291,115.0,33.7,Type_B,8.4,2.8
1360292,32.3,1.0,Type_A,7.7,20.2
1360293,93.9,26.9,Type_B,9.2,9.7
1360294,124.7,2.6,Type_A,6.2,1.0
1360295,86.8,8.2,Type_C,6.1,3.7
1360296,99.8,26.5,Type_B,9.6,2.8
1360297,124.5,16.8,Type_A,7.7,8.3
1360298,82.5,3.4,Type_B,8.3,7.0
1360299,87.7,2.6,Type_A,8.2,14.5
1360300,103.6,2.8,Type_C,4.5,16.8
1360301,69.9,2.0,Type_B,9.4,38.3
1360302,85.1,7.1,Type_C,8.4,19.4
1360303,111.4,66.0,Type_C,6.6,1.0
1360304,82.2,26.0,Type_C,8.6,2.0
1360305,105.0,3.2,Type_A,7.6,9.4
1360306,117.0,19.8,Type_A,9.2,5.7
1360307,78.9,24.2,Type_B,7.0,8.5
1360308,137.1,15.0,Type_A,4.0,12.3
1360309,85.9,1.0,Type_C,4.6,22.0
1360310,97.3,2.5,Type_C,7.8,15.8
1360311,107.4,5.0,Type_B,4.9,16.2
1360312,85.3,1.4,Type_C,7.7,4.3
1360313,98.7,21.7,Type_C,6.7,7.0
1360314,135.1,49.9,Type_A,9.4,10.5
1360315,97.4,1.0,Type_C,6.5,19.7
1360316,135.3,1.0,Type_A,6.8,9.9
1360317,133.4,5.3,Type_A,7.1,3.1
1360318,87.0,32.3,Type_B,6.4,14.2
1360319,102.0,7.6,Type_B,7.6,9.3
1360320,123.2,40.8,Type_B,8.1,1.3
1360321,109.2,33.2,Type_B,8.0,12.4
1360322,82.1,3.6,Type_A,9.1,4.1
1360323,112.5,39.9,Type_B,7.2,20.0
1360324,148.4,23.1,Type_B,9.9,6.7
1360325,82.8,4.6,Type_B,9.1,28.0
1360326,55.9,21.8,Type_C,8.2,21.6
1360327,138.7,66.0,Type_A,5.7,5.7
1360328,110.4,7.4,Type_A,7.4,9.2
1360329,117.5,10.8,Type_C,7.4,1.0
1360330,117.5,1.7,Type_C,5.7,3.9
1360331,117.0,1.4,Type_C,4.8,5.1
1360332,108.1,12.4,Type_A,9.5,12.6
1360333,118.0,13.3,Type_C,6.6,7.8
1360334,115.4,3.7,Type_B,7.2,1.0
1360335,74.4,6.4,Type_A,8.5,16.2
1360336,102.5,6.7,Type_B,6.1,17.4
1360337,102.1,4.4,Type_A,7.8,7.0
1360338,125.5,13.4,Type_C,6.9,7.8
1360339,63.3,1.1,Type_B,9.3,14.9
1360340,105.6,20.4,Type_B,7.2,33.1
1360341,105.6,22.8,Type_B,5.2,25.2
1360342,109.8,27.1,Type_A,6.5,4.5
1360343,136.6,16.1,Type_B,6.8,12.0
1360344,86.9,1.0,Type_A,6.5,5.6
1360345,158.1,2.9,Type_C,8.9,35.6
1360346,123.8,27.1,Type_C,8.1,21.4
1360347,61.7,8.7,Type_A,5.2,27.2
1360348,67.7,7.3,Type_C,8.9,3.0
1360349,127.4,16.8,Type_C,6.5,2.3
1360350,128.9,7.4,Type_C,7.4,5.5
1360351,94.0,23.6,Type_C,10.0,13.7
1360352,83.4,13.9,Type_B,7.4,4.5
1360353,125.3,33.2,Type_A,7.4,3.7
1360354,122.5,24.8,Type_C,5.5,12.7
1360355,86.4,1.0,Type_B,8.6,9.9
1360356,145.7,2.9,Type_C,6.3,33.7
1360357,113.8,1.0,Type_B,10.0,5.6
1360358,124.3,1.0,Type_A,7.3,50.7
1360359,73.0,3.6,Type_B,7.9,4.7
1360360,96.0,32.9,Type_C,6.3,1.0
1360361,80.6,18.5,Type_A,8.1,37.1
1360362,87.8,7.5,Type_C,6.6,6.0
1360363,100.4,18.1,Type_A,8.3,37.3
1360364,70.7,3.4,Type_B,8.0,9.1
1360365,151.7,1.4,Type_A,9.0,25.6
1360366,89.7,17.2,Type_C,4.2,5.6
1360367,82.3,6.7,Type_B,6.0,8.8
1360368,102.6,7.9,Type_A,8.1,10.1
1360369,83.1,1.0,Type_A,5.7,32.8
1360370,71.8,13.4,Type_A,4.4,34.2
1360371,70.8,5.8,Type_B,4.8,2.7
1360372,85.8,1.0,Type_B,9.2,16.7
1360373,58.6,26.9,Type_A,8.8,4.4
1360374,49.8,8.2,Type_A,4.7,2.2
1360375,53.0,7.8,Type_A,8.3,4.6
1360376,98.6,1.0,Type_A,6.9,2.3
1360377,101.1,9.2,Type_C,6.8,1.0
1360378,114.6,14.4,Type_B,5.8,20.1
1360379,68.9,16.0,Type_C,9.7,10.0
1360380,67.7,5.0,Type_A,9.2,11.8
1360381,134.2,11.4,Type_C,6.0,3.8
1360382,78.3,10.6,Type_B,7.0,2.2
1360383,53.2,18.0,Type_B,7.2,11.6
1360384,93.1,3.4,Type_C,5.8,10.0
1360385,88.4,9.1,Type_A,8.8,17.6
1360386,128.3,24.8,Type_C,6.1,39.7
1360387,107.3,4.7,Type_A,7.4,28.3
1360388,102.7,18.6,Type_C,6.7,19.9
1360389,68.3,1.8,Type_A,5.5,2.2
1360390,128.7,23.5,Type_B,6.4,18.6
1360391,78.9,1.0,Type_B,6.3,1.4
1360392,116.7,31.1,Type_B,7.2,11.0
1360393,97.2,11.6,Type_B,5.4,2.9
1360394,108.6,1.0,Type_C,8.2,14.3
1360395,108.7,30.7,Type_A,7.1,3.3
1360396,76.8,33.5,Type_A,6.7,6.6
1360397,112.4,1.0,Type_A,6.1,5.8
1360398,90.8,2.1,Type_B,8.3,60.5
1360399,107.8,4.9,Type_C,7.5,36.5
1360400,104.6,25.9,Type_B,,42.1
1360401,104.3,6.0,Type_A,10.0,16.3
1360402,121.3,4.0,Type_A,8.9,6.9
1360403,62.3,1.0,Type_C,6.8,24.9
1360404,120.4,27.6,Type_C,7.3,12.4
1360405,142.3,34.5,Type_C,8.6,9.7
1360406,146.0,18.3,Type_C,6.5,36.2
1360407,99.2,7.2,Type_A,6.6,39.7
1360408,102.7,6.0,Type_C,6.3,7.5
1360409,125.5,39.7,Type_C,8.0,23.0
1360410,125.3,2.0,Type_B,10.0,35.5
1360411,85.1,24.8,Type_C,4.8,21.4
1360412,42.0,10.8,Type_C,8.5,12.7
1360413,100.3,3.1,Type_C,5.7,11.1
1360414,76.1,1.0,Type_A,8.9,12.6
1360415,81.6,18.6,Type_C,6.4,25.9
1360416,82.9,11.5,Type_A,7.9,15.0
1360417,92.1,11.3,Type_B,10.0,2.5
1360418,111.9,4.5,Type_A,7.1,5.5
1360419,102.3,1.7,Type_B,9.1,1.0
1360420,105.4,6.9,Type_C,8.7,4.2
1360421,187.7,32.0,Type_C,7.3,11.5
1360422,81.4,1.0,Type_C,8.7,10.2
1360423,67.1,11.6,Type_A,7.8,14.6
1360424,111.5,22.2,Type_A,6.7,2.7
1360425,27.7,7.1,Type_C,7.9,2.5
1360426,73.2,37.5,Type_C,8.1,10.4
1360427,122.3,1.0,Type_C,8.5,27.3
1360428,118.7,1.1,Type_A,7.2,8.7
1360429,62.7,25.1,Type_A,4.3,39.2
1360430,62.3,66.7,Type_A,7.0,1.0
1360431,131.6,2.9,Type_B,4.9,18.8
1360432,162.3,16.2,Type_B,7.5,38.5
1360433,110.9,6.7,Type_A,9.4,29.8
1360434,80.5,1.0,Type_B,5.0,19.2
1360435,100.9,6.4,Type_C,7.2,16.8
1360436,105.9,7.0,Type_A,7.2,15.7
1360437,108.0,47.8,Type_C,6.1,21.8
1360438,110.4,41.2,Type_C,7.0,4.3
1360439,116.6,16.4,Type_A,10.0,2.3
1360440,83.8,32.8,Type_C,6.7,13.8
1360441,65.5,44.5,Type_C,6.9,23.0
1360442,50.0,14.8,Type_C,7.6,7.2
1360443,82.3,10.3,Type_B,10.0,9.3
1360444,70.0,9.7,Type_A,7.1,1.7
1360445,78.9,26.6,Type_A,6.6,6.9
1360446,47.1,28.0,Type_A,9.3,2.3
1360447,94.2,1.7,Type_C,6.5,2.9
1360448,112.9,3.3,Type_A,4.5,6.6
1360449,113.3,5.8,Type_A,7.0,31.6
1360450,91.3,26.4,Type_C,5.0,4.1
1360451,114.2,10.8,Type_C,10.0,4.1
1360452,95.7,6.9,Type_B,5.2,11.0
1360453,67.0,1.3,Type_C,8.1,1.7
1360454,72.5,2.0,Type_B,4.9,2.1
1360455,104.1,3.3,Type_A,6.7,13.7
1360456,104.0,18.7,Type_C,,17.9
1360457,119.6,21.3,Type_B,8.8,4.6
1360458,70.8,4.4,Type_C,5.4,5.1
1360459,83.8,9.2,Type_C,7.8,17.3
1360460,81.8,6.6,Type_C,7.9,1.0
1360461,132.1,2.7,Type_C,8.0,6.1
1360462,128.8,10.7,Type_A,8.4,27.6
1360463,117.8,12.8,Type_B,8.2,2.5
1360464,91.6,3.1,Type_C,7.1,9.9
1360465,73.9,14.2,Type_A,5.4,3.8
1360466,103.8,52.9,Type_A,6.5,2.5
1360467,68.4,4.3,Type_B,6.3,4.8
1360468,83.9,6.7,Type_C,7.6,33.2
1360469,68.0,4.9,Type_C,8.0,17.0
1360470,109.3,8.8,Type_A,8.0,41.0
1360471,108.1,1.0,Type_C,6.2,1.0
1360472,107.5,7.5,Type_B,7.1,10.1
1360473,84.0,7.6,Type_B,9.1,8.5
1360474,82.8,10.7,Type_B,8.0,2.2
1360475,100.6,1.0,Type_C,8.6,8.0
1360476,92.0,34.6,Type_C,9.7,14.4
1360477,75.4,1.0,Type_A,6.2,55.7
1360478,116.4,30.0,Type_C,9.5,29.6
1360479,101.0,1.0,Type_A,5.4,2.0
1360480,61.6,1.8,Type_A,6.7,1.3
1360481,108.6,2.6,Type_B,6.8,8.5
1360482,103.3,18.5,Type_A,7.1,1.5
1360483,107.5,1.7,Type_A,10.0,8.4
1360484,100.0,4.1,Type_A,8.9,3.5
1360485,49.3,12.0,Type_A,6.0,13.6
1360486,97.1,50.5,Type_B,,4.2
1360487,69.7,10.4,Type_C,7.5,2.8
1360488,124.0,1.0,Type_B,9.2,13.1
1360489,75.2,5.4,Type_A,9.8,25.9
1360490,109.5,2.0,Type_C,6.7,36.8
1360491,89.5,10.3,Type_A,7.9,59.6
1360492,86.3,29.6,Type_B,6.7,3.1
1360493,113.2,4.2,Type_B,7.0,2.0
1360494,99.7,4.1,Type_C,6.2,27.5
1360495,69.7,2.9,Type_C,4.5,6.7
1360496,107.3,1.0,Type_A,8.1,6.6
1360497,119.9,32.1,Type_C,5.9,23.0
1360498,125.9,12.7,Type_C,7.8,16.5
1360499,83.4,14.8,Type_C,8.3,4.5
1360500,113.0,37.2,Type_C,7.3,3.1
1360501,88.0,20.6,Type_B,4.3,1.0
1360502,114.6,46.4,Type_C,6.8,7.7
1360503,125.5,18.8,Type_C,8.4,69.1
1360504,100.4,4.8,Type_A,7.2,18.8
1360505,131.5,16.3,Type_A,8.1,13.3
1360506,89.7,15.5,Type_B,7.3,31.8
1360507,70.7,7.8,Type_A,3.7,10.1
1360508,81.3,41.8,Type_B,5.1,17.9
1360509,138.2,24.8,Type_C,6.1,14.4
1360510,70.6,20.7,Type_C,9.0,21.1
1360511,132.6,2.9,Type_B,8.5,1.4
1360512,106.3,7.1,Type_C,,4.6
1360513,98.8,2.9,Type_C,6.5,1.0
1360514,91.0,7.2,Type_A,7.3,22.2
1360515,81.0,10.3,Type_A,6.3,15.6
1360516,104.6,30.9,Type_A,6.8,1.6
1360517,85.9,7.3,Type_C,6.3,9.0
1360518,87.6,27.2,Type_A,8.2,12.8
1360519,48.7,1.0,Type_B,8.2,68.8
1360520,87.2,1.1,Type_A,4.5,19.0
1360521,139.5,4.1,Type_C,6.8,17.7
1360522,110.3,40.7,Type_C,5.8,57.6
1360523,93.8,39.5,Type_A,6.9,12.5
1360524,98.4,27.2,Type_B,8.6,2.2
1360525,71.0,17.6,Type_B,8.6,21.8
1360526,140.8,6.4,Type_A,5.3,7.8
1360527,95.6,11.9,Type_C,4.5,39.5
1360528,100.4,1.0,Type_C,8.1,2.9
1360529,84.5,51.4,Type_C,7.3,29.0
1360530,89.6,55.2,Type_B,7.1,1.8
1360531,103.3,20.4,Type_B,7.8,1.8
1360532,96.2,12.9,Type_B,6.7,37.1
1360533,112.9,5.5,Type_B,5.8,21.4
1360534,71.8,22.2,Type_C,6.6,14.7
1360535,111.5,15.4,Type_A,6.0,5.1
1360536,60.8,1.0,Type_C,7.1,24.9
1360537,114.6,7.4,Type_B,7.8,1.7
1360538,96.7,15.3,Type_C,5.9,2.9
1360539,78.0,6.2,Type_A,6.7,5.6
1360540,87.9,42.4,Type_B,8.5,4.0
1360541,77.1,2.1,Type_B,7.1,4.0
1360542,87.0,20.9,Type_A,9.4,22.8
1360543,119.8,83.5,Type_C,6.9,15.7
1360544,82.0,3.4,Type_C,7.0,17.6
1360545,70.6,7.9,Type_C,7.9,57.9
1360546,73.0,14.8,Type_B,9.9,60.6
1360547,119.7,1.8,Type_B,7.5,19.1
1360548,78.7,7.7,Type_C,9.2,14.9
1360549,75.1,31.7,Type_C,6.6,36.7
1360550,101.1,8.6,Type_C,8.2,5.7
1360551,76.4,12.2,Type_B,4.8,25.7
1360552,51.0,14.1,Type_B,6.9,3.6
1360553,86.4,1.1,Type_B,4.3,46.2
1360554,94.7,14.9,Type_A,5.3,62.5
1360555,111.6,1.0,Type_C,9.3,10.2
1360556,137.4,8.0,Type_C,,12.8
