LoanID,CreditScore,DebtToIncome,AnnualIncome,EmploymentYears,Defaulted
1010092,779.0,56.7,69852.0,7.2,0
1010093,725.0,31.2,98925.0,1.4,0
1010094,617.0,55.2,47681.0,6.3,1
1010095,653.0,,61396.0,3.7,1
1010096,752.0,36.3,70779.0,12.2,1
1010097,542.0,14.8,58372.0,4.5,1
1010098,619.0,63.5,77702.0,12.3,0
1010099,730.0,56.1,51861.0,10.4,1
1010100,594.0,35.4,35016.0,10.4,1
1010101,792.0,45.1,45326.0,5.1,0
1010102,602.0,32.2,55931.0,1.6,1
1010103,583.0,51.2,90160.0,1.1,0
1010104,587.0,56.6,73921.0,9.1,0
1010105,683.0,35.8,33803.0,3.4,0
1010106,651.0,50.8,43023.0,13.9,0
1010107,626.0,32.2,66573.0,4.3,0
1010108,688.0,,80180.0,4.2,0
1010109,624.0,48.3,47493.0,5.5,0
1010110,698.0,56.5,71122.0,8.2,0
1010111,725.0,35.1,54218.0,12.7,1
1010112,705.0,43.4,65309.0,13.6,1
1010113,604.0,51.8,63124.0,2.2,0
1010114,743.0,56.6,94833.0,3.3,1
1010115,691.0,66.1,51859.0,12.0,0
1010116,738.0,42.5,56365.0,10.4,1
1010117,748.0,74.0,88212.0,13.9,0
1010118,653.0,33.1,59241.0,11.4,1
1010119,735.0,57.8,81079.0,5.0,0
1010120,630.0,69.1,44066.0,7.6,1
1010121,721.0,73.0,45296.0,5.5,0
1010122,567.0,43.5,72401.0,11.4,1
1010123,727.0,29.3,65535.0,2.2,0
1010124,682.0,22.2,41034.0,1.3,1
1010125,563.0,38.7,64809.0,2.2,1
1010126,703.0,17.5,90281.0,3.1,0
1010127,643.0,33.3,78366.0,10.2,0
1010128,828.0,17.8,81206.0,4.5,1
1010129,694.0,50.1,51530.0,4.5,1
1010130,841.0,61.8,71376.0,3.2,0
1010131,731.0,42.7,77724.0,1.0,0
1010132,620.0,67.0,52008.0,8.7,1
1010133,701.0,40.0,73602.0,13.9,0
1010134,697.0,54.7,43665.0,9.1,1
1010135,740.0,30.8,69916.0,3.8,0
1010136,571.0,48.6,57576.0,11.3,1
1010137,662.0,57.3,100617.0,4.6,1
1010138,640.0,50.4,57289.0,4.8,0
1010139,697.0,60.9,65174.0,7.3,1
1010140,694.0,47.6,49004.0,5.4,0
1010141,703.0,46.5,89747.0,1.1,0
1010142,727.0,47.8,40413.0,4.3,0
1010143,668.0,63.4,55704.0,14.0,1
1010144,735.0,51.1,32582.0,11.8,1
1010145,653.0,52.2,41764.0,1.5,0
1010146,651.0,48.3,77532.0,2.1,0
1010147,704.0,63.0,73682.0,8.5,1
1010148,694.0,,80339.0,3.4,0
1010149,611.0,35.7,79713.0,12.7,0
1010150,836.0,46.0,71943.0,6.4,0
1010151,612.0,47.2,67564.0,10.0,1
1010152,573.0,22.9,19963.0,1.4,1
1010153,759.0,68.6,64986.0,4.4,0
1010154,717.0,47.9,51354.0,7.2,0
1010155,708.0,37.0,74949.0,4.6,0
1010156,636.0,66.3,76574.0,5.0,0
1010157,582.0,59.5,57824.0,2.8,1
1010158,665.0,22.9,50610.0,3.6,1
1010159,677.0,12.1,84170.0,4.9,1
1010160,681.0,32.0,63743.0,12.0,1
1010161,687.0,58.2,51712.0,4.4,0
1010162,767.0,57.6,82217.0,1.7,0
1010163,603.0,50.3,73552.0,1.1,0
1010164,546.0,57.6,89010.0,6.5,0
1010165,653.0,42.2,56241.0,9.8,1
1010166,563.0,63.2,72493.0,2.5,1
1010167,488.0,58.1,73887.0,9.2,1
1010168,787.0,31.4,77286.0,7.1,0
1010169,692.0,44.2,29442.0,9.6,1
1010170,636.0,46.3,43771.0,10.5,1
1010171,653.0,58.0,82805.0,9.8,1
1010172,802.0,30.8,91237.0,3.6,0
1010173,759.0,44.0,64381.0,13.1,0
1010174,743.0,53.8,64945.0,2.8,0
1010175,703.0,37.7,89981.0,4.4,0
1010176,606.0,59.1,64409.0,14.6,0
1010177,671.0,56.8,73352.0,4.1,1
1010178,614.0,36.5,46234.0,8.1,1
1010179,822.0,44.7,48146.0,4.1,0
1010180,607.0,48.2,50837.0,12.0,1
1010181,589.0,44.7,77216.0,6.5,0
1010182,566.0,28.9,73193.0,2.3,1
1010183,736.0,33.5,99903.0,12.4,0
1010184,563.0,71.7,62320.0,1.5,1
1010185,723.0,38.6,52101.0,10.0,1
1010186,700.0,53.2,71853.0,13.3,0
1010187,666.0,37.4,85055.0,6.5,0
1010188,850.0,15.6,26413.0,8.8,1
1010189,642.0,76.1,91387.0,1.7,0
1010190,715.0,32.4,52237.0,11.8,0
1010191,594.0,46.4,56764.0,2.0,1
1010192,624.0,32.0,62050.0,12.0,1
1010193,733.0,38.6,57187.0,6.1,0
1010194,626.0,43.4,54395.0,1.7,0
1010195,678.0,37.9,47467.0,5.0,1
1010196,728.0,51.9,86107.0,3.0,0
1010197,686.0,70.6,67912.0,10.4,0
1010198,651.0,39.8,70094.0,5.8,0
1010199,684.0,63.5,66112.0,1.6,0
1010200,532.0,35.4,44527.0,13.0,1
1010201,660.0,51.2,88061.0,11.8,0
1010202,754.0,36.0,66660.0,12.0,1
1010203,803.0,44.4,63302.0,7.7,0
1010204,729.0,44.1,48523.0,2.6,1
1010205,691.0,64.4,73089.0,3.5,0
1010206,692.0,55.4,73780.0,7.7,0
1010207,626.0,52.2,34262.0,6.0,0
1010208,747.0,40.7,86395.0,1.2,1
1010209,743.0,58.3,79537.0,2.3,1
1010210,642.0,58.7,85401.0,6.4,0
1010211,572.0,48.0,71136.0,5.0,0
1010212,710.0,36.8,45646.0,4.6,1
1010213,768.0,48.8,66967.0,12.2,1
1010214,649.0,24.1,76507.0,3.7,0
1010215,699.0,61.1,67252.0,9.1,0
1010216,709.0,15.6,72961.0,12.2,0
1010217,749.0,62.9,63290.0,7.8,0
1010218,716.0,31.5,62896.0,8.4,0
1010219,615.0,35.2,92025.0,10.3,0
1010220,739.0,38.3,103460.0,3.1,0
1010221,659.0,55.4,55423.0,6.4,0
1010222,682.0,37.5,47524.0,9.3,1
1010223,742.0,58.3,112720.0,3.7,0
1010224,551.0,61.7,68151.0,11.0,1
1010225,740.0,59.8,57823.0,2.2,0
1010226,605.0,30.3,34417.0,5.4,0
1010227,639.0,64.6,109775.0,3.5,0
1010228,765.0,36.6,67706.0,5.8,0
1010229,764.0,77.4,79052.0,8.1,0
1010230,623.0,38.6,84771.0,9.7,1
1010231,608.0,11.5,69397.0,1.3,1
1010232,573.0,60.6,74032.0,13.6,1
1010233,620.0,41.7,86150.0,7.4,1
1010234,792.0,28.5,58709.0,7.9,0
1010235,693.0,29.7,67290.0,1.2,1
1010236,610.0,70.3,109940.0,13.0,0
1010237,671.0,42.2,59633.0,10.0,1
1010238,587.0,39.5,47581.0,13.4,0
1010239,674.0,47.8,64283.0,7.2,1
1010240,729.0,52.2,87054.0,5.2,0
1010241,581.0,27.2,35773.0,12.2,0
1010242,741.0,48.8,78430.0,1.7,1
1010243,791.0,33.7,45049.0,14.1,0
1010244,745.0,44.7,73666.0,6.3,0
1010245,641.0,46.5,53595.0,14.8,0
1010246,746.0,94.1,38348.0,3.8,0
1010247,612.0,64.1,61719.0,7.8,1
1010248,606.0,88.6,48960.0,6.1,1
1010249,832.0,40.8,49407.0,5.0,1
1010250,591.0,60.0,71001.0,8.1,0
1010251,624.0,48.7,76997.0,6.8,1
1010252,662.0,68.1,67661.0,14.6,0
1010253,686.0,14.3,105127.0,7.2,1
1010254,773.0,24.6,63496.0,4.3,0
1010255,736.0,19.2,46892.0,4.3,1
1010256,775.0,58.3,33893.0,14.4,1
1010257,734.0,32.5,63472.0,3.4,0
1010258,701.0,50.0,86303.0,13.8,0
1010259,583.0,50.1,72395.0,14.5,0
1010260,690.0,41.0,45504.0,10.6,1
1010261,629.0,59.0,63376.0,13.8,1
1010262,630.0,41.8,47154.0,3.5,0
1010263,660.0,60.3,65398.0,4.9,1
1010264,826.0,35.2,71384.0,2.1,0
1010265,750.0,52.2,86020.0,12.1,0
1010266,752.0,54.9,57115.0,3.9,0
1010267,604.0,21.6,61545.0,7.6,1
1010268,680.0,47.3,65505.0,6.1,0
1010269,665.0,40.2,60704.0,14.5,1
1010270,700.0,33.3,44317.0,2.7,0
1010271,738.0,82.1,55311.0,11.5,0
1010272,670.0,58.4,24777.0,12.8,1
1010273,688.0,61.9,41900.0,1.7,1
1010274,727.0,73.0,51792.0,6.9,0
1010275,709.0,55.6,67367.0,1.8,0
1010276,737.0,36.8,23885.0,14.6,1
1010277,488.0,67.1,48620.0,2.1,1
1010278,611.0,30.4,46210.0,3.9,1
1010279,669.0,26.8,112571.0,3.6,0
1010280,609.0,50.4,74241.0,7.1,1
1010281,604.0,55.5,73341.0,10.0,0
1010282,500.0,34.6,82993.0,13.2,0
1010283,726.0,38.5,51664.0,10.3,0
1010284,657.0,34.1,83003.0,2.6,1
1010285,615.0,52.0,70500.0,6.9,1
1010286,800.0,44.7,68071.0,6.2,0
1010287,647.0,38.7,78197.0,10.5,0
1010288,740.0,43.6,87489.0,10.1,0
1010289,696.0,61.0,31258.0,4.6,1
1010290,723.0,43.6,63916.0,3.7,0
1010291,536.0,42.9,116904.0,5.3,0
1010292,668.0,40.0,89232.0,2.9,0
1010293,649.0,68.3,70420.0,1.6,0
1010294,728.0,53.3,54898.0,11.2,0
1010295,850.0,63.2,53392.0,12.8,0
1010296,787.0,49.8,100222.0,3.1,0
1010297,770.0,21.7,73580.0,6.6,0
1010298,577.0,38.9,48635.0,13.1,1
1010299,695.0,47.6,79021.0,3.3,0
1010300,663.0,63.5,56657.0,8.4,1
1010301,581.0,9.2,51369.0,9.0,1
1010302,703.0,55.3,57013.0,6.9,1
1010303,751.0,62.3,50406.0,4.4,0
1010304,703.0,29.8,35957.0,12.1,1
1010305,744.0,22.6,77835.0,2.7,0
1010306,774.0,92.0,65682.0,3.7,0
1010307,654.0,44.6,27302.0,7.2,1
1010308,817.0,34.4,15000.0,10.1,1
1010309,620.0,47.0,75497.0,4.4,1
1010310,664.0,59.9,91528.0,13.0,0
1010311,676.0,34.0,111784.0,13.3,0
1010312,649.0,65.6,62235.0,12.6,1
1010313,575.0,20.2,69222.0,9.8,1
1010314,754.0,43.2,44407.0,8.8,0
1010315,810.0,45.5,32559.0,5.2,0
1010316,715.0,67.2,68109.0,8.9,1
1010317,688.0,42.9,53142.0,11.1,0
1010318,654.0,43.3,68613.0,3.0,1
1010319,712.0,40.1,72109.0,6.2,0
1010320,721.0,8.6,39004.0,13.2,1
1010321,667.0,37.3,84399.0,5.4,0
1010322,638.0,78.7,76513.0,6.7,0
1010323,501.0,42.6,96402.0,9.1,0
1010324,678.0,56.5,80382.0,7.1,0
1010325,779.0,40.2,52298.0,3.3,0
1010326,684.0,48.7,55519.0,4.4,1
1010327,572.0,40.9,63815.0,12.4,0
1010328,623.0,32.7,43776.0,5.1,1
1010329,568.0,51.4,78603.0,10.9,1
1010330,535.0,33.4,67754.0,5.8,1
1010331,786.0,59.9,102091.0,8.3,0
1010332,692.0,55.2,56066.0,9.3,0
1010333,712.0,33.2,56521.0,7.3,1
1010334,526.0,33.7,95910.0,6.6,0
1010335,718.0,63.5,80444.0,12.7,0
1010336,729.0,61.2,43273.0,8.5,1
1010337,768.0,39.4,50042.0,11.5,0
1010338,607.0,42.4,75644.0,2.7,0
1010339,590.0,40.4,56998.0,5.0,1
1010340,769.0,65.7,62338.0,10.6,1
1010341,725.0,57.2,57926.0,7.1,0
1010342,659.0,52.3,108873.0,1.2,1
1010343,733.0,31.4,42021.0,7.2,1
1010344,803.0,29.2,42599.0,7.1,0
1010345,701.0,59.1,62835.0,11.0,0
1010346,717.0,70.0,73397.0,8.8,0
1010347,746.0,4.1,57896.0,5.5,1
1010348,732.0,21.0,35684.0,12.7,0
1010349,670.0,54.6,60482.0,8.5,0
1010350,686.0,41.4,48088.0,14.7,1
1010351,548.0,30.8,87002.0,11.7,0
1010352,588.0,55.2,84480.0,12.8,0
1010353,850.0,25.1,51732.0,6.4,0
1010354,637.0,58.6,58954.0,6.8,1
1010355,560.0,38.4,82273.0,12.1,0
1010356,775.0,69.8,86145.0,10.9,1
1010357,806.0,41.9,49454.0,1.0,0
1010358,588.0,59.6,91770.0,1.1,0
1010359,682.0,38.2,83019.0,13.3,0
1010360,665.0,30.3,102834.0,13.5,0
1010361,658.0,36.0,82643.0,5.4,1
1010362,621.0,45.9,35214.0,2.1,1
1010363,622.0,22.0,67272.0,11.7,1
1010364,645.0,61.6,70956.0,13.1,0
1010365,719.0,44.6,72683.0,10.4,1
1010366,667.0,10.0,79007.0,2.9,0
1010367,696.0,22.7,60471.0,2.6,1
1010368,691.0,27.9,69846.0,6.9,0
1010369,666.0,28.3,60798.0,12.0,0
1010370,634.0,47.8,29341.0,2.6,1
1010371,620.0,42.0,59717.0,12.0,1
1010372,654.0,50.9,45348.0,11.3,1
1010373,679.0,34.2,74976.0,7.5,0
1010374,580.0,59.5,104072.0,2.2,0
1010375,625.0,34.5,66748.0,11.8,1
1010376,749.0,32.7,64671.0,4.9,1
1010377,623.0,51.9,63597.0,2.5,1
1010378,689.0,29.8,61365.0,2.4,0
1010379,580.0,58.8,63189.0,9.0,1
1010380,768.0,67.7,64721.0,14.5,0
1010381,775.0,59.4,82326.0,13.2,0
1010382,698.0,32.2,64007.0,13.6,1
1010383,689.0,37.3,59816.0,10.4,1
1010384,713.0,53.7,47747.0,6.0,1
1010385,670.0,41.9,57678.0,4.2,1
1010386,630.0,65.7,69971.0,4.5,0
1010387,740.0,66.0,85537.0,14.2,0
1010388,629.0,62.0,68789.0,8.7,1
1010389,709.0,69.2,72541.0,2.4,1
1010390,769.0,32.5,69022.0,10.4,0
1010391,596.0,35.7,38625.0,10.2,1
1010392,670.0,53.7,60116.0,2.2,1
1010393,681.0,72.1,77447.0,14.9,0
1010394,529.0,31.4,75760.0,6.7,1
1010395,645.0,41.6,69929.0,6.7,0
1010396,685.0,52.5,60024.0,14.7,1
1010397,590.0,43.5,81557.0,4.3,0
1010398,750.0,12.1,57091.0,4.2,1
1010399,797.0,36.7,97486.0,10.9,0
1010400,784.0,38.2,66230.0,5.5,1
1010401,826.0,39.4,83420.0,4.4,0
1010402,660.0,29.9,53794.0,1.5,1
1010403,763.0,41.3,62931.0,10.1,0
1010404,704.0,12.9,75288.0,3.9,1
1010405,594.0,31.2,64114.0,4.7,1
1010406,614.0,36.7,54428.0,7.2,0
1010407,652.0,44.1,103680.0,13.6,0
1010408,555.0,56.5,73548.0,1.7,1
1010409,678.0,35.9,77705.0,5.4,0
1010410,682.0,52.6,44924.0,11.3,1
1010411,850.0,40.3,60922.0,1.0,0
1010412,701.0,24.6,57243.0,13.2,1
1010413,777.0,47.2,58560.0,5.4,0
1010414,719.0,51.4,53120.0,14.1,0
1010415,632.0,66.6,83410.0,3.8,0
1010416,612.0,,60199.0,10.8,1
1010417,640.0,49.7,95418.0,12.0,0
1010418,657.0,62.0,72438.0,8.8,0
1010419,762.0,47.7,61253.0,10.2,1
1010420,768.0,21.5,57635.0,7.4,0
1010421,653.0,35.2,26365.0,6.7,1
1010422,663.0,55.9,79335.0,8.3,0
1010423,624.0,43.7,28444.0,10.6,1
1010424,667.0,52.2,73794.0,1.2,0
1010425,699.0,61.9,65208.0,4.0,0
1010426,641.0,49.0,64879.0,12.6,0
1010427,690.0,47.6,78595.0,2.1,1
1010428,635.0,43.2,78093.0,1.6,0
1010429,775.0,49.2,54666.0,11.3,0
1010430,696.0,43.4,86601.0,10.2,0
1010431,640.0,53.2,58333.0,3.6,0
1010432,780.0,,68802.0,9.7,0
1010433,557.0,45.7,72254.0,11.7,1
1010434,671.0,14.7,80804.0,6.4,0
1010435,789.0,43.5,78183.0,10.6,1
1010436,767.0,32.2,81167.0,2.2,0
1010437,736.0,35.4,73508.0,6.2,0
1010438,677.0,41.3,42134.0,7.8,1
1010439,753.0,41.1,62531.0,10.4,0
1010440,732.0,59.4,81218.0,4.7,0
1010441,757.0,50.9,27784.0,13.1,0
1010442,608.0,42.6,55919.0,7.4,1
1010443,759.0,31.0,44285.0,7.7,0
1010444,616.0,13.2,90107.0,5.2,0
1010445,590.0,45.4,77493.0,9.5,1
1010446,679.0,73.0,57994.0,9.9,0
1010447,675.0,26.3,94205.0,13.1,1
1010448,770.0,60.8,64525.0,10.1,0
1010449,665.0,38.2,91840.0,7.8,0
1010450,703.0,34.1,61306.0,10.2,0
1010451,609.0,67.6,62386.0,3.8,1
1010452,593.0,56.2,55619.0,10.6,0
1010453,654.0,36.2,91833.0,2.4,0
1010454,721.0,51.3,77828.0,9.1,0
1010455,850.0,31.6,65965.0,4.6,0
1010456,605.0,60.5,70131.0,13.7,1
1010457,808.0,68.5,77179.0,7.1,1
1010458,660.0,33.4,72011.0,9.9,1
1010459,780.0,66.8,122602.0,7.0,0
1010460,576.0,40.9,80194.0,11.0,0
1010461,699.0,48.4,81693.0,13.8,1
1010462,691.0,59.4,60746.0,7.1,0
1010463,648.0,51.1,60834.0,8.8,1
1010464,661.0,24.6,63026.0,7.1,0
1010465,680.0,40.7,38926.0,8.7,1
1010466,689.0,38.8,70968.0,6.2,0
1010467,546.0,49.5,60116.0,14.4,1
1010468,591.0,55.7,49682.0,10.1,1
1010469,618.0,73.7,67581.0,9.0,0
1010470,485.0,63.8,75924.0,13.8,1
1010471,583.0,40.3,75366.0,11.7,1
1010472,732.0,45.9,81441.0,11.7,0
1010473,702.0,62.9,31294.0,10.1,0
1010474,615.0,42.1,58653.0,11.7,1
1010475,746.0,14.8,60315.0,6.2,0
1010476,679.0,38.6,60185.0,11.9,1
1010477,614.0,37.4,80340.0,4.1,0
1010478,724.0,47.2,29172.0,5.0,0
1010479,774.0,33.8,63298.0,4.8,0
1010480,655.0,30.8,58151.0,4.5,1
1010481,732.0,37.3,105766.0,6.5,0
1010482,700.0,27.9,47525.0,7.8,0
1010483,703.0,67.9,61127.0,12.3,0
1010484,592.0,55.5,87731.0,13.9,0
1010485,584.0,18.1,37460.0,8.2,1
1010486,601.0,42.9,99335.0,3.4,0
1010487,702.0,62.2,78574.0,4.0,0
1010488,675.0,55.0,63954.0,11.2,1
1010489,667.0,48.3,89723.0,6.2,1
1010490,771.0,44.6,67528.0,2.2,0
1010491,788.0,34.2,37573.0,13.9,1
1010492,547.0,26.4,54412.0,11.6,1
1010493,530.0,46.3,47241.0,13.4,1
1010494,647.0,49.2,74697.0,7.7,0
1010495,711.0,54.6,78978.0,2.3,0
1010496,721.0,57.1,59358.0,13.2,0
1010497,661.0,54.9,63915.0,9.5,0
1010498,530.0,20.3,80701.0,2.1,1
1010499,812.0,23.8,51047.0,10.5,1
1010500,631.0,59.2,91043.0,9.4,0
1010501,705.0,58.8,70722.0,8.3,0
1010502,681.0,32.5,63488.0,10.3,1
1010503,657.0,32.5,42666.0,10.4,1
1010504,758.0,46.7,70560.0,1.1,0
1010505,769.0,23.0,74264.0,4.2,0
1010506,584.0,34.2,54756.0,14.1,1
1010507,499.0,52.5,84077.0,3.3,0
1010508,634.0,40.0,66649.0,2.0,0
1010509,704.0,53.4,75938.0,8.5,0
1010510,700.0,25.7,82136.0,7.8,0
1010511,705.0,57.6,16454.0,8.2,1
1010512,759.0,75.0,47135.0,7.4,0
1010513,752.0,34.4,73404.0,12.5,0
1010514,649.0,55.5,40811.0,10.0,1
1010515,582.0,26.7,64873.0,14.4,1
1010516,626.0,31.0,105628.0,9.2,0
1010517,764.0,55.6,65487.0,9.8,0
1010518,630.0,44.3,71778.0,13.6,0
1010519,760.0,35.9,66849.0,5.6,0
1010520,728.0,47.2,66400.0,14.3,1
1010521,832.0,24.7,40672.0,12.1,1
1010522,679.0,44.3,61291.0,11.1,0
1010523,516.0,65.1,91442.0,4.6,0
1010524,821.0,56.6,69286.0,8.7,0
1010525,682.0,57.4,82572.0,1.6,0
1010526,671.0,49.7,75794.0,14.4,0
1010527,781.0,68.6,94041.0,9.9,0
1010528,656.0,21.8,65399.0,2.6,0
1010529,605.0,30.3,67999.0,14.5,1
1010530,655.0,58.2,45120.0,13.3,1
1010531,721.0,72.6,57289.0,9.2,0
1010532,652.0,55.3,102926.0,7.6,0
1010533,808.0,34.8,72020.0,12.9,0
1010534,612.0,42.8,65145.0,8.7,0
1010535,625.0,46.1,41969.0,10.2,1
1010536,583.0,73.6,73800.0,13.7,0
1010537,814.0,70.6,63806.0,8.3,0
1010538,802.0,63.8,48916.0,1.3,1
1010539,659.0,63.4,52484.0,1.2,1
1010540,618.0,17.2,75401.0,6.5,1
1010541,555.0,27.5,75534.0,7.0,1
1010542,782.0,45.1,44549.0,9.0,0
1010543,724.0,42.6,88142.0,7.5,1
1010544,725.0,67.6,62163.0,7.1,0
1010545,653.0,58.9,81015.0,1.5,0
1010546,765.0,51.4,49685.0,4.8,0
1010547,682.0,53.3,47616.0,13.5,0
1010548,596.0,44.4,78447.0,2.7,1
1010549,616.0,43.9,77938.0,9.4,0
1010550,698.0,36.9,65458.0,5.1,0
1010551,583.0,46.7,52569.0,8.4,0
1010552,717.0,27.5,47096.0,3.4,1
1010553,613.0,61.3,50241.0,11.0,1
1010554,646.0,41.0,39539.0,1.5,1
1010555,642.0,45.6,84397.0,11.6,1
1010556,657.0,34.5,79139.0,12.2,0
1010557,717.0,25.5,64914.0,11.5,0
1010558,586.0,42.0,81298.0,1.7,0
1010559,632.0,43.6,42154.0,12.7,1
1010560,582.0,41.0,62951.0,1.7,1
1010561,643.0,68.1,65171.0,13.8,1
1010562,608.0,42.4,91946.0,12.0,0
1010563,689.0,34.6,84693.0,8.0,0
1010564,711.0,55.4,70743.0,12.9,1
1010565,816.0,46.2,57469.0,13.6,0
1010566,646.0,75.1,72988.0,10.5,0
1010567,774.0,47.6,69632.0,5.9,0
1010568,641.0,36.0,64381.0,3.2,0
1010569,632.0,53.5,24887.0,5.3,1
1010570,724.0,53.4,85861.0,5.0,0
1010571,751.0,3.7,79519.0,12.0,1
1010572,756.0,51.3,105229.0,8.2,0
1010573,716.0,26.8,46288.0,6.3,0
1010574,690.0,47.4,35248.0,11.0,0
1010575,804.0,50.3,65843.0,6.7,1
1010576,645.0,54.1,71098.0,8.9,0
1010577,619.0,33.4,87656.0,13.3,1
1010578,635.0,72.5,74997.0,8.2,0
1010579,588.0,31.1,61089.0,10.5,1
1010580,632.0,11.8,35219.0,5.4,1
1010581,791.0,53.5,74103.0,12.9,1
1010582,565.0,32.4,75735.0,14.5,1
1010583,803.0,26.8,55227.0,3.6,1
1010584,570.0,56.4,46371.0,11.3,1
1010585,755.0,31.1,59401.0,11.0,0
1010586,487.0,50.9,83022.0,5.9,1
1010587,802.0,41.7,45165.0,11.8,0
1010588,631.0,30.1,81068.0,9.0,1
1010589,693.0,21.0,75637.0,10.7,0
1010590,674.0,9.3,100060.0,9.0,1
1010591,655.0,70.7,93296.0,2.0,0
1010592,788.0,60.8,48806.0,3.9,0
1010593,755.0,49.6,48368.0,8.3,1
1010594,676.0,49.9,76714.0,2.2,0
1010595,713.0,53.8,75822.0,11.5,1
1010596,747.0,49.2,62396.0,4.4,1
1010597,659.0,61.6,26674.0,6.9,1
1010598,740.0,43.7,49369.0,10.8,0
1010599,754.0,58.6,91910.0,13.3,0
1010600,638.0,21.2,68977.0,3.9,1
1010601,599.0,31.6,20626.0,3.2,1
1010602,704.0,41.9,25838.0,2.7,1
1010603,617.0,61.5,61827.0,8.7,0
1010604,710.0,59.4,76607.0,4.7,0
1010605,660.0,32.8,66834.0,13.4,1
1010606,751.0,38.1,47313.0,7.5,1
