VehicleID,DailyDistance_Km,ChargerPower_kW,BatteryHealth_Percent,BrakingRegenEvents,MaintenanceUrgency
1350086,0.3,162.6,23.4,77.3,1
1350087,0.6,218.8,21.0,118.7,0
1350088,14.7,231.5,54.5,130.3,0
1350089,3.1,184.3,71.2,97.3,0
1350090,4.8,348.4,38.3,91.3,1
1350091,2.1,226.6,21.6,114.7,0
1350092,7.6,227.9,63.3,137.5,0
1350093,8.1,246.2,72.1,83.7,1
1350094,6.7,94.3,37.3,107.6,1
1350095,2.8,329.3,59.4,104.4,1
1350096,18.8,270.7,46.9,120.9,0
1350097,2.9,361.6,45.6,72.0,0
1350098,10.5,258.3,53.5,87.9,1
1350099,13.7,316.1,59.8,110.9,1
1350100,21.0,386.3,74.5,113.7,0
1350101,11.5,200.2,56.9,78.4,1
1350102,2.8,322.3,44.4,76.3,1
1350103,0.2,335.2,66.6,132.9,0
1350104,31.2,276.0,48.7,109.8,1
1350105,3.0,196.7,53.0,97.2,0
1350106,1.9,260.5,53.9,87.9,0
1350107,4.7,276.0,42.9,120.6,1
1350108,13.4,250.1,41.1,127.4,0
1350109,0.1,246.3,42.3,104.5,1
1350110,0.2,312.5,11.6,123.7,0
1350111,2.3,250.3,43.1,66.1,1
1350112,4.5,214.8,53.1,97.6,0
1350113,29.1,270.1,42.8,85.0,1
1350114,12.8,152.3,36.0,96.4,0
1350115,7.7,286.7,37.3,64.3,1
1350116,18.0,253.8,41.8,113.7,1
1350117,0.3,237.2,35.4,110.8,0
1350118,2.3,150.0,51.1,118.4,1
1350119,4.5,287.4,30.4,127.6,1
1350120,0.7,180.8,56.0,112.7,1
1350121,0.2,219.5,18.7,98.2,1
1350122,0.3,113.7,41.1,69.9,0
1350123,0.3,297.5,38.4,110.6,1
1350124,4.0,327.0,50.1,80.7,0
1350125,10.2,233.7,54.7,113.7,1
1350126,34.0,123.9,64.0,76.6,0
1350127,4.8,283.5,36.8,135.7,0
1350128,15.9,323.9,43.1,102.7,1
1350129,16.8,229.3,38.1,138.2,1
1350130,4.0,234.8,44.9,99.1,1
1350131,7.8,190.6,9.5,140.9,0
1350132,1.3,372.0,42.8,85.7,0
1350133,7.6,311.7,56.4,127.4,0
1350134,1.2,204.8,40.3,57.1,1
1350135,9.5,390.5,33.6,146.5,1
1350136,16.5,196.8,28.6,75.6,0
1350137,4.8,293.0,35.3,73.4,1
1350138,17.7,270.2,32.2,85.5,1
1350139,0.8,202.1,17.5,106.9,1
1350140,9.6,234.5,46.3,133.5,1
1350141,2.1,182.7,46.6,127.1,1
1350142,41.6,120.9,45.6,118.3,0
1350143,1.5,282.1,50.8,116.6,1
1350144,13.0,222.1,54.0,136.1,0
1350145,1.1,225.2,52.6,118.1,0
1350146,1.1,421.1,80.4,112.1,0
1350147,9.1,321.8,46.4,100.1,0
1350148,0.5,315.0,53.0,102.7,0
1350149,2.2,239.5,36.6,107.4,0
1350150,9.2,335.4,57.5,62.7,1
1350151,1.0,403.5,23.6,93.8,0
1350152,2.6,277.6,51.6,88.0,1
1350153,8.2,414.6,33.9,83.2,1
1350154,20.8,206.6,53.0,102.4,0
1350155,2.5,318.9,74.4,99.7,0
1350156,14.6,109.9,27.4,130.9,1
1350157,26.4,228.2,51.1,134.2,0
1350158,12.7,262.8,47.0,139.6,1
1350159,6.4,272.8,62.4,103.2,0
1350160,8.9,211.8,68.1,88.6,1
1350161,1.7,195.3,50.0,96.3,1
1350162,0.7,127.6,55.8,123.9,0
1350163,5.6,190.5,41.9,79.9,1
1350164,6.6,93.5,57.5,97.8,0
1350165,0.3,330.5,21.7,90.1,1
1350166,0.9,99.8,41.6,152.8,0
1350167,16.0,285.6,48.3,129.4,0
1350168,7.0,229.2,49.5,104.4,0
1350169,4.5,264.7,49.6,105.8,0
1350170,12.1,175.4,28.5,75.8,1
1350171,3.1,205.1,28.8,86.7,1
1350172,1.2,256.4,41.1,145.6,1
1350173,0.2,10.0,44.0,74.1,0
1350174,0.7,177.8,40.3,145.5,0
1350175,5.0,287.9,52.5,132.3,0
1350176,2.8,310.8,29.2,107.9,0
1350177,6.6,266.4,60.1,85.4,1
1350178,2.4,234.7,50.3,121.5,0
1350179,2.8,261.5,75.5,116.8,0
1350180,11.4,131.7,56.1,114.1,1
1350181,13.6,81.9,22.5,55.8,1
1350182,2.0,260.7,58.6,68.5,0
1350183,18.5,296.4,60.2,95.4,0
1350184,18.3,219.8,6.0,83.8,0
1350185,0.3,302.2,64.9,111.7,1
1350186,2.5,504.1,64.8,64.6,0
1350187,5.6,214.7,52.2,80.6,1
1350188,3.1,314.1,60.3,98.4,1
1350189,3.5,371.4,50.3,97.7,0
1350190,11.1,323.8,49.1,124.1,0
1350191,1.0,232.1,73.7,102.9,1
1350192,17.6,289.8,23.1,112.8,1
1350193,11.8,296.4,40.2,78.1,0
1350194,4.7,325.7,58.0,102.1,1
1350195,2.5,160.1,29.6,71.4,1
1350196,1.4,250.4,40.4,51.7,0
1350197,4.9,333.6,54.2,78.5,0
1350198,20.2,387.6,45.9,99.4,1
1350199,3.8,156.6,42.5,115.4,1
1350200,0.6,311.1,47.2,134.8,1
1350201,18.6,270.5,53.5,70.3,0
1350202,11.8,228.5,25.4,75.0,1
1350203,8.7,259.7,37.5,120.1,0
1350204,16.9,199.2,68.8,63.0,1
1350205,0.3,365.0,50.7,47.3,0
1350206,9.5,225.1,56.6,77.0,0
1350207,2.2,308.3,49.3,67.0,1
1350208,10.6,328.6,37.0,82.7,1
1350209,19.5,254.9,41.0,101.0,0
1350210,10.5,155.1,30.2,114.1,0
1350211,26.0,253.4,24.5,88.2,0
1350212,1.6,234.1,32.8,111.3,1
1350213,0.8,261.4,51.2,93.4,0
1350214,1.6,257.0,32.2,89.2,1
1350215,13.5,113.5,30.2,153.7,0
1350216,31.5,351.3,50.0,115.9,1
1350217,21.1,307.6,51.1,63.0,0
1350218,9.5,255.7,40.3,145.8,1
1350219,22.1,257.8,18.6,74.5,1
1350220,6.6,151.2,42.3,95.9,0
1350221,8.8,243.3,51.1,81.5,0
1350222,0.3,134.2,22.5,95.8,1
1350223,4.2,284.0,29.9,84.6,0
1350224,21.1,154.5,,100.2,0
1350225,11.0,262.4,59.9,102.6,1
1350226,11.8,283.4,48.8,99.9,1
1350227,29.0,236.4,36.8,95.1,1
1350228,0.4,329.4,50.8,134.9,1
1350229,1.0,393.5,50.0,90.6,1
1350230,21.6,210.4,59.5,73.9,1
1350231,5.7,284.0,49.2,183.6,1
1350232,6.3,333.5,9.3,128.9,1
1350233,13.6,360.8,28.0,47.6,0
1350234,20.6,300.0,57.7,134.6,0
1350235,10.6,294.5,53.5,74.0,1
1350236,0.2,229.0,,120.4,1
1350237,1.2,310.4,42.4,105.9,0
1350238,4.5,158.1,40.4,157.9,1
1350239,0.9,260.9,31.1,112.3,1
1350240,18.8,399.8,24.3,137.1,1
1350241,1.9,236.1,43.5,81.1,1
1350242,0.8,239.2,81.8,87.8,1
1350243,2.3,291.2,47.4,67.3,1
1350244,6.1,263.1,15.3,107.9,1
1350245,0.1,214.8,38.3,88.9,0
1350246,19.6,330.3,29.3,80.6,1
1350247,11.2,245.8,42.2,82.9,1
1350248,12.8,311.7,46.0,132.0,1
1350249,26.7,167.9,60.6,75.0,1
1350250,8.4,299.7,56.8,114.7,0
1350251,3.5,163.0,78.4,112.8,1
1350252,1.8,242.4,32.3,106.6,0
1350253,5.7,381.7,48.1,92.2,0
1350254,0.2,238.9,39.7,108.0,0
1350255,2.2,290.0,64.2,97.7,0
1350256,19.6,178.2,54.4,77.3,0
1350257,0.6,220.8,18.8,138.0,1
1350258,5.5,209.5,,119.4,0
1350259,19.8,135.2,26.5,127.1,0
1350260,0.7,198.9,28.2,125.6,0
1350261,3.2,278.8,47.1,73.3,1
1350262,4.2,239.0,52.7,84.1,1
1350263,5.7,322.8,68.7,107.3,1
1350264,15.9,306.1,37.6,89.2,0
1350265,3.4,160.0,44.4,89.0,0
1350266,14.9,309.5,62.0,71.5,1
1350267,5.6,270.7,36.2,100.3,0
1350268,1.4,219.5,33.6,89.4,0
1350269,1.1,217.9,57.2,106.5,0
1350270,17.4,312.4,40.7,156.2,0
1350271,2.4,105.7,75.0,96.1,1
1350272,8.5,373.4,60.3,118.9,0
1350273,3.0,228.4,27.7,86.5,0
1350274,0.5,155.5,39.9,87.2,1
1350275,7.1,198.0,32.2,95.3,0
1350276,1.7,114.3,51.2,102.7,0
1350277,12.3,222.9,35.6,106.5,0
1350278,5.6,135.9,72.6,143.6,0
1350279,4.7,125.3,48.3,109.3,0
1350280,5.5,186.8,39.9,82.6,0
1350281,28.7,317.3,19.1,92.0,0
1350282,3.4,269.6,42.4,84.4,0
1350283,1.6,73.9,66.9,45.4,0
1350284,2.3,313.1,23.3,61.5,0
1350285,5.0,100.8,27.8,76.3,1
1350286,8.9,296.7,46.7,57.4,0
1350287,19.2,313.9,44.8,80.4,1
1350288,20.3,58.1,50.4,63.5,1
1350289,0.9,185.0,58.6,100.4,0
1350290,8.7,209.2,40.5,92.3,0
1350291,7.6,235.6,52.1,63.3,0
1350292,11.8,308.1,48.1,98.0,0
1350293,2.7,267.7,43.1,67.2,1
1350294,3.4,192.7,54.9,91.9,1
1350295,2.6,230.7,60.0,101.5,1
1350296,5.7,342.6,72.6,36.2,1
1350297,1.8,243.6,36.6,57.1,0
1350298,5.7,304.7,63.8,144.0,0
1350299,13.7,155.6,51.4,116.5,1
1350300,6.7,294.8,46.7,57.6,1
1350301,18.1,264.0,43.6,91.0,1
1350302,9.4,172.6,52.4,112.9,0
1350303,6.5,161.5,50.3,137.1,1
1350304,6.2,332.7,45.9,92.4,1
1350305,22.5,395.4,52.2,95.8,0
1350306,7.8,173.2,32.3,49.0,0
1350307,12.3,210.8,34.2,90.0,0
1350308,0.8,176.0,25.0,97.6,0
1350309,2.1,196.6,68.9,131.0,0
1350310,1.3,163.7,12.8,143.4,0
1350311,22.2,355.1,48.6,114.5,1
1350312,3.9,235.9,35.4,82.8,1
1350313,23.2,131.3,66.3,130.9,1
1350314,1.5,312.5,35.9,47.1,1
1350315,9.3,471.6,40.0,141.8,0
1350316,5.5,146.4,54.3,116.1,1
1350317,6.7,401.1,50.3,124.1,1
1350318,13.5,80.5,,65.6,1
1350319,11.1,264.1,1.7,93.1,0
1350320,0.1,274.6,58.0,73.5,1
1350321,11.9,251.4,44.4,120.0,0
1350322,0.7,253.7,45.6,95.3,1
1350323,19.0,234.0,61.6,117.8,0
1350324,6.5,194.6,57.2,81.2,0
1350325,2.9,219.1,46.1,95.6,0
1350326,1.6,143.6,25.9,80.3,0
1350327,7.2,231.2,56.7,106.7,0
1350328,5.1,122.0,53.3,81.3,0
1350329,0.3,218.2,60.6,120.4,1
1350330,4.7,87.4,64.3,131.8,1
1350331,2.3,261.3,41.6,90.9,1
1350332,2.1,273.0,40.4,77.9,0
1350333,18.1,256.8,54.7,129.6,1
1350334,7.8,212.4,56.4,97.8,1
1350335,2.9,186.1,41.7,111.0,1
1350336,8.9,360.1,54.9,43.4,1
1350337,8.8,266.5,54.6,78.5,1
1350338,1.1,240.5,30.1,117.5,1
1350339,1.9,184.3,37.3,71.6,1
1350340,3.6,262.4,34.0,140.6,0
1350341,20.5,314.1,55.5,116.1,0
1350342,3.0,125.6,70.5,75.3,1
1350343,10.4,336.0,67.9,42.0,0
1350344,3.3,248.3,9.9,87.2,1
1350345,2.8,323.8,50.4,113.7,1
1350346,2.4,263.7,62.1,113.1,1
1350347,5.4,203.7,52.9,90.4,0
1350348,3.5,333.6,28.7,83.1,0
1350349,19.4,240.9,54.3,73.4,1
1350350,0.1,260.0,21.5,117.5,1
1350351,47.5,75.7,56.8,135.2,1
1350352,3.9,267.6,48.2,83.9,1
1350353,6.0,367.8,68.7,86.3,0
1350354,9.8,329.4,27.6,76.5,1
1350355,4.7,168.2,63.7,82.0,0
1350356,8.8,390.1,52.5,122.5,1
1350357,5.2,216.8,64.7,79.2,1
1350358,7.4,133.8,50.8,40.3,1
1350359,2.2,228.7,35.6,120.0,1
1350360,2.4,286.7,34.8,93.4,1
1350361,2.4,342.1,55.0,142.0,0
1350362,4.0,184.7,53.9,103.7,0
1350363,3.8,182.5,52.2,80.5,1
1350364,3.8,329.5,68.6,123.5,1
1350365,5.3,123.9,70.7,112.3,0
1350366,2.8,220.9,25.4,127.4,1
1350367,15.9,89.0,29.4,84.2,1
1350368,5.1,234.2,27.5,57.1,0
1350369,1.7,395.9,45.8,58.3,1
1350370,10.4,223.5,60.1,126.4,0
1350371,16.9,247.0,93.4,101.8,1
1350372,8.0,54.5,39.6,109.5,1
1350373,3.9,163.0,39.5,88.4,1
1350374,18.7,260.8,33.5,65.9,0
1350375,9.3,420.3,27.3,77.6,0
1350376,11.5,187.8,26.0,68.9,1
1350377,6.4,83.6,22.4,70.6,1
1350378,4.2,291.7,49.9,120.3,1
1350379,1.3,219.9,34.6,126.1,1
1350380,13.8,326.0,58.8,74.5,1
1350381,5.7,199.5,43.5,113.8,1
1350382,3.4,273.3,51.4,87.0,0
1350383,4.4,365.8,58.9,110.0,1
1350384,21.6,298.4,60.2,113.0,0
1350385,6.7,214.0,43.0,84.6,1
1350386,21.2,269.0,25.6,100.9,0
1350387,6.8,342.4,53.4,116.9,0
1350388,2.5,153.2,62.8,93.0,1
1350389,3.1,274.3,37.3,70.0,1
1350390,6.5,205.3,27.4,122.8,1
1350391,14.7,216.8,59.0,75.5,1
1350392,5.1,256.7,57.7,81.5,0
1350393,5.7,268.0,43.6,107.0,0
1350394,0.4,316.6,26.4,81.6,1
1350395,7.3,172.0,34.2,86.2,1
1350396,22.3,209.3,63.6,117.4,1
1350397,0.1,141.9,56.5,117.8,1
1350398,5.9,339.5,43.7,89.3,0
1350399,6.3,342.9,30.9,75.9,0
1350400,2.1,168.5,83.1,112.9,0
1350401,4.6,435.1,43.7,116.9,0
1350402,5.5,214.0,38.4,103.8,1
1350403,3.1,178.1,53.0,51.7,0
1350404,1.6,199.3,40.3,111.9,1
1350405,0.3,307.4,64.3,91.8,1
1350406,10.9,221.2,34.7,97.7,0
1350407,23.6,258.9,36.6,63.4,1
1350408,7.1,342.6,62.0,111.5,1
1350409,5.4,166.3,25.1,133.7,0
1350410,21.1,186.0,22.2,72.6,0
1350411,15.2,179.0,59.0,134.0,1
1350412,3.3,234.5,56.9,113.9,1
1350413,12.2,207.2,27.7,141.3,1
1350414,1.4,118.6,42.9,135.5,1
1350415,21.1,189.4,42.7,90.3,0
1350416,18.8,148.7,57.6,113.2,0
1350417,16.0,204.3,50.2,90.4,1
1350418,4.4,371.3,69.5,96.1,0
1350419,12.6,328.1,67.2,46.7,0
1350420,2.7,165.3,28.0,117.0,1
1350421,40.0,293.8,37.7,66.7,0
1350422,9.6,241.3,23.0,69.4,0
1350423,9.1,237.0,43.0,126.6,0
1350424,10.6,233.9,56.1,116.7,1
1350425,2.0,249.1,40.7,39.4,1
1350426,9.5,371.4,57.9,132.0,1
1350427,28.1,282.0,33.6,121.2,1
1350428,9.6,69.6,19.0,111.1,0
1350429,4.4,223.0,50.4,118.7,1
1350430,0.1,156.6,19.9,109.9,0
1350431,3.0,218.1,42.6,127.7,0
1350432,18.2,232.4,12.0,23.5,1
1350433,15.4,176.6,22.5,94.1,1
1350434,2.2,221.2,26.3,109.6,1
1350435,7.1,274.7,25.9,76.5,1
1350436,1.6,148.7,41.4,111.6,0
1350437,21.1,99.6,58.0,79.3,0
1350438,4.0,200.3,43.7,134.2,1
1350439,0.1,220.2,32.9,128.5,0
1350440,1.0,169.0,55.2,117.1,0
1350441,4.5,235.6,37.4,118.8,1
1350442,6.5,310.0,38.2,90.1,0
1350443,12.0,327.7,52.1,98.4,1
1350444,11.4,300.4,47.3,108.4,0
1350445,8.3,213.6,42.3,135.8,0
1350446,0.5,220.1,49.2,89.8,0
1350447,2.4,358.8,73.4,115.0,0
1350448,0.8,132.3,57.9,82.5,1
1350449,14.1,275.6,58.0,109.3,1
1350450,24.1,178.7,53.7,104.3,0
1350451,0.9,200.1,19.8,101.6,1
1350452,8.8,209.1,60.7,130.3,0
1350453,6.3,213.6,33.0,102.9,1
1350454,4.4,354.1,57.2,91.6,0
1350455,12.1,243.8,50.6,106.8,0
1350456,18.8,263.2,50.0,80.1,1
1350457,13.3,258.0,56.8,78.1,0
1350458,33.6,322.5,35.7,117.1,0
1350459,1.7,105.2,49.5,114.3,0
1350460,41.4,348.7,20.1,63.0,0
1350461,4.4,250.5,61.7,98.3,1
1350462,0.6,160.3,46.6,99.8,1
1350463,20.7,178.2,44.1,101.8,1
1350464,11.5,244.5,45.8,64.6,0
1350465,0.7,180.8,39.0,71.8,0
1350466,6.8,216.7,55.9,86.3,0
1350467,13.7,201.0,54.5,136.8,1
1350468,0.7,450.6,59.8,87.4,1
1350469,3.7,286.8,59.0,132.1,1
1350470,0.1,313.1,58.6,62.9,1
1350471,3.4,260.7,31.7,53.3,0
1350472,20.6,215.3,38.6,108.9,0
1350473,7.3,240.0,55.4,106.6,0
1350474,0.1,162.0,27.0,100.1,1
1350475,9.8,242.4,34.9,83.3,0
1350476,2.4,169.2,25.0,70.4,1
1350477,8.7,169.3,33.6,122.6,1
1350478,8.0,318.7,,101.3,0
1350479,38.7,330.6,34.0,98.5,0
1350480,18.8,255.1,45.6,108.8,0
1350481,4.2,213.2,73.7,118.7,1
1350482,0.7,193.8,69.3,99.3,1
1350483,1.7,313.1,70.0,88.9,1
1350484,8.8,218.0,51.3,120.2,0
1350485,5.0,350.8,48.8,80.0,1
1350486,9.2,278.9,53.6,185.3,1
1350487,3.2,255.3,51.3,119.8,0
1350488,9.1,297.6,50.5,124.1,0
1350489,15.2,322.0,69.5,97.0,0
1350490,12.3,182.9,55.1,118.0,1
1350491,9.3,255.6,43.7,138.3,0
1350492,8.6,191.0,69.8,104.0,0
1350493,6.2,129.9,50.6,91.9,1
1350494,16.2,152.0,67.9,87.8,0
1350495,3.4,246.2,19.8,142.0,1
1350496,6.2,101.0,54.4,122.0,1
1350497,2.9,284.7,64.2,145.4,0
1350498,1.6,331.1,60.2,89.9,1
1350499,20.5,386.5,64.1,84.0,1
1350500,24.9,117.5,48.4,92.7,1
1350501,4.8,381.7,28.7,93.1,1
1350502,3.6,229.3,71.0,87.1,1
1350503,0.1,294.4,44.1,111.3,0
1350504,46.5,332.0,69.3,92.9,1
1350505,21.6,104.6,38.5,158.7,1
1350506,2.1,277.3,33.6,75.5,0
1350507,5.6,163.0,53.3,89.5,0
1350508,4.1,179.4,38.7,147.2,0
1350509,3.2,275.7,40.1,130.1,1
1350510,0.6,231.8,45.9,113.6,0
1350511,6.3,377.4,48.8,62.4,1
1350512,12.4,91.5,50.3,101.6,0
1350513,1.3,323.8,16.7,115.2,1
1350514,8.9,320.4,42.2,111.2,0
1350515,2.7,342.9,3.7,77.5,1
1350516,19.3,265.6,54.1,114.7,1
1350517,1.6,173.4,45.5,111.3,1
1350518,4.7,148.7,40.9,125.8,1
1350519,17.9,167.9,59.5,79.8,1
1350520,3.6,147.0,68.8,70.4,0
1350521,6.1,247.3,53.5,95.4,0
1350522,32.4,204.9,42.5,81.1,0
1350523,25.2,250.0,53.9,98.3,0
1350524,5.7,234.7,58.3,150.9,1
1350525,2.5,282.7,35.9,152.6,1
1350526,0.6,256.5,44.3,91.6,1
1350527,11.6,276.7,38.4,111.6,1
1350528,1.0,232.0,41.6,91.6,1
1350529,17.4,239.8,36.3,123.9,1
1350530,8.7,190.5,35.3,112.6,1
1350531,7.2,239.4,28.5,97.9,0
1350532,8.5,398.8,31.5,108.7,0
1350533,2.0,229.9,60.7,66.5,0
1350534,9.6,262.9,38.1,145.1,1
1350535,1.7,341.5,31.8,100.6,0
1350536,5.6,343.7,30.4,69.0,0
1350537,5.9,152.2,48.4,117.9,1
1350538,36.5,231.5,36.4,83.9,0
1350539,19.4,123.1,23.8,96.9,0
1350540,2.1,344.7,25.2,101.5,0
1350541,1.8,127.2,73.4,86.2,0
1350542,1.8,281.3,60.4,98.9,0
1350543,9.6,304.1,47.9,147.6,0
1350544,1.5,336.1,49.3,105.7,1
1350545,1.3,309.3,15.8,122.5,1
1350546,1.2,293.8,40.4,113.2,0
1350547,1.6,345.9,41.5,64.8,1
1350548,10.4,224.0,67.8,74.1,0
1350549,3.7,385.4,42.8,139.1,1
1350550,0.6,293.7,43.4,130.5,1
1350551,9.2,279.6,45.1,103.4,0
1350552,5.0,310.8,39.5,76.4,1
1350553,0.6,319.3,39.2,82.5,0
1350554,8.9,269.1,42.2,133.9,0
1350555,2.3,171.8,39.5,93.7,1
1350556,12.5,167.7,24.1,80.5,0
1350557,0.3,130.5,19.9,93.8,0
1350558,2.8,127.8,45.3,109.7,0
1350559,5.7,328.8,14.7,124.8,0
1350560,4.0,160.9,48.5,40.4,0
1350561,9.6,271.8,33.2,127.9,0
1350562,3.4,172.6,56.2,119.6,0
1350563,1.4,330.6,42.6,75.7,1
1350564,11.4,330.8,42.9,60.8,1
1350565,33.9,194.8,62.2,142.1,0
1350566,36.3,154.7,48.7,105.2,0
1350567,12.3,330.7,42.7,96.9,1
1350568,3.4,269.1,36.4,85.5,1
1350569,4.4,225.9,35.4,140.0,1
1350570,6.1,175.0,45.4,92.3,0
1350571,17.4,67.3,43.6,108.0,0
1350572,5.7,257.9,73.1,51.7,1
1350573,0.2,300.3,49.0,55.4,1
1350574,24.3,326.6,28.2,94.5,1
1350575,7.3,241.3,20.5,113.1,0
1350576,13.8,246.7,27.6,103.6,0
1350577,6.6,307.3,19.7,95.1,0
1350578,4.8,248.9,51.6,100.6,1
1350579,13.7,228.7,,102.6,0
1350580,0.8,65.3,32.9,112.9,0
1350581,5.1,211.0,19.0,69.8,1
1350582,1.0,256.1,50.6,119.0,1
1350583,7.6,287.6,30.6,109.0,1
1350584,8.9,245.2,22.9,127.9,1
1350585,0.8,170.3,57.0,60.2,1
1350586,12.2,338.8,41.0,89.5,0
1350587,11.7,303.2,80.7,53.6,0
1350588,2.7,198.8,49.8,102.4,0
1350589,9.9,311.6,50.6,94.6,1
1350590,3.3,275.1,41.3,98.4,1
1350591,6.3,341.6,31.2,78.5,0
1350592,0.7,252.6,33.3,78.7,0
1350593,7.7,302.3,40.9,99.7,0
1350594,2.9,248.5,45.5,111.0,1
1350595,2.9,303.6,22.4,75.6,0
1350596,6.2,135.2,68.4,80.5,0
1350597,23.1,347.5,37.0,101.4,1
1350598,6.7,112.5,38.7,86.7,0
1350599,16.8,222.5,24.2,103.2,0
1350600,5.9,261.3,29.9,103.7,0
1350601,5.4,273.9,50.5,88.0,1
1350602,10.4,375.8,29.8,158.1,0
1350603,5.9,287.7,36.0,114.8,0
1350604,3.5,297.2,61.4,118.6,1
1350605,11.9,245.3,54.1,148.5,1
1350606,31.4,274.2,40.3,142.8,1
1350607,33.1,290.7,30.4,140.4,1
1350608,1.7,224.9,27.6,63.0,0
1350609,5.2,398.0,73.2,151.7,1
1350610,0.1,270.8,52.3,112.7,1
1350611,21.2,201.3,36.5,113.0,1
1350612,5.0,281.7,31.0,115.6,1
1350613,19.0,242.7,60.1,106.2,0
1350614,0.8,215.6,51.2,125.2,1
1350615,2.1,314.1,33.7,106.2,1
1350616,20.4,246.1,53.1,104.7,1
1350617,3.2,234.4,42.2,121.7,0
1350618,6.7,344.5,39.5,125.9,1
1350619,6.1,140.2,24.4,74.7,1
1350620,1.7,321.1,58.7,80.2,1
1350621,25.0,274.4,53.7,106.7,1
1350622,3.2,256.0,36.6,113.2,1
1350623,2.5,271.3,21.4,67.3,0
1350624,8.1,214.5,59.7,137.2,1
1350625,12.0,291.5,26.1,79.5,0
1350626,3.2,287.0,49.0,86.1,0
1350627,2.7,330.9,33.8,107.8,0
1350628,0.7,320.1,69.8,82.2,1
1350629,20.3,213.0,37.3,125.0,1
1350630,1.9,163.1,44.1,104.7,0
1350631,3.7,297.6,62.2,65.6,0
1350632,11.9,239.0,49.3,134.1,1
