MemberID,MonthlyVisits,MembershipDuration_Months,ClassParticipation,Renewed
990182,14.0,33,1,Yes
990183,17.0,14,1,Yes
990184,12.0,25,1,Yes
990185,11.0,30,1,Yes
990186,18.0,16,0,Yes
990187,11.0,21,1,Yes
990188,2.0,31,0,Yes
990189,9.0,31,0,Yes
990190,20.0,27,1,Yes
990191,14.0,30,0,Yes
990192,20.0,4,1,Yes
990193,8.0,17,0,Yes
990194,17.0,11,1,Yes
990195,10.0,5,1,Yes
990196,7.0,17,1,Yes
990197,22.0,35,1,Yes
990198,4.0,35,1,Yes
990199,4.0,20,0,No
990200,3.0,31,1,Yes
990201,23.0,26,0,Yes
990202,10.0,1,0,Yes
990203,8.0,7,0,Yes
990204,6.0,21,0,No
990205,12.0,31,1,Yes
990206,19.0,26,1,Yes
990207,15.0,2,0,No
990208,0.0,14,0,No
990209,12.0,23,1,Yes
990210,1.0,25,0,Yes
990211,16.0,18,1,Yes
990212,6.0,19,1,Yes
990213,18.0,12,0,Yes
990214,4.0,24,1,No
990215,0.0,32,0,Yes
990216,19.0,16,0,Yes
990217,1.0,34,0,No
990218,23.0,2,0,Yes
990219,5.0,20,0,Yes
990220,10.0,12,0,Yes
990221,4.0,7,0,Yes
990222,5.0,19,1,Yes
990223,1.0,27,0,No
990224,20.0,11,1,Yes
990225,11.0,2,1,Yes
990226,10.0,15,1,Yes
990227,21.0,31,1,Yes
990228,4.0,10,0,Yes
990229,22.0,21,0,Yes
990230,23.0,15,0,Yes
990231,13.0,23,1,No
990232,18.0,24,0,Yes
990233,22.0,7,1,Yes
990234,14.0,10,0,Yes
990235,6.0,8,1,Yes
990236,0.0,10,1,No
990237,22.0,35,0,Yes
990238,16.0,19,1,Yes
990239,17.0,1,0,Yes
990240,23.0,24,1,Yes
990241,20.0,11,0,Yes
990242,1.0,17,0,No
990243,1.0,29,0,No
990244,14.0,12,0,Yes
990245,1.0,11,1,Yes
990246,18.0,18,0,Yes
990247,5.0,27,1,Yes
990248,10.0,23,0,No
990249,21.0,35,1,Yes
990250,16.0,27,1,Yes
990251,12.0,34,0,Yes
990252,17.0,3,0,Yes
990253,15.0,16,0,Yes
990254,13.0,23,1,Yes
990255,9.0,29,1,No
990256,,22,0,No
990257,1.0,26,1,Yes
990258,2.0,30,0,No
990259,21.0,8,1,Yes
990260,2.0,35,0,No
990261,13.0,9,0,Yes
990262,2.0,16,0,No
990263,7.0,12,1,Yes
990264,12.0,6,1,Yes
990265,23.0,26,0,Yes
990266,16.0,30,0,Yes
990267,1.0,19,0,Yes
990268,6.0,30,0,No
990269,1.0,22,0,No
990270,1.0,34,1,Yes
990271,19.0,17,1,Yes
990272,5.0,2,0,No
990273,0.0,6,0,No
990274,15.0,11,0,Yes
990275,19.0,25,0,Yes
990276,20.0,13,0,Yes
990277,18.0,3,1,Yes
990278,21.0,2,0,Yes
990279,8.0,21,0,No
990280,13.0,26,1,Yes
990281,14.0,5,0,Yes
990282,19.0,32,0,Yes
990283,6.0,15,1,Yes
990284,9.0,11,0,Yes
990285,18.0,2,0,Yes
990286,10.0,14,0,Yes
990287,17.0,16,0,Yes
990288,14.0,6,0,Yes
990289,3.0,19,0,No
990290,9.0,3,0,Yes
990291,10.0,34,1,Yes
990292,2.0,21,0,Yes
990293,19.0,22,0,Yes
990294,11.0,23,0,Yes
990295,13.0,21,0,Yes
990296,5.0,15,1,Yes
990297,5.0,8,1,Yes
990298,10.0,22,1,Yes
990299,15.0,25,0,Yes
990300,4.0,29,1,Yes
990301,23.0,1,0,Yes
990302,15.0,28,1,Yes
990303,0.0,13,1,No
990304,6.0,17,0,Yes
990305,2.0,22,1,Yes
990306,0.0,7,0,No
990307,7.0,11,1,Yes
990308,9.0,29,0,No
990309,3.0,31,0,No
990310,13.0,8,0,No
990311,13.0,29,0,Yes
990312,15.0,25,0,No
990313,7.0,5,0,Yes
990314,7.0,32,0,Yes
990315,23.0,32,1,Yes
990316,17.0,23,1,Yes
990317,12.0,7,1,Yes
990318,16.0,34,0,Yes
990319,8.0,27,1,Yes
990320,,30,0,Yes
990321,4.0,25,0,No
990322,18.0,29,0,Yes
990323,5.0,20,0,No
990324,8.0,31,0,Yes
990325,17.0,21,0,Yes
990326,5.0,10,0,Yes
990327,17.0,26,0,Yes
990328,1.0,32,0,Yes
990329,18.0,32,0,No
990330,5.0,13,0,No
990331,6.0,4,0,Yes
990332,9.0,24,0,Yes
990333,3.0,1,0,No
990334,14.0,4,0,No
990335,18.0,17,1,Yes
990336,10.0,27,0,Yes
990337,22.0,25,1,Yes
990338,10.0,20,0,Yes
990339,5.0,25,1,No
990340,18.0,33,1,Yes
990341,16.0,31,1,Yes
990342,,4,1,Yes
990343,19.0,1,1,Yes
990344,15.0,30,1,Yes
990345,16.0,23,0,Yes
990346,3.0,15,1,Yes
990347,20.0,7,1,Yes
990348,14.0,8,0,Yes
990349,11.0,18,1,Yes
990350,15.0,24,1,Yes
990351,19.0,15,1,Yes
990352,14.0,17,1,No
990353,14.0,20,0,Yes
990354,16.0,30,0,Yes
990355,5.0,14,0,No
990356,13.0,27,0,Yes
990357,7.0,32,1,Yes
990358,11.0,33,0,Yes
990359,23.0,20,1,Yes
990360,10.0,23,1,Yes
990361,6.0,9,0,Yes
990362,,4,1,Yes
990363,14.0,28,1,Yes
990364,2.0,29,1,No
990365,11.0,5,1,Yes
990366,16.0,16,0,Yes
990367,15.0,29,0,Yes
990368,4.0,5,0,Yes
990369,17.0,8,0,Yes
990370,12.0,9,1,Yes
990371,5.0,23,0,No
990372,9.0,20,0,Yes
990373,3.0,8,1,Yes
990374,13.0,17,0,Yes
990375,20.0,7,1,Yes
990376,5.0,33,0,No
990377,19.0,8,0,Yes
990378,1.0,10,0,No
990379,18.0,28,0,Yes
990380,17.0,13,0,Yes
990381,5.0,25,0,No
990382,11.0,18,0,Yes
990383,21.0,2,0,Yes
990384,9.0,14,1,Yes
990385,12.0,26,0,Yes
990386,6.0,14,0,No
990387,9.0,15,1,Yes
990388,10.0,1,1,Yes
990389,18.0,7,0,Yes
990390,17.0,26,1,Yes
990391,8.0,16,1,Yes
990392,14.0,24,0,Yes
990393,4.0,29,0,No
990394,7.0,22,0,Yes
990395,2.0,34,0,No
990396,17.0,24,0,Yes
990397,21.0,17,1,Yes
990398,2.0,24,0,Yes
990399,22.0,8,1,Yes
990400,12.0,30,0,Yes
990401,17.0,11,0,Yes
990402,21.0,22,1,Yes
990403,12.0,13,0,Yes
990404,,8,1,Yes
990405,11.0,16,1,No
990406,7.0,9,1,Yes
990407,22.0,30,0,Yes
990408,6.0,30,1,Yes
990409,21.0,9,0,Yes
990410,4.0,23,1,Yes
990411,7.0,31,1,Yes
990412,1.0,20,1,Yes
990413,9.0,23,1,Yes
990414,22.0,9,1,Yes
990415,10.0,17,1,Yes
990416,17.0,30,0,Yes
990417,8.0,12,0,No
990418,23.0,9,0,Yes
990419,21.0,11,0,Yes
990420,14.0,26,0,Yes
990421,5.0,33,1,Yes
990422,9.0,5,1,Yes
990423,10.0,7,0,Yes
990424,21.0,10,0,Yes
990425,12.0,13,1,Yes
990426,23.0,3,1,Yes
990427,10.0,27,0,No
990428,12.0,17,1,Yes
990429,1.0,8,0,No
990430,15.0,28,1,Yes
990431,11.0,5,0,Yes
990432,2.0,18,0,No
990433,1.0,26,0,No
990434,21.0,8,0,Yes
990435,20.0,5,0,Yes
990436,15.0,33,0,Yes
990437,2.0,32,0,Yes
990438,21.0,15,1,Yes
990439,5.0,15,0,No
990440,13.0,1,1,Yes
990441,23.0,27,0,Yes
990442,9.0,3,1,Yes
990443,13.0,2,0,No
990444,18.0,14,1,Yes
990445,18.0,4,0,Yes
990446,1.0,13,1,No
990447,19.0,33,0,Yes
990448,21.0,6,1,Yes
990449,15.0,1,1,Yes
990450,20.0,29,0,Yes
990451,12.0,8,0,Yes
990452,16.0,29,0,Yes
990453,0.0,29,1,Yes
990454,6.0,2,0,Yes
990455,5.0,11,1,Yes
990456,5.0,25,0,Yes
990457,4.0,20,0,No
990458,8.0,28,1,Yes
990459,20.0,1,0,Yes
990460,2.0,27,1,Yes
990461,12.0,9,0,Yes
990462,9.0,2,1,Yes
990463,15.0,14,0,Yes
990464,7.0,15,1,Yes
990465,5.0,11,0,Yes
990466,19.0,19,1,Yes
990467,12.0,32,0,No
990468,21.0,18,1,Yes
990469,6.0,20,1,Yes
990470,10.0,1,0,Yes
990471,20.0,23,0,Yes
990472,3.0,9,1,Yes
990473,11.0,16,0,No
990474,7.0,19,0,Yes
990475,21.0,17,1,Yes
990476,5.0,14,0,No
990477,9.0,30,1,Yes
990478,22.0,1,1,Yes
990479,18.0,25,0,Yes
990480,14.0,27,1,Yes
990481,14.0,5,0,Yes
990482,13.0,1,0,No
990483,1.0,11,0,No
990484,9.0,6,0,Yes
990485,13.0,4,1,Yes
990486,3.0,22,0,No
990487,11.0,22,1,Yes
990488,23.0,30,0,Yes
990489,11.0,8,0,Yes
990490,20.0,17,0,Yes
990491,6.0,28,0,Yes
990492,6.0,22,0,No
990493,6.0,14,0,No
990494,8.0,13,0,Yes
990495,15.0,34,1,Yes
990496,7.0,15,0,Yes
990497,21.0,15,0,Yes
990498,6.0,1,1,Yes
990499,11.0,20,0,Yes
990500,14.0,3,0,Yes
990501,6.0,24,1,Yes
990502,7.0,25,0,No
990503,4.0,24,0,No
990504,8.0,4,1,Yes
990505,14.0,32,0,Yes
990506,16.0,27,0,Yes
990507,0.0,8,0,No
990508,0.0,28,0,No
990509,10.0,6,1,Yes
990510,1.0,7,0,No
990511,3.0,32,0,No
990512,21.0,21,1,Yes
990513,18.0,24,1,Yes
990514,11.0,27,1,Yes
990515,20.0,16,0,Yes
990516,14.0,26,0,Yes
990517,2.0,11,1,Yes
990518,12.0,28,0,Yes
990519,2.0,25,1,Yes
990520,10.0,27,0,Yes
990521,22.0,4,0,Yes
990522,15.0,27,0,Yes
990523,1.0,18,0,Yes
990524,15.0,2,0,Yes
990525,5.0,12,0,Yes
990526,15.0,21,1,Yes
990527,9.0,22,1,No
990528,22.0,15,1,Yes
990529,18.0,5,1,Yes
990530,3.0,33,1,Yes
990531,2.0,8,0,No
990532,19.0,27,0,Yes
990533,1.0,29,0,No
990534,14.0,1,1,Yes
990535,14.0,12,0,Yes
990536,9.0,14,0,Yes
990537,19.0,14,1,Yes
990538,2.0,10,0,Yes
990539,14.0,14,0,Yes
990540,22.0,17,0,Yes
990541,19.0,8,0,Yes
990542,,23,0,Yes
990543,22.0,16,1,Yes
990544,20.0,18,0,Yes
990545,23.0,22,0,Yes
990546,20.0,4,0,Yes
990547,18.0,14,1,Yes
990548,18.0,31,0,Yes
990549,19.0,16,0,Yes
990550,2.0,6,0,No
990551,18.0,7,0,Yes
990552,9.0,9,0,Yes
990553,16.0,8,0,Yes
990554,12.0,9,0,Yes
990555,18.0,9,0,Yes
990556,7.0,25,0,No
990557,1.0,2,0,Yes
990558,8.0,1,0,Yes
990559,14.0,29,0,No
990560,7.0,24,0,Yes
990561,21.0,19,0,Yes
990562,23.0,18,1,Yes
990563,13.0,32,0,No
990564,0.0,18,1,No
990565,20.0,7,1,Yes
990566,17.0,28,1,Yes
990567,15.0,26,1,Yes
990568,21.0,15,0,Yes
990569,3.0,33,0,No
990570,14.0,7,0,Yes
990571,9.0,23,0,Yes
990572,3.0,34,1,Yes
990573,11.0,2,0,Yes
990574,16.0,7,1,Yes
990575,10.0,4,1,Yes
990576,20.0,22,0,Yes
990577,22.0,34,0,Yes
990578,17.0,12,1,Yes
990579,14.0,24,0,Yes
990580,2.0,17,0,Yes
990581,20.0,8,1,Yes
990582,20.0,1,0,Yes
990583,11.0,27,0,Yes
990584,20.0,34,0,Yes
990585,1.0,20,0,No
990586,19.0,34,0,Yes
990587,16.0,31,1,Yes
990588,0.0,35,0,No
990589,9.0,1,1,Yes
990590,7.0,4,0,Yes
990591,1.0,19,0,Yes
990592,0.0,29,1,Yes
990593,10.0,8,0,Yes
990594,16.0,35,1,Yes
990595,12.0,14,0,Yes
990596,5.0,29,1,Yes
990597,5.0,5,1,No
990598,23.0,34,0,Yes
990599,7.0,14,1,Yes
990600,5.0,8,0,No
990601,3.0,33,0,Yes
990602,23.0,8,1,Yes
990603,1.0,12,0,Yes
990604,18.0,1,0,Yes
990605,8.0,4,0,No
990606,9.0,4,0,Yes
990607,10.0,31,0,Yes
990608,9.0,34,1,Yes
990609,10.0,25,1,Yes
990610,4.0,27,0,Yes
990611,11.0,32,0,Yes
990612,5.0,22,0,No
990613,12.0,15,1,Yes
990614,3.0,17,1,Yes
990615,1.0,17,0,Yes
990616,9.0,15,0,Yes
990617,7.0,31,1,Yes
990618,19.0,22,0,Yes
990619,21.0,20,0,Yes
990620,23.0,18,1,Yes
990621,5.0,2,0,No
990622,17.0,34,0,Yes
990623,9.0,11,0,Yes
990624,7.0,27,1,No
990625,14.0,3,1,Yes
990626,20.0,15,0,Yes
990627,11.0,34,0,Yes
990628,18.0,6,0,Yes
990629,22.0,18,0,Yes
990630,5.0,13,0,Yes
990631,7.0,20,0,Yes
990632,22.0,3,0,Yes
990633,20.0,21,0,Yes
990634,12.0,22,0,Yes
990635,18.0,30,0,Yes
990636,9.0,23,1,Yes
990637,7.0,8,1,No
990638,16.0,8,0,Yes
990639,22.0,34,0,Yes
990640,2.0,29,0,No
990641,,27,0,Yes
990642,17.0,21,0,Yes
990643,10.0,29,0,Yes
990644,19.0,2,0,Yes
990645,18.0,19,1,Yes
990646,7.0,22,1,Yes
990647,23.0,10,1,Yes
990648,12.0,20,0,No
990649,0.0,4,0,No
990650,2.0,30,1,No
990651,6.0,34,0,Yes
990652,7.0,32,1,Yes
990653,5.0,3,0,Yes
990654,0.0,13,0,No
990655,0.0,12,0,No
990656,11.0,21,0,Yes
990657,12.0,26,0,Yes
990658,19.0,4,1,Yes
990659,9.0,22,0,Yes
990660,4.0,4,0,Yes
990661,16.0,6,0,Yes
990662,9.0,11,1,Yes
990663,2.0,2,1,No
990664,23.0,3,0,Yes
990665,13.0,14,0,Yes
990666,20.0,16,0,Yes
990667,22.0,7,0,Yes
990668,3.0,28,1,Yes
990669,3.0,5,0,No
990670,6.0,16,0,Yes
990671,11.0,6,0,Yes
990672,14.0,30,0,Yes
990673,7.0,12,1,Yes
990674,15.0,9,1,Yes
990675,14.0,1,1,Yes
990676,3.0,17,0,No
990677,3.0,13,0,Yes
990678,14.0,17,1,Yes
990679,18.0,35,1,Yes
990680,1.0,16,0,Yes
990681,16.0,23,1,Yes
990682,16.0,31,1,Yes
990683,11.0,30,0,Yes
990684,4.0,24,1,Yes
990685,8.0,33,0,Yes
990686,7.0,19,0,No
990687,13.0,9,0,Yes
990688,19.0,5,0,Yes
990689,7.0,6,1,Yes
990690,21.0,3,1,Yes
990691,3.0,24,0,No
990692,12.0,5,0,Yes
990693,13.0,34,1,Yes
990694,13.0,30,1,Yes
990695,17.0,21,1,Yes
990696,14.0,25,1,Yes
990697,11.0,19,0,Yes
990698,22.0,1,1,Yes
990699,15.0,6,0,Yes
990700,9.0,22,1,Yes
990701,1.0,28,0,No
990702,3.0,11,0,No
990703,22.0,9,1,Yes
990704,6.0,28,0,No
990705,17.0,31,0,Yes
990706,9.0,26,0,Yes
990707,6.0,16,0,Yes
990708,5.0,8,0,No
990709,21.0,5,0,Yes
990710,15.0,30,0,Yes
990711,0.0,12,0,No
990712,1.0,19,1,No
990713,7.0,29,1,Yes
990714,0.0,34,1,Yes
990715,14.0,3,0,Yes
990716,17.0,27,1,Yes
990717,4.0,13,0,No
990718,14.0,22,0,Yes
990719,20.0,33,0,Yes
990720,13.0,21,0,Yes
990721,9.0,17,0,Yes
990722,4.0,3,0,No
990723,15.0,13,0,Yes
990724,15.0,4,0,Yes
990725,17.0,30,1,Yes
990726,20.0,7,1,Yes
990727,11.0,18,0,Yes
990728,20.0,1,1,Yes
990729,17.0,4,0,Yes
990730,10.0,33,0,Yes
990731,0.0,30,0,No
990732,12.0,24,1,Yes
990733,10.0,7,0,Yes
990734,22.0,34,0,Yes
990735,4.0,11,1,Yes
990736,11.0,5,0,Yes
990737,23.0,9,1,Yes
990738,17.0,18,1,Yes
990739,12.0,30,0,Yes
990740,17.0,16,0,Yes
990741,2.0,5,0,Yes
990742,9.0,24,0,Yes
990743,4.0,22,1,Yes
990744,16.0,17,0,Yes
990745,12.0,17,0,No
990746,4.0,12,1,Yes
990747,18.0,30,0,Yes
990748,19.0,6,0,Yes
990749,11.0,5,1,Yes
990750,23.0,26,1,Yes
990751,8.0,22,0,Yes
990752,13.0,34,1,Yes
990753,7.0,30,0,No
990754,21.0,20,0,Yes
990755,0.0,20,0,No
990756,6.0,17,0,No
990757,11.0,20,1,Yes
990758,,32,0,Yes
990759,19.0,24,0,Yes
990760,13.0,2,1,Yes
990761,15.0,34,0,Yes
990762,,4,0,No
990763,0.0,20,0,No
990764,1.0,5,1,No
990765,10.0,21,0,Yes
990766,6.0,15,0,No
990767,2.0,3,0,No
990768,13.0,23,0,Yes
990769,19.0,22,0,Yes
990770,6.0,2,1,Yes
990771,19.0,6,1,Yes
990772,14.0,27,0,Yes
990773,2.0,24,0,No
990774,20.0,20,1,Yes
990775,6.0,35,0,No
990776,0.0,28,1,No
990777,3.0,8,0,No
990778,1.0,21,1,Yes
990779,9.0,17,0,Yes
990780,19.0,31,0,Yes
990781,16.0,10,0,Yes
990782,10.0,28,0,Yes
990783,,25,0,Yes
990784,23.0,9,0,Yes
990785,10.0,17,1,Yes
990786,7.0,25,1,No
990787,2.0,5,0,Yes
990788,19.0,2,1,Yes
990789,21.0,35,0,Yes
990790,13.0,6,1,Yes
990791,0.0,22,0,No
990792,13.0,12,0,Yes
990793,10.0,2,0,Yes
990794,13.0,18,0,Yes
990795,13.0,29,0,Yes
990796,12.0,24,0,Yes
990797,13.0,18,0,Yes
990798,15.0,9,0,No
990799,23.0,23,0,Yes
990800,12.0,14,0,Yes
990801,15.0,29,0,Yes
990802,4.0,24,1,No
990803,14.0,16,0,Yes
990804,21.0,20,0,Yes
990805,9.0,13,0,Yes
990806,8.0,2,1,Yes
990807,16.0,6,1,Yes
990808,0.0,27,1,Yes
990809,18.0,17,0,Yes
990810,21.0,31,1,Yes
990811,4.0,4,1,Yes
990812,17.0,32,1,Yes
990813,5.0,6,0,Yes
990814,9.0,9,1,Yes
990815,9.0,2,0,No
990816,9.0,17,1,Yes
990817,5.0,2,1,Yes
990818,13.0,33,0,Yes
990819,8.0,29,0,Yes
990820,12.0,15,1,Yes
990821,3.0,2,1,Yes
990822,17.0,11,0,Yes
990823,8.0,16,1,Yes
990824,12.0,22,0,Yes
990825,23.0,32,1,Yes
990826,21.0,15,0,Yes
990827,11.0,32,1,Yes
990828,19.0,29,0,Yes
990829,1.0,11,1,Yes
990830,7.0,22,0,No
990831,18.0,11,1,Yes
990832,17.0,28,1,Yes
990833,1.0,20,0,No
990834,8.0,34,0,No
990835,11.0,33,0,No
990836,11.0,28,0,Yes
990837,2.0,32,0,Yes
990838,22.0,2,0,Yes
990839,6.0,27,1,Yes
990840,4.0,18,0,Yes
990841,16.0,12,0,Yes
990842,10.0,21,0,Yes
990843,20.0,3,0,Yes
990844,8.0,22,1,No
990845,4.0,32,1,No
990846,6.0,25,1,Yes
990847,5.0,2,0,Yes
990848,19.0,35,1,Yes
990849,21.0,11,0,Yes
990850,20.0,32,0,Yes
990851,22.0,13,1,Yes
990852,23.0,26,0,Yes
990853,17.0,5,1,Yes
990854,6.0,16,0,Yes
990855,13.0,27,1,Yes
990856,6.0,10,0,No
990857,7.0,11,0,No
990858,17.0,13,1,Yes
990859,16.0,28,1,Yes
990860,1.0,5,0,No
990861,15.0,20,0,No
990862,11.0,26,0,Yes
990863,4.0,35,0,No
990864,13.0,2,1,Yes
990865,2.0,33,0,No
990866,13.0,11,1,Yes
990867,19.0,26,0,Yes
990868,1.0,6,1,No
990869,1.0,25,1,No
990870,2.0,31,0,No
990871,7.0,20,0,Yes
990872,4.0,26,0,Yes
990873,13.0,7,0,Yes
990874,2.0,25,0,No
990875,21.0,16,0,Yes
990876,11.0,10,1,Yes
990877,19.0,3,0,Yes
990878,2.0,2,0,No
990879,8.0,2,0,Yes
990880,2.0,8,0,Yes
990881,16.0,32,0,Yes
990882,9.0,19,0,Yes
990883,13.0,5,0,Yes
990884,23.0,16,0,Yes
990885,6.0,10,0,No
990886,21.0,29,1,Yes
990887,15.0,9,1,Yes
990888,7.0,14,0,No
990889,6.0,21,0,Yes
990890,1.0,23,1,Yes
990891,20.0,16,0,Yes
990892,10.0,3,0,Yes
990893,22.0,25,0,Yes
990894,13.0,32,1,Yes
990895,22.0,2,1,Yes
990896,15.0,35,1,No
990897,22.0,29,0,Yes
990898,0.0,15,0,No
990899,0.0,27,1,No
990900,7.0,21,1,Yes
990901,12.0,4,1,Yes
990902,18.0,6,1,Yes
990903,4.0,22,0,Yes
990904,18.0,26,1,Yes
990905,15.0,35,0,Yes
990906,9.0,32,0,Yes
990907,15.0,18,1,Yes
990908,13.0,31,1,Yes
990909,8.0,28,1,Yes
990910,15.0,1,0,Yes
990911,1.0,28,0,No
990912,20.0,15,0,Yes
990913,3.0,14,1,Yes
990914,12.0,26,1,Yes
990915,14.0,26,1,Yes
990916,8.0,2,0,Yes
990917,6.0,31,0,No
990918,8.0,17,0,Yes
990919,2.0,7,0,No
990920,5.0,15,1,Yes
990921,5.0,13,0,No
990922,13.0,30,1,Yes
990923,8.0,14,1,Yes
990924,15.0,27,0,Yes
990925,1.0,28,0,No
990926,17.0,15,0,Yes
990927,22.0,22,0,Yes
990928,15.0,15,1,Yes
990929,10.0,17,1,Yes
990930,,3,1,Yes
990931,11.0,35,0,Yes
990932,22.0,2,0,Yes
990933,6.0,17,1,No
990934,1.0,8,0,No
990935,20.0,5,0,Yes
990936,10.0,19,0,Yes
990937,0.0,18,0,No
990938,14.0,22,1,Yes
990939,1.0,20,1,No
990940,16.0,21,1,Yes
990941,11.0,11,0,Yes
990942,18.0,29,1,Yes
990943,21.0,24,0,Yes
990944,1.0,22,0,Yes
990945,11.0,30,1,Yes
990946,20.0,10,1,Yes
990947,11.0,1,0,Yes
990948,20.0,8,1,Yes
990949,14.0,15,0,Yes
990950,1.0,21,1,No
990951,14.0,20,0,Yes
990952,20.0,28,0,Yes
990953,8.0,17,0,Yes
990954,23.0,25,1,Yes
990955,8.0,13,1,Yes
990956,11.0,2,0,Yes
990957,2.0,16,1,Yes
