NewHireID,MentoringHours,MentorFeedbackScore,Department,JobSatisfaction,OneYearRetention
1460140,6.9,6.0,Engineering,107.8,0
1460141,23.4,6.2,HR,59.8,0
1460142,20.3,8.8,Engineering,101.9,1
1460143,26.0,8.1,Support,114.3,0
1460144,36.9,6.1,HR,83.5,1
1460145,39.2,6.3,Support,78.3,1
1460146,37.6,7.3,Sales,123.0,0
1460147,42.6,5.0,Support,135.7,0
1460148,8.7,5.9,Engineering,72.8,1
1460149,17.6,,Sales,90.6,1
1460150,22.4,6.0,Engineering,56.9,1
1460151,28.9,10.0,HR,143.3,0
1460152,42.7,6.2,Support,79.5,1
1460153,39.4,5.9,Engineering,83.2,0
1460154,30.6,7.9,Engineering,67.1,1
1460155,31.4,8.2,Support,110.8,0
1460156,20.2,5.0,Engineering,81.4,1
1460157,23.4,6.4,Engineering,106.2,0
1460158,41.5,6.9,HR,82.3,1
1460159,15.9,6.2,Sales,85.2,1
1460160,11.9,7.1,Sales,57.8,1
1460161,9.9,5.0,Sales,127.4,0
1460162,13.7,4.9,Engineering,87.1,1
1460163,42.4,9.2,Sales,112.5,0
1460164,14.3,5.4,Engineering,106.4,0
1460165,5.9,8.2,Support,117.4,0
1460166,27.2,6.7,Support,76.4,1
1460167,16.1,6.0,HR,103.1,1
1460168,25.2,5.5,Support,103.4,1
1460169,30.4,6.2,Sales,134.9,0
1460170,30.3,9.2,Engineering,99.2,0
1460171,34.7,8.0,HR,127.2,0
1460172,13.9,7.9,Engineering,116.1,0
1460173,37.4,,Engineering,130.9,0
1460174,38.4,,Sales,124.4,0
1460175,31.2,10.0,Support,121.5,0
1460176,41.9,7.3,Sales,111.0,1
1460177,27.1,6.8,Engineering,130.8,0
1460178,22.0,7.8,Support,130.9,0
1460179,18.6,8.1,HR,118.6,0
1460180,18.7,6.1,HR,85.7,1
1460181,43.8,5.9,Support,144.2,0
1460182,30.7,7.3,Sales,108.5,1
1460183,12.6,3.9,Engineering,77.5,1
1460184,24.5,7.8,Engineering,110.0,1
1460185,13.2,8.0,HR,98.5,0
1460186,18.3,6.4,Support,85.3,1
1460187,43.7,7.3,HR,73.9,1
1460188,12.2,,Sales,98.5,0
1460189,5.5,6.7,Sales,98.1,0
1460190,31.8,6.2,Engineering,118.2,0
1460191,31.0,9.1,Support,112.4,1
1460192,24.3,6.6,HR,84.0,1
1460193,37.5,7.1,Engineering,90.3,1
1460194,32.7,4.2,Engineering,70.5,1
1460195,6.6,6.9,Support,152.7,0
1460196,29.0,8.9,HR,102.1,0
1460197,11.8,7.6,Support,95.2,1
1460198,23.6,5.7,Support,91.2,1
1460199,19.1,6.0,Engineering,82.9,1
1460200,14.3,10.0,HR,134.6,0
1460201,21.7,5.2,Support,106.7,1
1460202,39.4,5.1,Support,110.7,0
1460203,22.5,8.3,Support,111.4,0
1460204,23.6,7.9,HR,112.2,0
1460205,35.0,5.6,Sales,57.1,1
1460206,23.4,7.2,Sales,137.8,0
1460207,24.7,8.5,Support,110.6,1
1460208,5.6,7.6,Engineering,68.2,1
1460209,34.2,8.0,Sales,152.1,1
1460210,41.3,10.0,Support,86.3,1
1460211,38.6,6.2,Support,102.9,0
1460212,19.1,5.6,Support,58.0,1
1460213,33.7,7.3,Sales,85.2,1
1460214,38.1,6.7,Support,61.7,1
1460215,43.9,9.3,Support,147.9,1
1460216,7.5,5.1,Support,114.1,1
1460217,36.0,5.8,Engineering,183.6,0
1460218,40.0,4.7,Support,142.0,0
1460219,37.0,7.9,HR,99.1,1
1460220,15.3,5.9,Sales,145.1,0
1460221,24.3,10.0,Engineering,79.2,1
1460222,15.6,5.8,HR,73.6,1
1460223,32.1,7.3,Engineering,92.6,0
1460224,14.5,10.0,Engineering,106.8,0
1460225,5.4,8.6,Sales,61.7,1
1460226,30.5,9.4,Support,83.1,1
1460227,33.6,5.7,HR,69.6,0
1460228,18.8,6.2,Sales,98.0,1
1460229,8.4,5.6,Support,78.2,1
1460230,12.2,7.7,Engineering,98.6,0
1460231,15.0,7.3,Support,95.4,0
1460232,28.7,5.1,Sales,76.6,1
1460233,39.8,7.6,Support,59.5,1
1460234,35.7,10.0,Engineering,134.1,0
1460235,8.3,8.1,Engineering,105.6,0
1460236,7.7,7.4,Support,90.1,1
1460237,16.8,6.7,HR,145.1,1
1460238,37.6,6.0,HR,82.8,1
1460239,22.3,4.8,Support,99.9,1
1460240,36.4,4.9,Engineering,122.7,0
1460241,28.6,9.2,Sales,137.7,0
1460242,39.5,8.3,HR,121.1,0
1460243,16.8,7.0,HR,107.1,0
1460244,37.3,7.3,Support,110.5,0
1460245,24.8,2.4,HR,94.1,0
1460246,39.0,6.3,Engineering,116.7,0
1460247,31.3,8.2,Sales,112.4,0
1460248,11.2,9.3,Engineering,104.1,0
1460249,36.8,8.3,HR,120.8,0
1460250,5.4,6.2,Sales,114.0,1
1460251,31.0,4.1,Engineering,116.3,0
1460252,7.9,7.6,Sales,150.1,0
1460253,41.4,7.9,HR,69.6,1
1460254,34.0,7.3,Support,25.1,1
1460255,17.6,6.5,Support,92.4,1
1460256,27.5,8.1,HR,105.3,0
1460257,5.4,10.0,Support,76.0,0
1460258,19.1,5.4,Sales,84.4,1
1460259,20.8,6.6,Sales,126.4,1
1460260,34.4,9.4,HR,65.3,0
1460261,33.2,6.0,Support,95.7,1
1460262,11.7,6.6,Support,145.1,0
1460263,28.7,7.6,HR,118.6,0
1460264,12.9,4.7,Support,64.8,1
1460265,25.9,6.1,Sales,94.6,1
1460266,25.9,10.0,Sales,111.4,1
1460267,16.3,7.0,HR,87.8,0
1460268,28.2,9.5,Support,78.5,0
1460269,16.9,7.6,Support,92.7,1
1460270,29.2,4.3,Engineering,95.7,0
1460271,22.0,7.6,Sales,91.2,0
1460272,41.8,6.4,Support,100.0,0
1460273,28.1,6.3,HR,116.4,0
1460274,11.6,7.3,HR,100.7,0
1460275,35.1,6.2,Sales,101.3,0
1460276,29.2,8.9,Engineering,146.4,0
1460277,7.4,6.0,HR,64.0,0
1460278,13.0,8.7,Engineering,94.3,0
1460279,28.9,8.7,HR,44.5,1
1460280,33.6,8.9,HR,131.7,1
1460281,11.2,9.7,Sales,113.0,0
1460282,32.4,7.6,Sales,99.3,1
1460283,9.8,8.0,HR,120.2,0
1460284,7.0,9.4,Support,136.2,0
1460285,22.0,5.0,Sales,111.6,0
1460286,17.0,5.6,Support,139.2,0
1460287,8.7,6.2,Support,64.0,1
1460288,8.0,3.7,HR,123.4,0
1460289,26.8,6.2,Support,81.7,1
1460290,44.4,9.0,Sales,90.9,1
1460291,34.5,5.6,Engineering,54.6,1
1460292,32.7,5.0,HR,111.9,0
1460293,40.4,8.7,Support,106.2,1
1460294,44.6,7.9,HR,103.4,1
1460295,33.9,6.3,HR,38.5,0
1460296,23.8,6.5,Engineering,79.6,1
1460297,14.6,7.5,HR,117.8,0
1460298,5.3,8.6,HR,60.4,1
1460299,37.1,4.9,HR,73.0,1
1460300,39.9,8.8,Sales,77.2,1
1460301,22.5,5.3,Sales,111.0,0
1460302,5.3,9.2,Support,91.9,1
1460303,15.8,6.8,Support,83.3,1
1460304,29.1,6.9,Engineering,101.7,0
1460305,11.5,8.2,Sales,122.7,0
1460306,6.1,6.4,Support,126.1,0
1460307,14.7,6.4,HR,114.2,0
1460308,40.9,5.2,Support,130.8,0
1460309,30.4,7.8,Engineering,146.7,0
1460310,38.6,7.6,Sales,74.4,1
1460311,43.4,8.9,Support,143.0,0
1460312,38.3,7.1,HR,80.0,0
1460313,13.7,7.1,Support,109.4,0
1460314,14.4,,Support,87.2,0
1460315,32.4,7.1,Support,107.3,1
1460316,20.1,5.0,HR,116.9,0
1460317,7.0,,Support,47.8,1
1460318,16.0,9.6,Sales,57.1,1
1460319,41.3,5.6,Sales,106.6,0
1460320,18.8,9.1,HR,63.2,1
1460321,13.5,6.1,HR,126.9,1
1460322,30.6,6.6,HR,112.3,0
1460323,9.3,6.2,Engineering,144.2,0
1460324,35.4,9.4,Support,102.6,1
1460325,9.6,8.8,Sales,116.7,0
1460326,10.6,5.1,Sales,141.6,0
1460327,19.5,7.1,Support,112.2,1
1460328,28.4,4.1,Sales,53.0,1
1460329,35.9,7.3,Sales,109.9,0
1460330,6.2,6.1,HR,98.6,0
1460331,8.5,7.9,Sales,81.8,1
1460332,33.1,5.4,Engineering,104.2,0
1460333,36.8,5.1,HR,92.6,1
1460334,15.3,5.4,Support,77.9,1
1460335,35.2,6.4,Support,105.1,0
1460336,29.5,6.1,HR,131.6,0
1460337,22.5,5.9,Support,101.6,0
1460338,18.7,8.6,Engineering,135.4,0
1460339,9.4,8.7,Sales,98.8,0
1460340,27.1,6.5,Sales,88.6,0
1460341,35.6,6.2,Engineering,86.4,1
1460342,8.3,8.0,Engineering,70.4,1
1460343,40.3,4.3,HR,62.5,1
1460344,33.3,6.0,Sales,137.4,0
1460345,39.5,5.6,Engineering,113.6,1
1460346,5.4,9.7,Engineering,67.1,0
1460347,32.0,8.2,Engineering,130.2,0
1460348,10.4,7.2,HR,120.5,0
1460349,22.3,7.1,HR,105.9,0
1460350,24.9,5.2,HR,116.9,0
1460351,29.8,8.4,Support,100.4,1
1460352,20.0,3.8,HR,88.1,0
1460353,5.3,5.2,Engineering,80.1,1
1460354,40.6,8.4,Engineering,67.5,1
1460355,21.4,8.4,HR,123.8,0
1460356,42.7,6.7,HR,114.4,1
1460357,8.0,6.8,HR,126.6,0
1460358,20.3,5.7,HR,75.9,1
1460359,7.5,9.1,Support,65.5,1
1460360,37.0,10.0,Support,89.7,0
1460361,13.3,4.4,HR,106.2,1
1460362,40.5,5.6,Engineering,94.9,1
1460363,13.3,8.7,Support,108.4,1
1460364,30.8,5.4,HR,70.9,1
1460365,8.0,6.8,Engineering,93.7,1
1460366,15.4,5.2,Sales,91.3,1
1460367,13.5,8.1,HR,118.8,1
1460368,20.9,,Sales,110.2,0
1460369,10.3,6.3,Support,98.1,0
1460370,24.1,6.5,Engineering,112.9,1
1460371,15.0,9.3,Support,112.8,0
1460372,39.6,10.0,Support,88.3,0
1460373,41.5,8.2,HR,112.0,0
1460374,28.1,7.0,Sales,108.6,1
1460375,12.6,8.1,Engineering,99.6,1
1460376,40.9,5.5,Sales,126.8,1
1460377,10.7,9.0,HR,65.6,1
1460378,11.6,8.4,Sales,94.3,0
1460379,37.9,6.1,Sales,106.8,1
1460380,16.9,4.9,Engineering,99.2,1
1460381,5.1,7.4,Support,101.0,0
1460382,8.4,8.3,Sales,128.0,0
1460383,12.4,8.4,Engineering,107.6,0
1460384,38.3,9.5,HR,141.5,1
1460385,23.2,7.9,Support,45.7,1
1460386,39.6,5.0,HR,116.8,0
1460387,36.3,7.3,Support,59.0,1
1460388,39.6,8.7,Sales,101.0,1
1460389,27.5,6.5,Engineering,105.1,1
1460390,26.9,8.8,Engineering,95.1,1
1460391,39.9,7.5,Support,87.6,1
1460392,7.5,4.6,Support,142.2,1
1460393,11.6,8.3,HR,97.4,0
1460394,6.5,6.3,Engineering,72.3,1
1460395,19.8,8.6,Support,99.2,0
1460396,13.9,5.3,Sales,93.0,1
1460397,28.1,7.4,Engineering,129.8,1
1460398,41.5,6.5,HR,72.7,0
1460399,24.6,4.6,Sales,92.5,1
1460400,21.7,8.0,HR,141.6,0
1460401,20.7,6.3,Support,82.7,1
1460402,36.0,8.5,Support,106.5,0
1460403,43.3,6.3,Engineering,69.7,1
1460404,42.1,8.6,Engineering,53.6,1
1460405,38.7,8.3,Engineering,104.5,0
1460406,34.1,6.5,Engineering,144.6,0
1460407,28.3,7.5,Engineering,134.0,0
1460408,24.8,8.2,Support,115.0,1
1460409,17.7,8.8,Support,77.9,1
1460410,23.3,6.7,Support,90.7,1
1460411,25.1,5.2,Sales,61.1,0
1460412,5.8,5.8,Engineering,47.0,1
1460413,44.1,7.9,HR,107.2,0
1460414,27.9,5.6,Engineering,114.6,1
1460415,41.9,8.9,HR,93.7,0
1460416,22.8,7.0,Support,125.4,0
1460417,18.6,4.7,Sales,144.6,0
1460418,14.5,10.0,Support,153.6,1
1460419,36.4,10.0,HR,67.3,1
1460420,5.0,6.9,Sales,90.3,1
1460421,44.8,,HR,86.3,1
1460422,23.5,5.4,Engineering,114.0,0
1460423,38.6,9.9,Sales,115.0,0
1460424,13.1,7.8,Engineering,12.9,1
1460425,19.8,4.7,Engineering,57.5,1
1460426,11.6,8.6,HR,69.1,1
1460427,21.4,6.0,Support,88.1,1
1460428,10.8,8.4,Sales,146.2,0
1460429,40.1,7.6,Support,86.0,1
1460430,7.8,6.8,Sales,105.7,0
1460431,16.8,5.9,Engineering,122.4,0
1460432,18.7,8.5,Sales,134.0,0
1460433,16.6,6.5,HR,107.8,0
1460434,17.0,5.5,Sales,118.0,0
1460435,12.1,5.0,HR,125.1,1
1460436,37.1,10.0,Engineering,107.5,1
1460437,22.9,9.6,Support,82.3,1
1460438,23.3,7.5,Engineering,94.4,1
1460439,32.9,6.4,HR,117.4,0
1460440,44.6,6.0,Engineering,89.6,1
1460441,16.1,6.6,Support,31.6,1
1460442,36.6,9.2,HR,119.2,0
1460443,23.9,7.2,Support,79.5,1
1460444,40.9,6.2,Engineering,129.4,0
1460445,43.0,6.7,Support,107.8,0
1460446,42.7,6.5,HR,83.5,1
1460447,5.8,6.9,Sales,111.1,0
1460448,13.0,7.8,Engineering,27.7,1
1460449,40.6,6.8,Sales,114.1,0
1460450,8.5,6.7,Engineering,84.7,1
1460451,37.1,9.1,Sales,100.4,0
1460452,41.4,5.9,Sales,94.7,1
1460453,8.6,6.4,Support,104.1,0
1460454,13.8,8.4,Sales,61.0,1
1460455,15.1,5.8,HR,83.0,1
1460456,22.9,7.2,Sales,128.9,0
1460457,17.2,4.3,HR,93.0,1
1460458,37.8,5.6,Engineering,90.9,0
1460459,7.8,8.8,Sales,94.6,0
1460460,17.2,6.8,Support,123.4,0
1460461,24.9,9.5,HR,51.0,0
1460462,9.7,6.1,Sales,64.9,1
1460463,39.7,7.9,HR,109.4,1
1460464,35.0,7.2,Engineering,72.7,0
1460465,40.8,7.8,Support,101.8,1
1460466,27.7,5.3,Sales,117.4,1
1460467,9.1,7.5,Engineering,105.5,1
1460468,8.8,7.4,Sales,66.9,0
1460469,26.6,5.1,Support,104.1,0
1460470,42.2,5.0,HR,140.9,0
1460471,39.4,6.3,Sales,90.8,1
1460472,20.9,8.5,Engineering,86.2,1
1460473,25.7,4.8,Sales,131.4,0
1460474,33.4,6.2,Support,120.3,0
1460475,24.6,6.7,HR,90.9,0
1460476,32.4,7.1,Engineering,85.2,1
1460477,9.9,7.7,Support,72.5,0
1460478,17.9,9.0,Support,97.8,1
1460479,8.4,7.8,Engineering,117.0,0
1460480,29.9,5.6,Sales,108.2,0
1460481,22.5,5.8,Sales,94.9,1
1460482,31.5,6.4,HR,110.3,1
1460483,17.1,6.1,HR,95.6,1
1460484,32.6,,Engineering,111.3,0
1460485,14.2,6.1,HR,133.7,0
1460486,14.9,5.7,HR,97.4,1
1460487,17.3,5.8,HR,71.5,1
1460488,7.3,3.6,HR,66.9,1
1460489,43.1,10.0,Engineering,114.0,0
1460490,25.0,6.7,Support,125.9,1
1460491,32.8,6.0,Engineering,73.4,1
1460492,11.4,7.5,HR,91.2,1
1460493,31.8,7.7,Sales,105.9,0
1460494,11.5,8.2,Engineering,114.8,0
1460495,18.4,5.9,HR,71.5,1
1460496,9.1,7.1,Engineering,125.4,0
1460497,23.8,6.3,HR,82.8,0
1460498,12.2,8.2,Sales,107.9,0
1460499,5.3,7.8,Support,57.7,1
1460500,20.4,5.6,HR,127.4,1
1460501,24.2,9.7,HR,70.9,1
1460502,33.5,5.2,Engineering,143.7,0
1460503,27.0,7.2,Engineering,117.5,0
1460504,30.9,7.9,HR,74.5,0
1460505,22.6,7.1,Engineering,106.2,0
1460506,39.5,9.9,Sales,118.2,0
1460507,36.1,7.5,Engineering,95.4,0
1460508,44.0,7.2,Support,89.8,1
1460509,5.6,5.2,Sales,88.2,0
1460510,39.5,10.0,Sales,134.5,1
1460511,26.6,3.6,Support,124.1,0
1460512,18.8,9.0,HR,135.2,0
1460513,12.1,8.7,Sales,106.5,1
1460514,22.4,6.5,Support,77.9,0
1460515,23.1,5.7,Sales,104.6,1
1460516,10.7,5.6,Sales,63.6,1
1460517,14.6,9.7,Sales,127.8,0
1460518,26.7,8.6,Engineering,89.4,0
1460519,32.6,7.3,HR,60.9,1
1460520,20.6,8.8,Sales,83.1,1
1460521,21.2,8.4,Sales,113.1,1
1460522,36.8,4.7,HR,95.0,1
1460523,38.0,8.9,HR,79.3,0
1460524,23.0,6.4,Support,117.0,0
1460525,22.9,6.6,HR,128.3,0
1460526,39.0,5.1,Sales,118.8,0
1460527,23.9,9.5,Sales,106.7,0
1460528,29.5,8.6,Sales,71.6,1
1460529,24.0,9.3,Sales,79.4,1
1460530,16.5,7.9,Engineering,154.5,0
1460531,41.9,8.7,Support,90.5,0
1460532,13.5,6.9,HR,126.8,1
1460533,7.4,7.1,Sales,135.7,0
1460534,19.3,10.0,HR,77.3,0
1460535,11.4,8.3,Support,76.8,0
1460536,24.6,6.2,Engineering,105.8,0
1460537,42.0,7.2,Sales,68.3,1
1460538,16.5,5.7,HR,83.8,1
1460539,31.5,9.7,Support,125.2,0
1460540,24.7,10.0,Sales,114.8,0
1460541,5.5,8.1,HR,54.2,1
1460542,34.5,9.7,Engineering,87.9,1
1460543,12.9,6.0,HR,129.5,0
1460544,43.5,8.7,Sales,72.6,1
1460545,36.7,6.2,HR,97.0,1
1460546,22.2,6.5,HR,59.6,0
1460547,43.1,7.1,Support,76.8,1
1460548,39.7,8.1,Engineering,61.5,1
1460549,24.7,6.3,Support,115.0,0
1460550,9.5,5.2,Engineering,84.8,1
1460551,40.1,7.6,Sales,83.0,0
1460552,5.3,5.3,Engineering,107.3,1
1460553,37.2,5.9,Engineering,125.3,1
1460554,24.4,8.7,Support,61.9,0
1460555,40.7,7.4,Support,103.3,1
1460556,23.0,7.4,Sales,100.1,0
1460557,16.2,9.1,Support,106.5,1
1460558,22.8,4.3,Support,122.9,0
1460559,35.7,7.2,Sales,129.1,0
1460560,24.6,10.0,HR,123.1,0
1460561,7.3,6.6,Sales,152.8,0
1460562,33.0,5.7,Support,134.8,0
1460563,40.5,7.3,Support,76.4,1
1460564,10.8,4.6,HR,105.7,0
1460565,18.9,8.0,Support,92.0,1
1460566,42.4,,Engineering,78.5,1
1460567,21.6,8.1,HR,88.1,1
1460568,41.0,7.5,Sales,84.5,1
1460569,37.4,7.0,Engineering,75.6,1
1460570,8.3,4.9,HR,90.3,1
1460571,37.8,10.0,Support,63.6,1
1460572,39.1,7.6,Support,138.7,1
1460573,6.6,9.7,Sales,124.8,0
1460574,26.5,7.8,HR,130.8,0
1460575,27.9,6.1,Support,90.1,1
1460576,22.4,5.5,HR,101.3,0
1460577,34.3,5.6,Support,97.3,0
1460578,30.0,6.7,Engineering,110.3,0
1460579,25.8,8.7,HR,151.6,0
1460580,12.6,7.5,HR,87.1,1
1460581,29.0,8.1,HR,111.5,0
1460582,7.0,7.7,HR,101.2,1
1460583,20.5,7.6,Engineering,92.9,1
1460584,40.4,3.6,Engineering,137.2,0
1460585,39.1,7.8,Sales,112.1,0
1460586,11.7,6.5,Sales,107.2,1
1460587,40.3,5.6,Engineering,107.0,0
1460588,40.0,7.4,Sales,86.6,1
1460589,6.7,8.2,Engineering,136.9,0
1460590,35.9,7.8,Sales,85.5,1
1460591,31.4,7.0,Support,108.4,0
1460592,6.1,9.5,Engineering,60.0,1
1460593,5.4,8.0,HR,98.8,0
1460594,13.8,6.8,Engineering,99.0,1
1460595,25.0,7.6,Support,124.7,0
1460596,16.9,10.0,Sales,70.0,1
1460597,21.8,6.6,HR,140.1,0
1460598,26.6,2.9,Sales,125.2,0
1460599,19.1,8.6,Support,54.1,1
1460600,16.9,7.5,HR,58.7,1
1460601,6.3,3.4,Sales,106.1,0
1460602,19.5,8.6,Engineering,49.0,1
1460603,31.8,6.5,HR,110.2,0
1460604,33.0,7.3,Support,64.1,1
1460605,19.0,9.9,Sales,169.3,0
1460606,34.5,7.7,HR,169.8,1
1460607,28.8,8.0,HR,99.9,0
1460608,24.2,8.0,HR,66.0,1
1460609,8.6,8.8,Sales,73.9,1
1460610,8.6,8.2,Sales,126.5,0
1460611,24.2,8.4,Support,120.3,0
1460612,26.6,5.5,Engineering,122.0,0
1460613,36.5,8.1,Sales,102.6,0
1460614,13.4,7.9,Sales,79.6,1
1460615,29.9,6.9,Sales,160.3,0
1460616,24.7,6.4,Support,114.7,0
1460617,22.2,7.3,Support,76.6,1
1460618,18.5,6.9,Engineering,120.2,0
1460619,14.9,5.4,Support,109.6,0
1460620,16.7,6.8,Support,81.6,1
1460621,31.6,8.5,HR,72.2,0
1460622,19.4,8.3,HR,119.1,0
1460623,15.4,7.0,Sales,96.9,0
1460624,15.5,8.8,Sales,69.7,1
1460625,37.4,7.0,Sales,129.5,0
1460626,27.0,7.8,Engineering,112.2,0
1460627,44.7,8.8,Engineering,87.9,1
1460628,34.1,7.3,HR,101.2,1
1460629,16.6,5.5,Engineering,105.3,0
1460630,38.8,10.0,Sales,69.2,1
1460631,6.6,7.4,HR,108.2,0
1460632,44.1,8.9,Sales,44.2,1
1460633,8.8,9.6,Support,103.4,0
1460634,10.3,8.3,Sales,88.3,1
1460635,39.5,8.1,Support,113.4,1
1460636,6.5,8.1,Sales,127.7,0
1460637,42.2,6.0,Engineering,118.2,1
1460638,25.0,5.3,Sales,117.7,0
1460639,41.4,10.0,Sales,81.2,1
1460640,18.3,7.6,Sales,108.0,0
1460641,37.8,8.3,Engineering,100.0,1
1460642,6.1,6.8,HR,102.6,1
