WorkerID,SafetyTrainingHours,ComplianceScore,NearMissCount,MachineUsageHours,AccidentOccurred
1490165,13.7,39.5,79.6,51.0,0
1490166,43.5,51.7,110.3,42.0,0
1490167,37.1,34.1,136.7,50.0,1
1490168,13.7,33.7,67.5,68.0,1
1490169,22.9,49.7,101.8,45.0,1
1490170,13.9,50.3,97.5,56.0,1
1490171,26.4,20.6,130.0,29.0,1
1490172,31.8,48.4,143.1,52.0,1
1490173,8.0,43.4,112.9,56.0,1
1490174,29.2,35.2,64.1,50.0,0
1490175,24.1,55.3,120.8,50.0,1
1490176,27.2,63.1,84.3,58.0,0
1490177,16.5,55.3,146.3,59.0,0
1490178,13.9,37.0,93.8,46.0,1
1490179,6.7,46.9,132.3,51.0,0
1490180,44.8,48.5,84.0,33.0,1
1490181,21.8,63.4,,49.0,0
1490182,19.0,33.0,53.5,69.0,0
1490183,24.6,29.1,122.7,33.0,0
1490184,6.1,20.6,93.6,40.0,0
1490185,20.5,47.0,141.2,53.0,1
1490186,18.7,53.3,126.0,43.0,1
1490187,15.3,43.5,121.8,31.0,1
1490188,18.1,39.3,108.8,23.0,1
1490189,9.5,71.2,140.6,58.0,1
1490190,42.6,40.6,71.1,70.0,1
1490191,33.4,77.7,117.9,57.0,0
1490192,35.6,55.1,142.2,29.0,0
1490193,9.5,38.9,126.6,43.0,0
1490194,41.7,51.8,105.3,37.0,0
1490195,33.0,58.8,103.1,78.0,1
1490196,31.2,53.6,116.7,34.0,0
1490197,18.0,50.1,74.4,56.0,1
1490198,27.3,68.5,102.0,33.0,0
1490199,33.7,27.8,83.9,51.0,1
1490200,14.7,28.5,99.4,12.0,1
1490201,42.2,42.4,100.7,42.0,0
1490202,25.1,39.0,126.9,30.0,1
1490203,7.8,58.9,134.4,25.0,1
1490204,12.6,56.6,73.9,40.0,0
1490205,41.2,41.9,88.4,30.0,1
1490206,24.5,32.7,102.3,15.0,1
1490207,24.6,33.9,121.8,38.0,1
1490208,35.6,56.8,130.9,79.0,0
1490209,13.0,73.3,90.3,39.0,1
1490210,30.5,33.2,127.2,26.0,0
1490211,14.9,31.1,67.6,48.0,0
1490212,36.5,55.1,103.0,38.0,1
1490213,14.7,41.3,60.2,59.0,0
1490214,35.7,27.2,124.7,48.0,0
1490215,21.7,57.5,94.3,41.0,0
1490216,17.9,52.9,88.3,35.0,1
1490217,7.8,64.0,71.5,50.0,1
1490218,16.2,37.3,73.7,32.0,0
1490219,35.9,32.5,111.6,46.0,0
1490220,5.5,52.8,116.3,35.0,0
1490221,37.7,33.7,68.5,55.0,0
1490222,37.5,61.7,109.6,31.0,0
1490223,38.6,43.6,88.8,25.0,1
1490224,10.4,40.4,109.4,49.0,1
1490225,6.5,50.7,134.3,47.0,1
1490226,17.4,46.9,115.3,28.0,1
1490227,5.1,30.8,99.8,37.0,0
1490228,31.5,56.7,149.8,34.0,1
1490229,25.9,48.7,85.4,28.0,1
1490230,24.8,47.9,97.6,43.0,0
1490231,44.2,63.2,107.1,48.0,1
1490232,27.3,39.0,90.9,41.0,1
1490233,37.0,48.8,99.1,38.0,1
1490234,23.7,55.8,118.5,50.0,1
1490235,14.2,63.2,121.5,34.0,0
1490236,16.8,35.1,93.9,33.0,1
1490237,25.4,52.5,114.0,34.0,0
1490238,32.5,30.3,64.2,32.0,1
1490239,23.9,35.3,95.5,34.0,1
1490240,17.7,70.0,116.5,43.0,1
1490241,24.6,74.8,88.8,32.0,0
1490242,43.3,54.4,108.2,27.0,1
1490243,37.8,36.0,147.1,72.0,0
1490244,31.8,60.9,70.0,57.0,1
1490245,45.0,37.3,105.2,38.0,1
1490246,8.3,48.2,55.2,35.0,0
1490247,14.8,47.9,75.4,64.0,1
1490248,41.8,61.0,70.5,40.0,1
1490249,13.8,28.3,79.0,26.0,0
1490250,14.2,65.2,139.2,28.0,0
1490251,40.8,54.7,63.0,63.0,0
1490252,31.8,53.0,145.1,66.0,0
1490253,39.9,24.8,65.5,52.0,1
1490254,12.1,57.9,57.9,49.0,1
1490255,31.5,51.2,50.7,44.0,0
1490256,34.5,38.5,126.6,17.0,0
1490257,28.3,38.5,129.7,38.0,0
1490258,28.4,46.0,142.0,38.0,0
1490259,42.3,14.3,89.1,69.0,1
1490260,25.7,31.2,109.8,41.0,0
1490261,7.8,59.6,128.2,38.0,1
1490262,9.5,10.8,67.3,34.0,0
1490263,26.2,60.2,80.4,39.0,1
1490264,25.7,38.4,55.2,27.0,0
1490265,29.5,20.1,85.7,40.0,0
1490266,12.9,49.5,68.9,48.0,1
1490267,6.6,52.9,114.6,42.0,1
1490268,7.3,22.9,99.9,34.0,1
1490269,24.6,60.4,75.1,52.0,1
1490270,38.2,45.3,108.9,58.0,1
1490271,5.6,24.5,43.2,61.0,0
1490272,35.7,58.3,49.9,28.0,0
1490273,6.8,53.0,99.7,57.0,0
1490274,5.3,39.9,137.6,50.0,0
1490275,26.2,45.5,145.5,30.0,0
1490276,23.2,43.1,124.9,66.0,0
1490277,23.6,41.7,87.3,54.0,0
1490278,44.1,52.8,143.0,70.0,1
1490279,41.6,22.0,96.2,30.0,0
1490280,30.6,60.9,108.8,68.0,1
1490281,43.2,52.8,72.3,35.0,0
1490282,39.4,44.8,77.1,44.0,1
1490283,19.3,54.1,111.0,14.0,1
1490284,40.6,50.3,148.3,42.0,1
1490285,37.6,58.0,77.2,1.0,0
1490286,14.9,45.2,98.8,30.0,0
1490287,12.4,46.0,89.5,30.0,1
1490288,33.1,42.5,139.6,64.0,1
1490289,28.0,37.2,98.6,62.0,0
1490290,38.7,31.6,102.0,52.0,1
1490291,43.5,54.8,86.4,45.0,0
1490292,14.0,45.5,119.3,8.0,1
1490293,19.7,38.5,74.8,16.0,1
1490294,37.6,76.7,110.1,57.0,0
1490295,22.5,59.6,110.0,50.0,1
1490296,24.4,20.0,114.5,33.0,0
1490297,33.9,28.2,99.8,25.0,0
1490298,38.6,57.3,99.9,44.0,1
1490299,15.4,39.9,90.4,34.0,1
1490300,6.5,24.5,99.8,53.0,0
1490301,43.1,37.3,99.9,44.0,0
1490302,24.7,40.6,127.5,32.0,0
1490303,34.3,71.6,93.7,70.0,0
1490304,6.5,62.8,101.1,44.0,0
1490305,29.5,43.0,78.9,64.0,1
1490306,25.2,21.2,108.0,37.0,0
1490307,15.8,26.0,84.2,42.0,1
1490308,31.9,44.2,76.5,47.0,1
1490309,18.0,52.7,81.7,39.0,1
1490310,37.9,48.2,62.8,44.0,1
1490311,30.5,34.5,81.2,9.0,1
1490312,39.2,63.7,148.6,69.0,0
1490313,42.2,73.8,78.1,47.0,1
1490314,41.7,36.6,57.5,22.0,1
1490315,17.0,40.0,136.7,28.0,1
1490316,42.2,50.9,88.2,46.0,1
1490317,6.8,36.5,110.9,33.0,0
1490318,42.8,37.7,87.3,46.0,0
1490319,12.4,46.2,102.6,35.0,0
1490320,12.7,24.3,93.0,22.0,0
1490321,32.9,65.8,77.0,30.0,0
1490322,39.1,68.1,82.3,45.0,1
1490323,44.1,58.2,45.8,44.0,0
1490324,17.1,58.2,114.9,28.0,0
1490325,5.6,52.8,148.8,52.0,0
1490326,13.8,37.9,45.7,54.0,0
1490327,15.3,56.1,78.1,51.0,0
1490328,13.1,23.7,103.7,26.0,0
1490329,27.5,67.7,108.1,36.0,0
1490330,29.3,26.0,122.5,38.0,1
1490331,30.3,35.5,92.7,74.0,0
1490332,6.3,31.5,107.6,17.0,0
1490333,15.6,53.5,97.1,30.0,1
1490334,21.6,55.5,133.4,27.0,0
1490335,29.1,23.5,129.9,18.0,0
1490336,13.4,38.6,95.2,44.0,0
1490337,21.1,44.5,90.2,35.0,1
1490338,40.7,59.6,87.8,40.0,0
1490339,44.8,50.4,114.0,37.0,1
1490340,27.2,37.6,72.2,58.0,1
1490341,28.8,38.6,84.0,29.0,0
1490342,26.7,32.9,113.5,13.0,0
1490343,11.8,53.8,96.6,53.0,1
1490344,33.9,71.0,100.5,11.0,0
1490345,20.9,49.2,83.3,46.0,1
1490346,19.5,68.5,101.8,28.0,0
1490347,29.9,28.5,96.9,49.0,1
1490348,30.1,69.0,,48.0,1
1490349,6.9,60.3,76.1,64.0,0
1490350,25.6,38.7,83.9,41.0,1
1490351,14.3,42.9,88.6,34.0,1
1490352,37.0,36.3,111.5,27.0,0
1490353,35.4,36.0,114.5,58.0,0
1490354,38.4,43.2,59.4,28.0,0
1490355,15.9,40.6,45.9,37.0,0
1490356,21.4,56.8,92.8,30.0,0
1490357,21.1,20.0,106.4,51.0,0
1490358,36.0,32.8,111.7,59.0,0
1490359,33.0,67.8,92.4,49.0,0
1490360,32.8,56.0,109.6,22.0,0
1490361,26.9,52.3,11.1,58.0,1
1490362,16.5,45.7,121.2,64.0,1
1490363,6.7,44.9,115.3,20.0,1
1490364,21.3,32.4,26.8,38.0,1
1490365,20.8,49.3,85.1,67.0,1
1490366,25.0,56.1,89.4,32.0,1
1490367,27.2,32.6,,36.0,0
1490368,39.5,40.5,94.9,51.0,1
1490369,28.9,65.3,100.8,36.0,0
1490370,12.0,39.5,84.5,50.0,1
1490371,6.6,33.8,100.9,38.0,0
1490372,22.7,42.9,89.6,32.0,0
1490373,39.2,44.7,119.9,39.0,0
1490374,29.7,52.2,95.7,45.0,0
1490375,31.6,34.3,90.1,43.0,0
1490376,44.2,63.1,89.3,17.0,0
1490377,43.2,38.1,85.5,38.0,1
1490378,36.4,35.9,102.3,36.0,0
1490379,39.5,29.8,174.2,48.0,0
1490380,33.7,55.0,90.6,31.0,0
1490381,44.5,28.9,97.3,49.0,0
1490382,42.1,79.7,86.6,61.0,1
1490383,24.2,40.7,79.8,51.0,0
1490384,14.7,76.0,95.6,46.0,0
1490385,44.7,39.3,97.0,30.0,1
1490386,9.1,22.2,153.4,44.0,1
1490387,10.9,45.3,61.6,23.0,1
1490388,30.5,38.7,130.2,38.0,0
1490389,14.3,46.7,76.6,58.0,1
1490390,13.1,46.5,116.4,64.0,0
1490391,11.5,3.5,102.3,50.0,1
1490392,26.6,45.4,96.2,61.0,0
1490393,32.2,59.5,111.8,48.0,0
1490394,42.3,43.4,102.3,25.0,0
1490395,23.6,31.9,96.9,63.0,0
1490396,10.1,64.4,114.1,48.0,0
1490397,17.9,92.7,106.2,37.0,0
1490398,9.2,60.2,73.1,41.0,0
1490399,12.2,43.1,110.0,64.0,1
1490400,42.8,47.1,137.8,45.0,0
1490401,11.8,49.6,92.6,50.0,1
1490402,36.9,42.0,122.0,36.0,1
1490403,11.3,30.7,112.0,41.0,1
1490404,23.7,33.9,57.5,44.0,1
1490405,38.5,57.6,74.4,51.0,1
1490406,22.3,34.4,116.5,56.0,0
1490407,30.0,36.6,106.5,56.0,0
1490408,16.0,41.2,101.3,38.0,1
1490409,33.6,68.9,103.6,22.0,1
1490410,26.9,72.9,115.2,71.0,1
1490411,13.3,63.0,91.5,22.0,1
1490412,5.6,51.6,63.2,5.0,0
1490413,10.6,44.0,129.5,53.0,0
1490414,23.6,2.5,116.4,38.0,0
1490415,20.4,68.3,130.8,51.0,0
1490416,7.4,37.4,82.7,41.0,1
1490417,38.9,49.1,78.7,56.0,1
1490418,7.4,48.3,117.7,48.0,0
1490419,29.0,45.0,113.7,27.0,0
1490420,39.3,55.7,120.6,58.0,1
1490421,12.4,37.1,106.9,48.0,0
1490422,35.1,67.7,96.3,54.0,1
1490423,24.2,32.3,91.8,41.0,1
1490424,17.9,35.3,64.3,27.0,0
1490425,41.5,43.8,119.2,51.0,1
1490426,15.9,33.0,83.6,44.0,1
1490427,37.3,41.3,104.7,52.0,0
1490428,30.9,36.8,78.0,50.0,0
1490429,37.6,36.5,52.1,27.0,1
1490430,29.7,69.1,91.8,3.0,0
1490431,7.8,46.0,79.7,54.0,0
1490432,43.2,46.6,142.3,38.0,0
1490433,10.7,31.6,81.8,38.0,1
1490434,20.7,26.5,72.3,54.0,0
1490435,21.2,78.3,99.9,34.0,1
1490436,32.7,36.1,91.3,51.0,1
1490437,12.7,81.1,57.4,39.0,1
1490438,21.3,70.3,81.4,20.0,1
1490439,23.3,37.2,75.6,43.0,0
1490440,30.8,33.3,98.7,55.0,1
1490441,7.2,49.4,134.4,36.0,0
1490442,43.8,22.7,115.7,55.0,0
1490443,19.4,35.2,96.7,44.0,0
1490444,23.3,64.5,112.0,35.0,0
1490445,42.2,30.0,83.4,10.0,1
1490446,35.8,46.1,81.2,35.0,0
1490447,33.5,61.6,47.5,68.0,1
1490448,44.2,43.4,97.1,62.0,1
1490449,17.3,46.5,,38.0,1
1490450,33.7,27.8,73.4,38.0,1
1490451,39.4,61.7,145.6,42.0,0
1490452,26.9,37.7,99.9,48.0,1
1490453,36.6,75.7,100.5,30.0,0
1490454,14.2,53.3,137.5,70.0,0
1490455,43.8,43.1,75.8,64.0,0
1490456,23.7,44.3,99.9,15.0,1
1490457,16.2,24.3,126.5,58.0,1
1490458,35.6,76.9,146.9,49.0,0
1490459,26.1,20.0,,36.0,1
1490460,19.3,42.9,88.4,43.0,0
1490461,42.1,53.3,106.5,40.0,0
1490462,18.5,49.3,101.8,63.0,0
1490463,40.7,49.5,107.5,13.0,1
1490464,8.5,75.2,123.8,53.0,0
1490465,6.1,69.4,104.2,24.0,0
1490466,27.4,45.6,119.7,32.0,0
1490467,26.6,37.8,76.9,72.0,1
1490468,41.2,16.4,137.6,68.0,1
1490469,18.6,47.0,87.0,44.0,0
1490470,12.6,18.8,86.5,70.0,0
1490471,19.7,27.5,94.3,10.0,1
1490472,30.0,35.9,93.4,36.0,1
1490473,28.3,59.5,153.0,16.0,1
1490474,34.1,33.7,64.9,30.0,0
1490475,41.3,40.8,92.0,31.0,1
1490476,20.6,11.2,126.1,68.0,1
1490477,31.5,30.8,145.2,56.0,1
1490478,18.7,41.1,103.7,26.0,1
1490479,32.9,58.9,79.7,54.0,0
1490480,43.0,43.9,80.2,51.0,1
1490481,21.9,53.9,108.8,30.0,0
1490482,10.2,50.5,92.0,49.0,0
1490483,30.1,38.6,83.2,20.0,0
1490484,42.6,36.8,87.1,46.0,0
1490485,31.6,44.5,133.1,56.0,1
1490486,26.6,30.0,123.2,37.0,0
1490487,39.0,50.7,114.7,52.0,0
1490488,27.8,44.1,112.5,60.0,0
1490489,28.8,27.1,148.2,59.0,0
1490490,44.4,45.9,89.8,45.0,1
1490491,5.9,38.1,124.8,21.0,1
1490492,44.8,55.8,81.8,36.0,1
1490493,11.7,46.6,115.3,16.0,0
1490494,30.6,48.2,85.4,46.0,0
1490495,27.1,31.4,119.5,61.0,0
1490496,34.6,73.5,104.9,43.0,1
1490497,13.1,53.6,118.1,45.0,1
1490498,34.7,11.4,68.7,34.0,1
1490499,21.9,33.3,102.0,42.0,1
1490500,32.4,28.9,109.0,22.0,1
1490501,19.7,34.5,88.5,35.0,0
1490502,29.1,57.1,138.7,20.0,0
1490503,42.8,78.4,135.4,35.0,0
1490504,23.9,40.6,124.8,16.0,1
1490505,34.6,43.6,80.9,51.0,1
1490506,10.9,35.4,90.9,50.0,0
1490507,37.6,31.5,101.3,66.0,0
1490508,35.6,31.0,63.3,18.0,1
1490509,34.7,31.0,101.2,56.0,0
1490510,26.1,68.9,93.2,31.0,0
1490511,26.9,39.7,58.7,46.0,1
1490512,29.9,61.9,93.8,34.0,1
1490513,37.7,79.9,74.9,44.0,0
1490514,20.3,39.6,70.7,52.0,1
1490515,28.5,48.9,119.6,56.0,1
1490516,38.9,56.1,93.5,19.0,0
1490517,35.0,59.2,105.9,33.0,1
1490518,38.1,41.3,97.8,35.0,1
1490519,35.8,68.8,76.7,45.0,1
1490520,16.9,66.0,110.1,60.0,1
1490521,24.9,43.2,106.2,47.0,0
1490522,44.3,25.4,79.7,49.0,1
1490523,42.8,65.8,85.9,28.0,0
1490524,26.6,33.4,113.5,56.0,1
1490525,44.3,26.2,151.0,42.0,0
1490526,43.3,75.2,75.7,49.0,1
1490527,24.1,54.5,81.1,30.0,1
1490528,16.4,12.7,96.9,76.0,0
1490529,21.5,59.1,59.4,65.0,0
1490530,41.8,49.7,,51.0,1
1490531,11.7,33.8,99.1,62.0,0
1490532,24.5,37.1,119.3,48.0,1
1490533,15.1,56.1,132.2,21.0,1
1490534,15.2,37.4,94.1,50.0,0
1490535,43.2,55.8,79.6,44.0,0
1490536,17.1,57.8,87.1,36.0,1
1490537,40.7,37.3,131.1,30.0,0
1490538,40.5,39.9,132.9,64.0,0
1490539,23.0,20.0,54.8,48.0,0
1490540,22.9,39.3,80.7,52.0,0
1490541,8.0,27.6,78.5,52.0,1
1490542,42.8,33.2,108.3,36.0,0
1490543,23.5,51.2,71.3,24.0,0
1490544,9.4,56.5,,40.0,1
1490545,18.7,50.5,126.8,53.0,1
1490546,33.5,40.9,144.2,43.0,0
1490547,31.3,27.5,91.3,48.0,0
1490548,14.5,34.7,140.9,46.0,1
1490549,27.0,60.4,91.6,49.0,0
1490550,37.0,28.6,122.7,33.0,1
1490551,26.2,56.2,114.4,55.0,1
1490552,13.0,32.6,126.1,10.0,0
1490553,13.0,30.9,137.1,46.0,1
1490554,43.8,56.7,70.0,23.0,0
1490555,24.3,48.3,71.0,28.0,1
1490556,10.4,37.3,156.3,26.0,0
1490557,41.1,19.5,127.6,36.0,1
1490558,44.5,49.4,114.1,80.0,0
1490559,30.9,17.9,66.0,38.0,0
1490560,6.1,60.0,119.9,51.0,1
1490561,39.7,18.0,139.5,49.0,1
1490562,34.9,36.4,69.3,29.0,1
1490563,43.3,32.8,106.2,44.0,1
1490564,6.5,29.6,74.8,56.0,0
1490565,7.1,61.1,116.0,60.0,1
1490566,44.6,50.8,101.1,21.0,1
1490567,42.8,40.8,99.9,11.0,1
1490568,14.4,84.4,,1.0,1
1490569,17.2,16.2,67.7,19.0,0
1490570,18.0,45.3,135.2,46.0,1
1490571,6.1,33.7,90.0,25.0,0
1490572,34.5,37.5,83.1,39.0,0
1490573,22.8,43.1,124.0,35.0,1
1490574,23.1,75.9,61.7,13.0,1
1490575,24.3,49.7,96.1,51.0,1
1490576,24.5,66.6,73.7,58.0,0
1490577,7.5,35.6,101.8,39.0,0
1490578,26.7,50.8,99.0,18.0,1
1490579,25.3,14.1,51.1,44.0,1
1490580,43.1,39.4,86.2,58.0,1
1490581,30.7,74.3,123.5,40.0,0
1490582,40.2,34.7,107.4,40.0,1
1490583,35.8,76.6,106.5,47.0,1
1490584,42.8,57.0,47.1,74.0,0
1490585,10.2,49.4,125.4,33.0,1
1490586,32.6,65.7,91.2,42.0,0
1490587,40.3,20.9,112.6,29.0,0
1490588,20.0,52.5,81.4,42.0,1
1490589,27.5,45.2,85.1,32.0,1
1490590,6.5,28.7,134.7,56.0,1
1490591,15.2,19.2,75.4,59.0,0
1490592,10.6,44.5,125.5,42.0,0
1490593,14.8,42.1,81.8,59.0,1
1490594,34.4,35.9,144.0,44.0,1
1490595,23.9,50.4,116.5,39.0,0
1490596,8.4,39.0,116.3,38.0,1
1490597,32.8,32.3,89.5,45.0,0
1490598,28.6,55.7,81.8,57.0,1
1490599,20.6,61.1,110.9,46.0,0
1490600,14.7,43.9,159.4,63.0,0
1490601,26.1,44.6,95.4,11.0,1
1490602,25.6,35.7,79.7,56.0,1
1490603,14.4,32.2,119.5,62.0,0
1490604,31.9,66.3,87.8,75.0,1
1490605,8.6,46.1,113.3,41.0,0
1490606,21.6,62.1,118.7,49.0,0
1490607,31.7,51.1,111.6,26.0,0
1490608,26.9,76.9,87.7,59.0,1
1490609,27.7,19.2,129.8,59.0,0
1490610,30.9,44.9,148.5,25.0,1
1490611,25.6,62.9,,28.0,0
1490612,44.6,41.0,114.7,23.0,1
1490613,31.4,30.8,86.6,43.0,0
1490614,29.1,34.4,80.4,22.0,0
1490615,13.8,40.9,123.4,41.0,0
1490616,41.7,27.4,111.4,70.0,0
1490617,25.3,70.0,67.3,28.0,1
1490618,15.8,52.8,114.4,47.0,1
1490619,12.5,51.6,155.0,43.0,1
1490620,23.7,8.3,49.4,42.0,1
1490621,11.5,37.2,,39.0,1
1490622,37.0,38.7,107.8,50.0,0
1490623,19.2,62.6,109.7,32.0,1
1490624,43.0,51.3,149.0,29.0,0
1490625,18.6,62.8,96.8,78.0,1
1490626,23.0,49.4,95.7,51.0,1
1490627,10.7,20.8,90.4,29.0,1
1490628,34.6,45.6,121.4,37.0,1
1490629,17.8,65.5,100.2,53.0,1
1490630,19.0,48.3,110.4,66.0,1
1490631,6.0,36.2,81.0,66.0,0
1490632,10.6,66.1,108.8,67.0,1
1490633,18.5,43.8,93.9,44.0,0
