RouteID,DeliveryDistance_Km,TrafficCongestionIndex,StopCount,TimeWindowMinutes,OnTimeDelivery
1320082,1.8,123.2,84.2,25.9,1
1320083,16.1,102.2,82.7,12.6,1
1320084,2.5,97.5,94.2,6.5,0
1320085,5.9,82.5,77.5,1.4,0
1320086,5.1,103.8,85.5,6.5,1
1320087,5.7,106.7,135.0,4.8,0
1320088,3.0,115.5,87.0,27.9,1
1320089,15.2,,129.0,15.8,0
1320090,16.8,45.3,76.7,12.6,1
1320091,13.1,98.3,69.6,18.5,1
1320092,7.3,63.9,79.3,14.8,1
1320093,0.8,89.6,117.7,1.0,1
1320094,4.1,88.6,106.6,14.5,1
1320095,0.7,103.3,120.5,37.9,1
1320096,8.2,109.0,138.9,3.1,1
1320097,3.4,112.4,124.4,13.0,1
1320098,1.2,87.9,43.8,21.0,1
1320099,2.9,109.7,111.6,1.1,0
1320100,10.9,97.6,73.9,15.1,0
1320101,9.4,91.9,116.8,6.4,0
1320102,0.7,119.3,88.6,47.5,1
1320103,14.1,125.1,77.7,21.7,0
1320104,5.7,103.6,99.1,1.1,0
1320105,6.1,86.9,80.6,2.1,1
1320106,3.1,96.3,97.0,4.9,1
1320107,0.6,78.3,104.6,3.2,0
1320108,5.3,115.5,101.3,21.5,1
1320109,2.7,122.2,90.7,3.0,0
1320110,11.1,88.3,121.6,21.6,0
1320111,12.1,106.4,128.9,19.0,1
1320112,5.9,99.8,140.4,6.5,1
1320113,17.0,78.7,88.2,33.3,1
1320114,4.2,79.8,91.3,7.9,1
1320115,7.5,84.8,119.4,18.7,1
1320116,4.3,107.2,129.0,11.5,0
1320117,17.8,99.7,67.9,15.9,0
1320118,3.7,118.6,61.6,3.7,1
1320119,1.4,121.1,84.2,1.0,0
1320120,4.0,115.7,92.0,12.4,0
1320121,0.5,79.9,96.9,23.1,1
1320122,13.6,137.6,85.4,6.3,0
1320123,6.8,69.0,111.0,10.0,1
1320124,0.7,54.6,64.3,1.4,0
1320125,7.2,104.9,98.9,19.5,0
1320126,11.6,114.3,95.3,1.5,0
1320127,10.2,96.6,95.6,20.7,0
1320128,0.8,93.9,104.9,4.1,0
1320129,0.5,113.0,126.5,2.3,0
1320130,4.9,99.5,99.1,10.7,0
1320131,12.0,151.8,106.9,3.0,1
1320132,15.7,162.9,101.4,3.2,0
1320133,1.9,111.3,143.8,7.1,0
1320134,21.0,102.1,116.8,1.0,0
1320135,3.6,99.3,56.2,18.6,1
1320136,10.9,113.4,100.2,4.7,0
1320137,15.2,86.0,100.7,3.0,0
1320138,0.4,93.2,100.1,15.4,1
1320139,2.7,109.9,113.5,1.0,0
1320140,9.1,95.3,124.5,22.6,1
1320141,17.2,107.0,121.2,1.0,1
1320142,2.5,113.8,119.6,36.4,1
1320143,0.1,84.8,92.2,7.5,1
1320144,20.5,100.9,68.3,35.3,0
1320145,11.9,35.9,105.2,22.1,1
1320146,8.5,94.7,81.1,26.5,0
1320147,7.2,81.7,71.4,6.3,0
1320148,7.7,67.6,88.0,26.9,1
1320149,0.8,92.6,93.6,6.8,0
1320150,42.7,95.4,117.6,15.8,1
1320151,8.7,113.2,112.9,3.8,1
1320152,0.2,142.0,53.6,15.4,1
1320153,8.5,120.7,146.9,15.3,1
1320154,5.0,116.7,71.6,7.6,1
1320155,2.1,120.9,116.4,23.8,0
1320156,4.3,57.3,109.0,24.0,0
1320157,1.1,133.5,95.5,6.1,0
1320158,21.0,114.8,116.5,1.0,0
1320159,2.0,116.9,141.1,8.2,0
1320160,23.0,72.8,78.7,9.1,0
1320161,17.2,47.7,69.0,11.5,1
1320162,5.4,77.8,96.7,21.0,0
1320163,4.1,47.1,150.0,4.7,1
1320164,9.0,109.7,100.9,21.6,0
1320165,9.0,77.2,102.6,3.5,0
1320166,3.6,86.1,84.3,22.7,0
1320167,0.9,,71.6,32.3,1
1320168,21.2,120.6,128.0,9.3,0
1320169,9.0,170.8,92.5,13.9,0
1320170,2.3,104.0,115.1,49.3,1
1320171,15.0,118.4,90.4,18.7,0
1320172,21.0,96.2,82.5,36.4,0
1320173,4.6,143.0,68.0,13.0,1
1320174,13.7,105.2,48.8,12.3,0
1320175,2.7,124.0,126.7,2.1,0
1320176,6.8,56.7,151.3,5.6,1
1320177,5.5,119.8,105.6,18.8,0
1320178,4.8,75.9,101.6,4.3,0
1320179,10.7,97.8,120.3,8.9,0
1320180,2.9,52.9,108.7,13.3,1
1320181,1.3,56.3,96.2,1.7,0
1320182,26.1,95.2,125.5,18.7,0
1320183,10.9,69.4,119.8,15.2,0
1320184,22.0,129.2,90.8,17.8,0
1320185,11.8,61.5,95.3,4.4,0
1320186,0.4,62.6,120.0,24.8,1
1320187,0.9,93.2,122.2,3.2,0
1320188,18.6,127.5,92.4,2.7,0
1320189,10.4,99.4,123.8,1.5,0
1320190,1.6,86.6,71.6,1.0,1
1320191,25.8,134.2,79.5,24.0,1
1320192,1.1,56.5,92.8,7.6,0
1320193,16.8,53.6,63.5,16.5,1
1320194,2.6,47.0,132.2,6.2,0
1320195,16.7,68.9,105.5,5.5,1
1320196,11.1,105.0,63.7,2.0,1
1320197,1.1,113.3,95.2,13.9,1
1320198,1.1,132.8,99.6,2.0,1
1320199,16.3,98.4,81.5,17.4,1
1320200,12.8,115.2,93.3,1.7,1
1320201,15.8,46.4,76.5,27.1,0
1320202,4.4,98.4,113.8,3.7,0
1320203,0.9,151.7,147.6,3.1,0
1320204,1.8,105.9,89.8,38.2,0
1320205,2.2,129.0,117.5,5.6,1
1320206,0.9,133.5,106.8,25.1,1
1320207,26.3,120.9,105.8,14.3,0
1320208,0.1,138.2,135.7,1.0,0
1320209,7.5,111.0,95.1,19.8,1
1320210,2.6,59.8,89.9,5.0,1
1320211,13.2,84.3,93.9,19.2,0
1320212,0.3,119.0,145.6,35.4,0
1320213,22.6,109.5,107.2,1.4,1
1320214,3.2,70.2,100.7,1.4,1
1320215,9.1,116.5,45.1,7.3,1
1320216,26.3,42.4,110.8,23.7,1
1320217,1.1,96.0,90.1,23.8,0
1320218,1.2,117.5,104.5,43.4,1
1320219,11.2,96.0,79.2,36.2,1
1320220,3.8,111.6,65.8,2.3,0
1320221,0.2,66.7,109.9,7.4,1
1320222,2.9,82.9,155.7,23.0,1
1320223,8.7,144.5,120.8,1.1,1
1320224,8.9,134.1,78.8,24.2,0
1320225,8.6,109.8,126.8,11.7,1
1320226,0.9,108.8,91.2,22.3,1
1320227,3.3,75.2,86.0,17.2,1
1320228,0.2,96.1,84.1,20.9,0
1320229,1.4,114.7,112.0,18.3,1
1320230,1.6,84.3,125.3,2.7,0
1320231,6.6,111.6,47.3,1.9,0
1320232,7.1,91.6,91.9,10.3,0
1320233,1.5,99.6,91.5,20.3,1
1320234,16.7,98.9,78.8,11.9,0
1320235,0.4,104.5,66.7,26.7,1
1320236,1.2,97.4,80.4,14.3,1
1320237,8.1,84.4,99.0,9.0,0
1320238,3.5,138.3,139.1,13.6,0
1320239,8.0,71.2,77.6,5.9,1
1320240,11.2,68.1,90.9,6.2,1
1320241,11.7,79.4,115.1,19.8,1
1320242,7.2,104.7,77.8,6.1,0
1320243,10.8,106.5,97.6,1.0,0
1320244,10.8,117.7,171.3,10.2,0
1320245,7.2,92.2,155.7,16.5,0
1320246,11.6,77.0,81.2,5.9,0
1320247,30.9,129.0,146.3,45.3,1
1320248,8.9,94.8,96.9,31.4,1
1320249,6.9,75.2,110.3,17.1,1
1320250,2.5,101.0,64.3,70.7,1
1320251,21.8,98.8,103.1,16.7,1
1320252,10.5,67.1,94.1,4.6,0
1320253,8.7,110.3,129.7,6.1,0
1320254,11.9,68.6,116.9,10.8,0
1320255,0.5,159.3,99.7,11.0,0
1320256,5.8,77.2,119.0,15.6,0
1320257,10.7,116.1,52.8,84.4,0
1320258,5.0,124.7,104.7,13.5,1
1320259,1.5,124.8,138.0,16.9,0
1320260,0.4,103.1,95.1,15.8,0
1320261,5.8,66.7,115.4,6.5,1
1320262,9.6,101.7,121.3,1.0,0
1320263,7.8,85.7,77.0,10.2,1
1320264,8.1,130.0,106.4,44.2,1
1320265,4.1,77.0,94.1,8.5,1
1320266,21.6,99.4,113.1,3.2,1
1320267,4.7,65.0,112.0,16.8,0
1320268,10.1,121.5,97.6,46.7,1
1320269,38.6,90.4,40.6,5.7,0
1320270,4.0,77.3,120.3,37.8,0
1320271,1.2,95.9,111.6,32.8,0
1320272,21.5,112.6,61.2,3.5,0
1320273,10.9,122.6,126.3,1.9,0
1320274,4.8,113.4,77.3,7.6,1
1320275,18.2,102.3,116.1,1.0,1
1320276,20.9,102.0,79.7,12.9,0
1320277,3.6,62.0,96.4,11.9,0
1320278,2.2,85.2,118.1,27.5,1
1320279,4.5,122.1,85.7,27.1,1
1320280,5.0,157.5,112.6,89.2,0
1320281,11.1,101.8,68.0,7.3,1
1320282,1.0,148.0,93.1,1.0,0
1320283,0.7,107.7,90.9,3.9,0
1320284,19.4,93.0,96.2,20.2,1
1320285,7.7,71.5,102.6,2.8,1
1320286,9.1,83.4,106.4,12.4,0
1320287,4.1,45.8,91.5,1.0,0
1320288,7.2,60.5,66.9,19.8,0
1320289,3.8,107.9,106.6,9.9,0
1320290,3.8,59.8,127.2,1.9,0
1320291,7.0,94.5,110.4,3.4,0
1320292,3.4,63.2,43.8,20.2,1
1320293,19.2,50.7,101.1,13.7,0
1320294,10.7,80.7,89.9,1.3,1
1320295,1.9,122.7,115.8,5.1,1
1320296,4.0,108.4,106.2,75.5,1
1320297,26.3,104.7,116.1,19.1,0
1320298,3.4,77.3,122.3,6.0,0
1320299,6.5,82.3,112.4,1.0,0
1320300,1.7,95.2,168.7,6.9,0
1320301,5.7,113.7,114.0,23.9,1
1320302,4.4,116.7,75.9,18.1,1
1320303,1.1,76.9,110.6,1.0,1
1320304,1.3,117.3,99.7,1.0,0
1320305,8.1,106.6,90.2,33.7,1
1320306,7.7,33.8,72.8,15.2,1
1320307,6.4,61.7,125.1,7.7,0
1320308,11.2,85.8,70.0,11.9,0
1320309,3.1,105.4,67.4,2.8,0
1320310,2.2,103.7,106.7,31.0,1
1320311,12.8,97.2,56.8,13.0,1
1320312,3.8,82.9,96.2,14.0,0
1320313,2.5,81.7,86.7,80.2,1
1320314,2.2,76.6,114.9,1.3,0
1320315,2.0,103.1,87.8,7.0,0
1320316,5.5,77.7,119.7,8.7,0
1320317,11.9,,107.2,22.1,1
1320318,2.6,104.1,124.3,11.5,1
1320319,1.8,105.0,95.8,8.4,1
1320320,15.3,77.2,97.2,13.8,0
1320321,4.6,93.8,88.8,24.0,0
1320322,3.1,81.0,106.6,19.9,1
1320323,10.4,105.7,128.2,6.6,1
1320324,12.3,110.5,101.9,32.5,1
1320325,5.8,103.6,85.4,2.9,0
1320326,4.5,149.0,78.4,10.2,0
1320327,5.6,104.4,79.9,1.0,0
1320328,5.7,67.1,94.0,1.5,1
1320329,25.3,113.0,95.3,15.2,1
1320330,8.8,84.1,137.6,2.8,1
1320331,11.3,55.9,64.6,18.0,1
1320332,5.6,87.0,65.3,8.3,0
1320333,4.5,65.4,108.6,2.1,0
1320334,1.8,94.9,122.1,31.0,1
1320335,6.0,123.7,114.3,4.0,1
1320336,1.5,99.9,136.4,1.2,0
1320337,5.4,94.2,69.9,1.0,0
1320338,0.3,117.8,76.0,23.4,1
1320339,1.3,77.6,99.9,20.5,1
1320340,0.9,111.8,98.4,11.6,1
1320341,6.5,121.9,102.5,24.7,0
1320342,6.0,113.1,140.1,47.9,1
1320343,12.7,80.7,112.1,7.4,0
1320344,2.9,101.1,37.5,85.1,1
1320345,15.3,77.2,120.1,16.0,0
1320346,6.5,144.8,142.9,8.5,1
1320347,3.5,130.1,66.8,1.0,0
1320348,4.7,150.5,46.2,24.4,0
1320349,1.4,76.9,103.7,9.6,0
1320350,0.6,131.1,68.3,7.1,0
1320351,2.8,111.3,82.6,10.1,0
1320352,2.6,93.8,84.0,3.7,0
1320353,4.9,98.3,129.1,13.1,0
1320354,3.6,103.2,105.7,15.1,0
1320355,9.8,134.9,99.6,26.8,1
1320356,7.5,117.7,80.0,6.8,1
1320357,5.2,50.9,68.2,5.8,0
1320358,17.6,77.6,89.0,8.6,1
1320359,6.3,97.1,123.8,1.0,0
1320360,6.7,52.1,127.6,24.6,1
1320361,6.8,39.7,140.6,3.9,1
1320362,5.2,111.9,102.2,9.3,0
1320363,17.9,98.8,109.8,68.1,1
1320364,3.9,112.3,102.1,17.2,1
1320365,11.5,119.9,80.2,7.1,0
1320366,6.5,90.8,122.2,25.9,0
1320367,0.5,115.3,133.1,2.1,0
1320368,3.9,113.5,99.6,9.3,0
1320369,8.7,98.5,132.4,16.2,0
1320370,11.9,119.2,106.6,20.3,1
1320371,2.1,131.8,88.2,4.1,1
1320372,19.3,105.7,96.9,1.0,0
1320373,11.3,114.4,97.5,3.9,0
1320374,28.4,74.7,132.8,45.2,1
1320375,0.1,46.9,96.5,4.9,0
1320376,7.6,76.0,120.5,19.2,0
1320377,5.1,93.6,50.4,11.8,0
1320378,14.4,153.5,106.0,12.6,0
1320379,18.5,75.8,102.7,10.8,1
1320380,2.7,78.3,95.0,23.9,1
1320381,0.5,150.7,93.0,8.0,1
1320382,4.1,85.9,82.6,6.2,1
1320383,0.7,87.4,80.6,41.2,0
1320384,13.2,115.7,134.2,6.4,1
1320385,9.7,135.5,97.3,22.2,1
1320386,2.7,86.1,101.2,9.3,1
1320387,3.3,127.6,144.2,29.1,1
1320388,1.1,125.8,122.2,2.8,0
1320389,1.9,131.2,116.5,27.9,0
1320390,2.4,108.5,71.0,8.9,1
1320391,5.2,120.6,127.5,41.9,0
1320392,1.0,114.1,145.8,3.9,0
1320393,1.1,145.2,77.2,14.7,0
1320394,2.7,96.1,121.0,12.5,1
1320395,4.7,73.7,108.4,35.9,1
1320396,5.9,70.4,130.4,7.6,1
1320397,0.1,97.4,62.1,1.0,0
1320398,2.1,105.7,93.3,28.9,0
1320399,15.6,126.5,116.8,3.4,1
1320400,23.9,113.4,114.3,14.1,0
1320401,2.9,125.5,103.9,16.2,0
1320402,4.6,89.2,116.2,22.6,1
1320403,3.7,119.5,44.8,41.4,1
1320404,10.4,99.6,135.5,7.2,1
1320405,3.5,152.5,103.0,5.1,0
1320406,1.1,158.4,66.1,37.5,1
1320407,2.9,109.3,72.5,2.1,1
1320408,0.6,117.2,72.0,8.6,0
1320409,15.5,60.2,93.2,12.7,0
1320410,8.4,118.4,110.0,1.8,1
1320411,22.5,104.2,92.4,13.7,0
1320412,1.3,91.0,137.7,4.7,0
1320413,12.1,84.5,65.8,19.6,0
1320414,4.6,108.7,104.0,27.2,1
1320415,4.9,103.4,99.4,18.0,1
1320416,4.7,111.4,68.1,2.1,0
1320417,7.0,92.1,92.3,34.1,1
1320418,1.8,94.6,96.3,3.1,1
1320419,7.2,58.1,97.6,9.5,0
1320420,20.6,92.6,74.5,1.0,1
1320421,29.5,121.9,123.8,23.1,0
1320422,12.3,99.1,69.3,1.0,1
1320423,2.9,72.4,129.7,2.0,1
1320424,2.4,84.7,108.9,4.6,1
1320425,5.2,114.9,142.3,9.1,1
1320426,8.2,110.6,70.6,20.3,0
1320427,32.9,56.3,113.7,14.3,1
1320428,2.0,75.0,87.8,19.7,1
1320429,7.2,120.5,121.1,23.0,1
1320430,28.8,105.2,82.0,27.9,0
1320431,43.7,178.3,125.2,1.0,0
1320432,6.2,50.4,76.8,21.7,0
1320433,3.2,92.1,109.3,4.5,0
1320434,2.9,113.4,106.5,11.5,1
1320435,5.6,48.8,86.8,6.2,0
1320436,19.6,110.3,114.5,19.9,1
1320437,16.6,44.3,86.5,13.1,0
1320438,9.1,90.9,96.5,10.6,0
1320439,5.2,108.5,94.5,24.8,0
1320440,12.9,133.2,98.5,14.9,1
1320441,4.0,68.5,145.9,8.3,0
1320442,46.3,105.6,117.5,33.7,0
1320443,0.9,63.8,129.0,11.5,1
1320444,1.8,102.2,115.1,11.9,0
1320445,8.3,90.2,97.9,10.8,1
1320446,1.6,69.3,52.7,1.0,1
1320447,17.7,84.7,82.1,50.9,1
1320448,0.1,74.9,91.8,1.0,0
1320449,1.7,101.7,101.1,2.2,0
1320450,4.0,113.5,58.9,2.8,0
1320451,0.7,74.9,174.2,2.2,0
1320452,25.0,106.9,96.0,6.9,0
1320453,0.3,69.4,112.3,11.4,1
1320454,5.9,78.0,53.5,4.8,0
1320455,13.9,87.6,96.8,22.6,1
1320456,0.2,103.7,109.2,3.7,1
1320457,8.9,,113.6,3.6,1
1320458,1.1,47.7,100.9,23.9,0
1320459,20.5,75.1,77.8,1.0,0
1320460,2.6,131.7,133.1,24.4,1
1320461,2.1,86.6,104.2,39.7,1
1320462,14.1,102.3,105.2,16.9,1
1320463,0.7,105.7,74.9,6.0,1
1320464,2.0,66.5,97.7,8.6,0
1320465,3.9,91.9,87.2,9.3,1
1320466,0.4,102.9,128.0,18.5,1
1320467,2.8,66.9,110.5,1.0,0
1320468,5.0,99.2,130.9,18.7,0
1320469,3.4,84.5,80.5,14.3,1
1320470,18.4,71.5,101.7,18.9,1
1320471,40.4,104.0,80.6,23.5,1
1320472,2.3,73.5,110.7,4.0,1
1320473,25.1,120.6,67.1,8.7,0
1320474,6.3,139.1,73.9,27.1,1
1320475,1.7,79.1,50.0,18.1,0
1320476,18.9,118.1,125.7,1.0,1
1320477,7.4,86.0,101.4,31.7,1
1320478,5.9,63.5,126.9,49.1,1
1320479,18.1,78.4,91.9,9.3,1
1320480,3.9,103.4,128.1,4.0,0
1320481,8.4,59.6,114.1,1.2,1
1320482,6.8,105.1,87.5,40.5,0
1320483,7.4,172.8,101.2,1.0,0
1320484,3.8,69.3,88.2,15.9,0
1320485,34.1,110.9,90.6,4.8,1
1320486,2.1,98.6,84.0,6.8,0
1320487,9.0,111.9,67.7,25.2,1
1320488,19.9,91.1,145.2,17.1,1
1320489,10.9,85.6,158.4,14.1,1
1320490,4.6,79.5,127.4,2.3,0
1320491,2.5,84.6,94.3,25.9,0
1320492,1.6,133.5,111.2,9.2,0
1320493,7.2,106.3,77.0,8.8,0
1320494,16.8,109.4,149.6,19.3,1
1320495,6.2,108.4,89.2,15.1,0
1320496,20.6,108.9,122.6,31.0,0
1320497,5.9,89.3,76.6,4.2,0
1320498,6.0,100.6,158.4,11.2,1
1320499,36.3,135.6,99.7,29.1,1
1320500,4.4,110.1,91.4,19.1,1
1320501,7.4,83.4,99.4,14.8,1
1320502,20.1,91.8,117.6,8.1,1
1320503,2.4,137.7,88.9,22.8,1
1320504,2.2,90.7,126.0,12.8,1
1320505,0.4,91.1,133.8,1.0,1
1320506,12.5,82.8,119.7,18.7,1
1320507,15.1,68.0,68.2,1.0,1
1320508,15.4,81.9,119.0,35.3,1
1320509,20.8,147.9,116.8,1.0,1
1320510,1.9,73.4,70.2,1.0,0
1320511,10.6,97.4,125.6,63.9,0
1320512,7.5,95.0,101.6,1.0,1
1320513,6.3,128.7,77.0,5.0,0
1320514,19.5,77.5,108.7,7.4,0
1320515,10.2,131.0,118.3,3.3,1
1320516,5.4,61.8,63.8,27.5,0
1320517,11.5,108.6,70.1,1.0,0
1320518,18.1,112.3,50.3,5.5,0
1320519,8.3,90.9,135.0,15.4,1
1320520,16.0,100.0,121.4,1.5,1
1320521,10.4,116.9,68.7,41.7,1
1320522,5.5,85.0,84.2,4.3,0
1320523,2.9,72.1,103.5,5.7,0
1320524,2.4,82.7,95.7,23.6,0
1320525,4.8,62.3,87.9,5.5,0
1320526,3.9,78.7,113.7,20.6,0
1320527,23.3,87.9,123.9,14.1,0
1320528,0.3,118.0,87.7,5.9,0
1320529,26.4,97.0,97.0,17.7,1
1320530,0.6,100.7,116.5,22.6,1
1320531,4.9,115.9,94.4,12.1,1
1320532,11.3,78.4,76.8,7.8,0
1320533,17.2,110.5,101.8,3.2,0
1320534,1.5,78.3,84.9,4.4,0
1320535,29.3,97.6,109.7,15.3,0
1320536,0.4,140.9,54.3,16.0,1
1320537,8.6,40.4,57.3,12.1,0
1320538,11.9,97.8,139.0,10.3,0
1320539,2.8,83.5,85.0,40.7,1
1320540,5.7,85.3,109.0,3.9,1
1320541,1.9,89.1,139.4,33.6,1
1320542,4.0,63.1,113.0,37.0,0
1320543,0.2,112.4,76.1,5.9,0
1320544,0.7,65.2,39.7,10.4,0
1320545,2.2,100.9,84.1,19.0,1
1320546,1.5,86.7,152.6,1.4,0
1320547,1.9,98.6,76.0,9.1,1
1320548,3.3,132.5,67.9,19.3,0
1320549,2.8,61.0,67.1,1.4,1
1320550,2.0,134.9,50.0,3.1,1
1320551,0.7,123.0,120.3,24.5,1
1320552,7.1,63.5,60.1,15.5,1
1320553,4.1,135.8,98.4,1.0,0
1320554,1.0,101.9,102.8,25.3,1
1320555,1.7,65.1,74.6,6.0,1
1320556,4.1,113.6,114.8,11.5,1
1320557,11.3,133.8,96.6,36.9,1
1320558,1.0,109.5,102.4,19.4,1
1320559,6.0,111.2,91.9,1.6,0
1320560,0.5,104.5,90.2,11.7,1
1320561,2.1,119.9,111.4,1.1,1
1320562,9.5,140.0,95.7,15.2,0
1320563,5.2,113.5,106.3,15.7,0
1320564,8.5,78.4,124.1,7.7,0
1320565,10.1,103.8,87.7,18.3,0
1320566,3.3,113.1,43.2,4.1,1
1320567,9.7,127.5,103.4,39.2,1
1320568,7.1,103.5,77.5,7.8,1
1320569,0.5,53.4,114.5,1.5,0
1320570,4.4,84.8,93.2,16.0,0
1320571,0.2,113.2,122.9,7.8,0
1320572,11.5,85.8,148.1,16.4,1
1320573,6.4,100.2,86.0,6.3,1
1320574,18.7,128.4,89.0,8.6,1
1320575,9.8,64.7,70.4,17.8,1
1320576,6.9,119.9,140.5,9.5,1
1320577,2.4,94.2,99.4,1.2,0
1320578,11.1,105.0,124.3,32.8,0
1320579,0.2,96.7,134.0,8.7,0
1320580,3.0,115.1,112.4,27.3,1
1320581,9.0,114.0,69.2,26.4,0
1320582,15.1,67.5,34.2,29.6,1
1320583,1.6,103.6,119.7,34.1,1
1320584,13.1,151.9,96.1,26.6,0
1320585,22.7,109.1,87.9,3.2,1
1320586,9.1,120.0,87.6,14.6,1
1320587,24.6,95.8,114.8,6.9,0
1320588,3.8,70.0,88.0,8.9,0
1320589,5.7,102.3,116.3,2.3,0
1320590,8.6,101.4,109.2,7.2,1
1320591,33.4,88.0,110.5,3.0,1
1320592,7.2,109.4,52.4,4.6,0
1320593,6.3,116.5,80.3,15.8,0
1320594,5.3,76.3,96.6,1.1,0
1320595,5.6,116.2,114.7,31.0,1
1320596,9.5,89.5,123.1,23.0,1
1320597,0.4,91.9,71.2,7.0,0
1320598,2.1,101.4,95.8,27.2,1
1320599,14.8,96.8,107.6,21.2,1
1320600,2.1,102.9,129.4,10.6,0
1320601,9.2,128.9,75.3,8.0,1
1320602,0.6,89.0,108.5,24.4,0
1320603,2.7,61.9,104.6,5.2,1
1320604,2.1,57.8,96.2,2.2,0
1320605,10.6,102.6,136.1,2.0,0
1320606,4.4,80.7,70.9,13.2,1
1320607,0.1,79.1,61.0,39.9,1
1320608,7.1,86.2,68.8,11.2,0
1320609,0.1,92.8,131.8,19.8,1
1320610,5.7,109.6,123.9,11.5,1
1320611,10.8,95.9,83.5,11.5,1
1320612,4.4,86.0,123.9,2.4,0
1320613,9.9,98.1,135.3,4.0,0
1320614,26.0,86.6,113.7,1.8,0
1320615,2.1,90.1,108.2,20.9,1
1320616,1.0,70.9,88.5,2.0,0
1320617,2.6,,79.9,4.7,0
1320618,4.8,90.7,131.4,5.7,1
1320619,2.0,147.5,81.9,1.8,0
1320620,12.1,89.4,128.0,1.0,0
1320621,8.2,86.8,49.9,14.2,1
1320622,4.1,98.1,147.9,27.8,1
1320623,7.7,89.5,154.9,15.6,0
1320624,7.4,96.1,124.1,1.4,1
1320625,5.8,,80.2,8.9,0
1320626,2.1,63.0,83.7,3.7,0
1320627,19.4,72.4,97.0,5.1,0
1320628,14.4,101.6,92.2,30.6,1
1320629,0.5,100.8,98.9,4.0,0
1320630,7.4,83.1,98.1,13.9,1
1320631,7.7,91.0,88.2,5.1,0
1320632,8.0,91.1,74.0,16.2,0
