StartupID,FounderExpYears,PatentsCount,FundingRound,FundingAmount_M,ExitSuccess
1090364,6.3,80.0,99.4,9.5,0
1090365,13.3,61.0,99.9,12.9,1
1090366,2.4,116.4,68.7,7.0,0
1090367,3.9,113.4,104.5,10.9,0
1090368,5.4,127.9,94.5,11.1,0
1090369,14.9,101.8,79.6,7.9,1
1090370,8.2,122.5,63.5,11.1,1
1090371,8.2,108.2,77.9,5.4,0
1090372,1.0,81.6,136.2,8.0,1
1090373,10.1,107.7,129.8,11.0,0
1090374,8.8,100.0,88.2,10.1,1
1090375,7.1,88.1,134.3,7.1,0
1090376,10.1,125.3,136.8,15.7,0
1090377,4.7,89.2,90.6,8.6,0
1090378,10.9,28.5,97.2,8.3,0
1090379,4.6,101.4,99.0,8.1,1
1090380,7.4,56.7,79.0,4.7,0
1090381,4.4,78.4,104.8,8.7,1
1090382,5.9,103.7,97.4,11.4,1
1090383,9.8,77.2,104.2,11.3,0
1090384,11.0,139.9,70.8,7.9,0
1090385,12.5,116.5,116.3,2.8,1
1090386,10.5,100.9,81.7,7.7,0
1090387,9.5,59.0,88.7,,1
1090388,11.2,103.5,110.8,6.5,0
1090389,10.9,96.3,126.1,9.9,1
1090390,7.9,87.4,125.8,7.2,1
1090391,14.8,116.0,139.4,9.8,1
1090392,7.2,89.0,129.8,7.6,1
1090393,11.1,98.2,73.8,6.4,1
1090394,3.9,83.6,134.0,9.3,0
1090395,1.6,80.5,84.2,6.9,0
1090396,13.5,95.0,157.9,9.9,0
1090397,5.3,105.7,122.9,7.7,1
1090398,7.8,102.1,91.4,5.1,1
1090399,5.7,95.7,128.3,8.4,0
1090400,7.6,133.8,102.4,2.6,0
1090401,1.9,117.1,101.1,4.5,0
1090402,10.4,133.0,134.8,9.7,0
1090403,10.9,76.3,147.2,4.9,0
1090404,13.4,121.1,64.0,8.0,0
1090405,7.2,92.0,88.5,6.5,1
1090406,11.3,98.9,112.6,8.0,0
1090407,6.4,107.6,86.3,9.0,1
1090408,12.2,119.7,90.7,5.7,0
1090409,7.2,118.6,99.8,11.2,0
1090410,12.0,88.4,98.1,7.3,1
1090411,9.8,99.8,102.5,7.2,0
1090412,6.0,97.5,68.7,8.6,0
1090413,11.2,125.3,106.5,5.7,1
1090414,8.3,103.8,67.9,10.2,0
1090415,7.8,104.1,38.2,10.2,0
1090416,14.8,59.9,94.1,7.7,0
1090417,9.2,120.3,136.8,5.9,1
1090418,11.8,90.6,115.3,11.5,1
1090419,6.4,141.3,109.5,10.6,0
1090420,6.8,159.6,84.9,9.2,0
1090421,2.2,93.7,100.6,11.6,1
1090422,3.2,115.4,144.4,3.7,1
1090423,6.2,112.9,68.6,7.9,1
1090424,2.0,85.8,79.0,8.0,0
1090425,5.5,104.2,88.9,7.2,0
1090426,12.7,99.8,119.7,7.5,1
1090427,3.8,119.3,102.5,,1
1090428,14.3,103.1,82.7,9.3,0
1090429,13.8,80.9,90.7,11.9,0
1090430,14.5,117.9,104.4,3.4,0
1090431,11.5,98.3,120.1,12.6,0
1090432,10.3,91.7,108.0,4.8,0
1090433,14.7,103.7,116.1,8.5,0
1090434,11.0,122.1,118.4,6.3,0
1090435,9.7,96.3,117.8,2.7,0
1090436,10.3,42.3,80.9,11.1,0
1090437,2.9,102.0,78.0,14.4,1
1090438,10.6,108.6,118.6,10.0,0
1090439,12.2,82.0,83.7,9.2,0
1090440,3.4,91.0,76.8,4.6,1
1090441,1.0,123.3,136.6,3.1,0
1090442,13.7,79.8,114.2,7.6,0
1090443,12.1,164.7,101.6,5.5,0
1090444,9.5,167.5,127.0,0.9,1
1090445,9.6,119.1,109.6,8.8,0
1090446,4.0,114.4,98.5,7.0,0
1090447,4.2,109.9,154.6,11.1,0
1090448,14.2,135.9,69.9,1.6,0
1090449,8.2,79.2,70.9,5.8,0
1090450,5.1,94.5,79.5,8.4,0
1090451,3.1,94.4,116.8,1.5,1
1090452,7.1,90.9,80.3,5.0,0
1090453,1.1,119.1,86.0,4.3,1
1090454,12.6,143.0,66.9,8.2,0
1090455,12.5,122.3,54.3,6.4,1
1090456,8.3,101.5,100.8,9.8,1
1090457,6.5,74.4,72.8,9.2,1
1090458,9.1,110.1,98.3,9.3,1
1090459,10.0,125.7,113.1,9.4,0
1090460,14.7,79.1,115.5,1.9,1
1090461,9.9,132.5,104.0,7.8,1
1090462,1.2,93.1,95.6,5.9,1
1090463,6.2,87.0,134.0,9.4,1
1090464,8.0,77.4,93.4,2.6,0
1090465,6.2,99.8,67.3,7.7,0
1090466,11.2,123.7,122.2,6.7,1
1090467,11.6,69.6,99.2,7.6,0
1090468,7.6,86.2,72.3,7.0,0
1090469,7.4,70.8,137.2,8.4,0
1090470,1.1,150.6,77.0,12.6,1
1090471,12.2,120.0,100.8,8.3,0
1090472,11.1,153.6,133.8,5.8,0
1090473,8.5,105.2,99.0,8.3,1
1090474,5.0,60.9,88.4,0.5,0
1090475,6.6,118.2,103.4,11.0,1
1090476,7.9,119.0,100.8,5.0,1
1090477,14.0,63.4,134.9,5.6,0
1090478,10.6,144.1,73.6,2.5,1
1090479,9.6,60.4,154.7,5.4,0
1090480,14.4,124.7,78.3,10.7,0
1090481,12.3,68.4,101.6,7.9,0
1090482,10.4,112.7,105.8,5.0,0
1090483,1.8,127.1,120.9,13.5,1
1090484,14.6,81.8,74.2,9.1,0
1090485,1.7,121.5,91.8,6.9,0
1090486,11.3,74.4,62.2,0.5,0
1090487,1.1,96.5,134.1,3.3,0
1090488,8.3,147.3,114.1,9.8,1
1090489,14.0,91.5,82.3,7.7,0
1090490,12.3,57.0,82.4,6.6,1
1090491,11.7,89.9,93.2,4.0,1
1090492,3.9,80.6,110.0,9.1,1
1090493,10.5,71.3,94.4,13.5,1
1090494,10.5,117.3,74.6,10.1,0
1090495,11.4,60.5,86.9,0.5,0
1090496,11.9,125.1,141.3,3.3,1
1090497,12.3,143.5,106.2,4.5,1
1090498,6.8,54.3,104.5,15.6,0
1090499,9.0,108.6,58.5,6.1,1
1090500,1.7,73.1,126.1,7.1,0
1090501,1.1,105.1,88.7,6.3,1
1090502,2.1,119.8,144.8,11.8,0
1090503,5.5,91.2,132.8,5.5,1
1090504,9.0,76.5,117.8,8.8,0
1090505,11.7,109.2,80.3,9.4,0
1090506,6.4,79.1,112.5,5.7,0
1090507,9.0,127.3,150.5,12.9,0
1090508,11.4,98.5,98.0,10.1,0
1090509,13.6,130.7,81.6,6.7,1
1090510,14.4,83.5,75.6,11.5,0
1090511,9.2,114.8,100.4,4.9,1
1090512,3.6,68.1,143.6,5.4,1
1090513,1.8,105.5,98.8,6.5,0
1090514,9.1,79.5,51.5,5.2,1
1090515,1.5,123.9,87.1,9.9,1
1090516,11.9,97.5,127.4,6.2,0
1090517,8.9,72.8,94.9,7.8,1
1090518,3.9,103.0,120.4,8.1,1
1090519,1.8,79.0,74.6,6.5,0
1090520,1.2,126.7,144.0,13.9,1
1090521,1.8,112.8,86.7,10.4,1
1090522,11.4,107.2,120.6,9.4,1
1090523,9.7,87.8,100.2,7.4,0
1090524,7.9,122.9,124.1,11.2,0
1090525,7.6,77.6,110.2,8.1,1
1090526,12.8,96.9,115.9,7.8,0
1090527,14.3,71.3,85.4,15.3,1
1090528,1.9,104.8,83.7,10.3,0
1090529,4.9,95.3,53.1,5.0,0
1090530,5.8,61.2,120.6,,1
1090531,5.5,113.6,50.3,10.0,0
1090532,10.4,82.2,47.7,10.4,1
1090533,5.7,145.9,95.0,8.6,1
1090534,6.7,112.6,74.5,7.0,0
1090535,4.7,136.7,106.2,12.2,0
1090536,13.5,139.6,96.0,7.9,0
1090537,4.6,59.8,149.5,9.2,1
1090538,13.1,122.9,76.6,14.9,1
1090539,7.5,112.9,105.8,8.9,0
1090540,13.4,78.7,104.8,9.1,1
1090541,7.0,88.7,113.0,7.0,1
1090542,6.0,119.4,92.4,,1
1090543,11.8,135.0,72.4,5.2,0
1090544,5.0,91.8,151.5,7.1,0
1090545,2.0,102.8,112.0,2.3,1
1090546,1.2,104.6,84.7,8.0,1
1090547,9.0,135.1,72.4,14.7,0
1090548,7.1,86.2,126.7,4.3,0
1090549,5.6,84.5,130.5,7.2,0
1090550,3.3,109.9,102.1,8.2,1
1090551,10.1,90.6,109.0,5.6,1
1090552,6.2,125.7,113.2,7.2,1
1090553,10.0,89.4,135.0,5.6,0
1090554,2.1,66.3,84.8,13.3,1
1090555,10.2,107.5,82.2,6.1,1
1090556,8.5,102.7,108.4,5.5,0
1090557,9.8,145.5,85.7,9.5,0
1090558,14.6,120.7,103.9,7.4,0
1090559,3.8,113.4,98.3,12.4,1
1090560,1.9,61.0,80.4,9.8,1
1090561,3.0,113.5,141.4,7.7,1
1090562,1.4,115.3,128.6,12.9,0
1090563,1.2,140.6,73.3,9.2,1
1090564,7.4,111.4,78.7,12.3,1
1090565,8.3,94.1,131.6,6.8,1
1090566,8.8,151.3,85.6,6.5,1
1090567,11.9,111.2,104.7,7.6,0
1090568,8.4,126.1,72.8,5.8,1
1090569,12.1,133.4,114.6,7.7,1
1090570,8.3,88.6,118.9,8.5,1
1090571,9.7,142.2,94.6,8.5,0
1090572,11.3,121.5,100.5,8.9,1
1090573,7.8,90.5,46.8,7.6,1
1090574,11.9,83.3,95.6,4.0,1
1090575,9.6,79.9,43.0,7.8,1
1090576,6.4,76.4,93.3,8.9,0
1090577,14.7,76.8,111.7,10.6,1
1090578,9.9,137.3,88.2,8.5,0
1090579,12.8,103.5,90.9,6.2,1
1090580,12.0,135.7,135.3,11.5,0
1090581,4.6,83.4,123.5,5.7,1
1090582,11.8,130.4,73.3,9.8,0
1090583,8.8,38.6,137.6,3.8,1
1090584,2.9,108.7,103.3,8.8,0
1090585,2.0,110.9,105.4,7.7,0
1090586,10.1,150.0,102.1,5.5,0
1090587,6.2,83.4,94.7,6.1,0
1090588,7.4,100.2,93.9,11.0,1
1090589,9.4,109.4,80.1,10.6,1
1090590,9.6,117.1,66.3,6.6,0
1090591,5.5,134.6,80.7,9.5,0
1090592,1.6,123.3,127.4,1.9,0
1090593,9.6,67.6,66.6,7.4,0
1090594,9.2,116.4,80.4,1.5,0
1090595,12.7,77.4,102.6,7.3,1
1090596,4.7,149.1,148.7,6.4,1
1090597,11.4,89.2,58.1,7.3,0
1090598,13.4,69.4,122.1,5.7,0
1090599,5.9,79.4,102.7,1.9,1
1090600,9.3,56.5,94.3,11.8,1
1090601,8.9,78.8,98.1,9.4,0
1090602,9.7,110.6,96.6,2.8,1
1090603,1.7,59.4,96.8,5.9,1
1090604,7.2,93.6,43.7,7.6,0
1090605,2.0,97.7,60.9,8.0,1
1090606,13.4,91.6,98.6,8.5,0
1090607,14.6,134.7,112.2,5.8,0
1090608,14.9,97.9,84.2,5.9,1
1090609,3.9,104.1,123.0,11.6,0
1090610,14.1,94.3,102.9,10.6,1
1090611,11.9,92.9,132.3,,1
1090612,5.1,79.1,49.2,5.0,1
1090613,7.2,103.9,120.3,7.8,1
1090614,9.0,92.1,78.4,10.0,0
1090615,10.5,59.3,81.1,6.8,1
1090616,3.5,70.1,92.2,7.6,1
1090617,9.8,101.6,96.5,8.6,1
1090618,10.3,142.9,75.9,6.4,1
1090619,12.6,82.4,104.4,7.8,0
1090620,8.0,106.1,108.0,9.8,0
1090621,6.1,106.8,112.7,9.7,1
1090622,12.6,95.5,105.8,6.4,1
1090623,2.9,98.4,111.0,8.6,1
1090624,12.5,172.6,46.2,8.4,1
1090625,7.6,55.4,65.6,10.1,1
1090626,1.6,101.7,101.3,6.6,0
1090627,7.5,110.6,64.0,7.8,0
1090628,8.0,128.5,96.1,5.0,0
1090629,14.4,143.3,126.2,8.7,0
1090630,5.6,81.3,117.3,8.7,0
1090631,12.5,156.4,110.5,8.3,0
1090632,7.5,102.8,82.1,7.2,1
1090633,5.8,106.4,112.2,6.2,0
