UserID,Age,HoursWatched_Weekly,MonthlyCost,PlanType,Churned
750081,67,34.4,8.0,Basic,No
750082,25,7.4,18.0,Premium,Yes
750083,46,32.5,18.0,Premium,Yes
750084,69,30.6,13.0,Standard,Yes
750085,44,28.5,8.0,Basic,No
750086,32,36.8,8.0,Basic,No
750087,50,26.5,13.0,Standard,Yes
750088,41,38.1,13.0,Standard,No
750089,41,7.1,8.0,Basic,Yes
750090,67,38.2,18.0,Premium,No
750091,35,36.1,8.0,Basic,Yes
750092,55,27.3,13.0,Standard,No
750093,61,15.4,13.0,Standard,No
750094,19,8.8,8.0,Basic,Yes
750095,74,18.6,18.0,Premium,Yes
750096,52,40.3,18.0,Premium,No
750097,33,16.8,8.0,Basic,No
750098,28,35.1,8.0,Basic,Yes
750099,36,7.7,8.0,Basic,Yes
750100,56,20.5,18.0,Premium,No
750101,27,7.7,8.0,Basic,Yes
750102,67,31.9,8.0,Basic,No
750103,46,32.7,13.0,Standard,No
750104,35,12.8,13.0,Standard,Yes
750105,45,6.2,18.0,Premium,Yes
750106,62,13.7,8.0,Basic,Yes
750107,20,,13.0,Standard,No
750108,28,29.5,8.0,Basic,No
750109,63,5.8,13.0,Standard,Yes
750110,63,40.0,13.0,Standard,Yes
750111,47,13.8,13.0,Standard,Yes
750112,36,35.0,13.0,Standard,No
750113,56,10.3,13.0,Standard,Yes
750114,16,40.2,8.0,Basic,No
750115,74,31.6,13.0,Standard,No
750116,28,21.6,18.0,Premium,Yes
750117,44,13.3,13.0,Standard,No
750118,49,6.1,13.0,Standard,Yes
750119,57,25.3,13.0,Standard,Yes
750120,27,24.9,8.0,Basic,No
750121,48,21.7,8.0,Basic,Yes
750122,23,10.2,8.0,Basic,Yes
750123,51,4.6,8.0,Basic,Yes
750124,16,7.6,18.0,Premium,Yes
750125,41,14.4,8.0,Basic,No
750126,29,29.6,13.0,Standard,No
750127,23,36.9,13.0,Standard,Yes
750128,54,30.1,8.0,Basic,No
750129,54,9.3,13.0,Standard,Yes
750130,44,35.4,8.0,Basic,Yes
750131,61,40.4,8.0,Basic,No
750132,30,38.1,13.0,Standard,No
750133,67,3.8,18.0,Premium,Yes
750134,46,24.0,8.0,Basic,Yes
750135,54,24.8,13.0,Standard,No
750136,54,36.5,8.0,Basic,No
750137,32,3.4,8.0,Basic,No
750138,15,40.4,8.0,Basic,No
750139,15,40.8,13.0,Standard,No
750140,45,2.4,8.0,Basic,Yes
750141,68,16.3,8.0,Basic,Yes
750142,54,10.2,8.0,Basic,Yes
750143,45,17.2,13.0,Standard,Yes
750144,34,37.4,18.0,Premium,No
750145,45,5.9,18.0,Premium,Yes
750146,74,37.4,13.0,Standard,Yes
750147,69,24.5,8.0,Basic,Yes
750148,24,21.0,13.0,Standard,Yes
750149,34,4.5,8.0,Basic,Yes
750150,73,33.3,18.0,Premium,No
750151,22,30.8,18.0,Premium,No
750152,33,36.3,8.0,Basic,No
750153,30,2.8,8.0,Basic,Yes
750154,45,6.9,13.0,Standard,Yes
750155,22,30.6,8.0,Basic,No
750156,36,1.9,8.0,Basic,Yes
750157,41,1.9,13.0,Standard,Yes
750158,65,25.8,13.0,Standard,Yes
750159,31,37.0,8.0,Basic,No
750160,72,10.0,13.0,Standard,Yes
750161,16,36.5,13.0,Standard,No
750162,68,1.1,18.0,Premium,Yes
750163,58,11.9,13.0,Standard,Yes
750164,32,18.4,13.0,Standard,No
750165,37,8.0,8.0,Basic,Yes
750166,45,10.4,8.0,Basic,No
750167,39,16.2,8.0,Basic,No
750168,39,32.8,8.0,Basic,No
750169,52,18.3,13.0,Standard,No
750170,73,13.7,8.0,Basic,No
750171,15,8.3,8.0,Basic,No
750172,59,7.6,8.0,Basic,Yes
750173,56,9.2,13.0,Standard,No
750174,47,3.6,18.0,Premium,Yes
750175,45,38.3,8.0,Basic,No
750176,60,20.9,13.0,Standard,Yes
750177,69,31.6,13.0,Standard,No
750178,71,40.6,13.0,Standard,No
750179,29,13.1,8.0,Basic,Yes
750180,48,34.9,18.0,Premium,No
750181,18,34.7,13.0,Standard,Yes
750182,22,8.5,13.0,Standard,Yes
750183,64,32.0,18.0,Premium,No
750184,27,36.2,8.0,Basic,No
750185,52,2.2,8.0,Basic,Yes
750186,35,10.4,13.0,Standard,Yes
750187,40,9.7,8.0,Basic,Yes
750188,63,38.4,8.0,Basic,No
750189,22,34.0,8.0,Basic,No
750190,71,26.6,8.0,Basic,No
750191,70,28.5,8.0,Basic,No
750192,41,6.9,18.0,Premium,Yes
750193,18,20.4,13.0,Standard,Yes
750194,38,2.4,13.0,Standard,Yes
750195,66,18.4,8.0,Basic,Yes
750196,38,31.0,8.0,Basic,No
750197,73,13.3,13.0,Standard,Yes
750198,49,40.5,13.0,Standard,No
750199,58,37.2,8.0,Basic,No
750200,18,23.0,18.0,Premium,Yes
750201,58,23.8,18.0,Premium,Yes
750202,42,15.5,8.0,Basic,Yes
750203,60,37.1,8.0,Basic,No
750204,65,30.8,13.0,Standard,No
750205,65,29.7,13.0,Standard,Yes
750206,45,9.9,13.0,Standard,Yes
750207,49,24.6,8.0,Basic,No
750208,58,10.2,8.0,Basic,Yes
750209,42,8.6,8.0,Basic,Yes
750210,20,7.3,8.0,Basic,Yes
750211,32,20.6,8.0,Basic,Yes
750212,65,26.4,13.0,Standard,No
750213,48,35.4,8.0,Basic,No
750214,29,24.4,18.0,Premium,No
750215,71,38.0,13.0,Standard,No
750216,49,4.2,13.0,Standard,Yes
750217,15,34.2,13.0,Standard,Yes
750218,53,28.2,8.0,Basic,No
750219,30,27.5,8.0,Basic,Yes
750220,74,11.5,8.0,Basic,No
750221,63,33.8,8.0,Basic,Yes
750222,62,,18.0,Premium,Yes
750223,24,40.9,8.0,Basic,No
750224,54,3.6,18.0,Premium,Yes
750225,46,27.1,13.0,Standard,Yes
750226,47,32.7,8.0,Basic,No
750227,46,25.6,13.0,Standard,No
750228,30,2.3,13.0,Standard,Yes
750229,70,12.2,8.0,Basic,No
750230,40,25.5,13.0,Standard,No
750231,49,28.4,8.0,Basic,No
750232,24,31.9,18.0,Premium,No
750233,44,29.9,8.0,Basic,Yes
750234,68,10.3,13.0,Standard,No
750235,68,25.0,8.0,Basic,No
750236,50,36.0,8.0,Basic,No
750237,47,35.7,13.0,Standard,No
750238,34,10.3,8.0,Basic,Yes
750239,67,16.4,8.0,Basic,Yes
750240,54,9.0,13.0,Standard,Yes
750241,52,12.1,18.0,Premium,Yes
750242,40,10.6,18.0,Premium,Yes
750243,63,7.6,8.0,Basic,Yes
750244,50,3.2,18.0,Premium,Yes
750245,44,3.1,13.0,Standard,Yes
750246,64,40.1,8.0,Basic,No
750247,42,12.8,13.0,Standard,No
750248,33,3.2,13.0,Standard,Yes
750249,45,28.0,8.0,Basic,No
750250,40,39.1,8.0,Basic,No
750251,62,40.2,13.0,Standard,No
750252,29,38.2,13.0,Standard,No
750253,42,6.6,8.0,Basic,Yes
750254,37,38.1,13.0,Standard,No
750255,28,3.6,13.0,Standard,Yes
750256,21,34.7,13.0,Standard,No
750257,39,11.0,13.0,Standard,Yes
750258,63,29.4,13.0,Standard,Yes
750259,56,4.0,13.0,Standard,Yes
750260,16,19.8,13.0,Standard,Yes
750261,19,17.3,13.0,Standard,Yes
750262,37,12.7,18.0,Premium,Yes
750263,67,5.5,8.0,Basic,No
750264,49,7.5,13.0,Standard,Yes
750265,18,1.2,8.0,Basic,Yes
750266,35,18.0,8.0,Basic,No
750267,20,36.4,18.0,Premium,No
750268,37,26.4,18.0,Premium,No
750269,44,25.7,13.0,Standard,No
750270,47,25.6,18.0,Premium,No
750271,39,17.4,8.0,Basic,Yes
750272,23,5.4,8.0,Basic,Yes
750273,54,18.7,8.0,Basic,No
750274,50,23.8,8.0,Basic,No
750275,72,22.4,8.0,Basic,No
750276,26,35.6,8.0,Basic,No
750277,44,8.2,13.0,Standard,Yes
750278,29,14.9,13.0,Standard,No
750279,33,15.3,13.0,Standard,Yes
750280,31,28.8,13.0,Standard,Yes
750281,48,9.5,8.0,Basic,Yes
750282,42,0.6,13.0,Standard,Yes
750283,53,11.6,13.0,Standard,Yes
750284,46,28.5,8.0,Basic,Yes
750285,27,4.6,13.0,Standard,Yes
750286,21,6.9,8.0,Basic,Yes
750287,34,31.4,8.0,Basic,No
750288,54,40.7,8.0,Basic,No
750289,69,8.5,8.0,Basic,Yes
750290,26,13.7,13.0,Standard,Yes
750291,36,41.0,8.0,Basic,No
750292,25,1.0,13.0,Standard,Yes
750293,43,11.0,13.0,Standard,No
750294,69,6.1,13.0,Standard,Yes
750295,71,29.5,18.0,Premium,Yes
750296,41,3.6,13.0,Standard,Yes
750297,59,23.3,8.0,Basic,No
750298,63,14.9,8.0,Basic,Yes
750299,24,12.8,8.0,Basic,Yes
750300,25,9.6,13.0,Standard,Yes
750301,62,5.2,13.0,Standard,Yes
750302,47,7.4,8.0,Basic,Yes
750303,46,37.8,13.0,Standard,No
750304,43,25.3,13.0,Standard,Yes
750305,48,4.8,8.0,Basic,Yes
750306,28,21.8,13.0,Standard,No
750307,45,31.4,18.0,Premium,Yes
750308,52,18.1,13.0,Standard,No
750309,43,29.7,13.0,Standard,No
750310,53,4.7,8.0,Basic,Yes
750311,48,13.9,13.0,Standard,No
750312,41,22.6,8.0,Basic,Yes
750313,67,8.7,8.0,Basic,Yes
750314,23,34.1,18.0,Premium,No
750315,54,,13.0,Standard,No
750316,50,25.8,13.0,Standard,No
750317,44,40.5,8.0,Basic,No
750318,47,18.7,8.0,Basic,No
750319,42,29.9,18.0,Premium,No
750320,29,11.2,18.0,Premium,Yes
750321,49,27.0,8.0,Basic,Yes
750322,24,40.8,13.0,Standard,Yes
750323,41,4.4,18.0,Premium,Yes
750324,65,36.1,18.0,Premium,No
750325,28,21.7,13.0,Standard,No
750326,45,22.1,13.0,Standard,Yes
750327,28,34.5,8.0,Basic,No
750328,48,39.0,18.0,Premium,Yes
750329,65,5.2,8.0,Basic,Yes
750330,25,26.1,8.0,Basic,No
750331,22,4.7,8.0,Basic,Yes
750332,71,11.8,18.0,Premium,Yes
750333,52,30.1,18.0,Premium,Yes
750334,29,18.1,13.0,Standard,Yes
750335,63,15.1,13.0,Standard,Yes
750336,41,18.6,8.0,Basic,No
750337,48,29.4,13.0,Standard,Yes
750338,53,4.5,13.0,Standard,Yes
750339,47,1.9,18.0,Premium,Yes
750340,56,39.4,13.0,Standard,No
750341,34,41.8,13.0,Standard,No
750342,35,8.9,18.0,Premium,Yes
750343,39,39.5,13.0,Standard,No
750344,65,0.9,8.0,Basic,Yes
750345,74,6.9,18.0,Premium,Yes
750346,59,17.1,13.0,Standard,Yes
750347,50,33.9,18.0,Premium,No
750348,62,14.5,13.0,Standard,No
750349,48,16.9,8.0,Basic,Yes
750350,43,24.4,18.0,Premium,Yes
750351,26,0.7,8.0,Basic,Yes
750352,25,30.1,13.0,Standard,No
750353,18,14.8,13.0,Standard,Yes
750354,38,3.3,13.0,Standard,No
750355,15,23.7,18.0,Premium,Yes
750356,50,40.7,13.0,Standard,No
750357,50,36.0,13.0,Standard,No
750358,29,10.1,18.0,Premium,Yes
750359,34,36.1,8.0,Basic,No
750360,49,18.9,13.0,Standard,Yes
750361,73,10.8,13.0,Standard,Yes
750362,22,22.4,13.0,Standard,No
750363,55,17.2,18.0,Premium,No
750364,45,9.1,13.0,Standard,Yes
750365,43,37.0,13.0,Standard,No
750366,17,4.9,13.0,Standard,Yes
750367,70,10.1,13.0,Standard,No
750368,73,41.1,8.0,Basic,No
750369,20,37.5,13.0,Standard,No
750370,16,27.0,13.0,Standard,Yes
750371,74,8.1,18.0,Premium,Yes
750372,40,16.3,18.0,Premium,No
750373,37,5.4,13.0,Standard,No
750374,60,28.7,8.0,Basic,No
750375,74,27.5,8.0,Basic,Yes
750376,31,5.7,13.0,Standard,Yes
750377,34,1.5,8.0,Basic,Yes
750378,17,5.6,8.0,Basic,Yes
750379,47,7.2,13.0,Standard,Yes
750380,70,31.0,8.0,Basic,No
750381,68,10.1,18.0,Premium,Yes
750382,36,17.1,13.0,Standard,Yes
750383,44,32.2,8.0,Basic,No
750384,27,30.6,13.0,Standard,No
750385,45,8.9,13.0,Standard,Yes
750386,30,2.1,8.0,Basic,Yes
750387,47,11.5,8.0,Basic,Yes
750388,61,15.0,8.0,Basic,No
750389,42,34.1,13.0,Standard,No
750390,66,6.0,8.0,Basic,Yes
750391,38,9.1,13.0,Standard,Yes
750392,71,38.2,8.0,Basic,No
750393,44,18.4,8.0,Basic,No
750394,45,2.9,13.0,Standard,Yes
750395,54,34.9,8.0,Basic,No
750396,56,20.2,8.0,Basic,Yes
750397,36,34.4,13.0,Standard,No
750398,71,2.4,13.0,Standard,Yes
750399,64,22.4,18.0,Premium,Yes
750400,71,10.3,13.0,Standard,No
750401,37,37.3,8.0,Basic,No
750402,62,21.0,18.0,Premium,Yes
750403,18,33.5,18.0,Premium,No
750404,45,28.5,18.0,Premium,No
750405,22,18.0,8.0,Basic,No
750406,58,37.1,18.0,Premium,No
750407,58,35.5,13.0,Standard,No
750408,22,11.1,18.0,Premium,Yes
750409,58,37.8,8.0,Basic,No
750410,40,13.7,13.0,Standard,Yes
750411,19,6.3,8.0,Basic,Yes
750412,20,11.3,8.0,Basic,Yes
750413,74,2.1,13.0,Standard,Yes
750414,51,17.1,8.0,Basic,No
750415,43,3.4,8.0,Basic,Yes
750416,31,19.3,8.0,Basic,No
750417,43,17.1,13.0,Standard,Yes
750418,65,27.6,8.0,Basic,Yes
750419,54,38.6,13.0,Standard,No
750420,18,15.8,13.0,Standard,No
750421,27,16.1,13.0,Standard,No
750422,53,15.4,18.0,Premium,Yes
750423,67,23.0,18.0,Premium,No
750424,28,25.5,18.0,Premium,Yes
750425,52,27.7,13.0,Standard,No
750426,62,34.9,18.0,Premium,No
750427,60,26.0,13.0,Standard,Yes
750428,40,30.9,8.0,Basic,No
750429,56,18.8,8.0,Basic,No
750430,60,2.3,13.0,Standard,Yes
750431,15,1.4,8.0,Basic,Yes
750432,29,41.5,13.0,Standard,No
750433,63,35.6,13.0,Standard,No
750434,25,0.8,8.0,Basic,Yes
750435,26,27.7,8.0,Basic,Yes
750436,58,33.3,8.0,Basic,No
750437,67,38.8,13.0,Standard,No
750438,37,18.7,13.0,Standard,Yes
750439,30,33.9,13.0,Standard,No
750440,46,30.4,8.0,Basic,No
750441,19,11.0,8.0,Basic,Yes
750442,17,40.3,13.0,Standard,No
750443,55,4.7,8.0,Basic,Yes
750444,38,11.5,18.0,Premium,No
750445,47,34.7,8.0,Basic,No
750446,45,12.8,13.0,Standard,Yes
750447,68,21.6,13.0,Standard,Yes
750448,74,12.4,8.0,Basic,Yes
750449,53,41.2,13.0,Standard,Yes
750450,29,14.5,13.0,Standard,No
750451,32,21.9,8.0,Basic,No
750452,32,27.6,8.0,Basic,Yes
750453,53,32.6,13.0,Standard,Yes
750454,56,33.7,8.0,Basic,Yes
750455,31,4.2,18.0,Premium,Yes
750456,60,29.6,13.0,Standard,No
750457,35,33.6,8.0,Basic,No
750458,49,2.5,8.0,Basic,Yes
750459,37,35.7,18.0,Premium,No
750460,29,34.4,18.0,Premium,No
750461,50,35.8,18.0,Premium,No
750462,42,26.9,13.0,Standard,No
750463,37,21.0,13.0,Standard,Yes
750464,22,30.2,18.0,Premium,No
750465,68,5.2,18.0,Premium,Yes
750466,73,36.5,18.0,Premium,No
750467,37,26.4,8.0,Basic,No
750468,47,8.1,13.0,Standard,No
750469,49,7.0,13.0,Standard,Yes
750470,42,8.3,18.0,Premium,Yes
750471,73,36.8,18.0,Premium,No
750472,42,13.8,8.0,Basic,Yes
750473,42,25.9,18.0,Premium,Yes
750474,37,8.1,13.0,Standard,No
750475,44,34.0,13.0,Standard,No
750476,58,15.7,18.0,Premium,Yes
750477,59,29.5,13.0,Standard,No
750478,17,32.9,8.0,Basic,No
750479,55,25.6,13.0,Standard,No
750480,65,40.5,13.0,Standard,No
750481,61,4.1,8.0,Basic,Yes
750482,19,35.8,8.0,Basic,No
750483,52,15.7,13.0,Standard,Yes
750484,35,3.9,18.0,Premium,Yes
750485,70,17.0,18.0,Premium,No
750486,47,10.3,13.0,Standard,Yes
750487,47,41.5,18.0,Premium,No
750488,42,13.8,8.0,Basic,No
750489,49,19.8,13.0,Standard,No
750490,16,14.1,13.0,Standard,No
750491,73,34.6,8.0,Basic,No
750492,48,16.7,8.0,Basic,Yes
750493,43,31.4,8.0,Basic,Yes
750494,52,26.4,8.0,Basic,No
750495,24,33.0,18.0,Premium,No
750496,69,20.3,13.0,Standard,No
750497,17,23.9,8.0,Basic,No
750498,58,10.1,18.0,Premium,No
750499,52,9.3,8.0,Basic,Yes
750500,19,14.5,13.0,Standard,Yes
750501,69,38.8,13.0,Standard,No
750502,29,35.0,8.0,Basic,Yes
750503,37,11.1,8.0,Basic,Yes
750504,57,5.4,13.0,Standard,Yes
750505,64,31.2,8.0,Basic,No
750506,46,17.3,18.0,Premium,No
750507,37,16.5,13.0,Standard,Yes
750508,21,4.7,13.0,Standard,Yes
750509,66,40.6,18.0,Premium,No
750510,15,30.3,8.0,Basic,Yes
750511,34,23.4,18.0,Premium,Yes
750512,27,11.4,8.0,Basic,Yes
750513,74,16.8,18.0,Premium,No
750514,19,25.7,8.0,Basic,No
750515,44,18.4,13.0,Standard,No
750516,60,39.7,13.0,Standard,No
750517,62,1.4,18.0,Premium,Yes
750518,40,27.1,8.0,Basic,No
750519,66,2.2,13.0,Standard,Yes
750520,58,27.6,13.0,Standard,Yes
750521,24,19.8,8.0,Basic,Yes
750522,69,7.0,8.0,Basic,No
750523,43,6.5,8.0,Basic,No
750524,34,38.1,13.0,Standard,No
750525,45,4.5,13.0,Standard,Yes
750526,16,32.2,13.0,Standard,No
750527,68,17.4,13.0,Standard,Yes
750528,36,13.0,8.0,Basic,No
750529,57,20.3,18.0,Premium,Yes
750530,19,3.9,18.0,Premium,Yes
750531,32,5.5,8.0,Basic,Yes
750532,17,35.3,13.0,Standard,No
750533,16,24.6,13.0,Standard,Yes
750534,62,40.4,8.0,Basic,No
750535,39,32.0,8.0,Basic,No
750536,30,,13.0,Standard,Yes
750537,51,37.7,8.0,Basic,No
750538,29,33.1,13.0,Standard,Yes
750539,31,1.9,13.0,Standard,Yes
750540,63,16.3,18.0,Premium,Yes
750541,41,32.7,13.0,Standard,No
750542,49,1.7,18.0,Premium,Yes
750543,66,17.1,18.0,Premium,Yes
750544,29,35.5,8.0,Basic,No
750545,40,13.6,8.0,Basic,No
750546,36,5.0,18.0,Premium,Yes
750547,39,31.4,18.0,Premium,No
750548,38,3.4,8.0,Basic,Yes
750549,66,7.3,13.0,Standard,Yes
750550,51,19.2,8.0,Basic,Yes
750551,54,27.8,18.0,Premium,No
750552,50,9.9,13.0,Standard,Yes
750553,18,35.7,13.0,Standard,Yes
750554,60,21.1,13.0,Standard,No
750555,38,10.2,13.0,Standard,No
750556,70,32.1,8.0,Basic,No
750557,28,14.1,8.0,Basic,Yes
750558,31,22.5,13.0,Standard,Yes
750559,40,2.3,8.0,Basic,Yes
750560,59,25.1,13.0,Standard,Yes
750561,30,24.3,13.0,Standard,Yes
750562,73,13.4,8.0,Basic,No
750563,47,17.0,13.0,Standard,No
750564,72,31.2,8.0,Basic,No
750565,40,5.9,8.0,Basic,No
750566,43,32.8,13.0,Standard,No
750567,44,4.0,13.0,Standard,Yes
750568,48,18.4,8.0,Basic,No
750569,41,34.2,8.0,Basic,Yes
750570,20,6.9,13.0,Standard,Yes
750571,59,10.1,13.0,Standard,No
750572,33,6.5,13.0,Standard,No
750573,30,6.5,18.0,Premium,Yes
750574,44,39.7,8.0,Basic,No
750575,41,1.1,13.0,Standard,Yes
750576,51,34.7,8.0,Basic,No
750577,60,24.3,8.0,Basic,Yes
750578,16,10.6,18.0,Premium,Yes
750579,68,39.2,8.0,Basic,No
750580,30,33.8,8.0,Basic,No
750581,50,15.2,8.0,Basic,Yes
750582,22,36.5,18.0,Premium,No
750583,62,4.0,18.0,Premium,Yes
750584,66,21.7,18.0,Premium,Yes
750585,31,14.5,18.0,Premium,No
750586,27,5.6,8.0,Basic,Yes
750587,17,30.8,8.0,Basic,No
750588,55,20.3,8.0,Basic,No
750589,55,33.0,13.0,Standard,No
750590,38,6.8,8.0,Basic,No
750591,40,16.2,8.0,Basic,No
750592,57,25.5,8.0,Basic,No
750593,17,33.4,8.0,Basic,No
750594,24,34.5,8.0,Basic,Yes
750595,59,25.8,8.0,Basic,No
750596,59,41.3,18.0,Premium,No
750597,71,40.1,8.0,Basic,No
750598,37,34.4,8.0,Basic,No
750599,37,,8.0,Basic,Yes
750600,61,29.2,13.0,Standard,No
750601,21,39.7,13.0,Standard,No
750602,62,5.4,8.0,Basic,Yes
750603,49,13.1,13.0,Standard,Yes
750604,52,4.4,8.0,Basic,Yes
750605,69,40.1,8.0,Basic,No
750606,63,38.8,13.0,Standard,No
750607,73,30.2,13.0,Standard,Yes
750608,48,9.5,13.0,Standard,Yes
750609,57,0.7,8.0,Basic,Yes
750610,38,33.5,18.0,Premium,No
750611,20,41.0,8.0,Basic,No
750612,74,12.0,13.0,Standard,Yes
750613,16,27.3,8.0,Basic,Yes
750614,32,24.4,18.0,Premium,Yes
750615,58,27.9,18.0,Premium,Yes
750616,58,30.3,8.0,Basic,No
750617,37,0.6,13.0,Standard,Yes
750618,52,41.0,8.0,Basic,No
750619,37,0.5,13.0,Standard,Yes
750620,17,38.8,8.0,Basic,No
750621,50,9.1,8.0,Basic,No
750622,57,,13.0,Standard,No
750623,53,5.2,8.0,Basic,Yes
750624,15,6.1,8.0,Basic,Yes
750625,55,26.4,13.0,Standard,No
750626,48,7.7,13.0,Standard,Yes
750627,18,16.3,13.0,Standard,Yes
750628,15,26.9,8.0,Basic,No
750629,36,3.3,13.0,Standard,Yes
750630,68,35.4,13.0,Standard,No
750631,22,12.1,8.0,Basic,No
750632,72,11.0,13.0,Standard,Yes
750633,60,23.7,13.0,Standard,Yes
750634,61,5.7,8.0,Basic,Yes
750635,51,,18.0,Premium,Yes
750636,35,38.2,13.0,Standard,No
750637,42,33.5,8.0,Basic,No
750638,32,41.2,18.0,Premium,No
750639,31,29.6,13.0,Standard,No
750640,43,36.5,18.0,Premium,No
750641,16,1.3,8.0,Basic,Yes
750642,60,9.1,8.0,Basic,Yes
750643,35,33.7,18.0,Premium,No
750644,66,26.7,8.0,Basic,Yes
750645,37,29.0,18.0,Premium,Yes
750646,61,42.0,8.0,Basic,No
750647,48,32.7,13.0,Standard,Yes
750648,70,18.3,8.0,Basic,No
750649,22,36.9,13.0,Standard,No
750650,61,36.7,8.0,Basic,No
750651,39,12.3,8.0,Basic,Yes
750652,57,12.5,13.0,Standard,Yes
750653,52,,8.0,Basic,Yes
750654,45,5.8,8.0,Basic,Yes
750655,72,25.6,13.0,Standard,No
750656,68,33.8,13.0,Standard,No
750657,74,9.4,18.0,Premium,Yes
750658,55,31.6,18.0,Premium,Yes
750659,57,6.1,8.0,Basic,Yes
750660,59,2.4,8.0,Basic,Yes
750661,73,37.2,18.0,Premium,No
750662,71,14.5,13.0,Standard,No
750663,35,40.8,8.0,Basic,No
750664,46,19.5,18.0,Premium,Yes
750665,36,11.2,18.0,Premium,Yes
750666,20,37.6,18.0,Premium,Yes
750667,44,30.5,8.0,Basic,No
750668,23,25.6,18.0,Premium,Yes
750669,57,21.3,13.0,Standard,Yes
750670,71,25.0,8.0,Basic,No
750671,29,10.0,13.0,Standard,No
750672,47,1.6,18.0,Premium,Yes
750673,16,29.2,13.0,Standard,No
750674,29,30.3,18.0,Premium,No
750675,25,15.7,18.0,Premium,Yes
750676,63,37.6,8.0,Basic,No
750677,62,34.7,8.0,Basic,No
750678,62,40.4,8.0,Basic,No
750679,57,5.3,8.0,Basic,Yes
750680,56,3.8,8.0,Basic,Yes
750681,47,4.1,8.0,Basic,No
750682,68,21.5,18.0,Premium,Yes
750683,27,22.1,8.0,Basic,No
750684,22,23.7,13.0,Standard,No
750685,22,37.9,8.0,Basic,No
750686,68,33.2,13.0,Standard,No
750687,61,32.6,18.0,Premium,No
750688,48,6.1,13.0,Standard,Yes
750689,54,40.6,8.0,Basic,No
750690,38,,13.0,Standard,Yes
750691,56,11.1,8.0,Basic,Yes
750692,51,31.2,18.0,Premium,Yes
750693,63,26.1,13.0,Standard,Yes
750694,52,13.8,13.0,Standard,No
750695,51,29.2,8.0,Basic,No
750696,53,5.0,18.0,Premium,Yes
