ReefSectorID,SeaTempAnomaly,OceanAcidity_pH,CoralBleachingRatio_Percent,DepthMeters,SevereBleaching
1580146,83.3,65.2,40.5,6.6,0
1580147,134.2,104.7,29.4,3.9,1
1580148,122.6,107.9,27.6,4.2,1
1580149,173.5,143.0,34.9,3.2,1
1580150,66.1,126.7,56.1,1.9,0
1580151,107.1,103.9,54.9,1.9,1
1580152,131.0,119.1,41.5,4.7,1
1580153,93.1,64.0,23.1,2.5,0
1580154,119.8,102.7,44.3,1.2,1
1580155,164.0,96.4,60.3,12.8,1
1580156,135.3,125.0,34.5,24.1,1
1580157,111.2,50.7,40.9,6.2,0
1580158,153.1,124.5,32.1,12.3,1
1580159,168.0,61.4,69.1,13.5,0
1580160,125.6,71.9,51.7,17.8,0
1580161,158.7,111.1,39.0,17.1,1
1580162,154.6,77.0,54.2,0.6,1
1580163,112.2,112.8,71.9,3.3,0
1580164,110.9,125.7,40.2,5.9,0
1580165,111.4,119.4,37.8,24.7,0
1580166,138.7,83.0,51.1,2.2,1
1580167,168.7,97.0,41.9,8.9,1
1580168,102.3,95.1,58.0,8.8,1
1580169,52.9,98.2,39.1,17.2,0
1580170,121.5,58.0,58.3,6.6,1
1580171,92.9,154.1,55.7,11.7,0
1580172,75.7,83.8,68.8,1.0,0
1580173,134.7,98.2,66.6,2.8,0
1580174,93.4,81.4,48.0,9.5,0
1580175,142.6,95.2,13.9,7.1,1
1580176,112.3,86.1,64.4,2.2,1
1580177,74.9,76.2,42.9,21.9,0
1580178,122.6,137.8,39.7,2.6,0
1580179,177.9,104.6,41.4,19.9,1
1580180,121.9,95.1,1.9,4.9,1
1580181,94.9,97.7,48.6,17.7,0
1580182,109.7,121.0,39.0,0.9,1
1580183,145.9,79.0,34.5,4.7,1
1580184,146.4,77.4,53.1,7.0,0
1580185,124.7,125.6,42.3,5.4,1
1580186,112.2,118.7,16.2,2.4,1
1580187,103.2,112.9,37.3,13.7,1
1580188,135.5,88.9,63.6,19.5,1
1580189,185.1,96.8,29.5,2.0,1
1580190,80.8,83.0,63.4,7.6,0
1580191,124.3,111.0,44.2,2.2,1
1580192,178.8,72.8,50.0,16.0,1
1580193,96.1,109.5,48.7,5.0,0
1580194,137.5,85.8,46.6,3.2,1
1580195,97.5,102.4,40.2,1.8,0
1580196,122.1,108.3,27.5,21.9,0
1580197,114.8,91.1,66.5,11.5,0
1580198,96.6,112.8,45.7,14.8,0
1580199,87.4,91.8,20.4,1.2,0
1580200,123.9,78.4,80.6,4.3,1
1580201,132.2,116.5,73.8,11.1,1
1580202,98.8,123.7,49.8,0.1,0
1580203,139.7,127.9,62.7,21.1,1
1580204,160.6,112.1,74.6,0.4,1
1580205,156.1,109.0,48.2,9.6,0
1580206,,95.2,55.8,4.4,1
1580207,122.4,79.6,32.3,1.2,0
1580208,66.3,92.0,46.3,10.2,0
1580209,110.3,126.8,54.9,4.0,0
1580210,130.3,90.1,40.2,3.6,1
1580211,113.4,151.8,60.1,16.6,0
1580212,68.9,82.9,36.2,16.3,1
1580213,141.5,90.1,25.9,9.1,1
1580214,88.5,104.0,52.4,1.6,1
1580215,95.1,106.0,43.2,1.5,0
1580216,148.5,127.1,29.0,1.8,0
1580217,123.6,96.7,39.6,1.9,0
1580218,134.4,101.0,24.0,3.8,1
1580219,102.2,101.3,45.8,2.3,0
1580220,87.6,90.7,54.0,64.9,0
1580221,98.9,94.9,32.1,24.0,0
1580222,92.0,87.8,41.3,26.9,0
1580223,98.4,112.9,37.5,1.9,0
1580224,158.6,100.2,54.6,3.8,1
1580225,95.4,79.6,24.8,12.3,0
1580226,134.1,112.9,64.3,12.2,0
1580227,83.9,132.4,39.4,9.0,0
1580228,160.3,107.8,65.5,6.5,1
1580229,118.4,68.0,47.3,3.0,1
1580230,81.1,86.6,54.3,0.3,0
1580231,145.8,110.9,51.7,26.1,1
1580232,100.6,116.5,56.4,2.6,0
1580233,73.3,89.1,31.9,11.1,0
1580234,129.1,96.8,49.0,1.8,1
1580235,152.0,103.3,30.1,4.9,1
1580236,129.4,74.5,26.4,8.9,1
1580237,141.1,116.2,36.3,2.6,1
1580238,131.2,60.7,34.5,0.7,1
1580239,124.2,108.7,35.5,6.5,1
1580240,134.5,70.8,37.0,2.7,1
1580241,112.5,113.2,50.0,4.2,1
1580242,156.6,100.7,79.0,4.0,0
1580243,90.9,94.9,13.4,8.7,1
1580244,116.7,145.2,57.1,8.3,0
1580245,,78.2,51.9,10.9,0
1580246,129.9,102.3,38.4,11.5,1
1580247,139.4,140.7,73.4,7.9,1
1580248,123.6,96.5,59.2,4.9,1
1580249,182.6,84.5,63.9,2.5,1
1580250,73.3,75.5,52.1,16.4,0
1580251,162.0,58.9,45.9,24.4,1
1580252,120.9,110.8,56.7,5.3,0
1580253,95.1,101.6,63.4,8.6,0
1580254,114.3,98.1,43.1,0.1,1
1580255,104.8,91.4,39.9,5.5,0
1580256,58.6,123.6,20.5,6.7,0
1580257,143.7,159.1,36.0,17.3,1
1580258,68.5,105.6,65.0,3.8,0
1580259,86.1,109.6,70.4,1.1,0
1580260,106.1,135.6,79.3,1.8,1
1580261,88.8,93.0,21.2,11.3,0
1580262,95.3,68.5,53.2,11.1,0
1580263,116.6,107.2,37.6,2.3,0
1580264,125.0,97.2,57.8,2.5,0
1580265,174.5,78.9,28.5,2.5,1
1580266,104.3,101.8,40.4,19.0,0
1580267,80.4,123.8,33.8,14.8,0
1580268,135.8,106.3,50.3,2.3,1
1580269,173.3,115.3,49.0,5.2,1
1580270,93.5,157.5,27.8,15.6,0
1580271,141.8,110.6,36.6,9.3,1
1580272,87.2,121.6,63.6,20.7,0
1580273,88.5,104.6,61.3,10.3,0
1580274,115.4,12.8,62.4,1.9,1
1580275,,97.7,24.3,8.2,0
1580276,133.5,118.8,68.7,3.6,1
1580277,71.5,98.5,61.6,17.3,0
1580278,152.6,94.7,39.9,6.3,1
1580279,98.1,106.7,70.9,9.0,0
1580280,117.8,119.3,48.7,2.4,1
1580281,149.4,111.8,55.2,2.3,1
1580282,131.2,86.0,52.2,0.7,1
1580283,125.2,74.8,38.3,2.7,1
1580284,129.4,81.6,28.9,0.7,0
1580285,105.8,102.1,62.4,12.9,1
1580286,120.8,77.0,48.0,2.2,1
1580287,122.2,136.5,15.2,5.0,0
1580288,139.8,108.5,52.8,10.6,0
1580289,97.5,78.7,39.2,11.1,0
1580290,95.6,77.3,70.9,1.2,0
1580291,133.3,69.0,46.7,1.6,1
1580292,163.7,100.0,36.4,0.3,1
1580293,91.1,91.4,24.3,4.0,0
1580294,34.1,110.8,42.4,7.9,0
1580295,77.0,88.3,47.2,18.9,0
1580296,100.6,103.6,21.4,37.9,0
1580297,149.5,130.1,51.1,3.2,1
1580298,87.4,104.4,56.0,3.9,0
1580299,145.5,102.4,33.2,2.4,1
1580300,154.6,118.6,39.3,0.2,1
1580301,59.0,119.5,65.9,10.9,0
1580302,77.9,93.0,33.3,13.9,1
1580303,122.2,134.5,25.7,3.6,1
1580304,122.2,78.7,56.9,1.1,1
1580305,76.9,97.7,59.3,8.2,0
1580306,53.7,77.8,26.0,1.1,0
1580307,142.5,97.2,28.8,29.2,1
1580308,121.1,115.4,34.4,0.6,1
1580309,100.1,121.3,47.6,5.0,0
1580310,143.5,113.9,50.6,10.3,1
1580311,176.4,100.0,68.1,34.0,1
1580312,111.2,101.2,53.7,3.2,0
1580313,115.0,115.0,31.3,6.7,0
1580314,153.4,98.3,34.5,2.2,1
1580315,191.3,114.2,77.1,16.0,1
1580316,88.7,83.6,32.5,25.0,0
1580317,135.3,129.6,23.8,3.7,0
1580318,168.5,88.6,78.0,7.5,1
1580319,162.1,82.6,32.1,9.9,1
1580320,131.8,41.1,47.9,23.4,1
1580321,100.0,82.9,67.6,21.1,0
1580322,143.7,100.2,15.8,0.7,1
1580323,42.4,135.8,62.1,1.4,0
1580324,79.6,138.2,46.0,0.4,1
1580325,130.3,105.6,53.6,9.2,0
1580326,143.8,72.0,60.8,18.3,1
1580327,151.0,110.4,56.0,0.4,1
1580328,137.5,109.5,61.4,17.4,1
1580329,89.0,78.2,46.4,0.5,0
1580330,134.8,109.9,46.0,0.8,1
1580331,122.7,63.8,43.9,0.8,1
1580332,127.9,102.0,50.4,11.2,1
1580333,100.4,73.9,48.7,6.0,0
1580334,99.8,103.8,44.1,2.5,0
1580335,155.7,90.7,54.7,2.1,0
1580336,108.5,127.0,30.2,1.7,1
1580337,93.5,120.5,38.7,8.5,0
1580338,173.3,106.2,15.7,1.7,1
1580339,99.9,139.2,36.0,4.9,1
1580340,113.4,65.9,51.5,7.1,0
1580341,134.3,39.9,35.9,18.5,0
1580342,145.0,124.9,49.4,15.0,1
1580343,152.2,105.5,40.3,0.7,1
1580344,108.5,77.1,35.5,12.9,1
1580345,112.7,83.1,29.9,5.4,0
1580346,120.1,146.9,41.9,1.5,0
1580347,137.8,120.7,61.4,4.4,1
1580348,69.4,112.6,56.9,3.2,1
1580349,84.3,111.0,36.8,9.0,0
1580350,117.8,22.3,53.4,9.8,0
1580351,143.7,123.3,30.6,4.4,1
1580352,147.5,110.2,66.0,1.7,1
1580353,116.7,84.7,52.7,16.9,0
1580354,108.5,97.1,37.6,1.8,0
1580355,76.4,110.7,48.0,20.3,1
1580356,105.4,135.7,51.1,2.9,0
1580357,107.3,144.6,59.6,1.7,0
1580358,151.8,89.9,30.0,9.5,1
1580359,67.8,73.7,10.5,3.0,0
1580360,170.1,62.9,70.5,6.0,0
1580361,107.4,96.1,58.1,5.2,0
1580362,189.4,62.1,45.9,0.7,1
1580363,134.9,69.1,69.3,6.0,1
1580364,159.3,135.6,43.4,4.8,1
1580365,153.0,108.1,53.9,0.1,1
1580366,155.9,83.5,41.7,13.7,1
1580367,115.1,100.5,41.6,5.5,1
1580368,101.9,115.3,50.2,1.2,0
1580369,117.4,142.6,46.4,3.1,0
1580370,48.1,137.7,57.4,5.8,0
1580371,89.6,65.6,48.4,1.4,0
1580372,112.7,65.4,0.0,2.3,1
1580373,147.0,135.5,61.8,1.0,1
1580374,86.4,100.1,49.7,8.7,1
1580375,116.8,79.5,49.0,1.0,0
1580376,93.6,53.3,35.9,3.4,0
1580377,122.7,107.5,23.1,32.8,1
1580378,129.8,89.8,60.1,6.4,1
1580379,136.1,76.8,23.7,2.2,1
1580380,41.7,116.5,42.1,10.4,0
1580381,90.6,113.9,56.3,0.1,0
1580382,86.8,100.8,56.4,3.9,0
1580383,117.9,89.9,42.0,26.6,1
1580384,59.0,85.8,56.8,8.2,0
1580385,158.9,81.4,48.3,0.9,1
1580386,105.5,108.1,50.3,3.3,0
1580387,147.8,110.2,72.9,11.7,1
1580388,125.6,101.3,42.9,11.5,1
1580389,133.8,109.1,62.6,13.9,0
1580390,69.5,89.0,40.4,3.2,0
1580391,97.0,82.2,70.9,7.3,0
1580392,86.7,122.6,60.8,5.2,0
1580393,98.1,76.8,29.2,27.1,0
1580394,149.6,73.8,78.4,5.8,1
1580395,100.1,110.0,49.8,7.6,0
1580396,144.2,122.1,63.3,3.1,1
1580397,138.0,118.4,48.6,8.5,0
1580398,106.2,97.8,59.1,0.6,0
1580399,199.5,147.6,17.0,5.5,1
1580400,125.3,120.2,49.1,1.4,0
1580401,160.8,130.2,48.4,2.9,1
1580402,80.9,86.5,43.3,4.9,0
1580403,93.2,75.5,50.2,4.2,1
1580404,118.7,87.7,56.5,1.2,1
1580405,113.9,127.7,41.4,17.2,0
1580406,151.7,65.3,23.4,16.9,1
1580407,173.7,137.8,29.2,1.5,0
1580408,110.0,13.7,60.1,0.7,1
1580409,122.6,108.2,7.5,1.3,0
1580410,99.0,116.6,48.8,5.2,0
1580411,135.6,89.0,37.2,7.0,1
1580412,132.4,84.0,54.3,10.0,1
1580413,142.6,112.6,39.6,20.1,1
1580414,124.0,107.9,51.7,0.8,0
1580415,155.9,116.1,41.1,0.9,1
1580416,125.1,113.7,55.6,3.7,1
1580417,146.2,78.3,37.5,2.4,0
1580418,113.4,111.8,42.8,11.2,1
1580419,121.9,109.5,45.9,3.6,0
1580420,90.0,128.1,36.8,18.8,0
1580421,97.9,90.9,28.1,1.7,1
1580422,146.7,116.9,34.1,22.4,0
1580423,142.9,92.3,42.3,2.9,1
1580424,109.7,99.4,64.1,15.5,0
1580425,121.4,42.7,54.7,4.4,0
1580426,89.7,106.5,41.3,22.5,1
1580427,136.9,110.2,59.7,5.0,1
1580428,123.4,89.1,55.0,8.2,0
1580429,76.0,82.9,8.3,2.3,0
1580430,135.7,124.4,51.0,4.9,1
1580431,155.2,73.5,17.1,0.7,1
1580432,72.7,81.0,68.3,4.6,0
1580433,110.3,102.1,47.7,4.9,0
1580434,85.6,103.0,46.0,1.1,0
1580435,,163.0,33.9,0.5,1
1580436,85.6,84.3,53.9,0.7,0
1580437,,121.3,29.1,3.5,0
1580438,68.4,113.6,43.6,17.6,0
1580439,136.6,144.2,50.4,6.5,1
1580440,79.0,114.2,55.6,3.8,0
1580441,143.6,127.1,40.0,0.6,0
1580442,102.8,120.4,54.3,14.2,0
1580443,110.8,98.2,56.7,19.6,0
1580444,112.6,74.2,49.0,4.8,0
1580445,133.1,58.5,57.2,1.7,1
1580446,95.8,82.3,60.2,12.6,0
1580447,71.8,111.8,55.8,18.2,0
1580448,132.8,64.4,45.9,1.0,0
1580449,183.5,68.2,40.7,0.5,1
1580450,182.9,84.6,39.9,14.1,1
1580451,99.5,103.3,32.9,2.5,0
1580452,117.7,87.4,38.1,1.0,0
1580453,69.5,80.0,49.4,4.0,0
1580454,70.2,93.4,66.9,13.6,0
1580455,90.2,88.9,49.3,3.3,0
1580456,178.4,136.1,62.2,8.8,0
1580457,139.1,116.6,27.7,2.0,0
1580458,90.2,106.0,15.2,4.2,0
1580459,120.7,101.9,56.0,11.8,0
1580460,114.4,130.4,41.4,4.1,1
1580461,125.2,137.8,59.9,0.1,1
1580462,55.6,52.8,30.7,11.4,0
1580463,97.0,116.7,65.3,3.7,0
1580464,147.7,77.9,44.6,1.9,1
1580465,118.7,92.4,29.2,4.4,0
1580466,141.1,100.2,37.7,6.0,1
1580467,148.7,139.3,44.1,3.0,0
1580468,140.2,87.9,49.0,7.3,0
1580469,162.4,99.0,51.2,23.0,1
1580470,116.9,64.7,31.7,0.9,1
1580471,131.6,110.7,59.2,0.2,0
1580472,120.5,97.4,45.4,11.0,0
1580473,97.2,102.1,59.8,0.5,0
1580474,115.1,98.2,49.2,0.2,0
1580475,144.2,93.0,18.3,8.6,1
1580476,118.2,99.2,39.6,1.3,1
1580477,127.5,99.6,49.2,1.7,1
1580478,145.1,114.1,55.4,4.6,1
1580479,109.8,72.4,40.7,4.8,0
1580480,104.1,156.6,27.7,6.2,0
1580481,101.5,110.8,32.5,24.8,0
1580482,83.0,138.4,34.2,2.3,0
1580483,153.8,88.2,10.5,1.2,1
1580484,104.3,100.0,53.8,12.4,1
1580485,145.3,90.2,18.9,19.2,1
1580486,187.5,87.6,61.5,18.9,1
1580487,99.7,69.4,30.6,0.9,1
1580488,162.5,57.5,61.5,6.4,1
1580489,81.1,159.6,37.4,0.6,0
1580490,87.2,122.9,33.2,11.6,0
1580491,155.3,60.6,33.6,36.1,1
1580492,152.7,121.9,28.6,0.1,1
1580493,79.4,137.8,37.9,2.2,0
1580494,77.4,86.9,46.1,4.8,1
1580495,101.5,77.1,42.4,3.5,0
1580496,152.2,113.5,19.6,2.4,1
1580497,113.1,114.4,83.4,0.1,1
1580498,154.4,82.9,13.7,1.3,1
1580499,135.2,111.7,67.1,14.0,0
1580500,125.3,106.7,67.0,4.7,1
1580501,127.3,47.6,74.2,0.8,0
1580502,149.3,144.7,62.2,1.8,1
1580503,128.0,84.2,46.2,5.9,0
1580504,70.2,62.0,29.1,13.1,0
1580505,152.0,62.0,49.3,14.4,1
1580506,91.7,130.9,24.3,23.5,1
1580507,130.0,96.8,12.8,20.8,0
1580508,117.4,86.7,54.3,40.6,0
1580509,86.1,117.6,54.5,7.7,0
1580510,109.2,96.1,46.5,5.4,0
1580511,108.1,106.1,17.8,6.1,0
1580512,109.0,130.0,39.4,1.5,0
1580513,155.4,79.5,39.8,12.8,0
1580514,123.5,131.7,42.9,2.3,1
1580515,109.3,130.5,23.2,2.0,0
1580516,129.7,114.3,26.7,18.5,1
1580517,182.3,101.7,48.3,7.3,0
1580518,111.4,99.9,48.6,3.4,0
1580519,121.0,100.2,67.9,20.6,0
1580520,,91.4,28.5,12.1,0
1580521,80.0,126.0,54.2,5.3,0
1580522,107.8,60.8,28.4,9.6,0
1580523,143.5,84.2,67.7,15.7,0
1580524,114.0,114.9,40.3,6.9,1
1580525,99.5,74.4,43.9,6.7,0
1580526,145.3,98.5,43.3,28.4,1
1580527,66.4,75.0,40.0,8.3,1
1580528,127.2,75.7,34.2,12.6,1
1580529,109.4,96.7,47.3,5.7,0
1580530,79.9,95.0,36.7,4.9,0
1580531,148.2,86.4,40.7,6.0,1
1580532,149.5,98.6,58.0,2.0,1
1580533,98.0,81.1,30.8,0.8,0
1580534,131.5,98.9,54.2,5.4,1
1580535,98.3,54.2,46.6,9.7,1
1580536,100.2,104.5,59.6,0.4,1
1580537,157.2,75.3,62.0,41.8,1
1580538,82.7,78.2,48.1,7.7,0
1580539,86.2,90.7,56.7,5.2,0
1580540,177.4,100.0,47.7,7.7,1
1580541,188.3,102.4,51.7,3.1,1
1580542,96.8,88.4,44.5,2.2,0
1580543,80.7,114.2,41.4,10.0,0
1580544,62.8,93.9,47.5,15.9,0
1580545,172.3,113.5,64.7,6.0,1
1580546,70.7,99.3,40.7,9.8,0
1580547,127.3,109.6,21.5,5.6,0
1580548,132.4,34.1,66.6,24.6,0
1580549,153.9,96.7,23.3,3.8,0
1580550,147.2,92.4,54.7,1.5,1
1580551,152.2,107.4,57.2,7.2,0
1580552,88.3,121.6,60.9,36.9,0
1580553,88.3,79.1,33.9,1.1,0
1580554,154.9,136.6,54.4,5.2,1
1580555,137.8,107.9,41.8,18.9,1
1580556,150.9,128.9,15.3,0.9,1
1580557,171.2,98.4,41.5,21.7,1
1580558,145.9,111.1,56.5,7.6,1
1580559,133.0,80.3,26.3,21.9,1
1580560,95.5,120.2,43.9,10.6,1
1580561,116.2,91.8,58.2,55.2,0
1580562,130.4,97.1,39.7,5.7,0
1580563,145.8,114.7,27.0,9.4,0
1580564,123.8,127.5,44.3,19.3,0
1580565,83.9,78.0,52.1,10.5,0
1580566,78.2,102.7,64.1,24.9,0
1580567,111.5,100.8,32.3,5.4,0
1580568,129.9,120.5,68.3,5.2,1
1580569,144.6,112.1,29.0,4.3,1
1580570,139.8,117.7,42.4,0.1,1
1580571,131.7,77.9,35.8,5.1,1
1580572,118.3,132.9,45.7,33.3,1
1580573,131.7,68.5,7.8,41.2,1
1580574,181.9,79.7,37.1,7.4,1
1580575,101.5,95.5,60.1,0.1,1
1580576,117.3,96.8,52.6,6.7,0
1580577,118.6,135.8,41.7,14.2,0
1580578,90.7,100.2,42.2,0.9,0
1580579,134.5,77.5,45.1,16.0,0
1580580,90.2,92.5,64.9,4.6,0
1580581,91.8,92.5,42.3,1.0,0
1580582,118.5,139.2,31.4,6.5,0
1580583,118.1,141.1,23.3,23.4,0
1580584,120.9,108.0,57.9,8.1,1
1580585,84.7,108.0,51.8,20.1,1
1580586,149.9,70.3,42.0,5.3,1
1580587,108.5,139.9,37.2,4.1,1
1580588,108.7,60.0,25.5,4.6,0
1580589,164.3,123.5,66.4,6.8,1
1580590,106.8,84.3,26.0,7.0,0
1580591,84.7,67.5,51.3,17.2,1
1580592,138.2,137.1,44.7,20.1,1
1580593,121.1,114.3,52.4,7.5,1
1580594,128.5,91.8,46.5,3.9,0
1580595,58.2,107.6,45.1,14.2,0
1580596,204.3,79.0,26.1,1.8,0
1580597,142.3,106.5,56.1,0.8,1
1580598,123.4,85.8,46.1,1.6,0
1580599,148.0,146.6,30.2,13.2,1
1580600,95.3,82.8,35.8,17.1,0
1580601,131.9,131.6,17.0,5.0,1
1580602,148.8,75.6,31.3,10.5,0
1580603,107.8,115.1,32.7,20.7,0
1580604,86.9,100.9,49.4,1.4,0
1580605,101.1,109.3,62.2,17.6,0
1580606,77.5,104.8,26.2,8.9,0
1580607,94.0,91.8,62.5,17.3,0
1580608,116.8,112.2,46.4,4.0,1
1580609,114.0,112.0,47.7,9.4,1
1580610,117.9,90.1,48.0,10.5,0
1580611,199.5,91.9,46.9,0.1,1
1580612,135.1,106.0,40.1,0.1,1
1580613,88.8,112.5,62.8,13.6,0
1580614,97.4,132.7,28.2,2.1,0
1580615,82.1,59.5,95.8,1.7,0
1580616,130.4,89.7,19.9,4.8,0
1580617,148.9,166.6,64.6,5.7,1
1580618,128.4,91.9,66.0,3.8,1
1580619,110.3,61.7,32.9,17.9,0
1580620,141.1,100.4,35.4,13.1,1
1580621,121.3,80.3,40.7,24.4,0
1580622,132.0,67.5,8.1,16.3,0
1580623,117.8,134.7,50.9,4.7,1
1580624,126.2,128.1,12.1,18.1,1
1580625,112.8,101.1,41.9,26.0,1
1580626,125.4,101.8,46.4,2.3,0
1580627,196.7,124.3,32.2,23.0,1
1580628,99.1,57.2,39.3,0.8,0
1580629,103.3,105.3,32.6,9.4,1
1580630,133.2,93.7,33.9,6.4,0
1580631,78.3,116.2,54.6,5.7,0
1580632,60.3,112.1,51.7,3.6,0
