ReitID,VacancyRate_Percent,AverageRent_K,DividendYield_Percent,AssetValue_M,RiskRating
1100056,51.3,36.0,71.5,10.5,125.7
1100057,46.7,42.0,26.2,13.3,114.7
1100058,32.7,34.0,43.3,12.7,156.0
1100059,46.8,63.0,20.1,7.7,99.0
1100060,74.0,47.0,49.8,8.6,152.8
1100061,46.3,54.0,45.0,11.6,107.5
1100062,42.2,60.0,54.3,3.0,63.6
1100063,56.6,11.0,60.5,8.0,79.7
1100064,56.7,22.0,62.5,4.1,83.1
1100065,11.2,36.0,38.9,11.8,98.5
1100066,38.9,31.0,69.8,6.4,66.9
1100067,38.1,33.0,58.6,8.6,121.8
1100068,10.2,55.0,47.8,7.7,80.8
1100069,53.3,38.0,28.5,4.7,97.4
1100070,39.0,57.0,63.1,9.9,82.5
1100071,21.8,12.0,40.7,13.0,80.2
1100072,52.1,36.0,53.9,10.0,76.4
1100073,41.2,43.0,70.7,5.8,127.5
1100074,40.9,39.0,45.6,4.8,160.4
1100075,27.6,35.0,15.9,3.5,138.5
1100076,34.7,47.0,42.9,10.8,56.4
1100077,63.8,36.0,22.9,12.6,88.8
1100078,38.3,73.0,23.3,9.0,154.9
1100079,46.0,32.0,58.1,8.5,110.0
1100080,22.1,31.0,49.9,5.7,84.6
1100081,60.7,44.0,48.6,8.7,89.4
1100082,57.8,53.0,56.5,9.1,100.5
1100083,69.5,40.0,57.3,7.0,78.2
1100084,41.2,56.0,41.4,7.3,80.1
1100085,55.5,30.0,37.6,5.8,119.9
1100086,28.3,50.0,78.4,10.5,120.6
1100087,61.7,32.0,45.6,6.4,95.8
1100088,64.2,38.0,55.1,8.0,93.1
1100089,59.9,47.0,47.4,0.5,93.9
1100090,62.3,45.0,48.8,7.8,136.7
1100091,48.7,50.0,44.7,4.9,81.9
1100092,37.7,41.0,46.5,12.4,123.4
1100093,17.2,34.0,58.1,6.4,88.1
1100094,44.9,35.0,80.7,8.4,103.3
1100095,27.6,58.0,48.7,4.9,57.0
1100096,74.0,43.0,30.9,3.0,142.3
1100097,54.7,19.0,66.8,6.0,147.0
1100098,27.5,61.0,64.2,2.2,119.5
1100099,23.5,63.0,59.3,4.9,90.1
1100100,37.1,50.0,29.3,5.2,122.1
1100101,42.1,29.0,68.0,9.4,120.6
1100102,43.1,31.0,40.2,2.4,115.4
1100103,55.5,39.0,34.9,1.7,166.3
1100104,58.4,44.0,70.9,6.6,109.6
1100105,42.8,54.0,35.0,6.4,98.7
1100106,48.6,48.0,54.9,9.6,142.7
1100107,32.9,19.0,64.4,1.9,144.4
1100108,45.9,61.0,47.3,7.9,99.4
1100109,40.8,60.0,65.3,7.2,97.4
1100110,54.5,50.0,29.1,9.0,82.9
1100111,17.2,54.0,54.8,6.4,121.0
1100112,37.9,26.0,42.4,3.8,86.9
1100113,50.9,50.0,20.9,9.0,119.2
1100114,37.9,41.0,48.9,3.1,65.3
1100115,57.7,50.0,44.8,10.8,132.1
1100116,48.4,24.0,17.1,7.1,149.1
1100117,39.3,62.0,18.3,11.0,90.5
1100118,56.4,29.0,16.2,4.1,137.4
1100119,60.1,38.0,66.4,5.6,97.9
1100120,73.4,25.0,31.4,6.7,98.0
1100121,60.4,49.0,45.0,7.6,93.2
1100122,58.1,52.0,29.8,10.2,124.0
1100123,49.4,39.0,29.5,3.2,87.5
1100124,54.5,22.0,26.6,8.7,62.6
1100125,43.0,47.0,46.2,12.5,78.7
1100126,2.2,46.0,40.8,5.0,94.8
1100127,41.2,51.0,53.2,6.5,86.2
1100128,34.4,41.0,37.6,8.5,99.3
1100129,62.4,40.0,43.2,11.9,115.1
1100130,42.6,52.0,38.5,11.1,72.6
1100131,,48.0,30.5,9.2,94.9
1100132,9.9,47.0,43.0,8.8,93.7
1100133,44.7,39.0,53.2,7.6,71.8
1100134,74.0,39.0,61.0,10.6,101.8
1100135,34.7,54.0,48.4,9.5,87.2
1100136,59.5,34.0,63.4,9.0,82.1
1100137,32.0,47.0,42.4,6.4,83.9
1100138,55.0,47.0,29.0,5.8,95.0
1100139,68.1,42.0,45.7,3.5,65.4
1100140,14.9,22.0,58.5,8.9,147.8
1100141,25.3,50.0,54.9,6.7,84.6
1100142,33.2,50.0,30.5,10.8,87.2
1100143,61.8,52.0,62.1,7.4,73.9
1100144,47.4,43.0,81.5,7.1,72.1
1100145,52.0,15.0,18.5,11.2,94.3
1100146,49.4,50.0,33.9,14.1,105.6
1100147,51.4,66.0,62.8,8.3,96.5
1100148,55.4,29.0,48.5,8.4,151.4
1100149,29.7,40.0,34.4,8.6,102.6
1100150,27.4,56.0,42.9,3.5,101.2
1100151,42.8,38.0,54.2,2.6,81.9
1100152,41.2,45.0,42.8,7.4,133.0
1100153,23.5,41.0,12.1,5.0,128.2
1100154,42.6,44.0,54.8,5.0,105.9
1100155,40.5,24.0,30.9,3.3,101.1
1100156,54.0,32.0,44.3,3.8,72.2
1100157,62.1,57.0,56.3,6.7,76.7
1100158,18.9,16.0,69.4,7.3,110.5
1100159,28.3,39.0,57.3,5.7,98.1
1100160,52.0,65.0,57.3,10.0,65.9
1100161,27.6,37.0,48.2,8.0,107.8
1100162,48.2,30.0,50.3,12.4,75.6
1100163,24.9,35.0,56.3,6.5,132.8
1100164,56.0,22.0,34.5,8.7,110.2
1100165,,39.0,53.7,7.5,93.6
1100166,53.8,52.0,68.3,10.1,137.6
1100167,49.5,38.0,61.3,9.5,50.6
1100168,59.0,35.0,43.7,6.8,116.9
1100169,68.8,43.0,50.4,10.8,121.5
1100170,45.5,40.0,65.5,2.0,135.7
1100171,59.7,49.0,48.0,8.7,89.4
1100172,55.1,42.0,22.7,8.7,70.0
1100173,45.6,39.0,38.9,0.5,117.7
1100174,47.7,47.0,69.8,9.7,115.1
1100175,36.7,51.0,19.3,4.6,100.4
1100176,61.1,41.0,33.3,3.6,97.8
1100177,61.3,71.0,55.6,7.3,103.8
1100178,30.7,60.0,25.6,6.3,129.4
1100179,33.0,24.0,56.5,10.6,77.8
1100180,66.0,57.0,33.8,5.7,151.4
1100181,70.2,65.0,39.7,11.8,80.7
1100182,37.9,54.0,61.3,7.9,109.6
1100183,54.7,36.0,59.1,5.7,80.7
1100184,31.8,33.0,36.8,5.5,70.7
1100185,41.3,62.0,24.3,5.8,89.5
1100186,39.5,35.0,32.3,7.9,83.9
1100187,53.0,49.0,41.1,9.0,110.3
1100188,36.1,29.0,40.7,8.0,87.1
1100189,44.7,67.0,24.4,8.6,96.9
1100190,43.7,49.0,31.7,8.5,116.0
1100191,57.5,31.0,0.0,5.8,101.4
1100192,49.5,39.0,44.9,10.8,117.0
1100193,44.9,32.0,59.2,14.2,102.2
1100194,55.4,37.0,31.2,11.8,107.1
1100195,51.1,46.0,82.7,9.3,147.6
1100196,35.9,48.0,35.1,9.1,77.0
1100197,,43.0,59.7,6.5,84.2
1100198,52.6,57.0,25.1,5.9,64.6
1100199,42.7,38.0,70.7,1.9,139.4
1100200,68.6,41.0,39.6,3.5,81.0
1100201,61.2,29.0,40.2,7.5,83.0
1100202,38.6,65.0,44.5,9.5,118.9
1100203,38.2,39.0,58.7,6.8,85.6
1100204,69.2,34.0,39.4,7.4,47.8
1100205,43.8,25.0,49.9,8.7,57.6
1100206,42.1,32.0,55.6,5.8,83.3
1100207,22.9,36.0,33.7,6.2,79.8
1100208,34.1,49.0,36.8,12.1,83.5
1100209,66.2,36.0,27.2,3.0,86.2
1100210,70.9,25.0,51.0,7.8,80.7
1100211,61.0,47.0,49.5,9.7,68.6
1100212,38.7,40.0,49.8,8.9,96.7
1100213,53.3,35.0,62.3,7.7,120.9
1100214,37.0,37.0,33.9,9.7,88.3
1100215,77.1,11.0,64.5,7.8,169.6
1100216,61.1,51.0,35.8,11.1,148.7
1100217,42.6,49.0,42.4,10.1,112.0
1100218,53.7,59.0,48.3,9.0,109.9
1100219,47.8,38.0,54.6,16.5,125.6
1100220,52.4,57.0,27.0,2.4,127.8
1100221,47.5,55.0,49.5,11.5,149.0
1100222,28.9,63.0,49.8,9.8,106.6
1100223,60.8,55.0,19.3,1.7,115.6
1100224,22.8,40.0,38.6,8.0,83.7
1100225,36.5,26.0,59.2,7.8,95.4
1100226,46.2,36.0,58.9,11.6,120.2
1100227,65.9,48.0,50.5,4.3,69.9
1100228,52.1,43.0,39.3,5.7,119.8
1100229,33.3,52.0,58.9,7.0,149.1
1100230,35.0,2.0,24.0,5.4,142.8
1100231,54.2,36.0,57.1,11.0,105.0
1100232,57.7,38.0,60.5,10.8,101.9
1100233,44.0,53.0,68.2,2.9,127.6
1100234,30.3,47.0,72.7,2.1,76.4
1100235,59.2,35.0,45.7,7.8,138.9
1100236,56.1,46.0,56.3,7.0,98.0
1100237,17.5,41.0,60.5,0.5,76.8
1100238,60.0,21.0,26.8,11.0,119.2
1100239,42.7,47.0,47.6,4.9,42.3
1100240,77.3,20.0,47.7,3.3,95.4
1100241,23.6,43.0,58.2,9.6,108.1
1100242,39.5,54.0,29.6,5.7,123.9
1100243,54.0,55.0,55.3,4.1,138.9
1100244,65.5,39.0,37.3,6.9,149.6
1100245,44.7,37.0,31.5,9.8,112.9
1100246,53.8,26.0,49.4,9.8,100.1
1100247,46.2,50.0,53.2,15.7,103.9
1100248,31.8,45.0,64.3,5.9,68.0
1100249,57.4,57.0,13.2,9.9,149.6
1100250,64.5,24.0,39.4,3.3,95.4
1100251,58.5,34.0,57.0,14.4,69.7
1100252,52.5,51.0,57.6,14.0,91.6
1100253,46.7,59.0,36.0,10.2,118.4
1100254,56.1,36.0,21.5,5.9,95.5
1100255,34.7,57.0,49.2,6.8,101.2
1100256,61.4,47.0,40.8,12.4,128.2
1100257,46.7,47.0,46.4,5.2,92.0
1100258,40.5,82.0,35.0,9.7,77.6
1100259,52.6,44.0,32.7,3.4,86.7
1100260,40.1,62.0,47.9,10.9,125.3
1100261,44.7,36.0,65.9,7.6,67.0
1100262,59.0,23.0,64.4,9.3,134.5
1100263,31.6,18.0,31.0,10.4,93.9
1100264,58.6,64.0,21.8,8.4,77.6
1100265,60.6,28.0,16.8,9.3,131.3
1100266,46.0,38.0,33.1,10.1,90.4
1100267,21.5,37.0,63.4,7.9,107.2
1100268,61.6,38.0,40.3,9.4,107.1
1100269,41.5,46.0,42.7,5.3,109.5
1100270,49.5,45.0,20.4,10.7,88.0
1100271,56.2,51.0,49.9,11.3,101.5
1100272,,33.0,35.5,8.5,142.4
1100273,61.9,63.0,56.0,4.1,112.9
1100274,32.9,44.0,51.5,5.6,100.6
1100275,44.0,41.0,57.0,0.5,123.8
1100276,32.5,39.0,17.6,8.7,81.4
1100277,34.4,35.0,47.7,9.2,84.1
1100278,30.2,36.0,25.8,10.5,108.2
1100279,62.8,47.0,38.5,10.1,109.2
1100280,44.0,50.0,53.0,10.5,72.0
1100281,33.6,55.0,60.8,8.0,88.8
1100282,65.8,27.0,24.2,7.7,111.8
1100283,20.2,52.0,40.8,12.0,124.8
1100284,49.8,22.0,11.3,2.4,96.6
1100285,58.5,41.0,41.9,8.0,117.7
1100286,47.5,37.0,8.1,8.1,88.2
1100287,39.5,65.0,65.7,5.8,112.1
1100288,44.0,32.0,32.6,7.2,86.0
1100289,52.9,34.0,20.6,7.9,65.1
1100290,45.8,51.0,21.8,3.4,101.5
1100291,44.3,32.0,48.3,8.6,88.1
1100292,35.2,38.0,60.7,7.1,75.9
1100293,38.8,53.0,50.6,7.3,145.6
1100294,60.9,40.0,35.1,6.8,98.8
1100295,60.7,60.0,44.6,8.8,120.6
1100296,30.2,22.0,4.5,3.8,76.2
1100297,71.9,32.0,27.5,4.4,106.2
1100298,10.2,45.0,46.0,7.7,127.1
1100299,45.9,39.0,29.9,7.7,131.3
1100300,40.0,28.0,55.3,3.7,98.1
1100301,49.7,41.0,53.5,5.6,35.5
1100302,74.7,47.0,42.6,5.3,74.1
1100303,37.3,28.0,43.1,9.8,129.6
1100304,2.6,34.0,54.3,2.8,68.8
1100305,42.1,44.0,23.9,1.1,99.2
1100306,41.3,42.0,41.7,13.4,97.1
1100307,59.2,39.0,81.7,7.4,117.6
1100308,42.7,49.0,50.2,10.0,95.9
1100309,56.8,42.0,48.0,5.7,139.4
1100310,56.9,49.0,55.6,4.1,96.1
1100311,36.9,56.0,53.7,9.6,97.1
1100312,43.2,47.0,46.5,11.5,98.5
1100313,38.3,47.0,58.8,12.0,98.5
1100314,62.4,56.0,38.9,9.1,106.1
1100315,9.1,42.0,47.0,11.4,97.5
1100316,28.7,6.0,48.4,7.3,140.6
1100317,18.3,22.0,64.4,7.8,75.0
1100318,40.8,43.0,27.6,4.5,138.7
1100319,54.9,30.0,61.6,4.4,83.8
1100320,34.8,65.0,47.0,4.4,86.4
1100321,43.2,58.0,78.2,9.0,119.2
1100322,60.3,39.0,45.2,8.0,58.1
1100323,70.0,44.0,72.0,3.7,130.5
1100324,20.3,56.0,54.6,3.9,74.8
1100325,39.1,43.0,29.3,10.4,66.0
1100326,27.3,51.0,82.2,8.2,93.6
1100327,65.7,29.0,34.1,8.1,88.3
1100328,67.6,33.0,55.8,6.3,83.1
1100329,49.0,37.0,52.6,6.1,84.0
1100330,46.4,34.0,29.0,7.6,129.7
1100331,32.5,64.0,8.3,5.6,109.1
1100332,59.6,32.0,51.4,5.7,69.1
1100333,35.7,52.0,40.0,8.2,112.6
1100334,20.3,41.0,69.3,13.4,62.8
1100335,62.9,42.0,49.0,7.7,107.9
1100336,51.8,56.0,65.2,8.6,165.7
1100337,32.0,48.0,42.4,11.7,80.9
1100338,51.3,27.0,19.1,10.0,133.5
1100339,57.9,41.0,45.3,9.8,110.3
1100340,50.4,47.0,62.9,8.0,106.5
1100341,,33.0,47.6,5.6,112.4
1100342,34.3,36.0,29.9,12.2,128.8
1100343,28.8,55.0,55.3,15.7,117.9
1100344,53.9,19.0,34.6,9.3,92.4
1100345,41.5,54.0,46.9,9.2,50.1
1100346,48.4,34.0,31.4,9.1,87.3
1100347,41.0,44.0,60.2,11.1,122.2
1100348,57.2,40.0,63.3,8.1,57.1
1100349,42.0,43.0,56.8,8.0,181.3
1100350,42.8,50.0,60.9,5.1,124.6
1100351,29.2,52.0,47.8,14.2,86.2
1100352,28.6,71.0,46.1,4.1,122.0
1100353,49.9,33.0,66.8,6.7,113.8
1100354,40.1,43.0,46.3,6.0,89.5
1100355,77.5,67.0,77.2,11.5,87.2
1100356,100.0,47.0,60.7,9.7,37.9
1100357,53.3,57.0,63.2,2.2,120.3
1100358,50.7,51.0,66.4,11.7,120.1
1100359,32.4,46.0,38.7,4.0,104.8
1100360,75.6,63.0,76.8,5.1,87.1
1100361,6.7,37.0,11.9,7.3,102.0
1100362,60.9,39.0,31.6,7.7,97.3
1100363,41.5,21.0,53.0,4.8,65.9
1100364,18.4,58.0,59.1,7.5,130.4
1100365,52.9,46.0,63.1,8.7,73.6
1100366,35.2,63.0,77.1,9.4,64.4
1100367,58.2,47.0,40.3,8.3,88.6
1100368,65.7,50.0,42.5,7.1,56.9
1100369,55.5,67.0,30.6,9.9,79.0
1100370,13.3,32.0,40.1,5.9,86.8
1100371,34.0,42.0,46.0,5.2,99.9
1100372,45.6,40.0,53.1,13.2,120.8
1100373,70.2,45.0,26.4,8.9,61.0
1100374,54.0,37.0,49.0,5.5,103.1
1100375,62.1,46.0,40.1,5.6,85.7
1100376,34.1,32.0,29.8,8.8,118.4
1100377,55.5,27.0,45.7,8.0,102.9
1100378,48.5,34.0,44.2,11.9,141.8
1100379,51.5,18.0,29.0,6.1,110.8
1100380,29.5,7.0,38.0,6.7,106.6
1100381,,46.0,68.0,3.8,72.9
1100382,35.1,39.0,38.3,5.3,88.5
1100383,33.1,42.0,37.2,9.4,90.4
1100384,45.1,66.0,36.7,7.0,96.6
1100385,44.8,37.0,35.8,12.0,127.6
1100386,51.3,42.0,42.9,9.9,112.6
1100387,66.7,47.0,55.0,8.0,93.1
1100388,34.3,33.0,43.6,11.2,59.9
1100389,36.3,59.0,47.0,9.5,101.6
1100390,41.0,42.0,64.5,0.5,97.6
1100391,85.3,48.0,62.6,5.9,120.8
1100392,31.9,28.0,22.0,0.5,99.7
1100393,51.9,57.0,55.5,9.7,77.8
1100394,38.0,47.0,42.6,6.2,64.0
1100395,43.3,64.0,54.6,6.6,93.8
1100396,59.2,55.0,43.5,7.9,89.4
1100397,47.4,42.0,25.1,6.7,127.6
1100398,52.1,38.0,48.0,7.2,85.6
1100399,24.2,50.0,31.7,6.5,107.0
1100400,23.5,40.0,56.4,3.1,50.1
1100401,53.9,43.0,44.9,10.1,72.1
1100402,31.4,47.0,32.2,12.7,117.5
1100403,37.3,44.0,24.8,8.6,114.7
1100404,55.3,37.0,20.2,8.9,167.7
1100405,74.0,28.0,41.5,10.7,71.9
1100406,35.4,17.0,69.9,7.3,139.9
1100407,56.5,35.0,46.9,1.5,120.1
1100408,34.8,14.0,63.2,15.2,83.0
1100409,,57.0,43.7,10.1,98.6
1100410,19.7,52.0,73.1,10.7,107.0
1100411,61.7,48.0,48.0,7.3,98.7
1100412,48.2,65.0,47.2,8.7,113.0
1100413,38.5,32.0,25.7,15.1,109.0
1100414,57.7,27.0,49.6,7.8,137.8
1100415,52.1,52.0,48.0,5.9,94.5
1100416,7.6,50.0,53.9,9.4,116.0
1100417,44.6,7.0,62.3,9.4,82.1
1100418,58.0,36.0,58.3,3.0,71.1
1100419,52.1,48.0,54.6,9.9,111.1
1100420,56.8,41.0,42.2,6.9,117.4
1100421,46.9,38.0,11.7,12.3,129.6
1100422,26.9,44.0,50.4,7.7,116.8
1100423,29.5,39.0,43.7,4.3,121.1
1100424,55.9,42.0,51.7,6.6,69.4
1100425,36.9,71.0,36.5,7.2,60.0
1100426,28.7,1.0,37.8,6.5,123.1
1100427,48.0,59.0,22.8,8.1,110.6
1100428,39.3,47.0,18.5,6.0,125.0
1100429,70.1,39.0,57.8,8.2,67.0
1100430,26.8,45.0,47.4,10.6,33.9
1100431,52.8,40.0,49.2,6.1,89.3
1100432,29.8,40.0,54.5,7.1,99.2
1100433,64.6,52.0,23.4,7.4,34.4
1100434,46.7,48.0,26.2,8.0,74.7
1100435,32.8,41.0,48.4,4.2,94.9
1100436,40.3,37.0,50.5,7.4,101.9
1100437,52.1,51.0,30.4,9.4,120.5
1100438,25.8,59.0,61.7,2.5,116.8
1100439,30.8,43.0,18.3,10.9,103.2
1100440,58.9,30.0,51.4,8.6,106.3
1100441,40.4,66.0,27.9,15.9,109.0
1100442,52.2,40.0,50.3,14.2,61.7
1100443,66.2,62.0,69.7,11.1,33.3
1100444,25.9,49.0,55.8,10.8,116.3
1100445,34.3,32.0,63.1,1.9,70.8
1100446,20.1,46.0,37.3,7.6,105.1
1100447,34.8,48.0,56.5,10.7,66.1
1100448,42.0,57.0,48.8,11.4,96.9
1100449,33.0,42.0,46.0,9.3,108.4
1100450,48.2,48.0,52.4,9.9,126.4
1100451,66.7,36.0,7.5,8.5,117.4
1100452,16.9,23.0,45.6,10.2,104.0
1100453,67.2,42.0,38.7,9.3,125.4
1100454,49.5,35.0,44.4,9.0,75.0
1100455,32.9,49.0,63.1,5.2,94.2
1100456,43.3,69.0,51.8,8.7,106.9
1100457,36.7,50.0,32.3,0.9,52.3
1100458,46.2,48.0,55.2,5.8,111.1
1100459,57.8,36.0,38.6,14.1,113.5
1100460,35.7,41.0,48.0,14.6,98.2
1100461,8.8,45.0,37.7,11.5,93.8
1100462,63.3,20.0,27.6,13.8,101.9
1100463,39.3,30.0,39.3,9.6,98.9
1100464,71.2,63.0,41.0,5.1,97.2
1100465,46.1,25.0,18.3,11.8,75.5
1100466,20.4,53.0,57.6,9.2,90.9
1100467,61.2,57.0,45.2,7.2,97.1
1100468,48.1,60.0,59.1,9.5,128.9
1100469,18.0,24.0,56.7,3.2,113.7
1100470,32.1,36.0,51.0,2.6,64.7
1100471,32.0,39.0,22.6,8.2,115.2
1100472,44.9,45.0,34.1,8.2,123.8
1100473,48.0,22.0,30.8,5.3,106.6
1100474,30.3,36.0,31.5,11.5,95.3
1100475,51.3,48.0,26.9,9.5,95.5
1100476,53.1,41.0,58.4,9.4,85.0
1100477,40.4,14.0,45.6,6.5,118.8
1100478,36.6,13.0,40.3,9.9,98.0
1100479,21.7,39.0,59.1,9.1,149.3
1100480,65.6,21.0,58.3,9.5,84.5
1100481,58.1,59.0,34.4,10.0,89.4
1100482,28.5,31.0,67.6,4.8,164.6
1100483,44.9,33.0,55.4,12.1,115.2
1100484,59.4,18.0,38.5,5.8,118.5
1100485,44.4,47.0,42.8,0.8,87.6
1100486,52.5,53.0,47.2,8.9,81.8
1100487,69.0,35.0,35.6,5.8,97.4
1100488,39.6,55.0,49.7,7.7,95.1
1100489,51.7,43.0,27.8,12.8,93.7
1100490,63.3,51.0,57.1,10.9,138.4
1100491,48.3,46.0,47.7,6.5,96.1
1100492,30.0,47.0,36.2,14.0,104.9
1100493,36.9,35.0,49.9,16.9,85.3
1100494,59.3,43.0,30.0,10.0,105.2
1100495,47.4,35.0,53.8,10.8,66.2
1100496,38.1,73.0,41.9,8.6,95.5
1100497,62.9,48.0,24.0,13.9,70.6
1100498,0.0,37.0,33.4,8.8,55.0
1100499,51.9,31.0,68.5,9.9,90.5
1100500,54.1,45.0,34.3,9.8,103.4
1100501,27.4,36.0,42.4,8.3,94.1
1100502,33.3,51.0,48.2,3.9,116.0
1100503,30.4,41.0,32.5,7.1,120.0
1100504,34.4,32.0,37.2,9.0,103.2
1100505,32.7,44.0,47.3,8.6,95.8
1100506,35.1,59.0,58.5,9.7,101.6
1100507,50.8,54.0,52.0,8.3,139.9
1100508,36.0,46.0,27.3,4.7,97.9
1100509,56.3,1.0,40.1,6.7,98.8
1100510,66.3,44.0,18.9,11.1,93.2
1100511,36.5,17.0,42.7,5.4,51.9
1100512,59.5,27.0,40.0,10.8,96.4
1100513,50.7,46.0,24.8,6.5,94.5
1100514,52.9,20.0,35.1,7.5,152.6
1100515,47.4,17.0,26.0,8.2,107.9
1100516,49.7,46.0,38.7,9.1,74.2
1100517,36.5,39.0,57.7,13.0,120.9
1100518,66.8,33.0,41.3,8.2,93.9
1100519,46.2,26.0,60.5,9.6,103.2
1100520,43.4,55.0,46.4,11.2,96.9
1100521,53.6,36.0,61.6,6.8,108.9
1100522,45.8,47.0,64.8,4.6,122.0
1100523,52.7,39.0,49.5,8.3,81.1
1100524,13.6,45.0,29.5,7.7,135.0
1100525,19.9,58.0,30.7,10.6,81.4
1100526,38.7,37.0,37.8,6.7,117.7
1100527,41.3,48.0,68.4,7.0,78.7
1100528,27.1,28.0,27.6,10.2,74.5
1100529,0.0,23.0,24.5,9.1,108.0
1100530,41.2,53.0,26.3,8.3,85.4
1100531,46.6,19.0,23.8,12.5,73.4
1100532,17.5,46.0,22.9,8.7,128.3
1100533,39.7,31.0,43.2,8.3,158.1
1100534,34.3,37.0,54.0,12.3,94.8
1100535,43.9,31.0,56.6,11.5,88.6
1100536,74.6,35.0,46.5,8.5,102.1
1100537,48.3,38.0,47.0,11.7,120.7
1100538,23.0,24.0,51.8,14.3,85.5
1100539,33.7,17.0,28.2,10.6,116.7
1100540,51.5,49.0,56.3,6.2,97.9
1100541,68.5,41.0,50.8,15.7,106.6
1100542,43.1,46.0,45.5,7.4,109.0
1100543,78.0,56.0,69.7,13.6,92.3
1100544,40.5,49.0,55.1,8.1,132.1
1100545,35.0,32.0,64.8,10.6,69.2
1100546,2.6,32.0,57.4,8.2,122.1
1100547,,49.0,17.3,8.8,76.0
1100548,46.2,46.0,24.3,7.7,111.2
1100549,50.0,23.0,32.7,10.3,94.2
1100550,50.1,55.0,51.5,8.0,100.3
1100551,69.4,43.0,34.5,10.6,73.6
1100552,28.8,43.0,52.3,8.5,101.1
1100553,72.1,46.0,40.8,9.5,97.8
1100554,56.2,47.0,60.4,12.4,121.7
1100555,35.3,21.0,46.4,9.0,64.2
1100556,47.2,51.0,45.4,8.3,67.6
1100557,43.8,43.0,58.3,0.5,109.2
1100558,30.6,38.0,37.6,6.5,112.3
1100559,58.6,46.0,31.0,10.8,103.6
1100560,51.2,63.0,50.6,3.4,99.1
1100561,65.4,44.0,45.8,6.3,98.6
1100562,44.0,62.0,15.8,6.0,83.2
1100563,37.1,52.0,66.0,11.2,98.5
1100564,42.6,26.0,32.7,9.1,113.1
1100565,41.4,22.0,32.5,8.6,113.3
1100566,62.4,28.0,31.8,16.0,78.1
1100567,31.8,29.0,61.3,10.6,160.3
1100568,60.1,27.0,61.4,6.0,58.0
1100569,19.1,31.0,50.0,7.4,97.7
1100570,50.1,49.0,2.5,7.0,128.4
1100571,41.4,43.0,47.7,10.6,123.9
1100572,42.5,59.0,43.6,9.4,93.1
1100573,42.3,57.0,62.4,10.0,124.8
1100574,40.6,62.0,40.3,5.7,98.7
1100575,53.0,38.0,50.3,5.7,125.2
1100576,39.6,30.0,42.7,11.2,137.0
1100577,61.5,42.0,48.5,9.9,76.2
1100578,33.1,47.0,20.1,3.2,106.7
1100579,36.6,69.0,51.6,4.4,95.5
1100580,31.7,61.0,19.1,9.6,45.3
