Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Video Game 199,Wii,2019,Action,0.55,0.25,0.05,0.91
Video Game 200,PS4,2006,Shooter,0.76,0.63,0.08,1.64
Video Game 201,PS3,2005,Sports,0.06,0.03,0.01,0.19
Video Game 202,PS4,2009,Shooter,0.03,0.02,0.0,0.13
Video Game 203,Switch,2011,Misc,0.22,0.19,0.02,0.5
Video Game 204,Wii,1996,Action,0.06,0.04,0.01,0.3
Video Game 205,Switch,2004,Role-Playing,0.39,0.26,0.47,1.19
Video Game 206,XOne,2004,Shooter,0.17,0.14,0.02,0.47
Video Game 207,XOne,1997,Misc,1.54,0.77,0.15,2.59
Video Game 208,PS3,1999,Action,0.28,0.22,0.03,0.62
Video Game 209,Wii,1999,Sports,0.04,0.02,0.0,0.17
Video Game 210,PC,2011,Sports,1.07,0.93,0.11,2.23
Video Game 211,PS3,2003,Sports,1.27,0.73,0.13,2.27
Video Game 212,PS3,1997,Platform,0.14,0.11,0.01,0.41
Video Game 213,PC,2019,Shooter,0.02,0.01,0.0,0.14
Video Game 214,XOne,2004,Sports,0.28,0.17,0.03,0.62
Video Game 215,PS4,2018,Misc,0.99,0.72,0.1,1.89
Video Game 216,Wii,2016,Sports,0.12,0.11,0.01,0.38
Video Game 217,PC,2007,Sports,1.44,1.26,0.14,2.94
Video Game 218,Wii,1999,Platform,0.68,0.41,0.07,1.23
Video Game 219,Wii,2008,Role-Playing,0.07,0.05,0.06,0.31
Video Game 220,PS4,1998,Misc,0.19,0.1,0.02,0.42
Video Game 221,Wii,2013,Sports,0.86,0.4,0.09,1.48
Video Game 222,Wii,2016,Misc,0.12,0.1,0.01,0.31
Video Game 223,PS4,2018,Misc,0.13,0.11,0.01,0.44
Video Game 224,Switch,2004,Misc,2.02,1.38,0.2,3.77
Video Game 225,XOne,1997,Role-Playing,0.5,0.26,0.56,1.49
Video Game 226,PC,2016,Role-Playing,1.01,0.66,0.86,2.65
Video Game 227,Wii,2003,Action,0.67,0.38,0.07,1.31
Video Game 228,PC,1995,Misc,0.23,0.14,0.02,0.59
Video Game 229,XOne,2003,Role-Playing,0.03,0.02,0.03,0.27
Video Game 230,Switch,2020,Action,1.16,0.55,0.12,2.01
Video Game 231,Wii,2007,Platform,0.22,0.09,0.02,0.43
Video Game 232,Wii,2008,Action,0.4,0.23,0.04,0.78
Video Game 233,XOne,2015,Platform,0.2,0.12,0.02,0.5
Video Game 234,XOne,1995,Shooter,1.06,0.59,0.11,1.83
Video Game 235,Wii,2013,Platform,0.1,0.06,0.01,0.36
Video Game 236,Wii,2000,Platform,0.06,0.03,0.01,0.16
Video Game 237,XOne,2012,Shooter,0.56,0.27,0.06,1.05
Video Game 238,PS4,2013,Action,1.4,1.23,0.14,2.97
Video Game 239,Wii,1996,Platform,1.06,0.93,0.11,2.21
Video Game 240,Wii,2015,Misc,0.09,0.04,0.01,0.3
Video Game 241,PS4,2013,Misc,0.15,0.07,0.02,0.42
Video Game 242,Wii,2009,Sports,0.5,0.27,0.05,1.01
Video Game 243,Wii,1998,Role-Playing,0.84,0.51,0.86,2.27
Video Game 244,Wii,2002,Sports,0.02,0.01,0.0,0.15
Video Game 245,PS3,1995,Action,1.22,0.9,0.12,2.36
Video Game 246,Switch,2013,Action,0.93,0.65,0.09,1.86
Video Game 247,XOne,2008,Shooter,0.51,0.21,0.05,0.91
Video Game 248,Wii,2011,Role-Playing,1.2,0.78,1.11,3.23
Video Game 249,PC,2005,Action,0.6,0.49,0.06,1.33
Video Game 250,PS3,2003,Shooter,0.19,0.16,0.02,0.47
Video Game 251,PC,2019,Role-Playing,0.52,0.26,0.71,1.57
Video Game 252,PS4,2007,Role-Playing,0.42,0.37,0.6,1.48
Video Game 253,PC,2017,Platform,0.08,0.05,0.01,0.23
Video Game 254,PS4,2019,Action,0.34,0.3,0.03,0.87
Video Game 255,PS3,2018,Misc,1.0,0.4,0.1,1.65
Video Game 256,PS3,2016,Role-Playing,0.53,0.47,0.56,1.7
Video Game 257,XOne,1997,Shooter,0.05,0.02,0.0,0.15
Video Game 258,PS4,2004,Misc,0.04,0.02,0.0,0.16
Video Game 259,Wii,2013,Sports,0.75,0.62,0.07,1.54
Video Game 260,PC,2014,Sports,1.09,0.46,0.11,1.82
Video Game 261,PC,2013,Shooter,0.4,0.23,0.04,0.8
Video Game 262,XOne,2000,Shooter,0.51,0.43,0.05,1.12
Video Game 263,PS3,2009,Platform,1.49,0.79,0.15,2.52
Video Game 264,PC,2018,Shooter,0.04,0.03,0.0,0.16
Video Game 265,PS3,2003,Action,0.09,0.04,0.01,0.25
Video Game 266,XOne,2003,Platform,0.03,0.02,0.0,0.23
Video Game 267,XOne,2020,Sports,0.29,0.23,0.03,0.7
Video Game 268,PC,2012,Sports,0.3,0.2,0.03,0.72
Video Game 269,PC,2007,Platform,0.16,0.1,0.02,0.34
Video Game 270,Switch,1999,Platform,0.17,0.12,0.02,0.5
Video Game 271,PS4,2004,Sports,0.01,0.01,0.0,0.13
Video Game 272,PS3,2009,Role-Playing,0.18,0.11,0.19,0.61
Video Game 273,Switch,2016,Misc,0.88,0.48,0.09,1.59
Video Game 274,Wii,2012,Role-Playing,1.27,0.65,1.31,3.41
Video Game 275,Switch,2007,Role-Playing,0.41,0.37,0.38,1.28
Video Game 276,Switch,2020,Misc,0.19,0.16,0.02,0.51
Video Game 277,Switch,2014,Shooter,0.7,0.59,0.07,1.43
Video Game 278,Switch,2011,Shooter,1.59,0.7,0.16,2.61
Video Game 279,XOne,2016,Misc,0.61,0.26,0.06,1.05
Video Game 280,Switch,2015,Role-Playing,0.45,0.27,0.56,1.47
Video Game 281,PS4,2005,Role-Playing,0.11,0.08,0.15,0.47
Video Game 282,PC,2019,Role-Playing,0.38,0.27,0.42,1.22
Video Game 283,Wii,1997,Misc,0.63,0.46,0.06,1.26
Video Game 284,PS3,2017,Role-Playing,0.75,0.54,0.91,2.28
Video Game 285,XOne,1996,Sports,1.32,0.6,0.13,2.22
Video Game 286,PC,2015,Misc,0.04,0.02,0.0,0.19
Video Game 287,PS4,2005,Platform,0.31,0.23,0.03,0.76
Video Game 288,Wii,1999,Role-Playing,1.22,0.56,1.65,3.5
Video Game 289,Wii,2011,Sports,0.57,0.44,0.06,1.2
Video Game 290,XOne,2009,Platform,0.05,0.04,0.0,0.15
Video Game 291,Switch,2004,Misc,1.06,0.66,0.11,1.9
Video Game 292,Switch,2014,Shooter,0.66,0.49,0.07,1.41
Video Game 293,Wii,2007,Shooter,0.13,0.07,0.01,0.26
Video Game 294,Wii,2011,Action,0.98,0.73,0.1,1.86
Video Game 295,Switch,2004,Platform,0.22,0.09,0.02,0.51
Video Game 296,Switch,2007,Action,0.26,0.19,0.03,0.57
Video Game 297,Switch,2010,Platform,0.63,0.43,0.06,1.24
Video Game 298,PS3,2009,Action,0.83,0.53,0.08,1.59
Video Game 299,PC,2010,Misc,1.03,0.83,0.1,2.03
Video Game 300,PS4,2000,Role-Playing,2.39,1.76,2.89,7.2
Video Game 301,Wii,2014,Platform,0.39,0.16,0.04,0.65
Video Game 302,Switch,2005,Shooter,1.17,0.64,0.12,2.11
Video Game 303,Switch,2014,Platform,0.08,0.04,0.01,0.3
Video Game 304,PC,2002,Sports,0.33,0.2,0.03,0.62
Video Game 305,Wii,2016,Platform,0.58,0.3,0.06,1.03
Video Game 306,PS4,1996,Shooter,0.19,0.14,0.02,0.47
Video Game 307,XOne,2014,Platform,1.12,0.58,0.11,1.94
Video Game 308,PC,2018,Misc,0.04,0.03,0.0,0.22
Video Game 309,Wii,2012,Misc,0.5,0.39,0.05,1.14
Video Game 310,Wii,2020,Role-Playing,0.3,0.24,0.32,1.0
Video Game 311,PC,2006,Role-Playing,0.57,0.33,0.77,1.82
Video Game 312,PC,1998,Action,0.32,0.28,0.03,0.8
Video Game 313,PS4,2008,Role-Playing,0.36,0.15,0.44,1.15
Video Game 314,PS3,2000,Platform,0.3,0.18,0.03,0.65
Video Game 315,Switch,2007,Misc,1.47,1.0,0.15,2.78
Video Game 316,Switch,2011,Shooter,0.76,0.62,0.08,1.58
Video Game 317,PC,2012,Sports,0.05,0.04,0.01,0.28
Video Game 318,PS4,1995,Role-Playing,0.65,0.56,0.91,2.18
Video Game 319,PS4,2018,Shooter,0.09,0.07,0.01,0.25
Video Game 320,Switch,2012,Shooter,0.44,0.29,0.04,0.89
Video Game 321,PS4,1996,Misc,0.05,0.04,0.01,0.21
Video Game 322,XOne,2018,Shooter,0.89,0.42,0.09,1.48
Video Game 323,PS4,2016,Misc,0.31,0.19,0.03,0.59
Video Game 324,PS3,2017,Shooter,1.1,0.69,0.11,2.09
Video Game 325,Wii,2006,Platform,0.6,0.26,0.06,0.97
Video Game 326,XOne,2014,Action,1.19,0.76,0.12,2.15
Video Game 327,XOne,1999,Misc,0.41,0.27,0.04,0.8
Video Game 328,PS3,1995,Sports,0.27,0.18,0.03,0.58
Video Game 329,PS3,2010,Sports,0.13,0.09,0.01,0.37
Video Game 330,Switch,2018,Sports,0.32,0.25,0.03,0.66
Video Game 331,Switch,2015,Misc,0.38,0.22,0.04,0.74
Video Game 332,PC,2006,Role-Playing,1.41,1.2,1.25,4.01
Video Game 333,Wii,2008,Action,0.4,0.3,0.04,0.91
Video Game 334,PC,1995,Shooter,0.79,0.69,0.08,1.66
Video Game 335,Wii,2009,Role-Playing,1.41,1.08,2.09,4.7
Video Game 336,XOne,2010,Platform,1.03,0.81,0.1,2.12
Video Game 337,PS4,2012,Sports,0.15,0.08,0.01,0.34
Video Game 338,XOne,1997,Action,0.3,0.21,0.03,0.66
Video Game 339,Switch,2009,Sports,0.5,0.23,0.05,0.84
Video Game 340,PS3,2018,Role-Playing,2.21,1.05,1.92,5.34
Video Game 341,PC,2003,Misc,0.58,0.28,0.06,1.08
Video Game 342,PC,2013,Sports,0.0,0.0,0.0,0.08
Video Game 343,PS3,2016,Platform,0.31,0.25,0.03,0.7
Video Game 344,PS4,2019,Platform,0.39,0.3,0.04,0.93
Video Game 345,PS4,2011,Misc,0.32,0.18,0.03,0.67
Video Game 346,PC,2003,Platform,1.51,1.16,0.15,3.02
Video Game 347,Wii,2008,Role-Playing,1.26,1.03,1.55,4.01
Video Game 348,Wii,1998,Sports,0.53,0.32,0.05,1.07
Video Game 349,PC,2005,Role-Playing,0.4,0.24,0.57,1.39
Video Game 350,PC,2016,Role-Playing,0.82,0.45,1.17,2.59
Video Game 351,PS4,2018,Sports,0.58,0.5,0.06,1.33
Video Game 352,PS4,2009,Shooter,1.81,1.07,0.18,3.25
Video Game 353,PS4,2009,Shooter,0.84,0.5,0.08,1.5
Video Game 354,Switch,2016,Platform,0.42,0.38,0.04,1.02
Video Game 355,XOne,1999,Shooter,0.98,0.79,0.1,1.93
Video Game 356,PS4,1995,Sports,0.05,0.03,0.01,0.15
Video Game 357,PS4,2019,Action,0.22,0.14,0.02,0.43
Video Game 358,PC,2020,Misc,1.06,0.51,0.11,1.82
Video Game 359,XOne,2010,Shooter,0.18,0.12,0.02,0.49
Video Game 360,PS4,2004,Role-Playing,0.62,0.31,0.8,1.92
Video Game 361,XOne,1995,Platform,1.34,1.19,0.13,2.78
Video Game 362,PS4,2002,Misc,0.39,0.25,0.04,0.78
Video Game 363,PS3,2019,Sports,0.26,0.21,0.03,0.67
Video Game 364,PS4,2012,Action,0.62,0.27,0.06,1.05
Video Game 365,PS3,2011,Shooter,0.06,0.05,0.01,0.29
Video Game 366,Switch,2017,Sports,0.39,0.17,0.04,0.67
Video Game 367,XOne,2016,Platform,0.39,0.32,0.04,0.88
Video Game 368,Switch,2010,Misc,0.27,0.19,0.03,0.65
Video Game 369,Wii,2003,Shooter,0.16,0.08,0.02,0.41
Video Game 370,PS4,2012,Role-Playing,0.34,0.19,0.45,1.09
Video Game 371,PS4,2018,Role-Playing,0.37,0.15,0.36,0.97
Video Game 372,Switch,2008,Role-Playing,0.66,0.5,0.63,1.97
Video Game 373,Wii,2003,Sports,0.82,0.34,0.08,1.3
Video Game 374,Wii,1997,Misc,0.05,0.03,0.0,0.2
Video Game 375,PS3,2012,Role-Playing,1.0,0.82,1.2,3.08
Video Game 376,XOne,2007,Misc,0.28,0.13,0.03,0.62
Video Game 377,PS4,1996,Action,0.19,0.15,0.02,0.51
Video Game 378,Switch,2014,Role-Playing,3.12,2.34,4.43,10.01
Video Game 379,XOne,2001,Action,0.92,0.65,0.09,1.73
Video Game 380,XOne,2010,Shooter,0.07,0.06,0.01,0.25
Video Game 381,PC,1998,Action,0.6,0.48,0.06,1.34
Video Game 382,PS3,2013,Role-Playing,0.17,0.15,0.19,0.57
Video Game 383,XOne,2019,Role-Playing,0.43,0.2,0.45,1.14
Video Game 384,PC,1998,Sports,0.43,0.37,0.04,0.91
Video Game 385,Switch,1997,Role-Playing,0.6,0.39,0.75,1.79
Video Game 386,Switch,2003,Misc,0.07,0.06,0.01,0.29
Video Game 387,Switch,2017,Misc,0.21,0.14,0.02,0.43
Video Game 388,Wii,2003,Platform,0.09,0.05,0.01,0.24
Video Game 389,Switch,2008,Shooter,0.33,0.2,0.03,0.75
Video Game 390,Wii,1997,Platform,0.22,0.14,0.02,0.52
Video Game 391,PC,1996,Role-Playing,0.26,0.21,0.25,0.8
Video Game 392,PS4,1995,Sports,0.17,0.11,0.02,0.39
Video Game 393,XOne,1996,Platform,1.32,1.02,0.13,2.54
Video Game 394,PS3,2017,Platform,0.05,0.02,0.0,0.27
Video Game 395,XOne,1996,Role-Playing,1.39,1.1,1.93,4.57
Video Game 396,PS4,1998,Role-Playing,0.14,0.13,0.12,0.56
Video Game 397,XOne,2010,Platform,0.26,0.17,0.03,0.64
Video Game 398,PS3,2018,Shooter,0.41,0.28,0.04,0.9
Video Game 399,PC,1997,Role-Playing,0.15,0.08,0.17,0.52
Video Game 400,PS3,2012,Shooter,0.8,0.67,0.08,1.61
Video Game 401,Wii,2014,Platform,0.51,0.41,0.05,1.15
Video Game 402,PS4,2003,Role-Playing,1.56,0.99,1.65,4.29
Video Game 403,PC,2019,Sports,0.28,0.11,0.03,0.51
Video Game 404,PC,2013,Sports,0.42,0.31,0.04,0.83
