StreamID,ConcurrentViewers,ChatRatePerMinute,ToxicityRatio_Percent,NetworkLatency_ms,ServerLoadLevel
1690385,4.4,58.0,36.1,98.3,1
1690386,3.12,40.1,55.5,68.2,0
1690387,5.3,28.7,44.5,124.9,1
1690388,4.6,59.2,28.9,107.1,0
1690389,3.15,45.9,66.2,78.9,0
1690390,6.84,29.7,39.2,67.2,1
1690391,3.32,33.5,47.9,118.4,1
1690392,4.31,66.2,38.3,87.1,0
1690393,6.65,32.2,28.0,140.0,1
1690394,5.17,46.2,53.0,92.0,0
1690395,4.02,38.4,33.5,104.6,0
1690396,3.95,34.1,35.4,111.6,0
1690397,5.73,49.4,24.0,71.2,1
1690398,4.67,41.9,67.0,114.0,1
1690399,6.34,54.0,62.4,73.8,1
1690400,8.33,48.0,32.9,103.8,0
1690401,5.18,50.8,25.5,108.9,0
1690402,5.71,45.3,38.0,85.4,1
1690403,3.35,66.9,54.6,96.8,0
1690404,4.56,33.4,55.1,108.5,1
1690405,4.13,15.9,9.7,145.1,0
1690406,3.23,62.0,20.3,56.8,0
1690407,4.87,67.8,28.9,89.1,0
1690408,5.19,49.4,58.6,114.9,1
1690409,5.51,32.1,57.1,106.9,0
1690410,4.14,62.1,47.3,80.6,1
1690411,6.09,54.7,50.3,108.9,0
1690412,4.33,46.1,31.2,95.6,1
1690413,4.86,34.6,58.3,83.0,1
1690414,4.64,25.9,28.4,96.4,0
1690415,6.04,40.8,63.0,107.0,0
1690416,5.05,44.2,42.6,82.3,1
1690417,2.55,68.0,38.6,120.4,0
1690418,4.36,68.9,58.7,80.6,0
1690419,3.57,78.4,63.1,89.8,0
1690420,2.85,76.9,61.3,96.6,0
1690421,4.42,37.6,36.9,124.7,1
1690422,4.37,58.7,46.1,97.8,0
1690423,4.39,15.0,77.5,119.1,0
1690424,3.77,35.1,58.0,87.1,1
1690425,3.54,31.2,48.3,87.8,1
1690426,4.8,28.5,35.5,133.7,0
1690427,4.05,57.5,43.1,107.6,0
1690428,4.54,22.9,40.9,119.0,0
1690429,6.54,41.2,28.8,103.4,1
1690430,5.2,32.9,30.9,104.3,0
1690431,4.43,43.1,46.9,110.9,1
1690432,4.66,30.4,31.6,102.1,0
1690433,5.26,49.1,45.5,128.8,1
1690434,6.56,59.7,59.6,82.1,0
1690435,4.42,58.6,36.4,97.1,0
1690436,4.24,55.3,31.6,74.5,0
1690437,2.99,25.7,49.4,95.6,0
1690438,5.37,47.5,43.6,92.5,1
1690439,6.39,45.0,63.0,117.6,0
1690440,2.93,36.9,48.1,118.5,1
1690441,4.83,28.5,37.6,79.0,1
1690442,3.46,27.5,45.9,136.5,1
1690443,2.41,41.6,27.4,110.5,0
1690444,5.61,64.6,42.0,50.6,1
1690445,5.19,32.5,29.3,58.8,0
1690446,4.53,31.9,50.8,129.7,1
1690447,4.19,61.9,72.7,78.2,0
1690448,5.17,24.0,30.0,131.0,0
1690449,3.85,57.2,32.4,143.3,1
1690450,2.71,60.6,43.2,86.0,1
1690451,3.89,54.0,61.0,62.2,1
1690452,3.68,34.6,55.3,123.1,0
1690453,3.48,53.5,51.9,75.5,1
1690454,3.54,43.1,28.7,81.2,1
1690455,4.2,62.6,54.8,132.4,0
1690456,2.14,15.4,62.6,92.5,0
1690457,5.65,56.5,36.0,101.7,1
1690458,3.12,43.1,33.5,96.3,0
1690459,5.61,73.2,48.4,85.5,1
1690460,4.24,38.9,47.5,96.5,0
1690461,3.59,67.3,54.9,78.3,1
1690462,5.52,43.5,35.5,95.6,0
1690463,5.14,47.3,48.1,114.3,0
1690464,6.74,45.7,29.4,125.1,1
1690465,4.85,51.5,42.9,79.7,1
1690466,4.85,65.9,38.7,122.4,1
1690467,4.06,33.4,23.8,67.1,1
1690468,3.88,64.2,61.1,99.1,0
1690469,4.04,,75.0,85.6,1
1690470,5.11,60.4,47.1,154.0,1
1690471,5.03,38.3,34.4,128.9,1
1690472,6.14,32.1,73.3,143.0,1
1690473,3.95,25.5,49.0,95.5,0
1690474,2.76,58.4,48.9,64.5,0
1690475,6.72,56.6,47.3,82.1,0
1690476,4.63,62.8,27.3,72.9,0
1690477,5.71,41.9,32.4,128.0,0
1690478,6.64,36.2,49.9,117.0,1
1690479,5.46,54.7,59.2,47.7,0
1690480,3.94,37.6,48.2,47.7,1
1690481,3.71,34.0,44.2,143.2,0
1690482,2.7,27.7,49.3,86.4,0
1690483,3.85,45.4,65.0,90.5,1
1690484,3.95,57.3,6.1,97.7,1
1690485,5.14,20.5,28.9,103.2,0
1690486,3.38,29.9,20.9,117.5,0
1690487,3.14,53.5,33.2,81.6,0
1690488,5.49,55.3,65.2,100.4,1
1690489,2.53,40.6,27.3,60.2,0
1690490,3.14,74.0,67.8,105.6,0
1690491,2.28,48.7,42.7,115.7,0
1690492,4.46,35.8,34.7,149.5,0
1690493,1.13,16.6,67.1,112.1,0
1690494,3.26,41.6,27.5,146.2,0
1690495,4.02,47.2,44.5,69.3,0
1690496,6.5,42.4,47.2,90.7,1
1690497,2.35,40.7,55.1,67.8,1
1690498,3.51,57.9,49.1,105.7,0
1690499,3.36,49.3,27.6,98.3,0
1690500,4.55,17.0,51.1,92.7,0
1690501,3.28,51.0,33.9,96.8,0
1690502,2.23,78.4,43.8,82.1,1
1690503,2.97,38.7,37.1,71.3,0
1690504,3.92,24.2,52.1,101.3,1
1690505,4.87,36.1,4.8,111.2,0
1690506,4.37,55.4,33.7,117.2,1
1690507,4.31,36.3,44.7,134.5,0
1690508,4.88,53.1,36.9,86.5,0
1690509,4.48,44.1,41.6,148.2,1
1690510,4.76,60.8,24.2,109.8,0
1690511,5.38,36.7,47.3,102.0,1
1690512,4.84,39.0,51.6,120.3,1
1690513,7.15,26.1,44.6,120.9,0
1690514,4.67,48.9,52.5,104.9,1
1690515,6.51,54.1,49.7,50.9,0
1690516,3.78,33.5,30.4,99.8,0
1690517,4.68,42.0,59.6,131.9,1
1690518,7.21,26.6,65.8,111.6,1
1690519,2.39,49.7,54.4,131.4,1
1690520,5.36,9.9,33.3,90.9,0
1690521,3.98,26.3,25.7,51.4,0
1690522,5.27,63.2,43.3,133.7,1
1690523,3.82,41.4,49.5,69.1,1
1690524,4.25,52.9,48.5,80.4,1
1690525,2.62,23.8,58.6,165.5,1
1690526,4.35,48.2,25.4,111.8,1
1690527,4.86,47.4,43.7,60.2,1
1690528,5.08,57.9,25.7,181.6,0
1690529,4.39,49.0,63.8,107.7,0
1690530,4.1,41.1,65.0,95.4,0
1690531,5.95,38.1,33.0,116.1,1
1690532,4.53,41.9,58.4,81.7,0
1690533,3.18,61.8,0.0,108.1,1
1690534,5.8,61.9,46.7,129.4,0
1690535,4.86,47.3,44.7,106.9,0
1690536,2.72,33.2,20.6,70.4,0
1690537,4.5,29.5,35.3,114.2,0
1690538,2.91,19.7,37.4,61.6,1
1690539,5.09,30.5,43.3,106.5,1
1690540,4.48,39.2,71.8,99.7,1
1690541,4.18,56.2,34.8,100.4,1
1690542,4.54,48.4,61.5,120.8,1
1690543,5.07,27.7,54.0,18.9,1
1690544,4.14,53.8,60.7,91.7,1
1690545,5.08,55.4,43.1,129.0,0
1690546,5.46,50.3,35.8,121.7,1
1690547,5.33,44.9,52.1,105.5,1
1690548,5.37,21.1,40.3,129.0,1
1690549,4.94,16.2,35.7,100.0,0
1690550,4.6,57.1,59.9,134.6,0
1690551,5.88,46.8,77.4,138.6,0
1690552,6.25,60.4,37.7,87.4,1
1690553,5.69,34.8,60.2,111.5,1
1690554,5.38,46.9,56.5,125.2,0
1690555,7.05,69.6,33.8,51.9,0
1690556,5.33,62.8,65.2,62.7,1
1690557,3.87,36.9,60.1,98.6,0
1690558,5.2,53.9,37.2,84.9,0
1690559,5.43,65.0,60.8,121.2,1
1690560,3.73,50.2,51.9,102.0,1
1690561,3.59,44.9,48.1,120.6,1
1690562,4.05,58.1,53.8,77.4,1
1690563,2.27,28.1,43.7,77.6,1
1690564,3.7,73.9,62.9,96.5,1
1690565,3.77,43.5,61.8,114.5,0
1690566,3.64,39.0,45.4,92.7,1
1690567,3.2,57.3,35.1,123.7,0
1690568,3.51,14.2,18.0,96.6,0
1690569,4.3,60.7,19.7,128.5,0
1690570,4.41,22.6,12.8,95.3,1
1690571,3.39,52.3,63.7,104.5,0
1690572,5.02,42.9,36.8,90.1,1
1690573,3.5,6.1,39.8,122.7,0
1690574,2.25,41.6,39.6,121.9,0
1690575,5.79,19.1,25.8,109.7,1
1690576,3.06,46.6,56.4,97.1,1
1690577,4.1,44.6,38.0,153.8,1
1690578,4.67,62.5,26.8,148.5,1
1690579,4.35,34.5,43.4,104.6,0
1690580,4.87,52.0,22.8,116.0,0
1690581,6.01,37.9,32.8,105.6,1
1690582,5.08,45.4,47.1,83.6,1
1690583,3.49,15.7,53.5,95.4,1
1690584,4.3,69.0,43.2,92.5,1
1690585,5.0,56.5,57.4,77.8,0
1690586,4.32,31.2,51.2,97.1,1
1690587,3.95,22.8,50.3,96.7,0
1690588,4.45,45.5,64.2,93.8,0
1690589,3.68,52.4,24.5,107.7,1
1690590,3.63,67.1,35.1,107.0,0
1690591,5.96,76.7,49.9,135.2,0
1690592,4.11,31.1,24.4,85.7,0
1690593,5.62,64.1,26.4,89.1,0
1690594,4.62,65.1,39.3,123.7,0
1690595,1.79,56.2,46.6,110.4,1
1690596,5.96,,43.9,84.3,0
1690597,6.56,29.4,33.7,88.5,0
1690598,3.82,32.2,48.4,138.0,1
1690599,6.09,84.6,45.5,100.7,0
1690600,5.86,62.4,23.9,100.2,0
1690601,5.36,46.2,35.9,94.0,0
1690602,5.72,28.7,59.6,138.3,1
1690603,4.5,25.8,63.5,138.5,1
1690604,5.18,27.3,40.9,116.2,0
1690605,4.23,55.4,29.2,137.1,0
1690606,5.25,38.3,52.9,106.8,1
1690607,4.33,62.5,50.7,49.7,1
1690608,3.66,57.6,10.2,86.7,1
1690609,6.17,43.1,34.0,92.9,1
1690610,5.61,31.0,49.2,131.4,0
1690611,4.82,47.8,46.8,60.5,1
1690612,4.13,61.5,41.1,110.9,0
1690613,4.0,52.2,41.6,81.5,0
1690614,4.34,46.3,69.7,97.7,0
1690615,4.68,28.8,33.8,98.4,1
1690616,5.74,58.6,62.7,87.0,1
1690617,3.9,32.8,31.4,125.0,0
1690618,5.9,29.9,48.2,125.4,1
1690619,5.3,66.0,73.2,147.0,0
1690620,3.85,33.0,52.1,83.1,1
1690621,4.83,37.0,35.5,145.7,0
1690622,3.85,40.4,72.1,102.9,0
1690623,3.87,52.2,56.6,91.1,0
1690624,6.06,41.9,32.2,94.6,0
1690625,2.98,56.5,29.4,124.8,1
1690626,3.65,67.3,45.6,98.7,1
1690627,5.98,37.4,62.7,147.0,0
1690628,7.17,45.9,54.2,86.2,0
1690629,4.14,67.4,55.0,94.1,1
1690630,5.38,36.4,38.2,85.0,0
1690631,4.77,61.4,56.7,158.0,0
