CampaignID,AdSpend_K,SocialMediaImpressions,SearchClicks,DirectVisits,ConversionRevenue
1140226,110.1,100.6,73.1,107.7,64555.0
1140227,71.4,88.7,103.6,85.6,82748.0
1140228,100.0,78.6,121.7,79.6,57675.0
1140229,81.9,146.2,108.7,148.1,75383.0
1140230,101.9,93.9,112.0,115.1,68988.0
1140231,74.2,102.0,91.7,116.5,63135.0
1140232,81.5,89.4,100.1,128.7,76790.0
1140233,66.5,99.9,75.1,62.5,65016.0
1140234,99.4,169.3,137.5,108.0,64046.0
1140235,69.3,81.0,82.4,111.9,96708.0
1140236,78.5,80.1,92.8,113.2,48667.0
1140237,82.3,114.1,104.5,128.2,58632.0
1140238,111.5,64.4,107.5,80.7,81364.0
1140239,63.3,113.9,94.2,121.5,84321.0
1140240,48.8,99.2,96.3,107.4,46481.0
1140241,63.4,127.1,79.7,103.6,86681.0
1140242,79.1,92.7,136.6,93.1,83835.0
1140243,119.8,120.5,61.5,93.8,62417.0
1140244,93.0,119.3,124.2,104.3,85406.0
1140245,81.9,93.1,104.4,88.3,52535.0
1140246,77.3,95.4,60.3,102.4,77961.0
1140247,86.1,109.3,96.5,108.0,66423.0
1140248,49.9,142.4,95.2,75.0,103658.0
1140249,100.9,124.8,82.3,96.7,69619.0
1140250,106.2,73.7,83.7,118.4,88423.0
1140251,74.1,59.9,121.3,82.8,61815.0
1140252,66.5,54.5,83.9,93.8,67206.0
1140253,53.7,93.7,125.0,56.8,73455.0
1140254,82.4,101.3,90.7,87.0,84403.0
1140255,50.3,95.2,104.9,72.3,30605.0
1140256,116.3,132.9,106.3,43.1,60482.0
1140257,66.6,144.5,159.5,41.9,52186.0
1140258,31.3,95.5,116.4,87.4,68408.0
1140259,49.7,117.1,86.5,110.3,51672.0
1140260,87.1,108.4,117.9,83.1,48686.0
1140261,107.6,86.5,149.2,102.3,62669.0
1140262,71.1,132.9,42.3,78.5,113740.0
1140263,77.9,98.2,104.0,102.5,52963.0
1140264,100.1,136.8,101.5,114.4,63508.0
1140265,93.4,123.7,117.8,85.1,40079.0
1140266,99.6,98.2,78.7,145.0,122947.0
1140267,74.9,119.4,111.8,68.0,83660.0
1140268,62.0,90.4,96.5,86.1,48029.0
1140269,101.8,107.8,102.7,121.6,78953.0
1140270,56.3,97.0,96.3,82.9,92602.0
1140271,79.9,92.2,136.8,113.8,88128.0
1140272,77.0,88.4,149.1,62.0,69149.0
1140273,79.6,100.9,98.8,82.8,78975.0
1140274,101.6,127.4,56.3,84.1,50890.0
1140275,62.3,145.6,113.6,92.0,90157.0
1140276,81.8,44.4,108.1,87.0,79948.0
1140277,89.0,89.8,113.9,108.9,77748.0
1140278,90.1,147.6,93.9,108.9,50630.0
1140279,98.5,112.3,97.0,90.6,51846.0
1140280,99.5,99.1,95.0,95.9,57246.0
1140281,66.8,94.0,98.4,138.2,80810.0
1140282,58.5,80.7,97.1,113.9,110322.0
1140283,87.0,76.6,92.4,93.0,91315.0
1140284,84.2,65.3,84.0,45.3,68807.0
1140285,50.4,54.4,114.2,137.7,75386.0
1140286,62.8,117.2,96.4,78.1,48612.0
1140287,87.2,105.3,85.6,93.4,97688.0
1140288,75.1,111.0,98.9,76.6,49060.0
1140289,50.6,108.5,46.0,109.1,73753.0
1140290,82.9,137.9,94.6,136.2,61528.0
1140291,52.4,99.3,143.4,101.7,63013.0
1140292,68.6,89.2,85.7,124.9,79466.0
1140293,84.2,143.7,93.5,146.5,41672.0
1140294,105.4,101.5,127.5,51.7,65672.0
1140295,78.9,98.7,70.7,117.5,66843.0
1140296,100.1,82.4,83.5,137.0,54596.0
1140297,58.1,116.9,99.4,115.1,87214.0
1140298,73.9,134.5,112.5,71.8,74438.0
1140299,82.8,41.4,107.6,100.5,45187.0
1140300,39.4,68.1,93.0,67.8,97073.0
1140301,72.5,92.6,66.4,91.0,88842.0
1140302,62.9,59.0,68.0,104.3,74916.0
1140303,72.3,106.4,147.1,147.1,76529.0
1140304,60.4,114.5,48.4,108.4,48538.0
1140305,47.4,100.5,123.0,116.0,31316.0
1140306,133.3,123.6,60.2,101.5,55027.0
1140307,49.7,114.0,73.9,123.1,60361.0
1140308,,86.9,84.1,56.6,83858.0
1140309,73.1,73.1,140.9,138.8,47338.0
1140310,100.8,104.7,71.5,80.9,49768.0
1140311,84.0,103.0,71.6,84.4,69579.0
1140312,58.9,139.1,124.8,108.9,74422.0
1140313,95.7,77.2,107.9,123.2,39273.0
1140314,48.8,113.1,59.7,116.2,61155.0
1140315,77.7,78.9,113.5,95.4,79364.0
1140316,73.5,111.3,120.4,130.0,68544.0
1140317,75.1,96.1,118.1,106.8,86462.0
1140318,76.4,119.6,108.0,100.1,25817.0
1140319,71.0,132.9,116.0,92.0,51895.0
1140320,103.3,88.0,77.2,65.1,63697.0
1140321,77.6,51.2,154.2,89.9,49948.0
1140322,77.7,111.4,114.6,95.2,54395.0
1140323,76.8,67.1,120.9,50.0,38381.0
1140324,69.1,77.0,101.6,101.8,97788.0
1140325,76.1,130.4,73.4,80.1,88820.0
1140326,91.4,108.5,91.2,92.9,34273.0
1140327,69.1,73.0,105.3,53.4,84144.0
1140328,55.8,110.5,93.1,91.0,84734.0
1140329,80.7,83.8,76.0,113.8,93148.0
1140330,111.5,76.3,88.9,54.1,55952.0
1140331,40.1,84.9,104.1,78.5,60771.0
1140332,92.2,103.6,123.5,100.6,60262.0
1140333,34.4,147.2,93.2,90.2,58167.0
1140334,71.0,124.7,88.4,94.0,75347.0
1140335,92.7,112.8,121.8,126.9,66640.0
1140336,77.8,93.9,71.0,63.3,67607.0
1140337,97.2,129.8,111.3,70.6,71671.0
1140338,72.5,123.7,91.5,70.3,82214.0
1140339,91.2,104.8,131.2,80.1,94372.0
1140340,92.4,62.5,100.8,128.8,36709.0
1140341,91.4,100.3,94.5,117.5,46717.0
1140342,59.3,112.6,114.2,126.9,78543.0
1140343,63.7,97.1,128.3,73.8,73917.0
1140344,81.8,77.6,89.7,163.1,22408.0
1140345,89.7,128.3,93.4,139.0,69151.0
1140346,62.8,119.0,126.7,149.0,58893.0
1140347,101.6,133.8,160.0,127.5,88944.0
1140348,77.2,135.8,86.2,100.4,62797.0
1140349,69.3,118.3,90.3,111.4,68627.0
1140350,99.9,77.3,111.8,111.6,76546.0
1140351,67.2,75.5,108.8,90.2,84262.0
1140352,64.7,109.4,85.6,170.4,62247.0
1140353,99.6,145.3,104.2,148.8,70653.0
1140354,103.7,118.3,138.3,73.1,61889.0
1140355,53.3,89.8,67.5,71.8,68937.0
1140356,44.1,87.8,64.8,95.0,61805.0
1140357,92.4,67.2,139.0,85.8,73081.0
1140358,57.6,114.7,93.8,105.6,58095.0
1140359,92.0,92.9,153.1,126.0,78574.0
1140360,72.4,97.4,85.8,135.2,81091.0
1140361,86.6,75.7,106.9,59.9,74223.0
1140362,102.7,130.3,67.6,121.4,55921.0
1140363,,124.9,95.5,122.8,47976.0
1140364,66.8,171.3,73.7,104.4,67118.0
1140365,86.1,100.5,126.5,75.1,53367.0
1140366,35.0,67.0,99.3,105.9,62852.0
1140367,54.1,120.9,104.2,79.1,42405.0
1140368,53.2,77.4,78.5,132.4,72499.0
1140369,62.2,111.8,74.7,60.8,47570.0
1140370,85.0,23.5,55.9,134.9,60789.0
1140371,64.5,134.4,108.2,129.9,84419.0
1140372,80.0,101.0,72.2,111.7,21571.0
1140373,79.1,80.5,67.8,95.0,47838.0
1140374,92.5,120.1,140.8,76.9,85919.0
1140375,63.7,106.1,88.5,105.6,37836.0
1140376,72.0,80.8,106.2,52.9,49234.0
1140377,68.0,100.0,91.5,108.3,62699.0
1140378,79.4,104.9,110.5,126.4,58952.0
1140379,75.5,120.3,112.3,121.9,58422.0
1140380,90.8,79.0,120.0,99.9,60481.0
1140381,65.6,94.1,86.3,102.1,66980.0
1140382,37.2,91.8,82.3,77.7,87366.0
1140383,91.6,80.8,133.9,94.8,61789.0
1140384,71.4,116.3,88.6,106.8,78874.0
1140385,73.2,113.7,58.3,147.7,60201.0
1140386,93.3,128.8,116.5,114.2,66112.0
1140387,70.7,135.3,106.7,86.2,80956.0
1140388,85.5,112.7,93.0,99.3,47819.0
1140389,92.2,133.5,136.1,92.5,100779.0
1140390,89.0,71.3,106.8,88.5,60064.0
1140391,114.3,78.6,87.5,128.7,44348.0
1140392,78.5,62.4,117.6,46.1,61133.0
1140393,71.0,134.6,74.6,128.1,57351.0
1140394,91.8,103.4,139.7,174.0,64791.0
1140395,63.7,91.0,119.9,114.1,64556.0
1140396,36.6,153.5,108.2,103.0,65051.0
1140397,36.4,161.5,75.4,89.4,65074.0
1140398,87.1,117.4,67.2,108.0,47606.0
1140399,67.6,136.8,69.3,145.8,68723.0
1140400,96.9,133.9,79.3,67.4,69390.0
1140401,64.0,108.0,119.2,110.6,72835.0
1140402,80.2,129.5,108.4,69.0,83698.0
1140403,49.4,81.2,102.4,136.1,77024.0
1140404,101.3,69.6,90.1,93.8,49683.0
1140405,63.5,89.8,65.5,129.5,63456.0
1140406,63.7,112.5,89.7,100.0,35266.0
1140407,99.3,105.9,121.2,134.3,90464.0
1140408,75.7,98.0,102.7,98.3,57013.0
1140409,53.5,80.6,83.4,133.5,78695.0
1140410,90.7,97.8,78.0,65.7,67383.0
1140411,,126.4,94.0,104.8,54925.0
1140412,81.7,99.4,85.0,124.8,61328.0
1140413,54.2,87.8,115.3,94.0,48047.0
1140414,84.0,61.0,152.4,79.5,67793.0
1140415,49.1,85.7,93.5,110.9,47737.0
1140416,58.2,122.7,73.1,95.9,59629.0
1140417,93.9,80.8,64.4,82.1,48692.0
1140418,72.6,85.8,111.3,100.1,32244.0
1140419,83.1,113.7,99.1,99.3,89813.0
1140420,92.9,98.4,73.5,106.0,70583.0
1140421,132.2,95.0,132.2,145.2,78151.0
1140422,43.9,100.7,97.9,123.2,65010.0
1140423,104.9,107.1,76.8,85.1,112110.0
1140424,54.6,95.0,67.9,66.4,22926.0
1140425,44.8,177.6,89.8,101.7,46739.0
1140426,82.9,122.0,136.2,116.1,98390.0
1140427,77.6,80.7,99.6,122.8,77120.0
1140428,34.3,149.3,132.6,106.4,40559.0
1140429,36.1,104.3,134.0,121.9,36230.0
1140430,58.1,133.5,90.9,61.6,56279.0
1140431,83.0,43.4,128.8,86.7,70752.0
1140432,39.1,84.5,104.3,94.3,72770.0
1140433,79.0,84.6,98.0,134.1,48342.0
1140434,49.1,50.6,98.6,92.5,91354.0
1140435,92.6,72.8,117.3,103.9,41428.0
1140436,55.7,115.8,90.7,91.3,66658.0
1140437,87.2,117.4,128.2,59.9,49512.0
1140438,103.3,87.6,113.3,48.8,68173.0
1140439,39.1,153.9,68.6,98.7,54933.0
1140440,69.7,143.3,101.1,127.1,55575.0
1140441,74.1,127.6,123.4,121.7,49939.0
1140442,56.1,161.5,120.3,93.8,84169.0
1140443,85.7,82.9,63.7,111.9,67494.0
1140444,52.7,53.8,107.9,90.2,79556.0
1140445,65.6,91.5,106.7,77.6,93597.0
1140446,80.4,142.3,125.8,61.5,60945.0
1140447,49.2,65.2,29.1,56.0,76158.0
1140448,42.3,64.6,84.2,119.9,67310.0
1140449,72.7,104.1,121.9,104.7,79879.0
1140450,62.1,117.4,90.0,135.6,56944.0
1140451,89.9,123.3,124.1,98.7,62382.0
1140452,83.9,98.8,115.5,74.3,76795.0
1140453,80.4,88.0,133.7,70.1,63129.0
1140454,80.8,50.4,78.1,106.8,71931.0
1140455,93.7,94.2,105.3,103.4,74810.0
1140456,86.7,91.7,129.8,116.4,83485.0
1140457,89.7,66.1,163.3,79.5,71432.0
1140458,64.9,110.3,89.9,98.5,31689.0
1140459,82.7,105.3,88.0,132.5,54972.0
1140460,116.6,81.4,30.0,63.3,68097.0
1140461,67.1,129.7,109.5,124.3,69316.0
1140462,89.2,93.8,72.7,129.5,62916.0
1140463,76.0,92.4,108.0,92.6,50320.0
1140464,81.2,93.9,99.3,133.0,61611.0
1140465,84.1,107.5,94.8,77.3,72233.0
1140466,56.6,110.0,68.2,99.1,50213.0
1140467,74.5,110.7,105.1,85.8,36618.0
1140468,107.9,105.3,111.2,117.6,65300.0
1140469,78.1,103.0,82.8,115.6,61876.0
1140470,69.5,118.2,81.5,124.7,75501.0
1140471,116.9,116.9,96.3,110.3,52400.0
1140472,74.5,83.4,110.3,107.4,64115.0
1140473,90.7,108.8,81.8,120.4,83585.0
1140474,58.0,71.5,81.9,102.6,49739.0
1140475,92.7,119.0,71.9,123.8,74333.0
1140476,77.6,71.0,62.7,113.3,66382.0
1140477,73.1,120.4,133.7,125.4,30273.0
1140478,101.2,115.4,80.1,157.8,62060.0
1140479,74.4,95.3,93.7,99.0,71506.0
1140480,49.0,49.6,64.4,79.1,51263.0
1140481,128.7,106.6,87.5,87.5,62013.0
1140482,105.1,55.0,108.2,103.4,60049.0
1140483,57.9,95.9,46.3,149.9,71188.0
1140484,67.5,70.6,71.4,90.0,57108.0
1140485,74.9,79.6,88.4,114.6,57157.0
1140486,80.6,90.6,90.7,100.1,47939.0
1140487,28.1,74.1,115.5,97.1,68662.0
1140488,106.6,70.6,103.0,79.5,72283.0
1140489,78.0,61.8,78.2,127.2,57275.0
1140490,66.7,67.6,110.5,96.4,60962.0
1140491,89.6,82.3,114.2,95.3,66884.0
1140492,32.8,162.5,113.6,131.9,35589.0
1140493,42.2,120.0,123.4,99.3,64701.0
1140494,82.0,58.1,69.6,98.3,45559.0
1140495,87.5,112.7,91.7,115.6,75248.0
1140496,53.0,86.3,92.4,97.4,54251.0
1140497,81.9,107.3,104.5,81.4,56488.0
1140498,80.2,100.0,99.6,92.4,53984.0
1140499,106.3,81.0,57.6,105.5,61996.0
1140500,99.0,94.0,98.7,84.6,85464.0
1140501,63.4,134.6,121.6,113.1,52493.0
1140502,77.4,73.5,88.6,67.0,50695.0
1140503,33.3,121.5,76.3,117.8,72549.0
1140504,58.5,127.4,94.9,72.8,86852.0
1140505,112.6,78.9,91.1,100.5,80071.0
1140506,81.7,114.3,105.9,129.9,80364.0
1140507,57.5,86.6,127.1,100.0,69783.0
1140508,64.7,171.0,108.6,81.5,41082.0
1140509,79.4,79.1,77.4,116.0,42739.0
1140510,83.9,120.9,79.0,118.1,86744.0
1140511,36.7,117.8,89.3,94.7,62889.0
1140512,33.6,90.1,135.7,92.6,34535.0
1140513,62.2,70.7,95.2,145.5,63815.0
1140514,67.9,71.2,76.5,114.3,50415.0
1140515,49.2,88.8,95.3,72.4,42352.0
1140516,62.9,115.9,130.6,77.0,99587.0
1140517,74.1,105.4,85.5,78.5,55759.0
1140518,73.1,56.4,115.1,116.6,91973.0
1140519,42.4,93.5,87.6,103.6,60254.0
1140520,81.2,116.1,114.9,86.5,32476.0
1140521,64.3,117.6,97.8,119.7,61243.0
1140522,113.2,85.1,84.3,85.5,38642.0
1140523,85.1,113.3,54.0,59.6,90484.0
1140524,90.5,119.9,113.2,71.7,78919.0
1140525,84.4,116.4,63.0,98.8,49952.0
1140526,72.2,94.3,68.9,93.1,74998.0
1140527,71.2,114.2,113.4,91.0,57184.0
1140528,58.4,92.4,101.5,83.5,85405.0
1140529,44.4,68.1,110.7,122.9,63595.0
1140530,82.1,81.1,132.7,140.1,54726.0
1140531,78.3,67.2,112.3,82.0,57114.0
1140532,,73.0,105.5,101.7,68926.0
1140533,49.9,95.0,83.1,105.7,80826.0
1140534,82.1,54.0,156.7,105.7,59815.0
1140535,69.3,132.8,91.5,121.6,101459.0
1140536,60.5,73.9,87.2,83.4,63043.0
1140537,67.4,153.7,105.3,124.2,83060.0
1140538,107.3,107.4,128.8,117.2,37229.0
1140539,84.1,106.6,160.1,101.8,37372.0
1140540,54.1,95.6,119.5,155.7,83013.0
1140541,78.9,113.6,87.8,108.8,54395.0
1140542,56.0,117.2,66.6,87.2,86987.0
1140543,67.0,106.5,83.8,67.9,48118.0
1140544,69.2,111.5,123.2,107.9,68024.0
1140545,76.0,105.3,110.9,95.5,79341.0
1140546,77.1,118.0,96.3,105.2,73236.0
1140547,67.4,113.2,121.2,82.9,95042.0
1140548,53.9,83.3,113.4,98.7,59742.0
1140549,125.6,119.0,73.8,123.5,83170.0
1140550,117.6,92.8,88.8,135.8,74638.0
1140551,57.9,131.2,155.7,134.9,63497.0
1140552,63.1,100.2,85.8,89.5,82063.0
1140553,50.5,120.3,79.9,123.8,48398.0
1140554,62.9,92.7,82.8,77.6,69935.0
1140555,64.1,104.5,57.5,151.5,46455.0
1140556,39.4,65.6,141.1,99.7,44779.0
1140557,86.3,127.7,76.1,99.5,63017.0
