MatchID,TutorExpYears,ClassFeeHourly,StudentSatisfactionScore,LessonsCompleted,RenewedSubscription
1790047,8.2,177.4,7.2,97.8,68.6
1790048,2.3,88.0,3.8,86.8,140.1
1790049,9.1,98.0,9.2,134.0,80.3
1790050,15.0,111.9,5.7,107.0,120.8
1790051,1.9,156.6,6.7,112.2,103.8
1790052,7.2,87.1,8.4,82.1,64.3
1790053,11.6,102.4,5.3,72.8,119.3
1790054,8.4,82.2,6.0,129.9,127.4
1790055,11.6,151.9,4.8,97.0,102.3
1790056,8.2,166.0,4.1,89.6,108.1
1790057,14.8,173.2,8.0,115.2,91.6
1790058,9.4,186.6,7.4,119.5,118.3
1790059,5.5,108.7,6.7,103.2,91.1
1790060,15.0,88.6,5.8,69.1,145.6
1790061,11.1,140.8,7.1,121.0,94.1
1790062,7.9,102.2,6.5,69.3,56.2
1790063,3.5,49.0,8.1,99.8,117.9
1790064,11.5,218.3,9.0,131.2,154.0
1790065,9.0,168.8,7.3,67.3,93.9
1790066,10.7,153.8,7.1,49.7,122.6
1790067,2.8,132.1,7.8,87.0,113.9
1790068,14.4,132.2,10.0,99.9,105.2
1790069,3.2,150.0,8.8,109.5,140.9
1790070,8.4,118.2,6.2,98.6,82.6
1790071,7.9,161.0,7.5,45.9,63.9
1790072,13.1,58.9,4.5,79.4,114.6
1790073,8.7,177.6,7.8,136.2,108.5
1790074,6.7,98.0,7.8,113.2,118.0
1790075,8.1,92.1,6.6,152.6,120.4
1790076,9.3,136.6,7.2,101.2,82.7
1790077,9.9,134.4,9.9,92.2,94.3
1790078,12.7,57.9,5.8,124.5,121.1
1790079,11.8,86.8,6.0,132.4,103.9
1790080,11.5,105.2,6.6,97.3,116.5
1790081,11.6,171.1,7.4,145.3,117.1
1790082,4.1,94.0,8.1,68.9,154.0
1790083,3.0,46.1,10.0,90.0,67.9
1790084,12.9,128.3,7.7,112.8,155.0
1790085,10.3,108.4,6.0,65.2,97.1
1790086,11.6,134.5,6.1,63.7,104.4
1790087,11.8,87.7,8.5,91.1,81.6
1790088,1.5,119.9,2.4,114.2,138.6
1790089,7.5,131.7,7.5,160.9,68.4
1790090,6.6,78.1,7.1,120.6,111.1
1790091,9.3,191.8,6.6,131.8,78.0
1790092,3.1,109.7,6.0,100.3,177.6
1790093,5.9,127.4,6.6,105.1,107.7
1790094,3.2,74.5,5.8,113.8,112.0
1790095,7.1,63.1,6.4,98.1,99.6
1790096,6.2,131.8,7.8,86.7,74.2
1790097,3.5,77.8,7.9,68.2,110.2
1790098,6.1,167.3,7.9,81.4,122.1
1790099,13.8,69.9,5.5,127.1,118.9
1790100,2.5,143.0,8.1,83.7,126.0
1790101,7.2,111.4,3.9,101.5,68.4
1790102,3.0,131.8,8.4,94.9,125.0
1790103,3.5,134.0,4.9,73.9,120.4
1790104,10.1,143.4,6.2,107.6,130.6
1790105,9.6,159.6,7.0,92.8,141.0
1790106,4.1,114.5,9.4,74.8,121.2
1790107,13.8,33.8,5.7,90.5,91.3
1790108,12.4,74.5,7.9,84.9,82.6
1790109,2.8,160.2,7.4,77.6,84.9
1790110,11.8,156.5,5.0,132.9,85.2
1790111,1.8,69.8,6.2,81.9,71.1
1790112,14.1,192.7,7.7,125.2,116.1
1790113,9.6,146.2,7.4,122.4,126.2
1790114,2.3,161.9,8.4,119.9,76.9
1790115,9.7,82.6,7.4,115.4,104.6
1790116,7.0,155.6,9.3,79.0,139.2
1790117,4.0,103.5,6.9,109.2,85.1
1790118,2.2,104.1,8.2,96.4,87.6
1790119,6.4,70.4,7.4,104.5,95.5
1790120,1.7,92.3,6.4,132.7,104.9
1790121,13.0,155.4,7.2,106.4,88.5
1790122,11.8,54.1,6.8,157.6,128.1
1790123,6.4,122.0,6.5,86.8,97.1
1790124,1.9,96.3,5.6,117.8,126.5
1790125,1.0,169.9,6.1,140.9,82.6
1790126,11.6,102.1,8.3,94.5,97.1
1790127,8.9,98.3,,126.8,119.0
1790128,13.7,151.6,7.7,114.9,105.1
1790129,6.8,178.2,7.1,75.7,126.5
1790130,6.7,125.3,7.3,79.0,107.2
1790131,14.8,153.7,8.9,118.4,101.1
1790132,6.9,131.1,7.0,89.9,79.7
1790133,8.5,163.2,6.3,91.7,137.6
1790134,1.6,155.9,6.7,93.4,161.4
1790135,12.3,96.2,8.7,59.2,85.5
1790136,14.8,160.3,8.3,114.9,133.3
1790137,2.7,96.8,9.8,119.2,150.3
1790138,11.2,172.7,7.7,123.0,95.4
1790139,5.7,121.6,7.5,94.1,82.4
1790140,4.9,135.9,6.3,82.9,63.6
1790141,3.2,109.0,6.2,104.1,137.5
1790142,2.2,109.6,7.8,86.0,101.2
1790143,11.6,106.0,7.9,153.7,126.3
1790144,7.6,111.3,6.0,85.0,125.9
1790145,10.6,88.7,7.2,124.2,118.2
1790146,8.5,135.8,7.2,95.7,121.4
1790147,10.5,106.3,7.8,98.3,100.0
1790148,9.2,73.8,8.4,61.4,115.9
1790149,3.8,39.7,8.1,67.1,160.4
1790150,3.2,197.3,5.5,84.2,99.0
1790151,10.2,154.8,6.7,81.1,112.5
1790152,9.4,127.0,8.2,95.2,116.0
1790153,4.7,163.9,5.6,111.4,104.5
1790154,10.6,110.9,4.6,90.6,115.5
1790155,6.8,168.6,7.2,75.7,74.8
1790156,3.8,181.3,5.8,100.8,87.5
1790157,2.3,140.7,9.3,75.3,71.5
1790158,7.9,99.6,5.0,119.4,120.4
1790159,4.2,141.9,4.7,147.1,136.9
1790160,9.0,112.5,7.1,76.5,70.1
1790161,11.0,105.2,7.7,59.2,91.3
1790162,12.4,108.5,6.1,115.2,100.8
1790163,4.6,135.8,8.2,105.3,53.0
1790164,10.0,75.7,6.5,96.5,132.8
1790165,14.1,98.7,6.4,97.5,125.6
1790166,12.2,88.2,6.7,73.8,49.2
1790167,13.4,163.0,8.0,84.6,93.0
1790168,11.9,170.9,5.7,99.4,123.3
1790169,3.8,123.2,8.8,88.8,112.0
1790170,11.0,112.5,6.0,58.8,129.8
1790171,2.9,150.5,7.5,69.6,44.5
1790172,8.8,74.7,9.2,85.3,113.3
1790173,3.9,83.1,5.3,84.6,112.7
1790174,3.9,58.7,7.1,50.5,84.5
1790175,12.9,119.2,,71.8,92.3
1790176,13.5,83.1,8.8,126.4,106.1
1790177,10.3,15.6,5.7,70.2,116.9
1790178,14.2,127.5,7.8,58.2,113.8
1790179,6.7,63.5,7.7,106.7,57.8
1790180,1.1,137.1,5.6,47.0,103.2
1790181,10.2,137.6,5.9,105.4,108.4
1790182,2.4,127.7,6.6,108.3,121.5
1790183,8.8,110.5,8.3,32.7,100.3
1790184,14.1,99.1,6.2,94.1,109.2
1790185,1.1,100.4,7.2,126.1,101.1
1790186,5.4,139.6,8.2,99.8,87.7
1790187,3.8,77.6,7.6,121.0,100.9
1790188,1.2,167.4,5.3,83.6,124.4
1790189,10.1,124.9,7.1,53.7,70.6
1790190,13.2,109.9,7.4,140.4,39.1
1790191,4.7,105.5,8.0,103.8,118.9
1790192,11.1,114.1,6.7,63.0,84.3
1790193,9.8,92.1,7.6,94.2,91.9
1790194,1.7,88.9,6.5,60.7,120.0
1790195,13.0,151.6,9.4,96.3,82.2
1790196,6.5,161.3,8.0,83.2,105.2
1790197,14.6,167.6,,108.6,126.8
1790198,8.1,101.1,8.0,67.9,138.6
1790199,14.3,188.3,7.7,107.8,149.8
1790200,3.7,195.5,9.2,86.5,74.8
1790201,3.3,155.1,8.0,106.5,91.0
1790202,13.5,104.9,5.4,153.6,120.1
1790203,14.0,45.9,7.1,113.1,91.7
1790204,14.9,90.2,8.9,112.8,65.9
1790205,2.4,137.5,9.1,73.1,107.5
1790206,5.1,125.0,7.0,120.7,87.7
1790207,1.6,164.7,9.1,91.9,86.4
1790208,4.1,80.0,5.3,81.9,125.3
1790209,14.5,208.6,7.8,140.5,129.0
1790210,1.8,107.9,6.5,145.1,135.8
1790211,3.0,139.2,7.2,171.0,113.6
1790212,1.3,97.5,7.9,66.9,88.2
1790213,9.9,116.4,6.9,111.8,113.9
1790214,4.9,129.8,5.2,64.6,128.1
1790215,8.8,167.4,7.6,104.8,123.3
1790216,5.1,95.3,8.6,97.1,102.9
1790217,4.6,120.3,7.1,95.5,83.7
1790218,12.8,66.7,3.7,122.9,96.8
1790219,10.0,122.1,6.6,72.7,88.2
1790220,3.7,99.0,5.3,74.0,104.9
1790221,3.5,146.9,8.5,116.2,123.1
1790222,12.1,168.3,,109.7,116.8
1790223,12.7,108.3,3.5,85.1,129.3
1790224,10.8,116.6,6.0,110.1,138.9
1790225,5.2,139.1,8.5,113.8,58.8
1790226,14.7,135.8,8.0,103.1,73.9
1790227,4.6,116.4,5.6,121.6,86.8
1790228,4.5,73.9,7.2,114.2,90.8
1790229,7.3,119.8,8.5,77.8,101.4
1790230,5.7,103.9,4.7,106.8,109.5
1790231,4.7,175.2,8.1,56.7,84.9
1790232,7.7,153.2,4.8,75.6,73.5
1790233,7.5,137.8,7.4,115.0,109.3
1790234,8.8,165.2,10.0,73.4,78.1
1790235,7.1,190.4,6.2,121.7,123.7
1790236,14.8,190.9,9.7,132.1,128.8
1790237,2.4,184.0,5.5,88.0,103.3
1790238,2.3,96.8,6.8,99.3,73.4
1790239,2.8,176.0,6.6,116.7,168.3
1790240,13.1,110.5,3.8,75.9,123.6
1790241,12.0,46.0,8.1,71.7,126.0
1790242,11.5,83.9,5.2,119.2,83.1
1790243,12.1,96.3,6.4,129.0,101.1
1790244,9.1,54.8,8.7,98.6,76.9
1790245,5.3,211.6,8.9,105.2,97.3
1790246,10.7,106.1,5.8,122.4,112.3
1790247,4.5,202.8,7.2,144.5,92.8
1790248,10.4,111.8,8.5,99.7,59.8
1790249,2.8,154.1,6.7,57.1,75.7
1790250,9.1,201.5,9.4,75.6,75.1
1790251,13.4,94.8,9.7,129.2,101.1
1790252,1.7,129.3,7.1,141.9,71.3
1790253,10.0,135.4,9.0,138.1,90.4
1790254,3.2,184.7,8.9,91.7,125.9
1790255,13.0,110.3,7.5,111.5,81.2
1790256,3.1,66.7,7.3,55.6,77.5
1790257,13.0,119.5,8.3,96.4,93.9
1790258,8.3,189.1,5.9,123.5,100.5
1790259,8.7,111.2,7.0,108.5,86.8
1790260,1.1,122.0,5.4,110.3,148.8
1790261,8.5,85.4,10.0,41.8,98.5
1790262,11.8,143.4,8.4,90.8,163.4
1790263,8.5,88.7,8.3,125.2,80.5
1790264,4.7,137.0,10.0,109.8,105.4
1790265,8.3,103.2,9.0,86.9,145.6
1790266,11.6,167.6,7.7,114.1,117.1
1790267,5.5,120.8,9.1,114.0,122.3
1790268,6.9,61.4,7.7,114.8,110.3
1790269,12.5,164.0,7.7,69.5,115.8
1790270,8.9,156.5,7.4,65.3,98.6
1790271,2.0,193.6,6.1,51.6,97.2
1790272,1.6,144.3,7.5,105.9,117.2
1790273,2.5,181.3,,100.8,52.1
1790274,9.0,178.5,8.0,97.7,82.6
1790275,6.7,107.3,6.9,84.7,116.8
1790276,4.6,72.1,6.8,106.9,82.4
1790277,11.0,200.7,8.1,128.8,107.9
1790278,12.8,157.2,5.2,82.2,57.0
1790279,1.0,101.2,7.4,80.3,91.8
1790280,9.2,173.1,10.0,85.9,82.3
1790281,5.7,106.9,7.4,54.6,97.6
1790282,2.6,159.6,,82.7,91.4
1790283,12.6,89.7,9.1,97.5,93.8
1790284,4.5,92.5,7.2,112.2,107.7
1790285,1.3,101.8,10.0,121.9,77.5
1790286,3.6,90.8,9.0,84.4,82.9
1790287,8.4,190.8,7.1,153.7,97.7
1790288,13.5,109.9,4.4,71.4,112.8
1790289,4.5,139.2,8.5,89.4,83.3
1790290,5.7,114.2,6.6,75.9,120.4
1790291,14.3,59.0,6.3,91.7,96.7
1790292,4.7,202.6,3.7,141.5,47.4
1790293,8.7,160.6,7.3,105.2,93.5
1790294,8.9,144.7,8.9,105.7,134.3
1790295,5.3,91.2,7.6,69.8,155.1
1790296,11.8,62.0,5.0,129.9,112.3
1790297,12.3,74.4,7.3,117.8,96.3
1790298,4.7,128.5,5.3,114.0,100.0
1790299,3.5,103.0,8.9,81.5,140.4
1790300,11.0,183.4,5.4,113.4,90.4
1790301,6.4,106.8,6.7,75.9,117.0
1790302,7.3,124.2,6.2,115.5,93.4
1790303,11.8,52.6,10.0,97.8,119.5
1790304,12.7,138.3,4.9,101.9,104.3
1790305,3.0,102.1,7.1,116.8,123.4
1790306,14.9,151.4,5.8,128.0,76.1
1790307,3.4,151.3,7.2,115.0,79.6
1790308,10.6,98.0,7.8,92.9,115.8
1790309,14.9,76.9,6.8,151.7,88.3
1790310,4.9,92.0,7.3,144.2,84.5
1790311,13.9,103.1,9.2,100.4,117.6
1790312,7.8,128.3,7.8,89.7,101.0
1790313,9.1,56.0,3.9,118.0,131.0
1790314,8.1,145.0,8.0,76.4,143.8
1790315,7.2,108.4,8.3,118.7,105.9
1790316,13.5,136.6,8.8,128.4,57.4
1790317,4.1,106.8,4.5,94.5,103.0
1790318,7.5,85.0,9.7,44.8,113.1
1790319,11.6,153.0,,115.4,115.2
1790320,12.3,145.3,7.1,79.2,70.8
1790321,6.9,118.7,6.7,109.8,79.1
1790322,7.7,126.3,10.0,99.8,122.5
1790323,2.1,151.5,5.7,116.4,79.8
1790324,6.5,159.7,9.1,102.9,106.4
1790325,7.5,122.3,5.6,106.1,123.8
1790326,8.1,137.7,8.4,90.9,122.9
1790327,3.4,126.6,9.6,47.8,105.0
1790328,5.9,132.2,9.3,152.0,47.1
1790329,4.4,184.8,9.5,89.1,90.7
1790330,7.8,117.5,4.9,99.2,116.7
1790331,12.5,107.0,8.3,129.4,115.1
1790332,14.6,170.4,7.6,138.3,68.0
1790333,7.4,156.5,7.1,117.8,134.2
1790334,13.2,127.9,7.9,131.7,127.6
1790335,15.0,66.6,6.2,53.6,121.1
1790336,6.6,136.6,7.3,129.3,53.0
1790337,13.7,60.6,7.7,117.5,87.9
1790338,4.7,146.3,5.6,78.3,103.2
1790339,1.1,68.4,4.5,103.3,63.4
1790340,7.6,147.2,7.1,107.2,123.5
1790341,11.8,147.3,4.1,118.8,136.8
1790342,6.9,143.1,5.5,59.2,111.6
1790343,10.0,145.2,5.7,100.9,112.1
1790344,12.5,160.4,8.8,93.7,71.2
1790345,1.5,109.6,8.1,106.8,64.3
1790346,7.9,75.5,5.3,80.8,98.3
1790347,11.6,111.9,6.2,100.0,104.9
1790348,13.8,116.7,5.9,95.3,130.5
1790349,10.8,136.1,6.9,82.7,119.5
1790350,11.6,145.3,7.6,93.8,103.0
1790351,11.2,144.4,7.6,101.0,141.7
1790352,3.3,170.5,8.1,141.5,108.6
1790353,12.2,128.3,8.0,118.6,114.0
1790354,3.1,136.9,6.7,125.2,135.1
1790355,2.2,132.3,8.0,73.8,112.5
1790356,6.8,163.1,7.7,74.3,106.7
1790357,9.5,115.3,4.7,82.5,75.5
1790358,3.1,72.5,8.5,117.4,103.1
1790359,5.1,94.7,6.3,72.6,92.1
1790360,12.5,196.6,4.8,79.7,151.3
1790361,8.5,160.5,5.1,89.6,55.9
1790362,13.3,56.5,7.6,92.6,79.8
1790363,11.0,138.3,,94.8,92.4
1790364,6.4,134.9,4.6,71.4,108.4
1790365,1.7,76.7,7.8,81.2,96.4
1790366,1.9,143.1,7.9,112.2,82.0
1790367,6.5,136.8,6.7,94.7,104.1
1790368,1.3,118.6,8.3,75.3,57.7
1790369,4.5,138.5,7.8,110.3,120.3
1790370,13.7,125.2,6.7,70.6,70.3
1790371,9.8,64.4,6.9,83.3,65.5
1790372,4.8,111.1,8.8,105.6,94.6
1790373,4.4,108.2,10.0,131.1,92.0
1790374,14.3,135.3,5.8,115.6,93.6
1790375,12.9,138.0,5.3,69.2,99.8
1790376,1.7,111.6,6.7,109.4,108.4
1790377,6.1,151.0,9.6,66.4,52.0
1790378,6.2,206.5,6.4,90.2,85.9
1790379,3.3,66.6,6.4,135.3,71.5
1790380,1.5,159.4,6.8,98.9,89.1
1790381,3.9,149.4,4.8,102.0,57.3
1790382,11.3,51.8,7.6,92.6,85.1
1790383,11.1,160.9,6.4,91.5,95.7
1790384,3.3,95.5,4.8,92.9,114.6
1790385,7.1,134.4,7.6,130.8,103.5
1790386,14.2,97.0,8.5,120.0,84.5
1790387,13.1,104.3,7.7,112.6,100.9
1790388,3.2,117.0,6.5,119.1,116.8
1790389,2.1,148.4,8.9,105.9,108.3
1790390,1.9,85.0,10.0,95.0,91.5
1790391,1.3,107.9,8.1,54.6,79.8
1790392,10.0,69.7,8.6,85.3,151.7
1790393,11.0,126.7,7.7,127.2,87.8
1790394,14.1,109.7,8.1,105.2,146.1
1790395,14.9,147.7,5.6,49.8,125.6
1790396,3.3,164.1,5.1,36.1,124.0
1790397,10.3,63.6,6.7,149.2,83.0
1790398,14.1,104.6,5.7,60.4,76.1
1790399,13.1,65.4,7.4,66.7,100.0
1790400,6.6,149.8,8.4,130.5,83.2
1790401,8.0,129.9,5.7,115.7,131.2
1790402,11.3,185.7,9.4,102.1,134.1
1790403,10.4,124.6,5.7,71.8,150.4
1790404,7.3,179.9,8.8,120.0,67.6
1790405,13.0,40.2,9.2,120.9,67.1
1790406,5.0,103.3,7.6,51.0,113.7
1790407,10.4,155.1,7.1,122.7,96.6
1790408,14.6,70.6,9.1,115.2,102.7
1790409,3.3,115.4,7.4,98.6,79.4
1790410,6.3,141.5,7.3,83.3,122.7
1790411,13.8,140.6,8.0,108.3,54.9
1790412,14.0,99.6,6.3,75.6,113.5
1790413,5.9,146.4,4.5,114.9,81.6
1790414,7.1,137.1,10.0,101.6,113.5
1790415,5.7,48.7,6.1,109.9,113.7
1790416,13.0,129.2,8.5,122.9,128.7
1790417,5.7,114.0,5.7,186.1,85.0
1790418,12.6,76.7,6.5,101.6,154.1
1790419,9.9,146.8,6.5,57.2,92.6
1790420,5.9,176.7,7.7,123.0,107.5
1790421,3.7,144.1,7.9,123.8,112.4
1790422,13.3,136.0,8.6,87.2,62.5
1790423,13.4,28.0,6.8,84.4,147.8
1790424,5.0,118.4,8.1,71.8,68.9
1790425,14.5,94.1,9.7,130.6,116.6
1790426,12.6,79.8,6.5,89.0,116.8
1790427,6.1,111.5,8.1,77.7,63.4
1790428,8.6,102.9,9.2,45.1,130.6
1790429,12.1,96.7,6.3,103.6,106.4
1790430,2.6,163.9,6.2,83.9,108.7
1790431,2.3,71.0,5.8,108.4,106.2
1790432,7.4,155.7,7.6,114.7,107.0
1790433,3.4,61.3,7.1,64.0,119.2
1790434,7.6,120.0,7.8,105.5,94.0
1790435,12.2,109.0,8.3,145.8,58.8
1790436,3.6,112.9,8.6,80.5,101.8
1790437,9.1,87.6,7.1,114.1,69.7
1790438,9.3,103.7,6.8,137.9,128.5
1790439,11.6,86.1,7.0,116.5,63.9
1790440,9.5,122.6,7.1,71.3,87.3
1790441,1.5,71.9,8.3,94.5,100.3
1790442,2.5,172.8,5.2,111.5,97.3
1790443,6.6,78.8,6.5,89.1,72.4
1790444,2.7,60.0,8.2,120.3,97.4
1790445,6.4,142.0,9.1,121.7,113.3
1790446,9.9,187.4,7.7,66.6,93.7
1790447,12.4,72.9,8.0,112.3,99.0
1790448,3.7,126.3,8.2,95.4,134.3
1790449,8.3,176.2,10.0,70.3,120.8
1790450,10.0,99.5,6.7,107.4,97.1
1790451,10.2,124.6,5.6,69.2,110.4
1790452,3.3,216.0,5.2,99.4,102.1
1790453,6.3,112.4,8.3,38.9,102.3
1790454,14.8,154.3,5.7,72.6,87.3
1790455,1.6,210.7,7.1,96.8,104.2
1790456,4.6,89.1,7.0,130.0,117.3
1790457,1.8,150.9,9.6,102.9,66.1
1790458,10.2,131.0,7.8,78.2,125.8
1790459,2.6,169.4,6.8,109.1,131.6
1790460,12.6,163.2,9.4,71.1,137.5
1790461,9.0,189.1,,79.6,93.1
1790462,1.3,95.4,5.7,118.5,112.0
1790463,6.5,184.1,10.0,130.8,132.1
1790464,9.0,112.2,7.0,80.9,86.0
1790465,8.4,118.8,6.1,119.7,31.6
1790466,1.2,127.3,6.8,60.2,95.3
1790467,6.3,146.9,5.6,108.8,113.0
1790468,8.1,69.6,6.5,92.5,81.0
1790469,9.0,163.4,8.4,137.1,127.1
1790470,10.7,36.5,9.4,58.4,70.7
1790471,8.2,95.0,4.6,122.7,73.3
1790472,6.3,163.5,6.6,91.6,79.4
1790473,5.6,125.4,8.3,81.2,64.5
1790474,14.1,173.4,9.2,92.4,87.1
1790475,8.0,184.3,6.2,93.6,152.7
1790476,9.2,149.6,9.2,96.3,122.1
1790477,1.9,99.2,4.8,135.4,81.9
1790478,14.5,102.1,6.9,68.5,101.0
1790479,12.8,114.3,5.7,77.3,66.0
1790480,12.0,146.3,6.3,71.6,111.5
1790481,2.2,99.9,7.7,87.3,116.2
1790482,5.8,88.4,5.3,42.6,83.3
1790483,7.4,117.3,4.6,81.0,49.7
1790484,11.0,123.5,4.5,76.0,120.2
1790485,8.5,96.8,6.4,143.0,81.9
1790486,2.0,145.1,7.1,101.8,112.8
1790487,11.8,72.7,8.1,99.1,143.9
1790488,2.4,137.8,8.7,115.6,115.9
1790489,10.4,99.4,7.4,86.1,43.5
1790490,8.2,182.5,6.5,98.0,87.8
1790491,4.3,101.9,7.8,113.1,65.0
1790492,5.0,145.3,7.5,100.9,121.5
1790493,1.4,99.2,7.0,80.4,91.4
1790494,3.7,85.9,8.3,117.0,103.2
1790495,9.0,135.4,4.9,120.5,93.3
1790496,11.2,188.4,6.6,88.6,98.6
1790497,15.0,120.0,8.1,77.9,117.3
1790498,1.3,108.1,7.8,85.9,111.7
1790499,9.4,87.0,5.4,55.8,132.0
1790500,1.8,161.3,5.4,77.5,121.0
1790501,1.4,125.8,5.0,186.6,134.8
1790502,11.3,65.4,6.6,94.5,136.6
1790503,8.0,35.8,7.8,139.5,115.5
1790504,8.7,66.3,6.0,94.4,105.0
1790505,12.4,68.0,8.4,88.3,117.6
1790506,1.2,69.2,9.1,94.8,112.9
1790507,6.4,120.6,7.0,107.4,87.0
1790508,12.4,122.5,10.0,81.0,79.0
1790509,13.1,146.5,4.5,80.4,71.7
1790510,1.7,112.4,7.5,145.7,135.2
1790511,11.3,137.1,9.1,113.2,133.7
1790512,3.8,68.9,10.0,105.4,92.9
1790513,11.2,103.7,7.2,77.5,113.0
1790514,9.8,170.5,5.8,63.3,59.8
1790515,5.9,82.4,5.7,40.7,147.6
1790516,12.3,130.9,9.5,82.0,98.2
1790517,10.9,148.3,6.8,102.3,84.6
1790518,5.0,128.0,7.7,130.3,97.9
1790519,5.1,183.4,7.7,91.2,130.7
1790520,7.3,141.2,6.5,89.4,117.7
1790521,2.3,154.8,5.5,69.0,95.4
1790522,1.9,50.4,8.2,95.8,136.4
1790523,9.0,104.9,6.7,114.9,116.1
1790524,7.5,149.7,8.5,137.8,84.6
1790525,1.8,129.4,8.4,72.2,118.2
1790526,11.8,131.6,6.6,116.1,91.7
1790527,14.5,62.7,7.4,57.8,92.5
1790528,2.4,70.7,5.9,125.8,82.8
1790529,1.7,53.8,7.6,139.5,154.2
1790530,9.1,111.1,6.8,81.4,104.6
1790531,2.6,102.9,7.2,105.2,98.3
1790532,7.0,103.8,5.5,92.6,115.2
1790533,6.9,158.1,6.1,145.8,65.9
1790534,8.7,56.5,6.8,105.4,108.3
1790535,1.7,135.4,6.8,159.2,78.3
1790536,8.5,156.0,9.6,126.6,91.2
1790537,8.3,172.3,8.2,46.3,43.2
1790538,4.5,103.0,6.7,82.2,113.9
1790539,8.9,90.7,8.1,99.2,112.8
1790540,11.3,179.6,5.9,115.1,70.9
1790541,4.7,101.1,7.7,97.1,129.4
1790542,9.0,152.6,7.2,88.9,123.8
1790543,1.3,134.4,9.0,132.3,109.0
1790544,14.1,117.6,7.3,77.8,139.2
1790545,11.1,81.7,8.4,78.3,143.4
1790546,13.1,191.3,3.8,117.6,93.6
1790547,14.2,85.9,7.2,95.9,107.4
1790548,13.0,126.2,5.9,81.5,116.5
1790549,12.5,124.7,5.4,98.5,98.3
1790550,13.0,120.1,6.3,112.1,146.0
1790551,3.6,143.0,9.0,101.7,129.6
1790552,8.5,91.2,6.0,86.7,115.1
1790553,4.0,142.1,4.9,74.5,62.2
1790554,13.3,192.5,7.7,127.8,156.8
1790555,13.9,130.4,5.7,92.8,107.1
1790556,3.1,99.9,7.1,135.1,145.8
1790557,13.1,140.2,6.6,79.9,105.7
1790558,12.7,192.8,9.4,39.8,88.7
1790559,3.0,142.8,4.5,116.2,51.6
1790560,12.9,218.7,6.7,59.9,95.8
1790561,4.4,46.4,5.5,73.6,152.2
1790562,8.3,160.4,6.3,111.3,80.3
1790563,2.5,153.2,5.7,109.8,98.0
1790564,14.9,108.4,9.2,128.4,89.2
1790565,3.0,124.8,7.8,94.9,124.5
1790566,7.0,63.6,7.3,59.8,80.7
1790567,9.2,91.0,8.2,101.1,123.1
1790568,4.6,138.5,6.8,105.7,118.3
1790569,13.3,118.7,6.7,28.1,113.7
1790570,2.6,74.2,9.1,135.5,109.3
1790571,2.4,154.4,10.0,50.8,82.6
1790572,7.9,145.9,7.5,155.4,90.7
1790573,4.5,149.8,4.5,114.1,108.6
1790574,5.8,142.4,7.5,106.6,67.3
1790575,5.0,57.6,8.3,89.1,124.0
1790576,5.7,103.5,9.6,114.1,94.5
1790577,4.1,78.0,8.0,82.7,115.0
1790578,13.9,41.8,5.0,58.6,126.3
1790579,10.4,132.7,7.4,109.0,79.6
1790580,13.1,141.6,7.3,106.8,110.3
