FlightID,Airline,ScheduledTime_Hour,Delay_Minutes,Weather_Severity,IsWeekend
FL00176,Asiana,20,87.0,4.0,No
FL00177,Korean Air,20,45.0,1.8,No
FL00178,Jeju Air,7,20.0,1.8,No
FL00179,Tway,8,58.0,3.9,No
FL00180,Jin Air,21,96.0,3.7,Yes
FL00181,Jin Air,8,71.0,3.3,Yes
FL00182,Korean Air,17,86.0,4.2,No
FL00183,Jeju Air,14,54.0,2.2,Yes
FL00184,Korean Air,22,98.0,4.6,No
FL00185,Korean Air,23,66.0,3.0,No
FL00186,Jin Air,22,85.0,4.6,No
FL00187,Tway,11,44.0,3.4,No
FL00188,Tway,12,53.0,3.3,No
FL00189,Korean Air,21,100.0,3.4,Yes
FL00190,Asiana,10,68.0,4.7,No
FL00191,Korean Air,7,4.0,1.6,No
FL00192,Asiana,13,71.0,4.0,No
FL00193,Asiana,17,69.0,3.1,Yes
FL00194,Jin Air,15,62.0,3.8,No
FL00195,Korean Air,16,57.0,1.7,Yes
FL00196,Korean Air,15,32.0,1.4,Yes
FL00197,Tway,6,77.0,4.7,No
FL00198,Korean Air,17,16.0,1.2,No
FL00199,Korean Air,17,39.0,1.5,Yes
FL00200,Jeju Air,8,49.0,3.8,No
FL00201,Asiana,15,71.0,2.4,Yes
FL00202,Jeju Air,11,69.0,3.7,No
FL00203,Tway,14,51.0,3.1,No
FL00204,Korean Air,19,81.0,2.4,Yes
FL00205,Asiana,8,61.0,3.6,No
FL00206,Jeju Air,11,38.0,2.8,No
FL00207,Tway,13,46.0,2.3,Yes
FL00208,Korean Air,17,78.0,4.3,No
FL00209,Asiana,7,,2.0,No
FL00210,Jin Air,12,56.0,3.3,No
FL00211,Asiana,23,95.0,4.4,No
FL00212,Jin Air,9,67.0,3.9,No
FL00213,Korean Air,7,23.0,2.2,No
FL00214,Asiana,12,45.0,2.7,No
FL00215,Jeju Air,20,99.0,4.7,Yes
FL00216,Jeju Air,21,59.0,2.7,No
FL00217,Tway,23,54.0,1.7,No
FL00218,Asiana,10,82.0,4.6,No
FL00219,Jin Air,9,41.0,3.3,No
FL00220,Tway,10,0.0,1.2,No
FL00221,Jin Air,16,51.0,2.7,Yes
FL00222,Korean Air,22,90.0,4.3,No
FL00223,Asiana,19,43.0,2.3,No
FL00224,Korean Air,19,35.0,1.3,Yes
FL00225,Asiana,20,126.0,4.9,Yes
FL00226,Jeju Air,7,48.0,4.1,No
FL00227,Korean Air,8,43.0,2.8,No
FL00228,Korean Air,21,85.0,3.8,No
FL00229,Korean Air,11,39.0,2.7,Yes
FL00230,Korean Air,16,73.0,3.4,Yes
FL00231,Jin Air,19,30.0,1.4,Yes
FL00232,Jin Air,14,53.0,3.4,No
FL00233,Tway,19,59.0,2.9,No
FL00234,Asiana,6,66.0,3.9,No
FL00235,Korean Air,15,95.0,4.9,Yes
FL00236,Asiana,20,96.0,4.8,Yes
FL00237,Jin Air,16,79.0,3.8,Yes
FL00238,Jeju Air,20,,4.3,No
FL00239,Korean Air,19,106.0,4.5,Yes
FL00240,Asiana,18,89.0,3.9,Yes
FL00241,Jin Air,15,58.0,3.0,No
FL00242,Korean Air,22,35.0,1.4,Yes
FL00243,Asiana,23,38.0,1.7,No
FL00244,Korean Air,22,103.0,4.6,Yes
FL00245,Jeju Air,13,,3.0,Yes
FL00246,Tway,20,61.0,2.9,No
FL00247,Korean Air,20,16.0,1.2,No
FL00248,Asiana,17,62.0,2.9,No
FL00249,Korean Air,21,58.0,2.7,No
FL00250,Jeju Air,23,49.0,1.9,No
FL00251,Asiana,9,39.0,3.0,No
FL00252,Jeju Air,20,82.0,4.4,No
FL00253,Jin Air,22,65.0,3.5,No
FL00254,Jin Air,11,69.0,3.1,No
FL00255,Asiana,7,29.0,2.5,No
FL00256,Asiana,9,78.0,4.4,No
FL00257,Korean Air,14,39.0,2.1,Yes
FL00258,Tway,17,93.0,4.4,Yes
FL00259,Jin Air,17,80.0,4.4,No
FL00260,Korean Air,17,68.0,3.1,No
FL00261,Asiana,16,21.0,2.0,No
FL00262,Tway,13,4.0,1.5,No
FL00263,Asiana,13,48.0,3.2,No
FL00264,Tway,16,48.0,2.1,Yes
FL00265,Korean Air,17,60.0,1.5,Yes
FL00266,Asiana,17,44.0,2.0,No
FL00267,Asiana,15,98.0,4.2,Yes
FL00268,Jin Air,13,33.0,1.9,No
FL00269,Asiana,13,43.0,3.3,Yes
FL00270,Asiana,6,33.0,1.4,Yes
FL00271,Tway,12,6.0,1.1,No
FL00272,Korean Air,7,27.0,2.1,No
FL00273,Korean Air,15,67.0,3.0,No
FL00274,Jin Air,15,93.0,4.2,No
FL00275,Tway,11,10.0,1.7,No
FL00276,Korean Air,19,41.0,2.6,No
FL00277,Korean Air,13,14.0,1.1,No
FL00278,Tway,15,67.0,3.2,No
FL00279,Korean Air,14,51.0,1.9,Yes
FL00280,Asiana,16,91.0,4.1,No
FL00281,Jin Air,16,99.0,4.3,No
FL00282,Tway,11,20.0,1.5,Yes
FL00283,Korean Air,15,55.0,2.5,No
FL00284,Korean Air,14,67.0,3.6,No
FL00285,Asiana,18,22.0,1.9,No
FL00286,Korean Air,12,50.0,2.7,Yes
FL00287,Tway,14,52.0,2.9,No
FL00288,Asiana,6,25.0,1.6,No
FL00289,Korean Air,8,65.0,3.7,Yes
FL00290,Jeju Air,13,38.0,2.9,No
FL00291,Jeju Air,19,92.0,4.5,No
FL00292,Korean Air,15,66.0,3.5,No
FL00293,Tway,8,69.0,4.2,No
FL00294,Asiana,7,82.0,4.6,No
FL00295,Asiana,15,61.0,2.7,Yes
FL00296,Korean Air,12,49.0,3.0,No
FL00297,Korean Air,11,82.0,4.5,Yes
FL00298,Jeju Air,23,102.0,4.3,No
FL00299,Tway,11,62.0,3.8,No
FL00300,Korean Air,17,84.0,3.0,Yes
FL00301,Jeju Air,16,91.0,4.6,Yes
FL00302,Jeju Air,20,91.0,4.4,No
FL00303,Korean Air,11,6.0,1.2,No
FL00304,Korean Air,23,50.0,3.2,No
FL00305,Jin Air,16,53.0,2.0,Yes
FL00306,Asiana,14,98.0,3.9,Yes
FL00307,Asiana,23,102.0,4.7,No
FL00308,Korean Air,15,35.0,1.8,No
FL00309,Korean Air,13,102.0,4.2,Yes
FL00310,Jeju Air,17,102.0,4.8,No
FL00311,Korean Air,17,84.0,4.7,No
FL00312,Jin Air,8,31.0,1.9,No
FL00313,Korean Air,22,56.0,2.8,No
FL00314,Asiana,17,110.0,4.9,Yes
FL00315,Asiana,12,20.0,1.6,No
FL00316,Korean Air,20,46.0,1.6,No
FL00317,Asiana,19,22.0,1.5,No
FL00318,Korean Air,22,100.0,4.8,No
FL00319,Korean Air,20,45.0,2.7,No
FL00320,Asiana,22,85.0,3.8,No
FL00321,Korean Air,16,22.0,1.3,Yes
FL00322,Asiana,14,86.0,4.5,No
FL00323,Korean Air,14,69.0,3.7,Yes
FL00324,Korean Air,23,76.0,4.0,No
FL00325,Korean Air,7,5.0,1.1,No
FL00326,Jin Air,10,84.0,5.0,No
FL00327,Jin Air,13,44.0,2.6,No
FL00328,Asiana,17,40.0,2.5,No
FL00329,Jeju Air,20,32.0,1.3,No
FL00330,Jin Air,15,64.0,3.2,Yes
FL00331,Asiana,21,53.0,2.6,No
FL00332,Korean Air,9,50.0,3.4,No
FL00333,Jin Air,11,58.0,3.4,No
FL00334,Korean Air,17,37.0,2.2,Yes
FL00335,Korean Air,23,102.0,4.7,No
FL00336,Jin Air,9,71.0,3.4,No
FL00337,Asiana,13,88.0,5.0,No
FL00338,Asiana,23,113.0,4.0,Yes
FL00339,Korean Air,15,34.0,1.4,No
FL00340,Jeju Air,17,13.0,1.4,No
FL00341,Jin Air,6,38.0,2.8,Yes
FL00342,Jeju Air,14,72.0,4.0,No
FL00343,Asiana,21,76.0,3.7,No
FL00344,Korean Air,10,47.0,2.7,No
FL00345,Korean Air,15,43.0,2.1,No
FL00346,Korean Air,16,74.0,4.0,No
FL00347,Korean Air,8,71.0,4.0,Yes
FL00348,Jeju Air,18,41.0,2.4,No
FL00349,Jeju Air,19,46.0,1.0,Yes
FL00350,Asiana,17,26.0,1.4,No
FL00351,Asiana,23,82.0,4.4,No
FL00352,Jeju Air,20,76.0,3.4,No
FL00353,Jeju Air,22,42.0,1.5,No
FL00354,Asiana,21,58.0,3.7,No
FL00355,Jin Air,21,95.0,4.5,Yes
FL00356,Asiana,23,76.0,3.4,No
FL00357,Tway,23,40.0,2.9,No
FL00358,Jeju Air,12,76.0,4.4,No
FL00359,Jin Air,18,60.0,2.1,Yes
FL00360,Korean Air,17,63.0,3.1,Yes
FL00361,Tway,18,71.0,3.6,No
FL00362,Korean Air,6,53.0,3.0,Yes
FL00363,Jin Air,10,79.0,4.5,No
FL00364,Jin Air,9,46.0,3.2,No
FL00365,Jin Air,16,63.0,3.6,Yes
FL00366,Korean Air,16,75.0,3.4,No
FL00367,Korean Air,22,55.0,1.9,No
FL00368,Korean Air,8,13.0,1.3,Yes
FL00369,Korean Air,6,78.0,4.2,Yes
FL00370,Jin Air,10,47.0,2.2,Yes
FL00371,Jin Air,20,12.0,1.4,No
FL00372,Korean Air,21,59.0,2.6,No
FL00373,Jin Air,21,68.0,2.7,No
FL00374,Jeju Air,9,29.0,2.3,No
FL00375,Korean Air,11,74.0,4.9,No
FL00376,Asiana,8,30.0,3.2,No
FL00377,Jeju Air,15,33.0,1.4,No
FL00378,Korean Air,11,80.0,5.0,No
FL00379,Jeju Air,20,59.0,2.9,No
FL00380,Jeju Air,16,96.0,4.1,Yes
FL00381,Korean Air,12,34.0,2.2,No
FL00382,Jin Air,7,25.0,2.6,No
FL00383,Tway,22,81.0,3.2,Yes
FL00384,Asiana,20,45.0,1.8,No
FL00385,Tway,15,21.0,1.8,No
FL00386,Jeju Air,15,82.0,4.3,No
FL00387,Tway,17,88.0,4.4,No
FL00388,Jin Air,13,100.0,4.7,Yes
FL00389,Jin Air,7,57.0,4.1,Yes
FL00390,Jeju Air,18,47.0,1.8,No
FL00391,Asiana,22,69.0,3.6,Yes
FL00392,Jeju Air,10,13.0,1.1,No
FL00393,Asiana,10,6.0,1.2,No
FL00394,Jeju Air,11,62.0,3.6,No
FL00395,Korean Air,13,95.0,3.7,Yes
FL00396,Korean Air,12,70.0,3.2,No
FL00397,Korean Air,6,8.0,1.8,No
FL00398,Jin Air,22,65.0,3.8,No
FL00399,Asiana,16,95.0,3.9,No
FL00400,Korean Air,13,54.0,3.3,No
FL00401,Jin Air,23,51.0,2.0,No
FL00402,Korean Air,11,88.0,4.3,No
FL00403,Jin Air,17,92.0,4.0,Yes
FL00404,Tway,12,85.0,4.3,No
FL00405,Asiana,14,92.0,4.8,No
FL00406,Asiana,15,85.0,4.7,No
FL00407,Korean Air,19,78.0,3.2,No
FL00408,Asiana,15,93.0,4.8,No
FL00409,Korean Air,14,9.0,1.3,Yes
FL00410,Tway,14,66.0,3.9,Yes
FL00411,Asiana,6,34.0,3.0,No
FL00412,Jeju Air,15,81.0,4.4,No
FL00413,Korean Air,13,79.0,4.8,No
FL00414,Jeju Air,16,56.0,1.8,No
FL00415,Korean Air,8,95.0,4.3,Yes
FL00416,Korean Air,17,44.0,2.2,No
FL00417,Korean Air,8,111.0,4.8,Yes
FL00418,Tway,16,49.0,2.7,No
FL00419,Jeju Air,23,46.0,1.6,Yes
FL00420,Korean Air,22,104.0,4.7,Yes
FL00421,Jeju Air,14,79.0,3.1,No
FL00422,Jeju Air,14,78.0,2.9,No
FL00423,Korean Air,21,67.0,3.2,No
FL00424,Korean Air,19,91.0,3.3,Yes
FL00425,Asiana,17,7.0,1.2,No
FL00426,Asiana,16,73.0,3.3,No
FL00427,Asiana,15,71.0,3.9,No
FL00428,Korean Air,8,47.0,2.9,Yes
FL00429,Korean Air,22,49.0,2.3,No
FL00430,Jeju Air,7,45.0,2.9,No
FL00431,Asiana,12,64.0,3.0,No
FL00432,Korean Air,9,36.0,2.5,Yes
FL00433,Korean Air,10,0.0,1.0,No
FL00434,Korean Air,18,49.0,2.4,Yes
FL00435,Asiana,7,81.0,4.6,No
FL00436,Jeju Air,8,82.0,5.0,No
FL00437,Tway,13,25.0,1.6,No
FL00438,Korean Air,15,18.0,2.8,No
FL00439,Korean Air,19,66.0,2.6,No
FL00440,Korean Air,8,19.0,2.1,No
FL00441,Asiana,10,99.0,4.6,Yes
FL00442,Asiana,7,16.0,1.6,No
FL00443,Asiana,16,88.0,4.3,No
FL00444,Korean Air,15,61.0,3.4,No
FL00445,Jeju Air,9,75.0,4.9,No
FL00446,Korean Air,9,4.0,1.3,No
FL00447,Tway,16,60.0,3.5,No
FL00448,Asiana,6,39.0,2.9,No
FL00449,Korean Air,18,68.0,3.9,No
FL00450,Asiana,20,44.0,2.2,No
FL00451,Asiana,7,26.0,2.3,No
FL00452,Asiana,21,89.0,3.1,Yes
FL00453,Korean Air,17,98.0,4.7,No
FL00454,Tway,7,54.0,3.0,No
FL00455,Jin Air,18,39.0,1.4,Yes
FL00456,Tway,18,24.0,2.5,No
FL00457,Asiana,16,81.0,4.7,No
FL00458,Korean Air,10,62.0,3.8,No
FL00459,Korean Air,16,79.0,3.7,No
FL00460,Korean Air,10,73.0,4.9,No
FL00461,Jeju Air,10,14.0,1.5,No
FL00462,Korean Air,18,63.0,2.9,No
FL00463,Korean Air,14,100.0,4.6,No
FL00464,Asiana,10,29.0,1.6,No
FL00465,Asiana,9,75.0,3.3,Yes
FL00466,Jin Air,23,27.0,1.6,No
FL00467,Asiana,15,93.0,4.2,No
FL00468,Asiana,9,49.0,2.7,No
FL00469,Asiana,19,86.0,3.9,No
FL00470,Korean Air,15,37.0,1.8,No
FL00471,Asiana,10,58.0,3.8,No
FL00472,Jeju Air,23,69.0,3.2,No
FL00473,Korean Air,8,100.0,4.8,No
FL00474,Tway,18,56.0,3.6,No
FL00475,Jeju Air,6,52.0,3.6,No
FL00476,Asiana,7,32.0,2.3,No
FL00477,Jeju Air,20,63.0,3.4,No
FL00478,Jeju Air,7,52.0,4.2,No
FL00479,Korean Air,11,16.0,1.6,No
FL00480,Jin Air,17,75.0,3.7,Yes
FL00481,Asiana,6,63.0,4.7,No
FL00482,Asiana,15,22.0,2.0,No
FL00483,Jin Air,7,,1.2,No
FL00484,Jeju Air,20,86.0,3.7,No
FL00485,Asiana,17,79.0,3.3,Yes
FL00486,Korean Air,16,17.0,1.8,No
FL00487,Asiana,22,91.0,4.4,No
FL00488,Korean Air,22,87.0,4.4,No
FL00489,Asiana,10,45.0,2.0,No
FL00490,Korean Air,15,88.0,3.9,Yes
FL00491,Jeju Air,12,13.0,1.5,No
FL00492,Korean Air,12,78.0,4.4,No
FL00493,Korean Air,22,91.0,3.3,Yes
FL00494,Asiana,14,41.0,1.8,Yes
FL00495,Korean Air,14,49.0,1.3,Yes
FL00496,Korean Air,20,83.0,2.9,Yes
FL00497,Korean Air,7,70.0,4.9,No
FL00498,Korean Air,21,84.0,4.9,No
FL00499,Jeju Air,19,21.0,1.1,No
FL00500,Jin Air,20,51.0,2.9,No
FL00501,Korean Air,9,93.0,4.9,No
FL00502,Jeju Air,13,32.0,1.5,No
FL00503,Korean Air,14,91.0,4.2,Yes
FL00504,Jin Air,15,42.0,1.9,No
FL00505,Jin Air,14,48.0,3.4,No
FL00506,Korean Air,8,,2.3,No
FL00507,Asiana,14,34.0,2.4,No
FL00508,Asiana,17,25.0,1.4,Yes
FL00509,Jeju Air,19,94.0,4.5,Yes
FL00510,Jin Air,16,71.0,3.2,No
FL00511,Tway,15,89.0,4.6,Yes
FL00512,Asiana,11,89.0,4.5,No
FL00513,Korean Air,7,69.0,4.8,No
FL00514,Asiana,22,105.0,4.9,No
FL00515,Jin Air,23,66.0,2.5,Yes
FL00516,Korean Air,17,40.0,1.6,Yes
FL00517,Jeju Air,22,29.0,1.6,No
FL00518,Jin Air,14,87.0,3.8,Yes
FL00519,Korean Air,23,,1.9,Yes
FL00520,Korean Air,8,28.0,2.9,No
FL00521,Korean Air,6,83.0,4.9,No
FL00522,Korean Air,16,67.0,3.7,No
FL00523,Asiana,21,100.0,4.4,No
FL00524,Korean Air,8,47.0,3.5,No
FL00525,Jin Air,7,10.0,1.6,No
FL00526,Asiana,13,37.0,3.4,No
FL00527,Korean Air,17,30.0,1.6,No
FL00528,Jeju Air,14,101.0,4.6,Yes
FL00529,Asiana,17,35.0,1.9,No
FL00530,Jeju Air,13,35.0,2.9,No
FL00531,Asiana,12,62.0,3.1,No
FL00532,Asiana,14,18.0,2.2,No
FL00533,Jeju Air,21,41.0,1.4,No
FL00534,Asiana,9,72.0,4.3,No
FL00535,Jeju Air,17,43.0,2.3,No
FL00536,Asiana,6,68.0,4.4,Yes
FL00537,Korean Air,22,58.0,3.1,Yes
FL00538,Korean Air,17,91.0,4.1,No
FL00539,Jeju Air,10,29.0,1.0,Yes
FL00540,Jeju Air,15,30.0,2.2,No
FL00541,Jin Air,8,15.0,2.0,No
FL00542,Korean Air,12,32.0,1.5,No
FL00543,Korean Air,13,39.0,1.7,Yes
FL00544,Jin Air,6,48.0,3.1,Yes
FL00545,Korean Air,14,24.0,1.8,No
FL00546,Jeju Air,6,9.0,1.5,Yes
FL00547,Jeju Air,20,87.0,4.5,No
FL00548,Jeju Air,12,41.0,2.5,No
FL00549,Korean Air,6,35.0,3.0,No
FL00550,Korean Air,15,33.0,1.7,Yes
FL00551,Asiana,12,49.0,3.5,No
FL00552,Jeju Air,8,9.0,1.2,Yes
FL00553,Korean Air,18,60.0,2.8,No
FL00554,Jin Air,14,47.0,3.2,No
FL00555,Asiana,16,,3.6,No
FL00556,Tway,8,91.0,4.8,No
FL00557,Asiana,20,45.0,2.8,No
FL00558,Jeju Air,9,10.0,1.1,Yes
FL00559,Korean Air,23,23.0,2.5,No
FL00560,Korean Air,11,41.0,2.8,Yes
FL00561,Asiana,16,86.0,4.3,Yes
FL00562,Korean Air,17,40.0,2.9,No
FL00563,Korean Air,17,26.0,1.3,No
FL00564,Jeju Air,13,88.0,4.1,No
FL00565,Asiana,15,20.0,1.5,No
FL00566,Jeju Air,10,22.0,1.8,Yes
FL00567,Jin Air,13,25.0,3.1,No
FL00568,Jin Air,6,11.0,1.3,No
FL00569,Tway,14,39.0,2.5,No
FL00570,Tway,13,70.0,4.5,No
FL00571,Tway,8,68.0,4.4,No
FL00572,Korean Air,17,22.0,1.3,No
FL00573,Korean Air,13,41.0,1.3,No
FL00574,Jin Air,18,48.0,1.5,No
FL00575,Tway,16,53.0,2.6,Yes
FL00576,Korean Air,9,39.0,2.9,No
FL00577,Korean Air,7,40.0,1.5,No
FL00578,Korean Air,6,25.0,1.8,No
FL00579,Jeju Air,12,72.0,2.6,No
FL00580,Korean Air,16,38.0,1.3,Yes
FL00581,Asiana,16,33.0,1.3,No
FL00582,Korean Air,21,43.0,1.6,Yes
FL00583,Korean Air,22,108.0,4.9,Yes
FL00584,Tway,14,74.0,5.0,No
FL00585,Korean Air,15,86.0,4.0,Yes
FL00586,Jeju Air,20,36.0,1.4,No
FL00587,Korean Air,12,18.0,1.8,No
FL00588,Korean Air,17,71.0,3.8,No
FL00589,Asiana,18,95.0,5.0,No
FL00590,Korean Air,21,27.0,1.8,No
FL00591,Jin Air,6,64.0,4.0,Yes
FL00592,Korean Air,9,10.0,1.0,Yes
FL00593,Korean Air,23,86.0,4.1,No
FL00594,Korean Air,21,106.0,4.7,Yes
FL00595,Jeju Air,16,56.0,3.2,No
FL00596,Tway,6,29.0,2.6,No
FL00597,Jeju Air,16,59.0,3.4,No
FL00598,Korean Air,14,58.0,3.8,No
FL00599,Jeju Air,10,43.0,3.2,Yes
