SubscriptionID,MonthlyFee,UserSeats,ExpansionRevenue,TenureMonths,CustomerLifetimeValue
1110057,117.8,85.6,57723.0,31.0,68662.0
1110058,164.8,93.4,80942.0,54.0,85739.0
1110059,112.3,102.4,65720.0,17.0,73863.0
1110060,95.6,123.9,48135.0,37.0,68061.0
1110061,102.2,86.4,70613.0,54.0,41320.0
1110062,31.8,65.9,68812.0,7.0,43514.0
1110063,102.8,97.2,62392.0,29.0,37804.0
1110064,103.0,108.2,72609.0,8.0,62834.0
1110065,125.9,97.9,47928.0,7.0,49427.0
1110066,137.0,131.9,71987.0,14.0,44711.0
1110067,133.9,91.8,72856.0,9.0,71881.0
1110068,109.0,75.3,64799.0,30.0,68109.0
1110069,71.9,56.9,46481.0,41.0,66968.0
1110070,161.2,89.4,60087.0,29.0,74287.0
1110071,148.9,110.4,85265.0,22.0,65299.0
1110072,177.3,59.2,68659.0,60.0,60750.0
1110073,144.4,117.5,43857.0,5.0,82436.0
1110074,96.6,98.1,84905.0,13.0,68941.0
1110075,113.7,135.2,66099.0,24.0,65685.0
1110076,105.5,100.1,98985.0,41.0,70983.0
1110077,130.7,83.9,55251.0,60.0,57107.0
1110078,144.9,92.5,59530.0,59.0,58624.0
1110079,129.5,63.7,89786.0,45.0,55212.0
1110080,90.0,95.3,42645.0,46.0,58070.0
1110081,108.8,132.0,65512.0,49.0,84346.0
1110082,148.1,95.7,80190.0,15.0,62770.0
1110083,144.0,127.0,26211.0,11.0,57939.0
1110084,128.6,69.0,61828.0,54.0,56046.0
1110085,172.0,103.1,47894.0,35.0,101598.0
1110086,95.9,80.8,81173.0,44.0,60967.0
1110087,130.1,113.6,68903.0,39.0,77328.0
1110088,153.3,82.6,41610.0,20.0,65701.0
1110089,105.2,111.1,58197.0,38.0,55535.0
1110090,78.8,142.2,45318.0,54.0,72824.0
1110091,94.1,106.2,84252.0,23.0,55364.0
1110092,206.0,131.6,81565.0,52.0,43793.0
1110093,34.5,114.2,59916.0,40.0,43801.0
1110094,138.7,60.6,60571.0,21.0,66364.0
1110095,107.6,120.6,74432.0,32.0,44334.0
1110096,204.1,121.4,47506.0,25.0,70617.0
1110097,78.0,148.4,92944.0,26.0,46626.0
1110098,114.9,120.8,85082.0,7.0,48904.0
1110099,56.6,79.0,23661.0,41.0,41881.0
1110100,95.6,89.9,61385.0,3.0,62849.0
1110101,124.1,99.8,50075.0,17.0,46718.0
1110102,118.7,58.5,77723.0,44.0,69404.0
1110103,147.1,101.9,37582.0,51.0,101397.0
1110104,77.9,120.3,64349.0,59.0,60670.0
1110105,65.1,102.1,77477.0,54.0,70164.0
1110106,137.8,97.4,25139.0,27.0,65191.0
1110107,54.5,122.2,67580.0,48.0,57952.0
1110108,95.7,99.7,37015.0,9.0,77727.0
1110109,113.1,137.9,51492.0,52.0,72631.0
1110110,83.0,66.7,47664.0,48.0,81953.0
1110111,156.5,131.1,62309.0,41.0,75003.0
1110112,170.2,52.3,57096.0,20.0,105338.0
1110113,129.0,81.2,42757.0,15.0,73048.0
1110114,100.8,121.5,76080.0,12.0,82360.0
1110115,138.5,155.4,56407.0,59.0,63197.0
1110116,109.2,30.6,78325.0,34.0,48262.0
1110117,104.7,97.9,68976.0,32.0,70586.0
1110118,168.5,121.9,56803.0,25.0,59931.0
1110119,100.4,91.7,45272.0,46.0,54210.0
1110120,140.7,64.8,87732.0,58.0,71578.0
1110121,18.7,119.9,78518.0,46.0,65451.0
1110122,146.1,100.1,37898.0,12.0,96006.0
1110123,78.7,64.4,69202.0,37.0,51166.0
1110124,120.1,141.7,27507.0,40.0,66967.0
1110125,169.0,122.5,67629.0,42.0,63694.0
1110126,121.8,165.2,53573.0,26.0,33087.0
1110127,127.0,54.3,79181.0,42.0,49570.0
1110128,97.4,115.0,93934.0,56.0,89532.0
1110129,116.5,124.0,42838.0,48.0,56440.0
1110130,135.8,72.5,55190.0,58.0,81462.0
1110131,74.5,84.0,50743.0,34.0,62294.0
1110132,145.5,142.3,96892.0,35.0,64078.0
1110133,151.3,101.6,26959.0,5.0,56753.0
1110134,172.8,90.8,96256.0,29.0,66447.0
1110135,113.5,134.3,51421.0,12.0,45915.0
1110136,53.5,76.9,41661.0,23.0,75505.0
1110137,145.2,108.4,65020.0,42.0,48125.0
1110138,104.1,74.7,79101.0,57.0,47468.0
1110139,92.5,104.9,54203.0,36.0,48476.0
1110140,81.1,100.9,48457.0,25.0,34916.0
1110141,59.4,107.3,74779.0,14.0,51713.0
1110142,119.6,120.9,71212.0,59.0,43968.0
1110143,190.3,64.0,78137.0,10.0,54881.0
1110144,131.4,83.7,86925.0,5.0,66619.0
1110145,158.7,126.4,75284.0,34.0,43862.0
1110146,138.4,100.6,48796.0,17.0,88721.0
1110147,69.4,124.6,47513.0,46.0,73646.0
1110148,43.4,128.7,60994.0,56.0,63158.0
1110149,115.1,106.5,71246.0,39.0,93511.0
1110150,171.4,90.5,75524.0,31.0,67145.0
1110151,80.7,138.1,70102.0,37.0,70272.0
1110152,109.1,155.0,30012.0,37.0,87012.0
1110153,110.6,57.2,40562.0,12.0,79060.0
1110154,107.9,99.1,62675.0,50.0,21055.0
1110155,126.0,106.5,36659.0,29.0,75484.0
1110156,123.4,91.9,55420.0,14.0,47322.0
1110157,90.5,137.8,61940.0,34.0,109924.0
1110158,30.7,127.4,38279.0,52.0,55628.0
1110159,128.0,93.4,38624.0,53.0,73353.0
1110160,129.5,110.4,50315.0,19.0,81924.0
1110161,135.5,90.4,97520.0,3.0,59002.0
1110162,218.5,82.0,91924.0,43.0,102328.0
1110163,172.5,74.5,59745.0,24.0,79137.0
1110164,135.6,83.7,93692.0,42.0,77046.0
1110165,102.5,80.8,73782.0,54.0,83823.0
1110166,101.8,122.1,80852.0,53.0,39289.0
1110167,38.9,110.9,75412.0,28.0,45134.0
1110168,148.8,144.6,62160.0,35.0,77219.0
1110169,118.1,90.6,39954.0,11.0,83519.0
1110170,153.9,81.3,41185.0,43.0,90318.0
1110171,155.5,45.9,88511.0,22.0,66930.0
1110172,91.4,141.2,30747.0,60.0,74054.0
1110173,170.8,65.0,59691.0,22.0,53366.0
1110174,101.8,133.6,55766.0,49.0,50882.0
1110175,87.9,71.8,,9.0,32549.0
1110176,114.9,130.5,70255.0,10.0,50259.0
1110177,118.8,115.7,87879.0,14.0,75693.0
1110178,111.5,106.9,53739.0,14.0,26586.0
1110179,127.9,122.4,85270.0,60.0,63340.0
1110180,204.2,115.2,63585.0,49.0,57062.0
1110181,110.7,111.5,85428.0,4.0,76177.0
1110182,227.7,120.3,68872.0,44.0,54864.0
1110183,152.8,110.7,99893.0,8.0,22859.0
1110184,147.3,58.3,88641.0,18.0,64230.0
1110185,103.2,95.4,48238.0,36.0,44197.0
1110186,132.7,103.3,72923.0,25.0,64589.0
1110187,134.6,101.4,59511.0,32.0,63151.0
1110188,126.7,102.8,70245.0,24.0,48526.0
1110189,156.8,111.9,39472.0,18.0,73604.0
1110190,187.7,100.5,42692.0,55.0,76866.0
1110191,94.2,68.6,74546.0,16.0,75171.0
1110192,110.4,116.0,54169.0,45.0,60159.0
1110193,108.2,86.6,77356.0,54.0,44910.0
1110194,121.9,80.5,53748.0,41.0,87106.0
1110195,203.3,97.5,80994.0,28.0,75323.0
1110196,152.9,86.0,81594.0,9.0,82389.0
1110197,82.2,81.1,105466.0,19.0,48893.0
1110198,140.5,119.7,49772.0,55.0,77796.0
1110199,65.4,115.8,38751.0,28.0,68092.0
1110200,134.3,112.9,53196.0,35.0,48639.0
1110201,26.6,104.6,68476.0,30.0,82588.0
1110202,77.0,109.3,67366.0,20.0,59413.0
1110203,44.7,102.3,52612.0,18.0,78733.0
1110204,169.9,85.3,66220.0,38.0,95480.0
1110205,138.0,65.9,88690.0,26.0,57111.0
1110206,79.4,107.1,88999.0,38.0,62192.0
1110207,150.9,110.1,41737.0,26.0,66718.0
1110208,71.2,113.5,49273.0,51.0,42033.0
1110209,88.7,138.2,75576.0,27.0,43320.0
1110210,142.1,148.9,72451.0,34.0,70318.0
1110211,58.5,137.9,72163.0,19.0,69337.0
1110212,99.4,92.9,67605.0,25.0,54271.0
1110213,90.1,132.7,90747.0,27.0,28531.0
1110214,175.3,85.4,62069.0,33.0,73727.0
1110215,148.4,81.4,90652.0,6.0,68859.0
1110216,116.7,92.3,80079.0,8.0,79607.0
1110217,140.2,98.2,27615.0,44.0,70836.0
1110218,57.8,131.9,69612.0,34.0,53798.0
1110219,172.5,134.2,84662.0,10.0,84281.0
1110220,98.0,112.3,62977.0,46.0,35049.0
1110221,79.2,84.5,78084.0,25.0,74205.0
1110222,123.1,115.6,82903.0,55.0,84639.0
1110223,92.3,117.4,45542.0,17.0,103854.0
1110224,143.8,129.1,56566.0,27.0,78071.0
1110225,124.8,60.9,76331.0,9.0,36572.0
1110226,130.9,115.4,62484.0,54.0,98499.0
1110227,75.2,74.8,83494.0,53.0,74214.0
1110228,85.5,44.2,85395.0,42.0,36961.0
1110229,156.0,86.3,40155.0,9.0,83552.0
1110230,83.9,101.7,72142.0,43.0,72244.0
1110231,165.4,69.5,49806.0,32.0,83587.0
1110232,107.4,56.8,82653.0,14.0,52697.0
1110233,117.6,152.4,46659.0,18.0,42045.0
1110234,106.0,102.1,87789.0,51.0,82121.0
1110235,58.6,94.8,54597.0,46.0,72521.0
1110236,112.9,74.7,65155.0,29.0,65099.0
1110237,61.3,129.3,42825.0,12.0,75383.0
1110238,58.9,113.2,34107.0,54.0,74484.0
1110239,152.6,85.2,46964.0,51.0,74466.0
1110240,192.7,108.1,37636.0,23.0,36181.0
1110241,116.7,77.2,73421.0,52.0,47031.0
1110242,116.4,108.2,76501.0,24.0,33231.0
1110243,112.4,104.9,57893.0,31.0,49136.0
1110244,118.7,50.9,93966.0,26.0,37912.0
1110245,93.1,94.0,66616.0,44.0,77961.0
1110246,77.3,105.6,87620.0,18.0,50909.0
1110247,135.6,118.3,65853.0,11.0,52242.0
1110248,134.6,100.1,53296.0,55.0,58716.0
1110249,52.9,119.2,77466.0,54.0,93120.0
1110250,127.5,91.3,59078.0,4.0,22045.0
1110251,29.5,154.9,71587.0,12.0,71277.0
1110252,85.2,105.5,48940.0,26.0,80694.0
1110253,195.5,114.4,67577.0,39.0,40716.0
1110254,80.7,87.3,61916.0,44.0,29158.0
1110255,192.4,87.8,78650.0,49.0,82949.0
1110256,134.4,71.5,60215.0,15.0,72114.0
1110257,125.1,96.1,74448.0,40.0,53872.0
1110258,101.7,129.3,89501.0,52.0,60906.0
1110259,117.1,61.0,96717.0,49.0,52159.0
1110260,184.3,115.7,40767.0,41.0,69854.0
1110261,104.7,110.5,88378.0,46.0,54418.0
1110262,92.1,108.4,40521.0,47.0,95489.0
1110263,117.8,112.3,82440.0,52.0,78687.0
1110264,97.0,116.0,39460.0,59.0,57531.0
1110265,46.1,114.5,56014.0,32.0,106575.0
1110266,72.6,75.1,81478.0,18.0,33305.0
1110267,94.8,118.0,62504.0,43.0,81429.0
1110268,120.3,111.0,70489.0,11.0,59759.0
1110269,101.9,165.5,55302.0,54.0,44460.0
1110270,130.2,82.7,78507.0,53.0,48756.0
1110271,117.4,111.9,73874.0,49.0,69108.0
1110272,134.3,107.4,78584.0,43.0,77322.0
1110273,128.7,151.0,43701.0,27.0,81503.0
1110274,137.3,130.7,86775.0,23.0,48804.0
1110275,167.7,125.8,,27.0,75109.0
1110276,129.6,102.5,57961.0,5.0,27183.0
1110277,92.0,97.4,51230.0,49.0,54207.0
1110278,128.4,107.1,65346.0,24.0,71251.0
1110279,95.4,97.6,65170.0,43.0,60639.0
1110280,168.5,127.8,79114.0,11.0,55652.0
1110281,134.9,85.5,77850.0,53.0,86093.0
1110282,175.2,114.1,39683.0,8.0,55065.0
1110283,144.8,105.8,,41.0,55633.0
1110284,142.8,113.1,77660.0,42.0,58898.0
1110285,125.1,82.3,27312.0,19.0,29132.0
1110286,118.2,54.1,78411.0,5.0,36674.0
1110287,86.9,114.2,35640.0,49.0,61555.0
1110288,113.6,101.2,34464.0,17.0,86316.0
1110289,67.0,87.1,45331.0,55.0,53777.0
1110290,163.2,113.5,56480.0,25.0,54170.0
1110291,179.4,110.4,50932.0,10.0,64606.0
1110292,117.7,92.8,66443.0,37.0,35185.0
1110293,139.5,62.7,47232.0,4.0,84103.0
1110294,114.3,72.4,78597.0,40.0,109453.0
1110295,95.5,120.3,88231.0,5.0,84403.0
1110296,105.0,142.4,,8.0,46991.0
1110297,97.3,52.5,32892.0,23.0,62155.0
1110298,133.6,134.2,63776.0,47.0,91779.0
1110299,198.8,91.3,88506.0,4.0,92395.0
1110300,92.7,121.9,42705.0,52.0,69968.0
1110301,72.7,102.5,56561.0,27.0,39263.0
1110302,127.6,113.7,59708.0,54.0,56541.0
1110303,174.1,105.4,56924.0,27.0,40687.0
1110304,106.2,79.8,81459.0,35.0,88087.0
1110305,123.5,99.7,58383.0,25.0,54220.0
1110306,63.7,52.3,49883.0,5.0,32403.0
1110307,137.2,97.9,53040.0,51.0,65530.0
1110308,123.9,129.0,44112.0,42.0,80684.0
1110309,137.8,100.4,89547.0,39.0,48316.0
1110310,157.1,120.1,101234.0,51.0,70937.0
1110311,41.5,109.3,43047.0,28.0,40990.0
1110312,107.2,85.6,80632.0,43.0,62115.0
1110313,122.3,133.2,68232.0,7.0,52294.0
1110314,66.5,144.8,72981.0,53.0,53212.0
1110315,161.8,93.1,78941.0,37.0,76292.0
1110316,91.7,72.6,66420.0,11.0,57018.0
1110317,133.2,57.0,76643.0,22.0,39819.0
1110318,112.6,84.5,48346.0,52.0,42927.0
1110319,123.4,103.4,65000.0,49.0,49225.0
1110320,129.3,81.8,58277.0,24.0,57981.0
1110321,168.1,99.6,67928.0,41.0,55520.0
1110322,80.4,106.2,69343.0,13.0,88416.0
1110323,102.7,74.0,62333.0,43.0,38647.0
1110324,120.9,101.6,71244.0,4.0,77401.0
1110325,78.0,100.6,47199.0,49.0,19666.0
1110326,75.1,88.9,34444.0,36.0,51907.0
1110327,77.1,86.4,39646.0,32.0,100987.0
1110328,85.0,89.5,96874.0,51.0,87375.0
1110329,150.6,95.3,70007.0,22.0,57310.0
1110330,16.3,70.4,83404.0,58.0,80224.0
1110331,70.5,129.0,77196.0,9.0,66434.0
1110332,97.6,105.4,60826.0,13.0,38364.0
1110333,105.4,147.4,78237.0,44.0,42649.0
1110334,98.4,127.1,89308.0,21.0,83843.0
1110335,91.0,83.9,106096.0,20.0,87288.0
1110336,120.4,132.6,43434.0,57.0,90983.0
1110337,159.0,112.2,64574.0,27.0,93142.0
1110338,64.4,73.3,69061.0,7.0,59618.0
1110339,49.3,131.0,55754.0,15.0,48164.0
1110340,217.7,90.2,63844.0,17.0,15000.0
1110341,186.9,117.9,77164.0,8.0,70705.0
1110342,127.7,138.5,81176.0,45.0,56000.0
1110343,183.0,110.6,74568.0,34.0,81799.0
1110344,79.8,139.0,38229.0,51.0,77401.0
1110345,131.7,112.1,51602.0,37.0,69855.0
1110346,160.1,93.1,76231.0,24.0,56772.0
1110347,35.4,110.9,60561.0,58.0,53851.0
1110348,86.9,152.0,100859.0,35.0,79227.0
1110349,121.5,86.5,34569.0,40.0,79192.0
1110350,72.7,83.4,40139.0,58.0,50774.0
1110351,36.3,119.3,63680.0,9.0,62838.0
1110352,162.1,116.3,65179.0,42.0,64319.0
1110353,169.9,138.7,,47.0,95613.0
1110354,147.7,57.7,85045.0,3.0,22523.0
1110355,97.6,95.3,65057.0,36.0,65790.0
1110356,61.2,145.5,89845.0,24.0,52907.0
1110357,140.6,55.2,73054.0,47.0,94681.0
1110358,78.8,76.5,89582.0,40.0,66041.0
1110359,106.3,74.3,48989.0,39.0,51174.0
1110360,102.8,105.6,27725.0,47.0,75444.0
1110361,116.5,109.2,109517.0,25.0,51988.0
1110362,111.6,130.6,45197.0,42.0,77250.0
1110363,118.5,109.0,59540.0,59.0,82742.0
1110364,72.7,71.9,71664.0,18.0,80058.0
1110365,140.9,56.7,40771.0,31.0,52230.0
1110366,27.0,92.0,54143.0,44.0,77164.0
1110367,112.1,119.8,65361.0,19.0,85143.0
1110368,98.4,94.8,70134.0,29.0,55237.0
1110369,167.4,76.4,,26.0,68469.0
1110370,182.8,112.8,54441.0,8.0,85476.0
1110371,93.9,118.6,78624.0,24.0,36591.0
1110372,73.8,83.4,40614.0,10.0,112174.0
1110373,117.4,52.4,59576.0,7.0,54179.0
1110374,77.7,63.6,,46.0,72144.0
1110375,47.7,99.3,41647.0,57.0,37750.0
1110376,10.0,85.7,64102.0,55.0,64505.0
1110377,152.5,95.1,52292.0,6.0,73032.0
1110378,102.1,68.7,65074.0,23.0,47875.0
1110379,85.9,99.5,88916.0,6.0,71079.0
1110380,160.9,126.9,30815.0,11.0,35228.0
1110381,100.3,90.0,67631.0,16.0,45189.0
1110382,148.6,84.7,68260.0,14.0,77159.0
1110383,234.6,71.9,48948.0,34.0,82952.0
1110384,82.5,80.2,30355.0,16.0,66920.0
1110385,159.6,75.2,70483.0,4.0,77424.0
1110386,48.5,82.4,83652.0,42.0,86054.0
1110387,40.5,40.3,51477.0,8.0,50832.0
1110388,159.9,91.9,75507.0,35.0,56314.0
1110389,161.1,138.0,113073.0,36.0,64085.0
1110390,136.2,125.1,83175.0,54.0,76806.0
1110391,82.1,146.2,64612.0,11.0,49622.0
1110392,197.8,176.2,63866.0,32.0,71527.0
1110393,108.5,56.8,77460.0,23.0,60795.0
1110394,128.6,100.9,66679.0,44.0,53772.0
1110395,133.8,105.1,42655.0,47.0,58596.0
1110396,47.3,80.3,63810.0,4.0,69434.0
1110397,87.3,111.6,58126.0,5.0,81819.0
1110398,116.3,98.7,63964.0,6.0,53520.0
1110399,183.6,119.7,65347.0,10.0,83705.0
1110400,131.6,123.6,61582.0,46.0,79951.0
1110401,153.2,85.7,92902.0,52.0,39937.0
1110402,157.9,65.1,57787.0,31.0,88132.0
1110403,70.4,72.2,68063.0,8.0,93083.0
1110404,96.9,105.8,71690.0,32.0,42282.0
1110405,202.8,116.0,61717.0,5.0,53247.0
1110406,79.4,103.5,68436.0,50.0,81816.0
1110407,72.3,77.8,56641.0,25.0,78308.0
1110408,201.1,107.0,42347.0,10.0,54925.0
1110409,145.0,129.7,20357.0,32.0,65622.0
1110410,143.2,48.0,80409.0,54.0,81781.0
1110411,65.8,104.6,,7.0,58408.0
1110412,139.1,121.6,67026.0,19.0,87378.0
1110413,138.0,104.0,65405.0,20.0,44970.0
1110414,76.9,85.6,52636.0,52.0,60021.0
1110415,169.2,82.2,15508.0,21.0,55404.0
1110416,104.5,106.0,95912.0,57.0,67615.0
1110417,142.3,57.4,46025.0,15.0,46053.0
1110418,78.5,119.4,60185.0,27.0,44974.0
1110419,180.7,110.9,,37.0,46364.0
1110420,114.6,82.6,59922.0,49.0,40664.0
1110421,29.0,104.1,40362.0,12.0,70618.0
1110422,166.1,126.1,71190.0,44.0,53561.0
1110423,100.9,73.6,104131.0,21.0,91805.0
1110424,62.7,77.8,60809.0,10.0,92153.0
1110425,37.0,163.9,15000.0,28.0,39587.0
1110426,61.9,83.8,73785.0,4.0,53206.0
1110427,141.0,82.9,70838.0,7.0,90768.0
1110428,76.3,78.2,41013.0,50.0,44277.0
1110429,167.5,127.6,57164.0,29.0,46197.0
1110430,84.4,76.8,54055.0,44.0,43913.0
1110431,161.2,54.9,55375.0,14.0,49281.0
1110432,136.8,124.5,77403.0,8.0,92929.0
1110433,68.9,100.3,95839.0,31.0,81168.0
1110434,44.1,93.0,59364.0,40.0,76315.0
1110435,149.3,86.1,61777.0,31.0,54616.0
1110436,106.3,107.0,49209.0,4.0,90244.0
1110437,189.3,88.6,65842.0,53.0,57120.0
1110438,79.7,135.5,51329.0,49.0,98809.0
1110439,61.1,131.5,65786.0,21.0,45851.0
1110440,142.5,162.3,46783.0,13.0,95173.0
1110441,144.8,83.8,64746.0,19.0,52284.0
1110442,144.3,82.9,67231.0,14.0,69650.0
1110443,146.5,109.6,57882.0,5.0,77287.0
1110444,76.5,105.3,84483.0,11.0,60549.0
1110445,87.8,78.9,75359.0,5.0,78567.0
1110446,65.2,77.9,64623.0,5.0,72725.0
1110447,126.7,87.2,85548.0,17.0,45524.0
1110448,130.3,135.2,103174.0,6.0,73653.0
1110449,114.6,143.7,47526.0,58.0,74519.0
1110450,123.2,146.4,69234.0,47.0,79145.0
1110451,87.5,108.6,46658.0,13.0,45767.0
1110452,91.1,113.0,85577.0,10.0,57980.0
1110453,120.9,94.6,57290.0,10.0,60395.0
1110454,74.4,49.5,51297.0,40.0,81036.0
1110455,188.3,104.0,79240.0,45.0,95339.0
1110456,168.5,101.8,63844.0,11.0,66219.0
1110457,111.7,137.3,75449.0,21.0,37186.0
1110458,160.7,91.1,61319.0,9.0,69316.0
1110459,55.5,137.1,40545.0,58.0,25027.0
1110460,204.6,108.6,58923.0,39.0,45850.0
1110461,110.5,103.1,48898.0,23.0,72374.0
1110462,193.8,70.5,79301.0,49.0,48160.0
1110463,80.8,81.3,81339.0,51.0,101786.0
1110464,133.7,120.7,51219.0,45.0,34526.0
1110465,134.7,68.0,99636.0,7.0,47895.0
1110466,126.1,64.5,58567.0,7.0,52653.0
1110467,79.6,110.9,57635.0,49.0,17839.0
1110468,98.1,85.6,79061.0,23.0,51803.0
1110469,108.0,134.9,48711.0,50.0,75273.0
1110470,188.9,54.6,60662.0,59.0,105123.0
1110471,81.9,79.8,77727.0,52.0,76976.0
1110472,222.4,74.1,75657.0,15.0,49594.0
1110473,139.7,133.9,50482.0,33.0,42280.0
1110474,94.7,122.4,34936.0,15.0,77117.0
1110475,152.0,88.1,61453.0,22.0,62415.0
1110476,106.7,154.0,49728.0,29.0,86361.0
1110477,97.0,75.0,29867.0,44.0,59393.0
1110478,108.4,88.5,64564.0,39.0,53051.0
1110479,154.6,103.0,39166.0,8.0,63112.0
1110480,93.3,98.8,80091.0,17.0,55522.0
1110481,174.5,129.1,57807.0,27.0,60063.0
1110482,138.2,104.9,67530.0,45.0,71727.0
1110483,136.1,122.2,50938.0,37.0,39505.0
1110484,156.7,62.4,50200.0,48.0,70867.0
1110485,114.0,126.5,64458.0,57.0,76033.0
1110486,106.8,125.6,71107.0,43.0,41853.0
1110487,97.6,79.6,61484.0,19.0,58380.0
1110488,78.7,84.0,72831.0,22.0,82554.0
1110489,123.7,70.0,62705.0,50.0,67320.0
1110490,123.8,155.3,78304.0,13.0,70047.0
1110491,126.7,100.1,73147.0,38.0,60963.0
1110492,105.4,84.0,54123.0,34.0,35435.0
1110493,83.9,82.4,64688.0,35.0,98722.0
1110494,109.4,106.1,48437.0,8.0,54747.0
1110495,120.6,103.5,81138.0,17.0,75916.0
1110496,153.9,90.3,67473.0,51.0,48128.0
1110497,250.6,99.9,86156.0,24.0,73214.0
1110498,120.7,76.7,81806.0,31.0,73460.0
1110499,91.4,87.5,71693.0,48.0,99297.0
1110500,111.6,95.6,61688.0,57.0,81091.0
1110501,139.8,95.9,72961.0,10.0,62385.0
1110502,145.5,52.4,,48.0,60373.0
1110503,199.1,64.9,59440.0,12.0,57346.0
1110504,191.9,116.1,59380.0,45.0,74302.0
1110505,133.2,143.2,59101.0,28.0,66457.0
1110506,154.3,147.0,53724.0,54.0,57313.0
1110507,123.1,50.3,65062.0,19.0,62473.0
1110508,132.1,86.4,58086.0,12.0,71373.0
1110509,100.2,143.4,66464.0,22.0,69891.0
1110510,145.1,89.5,68562.0,40.0,53083.0
1110511,69.2,96.2,45315.0,56.0,38442.0
1110512,110.2,132.1,23299.0,9.0,57998.0
1110513,105.3,104.8,61575.0,33.0,93795.0
1110514,104.8,127.2,64326.0,8.0,39455.0
1110515,108.5,77.0,76271.0,54.0,34559.0
1110516,141.1,113.4,85073.0,26.0,58741.0
1110517,154.7,86.3,72265.0,26.0,69286.0
1110518,161.9,109.0,85162.0,50.0,60604.0
1110519,93.4,71.9,89126.0,57.0,55136.0
1110520,128.8,108.7,62664.0,21.0,63038.0
1110521,89.1,116.7,70778.0,46.0,53638.0
1110522,105.1,99.8,60612.0,57.0,56152.0
1110523,141.7,105.5,63512.0,20.0,56791.0
1110524,146.8,115.4,101506.0,44.0,67817.0
1110525,128.3,87.6,42124.0,23.0,66192.0
1110526,150.7,81.7,57505.0,54.0,84578.0
1110527,70.6,85.1,77187.0,55.0,36025.0
1110528,146.8,147.0,38858.0,49.0,91708.0
1110529,47.8,92.5,31540.0,58.0,70590.0
1110530,154.7,82.5,51838.0,35.0,72087.0
1110531,144.6,143.0,67863.0,35.0,77598.0
1110532,110.3,93.8,46635.0,41.0,49997.0
1110533,108.4,117.8,48123.0,31.0,52940.0
1110534,112.9,112.7,84212.0,28.0,52268.0
1110535,150.5,81.0,40362.0,30.0,37922.0
1110536,92.7,78.1,52334.0,19.0,76123.0
