BarrelID,EthanolSensorySens,AmbientTempCelsius,Humidity_Percent,AceticAcid_ppm,BarrelQualityGrade
1930132,74.7,18.3,45.1,104.8,Type_B
1930133,128.8,15.4,51.7,82.0,Type_C
1930134,98.1,5.4,45.2,95.0,Type_B
1930135,60.9,17.6,10.4,112.6,Type_B
1930136,118.5,5.5,46.2,104.9,Type_B
1930137,152.6,4.6,45.2,99.2,Type_A
1930138,125.8,3.8,43.5,114.7,Type_C
1930139,91.6,22.0,43.3,129.8,Type_B
1930140,65.6,31.3,42.1,99.0,Type_C
1930141,105.5,11.6,48.4,96.3,Type_A
1930142,113.4,12.3,39.2,96.8,Type_A
1930143,137.9,19.1,21.9,117.6,Type_C
1930144,127.6,11.8,37.3,93.8,Type_A
1930145,128.3,26.0,27.8,90.4,Type_C
1930146,104.0,35.9,84.4,120.5,Type_C
1930147,91.3,20.8,47.1,125.4,Type_B
1930148,123.6,27.1,12.1,104.3,Type_B
1930149,105.5,26.5,98.2,131.5,Type_C
1930150,69.3,20.5,42.3,93.2,Type_C
1930151,104.7,6.7,40.0,74.8,Type_B
1930152,83.8,18.2,8.0,109.9,Type_B
1930153,54.2,23.3,33.5,116.0,Type_A
1930154,100.6,9.1,58.2,93.0,Type_B
1930155,105.6,23.3,61.4,90.4,Type_C
1930156,84.5,15.7,53.6,83.9,Type_C
1930157,130.7,-4.9,46.6,104.9,Type_A
1930158,139.7,11.8,39.8,94.1,Type_C
1930159,88.8,12.4,65.8,93.8,Type_C
1930160,142.4,22.5,67.4,117.6,Type_C
1930161,109.2,20.9,41.8,108.2,Type_C
1930162,119.1,34.4,34.3,84.7,Type_B
1930163,93.8,23.7,61.5,81.6,Type_A
1930164,86.6,3.4,40.1,112.7,Type_A
1930165,109.7,9.2,75.9,87.5,Type_C
1930166,122.5,8.4,43.7,95.7,Type_C
1930167,93.6,17.7,43.5,113.9,Type_A
1930168,87.2,13.1,49.4,66.8,Type_C
1930169,134.1,4.2,44.7,75.9,Type_A
1930170,119.9,18.5,49.4,105.7,Type_B
1930171,59.9,18.2,38.1,97.3,Type_A
1930172,134.3,14.6,42.9,56.4,Type_A
1930173,128.6,10.4,52.8,117.1,Type_B
1930174,131.8,21.1,37.1,91.6,Type_B
1930175,106.2,17.9,53.6,,Type_B
1930176,149.3,21.4,9.3,72.9,Type_C
1930177,125.6,26.8,31.6,103.8,Type_A
1930178,93.2,14.9,46.3,101.0,Type_C
1930179,104.2,19.1,26.9,125.6,Type_A
1930180,81.9,26.8,37.8,81.6,Type_C
1930181,92.6,15.0,46.6,73.8,Type_A
1930182,51.0,27.5,41.8,125.6,Type_A
1930183,141.4,19.7,40.9,75.5,Type_A
1930184,103.5,11.7,55.2,107.5,Type_A
1930185,57.4,39.7,56.8,107.4,Type_A
1930186,114.9,10.8,76.6,66.7,Type_A
1930187,111.8,9.9,26.1,77.7,Type_B
1930188,93.0,25.3,55.2,67.5,Type_A
1930189,90.1,16.3,50.5,92.1,Type_C
1930190,121.2,22.3,51.9,133.0,Type_C
1930191,97.1,13.2,45.3,65.2,Type_B
1930192,113.2,33.9,64.7,113.5,Type_B
1930193,82.4,-4.4,29.6,84.1,Type_B
1930194,122.6,9.4,53.3,82.6,Type_C
1930195,46.5,21.5,45.6,103.7,Type_A
1930196,104.8,28.6,61.1,84.7,Type_A
1930197,58.1,25.2,34.7,68.9,Type_C
1930198,70.1,22.8,70.6,81.8,Type_C
1930199,105.0,11.9,56.0,116.0,Type_B
1930200,100.0,19.5,68.9,77.4,Type_A
1930201,96.1,15.0,43.8,112.0,Type_C
1930202,116.5,30.3,31.5,115.5,Type_A
1930203,100.8,26.4,61.1,65.1,Type_B
1930204,124.6,22.9,49.1,97.9,Type_B
1930205,124.1,23.1,42.4,98.4,Type_B
1930206,92.3,24.7,52.5,103.3,Type_C
1930207,136.5,8.6,37.6,119.5,Type_C
1930208,107.9,11.1,41.0,104.0,Type_A
1930209,133.3,23.2,49.9,70.7,Type_A
1930210,73.4,11.2,32.7,130.5,Type_B
1930211,68.9,24.3,12.6,80.4,Type_C
1930212,109.2,13.4,57.4,79.6,Type_A
1930213,93.6,11.3,37.7,88.6,Type_C
1930214,104.9,25.2,58.3,89.4,Type_A
1930215,87.2,8.2,62.2,82.6,Type_B
1930216,107.1,25.9,35.1,68.0,Type_B
1930217,97.4,20.6,38.1,52.1,Type_B
1930218,138.1,14.1,46.9,88.3,Type_A
1930219,107.3,16.7,75.4,77.0,Type_B
1930220,90.7,14.7,41.5,87.4,Type_C
1930221,133.7,5.9,47.5,94.7,Type_C
1930222,83.8,19.9,55.6,95.2,Type_A
1930223,77.6,21.4,41.5,91.6,Type_C
1930224,75.4,23.0,26.1,124.0,Type_A
1930225,126.2,28.9,57.3,107.0,Type_A
1930226,135.3,12.9,36.0,74.9,Type_B
1930227,137.5,11.5,39.1,92.1,Type_C
1930228,94.5,26.5,38.0,90.3,Type_B
1930229,95.3,19.0,77.9,71.1,Type_A
1930230,84.7,17.6,37.0,114.9,Type_C
1930231,121.4,14.0,38.8,96.3,Type_A
1930232,107.5,11.3,54.3,94.1,Type_A
1930233,137.4,13.5,40.6,90.4,Type_A
1930234,67.6,19.3,42.8,103.0,Type_B
1930235,176.6,16.5,38.8,85.9,Type_B
1930236,94.5,12.7,48.4,68.1,Type_B
1930237,143.8,5.9,49.3,64.4,Type_A
1930238,151.7,30.3,74.4,123.0,Type_B
1930239,97.1,11.1,57.9,81.5,Type_A
1930240,126.6,17.2,31.0,86.1,Type_A
1930241,129.2,10.3,59.6,108.7,Type_C
1930242,99.8,16.5,42.1,147.6,Type_A
1930243,113.4,10.0,73.2,98.7,Type_C
1930244,71.6,17.3,54.8,,Type_A
1930245,45.8,30.2,64.4,145.4,Type_C
1930246,82.3,21.4,49.0,84.0,Type_C
1930247,122.8,22.1,47.3,98.7,Type_B
1930248,63.0,13.5,76.4,122.6,Type_B
1930249,101.8,7.7,47.0,113.9,Type_C
1930250,86.2,18.3,45.0,86.2,Type_A
1930251,69.8,10.0,34.6,80.1,Type_C
1930252,136.5,13.2,54.2,153.0,Type_C
1930253,85.2,14.1,54.5,64.1,Type_A
1930254,102.1,23.2,31.6,77.4,Type_C
1930255,94.2,15.0,42.9,88.7,Type_C
1930256,113.2,8.8,54.9,88.2,Type_A
1930257,98.2,16.9,51.4,93.7,Type_B
1930258,83.8,13.8,58.4,75.8,Type_C
1930259,106.4,8.6,32.5,85.9,Type_C
1930260,127.7,26.2,51.8,30.9,Type_B
1930261,127.7,15.5,35.8,84.0,Type_C
1930262,124.5,27.5,61.0,92.6,Type_C
1930263,129.3,31.4,41.7,116.2,Type_B
1930264,115.8,19.9,70.5,81.1,Type_B
1930265,58.1,25.4,32.1,78.4,Type_C
1930266,59.5,17.5,44.0,93.2,Type_C
1930267,107.4,28.9,52.4,93.9,Type_A
1930268,93.3,23.4,41.3,87.6,Type_C
1930269,80.4,37.9,56.4,,Type_A
1930270,126.5,5.6,48.9,94.5,Type_C
1930271,100.2,20.1,91.1,119.6,Type_C
1930272,73.2,24.9,49.5,90.8,Type_A
1930273,137.9,24.7,50.8,61.5,Type_C
1930274,119.1,22.9,48.9,51.5,Type_C
1930275,118.8,26.2,48.8,63.1,Type_A
1930276,86.2,21.3,38.2,132.6,Type_C
1930277,102.5,10.7,34.9,154.6,Type_B
1930278,115.7,20.1,42.4,112.5,Type_B
1930279,95.8,20.2,40.4,52.9,Type_A
1930280,153.1,11.4,60.8,123.0,Type_C
1930281,83.6,0.1,39.4,141.0,Type_A
1930282,94.0,15.0,54.9,92.6,Type_C
1930283,83.8,5.4,31.0,96.0,Type_A
1930284,131.7,22.8,64.6,101.1,Type_A
1930285,76.6,15.4,21.9,123.0,Type_C
1930286,81.8,16.3,43.3,144.1,Type_A
1930287,105.1,0.5,54.9,104.2,Type_B
1930288,111.7,15.2,42.1,81.8,Type_A
1930289,101.9,9.4,59.7,47.4,Type_A
1930290,121.0,34.7,33.7,103.4,Type_B
1930291,99.7,15.2,39.8,147.4,Type_C
1930292,111.5,13.6,52.2,73.6,Type_B
1930293,84.6,21.5,46.0,75.1,Type_B
1930294,122.7,15.7,62.0,115.3,Type_B
1930295,120.3,26.2,71.7,88.1,Type_C
1930296,118.2,29.5,46.4,,Type_C
1930297,114.3,23.7,53.0,87.1,Type_A
1930298,64.7,18.2,35.3,65.7,Type_C
1930299,110.8,11.0,46.2,133.3,Type_B
1930300,83.6,27.1,44.9,94.7,Type_C
1930301,70.4,25.3,38.6,93.1,Type_C
1930302,113.1,26.3,43.6,114.7,Type_B
1930303,99.2,24.3,45.2,118.2,Type_A
1930304,120.0,15.7,46.3,113.4,Type_B
1930305,100.8,21.2,50.0,130.6,Type_B
1930306,71.4,20.2,47.3,89.3,Type_C
1930307,109.7,20.9,41.9,110.6,Type_C
1930308,100.1,30.6,52.1,84.5,Type_C
1930309,131.6,13.5,40.4,110.5,Type_A
1930310,110.7,9.4,12.5,,Type_B
1930311,108.5,17.6,48.6,66.6,Type_B
1930312,87.6,11.9,51.7,107.1,Type_C
1930313,54.6,34.1,35.5,118.4,Type_A
1930314,126.3,30.7,55.6,150.9,Type_C
1930315,75.5,10.8,57.2,102.6,Type_A
1930316,83.0,8.7,30.1,116.1,Type_B
1930317,98.8,20.9,21.1,119.9,Type_C
1930318,130.7,17.3,28.2,100.4,Type_A
1930319,136.9,13.2,16.3,89.6,Type_C
1930320,93.4,22.0,34.2,129.7,Type_C
1930321,103.2,21.5,35.0,89.7,Type_C
1930322,91.5,17.2,57.8,89.0,Type_B
1930323,89.7,24.0,46.7,138.8,Type_C
1930324,39.8,8.8,45.1,108.7,Type_A
1930325,101.7,22.2,49.0,98.7,Type_A
1930326,124.2,13.8,55.7,114.2,Type_C
1930327,105.3,14.8,19.4,115.9,Type_B
1930328,98.1,23.8,50.0,161.2,Type_C
1930329,102.6,20.7,53.2,99.8,Type_A
1930330,90.1,22.4,56.3,87.9,Type_B
1930331,90.5,25.6,31.6,120.9,Type_C
1930332,87.3,6.1,48.0,99.8,Type_C
1930333,81.0,18.0,39.7,56.5,Type_B
1930334,110.4,14.0,22.1,93.4,Type_B
1930335,141.8,12.7,41.8,108.2,Type_A
1930336,101.4,18.1,17.0,86.6,Type_B
1930337,116.8,28.2,27.7,133.4,Type_B
1930338,63.2,19.7,42.0,105.4,Type_A
1930339,100.9,3.4,41.0,87.2,Type_C
1930340,117.0,31.6,34.2,50.5,Type_C
1930341,142.2,8.4,53.3,100.0,Type_C
1930342,144.5,17.1,69.8,111.6,Type_B
1930343,66.3,32.0,37.8,88.5,Type_C
1930344,75.8,24.5,46.4,100.0,Type_B
1930345,105.8,6.5,63.5,98.9,Type_A
1930346,64.6,25.0,37.5,134.2,Type_B
1930347,113.5,20.8,64.9,95.3,Type_C
1930348,67.4,7.1,62.2,111.3,Type_C
1930349,108.0,20.0,44.3,91.9,Type_B
1930350,102.5,16.3,36.1,108.2,Type_B
1930351,88.7,14.2,74.4,78.4,Type_B
1930352,98.3,23.5,37.6,89.2,Type_A
1930353,69.3,16.2,69.0,116.6,Type_B
1930354,88.2,20.7,36.4,105.9,Type_C
1930355,15.6,-4.9,45.2,72.0,Type_A
1930356,70.6,14.0,41.8,92.8,Type_C
1930357,122.1,25.3,30.0,173.4,Type_B
1930358,103.8,22.7,16.7,124.8,Type_B
1930359,91.8,17.0,36.1,102.0,Type_B
1930360,83.7,-0.2,26.6,85.3,Type_B
1930361,85.6,20.6,70.1,113.8,Type_C
1930362,97.2,15.6,16.3,114.3,Type_C
1930363,63.2,24.7,45.5,86.0,Type_B
1930364,75.4,17.8,44.3,125.1,Type_C
1930365,121.1,13.7,25.9,82.1,Type_A
1930366,130.3,9.4,45.8,84.3,Type_C
1930367,64.3,25.1,38.9,149.6,Type_B
1930368,102.1,16.7,57.3,112.2,Type_B
1930369,127.0,32.9,58.2,106.1,Type_B
1930370,106.5,1.9,54.2,118.9,Type_B
1930371,105.0,20.1,33.1,89.7,Type_A
1930372,116.6,14.0,56.5,39.6,Type_A
1930373,116.1,21.1,54.9,124.6,Type_C
1930374,123.1,13.0,36.5,111.4,Type_C
1930375,128.3,23.7,26.8,122.4,Type_C
1930376,129.4,31.7,44.2,70.6,Type_B
1930377,101.3,12.6,39.4,98.9,Type_C
1930378,64.2,20.9,48.0,78.8,Type_C
1930379,93.9,4.4,45.0,113.5,Type_A
1930380,113.3,20.2,41.9,30.2,Type_A
1930381,108.3,24.0,70.1,84.4,Type_B
1930382,54.8,14.7,55.7,76.5,Type_C
1930383,94.6,13.2,29.0,101.5,Type_C
1930384,109.6,21.3,52.7,89.7,Type_B
1930385,82.4,23.9,6.6,111.8,Type_B
1930386,84.7,10.3,58.7,72.6,Type_B
1930387,108.3,22.0,45.6,84.3,Type_C
1930388,99.3,-0.4,44.1,85.1,Type_A
1930389,109.0,20.1,54.1,108.5,Type_A
1930390,97.8,28.8,36.2,,Type_C
1930391,98.6,38.2,77.9,172.3,Type_A
1930392,43.2,32.4,40.9,133.6,Type_A
1930393,99.8,12.8,30.2,127.0,Type_B
1930394,100.7,13.3,77.6,100.0,Type_B
1930395,124.8,17.1,55.7,81.0,Type_B
1930396,135.8,12.4,18.3,123.5,Type_B
1930397,105.9,28.6,52.5,112.9,Type_B
1930398,94.7,10.9,48.0,65.6,Type_B
1930399,87.1,27.1,34.9,121.5,Type_B
1930400,82.4,17.8,40.4,101.1,Type_C
1930401,110.3,19.7,36.9,102.4,Type_B
1930402,91.3,17.7,51.9,131.2,Type_C
1930403,91.0,20.9,46.8,98.9,Type_A
1930404,29.1,25.5,47.4,88.6,Type_C
1930405,112.3,14.2,48.0,116.8,Type_C
1930406,88.1,23.7,15.3,92.9,Type_C
1930407,66.9,14.4,73.7,102.8,Type_A
1930408,124.5,18.7,24.1,101.5,Type_C
1930409,127.7,20.0,44.8,75.2,Type_B
1930410,51.3,30.4,34.8,95.1,Type_A
1930411,90.6,9.5,57.2,114.2,Type_A
1930412,120.8,11.0,50.6,101.1,Type_B
1930413,109.9,31.8,28.6,79.5,Type_C
1930414,103.7,-10.0,35.2,97.1,Type_C
1930415,103.8,12.2,39.4,100.6,Type_B
1930416,99.8,13.5,60.3,71.6,Type_A
1930417,90.4,24.8,33.4,118.9,Type_C
1930418,50.9,18.1,49.7,118.2,Type_B
1930419,120.5,20.6,63.0,96.1,Type_A
1930420,66.0,14.0,34.4,129.2,Type_A
1930421,81.2,19.8,15.1,141.4,Type_C
1930422,89.7,32.1,66.6,106.3,Type_B
1930423,104.8,19.4,48.7,69.0,Type_B
1930424,119.8,18.4,55.5,89.9,Type_C
1930425,129.0,18.8,64.7,73.7,Type_C
1930426,62.4,11.4,33.2,104.7,Type_B
1930427,72.2,2.8,55.6,90.5,Type_C
1930428,74.1,11.9,25.1,83.8,Type_C
1930429,135.9,16.6,42.8,121.2,Type_B
1930430,98.0,1.5,38.8,114.3,Type_B
1930431,129.3,16.3,55.2,81.6,Type_C
1930432,104.2,21.2,35.0,104.1,Type_A
1930433,118.9,33.3,66.6,79.3,Type_C
1930434,87.3,23.1,11.8,113.8,Type_B
1930435,79.7,25.4,42.5,112.9,Type_C
1930436,87.5,23.9,45.6,76.4,Type_C
1930437,94.4,25.9,78.3,118.4,Type_A
1930438,60.4,3.2,52.7,108.2,Type_A
1930439,71.3,19.0,10.1,107.2,Type_A
1930440,110.1,17.6,73.4,133.8,Type_A
1930441,38.0,40.0,32.3,132.9,Type_B
1930442,74.8,9.5,40.5,97.2,Type_A
1930443,91.7,14.0,84.6,98.5,Type_A
1930444,76.9,11.0,56.3,122.1,Type_C
1930445,75.4,16.8,41.8,103.0,Type_A
1930446,130.7,18.8,38.3,105.6,Type_C
1930447,124.9,26.4,22.2,121.3,Type_C
1930448,95.0,22.4,47.7,,Type_A
1930449,111.9,19.2,36.0,134.5,Type_B
1930450,130.7,21.9,47.2,107.3,Type_B
1930451,104.7,21.3,36.2,113.4,Type_C
1930452,59.1,23.3,35.9,90.2,Type_A
1930453,68.2,27.4,47.1,30.4,Type_B
1930454,104.8,15.7,50.6,22.3,Type_C
1930455,124.0,6.8,58.4,125.5,Type_C
1930456,113.3,3.0,41.4,82.0,Type_A
1930457,83.1,14.7,48.0,99.3,Type_C
1930458,90.0,9.2,28.6,125.8,Type_C
1930459,137.1,18.2,39.8,115.2,Type_B
1930460,79.9,25.9,21.5,119.9,Type_A
1930461,76.3,19.4,4.7,97.4,Type_C
1930462,90.6,6.4,27.7,97.8,Type_B
1930463,121.4,28.6,56.0,98.9,Type_C
1930464,85.8,18.7,48.1,98.4,Type_A
1930465,121.4,25.4,47.6,96.0,Type_C
1930466,154.8,25.6,60.4,89.3,Type_C
1930467,117.0,7.3,45.6,134.9,Type_C
1930468,71.8,8.2,42.3,65.7,Type_A
1930469,88.2,15.7,51.8,62.0,Type_A
1930470,68.9,19.5,61.3,104.2,Type_A
1930471,117.3,12.8,49.5,79.8,Type_A
1930472,41.9,10.7,57.4,112.2,Type_A
1930473,98.2,21.1,26.3,146.4,Type_A
1930474,85.6,5.5,60.3,121.0,Type_B
1930475,107.9,13.5,14.8,96.2,Type_B
1930476,116.9,19.9,66.9,43.8,Type_B
1930477,66.3,28.8,55.8,139.2,Type_C
1930478,77.5,21.3,49.0,82.6,Type_C
1930479,91.4,11.9,37.7,79.9,Type_B
1930480,75.8,9.2,17.1,93.4,Type_A
1930481,100.8,22.2,39.9,104.2,Type_A
1930482,114.7,22.0,40.6,93.2,Type_B
1930483,66.9,31.1,33.1,88.4,Type_A
1930484,109.8,8.2,66.3,135.9,Type_C
1930485,99.2,21.3,47.2,76.7,Type_A
1930486,92.4,18.8,38.5,80.0,Type_C
1930487,64.7,18.6,33.5,107.7,Type_C
1930488,123.9,10.5,22.1,,Type_C
1930489,97.2,21.4,31.5,110.4,Type_A
1930490,85.5,10.0,31.4,53.7,Type_B
1930491,51.6,23.2,42.5,119.2,Type_A
1930492,128.6,25.0,28.7,82.4,Type_A
1930493,87.6,17.5,35.4,82.9,Type_B
1930494,176.2,12.3,53.2,63.2,Type_B
1930495,103.4,11.6,42.7,120.5,Type_A
1930496,160.6,14.0,56.6,139.3,Type_A
1930497,47.7,12.4,48.3,117.3,Type_A
1930498,115.1,13.6,62.9,103.0,Type_A
1930499,89.3,17.4,55.0,59.6,Type_A
1930500,105.1,4.1,58.5,70.0,Type_B
1930501,91.4,13.8,33.8,91.0,Type_B
1930502,109.6,16.3,57.7,110.5,Type_C
1930503,117.5,11.5,26.3,62.8,Type_C
1930504,113.4,10.1,44.4,94.2,Type_C
1930505,111.3,3.6,48.5,110.2,Type_B
1930506,133.4,15.1,50.2,108.2,Type_B
1930507,121.2,21.1,34.2,102.4,Type_C
1930508,98.7,12.7,48.4,73.2,Type_C
1930509,128.6,19.7,38.3,107.0,Type_B
1930510,126.5,33.6,57.3,139.7,Type_A
1930511,136.5,21.9,47.8,122.3,Type_A
1930512,84.4,5.6,49.7,62.1,Type_C
1930513,103.0,26.9,75.2,72.9,Type_B
1930514,116.7,27.8,21.7,102.6,Type_C
1930515,118.1,7.2,65.1,98.8,Type_B
1930516,94.4,12.7,31.2,57.2,Type_A
1930517,114.3,19.7,41.6,136.9,Type_A
1930518,120.9,26.2,47.3,107.0,Type_C
1930519,100.6,22.2,47.2,90.8,Type_A
1930520,117.4,21.1,15.8,102.0,Type_A
1930521,35.4,28.1,35.4,100.7,Type_C
1930522,132.7,18.3,39.9,56.1,Type_C
1930523,55.9,10.4,14.1,100.1,Type_C
1930524,79.0,8.9,43.0,100.9,Type_B
1930525,46.1,23.8,39.3,95.5,Type_B
1930526,75.3,10.2,28.9,114.3,Type_B
1930527,73.7,6.8,54.4,90.5,Type_B
1930528,57.2,3.6,37.7,113.5,Type_A
1930529,93.6,18.8,25.9,147.7,Type_B
1930530,103.9,13.7,28.0,147.1,Type_C
1930531,89.5,22.6,52.1,84.4,Type_A
1930532,88.1,13.2,44.3,43.0,Type_C
1930533,106.5,13.1,34.2,133.8,Type_A
1930534,129.5,31.7,24.3,133.9,Type_C
1930535,113.5,13.8,22.9,62.4,Type_A
1930536,162.8,16.0,60.8,97.4,Type_C
1930537,154.6,20.2,22.4,59.3,Type_B
1930538,99.4,32.6,38.2,148.8,Type_B
1930539,119.9,22.5,42.6,123.3,Type_A
1930540,110.9,22.6,51.0,126.7,Type_B
1930541,109.3,18.9,47.3,127.3,Type_B
1930542,83.4,18.3,50.1,140.3,Type_A
1930543,91.8,27.7,23.8,53.1,Type_C
1930544,109.0,1.2,51.0,109.4,Type_B
1930545,95.6,11.8,44.8,52.5,Type_A
1930546,129.5,-1.4,56.6,117.7,Type_A
1930547,114.3,23.3,37.7,133.9,Type_B
1930548,91.4,23.5,43.9,125.3,Type_B
1930549,70.0,13.8,49.9,112.1,Type_A
1930550,117.0,18.9,52.1,113.3,Type_C
1930551,73.6,14.5,40.5,115.1,Type_B
1930552,132.5,31.1,51.9,99.7,Type_B
1930553,124.9,21.5,38.4,108.4,Type_B
1930554,87.8,27.2,52.1,119.8,Type_B
1930555,84.0,20.7,39.5,73.4,Type_C
1930556,81.2,30.8,48.0,100.0,Type_A
