ClaimID,ClaimAmount_K,DamageScore,DashcamExists,WeekendAccident,IsFraud
1080470,86.1,6.2,87.5,106.0,0
1080471,74.9,6.7,97.4,55.6,1
1080472,90.5,7.3,74.0,97.3,1
1080473,51.4,4.9,142.7,93.4,0
1080474,45.0,7.1,86.8,167.7,0
1080475,72.4,8.9,87.4,91.2,1
1080476,75.6,4.6,85.6,71.0,0
1080477,85.9,9.2,99.5,124.6,0
1080478,69.9,7.5,68.5,125.1,0
1080479,89.0,5.7,90.7,94.5,0
1080480,45.1,10.0,110.0,107.2,1
1080481,73.6,5.7,110.2,45.0,0
1080482,90.8,6.8,96.4,92.4,0
1080483,72.1,5.2,107.2,115.8,1
1080484,58.1,2.9,117.3,120.1,0
1080485,56.6,5.6,136.3,111.4,0
1080486,66.0,6.8,102.6,83.7,0
1080487,56.3,7.7,82.0,120.6,1
1080488,86.7,7.6,66.2,101.2,0
1080489,56.2,10.0,93.8,88.9,0
1080490,47.7,6.7,140.2,101.3,1
1080491,20.0,5.8,65.9,127.5,0
1080492,84.9,6.8,131.3,104.7,1
1080493,84.8,7.5,161.3,117.4,1
1080494,54.1,4.2,74.0,113.2,1
1080495,59.0,5.6,111.0,109.9,1
1080496,82.8,7.4,100.7,117.1,0
1080497,53.0,8.4,74.3,112.0,0
1080498,85.6,8.4,137.8,93.4,0
1080499,58.4,5.9,106.4,90.7,1
1080500,89.6,7.6,50.7,82.6,0
1080501,73.0,6.5,59.0,97.0,0
1080502,62.6,5.9,79.6,101.2,0
1080503,44.6,4.5,94.4,87.6,1
1080504,92.9,7.6,109.8,90.6,0
1080505,78.1,7.6,103.7,96.5,1
1080506,100.8,6.1,111.8,115.1,1
1080507,93.6,5.2,89.4,97.9,1
1080508,94.7,8.0,119.4,148.5,0
1080509,73.8,6.3,112.5,80.8,1
1080510,68.4,5.7,64.8,103.6,1
1080511,82.2,6.9,152.3,77.9,0
1080512,61.3,7.9,77.9,95.0,0
1080513,75.0,7.5,148.0,91.1,0
1080514,85.3,7.3,110.9,117.4,1
1080515,77.6,9.7,58.7,72.9,1
1080516,85.5,7.1,92.2,110.5,0
1080517,79.8,8.7,75.3,91.1,1
1080518,69.4,4.6,93.5,120.8,0
1080519,83.6,7.0,87.8,143.2,1
1080520,54.6,8.3,97.7,122.4,0
1080521,72.5,5.4,91.4,86.4,0
1080522,82.3,7.8,98.3,76.6,0
1080523,73.2,7.0,153.2,86.9,0
1080524,80.7,7.5,99.7,80.1,0
1080525,83.1,7.5,83.9,125.6,0
1080526,70.8,7.6,87.3,90.5,0
1080527,62.3,7.6,103.6,132.9,0
1080528,38.9,9.3,142.5,74.8,1
1080529,67.7,7.6,53.9,19.5,0
1080530,80.3,7.0,42.6,65.1,0
1080531,71.0,8.5,99.9,93.4,1
1080532,46.8,8.4,109.0,59.7,1
1080533,61.0,5.7,73.9,105.2,0
1080534,56.5,5.8,158.9,95.7,0
1080535,82.7,4.4,134.4,122.4,1
1080536,99.1,8.0,46.6,121.2,0
1080537,61.2,4.1,54.1,79.6,1
1080538,86.9,6.0,122.2,102.7,1
1080539,108.6,5.8,147.9,108.6,0
1080540,91.1,6.4,72.1,135.3,0
1080541,51.9,6.2,88.7,91.7,0
1080542,63.9,,106.2,69.1,1
1080543,64.1,8.3,143.2,87.2,1
1080544,71.2,6.5,69.1,83.6,1
1080545,95.4,8.0,103.7,108.0,0
1080546,63.7,10.0,108.9,74.2,0
1080547,66.7,7.3,147.0,96.3,0
1080548,100.5,7.2,130.7,142.3,1
1080549,82.2,7.8,85.1,78.6,1
1080550,89.0,4.4,105.1,115.0,1
1080551,77.8,7.5,55.8,140.2,0
1080552,68.5,6.7,126.8,100.9,0
1080553,52.7,9.7,80.3,121.4,1
1080554,83.4,5.9,87.5,84.8,1
1080555,76.8,8.0,110.0,84.7,1
1080556,35.7,8.0,57.0,81.9,0
1080557,81.3,7.7,102.5,34.7,0
1080558,32.7,6.9,133.0,112.4,0
1080559,94.9,8.7,86.6,132.4,0
1080560,65.0,7.0,83.8,83.0,0
1080561,91.8,9.8,113.7,90.7,1
1080562,114.4,5.2,80.4,124.8,1
1080563,74.4,7.6,117.7,105.8,0
1080564,67.7,5.1,136.3,128.7,1
1080565,69.7,7.3,111.5,85.3,0
1080566,77.0,6.7,78.4,72.9,1
1080567,70.1,6.6,71.2,104.6,0
1080568,55.9,7.7,71.5,130.6,1
1080569,55.5,6.1,99.0,89.5,1
1080570,87.7,5.8,129.5,49.4,0
1080571,80.7,6.1,102.6,116.9,0
1080572,73.5,8.1,94.5,63.1,0
1080573,64.3,5.5,99.4,107.7,1
1080574,44.8,6.1,98.5,99.0,1
1080575,70.8,8.4,137.1,90.4,0
1080576,90.4,8.0,116.9,97.4,0
1080577,54.6,6.5,78.1,124.1,0
1080578,75.9,7.3,62.5,79.7,1
1080579,100.7,3.4,112.9,86.2,0
1080580,47.3,7.2,112.0,69.8,0
1080581,77.0,4.9,129.4,124.6,0
1080582,74.4,8.9,75.3,133.0,1
1080583,54.4,5.2,109.7,93.0,1
1080584,62.0,5.9,104.2,116.6,1
1080585,72.6,7.7,67.4,115.9,1
1080586,39.7,6.8,102.1,58.7,1
1080587,59.1,8.6,100.8,104.8,1
1080588,51.2,6.7,23.0,63.8,0
1080589,90.1,6.0,126.3,87.3,0
1080590,70.3,5.3,109.5,140.5,0
1080591,56.2,7.9,122.5,119.2,0
1080592,66.2,5.3,125.7,83.9,0
1080593,53.1,5.7,125.6,90.2,1
1080594,92.1,6.8,91.8,143.2,0
1080595,53.9,7.4,87.4,172.1,0
1080596,99.3,6.4,76.9,74.0,1
1080597,81.9,6.4,118.4,87.1,1
1080598,59.9,6.3,116.0,93.8,0
1080599,90.8,,111.5,93.7,1
1080600,89.8,7.1,82.4,112.3,1
1080601,65.7,6.9,112.9,127.8,1
1080602,63.8,7.0,114.8,125.7,1
1080603,53.8,6.0,120.3,110.2,0
1080604,116.3,6.0,122.6,115.4,0
1080605,51.4,6.5,136.0,81.9,1
1080606,40.7,7.9,72.7,111.9,0
1080607,78.3,6.9,84.2,126.2,1
1080608,67.1,7.3,101.8,112.9,1
1080609,58.2,6.9,109.0,67.2,1
1080610,75.4,8.8,93.0,76.9,1
1080611,62.7,7.9,133.3,67.2,0
1080612,80.0,4.8,125.2,101.7,0
1080613,81.4,7.8,85.5,97.8,1
1080614,83.2,8.1,97.2,126.8,1
1080615,96.3,8.4,125.6,70.9,1
1080616,79.1,4.3,96.7,82.6,0
1080617,113.2,8.3,94.7,113.4,1
1080618,51.5,8.4,88.4,48.7,1
1080619,73.5,5.6,67.8,83.6,0
1080620,55.0,6.2,144.4,151.6,1
1080621,71.7,2.4,117.8,89.3,0
1080622,58.0,6.0,111.6,53.8,0
1080623,72.8,4.9,127.0,86.7,1
1080624,111.6,7.8,109.7,83.7,1
1080625,82.5,7.6,78.6,126.5,0
1080626,59.4,8.8,97.8,121.9,1
1080627,103.4,9.2,107.4,139.8,1
1080628,31.9,7.8,103.2,86.8,1
1080629,69.8,5.7,93.5,111.9,0
1080630,70.5,7.2,110.0,112.7,1
1080631,83.4,7.4,89.6,103.7,0
1080632,77.6,8.6,119.2,79.7,0
1080633,76.6,8.7,53.2,146.9,0
