RecordID,Neighborhood,CrimeType,PopulationDensity,OfficerCount,CrimeRateIndex
660048,District C,Theft,7405.4,26.0,58.5
660049,District E,Assault,5248.8,35.0,67.5
660050,District K,Vandalism,5176.0,34.0,44.1
660051,District E,Burglary,7629.7,37.0,82.4
660052,District L,Vandalism,1814.5,17.0,36.4
660053,District B,Assault,6587.4,21.0,98.8
660054,District H,Assault,6484.9,37.0,53.3
660055,District H,Theft,6189.1,27.0,67.4
660056,District G,Vandalism,6017.6,23.0,68.6
660057,District F,Burglary,877.3,25.0,44.6
660058,District L,Burglary,5704.7,28.0,81.5
660059,District L,Burglary,1661.4,18.0,78.0
660060,District J,Vandalism,4486.7,34.0,40.4
660061,District K,Burglary,976.3,9.0,84.3
660062,District K,Theft,7853.1,32.0,67.2
660063,District J,Theft,4000.2,25.0,46.8
660064,District G,Vandalism,3930.0,17.0,56.2
660065,District E,Assault,4075.0,22.0,74.9
660066,District K,Vandalism,5877.7,24.0,60.5
660067,District C,Vandalism,5090.9,26.0,56.2
660068,District L,Assault,911.5,8.0,64.2
660069,District C,Burglary,7315.9,26.0,110.9
660070,District G,Vandalism,4001.1,25.0,58.5
660071,District E,Burglary,3497.8,29.0,68.0
660072,District K,Assault,6578.2,24.0,94.7
660073,District E,Burglary,3505.2,24.0,75.9
660074,District L,Assault,2466.9,14.0,70.2
660075,District E,Vandalism,7592.0,35.0,61.1
660076,District I,Assault,4463.7,32.0,59.1
660077,District H,Burglary,3132.2,12.0,86.1
660078,District K,Assault,4615.6,26.0,78.2
660079,District D,Theft,6970.3,31.0,67.1
660080,District L,Burglary,1055.1,16.0,68.8
660081,District I,Burglary,3330.2,22.0,80.0
660082,District I,Vandalism,3960.2,26.0,52.8
660083,District A,Burglary,4281.8,34.0,74.9
660084,District H,Theft,906.3,15.0,41.2
660085,District A,Vandalism,1516.1,23.0,11.9
660086,District B,Assault,3707.7,28.0,83.1
660087,District F,Theft,1170.5,22.0,23.8
660088,District E,Burglary,4833.3,21.0,107.5
660089,District C,Assault,4107.7,34.0,63.6
660090,District G,Assault,5540.6,29.0,82.9
660091,District G,Theft,6930.4,24.0,72.4
660092,District C,Burglary,2244.9,17.0,61.1
660093,District L,Vandalism,6338.6,29.0,66.9
660094,District D,Theft,4785.1,29.0,35.6
660095,District C,Theft,5523.3,36.0,47.9
660096,District J,Theft,2831.9,26.0,38.3
660097,District G,Theft,4958.3,34.0,45.6
660098,District K,Assault,5775.6,23.0,99.7
660099,District I,Assault,5838.7,38.0,78.5
660100,District H,Theft,7865.1,38.0,56.5
660101,District D,Vandalism,1412.9,18.0,11.9
660102,District J,Vandalism,1307.9,8.0,48.9
660103,District D,Assault,2235.0,22.0,60.8
660104,District F,Burglary,4049.0,19.0,79.3
660105,District L,Assault,3045.8,21.0,64.0
660106,District B,Assault,1020.4,13.0,55.6
660107,District A,Vandalism,4364.2,33.0,39.8
660108,District G,Theft,7700.1,24.0,84.8
660109,District C,Assault,1452.8,19.0,58.8
660110,District E,Assault,1747.2,22.0,58.3
660111,District D,Assault,5326.1,25.0,77.8
660112,District F,Vandalism,555.6,13.0,17.4
660113,District C,Burglary,4669.0,23.0,99.6
660114,District B,Assault,1404.3,23.0,71.7
660115,District C,Burglary,4293.1,21.0,88.9
660116,District G,Vandalism,7667.1,34.0,61.5
660117,District K,Burglary,5947.3,33.0,94.8
660118,District L,Vandalism,1491.6,19.0,32.1
660119,District H,Vandalism,7363.1,36.0,59.5
660120,District K,Burglary,6534.3,30.0,93.9
660121,District I,Assault,966.0,7.0,76.2
660122,District D,Vandalism,2864.3,12.0,42.8
660123,District K,Assault,7860.2,40.0,90.6
660124,District K,Burglary,5736.4,26.0,96.5
660125,District D,Assault,6462.3,24.0,107.1
660126,District K,Assault,7780.3,31.0,101.6
660127,District G,Burglary,4245.8,20.0,97.5
660128,District E,Theft,644.6,21.0,13.9
660129,District B,Theft,7002.2,39.0,60.3
660130,District F,Vandalism,2725.0,25.0,24.1
660131,District J,Vandalism,1177.6,9.0,44.4
660132,District K,Assault,1361.7,21.0,54.7
660133,District G,Burglary,1297.3,24.0,57.3
660134,District D,Burglary,6931.7,34.0,104.4
660135,District D,Assault,4345.3,16.0,80.3
660136,District B,Theft,6075.8,35.0,67.3
660137,District L,Vandalism,5741.1,30.0,54.6
660138,District E,Assault,5188.2,28.0,85.9
660139,District J,Burglary,2785.9,11.0,81.1
660140,District G,Vandalism,873.5,13.0,45.4
660141,District B,Burglary,2563.7,26.0,61.5
660142,District E,Theft,2629.6,16.0,49.2
660143,District D,Vandalism,5611.9,32.0,50.3
660144,District H,Burglary,3669.0,33.0,61.6
660145,District L,Vandalism,5230.6,28.0,46.0
660146,District A,Assault,7437.4,34.0,96.8
660147,District E,Vandalism,6577.0,32.0,47.6
660148,District I,Vandalism,1833.9,17.0,29.4
660149,District B,Burglary,5053.7,34.0,73.2
660150,District I,Theft,2030.9,12.0,35.6
660151,District D,Theft,7947.7,29.0,75.5
660152,District F,Theft,2062.5,11.0,54.9
660153,District C,Assault,2913.6,30.0,55.1
660154,District G,Vandalism,1340.6,27.0,8.3
660155,District L,Vandalism,7922.3,26.0,79.7
660156,District I,Vandalism,1057.4,12.0,41.7
660157,District J,Theft,2636.0,14.0,61.9
660158,District I,Assault,3152.7,26.0,60.8
660159,District D,Burglary,800.4,22.0,55.4
660160,District F,Vandalism,7405.4,36.0,51.3
660161,District E,Vandalism,1785.4,14.0,43.0
660162,District F,Burglary,6663.8,37.0,93.0
660163,District K,Vandalism,5842.2,35.0,38.3
660164,District E,Burglary,1044.6,21.0,70.8
660165,District G,Burglary,7010.3,39.0,100.0
660166,District L,Burglary,7649.5,26.0,109.6
660167,District J,Assault,6870.0,25.0,88.5
660168,District E,Burglary,5418.9,36.0,79.5
660169,District A,Assault,1944.6,26.0,58.5
660170,District J,Burglary,5009.6,34.0,78.5
660171,District K,Vandalism,2144.6,10.0,45.4
660172,District J,Theft,4055.0,34.0,42.3
660173,District H,Assault,6416.1,28.0,109.6
660174,District C,Theft,819.1,10.0,37.3
660175,District F,Theft,4582.6,33.0,30.1
660176,District C,Burglary,3108.9,16.0,82.4
660177,District G,Burglary,7295.7,29.0,93.4
660178,District K,Vandalism,7698.7,43.0,39.9
660179,District I,Vandalism,880.6,11.0,31.1
660180,District D,Assault,3021.5,15.0,76.3
660181,District L,Assault,5496.6,37.0,69.7
660182,District L,Vandalism,6885.6,38.0,49.4
660183,District F,Burglary,1003.5,8.0,86.7
660184,District A,Assault,7472.3,33.0,98.9
660185,District G,Assault,3451.9,19.0,68.9
660186,District L,Burglary,6913.1,27.0,89.8
660187,District A,Vandalism,6633.3,36.0,53.5
660188,District H,Burglary,4301.1,22.0,92.6
660189,District E,Vandalism,5178.0,20.0,65.9
660190,District A,Assault,2357.8,14.0,76.1
660191,District E,Vandalism,6871.3,29.0,50.4
660192,District L,Burglary,3320.6,27.0,67.5
660193,District I,Burglary,4333.2,23.0,85.6
660194,District J,Assault,4557.0,19.0,86.0
660195,District F,Burglary,2667.6,,62.1
660196,District L,Vandalism,4244.5,21.0,57.0
660197,District A,Vandalism,7869.0,31.0,68.0
660198,District K,Theft,5699.3,24.0,59.6
660199,District F,Theft,668.3,13.0,28.3
660200,District E,Theft,3839.5,28.0,36.2
660201,District I,Vandalism,5440.3,18.0,58.4
660202,District G,Burglary,3332.2,14.0,94.6
660203,District H,Burglary,634.2,16.0,56.3
660204,District J,Burglary,2867.3,23.0,77.0
660205,District F,Assault,4437.9,32.0,68.9
660206,District C,Theft,3158.5,27.0,28.2
660207,District C,Vandalism,6933.8,30.0,50.9
660208,District F,Burglary,670.9,10.0,67.8
660209,District C,Theft,6166.9,24.0,61.1
660210,District J,Burglary,6333.5,39.0,80.6
660211,District K,Theft,7643.1,38.0,54.7
660212,District J,Theft,4977.0,30.0,39.2
660213,District L,Assault,7182.1,31.0,94.9
660214,District L,Vandalism,2108.1,22.0,41.5
660215,District C,Burglary,6251.5,24.0,95.8
660216,District I,Burglary,7643.9,33.0,92.7
660217,District I,Theft,3198.9,24.0,43.2
660218,District A,Theft,2717.2,23.0,44.1
660219,District D,Burglary,4750.4,35.0,59.4
660220,District K,Vandalism,3434.2,14.0,48.7
660221,District B,Burglary,4459.2,18.0,103.0
660222,District A,Vandalism,5916.0,36.0,55.2
660223,District C,Assault,1851.8,17.0,53.4
660224,District H,Assault,1631.3,11.0,67.7
660225,District H,Burglary,1307.6,23.0,68.5
660226,District I,Burglary,3999.5,21.0,87.8
660227,District G,Assault,6725.4,25.0,92.9
660228,District G,Burglary,5018.4,19.0,104.5
660229,District L,Vandalism,3538.0,27.0,38.3
660230,District I,Theft,6241.8,27.0,39.0
660231,District L,Vandalism,1875.4,13.0,46.9
660232,District L,Burglary,5616.7,30.0,88.0
660233,District F,Vandalism,7187.4,27.0,64.2
660234,District A,Vandalism,521.1,9.0,27.4
660235,District A,Vandalism,6020.0,32.0,55.6
660236,District K,Assault,5150.6,23.0,83.0
660237,District J,Vandalism,1359.3,13.0,30.2
660238,District F,Assault,4432.0,26.0,76.2
660239,District K,Vandalism,7852.9,39.0,61.3
660240,District H,Theft,683.9,20.0,28.3
660241,District H,Burglary,5117.9,32.0,85.6
660242,District E,Vandalism,3392.4,21.0,38.7
660243,District F,Burglary,6507.1,30.0,97.2
660244,District K,Vandalism,1171.6,7.0,48.5
660245,District G,Burglary,2591.5,16.0,80.6
660246,District J,Assault,2126.2,25.0,50.2
660247,District F,Vandalism,1701.3,22.0,32.6
660248,District E,Theft,3485.5,18.0,46.7
660249,District G,Theft,3246.5,24.0,44.8
660250,District C,Burglary,7158.3,32.0,99.9
660251,District B,Burglary,6517.2,33.0,90.9
660252,District D,Theft,6208.0,36.0,43.9
660253,District G,Assault,2033.6,20.0,54.4
660254,District F,Vandalism,4354.3,27.0,47.1
660255,District B,Vandalism,4259.9,26.0,59.4
660256,District H,Burglary,1459.1,18.0,57.2
660257,District L,Theft,1476.8,20.0,38.2
660258,District H,Assault,992.8,21.0,48.7
660259,District L,Vandalism,7238.2,36.0,53.2
660260,District J,Theft,3408.4,,37.9
660261,District I,Assault,2876.3,23.0,62.5
660262,District J,Burglary,692.3,10.0,67.0
660263,District A,Vandalism,1396.5,26.0,8.1
660264,District H,Theft,2081.9,28.0,34.3
660265,District D,Theft,3504.2,31.0,16.6
660266,District F,Burglary,5685.8,20.0,85.8
660267,District B,Vandalism,6029.5,24.0,63.7
660268,District J,Assault,6560.8,39.0,82.7
660269,District H,Vandalism,1301.1,8.0,39.3
660270,District H,Theft,6796.1,40.0,46.1
660271,District I,Vandalism,6505.4,29.0,56.5
660272,District C,Assault,1855.1,24.0,49.3
660273,District I,Burglary,2159.5,28.0,56.4
660274,District B,Vandalism,7417.9,35.0,60.6
660275,District E,Theft,1296.9,13.0,29.4
660276,District I,Vandalism,4797.9,34.0,47.7
660277,District F,Burglary,3528.7,31.0,69.9
660278,District H,Vandalism,986.6,23.0,25.9
660279,District F,Theft,6454.1,29.0,56.8
660280,District C,Assault,819.5,,59.1
660281,District G,Vandalism,7778.5,25.0,72.5
660282,District G,Vandalism,661.6,23.0,23.6
660283,District B,Assault,6928.7,38.0,86.9
660284,District K,Theft,4731.4,25.0,48.2
660285,District A,Theft,5837.9,24.0,68.1
660286,District G,Theft,1713.0,26.0,29.8
660287,District L,Vandalism,5729.4,24.0,73.5
660288,District D,Burglary,7822.4,43.0,84.1
660289,District F,Theft,5621.5,,54.4
660290,District J,Vandalism,4616.2,23.0,46.0
660291,District E,Burglary,7537.9,27.0,100.2
660292,District J,Vandalism,7801.3,29.0,88.3
660293,District J,Burglary,1351.1,27.0,69.2
660294,District B,Theft,1328.5,14.0,36.1
660295,District C,Theft,5264.8,26.0,45.7
660296,District H,Burglary,2223.6,22.0,58.4
660297,District J,Burglary,6572.5,35.0,84.0
660298,District B,Burglary,4683.7,21.0,103.6
660299,District A,Burglary,5488.4,23.0,91.4
660300,District D,Theft,6004.1,24.0,71.4
660301,District B,Burglary,1842.0,21.0,71.3
660302,District K,Vandalism,885.7,25.0,6.9
660303,District K,Vandalism,4803.8,31.0,37.8
660304,District J,Vandalism,3683.4,32.0,32.9
660305,District E,Assault,663.3,10.0,52.8
660306,District D,Vandalism,1542.6,18.0,24.3
660307,District I,Vandalism,5674.8,25.0,56.2
660308,District E,Theft,3908.5,33.0,20.4
660309,District B,Theft,7640.6,30.0,71.8
660310,District L,Burglary,5120.1,24.0,92.9
660311,District H,Assault,5170.2,30.0,79.9
660312,District B,Vandalism,2626.0,30.0,29.2
660313,District J,Assault,5961.4,27.0,86.3
660314,District H,Theft,2490.4,21.0,48.0
660315,District B,Burglary,4870.1,20.0,90.2
660316,District I,Burglary,2489.0,23.0,63.1
660317,District K,Theft,5364.7,27.0,57.1
660318,District A,Vandalism,5121.8,35.0,35.3
660319,District B,Burglary,3142.2,13.0,92.9
660320,District I,Assault,7739.0,33.0,90.0
660321,District F,Assault,7942.0,31.0,111.8
660322,District L,Burglary,514.4,12.0,66.7
660323,District F,Theft,2532.4,21.0,27.2
660324,District E,Vandalism,7809.7,29.0,76.3
660325,District I,Assault,6603.1,33.0,93.7
660326,District H,Assault,5098.0,35.0,66.8
660327,District B,Burglary,4454.5,26.0,76.7
660328,District L,Assault,6760.9,35.0,82.7
660329,District J,Theft,1039.4,25.0,5.9
660330,District A,Vandalism,7520.6,38.0,59.1
660331,District L,Burglary,5930.2,37.0,83.8
660332,District D,Vandalism,6788.0,39.0,45.1
660333,District C,Vandalism,695.7,6.0,49.4
660334,District E,Burglary,3654.7,19.0,83.8
660335,District H,Vandalism,7656.0,24.0,78.8
660336,District I,Assault,1335.6,22.0,49.8
660337,District G,Burglary,4720.3,26.0,89.8
660338,District I,Assault,5388.9,25.0,82.5
660339,District L,Theft,5086.8,21.0,54.0
660340,District H,Theft,7370.3,34.0,52.5
660341,District I,Vandalism,4905.1,35.0,32.6
660342,District G,Vandalism,5716.1,23.0,58.7
660343,District G,Burglary,3497.5,25.0,68.4
660344,District D,Burglary,3091.7,17.0,86.3
660345,District L,Theft,5851.5,24.0,65.3
660346,District E,Burglary,7499.1,29.0,105.0
660347,District C,Assault,871.8,24.0,66.4
660348,District K,Burglary,6318.2,24.0,103.5
660349,District L,Vandalism,856.9,25.0,24.3
660350,District B,Assault,2829.2,29.0,62.7
660351,District C,Assault,5546.0,33.0,74.6
660352,District L,Burglary,3402.8,28.0,69.9
660353,District H,Vandalism,3714.5,14.0,62.3
660354,District L,Vandalism,3033.1,31.0,17.5
660355,District J,Theft,6128.4,24.0,56.7
660356,District I,Assault,1141.0,25.0,60.8
660357,District J,Assault,1265.7,27.0,61.9
660358,District J,Burglary,4724.0,16.0,94.7
660359,District H,Burglary,6434.2,26.0,85.8
660360,District B,Vandalism,2714.9,16.0,64.0
660361,District G,Vandalism,4625.5,17.0,65.6
660362,District G,Burglary,6725.3,25.0,101.7
660363,District I,Burglary,4963.7,27.0,75.4
660364,District B,Vandalism,593.4,17.0,15.4
660365,District L,Vandalism,982.4,24.0,12.1
660366,District K,Theft,517.8,23.0,5.0
660367,District H,Burglary,5402.4,22.0,98.2
660368,District F,Assault,5851.7,26.0,107.8
660369,District F,Assault,7931.7,27.0,112.9
660370,District G,Burglary,4604.6,35.0,77.9
660371,District E,Burglary,3011.0,17.0,83.1
660372,District L,Burglary,7376.5,23.0,105.5
660373,District A,Vandalism,4881.0,29.0,52.2
660374,District L,Burglary,3632.0,26.0,77.6
660375,District E,Theft,7662.1,39.0,72.5
660376,District B,Theft,3951.4,28.0,42.4
660377,District C,Vandalism,5037.3,27.0,64.6
660378,District A,Vandalism,820.7,10.0,41.6
660379,District A,Assault,2940.1,13.0,70.9
660380,District A,Theft,7566.8,26.0,74.1
660381,District D,Assault,2509.1,27.0,60.9
660382,District I,Vandalism,4758.9,18.0,56.1
660383,District D,Burglary,5036.5,35.0,69.6
660384,District B,Assault,6228.3,23.0,98.5
660385,District J,Burglary,5553.7,20.0,100.5
660386,District G,Theft,3763.0,17.0,54.4
660387,District A,Assault,5692.1,19.0,88.6
660388,District I,Burglary,6217.7,37.0,82.3
660389,District L,Theft,747.2,22.0,11.4
660390,District D,Theft,7568.0,25.0,72.1
660391,District A,Theft,3797.1,20.0,36.5
660392,District B,Burglary,2719.8,23.0,72.1
660393,District B,Burglary,7088.8,35.0,93.4
660394,District J,Assault,1393.7,10.0,64.7
660395,District I,Vandalism,6133.6,34.0,40.2
660396,District J,Burglary,6925.6,32.0,97.0
660397,District L,Vandalism,3811.9,31.0,33.3
660398,District A,Assault,4096.2,33.0,77.5
660399,District I,Vandalism,2521.5,,41.5
660400,District K,Vandalism,6073.6,27.0,81.4
660401,District E,Burglary,2119.9,,72.5
660402,District E,Vandalism,6855.8,27.0,77.7
660403,District I,Vandalism,7072.9,30.0,53.7
660404,District L,Burglary,2435.0,26.0,68.9
660405,District K,Burglary,5552.9,,83.9
660406,District H,Burglary,6896.7,32.0,97.1
660407,District A,Vandalism,6424.7,28.0,53.2
660408,District E,Vandalism,2348.0,12.0,58.0
660409,District I,Vandalism,6117.2,26.0,73.9
660410,District I,Theft,6571.3,34.0,42.1
660411,District H,Assault,7635.7,40.0,99.9
660412,District A,Theft,4164.7,18.0,60.8
660413,District G,Theft,3200.8,26.0,38.5
660414,District H,Burglary,4776.4,27.0,102.6
660415,District C,Theft,1676.3,25.0,22.3
660416,District K,Burglary,3574.9,32.0,52.5
660417,District E,Theft,6353.5,33.0,53.3
660418,District D,Burglary,1748.4,11.0,76.2
660419,District K,Assault,7540.2,40.0,85.4
660420,District L,Theft,6381.5,33.0,62.8
660421,District A,Vandalism,3768.2,19.0,47.5
660422,District D,Vandalism,3928.2,32.0,33.1
660423,District F,Assault,7340.1,30.0,91.7
660424,District G,Theft,964.5,22.0,26.3
660425,District B,Theft,7525.9,31.0,67.8
660426,District D,Theft,5758.6,37.0,53.3
660427,District B,Theft,864.0,10.0,26.4
660428,District I,Assault,2729.7,19.0,88.7
660429,District H,Theft,1188.7,15.0,39.0
660430,District J,Vandalism,1517.4,23.0,19.9
660431,District A,Burglary,990.4,8.0,86.9
660432,District I,Vandalism,2524.3,12.0,51.4
660433,District G,Assault,5561.0,37.0,69.7
660434,District L,Theft,4019.5,21.0,44.2
660435,District K,Assault,1074.6,9.0,68.8
660436,District D,Theft,4229.1,19.0,50.2
660437,District H,Theft,7178.0,38.0,44.2
660438,District D,Burglary,4879.5,35.0,67.5
660439,District J,Assault,5151.1,36.0,87.3
660440,District B,Assault,5436.3,34.0,74.5
660441,District E,Burglary,4156.7,33.0,57.0
660442,District B,Assault,4998.7,19.0,94.0
660443,District F,Vandalism,7789.6,36.0,55.6
660444,District I,Theft,5062.7,30.0,67.0
660445,District C,Burglary,4780.7,23.0,103.9
660446,District I,Burglary,6243.9,39.0,80.7
660447,District I,Theft,7205.0,24.0,81.7
660448,District K,Theft,1684.4,19.0,23.5
660449,District I,Assault,1606.8,16.0,80.3
660450,District G,Assault,1023.6,10.0,71.0
660451,District G,Theft,5738.9,33.0,54.8
660452,District L,Vandalism,6526.3,32.0,60.3
660453,District A,Assault,5898.3,28.0,96.5
660454,District G,Theft,5628.4,21.0,62.0
660455,District E,Assault,3474.1,25.0,73.7
660456,District D,Theft,4667.7,,30.8
660457,District K,Vandalism,1250.0,18.0,19.0
660458,District L,Theft,3938.0,16.0,48.0
660459,District K,Burglary,6647.7,38.0,94.5
660460,District E,Burglary,1075.7,21.0,61.8
660461,District J,Theft,7540.8,42.0,47.5
660462,District L,Vandalism,2927.3,16.0,44.0
660463,District K,Burglary,2355.0,26.0,64.3
660464,District K,Vandalism,1268.1,14.0,46.1
660465,District C,Assault,6426.3,22.0,100.3
660466,District K,Burglary,1937.8,24.0,56.0
660467,District I,Assault,2274.3,20.0,71.2
660468,District F,Vandalism,749.1,6.0,41.0
660469,District B,Vandalism,6157.8,38.0,54.8
660470,District C,Assault,4895.8,36.0,73.8
660471,District L,Vandalism,7814.2,40.0,50.1
660472,District I,Vandalism,6437.0,23.0,53.3
660473,District B,Vandalism,7346.1,29.0,80.9
660474,District H,Theft,7488.3,40.0,45.8
660475,District J,Burglary,3537.1,31.0,76.2
660476,District I,Assault,842.6,17.0,49.4
660477,District H,Burglary,5283.6,21.0,104.7
660478,District H,Vandalism,4665.9,18.0,60.0
660479,District B,Theft,7700.7,41.0,46.3
660480,District A,Burglary,5005.3,22.0,91.7
660481,District I,Assault,3638.6,19.0,89.7
660482,District K,Vandalism,4901.0,26.0,37.9
660483,District L,Theft,4048.3,19.0,54.7
660484,District F,Burglary,3627.8,20.0,71.3
660485,District D,Burglary,6843.9,23.0,112.1
660486,District A,Burglary,7039.2,38.0,87.3
660487,District F,Burglary,6403.4,26.0,92.7
660488,District G,Vandalism,3223.3,29.0,36.5
660489,District I,Burglary,1452.1,14.0,71.6
660490,District I,Vandalism,2782.3,28.0,40.0
660491,District C,Theft,7552.5,24.0,82.3
660492,District B,Theft,5436.2,32.0,52.7
660493,District I,Theft,6919.2,31.0,46.3
660494,District I,Theft,7316.7,38.0,54.5
660495,District D,Burglary,6640.0,40.0,85.7
660496,District D,Theft,5544.1,36.0,42.7
660497,District G,Theft,7674.1,42.0,57.6
660498,District L,Vandalism,5437.4,30.0,51.2
660499,District B,Theft,6972.3,28.0,73.9
660500,District L,Vandalism,6836.7,38.0,56.7
660501,District K,Vandalism,4922.6,36.0,34.4
660502,District C,Assault,3953.6,19.0,78.6
660503,District B,Assault,3278.5,16.0,74.8
660504,District E,Assault,6260.5,36.0,82.7
660505,District K,Burglary,6150.4,36.0,89.5
660506,District L,Burglary,3053.8,29.0,55.9
660507,District D,Burglary,7249.7,39.0,90.2
660508,District D,Vandalism,549.4,20.0,13.5
660509,District H,Theft,1616.0,15.0,42.0
660510,District H,Assault,3940.5,22.0,74.3
660511,District D,Burglary,4807.6,24.0,79.2
660512,District L,Vandalism,1959.6,14.0,10.4
660513,District J,Vandalism,6525.6,24.0,65.3
660514,District L,Vandalism,2580.2,23.0,28.5
660515,District I,Assault,7558.1,26.0,102.8
660516,District I,Vandalism,1419.3,13.0,31.9
660517,District J,Vandalism,907.1,17.0,30.8
660518,District E,Theft,739.8,20.0,24.0
660519,District A,Assault,5625.1,22.0,91.8
660520,District I,Vandalism,7175.6,24.0,91.2
660521,District E,Vandalism,7623.3,31.0,67.7
660522,District J,Vandalism,875.8,11.0,37.7
660523,District E,Vandalism,3865.1,33.0,35.3
660524,District H,Vandalism,3037.8,31.0,22.6
660525,District E,Theft,5515.1,20.0,63.8
660526,District I,Vandalism,7092.3,40.0,53.9
660527,District F,Vandalism,3067.0,17.0,38.1
660528,District L,Theft,3125.0,20.0,45.0
660529,District L,Assault,6959.3,41.0,85.1
660530,District G,Assault,4218.6,34.0,53.0
660531,District C,Burglary,2330.8,28.0,53.5
660532,District L,Vandalism,2507.9,11.0,47.1
660533,District D,Vandalism,5616.6,33.0,55.7
660534,District L,Vandalism,2279.0,28.0,28.4
660535,District D,Theft,2501.8,30.0,31.7
660536,District I,Assault,7128.8,25.0,117.0
660537,District C,Theft,1202.6,13.0,52.8
660538,District C,Assault,7903.7,33.0,96.5
660539,District K,Burglary,7445.1,37.0,84.6
660540,District H,Vandalism,4304.8,33.0,29.3
660541,District H,Burglary,1131.3,26.0,52.6
660542,District I,Vandalism,6353.2,30.0,57.3
660543,District E,Burglary,2434.3,27.0,53.8
660544,District F,Burglary,5041.6,25.0,80.7
660545,District B,Burglary,915.4,14.0,84.1
660546,District B,Vandalism,6646.6,34.0,52.7
660547,District B,Burglary,6653.5,39.0,90.9
660548,District L,Vandalism,5807.3,31.0,53.3
660549,District L,Vandalism,4151.5,18.0,63.1
660550,District I,Assault,2656.3,25.0,60.2
660551,District H,Assault,6055.5,37.0,78.7
660552,District A,Vandalism,574.4,11.0,36.4
660553,District I,Burglary,3615.2,23.0,83.8
660554,District C,Theft,5032.4,26.0,61.2
660555,District H,Assault,3594.4,28.0,72.4
660556,District I,Vandalism,6944.5,38.0,59.4
660557,District J,Assault,2687.8,16.0,76.3
660558,District E,Theft,2719.5,29.0,34.2
660559,District H,Burglary,874.1,22.0,51.5
660560,District B,Theft,6573.8,33.0,51.2
660561,District J,Vandalism,7139.5,23.0,59.1
660562,District D,Burglary,2683.1,,54.2
660563,District B,Assault,1690.9,20.0,52.9
660564,District I,Vandalism,2146.4,10.0,46.5
660565,District D,Assault,4198.0,31.0,75.2
660566,District J,Theft,520.0,16.0,27.2
660567,District J,Burglary,1483.8,18.0,63.6
660568,District I,Assault,4502.2,20.0,77.8
660569,District J,Assault,6014.9,38.0,79.6
660570,District K,Assault,1302.4,17.0,61.8
660571,District A,Theft,514.2,25.0,7.9
660572,District E,Assault,5455.0,24.0,83.9
660573,District G,Burglary,7583.7,36.0,77.3
660574,District I,Vandalism,5272.3,27.0,43.4
660575,District K,Vandalism,2188.4,24.0,22.0
660576,District L,Theft,3138.6,16.0,34.9
660577,District K,Burglary,6799.8,28.0,94.9
660578,District A,Vandalism,6298.1,20.0,58.2
660579,District H,Assault,3396.6,21.0,79.4
660580,District B,Assault,3807.0,24.0,73.2
660581,District E,Assault,1566.1,17.0,74.7
660582,District B,Vandalism,2912.7,20.0,35.3
660583,District A,Assault,6189.7,22.0,96.2
660584,District I,Theft,2554.5,13.0,51.4
660585,District D,Vandalism,4785.8,20.0,62.9
660586,District G,Vandalism,2834.3,19.0,45.5
