BatchID,ReactantFlowRate_Lh,ReactorPressure_Bar,ReactorTempCelsius,AgitatorSpeedRPM,SafetyAlarmTriggered
1900226,11.9,1.45,76.0,19.6,0
1900227,33.1,1.47,158.8,13.6,0
1900228,58.2,1.66,101.3,5.0,0
1900229,47.0,0.89,97.6,1.9,0
1900230,20.2,1.76,118.2,12.0,1
1900231,49.7,2.09,92.2,12.5,0
1900232,25.6,2.26,116.8,12.4,1
1900233,36.0,1.25,98.6,15.1,1
1900234,45.1,1.62,136.5,7.6,1
1900235,24.0,0.98,81.2,5.5,0
1900236,45.4,1.61,113.3,9.8,0
1900237,38.5,1.18,161.7,10.8,1
1900238,30.4,0.9,122.4,6.9,0
1900239,73.3,1.5,144.4,12.9,1
1900240,22.2,1.76,104.5,16.1,0
1900241,65.4,1.24,138.3,12.8,0
1900242,23.5,1.15,106.5,14.5,1
1900243,34.6,1.97,96.9,20.8,0
1900244,57.2,0.94,154.9,10.6,1
1900245,37.0,1.06,128.6,21.5,0
1900246,59.9,1.44,143.5,11.8,1
1900247,37.4,1.31,101.2,18.8,1
1900248,48.9,1.7,109.5,9.4,1
1900249,56.8,1.17,104.1,9.1,0
1900250,29.9,1.46,121.7,13.5,1
1900251,73.4,0.74,187.2,6.0,1
1900252,40.0,1.43,122.5,12.9,0
1900253,27.4,2.15,143.6,16.2,1
1900254,51.3,1.07,138.8,17.3,0
1900255,21.7,1.92,114.2,15.2,0
1900256,35.6,,179.1,16.5,1
1900257,35.3,1.59,64.6,22.3,0
1900258,50.8,1.56,94.5,14.5,0
1900259,27.0,1.77,63.9,1.6,0
1900260,50.9,0.83,194.4,10.7,0
1900261,36.1,0.93,143.3,9.4,0
1900262,61.7,1.33,99.3,20.8,0
1900263,29.3,1.55,100.0,7.5,0
1900264,44.0,0.56,131.2,10.8,1
1900265,27.4,1.42,112.6,9.2,0
1900266,49.3,1.69,97.0,10.4,0
1900267,23.7,1.66,124.8,16.5,1
1900268,0.0,1.19,148.6,17.2,1
1900269,47.6,2.38,184.8,15.2,1
1900270,16.1,1.78,130.0,18.3,1
1900271,41.3,1.31,156.9,12.8,1
1900272,26.1,0.76,152.8,16.0,1
1900273,39.5,1.37,108.4,21.8,1
1900274,68.5,1.09,156.8,18.7,1
1900275,68.6,1.16,149.1,11.6,1
1900276,8.9,1.5,129.5,14.8,1
1900277,55.4,2.21,131.4,9.5,1
1900278,66.0,1.61,183.2,14.5,1
1900279,64.6,1.47,181.6,8.9,1
1900280,29.7,1.2,164.6,12.2,1
1900281,49.1,2.53,76.7,13.2,1
1900282,48.7,1.49,90.6,13.7,0
1900283,32.1,1.76,139.7,15.1,1
1900284,42.8,1.59,136.2,6.4,1
1900285,61.5,1.24,140.2,11.0,1
1900286,38.8,1.49,103.8,3.3,1
1900287,41.0,1.91,101.9,23.0,1
1900288,36.4,1.79,147.3,24.0,1
1900289,36.8,1.45,183.7,14.3,1
1900290,33.0,1.95,114.6,9.1,1
1900291,50.2,1.63,125.1,12.0,1
1900292,43.3,1.09,135.5,10.5,0
1900293,54.5,1.48,144.0,10.7,1
1900294,51.1,1.41,20.0,19.6,1
1900295,47.8,1.77,116.3,17.9,0
1900296,43.6,1.88,149.4,8.2,1
1900297,42.0,1.72,111.3,14.0,0
1900298,44.1,1.79,160.8,17.6,1
1900299,77.0,1.08,155.0,9.9,1
1900300,47.7,1.23,100.0,10.4,0
1900301,33.1,1.8,72.3,12.2,0
1900302,51.9,1.87,103.9,2.7,0
1900303,20.3,1.36,150.7,6.3,1
1900304,47.4,2.15,163.9,9.3,1
1900305,27.6,1.8,131.7,10.9,1
1900306,41.6,0.98,76.5,14.9,1
1900307,41.5,1.77,115.0,16.5,0
1900308,56.9,1.38,95.5,2.0,0
1900309,43.8,0.95,107.6,3.7,0
1900310,20.7,1.42,62.6,15.4,0
1900311,56.2,1.58,101.5,20.4,0
1900312,52.9,0.84,123.3,14.6,0
1900313,18.2,1.67,83.1,9.5,0
1900314,28.3,1.67,136.1,16.5,0
1900315,89.3,1.2,129.7,12.1,1
1900316,35.0,1.65,109.3,13.7,0
1900317,51.8,1.74,168.7,12.9,1
1900318,35.9,1.47,113.2,4.8,0
1900319,43.2,0.94,88.9,16.3,0
1900320,35.0,1.39,125.2,11.4,0
1900321,52.1,1.19,135.3,14.1,1
1900322,54.5,2.03,173.7,4.8,1
1900323,56.0,1.06,87.2,15.9,0
1900324,52.6,0.79,100.4,10.4,0
1900325,33.4,1.88,125.9,14.0,1
1900326,26.6,1.24,135.6,8.7,0
1900327,91.8,1.61,103.3,17.2,0
1900328,34.1,1.6,112.1,10.0,1
1900329,51.6,1.91,136.2,19.7,0
1900330,78.0,1.1,116.1,20.0,1
1900331,63.4,1.81,90.1,18.4,0
1900332,29.8,0.93,142.5,17.8,1
1900333,29.0,1.6,118.0,17.6,1
1900334,60.2,1.27,95.3,13.9,0
1900335,14.5,0.67,103.1,17.0,0
1900336,66.2,1.7,145.0,8.8,1
1900337,45.0,1.54,129.1,6.4,1
1900338,51.2,1.54,83.3,14.3,1
1900339,35.7,1.25,118.6,13.5,0
1900340,64.0,1.58,120.5,8.8,0
1900341,55.2,1.29,126.9,5.5,1
1900342,50.8,1.53,102.5,15.6,1
1900343,41.3,1.46,134.7,13.2,1
1900344,54.6,1.12,168.3,5.1,1
1900345,42.1,1.49,127.5,8.6,1
1900346,61.5,1.83,123.4,21.2,1
1900347,39.9,1.59,119.5,5.6,1
1900348,25.0,1.71,116.9,1.4,1
1900349,73.4,1.08,74.0,9.6,0
1900350,14.3,1.29,112.0,7.9,1
1900351,32.8,1.66,106.6,5.7,0
1900352,67.1,1.08,94.7,11.7,0
1900353,21.4,1.76,112.6,14.9,1
1900354,66.3,1.82,114.1,6.5,0
1900355,45.6,1.58,120.0,8.7,0
1900356,44.9,2.04,102.5,9.5,1
1900357,43.7,1.79,154.2,3.9,1
1900358,31.4,1.56,125.7,8.6,1
1900359,67.4,1.82,196.6,6.6,1
1900360,62.8,1.28,142.3,13.9,1
1900361,8.2,1.95,138.4,3.9,1
1900362,41.9,0.98,187.3,16.4,1
1900363,42.1,1.28,146.1,1.0,1
1900364,42.1,1.78,132.2,14.1,1
1900365,19.2,1.51,132.8,12.3,0
1900366,45.8,1.99,83.4,13.3,0
1900367,71.0,1.05,109.5,15.5,0
1900368,25.2,1.32,100.4,19.0,0
1900369,33.7,1.54,188.7,18.0,1
1900370,72.5,1.58,87.6,7.6,0
1900371,35.2,1.74,121.7,5.3,1
1900372,38.7,2.06,120.9,6.5,0
1900373,70.2,1.56,132.0,13.0,1
1900374,34.8,1.8,123.3,5.2,0
1900375,53.9,1.49,102.0,10.0,0
1900376,37.1,1.4,71.8,11.9,1
1900377,46.3,2.13,105.6,11.6,0
1900378,51.8,2.52,111.6,15.8,1
1900379,20.7,0.86,125.6,1.4,0
1900380,46.9,1.63,92.3,12.5,0
1900381,27.2,1.92,115.7,6.9,1
1900382,33.2,1.54,131.9,8.4,0
1900383,28.1,1.65,73.2,7.7,0
1900384,55.5,1.97,92.9,12.7,1
1900385,52.1,1.94,96.7,8.3,0
1900386,38.5,1.6,150.8,1.0,1
1900387,61.5,,105.9,12.3,1
1900388,54.4,1.18,160.6,11.0,0
1900389,55.6,0.87,117.4,8.9,0
1900390,34.5,0.68,151.4,13.4,1
1900391,1.0,,148.3,13.3,1
1900392,49.6,1.45,113.5,7.8,0
1900393,47.2,1.16,146.3,8.8,0
1900394,47.8,0.77,113.0,2.9,0
1900395,46.8,1.14,135.6,9.9,1
1900396,71.8,1.4,129.1,13.8,0
1900397,75.7,1.58,148.9,11.6,1
1900398,68.4,1.27,115.9,13.8,1
1900399,66.0,1.63,128.5,14.0,1
1900400,51.7,2.36,122.1,1.0,0
1900401,50.8,0.74,177.3,13.0,1
1900402,44.8,1.44,135.1,11.3,0
1900403,63.6,2.19,95.4,20.3,0
1900404,54.5,1.74,104.9,6.6,1
1900405,32.0,1.33,111.4,4.4,1
1900406,39.5,1.55,73.1,11.8,0
1900407,48.2,1.44,76.1,15.5,1
1900408,50.4,1.83,143.3,13.4,1
1900409,30.6,0.63,120.1,14.4,1
1900410,49.2,1.6,163.7,15.9,0
1900411,41.2,1.26,105.8,6.7,0
1900412,37.9,1.63,70.4,15.0,0
1900413,38.0,1.16,126.4,6.0,1
1900414,25.4,0.66,96.1,3.8,0
1900415,70.1,1.45,72.0,15.6,0
1900416,51.9,1.36,131.0,19.2,1
1900417,49.5,2.12,123.6,2.3,1
1900418,30.0,1.89,101.5,12.1,1
1900419,38.4,1.2,111.6,4.5,0
1900420,40.0,1.27,129.7,15.4,0
1900421,15.4,1.02,116.1,10.0,0
1900422,23.5,1.08,123.8,6.6,0
1900423,30.7,,160.4,1.5,1
1900424,55.3,0.79,127.5,2.0,0
1900425,55.2,,177.2,15.9,1
1900426,71.3,2.01,78.8,23.2,1
1900427,63.1,1.22,143.8,14.5,1
1900428,28.2,1.58,130.0,10.3,1
1900429,46.3,1.22,69.7,15.5,0
1900430,35.0,0.69,54.1,10.7,0
1900431,27.1,1.83,144.7,12.3,1
1900432,24.9,1.6,132.5,20.1,1
1900433,40.6,1.47,90.1,4.5,0
1900434,58.4,1.62,151.0,12.6,1
1900435,36.6,0.78,134.3,11.2,1
1900436,37.8,1.65,90.7,4.8,0
1900437,36.5,1.72,113.3,12.9,0
1900438,47.2,1.81,181.6,18.1,1
1900439,36.5,1.8,122.7,11.1,0
1900440,48.6,1.31,124.3,10.3,0
1900441,49.0,1.51,69.5,14.4,0
1900442,44.1,1.37,140.1,18.5,1
1900443,31.3,1.12,97.5,18.3,0
1900444,47.4,0.8,102.8,13.2,0
1900445,26.6,1.74,116.1,9.9,0
1900446,54.7,1.63,134.2,7.1,1
1900447,53.3,2.13,175.0,13.6,1
1900448,52.2,0.63,77.8,4.1,0
1900449,62.6,1.71,56.6,10.9,0
1900450,48.0,1.39,130.6,19.6,1
1900451,77.6,0.84,116.2,12.9,0
1900452,56.3,1.5,141.4,7.2,1
1900453,26.0,1.6,109.2,17.5,0
1900454,61.3,0.85,121.4,7.3,0
1900455,58.9,1.08,96.8,19.1,0
1900456,45.1,1.13,145.8,2.2,1
1900457,11.3,1.47,125.8,14.8,1
1900458,57.0,1.32,123.2,13.9,1
1900459,29.4,1.22,118.6,15.8,0
1900460,59.4,1.91,117.8,12.8,0
1900461,44.2,1.77,140.4,10.1,1
1900462,62.6,1.68,152.5,10.6,1
1900463,35.1,1.27,126.0,15.0,1
1900464,34.0,1.0,153.3,9.3,1
1900465,42.0,,108.3,20.4,0
1900466,60.5,2.13,134.8,2.8,1
1900467,22.1,1.47,126.1,8.5,0
1900468,40.6,2.21,131.2,9.8,0
1900469,56.0,1.13,115.1,16.7,1
1900470,43.5,0.76,77.5,19.0,0
1900471,58.8,1.42,135.8,15.7,0
1900472,47.4,2.14,90.2,13.4,1
1900473,41.7,0.92,102.9,7.7,0
1900474,72.5,1.76,113.7,10.1,1
1900475,16.0,1.15,92.2,11.9,0
1900476,39.2,0.99,88.5,4.3,0
1900477,46.7,1.89,130.2,17.7,0
1900478,61.5,1.57,91.3,6.2,0
1900479,42.8,1.54,146.3,9.7,0
1900480,58.4,1.5,128.8,10.8,0
1900481,17.8,1.33,126.0,4.7,1
1900482,37.7,1.56,86.7,11.6,0
1900483,41.3,1.07,94.1,14.4,0
1900484,45.0,1.79,95.9,8.1,0
1900485,55.6,0.79,162.8,13.6,1
1900486,58.2,1.71,106.5,7.5,1
1900487,47.9,0.58,91.0,19.6,1
1900488,30.7,,36.8,6.7,1
1900489,46.0,1.59,191.3,19.3,1
1900490,61.3,1.91,132.0,9.0,1
1900491,39.5,1.82,107.2,11.8,1
1900492,45.3,1.1,115.6,6.8,1
1900493,43.3,1.89,171.3,18.9,1
1900494,46.1,1.58,105.0,8.8,0
1900495,48.0,1.76,113.0,4.6,0
1900496,67.3,1.71,79.0,9.2,0
1900497,47.0,1.35,137.6,10.3,1
1900498,36.8,2.02,123.0,7.0,0
1900499,50.0,1.59,197.7,13.0,0
1900500,50.1,1.73,130.1,12.9,0
1900501,80.4,1.63,104.3,23.2,0
1900502,51.1,1.74,110.8,9.7,0
1900503,64.7,1.96,108.5,3.0,0
1900504,16.6,0.85,147.8,8.8,1
1900505,54.2,2.09,129.8,10.9,1
1900506,43.7,1.84,50.8,9.1,1
1900507,32.0,1.31,116.7,1.0,0
1900508,50.4,2.12,132.2,13.9,0
1900509,48.1,1.38,148.8,12.7,1
1900510,45.9,2.08,158.7,9.1,1
1900511,43.0,1.4,101.9,12.5,0
1900512,31.5,1.63,117.5,6.6,1
1900513,40.8,1.91,167.4,14.3,1
1900514,25.9,0.98,95.8,17.8,0
1900515,31.4,1.79,140.6,10.5,1
1900516,72.5,1.35,141.4,14.7,1
1900517,46.6,,145.2,11.0,1
1900518,12.4,0.93,162.5,14.4,1
1900519,57.8,1.61,110.8,20.1,0
1900520,55.2,1.68,125.9,7.0,0
1900521,35.9,1.59,162.4,17.4,1
1900522,40.0,1.63,135.9,11.7,1
1900523,37.0,1.7,108.3,13.1,0
1900524,40.8,1.55,108.8,19.2,0
1900525,39.8,0.85,117.8,6.9,0
1900526,33.7,0.82,82.2,7.3,0
1900527,30.8,0.89,110.8,21.4,0
1900528,46.5,1.29,147.2,13.0,1
1900529,55.7,1.73,158.5,1.0,1
1900530,32.5,1.4,156.9,11.6,1
1900531,59.2,1.83,53.3,16.8,0
1900532,47.2,1.05,120.8,1.0,0
1900533,63.5,2.62,132.9,11.6,1
1900534,41.0,1.04,138.2,12.8,1
1900535,56.5,1.8,126.6,20.5,1
1900536,45.3,1.21,106.7,24.4,0
1900537,20.1,0.89,160.3,11.9,0
1900538,48.3,1.14,81.6,14.4,0
1900539,44.9,1.72,121.0,5.9,1
1900540,44.9,1.71,76.0,16.1,1
1900541,34.6,1.54,57.0,7.4,0
1900542,52.6,,69.0,20.9,1
1900543,45.1,1.06,122.4,18.0,1
1900544,52.4,1.74,110.0,12.9,1
1900545,19.6,0.95,155.0,15.5,0
1900546,40.2,1.32,106.6,3.6,0
1900547,44.4,1.72,77.7,11.6,0
1900548,30.5,1.45,174.2,15.6,1
1900549,27.9,2.08,118.8,15.5,1
1900550,32.1,1.14,193.6,18.5,0
1900551,38.0,1.26,136.6,1.5,0
1900552,51.3,2.24,180.4,2.5,1
1900553,62.5,1.41,138.2,6.1,1
1900554,25.9,0.97,120.4,11.0,0
1900555,36.7,0.7,96.5,11.7,0
1900556,32.0,1.13,123.6,15.6,1
1900557,0.2,1.1,105.9,14.8,0
1900558,33.4,1.01,106.3,9.8,1
1900559,56.3,1.5,58.8,12.8,0
1900560,49.5,1.38,139.0,5.8,1
1900561,47.3,1.65,96.1,9.7,0
1900562,48.9,1.32,69.3,24.8,0
1900563,19.2,1.15,97.8,11.7,0
1900564,40.9,1.28,127.6,16.9,0
1900565,23.0,1.92,114.6,12.7,0
1900566,20.8,1.57,169.0,19.3,1
1900567,12.3,2.24,127.4,14.1,1
1900568,59.2,1.3,148.7,16.2,1
1900569,44.5,1.05,74.1,5.1,0
1900570,18.6,0.93,165.3,20.0,1
1900571,37.5,1.46,123.8,5.0,1
1900572,52.6,1.62,91.5,4.6,0
1900573,41.9,1.37,114.9,9.8,0
1900574,47.5,2.23,80.9,16.0,0
1900575,25.3,0.88,127.1,20.0,1
1900576,32.9,1.37,163.2,8.0,1
1900577,47.2,2.45,61.0,16.0,0
1900578,40.8,1.04,147.5,17.3,1
1900579,58.4,1.41,109.1,9.9,0
1900580,56.2,2.23,150.3,9.9,1
1900581,31.7,1.62,119.3,7.8,1
1900582,59.7,,121.6,8.0,0
1900583,9.2,1.94,76.0,16.2,0
1900584,66.6,1.59,137.6,11.2,0
1900585,46.0,1.49,125.9,6.0,1
1900586,38.4,1.47,53.9,13.4,0
1900587,39.6,0.65,147.2,3.3,1
1900588,38.3,1.01,97.9,10.7,1
1900589,58.6,1.84,62.4,4.7,0
1900590,46.2,1.05,87.3,17.3,0
1900591,66.0,1.26,120.9,11.0,1
1900592,48.3,1.64,132.8,14.0,1
1900593,35.1,1.84,97.0,12.6,1
1900594,49.3,1.84,122.4,11.9,0
1900595,52.9,1.48,165.7,14.5,1
1900596,45.5,1.52,137.9,23.9,1
1900597,82.3,,106.8,16.2,1
1900598,50.4,1.34,97.0,13.1,0
1900599,73.4,1.26,91.0,9.5,0
1900600,33.6,1.22,33.9,18.3,0
1900601,42.1,1.41,101.0,6.3,0
1900602,63.5,1.01,102.8,13.2,1
1900603,52.1,1.56,140.1,24.2,1
1900604,18.4,1.3,163.1,12.4,1
1900605,32.0,0.72,140.4,16.0,1
1900606,30.9,1.03,146.3,22.3,1
1900607,17.8,1.76,64.6,9.6,0
1900608,27.0,1.43,133.5,4.3,1
1900609,14.8,1.29,107.9,14.1,0
1900610,66.7,1.72,99.3,9.4,0
1900611,4.8,1.35,164.8,14.3,1
1900612,38.0,0.82,131.4,24.4,0
1900613,53.2,1.41,127.7,24.0,0
1900614,66.9,1.54,127.0,9.4,1
1900615,63.9,1.81,71.6,11.1,0
1900616,44.3,1.11,175.2,4.0,1
1900617,16.4,2.26,71.1,8.3,0
1900618,58.4,1.3,128.6,9.8,0
1900619,43.3,1.29,93.7,12.6,0
1900620,52.0,1.2,150.5,12.2,1
1900621,28.2,1.45,120.1,8.7,1
1900622,48.3,1.74,174.8,5.9,1
1900623,43.1,1.08,61.3,4.2,0
1900624,45.9,1.06,142.9,6.4,1
1900625,49.3,1.14,121.4,19.6,0
1900626,53.5,2.12,139.7,10.5,1
1900627,47.8,1.45,90.1,15.8,0
1900628,44.7,2.09,169.7,11.2,1
1900629,51.4,1.88,126.4,8.1,1
1900630,66.1,0.96,78.3,7.5,0
1900631,35.1,1.77,123.0,6.4,1
