EmployeeID,JobRotationCount,PerformanceEvaluation,YearsSinceLastPromotion,MentorshipHours,Promoted
1430390,89.7,86.4,6.1,13.3,0
1430391,122.4,85.7,2.8,42.9,0
1430392,83.8,107.4,4.6,8.3,0
1430393,29.6,117.6,3.0,34.5,0
1430394,66.1,106.3,7.0,21.2,1
1430395,141.2,150.2,13.8,17.1,0
1430396,114.6,137.6,4.8,39.5,1
1430397,111.9,120.5,6.8,37.8,0
1430398,96.4,75.5,3.7,39.4,0
1430399,84.5,66.8,4.9,16.6,1
1430400,119.0,127.4,3.6,36.9,1
1430401,76.5,74.1,7.2,30.4,1
1430402,97.4,129.9,11.6,43.6,0
1430403,72.9,131.6,2.5,22.1,1
1430404,109.8,83.9,4.3,28.8,0
1430405,63.2,100.0,13.5,39.2,0
1430406,96.6,79.1,4.6,19.1,0
1430407,134.2,123.0,7.0,22.5,1
1430408,130.4,91.4,9.3,8.0,1
1430409,119.4,83.5,13.8,20.1,1
1430410,130.6,58.9,2.8,44.4,1
1430411,72.0,40.8,10.7,35.8,0
1430412,126.5,93.3,10.8,24.1,1
1430413,98.2,93.5,8.9,16.4,0
1430414,110.6,81.3,6.1,5.6,1
1430415,26.7,91.1,11.5,33.8,0
1430416,104.8,94.5,14.6,44.2,1
1430417,115.1,97.8,11.5,16.7,1
1430418,103.9,119.5,1.4,40.6,0
1430419,51.7,49.9,4.6,19.8,1
1430420,136.8,105.2,6.8,20.0,0
1430421,94.4,153.3,9.4,36.1,0
1430422,153.6,75.0,5.1,38.8,1
1430423,46.6,78.2,4.6,14.5,0
1430424,101.8,105.1,8.5,12.2,1
1430425,61.6,112.0,7.2,29.2,0
1430426,77.1,102.6,9.1,36.1,1
1430427,88.5,100.5,9.0,26.8,0
1430428,95.0,84.5,3.3,27.4,0
1430429,77.6,111.0,2.4,11.6,0
1430430,83.3,95.9,5.6,34.4,0
1430431,40.4,129.6,5.2,19.7,1
1430432,88.4,104.1,2.6,23.8,0
1430433,77.0,79.6,13.5,28.8,0
1430434,84.4,79.7,1.3,8.5,1
1430435,116.1,64.7,5.8,35.2,0
1430436,101.7,73.4,10.7,43.6,0
1430437,124.4,105.0,8.4,31.8,1
1430438,61.3,123.3,9.8,30.3,0
1430439,110.4,122.8,5.1,37.1,0
1430440,131.5,88.3,11.4,29.6,1
1430441,115.4,115.3,8.8,30.0,0
1430442,162.8,101.7,10.2,32.0,1
1430443,104.6,78.6,7.5,22.4,0
1430444,82.4,92.3,12.2,19.3,1
1430445,141.6,99.1,14.4,37.4,1
1430446,107.3,101.1,14.8,25.9,1
1430447,93.8,122.4,2.5,30.5,0
1430448,124.9,109.0,11.7,29.6,1
1430449,87.0,77.1,12.9,7.1,1
1430450,78.8,103.9,14.5,29.9,1
1430451,110.6,73.5,5.9,30.9,0
1430452,120.7,129.7,6.3,19.5,0
1430453,109.5,107.7,12.1,22.8,0
1430454,112.3,100.2,11.5,39.1,0
1430455,73.4,101.3,1.2,32.3,0
1430456,104.2,100.1,7.0,7.5,1
1430457,108.2,117.1,9.0,27.7,1
1430458,85.4,121.3,1.8,20.4,1
1430459,45.3,76.4,5.7,6.0,1
1430460,112.1,104.2,7.1,23.8,1
1430461,88.0,110.8,11.2,15.0,0
1430462,88.3,84.6,8.3,12.4,0
1430463,111.9,104.1,10.4,6.6,0
1430464,129.9,91.6,5.5,20.1,1
1430465,82.3,79.5,9.8,12.2,1
1430466,98.5,130.3,13.0,38.9,0
1430467,93.0,101.2,3.6,30.9,0
1430468,45.5,165.6,1.2,7.7,1
1430469,94.6,79.8,4.1,21.0,0
1430470,114.0,89.8,10.6,25.0,1
1430471,87.4,109.5,13.9,7.7,0
1430472,125.8,89.7,8.2,38.5,0
1430473,107.5,98.9,4.6,40.3,1
1430474,79.5,103.7,3.8,35.6,1
1430475,102.8,121.4,4.7,29.1,0
1430476,96.8,95.9,11.0,20.5,0
1430477,110.7,75.3,9.9,8.1,1
1430478,99.4,62.4,8.4,9.4,1
1430479,69.6,117.9,5.2,28.7,1
1430480,85.3,151.9,14.8,7.3,1
1430481,101.6,126.7,8.2,18.0,0
1430482,106.5,114.6,3.8,8.4,0
1430483,51.3,101.4,9.0,25.2,0
1430484,65.3,70.2,5.8,12.1,0
1430485,92.2,109.8,2.8,15.3,0
1430486,105.2,77.8,5.4,21.5,0
1430487,142.4,92.5,12.2,5.3,1
1430488,122.7,104.5,10.5,44.4,0
1430489,63.0,125.3,9.1,32.6,1
1430490,84.4,84.6,4.2,25.5,0
1430491,143.0,145.9,6.7,33.3,0
1430492,110.2,116.8,4.8,10.5,0
1430493,154.8,97.0,1.4,8.2,0
1430494,91.9,112.6,8.2,9.8,1
1430495,103.1,94.7,1.5,14.2,1
1430496,88.4,113.0,3.7,39.6,1
1430497,90.7,111.2,12.4,36.6,0
1430498,125.0,141.4,14.8,44.1,1
1430499,102.7,101.4,13.5,22.1,1
1430500,111.3,140.4,7.6,29.8,1
1430501,125.3,132.3,4.6,44.0,1
1430502,65.7,134.3,,34.4,0
1430503,88.3,101.0,4.8,15.9,0
1430504,122.9,111.0,10.1,34.2,0
1430505,98.0,112.0,10.8,17.4,1
1430506,55.0,106.3,9.3,35.3,1
1430507,97.1,131.0,11.4,32.7,0
1430508,68.2,109.5,4.8,21.5,0
1430509,110.5,79.2,1.2,21.2,0
1430510,130.3,102.2,3.9,20.4,1
1430511,112.7,104.0,10.2,33.6,1
1430512,94.2,81.5,13.6,18.4,0
1430513,90.7,65.9,8.7,31.1,0
1430514,170.4,126.5,8.2,17.9,1
1430515,113.2,108.8,14.2,18.1,1
1430516,108.8,86.5,12.7,18.2,1
1430517,123.1,67.5,3.0,28.8,1
1430518,79.2,135.7,4.1,11.6,0
1430519,127.1,83.2,8.7,36.9,0
1430520,118.9,98.7,3.5,41.3,0
1430521,99.2,111.9,7.8,23.4,1
1430522,98.4,84.2,12.6,24.5,1
1430523,121.1,86.6,5.6,20.0,0
1430524,119.1,51.9,11.3,18.7,1
1430525,132.6,72.3,13.1,19.5,0
1430526,105.3,123.6,7.6,8.1,1
1430527,62.4,94.1,10.0,42.4,1
1430528,109.8,89.9,14.4,7.9,0
1430529,55.5,106.0,2.1,6.2,0
1430530,157.9,107.3,4.5,10.9,1
1430531,101.0,124.7,11.6,17.9,1
1430532,84.6,119.5,5.4,29.1,0
1430533,113.5,72.4,11.3,38.3,0
1430534,115.8,89.0,6.8,40.1,0
1430535,92.6,116.3,8.0,11.5,1
1430536,102.5,100.7,10.6,13.8,0
1430537,116.4,88.7,8.3,20.1,1
1430538,148.1,127.7,7.1,7.3,1
1430539,131.2,120.8,7.5,16.5,1
1430540,53.6,79.9,5.4,21.5,1
1430541,114.9,83.9,10.1,9.5,1
1430542,103.0,86.5,13.3,29.9,1
1430543,53.0,95.1,5.6,27.6,1
1430544,147.6,85.4,11.9,5.0,0
1430545,64.1,104.7,14.4,31.8,1
1430546,116.7,81.2,6.0,41.2,0
1430547,118.8,86.6,10.4,42.6,0
1430548,113.1,125.5,8.8,7.0,0
1430549,137.2,109.2,13.6,25.4,0
1430550,100.0,102.8,12.3,44.0,1
1430551,132.4,61.7,7.0,33.2,1
1430552,131.0,75.3,4.5,11.0,0
1430553,116.0,130.4,14.6,13.5,1
1430554,70.9,135.6,2.4,34.2,0
1430555,78.9,123.6,11.1,27.9,0
1430556,94.0,119.7,8.4,23.8,0
1430557,69.2,46.4,5.5,43.0,0
1430558,79.4,109.1,11.0,31.7,0
1430559,70.5,126.4,8.5,20.3,0
1430560,69.1,99.4,2.7,15.5,1
1430561,84.3,103.7,11.2,8.9,1
1430562,105.4,78.6,11.0,21.5,1
1430563,88.9,141.2,9.0,10.3,1
1430564,125.7,130.1,8.0,39.8,0
1430565,111.3,141.1,8.9,18.9,0
1430566,114.4,82.6,11.0,40.6,1
1430567,95.8,115.2,13.4,18.8,1
1430568,145.3,130.3,11.3,31.3,1
1430569,104.2,164.8,4.1,18.4,1
1430570,130.5,89.1,12.3,34.4,1
1430571,78.9,99.2,12.1,9.2,0
1430572,110.8,143.2,8.7,15.3,0
1430573,149.0,87.3,6.1,9.9,1
1430574,85.7,76.5,2.8,29.9,0
1430575,82.6,117.9,8.3,24.9,0
1430576,100.0,100.3,9.7,21.0,1
1430577,66.3,86.2,6.1,12.8,0
1430578,94.9,156.1,13.4,35.2,0
1430579,81.8,75.0,2.8,33.0,0
1430580,70.9,111.9,9.9,29.6,1
1430581,87.2,43.7,10.3,43.7,1
1430582,144.1,64.3,11.5,14.1,0
1430583,38.7,116.7,12.0,20.9,0
1430584,124.7,73.3,3.4,36.7,1
1430585,77.4,86.2,7.0,27.6,0
1430586,118.7,86.6,3.7,40.1,0
1430587,76.1,61.8,7.6,20.8,0
1430588,127.9,71.5,1.4,23.6,0
1430589,138.7,107.9,12.0,18.1,1
1430590,124.5,74.6,10.5,24.2,1
1430591,132.3,44.8,6.1,28.5,1
1430592,110.8,102.9,13.3,10.8,1
1430593,114.4,117.0,4.3,8.8,0
1430594,133.8,135.6,10.4,38.1,1
1430595,106.0,126.8,10.0,12.9,1
1430596,103.9,92.9,2.1,30.8,0
1430597,67.7,94.6,8.7,38.0,1
1430598,47.4,91.9,7.5,7.5,1
1430599,75.9,132.7,9.1,30.7,0
1430600,78.5,120.1,14.5,40.8,1
1430601,115.1,55.7,10.1,42.1,0
1430602,120.8,58.4,5.2,20.6,0
1430603,92.2,94.1,8.2,35.2,0
1430604,81.4,141.0,7.1,12.7,1
1430605,76.5,88.9,7.8,15.2,1
1430606,105.2,150.9,5.8,20.2,0
1430607,106.6,74.9,7.6,43.6,0
1430608,73.0,119.4,7.4,12.5,1
1430609,97.1,107.7,10.7,37.6,0
1430610,148.0,112.5,13.3,14.0,1
1430611,95.8,66.0,2.1,43.9,0
1430612,94.6,107.4,6.9,21.3,0
1430613,124.1,106.2,13.3,35.9,0
1430614,123.1,112.2,11.1,33.9,1
1430615,91.9,86.5,1.9,24.2,1
1430616,116.4,97.5,,9.0,1
1430617,44.8,57.7,5.1,30.7,1
1430618,82.9,72.4,1.3,16.5,1
1430619,114.9,108.6,6.2,6.2,0
1430620,87.0,76.3,4.7,19.5,0
1430621,100.1,93.5,1.4,22.8,0
1430622,73.2,105.6,9.6,35.8,1
1430623,86.0,115.0,10.9,13.5,1
1430624,152.1,98.9,13.8,20.1,0
1430625,94.7,54.7,6.8,37.6,0
1430626,107.5,66.5,7.3,23.9,0
1430627,93.5,73.9,8.2,38.0,1
1430628,107.2,109.9,4.4,17.8,1
1430629,94.7,73.4,9.7,31.6,0
1430630,93.2,91.3,9.3,32.4,1
1430631,86.2,59.4,4.3,41.1,0
1430632,94.4,135.0,7.0,38.4,0
1430633,103.9,104.2,11.8,43.1,1
