LocationID,TrafficVolumeHourly,NoiseDecibel,ResidentComplaintsCount,DistanceToHighway_Meters,ZoneType
1510079,68.2,91.9,128.0,17.9,Type_B
1510080,104.0,105.1,87.8,0.8,Type_B
1510081,84.7,121.1,137.8,2.8,Type_C
1510082,83.7,114.8,86.6,3.9,Type_A
1510083,110.7,87.0,126.0,0.9,Type_A
1510084,97.2,90.4,94.5,6.8,Type_C
1510085,90.2,75.0,86.1,1.2,Type_A
1510086,114.4,51.5,95.7,6.3,Type_B
1510087,86.3,78.4,115.1,3.3,Type_C
1510088,91.3,111.9,75.4,25.7,Type_A
1510089,66.0,89.1,81.5,5.3,Type_A
1510090,61.4,85.3,125.9,54.6,Type_C
1510091,95.5,104.2,149.0,6.6,Type_A
1510092,131.7,46.7,101.2,4.0,Type_B
1510093,109.4,105.4,46.9,15.5,Type_A
1510094,116.3,112.3,140.2,0.4,Type_B
1510095,84.4,64.4,107.1,7.0,Type_C
1510096,71.1,114.5,111.3,14.6,Type_B
1510097,94.4,127.4,99.7,4.5,Type_C
1510098,103.2,94.8,107.8,0.6,Type_C
1510099,79.7,94.3,96.7,7.3,Type_C
1510100,82.7,93.8,107.0,7.0,Type_B
1510101,142.2,61.6,107.7,4.3,Type_B
1510102,100.1,95.4,140.8,1.0,Type_B
1510103,68.8,60.2,148.8,4.2,Type_B
1510104,121.6,92.1,126.6,8.4,Type_A
1510105,97.2,132.5,120.6,5.8,Type_A
1510106,91.1,79.1,75.1,11.0,Type_C
1510107,90.8,95.1,109.8,4.0,Type_A
1510108,170.7,123.7,135.5,,Type_B
1510109,70.1,83.7,92.8,3.6,Type_C
1510110,158.7,106.1,91.9,0.7,Type_A
1510111,107.5,65.4,103.2,12.1,Type_A
1510112,75.1,117.3,117.4,7.7,Type_C
1510113,120.9,120.1,95.5,15.5,Type_A
1510114,64.0,107.3,112.1,3.0,Type_A
1510115,106.5,42.5,119.4,24.3,Type_C
1510116,89.5,118.5,140.2,28.6,Type_C
1510117,41.8,95.7,89.7,16.8,Type_B
1510118,100.0,105.3,99.4,11.3,Type_A
1510119,114.0,93.9,61.7,7.4,Type_B
1510120,111.1,74.5,109.0,3.4,Type_A
1510121,109.0,170.9,97.7,1.8,Type_A
1510122,102.9,96.0,93.9,5.1,Type_A
1510123,97.0,95.6,110.9,7.7,Type_B
1510124,120.0,76.4,109.1,2.0,Type_C
1510125,117.7,108.3,147.4,1.8,Type_B
1510126,101.5,113.8,120.9,20.2,Type_C
1510127,63.9,93.7,81.0,1.9,Type_C
1510128,118.6,59.1,90.8,5.8,Type_C
1510129,133.1,79.5,111.5,1.3,Type_C
1510130,118.9,79.2,118.9,17.0,Type_B
1510131,135.0,61.2,128.5,1.2,Type_B
1510132,114.2,87.9,109.5,18.4,Type_C
1510133,94.0,75.6,110.5,13.8,Type_B
1510134,89.3,110.6,103.6,25.6,Type_B
1510135,94.2,85.6,91.0,33.8,Type_B
1510136,95.8,71.2,71.0,2.5,Type_C
1510137,90.8,112.6,91.2,4.0,Type_C
1510138,81.2,122.5,101.2,1.5,Type_B
1510139,78.4,121.3,101.1,2.7,Type_C
1510140,109.7,64.8,73.9,5.9,Type_C
1510141,143.3,70.0,118.8,3.5,Type_A
1510142,101.2,80.8,125.5,12.1,Type_A
1510143,134.5,93.6,118.7,3.0,Type_A
1510144,106.0,75.1,89.5,28.1,Type_A
1510145,135.9,141.9,60.2,9.8,Type_A
1510146,139.9,101.0,79.9,4.2,Type_B
1510147,58.6,101.7,113.1,1.3,Type_B
1510148,111.4,129.9,102.0,0.7,Type_C
1510149,101.6,143.0,92.9,7.8,Type_B
1510150,134.6,119.6,156.8,1.3,Type_A
1510151,89.7,135.0,63.1,2.9,Type_A
1510152,78.0,105.8,66.4,10.3,Type_B
1510153,74.7,50.8,119.9,0.7,Type_B
1510154,112.9,94.1,104.4,1.4,Type_A
1510155,43.3,135.0,79.8,3.6,Type_B
1510156,84.8,88.3,89.4,13.4,Type_B
1510157,126.5,119.0,73.2,1.8,Type_B
1510158,65.3,97.9,71.2,0.3,Type_B
1510159,116.0,58.7,156.1,7.9,Type_B
1510160,63.2,135.0,68.9,2.1,Type_C
1510161,83.1,109.3,55.5,4.1,Type_A
1510162,106.3,149.8,115.3,19.3,Type_C
1510163,136.1,76.0,86.8,6.9,Type_C
1510164,83.9,115.0,137.0,1.1,Type_B
1510165,110.7,121.4,82.8,10.4,Type_A
1510166,125.2,91.2,118.5,7.3,Type_B
1510167,125.4,90.4,67.0,2.2,Type_B
1510168,124.0,73.4,96.2,7.1,Type_C
1510169,117.3,105.9,141.0,3.1,Type_B
1510170,77.4,90.4,56.3,4.3,Type_C
1510171,157.8,95.5,91.4,11.9,Type_B
1510172,98.4,62.8,90.7,7.4,Type_B
1510173,88.2,84.4,87.2,0.9,Type_C
1510174,83.4,98.7,120.7,0.4,Type_C
1510175,106.3,144.6,122.2,2.2,Type_B
1510176,105.9,40.0,64.9,16.0,Type_B
1510177,108.5,84.7,103.3,26.0,Type_C
1510178,101.9,122.7,113.7,6.4,Type_C
1510179,71.3,83.5,117.4,1.5,Type_A
1510180,184.1,71.5,100.7,0.1,Type_B
1510181,81.5,96.9,66.4,1.3,Type_B
1510182,77.4,121.8,133.3,4.4,Type_A
1510183,84.6,135.6,144.5,11.3,Type_B
1510184,45.5,80.3,116.9,,Type_C
1510185,85.1,105.7,61.3,1.7,Type_C
1510186,77.5,121.5,119.1,1.0,Type_A
1510187,74.7,138.0,123.7,17.8,Type_B
1510188,107.9,112.6,137.4,4.8,Type_B
1510189,91.3,85.0,137.6,8.2,Type_C
1510190,127.7,130.7,52.3,14.7,Type_B
1510191,98.6,99.7,88.3,6.8,Type_A
1510192,86.3,110.6,91.2,0.1,Type_C
1510193,125.3,84.8,45.8,5.7,Type_A
1510194,122.5,103.7,88.5,5.0,Type_C
1510195,103.5,128.7,96.4,13.4,Type_A
1510196,112.2,120.5,105.4,18.7,Type_C
1510197,125.2,111.6,101.4,7.9,Type_C
1510198,80.9,97.7,122.1,4.2,Type_A
1510199,94.9,114.4,82.4,4.5,Type_A
1510200,85.2,105.7,75.4,3.3,Type_A
1510201,96.3,98.5,102.5,5.4,Type_A
1510202,97.9,134.4,142.2,2.9,Type_B
1510203,53.3,94.7,87.9,1.7,Type_B
1510204,126.5,83.1,110.0,17.7,Type_A
1510205,86.3,81.3,78.8,1.5,Type_C
1510206,90.3,103.6,107.7,3.4,Type_B
1510207,95.3,116.0,103.1,1.0,Type_B
1510208,88.2,124.6,108.1,15.7,Type_A
1510209,94.1,104.2,72.7,2.1,Type_B
1510210,45.3,92.5,60.7,14.9,Type_B
1510211,97.8,94.1,62.6,1.1,Type_C
1510212,56.2,131.3,97.4,12.4,Type_A
1510213,70.6,158.6,123.2,24.9,Type_C
1510214,146.0,106.0,100.8,4.1,Type_B
1510215,106.7,93.8,67.6,,Type_C
1510216,66.4,116.6,77.1,3.3,Type_B
1510217,74.5,134.2,98.8,23.4,Type_B
1510218,55.9,98.1,48.8,4.0,Type_B
1510219,103.5,115.2,104.4,0.7,Type_C
1510220,100.2,102.8,95.9,9.4,Type_C
1510221,128.0,148.2,63.9,7.8,Type_B
1510222,60.3,137.1,131.6,21.5,Type_A
1510223,130.3,91.5,97.7,7.7,Type_A
1510224,77.5,102.1,107.9,1.5,Type_C
1510225,110.8,101.6,96.6,20.0,Type_B
1510226,109.4,74.8,79.1,2.0,Type_B
1510227,97.2,93.2,143.1,0.7,Type_B
1510228,130.6,68.5,87.3,3.7,Type_C
1510229,143.3,106.1,89.7,3.3,Type_B
1510230,100.8,107.3,125.5,9.2,Type_C
1510231,82.1,83.5,78.9,4.5,Type_B
1510232,68.7,57.0,91.4,15.2,Type_C
1510233,86.7,104.9,97.0,0.5,Type_A
1510234,129.2,75.7,73.3,8.6,Type_A
1510235,116.7,87.3,101.0,0.7,Type_C
1510236,81.9,96.0,105.8,13.3,Type_A
1510237,107.8,94.0,77.5,0.9,Type_A
1510238,85.0,48.2,79.3,5.6,Type_A
1510239,126.4,57.7,97.2,6.9,Type_C
1510240,126.6,21.2,40.4,13.2,Type_B
1510241,112.5,108.8,136.3,2.0,Type_B
1510242,117.5,116.5,128.0,0.3,Type_A
1510243,115.3,97.0,105.8,2.0,Type_B
1510244,109.9,93.6,87.8,2.3,Type_C
1510245,71.4,102.6,83.8,,Type_B
1510246,101.6,44.8,136.4,17.6,Type_B
1510247,63.4,132.9,134.7,10.9,Type_A
1510248,86.7,69.7,82.2,0.1,Type_C
1510249,107.8,91.0,126.0,2.9,Type_B
1510250,145.4,63.5,114.8,10.8,Type_A
1510251,89.5,97.5,63.4,4.3,Type_A
1510252,90.8,79.9,116.3,4.4,Type_B
1510253,77.5,86.6,74.8,1.9,Type_C
1510254,58.6,79.0,134.0,4.5,Type_B
1510255,81.0,80.8,71.8,1.6,Type_C
1510256,129.6,122.2,85.1,6.2,Type_C
1510257,128.9,79.4,66.1,10.7,Type_A
1510258,112.5,71.8,104.0,7.4,Type_A
1510259,107.6,138.4,100.2,6.2,Type_C
1510260,129.1,113.1,137.3,0.7,Type_B
1510261,46.8,81.9,90.7,5.7,Type_B
1510262,84.3,81.3,110.6,37.6,Type_B
1510263,134.5,107.3,114.5,9.9,Type_B
1510264,121.1,129.4,91.6,10.1,Type_C
1510265,112.6,129.5,80.8,19.0,Type_C
1510266,97.5,94.1,77.6,0.7,Type_C
1510267,142.4,88.7,73.4,4.4,Type_C
1510268,107.7,102.9,95.3,13.8,Type_B
1510269,105.8,80.6,88.5,1.1,Type_C
1510270,101.8,104.5,123.2,9.0,Type_A
1510271,135.1,89.5,98.3,0.7,Type_B
1510272,91.8,73.9,91.8,0.2,Type_B
1510273,75.2,105.0,72.2,6.1,Type_A
1510274,107.2,98.0,101.5,10.6,Type_A
1510275,98.8,100.0,88.5,14.8,Type_B
1510276,77.1,98.7,97.7,1.3,Type_B
1510277,94.5,92.2,94.9,6.3,Type_B
1510278,81.4,99.3,116.2,1.6,Type_C
1510279,42.8,134.0,83.2,9.7,Type_A
1510280,46.2,73.6,87.9,9.0,Type_A
1510281,112.9,115.8,113.8,1.4,Type_A
1510282,78.2,119.8,128.7,1.1,Type_C
1510283,57.4,90.8,111.6,6.0,Type_A
1510284,115.8,87.7,107.1,4.5,Type_B
1510285,109.0,108.7,115.3,1.4,Type_B
1510286,68.7,116.9,99.9,0.1,Type_A
1510287,106.4,68.1,81.2,0.1,Type_A
1510288,64.1,125.1,124.0,0.8,Type_C
1510289,132.2,84.5,139.1,5.6,Type_C
1510290,103.6,88.6,83.3,3.2,Type_B
1510291,106.6,131.4,115.8,5.3,Type_C
1510292,123.8,94.3,113.8,12.4,Type_A
1510293,119.0,105.3,139.6,18.3,Type_B
1510294,61.2,102.0,96.5,1.6,Type_A
1510295,62.6,103.9,125.0,0.3,Type_A
1510296,87.1,63.9,85.9,2.9,Type_A
1510297,143.4,49.5,78.1,2.3,Type_A
1510298,113.5,109.2,96.1,3.7,Type_A
1510299,99.4,94.4,125.7,5.3,Type_C
1510300,67.8,133.0,104.6,7.1,Type_C
1510301,97.6,77.7,128.9,24.3,Type_B
1510302,62.8,79.8,114.7,3.7,Type_C
1510303,106.5,111.4,67.5,20.7,Type_A
1510304,94.0,90.0,113.3,2.6,Type_C
1510305,104.3,148.0,110.2,0.2,Type_B
1510306,148.4,84.8,119.6,0.5,Type_B
1510307,89.8,91.1,70.9,2.1,Type_A
1510308,40.1,100.0,73.3,13.5,Type_C
1510309,86.5,111.3,97.0,6.2,Type_C
1510310,65.0,102.2,141.2,3.2,Type_A
1510311,137.7,89.4,129.2,12.1,Type_C
1510312,154.4,110.7,90.7,1.8,Type_A
1510313,70.3,106.6,96.9,14.1,Type_C
1510314,102.0,120.4,55.6,4.6,Type_B
1510315,118.5,78.7,124.3,,Type_A
1510316,103.8,74.6,99.9,0.7,Type_C
1510317,110.5,87.5,143.0,9.7,Type_C
1510318,87.9,128.7,82.9,0.9,Type_A
1510319,114.7,108.4,106.0,2.5,Type_C
1510320,122.7,106.7,99.4,2.7,Type_A
1510321,121.8,92.0,122.0,12.1,Type_B
1510322,111.0,111.7,103.7,10.4,Type_B
1510323,84.7,105.9,96.6,24.2,Type_B
1510324,106.4,98.0,77.1,1.8,Type_B
1510325,91.2,74.9,69.3,13.9,Type_C
1510326,93.3,108.9,53.6,15.0,Type_B
1510327,153.0,150.1,89.1,17.8,Type_A
1510328,85.8,107.6,94.8,1.2,Type_A
1510329,109.1,70.3,99.7,6.2,Type_B
1510330,135.6,117.5,104.2,1.2,Type_A
1510331,91.3,94.8,59.8,7.8,Type_B
1510332,110.9,144.8,119.8,0.8,Type_C
1510333,127.0,113.6,89.0,4.1,Type_C
1510334,146.6,111.8,107.7,3.1,Type_B
1510335,95.5,88.6,63.3,9.5,Type_C
1510336,69.8,101.8,70.4,0.5,Type_A
1510337,103.0,112.4,128.9,1.5,Type_C
1510338,107.2,115.4,102.2,9.0,Type_A
1510339,84.1,102.7,108.3,,Type_A
1510340,46.2,115.3,108.0,5.0,Type_B
1510341,104.4,92.8,112.6,1.8,Type_C
1510342,112.5,144.4,54.1,0.5,Type_B
1510343,81.3,84.4,131.6,7.7,Type_C
1510344,40.9,117.8,89.8,0.6,Type_B
1510345,57.2,147.7,109.8,3.6,Type_C
1510346,120.6,111.9,134.6,7.0,Type_A
1510347,94.1,71.2,110.2,6.6,Type_A
1510348,49.3,156.2,97.1,2.1,Type_B
1510349,103.1,117.7,90.1,23.8,Type_A
1510350,148.6,43.5,110.8,2.6,Type_B
1510351,81.3,132.5,114.1,,Type_C
1510352,86.2,93.7,73.7,2.0,Type_C
1510353,81.3,102.9,85.1,7.1,Type_A
1510354,112.9,131.9,40.1,8.1,Type_C
1510355,82.6,58.2,148.8,1.1,Type_B
1510356,123.2,67.6,103.4,10.5,Type_C
1510357,127.1,93.2,127.6,6.0,Type_C
1510358,57.0,91.7,134.8,8.9,Type_A
1510359,105.2,143.4,107.3,2.5,Type_B
1510360,96.8,99.9,122.4,3.1,Type_C
1510361,90.1,109.9,58.7,8.9,Type_C
1510362,80.6,100.1,90.1,17.8,Type_A
1510363,127.0,109.3,66.4,22.5,Type_A
1510364,135.7,138.1,100.4,3.4,Type_B
1510365,115.1,123.8,88.2,5.3,Type_C
1510366,134.2,118.1,105.4,11.9,Type_A
1510367,108.1,119.6,77.7,5.2,Type_C
1510368,118.9,99.3,107.6,3.0,Type_B
1510369,86.0,88.6,48.7,0.7,Type_A
1510370,107.1,110.4,131.8,11.3,Type_B
1510371,134.4,102.1,104.6,6.0,Type_B
1510372,70.9,92.5,88.9,1.4,Type_A
1510373,106.3,128.1,97.4,0.2,Type_B
1510374,70.4,95.9,130.2,1.4,Type_A
1510375,101.9,95.8,104.4,0.9,Type_A
1510376,110.4,119.4,118.0,2.6,Type_C
1510377,46.2,101.6,81.5,4.9,Type_C
1510378,61.0,124.1,99.1,10.0,Type_C
1510379,82.0,66.3,73.8,2.8,Type_C
1510380,80.7,109.8,115.0,0.8,Type_C
1510381,89.7,107.3,104.0,15.1,Type_C
1510382,81.7,107.9,44.0,2.1,Type_C
1510383,116.9,101.7,104.6,1.7,Type_B
1510384,146.0,78.7,55.4,20.9,Type_C
1510385,84.2,124.2,120.6,17.3,Type_C
1510386,101.3,95.8,55.9,2.8,Type_C
1510387,137.7,73.1,73.8,10.6,Type_C
1510388,88.2,126.6,107.7,1.2,Type_A
1510389,96.9,109.5,114.5,4.3,Type_A
1510390,90.5,107.9,143.5,12.1,Type_C
1510391,153.5,103.0,100.6,11.4,Type_A
1510392,106.8,117.3,109.6,5.9,Type_B
1510393,109.6,116.8,63.0,3.1,Type_B
1510394,83.6,93.9,141.1,6.7,Type_B
1510395,84.8,65.6,94.0,5.5,Type_C
1510396,74.9,111.2,80.2,38.4,Type_C
1510397,107.8,85.2,122.9,8.5,Type_B
1510398,111.1,89.1,98.9,17.4,Type_C
1510399,114.0,126.3,122.1,16.0,Type_C
1510400,100.0,87.0,102.1,15.7,Type_B
1510401,114.0,100.1,103.8,1.9,Type_B
1510402,97.3,130.4,117.8,1.6,Type_A
1510403,97.6,75.5,113.3,3.6,Type_C
1510404,79.0,134.5,84.9,8.0,Type_C
1510405,90.9,129.7,72.7,2.6,Type_B
1510406,107.4,82.5,116.5,7.5,Type_A
1510407,106.0,90.8,132.8,1.0,Type_B
1510408,104.7,119.2,60.8,24.2,Type_C
1510409,95.5,133.6,69.8,10.9,Type_B
1510410,149.0,120.4,102.4,2.8,Type_C
1510411,92.2,87.8,95.1,12.0,Type_C
1510412,108.3,108.5,114.9,,Type_A
1510413,113.8,95.8,94.4,17.5,Type_B
1510414,58.0,102.9,73.7,0.6,Type_B
1510415,120.4,56.1,87.7,10.4,Type_B
1510416,53.9,111.8,57.0,2.2,Type_A
1510417,138.5,64.4,79.6,6.0,Type_B
1510418,110.7,129.4,140.2,4.7,Type_A
1510419,89.6,84.9,114.8,11.0,Type_C
1510420,151.7,104.0,120.1,8.6,Type_A
1510421,74.1,69.1,75.1,9.7,Type_B
1510422,144.6,61.2,77.4,4.6,Type_A
1510423,98.2,59.3,95.5,3.0,Type_C
1510424,170.9,95.9,132.4,5.3,Type_B
1510425,129.1,62.9,85.8,1.6,Type_C
1510426,134.7,47.9,127.5,0.8,Type_B
1510427,66.0,110.1,105.2,19.0,Type_C
1510428,77.3,86.9,78.4,0.3,Type_B
1510429,131.9,82.0,131.1,30.0,Type_C
1510430,85.6,110.6,114.8,8.8,Type_C
1510431,96.0,122.0,107.0,0.2,Type_B
1510432,112.9,84.8,104.7,2.2,Type_B
1510433,119.6,89.2,66.8,2.4,Type_B
1510434,80.4,90.6,96.8,2.2,Type_A
1510435,112.9,87.2,82.1,0.1,Type_B
1510436,116.3,112.3,95.3,8.2,Type_B
1510437,124.1,107.4,139.8,1.5,Type_B
1510438,121.9,87.7,72.7,2.6,Type_B
1510439,80.5,79.0,114.7,16.0,Type_C
1510440,105.4,99.1,86.9,12.4,Type_B
1510441,72.5,119.3,103.5,5.4,Type_C
1510442,87.6,110.9,114.3,7.6,Type_A
1510443,62.7,96.8,140.1,6.0,Type_A
1510444,100.2,40.3,116.3,,Type_B
1510445,128.4,128.1,115.8,6.4,Type_B
1510446,145.7,98.5,111.2,4.6,Type_B
1510447,108.7,109.5,81.1,6.1,Type_A
1510448,158.8,31.5,138.6,3.4,Type_C
1510449,116.9,129.5,115.9,1.9,Type_B
1510450,131.0,123.7,90.6,4.4,Type_B
1510451,62.7,80.1,105.5,3.9,Type_C
1510452,109.3,152.3,117.0,8.7,Type_A
1510453,124.7,107.6,103.5,7.1,Type_C
1510454,84.6,86.4,89.9,0.7,Type_A
1510455,83.6,94.8,100.4,4.6,Type_A
1510456,109.3,91.3,127.7,5.3,Type_A
1510457,96.1,118.8,154.4,0.4,Type_C
1510458,96.1,114.7,100.0,0.3,Type_C
1510459,141.6,68.8,126.0,2.0,Type_A
1510460,99.3,30.9,124.8,45.9,Type_A
1510461,87.6,116.1,103.1,11.0,Type_C
1510462,107.0,86.1,86.2,1.9,Type_C
1510463,135.8,109.4,118.4,1.6,Type_B
1510464,95.9,50.7,34.5,11.7,Type_B
1510465,111.0,77.4,125.3,21.0,Type_C
1510466,89.4,76.0,22.0,2.0,Type_A
1510467,101.3,102.9,92.8,10.4,Type_C
1510468,94.6,97.8,103.4,1.9,Type_B
1510469,160.2,76.3,108.3,16.8,Type_A
1510470,111.1,73.5,165.4,2.0,Type_B
1510471,112.3,74.1,149.2,7.9,Type_B
1510472,103.5,93.8,121.4,2.6,Type_C
1510473,107.6,80.5,85.8,2.9,Type_A
1510474,98.7,109.8,92.0,6.5,Type_B
1510475,96.5,111.7,111.3,3.3,Type_C
1510476,85.0,127.9,61.0,10.7,Type_B
1510477,84.8,90.1,104.6,3.0,Type_A
1510478,48.2,104.1,113.3,10.6,Type_A
1510479,85.6,102.1,102.6,0.9,Type_A
1510480,74.3,141.1,99.1,15.4,Type_A
1510481,137.4,95.3,118.0,7.0,Type_B
1510482,107.4,102.6,98.5,9.1,Type_B
1510483,95.3,128.9,150.0,11.6,Type_A
1510484,113.5,98.3,104.9,17.2,Type_B
1510485,130.4,129.8,158.1,11.5,Type_C
1510486,103.1,89.6,109.0,12.2,Type_B
1510487,100.5,101.3,91.4,0.5,Type_B
1510488,110.9,117.9,125.6,1.0,Type_A
1510489,115.2,76.0,129.9,1.9,Type_A
1510490,135.2,117.0,71.6,16.7,Type_A
1510491,67.6,113.8,108.4,9.6,Type_C
1510492,138.0,78.1,117.0,0.4,Type_C
1510493,42.5,88.7,94.2,0.1,Type_A
1510494,113.8,82.2,95.5,6.3,Type_A
1510495,110.0,148.7,97.2,6.3,Type_C
1510496,131.8,73.6,62.7,1.7,Type_A
1510497,112.4,117.9,86.9,6.5,Type_A
1510498,49.1,70.7,82.5,11.7,Type_C
1510499,138.0,161.8,119.9,2.5,Type_B
1510500,96.3,126.9,76.7,5.1,Type_B
1510501,108.2,139.3,113.8,10.1,Type_B
1510502,139.5,120.3,161.5,17.5,Type_A
1510503,133.4,87.5,100.5,2.8,Type_C
1510504,96.7,91.9,131.2,2.2,Type_C
1510505,110.9,109.9,24.3,11.4,Type_C
1510506,191.8,68.3,146.6,4.8,Type_A
1510507,80.7,101.2,102.8,5.3,Type_A
1510508,102.3,124.6,86.5,17.8,Type_A
1510509,40.0,125.7,135.2,7.6,Type_C
1510510,103.6,108.6,138.3,13.4,Type_C
1510511,128.0,137.3,110.0,19.6,Type_B
1510512,98.5,58.5,100.5,,Type_A
1510513,132.9,129.0,80.1,0.7,Type_C
1510514,86.7,87.9,71.3,11.6,Type_A
1510515,123.1,83.0,73.2,6.1,Type_B
1510516,108.5,55.5,116.4,0.6,Type_A
1510517,127.4,111.3,117.4,6.0,Type_A
1510518,101.0,90.9,92.8,0.2,Type_C
1510519,92.5,118.1,68.1,1.6,Type_B
1510520,70.5,90.3,142.4,5.3,Type_B
1510521,133.8,69.4,82.9,3.1,Type_B
1510522,83.7,61.9,64.6,6.9,Type_C
1510523,99.0,74.5,57.3,8.1,Type_C
1510524,105.7,76.9,100.5,4.5,Type_A
1510525,119.7,57.8,97.8,5.1,Type_B
1510526,102.2,106.0,137.2,0.2,Type_A
1510527,133.7,123.1,82.5,17.9,Type_B
1510528,86.9,78.0,54.0,6.0,Type_A
1510529,109.1,133.0,151.3,11.7,Type_A
1510530,80.4,72.4,94.7,2.1,Type_A
1510531,84.0,80.0,98.5,0.3,Type_C
1510532,108.3,86.1,84.9,5.7,Type_B
1510533,82.1,114.3,96.7,4.7,Type_A
1510534,91.9,59.4,84.1,9.9,Type_A
1510535,89.3,137.5,87.5,2.1,Type_B
1510536,137.3,82.5,133.1,14.9,Type_B
1510537,118.8,99.8,141.5,26.3,Type_A
1510538,151.4,77.7,93.2,4.1,Type_A
1510539,137.2,88.3,83.0,4.4,Type_B
1510540,88.4,134.4,127.1,38.5,Type_C
1510541,94.5,106.2,67.3,1.1,Type_A
1510542,119.9,87.5,96.4,3.6,Type_C
1510543,107.8,98.1,97.6,10.8,Type_A
1510544,76.5,74.6,111.2,4.7,Type_C
1510545,80.9,108.2,60.5,10.8,Type_A
1510546,128.3,148.6,61.7,,Type_C
1510547,133.0,114.9,132.5,2.2,Type_B
1510548,72.4,103.3,100.0,25.0,Type_C
1510549,108.8,135.3,63.2,4.8,Type_A
1510550,105.3,103.5,163.7,2.0,Type_A
1510551,104.9,55.5,94.6,10.7,Type_A
1510552,98.8,115.4,70.1,1.6,Type_B
1510553,101.7,98.3,66.7,9.6,Type_A
1510554,76.0,105.7,94.2,8.5,Type_A
1510555,105.3,99.6,71.2,3.7,Type_A
1510556,84.9,43.9,102.2,0.5,Type_A
