RecommendID,MatchingScore,PriceScore,UserAge,ItemCategory,RecommendClicked
1130113,8.2,5.0,38.0,Type_A,1
1130114,7.1,7.7,31.0,Type_B,0
1130115,8.0,6.5,41.0,Type_B,1
1130116,7.8,5.7,39.0,Type_A,1
1130117,,9.6,41.0,Type_A,0
1130118,9.3,8.8,45.0,Type_B,0
1130119,7.9,8.5,18.0,Type_C,0
1130120,8.5,6.5,22.0,Type_A,1
1130121,9.0,6.7,67.0,Type_C,0
1130122,6.2,6.1,56.0,Type_C,0
1130123,4.5,6.9,18.0,Type_B,1
1130124,5.4,7.1,33.0,Type_A,0
1130125,8.1,7.9,33.0,Type_B,1
1130126,8.7,4.8,36.0,Type_C,1
1130127,4.3,9.0,62.0,Type_B,1
1130128,10.0,6.9,35.0,Type_A,0
1130129,8.5,7.5,18.0,Type_B,1
1130130,7.0,7.0,57.0,Type_B,1
1130131,4.3,6.4,43.0,Type_A,0
1130132,7.9,8.9,56.0,Type_B,1
1130133,10.0,8.7,31.0,Type_B,1
1130134,6.6,5.6,56.0,Type_B,0
1130135,7.2,6.5,26.0,Type_C,1
1130136,10.0,3.3,36.0,Type_A,0
1130137,8.3,4.0,18.0,Type_A,0
1130138,4.4,10.0,26.0,Type_A,0
1130139,5.1,6.7,44.0,Type_B,1
1130140,6.9,9.8,39.0,Type_B,1
1130141,7.8,4.7,41.0,Type_B,0
1130142,7.1,8.0,37.0,Type_B,1
1130143,7.8,6.0,45.0,Type_C,0
1130144,9.8,7.2,33.0,Type_C,0
1130145,7.0,7.8,35.0,Type_A,0
1130146,8.0,7.7,35.0,Type_B,0
1130147,7.3,6.6,29.0,Type_B,0
1130148,3.3,10.0,21.0,Type_B,0
1130149,7.2,9.3,50.0,Type_A,0
1130150,5.3,6.9,46.0,Type_A,1
1130151,8.9,5.0,29.0,Type_C,1
1130152,5.3,5.6,42.0,Type_A,0
1130153,7.4,7.7,27.0,Type_A,1
1130154,6.4,7.2,40.0,Type_C,0
1130155,6.1,6.2,30.0,Type_C,0
1130156,6.1,6.8,57.0,Type_A,0
1130157,9.6,5.9,43.0,Type_C,1
1130158,7.7,7.5,45.0,Type_C,1
1130159,10.0,4.9,32.0,Type_B,0
1130160,6.9,9.1,58.0,Type_B,1
1130161,8.8,7.9,37.0,Type_B,1
1130162,8.4,8.0,24.0,Type_C,0
1130163,8.9,8.4,21.0,Type_B,0
1130164,7.7,6.9,34.0,Type_C,0
1130165,8.8,4.9,38.0,Type_C,1
1130166,6.8,7.4,48.0,Type_C,0
1130167,7.7,5.8,41.0,Type_A,0
1130168,9.1,7.2,22.0,Type_B,0
1130169,6.4,6.2,41.0,Type_B,1
1130170,6.4,6.6,44.0,Type_B,1
1130171,7.2,8.8,44.0,Type_A,0
1130172,9.7,7.0,36.0,Type_B,0
1130173,8.0,5.8,20.0,Type_A,0
1130174,8.6,7.0,27.0,Type_A,0
1130175,7.8,6.3,25.0,Type_A,0
1130176,8.2,8.0,22.0,Type_C,1
1130177,6.8,10.0,18.0,Type_B,1
1130178,6.6,9.3,53.0,Type_C,1
1130179,7.6,7.0,34.0,Type_A,0
1130180,7.8,7.3,63.0,Type_B,0
1130181,7.8,8.0,38.0,Type_A,0
1130182,9.9,7.6,42.0,Type_A,1
1130183,4.7,7.8,22.0,Type_C,0
1130184,8.7,6.4,41.0,Type_C,0
1130185,8.0,8.1,31.0,Type_C,1
1130186,5.4,8.9,18.0,Type_B,0
1130187,8.2,7.5,18.0,Type_A,1
1130188,6.6,7.2,41.0,Type_A,0
1130189,6.2,8.0,45.0,Type_A,1
1130190,10.0,7.6,55.0,Type_B,0
1130191,6.8,5.3,27.0,Type_A,0
1130192,8.3,10.0,28.0,Type_A,1
1130193,6.8,5.8,36.0,Type_C,1
1130194,7.8,6.6,39.0,Type_A,1
1130195,7.8,8.2,45.0,Type_C,1
1130196,8.0,8.0,29.0,Type_B,0
1130197,5.4,5.8,27.0,Type_A,1
1130198,8.0,8.2,23.0,Type_A,1
1130199,7.9,6.6,35.0,Type_B,0
1130200,7.4,6.7,50.0,Type_C,0
1130201,6.9,4.7,18.0,Type_A,0
1130202,5.5,7.6,61.0,Type_A,1
1130203,7.0,6.5,59.0,Type_A,0
1130204,8.4,8.0,24.0,Type_B,0
1130205,7.8,6.0,24.0,Type_C,1
1130206,6.0,6.0,42.0,Type_B,1
1130207,6.4,10.0,27.0,Type_B,1
1130208,7.1,6.3,41.0,Type_C,1
1130209,8.0,8.1,33.0,Type_C,0
1130210,6.2,6.6,21.0,Type_B,1
1130211,7.0,8.1,30.0,Type_A,1
1130212,7.3,6.4,31.0,Type_B,0
1130213,7.4,7.8,25.0,Type_A,0
1130214,7.3,8.9,32.0,Type_B,1
1130215,5.9,7.4,56.0,Type_B,1
1130216,7.6,6.5,52.0,Type_B,0
1130217,8.6,6.0,31.0,Type_A,1
1130218,6.6,7.1,32.0,Type_A,1
1130219,7.4,7.4,32.0,Type_C,1
1130220,9.0,8.2,24.0,Type_A,1
1130221,8.4,7.2,39.0,Type_B,1
1130222,7.2,6.9,39.0,Type_B,0
1130223,7.8,6.1,27.0,Type_B,1
1130224,8.2,8.9,18.0,Type_A,0
1130225,5.9,7.6,42.0,Type_A,0
1130226,8.4,4.2,40.0,Type_B,0
1130227,8.7,5.5,30.0,Type_B,1
1130228,9.0,8.7,49.0,Type_C,1
1130229,10.0,7.2,40.0,Type_C,1
1130230,7.4,7.1,57.0,Type_B,0
1130231,6.4,9.1,40.0,Type_C,1
1130232,7.8,6.4,38.0,Type_C,1
1130233,8.2,6.1,28.0,Type_B,0
1130234,6.1,6.2,38.0,Type_B,0
1130235,8.1,9.6,37.0,Type_B,1
1130236,9.8,7.4,36.0,Type_A,0
1130237,6.2,6.0,69.0,Type_C,0
1130238,10.0,4.7,28.0,Type_A,0
1130239,6.4,7.3,21.0,Type_B,1
1130240,6.8,8.0,18.0,Type_B,0
1130241,,9.7,51.0,Type_A,0
1130242,6.6,9.2,38.0,Type_B,0
1130243,8.3,7.7,41.0,Type_B,1
1130244,5.6,7.2,18.0,Type_A,1
1130245,7.6,7.6,49.0,Type_A,1
1130246,5.7,6.8,46.0,Type_B,1
1130247,4.5,8.7,27.0,Type_B,0
1130248,6.8,8.7,31.0,Type_C,1
1130249,7.5,9.7,29.0,Type_C,1
1130250,10.0,9.3,58.0,Type_A,1
1130251,8.7,6.7,66.0,Type_B,0
1130252,6.8,9.6,61.0,Type_B,0
1130253,6.5,8.4,23.0,Type_C,1
1130254,8.7,8.0,32.0,Type_C,1
1130255,6.6,6.3,35.0,Type_B,0
1130256,6.4,6.7,54.0,Type_A,0
1130257,7.7,7.5,46.0,Type_C,1
1130258,6.6,6.1,38.0,Type_B,1
1130259,6.5,5.5,37.0,Type_C,0
1130260,5.7,8.4,33.0,Type_A,0
1130261,10.0,7.9,40.0,Type_A,0
1130262,6.4,9.2,20.0,Type_A,1
1130263,8.0,7.9,37.0,Type_A,0
1130264,6.8,6.1,53.0,Type_B,1
1130265,6.7,6.1,44.0,Type_B,1
1130266,7.4,2.4,29.0,Type_A,0
1130267,6.5,7.9,33.0,Type_C,1
1130268,5.5,9.0,31.0,Type_C,0
1130269,6.8,6.9,50.0,Type_A,0
1130270,6.2,7.5,70.0,Type_A,0
1130271,7.8,5.7,39.0,Type_C,1
1130272,5.7,8.7,21.0,Type_A,1
1130273,6.4,6.7,49.0,Type_A,0
1130274,7.9,7.5,52.0,Type_C,0
1130275,9.1,8.9,41.0,Type_B,1
1130276,6.3,7.8,23.0,Type_C,1
1130277,8.1,8.3,62.0,Type_C,1
1130278,6.3,6.4,28.0,Type_C,0
1130279,6.6,6.0,28.0,Type_A,0
1130280,6.4,8.1,57.0,Type_A,1
1130281,7.8,9.2,46.0,Type_A,1
1130282,7.6,9.0,23.0,Type_B,1
1130283,6.9,8.0,44.0,Type_B,1
1130284,5.8,5.1,35.0,Type_C,0
1130285,8.2,5.9,51.0,Type_A,0
1130286,6.1,10.0,49.0,Type_A,1
1130287,6.1,7.4,57.0,Type_B,0
1130288,7.7,3.3,50.0,Type_B,0
1130289,5.8,5.9,48.0,Type_C,0
1130290,9.2,8.1,26.0,Type_B,1
1130291,9.5,9.3,45.0,Type_A,1
1130292,6.4,8.4,28.0,Type_B,0
1130293,8.1,7.3,38.0,Type_A,1
1130294,6.1,8.5,35.0,Type_A,1
1130295,4.7,8.5,34.0,Type_B,1
1130296,7.7,6.0,30.0,Type_C,1
1130297,5.9,8.5,30.0,Type_A,0
1130298,6.1,6.9,46.0,Type_C,1
1130299,6.4,7.3,34.0,Type_C,1
1130300,8.2,7.7,39.0,Type_A,1
1130301,5.4,6.2,50.0,Type_A,1
1130302,5.3,8.1,36.0,Type_A,0
1130303,6.6,4.2,24.0,Type_A,1
1130304,5.6,9.2,19.0,Type_B,1
1130305,6.9,6.9,35.0,Type_C,0
1130306,6.3,7.5,43.0,Type_B,1
1130307,4.8,5.3,23.0,Type_C,1
1130308,10.0,8.2,20.0,Type_A,0
1130309,5.4,6.8,33.0,Type_B,1
1130310,5.9,10.0,24.0,Type_B,1
1130311,5.8,7.6,29.0,Type_A,1
1130312,6.0,6.0,29.0,Type_B,1
1130313,7.9,5.8,35.0,Type_B,0
1130314,7.5,6.8,18.0,Type_B,0
1130315,6.8,6.6,39.0,Type_A,0
1130316,9.5,7.4,27.0,Type_B,1
1130317,9.3,5.8,59.0,Type_C,1
1130318,7.8,9.2,33.0,Type_B,0
1130319,7.3,7.0,22.0,Type_C,0
1130320,9.9,9.2,50.0,Type_C,1
1130321,9.3,8.0,69.0,Type_B,1
1130322,8.7,3.0,49.0,Type_C,1
1130323,8.3,7.5,31.0,Type_C,0
1130324,7.4,9.0,18.0,Type_B,1
1130325,10.0,8.4,36.0,Type_C,1
1130326,6.2,5.6,52.0,Type_B,1
1130327,5.5,6.8,35.0,Type_C,1
1130328,5.8,5.3,33.0,Type_A,1
1130329,8.8,7.9,57.0,Type_B,0
1130330,7.1,6.7,38.0,Type_C,0
1130331,9.0,8.4,43.0,Type_A,1
1130332,5.7,7.3,26.0,Type_C,0
1130333,5.1,8.5,45.0,Type_A,0
1130334,,7.1,18.0,Type_B,1
1130335,8.4,7.9,35.0,Type_C,1
1130336,7.7,5.5,34.0,Type_C,0
1130337,8.7,7.4,66.0,Type_B,1
1130338,5.9,6.4,47.0,Type_B,1
1130339,7.5,9.5,55.0,Type_B,0
1130340,7.9,3.9,18.0,Type_C,0
1130341,9.0,6.7,44.0,Type_B,0
1130342,6.3,7.0,26.0,Type_B,0
1130343,6.7,7.2,42.0,Type_A,0
1130344,7.9,7.7,49.0,Type_A,1
1130345,7.7,5.6,40.0,Type_C,0
1130346,3.8,8.3,50.0,Type_C,1
1130347,7.2,7.2,50.0,Type_A,1
1130348,6.4,7.9,56.0,Type_A,0
1130349,6.1,7.9,18.0,Type_B,0
1130350,9.1,10.0,41.0,Type_C,1
1130351,6.8,8.5,27.0,Type_A,1
1130352,,3.6,18.0,Type_A,1
1130353,6.1,9.2,55.0,Type_C,0
1130354,7.4,4.3,46.0,Type_A,1
1130355,7.8,4.9,70.0,Type_C,1
1130356,8.8,9.1,36.0,Type_A,0
1130357,8.8,8.3,62.0,Type_C,1
1130358,8.1,8.1,34.0,Type_C,0
1130359,6.1,5.8,41.0,Type_C,0
1130360,6.9,8.2,40.0,Type_B,1
1130361,7.4,6.2,30.0,Type_A,0
1130362,6.5,7.3,44.0,Type_A,1
1130363,9.7,7.2,35.0,Type_B,0
1130364,6.9,7.1,36.0,Type_A,0
1130365,6.2,8.2,33.0,Type_C,0
1130366,5.0,5.2,25.0,Type_C,0
1130367,10.0,6.5,51.0,Type_C,1
1130368,8.7,9.4,32.0,Type_C,1
1130369,8.4,7.9,42.0,Type_A,1
1130370,7.7,6.4,31.0,Type_C,1
1130371,6.4,7.9,49.0,Type_C,1
1130372,8.0,6.3,46.0,Type_B,1
1130373,5.5,10.0,32.0,Type_C,1
1130374,10.0,6.0,43.0,Type_A,0
1130375,6.4,9.9,37.0,Type_C,1
1130376,6.1,9.0,61.0,Type_B,0
1130377,7.7,5.2,27.0,Type_B,0
1130378,10.0,6.3,41.0,Type_C,1
1130379,7.8,6.4,44.0,Type_B,1
1130380,6.3,6.3,31.0,Type_B,1
1130381,9.9,9.1,29.0,Type_B,1
1130382,8.7,7.9,42.0,Type_A,1
1130383,7.7,6.6,42.0,Type_A,0
1130384,6.2,5.2,26.0,Type_B,1
1130385,8.5,5.9,52.0,Type_A,1
1130386,5.3,9.4,63.0,Type_C,0
1130387,5.6,5.6,51.0,Type_A,0
1130388,8.7,7.3,45.0,Type_C,0
1130389,8.6,10.0,54.0,Type_A,0
1130390,8.2,6.5,28.0,Type_B,1
1130391,6.0,6.2,44.0,Type_C,0
1130392,7.6,5.7,44.0,Type_B,1
1130393,8.3,8.0,52.0,Type_C,0
1130394,8.8,10.0,32.0,Type_C,0
1130395,5.2,8.5,50.0,Type_C,0
1130396,7.3,8.6,38.0,Type_C,1
1130397,8.0,5.9,35.0,Type_A,1
1130398,6.8,6.9,43.0,Type_B,0
1130399,5.5,9.9,36.0,Type_A,0
1130400,8.1,6.1,60.0,Type_B,0
1130401,7.0,6.2,41.0,Type_A,0
1130402,9.8,7.3,31.0,Type_A,1
1130403,7.3,7.7,18.0,Type_C,0
1130404,6.6,7.3,18.0,Type_C,1
1130405,6.8,6.8,36.0,Type_B,0
1130406,7.8,6.5,29.0,Type_C,0
1130407,6.0,10.0,25.0,Type_C,1
1130408,8.9,6.5,44.0,Type_B,1
1130409,7.6,8.2,29.0,Type_C,0
1130410,7.4,6.9,45.0,Type_A,0
1130411,8.7,5.7,19.0,Type_C,0
1130412,7.0,6.6,29.0,Type_A,0
1130413,4.5,7.2,57.0,Type_B,1
1130414,7.1,6.4,49.0,Type_A,1
1130415,8.3,6.5,24.0,Type_B,0
1130416,7.8,7.8,29.0,Type_C,1
1130417,6.5,7.1,37.0,Type_C,1
1130418,3.7,8.7,44.0,Type_B,0
1130419,8.9,9.4,36.0,Type_C,0
1130420,7.1,7.0,41.0,Type_A,0
1130421,10.0,6.2,50.0,Type_C,0
1130422,5.1,4.9,48.0,Type_C,1
1130423,6.6,7.9,29.0,Type_C,1
1130424,7.1,6.2,47.0,Type_B,1
1130425,5.1,8.8,30.0,Type_A,1
1130426,6.7,5.8,25.0,Type_A,1
1130427,7.9,8.3,39.0,Type_A,1
1130428,10.0,7.7,30.0,Type_C,0
1130429,8.8,4.8,49.0,Type_A,1
1130430,8.2,6.1,52.0,Type_A,0
1130431,8.9,6.1,31.0,Type_A,1
1130432,4.3,8.4,37.0,Type_B,1
1130433,7.4,5.0,40.0,Type_A,0
1130434,8.2,2.9,40.0,Type_C,1
1130435,6.8,8.1,42.0,Type_A,0
1130436,5.6,9.5,42.0,Type_C,0
1130437,8.0,4.3,18.0,Type_B,1
1130438,6.7,10.0,40.0,Type_A,0
1130439,7.0,7.3,45.0,Type_C,1
1130440,9.9,5.8,52.0,Type_C,1
1130441,7.2,6.3,45.0,Type_C,0
1130442,5.5,9.5,24.0,Type_A,1
1130443,9.0,9.6,41.0,Type_C,0
1130444,5.3,4.1,34.0,Type_B,1
1130445,9.6,7.8,20.0,Type_C,0
1130446,5.7,5.3,40.0,Type_C,0
1130447,3.8,9.7,40.0,Type_A,0
1130448,7.1,8.2,40.0,Type_C,1
1130449,7.1,5.8,58.0,Type_B,1
1130450,9.1,8.6,39.0,Type_C,1
1130451,8.5,8.6,57.0,Type_B,1
1130452,8.6,7.5,41.0,Type_B,1
1130453,8.5,7.3,34.0,Type_C,0
1130454,,7.8,42.0,Type_C,0
1130455,9.8,4.2,44.0,Type_C,0
1130456,6.7,10.0,44.0,Type_A,0
1130457,7.2,5.7,33.0,Type_A,1
1130458,7.1,8.0,25.0,Type_B,0
1130459,5.3,8.7,18.0,Type_A,0
1130460,6.1,9.5,52.0,Type_B,1
1130461,6.4,6.5,20.0,Type_A,0
1130462,,6.8,39.0,Type_A,0
1130463,6.3,10.0,42.0,Type_B,1
1130464,6.3,7.5,39.0,Type_C,0
1130465,6.1,8.1,38.0,Type_B,1
1130466,,6.4,54.0,Type_A,1
1130467,6.1,6.8,34.0,Type_A,1
1130468,7.1,8.5,32.0,Type_B,1
1130469,7.2,6.3,41.0,Type_C,0
1130470,8.3,7.8,37.0,Type_B,0
1130471,7.9,4.8,36.0,Type_A,0
1130472,8.9,5.9,33.0,Type_B,0
1130473,8.0,4.6,62.0,Type_B,0
1130474,5.1,5.6,55.0,Type_B,1
1130475,7.8,4.1,44.0,Type_B,1
1130476,6.1,6.6,18.0,Type_B,0
1130477,8.2,9.4,46.0,Type_C,1
1130478,8.7,10.0,28.0,Type_C,1
1130479,7.9,6.9,32.0,Type_B,0
1130480,6.7,6.5,56.0,Type_B,0
1130481,9.2,7.8,45.0,Type_A,1
1130482,4.8,6.8,40.0,Type_B,0
1130483,6.3,9.0,53.0,Type_B,1
1130484,9.7,7.2,38.0,Type_C,1
1130485,6.7,8.4,61.0,Type_B,0
1130486,7.6,4.6,39.0,Type_A,1
1130487,9.2,6.4,50.0,Type_B,0
1130488,7.3,9.9,42.0,Type_B,0
1130489,8.4,9.5,41.0,Type_A,0
1130490,6.3,6.1,38.0,Type_A,0
1130491,3.1,4.6,44.0,Type_B,0
1130492,8.7,6.0,44.0,Type_B,0
1130493,4.5,5.7,20.0,Type_C,1
1130494,7.1,8.2,46.0,Type_B,1
1130495,4.1,4.8,33.0,Type_A,1
1130496,8.8,9.5,38.0,Type_B,0
1130497,8.7,7.9,34.0,Type_A,1
1130498,6.3,5.6,23.0,Type_C,1
1130499,7.3,6.5,44.0,Type_C,1
1130500,6.4,8.8,35.0,Type_A,0
1130501,8.4,8.6,42.0,Type_B,1
1130502,7.6,9.2,48.0,Type_C,1
1130503,6.9,7.6,32.0,Type_C,1
1130504,6.8,6.6,53.0,Type_A,0
1130505,7.8,4.9,29.0,Type_C,0
1130506,4.1,7.6,45.0,Type_C,1
1130507,6.4,6.5,23.0,Type_B,0
1130508,6.1,8.6,57.0,Type_C,0
1130509,7.0,7.6,24.0,Type_B,1
1130510,10.0,7.4,45.0,Type_B,0
1130511,6.9,10.0,18.0,Type_A,0
1130512,7.7,8.3,34.0,Type_B,0
1130513,6.7,8.1,38.0,Type_A,1
1130514,8.0,9.0,45.0,Type_A,1
1130515,6.6,7.0,40.0,Type_C,1
1130516,7.1,8.1,35.0,Type_C,1
1130517,8.6,6.1,54.0,Type_A,0
1130518,5.0,6.8,27.0,Type_B,0
1130519,7.1,8.6,36.0,Type_C,1
1130520,8.9,5.4,22.0,Type_C,1
1130521,8.6,7.8,43.0,Type_A,1
1130522,4.2,9.3,36.0,Type_C,0
1130523,5.5,7.1,46.0,Type_C,0
1130524,6.8,8.3,44.0,Type_B,1
1130525,6.5,4.4,28.0,Type_B,0
1130526,8.2,8.3,40.0,Type_B,0
1130527,10.0,7.4,19.0,Type_A,1
1130528,9.9,6.9,37.0,Type_B,0
1130529,8.4,7.7,31.0,Type_C,1
1130530,4.9,7.8,19.0,Type_A,0
1130531,5.7,5.7,25.0,Type_A,1
1130532,6.4,7.7,51.0,Type_B,1
1130533,5.2,10.0,28.0,Type_B,0
1130534,9.5,8.2,46.0,Type_C,1
1130535,7.8,8.3,36.0,Type_C,1
1130536,7.2,7.7,18.0,Type_A,1
1130537,8.1,9.6,57.0,Type_B,1
1130538,8.2,6.6,23.0,Type_C,0
1130539,9.0,8.8,46.0,Type_C,0
1130540,9.4,8.3,31.0,Type_C,1
1130541,8.6,4.8,48.0,Type_B,0
1130542,9.2,6.4,31.0,Type_B,0
1130543,6.0,8.1,29.0,Type_C,1
1130544,8.0,10.0,34.0,Type_A,0
1130545,7.4,6.7,46.0,Type_A,0
1130546,8.1,5.4,51.0,Type_B,0
1130547,,7.0,38.0,Type_C,1
1130548,8.3,7.1,18.0,Type_A,1
1130549,9.5,5.5,38.0,Type_B,0
1130550,8.0,5.5,51.0,Type_C,0
1130551,7.0,7.8,55.0,Type_A,1
1130552,7.8,8.6,37.0,Type_B,0
1130553,7.3,7.2,40.0,Type_A,0
1130554,6.2,6.1,45.0,Type_B,0
1130555,6.6,9.2,33.0,Type_C,0
1130556,7.9,9.6,25.0,Type_A,1
1130557,9.5,5.0,21.0,Type_C,1
1130558,7.5,10.0,46.0,Type_B,1
1130559,7.2,9.1,27.0,Type_A,1
1130560,6.9,8.4,40.0,Type_B,1
1130561,4.8,9.5,23.0,Type_A,1
1130562,4.3,6.8,31.0,Type_A,0
1130563,6.9,6.4,36.0,Type_B,1
1130564,5.7,7.8,40.0,Type_A,1
1130565,6.8,7.2,36.0,Type_A,1
1130566,9.2,10.0,41.0,Type_A,1
1130567,9.5,10.0,33.0,Type_A,1
1130568,7.4,5.8,36.0,Type_A,0
1130569,6.5,10.0,35.0,Type_C,0
1130570,7.7,9.5,39.0,Type_A,0
1130571,7.6,8.3,43.0,Type_C,1
1130572,5.6,7.8,34.0,Type_C,1
1130573,5.6,8.7,29.0,Type_A,1
1130574,6.1,9.1,35.0,Type_A,1
1130575,8.2,8.0,24.0,Type_B,0
1130576,4.7,9.5,52.0,Type_B,1
1130577,6.1,5.5,44.0,Type_C,1
1130578,5.5,9.3,37.0,Type_A,1
1130579,,7.1,28.0,Type_C,0
1130580,6.6,5.3,31.0,Type_B,0
1130581,5.4,4.9,53.0,Type_A,0
1130582,4.9,8.1,55.0,Type_C,0
1130583,4.8,5.7,30.0,Type_B,0
1130584,8.7,6.0,60.0,Type_A,1
1130585,,7.8,18.0,Type_A,1
1130586,9.7,7.1,49.0,Type_C,0
1130587,8.0,10.0,32.0,Type_A,1
1130588,4.6,6.9,40.0,Type_C,0
1130589,8.8,5.6,45.0,Type_B,1
1130590,7.9,3.7,56.0,Type_C,1
1130591,6.9,3.1,31.0,Type_A,0
1130592,6.0,7.7,45.0,Type_C,0
1130593,9.2,7.2,65.0,Type_B,1
1130594,8.5,8.8,18.0,Type_A,1
1130595,10.0,9.6,36.0,Type_B,1
1130596,6.7,7.2,47.0,Type_B,0
1130597,5.9,5.5,52.0,Type_B,1
1130598,7.0,6.5,49.0,Type_B,0
1130599,6.8,8.3,45.0,Type_A,0
1130600,5.3,6.9,37.0,Type_C,0
1130601,7.7,8.8,40.0,Type_A,1
1130602,5.2,8.2,29.0,Type_B,0
1130603,4.7,5.6,21.0,Type_B,0
1130604,6.8,7.7,37.0,Type_A,1
1130605,6.7,8.2,30.0,Type_B,0
1130606,7.6,8.0,43.0,Type_C,1
