UserID,HRV_ms,AveragePulse,ActivitySteps,StressScore,SleepQualityScore
1230454,35.4,38.0,95.3,7.6,5.8
1230455,40.1,75.0,99.3,6.2,6.0
1230456,46.6,40.0,78.2,5.0,7.5
1230457,47.5,43.0,96.7,9.6,6.4
1230458,69.0,37.0,122.1,4.2,7.5
1230459,45.9,18.0,77.3,4.7,6.5
1230460,61.0,38.0,113.0,8.4,8.8
1230461,44.4,45.0,88.5,7.6,6.9
1230462,66.7,63.0,61.8,6.3,5.7
1230463,16.9,49.0,126.5,10.0,9.6
1230464,36.0,39.0,65.7,6.6,10.0
1230465,59.7,43.0,88.4,7.0,8.4
1230466,42.4,47.0,126.7,7.2,7.9
1230467,59.0,37.0,80.3,8.1,7.2
1230468,50.8,52.0,123.6,8.2,7.9
1230469,59.2,65.0,88.8,9.2,5.6
1230470,54.2,37.0,97.7,6.5,5.5
1230471,55.1,59.0,147.1,7.1,8.1
1230472,67.4,54.0,128.4,6.8,5.4
1230473,59.8,50.0,102.2,5.2,9.9
1230474,59.9,44.0,83.7,6.7,6.0
1230475,45.3,47.0,100.7,7.7,8.0
1230476,36.3,39.0,141.2,7.4,5.3
1230477,35.1,68.0,154.3,9.3,7.2
1230478,56.3,32.0,84.5,7.5,7.8
1230479,10.0,58.0,136.1,5.7,6.6
1230480,25.4,64.0,60.6,6.4,6.3
1230481,30.6,37.0,114.7,6.0,6.8
1230482,41.3,58.0,109.4,6.3,9.2
1230483,10.0,44.0,126.0,7.1,8.7
1230484,63.9,43.0,79.2,8.3,8.9
1230485,54.0,41.0,103.7,8.5,8.8
1230486,74.8,19.0,53.5,5.8,9.5
1230487,60.9,50.0,84.2,7.8,8.4
1230488,60.5,62.0,99.6,7.1,3.8
1230489,78.8,32.0,104.9,6.7,8.2
1230490,36.4,54.0,169.8,6.2,7.9
1230491,22.4,41.0,87.3,6.1,6.9
1230492,41.5,27.0,100.5,6.4,5.0
1230493,32.6,56.0,71.2,8.8,6.2
1230494,41.1,66.0,52.8,8.6,6.7
1230495,29.2,31.0,122.5,8.4,8.5
1230496,53.5,45.0,122.6,3.8,8.3
1230497,52.7,22.0,65.6,9.1,5.5
1230498,44.6,41.0,57.8,7.7,8.1
1230499,49.7,49.0,84.1,8.5,4.3
1230500,42.9,67.0,141.7,6.9,6.6
1230501,56.3,64.0,62.8,7.5,7.2
1230502,46.0,65.0,117.0,9.2,8.3
1230503,41.0,35.0,103.3,8.7,6.8
1230504,58.9,39.0,92.5,5.8,8.0
1230505,63.9,19.0,84.9,6.0,7.6
1230506,65.1,32.0,106.1,7.9,7.9
1230507,30.1,22.0,92.2,7.5,8.2
1230508,37.0,47.0,90.0,5.9,6.8
1230509,19.5,32.0,94.8,7.1,8.5
1230510,41.4,27.0,127.8,6.2,9.5
1230511,51.2,37.0,105.3,8.1,7.0
1230512,43.0,25.0,101.7,10.0,3.8
1230513,74.0,46.0,134.6,5.8,8.2
1230514,38.9,46.0,93.3,7.9,7.2
1230515,28.7,38.0,135.8,7.8,7.9
1230516,53.5,32.0,83.1,6.9,6.0
1230517,47.2,23.0,113.3,6.6,6.5
1230518,53.2,50.0,91.9,6.7,7.3
1230519,49.6,45.0,98.3,5.0,6.9
1230520,48.7,49.0,83.9,4.2,7.1
1230521,13.2,38.0,92.6,5.9,6.5
1230522,34.1,39.0,82.5,6.3,7.0
1230523,36.1,62.0,110.1,8.3,8.2
1230524,39.8,34.0,79.4,5.5,8.0
1230525,38.3,38.0,113.4,6.4,5.3
1230526,51.2,52.0,158.7,8.8,7.5
1230527,54.0,46.0,61.1,8.4,6.1
1230528,28.0,13.0,40.7,7.9,7.8
1230529,55.3,18.0,75.3,8.9,9.0
1230530,53.8,33.0,118.6,10.0,8.4
1230531,52.0,55.0,82.2,7.0,6.2
1230532,23.7,51.0,114.4,8.1,7.3
1230533,51.6,49.0,123.7,7.0,7.8
1230534,46.2,51.0,93.7,6.9,7.9
1230535,59.4,28.0,122.1,5.9,5.9
1230536,71.8,50.0,43.3,9.7,8.0
1230537,68.8,29.0,120.9,7.5,7.7
1230538,46.7,55.0,120.0,9.5,5.8
1230539,45.0,35.0,97.5,7.8,7.7
1230540,54.5,46.0,125.1,5.9,6.5
1230541,28.3,16.0,136.0,7.2,5.9
1230542,23.2,23.0,148.3,8.2,6.6
1230543,37.9,57.0,148.5,7.5,5.8
1230544,63.3,52.0,101.4,4.5,6.1
1230545,40.0,25.0,96.5,7.2,9.4
1230546,67.5,60.0,98.0,6.6,5.3
1230547,10.0,27.0,33.1,6.6,8.4
1230548,21.2,42.0,117.5,5.1,7.9
1230549,43.1,35.0,158.7,10.0,9.5
1230550,58.3,29.0,114.1,8.7,10.0
1230551,44.0,58.0,64.5,6.0,7.0
1230552,43.6,66.0,75.1,6.9,7.7
1230553,43.2,44.0,76.5,9.1,7.3
1230554,18.6,63.0,141.4,4.8,5.5
1230555,62.4,38.0,112.6,9.6,6.5
1230556,34.8,44.0,116.0,7.7,10.0
1230557,61.3,44.0,108.8,7.9,7.8
1230558,43.9,26.0,72.2,7.0,4.9
1230559,61.0,49.0,76.4,7.9,8.1
1230560,50.1,52.0,117.0,10.0,8.8
1230561,43.4,40.0,102.2,7.4,8.3
1230562,48.4,18.0,53.5,6.2,5.0
1230563,22.9,47.0,119.7,6.4,7.6
1230564,45.1,21.0,135.4,8.8,4.8
1230565,70.7,31.0,100.2,7.6,6.8
1230566,64.6,44.0,92.1,7.6,3.0
1230567,30.2,31.0,134.1,6.4,4.4
1230568,52.6,46.0,95.1,9.3,7.7
1230569,48.7,39.0,84.7,7.4,8.9
1230570,57.3,19.0,61.5,6.0,7.0
1230571,46.4,44.0,87.7,4.6,8.2
1230572,41.5,50.0,146.7,5.4,10.0
1230573,65.0,56.0,129.1,7.8,5.7
1230574,48.2,37.0,103.0,5.9,8.1
1230575,63.8,41.0,99.9,4.2,9.1
1230576,59.6,21.0,124.7,5.9,7.5
1230577,40.1,70.0,102.6,7.0,7.8
1230578,42.5,63.0,68.4,8.1,7.9
1230579,73.9,42.0,103.6,3.4,6.5
1230580,47.9,40.0,104.4,7.1,9.1
1230581,33.6,1.0,100.3,8.6,5.3
