TicketID,WaitTime_Mins,ServiceTime_Mins,StaffCount,PeakHours,SatisfactionScore
1050060,21.1,3.6,114.3,11.0,8.7
1050061,11.2,1.0,141.0,9.0,5.4
1050062,24.2,61.7,104.0,13.1,9.6
1050063,5.5,1.0,76.5,44.4,8.0
1050064,14.5,25.4,113.7,39.1,7.1
1050065,107.5,5.9,78.1,40.4,5.2
1050066,20.7,7.4,126.3,20.2,8.3
1050067,11.6,1.0,70.6,32.8,7.9
1050068,8.3,24.1,86.3,33.9,7.8
1050069,1.0,12.7,34.1,28.2,10.0
1050070,25.3,8.0,118.8,40.2,8.8
1050071,1.5,20.2,109.8,31.8,7.7
1050072,1.6,26.7,123.3,7.2,9.3
1050073,4.0,30.5,114.4,13.6,8.3
1050074,7.0,20.0,102.7,18.6,7.1
1050075,1.7,19.2,135.1,13.7,9.1
1050076,14.6,3.7,64.0,21.1,6.2
1050077,6.3,9.5,93.9,19.3,6.3
1050078,60.3,30.9,126.1,38.3,5.6
1050079,8.9,4.3,57.6,16.2,6.7
1050080,8.7,13.5,101.6,13.7,8.7
1050081,5.7,3.1,122.1,36.5,6.7
1050082,9.4,70.3,109.9,15.9,4.8
1050083,11.9,10.5,139.3,18.2,5.6
1050084,9.6,7.6,57.3,27.3,7.3
1050085,46.1,2.5,85.5,38.0,6.9
1050086,9.8,9.4,130.0,34.3,7.6
1050087,5.2,8.1,64.4,8.3,7.4
1050088,14.4,38.1,131.3,11.4,9.8
1050089,10.9,6.5,84.5,10.8,5.2
1050090,5.7,11.4,78.2,24.2,6.3
1050091,11.9,8.9,72.5,10.8,6.8
1050092,9.4,25.0,103.7,39.0,6.1
1050093,4.0,10.5,94.9,17.2,5.7
1050094,41.1,5.5,136.1,24.2,7.1
1050095,9.7,3.7,114.3,7.9,6.1
1050096,16.2,2.8,67.4,22.6,7.1
1050097,9.7,2.7,79.4,39.5,5.6
1050098,2.9,2.7,81.1,25.5,8.0
1050099,1.0,41.5,114.8,13.6,7.3
1050100,20.7,5.3,126.1,40.9,6.3
1050101,13.6,4.1,133.2,29.5,8.0
1050102,13.9,18.9,94.2,22.7,8.8
1050103,13.8,7.5,89.7,8.6,7.5
1050104,21.3,15.1,118.3,34.6,6.1
1050105,3.5,4.9,104.3,13.7,5.4
1050106,1.8,2.8,116.4,31.6,7.7
1050107,33.1,2.8,86.5,33.5,6.7
1050108,42.1,1.9,93.5,38.1,7.0
1050109,10.9,1.3,85.8,37.1,6.1
1050110,1.7,1.0,85.7,34.9,6.6
1050111,7.4,7.3,91.2,41.2,7.5
1050112,6.4,1.3,111.7,18.2,6.8
1050113,22.1,2.3,115.9,38.3,7.2
1050114,4.5,9.7,70.1,39.3,7.5
1050115,4.4,13.1,93.7,37.4,5.9
1050116,40.0,24.3,75.1,24.2,6.1
1050117,7.1,2.4,93.7,30.2,6.7
1050118,2.9,6.9,54.2,8.6,7.6
1050119,3.9,21.4,87.1,31.3,7.4
1050120,5.0,18.9,120.4,17.8,6.4
1050121,19.0,39.7,128.4,18.5,8.1
1050122,7.8,11.5,79.7,33.0,6.6
1050123,30.3,1.7,136.6,31.7,7.4
1050124,14.5,12.6,67.6,40.2,5.6
1050125,11.8,14.0,131.6,43.8,10.0
1050126,4.9,7.0,89.2,25.1,8.1
1050127,3.3,16.3,106.3,5.2,6.2
1050128,5.8,28.5,96.4,20.0,5.9
1050129,3.1,14.4,103.3,9.4,8.9
1050130,3.1,11.8,83.9,10.8,6.8
1050131,33.9,22.3,98.7,30.8,7.7
1050132,13.7,25.7,89.0,32.6,7.0
1050133,22.7,26.8,44.9,18.5,8.2
1050134,7.5,2.8,112.1,5.9,6.2
1050135,10.5,12.6,63.7,12.9,9.9
1050136,46.8,16.0,117.9,29.9,7.4
1050137,13.5,32.2,106.0,18.4,9.5
1050138,18.9,4.3,88.3,20.6,7.5
1050139,6.1,1.0,110.1,6.1,5.7
1050140,23.7,2.1,95.5,5.8,7.4
1050141,17.4,18.3,58.4,10.5,6.9
1050142,12.9,9.8,121.0,7.3,7.8
1050143,1.9,1.0,99.1,13.6,7.3
1050144,3.3,19.9,101.9,21.3,7.7
1050145,11.8,17.1,123.3,18.4,7.1
1050146,5.1,8.2,107.6,13.5,6.0
1050147,10.2,15.0,120.9,35.5,8.6
1050148,21.2,42.4,69.4,45.0,9.0
1050149,4.1,61.9,125.4,19.4,6.0
1050150,4.0,45.3,98.8,43.8,7.9
1050151,16.5,7.4,121.5,39.7,10.0
1050152,9.2,1.8,118.4,43.8,9.0
1050153,29.8,10.6,86.2,39.1,8.7
1050154,16.3,1.7,87.3,13.6,3.9
1050155,10.6,1.3,55.1,10.2,7.0
1050156,6.7,23.6,108.0,13.9,10.0
1050157,21.6,14.9,165.3,39.5,5.5
1050158,1.0,7.5,106.3,8.2,5.4
1050159,15.9,12.6,115.4,30.8,6.3
1050160,45.0,24.7,92.6,7.2,7.1
1050161,25.2,7.9,98.4,27.1,6.1
1050162,56.9,33.9,73.8,13.7,7.1
1050163,23.1,1.9,104.3,12.9,6.4
1050164,10.6,5.8,84.9,25.9,8.3
1050165,2.4,22.2,83.0,27.6,6.8
1050166,9.9,15.0,107.7,42.0,6.2
1050167,8.1,4.3,75.1,7.1,9.1
1050168,25.4,17.2,113.6,10.7,5.0
1050169,23.8,25.9,95.9,31.5,6.5
1050170,14.3,8.4,63.1,18.5,7.0
1050171,20.3,1.0,68.0,25.9,8.5
1050172,1.7,8.4,66.5,29.2,7.0
1050173,9.8,2.2,137.8,42.1,8.4
1050174,3.9,8.8,104.0,24.6,5.8
1050175,18.0,4.0,102.8,43.3,9.2
1050176,4.9,13.4,79.9,9.9,8.7
1050177,5.6,14.4,65.9,25.3,7.4
1050178,19.6,73.2,89.4,36.1,7.2
1050179,8.5,39.6,89.9,32.1,9.1
1050180,8.4,10.6,53.4,27.7,8.9
1050181,31.0,10.1,84.6,36.0,6.7
1050182,7.2,7.9,92.2,43.1,6.6
1050183,16.1,19.2,133.7,28.5,8.2
1050184,23.6,1.0,54.8,29.4,10.0
1050185,6.3,18.6,105.4,35.8,7.8
1050186,41.1,24.2,87.2,18.3,9.4
1050187,1.0,1.0,95.6,32.6,9.9
1050188,73.8,40.0,48.8,34.2,8.7
1050189,13.8,5.9,75.4,9.5,4.0
1050190,23.8,9.9,95.3,9.9,8.3
1050191,33.9,2.8,129.3,33.1,6.9
1050192,39.6,28.4,135.2,27.9,7.3
1050193,10.9,11.9,83.9,21.4,6.2
1050194,19.9,18.4,118.2,42.0,8.0
1050195,1.0,4.5,105.3,27.3,6.1
1050196,21.0,51.6,94.8,27.8,6.2
1050197,12.0,25.4,128.8,38.5,6.1
1050198,1.9,3.5,108.0,30.8,4.5
1050199,15.3,1.6,83.2,31.6,6.2
1050200,17.4,12.8,105.6,17.4,5.8
1050201,1.6,1.0,109.1,20.0,5.8
1050202,61.9,30.3,107.9,5.6,8.2
1050203,50.5,21.0,124.6,42.8,7.5
1050204,25.2,1.0,118.6,21.2,6.2
1050205,18.3,6.8,112.8,6.6,7.5
1050206,15.8,22.1,67.2,26.2,9.6
1050207,5.0,38.5,124.3,27.0,8.0
1050208,24.5,16.2,79.6,12.4,7.8
1050209,22.1,2.5,89.7,23.3,6.8
1050210,59.4,1.0,85.3,39.9,4.7
1050211,2.8,41.2,142.9,44.3,10.0
1050212,3.5,11.6,139.2,25.4,7.7
1050213,4.6,1.8,93.2,8.2,4.5
1050214,8.9,5.1,85.3,21.8,4.9
1050215,86.7,13.8,94.3,5.2,7.9
1050216,16.0,23.5,62.0,12.0,7.3
1050217,42.9,1.0,117.6,12.6,8.5
1050218,7.4,9.2,112.5,26.5,6.1
1050219,31.1,44.1,103.2,8.0,8.2
1050220,8.0,13.1,120.4,9.6,10.0
1050221,8.5,1.0,84.7,21.7,10.0
1050222,12.3,1.6,134.6,20.9,6.7
1050223,17.0,54.2,68.5,41.6,7.3
1050224,9.9,58.8,123.9,23.4,10.0
1050225,22.4,7.8,83.1,16.9,10.0
1050226,23.4,47.8,114.7,23.6,8.6
1050227,19.0,6.2,92.5,5.1,7.5
1050228,16.8,1.0,79.1,27.7,6.7
1050229,1.0,7.3,83.7,31.4,8.6
1050230,52.9,1.6,104.3,39.6,5.1
1050231,30.9,22.9,114.4,7.0,6.6
1050232,6.7,3.6,144.1,25.7,10.0
1050233,22.2,1.0,98.2,33.8,9.4
1050234,23.0,1.6,108.8,42.8,6.3
1050235,60.6,37.2,117.2,31.8,5.8
1050236,7.1,1.0,95.6,26.4,7.6
1050237,5.5,1.2,81.0,8.8,6.9
1050238,4.8,1.6,88.5,22.9,8.4
1050239,14.0,1.9,107.3,30.9,5.5
1050240,16.3,16.6,89.5,29.3,9.3
1050241,,2.8,78.9,20.6,7.0
1050242,7.2,1.6,80.5,11.8,10.0
1050243,15.5,23.2,127.2,13.7,9.8
1050244,20.1,57.1,114.2,27.7,6.6
1050245,28.2,2.6,103.6,16.5,7.1
1050246,12.2,5.6,64.0,11.0,5.4
1050247,8.2,5.9,107.1,17.6,4.9
1050248,1.9,31.8,140.6,12.0,8.3
1050249,1.7,28.2,93.9,25.3,4.7
1050250,63.7,13.6,101.0,33.7,9.0
1050251,3.8,4.0,141.7,40.1,8.4
1050252,1.9,5.9,61.7,31.8,7.6
1050253,14.5,6.4,89.5,20.6,8.8
1050254,2.9,31.4,101.3,33.6,6.1
1050255,5.2,14.0,66.9,15.9,8.8
1050256,3.7,1.2,90.0,24.1,7.9
1050257,6.5,99.0,82.4,28.5,8.6
1050258,17.4,16.5,106.2,13.6,10.0
1050259,20.6,23.6,84.6,8.0,8.5
1050260,29.6,2.6,57.9,43.1,8.1
1050261,10.1,17.8,102.9,32.8,6.7
1050262,13.7,2.3,116.3,14.8,7.0
1050263,1.9,1.0,82.8,16.7,8.6
1050264,32.9,9.5,137.1,34.9,7.6
1050265,2.1,30.2,72.2,39.9,8.0
1050266,120.0,5.7,77.5,17.1,6.2
1050267,57.3,7.0,124.0,5.8,8.2
1050268,6.1,36.2,107.6,8.4,5.3
1050269,3.3,10.4,133.3,14.9,7.3
1050270,46.2,18.2,120.0,25.2,8.1
1050271,3.4,16.0,83.1,6.4,6.7
1050272,6.9,7.0,75.0,22.5,7.6
1050273,29.2,36.9,125.3,15.3,4.7
1050274,17.0,11.2,107.3,21.8,5.2
1050275,38.5,25.9,101.1,9.3,7.5
1050276,5.0,6.1,103.0,12.6,5.4
1050277,22.1,7.1,54.5,44.4,8.7
1050278,13.8,11.9,107.9,7.4,8.5
1050279,1.3,18.6,97.7,44.0,9.6
1050280,2.2,2.3,85.9,5.5,9.1
1050281,4.1,11.3,109.6,8.8,6.2
1050282,20.7,25.6,90.8,33.6,9.4
1050283,27.1,35.1,76.5,37.3,6.7
1050284,1.8,11.5,92.4,18.0,6.3
1050285,15.9,50.5,75.2,19.6,9.4
1050286,2.0,1.0,133.9,28.3,3.7
1050287,21.4,2.4,93.9,24.4,7.4
1050288,30.2,6.2,78.6,5.2,9.2
1050289,3.7,4.1,79.4,15.5,3.1
1050290,63.4,58.5,60.9,43.3,8.5
1050291,35.4,13.6,150.9,27.2,6.7
1050292,14.1,2.5,98.2,25.4,6.4
1050293,3.2,30.7,148.5,27.0,7.5
1050294,7.9,12.6,77.4,27.9,10.0
1050295,11.0,31.2,131.1,22.8,4.2
1050296,21.7,10.3,92.1,15.5,6.8
1050297,7.3,26.5,80.5,22.5,8.3
1050298,64.8,12.7,92.1,21.7,8.4
1050299,,8.1,106.2,18.5,8.0
1050300,5.1,6.9,97.6,18.5,6.2
1050301,26.1,6.7,73.3,41.3,9.0
1050302,16.4,9.0,137.3,41.7,7.0
1050303,6.4,4.4,107.6,11.8,7.0
1050304,2.7,83.3,164.7,38.4,7.1
1050305,1.0,12.2,80.1,5.3,10.0
1050306,6.0,14.7,95.1,30.8,6.2
1050307,24.8,3.9,106.9,24.4,8.9
1050308,9.3,32.4,59.2,11.9,8.0
1050309,27.5,5.5,82.9,34.4,8.6
1050310,24.9,9.2,96.3,8.3,10.0
1050311,3.9,18.1,116.0,41.6,5.4
1050312,19.1,1.9,123.8,8.7,10.0
1050313,45.1,8.3,121.0,40.4,4.8
1050314,8.8,31.0,60.8,35.4,7.6
1050315,6.3,1.7,101.0,35.3,6.8
1050316,43.7,16.8,137.7,32.9,8.1
1050317,1.9,22.4,93.0,13.3,9.2
1050318,1.0,8.0,55.0,27.8,9.5
1050319,23.0,30.7,102.0,10.7,8.7
1050320,8.9,16.7,62.0,37.0,9.0
1050321,1.1,3.4,104.4,31.2,9.2
1050322,,33.6,114.4,38.8,7.0
1050323,5.6,14.3,60.1,9.4,8.8
1050324,2.5,3.7,63.7,10.0,7.0
1050325,29.3,19.1,81.5,28.8,8.2
1050326,4.6,13.5,94.8,14.8,6.3
1050327,6.1,17.2,111.7,17.5,8.6
1050328,13.2,10.1,82.5,6.9,8.9
1050329,9.4,1.5,153.7,9.7,7.2
1050330,47.9,3.8,64.5,36.6,6.9
1050331,6.0,2.8,90.0,17.6,6.1
1050332,5.5,5.0,86.7,40.7,5.9
1050333,46.3,18.3,82.0,38.9,6.2
1050334,20.8,34.7,115.4,14.1,7.0
1050335,9.8,4.9,114.2,16.4,7.0
1050336,11.3,1.1,106.1,25.6,6.6
1050337,28.0,23.8,110.6,29.0,8.0
1050338,28.8,3.5,89.8,44.7,10.0
1050339,2.9,4.1,117.2,5.5,8.1
1050340,1.1,5.7,122.1,23.8,9.4
1050341,29.1,3.3,128.5,36.9,6.9
1050342,25.0,95.7,75.3,32.4,7.6
1050343,4.0,5.6,86.6,9.7,7.8
1050344,11.1,29.2,74.8,44.9,8.1
1050345,5.6,4.6,59.2,19.7,9.2
1050346,14.1,1.6,96.0,40.4,6.5
1050347,23.5,21.2,109.6,15.8,6.9
1050348,9.2,25.9,121.9,43.4,6.9
1050349,3.3,12.0,124.3,30.6,6.4
1050350,13.8,28.4,94.1,27.5,7.1
1050351,1.0,55.9,76.3,13.0,6.9
1050352,8.8,6.3,66.6,20.5,8.0
1050353,11.5,26.2,71.8,25.5,8.0
1050354,5.3,38.8,114.4,15.0,4.6
1050355,12.2,23.9,88.3,40.9,7.1
1050356,31.7,17.2,103.4,23.5,6.4
1050357,7.5,13.5,110.0,44.7,7.6
1050358,19.3,29.6,108.6,8.5,6.9
1050359,26.7,28.2,100.4,39.0,8.5
1050360,15.0,8.7,117.5,39.6,9.3
1050361,12.9,1.0,83.1,28.2,8.7
1050362,4.0,7.5,82.9,19.6,8.5
1050363,12.0,11.1,111.5,27.7,5.0
1050364,8.3,24.8,73.4,15.4,10.0
1050365,58.4,10.9,84.8,34.6,6.6
1050366,13.6,4.0,62.8,5.1,6.8
1050367,11.7,32.7,131.4,21.0,5.9
1050368,9.0,14.9,104.6,17.2,6.6
1050369,5.1,2.5,51.4,15.2,6.4
1050370,41.2,8.6,96.2,44.2,7.7
1050371,23.8,18.6,106.1,13.4,6.2
1050372,17.0,109.6,87.2,33.0,6.7
1050373,63.2,3.0,98.1,5.4,7.4
1050374,34.4,23.4,112.4,39.4,5.3
1050375,16.9,19.8,116.4,41.0,9.1
1050376,,1.4,111.0,30.9,5.4
1050377,16.3,4.1,80.3,9.1,7.2
1050378,13.0,17.5,70.0,44.7,6.4
1050379,9.3,16.2,103.4,44.6,7.8
1050380,16.3,10.9,78.2,11.0,5.7
1050381,1.0,1.0,108.6,27.4,6.3
1050382,43.3,28.8,131.5,15.2,7.9
1050383,,7.5,112.0,11.1,6.4
1050384,8.4,1.0,126.7,29.6,7.2
1050385,27.3,9.4,85.3,24.1,5.9
1050386,14.5,44.1,128.3,18.9,6.2
1050387,35.4,5.3,100.3,26.7,10.0
1050388,27.5,7.3,116.6,28.6,6.7
1050389,59.6,1.0,76.1,43.3,6.6
1050390,8.0,8.3,98.9,42.9,9.3
1050391,33.4,20.3,117.2,31.5,7.6
1050392,14.9,22.4,75.4,15.8,7.0
1050393,20.6,5.2,127.0,18.8,8.6
1050394,9.1,1.0,78.9,34.3,8.5
1050395,12.1,57.1,142.8,6.6,5.6
1050396,5.8,3.8,119.8,28.8,8.0
1050397,4.2,5.9,51.9,38.2,5.4
1050398,17.0,13.3,105.9,27.9,3.5
1050399,42.4,8.2,100.0,32.1,5.9
1050400,20.7,1.5,60.7,7.0,5.9
1050401,1.0,1.0,159.9,9.2,6.8
1050402,16.5,3.8,95.6,6.7,8.1
1050403,2.6,21.3,99.6,37.6,5.7
1050404,24.5,18.4,74.3,31.9,8.0
1050405,40.1,9.2,84.9,40.6,6.8
1050406,1.0,40.0,121.3,32.3,7.5
1050407,5.0,44.3,82.5,20.0,7.1
1050408,4.3,3.2,90.6,26.9,9.0
1050409,20.7,6.6,63.8,10.6,6.9
1050410,1.9,1.5,89.5,15.5,5.8
1050411,34.1,2.7,118.4,37.9,6.8
1050412,1.7,24.3,101.7,23.2,6.2
1050413,21.3,3.0,91.2,8.3,5.3
1050414,16.8,8.7,98.7,17.0,8.0
1050415,24.7,11.9,71.1,19.2,6.4
1050416,1.0,76.8,48.1,44.1,8.5
1050417,2.7,6.4,91.3,11.3,6.0
1050418,4.4,16.5,101.7,28.5,9.4
1050419,1.7,22.0,105.1,5.8,8.2
1050420,34.8,4.0,116.3,31.1,7.1
1050421,13.1,6.2,111.4,10.4,7.7
1050422,14.3,4.7,105.5,31.9,8.7
1050423,,53.0,91.2,23.6,5.8
1050424,7.5,19.4,119.5,29.5,7.3
1050425,12.9,20.9,107.9,8.5,8.1
1050426,3.9,25.0,92.7,34.2,9.2
1050427,16.7,10.1,90.7,8.1,6.7
1050428,1.1,30.9,119.9,19.9,7.2
1050429,1.0,17.4,106.5,10.5,5.8
1050430,5.9,72.3,115.2,7.2,7.0
1050431,11.2,1.0,94.8,29.0,8.7
1050432,21.6,19.4,114.4,21.2,6.5
1050433,18.6,17.0,100.9,30.1,4.8
1050434,13.3,4.4,114.4,13.0,6.7
1050435,45.1,8.9,85.9,34.2,8.0
1050436,1.9,7.4,90.7,22.5,8.4
1050437,1.0,24.2,79.6,15.1,7.2
1050438,19.6,1.8,108.8,16.1,7.9
1050439,2.4,37.4,119.1,10.6,6.0
1050440,13.7,1.6,90.3,10.3,6.8
1050441,3.2,6.2,67.6,21.7,6.7
1050442,3.8,10.6,109.2,22.9,8.0
1050443,1.9,12.0,78.1,9.6,9.1
1050444,22.2,1.3,64.1,17.5,9.5
1050445,7.5,11.8,140.2,31.9,7.7
1050446,1.4,18.1,77.3,23.8,6.5
1050447,7.3,21.3,58.5,24.0,6.7
1050448,6.8,3.4,70.9,15.8,8.4
1050449,21.1,3.5,70.2,35.9,5.1
1050450,8.4,12.1,64.4,12.3,7.4
1050451,1.7,15.1,115.1,42.1,7.8
1050452,3.7,1.0,48.9,26.2,9.4
1050453,18.8,5.7,75.5,21.3,6.3
1050454,23.1,1.0,91.6,39.7,5.2
1050455,1.6,12.1,66.8,35.3,6.6
1050456,6.7,13.7,133.0,42.8,5.1
1050457,2.8,1.3,68.2,14.4,7.7
1050458,34.5,65.3,71.5,22.5,9.3
1050459,15.7,5.5,91.9,22.4,6.5
1050460,3.0,1.3,136.2,15.9,4.7
1050461,4.9,1.0,74.1,29.3,4.3
1050462,,5.0,105.6,17.6,7.2
1050463,8.2,6.5,119.3,9.9,6.9
1050464,10.6,19.5,61.5,15.3,7.3
1050465,42.2,2.5,92.0,18.9,4.4
1050466,16.1,1.0,76.6,32.9,10.0
1050467,2.0,34.6,79.0,43.9,6.6
1050468,27.3,47.8,101.2,9.2,8.2
1050469,27.2,31.3,101.2,18.8,5.7
1050470,15.2,22.4,105.1,27.6,7.2
1050471,33.6,2.3,90.8,40.0,7.5
1050472,1.9,51.4,79.6,25.1,6.8
1050473,33.5,10.8,96.4,38.5,7.5
1050474,24.9,6.2,124.7,11.0,4.6
1050475,4.2,22.2,97.3,40.6,7.1
1050476,3.2,11.7,108.1,9.3,5.0
1050477,19.0,2.4,66.9,26.7,5.1
1050478,9.6,4.1,71.2,17.7,5.9
1050479,4.0,31.0,85.8,14.0,8.4
1050480,6.1,1.0,109.0,34.3,6.1
1050481,1.3,10.6,106.2,45.0,6.9
1050482,5.1,1.7,97.1,29.6,7.4
1050483,28.9,2.0,118.9,42.2,8.5
1050484,7.7,45.9,85.5,40.4,9.4
1050485,1.0,27.2,74.5,13.3,2.9
1050486,4.4,16.6,138.5,8.0,6.9
1050487,35.3,15.2,99.1,22.0,8.3
1050488,3.9,6.3,81.1,44.5,6.8
1050489,1.0,2.4,83.2,13.8,7.1
1050490,27.8,2.4,62.6,31.8,6.0
1050491,1.0,7.1,49.3,21.2,6.0
1050492,33.7,28.4,119.3,22.7,6.5
1050493,10.0,24.2,80.3,9.6,3.3
1050494,1.3,8.7,87.4,34.8,5.9
1050495,35.6,13.0,97.3,6.6,5.2
1050496,18.8,29.6,83.0,8.9,7.1
1050497,54.4,36.5,100.5,37.5,7.8
1050498,2.0,31.7,74.2,22.9,7.9
1050499,14.5,9.5,102.4,19.7,6.4
1050500,16.8,26.0,79.1,36.6,8.9
1050501,85.8,19.2,138.8,43.2,8.4
1050502,1.0,11.9,79.0,35.7,7.3
1050503,7.9,14.7,120.2,24.8,8.4
1050504,17.3,1.0,130.1,41.1,9.0
1050505,7.0,27.9,112.1,37.6,5.3
1050506,53.2,1.0,95.7,7.1,5.7
1050507,2.7,12.5,95.9,42.8,5.2
1050508,145.7,5.2,95.7,39.6,8.2
1050509,34.0,16.2,148.6,11.3,4.2
1050510,16.3,4.5,93.5,5.6,7.8
1050511,7.2,18.3,104.2,32.1,8.0
1050512,1.0,8.7,78.1,29.8,7.3
1050513,30.1,3.8,131.2,34.7,8.0
1050514,13.7,6.4,31.6,17.9,5.5
1050515,55.0,3.3,52.9,32.1,10.0
1050516,11.7,9.8,85.9,21.8,5.6
1050517,5.8,2.9,97.4,27.3,7.7
1050518,1.0,2.5,71.5,23.8,8.4
1050519,5.8,10.2,104.1,12.5,7.5
1050520,16.6,6.7,108.3,24.4,9.3
1050521,2.5,37.1,110.5,21.9,7.7
1050522,14.7,6.9,115.4,26.9,7.2
1050523,22.4,2.3,117.6,21.6,7.0
1050524,11.7,6.5,131.7,7.8,7.7
1050525,21.0,36.5,75.3,39.7,5.5
1050526,8.0,58.5,96.6,16.5,9.1
1050527,34.7,12.1,118.9,37.9,6.5
1050528,7.4,4.2,93.5,16.6,6.8
1050529,16.2,11.1,55.1,42.5,6.8
1050530,31.8,7.2,119.2,19.0,6.8
1050531,22.0,16.9,127.8,20.0,9.1
1050532,12.2,8.2,104.5,18.9,5.9
1050533,5.0,10.8,122.2,8.7,7.2
1050534,48.5,7.6,96.1,23.9,7.7
1050535,11.9,8.4,82.7,5.9,5.8
1050536,6.5,2.6,96.9,8.3,5.3
1050537,26.3,1.9,106.9,38.1,8.9
1050538,3.5,9.9,106.3,31.8,7.3
1050539,3.1,8.5,88.9,25.9,10.0
1050540,4.0,8.6,97.5,29.2,8.4
1050541,10.1,26.0,116.3,11.3,5.1
1050542,8.5,3.9,77.2,8.1,8.1
1050543,23.1,1.4,100.4,40.9,5.9
1050544,45.9,9.0,65.9,11.2,6.3
1050545,9.5,1.0,88.6,36.5,10.0
1050546,1.4,5.1,55.0,32.6,6.0
1050547,20.9,14.5,144.9,15.2,7.8
1050548,6.5,12.0,55.3,26.6,8.2
1050549,14.8,21.2,118.2,43.4,8.3
1050550,6.0,8.3,73.5,13.0,8.3
1050551,1.0,19.0,87.2,17.6,7.1
1050552,24.5,12.1,54.6,22.2,8.1
1050553,5.0,5.3,153.0,43.5,5.8
1050554,7.9,1.0,91.4,16.1,6.4
1050555,8.1,22.6,116.6,32.7,6.3
1050556,31.7,24.8,93.0,14.9,4.6
1050557,19.8,8.2,121.2,10.7,8.1
1050558,2.4,1.0,111.2,19.9,8.5
1050559,11.7,14.8,131.7,9.6,8.2
1050560,6.6,21.0,116.0,13.9,5.7
1050561,36.8,7.9,106.9,8.5,10.0
1050562,37.3,21.5,102.7,40.4,6.5
1050563,2.8,10.2,75.5,34.3,7.0
1050564,1.0,1.8,157.1,17.8,6.1
1050565,1.0,6.9,100.8,38.9,2.0
1050566,50.1,8.9,106.2,28.6,8.0
1050567,18.9,6.3,87.2,36.0,6.4
1050568,17.5,21.9,118.8,26.4,7.8
1050569,1.0,25.6,100.7,25.0,8.5
1050570,37.0,1.7,85.9,8.2,3.9
1050571,17.1,1.0,73.7,5.6,6.9
1050572,5.5,1.1,135.3,16.9,6.9
1050573,8.5,11.7,94.5,37.2,7.2
1050574,27.9,13.2,97.9,19.0,8.4
1050575,37.4,5.4,76.3,34.6,6.5
1050576,17.4,13.9,41.0,14.2,8.8
1050577,37.1,19.7,100.0,40.0,9.6
1050578,1.0,8.3,90.9,6.6,8.0
1050579,7.0,43.0,102.7,21.2,7.8
1050580,49.5,17.1,136.6,38.5,7.0
