TurbineID,WindSpeed_mps,WindDirectionDeviation,GearboxTemp,DailyOutput_MWh,MaintenanceRequired
1530097,20.2,13.7,110.2,253.5,0
1530098,17.5,18.0,185.4,259.3,1
1530099,14.5,17.3,117.7,295.5,1
1530100,15.7,15.0,136.7,176.6,1
1530101,7.0,11.0,124.4,302.1,0
1530102,16.5,18.9,123.1,322.0,0
1530103,19.7,18.4,134.4,199.0,0
1530104,7.6,17.8,122.5,96.0,0
1530105,13.0,16.2,46.5,188.5,0
1530106,8.8,10.2,129.8,306.4,0
1530107,5.8,14.1,91.8,279.6,0
1530108,14.0,8.4,95.0,324.2,0
1530109,18.2,13.7,126.3,235.9,1
1530110,7.3,11.5,112.9,346.6,0
1530111,8.4,1.0,113.2,121.0,1
1530112,14.1,8.7,133.9,224.0,1
1530113,5.2,13.1,109.0,104.6,0
1530114,5.0,5.9,106.4,358.1,0
1530115,16.2,17.2,95.9,360.2,1
1530116,9.4,,98.7,248.6,0
1530117,17.3,16.2,108.5,302.7,0
1530118,14.4,10.0,133.4,300.4,1
1530119,8.8,16.5,133.5,350.7,1
1530120,13.1,8.7,130.8,250.6,0
1530121,14.0,11.4,92.9,377.5,0
1530122,10.4,15.6,150.7,331.8,1
1530123,11.8,14.9,111.3,271.1,1
1530124,11.2,12.0,135.5,340.3,0
1530125,6.1,4.9,84.2,179.3,0
1530126,7.8,20.0,150.0,273.4,1
1530127,13.9,16.6,153.0,265.9,0
1530128,14.8,16.2,146.4,193.9,1
1530129,17.5,,103.0,166.2,1
1530130,19.4,16.7,113.3,220.7,0
1530131,4.9,12.4,142.3,141.4,1
1530132,16.1,19.9,94.5,198.7,0
1530133,21.9,13.8,105.3,136.4,1
1530134,16.0,13.1,152.7,248.2,1
1530135,17.4,11.4,99.8,228.6,1
1530136,15.0,8.2,140.5,122.5,1
1530137,11.2,19.2,143.9,392.7,0
1530138,11.0,6.5,147.4,127.0,0
1530139,6.8,10.6,113.7,244.6,1
1530140,11.1,7.1,139.3,221.9,0
1530141,18.4,11.6,127.7,405.3,0
1530142,15.6,16.8,139.3,385.4,1
1530143,5.8,12.5,83.6,191.9,0
1530144,7.5,7.4,107.5,306.2,1
1530145,6.1,16.6,112.9,113.7,0
1530146,15.2,10.6,87.7,249.9,0
1530147,17.6,6.5,182.6,57.4,0
1530148,14.6,6.3,146.1,180.5,1
1530149,5.9,12.8,81.4,269.8,0
1530150,15.5,15.6,84.7,452.8,1
1530151,19.3,10.7,127.7,334.1,1
1530152,10.4,14.3,124.6,250.8,0
1530153,12.4,17.9,119.2,232.1,0
1530154,16.2,7.0,59.9,116.1,1
1530155,13.0,17.8,162.1,310.6,1
1530156,10.4,6.7,89.5,325.1,0
1530157,14.3,9.7,133.2,261.4,1
1530158,15.7,7.7,176.0,334.5,1
1530159,8.2,1.0,128.1,254.1,1
1530160,18.6,6.8,125.1,100.2,0
1530161,16.0,11.9,101.1,370.4,0
1530162,3.0,19.0,146.4,211.8,1
1530163,13.7,16.6,63.3,217.0,0
1530164,10.4,16.9,109.6,454.3,0
1530165,2.9,13.7,133.4,243.1,1
1530166,13.8,14.1,124.7,319.8,0
1530167,17.7,8.6,121.0,242.0,0
1530168,9.7,8.0,189.9,287.2,1
1530169,14.2,18.3,62.6,286.8,1
1530170,13.7,6.3,170.1,62.3,1
1530171,15.0,7.1,181.4,109.7,1
1530172,10.5,9.4,101.8,150.3,0
1530173,16.4,15.9,150.9,285.6,1
1530174,2.7,6.9,117.6,363.5,0
1530175,9.6,14.2,68.3,166.5,0
1530176,7.8,9.5,141.9,246.1,1
1530177,3.5,12.8,100.8,294.1,1
1530178,20.4,12.1,124.8,225.3,1
1530179,9.8,15.7,82.2,154.3,0
1530180,16.6,16.0,113.1,177.7,0
1530181,16.8,14.7,151.6,362.3,1
1530182,14.9,14.8,102.9,138.6,1
1530183,5.8,13.0,90.8,336.3,0
1530184,5.4,13.5,112.1,336.7,1
1530185,19.1,4.7,183.3,278.8,1
1530186,12.4,11.0,116.0,321.9,0
1530187,20.4,13.3,144.1,117.6,0
1530188,10.8,10.9,94.4,212.6,0
1530189,8.2,11.1,133.4,272.3,0
1530190,6.3,10.5,148.3,296.3,0
1530191,10.9,13.9,103.6,353.8,0
1530192,19.2,15.5,106.7,233.9,0
1530193,12.8,4.2,128.1,312.6,0
1530194,5.5,2.8,30.0,290.0,0
1530195,12.6,19.9,149.1,247.7,1
1530196,13.1,11.0,123.0,308.1,0
1530197,2.4,16.8,130.4,227.7,1
1530198,7.5,4.5,131.6,266.2,0
1530199,1.0,4.0,138.2,58.6,1
1530200,9.9,12.8,110.3,228.4,0
1530201,13.7,9.1,60.6,287.2,1
1530202,7.0,16.8,122.7,222.8,1
1530203,14.1,6.9,133.2,245.8,0
1530204,5.6,9.5,125.9,290.6,0
1530205,7.7,13.9,192.3,111.0,1
1530206,6.9,21.1,147.4,142.5,1
1530207,8.1,11.5,102.1,328.1,0
1530208,13.6,15.2,109.7,296.3,0
1530209,13.8,5.1,56.4,104.7,0
1530210,23.3,12.7,90.1,104.8,0
1530211,6.3,15.7,87.0,368.6,0
1530212,1.0,2.4,94.7,107.9,0
1530213,12.0,20.1,108.2,169.6,1
1530214,15.4,17.9,110.1,418.6,1
1530215,2.5,14.4,117.8,289.9,1
1530216,13.5,5.2,133.7,229.0,1
1530217,11.9,17.9,133.7,260.4,1
1530218,2.2,13.1,107.2,352.9,0
1530219,14.9,10.5,59.8,167.4,0
1530220,6.1,11.2,118.5,203.5,1
1530221,21.7,13.7,106.7,313.9,0
1530222,12.9,11.2,118.9,164.5,1
1530223,8.9,4.1,132.9,293.9,1
1530224,1.0,8.1,117.6,258.3,1
1530225,17.3,19.9,94.1,312.9,0
1530226,13.6,21.1,67.6,94.4,0
1530227,10.3,12.0,105.2,359.5,1
1530228,15.0,28.5,126.7,328.3,1
1530229,17.3,10.2,130.7,281.8,1
1530230,8.7,12.4,136.3,374.4,1
1530231,12.8,11.3,64.9,158.6,0
1530232,16.6,15.6,109.9,339.9,1
1530233,17.8,9.1,93.6,259.1,0
1530234,12.8,10.6,95.7,303.7,1
1530235,11.6,9.6,143.9,219.3,0
1530236,22.2,3.9,73.1,232.2,0
1530237,9.4,10.7,173.4,283.6,1
1530238,11.4,10.5,80.6,235.8,0
1530239,7.0,13.7,139.3,122.6,1
1530240,15.7,7.2,84.4,319.4,0
1530241,2.8,1.0,99.9,177.4,0
1530242,6.6,18.6,116.8,357.7,1
1530243,12.2,11.1,99.9,156.4,0
1530244,12.2,13.4,171.6,227.4,1
1530245,4.9,3.1,76.7,315.0,1
1530246,5.1,14.0,113.1,386.7,0
1530247,5.6,16.0,118.2,244.9,1
1530248,15.4,4.1,131.9,136.2,0
1530249,16.6,15.9,111.7,481.9,0
1530250,4.8,12.9,124.6,442.6,1
1530251,18.6,15.7,130.9,211.3,1
1530252,10.1,14.9,96.4,370.3,0
1530253,10.1,10.2,128.5,282.1,1
1530254,6.8,13.1,80.1,292.0,0
1530255,3.7,12.0,49.7,236.2,1
1530256,11.8,13.5,142.7,183.6,1
1530257,13.8,2.7,141.0,270.2,0
1530258,8.5,18.2,89.1,11.5,0
1530259,5.2,,118.7,272.1,1
1530260,9.7,16.9,160.3,35.6,1
1530261,12.8,16.0,108.0,120.6,0
1530262,14.2,18.5,123.3,201.6,0
1530263,11.4,12.7,106.0,222.8,1
1530264,11.1,13.6,178.8,227.7,1
1530265,8.5,22.3,103.6,268.9,0
1530266,11.9,9.6,101.9,385.1,0
1530267,4.1,12.8,129.3,336.3,0
1530268,5.0,12.6,117.0,260.8,0
1530269,13.9,7.6,159.1,340.2,0
1530270,1.0,20.7,83.3,396.1,0
1530271,14.4,7.0,168.5,375.4,1
1530272,14.2,13.9,123.2,405.2,0
1530273,14.7,8.8,92.4,280.7,0
1530274,11.1,11.0,103.4,292.3,0
1530275,1.1,14.9,85.0,195.8,1
1530276,5.8,6.1,108.3,173.7,0
1530277,12.5,15.1,139.9,339.0,0
1530278,11.5,1.0,124.3,287.2,1
1530279,14.1,6.6,121.9,254.0,0
1530280,5.8,16.1,102.2,226.9,0
1530281,12.4,16.8,135.2,220.9,0
1530282,14.4,,123.3,273.8,1
1530283,9.7,12.2,151.9,221.9,1
1530284,17.9,15.8,144.3,249.1,0
1530285,10.1,19.9,99.4,333.2,1
1530286,9.2,13.1,116.2,372.5,0
1530287,10.6,8.7,142.1,185.9,1
1530288,10.6,14.0,140.6,290.6,1
1530289,18.8,12.9,110.9,371.5,0
1530290,15.6,9.6,102.2,260.8,0
1530291,13.2,9.2,122.8,329.2,0
1530292,14.6,11.4,111.2,260.4,0
1530293,15.7,8.3,116.5,272.0,0
1530294,21.9,12.9,112.4,319.6,1
1530295,17.7,6.7,100.9,236.8,0
1530296,14.3,22.4,55.1,268.1,0
1530297,8.8,9.9,70.8,291.1,1
1530298,16.3,14.7,133.0,212.2,0
1530299,16.6,7.8,127.6,292.2,0
1530300,3.8,4.8,143.6,247.3,1
1530301,8.7,1.0,143.6,307.7,1
1530302,11.6,17.6,108.3,59.9,1
1530303,9.6,17.8,128.4,96.0,0
1530304,16.2,8.7,114.4,253.2,1
1530305,3.9,6.8,144.5,317.3,1
1530306,16.4,20.4,98.3,340.1,0
1530307,18.6,15.3,119.4,146.2,1
1530308,17.2,14.3,97.4,184.4,0
1530309,9.1,1.8,76.4,239.4,1
1530310,18.3,17.6,159.0,352.7,1
1530311,6.6,20.1,83.0,322.4,0
1530312,19.6,14.9,155.0,262.5,1
1530313,16.6,12.3,113.2,253.1,0
1530314,18.3,14.8,148.9,201.4,1
1530315,16.6,20.5,130.8,363.3,1
1530316,10.6,9.9,156.0,421.3,1
1530317,12.2,21.2,131.8,249.5,0
1530318,11.7,14.9,133.6,316.8,1
1530319,9.6,16.1,162.9,320.6,1
1530320,18.1,9.9,91.2,309.8,0
1530321,1.0,9.2,116.2,188.6,0
1530322,12.6,9.7,116.3,331.5,1
1530323,16.2,12.9,35.6,453.6,0
1530324,22.9,19.9,153.5,187.0,1
1530325,12.3,17.1,161.7,74.5,1
1530326,12.5,19.5,163.6,315.9,1
1530327,6.1,12.0,110.6,245.4,0
1530328,6.6,,127.9,240.2,1
1530329,9.5,12.0,130.5,132.0,1
1530330,8.2,13.2,120.6,338.1,0
1530331,14.5,9.1,129.2,313.6,1
1530332,18.7,16.6,95.0,147.3,0
1530333,17.4,19.4,107.3,214.2,1
1530334,13.9,19.0,125.0,281.8,1
1530335,17.0,5.9,132.5,288.2,0
1530336,9.8,11.4,125.8,284.6,1
1530337,9.9,9.8,129.8,408.7,1
1530338,21.0,12.0,80.7,194.5,0
1530339,5.3,9.4,45.3,222.5,1
1530340,18.7,15.3,167.7,297.3,1
1530341,16.9,12.7,94.6,118.5,1
1530342,6.2,11.3,157.9,268.8,1
1530343,10.9,7.6,77.6,233.9,0
1530344,11.7,7.5,151.9,205.9,1
1530345,12.0,15.7,103.9,282.2,0
1530346,17.3,4.4,85.1,339.5,0
1530347,6.2,6.3,122.9,75.8,1
1530348,12.4,,20.0,258.5,0
1530349,17.0,8.2,91.9,200.3,1
1530350,10.4,8.2,155.2,467.1,1
1530351,8.1,17.1,143.2,176.1,1
1530352,12.6,9.2,138.9,305.5,0
1530353,17.4,10.7,124.5,366.2,0
1530354,17.3,15.2,126.4,56.0,0
1530355,8.7,9.4,167.8,175.6,1
1530356,4.5,12.7,100.4,263.6,1
1530357,7.9,3.1,167.0,236.8,1
1530358,6.4,4.3,140.7,194.2,0
1530359,13.3,15.0,59.2,258.9,0
1530360,15.9,12.0,154.9,350.1,1
1530361,12.4,10.1,144.2,300.2,1
1530362,17.7,17.3,133.0,303.1,1
1530363,3.2,3.2,92.7,221.4,0
1530364,11.9,10.8,115.3,136.2,0
1530365,14.0,10.4,97.9,188.3,0
1530366,9.9,11.6,143.0,345.2,1
1530367,14.2,15.5,149.8,194.1,0
1530368,18.3,17.9,127.4,275.1,1
1530369,9.2,20.3,145.1,282.0,0
1530370,7.8,16.3,145.0,219.5,1
1530371,2.8,4.5,161.7,409.3,0
1530372,10.1,13.9,128.4,246.1,1
1530373,14.6,14.3,143.9,226.9,0
1530374,12.5,7.1,134.6,312.9,1
1530375,14.9,20.2,109.3,226.5,0
1530376,13.5,11.0,197.0,227.3,1
1530377,15.0,15.3,145.9,240.9,0
1530378,2.0,1.0,102.2,203.5,0
1530379,7.2,3.4,93.7,413.9,0
1530380,8.7,1.0,140.5,274.0,1
1530381,1.5,17.4,81.9,313.9,0
1530382,1.7,6.6,127.4,336.8,0
1530383,11.8,10.5,125.2,279.1,1
1530384,13.1,15.7,108.9,260.8,0
1530385,2.3,16.0,137.6,364.2,0
1530386,10.7,7.1,108.9,215.4,1
1530387,8.3,9.7,102.0,275.6,0
1530388,14.9,6.3,114.1,150.5,1
1530389,23.4,5.0,148.2,222.6,1
1530390,2.4,9.1,75.9,337.9,0
1530391,18.5,10.9,115.4,306.3,0
1530392,8.9,14.9,103.3,308.6,1
1530393,19.6,8.7,116.1,340.9,0
1530394,6.2,23.3,99.2,155.0,1
1530395,10.5,21.0,141.0,96.6,0
1530396,3.5,5.9,150.8,123.1,1
1530397,8.8,10.3,173.7,213.6,1
1530398,11.9,9.7,141.4,258.0,1
1530399,17.3,13.6,186.1,226.9,0
1530400,18.4,4.8,142.2,123.9,0
1530401,8.0,10.1,81.3,166.9,0
1530402,12.1,10.1,138.9,185.0,1
1530403,8.4,17.2,134.9,362.1,1
1530404,16.5,14.6,114.1,200.1,1
1530405,15.8,7.8,93.5,178.0,0
1530406,22.0,1.8,168.6,145.5,1
1530407,16.9,7.7,163.7,180.1,1
1530408,14.3,13.1,106.3,220.4,0
1530409,18.4,17.4,86.7,221.2,0
1530410,1.0,6.4,147.5,288.8,1
1530411,15.8,13.0,139.4,334.5,0
1530412,5.7,17.6,114.0,222.3,0
1530413,11.3,9.5,96.7,219.6,0
1530414,11.7,16.6,111.1,298.4,0
1530415,8.5,13.6,191.8,153.0,1
1530416,3.3,5.5,162.1,243.6,1
1530417,18.2,12.6,150.5,370.5,1
1530418,11.3,11.4,86.7,265.8,1
1530419,2.0,19.0,139.7,209.7,1
1530420,9.6,13.3,137.1,268.9,1
1530421,15.9,8.2,79.6,195.5,1
1530422,13.0,12.4,144.8,300.1,1
1530423,14.5,,97.8,296.3,0
1530424,7.7,10.2,134.0,411.2,0
1530425,13.7,12.0,126.9,236.4,1
1530426,9.1,14.7,70.0,241.8,0
1530427,11.6,11.1,126.3,250.5,0
1530428,17.5,8.8,76.4,343.4,0
1530429,17.0,9.3,161.6,365.9,1
1530430,14.8,15.5,114.2,100.4,1
1530431,14.4,14.4,83.8,205.8,0
1530432,7.3,8.4,143.9,439.6,0
1530433,13.0,13.0,155.5,246.8,1
1530434,12.5,17.4,139.1,341.3,1
1530435,19.6,10.7,135.3,195.6,1
1530436,11.0,7.6,134.7,261.6,0
1530437,12.9,20.2,64.0,308.1,0
1530438,9.9,9.0,133.4,394.8,1
1530439,6.6,18.9,120.7,202.9,1
1530440,11.3,10.3,147.6,188.3,1
1530441,11.3,14.2,139.4,113.4,0
1530442,11.0,8.1,121.2,344.3,0
1530443,23.1,15.4,139.5,353.1,1
1530444,2.9,7.0,164.2,151.4,1
1530445,17.1,15.0,96.3,168.2,0
1530446,5.9,5.5,130.1,221.0,0
1530447,13.4,21.8,150.8,332.3,1
1530448,6.2,10.4,101.2,214.1,0
1530449,15.9,13.8,64.2,299.1,0
1530450,20.8,16.5,108.8,258.4,1
1530451,10.9,1.1,136.3,276.2,0
1530452,14.3,30.5,125.6,223.6,1
1530453,5.7,12.5,119.9,260.0,0
1530454,16.8,17.5,87.3,123.3,0
1530455,10.8,2.1,136.4,361.9,1
1530456,17.9,7.7,111.1,311.7,0
1530457,13.5,14.7,135.0,301.1,1
1530458,13.9,15.8,148.3,300.1,1
1530459,10.5,7.2,177.9,420.1,1
1530460,11.1,11.0,139.5,252.9,1
1530461,9.2,10.1,99.1,293.9,0
1530462,11.1,20.9,103.5,188.8,1
1530463,7.3,14.0,111.6,251.1,0
1530464,14.4,18.8,104.9,45.0,0
1530465,11.4,16.1,135.0,249.6,0
1530466,12.8,15.7,88.2,288.8,0
1530467,14.6,16.5,169.0,248.6,1
1530468,5.8,13.6,183.5,204.8,1
1530469,5.6,4.6,114.8,203.3,0
1530470,13.2,20.0,114.3,162.0,1
1530471,16.5,18.0,108.7,145.1,1
1530472,19.1,17.9,130.0,252.6,1
1530473,17.8,10.7,70.3,250.1,0
1530474,8.3,12.1,67.1,248.4,0
1530475,9.3,15.9,135.8,157.0,1
1530476,19.7,20.2,170.5,323.9,1
1530477,4.2,6.9,58.0,228.7,0
1530478,21.8,12.2,160.3,286.6,1
1530479,13.4,21.0,132.2,377.1,1
1530480,12.5,16.3,122.5,306.7,1
1530481,8.8,9.2,151.0,221.1,1
1530482,1.7,9.4,106.2,361.4,0
1530483,11.5,16.5,90.1,286.0,0
1530484,8.4,7.5,143.9,207.1,1
1530485,15.6,12.1,117.4,136.3,0
1530486,9.3,14.3,143.3,267.3,1
1530487,18.5,13.0,162.8,197.5,1
1530488,13.5,9.8,128.0,207.7,1
1530489,7.5,18.1,100.0,25.2,0
1530490,9.5,24.4,79.2,263.5,0
1530491,16.1,7.9,117.5,153.4,0
1530492,13.2,13.1,66.7,166.2,0
1530493,1.0,7.6,183.4,181.6,1
1530494,13.1,15.4,124.5,264.6,0
1530495,9.6,14.9,118.6,338.9,1
1530496,15.5,16.2,92.6,334.6,0
1530497,12.5,17.7,85.4,263.0,0
1530498,7.1,8.8,148.3,223.7,0
1530499,15.1,14.4,135.7,313.0,0
1530500,13.4,12.8,121.9,254.8,1
1530501,14.8,15.4,98.7,213.2,1
1530502,9.0,2.4,90.2,300.9,0
1530503,6.9,8.8,119.8,216.6,0
1530504,10.0,12.9,116.9,165.3,0
1530505,12.2,7.5,89.8,362.1,1
1530506,8.3,18.9,152.7,270.7,1
1530507,14.3,11.0,103.5,286.8,1
1530508,10.4,20.0,134.9,189.1,1
1530509,14.2,21.9,129.4,295.7,1
1530510,12.5,12.4,89.6,265.7,0
1530511,21.5,18.9,129.7,225.9,1
1530512,7.0,14.7,130.0,209.2,1
1530513,24.4,13.0,104.8,265.8,1
1530514,13.9,5.4,81.0,205.9,0
1530515,15.5,23.1,121.7,202.8,0
1530516,21.2,16.2,85.1,245.6,0
1530517,5.8,16.6,128.4,139.7,0
1530518,18.3,2.4,95.8,380.0,0
1530519,18.9,17.6,132.9,330.5,1
1530520,17.0,5.5,127.1,219.1,1
1530521,12.3,18.5,104.9,232.8,0
1530522,10.9,10.3,143.3,160.4,1
1530523,13.6,3.0,117.4,185.9,0
1530524,8.1,8.4,109.5,141.1,0
1530525,12.8,6.7,138.4,197.8,0
1530526,15.5,10.9,97.6,288.9,0
1530527,11.7,24.1,95.8,299.9,1
1530528,19.9,7.9,90.8,326.7,0
1530529,1.4,3.8,66.4,317.8,0
1530530,11.9,8.8,171.5,378.9,1
1530531,17.5,7.2,117.7,95.8,1
1530532,12.9,5.5,142.7,196.9,0
1530533,4.5,8.6,101.3,287.9,1
1530534,7.3,13.5,101.3,165.4,0
1530535,10.6,9.1,138.3,261.4,1
1530536,11.2,17.1,120.2,281.3,0
1530537,7.1,19.3,152.2,320.3,1
1530538,12.8,7.2,95.6,157.9,0
1530539,12.3,14.9,130.9,182.0,0
1530540,8.9,,167.1,226.9,1
1530541,10.8,19.7,127.7,205.0,1
1530542,10.1,11.3,61.1,170.7,0
1530543,10.1,13.3,89.2,181.0,1
1530544,12.1,10.7,57.6,281.9,0
1530545,8.8,7.0,134.5,349.8,0
1530546,12.2,7.0,90.6,242.1,1
1530547,17.9,16.9,103.8,198.2,0
1530548,8.7,18.0,100.1,276.4,0
1530549,15.2,7.4,108.8,213.6,0
1530550,16.2,8.4,109.1,326.0,0
1530551,23.0,9.3,149.1,254.7,0
1530552,10.4,13.2,80.1,207.2,0
1530553,20.9,7.5,115.6,187.6,0
1530554,15.2,15.9,111.8,225.8,1
1530555,5.4,14.6,100.4,252.7,0
1530556,12.3,23.1,149.2,169.6,1
1530557,21.2,10.9,154.6,297.2,1
1530558,20.9,7.2,113.1,271.6,1
1530559,5.4,12.8,133.2,337.3,1
1530560,15.6,19.7,126.0,261.0,1
1530561,5.3,15.9,134.9,238.4,0
1530562,8.9,5.7,119.1,276.6,1
1530563,15.7,15.0,141.7,233.3,0
1530564,10.1,9.4,108.7,316.4,1
1530565,8.8,11.2,85.1,257.3,0
1530566,14.6,16.4,103.7,179.9,0
1530567,5.5,9.8,93.8,207.5,0
1530568,8.7,17.5,152.9,188.7,1
1530569,6.9,10.6,108.1,291.5,1
1530570,3.4,13.6,84.9,113.6,0
1530571,7.6,8.0,146.5,217.0,0
1530572,14.3,19.6,144.7,405.8,1
1530573,8.2,11.5,118.1,210.6,1
1530574,14.8,16.8,97.6,165.0,0
1530575,20.8,15.1,106.1,336.2,0
1530576,6.2,17.9,122.1,365.9,1
1530577,5.3,1.0,93.9,105.0,0
1530578,12.9,11.6,182.0,115.6,1
1530579,11.9,20.0,111.7,226.8,0
1530580,7.9,6.6,122.6,407.6,1
1530581,11.3,12.2,93.7,158.9,0
1530582,5.9,15.1,121.0,76.2,1
1530583,10.8,9.8,126.1,107.0,0
1530584,11.1,14.2,166.7,316.4,0
1530585,18.2,2.9,101.6,317.5,0
1530586,1.9,,129.5,353.9,0
1530587,14.0,13.0,129.1,322.8,1
1530588,9.2,13.7,147.1,142.7,1
1530589,2.6,10.1,122.6,71.4,1
1530590,15.6,2.8,90.8,232.7,0
1530591,16.0,6.2,148.4,209.7,1
1530592,11.7,22.7,166.9,143.7,1
1530593,7.2,9.6,120.8,127.0,1
1530594,7.1,8.0,99.9,320.5,1
1530595,11.9,14.1,84.1,374.7,0
1530596,21.5,12.4,119.2,288.9,0
1530597,14.9,9.2,101.7,249.3,0
1530598,12.6,14.8,123.4,403.2,0
1530599,9.2,18.9,121.5,264.8,1
1530600,10.2,10.5,117.7,263.0,0
1530601,9.6,11.8,108.8,338.1,0
1530602,13.8,9.0,145.3,143.7,1
1530603,8.4,15.0,146.1,280.2,1
1530604,7.5,13.6,149.6,231.2,1
1530605,3.7,1.0,130.5,232.5,0
1530606,14.7,9.6,163.5,298.3,1
1530607,20.0,6.3,136.8,432.7,1
1530608,12.8,13.9,104.4,294.1,0
1530609,6.3,11.5,97.6,391.9,0
1530610,9.0,1.0,153.3,247.7,1
1530611,11.8,10.8,116.6,252.7,0
1530612,14.5,12.2,74.1,232.5,0
1530613,14.4,13.5,136.4,260.8,1
1530614,14.2,2.4,144.2,195.3,0
1530615,15.6,10.8,102.5,253.0,0
1530616,17.1,20.4,156.3,111.4,1
1530617,16.5,15.8,116.5,278.3,0
1530618,11.8,10.0,145.6,167.9,0
1530619,14.3,12.1,142.3,169.7,1
1530620,18.2,11.0,132.3,221.3,1
1530621,25.1,8.2,133.4,177.7,0
1530622,10.4,12.9,118.5,101.3,1
1530623,9.7,5.4,141.3,331.7,1
1530624,12.8,23.0,79.7,77.2,0
1530625,12.5,7.1,121.3,327.4,0
1530626,9.8,11.7,120.8,287.0,0
1530627,18.3,17.5,88.1,403.3,0
1530628,13.1,,121.5,302.4,0
1530629,11.2,12.8,116.2,324.7,1
1530630,5.2,2.3,80.4,366.5,0
1530631,14.8,10.6,138.0,296.8,1
1530632,11.7,11.3,139.4,350.6,0
