TeacherID,WeeklyOvertimeHours,ClassSize,AdminWorkSatisfaction,BurnoutIndex,TurnoverRisk
1770056,39.1,92.3,100.2,108.8,0
1770057,9.3,109.0,93.6,84.4,1
1770058,6.1,100.1,77.8,88.0,1
1770059,6.0,69.3,33.0,102.5,1
1770060,26.9,106.2,95.5,89.8,1
1770061,21.8,114.8,121.6,114.2,0
1770062,10.9,104.7,111.1,113.4,0
1770063,14.6,102.8,106.0,103.9,0
1770064,48.0,121.3,80.9,128.0,0
1770065,14.4,110.6,59.4,112.8,1
1770066,3.8,81.4,82.5,128.3,1
1770067,1.2,83.3,104.4,68.0,0
1770068,36.3,79.7,120.4,82.2,0
1770069,17.2,45.0,70.7,109.2,1
1770070,4.5,93.0,84.8,90.9,0
1770071,1.0,53.5,96.1,70.6,1
1770072,7.0,89.7,80.6,133.0,0
1770073,14.7,75.2,116.5,114.5,0
1770074,5.2,133.8,125.5,126.1,0
1770075,3.0,115.6,86.2,90.4,1
1770076,24.7,90.0,110.5,95.1,1
1770077,28.4,134.8,138.9,94.5,1
1770078,10.0,124.6,77.7,114.0,1
1770079,58.4,100.5,88.7,107.4,1
1770080,33.5,80.4,102.1,124.8,1
1770081,1.3,96.9,146.6,94.9,0
1770082,1.0,74.4,95.1,119.3,1
1770083,27.8,104.3,123.0,116.2,1
1770084,11.9,115.2,99.0,108.0,1
1770085,10.5,112.5,108.5,88.9,1
1770086,30.5,153.6,130.6,79.6,0
1770087,42.3,96.0,70.2,128.5,1
1770088,25.4,107.8,61.5,101.6,1
1770089,10.1,116.2,112.3,97.2,1
1770090,38.3,71.3,71.5,90.1,1
1770091,2.1,113.3,98.6,98.6,1
1770092,8.1,55.6,35.2,112.4,1
1770093,9.1,108.0,67.8,116.4,1
1770094,6.5,104.6,82.9,114.8,1
1770095,1.3,89.8,102.1,123.0,1
1770096,1.0,94.3,118.5,77.3,0
1770097,40.4,99.1,110.8,70.0,1
1770098,5.7,105.5,81.5,138.4,1
1770099,3.9,144.6,140.0,113.9,0
1770100,1.0,117.7,119.8,91.6,0
1770101,2.5,154.9,42.0,102.3,1
1770102,1.7,116.9,78.6,97.6,1
1770103,19.1,100.6,93.1,117.6,0
1770104,3.4,75.4,117.2,95.6,0
1770105,7.6,138.9,123.6,108.7,0
1770106,33.5,104.8,74.9,84.9,0
1770107,29.1,110.0,107.1,153.1,0
1770108,9.1,118.8,85.3,123.8,1
1770109,39.2,71.9,99.2,78.4,1
1770110,4.8,57.0,120.0,142.9,0
1770111,16.7,107.8,104.5,90.9,0
1770112,8.1,110.4,107.7,81.7,0
1770113,3.0,118.4,91.6,140.6,0
1770114,8.1,113.4,46.3,117.8,1
1770115,1.0,71.3,133.7,110.6,0
1770116,6.7,97.2,80.1,62.6,1
1770117,13.7,114.9,101.0,42.6,0
1770118,7.8,113.2,157.1,146.3,0
1770119,1.0,97.8,75.7,90.9,0
1770120,16.7,113.7,114.2,122.0,0
1770121,28.6,85.8,104.5,90.6,1
1770122,18.9,139.7,127.2,130.8,0
1770123,7.5,143.5,93.2,93.7,0
1770124,9.0,121.1,96.6,91.7,0
1770125,25.5,86.5,129.6,88.7,0
1770126,10.4,74.9,93.6,130.2,0
1770127,25.4,80.1,167.7,107.6,0
1770128,4.7,89.5,114.9,102.6,0
1770129,11.2,58.1,88.5,42.4,0
1770130,6.6,34.6,74.4,112.9,1
1770131,3.2,107.7,88.1,87.3,1
1770132,52.3,101.8,57.7,88.7,1
1770133,16.3,111.4,113.1,113.1,1
1770134,17.6,95.7,120.8,86.8,0
1770135,8.5,96.9,118.3,147.4,0
1770136,10.6,85.7,83.8,75.1,1
1770137,1.0,125.7,94.7,96.7,0
1770138,28.0,69.0,47.1,106.8,0
1770139,40.7,120.3,110.4,107.4,1
1770140,11.2,78.1,109.4,59.5,1
1770141,19.9,102.3,,118.9,1
1770142,11.6,59.7,134.7,107.6,1
1770143,4.0,119.1,86.8,86.4,0
1770144,13.6,139.0,147.6,95.4,0
1770145,8.3,78.0,137.0,46.8,0
1770146,23.0,77.0,96.5,51.2,1
1770147,5.1,121.5,71.5,119.6,1
1770148,19.4,74.0,106.4,146.2,0
1770149,2.1,111.5,86.2,121.7,0
1770150,26.7,115.9,145.2,91.5,0
1770151,6.1,111.9,94.6,132.2,0
1770152,13.8,107.1,141.3,101.1,0
1770153,4.0,67.3,108.0,137.2,1
1770154,2.3,77.1,111.2,105.8,0
1770155,1.9,67.3,144.5,67.4,0
1770156,1.6,109.4,109.8,103.0,0
1770157,1.4,73.1,50.9,94.4,1
1770158,9.7,105.9,90.4,112.6,1
1770159,6.0,120.4,75.2,79.0,1
1770160,22.8,64.5,91.2,81.2,1
1770161,8.4,117.2,138.7,78.3,0
1770162,1.9,98.5,44.8,61.6,0
1770163,23.6,89.3,123.0,94.1,0
1770164,1.0,103.3,90.0,132.2,1
1770165,15.9,109.8,134.7,67.2,0
1770166,6.5,91.3,122.8,126.3,0
1770167,11.1,116.4,123.2,113.5,0
1770168,1.0,114.6,78.2,121.1,1
1770169,3.8,128.6,75.3,85.1,1
1770170,33.2,81.8,55.3,102.0,1
1770171,5.5,106.5,86.3,41.7,0
1770172,25.0,117.5,88.1,100.0,1
1770173,1.0,148.0,105.1,130.0,0
1770174,9.1,74.4,91.5,126.3,1
1770175,4.0,54.6,104.5,109.2,0
1770176,23.7,82.1,132.4,110.6,0
1770177,20.9,85.0,48.3,103.4,1
1770178,92.8,131.5,109.4,122.0,1
1770179,6.6,86.0,117.0,93.5,1
1770180,24.2,82.7,133.0,122.7,0
1770181,17.6,104.3,75.7,113.0,1
1770182,9.6,90.7,85.9,104.3,0
1770183,4.3,114.6,116.6,144.5,0
1770184,6.7,113.8,86.5,106.8,1
1770185,3.6,84.8,97.8,80.9,1
1770186,2.3,100.5,83.2,112.7,0
1770187,1.0,85.0,76.4,82.0,1
1770188,16.4,113.1,128.5,91.0,0
1770189,9.3,111.4,73.6,114.7,1
1770190,24.7,88.4,70.7,123.3,1
1770191,2.1,108.3,87.7,121.3,0
1770192,8.1,86.1,133.7,96.6,0
1770193,28.4,130.5,70.6,133.9,1
1770194,2.2,69.4,121.9,123.3,0
1770195,5.2,93.1,88.0,96.5,0
1770196,7.0,107.8,118.0,77.9,0
1770197,41.0,88.8,96.0,138.4,1
1770198,25.2,110.3,80.1,94.7,1
1770199,15.0,65.2,99.3,106.8,0
1770200,8.4,109.1,106.0,58.9,0
1770201,2.6,41.7,128.0,43.4,1
1770202,51.2,65.7,87.7,105.9,1
1770203,5.1,81.1,117.3,122.1,0
1770204,1.0,114.4,91.0,139.8,1
1770205,7.2,58.0,120.8,106.8,0
1770206,6.0,80.2,85.3,144.5,1
1770207,7.2,104.6,80.8,60.7,1
1770208,11.6,58.6,102.4,120.9,1
1770209,1.5,59.8,112.9,80.0,0
1770210,22.1,100.8,86.2,124.9,1
1770211,14.7,104.7,121.7,99.1,0
1770212,87.8,103.4,126.9,142.2,0
1770213,3.0,50.9,146.0,72.5,0
1770214,10.9,114.4,89.0,137.4,1
1770215,24.0,123.4,106.0,99.3,1
1770216,17.5,88.9,54.9,77.9,1
1770217,1.0,107.8,76.1,98.6,1
1770218,2.1,75.2,85.5,56.5,0
1770219,61.1,84.7,74.1,66.9,1
1770220,21.9,115.3,136.1,92.7,1
1770221,3.5,78.1,73.6,76.4,1
1770222,2.1,136.6,79.0,116.5,1
1770223,52.1,77.2,113.8,82.0,1
1770224,1.2,88.2,116.6,83.8,0
1770225,2.2,92.6,86.2,90.3,1
1770226,8.3,104.0,93.4,45.8,0
1770227,2.4,110.3,158.0,100.4,0
1770228,94.9,143.0,129.6,50.7,1
1770229,37.2,97.7,144.4,91.6,0
1770230,10.5,110.6,57.7,112.1,1
1770231,8.9,93.0,105.8,119.9,0
1770232,12.8,93.2,123.2,99.8,1
1770233,3.4,110.5,106.8,128.9,0
1770234,5.2,118.1,86.7,113.4,0
1770235,1.0,135.6,74.1,111.4,1
1770236,45.0,110.1,135.4,94.4,0
1770237,21.6,65.7,134.3,108.0,0
1770238,3.0,114.2,103.4,110.7,0
1770239,2.0,149.8,128.8,42.8,0
1770240,16.5,126.2,72.7,173.6,1
1770241,14.2,59.3,114.4,129.0,0
1770242,6.3,44.9,111.3,108.5,0
1770243,6.2,132.0,,113.7,0
1770244,44.1,61.8,121.1,77.6,1
1770245,48.2,79.8,119.2,114.8,0
1770246,7.2,84.0,132.5,124.1,0
1770247,37.5,87.1,97.2,91.8,0
1770248,1.4,107.8,112.2,72.4,0
1770249,9.6,108.9,99.5,64.9,0
1770250,2.1,86.4,103.3,117.3,0
1770251,5.5,127.5,133.4,64.8,0
1770252,4.4,73.5,90.0,36.5,1
1770253,34.8,97.9,80.0,69.9,1
1770254,61.1,123.0,87.7,61.5,0
1770255,6.4,75.2,54.2,85.7,1
1770256,14.8,94.8,148.5,116.8,0
1770257,37.3,84.1,100.0,134.3,1
1770258,6.0,114.8,126.6,140.5,0
1770259,31.9,97.5,116.9,154.1,0
1770260,2.5,105.9,104.5,95.2,0
1770261,4.1,102.8,107.3,92.8,0
1770262,10.9,96.7,65.9,84.6,0
1770263,14.6,112.1,91.0,96.3,0
1770264,1.6,82.5,100.5,66.1,0
1770265,152.4,67.2,62.3,112.8,1
1770266,14.9,135.9,110.4,77.4,1
1770267,52.9,137.4,96.7,109.6,1
1770268,4.7,104.2,125.5,104.9,1
1770269,10.5,98.8,107.4,133.5,0
1770270,1.0,76.2,87.6,87.0,1
1770271,45.7,75.6,83.0,103.6,1
1770272,7.6,57.6,109.6,97.4,0
1770273,8.8,151.5,74.9,71.1,1
1770274,1.1,80.4,135.5,127.6,0
1770275,1.0,76.4,57.0,101.0,1
1770276,1.0,99.1,115.0,160.8,0
1770277,34.9,115.3,117.4,148.8,0
1770278,15.2,91.5,112.1,69.7,0
1770279,20.3,156.2,121.7,139.4,0
1770280,25.6,82.5,80.3,49.3,0
1770281,4.0,113.6,81.3,114.6,1
1770282,6.9,116.1,118.9,112.0,0
1770283,10.7,106.3,111.4,79.6,1
1770284,45.2,115.0,111.6,78.0,0
1770285,6.6,141.3,100.1,126.2,0
1770286,17.5,23.9,149.6,102.0,1
1770287,26.2,72.9,79.0,67.3,0
1770288,7.6,96.8,95.4,95.7,1
1770289,3.9,87.7,124.7,110.8,1
1770290,1.0,126.7,154.5,60.1,0
1770291,19.6,113.7,106.4,100.8,0
1770292,13.1,66.4,119.3,158.7,0
1770293,3.0,122.9,142.2,103.3,0
1770294,1.0,99.5,110.2,149.2,0
1770295,20.5,94.9,120.1,88.5,0
1770296,53.4,89.3,117.7,140.8,0
1770297,17.1,69.0,97.7,114.9,0
1770298,4.9,101.1,120.6,107.7,0
1770299,2.7,97.7,95.0,96.2,0
1770300,7.9,99.1,112.8,66.9,0
1770301,12.0,97.7,97.3,97.8,0
1770302,35.3,103.0,121.4,165.8,0
1770303,7.1,119.9,52.3,91.1,1
1770304,3.6,124.1,69.1,70.1,1
1770305,13.4,132.4,86.3,68.8,1
1770306,8.7,66.7,109.4,121.9,0
1770307,43.6,97.9,86.0,82.9,1
1770308,28.4,67.7,112.2,88.9,0
1770309,4.6,123.1,67.2,96.9,1
1770310,26.5,106.7,42.5,118.0,1
1770311,34.8,97.8,84.4,100.3,1
1770312,4.1,71.4,95.2,98.9,1
1770313,8.0,98.4,57.3,103.2,1
1770314,3.9,97.8,108.8,108.7,0
1770315,12.2,142.7,101.9,88.5,0
1770316,37.1,65.3,100.4,103.2,1
1770317,11.6,120.2,100.9,143.0,0
1770318,37.9,117.0,70.2,76.7,1
1770319,24.3,100.8,,100.8,0
1770320,5.8,102.2,73.9,93.1,1
1770321,1.3,95.7,67.5,65.2,1
1770322,25.1,137.3,103.8,98.7,0
1770323,33.1,149.0,84.5,85.2,1
1770324,10.2,72.8,,78.2,0
1770325,4.7,48.0,133.5,115.6,0
1770326,7.2,53.7,97.3,102.2,0
1770327,4.9,102.0,133.9,158.8,0
1770328,61.9,84.6,114.5,104.4,0
1770329,3.8,115.3,88.8,81.9,1
1770330,56.6,120.5,133.2,139.7,0
1770331,17.5,82.1,115.5,112.4,0
1770332,3.4,39.8,150.2,126.6,0
1770333,24.1,103.9,109.5,156.4,0
1770334,13.7,107.6,90.9,89.0,1
1770335,1.0,134.5,139.6,120.5,0
1770336,18.3,142.7,99.7,102.5,1
1770337,6.7,73.1,110.1,86.0,0
1770338,4.5,85.1,94.3,140.7,1
1770339,2.2,91.8,108.5,90.9,0
1770340,9.2,95.5,96.9,91.9,1
1770341,23.0,90.4,96.2,111.2,1
1770342,20.5,90.1,120.3,90.1,0
1770343,6.1,116.3,65.3,94.1,0
1770344,10.6,112.9,82.6,119.3,1
1770345,6.5,74.5,88.9,80.0,1
1770346,5.8,104.8,62.5,87.9,1
1770347,27.4,77.7,87.4,84.5,1
1770348,7.7,71.2,91.1,46.3,0
1770349,27.4,86.3,135.6,163.2,1
1770350,2.7,85.2,93.4,94.7,0
1770351,18.5,139.5,102.4,87.4,1
1770352,2.2,76.1,84.5,124.7,1
1770353,3.7,101.2,,90.3,1
1770354,41.9,54.6,66.4,144.4,0
1770355,2.7,114.8,107.7,53.2,0
1770356,3.9,111.2,85.6,65.3,1
1770357,24.2,86.1,98.5,149.9,0
1770358,21.7,114.6,125.2,135.5,0
1770359,5.5,111.6,100.9,91.4,1
1770360,37.4,92.5,128.1,92.5,0
1770361,127.9,159.4,105.0,64.9,1
1770362,3.3,104.3,105.7,98.7,0
1770363,1.0,116.1,102.3,112.9,1
1770364,1.6,114.2,89.5,92.7,0
1770365,25.9,56.0,118.7,93.4,0
1770366,35.0,89.9,100.1,96.9,1
1770367,63.6,113.3,102.1,101.5,1
1770368,2.1,83.2,101.2,79.6,0
1770369,16.0,96.2,52.5,99.9,1
1770370,12.9,86.3,110.0,120.1,0
1770371,26.0,86.2,92.9,149.2,1
1770372,1.0,111.6,75.1,116.6,1
1770373,11.2,90.0,136.2,105.6,0
1770374,30.9,140.2,74.2,64.2,1
1770375,18.1,118.8,95.6,86.4,1
1770376,21.3,91.3,99.4,82.4,1
1770377,1.3,102.3,104.5,51.1,1
1770378,7.4,149.5,64.2,97.0,1
1770379,40.9,144.0,89.0,85.4,0
1770380,8.4,94.9,73.6,144.6,1
1770381,3.4,118.4,102.5,192.1,1
1770382,6.6,101.0,111.3,81.6,0
1770383,5.4,103.9,63.8,77.2,1
1770384,8.9,34.7,134.5,68.0,0
1770385,8.7,72.6,113.4,105.2,0
1770386,3.4,139.0,107.5,141.0,0
1770387,16.8,134.6,122.4,126.6,0
1770388,7.5,138.7,131.5,116.6,0
1770389,21.9,114.3,92.3,92.0,1
1770390,1.9,135.3,76.2,103.8,1
1770391,3.2,83.7,50.6,48.8,0
1770392,1.0,107.7,83.7,123.9,0
1770393,5.2,71.0,91.9,66.7,1
1770394,21.8,82.7,124.8,122.7,1
1770395,8.7,108.1,124.7,73.0,1
1770396,38.4,109.9,147.3,88.5,0
1770397,4.2,67.4,106.5,67.4,1
1770398,6.2,62.1,135.6,85.2,0
1770399,47.3,125.4,73.9,93.1,1
1770400,9.2,126.0,136.7,82.6,0
1770401,1.9,100.0,114.9,121.1,0
1770402,22.2,100.7,118.9,116.7,1
1770403,1.0,78.5,124.6,74.3,0
1770404,7.5,100.3,25.8,125.4,1
1770405,11.5,124.6,,94.2,0
1770406,28.2,142.8,124.4,47.1,0
1770407,1.0,132.7,100.0,110.2,0
1770408,4.5,94.8,77.0,111.9,1
1770409,23.8,123.3,49.5,87.6,1
1770410,29.3,164.1,143.8,108.8,0
1770411,15.6,51.1,80.6,93.8,1
1770412,7.2,146.5,75.7,85.0,1
1770413,29.7,111.1,115.2,145.3,0
1770414,1.4,68.6,56.3,100.4,1
1770415,1.9,63.1,92.9,92.4,1
1770416,4.2,95.6,100.8,99.9,0
1770417,5.6,106.4,112.5,128.1,0
1770418,12.9,116.6,115.8,127.2,0
1770419,24.6,135.1,107.3,101.5,1
1770420,17.5,152.4,115.9,78.6,0
1770421,5.3,117.9,100.9,65.8,1
1770422,34.8,74.7,69.3,78.6,1
1770423,4.4,96.8,33.3,141.0,0
1770424,49.1,114.8,86.1,104.6,1
1770425,7.7,67.2,58.4,100.6,1
1770426,18.4,78.8,60.2,114.0,1
1770427,4.9,131.8,112.0,101.3,0
1770428,1.2,145.0,98.7,94.2,0
1770429,17.6,78.6,115.5,104.1,0
1770430,98.4,130.7,118.4,120.0,1
1770431,7.5,122.2,119.5,109.3,0
1770432,18.5,109.5,114.7,77.7,1
1770433,5.3,92.4,109.2,123.0,0
1770434,9.6,137.7,122.2,82.9,0
1770435,3.5,93.5,169.2,45.4,1
1770436,4.6,120.9,64.0,72.0,1
1770437,9.4,88.7,132.1,108.5,1
1770438,5.1,70.4,101.6,134.3,0
1770439,8.2,124.8,64.6,69.5,1
1770440,38.3,103.4,88.0,91.3,1
1770441,10.9,87.1,126.7,81.3,0
1770442,5.1,77.4,105.6,90.0,0
1770443,74.9,83.9,123.3,80.8,1
1770444,3.1,130.4,85.3,100.9,1
1770445,1.0,73.2,138.6,149.2,0
1770446,2.9,105.6,,107.7,0
1770447,30.4,84.4,51.3,91.7,1
1770448,16.4,47.3,101.8,69.2,1
1770449,3.4,119.4,119.2,96.1,0
1770450,18.9,137.2,92.5,81.0,1
1770451,5.5,93.2,131.3,119.5,0
1770452,10.6,106.4,144.2,125.1,0
1770453,56.1,83.1,85.7,95.4,1
1770454,80.6,103.7,130.1,104.9,0
1770455,20.5,104.5,110.3,130.2,0
1770456,29.4,84.5,42.3,113.1,1
1770457,1.0,85.9,123.6,70.3,0
1770458,7.3,104.9,54.7,74.1,1
1770459,24.6,110.2,111.9,114.2,0
1770460,8.6,89.7,109.4,112.9,0
1770461,11.2,96.7,104.4,131.7,0
1770462,38.9,97.9,83.4,91.9,1
1770463,33.4,104.6,97.4,112.7,1
1770464,19.2,86.2,122.1,79.4,0
1770465,26.8,110.5,109.9,111.9,1
1770466,13.6,118.1,101.9,88.4,0
1770467,17.4,52.3,71.5,109.9,1
1770468,27.5,112.8,61.8,82.3,0
1770469,2.3,111.7,104.3,101.5,1
1770470,57.5,69.9,123.3,107.3,0
1770471,58.9,110.9,61.1,103.4,1
1770472,1.1,69.2,93.3,95.3,0
1770473,45.6,84.7,124.1,79.9,1
1770474,6.7,101.1,121.7,102.8,1
1770475,4.7,145.5,148.7,112.2,0
1770476,12.2,133.7,81.4,70.2,1
1770477,10.4,101.1,109.3,126.8,1
1770478,6.9,78.5,89.1,96.6,0
1770479,55.1,73.0,113.0,126.3,1
1770480,7.2,72.8,117.1,73.1,1
1770481,3.6,134.4,77.4,79.6,1
1770482,2.9,124.6,94.8,75.4,0
1770483,14.6,83.7,120.3,97.4,1
1770484,18.6,59.1,121.6,102.9,0
1770485,5.7,125.8,94.8,112.2,0
1770486,3.1,135.5,89.5,89.4,0
1770487,22.0,95.3,105.2,87.2,1
1770488,24.0,103.1,104.7,113.7,0
1770489,1.7,67.8,77.2,103.5,1
1770490,18.6,150.0,89.5,131.0,0
1770491,8.8,56.8,97.8,131.6,0
1770492,2.3,106.2,138.7,110.0,0
1770493,10.5,101.1,101.1,80.3,0
1770494,75.1,100.6,89.0,109.3,1
1770495,9.7,108.5,97.5,101.5,0
1770496,9.5,141.9,105.4,109.6,0
1770497,1.1,122.9,89.5,91.0,0
1770498,1.0,106.2,112.2,80.7,0
1770499,13.9,90.1,71.4,104.3,0
1770500,7.5,39.7,116.3,108.8,0
1770501,95.8,87.8,,121.4,1
1770502,1.7,76.3,85.2,63.9,0
1770503,2.3,83.8,91.7,107.7,1
1770504,4.6,106.2,11.6,92.6,1
1770505,36.3,94.3,119.9,129.6,0
1770506,24.8,88.4,115.1,58.1,0
1770507,2.1,81.8,58.8,89.0,1
1770508,4.0,147.3,64.4,123.4,1
1770509,52.9,91.8,79.8,74.7,1
1770510,2.4,112.6,93.1,185.7,1
1770511,1.0,101.1,57.0,88.7,1
1770512,9.2,120.9,93.1,77.4,1
1770513,6.6,96.0,108.4,55.9,0
1770514,42.3,74.7,112.7,104.7,1
1770515,3.9,128.6,71.2,107.0,1
1770516,11.7,104.9,71.9,89.5,0
1770517,25.2,81.9,96.9,120.8,1
1770518,4.7,108.1,79.6,82.7,1
1770519,2.7,78.4,93.7,98.5,0
1770520,14.4,158.9,89.2,124.8,1
1770521,47.6,118.8,120.7,92.4,1
1770522,17.8,119.9,33.4,108.7,0
1770523,2.8,132.0,97.7,67.6,1
1770524,32.9,91.8,133.9,81.4,1
1770525,2.8,108.3,104.0,126.2,0
1770526,1.0,106.5,69.5,78.3,1
1770527,9.6,93.9,70.0,112.7,0
1770528,23.7,122.9,96.3,131.1,0
1770529,41.8,95.5,111.6,103.6,0
1770530,24.7,104.8,70.2,101.6,1
1770531,17.0,95.1,86.5,94.3,1
1770532,7.7,145.7,101.4,90.0,0
1770533,1.0,123.9,111.4,86.5,0
1770534,18.9,118.0,143.4,106.0,0
1770535,1.0,86.6,174.0,113.2,0
1770536,35.2,129.8,127.5,119.8,0
1770537,13.7,122.4,68.0,84.5,1
1770538,1.0,91.1,94.8,74.4,0
1770539,18.7,87.3,89.1,65.7,1
1770540,6.1,86.2,127.5,110.6,1
1770541,43.4,83.3,90.5,126.5,1
1770542,18.8,78.8,85.3,72.1,0
1770543,8.2,129.9,89.8,104.0,0
1770544,18.2,89.4,101.5,72.6,1
1770545,20.1,143.8,112.1,133.7,0
1770546,33.9,129.8,110.3,90.1,1
1770547,24.3,114.4,109.2,151.8,0
1770548,7.8,55.0,77.2,84.6,1
1770549,7.6,68.4,56.2,103.1,1
1770550,4.0,92.9,108.0,61.2,1
1770551,4.5,59.1,101.1,145.6,0
1770552,1.1,152.9,119.8,96.0,0
1770553,14.0,82.9,123.0,99.6,1
1770554,28.8,53.2,135.9,92.0,0
1770555,4.5,100.9,59.9,113.0,1
1770556,11.1,87.1,120.8,111.0,0
1770557,20.2,135.4,75.5,77.0,0
1770558,6.8,112.8,100.2,82.9,0
1770559,86.0,97.8,78.5,105.3,1
1770560,45.8,121.2,55.1,69.0,1
1770561,8.1,101.4,73.4,41.0,1
1770562,5.7,127.1,97.9,60.8,0
1770563,1.0,106.5,89.4,131.3,0
1770564,6.2,106.9,30.5,82.9,1
1770565,1.0,89.4,55.6,127.2,1
1770566,1.0,91.1,97.2,97.3,1
1770567,21.3,136.5,81.8,122.8,1
1770568,16.1,124.8,75.6,146.1,1
1770569,11.9,78.3,87.6,106.9,0
1770570,4.7,111.0,122.2,115.1,0
1770571,3.0,63.4,84.3,64.8,1
1770572,3.7,46.6,100.6,105.0,1
1770573,13.4,78.4,124.4,106.2,0
1770574,1.8,124.3,149.0,137.4,0
1770575,12.6,77.7,116.5,92.9,0
1770576,8.2,110.0,77.2,109.6,1
1770577,24.2,112.0,116.2,111.2,0
1770578,11.9,125.1,146.2,98.1,0
1770579,2.3,69.4,82.1,130.7,1
1770580,15.2,107.7,105.8,99.8,0
1770581,22.9,135.9,107.8,74.9,1
1770582,52.5,86.9,28.8,85.2,1
1770583,7.9,50.7,35.8,114.1,1
1770584,12.8,111.1,74.9,90.2,0
1770585,1.0,78.4,109.6,93.7,0
1770586,13.7,77.5,77.1,91.8,0
1770587,3.3,108.5,102.5,134.9,0
1770588,1.0,61.5,88.9,107.0,0
1770589,26.2,89.3,105.5,90.5,1
1770590,50.5,103.7,131.7,159.7,0
1770591,68.1,88.0,93.9,100.4,1
1770592,24.9,90.5,88.2,111.8,1
1770593,43.8,72.2,97.4,97.1,1
1770594,11.9,99.7,121.4,95.6,0
1770595,3.9,90.7,104.1,116.4,1
1770596,54.6,30.7,102.3,113.8,1
1770597,32.1,55.6,73.6,92.0,0
1770598,39.0,114.5,99.7,43.4,1
1770599,24.0,121.1,94.0,115.7,1
1770600,8.3,102.8,53.3,74.5,0
1770601,44.0,65.9,99.8,95.4,0
1770602,6.8,87.4,115.4,73.2,1
1770603,1.0,132.2,85.0,82.7,1
1770604,4.5,102.6,61.2,110.2,1
1770605,4.5,134.4,94.0,103.7,0
1770606,17.5,48.7,75.5,114.1,1
1770607,19.3,100.6,89.1,118.8,1
1770608,13.6,113.3,94.9,134.9,1
1770609,7.0,89.5,95.0,142.3,1
1770610,14.6,98.7,103.1,85.5,1
1770611,6.2,111.5,110.9,92.8,1
1770612,18.5,100.6,125.8,97.2,0
1770613,5.0,88.5,85.4,115.4,1
1770614,5.3,107.2,96.6,84.2,1
1770615,2.9,77.4,110.9,82.2,1
1770616,4.4,72.7,109.6,122.2,0
1770617,6.1,89.6,96.0,61.9,1
1770618,16.7,92.6,122.3,137.7,0
1770619,19.5,64.3,109.3,55.6,0
1770620,6.5,115.9,116.7,153.1,0
1770621,1.0,121.3,167.8,108.1,0
1770622,8.0,81.8,168.5,71.7,0
1770623,2.8,131.2,49.0,146.9,1
1770624,1.8,91.7,115.9,109.3,0
1770625,6.2,129.5,76.8,96.7,1
1770626,28.0,86.7,93.2,105.5,1
1770627,1.0,123.5,153.6,115.7,1
1770628,24.9,99.4,64.5,94.5,1
1770629,10.2,91.5,144.5,113.0,0
1770630,22.7,79.8,70.7,142.0,1
1770631,5.5,64.3,91.1,90.5,0
1770632,1.0,119.8,110.7,87.9,0
