SensorID,TrainSpeedKmh,VibrationDecibel,DistanceToTrack_Meters,FrequencyHz,StructureSafetyLevel
1600148,12.1,42.8,5.4,112.9,84.2
1600149,9.7,40.7,7.6,130.2,130.7
1600150,4.9,44.4,2.9,97.0,63.7
1600151,16.3,41.7,11.5,115.6,100.1
1600152,13.9,45.7,2.9,117.3,105.9
1600153,19.5,36.8,2.1,107.2,111.5
1600154,14.2,44.8,0.1,147.5,93.0
1600155,6.1,47.2,2.2,100.7,92.2
1600156,19.1,22.9,2.2,119.2,92.0
1600157,18.0,47.7,2.6,91.7,94.2
1600158,17.5,48.5,11.5,132.5,66.9
1600159,12.0,30.8,20.7,134.3,116.0
1600160,9.1,41.6,4.7,128.3,77.8
1600161,14.8,61.8,1.4,75.8,118.8
1600162,11.5,44.5,1.9,92.4,86.5
1600163,13.1,33.9,11.4,87.3,80.9
1600164,12.2,52.4,0.4,95.1,85.8
1600165,1.7,60.7,6.4,100.5,103.2
1600166,15.7,,4.6,77.1,132.6
1600167,13.3,54.5,22.0,125.3,78.8
1600168,10.4,56.9,8.5,65.0,103.1
1600169,12.4,49.1,13.5,55.1,65.3
1600170,19.4,50.4,7.2,117.0,89.0
1600171,19.0,29.6,18.0,57.3,88.8
1600172,20.6,39.9,7.2,158.1,152.6
1600173,16.6,42.4,7.9,83.6,111.4
1600174,17.2,23.9,39.4,123.0,90.2
1600175,12.6,44.9,5.5,118.7,91.1
1600176,15.6,43.4,1.6,101.7,93.1
1600177,20.6,54.3,1.5,96.1,129.3
1600178,4.1,61.5,0.1,79.4,70.6
1600179,4.9,46.7,26.1,128.9,92.0
1600180,13.4,28.9,15.5,122.9,118.0
1600181,17.3,35.5,3.3,87.2,152.7
1600182,15.7,31.7,22.5,91.7,108.6
1600183,14.8,72.6,6.0,118.2,126.0
1600184,13.6,37.5,6.0,103.5,117.0
1600185,11.6,45.2,4.6,138.4,93.4
1600186,8.2,45.1,12.4,92.3,70.7
1600187,15.2,61.3,0.8,140.5,74.8
1600188,15.0,,0.8,122.9,118.9
1600189,17.3,66.4,11.3,98.7,77.9
1600190,9.6,37.1,8.4,114.3,128.7
1600191,9.7,62.3,5.6,104.6,98.5
1600192,6.0,48.1,4.4,17.2,110.0
1600193,20.1,0.0,2.0,111.6,81.1
1600194,14.2,18.8,5.6,106.3,24.2
1600195,11.0,80.1,7.3,133.5,85.8
1600196,12.7,53.2,4.9,147.1,113.1
1600197,9.1,53.1,4.0,79.2,87.5
1600198,15.7,42.2,1.4,74.6,116.7
1600199,5.9,59.6,8.8,128.8,101.5
1600200,12.3,37.1,1.6,88.9,93.3
1600201,14.3,36.3,5.7,73.8,83.1
1600202,8.2,40.9,1.9,80.4,127.2
1600203,8.9,68.8,10.1,126.6,111.6
1600204,12.1,52.5,2.0,70.4,117.4
1600205,12.0,43.2,0.8,100.0,117.6
1600206,5.3,71.3,12.4,110.6,110.5
1600207,12.4,38.3,12.4,117.7,136.7
1600208,4.8,53.1,3.5,84.7,103.0
1600209,12.0,42.1,8.4,105.5,114.2
1600210,17.7,46.5,1.1,86.6,100.4
1600211,18.7,44.5,17.4,107.4,80.4
1600212,16.3,60.8,6.3,139.3,84.7
1600213,17.4,57.6,3.6,78.2,82.1
1600214,9.0,38.5,32.3,110.9,85.3
1600215,19.8,34.5,19.9,136.2,72.7
1600216,9.0,51.4,10.3,96.9,102.5
1600217,12.3,56.1,19.4,85.1,129.4
1600218,4.5,33.4,3.2,148.3,54.8
1600219,15.8,47.8,18.5,119.9,88.8
1600220,7.1,11.3,2.5,73.0,88.6
1600221,9.3,65.5,8.3,108.8,81.5
1600222,8.1,49.5,13.1,109.5,113.5
1600223,5.8,66.2,2.3,91.9,80.6
1600224,12.3,39.8,9.2,35.6,107.5
1600225,5.3,45.7,14.1,101.8,110.2
1600226,11.4,49.8,8.1,107.8,124.6
1600227,11.4,33.6,3.9,119.9,94.3
1600228,9.5,45.1,19.2,77.5,129.5
1600229,11.9,48.5,22.0,104.0,111.8
1600230,16.0,34.4,15.0,104.5,74.9
1600231,12.8,87.7,0.3,88.2,108.4
1600232,11.8,62.7,33.1,103.1,103.9
1600233,6.3,41.8,3.5,96.3,72.1
1600234,17.3,38.2,6.5,102.9,111.3
1600235,10.9,46.7,2.2,85.6,104.4
1600236,6.0,71.8,21.6,101.5,63.9
1600237,10.9,57.4,6.4,61.2,89.3
1600238,1.0,34.4,6.8,113.0,149.2
1600239,14.0,32.2,12.8,81.6,101.5
1600240,14.2,44.0,3.3,106.0,121.1
1600241,11.0,45.5,7.9,88.4,45.2
1600242,15.3,59.2,24.3,95.2,109.9
1600243,15.8,67.5,4.3,71.7,73.8
1600244,14.3,45.6,7.6,55.0,123.0
1600245,16.2,,11.8,67.2,68.3
1600246,13.1,56.6,10.6,79.9,77.4
1600247,9.6,59.8,11.1,110.6,105.3
1600248,10.9,37.6,12.2,140.2,108.4
1600249,11.7,42.4,3.2,70.0,63.0
1600250,14.1,36.4,9.5,102.9,81.0
1600251,7.8,66.5,1.7,67.3,63.9
1600252,10.5,52.9,6.8,108.9,130.7
1600253,1.0,80.0,5.7,100.8,142.8
1600254,19.9,27.2,7.4,132.1,105.6
1600255,4.1,71.2,1.8,66.6,100.5
1600256,9.3,24.5,7.4,128.4,108.4
1600257,11.1,37.9,3.1,79.7,95.1
1600258,13.9,39.4,5.7,96.8,55.9
1600259,16.5,31.9,3.8,131.5,124.7
1600260,3.5,63.7,6.0,60.6,96.8
1600261,8.7,71.4,10.5,75.8,65.9
1600262,13.7,29.4,1.1,125.6,96.4
1600263,4.4,19.3,7.3,112.4,119.8
1600264,6.5,37.6,6.2,91.5,73.0
1600265,11.1,60.6,2.9,84.2,87.2
1600266,1.8,37.4,1.5,78.6,86.0
1600267,11.4,48.7,10.1,88.7,104.2
1600268,6.4,79.9,6.5,122.4,114.8
1600269,12.2,39.6,4.6,119.8,91.6
1600270,13.1,67.4,24.4,85.2,138.3
1600271,14.8,11.6,2.5,88.3,113.4
1600272,20.5,33.6,5.7,94.5,87.6
1600273,10.0,45.2,1.4,92.1,118.6
1600274,14.2,25.0,2.1,81.7,156.1
1600275,11.6,60.0,10.1,82.8,97.3
1600276,15.4,77.3,7.9,99.2,124.9
1600277,14.4,27.2,12.2,71.7,87.4
1600278,1.9,45.8,11.6,130.7,77.5
1600279,15.1,49.4,7.8,66.4,91.1
1600280,11.0,74.6,2.6,88.5,77.4
1600281,16.3,60.0,12.5,80.5,95.0
1600282,20.8,25.8,3.2,71.8,86.2
1600283,17.5,81.7,8.4,113.3,102.6
1600284,14.3,27.5,1.8,52.1,102.5
1600285,2.9,52.6,21.9,97.7,65.3
1600286,14.3,21.2,3.4,142.4,104.6
1600287,16.7,56.4,7.9,63.0,110.1
1600288,14.5,11.5,0.6,105.2,122.7
1600289,9.8,51.1,2.6,89.9,81.1
1600290,18.7,51.5,1.1,92.2,63.0
1600291,8.7,45.1,7.4,107.5,137.7
1600292,17.4,20.0,1.6,122.5,139.4
1600293,8.1,58.6,2.5,125.8,95.8
1600294,13.3,17.6,0.6,99.1,125.6
1600295,4.8,40.0,4.3,88.0,66.3
1600296,16.4,36.2,5.7,119.2,69.4
1600297,18.3,77.0,0.3,87.0,119.6
1600298,13.1,36.8,13.0,136.4,83.4
1600299,6.9,29.3,2.4,105.2,49.5
1600300,12.6,40.2,35.9,134.5,82.0
1600301,24.1,47.7,7.3,94.7,70.1
1600302,11.8,71.6,2.6,83.5,79.0
1600303,7.5,42.4,3.4,35.6,89.8
1600304,14.8,65.8,6.7,120.2,54.3
1600305,11.0,62.8,22.4,78.9,107.9
1600306,19.8,61.7,1.2,96.0,105.8
1600307,15.0,20.4,14.7,91.3,93.6
1600308,15.5,41.2,0.5,87.4,84.4
1600309,13.5,38.1,11.7,89.2,69.7
1600310,20.9,33.6,5.1,145.7,126.1
1600311,16.9,53.0,4.5,134.4,55.0
1600312,12.0,,14.3,104.9,135.5
1600313,16.6,66.4,5.7,119.3,108.4
1600314,14.4,46.6,0.3,84.4,81.2
1600315,10.6,,4.1,151.8,86.4
1600316,14.2,29.0,6.9,90.3,105.0
1600317,17.4,35.8,12.5,102.7,79.6
1600318,12.9,39.0,6.0,102.8,86.0
1600319,19.4,52.1,16.8,117.5,130.6
1600320,14.1,55.4,1.5,50.7,124.1
1600321,17.0,74.1,12.2,93.0,85.6
1600322,17.3,42.7,5.3,95.4,105.1
1600323,12.7,50.5,0.1,87.8,78.5
1600324,3.4,45.5,18.5,104.2,77.6
1600325,4.2,46.1,5.3,88.1,95.3
1600326,20.2,56.8,2.9,84.3,117.6
1600327,16.5,,0.6,152.5,37.7
1600328,4.3,47.1,7.2,87.1,93.2
1600329,18.4,54.3,4.2,99.2,39.5
1600330,8.6,74.0,0.7,138.4,30.8
1600331,24.9,37.1,18.9,105.2,77.8
1600332,10.1,62.0,4.9,57.2,88.0
1600333,5.1,25.9,6.5,88.8,93.4
1600334,1.0,30.5,11.1,103.0,76.7
1600335,10.8,51.3,2.7,110.1,99.1
1600336,12.1,73.2,1.3,94.0,143.3
1600337,10.7,45.5,13.3,114.9,112.7
1600338,7.4,23.3,0.6,113.8,94.7
1600339,7.7,66.5,2.1,66.5,87.5
1600340,22.2,46.9,1.1,100.6,107.6
1600341,9.2,42.6,44.2,82.9,83.6
1600342,9.9,49.0,7.0,112.9,119.2
1600343,16.1,60.2,14.1,104.0,90.4
1600344,11.9,60.6,7.7,66.2,137.7
1600345,7.4,52.2,18.2,77.1,83.7
1600346,21.0,55.3,9.4,93.6,103.1
1600347,7.8,54.3,4.3,115.1,136.3
1600348,19.5,43.5,1.2,134.3,101.2
1600349,8.4,79.6,1.0,146.6,135.0
1600350,15.2,60.5,0.4,63.1,124.7
1600351,14.0,58.0,4.6,83.7,101.9
1600352,3.1,35.1,3.7,133.9,82.6
1600353,15.7,34.6,6.1,140.5,117.1
1600354,9.6,47.7,13.6,47.1,121.6
1600355,21.6,29.9,23.0,92.4,115.0
1600356,8.3,48.8,30.3,122.9,87.8
1600357,17.7,69.0,22.5,107.9,127.5
1600358,17.8,33.3,3.3,95.9,144.7
1600359,3.2,21.9,3.7,136.1,91.9
1600360,18.0,53.7,10.5,104.2,63.8
1600361,15.9,46.4,11.8,92.7,162.5
1600362,7.6,36.7,4.2,87.8,51.5
1600363,11.2,55.0,4.2,135.0,73.8
1600364,17.0,35.2,12.6,82.7,144.9
1600365,12.8,51.0,2.5,118.9,97.6
1600366,11.2,41.0,4.5,122.7,75.7
1600367,12.0,27.4,9.5,21.1,92.3
1600368,6.5,42.2,10.8,101.3,91.0
1600369,13.7,35.0,8.1,119.1,75.7
1600370,5.7,74.6,1.2,58.7,122.1
1600371,17.4,18.2,5.1,127.4,122.1
1600372,12.6,28.6,9.8,128.1,103.5
1600373,22.7,48.4,4.9,86.8,48.7
1600374,12.2,59.0,3.6,83.2,138.1
1600375,13.9,43.5,10.6,70.4,118.9
1600376,12.2,39.0,11.5,109.9,80.3
1600377,10.2,35.1,3.6,109.2,105.0
1600378,11.0,44.8,0.4,42.7,91.9
1600379,9.9,55.9,6.2,96.3,127.8
1600380,10.5,28.6,0.6,101.8,70.1
1600381,11.6,56.4,6.5,87.5,94.8
1600382,4.0,53.8,10.6,93.4,96.9
1600383,4.5,49.0,0.9,139.5,104.3
1600384,14.5,41.2,6.4,145.4,82.0
1600385,14.7,13.5,2.7,88.8,92.3
1600386,18.9,23.1,8.0,101.6,95.2
1600387,9.6,37.5,16.4,89.0,150.2
1600388,8.0,53.9,11.2,110.7,134.0
1600389,19.6,53.5,20.4,85.7,129.3
1600390,12.4,74.0,6.1,78.9,115.0
1600391,11.6,31.2,6.4,108.8,67.9
1600392,6.6,52.1,0.5,101.6,95.0
1600393,16.2,48.7,8.9,101.0,96.8
1600394,21.2,31.7,11.8,86.0,110.6
1600395,8.5,30.1,10.5,105.2,72.7
1600396,20.0,46.1,9.2,111.4,135.3
1600397,12.0,64.2,20.4,108.8,95.0
1600398,7.3,32.8,1.0,142.7,102.5
1600399,13.4,49.1,4.0,115.9,63.7
1600400,15.1,37.0,5.7,131.2,122.6
1600401,7.0,29.9,5.4,133.8,100.8
1600402,11.9,40.9,1.2,111.9,106.1
1600403,11.5,17.0,15.6,135.1,108.1
1600404,14.2,56.7,3.3,149.9,113.8
1600405,12.2,69.7,7.6,118.0,144.3
1600406,4.9,,22.5,80.0,100.6
1600407,12.1,60.3,0.7,85.2,109.6
1600408,12.0,28.0,6.6,108.3,99.6
1600409,8.5,65.2,8.6,101.9,92.9
1600410,16.2,24.3,11.6,120.8,105.9
1600411,21.8,31.9,20.3,112.7,69.6
1600412,8.4,49.8,1.1,115.4,105.9
1600413,14.8,19.8,4.6,90.5,97.4
1600414,15.6,34.5,1.3,74.4,87.2
1600415,17.2,35.5,2.3,83.6,41.9
1600416,9.3,29.6,15.9,72.6,139.4
1600417,8.2,51.4,1.4,125.6,77.6
1600418,18.6,29.3,1.2,144.7,61.1
1600419,19.8,27.3,15.9,107.4,93.3
1600420,12.1,34.3,0.2,87.2,122.7
1600421,14.3,34.9,3.9,62.1,76.6
1600422,21.1,54.7,7.4,150.7,138.6
1600423,3.7,40.5,0.1,102.1,96.8
1600424,9.9,58.6,8.6,146.8,71.9
1600425,15.0,35.1,14.7,96.1,107.8
1600426,18.4,47.7,12.5,110.3,104.3
1600427,4.2,10.4,0.7,104.6,78.5
1600428,7.9,74.4,21.0,68.6,102.9
1600429,8.7,15.2,4.1,101.9,153.7
1600430,6.0,67.5,9.7,67.7,66.5
1600431,18.8,36.7,25.0,118.8,52.7
1600432,12.8,20.9,5.1,119.3,62.8
1600433,18.2,34.7,1.2,96.8,159.0
1600434,14.3,35.0,3.6,111.4,37.7
1600435,10.5,41.8,2.0,101.1,121.7
1600436,14.4,75.1,5.9,89.6,65.6
1600437,12.0,35.8,21.8,131.2,108.8
1600438,12.5,,17.2,112.8,72.0
1600439,1.0,30.6,0.2,118.1,98.3
1600440,12.9,61.4,27.8,122.1,92.9
1600441,6.8,41.4,4.8,96.3,114.7
1600442,20.2,25.4,12.7,79.5,60.1
1600443,11.1,39.5,11.7,72.6,116.2
1600444,3.7,71.8,7.1,107.5,98.5
1600445,19.3,58.6,0.8,122.8,137.6
1600446,6.4,30.9,1.0,115.6,114.9
1600447,16.0,56.5,4.3,135.1,136.6
1600448,13.8,71.3,0.5,97.3,129.5
1600449,5.4,42.4,35.0,101.9,89.3
1600450,10.3,73.6,0.5,91.1,100.2
1600451,15.1,57.7,11.3,92.4,114.0
1600452,8.0,77.2,6.9,75.4,110.4
1600453,13.1,67.3,0.7,95.7,166.7
1600454,12.8,56.9,3.0,67.4,90.6
1600455,14.8,56.1,14.7,79.0,34.4
1600456,15.9,34.3,5.5,73.4,130.5
1600457,15.0,27.5,1.1,113.0,124.8
1600458,9.8,62.5,10.2,110.1,51.8
1600459,9.6,48.9,6.6,98.3,135.2
1600460,17.5,46.4,1.1,130.8,133.3
1600461,13.7,71.2,1.8,95.8,100.5
1600462,11.3,59.1,9.7,87.5,109.6
1600463,6.2,69.2,2.4,53.0,104.4
1600464,15.4,32.9,0.9,111.0,80.7
1600465,9.7,53.6,3.0,122.8,154.0
1600466,18.0,50.8,7.7,118.0,134.9
1600467,13.9,43.1,3.6,110.9,86.2
1600468,11.4,14.8,10.3,111.2,119.6
1600469,17.9,65.4,8.1,98.1,98.7
1600470,19.6,62.6,9.8,119.6,61.8
1600471,9.0,42.1,1.2,122.1,122.6
1600472,22.8,59.9,2.4,94.9,82.1
1600473,11.3,36.1,22.6,39.6,81.3
1600474,17.3,17.0,47.4,105.2,111.6
1600475,8.9,63.5,21.4,105.9,117.8
1600476,18.8,52.5,7.4,142.4,91.2
1600477,16.4,56.2,13.1,92.5,153.6
1600478,13.9,37.2,10.5,58.6,97.9
1600479,5.6,50.3,0.4,112.1,73.7
1600480,10.8,36.7,0.3,77.7,96.9
1600481,19.8,49.1,12.3,88.0,91.5
1600482,17.6,55.9,1.5,99.3,111.2
1600483,19.3,63.3,10.5,130.0,96.7
1600484,16.9,34.7,1.7,102.8,107.3
1600485,18.1,24.4,0.8,96.9,170.7
1600486,19.4,21.4,15.7,84.7,138.3
1600487,21.8,15.9,0.5,126.8,106.7
1600488,16.3,42.2,5.1,139.6,135.1
1600489,10.4,56.6,9.3,98.0,83.7
1600490,9.6,38.9,5.5,137.6,94.5
1600491,12.1,41.3,2.5,104.8,65.1
1600492,6.7,36.9,0.4,106.4,114.1
1600493,6.8,49.1,11.8,137.0,127.1
1600494,13.7,65.7,11.0,88.2,96.6
1600495,14.0,56.7,0.2,64.5,99.9
1600496,5.4,53.5,0.2,82.6,129.9
1600497,8.2,64.7,15.6,125.6,91.2
1600498,9.8,42.8,1.0,108.3,82.7
1600499,7.5,44.7,7.2,77.7,104.8
1600500,4.4,51.0,5.9,90.1,52.8
1600501,17.9,45.4,0.8,102.2,127.1
1600502,10.0,64.9,4.8,85.0,65.5
1600503,9.4,39.5,9.1,91.1,119.5
1600504,2.4,42.5,2.9,96.8,78.9
1600505,11.5,47.0,4.2,53.6,87.4
1600506,10.0,31.5,11.3,89.0,92.2
1600507,6.9,29.1,5.7,93.7,130.8
1600508,5.2,48.3,1.7,95.2,110.1
1600509,8.4,41.8,0.4,109.7,90.8
1600510,10.0,49.3,4.0,113.4,81.9
1600511,14.8,39.5,1.4,84.9,94.4
1600512,7.7,49.8,6.2,94.8,95.2
1600513,17.7,44.6,1.5,94.8,113.2
1600514,12.7,41.7,12.8,107.4,107.0
1600515,5.0,50.1,4.8,127.2,114.2
1600516,12.4,58.9,2.9,107.6,101.3
1600517,20.1,50.8,2.5,100.8,61.6
1600518,9.8,26.1,6.0,83.1,78.7
1600519,8.7,57.7,0.8,138.4,126.4
1600520,20.5,62.9,2.9,78.8,72.7
1600521,9.7,57.4,17.3,68.2,108.2
1600522,12.0,12.7,17.4,79.7,80.9
1600523,5.4,39.3,2.9,109.9,109.8
1600524,25.3,66.3,1.1,119.6,68.0
1600525,17.0,36.7,4.1,85.8,86.1
1600526,15.6,,7.6,96.4,68.3
1600527,17.1,39.2,1.8,123.8,144.3
1600528,14.9,63.4,6.3,59.4,84.6
1600529,5.8,30.0,13.3,114.0,32.3
1600530,17.6,26.5,15.3,178.8,140.9
1600531,18.9,25.2,3.7,77.1,60.0
1600532,16.4,13.6,0.7,97.4,128.1
1600533,13.6,48.0,0.9,92.1,83.4
1600534,12.9,21.9,11.1,98.4,106.3
1600535,11.2,34.8,3.6,61.0,81.0
1600536,10.1,32.3,1.1,85.1,123.1
1600537,14.3,39.0,13.2,139.8,97.9
1600538,6.2,44.7,21.2,62.5,88.6
1600539,16.9,51.4,27.9,69.2,30.9
1600540,9.0,43.0,10.5,157.8,97.7
1600541,13.8,35.8,0.9,120.6,108.3
1600542,15.5,24.3,17.9,110.9,140.5
1600543,3.8,61.1,8.9,81.1,114.6
1600544,20.8,33.1,8.8,135.2,118.7
1600545,19.8,55.2,11.2,137.1,78.7
1600546,4.9,38.6,1.2,94.3,107.2
1600547,12.1,62.5,2.5,116.7,108.5
1600548,6.8,32.2,6.9,87.7,123.8
1600549,1.0,12.1,6.4,147.9,77.7
1600550,15.0,31.3,9.1,101.7,70.4
1600551,11.4,55.5,3.1,103.3,74.5
1600552,9.2,32.0,9.1,96.6,91.5
1600553,1.0,14.2,2.0,109.1,88.1
1600554,11.9,37.0,0.7,142.4,120.9
1600555,9.1,40.1,2.9,126.4,117.7
1600556,10.6,32.3,0.7,112.2,116.0
1600557,10.5,40.6,0.8,89.2,94.5
1600558,12.1,17.6,9.7,110.3,103.8
1600559,15.1,55.8,6.2,101.0,31.7
1600560,4.8,41.0,1.4,153.7,102.4
1600561,5.3,68.1,5.7,69.5,132.4
1600562,3.8,15.8,1.8,149.1,64.3
1600563,7.0,54.9,1.3,109.7,101.8
1600564,10.6,37.3,8.8,31.8,128.6
1600565,8.2,58.5,4.2,123.2,69.6
1600566,18.6,47.0,0.1,91.9,84.0
1600567,12.7,39.0,33.8,123.8,120.3
1600568,18.4,30.9,1.8,118.6,35.6
1600569,6.4,47.1,6.5,92.1,121.2
1600570,15.4,43.6,7.8,49.6,75.9
1600571,3.2,41.8,11.2,98.8,98.5
1600572,13.5,4.8,5.8,81.6,122.2
1600573,5.2,66.7,19.4,100.7,104.4
1600574,10.9,39.3,2.7,102.6,102.5
1600575,13.7,37.8,19.7,74.7,99.5
1600576,9.6,53.2,9.4,77.4,67.3
1600577,7.8,49.9,34.4,117.5,64.4
1600578,11.1,42.3,3.1,99.5,89.5
1600579,19.8,56.4,14.9,86.2,128.9
