StudentID,EyeGazeOutRatio_Percent,NodCount,QuizGrade,LectureDurationMinutes,ClassPassed
1800139,53.8,107.2,85.8,63.5,1
1800140,43.8,33.5,97.3,25.6,0
1800141,24.8,77.4,107.2,47.4,0
1800142,49.9,131.9,95.7,46.8,0
1800143,43.7,89.4,65.5,51.5,1
1800144,60.8,99.4,135.8,38.2,0
1800145,35.6,59.5,94.0,50.1,1
1800146,64.8,104.9,105.6,46.4,1
1800147,46.6,133.9,116.6,50.3,1
1800148,63.8,142.1,52.6,50.7,0
1800149,35.9,90.0,73.6,38.3,0
1800150,25.8,74.5,91.7,38.8,0
1800151,33.9,87.5,93.2,80.1,0
1800152,77.2,61.3,112.8,28.9,1
1800153,49.6,123.3,76.4,43.2,1
1800154,38.9,67.9,89.5,20.6,0
1800155,55.4,111.6,124.6,28.9,0
1800156,16.4,106.0,108.2,37.1,0
1800157,59.2,81.5,76.8,68.7,1
1800158,47.3,107.4,93.4,49.3,0
1800159,54.2,105.5,125.1,33.9,0
1800160,65.7,113.9,103.1,54.6,1
1800161,60.9,102.9,88.4,60.2,1
1800162,44.3,76.7,99.7,44.2,1
1800163,95.1,107.5,98.8,46.2,0
1800164,58.0,73.7,108.7,51.0,1
1800165,41.8,96.7,81.8,51.8,0
1800166,52.6,126.4,81.1,33.3,0
1800167,39.2,106.4,123.9,64.9,1
1800168,31.0,92.4,72.9,57.5,1
1800169,35.9,72.3,103.5,26.5,1
1800170,39.6,100.6,56.8,71.0,0
1800171,39.5,117.3,91.9,42.4,1
1800172,23.7,103.1,95.7,53.7,1
1800173,41.3,77.9,47.8,40.1,1
1800174,42.9,65.7,75.0,50.1,1
1800175,54.0,118.0,107.4,33.2,0
1800176,67.1,101.8,69.5,49.2,1
1800177,13.0,74.0,69.5,40.9,0
1800178,52.3,122.1,86.0,48.8,1
1800179,72.5,60.7,118.0,41.2,1
1800180,43.3,91.8,87.2,25.6,1
1800181,41.5,79.2,138.2,32.3,0
1800182,57.1,72.1,74.9,36.0,0
1800183,56.8,107.0,111.7,48.4,1
1800184,50.3,87.3,69.1,51.5,1
1800185,40.3,140.5,92.8,47.9,1
1800186,54.0,54.7,91.3,21.0,0
1800187,24.2,120.3,104.7,24.2,1
1800188,57.2,112.5,62.5,23.2,0
1800189,32.8,124.6,96.2,61.1,1
1800190,59.9,62.2,91.3,55.4,1
1800191,64.3,97.6,108.1,9.0,0
1800192,53.4,97.1,70.6,60.8,1
1800193,56.9,84.7,112.2,56.8,1
1800194,61.6,111.3,131.8,71.6,1
1800195,39.2,62.3,152.0,60.3,1
1800196,38.2,103.6,95.7,41.4,1
1800197,21.1,95.9,145.1,49.5,1
1800198,43.0,122.6,88.2,53.0,1
1800199,15.6,130.5,102.7,62.4,1
1800200,32.8,144.7,97.5,36.2,0
1800201,62.3,90.6,131.5,21.8,0
1800202,36.2,91.4,109.8,36.9,0
1800203,52.8,115.2,162.3,56.8,1
1800204,55.9,123.4,30.9,52.7,1
1800205,,146.2,109.5,46.8,0
1800206,36.3,122.8,117.2,46.5,1
1800207,59.0,92.8,110.2,41.6,0
1800208,54.5,58.2,93.4,61.0,1
1800209,42.9,133.8,99.2,48.7,1
1800210,38.7,85.1,91.9,51.3,1
1800211,76.8,78.2,71.2,42.5,0
1800212,53.2,104.6,109.0,52.8,1
1800213,18.3,120.2,104.3,19.1,1
1800214,62.7,94.1,92.5,60.6,1
1800215,37.8,73.4,87.9,44.2,0
1800216,41.1,95.8,74.3,33.9,0
1800217,44.8,118.8,143.1,0.0,0
1800218,41.6,110.4,116.7,54.8,0
1800219,52.8,100.3,100.4,31.6,0
1800220,48.2,84.9,124.1,49.8,1
1800221,45.2,119.7,85.9,58.1,1
1800222,36.1,106.7,81.0,32.5,0
1800223,45.5,139.1,122.6,36.5,0
1800224,32.8,91.1,123.6,64.4,1
1800225,33.2,104.8,45.4,32.7,0
1800226,32.8,106.9,97.8,41.0,0
1800227,28.2,67.2,91.4,15.9,0
1800228,59.3,85.4,122.4,63.1,0
1800229,25.8,101.0,81.9,48.3,1
1800230,52.5,116.7,118.0,41.2,0
1800231,61.3,118.6,84.3,66.9,1
1800232,48.4,141.2,102.9,47.8,0
1800233,26.2,77.9,125.9,33.0,0
1800234,33.7,135.4,148.7,42.7,1
1800235,38.7,95.0,84.8,51.0,1
1800236,59.3,96.5,112.7,29.7,0
1800237,32.4,97.0,112.4,26.4,0
1800238,30.4,111.5,84.2,33.8,0
1800239,36.9,105.9,128.1,27.9,0
1800240,56.3,120.2,122.0,41.6,0
1800241,94.4,103.1,72.6,33.2,0
1800242,36.8,124.3,59.5,80.9,1
1800243,25.2,110.7,128.0,35.7,1
1800244,77.8,112.0,98.4,51.0,0
1800245,43.0,108.5,89.9,50.5,1
1800246,45.0,33.2,112.5,28.7,1
1800247,53.6,135.5,90.0,14.1,0
1800248,70.4,117.6,82.0,52.3,1
1800249,67.8,156.6,149.9,30.3,0
1800250,35.5,93.9,103.1,50.1,0
1800251,50.8,113.9,69.4,45.1,1
1800252,52.5,86.2,66.2,39.3,1
1800253,48.9,91.2,82.3,57.8,1
1800254,22.1,117.6,103.6,45.0,0
1800255,56.2,83.7,116.0,37.4,0
1800256,52.6,99.3,99.1,30.2,0
1800257,50.7,135.9,65.3,42.0,0
1800258,42.7,39.5,114.1,37.8,0
1800259,48.9,87.3,91.7,36.1,0
1800260,45.6,109.9,138.3,59.0,0
1800261,67.2,123.9,74.4,42.4,0
1800262,82.9,60.8,138.6,39.6,1
1800263,42.0,62.8,78.8,21.5,1
1800264,50.8,90.6,102.9,60.1,1
1800265,27.1,112.0,72.6,63.9,1
1800266,72.9,85.4,116.9,49.3,0
1800267,43.9,78.0,86.2,44.6,0
1800268,39.3,128.9,99.6,63.4,0
1800269,57.9,114.1,110.2,53.7,1
1800270,57.4,101.6,71.3,34.0,0
1800271,35.8,94.9,107.1,45.7,0
1800272,24.7,111.0,82.5,46.9,0
1800273,,110.8,120.3,35.4,0
1800274,47.6,83.0,89.1,32.0,1
1800275,64.6,120.8,111.7,40.9,0
1800276,58.8,119.4,116.2,63.8,0
1800277,49.3,87.8,72.5,53.8,1
1800278,70.0,86.0,81.6,43.0,0
1800279,35.7,85.0,70.5,46.9,1
1800280,50.3,140.4,77.6,37.5,0
1800281,,152.4,93.4,44.5,1
1800282,44.1,72.5,95.0,32.3,0
1800283,49.9,116.8,88.6,40.5,0
1800284,35.0,99.6,70.3,25.0,0
1800285,19.8,75.9,147.6,39.9,0
1800286,54.6,125.7,87.2,63.1,0
1800287,32.7,138.4,130.3,32.9,0
1800288,50.7,77.4,97.7,43.6,0
1800289,50.5,139.2,84.8,29.1,0
1800290,74.5,90.8,78.7,52.5,0
1800291,34.9,95.6,92.5,28.9,1
1800292,60.4,107.7,78.2,50.2,0
1800293,34.8,117.1,116.7,36.6,1
1800294,55.9,117.7,150.3,25.2,0
1800295,49.1,99.8,113.0,57.4,1
1800296,33.8,75.0,114.0,58.5,1
1800297,29.0,76.9,125.3,65.5,1
1800298,64.1,97.7,102.5,40.8,0
1800299,43.1,153.8,87.0,52.9,1
1800300,58.0,100.4,110.0,59.9,1
1800301,45.7,122.3,141.6,63.2,1
1800302,46.8,64.1,93.0,70.2,1
1800303,39.2,107.8,153.0,9.6,0
1800304,53.7,129.8,143.3,46.0,0
1800305,43.6,73.8,102.4,50.7,1
1800306,,104.6,103.3,59.9,1
1800307,48.8,123.4,95.6,56.1,1
1800308,51.8,2.3,146.0,57.0,0
1800309,52.5,71.4,142.7,21.8,0
1800310,66.4,171.5,115.0,24.3,0
1800311,63.6,84.7,93.3,52.5,1
1800312,31.0,120.1,130.4,29.9,0
1800313,69.0,108.8,31.1,40.1,0
1800314,32.0,78.0,95.4,43.4,0
1800315,49.6,118.0,86.1,40.5,1
1800316,97.5,109.3,51.8,38.7,0
1800317,48.5,110.9,97.5,13.0,0
1800318,56.3,72.3,98.0,36.9,0
1800319,15.6,107.8,77.4,55.1,1
1800320,24.0,109.1,107.6,37.4,1
1800321,37.3,112.8,125.6,69.2,1
1800322,44.2,138.4,90.0,69.3,0
1800323,63.3,115.7,58.4,32.4,1
1800324,12.9,126.6,94.4,70.8,0
1800325,61.8,130.7,80.9,29.4,0
1800326,37.9,79.0,157.7,58.7,1
1800327,26.6,92.5,126.9,33.3,0
1800328,45.9,117.9,99.1,57.8,0
1800329,35.9,87.9,113.0,41.5,0
1800330,22.9,105.9,108.9,31.9,0
1800331,61.3,165.6,75.5,52.0,0
1800332,64.9,99.8,155.4,38.1,0
1800333,31.9,109.2,102.3,39.6,1
1800334,41.1,125.9,54.2,30.4,0
1800335,45.2,95.3,94.3,36.0,1
1800336,29.4,149.6,51.1,37.3,0
1800337,48.0,136.4,90.7,33.7,1
1800338,24.4,92.3,69.0,24.2,1
1800339,56.0,96.8,108.2,45.7,1
1800340,25.4,87.5,108.0,42.4,0
1800341,55.9,124.8,124.3,76.5,1
1800342,49.4,78.7,56.4,61.1,1
1800343,33.9,105.2,115.4,43.6,0
1800344,47.4,59.6,90.9,48.1,0
1800345,53.0,93.8,98.6,37.8,1
1800346,45.0,60.1,62.4,46.2,1
1800347,22.0,119.1,128.8,58.9,1
1800348,56.3,112.9,85.3,41.8,0
1800349,28.1,79.1,96.1,62.8,1
1800350,70.2,102.6,105.7,57.9,1
1800351,55.0,79.0,108.8,30.8,1
1800352,32.4,100.2,72.0,48.2,0
1800353,,92.8,124.8,42.9,1
1800354,27.0,86.9,76.5,80.2,1
1800355,39.8,108.6,94.5,27.7,0
1800356,42.6,121.2,68.1,52.2,0
1800357,60.3,98.1,119.8,34.5,0
1800358,15.3,75.4,104.5,45.5,1
1800359,42.1,65.3,120.8,70.0,1
1800360,33.4,98.8,108.0,7.1,0
1800361,56.1,68.8,78.8,43.9,0
1800362,71.0,157.9,85.3,46.7,0
1800363,34.9,78.6,83.9,23.3,1
1800364,38.6,150.5,90.5,56.0,1
1800365,30.8,106.2,132.8,30.1,0
1800366,71.9,165.6,90.7,21.0,0
1800367,47.5,117.4,118.9,26.5,1
1800368,48.9,91.3,101.8,67.3,0
1800369,43.7,122.4,72.6,18.4,0
1800370,45.0,120.9,102.6,21.0,0
1800371,37.8,92.2,103.1,47.6,1
1800372,81.1,95.1,88.7,25.1,1
1800373,26.5,84.1,98.4,49.5,0
1800374,81.3,116.8,88.6,37.7,0
1800375,57.2,129.3,126.6,22.8,0
1800376,45.9,105.9,126.1,18.8,0
1800377,61.6,94.2,103.9,18.7,1
1800378,65.6,80.3,142.4,62.6,0
1800379,56.6,108.4,101.6,39.3,1
1800380,45.8,102.5,109.8,64.9,1
1800381,26.5,130.9,89.0,53.4,0
1800382,49.6,103.0,68.8,34.4,0
1800383,45.5,111.3,76.8,42.2,0
1800384,36.6,133.4,85.5,32.1,1
1800385,69.2,141.3,99.8,31.8,1
1800386,30.0,80.0,109.1,29.6,0
1800387,51.7,83.8,74.5,55.6,1
1800388,49.6,100.0,71.1,55.7,1
1800389,48.4,91.1,102.3,65.8,1
1800390,13.0,149.2,103.1,41.4,0
1800391,36.3,135.7,130.5,38.2,1
1800392,45.7,62.9,72.7,54.3,1
1800393,35.9,144.3,81.6,38.8,1
1800394,43.0,140.1,128.2,35.4,0
1800395,26.5,142.4,46.0,35.5,1
1800396,73.8,79.3,84.1,79.5,0
1800397,56.2,71.9,90.8,7.5,0
1800398,40.0,107.7,91.6,33.7,1
1800399,35.6,58.6,73.5,38.1,1
1800400,15.0,123.6,91.9,19.1,0
1800401,42.9,98.9,113.6,54.7,0
1800402,30.3,98.8,107.2,49.3,0
1800403,33.4,91.8,128.6,61.7,1
1800404,47.7,52.4,113.4,50.2,1
1800405,43.0,74.8,126.8,46.8,0
1800406,33.2,89.2,100.8,25.1,1
1800407,66.2,124.2,69.2,67.6,0
1800408,51.6,88.4,103.2,52.2,1
1800409,53.3,148.7,116.9,36.3,0
1800410,52.9,76.2,118.8,38.6,0
1800411,41.4,118.2,82.1,28.1,0
1800412,71.4,61.2,88.0,50.7,1
1800413,32.8,64.1,75.4,55.4,1
1800414,34.8,113.0,76.3,28.6,0
1800415,27.1,74.8,129.7,34.7,0
1800416,63.6,60.1,100.7,50.7,0
1800417,28.9,82.2,91.6,26.3,1
1800418,27.2,92.3,104.6,17.8,1
1800419,25.2,135.8,129.3,45.0,0
1800420,53.4,86.1,121.1,25.2,0
1800421,56.7,104.3,151.0,60.3,1
1800422,35.5,107.9,70.2,39.0,0
1800423,38.5,101.8,97.0,54.1,1
1800424,53.7,112.1,40.2,63.9,1
1800425,37.2,85.8,116.1,33.1,1
1800426,42.7,110.6,89.6,40.5,0
1800427,35.3,126.6,86.9,50.8,1
1800428,42.2,70.9,68.3,71.4,1
1800429,40.9,138.6,82.0,46.4,1
1800430,43.6,125.1,84.4,46.6,1
1800431,47.5,150.6,56.2,52.2,0
1800432,14.4,119.4,74.0,61.9,0
1800433,53.1,141.2,91.6,44.0,0
1800434,33.4,109.9,105.8,60.6,0
1800435,40.5,86.3,83.7,72.1,0
1800436,64.4,55.5,104.6,70.3,0
1800437,19.1,128.4,87.5,41.5,0
1800438,55.4,85.5,73.5,44.8,0
1800439,54.3,58.1,75.2,38.9,1
1800440,53.6,80.7,139.4,41.9,1
1800441,72.8,71.0,120.2,23.9,0
1800442,53.1,95.0,89.9,45.7,0
1800443,42.5,84.4,184.2,30.3,1
1800444,50.5,106.4,78.2,54.4,1
1800445,69.7,72.8,95.4,34.8,0
1800446,54.6,47.9,138.8,49.2,0
1800447,48.5,135.4,113.9,54.7,0
1800448,40.8,173.9,106.1,53.5,1
1800449,41.7,143.1,125.4,44.2,1
1800450,52.3,98.3,90.3,71.2,0
1800451,43.5,99.5,100.7,47.6,1
1800452,39.6,124.9,100.3,29.4,0
1800453,55.9,74.6,74.7,60.9,0
1800454,24.5,127.5,106.4,57.7,0
1800455,64.5,97.1,134.4,38.0,1
1800456,49.7,68.4,105.7,39.7,0
1800457,30.5,69.8,92.1,49.9,1
1800458,19.4,60.1,103.4,50.5,0
1800459,55.8,90.5,46.8,46.1,0
1800460,28.1,112.9,123.5,42.9,1
1800461,44.2,90.6,98.1,64.0,1
1800462,42.6,132.2,98.1,42.5,0
1800463,20.9,105.1,81.3,24.6,0
1800464,43.6,82.1,101.8,26.6,0
1800465,47.7,57.2,81.4,38.6,0
1800466,36.5,86.0,126.7,29.5,0
1800467,50.3,98.3,153.6,29.7,1
1800468,45.6,59.7,92.7,78.4,1
1800469,67.7,81.3,88.5,38.4,1
1800470,54.4,90.7,88.9,12.4,0
1800471,68.2,71.3,111.6,25.9,0
1800472,71.0,56.3,129.7,43.3,0
1800473,27.1,153.5,74.3,27.3,1
1800474,67.6,93.0,102.3,45.2,1
1800475,48.7,146.0,78.3,47.0,0
1800476,36.9,94.1,73.0,47.0,1
1800477,56.3,116.5,88.3,39.4,0
1800478,43.5,117.1,83.4,48.8,1
1800479,42.6,98.3,122.7,53.5,1
1800480,31.5,106.3,167.7,69.6,1
1800481,52.3,104.9,110.3,42.1,1
1800482,48.1,86.6,107.8,45.4,1
1800483,34.6,82.0,84.8,84.1,1
1800484,37.9,108.5,72.0,27.9,0
1800485,57.0,33.5,76.1,52.4,0
1800486,48.8,138.0,103.7,50.3,1
1800487,28.8,135.5,39.0,26.3,1
1800488,75.8,95.7,137.4,31.7,0
1800489,38.0,124.9,128.7,48.8,0
1800490,30.7,85.6,86.2,86.1,1
1800491,52.2,126.7,81.7,49.6,0
1800492,47.1,91.9,132.3,20.3,0
1800493,49.5,131.4,87.9,47.9,0
1800494,47.6,80.8,124.2,44.1,0
1800495,30.7,98.9,98.1,31.6,1
1800496,65.1,102.5,116.4,45.4,1
1800497,19.8,82.8,113.1,59.6,0
1800498,75.9,96.0,173.3,37.5,0
1800499,46.2,90.8,142.8,47.2,1
1800500,70.1,112.6,163.4,56.7,0
1800501,48.2,95.0,127.8,50.7,0
1800502,53.7,50.8,100.7,10.2,1
1800503,51.7,102.8,130.8,78.2,1
1800504,62.7,102.4,118.7,62.1,1
1800505,36.3,73.9,116.6,38.6,1
1800506,30.9,115.2,121.1,31.0,0
1800507,67.1,98.2,93.7,63.2,1
1800508,77.2,70.0,138.8,52.5,1
1800509,49.4,92.1,90.4,46.2,1
1800510,,123.3,102.4,51.1,1
1800511,64.3,80.0,90.1,15.1,0
1800512,55.3,111.4,66.4,39.1,1
1800513,43.8,111.2,113.4,43.0,0
1800514,33.0,117.4,79.4,22.4,0
1800515,47.4,84.0,104.2,41.6,0
1800516,,98.7,111.1,47.4,1
1800517,46.2,105.2,91.5,41.6,1
1800518,52.3,87.8,125.9,50.2,1
1800519,32.4,147.1,100.2,44.6,0
1800520,41.3,116.9,105.9,47.0,0
1800521,62.9,72.8,127.1,33.7,0
1800522,51.6,109.3,73.1,51.6,1
1800523,41.9,112.0,127.1,37.7,0
1800524,45.2,102.1,117.4,18.3,0
1800525,57.5,98.5,95.4,80.1,1
1800526,43.0,87.3,96.8,45.5,1
1800527,46.6,101.0,147.9,45.6,1
1800528,40.7,95.9,86.3,39.1,1
1800529,42.8,132.6,141.6,63.9,0
1800530,48.7,92.2,79.9,36.7,1
1800531,44.9,67.6,120.2,23.3,0
1800532,36.7,124.2,45.9,33.7,1
1800533,33.7,95.1,140.3,57.0,1
1800534,73.6,73.7,124.2,53.9,1
1800535,50.8,112.3,55.4,31.0,1
1800536,45.1,38.2,117.5,54.1,1
1800537,22.1,115.4,165.5,49.9,1
1800538,65.7,67.5,140.7,42.6,0
1800539,10.9,81.4,72.8,51.9,1
1800540,68.8,122.1,80.5,47.1,0
1800541,25.3,72.5,153.7,52.3,1
1800542,48.3,79.3,56.5,45.4,1
1800543,27.6,42.6,121.6,36.1,0
1800544,43.5,110.4,113.5,42.3,1
1800545,64.0,103.7,96.1,64.8,1
1800546,55.1,124.5,73.3,40.9,0
1800547,41.7,96.0,72.2,50.7,0
1800548,41.8,65.5,104.7,49.5,0
1800549,30.1,126.5,88.0,27.0,0
1800550,37.2,88.4,127.7,53.7,0
1800551,95.1,67.9,88.8,58.9,0
1800552,32.3,112.3,104.3,44.4,1
1800553,22.7,98.3,164.9,30.7,0
1800554,39.7,135.7,88.7,52.1,1
1800555,64.5,81.5,92.4,33.1,0
1800556,20.0,84.4,153.7,30.1,0
1800557,32.7,74.6,72.3,45.1,0
1800558,52.6,105.4,104.7,27.4,0
1800559,57.1,81.1,100.2,75.7,0
1800560,25.4,117.1,101.7,7.9,0
1800561,47.8,128.1,125.3,47.3,1
1800562,32.4,78.0,80.5,34.7,0
1800563,75.9,109.8,101.0,50.3,1
1800564,62.0,75.5,102.6,38.9,1
1800565,72.7,100.0,102.8,39.1,1
1800566,42.1,121.8,123.9,27.4,0
1800567,24.8,91.5,104.9,16.1,0
1800568,57.2,69.4,127.0,22.1,0
1800569,26.9,93.1,61.1,35.8,0
1800570,46.6,44.3,97.9,25.7,0
1800571,61.0,96.2,104.0,53.4,0
1800572,49.3,132.6,85.8,26.2,0
1800573,38.6,79.9,100.6,10.5,0
1800574,43.8,118.1,113.7,53.8,0
1800575,22.1,111.5,168.8,38.2,0
1800576,68.4,78.4,77.0,62.8,1
1800577,22.7,121.3,103.4,61.0,1
1800578,52.3,64.8,82.7,47.7,0
1800579,33.9,102.0,69.9,14.9,0
1800580,29.3,72.3,145.5,48.1,1
1800581,32.3,97.0,136.5,38.1,1
1800582,32.6,140.8,77.9,43.2,1
1800583,41.3,126.2,60.2,45.8,0
1800584,26.2,111.6,66.4,64.4,1
1800585,68.4,130.7,138.3,34.4,0
1800586,58.2,107.2,126.3,60.5,0
1800587,32.1,86.3,95.4,37.0,1
1800588,37.2,145.8,78.3,64.7,1
1800589,30.9,55.6,119.4,65.3,0
1800590,39.5,147.4,115.4,42.0,1
1800591,62.3,135.9,127.6,55.7,1
1800592,46.7,113.6,116.1,63.1,1
1800593,45.4,66.2,132.6,68.3,1
1800594,62.6,78.5,105.2,29.3,1
1800595,47.3,125.8,110.4,14.4,0
1800596,69.3,94.9,97.0,38.4,1
1800597,50.0,86.8,93.8,69.8,1
1800598,43.9,89.2,123.5,16.4,0
1800599,80.6,44.1,81.4,27.3,1
1800600,41.2,93.2,79.3,71.7,1
1800601,50.1,69.9,153.3,51.1,0
1800602,28.6,129.0,127.4,51.2,0
1800603,48.8,82.7,81.4,39.0,0
1800604,52.0,67.2,94.8,70.4,1
1800605,56.5,84.1,79.2,68.2,0
1800606,49.4,78.0,65.3,42.4,1
1800607,47.7,81.9,60.2,28.3,0
1800608,30.2,119.7,105.2,40.0,0
1800609,54.2,112.7,100.4,53.5,1
1800610,56.7,122.6,94.5,23.4,0
1800611,22.5,88.8,124.8,50.8,0
1800612,53.7,96.1,109.3,46.0,0
1800613,61.0,78.9,83.2,37.5,0
1800614,38.3,87.5,88.5,80.9,1
1800615,18.2,108.8,95.1,24.2,0
1800616,47.1,101.7,95.9,52.8,0
1800617,17.7,134.4,97.3,40.5,0
1800618,26.7,139.5,77.8,74.2,0
1800619,49.3,95.7,115.1,32.6,1
1800620,45.7,110.5,80.9,55.6,0
1800621,31.3,105.7,80.8,28.1,0
1800622,28.4,76.8,122.9,24.4,1
1800623,39.5,120.5,64.8,55.1,1
1800624,25.0,120.9,99.0,36.2,1
1800625,64.4,80.3,115.1,60.6,0
1800626,36.4,86.4,85.4,69.7,0
1800627,53.0,114.1,121.5,79.5,1
1800628,41.6,61.1,106.7,51.4,1
1800629,35.3,111.6,108.7,26.4,1
1800630,45.5,99.4,99.7,46.7,0
1800631,36.1,81.9,84.5,61.4,1
1800632,14.2,110.6,81.1,50.5,1
