RobotID,ObstacleDensity_Percent,PathLength_Meters,PowerConsumption_Wh,CollisionAlerts,MissionCompleted
1340129,54.7,23.8,352.7,117.3,0
1340130,48.3,4.3,273.8,100.0,0
1340131,24.2,8.2,336.2,62.3,0
1340132,38.4,6.9,289.5,75.8,0
1340133,40.4,8.9,204.3,153.2,0
1340134,58.7,9.2,279.0,131.1,1
1340135,34.4,22.4,226.9,154.3,0
1340136,45.0,9.3,232.7,114.0,1
1340137,58.5,3.4,231.1,121.0,0
1340138,67.4,2.7,178.1,101.0,1
1340139,65.6,6.4,438.2,92.1,0
1340140,30.4,20.3,171.6,95.4,0
1340141,55.1,0.2,106.3,102.2,0
1340142,45.8,20.0,207.3,83.6,1
1340143,51.4,0.5,303.7,84.9,1
1340144,36.8,1.6,137.0,84.2,0
1340145,27.8,5.3,234.0,100.3,1
1340146,49.2,0.2,267.5,119.7,0
1340147,34.7,22.6,350.1,129.1,1
1340148,87.8,1.5,214.4,90.8,1
1340149,24.0,19.0,323.5,102.0,0
1340150,39.4,3.9,155.8,104.7,0
1340151,61.0,34.6,109.0,121.5,1
1340152,43.2,14.1,188.9,127.7,0
1340153,56.8,2.6,250.3,94.2,1
1340154,52.7,8.9,259.2,115.9,1
1340155,29.9,11.7,253.0,143.3,1
1340156,40.8,10.9,237.8,121.9,1
1340157,84.5,6.7,158.1,88.5,1
1340158,58.0,2.4,207.7,91.8,0
1340159,54.0,22.6,284.7,110.3,1
1340160,69.5,0.3,198.5,80.0,0
1340161,45.2,18.3,153.8,75.4,0
1340162,47.0,1.2,223.7,88.9,1
1340163,63.4,1.9,235.3,137.5,0
1340164,41.0,1.9,396.3,76.6,0
1340165,56.7,10.3,203.2,112.1,1
1340166,51.8,8.3,228.4,99.0,0
1340167,28.1,2.5,126.3,89.8,0
1340168,71.7,4.4,173.4,79.9,0
1340169,53.3,2.2,259.3,124.4,0
1340170,42.8,0.2,293.0,82.8,0
1340171,51.2,7.4,312.2,121.9,1
1340172,25.5,1.3,253.4,129.9,0
1340173,41.2,8.1,304.9,81.9,0
1340174,56.0,17.1,294.3,61.6,0
1340175,56.0,4.5,164.2,125.1,1
1340176,66.0,16.3,253.0,138.4,1
1340177,44.8,24.8,429.9,94.4,1
1340178,35.9,4.9,200.0,79.9,1
1340179,,7.5,272.6,133.1,0
1340180,45.6,4.7,290.0,133.5,1
1340181,33.9,3.7,49.7,102.7,0
1340182,71.5,36.1,343.0,136.2,1
1340183,42.4,6.1,246.5,117.8,1
1340184,34.2,23.3,315.9,112.3,1
1340185,34.5,2.2,284.0,122.5,0
1340186,48.3,23.0,304.6,129.6,1
1340187,26.3,4.5,346.5,119.1,0
1340188,46.3,13.8,224.2,65.3,0
1340189,40.7,13.5,165.6,114.0,0
1340190,30.0,1.4,226.5,67.9,0
1340191,54.4,7.1,161.5,102.9,1
1340192,22.4,3.0,250.7,121.8,1
1340193,26.7,10.9,209.5,113.8,1
1340194,53.8,8.0,141.7,146.9,1
1340195,42.3,2.8,217.5,123.6,0
1340196,46.0,4.1,196.8,88.0,1
1340197,29.2,9.1,148.8,115.4,0
1340198,36.7,13.5,322.7,71.7,1
1340199,62.3,8.6,495.9,105.9,0
1340200,36.3,8.3,203.0,76.1,1
1340201,57.9,3.8,482.7,97.3,1
1340202,24.0,0.5,220.8,85.4,1
1340203,55.6,8.2,155.7,85.4,1
1340204,38.1,26.8,185.4,89.5,0
1340205,50.5,5.4,318.3,71.2,1
1340206,65.5,11.2,401.9,35.8,1
1340207,39.6,4.2,161.8,117.6,0
1340208,53.3,6.8,89.4,123.6,0
1340209,52.4,1.5,395.6,55.6,0
1340210,40.5,29.3,283.3,81.5,1
1340211,44.6,2.4,244.0,122.8,1
1340212,40.5,4.7,304.3,118.3,0
1340213,37.6,5.9,224.2,149.3,0
1340214,56.2,1.0,521.5,94.6,0
1340215,34.7,0.1,297.2,111.4,1
1340216,42.1,11.6,415.6,81.4,0
1340217,47.0,12.3,291.8,84.5,0
1340218,31.7,3.5,188.4,92.5,0
1340219,30.4,0.4,149.3,125.1,0
1340220,38.2,1.2,284.9,100.2,0
1340221,56.0,42.5,320.2,105.0,1
1340222,70.8,2.3,164.2,110.6,1
1340223,26.3,7.4,276.5,121.6,1
1340224,59.7,6.6,218.0,77.2,1
1340225,56.3,1.5,253.8,83.9,1
1340226,20.1,0.9,269.4,81.7,1
1340227,39.7,24.9,246.7,35.6,0
1340228,27.5,26.1,381.9,43.6,1
1340229,59.9,8.8,323.1,79.9,1
1340230,58.9,5.4,250.5,85.9,0
1340231,31.8,13.1,219.9,124.7,1
1340232,61.8,3.4,223.2,80.2,1
1340233,36.5,10.4,373.8,118.4,0
1340234,31.7,16.6,233.3,129.7,0
1340235,31.0,3.9,215.9,103.9,0
1340236,37.4,1.6,318.2,92.1,1
1340237,37.1,11.5,295.6,119.3,0
1340238,,15.3,243.3,134.9,1
1340239,53.8,7.5,416.5,70.8,0
1340240,44.7,0.5,249.2,144.7,0
1340241,33.1,11.2,96.4,91.9,1
1340242,51.2,0.8,214.6,128.2,0
1340243,40.0,6.0,271.1,72.6,1
1340244,42.0,0.6,233.2,133.7,0
1340245,56.3,4.7,442.4,75.6,1
1340246,28.3,6.0,335.8,75.6,0
1340247,31.0,6.8,282.8,93.9,0
1340248,37.1,13.0,43.3,118.4,1
1340249,41.7,8.8,238.4,94.3,0
1340250,42.4,9.1,325.3,84.0,1
1340251,58.8,6.5,219.2,26.6,0
1340252,15.8,6.4,91.8,148.2,1
1340253,49.8,2.1,10.0,114.7,1
1340254,28.9,8.4,260.7,75.7,0
1340255,37.6,3.8,368.2,141.2,0
1340256,51.8,1.4,173.3,108.6,0
1340257,54.0,5.2,200.4,99.5,1
1340258,51.7,2.1,229.8,94.8,1
1340259,42.3,7.5,135.4,118.0,1
1340260,24.3,0.9,296.5,113.8,0
1340261,55.1,0.3,299.8,107.7,1
1340262,38.4,1.0,308.0,65.7,1
1340263,58.8,3.0,284.3,93.5,0
1340264,62.6,8.4,157.8,83.9,0
1340265,28.7,16.8,234.1,67.1,0
1340266,48.7,0.2,279.4,79.9,1
1340267,,1.7,266.6,116.7,1
1340268,48.6,22.8,124.9,84.3,0
1340269,46.8,2.3,168.8,113.5,0
1340270,67.1,6.1,357.5,103.9,0
1340271,51.4,10.0,321.9,118.9,1
1340272,31.0,5.2,222.2,83.0,1
1340273,43.5,5.2,407.7,85.7,0
1340274,76.6,1.7,281.0,146.7,0
1340275,40.3,11.3,60.7,98.9,1
1340276,59.5,17.8,221.3,89.3,0
1340277,54.0,12.2,311.7,67.1,0
1340278,36.5,8.0,223.8,126.2,1
1340279,24.2,1.1,230.4,82.8,0
1340280,45.3,5.2,274.7,121.6,1
1340281,60.2,20.6,310.6,57.2,1
1340282,44.9,10.5,211.5,110.3,0
1340283,43.5,21.8,359.7,111.8,1
1340284,55.7,2.9,375.5,126.6,0
1340285,53.6,4.9,192.6,102.4,0
1340286,63.1,0.7,260.5,78.5,1
1340287,55.1,3.4,341.3,102.0,0
1340288,36.3,4.0,226.3,100.6,1
1340289,30.1,2.9,260.3,97.7,1
1340290,36.1,2.9,161.5,95.1,0
1340291,31.7,5.2,259.0,83.5,0
1340292,32.6,28.5,261.0,66.7,1
1340293,17.2,4.4,153.3,82.7,1
1340294,52.0,1.7,238.5,142.2,1
1340295,31.9,20.9,10.0,98.9,1
1340296,54.5,20.0,176.1,110.6,0
1340297,29.6,9.1,351.3,90.2,1
1340298,38.2,36.2,220.8,107.2,1
1340299,44.2,29.3,259.2,64.3,0
1340300,37.9,34.9,176.4,132.9,0
1340301,37.7,20.5,232.9,118.5,0
1340302,49.3,16.9,172.6,113.3,1
1340303,70.4,10.9,229.7,88.7,1
1340304,34.7,14.9,200.0,124.3,1
1340305,69.4,5.6,251.8,76.1,1
1340306,49.3,4.7,320.1,135.1,1
1340307,10.7,1.8,297.1,91.7,0
1340308,28.6,2.1,314.8,130.4,1
1340309,35.5,11.7,298.4,71.6,0
1340310,43.6,15.2,337.1,90.4,1
1340311,46.4,8.5,176.8,112.6,0
1340312,63.9,1.8,328.4,85.0,0
1340313,70.5,1.0,213.3,98.6,1
1340314,51.0,2.4,296.1,90.5,1
1340315,34.9,1.5,227.7,140.3,0
1340316,50.7,1.1,268.4,28.2,0
1340317,41.5,19.5,269.3,107.6,0
1340318,47.5,11.0,354.6,95.8,0
1340319,38.9,2.6,214.9,116.3,0
1340320,61.2,1.9,166.9,110.9,1
1340321,42.2,1.5,130.9,142.6,0
1340322,69.5,9.0,228.7,66.8,0
1340323,58.7,1.8,147.0,106.8,1
1340324,59.0,7.5,278.0,116.5,1
1340325,51.3,0.1,214.8,63.1,1
1340326,24.9,9.2,179.9,101.6,0
1340327,39.8,12.4,256.6,86.9,1
1340328,33.9,3.1,188.3,101.5,1
1340329,35.8,0.9,270.7,117.5,1
1340330,,4.6,270.0,120.6,0
1340331,40.0,11.1,224.9,76.7,1
1340332,23.0,4.0,191.5,145.2,1
1340333,33.9,0.4,316.6,119.5,1
1340334,9.9,0.6,213.3,78.4,1
1340335,46.8,17.7,259.1,138.4,0
1340336,63.5,6.7,144.6,114.1,1
1340337,82.4,27.1,258.6,82.7,0
1340338,43.0,9.8,418.8,101.4,0
1340339,,4.3,214.8,98.9,1
1340340,44.1,2.6,186.9,101.1,0
1340341,41.0,10.5,267.3,51.3,0
1340342,43.4,2.5,271.1,107.8,1
1340343,69.2,6.0,274.3,109.0,1
1340344,20.1,5.3,106.2,117.5,1
1340345,46.7,6.3,352.9,121.8,0
1340346,6.5,3.7,265.3,105.1,1
1340347,58.0,1.3,70.6,108.3,0
1340348,36.6,0.2,428.1,113.7,1
1340349,44.4,16.1,404.9,102.8,0
1340350,41.0,18.5,419.2,110.9,0
1340351,26.5,3.3,484.4,77.3,0
1340352,42.2,3.5,82.4,76.1,1
1340353,36.3,9.9,343.5,89.2,1
1340354,39.3,4.3,308.5,81.9,0
1340355,45.5,12.8,144.7,87.1,1
1340356,28.6,5.6,117.5,152.3,0
1340357,55.6,8.3,288.9,111.9,0
1340358,57.6,4.7,325.7,106.5,0
1340359,38.9,6.1,306.2,133.3,1
1340360,61.2,6.8,365.9,93.7,1
1340361,44.2,26.1,240.5,56.3,1
1340362,76.4,5.7,337.1,97.2,0
1340363,57.9,7.9,230.6,110.8,0
1340364,24.7,1.1,192.5,75.1,1
1340365,55.5,6.9,311.4,70.2,1
1340366,43.2,15.7,215.5,152.1,1
1340367,44.7,2.4,293.5,92.0,0
1340368,57.5,10.5,293.3,71.6,1
1340369,80.8,6.5,247.7,121.4,0
1340370,46.4,17.2,300.3,107.0,0
1340371,33.1,1.3,312.6,91.0,0
1340372,63.0,5.0,218.5,90.9,0
1340373,73.3,1.9,167.5,131.5,0
1340374,76.1,10.1,206.2,68.8,0
1340375,50.7,1.9,270.6,89.4,1
1340376,33.1,15.2,437.6,101.2,0
1340377,58.6,7.6,296.5,96.6,1
1340378,24.6,43.9,279.2,80.2,0
1340379,18.7,3.2,118.0,51.5,1
1340380,61.7,3.5,186.7,57.9,0
1340381,25.2,10.2,417.7,58.7,1
1340382,30.7,7.3,299.1,73.7,0
1340383,51.1,12.2,319.2,88.9,1
1340384,84.7,16.1,384.2,105.1,0
1340385,60.6,0.8,183.9,98.4,1
1340386,26.7,12.1,224.9,69.0,0
1340387,43.5,18.3,244.4,116.0,0
1340388,39.1,12.7,178.2,75.5,1
1340389,57.3,27.0,259.7,63.2,0
1340390,63.3,14.8,243.2,164.4,1
1340391,62.1,2.3,203.0,114.2,0
1340392,63.6,5.8,343.0,80.5,1
1340393,21.1,4.6,195.9,85.4,0
1340394,47.1,16.1,313.8,103.1,0
1340395,34.3,7.5,351.1,96.1,1
1340396,28.1,11.9,285.1,60.4,1
1340397,38.6,1.3,282.7,88.1,1
1340398,32.3,3.5,216.1,46.4,0
1340399,44.7,7.8,423.0,94.3,1
1340400,47.5,11.0,257.6,78.5,1
1340401,30.0,13.7,212.8,109.4,0
1340402,67.1,2.6,393.6,101.5,1
1340403,29.4,18.7,303.4,97.5,0
1340404,30.6,39.9,389.4,68.1,0
1340405,38.3,14.1,168.0,91.3,0
1340406,29.7,2.0,220.6,115.1,0
1340407,31.3,2.5,356.3,126.2,1
1340408,62.8,5.9,299.4,87.4,0
1340409,35.3,5.0,362.8,109.7,0
1340410,55.9,7.1,204.9,147.7,0
1340411,52.0,5.4,220.1,61.1,0
1340412,47.7,6.4,259.3,64.5,1
1340413,62.1,1.6,170.7,100.6,1
1340414,73.2,0.7,185.6,82.4,1
1340415,44.4,5.0,205.8,90.2,0
1340416,51.2,0.1,151.0,96.5,1
1340417,66.1,0.5,297.1,98.8,1
1340418,42.9,8.9,144.7,105.7,0
1340419,31.5,33.6,243.8,152.0,1
1340420,43.0,7.7,225.7,65.2,0
1340421,31.5,4.5,187.0,64.3,0
1340422,36.0,1.8,270.2,158.8,0
1340423,43.0,0.7,294.8,103.4,0
1340424,62.1,16.1,276.2,96.9,1
1340425,49.7,13.2,233.8,121.4,0
1340426,39.7,1.6,244.3,69.8,0
1340427,41.4,2.2,291.7,91.4,1
1340428,26.2,2.2,189.7,131.1,1
1340429,37.5,35.3,305.7,120.5,1
1340430,37.9,0.8,175.0,127.5,1
1340431,31.5,4.7,271.5,83.7,1
1340432,59.2,1.6,219.5,152.5,0
1340433,46.6,7.0,390.1,125.8,0
1340434,29.8,5.2,350.0,106.3,1
1340435,62.2,9.0,384.1,128.7,1
1340436,67.2,1.4,188.3,96.9,0
1340437,25.2,15.7,148.8,105.2,1
1340438,32.4,18.6,186.6,93.9,1
1340439,37.6,2.8,127.2,73.1,1
1340440,,53.4,343.7,48.4,1
1340441,60.7,1.1,19.5,78.0,0
1340442,40.5,7.1,110.4,73.7,1
1340443,49.0,13.0,220.2,102.3,1
1340444,43.4,0.6,235.8,148.5,1
1340445,59.1,0.8,228.4,99.0,1
1340446,44.7,19.8,263.7,66.7,0
1340447,42.3,2.7,165.2,84.3,0
1340448,35.5,4.7,408.0,101.5,1
1340449,65.5,1.3,352.7,96.0,1
1340450,46.5,0.3,354.5,48.9,0
1340451,48.8,5.5,281.3,80.4,1
1340452,20.7,8.7,270.2,114.6,1
1340453,71.8,0.3,220.2,129.5,0
1340454,35.6,1.4,452.5,86.0,1
1340455,53.3,21.6,380.9,117.7,1
1340456,46.9,6.8,109.8,71.7,0
1340457,54.1,0.1,47.9,65.5,0
1340458,36.0,8.2,296.0,123.9,1
1340459,49.5,0.5,223.7,130.9,1
1340460,29.8,10.2,249.8,63.3,1
1340461,26.9,2.8,275.6,93.6,1
1340462,51.9,4.3,128.4,86.5,1
1340463,61.5,15.9,341.0,105.8,0
1340464,31.1,19.9,239.1,86.2,0
1340465,62.5,0.8,290.2,107.0,1
1340466,49.4,2.0,213.7,110.9,1
1340467,60.9,7.1,402.8,123.9,1
1340468,37.7,0.7,216.9,113.5,0
1340469,43.8,3.9,328.7,42.1,1
1340470,35.1,3.3,378.7,44.7,1
1340471,54.9,13.3,326.1,73.5,0
1340472,38.1,0.1,238.5,99.7,0
1340473,35.9,2.3,224.9,116.4,1
1340474,37.4,5.8,269.2,110.0,0
1340475,65.3,5.9,344.6,140.6,0
1340476,44.7,33.6,340.8,128.2,1
1340477,59.5,13.9,253.5,130.3,1
1340478,9.5,4.8,109.9,122.2,0
1340479,51.8,3.6,255.7,102.6,0
1340480,49.2,5.0,213.1,137.8,1
1340481,33.1,1.8,287.9,114.2,1
1340482,31.1,3.0,222.7,143.9,0
1340483,37.4,10.7,345.2,97.8,1
1340484,26.6,30.5,170.8,151.5,1
1340485,42.7,2.1,148.9,76.6,0
1340486,41.1,5.5,327.5,84.3,1
1340487,15.0,11.0,302.3,115.4,1
1340488,46.9,4.2,270.5,90.1,0
1340489,34.7,11.7,350.4,103.4,0
1340490,40.2,1.0,354.5,120.3,1
1340491,11.7,5.2,316.6,102.3,1
1340492,36.0,8.5,337.4,96.9,0
1340493,46.1,3.2,127.7,148.5,0
1340494,50.6,8.3,223.5,53.2,1
1340495,31.6,10.6,296.9,58.1,0
1340496,65.0,10.7,324.1,66.1,0
1340497,40.3,3.0,424.7,111.5,0
1340498,64.0,1.5,352.1,113.9,0
1340499,60.7,6.2,166.5,107.1,1
1340500,60.6,0.6,335.0,58.9,1
1340501,,15.2,213.3,125.4,1
1340502,53.2,6.6,267.4,116.8,1
1340503,51.0,0.4,192.6,56.7,0
1340504,42.1,16.0,295.5,95.7,0
1340505,72.0,8.9,111.3,116.2,1
1340506,37.5,3.7,111.4,123.6,1
1340507,55.0,1.7,178.5,95.9,0
1340508,49.5,14.3,210.8,54.2,1
1340509,57.8,6.7,205.6,107.3,0
1340510,64.2,5.5,280.4,81.3,0
1340511,41.2,5.3,278.7,146.4,0
1340512,,10.9,408.2,140.9,0
1340513,30.0,17.5,288.0,118.1,0
1340514,24.3,5.3,348.1,104.1,0
1340515,19.4,6.9,276.6,130.9,0
1340516,45.9,10.1,208.9,107.1,1
1340517,34.6,5.2,201.3,65.9,1
1340518,62.0,26.5,178.3,114.7,0
1340519,52.4,6.8,82.2,151.6,0
1340520,29.9,0.8,276.2,96.4,1
1340521,31.3,18.2,168.0,108.5,0
1340522,37.6,4.4,331.0,135.1,0
1340523,28.6,23.3,108.7,131.3,1
1340524,36.1,3.6,270.7,111.6,1
1340525,53.2,1.6,200.5,71.8,0
1340526,33.0,2.3,318.9,121.1,1
1340527,46.6,8.9,359.4,126.1,1
1340528,45.7,34.9,172.0,136.5,0
1340529,21.2,30.7,176.1,90.9,0
1340530,45.9,8.8,293.6,81.8,1
1340531,25.1,12.8,160.1,66.4,0
1340532,47.2,1.3,98.8,109.2,0
1340533,22.7,2.8,271.7,110.3,0
1340534,48.9,7.2,187.8,93.5,1
1340535,42.4,4.1,234.9,83.5,1
1340536,,12.1,212.2,116.7,1
1340537,41.9,11.5,239.4,65.9,0
1340538,42.0,1.7,348.2,125.2,1
1340539,22.4,0.7,153.6,46.2,0
1340540,45.9,2.4,254.4,89.4,1
1340541,58.8,7.6,204.0,59.7,1
1340542,27.8,7.1,258.4,120.7,1
1340543,51.4,0.5,416.4,142.5,1
1340544,40.2,3.5,269.8,109.5,0
1340545,83.0,0.7,236.9,113.4,0
1340546,47.9,0.1,235.1,133.9,0
1340547,62.2,10.4,314.3,76.4,0
1340548,54.5,1.9,189.0,79.1,1
1340549,60.4,4.8,278.5,90.9,0
1340550,40.5,6.6,208.9,144.7,0
1340551,61.6,0.2,317.3,119.9,0
1340552,16.0,20.7,277.3,46.6,0
1340553,49.1,11.3,252.0,91.9,0
1340554,48.0,8.5,118.4,113.0,1
1340555,47.6,0.6,222.6,120.4,0
1340556,65.4,23.3,149.4,81.2,0
1340557,35.8,3.4,162.7,39.6,1
1340558,42.0,2.4,184.5,64.6,0
1340559,43.1,0.1,180.0,85.2,0
1340560,42.6,0.3,236.7,68.7,0
1340561,51.3,5.1,248.4,117.2,0
1340562,9.4,13.6,305.1,113.1,1
1340563,41.9,4.4,204.8,63.6,1
1340564,70.3,11.0,327.4,142.9,1
1340565,39.1,0.7,363.5,110.0,1
1340566,60.9,0.3,278.1,156.4,0
1340567,71.6,2.6,307.1,88.6,0
1340568,42.3,6.1,171.5,91.7,1
1340569,56.2,5.2,304.1,143.2,1
1340570,39.5,30.4,198.1,141.7,0
1340571,52.0,4.5,226.7,83.5,1
1340572,15.3,10.9,406.3,131.9,1
1340573,56.8,15.9,110.2,115.8,0
1340574,57.2,2.2,360.0,99.7,0
1340575,32.0,7.1,276.1,98.6,0
1340576,64.2,15.2,388.9,112.9,1
1340577,41.2,2.4,112.4,89.1,1
1340578,42.3,17.3,209.4,93.2,0
1340579,29.8,8.7,229.2,92.0,1
1340580,57.1,7.4,288.8,120.9,0
1340581,49.4,1.3,209.9,100.9,0
1340582,45.5,7.6,286.1,78.2,1
1340583,52.7,15.4,304.1,117.5,0
1340584,40.6,5.9,163.5,52.8,0
1340585,26.4,2.8,284.8,82.7,0
1340586,44.4,3.3,330.0,79.1,0
1340587,77.8,2.9,313.3,79.8,0
1340588,68.7,1.5,161.0,150.0,1
1340589,43.2,4.8,169.6,57.6,0
1340590,54.9,13.3,246.1,123.0,0
1340591,37.4,4.5,123.9,151.4,1
1340592,72.9,1.9,220.3,113.4,0
1340593,59.0,5.7,148.4,102.4,1
1340594,52.0,0.6,247.4,100.5,1
1340595,35.1,23.9,253.1,51.3,1
1340596,42.6,1.1,311.8,153.3,1
1340597,24.5,0.9,275.5,103.2,0
1340598,37.8,19.0,346.4,157.7,0
1340599,60.2,7.5,232.4,126.2,1
1340600,47.9,23.0,142.9,105.5,1
1340601,57.7,6.4,335.2,78.3,1
1340602,56.8,25.4,257.7,86.4,1
1340603,42.5,5.2,335.0,54.5,1
1340604,38.6,1.3,188.0,66.5,1
1340605,34.2,12.9,244.5,101.2,0
1340606,9.2,15.5,251.7,84.6,0
1340607,31.9,16.1,288.3,129.1,1
1340608,46.8,8.3,259.0,75.3,0
1340609,36.0,7.1,286.6,67.4,0
1340610,45.2,31.5,220.2,114.1,0
1340611,50.6,7.0,415.6,97.6,0
1340612,64.6,5.1,222.7,142.1,1
1340613,40.7,3.1,244.5,87.8,0
1340614,31.7,14.8,318.7,70.8,1
1340615,45.6,8.1,282.7,111.4,1
1340616,59.0,3.3,385.8,115.4,0
1340617,17.8,6.7,192.2,93.0,0
1340618,36.3,0.3,192.9,126.5,0
1340619,49.9,2.5,264.0,66.9,0
1340620,51.5,4.4,218.1,133.1,1
1340621,35.3,4.0,132.7,101.6,0
1340622,44.5,12.6,159.9,149.3,0
1340623,34.4,1.3,321.9,151.6,0
1340624,22.1,14.3,224.0,108.4,0
1340625,36.3,10.2,295.8,117.5,0
1340626,35.1,7.3,312.0,119.5,1
1340627,47.5,4.8,203.2,103.9,1
1340628,50.5,6.8,169.1,89.6,1
1340629,48.7,27.8,242.7,105.5,1
1340630,43.3,3.1,295.9,124.7,1
1340631,39.3,16.5,136.5,106.2,0
1340632,46.9,0.6,316.9,107.3,1
